GEN.1.1	Ndre mamunen Petngendrei ihnan lok eleng pe lokpoi, pe sane ndre sulo-on. 
MRK.8.10	inum pe Iy ndroda su disaipel Tadan sowin kopwi hondroh ile ndrol pe hala Distrik Dalmanuta.
MRK.8.11	Su Paraseo hapa hehkelmene Yesus ile pe su hala pe helehkike‑ei nolou ndrodan Iy. Su hapa ile Tadan ihpa, “Yesus, opo handrai mirakulo, kile pe odu edehtuno odu ihpa ndre Ou ti ompo maryan Lapan. Pe kile pe odu edeltuwei kihpa ndre puko‑on ta Lapan ti imin ndrongon Ou.”
MRK.8.12	Yesus ihkalmanan mundren ile pede‑en pe Iy ihti ngohon ile puko‑on. Iy ipe ihpa, “Ihpa kehe pe su lau odo mahkele ti waso‑o’ su hendre‑et handrai mirakulo tih? Odoke Yu kupwe kile ta oduu. Pwi, we etndrendre‑et pwi.” 
MRK.8.13	Iy iyeu ta su, pe indreh ile yi ndre ndrol ndroda su disaipel Tadan pe ha‑au ile ngerin ndras hodoh.
MRK.8.14	Su disaipel kolo’ su isumwen pe hendretakun song sulo‑on pwi. Bret sehir kopwi su hokunii ti ke imin lon ndrol ndroda su. 
MRK.8.15	Yesus ipakolou su ihpa, “Edempahar odo yis ta su Paraseo, pe yis ta Herot.”
MRK.8.16	Su disaipel, homou iparuhur ile ta homou pe hapa ihpah, “Iy kihne kimpa kuti odosa, tidu song pwi ti ndreh?”
MRK.8.17	Yesus tunon homosa su hampa ti, ile pe ihndremte su, “Oduu edenesohou ile ‘bret pwi’ ti ile sa? Oduu ti mapwi edentut, eri? Oduu ti kolo’ oduu murun, eri? 
MRK.8.18	Mada’ oduu ti henendre‑et ndre pwi? Ndralnga’ oduu ti hertahrung ndre pwi? Oduu edentahorungon ndre pwi? 
MRK.8.19	Idu kalmene‑en Yu uptan bret ndre limihir pe su lau ndre polimngeh (5000) hoyo‑on, pe tikin herswe ti oduu etehen ile ndrop ndre heksi?”
MRK.8.19	Su hahpa, “Sungoh-pe-ruhet.”
MRK.8.20	Pe Yesus ihndremte yi ihpa, “Pe idu Yu uptan bret ndrotulihir ile ta sa lau ndre pohangoh (4000), oduu etehen tikin ndre herswe ti ile ndrop hesiki?”
MRK.8.20	Su hahpa, “Ndrotulehet.”
MRK.8.21	Eri pe Yesus ipe ihpa, “Oduu tuno’ oduu oh, pe ihpa kehe pe ma edentawene hudut? Yu usempa song ti pwi.”
MRK.8.22	Yesus pe su disaipel hehir hala Betsaida. Pe sa lau se hokuni orngon homou ile hu Yesus. Orngon ti madan pwi, ile pe su lau ti hosohou karundrum ile ta Yesus, hapa Yesus kiduwe lumwen kile pule‑en. 
MRK.8.23	Iy ikuni orngon kuti ile ngerin lok, pe Iy imburnguh ile madan orngon kutih. Inum pe Iy lumwen ile madan orngon kuti pe ihndremte, “Ou eneltuwe hangka‑an ndre pwi?”
MRK.8.24	Orngon ti isori madan pe ipe ihpa, “Yu uneltuwe sa lau, odoke su hahpa ndre kei henelila hasa pe hala.”
MRK.8.25	Ile pe Yesus iduwe lumwen ile madan orngon kuti petsih yi. Pe orngon ti ihlilis puko‑on pe madan inim ndresale pe indre‑et sane ile huyen. 
MRK.8.26	Inum pe Yesus ipe ile tadan ihpa, “Owou ndresale ala emwem. Nombrun ala yi ndre Betsaida.”
MRK.8.27	Yesus pe su disaipel Tadan hapa hala lok se mone odo koson taon Sisaria Filipai.
MRK.8.28	Su hapa ihpah, “Sa se hapa Ou ti Jon Baptais, sa se hapa Ou ti Elaijah, pe sa se yi ti hapa Ou ti homou profet odo ndre pihe.”
MRK.8.29	Yesus ihndremte su, “Pe oduu? Oduu atpa Yu ti si?”
MRK.8.29	Pita ihpah, “Ou ti Kristus.”
MRK.8.30	Ile pe Yesus isinip ana’ su ihpa, “Etninen nolou kiti kile ta homou lau kolwii.”
MRK.8.31	Inum pe Yesus kah idetuhne su disaipel Tadan. Yesus ipe ihpah, “Lapan iduwe Nedun Ndramat ise poi ti odo we kisikun ngendre‑en mandra‑an. Su lau ndre hene‑en munen odo lotu ti we hehmbore su Iy, pe mandra‑an ta su pris ile ndroda su tisa odo lo ti we mbore’ su Iy. Pe sa ndramat we hapwi Iy kimet. Odoke rang tul kinum ti pe Iy we kile yi ndre moren pe kitlang yi.”
MRK.8.32	Iy inen pede‑en pe ngendre‑en ndre sulo‑on ndre Iy we kikun ti ile ke moleu ile ta su disaipel. Ile pe Pita ikuni Yesus ile mahun pe ipe ile Tadan ihpah, “Yesus. Ou apa kihpa kiti kolwii.”
MRK.8.33	Odoke Yesus madan ile yi ndre ta su disaipel pe ihrurute ile tam Pita ihpah, “Satan, ala ndruwe! Ou kolum ti indrahpa ndre kolon Lapan ti pwi. Kolum ti kolon ndramat odo lokpoi.”
MRK.8.34	Inum pe Yesus iyuwen su lau ndre sulo‑on ndroda su disaipel hala hun Iy. Pe Iy ipe ile ta su ihpa, “Iy si lau ndre ipe kile lewi, eri kiduwe sane ndre iy ipe kipu ti hala ke tuwei, pe iy kisori kei tondrih tadan, pe kise ki‑us Yu. 
MRK.8.35	Odosa iy si lau ndre kihmboren sengin kikun pede‑en pe kimet, eri mulwen we kimin mo‑on. Odoke iy si lau ndre kimet, odosa iy ti lewi pe ininen gutnius Todo, eri mulwen we kimin huyen. 
MRK.8.36	Uh homou lau kikuni tadan lokpoi ndre sih, odoke mulwen we kimet, eri sane tadan ndre sulo‑on kuti we hehnuwii iy kihpa kehe? 
MRK.8.37	Sane ndre sulo‑on tadan kiti handrai kindranon kisihnen mulwen kile eriy pwi. 
MRK.8.38	Ndramat odo mahkele ti hendretawe ndruwe’ su ile ta Lapan, pe hompo ke punou mo‑on. Ile pe uh si lau ndre kimah‑ah Todo, pe kimah‑ah odo nolou Todo, eri Yu
MRK.9.1	Pe Yesus ipe ile ta su ihpa, “Yu upwe ndre ndrokene kile ta oduu. Sa se lau ndre ka hentahrung Yu hodo keti we hendrimat mapwi, pe su we hendre‑et puko‑on mandra‑an tan kapman ta Lapan, kidu kapman ta Lapan kihir tih.”
MRK.9.2	Rang on inum oh ti pe Yesus ikuni Pita, Jems pe Jon, pe su ho‑us Iy hala puliy sih elwe‑en. Sa homou lau indru‑us su pwi. Su hapa hendre‑et ti pe Yesus mundren inna handrai yi. 
MRK.9.3	Kolson ti inna peren peren lakopwi. Homou lau odo lokpoi kindranon kindresingi kolau kinna peren kihpa ndre erti pwi. 
MRK.9.4	Inum pe su heltuwe Elaijah horu Moses herihir yi, pe herenesohou ndroda Yesus.
MRK.9.5	Pita inlou ile ta Yesus ihpa, “Tisa todo. Huyen lakopwi odo tidu tito ketih. Yu pe Jems pe Jon we otumon pandrol tulpwing. Sim Tadam, sim tam Moses pe sim tan Elaijah.” 
MRK.9.6	Pita ipe kuti porah kopwi, odosa su ti honoh ile mo‑on.
MRK.9.7	Inum pe kohut hene ihir pe kanunuwen isorohe su. Pe pohon Lapan ihir odo lon kohut kuti pe ipe ihpa, “Iy kuti Nedu. Yu wasu‑u Iy lakopwi. Oduu atahrung nolou Tadan.”
MRK.9.8	Su hendre‑et ile sehir pe sehir, pe mada’ su ihpilpil kopwi ti pe Yesus Iy kopwi idu. Elaijah horu Moses ti herndrela hepe yi.
MRK.9.9	Su ka hana‑au hasa yi ndre pwoi, pe Yesus ipe ile ta su ihpa, “Sane ndre oduu etndre‑et mahkele, eri etninen kile ta homou lau kolwii, kenon ndre Nedun Ndramat ti kimet oh pe ndre kindretalang yi.”
MRK.9.10	Su hendrininen ile ta homou pwi, odoke su ke ndre su ti hampa ihpa, “Talang odo mat ti homosa?”
MRK.9.11	Pe su hehndremte Yesus, “Ihpa kehe pe su tisa odo Lo ti hapa Elaijah ti we kihir ki‑in munen oh, kinum pe Kristus we kihir?”
MRK.9.12	Yesus ipe ihpa, “Nolou kirti ndre ndrokene. Elaijah ti we kise ki‑in munen pe kisahnan sane ndre sulo‑on he‑en kile huyen. Odoke ihpa kehe pe nolou iyin Buk ta Lapan ti ipe Nedun Ndramat ti we kilnget ngendre‑en sulo‑on pe sa we mbore’ sa tahrung Iy tih? 
MRK.9.13	Yu kah kunen kile ta oduu. Elaijah ti insa kah. Odoke sa lau hepupu‑uh punou mo‑on ile pule‑en, ihpa ndre nolou iyin Buk ta Lapan ipe we kihpa ndre eriy tih.”
MRK.9.14	Yesus, Pita, Jems pe Jon kah hehir yi ndre ndroda su disaipel huren tih. Pe su heltuwe sa lau sulo‑on lakopwi hodo ndroda su disaipel se yi tih. Pe su tisa odo Lo ti henehkike‑ei ndroda su disaipel. 
MRK.9.15	Sa ndre sulo‑on hendroni Yesus ti pe hehretek ile mo‑on. Sa hohtot hala pe hopwo-es Iy.
MRK.9.16	Yesus ihndremte ihpa, “Oduu edenehkike‑ei ile sa?”
MRK.9.17	Orngon homou idu lenga’ su lau ti inlou ihpa, “Tisa, yu usetudou nedu kamal ise hun Ou. Sinel imin pule‑en pe inahnan iy isenolou pwi. 
MRK.9.18	Sinel ti inak ile pule‑en pe inahnan iy intaketi illa pwoi, pe lehen inehndrepit, pe mbruse‑en pohon ihir, pe mundren ndre homou ineselke‑e. Yu uhndremte su disaipel Tadam upwe su hahnan iy kile huyen, odoke su handranon pwi.”
MRK.9.19	Yesus ipe ile ta su ihpah, “Oduu lau kiti taduu bilip pwi. Yu we kumwin ndrodan oduu elwe‑en kihpa ndre kehe yi? Yu we kukun pede‑en ta oduu pat hesiki yi? Atakuni anah ti kise!” 
MRK.9.20	Su lumwe’ su ise lumwen anah kuti ile hu Yesus.
MRK.9.20	Sinel imin pule‑en anah kuti indroni Yesus ti pe ihnan anah ti iselke‑e, pe anah ti ideketi ile poi pe ingkilkil. Anah ti mbruse‑en le. 
MRK.9.21	Ile pe Yesus ihndremte taman anah kuti ihpa, “Iy impo ihpa kuti kah rang heski?”
MRK.9.21	Taman anah ti ihpa, “Iy mapwi lehyen ti impo ihpa ke kutih. 
MRK.9.22	Hangka‑an ndre inahnan iy ti ipe kinahnan iy kimet, ile pe impiyen iy ile lo yih pe lo wo. O Yesus, uh Ou owonon, eri akarundrum pe ehnuwii oru nedu.”
MRK.9.23	Yesus ipe ihpah, “Yu uwonon, odosa Lapan kenon kipu sane ndre sulo‑on odo henuwii si ndramat ndre tadan bilip tih. Odoke ou ti opo bilip ndre pwi?”
MRK.9.24	Taman anah kuti isomwi Yesus sowin kopwi ihpah, “Yu upu bilip, odoke bilip todo ti mandra‑an pwi. Ehnuwii yu, kile pe bilip todo kile mandra‑an.”
MRK.9.25	Yesus iltuwei ihpa ndre sa lau ka henehndur hala koson, ile pe Iy inlou puko‑on ile ta sinel ti ihpa, “Singlen walul pe pohpiw, yu upwe ile tadam, asa moleu pe owou odo mundren anah kirtih, pe ala yi kolwii!”
MRK.9.26	Sinel ti idehel ile mo‑on, pe irson anah kuti ile poi, inum pe indreh iyeu. Anah kurti hepe mehleu pwi iyin poi, pe sa lau ndre sulo‑on hapa yi iy indrimat. 
MRK.9.27	Odoke Yesus lumwen ile lumwen pe isori iy imin eleng. Anah ti moren pe idu eleng.
MRK.9.28	Idu ndre omur, Yesus pe su lewen kopwi hodo lon um ti pe su hehndremte Yesus ihpa, “Ihpa kehe pe odu etndranon etndre‑as sinel kuti pwi tih?”
MRK.9.29	Pe Yesus ipe ihpa, “Tapa surok kopwi kenon ki‑es su iy ihpa ndre kurtih. Handrai pe handrai yi ti indranon pwi.”
MRK.9.30	Yesus pe su disaipel ha‑au odo lok ertih. Su ha‑au ho‑us Galili ea. Yesus mboren sa lau hehtuno sa Iy imin kehe tih, 
MRK.9.31	odosa Iy mapwi intatuhne su disaipel Tadan tih. Iy ipe ile ta su ihpah, “Sa we heduwe Nedun Ndramat ti we kile lumwe’ sa lau. Sa lau we hapwi Iy kimet. Pe rang tul kinum ti pe Iy we kitlang yi.”
MRK.9.32	Su hendretakuni lon nolwo‑on ti pwi, odoke su horu‑ur pe hendrehndremte Yesus pwi.
MRK.9.33	Su hehir Kaperneam pe hala lon um. Inum pe Yesus ihndremte ihpa, “Oduu edenehkike‑ei sa mahkele odo sal tih? 
MRK.9.34	Odoke su kolo’ su ke ndruwot. Su hendrepahran pwi odosa, su hodo sal ti pe henehkike‑ei ile si we madan kiso pule‑e’ su tih.
MRK.9.35	Yesus imin pwoi oh pe iyuwen su, pe ipe ile ta su ihpah, “Iy si lau ndre ipe ki‑in munen eri kiduwe iy kise pahndra’ sa ndre sulo‑on, pe kiduwe iy kile ndramtan marai ta sa ndre posingat.”
MRK.9.36	Iy ikuni anah homou netlehyen pe iduwe iy idu munen. Inum pe Iy isokohan anah kuti pe ipe ile ta su disaipel ihpah, 
MRK.9.37	“Si lau ndre kidawonon Yu pe kipu huyen kile ta homou kom ihpa ndre homou kudu, eri impo huyen ile Todo. Pe si ndre kipu huyen kile Todo, eri impo huyen ile tan Iy si ndre ihtakalan Yu use tih.”
MRK.9.38	Jon ipe ile ta Yesus ihpa, “Tisa, odu etndroni orngon homou ina‑as sinel ile rangam, pe odu atpa iy kipu kahrii, odosa iy ti isemin ndrodan tidu ti pwi.”
MRK.9.39	Yesus ipe ihpa, “Oduu etsinip anan kolwii. Si ndramat ndre impo mirakulo ile rongo, eri we kindripo nolou mo‑on kile puli‑i pwi. 
MRK.9.40	Odosa iy lau ndre kisempo mo‑on kile ta tidu pwi, eri iy ta tidu. 
MRK.9.41	Uh homou lau kihlingi ou kile hepe kangkahan wo odosa ou ti tan Kristus, eri Yu kupwe ndre ndrokone kile taduu, iy lau erti we kikuni ndre mbrunen.”
MRK.9.42	Yesus ipe lakopwi yi ihpah, “Iy si lau ndre kihnan pe homou nenkom kideketi odo bilip ile Todo, eri kimpahar. Kile huyen ti lehpe iy kindrahnan homou kom ti mapwi eri sa lau hehndrusi pat mandra‑an kile won pe hepiyen iy kile lon ndras. Odosa, pede‑en odo iy kihnan homou nenkom kideketi odo bilip ile Todo ti mandra‑an lakopwi. 
MRK.9.43+MRK.9.44	Uh hakai lumwem kihnan ou opo to‑ir, eri emndrelei pe epiyen ke‑eu. Kile huyen ti ou lumwem ke hakai pe ala heven. Kihne ou lumwem ndre rukei pe sa hepiyen ou ala hel. Yih odo hel ti isemat pwi.
MRK.9.45+MRK.9.46	Pe uh ndrikem hakai ti kihnan ou opo to‑ir, eri ou emndrelei pe epiyen ke‑eu. Ou ndrikem ke hakai pe ala heven ti huyen. Kihne ou ndrikem rukei pe sa hepiyen ou ala hel.
MRK.9.47	Pe uh sih madam ti kirwi ou pe ou opo to‑ir, eri etluhtii pe epiyen ke‑eu. Kile huyen ti ou madam ke sih pe emin lon kapman to Lapan. Kihne ou madam ndre ruweh pe sa hepiyen ou ala hel. 
MRK.9.48	Odo hel, eri ul ndre heneni sengi’ su ti hesenum pwi, pe yih ndre intune‑en su ti isemat pwi.
MRK.9.49	“Sa hentawe sol illa mundren song pe yohou odo ofa ndre sulo‑on, kile pe ofa ti kile huyen odo madan Lapan. Yih ti ihpa ke eriy. Yih ti we kihir ta sa lau ndre sulo‑on.
MRK.9.50	“Sol ti huyen, odoke uh kanyan ti kinum, eri ou we ahnan kanyan kihir yi ti kihpa kehe? Sol ti intawe kanyan song illa huyen, ile pe oduu yi ti edihir kihpa ndre sol huyen, pe etawe penuw kimin lenga’ oduu homou homou.”
MRK.10.1	Yesus itlang odo lok erti pe ile distrik odo Yudea. Inum pe Iy ihtor wo Yordan ile hodoh, pe sa lau sulo‑on hala hun Iy. Iy idetuhne su ile nolwo‑on Lapan ihpa ndre Iy impo munen tih.
MRK.10.2	Su Paraseo hala hu Yesus pe hapa hahnan Iy kipe handrai nolou odo lon lo kihrut. Su hapa ile Tadan ihpah, “Yesus, kehe apa eh. Lo ta tidu ti ipe we sa kamal ha‑as mbrulu’ sa ha‑au ndre pwi?”
MRK.10.3	Yesus ipe ihpah, “Moses ti iduwe Lo sa ile taduu?”
MRK.10.4	Su hapa ihpah, “Moses ti ipe huyen. Moses ipe uh homou kamal ipe ki‑es mbrulun ke‑eu, eri iy kamal erti we kidetorwe nolou odo somendrih osou, kinum pe kiduwe kile lumwen iy pedih ti pe ki‑es iy ke‑eu.”
MRK.10.5	Odoke Yesus ipe ile ta su ihpa, “Oduu ti lau odo tahrung nolou pwi, ile pe Moses idetorwe Lo erti pe iduwei ile ta oduu. Odoke iy erti Lo ta Lapan pwi. 
MRK.10.6	Idu ndre lin eri nolou ti ihpa, ‘Lapan ihnan su hala pedih pe kamal.’ 
MRK.10.7	‘Iy eti uu pe kamal ina‑au odo hun taman pe tinen pe inohtok ile ndrodan mbrulun, 
MRK.10.8	pe horu harla ke ndramat homou.’
MRK.10.9	Ile pe homosa ndre Lapan indrehtungon inna hondroh, eri ndramat kisomondrihi kolwii.”
MRK.10.10	Inum ti pe Yesus pe su disaipel hala yi ndre um. Pe su disaipel hehndremte Iy ile yi ndre Lo odo osou inemendrih tih. 
MRK.10.11	Yesus ipe ile ta su ihpah, “Iy lau ndre ki‑es mbrulun pe kesou pedih homou yi ti indrahnan to‑ir mandra‑an ile pule‑en mbrulun. 
MRK.10.12	Pe iy pedih ndre ke‑eu ta mbrulun pe kesou kamal homou yi ti indrahnan to‑ir mandra‑an yi.”
MRK.10.13	Sa lau hokuni su kom mone hala hu Yesus. Su hapa Yesus kiduwe lumwen kile pule‑e’ su. Odoke su disaipel hehrurute idu pule‑e’ sa lau kutih. 
MRK.10.14	Yesus iltuwei punou ta su disaipel kuti, pe Iy ihwak ana’ su pe ipe ihpah, “Su kom mone ti hasa hu Yu. Oduu adahnan su kolwii, odosa kapman ta Lapan ti ta su lau ndre hahpa ndre su kom kutih. 
MRK.10.15	Yu kupwe ndre ndrokene kile ta oduu, iy si lau ndre kindretakuni kapman ta Lapan kihpa ndre su kom mone hentakun ti pwi, eri we kindrimin lon pwi. Pwi ndre pwi tih.” 
MRK.10.16	Inum pe Iy ikuni su kom mone ti hala kanahan. Iy iduwe lumwen ile pule‑e’ su homou homou pe isurkon su.
MRK.10.17	Yesus itlang pe illa iyeu, pe orngon homou ihtot ile pe pandrulku‑un ile poi idu purmadan, pe ihndremte Yesus ihpah, “Tisa huyen, yu we kupu homosa lakopwi pe we kule heven?”
MRK.10.18	Yesus ihndremte iy ihpah, “Ihpa kehe pe ou apa Yu huye? Homou ndramat huyen pwi, tapake Lapan kopwi ti huyen. 
MRK.10.19	Ou ti tunom Lo tih: ‘Nombrun etruhe ndramat kimet. Oduu tasou ti etmetir ndrodan mbrulu’ oduu koson. Oduu etpahna kolwii. Oduu etaheweh kot kolwii. Oduu etruwi sane ta ndramat homou ke porah kolwii. Oduu etso pahndran tamai pe tinei pe etahrung nolou ta su.’
MRK.10.20	Orngon kuti ipe ile ta Yesus ihpah, “Tisa, idu ke ndre yu mapwi kom uu pe isito mahkele, eri yu undretumbru‑e handrai Lo kiti pwi.”
MRK.10.21	Yesus indre‑et ile tadan pe ihwaso‑on iy. Iy ipe ile tan orngon kuti ihpah, “Handrai kopwi yi ou tadam mapwi. Ala pe ekuni tadam sane ndre sulo‑on pe sa lau hesihnen ta sa. Pe moni ou okuni odo sane tadam ti eduwe kile ta sa lau ndranuno, kile pe ou we tadam sane sulo‑on odo heven. Kinum pe ou asa owus Yu.”
MRK.10.22	Orngon ti ihrungi nolou ta Yesus kuti pe iy madan ihmo‑on. Iy ikarundrum iy lakopwi pe iyeu, odosa iy ti tadan sane sulo‑on sulo‑on.
MRK.10.23	Yesus indre‑et ile ta su disaipel Tadan pe ipe ihpa, “Sa lau ndre ta sa sane sulo‑on ti hehnengkarundrum, odosa su we hapa hala lon kapman ta Lapan odoke iy erti we kinna mangsan ewehen kile ta su pwi.”
MRK.10.24	Su disaipel hehretek ile nolou kutih. Odoke Yesus ipe yi ihpah, “Oduu nedu, mangsan ewehen pwi. Ou si ndre apa ala lon kapman ta Lapan ti we ndre ekeles kile keles. 
MRK.10.25	Kamel we ki‑us lon ngaden sou ti mangsan ewehen ile tadan. Odoke ke iy lau ndre tadan sane sulo‑on pe ipe kile heven eri we mangsan puko‑on lakopwi.”
MRK.10.26	Nolou Yesus ipe kuti ihnan su disaipel hehretek pe tawene ta su ihrut ile puko‑on lakopwi. Homou madan ile ta homou pe hapa ihpa, “Orkom! Homou lau kindranon kinna lok huyen pwi.”
MRK.10.27	Yesus indre‑et ile ta su pe ipe ihpah, “Ndramat eri indranon pwi, odoke Lapan eri kenon kipu sane ndre sulo‑on.”
MRK.10.28	Pita ipe ile ta Yesus ihpah, “Odu ada‑au ta sa murwo’ odu, emwe’ odu, pe tadu sane ndre sulo‑on pe etndresa hun Ou, pe edenu‑us Ou.”
MRK.10.29	Yesus ipe ihpah, “Ndre ndrokene ndre ndrokene. Iy si ndre kiduwe ndruwen kile tan tinton pe timso‑on su, kiduwe ndruwen kile tan taman pe tinen, ke‑eu ta su nedun, pe ke‑eu odo lonen, odosa iy idawonon Yu pe ipu marai odo Gutnius ta Lapan, 
MRK.10.30	eri tadan sane ti we hehir kile sulo‑on sulo‑on. Iy mapwi ndre kimin lokpoi eri Lapan we kihngahang iy sane sulo‑on sulo‑on, we kihluwen sane ndre iy tadan munen tih. Lapan we kihlingi iy um sulo‑on, tinton sulo‑on, timso‑on sulo‑on, tinen sulo‑on, nedun sulo‑on pe poi sulo‑on. (Odoke sa ndramat we hampa ke iy pe henahnan mandro‑on killa mo‑on.) Pe ndre omur ti iy we kile lok huyen ndroda Lapan. 
MRK.10.31	Sa lau sulo‑on ndre mahkele he‑en munen eri we hala omur, pe sa lau sulo‑on ndre hodo omur mahkele, eri we hala munen.”
MRK.10.32	Yesus pe su disaipel tadan kah hehir sal ndre illa Yerusalem, pe su kah henelila hala eriy. Yesus inelila iyin munen. Tawene ta su disaipel ti ihrut pe su hentawene hudut. Sa lau ndre ho‑us su ti honoh. Yesus ikuni su ndre sungoh‑pe‑rumuu ti hala mahun odo ta sa lau, pe petsih yi Iy inen homosa ka we kihir kile tadan odo Yerusalem. 
MRK.10.33	Iy ipe ihpah, “Atahrung. Tidu kah titlalih Yerusalem. Odo Yerusalem, eri sa ka we heduwe Nedun Ndramat ilih lumwe’ su pris mandra‑ane pe su tisa odo Lo. Sa ka we helilyan Iy kidu kot, pe sa ka we heduwe nolou kile hondroh pe heruhe Iy kimet. Kinum pe sa ka we heduwe Iy kile ta sa lau odo lok hokor yi, 
MRK.10.34	pe sa lau hokor yi we hetulyan Iy, we hehngowen Iy, we hemburnguhi Iy, we heruhe Iy kile wisiu
MRK.10.35	Inum pe horu nedun Sebedi, Jems horu Jon, harla hu Yesus pe harpa ile Tadan ihpah, “Tisa, oru arpa erehndremte Ou kile ka‑an handrai, pe oru waso‑o’ oru Ou eduwe taru.”
MRK.10.36	Yesus ihpa, “Oruu waso‑o’ oruu homosa?”
MRK.10.37	Horu harahpah, “Uh Ou ala King odo lokpoi, eri oru waso‑o’ oru Ou eduwe oru homou ndruhun kise lumwem mudon pe homou kise lumwem kamweu.”
MRK.10.38	Yesus ipe ile ta horu ihpah, “Oruu ti tuno’ oruu homosa oruu erenehndremte kiti pwi. Oruu ti aranon eri‑ing homosa ndre Yu ka we ku‑ing tih? Yu ti we kulnget pede‑en pe kumwet, pe oruu ti we aranon arahpa ndre Yu tih?”
MRK.10.39	Horu harahpa, “Oru aranon.”
MRK.10.39	Yesus ipe ile ta horu, “Ndre ndrokene, oruu ti we artakun pede‑en kihpa ndre Yu. 
MRK.10.40	Odoke hehndremte taruu ti Yu kundranon kundripa hangka‑an odo eriy pwi. Iy si we kimin lumwe mudon o kamweu ti sane ta Lapan. Lapan Iy ndre Iy indripa ipe si we kimin sia kehe pe si we kimin sia kehe.”
MRK.10.41	Su disaipel ndre sungoh ti hohtuno su ndremte tan Jems horu Jon ile ta Yesus, pe su hopo loroh ile ta horu. 
MRK.10.42	Yesus iyuwen su ndre sulo‑on pe ipe ile ta su ihpah, “Oduu tuno’ oduu ihpa ndre sa lok ndre tuno’ sa Lapan pwi ti ta sa ndramat hene‑en poho’ sa, pe sa lau ndre sulo‑on hentahrung ke iy. Iy kipe sa hopo homosa, eri sa we hehrung ke iy. 
MRK.10.43	Odoke oduu ti we etndrahpa erti pwi. Uh iy si ta oduu ipe kile mandra‑an, eri iy we kile lewen marai ta sa ndre sulo‑on. 
MRK.10.44	Pe uh iy si ta oduu ipe ki‑in mune’ oduu, eri iy we kile hono‑on marai ke porah ta sa lau ndre sulo‑on. 
MRK.10.45	Odosa, oduu etndre‑et kile tan Nedun Ndramat ti oh. Nedun Ndramat ti insa odo kile pe sa ndramat hopo maryan ti pwi. Iy ise ti we kipu marya’ sa ndramat, pe we kimet, kile pe we kisihnen yi ndre sa sulo‑on.”
MRK.10.46	Yesus pe su disaipel Tadan hehir taon odo Jeriko. Inum pe su hatlang odo Jeriko, pe sa lau sulo‑on ho‑us su. Su hasa ngerin taon ti pe orngon homou imin eriy. Orngon ti rangan Bartimeus. (Taman ti rangan Timeus.) Bartimeus ti madan pwi, ile pe iy immin ngerin sal pe iyuw moni pe sane ile ta sa lau ndre henehrik tih. 
MRK.10.47	Iy ihrungi ihpa ndre Yesus odo Nasaret ke ipei, ile pe iy iyuw ile puko‑on ihpah, “Yesus, Ou Nedun Devit,
MRK.10.48	Sa lau sulo‑on hehyek anan, hapa iy kimin kopwi. Odoke iy iyuw ile puko‑on lakopwi, “Nedun Devit, akarndrundrumwi yu!”
MRK.10.49	Yesus ihndro pe ipe ihpah, “Etyuwen iy kise.”
MRK.10.49	Ile pe sa hoyuw ile tadan pe hapa ihpah, “Ndrinem keweh. Odo eleng. Iy iyyuw ou.” 
MRK.10.50	Iy ipiyen siot elwe‑en tadan iyeu, iy indreh idu eleng pe ile hu Yesus.
MRK.10.51	Yesus ipe ihpah, “Ou ereh sa?”
MRK.10.51	Orngon madan pwi ti ihpah, “Tisa, yu upwe modo kihir pe kundre‑et sane.”
MRK.10.52	Yesus ipe ile tadan ihpah, “Eri huyen, ou ka owou. Bilip tadam indrahnan ou ala huyem.” Idu ke ndre erti pe iy madan ile huyen pe indre‑et lok, pe iyus Yesus odo sal ile Yerusalem.
MRK.11.1	Yesus pe su disaipel Tadan kah handrila mukehe Yerusalem. Su kah hapa hehir hala Betpage pe Betani.
MRK.11.2	Iy ipe ile ta horu ihpah, “Arla lok ilso munen ilso kitih. Oruu we erihir kopwi ti we erndroni donki homou, sa heduwe osukei ise tadan iseu. Homou lau indrimin pule‑en pe illa mapwi. Oruu oruwyon iy pe erkuni kise. 
MRK.11.3	Uh homou kihndremte oruu, eri oruu arpa kile tadan kihpah, ‘Lau Mandra‑an Tadan marai idu eriy.’ Kinum oh pe Iy we kiporitai kisetawei yi.”
MRK.11.4	Horu disaipel ti harla pe herndroni donki homou, mapwi inek tapa eriy. Sa heduwe esukei ise tadan ise madan pohngkiu. Horu hereneruprup ti pe 
MRK.11.5	sa lau se hodo erti hehndremte horu, “Oruu erempo sa ile tan donki kitih?” 
MRK.11.6	Horu harpahran nolou ta Yesus ile ta su, ile pe su handripa hangka‑an pwi. 
MRK.11.7	Horu hartakuni donki ti ile hu Yesus, pe hartalahtan siot elwe‑en ta horu ile pule‑en. Inum pe Yesus inek ile ndritan pe imin pwoi pule‑en donki. 
MRK.11.8	Sa lau sulo‑on henswi siot elwe‑en ea ha‑au odo mundre’ sa pe hatlahtan hala sal. Sa se ti hemndrel ndrandran kei odo ngerin sal pe hatlahtan hala sal. 
MRK.11.9	Lau sulo‑on hala munen pe lau sulo‑on hala omur, pe Yesus imin pule‑en donki imin ndrokoron. Sa ndre sulo‑on hoyyuw pe henesangar ihpah,
MRK.11.9	“Hosana!
MRK.11.9	“Lapan kipu huyen kile Tadan,
MRK.11.9	odosa Iy ikuni pohon Lapan!”
MRK.11.10	“Lapan kipu huyen kile tan King ta tidu,
