MAT.1.1	Chitabu cho lukolo lwa Yesu Kilisito, imwana wa Daudi, imwana wa Ibulahimu. 
1TI.4.5	kosoko chihojojolwa ne imbulu ye Mulungu na kutasa.
1TI.4.6	Unghawengha amafuso gano awandugu, kokuwa mutogomi muswamu wa Kilisito Yesu, akuno ukugendelela musimbuli se dihuwi na mumafuso maswanu gowandamile. 
1TI.4.7	Unghandamile sisimo se chibwalasi sa katali isichaka ulungu. Kifuse gomwenyecho imikalile ye chimulungu; 
1TI.4.8	kosoko inghowa inyifusa amafuso ge chimutufi inoga, ninga inyifusa amafuso ge chimulungu inoga lugano musimbuli sose, kosoko ina ilagano dyo uwumi wa hambiya na uya we chigele chikwija.
1TI.4.9	Inonga ino ya chawelu kahi yagila kufumiligwa. 
1TI.4.10	Kosoko mpaka kundumiliso ino chikiidasa na kupiligala, kosoko china ihuwi mwi Mulungu imumi, Mwihula wa wanhu wose, lugano awahuwile. 
1TI.4.11	Lagisa kahi fusa simbuli sino. 
1TI.4.12	Imunhu wowose yanghaubese ujelelo wako, ninga uwe chinhu cha kifusila kuwahuwile mu nonga na mumigendele na muwendo na mwihuwi na mumikalile miswanu. 
1TI.4.13	Mpaka fonikwihja, piligala mu soma na kujama na kufusa. 
1TI.4.14	unghaleke kuchitogomela ichise che Mulungu chuwile mugati yako, choninghigwe kwa ugonesi na kwa kwikiligwa mikono na wasehe.
1TI.4.15	Wandamila gano, wikale mugago, uleke wanhu wose wone ifene foukugendelela. 
1TI.4.16	Kituse ne chidoga chako, na mafuso gako; gakolelese kosoko kwa kugolosa nheifo kodaha kihonya agweye gomwenyecho na wekukuhulikisa.
1TI.5.1	Unghamugombele imusehe, ninga mulolese kefana Babako; wagolosele awajelelo kefana wanduguso, 
1TI.5.2	awadala kifana wang'inasako, awanawake wadodo kifana welumbuso muuya wose. 
1TI.5.3	Uwe na chogoho ku wanawake wegane, awegane chawelu chawelu. 
1TI.5.4	Imwanamuke mwigane yanghowa na wana ama wajukulu, leka wende kifusa simbuli se ifuga ukaya ukwawo kamei kamei wawagolosele digoya awaBaba sawo na wang'ina sawo; kosoko imbuli yo ifumiligwa ne Mulungu. 
1TI.5.5	Ninga imwene imwigane chawelu chawelu, kalekigwa yemwene, yuyo keka dihuwi dyakwe mwi Mulungu, naye kogendelela mu kutasa na inhasa chilo ne misi; 
1TI.5.6	ninga imwanamuke inghodaha kisisa imwenyecho kafulusa kufa hata yanghowa yekali mumi.
1TI.5.7	Uwenghe amalagiso gano, uleke wanghowe na ilema. 
1TI.5.8	Imunhu wowose inghekuwatasa awanhu wo ukwakwe, nong'amba awanhu we inyumba yakwe kafulusa kulema dihuwi dyakwe kahi kagaluka mwihi kusuma imunhu inghahuwile. 
1TI.5.9	Imwigane yanghawandikigwe mpaka yafike minyaka makumi mutandatu, naye hakowa muke wa mulume yumwedu; 
1TI.5.10	naye yowe kahomelelwa sinhenda siswanu, yanghowa kakusa wanagwe fiswanu, iyawagolosele ihewa wageni, yanghowa kawanasha wasunhile migulu, yanghowa kawatasa awekudumangiswa, kahi iyakilafile kugolosa sinhenda siswanu. 
1TI.5.11	Ninga lema kuwawandika awegane wa disika didido; kosoko wanghakolwa no usulumisi we chimutufi fonghekwenda Kilisito wohanga kutoligwa, 
1TI.5.12	nawo wagila uliganiso kosoko wabena ichipingo chawo cha bosi.
1TI.5.13	Kahi hamwedu nag ago, wakifusa kuwa wadoba, kwa kusunguluta nyumba kwa nyumba, kahi si udoba du, ninga wagaluka wahehaji kahi wasakusaku, wakulonga simbuli isisiwagile kulonga. 
1TI.5.14	Hambiya nikuhananga awegane we disika didodo watoligwe, walele wana, walongose sinyumba sawo, uleke wanghamwinghe imunghondo luneka lwa kuchitofula seye. 
1TI.5.15	Kosoko awamonga wafulus kubiduka na kumwandamila Shetani. 
1TI.5.16	Inghowa hena mwanamuke dikanisa dinghowe na musigo, uleke diwatase wamonga, awegane chawelu chawelu. 
1TI.5.17	Awasehe awekulongosa fiswanu yagila wenghigwe maliho keli, nawo no waya awekutogoma umulimo wo kuhubili na kufusa. 
1TI.5.18	Kosoko diwandiko dikugamba “Unghayowe mulomo ing'ombe youkutogomela umilimo wo kutowa uhemba mu chuga inghadiye simhule”, kahi “imutogomi yagila yahokele maliho gakwe.”
1TI.5.19	Unghafumile usongesi ku imusehe, ninga imbuli iyo ihomelelwe na wahomelesi weli hegu wadatu. 
1TI.5.20	Awaya awekugendelela mu sambi, uwagombele mumeso ga wose, uleke wamonga wogohe. 
1TI.5.21	Nikukulagisa mumeso ge Mulungu na Kilisito Yesu na wamalaika wasagulwe, ugolose gano bila kuliganisa chimwande hegu kwa konela. 
1TI.5.22	Unghamwikile munhu mikono chimwande, kahi unghakigume musisambi wa wanu wamonga; ikala mikalile ye uuya. 
1TI.5.23	Unghonywe meji muhala, ninga gimbi chidodogi kosoko ya sinda sako, ne sinhamu isikukwidasa chila chigele. 
1TI.5.24	Sisambi sa wanhu wamonga sa hajelu, silongola ku uliganiso, ninga sisambi sa wamonga sikuwandamila ichigele chikwija. 
1TI.5.25	Nheifo kahi sinhenda siswanu sa hajelu; kahi asiya isikoneka sisidaha kifisa.
1TI.6.1	Wose wowile hasi yo utumwa wawenghe chogoho awakulu wawo, uleke disina dye Mulungu dinghatofuligwe na mafuso getu. 
1TI.6.2	Awaya awena wakulu awahuwile wanghawabese kosoko wagaluka ndugu; yagila wawatogomele muuswanu lugano wose, kosoko wose awekupata nyongesa kosoko yo mulima wawo wagaluka ndugu kahi wendigwa.
1TI.6.2	Fusa kahi jama simbuli sino. 
1TI.6.3	Imunhu wowose yanghafusa mafuso gengi kahi nghekufumila amafuso ge chawelu ge Mundewa wetu Yesu Kilisito, hegu mafuso ge ifuga yetu, 
1TI.6.4	kamema nyiyona kahi nghamanyile mbuli yoyose; ninga muchilalu wa kudoga simbuli so kuwanga, isina mugati yakwe gele, lefi, usongesi, ubalalilaji, 
1TI.6.5	na kugomba na wanhu wabanike mahala gawo, awaswelile ichawelu, awekudoga fina imikalile ye chimulungu ni luneka lwa kupatila ugoli. 
1TI.6.6	Imikalile ye chimulungu ina ugoli mukulu kwa kumugolosa imunhu yegusigwe ne ifinhu foyenafyo; 
1TI.6.7	kosoko sicheja na chinhu muchilunga kahi sichidaha kuleuka na chinhu kulawa muchilunga; 
1TI.6.8	ninga chinghowa na chakudiya na suke chodaha kwigusigwa ne finhu fifyo.
1TI.6.9	Ninga wose awekwenda kuwa wagoli wakugwila mumagesa, na kugwila mumutego na usulumisi we chibwalasi kahi uukukoma, uukuwatubugisa awanhu mu uwagilisi na ubani. 
1TI.6.10	Kosoko kwenda mapesa no musisi wo wihi wose; awanhu wamonga kwa kwenda lugano mapesa, waleka dihuwi dyawo na kihoma mumimoyo yawo kwa usungu mwingi lugano. 
1TI.6.11	Ninga agweye, munhu wa Mulungu kinege na mabuli gano kongha ichawelu, mikalile ya chimulungu, dihuwi, uwendo, kugojela na upolo. 
1TI.6.12	Lewa imilewo miswanu ye dihuwi; kolelesa uwumi wa maiwa gose wowenangiligwe ichigele fowalambile hamwande ya wahomelesi wengi.
1TI.6.13	Hamwande ye Mulungu iyekufingha ifinhu fyose uwumi, na hamwande ya Kilisito Yesu iyaihomelele na kuifumila ichawelu hamwande ya Pondiyo Pilato, 
1TI.6.14	nikukulagisa ukolelese dilagiso dino bila ya ibando hegu ilema mpaka koneka kwakwe kwe Mundewa wetu Yesu Kilisito; 
1TI.6.15	Kahi adino dikadikoneka bila ya chifiso muchigele chifumiligwe, ne imwene iyalugutisigwe kahi iyena ludole yemwene, Mundewa wa wandewa kahi Mukulu wa wakulu. 
1TI.6.16	Yuyo ye imwene inghekufa, kahi iyekwikala muujelu uusikudaha kusegelelwa, inghenati yonigwe na munhu wowose hegu iyedaha kumona. Imwene yenghigwe chogoho na udaha majuwa gose. Hano.
1TI.6.17	Awagoli muchilunga chino, wagambe waleke kiyona, hegu wangheke ugoli uwichaka ichawelu, ninga wamuhuwile Mulungu iyekuchingha ifinhu fyose fingi uleke chifidiye kwa kubwedelela. 
1TI.6.18	Wagolosele maswanu, uleke wowe wagoli wa kugolosa sinhenda siswanu, undewa na chise, 
1TI.6.19	akuno wakiikile sigafu yuwe nghindiso swanu kosoko ye chigele ichikwija, uleke wapate uwumi we chawelu. 
1TI.6.20	Agweye Timoseyo, kolelesa simbuli sose sowinghigwe. Kinege ne simbuli isichaka ulungu isichaka chuinhu na inyisuma ya misungu iikwinangigwa yo udasi, 
1TI.6.21	kwa kuihomelela iyo awamonga waswela dihuwi. Dihewa dyuwe hamwedu nanye.
2TI.1.1	iPaulo, mutumigwa wa Kilisito Yesu kwa wendo we Mulungu, kosoko yo uumi uwuwile mugati ya Kilisito Yesu, 
2TI.1.2	kwa Tinoseyo, imwanangu mwendigwa; Imboto, ubasi, na imheho kulawa kwe Mulungu Baba na Kilisito Yesu iMundewa wetu fyuwe hamwedu nagwe. 
2TI.1.3	Nikumulumba Mulungu yonikumufuga kwa chidoga chelile, ifene fowagolosaga cha Baba, ichigele chose chonikukugelegela munhasa yangu. 
2TI.1.4	Ifene fonikugelegela amasosi gako, nina ngwina lugano nechilo na nemisi ya kukona gweye, uleke memelesigwe ne chinyemi. 
2TI.1.5	Nikugelegeswa na dihuwi dyako idichaka chimwefe, dihuwi idyowaga mwe imamako Loisi ne inghinako Eunike na ichigele chino nimanya fina dyuwa umwako. 
2TI.1.6	Hambiha nikukugelegesa usonghelese ichipawa che Mulungu ichuwile mugati yako kwa kwikiligwa mikono yangu; 
2TI.1.7	kosoko iMulungu nghachingha moyo we ikeng'enha ninga moyo wa ludole na wendo na ufinyilisi.
2TI.1.8	Hambiha unghawonele chinyala uhomelesi we Mundewa wetu, kahi unghanyonele niye chinyala nimufungwa wakwe, ninga ufinyilie agehile hamwedu nani kosoko ye Injili muludole we Mulungu, 
2TI.1.9	iyachihonya seye na kuchinanga seye mu lwinango umusunhile, siyo kosoko ya sinhenda setu, amba kwasoko yo uwendo wakwe ne simboto soyachingha seye mugati ya Kilisito Yesu minyaka itewe iilongole. 
2TI.1.10	na hambiya igubuligwa kwa kwija kwakwe Mundewa wetu Kilisito Yesu, iyasumile difa na kwigala umi na kubanika kuwa jelu kwa njila ya injili.
2TI.1.11	Kosoko ye injili nasagulwa nyuwe muhubili kahe mufusaji, 
2TI.1.12	kahe hambiya nikudumangila fina fonyuwile. Ninga sikona chinyala, kosoko nimumanya yonimuhuwile, na nimanya fina kena ludole lwa kwikilisa ichinhu chonikiligwa mpaka Dijuwa diya. 
2TI.1.13	kolelesa umufano we simbuli so uumi souhulike ukwangu, mwihuwi na uwendo uwuwile mugati ya Kilisito Yesu; 
2TI.1.14	kolelesa imbuli ye chawelu yowinghigwe gweye ne Muye Musunhile iyowile mugati yetu. 
2TI.1.15	Ifene foumanyile fina awanhu wose awowile Asiya, wafulusa kunileka, mugati yawo no cha Figelo na Helimogene.
2TI.1.16	iMundewa yawonele ubasi wose awowile munyumba ya Onesifolo, kosoko hakanisangalasaga figele fingi, na kuleka konela chinyala iminyolo yangu, 
2TI.1.17	ninga foyafikile ahano Lumi hakanikongha kwa ludole hoyonyona. 
2TI.1.18	Mundewa yamonele ubasi Mwijuwa diya, na agweye kumanya fiswanu ifene foyanihokele kwa mengi ako Efeso.
2TI.2.1	Hambiya gweye, mwanangu, wime chewelu mumboto iyuwile mugati ya Kilisito. 
2TI.2.2	Na simbuli siya souhulike ukwangu hamwande ya mashahidi itewa uwenghe awanhu awahuilwe awodaha kuwafusa wamonga nawo. 
2TI.2.3	Uwe mumagayo hamwedu nani kefana chitung'ati yahuwilwe na Kilisito Yesu. 
2TI.2.4	Hechaka chitung'ati iyekitowa munghondo iyokiguma mu milimo ye chilunga, yadahe kumwendesa imukulu wakwe iyamwingise mumulimo. 
2TI.2.5	Hata imunhu iyekisuma mumiseigo nghodaha kwinghingwa mhongesi yanghaleka kisuma muchawelu ifene foikwendigwa. 
2TI.2.6	Yagila imulimi iyekituma mumulimo yowe wa nghonga kuhokela dikanda dya mamudyo agalawile mumugunda.
2TI.2.7	Kolelesa lugano gonikutamile, kosoko iMundewa kokwingha udaha wa kumanya chila chinhu. 
2TI.2.8	Mugelegele Yesu Kilisito, iyenuke kulawa kwa wofile, iwo lukolo lwa Daudi, ifene foikulonga Injili yangu, 
2TI.2.9	nani mu Injili iyo ndumangiswa mpaka kohigwa kefana ngolosa wihi. Ninga imbuli ye Mulungu isikudaha kohigwa. 
2TI.2.10	Kosoko iyo nikufinyilisa simbuli sose, kosoko ya wanu wasagulwe, uleke nawo wapate uhonya uwuwile mugati ya Kilisito.
2TI.2.11	Ni mbuli ya kuhuwiligwa: Inghowa chufa hamwedu naye, chokwikala hamwedu naye; 
2TI.2.12	inghowa chofinyilisa, chokuwa wandewa hamwedu naye; chinghamulema imwene, naye kodaha kuchilema seye; 
2TI.2.13	chinghaleka kuwa na ihuwi, imwene yakusigala wa kuhuwiligwa, kosoko ngodaha kilema imwenyecho.
2TI.2.14	Uwagelegese simbuli sino, na kuwajama hamwande ye Mundewa wanghowe na nyisuma ye simbuli isichaka chinhu chochose, amba sikuwagilisa awekusihulikisa. 
2TI.2.15	Upiligale lugano ukiyonese fina kufumiligwa ne Mulungu, mtogomi we milimo iyechaka chinyala, iyakolelese imbuli ye chawelu ye Mulungu. 
2TI.2.16	Kinege na mabuli agechaka dini, kosoko gakuwegala awanhu kutali ne Mulungu, 
2TI.2.17	na dibuli dyokwenela kefana ilonda ndugu. Mugati yawo no cha Hinenayo na Fileto, 
2TI.2.18	awaiswelile ichawelu, wekugamba nhafi indumo ifulusa kuloka. Howabidula dihuwi dya wamonga.
2TI.2.19	Amba umusingi we Mulungu uukangale ufulusa kwima, wina muhuli uno: iMundewa kawamanya wose awakwe na chila iyekutambula disina dya Mundewa yauleke uwihi. 
2TI.2.20	Mugati ye inyumba inghulu siyo du mwina finhu fye sahabu na fesa amba mwina fya mabiki na fya ulongo; ifimonga fina heshima na ifimonga fichaka. 
2TI.2.21	Hambiya inghowa imunhu kakikwema kwa kinega nawo, kokuwa chiya cha kwinghigwa heshima, ichisunhigwe, ichimwagile Mundewa, chigoloswa kwa chila mulimo muswamu. 
2TI.2.22	Ninga utije usulumisi wo ujelelo na uikonghe ichawelu, dihuwi, uwendo, na itoyoyo hamwedu na wose awekwinanga iMundewa kwa chidogo chelile. 
2TI.2.23	Ugaleme amaswali go ubwalasi agechaka mahala; umanyile fina gakwigala ulefi.
2TI.2.24	Na kwa uholo awekisuma naye. Mulungu kodah Imutogomi we Mundewa yakwendigwa yanghowe mulefi amba muholo kwa chila yumwedu, iyekudaha kufusa, mufinyilisi, 
2TI.2.25	iyekudaha kuwajama kwa uholo awekisuma naye. Mulungu kodaha kuwatasa walambe na kuimanya ichawelu, 
2TI.2.26	wadahe kinega no muheto wa luhoma, uwuwakolile, wagolose sinyenda sakwe.
2TI.3.1	Ninga umanye imbuli ino, nhafi amajuwa ge indumo kokuwa na figele fya kogohesa. 
2TI.3.2	Kosoko awanhu wokuwa wakiyenda awenyecho, wakwenda mapesa, wakwenda kitunya, wakiyona, waligaji, wasikuwahulika awaBaba sawo na awang'ina sawo, wechaka ilumbo, wehi, 
2TI.3.3	wasikuwenda awanhu wo ukwawo, wasikwenda kulamulwa, wasongesi, wechaka ufinyilisi, wakali, wasikwenda uswamu, 
2TI.3.4	wahomelesi wo udasi, wafumbi, wekiyona, awekwenda amabuli gehile kuliko Mulungu, 
2TI.3.5	wekigamba wamuhokela Mulungu amba awekukana uludole wakwe. Kinege na wanhu wo.
2TI.3.6	Kwasoko mugati yawo waumo wanhu awekwingila musinyumba sa wanhu na kuwalonda wanawake awechaka ludole, awena amakanda go uwihi wakoligwe no usulumisi wa mataho itewa, 
2TI.3.7	awekituma kuhulikisa kwa chila munhu amba awesidaha kugafikila mahala ge chawelu. 
2TI.3.8	Kefana Yanne na Yamble awamulemage Musa, awano nawo wakuilema ichawelu, wanhu wajugume matwi na awalemigwe na simbuli se dihuwi; 
2TI.3.9	Ninga siwodaha kutowa nghanyo; kwasoko ubwalasi wawo wokonigwa na wanhu wose, kefana fowowile awuya wa wanhu weli. Mafuso ge ndumiliso 
2TI.3.10	Ninga agweye kufulusa kona amafuso gangu, dihuwi dyangu, ufinyilisi wangu, uwendo wangu, umwimo wangu, 
2TI.3.11	amagayo gangu, indumangiswa yangu, agamhatile Lisitila, amba hanifinyilisa kwa chila igayo; kahe mugago gose iMundewa hakamhonya.
2TI.3.12	Chawelu wose awekwenda kwikala ifene Kilisito Yesu foyekwenda wondumangiswa, 
2TI.3.13	ninga awehi na wadasi wogendelela na kongeseka kuwa wehi, kudanha na kudanhiliswa. 
2TI.3.14	Ninga gweye, ugendelele ne simbuli siya soufusigwe na kuhuiswa, kosoko kumanya kwifusa kwa che nani 
2TI.3.15	na kulawa udodo wako kugamanya amawandiko masunhile, agodaha kukwingha mahala go kupata uumi kwa dihuwi idyuwile mugati ya Kilisito Yesu. 
2TI.3.16	Amawandiko gose gena Muhe wa Mulungu kahe gena udaha wa kufusa, kugombela, kujama, kufusa mu chawelu, 
2TI.3.17	uleke imunhu we Mulungu yamemelekele, yadahe kugolosa chila mulimo muswamu.
2TI.4.1	Nikukulagisa hamwande ye Mulungu na ya Kilisito Yesu iMulamusi wa wanhu awomi na wafile, na kwa kugubuligwa kwakwe no uumi wakwe: 
2TI.4.2	tamilisa imbuli, wiyohe chigele chiswamu ne chihile, jama, gombela, na kulolesa kwa ufinyilisi wose na kufusa. 
2TI.4.3	Kosoko chokwija chigele awanhu wakaalema mafuso go uumi, ninga kwa kwandamila sinyenda sawo awenyecho wodaha kupata wafusaji awekuwendesa, 
2TI.4.4	nawo wokinega wanghahulike simbuli se chawelu na kubidukila sisimo so udasi. 
2TI.4.5	Amba gweye, wiyohe majuwa gose, finyilisa mumagayo, togoma umulimo wo uinjilisti, togoma umulimo wako.
2TI.4.6	Kosoko aniye nyuwa muchigele cho kulafigwa nyuwe nhambiko; ichigele cha difa dyangu chisegelela. 
2TI.4.7	Nilewa inghondo fiswamu, inhambo niimala, dihuwi nidimilisa; 
2TI.4.8	kulawa baho nyikilwa mhongesi yo kusuma kwangu, yonikanikwinghigwa ne Mundewa, imulamusi we chawelu mwijuwa diya, kahe siyo niye muhala amba na wose awendile kwija ukwakwe. 
2TI.4.9	Witahidi kwija ukwangu chimwandemwande.
2TI.4.10	Kosoko Dema kwa kwenda ichulunga chino hakandeka na kuluta Tesalonike; Kilesike kaluta Galatiya, Tito kaluta ku Dulumatiya. 
2TI.4.11	Luka du noyowile naniye. Mulonde Maluko kamei mwijanye; kosoko yakunhasa lugano mumulimo. 
2TI.4.12	Tikiko hanimwigala Efeso. 
2TI.4.13	Ichigele chowukwija, wigale inghasu yangu yonalekile kwa Kalupo ku Tolowa, kahe wigale ifitabu fiya fye singhingo.
2TI.4.14	Alekisanda ayuya imulugulusaji we finhu fye shaba hakonesa winhi mwingi ukwangu; Mundewa komuliha ifene uwihi wakwe fowuwile. 
2TI.4.15	Kinege naye, kosoko hakasilema lugano simbuli setu. 
2TI.4.16	Munyinenela yangu ya bosi hechaka hata munhu yumwedu iyemile ulwandi lwangu; wose hawandeka niye. Nikutasa wanghawaliligwe itoso kwasoko yiyo! 
2TI.4.17	Amba iMundewa hakema ulwandi lwangu na kunyingha ludole lwa kuitamilisa imbuli yose, uleke awamataifa nawo waihulike. Nani hanihuligwa mumulomo we simba.
2TI.4.18	iMundewa konihonya kulawa mu wihi wowose na kunhasa niufikile undewa wakwe wa kulanga. Ditunyo dyuwe ne mwene majuwa gose. 
2TI.4.19	Walamuse cha Pilisika na Akila, hamwedu no ulukolo lwa Onesifolo. 
2TI.4.20	Elasito yasigala Kolinto; Tulofimo hanimuleka mutamu ku Mileto. 
2TI.4.21	Usunguse kwija ichigele che imheho chinati chikonge. Eubulo, Pude, Lino na Kilawudiya wose wakukulamusa. 
2TI.4.22	iMundewa yowe hamwedu ne chidoga chako. Imboto yuwe nanye.
TIT.1.1	Paulo, mutogomi we Mulungu kahi mutumigwa wa Yesu Kilisito, kugendelesa dihuwi dya wasagulwe ne Mulungu no umanyi wawo we ichawelu iikufumila imikalile ye chimulungu, 
TIT.1.2	mwihuwi dyo uwumi wa majuwa gose, uwene Mulungu, inghekudaha kudanha, hakaulaganisa minyaka mingi ilokile, 
TIT.1.3	kahi muchigele chakwe haugubuligwa mumbuli yakwe kwa njila ya mahubili gonyenghigwe kwe dilagiso dye Mulungu iMwihula wetu. 
TIT.1.4	Kwa Tito, gomwanangu we chawelu mwihuwi dyochihangile: Dihewa ne digoya kulawa kwe Mulungu iBaba na Kilisito Yesu iMwihula wetu fyuwe nagwe.
TIT.1.5	Nochanghone nakulekile ku Kilete, uleke ugolose digoya agasigale, na kuwasagula wasehe mu chila ikaya ifene fonakulagise, 
TIT.1.6	nghona hena munhu munjelu, mulume wa muke yumwedu, kahi awanagwe wena ihuwi kahi wasikusongeswa na mbuli yoyose yo uwihi hegu kuleka kuwa na chogoho. 
TIT.1.7	Kosoko iasikofu, kagaluka munyamhala we Mulungu, yagila yowe munhu inghekusongeswa na mbuli yoyose; yanghowe munhu iyakiyona, yanghowe munyono, yanghowe mulewaji wo ugimbi hegu mulefi hegu iyekilundila finhu itewa kosoko yakwe, 
TIT.1.8	ninga yowe mundewa, iyekwenda uswanu, iyekiimila imwenyecho; 
TIT.1.9	yekuhanangigwa yakolelese imbuli ye chawelu foifusigwe, uleke yadahe kulafa mafuso ge ichawelu, kahi kuwajama wose awekugalema.
TIT.1.10	Kosoko kwina wanhu wengi awechaka chogoho, wena mbuli sichaka chinhu, kahi wadasi, lugano awo ulwandi lwa wafinigwe; 
TIT.1.11	wekuhanangigwa wanyamasigwe, kosoko wekuwabana awanhu we sikaya sose kwa mafuso gawo uleke wapate chinhu, amafuso gowasikwendigwa wafuse. 
TIT.1.12	Yumwedu wawo, imugonese wawo yagamba “Awakilete wowaga wadasi majuwa gose malimu gehile, wadoba kahi wadiisaji” 
TIT.1.13	Uhomelesi uno ni chawelu. Kosoko yo wagombele kwa ukali, uleke wadahe kuwa womi mwihuwi, 
TIT.1.14	waleke kusitegelesa sisimo se Chiyahudi hegu amalagiso ga wanhu awekuilema ichawelu. 
TIT.1.15	Ifinhu fyose fikugaluka fyela kuwanhu awelile, ninga kuwehi na awasikuhuwila hechaka chinhu chochose ichelile; amahala ne misungu yawo fibanika. 
TIT.1.16	Wakigamba wamumanya Mulungu, ninga wakumulema kwa sinhenda sawo; wena ludeso, wechaka chihuliko, wasagile kwa nhenda yoyose iswanu.
TIT.2.1	Ninga gweye, fusa amafuso go uwumi. 
TIT.2.2	Uwalagise awasehe wanghowe na makulu, ninga wowe wasindamafu, wowe na mahala, womi mwihuwi na muuwendo na mungojela. 
TIT.2.3	Uwalagise kahi awadala wowe wasindamafu, wanghowe wasigilaji, hegu wonywaji wo ugimbi lugano; ninga awekufusa iswanu, 
TIT.2.4	kahi na kuwafusa awanawake awadodogi wawende awalume sawo na wana, 
TIT.2.5	wowe na chihuliko, usunhile, kutogoma milimo musinyumba sawo, waswamu, wowe na chihuliko kuwalume sawo, uleke imbuli ye mulungu inghatofuligwe. 
TIT.2.6	Nheifo kahi, walolese awajelelo wakituse awecho. 
TIT.2.7	Kiyonese gomwenyecho musimbuli sose chinhu cha kifusila sinhenda siswanu, kahi mumafuso gako yonesa uchawelu na usito, 
TIT.2.8	na simbuli so uwumi isisidaha kutofuligwa uleke imunhu iyedaha kulema yengile chinyala, kwa kuswela mbuli ihile ya kulonga muchanhya yetu. 
TIT.2.9	walagise awatumwa wowe na chogoho kuwakulu wawo, na kuwendesa musimbuli sose; wanghowe wabidulaji, 
TIT.2.10	wanghowe wahiji, ninga wonese uchawelu wose, wagahambe amafuso fe Mwihula wetu Mulungu musimbuli sose. 
TIT.2.11	Kosoko dihewa dya Mulungu digubuligwa uleke awanhu wose wehulwe, 
TIT.2.12	nadyo dikuchifusa kuulema uwihi na usulumisi we chilunga, chidahe kwikala fiswanu, na mikalile yo kumogoha Mulungu muchilunga chino, 
TIT.2.13	akuno nikudigojela dihuwidyetu idilugutisigwe, na magubulo ge ditunyo dye Mulungu wetu imukulu ne Mwihula Yesu Kilisito, 
TIT.2.14	iyakilafa imwenyecho kosoko yetu kuchihula seye kulawa mu wihi wose na kisunhila imwenyecho wanhu wakwe awekupiligala musinhenda siswanu. 
TIT.2.15	Longa simbuli sino; jama na kugombela kwa ludole. Munhu wowose yanghakubese.
TIT.3.1	Uwagelegese awanhu kinenenghesa kuwandewa na wena udaha, kuwa na chogoho, kuwa tayali kwa chila mulimo muswanu, 
TIT.3.2	waleke kumulonga munu wowose, wakinege ne ing'omba, wowe waholo na konesa chogoho ku wanhu wose. 
TIT.3.3	Kosoko ase nase katali hachuwaga chaka mahala, chichaka chogoho, chagiliswe, watumwa wo usulumisi wa mbuli nyingi, chikale mu wihi ne finju, chisuligwe na wanhu, nase chikisulile munhu na miyagwe; 
TIT.3.4	ninga ichigele uswanu wakwe na uwendo wakwe Mulungu iMwihula wetu fowoneke, 
TIT.3.5	hakachihonya seye, si kwa sinhenda setu, so uchawelu sochigolose, ninga kwa ubasi wakwe, kwa kusunhwa kwa kwelekigwa keli na kugoloswa usha ne Muhe Musunhile; 
TIT.3.6	iyachitilile kwa ugoli wose kugendela Yesu Kilisito iMwihula wetu, 
TIT.3.7	chidahe kutaliligwa ichawelu kwa dihewa dyakwe uleke chuwe wahasi mwihuwi dyo uwumi wa majuwa gose. 
TIT.3.8	Ni nonga ya chawelu. Nikukuhananga gweye ulonge simbulisino kwa ludole uleke wose awamuhuwile Mulungu, wagendelele kusigala musinhenda siswanu; simbuli sino ni swanu kahi sina faida kuwanhu. 
TIT.3.9	Ninga kinege ne sinonga se chibwalasi, sinonga sinhali sa wagono, ing'omba na iwanga kosoko ya malagiso, kosoko gechaka faida kahi gechaka chinhu. 
TIT.3.10	Imunhu mudasi, yanghadaha kujamigwa ichigele cha bosi na cha keli, muleke, 
TIT.3.11	umanye fina imunhu yefane yo kagilila kahi yakugolosa sambi; kafulusa kiliganisa imwenyecho.
TIT.3.12	Ichigele chonikanimutuma Alitema ukwako hegu Tikiko, piligala kwija ukwangu kuno Nikapoli, kosoko nilamula kwikala kuno ichigele che imheho. 
TIT.3.13	Piligala kuwatasa Sena imulamusi na Apolo munhambo yawo; langisisa wanghahungukilwe na chinhu. 
TIT.3.14	Leka awanhu wetu wefuse kusigala musinhenda siswanu, wadahe kuwatasa awechaka ichawelu, wanghaleke kulela mamudyo maswanu. 
TIT.3.15	Awanhu wose awehamwedu nani wakukulamusa. Walamuse wose awekuchenda seye mwihuwi. Dihewa dyuwe hamwedu nanye mose.
PHM.1.1	Aniye Paulo, inyohigwe kosoko ya Kilisito Yesu, na Timoseyo imundugusetu.
PHM.1.1	Chikukwandikila agweye Filemoni mwendigwa wetu, mwituma milimo miyetu, 
PHM.1.2	na Afiya ilumbudyetu na Alikipo musilikali miyetu hamwedu ne dikanisa idikitang'anyila munyumba yako. 
PHM.1.3	Dihewa dyuwe nanye, ne digoya idikulawa kwe Mulungu na kwe Mundewa Yesu Kilisito.
PHM.1.4	Nikumulumba lugano iMulungu wangu amajuwa gose, fonikuwagelegela munhasai yangu; 
PHM.1.5	Ifene fonikuhulika isimbuli so uwendo wako, ne dihuwi dowinadyo mwe Mundewa Yesu na wasunhile wose. 
PHM.1.6	Kahi nikutasa fina uumwedu wochinawo mwihui dyako dyongesele udaha wo kumanya maswanu gose muumi wetu mundugusangu mugati ya Kilisito. 
PHM.1.7	Uwendo wako unyingha chinyemi lugano na kuhoswa! Kulawa muuwendo wako, fidoga fya wasunhile, fisangalaswa lugano kosoko yako.
