MAT.1.1	Xuꞌu é Mateú u ne, iꞌa kakaꞌán u iña táta viꞌi Jesucristu, iꞌxá ika Dāvii, iꞌxá ika Ābraan.
TIT.3.15	Un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa, ña é ntoo dadɨɨ ntɨ́ ni ī né, taxnūu ña ntiusi íña o. Káꞌān ntiusi ni ún ntɨɨ́ ntɨ̄ɨ́ taꞌan ko, ña ntákuinima í ko tsí dadɨɨ tsi kuíntiꞌxe kó ni ñā. Xuva ko na nāxnuu viko ña nto un ntɨɨ́ ntɨɨ̄ nto.
PHM.1.1	Xuꞌu é Pablú u, é nuu kutū ú kuenta iña Jesúcristú ne, ntuví u ni taꞌan ko Timōteu ntáde váꞌa ntɨ́ tutú sāꞌá iña nto, Filémuun, tsi dóo váꞌa tiin ō é dadɨɨ tsi ntáde tsiñu ō. 
PHM.1.2	Iña taꞌan ko Ápia dɨ, ni Ārquipu, ña é dadɨɨ ntáde tsiñu niꞌī ntɨ́, ni ūn ntɨɨ́ ntɨ̄ɨ́ ña kuíntiꞌxe i, ña ntánataká nuu nú viꞌi nto kān. 
PHM.1.3	Na naxnuu viko Xuva ko nī Tóꞌo ko Jesūcristu nto; na tāꞌxi ña é vāꞌá koo kuntōo nto.
PHM.1.4	Utén utén kanakuéꞌe ú sintiáꞌvi ntaꞌa Xuva ko kuēnta iña nto dá kākaꞌan ntâꞌví u. 
PHM.1.5	Tsi é kūtuní ko tsi dóo kakuintiꞌxe nto Tóꞌo ko Jēsuu, dóo kakuinima ntó ña, ni ūn ntɨɨ́ ntɨ̄ɨ́ ña kuíntiꞌxe i san. 
PHM.1.6	Kaikán u ntaꞌa Xuva ko te kūvi kaꞌan váꞌa nto iña nuu i é kākuintiꞌxe nto, vata koo é na kūtuni ñáꞌa iña i é un ntɨꞌɨ̄ é vāꞌa é nīꞌi ko ntaꞌa Jesúcristu. 
PHM.1.7	Dōó diní ko, dōó kaꞌnu kuiní ko kuenta iña nto, tsi dóo kakuinima nto, tsi dóo nátsuꞌun kaꞌnu nto ini ña ntákuintiꞌxe i san.
PHM.1.8	Dukuān ne, ñá kaūꞌví ko é kāꞌán u ni nto nēe é viī ntó kuenta iñá Cristu. 
PHM.1.9	Ntá tsi dií ka váꞌā ó, kuiní ko, te kākán u da xeꞌe kuenta iña i é kākuinima ntó Xuva kō. Xuꞌu é Pablú u ne, é atā ú ne, iꞌa nuu kutū ú vevii kuenta iña Jesúcristu. 
PHM.1.10	Xuꞌú kaikán u ntaꞌa nto kuenta iña iꞌxá ko Onesimu. Kakaꞌán u tsí iꞌxá ko ña, tsí xuꞌu é nakuāꞌá u ña nté koo kuintiꞌxe ña Xuva ko nɨɨ dukuan nuu kutū u.
PHM.1.11	Kidáā ne, ñá ni kānuu áꞌvi ña iña ntó, ntá tsi vevií ne, e dóo kainuu áꞌvi ña iña ntó ne, iñá ko dɨ. 
PHM.1.12	Nataxnūu xtuku ú ña mí tuví nto. Ntá tsi váꞌa tsi koo vií nto ni ña vata tsi te miī u. 
PHM.1.13	Ntio ko é kūtuví ka ñá nī kó vata koo é xntii ñā kó naa nto dá nuu kutū ú a kuenta iña túꞌūn vaꞌá san. 
PHM.1.14	Ntá tsi ña iní u nee iña é ntio nto. Dukuān ne, ñá ni kāꞌán u ni ña te kutūví ka ña nī ko. Ña ni ntíō ko é kuēꞌe kuetsí u nto é viī ntó da xeꞌe, ntá tsi te mii ntō ntio nto ne, kuvi. 
PHM.1.15	Á te ītúvi xio ña uun daꞌna vata koo é nākiꞌi xtuku nto ña é kutuvī ñá ntii dañu ntūvi. 
PHM.1.16	Tsi ñá te da mii tsī é kāde tsiñu ña iña nto ve, tsí dií ka nuu áꞌvi ña ve, tsí e kúvi ña taꞌan kō, ña e dóo kuinima ko. Xuꞌú ne, dōó ntio kó ña. Ntá tsi dɨvi ntō ne, á tē dií dií ka kueꞌe ntío nto ña kuenta iña mii ñá ne, kuenta iña Tóꞌo kō dɨ.
PHM.1.17	Te tāꞌan ntiꞌxe nto kó kuiní nto ne, nakiꞌi nto ña vata tsi te miī u. 
PHM.1.18	Te īo míꞌī é kōꞌxó nteē ñá, o te nēe iña é ītá nuu ña iña ntó ne, nadita nto kuentá ko. 
PHM.1.19	Xuꞌu é Pablú u kakaꞌū ú ntaꞌa miī kó ne: Xuꞌú ntanáa u. Ntá tsi ña ncho kaꞌán u ni ntō tsí tē ña dɨví u ne, ñá ni nīꞌi nto ntuví vaꞌá iña nto. 
PHM.1.20	Sáꞌa viī ntó da xeꞌe kuenta iña Xuva ko vata koo é na kūnuu dîní nimá ko. Nāxnuu kaꞌnu kudii ntó nimá ko, tsí ení ko nto kuenta iñá Cristu.
PHM.1.21	Taxnūu ú tutú sāꞌá iña nto, tsí iní u tsí kuintiꞌxe nto é kākaꞌán u ni ntō. Iní u tsi dií dií ka xntíi nto ña vatā o é kākaꞌán u ni ntō. 
PHM.1.22	Uun ká tuku é kākán u ntaꞌa nto ne, te na kōo túꞌve míꞌi kutūví u. Tsi táꞌxi Xuva kō é kīꞌxí u mí ntoo nto, kuiní ko, tsí kuān o ntaíkan ntó ntaꞌa ña kuenta iñá ko.
PHM.1.23	Ení ko Ēprafa, ña é dadɨɨ nuu kutū ú ni i kuēnta iña Jesúcristú ne, taxnūu ña ntiusi nto. 
PHM.1.24	Marcu, ni Arístarcu, ni Dema, ni Luca, ña é dadɨɨ ntáde tsiñu niꞌī ntɨ́ ne, taxnūu ña ntiusi ntó dɨ.
PHM.1.25	Na nāxnuu viko Tóꞌo ko Jesūcristu ntó un ntɨɨ́ ntɨɨ̄ nto. Sáꞌa tsī é kāꞌán u ni ntō.
HEB.1.1	Ntuvi tsikán ne, dōó kiꞌin ito kākaꞌan Xúva ko ni ñata kō. Dōó kiꞌin nuū í kakaꞌan ñá kuenta iña ñá kaꞌan náa ña. 
HEB.1.2	Ntá tsi ntuvi sāꞌá ne, kakaꞌan ñá kuenta iña Iꞌxá ña. Tsí kuenta iña Iꞌxá ña de váꞌa ña ñuxiví san ne, xéꞌe ñā é kūvi é un ntɨꞌɨ īña Iꞌxá ña dɨ. 
HEB.1.3	Kūtuni ko tsi dóo kaxiꞌí nuu kaꞌnu Xuva kō dá kīni o tsi dóo kaxiꞌí nuu kaꞌnu Iꞌxá ña, tsí dadɨɨ kueꞌen tsí ña ni Xuva kō. Kade kúꞌvē ña é un ntɨꞌɨ̄ é īó ni tūꞌún ña e dóo ntii īní i san. Dā kúvi nakate ña kuétsi kō ne, nákutuví ña diñɨ kuaꞌa Xuva kō, ña e dóo kaꞌnu san, e dukún kān.
HEB.1.4	Iꞌxá Xuva kō ne, xéꞌe Xuva kō é dií ka kaꞌnu ña e ánjē sán ne, xéꞌe Xuva kō é dií ka kaꞌnu tsiñu vií ña é un ntɨɨ́ ntɨ̄ɨ́ ánjē san. 
HEB.1.5	Tsi nté uun ánjē san ña ni káꞌān Xúva ko ni ñā:
HEB.1.5	Dɨvīn ne, Iꞌxá ko;
HEB.1.5	vevii xéꞌe u é kūtuni ñaꞌa tsí Iꞌxá ko o;
HEB.1.5	ntē ña ní kaꞌan niꞌi ña nté uun ánjē san:
HEB.1.5	Xuꞌu kúvi ú uva ō né,
HEB.1.5	dɨvīn ne, iꞌxá ko kúvin.
HEB.1.6	Ntá tsi dá xee niꞌi ña Iꞌxá mii ña ñūxiví a ne, kakaꞌan ña:
HEB.1.6	Un ntɨɨ́ ntɨ̄ɨ́ ánjē kó ne, na kunuu inī ñá Ihxá ko,
HEB.1.6	kaꞌan Xúva kō. 
HEB.1.7	Kuenta iña ánjē sán ne, kakaꞌan túꞌun Xuva kō:
HEB.1.7	Kade Xuva kō é kōo ánje ñā vata kaa tatsín san,
HEB.1.7	vata kaa ñuꞌu é kaīꞌxi ntáa ña ntáde tsiñu iña ña,
HEB.1.7	kaꞌan. 
HEB.1.8	Ntá tsi kuenta iña Iꞌxá ña ne, kakaꞌan ña:
HEB.1.8	Kadan kûꞌvén ntii dañu ntuvi, Xuvā ko.
HEB.1.8	Váꞌā kueꞌen koo kadan kúꞌvēn.
HEB.1.9	Dōo kakuinima o nuu i é vāꞌá san ne,
HEB.1.9	ña ntío kueꞌen o nuu i é kīni kaa san.
HEB.1.9	Dukuān né, Xuva ko, Xuva mii ō ne,
HEB.1.9	é nakaxnúu ña o
HEB.1.9	e dií ka naxnuu dínī ñá nima o é ūn ntɨɨ́ ntɨ̄ɨ́ taꞌan o,
HEB.1.9	kaꞌan ña. 
HEB.1.10	Kakaꞌan xtúku túꞌun Xuva kō:
HEB.1.10	Dɨvīn, Tóꞌō, nté dīꞌna den kûꞌvén ñuxiví san ne,
HEB.1.10	mii ntāꞌa o den váꞌan e dukún kān dɨ.
HEB.1.11	Xée ntūvi é ntɨ̄ꞌɨ nuu i tsíkān,
HEB.1.11	ntá tsi dɨvīn né, kutūvín ntii dañu ntūvi.
HEB.1.11	Un ntɨɨ́ ntɨ̄ɨ́ nuu i tsikán ne,
HEB.1.11	kuata vatā ó kakuata dōo.
HEB.1.12	Nakaꞌnun váta kaa duꞌnu.
HEB.1.12	Nadaman vatā ó kanadama o dōo ko.
HEB.1.12	Ntá tsi dɨvīn ne, ñá kānadaman kueꞌen tsin.
HEB.1.12	Ntuvi iña ó ne, ña ntɨ́ꞌɨ kuēꞌen tsi,
HEB.1.12	kaꞌan Xúva ko ni Iꞌxā ña. 
HEB.1.13	Nté uun ánjē ña ni káꞌan Xuva ko ni ñā:
HEB.1.13	Kutūvín diñɨ kuaꞌa ko é kadā kûꞌven
HEB.1.13	da nté kūvi vií u nī ña ntaínchuꞌvi o.
HEB.1.13	Ñá te kuan ō ni káꞌan ña nī ánjē san. 
HEB.1.14	Tsí da xōó ka ánjē sán ne, ña ntáde tsiñu iña Xuva ko. Tsí kataxnuu Xuva kō ánjē san é xntii ña ñāꞌa san, ña é nīꞌi i é vāꞌa é nakáku Xuva kō.
HEB.2.1	Dukuān ne, kantio e dií dií ka vii o kuenta túꞌūn é kātekú kō. Tē ñaꞌá ne, xtuvī mii o é kuintiꞌxe ko un sīin vevií ne, un sīin ká uten. 
HEB.2.2	Ini ó tsi é nuu é ntaā i túꞌūn é kākaꞌan Xúva ko kuēnta iña ánje ñā kídaā ne, níꞌi ñāꞌa é ntōꞌo ña é ña ni de ntáa ña, é ña ni ide ña kuénta. 
HEB.2.3	¿Nté ntu koo é ña níꞌi kō é ntoꞌo ko ve, tē ña vií o kuēnta túꞌūn e dóo kaꞌnu san é kākaꞌan nté koo nakáku ō? Tōꞌó kō ne, diꞌna ña kakaꞌan ñá túꞌūn vaꞌá san. Kidáā ne, ntáda ntaa ñaꞌa san ní ko vata ō téku ña é kākaꞌan Tóꞌo kō. 
HEB.2.4	Taꞌxi Xuva kō é kūtuni ko tsi túꞌūn ñá ne, nuu é ntaā i, kuenta iña nuu i e dóo naꞌnu e éde ña. Dōó kiꞌin nuū í nañéꞌe ñá kō ne, tāꞌxi Espíritū Sántū san e túku e túku nuu i é kūvi vii ó, vatā ó ntio Xuva kō.
HEB.2.5	Ñá ni xēꞌé Xuva kō é kadā kûꞌve ánjē san ñuxiví xēé san é kīni ó rkontuvi. 
HEB.2.6	Ntá tsi īó mí uve naꞌa túꞌun Xuva kō mí kakāꞌan úun ñaꞌa ni ñā:
HEB.2.6	¿Nee iñá ntu é ñāꞌa san,
HEB.2.6	nee iñá ntu kuvi ña, Xuvā ko, é kanakaꞌan nto ñā?
HEB.2.6	¿Nee iñá ntu é ñāꞌa ñuxiví sa é kāntɨꞌɨ ini nto ña?
HEB.2.7	Dē kúꞌvē ntó ña é dií ka xuvi vií ña e ánjē san uun daꞌna,
HEB.2.7	ntá tsi xeꞌé nto e dóo vaꞌá ña, é kuiko ñuꞌu o ñā.
HEB.2.8	Xéꞌe ntō é kāda kúꞌvē ña é un ntɨꞌɨ̄ é īo,
HEB.2.8	kaꞌan ña. Dukuān ne, xéꞌe Xuva kō é kāda kûꞌvé ñaꞌa san é un ntɨꞌɨ̄. Ña túvī nee iña é ña kuvi vií ña ni ī. Ntá tsi vevií ne, váta kīni o te kuvi vií ña nī é un ntɨꞌɨ̄ san. 
HEB.2.9	Ntá tsi ini o Jésuu. Xtûví Xuva ko ñā é dií ka xuvi vií ña e ánjē san uun daꞌna, vata koo é ntōꞌo ña doxiꞌí san. E dóo kuinima Xúva ko kō ne, xéꞌe ñā é kūví Iꞌxá ña kuenta iña ún ntɨɨ́ ntɨ̄ɨ́ ñaꞌa. Kidáā ne, xéꞌe Xuva kō e dóo kaꞌnu ña, é kodo nūú kueꞌen ña.
HEB.2.10	É un ntɨꞌɨ̄ é īó ne, kuenta iña Xuva ko. Dɨvi ñā de kúꞌvē ña é un ntɨꞌɨ̄ ne, ntio ña é un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa e kúvi iꞌxá ña xee ña é nīꞌi ña é vāꞌá ntaꞌa ña. Dukuān ne, é vāꞌá, kuinī ña, é ntuváꞌa kueꞌen Cristu, ña é nakáku ko, kuēnta iña i e ntóꞌo ña. 
HEB.2.11	Tsí un ntɨɨ́ ntɨ̄ɨ o é ntoo xio o īña Xuva kó ne, uun tsi Uva ko nī Cristu, ña é nakaxnúu kō. Dukuān ne, ñá kākukaꞌan nuu Iꞌxá Xuva kō é kāꞌan ña tsí taꞌan ña ko, 
HEB.2.12	vatā ó uve naꞌa kakáꞌan ña:
HEB.2.12	Káꞌān ú ni tāꞌan kó xōo ñáꞌa nto.
HEB.2.12	Kata u tsi dóo kaꞌnu nto méꞌñū ña ntákuintiꞌxe i san,
HEB.2.12	kaꞌan ña. 
HEB.2.13	Xio uve naꞌa kakaꞌan xtúku ña:
HEB.2.13	Kuntee iní ko Xuvā ko,
HEB.2.13	kaꞌan ña. Uun ká xtuku kakaꞌan ña:
HEB.2.13	Iꞌa tuví u ni ūn ntɨɨ́ ntɨ̄ɨ́ iꞌxá ko e táꞌxi Xuva kō,
HEB.2.13	kaꞌan ña.
HEB.2.14	Ñaꞌa sán ne, īo kúñu ña, īó nɨñɨ ña. Dukuān né, kīꞌi Jesuu kúñū san ni nɨ̂ñɨ́ san dɨ. Dukuān ne, kuvi kuví ña ne, kuvi vií ña nī tóꞌō e ña váꞌā san é kāde kûꞌvé iñá doxiꞌí san, 
HEB.2.15	vata koo é kūvi nakáku ña un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa, ña é ūve tɨɨn dá kanɨɨ̄ ntuvi iña i e ntaúꞌvī ñá doxiꞌí san. 
HEB.2.16	Nuu é ntaā i tsí ñá te ánjē san ña é vexntíi ñā, tsí tatá Abraán san. 
HEB.2.17	Dukuān ne, vata koo é viī ña sáꞌā ne, kantio é ntūvi ña vata tsi ntáa taꞌan ña, vata koo é viī ñá dutu ódo nūu, ña é kāntuntaꞌví ini i taꞌan i, ña é kāde ntaa tsíñu Xuva kō. Dukuān ne, kuvi nakate ña kuétsi ñāꞌa san. 
HEB.2.18	Da xe é mii ñā ntóꞌo ña e ntío tóꞌō e ña váꞌā san é viī ña é kīni kaa ne, vevií ne, kuvi xntii ña ñāꞌa, ña é kuān o ntántoꞌo i dɨ.
HEB.3.1	Dukuān né, taꞌan ko e dóo vaꞌá nto nuu Xuva ko, ntōꞌo é dadɨɨ kána Xuva ko nto nī ko é kuvi o īña ñá, kadā kuení vaꞌā ntó iña Jésuu, ñá vexkáꞌan ni ko īña Xuva ko. Kakaꞌan o tsi táxnuu ntiꞌxe Xuva ko ñā é viī ñá dutu ódo nūu iña i é un ntɨꞌɨ̄ e ntákuintiꞌxe kō. 
HEB.3.2	Dē ntaa ña é un ntɨꞌɨ̄ é kākaꞌan Xúva kō, ña é teé tsiñu ña, vatā o dé ntaa Muísee iní viꞌi Xuva kō kídaā. 
HEB.3.3	Ntá tsi Jesuú ne, dií dií ka kaꞌnu ña é Muīsee, vátā ó dií dií ka kaꞌnu ñá kaxntītsí viꞌi san é vīꞌi é kaxntitsī ña. 
HEB.3.4	Da nēé ka viꞌi é īó ne, īó xoo ñáꞌa, ña é kāde váꞌa. Ntá tsi Xuva kō ne, de váꞌa ña é un ntɨꞌɨ̄ é īo. 
HEB.3.5	Muiseé ne, dē ntaa ntɨ́ꞌɨ ña, vatā ó de ña kade tsiñu e dóo vaꞌá, dā dé tsiñu ña iní viꞌi Xuva kō. Dukuān né, kuīntiꞌxe ñaꞌa san ña dá kakāꞌan ñá nuu i é kāꞌan Xúva ko ni ñā rkontuvi. 
HEB.3.6	Ntá tsi Cristú ne, dē ntaa ñá nī ña ntáduku ntée Xuva ko vatā ó de iꞌxá san ni ñāviꞌi i. Xoꞌō né, ñaviꞌi Xuva kō kúvi o tē ña xtuví mii ō e ntákuintiꞌxe ko ña, tē dóo diní kō e ntantétu ō é nīꞌi ko é vāꞌá ntaꞌa Xuva kō.
HEB.3.7	Dukuān ne, vií nto vatā ó kakaꞌan Espíritū Sántū san mí ūve naꞌa túꞌun Xuva kō:
HEB.3.7	Te tēku nto é kākaꞌán u ni ntō vevií ne,
HEB.3.8	ñá ku de doꞌo nto vatā o dé ñata ntō dá idé ña duꞌxen nī ko,
HEB.3.8	da íto nteé ña ko ñuu itsí kān.
HEB.3.9	Ikān né, īto nteé ñata ntō kó,
HEB.3.9	kuān té uvi díko kuia íni ña un ntɨɨ́ ntɨ̄ɨ́ nuu i e dóo naꞌnu é idé u.
HEB.3.10	Dukuān né, dōo dutsi kuiní ko nī ña tsikán ne,
HEB.3.10	kakaꞌán u: “É dōto tsi ntádē kuení ña;
HEB.3.10	ña ntío ña kuntīkɨn ña itsí ko”, kaꞌán u.
HEB.3.11	Dukuān né, kūdiin ú ni ñā ne,
HEB.3.11	xéꞌē ú xuꞌú ko tsí ña kueꞌe kueꞌén u é kuntoo daꞌna ña nī ko,
HEB.3.11	kuan ō kaꞌan Xúva kō.
HEB.3.12	Kōto nto, táꞌān kó, te nté uun nto ña ku ntukáꞌxi nima nto é ña kii nteé xio nto Xuva kō, ña kantíto san, é ña xtuví mii ntō é kuīntiꞌxe nto ña. 
HEB.3.13	Dií dií ka váꞌā ó te nakiī ntó nima taꞌan nto utén utén nté koo vií ña, nɨɨ dukuan īó ka ntuvi, vata koo é ña ntukáꞌxī nima nto é kanī ntaꞌvi kuétsi san nto. 
HEB.3.14	Tsí taꞌxi Xuva kō é kudadɨɨ o nī Cristú, tē ña xtuví mii ō é kuintiꞌxe ko ña vatā o kuíntiꞌxe ko ña dīꞌna, un tsi da nté kuvi o.
HEB.3.15	Dukuān ne, kakaꞌan túꞌun Xuva kō:
HEB.3.15	Te tēku nto é kākaꞌan Xúva ko ni ntō vevií ne,
HEB.3.15	ñá ku de doꞌo nto vatā o dé ñata ntō
HEB.3.15	dá idé ña duꞌxen ni Xuva kō kídaā,
HEB.3.15	kuān ó kakaꞌan. 
HEB.3.16	¿Xoó ñaꞌa ntu edé ña duꞌxen ni Xuva kō da téku ña é kākaꞌan ñá ni ñā? ¿Ñā ntu te un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa san, ña nátava Muísee ñuú Egítō san? 
HEB.3.17	¿Xoó ñaꞌa ntu e dóo dutsi kuiní Xuva ko ni ña ūvi díko kuia san? ¿Ñā ntu te ñaꞌá san, ña é edé kuetsí ne, xīꞌi ña ñuu itsí san? 
HEB.3.18	¿Xoó ñaꞌa ntu xéꞌe Xuva ko xūꞌu ñá ni ñā tsí ña kuéꞌe ña é kuntoo daꞌna ña ni ñā? ¿Ñā ntu te dɨvi ñaꞌá san, ña é ña ni kuintíꞌxe i san? 
HEB.3.19	Dukuān né, kaini o tsí ña ni níꞌi ña é kuntoo daꞌna ña ni Xuva kō, tsí ña ni kuintíꞌxe ña Xuva kō.
HEB.4.1	Dukuān né, nɨɨ dukuan īó ka ntuvi é nīꞌi ko é kuntoo daꞌna o ni Xuva ko vatā o xeꞌe ña xuꞌu ñá ni ñata kō kídaā ne, koto váꞌa nto vata koo é nté uun nto ña kunáa nto. 
HEB.4.2	Tsí xoꞌō ne, níꞌi kō e téku kō túꞌūn vaꞌá san vata ō téku ña tsīkan. Ntá tsi ña ni idiáꞌvi túꞌūn vaꞌá san iña ña, tsí ña ni kuintíꞌxe ña da téku ña. 
HEB.4.3	Ntá tsi xoꞌō e kuíntiꞌxe kō ne, táꞌxi Xuva kō é kuntoo daꞌna o ni ñā. Tsí kuan ō kaꞌan Xúva ko īña ñá tsīkan:
HEB.4.3	Kuān koo kuví, vata ō xeꞌé u xuꞌu ko dá kudiín u ni ñā,
HEB.4.3	é ña kúntoo daꞌna ña nī ko,
HEB.4.3	kaꞌan ña. Kuan ō kaꞌan ñá, kuān te ió tuꞌve mí kuntoo daꞌna o ni ñā nté ntūvi da kúvi de kûꞌvé Xuva ko ñūxiví san. 
HEB.4.4	Tsi íō mí kākaꞌan túꞌūn Xuva ko īña ntuvi é kuvi ūꞌxé san:
HEB.4.4	Ítūví daꞌna Xuva kō da kúvi un ntɨɨ́ ntɨ̄ɨ́ tsiñu ña ntuvi é kuvi ūꞌxé san,
HEB.4.4	kaꞌan. 
HEB.4.5	Kakaꞌan xtúku túꞌun Xuva kō:
HEB.4.5	Ñá kuntoo daꞌna ña nī ko,
HEB.4.5	kaꞌan ña. 
HEB.4.6	Ntá tsi īó ka ntuvi é nīꞌi ñaꞌa san é kuntoo daꞌna ña ni Xuva kō. Ñaꞌa san, ña é dīꞌna téku i túꞌūn vaꞌá san ne, ñá ni nīꞌi ña é kuntoo daꞌna ña ni Xuva kō, tsi dé doꞌo ñā. 
HEB.4.7	Nāxtuví xtuku Xuva ko ūun ká tuku ntuvi. Kuān té e tɨ́tɨn kuia ita ntíꞌxin ne, kakaꞌan xtúku ña kuenta iña Dávií san é vevii. Tsí vatā ó uve naꞌa kakáꞌan ña:
HEB.4.7	Vevií ne, te tēku nto é kākaꞌan Xúva ko ni ntō ne,
HEB.4.7	ñá ku de doꞌo ntō,
HEB.4.7	kaꞌan ña. 
HEB.4.8	Tē dɨ́ ni xēꞌé Josueé san é nīꞌi ña Israeé san é kūntoo daꞌna ña ñuú Canaán ne, ñá kāꞌan xtúku Xuva ko īña tuku ntúvi. 
HEB.4.9	Dukuān né, īó ka tuku ntuvi iña ña ntáduku ntée Xuva kō é kuntoo daꞌna ña ni ñā. 
HEB.4.10	Tsí xoo ñáꞌa é nīꞌi ña é kuntoo daꞌna ña ni Xuva kō ne, kaxtuví daꞌna ña tsiñu ña vatā o itúvi daꞌna Xuva kō da kúvi de kúꞌvē ñá ñuxiví san. 
HEB.4.11	Na koo ntii o vē, vata koo é nīꞌi ko é kuntoo daꞌna o ni Xuva kō ne, vata koo e nté uun xoxo vií i vatā o dé ñaꞌa san e dé doꞌo ñā.
HEB.4.12	Tūꞌún Xuva kō sán ne, kantíto. Dōó ntii īni i. Dií ka ntikō é vāta kaa uun káa é īó uvi núu i. Kakɨ́ꞌvi un tsi nté īní nima ko, un tsi nté īní xɨkɨ kō. Tsí kuenta iña túꞌun ñā ne, kanakaán nuu Xuva kō nima ko vata koo e díto nee iñá kadē kuení kō, nee iñá ntio nima ko é vīi. 
HEB.4.13	Ña túvī nee iña é de kûꞌvé Xuva kō é kuvi koo xūꞌú nuu ña. Kaini ña é un ntɨꞌɨ̄. Vata te kāntɨɨ́ nima ko núu ña, dɨvi ñā é nīꞌi ña kuenta íña ko.
HEB.4.14	Īó dutu ñá odo nūu e dóo kaꞌnu ña iña ko, é kūntáa ña míꞌi tuví Xuva kō: dɨvi Jēsuu, Iꞌxá Xuva kō. Dukuān ne, ñá xtuvī mii kuéꞌen ō e ntákuintiꞌxe kō. 
HEB.4.15	Tsí dutu ñá odo nūú iña kó ne, kantuntāꞌví ini ña kō tsi dóo ntáxio vita ō. Tsí dɨvi ñā ntóꞌo dadɨɨ ña un ntɨɨ́ ntɨ̄ɨ́ nuu i e ntántoꞌo kō vevii, ntá tsi dɨvi ñā ne, ñá ni xīo kuétsi ñā. 
HEB.4.16	Dukuān né, nɨɨ̄ kuéꞌen ini ko na xēe étsin ō nuu Xuva ko, ñá kadē kûꞌvé iña ko, vata koo é nīꞌi ko é dóo váꞌa koo vií Xuva ko ni kō, é ntuntāꞌví ini ña kō, é xntii ña ko da nēé ka ura i é kātaan núu kō.
HEB.5.1	Tsí da xōó ka ñaꞌa, ña é kade dutu ódo nūú ne, méꞌñū ñaꞌa san kakukúꞌve ña é kāꞌan ñá ni Xuva ko īña ñaꞌa san. Dutú san ne, kaxéꞌe ña doméní ne, kaeꞌní ña kɨtɨ san é kuēꞌé ña iña Xuva ko kuenta iña kuétsi ñāꞌa san. 
HEB.5.2	Kantuntaꞌví ini dutu ñá odo nūú san ni ñāꞌa, ña é ña íni san, ni ñāꞌa, ña ntákunaá san, tsí kuān ó kantoꞌo ñā dɨ. 
HEB.5.3	Dukuān né, kantio é kuēꞌé ña doméni iña kuétsi mii ña vatā ó kaxéꞌe ña doméni iña kuétsi ñāꞌa san.
HEB.5.4	Xoxo kuvi vií i tsiñu kaꞌnu san é viī ñá dutu ódo nūú san te mii ñā ntio ña é vīi mii ña, tsí Xuva ko kākana ña ña é viī ñá, vatā o dé ña ni Āroon kídaā. 
HEB.5.5	Kuan ō kúvi ni Crīstú dɨ. Ñá ni de kāꞌnu ña é kāꞌan ñá tsi vií ña dutu ódo nūu, ntá tsi Xuva kō ne, xéꞌe ña ñā tsiñu kaꞌnu san, vatā ó uve naꞌa mí kakāꞌan ña:
HEB.5.5	Dɨvīn ne, Iꞌxá ko kúvin.
HEB.5.5	Vevii xeꞌé u é kūtuni ñaꞌa tsí dɨvīn é iꞌxá ko o,
HEB.5.5	kaꞌan ña. 
HEB.5.6	Īó ka míꞌi ūve naꞌa túꞌun Xuva kō é kākaꞌan ña:
HEB.5.6	Viín dutu ntii dáñu ntūvi,
HEB.5.6	vata kaa Melquisedee,
HEB.5.6	kaꞌan ña. 
HEB.5.7	Dá tūvi dukuán Cristu ñúxiví sa ne, kakaꞌan ntâꞌví ña, íkan ña ntaꞌa Xuva kō é xntii ña ñā. Dōó ntāꞌvi éku ña ne, dōó ntiī kaꞌan ñá ni Xuva kō é na nākáku ña doxiꞌí san. Tēkú Xuva kō é kākaꞌan ña, tsi dóo kanuu iní Cristu ña. 
HEB.5.8	Ntá tsi kuān te Iꞌxá Xuva ko ñā ne, kuenta iña núu i e ntóꞌo ña ne, kūtúꞌve Cristu nté koo kada ntaa ña nēe é ntio Xuva kō. 
HEB.5.9	Da xe kúvi dé ntaa ntɨ́ꞌɨ ña ne, kuvi dé ña é nakáku o ntii dañu ntūví, da xōó ka ñaꞌa, ña e kuíntiꞌxe i ña. 
HEB.5.10	Tsi de kûꞌvé Xuva kō é viī ñá dutu ódo nūu vata kaa Melquisedee.
HEB.5.11	Dōó īo e káꞌān ú nuu i sáꞌa, ntá tsi dóo ntii tūꞌun é kāꞌán u ni ntō, tsi dóo kuii dá kɨꞌɨn dɨkɨ nto. 
HEB.5.12	É dōo tɨtɨ́n ntuvi é kuíntiꞌxe nto ne, e xée ntūvi é nakuāꞌa nto tuku ñaꞌa. Ntá tsi kuan tsī ó kantio é kāꞌan xtúku ú ni nto dɨvi nuū í e dií ka ña víꞌxin kaa iña Xuva ko. ¿Vá ntu ɨkɨn xtúku ntu nto é ntáxiꞌi dukuan ntō dɨkui? Tsí vata kutíi nto é kāꞌxi nto é ntāva. 
HEB.5.13	Xoó ñaꞌa e ntáxiꞌi dɨ́kui ne, vata kaa iꞌxa ɨ́kɨn ntáa ña. Váta kukaꞌxi ña é viī ñá vatā ó kakaꞌan Xúva kō. 
HEB.5.14	Ntá tsi ñatā sán ne, ntaéꞌxi ña é ntāva. Ña e kúkaꞌxī sán ne, ini ña nee iña é vāꞌa, nee iña é ña váꞌa.
