MAT.1.1	Գիրք ծնունդին Յիսուսի Քրիստոսի՝ Դաւիթի որդիին, Աբրահամի որդիին։
HEB.12.13	եւ շիտակ ճամբաներ փնտռեցէ՛ք ձեր ոտքերուն, որ չըլլայ թէ ան որ կաղ է՝ խոտորի, այլ՝ մանաւանդ բժշկուի։ 
HEB.12.14	Խաղաղութեան ետեւէ եղէ՛ք ամենուն հետ եւ սրբութեան, առանց ասոր մէ՛կը պիտի չտեսնէ Տէրը։ 
HEB.12.15	Զգուշացէ՛ք, չըլլայ որ մէկը Աստուծոյ շնորհքէն ետ մնայ. չըլլայ որ դառնութեան արմատ մը վեր երեւնալով՝ ձեզ նեղէ ու անով շատեր պղծուին. 
HEB.12.16	չըլլայ որ մէկը պոռնիկ ըլլայ կամ անսուրբ՝ Եսաւին պէս, որ կերակուրի մը համար իր անդրանկութիւնը ծախեց։ 
HEB.12.17	Քանզի գիտէք որ՝ թէպէտ ետքը ուզեց օրհնութիւնը ժառանգել, բայց մերժուեցաւ. վասն զի ապաշխարութեան առիթ չգտաւ հօրը քով, թէպէտեւ արցունքով խնդրեց զանիկա։
HEB.12.18	Վասն զի դուք մօտեցած չէ՛ք շօշափելի լերանը, որ կրակով կը վառէր, ո՛չ ալ մէգին եւ խաւարին ու մրրիկին 
HEB.12.19	եւ փողին հնչուելուն ու խօսքերուն ձայնին, որ լսողները աղաչեցին որ անգամ մըն ալ այն խօսքը չկրկնուի իրենց. 
HEB.12.20	վասն զի չէին կրնար դիմանալ հրամանին. «Եթէ գազան մըն ալ լերանը դպչի՝ պիտի քարկոծուի»։ 
HEB.12.21	Այնպէս ահաւոր էր այն երեւոյթը՝ որ Մովսէս ըսաւ. «Սաստիկ կը վախնամ ու կը դողամ»։ 
HEB.12.22	Բայց դուք Սիօն լերան մօտեցեր էք ու կենդանի Աստուծոյ քաղաքին, երկնաւոր Երուսաղէմին եւ բիւրաւոր հրեշտակներուն 
HEB.12.23	ու երկինքը գրուած անդրանիկներուն հանդիսաւոր ժողովին ու եկեղեցիին եւ Աստուծոյ՝ որ ամենուն Դատաւորն է ու արդարներուն հոգիներուն՝ որոնք կատարելութեան հասեր են 
HEB.12.24	եւ Յիսուսին, որ նոր ուխտին միջնորդն է ու սրսկուելու արիւնին, որ Աբէլի արիւնէն աւելի աղէկ կը խօսի։
HEB.12.25	Զգուշացէ՛ք, չըլլայ որ մերժէք զանիկա որ ձեզի կը խօսի. վասն զի եթէ անոնք երկրի վրայ Աստուծոյ պատգամները տուողը մերժելով չազատեցան, որչա՜փ աւելի մենք՝ եթէ երկնքէն խօսողէն երես դարձնենք. 
HEB.12.26	որուն ձայնը այն ատեն երկիրը շարժեց եւ հիմա խոստացեր է ու կ’ըսէ. «Նորէ՛ն պիտի շարժեմ, ո՛չ միայն երկիրը, հապա նաեւ երկինքը»։ 
HEB.12.27	Եւ այն Նորէն բառը կը ցուցնէ թէ շարժուած բաները պիտի շարժին ու փոխուին, որպէս զի անշարժ բաները հաստատուն մնան։ 
HEB.12.28	Ուստի անշարժ թագաւորութիւնը առած ըլլալով՝ ամուր բռնենք այն շնորհքը ու Աստուած պաշտենք հաճելի կերպով, ակնածութեամբ եւ բարեպաշտութեամբ. 
HEB.12.29	վասն զի մեր Աստուածը մաշող կրակ է։
HEB.13.1	Եղբայրսիրութիւնը ձեր մէջ թող հաստատ մնայ։ 
HEB.13.2	Հիւրասիրութիւնը մի՛ մոռնաք, վասն զի անով ոմանք հրեշտակներ ընդունեցին առանց գիտնալու։ 
HEB.13.3	Մտքերնիդ ըլլան կապուածները, որպէս թէ անոնց հետ դուք ալ կապուած էք եւ չարչարուածները՝ որպէս թէ դուք ալ մարմնաւոր էք։ 
HEB.13.4	Ամուսնութիւնը բոլորովին պատուական է ու անկողինը անարատ է. բայց Աստուած պիտի դատէ պոռնիկներն ու շնացողները։ 
HEB.13.5	Բարքերնիդ արծաթասէր չըլլա՛յ, բաւական սեպեցէք որչափ բան որ ձեռքերնիդ կայ. վասն զի ինք ըսաւ թէ՝ «Բնաւ քեզ պիտի չթողում ու բնաւ քեզ երեսէ պիտի չձգեմ». 
HEB.13.6	այնպէս որ կը համարձակինք ըսելու. «Տէրը իմ օգնականս է, ուստի ես պիտի չվախնամ. մարդը ինծի ի՞նչ պիտի ընէ»։ 
HEB.13.7	Յիշեցէ՛ք ձեր առաջնորդները, որոնք Աստուծոյ խօսքը ձեզի խօսեցան եւ անոնց վարմունքին վախճանին նայելով իրենց հաւատքին նմանեցէք։ 
HEB.13.8	Յիսուս Քրիստոս նոյնն է երէկ ու այսօր եւ յաւիտեանս։
HEB.13.9	Կերպ կերպ եւ օտարաձայն ուսմունքներով մի՛ տարուբերիք, քանզի աղէկ է որ սիրտը շնորհքով հաստատուի ու ոչ թէ կերակուրներով, որոնցմէ օգուտ մը չունեցան անոնք որ այնպէս գացին։ 
HEB.13.10	Սեղան մը ունինք մենք, ուրկէ իրաւունք չունին ուտելու անոնք որ խորանին ծառայութիւն կ’ընեն։ 
HEB.13.11	Քանզի այն անասուններուն՝ որոնց արիւնը սուրբ տեղը կը տարուի մեղքի համար քահանայապետին ձեռքով՝ անոնց մարմինները բանակէն դուրս կ’այրուին. 
HEB.13.12	Ուստի Յիսուս ալ, իր արիւնովը ժողովուրդը սրբելու համար, դռնէն դուրս չարչարուեցաւ։ 
HEB.13.13	Ուրեմն եկէք իրեն ելլենք բանակէն դուրս, մեր վրայ առնելով անոր նախատինքը։ 
HEB.13.14	Վասն զի մենք հոս մնայուն քաղաք չունինք, հապա հանդերձեալը կը փնտռենք։ 
HEB.13.15	Ուստի անոր ձեռքով ամէն ատեն Աստուծոյ օրհնութեան պատարագ մատուցանենք, այսինքն մեր շրթունքներուն պտուղը, որոնք իր անունը կը դաւանին։ 
HEB.13.16	Իսկ բարերարութիւնը ու կարօտեալներուն ողորմութիւնը մի՛ մոռնաք, վասն զի Աստուած այնպիսի պատարագներու կը հաւնի։ 
HEB.13.17	Ձեր առաջնորդներուն մտիկ ըրէ՛ք ու անոնց հնազանդեցէ՛ք, վասն զի անոնք ձեր հոգիներուն համար կը հսկեն, որպէս թէ հաշիւ պիտի տան. որպէս զի խնդութիւնով ընեն այն գործը եւ ոչ թէ հառաչելով, վասն զի այն ձեզի օգտակար չէ։ 
HEB.13.18	Մեզի համար աղօթք ըրէ՛ք, վասն զի մենք համոզուած ենք թէ մաքուր խիղճ ունինք եւ ամէն բանի մէջ կ’ուզենք աղէկ վարմունք ունենալ։ 
HEB.13.19	Եւ մանաւանդ կ’աղաչեմ որ այս ընէք, որպէս զի աւելի շուտով ձեզի դառնամ։
HEB.13.20	Խաղաղութեան Աստուածը որ մեռելներէն յարուցանեց մեր Տէր Յիսուսը, որ յաւիտենական ուխտին արիւնովը ոչխարներուն մեծ Հովիւն է, 
HEB.13.21	ձեզ ամէն բարի գործի մէջ հաստատէ իր կամքը ընելու եւ ձեր մէջ իր առջեւ հաճելի եղածը ընէ Յիսուս Քրիստոսի ձեռքով, որուն փառք յաւիտեանս յաւիտենից։ Ամէն։
HEB.13.22	Կ’աղաչեմ ձեզի, եղբա՛յրներ, այս յորդորական խօսքիս համբերել, վասն զի համառօտաբար գրեցի ձեզի։ 
HEB.13.23	Գիտցէք թէ մեր եղբայրը Տիմոթէոս արձակուած է, որուն հետ, եթէ շուտով գայ, պիտի տեսնեմ ձեզ։ 
HEB.13.24	Բարեւ ըրէ՛ք ձեր բոլոր առաջնորդներուն ու բոլոր սուրբերուն. ձեզի բարեւ կ’ընեն անոնք որ Իտալիայէն են։ Շնորհքը ձեր ամենուն հետ ըլլայ։ Ամէն։
JAS.1.1	Յակոբոս՝ Աստուծոյ ու Տէր Յիսուս Քրիստոսին ծառայ՝ տասներկու ցեղերուդ, որ ամէն կողմ ցրուած էք, ողջո՛յն։
JAS.1.2	Ե՛ղբայրներ, բոլորովին ուրախութեան արժանի բան սեպեցէք, երբ կերպ կերպ փորձանքներու մէջ իյնաք, 
JAS.1.3	Գիտնալով որ ձեր հաւատքին փորձառութիւնը համբերութիւն կը ներգործէ։ 
JAS.1.4	Բայց համբերութիւնը կատարեալ ներգործութիւն թող ունենայ, որպէս զի կատարեալ ու ամբողջ ըլլաք ու բանի մը պակասութիւն չունենաք։
JAS.1.5	Իսկ եթէ ձեզմէ մէկը իմաստութենէ պակսած ըլլայ, թող խնդրէ՛ Աստուծմէ՝ որ ամենուն առատապէս կու տայ ու չի նախատեր՝ եւ անոր պիտի տրուի։ 
JAS.1.6	Միայն թէ հաւատքով թող խնդրէ ու չերկմտի. վասն զի ան որ երկմիտ է, ծովուն հողմակոծեալ ու տատանեալ ալիքներուն նման է. 
JAS.1.7	Այն մարդը թող չկարծէ թէ Տէրոջմէ բան մը պիտի առնէ. 
JAS.1.8	Երկմիտ մարդը անհաստատ է իր բոլոր ճամբաներուն մէջ։
JAS.1.9	Խոնարհ եղբայրը իր բարձրութեանը վրայ թող պարծենայ 
JAS.1.10	Եւ ան որ հարուստ է՝ իր խոնարհութեանը վրայ, վասն զի անիկա խոտի ծաղկին պէս պիտի անցնի. 
JAS.1.11	Քանզի արեւը սաստիկ տաքութիւնով մը կը ծագի ու կը ցամքեցնէ խոտը եւ անոր ծաղիկը կը թափի ու անոր երեւոյթին գեղեցկութիւնն ալ կը կորսուի. նոյնպէս ալ հարուստը իր ճամբաներուն մէջ պիտի թառամի։
JAS.1.12	Երանելի է այն մարդը, որ փորձութեան կը համբերէ։ Վասն զի եթէ փորձուելով ընտիր գտնուի, կենաց պսակը պիտի առնէ, որ Տէրը զինք սիրողներուն խոստացաւ։ 
JAS.1.13	Չըլլայ թէ մէկը, որ փորձութեան մէջ է, ըսէ. «Աստուծմէ կը փորձուիմ». վասն զի Աստուած չար բաներով չի փորձուիր, ո՛չ ալ ինք մէկը կը փորձէ։ 
JAS.1.14	Սակայն ամէն մէկը կը փորձուի՝ իր ցանկութիւններէն հրապուրուած ու խաբուած. 
JAS.1.15	Անկէ յետոյ ցանկութիւնը յղանալով՝ մեղք կը ծնանի եւ մեղքը որ կատարուի՝ մահ կը ծնանի։ 
JAS.1.16	Մի՛ խաբուիք, իմ սիրելի՛ եղբայրներս. 
JAS.1.17	Ամէն բարի տուրք ու ամէն կատարեալ պարգեւ վերէն է եւ լոյսի Հօրմէն կ’իջնէ, որուն մէջ բնաւ փոփոխութիւն կամ դառնալու շուք մը չկայ։ 
JAS.1.18	Իր ուզելովը մեզ ծնաւ ճշմարտութեան խօսքովը, որպէս զի մենք իր ստեղծածներուն երախայրի մը ըլլանք։
JAS.1.19	Ուստի, իմ սիրելի՛ եղբայրներս, ամէն մարդ թող արագ ըլլայ լսելու մէջ եւ ծանր՝ խօսելու եւ շանր՝ բարկանալու մէջ, 
JAS.1.20	Վասն զի մարդուն բարկութիւնը Աստուծոյ արդարութիւնը չի կատարեր։
JAS.1.21	Ուստի ամէն աղտեղութիւն ու չարութիւն մէկդի ձգելով, հեզութեամբ ընդունեցէք ձեր մէջ սերմանուած խօսքը, որ կրնայ ձեր հոգիները փրկել։
JAS.1.22	Խօսքը կատարեցէ՛ք, միայն մի՛ լսէք՝ ինքզինքնիդ խաբելով։ 
JAS.1.23	Վասն զի եթէ մէկը միայն լսէ խօսքը ու չկատարէ, կը նմանի մարդու մը՝ որ հայելիի մէջ աչքերը տնկած իր բնական երեսը կը դիտէ. 
JAS.1.24	Վասն զի դիտելով կը տեսնէ ինքզինք ու կ’անցնի կ’երթայ եւ շուտ մը կը մոռնայ թէ ի՛նչպիսի մէկն էր։ 
JAS.1.25	Բայց ան որ ազատութեան կատարեալ օրէնքին աչք տնկելով կը նայի եւ անոր մէջ կը կենայ, կը լսէ, չի մոռնար, այլ կը կատարէ, երանելի պիտի ըլլայ իր գործերուն մէջ։ 
JAS.1.26	Եթէ մէկը զինք կրօնասէր կը սեպէ ու իր լեզուին սանձ չի դներ, այլ իր սիրտը կը խաբէ, անոր կրօնասիրութիւնը փուճ է։ 
JAS.1.27	Աստուծոյ՝ մեր Հօրը քով մաքուր ու անարատ կրօնասիրութիւնը այս է. «Որբերուն ու որբեւարիներուն այցելել նեղութեան ատենը ու անձը անարատ պահել աշխարհէն»։
JAS.2.1	Ե՛ղբայրներս, աչառութեամբ մի՛ պահէք մեր Տէր Յիսուս Քրիստոսին՝ փառաց Տէրոջ հաւատքը։ 
JAS.2.2	Քանզի եթէ ձեր ժողովին մէջ մարդ մը մտնելու ըլլայ որ ունենայ ոսկի մատանի եւ փառաւոր հանդերձներ, հոն աղքատ մըն ալ մտնելու ըլլայ աղտոտ հանդերձներով 
JAS.2.3	Եւ նայիք անոր վրայ որ փառաւոր հանդերձներ ունի ու ըսէք. «Դուն հոս նստէ պատուով», իսկ աղքատին՝ «Ոտքի՛ կայնէ, կամ նստէ պատուանդանիս քով», 
JAS.2.4	Ձեր մէջ խտրութիւններ չէ՞ք դներ ու չար խորհուրդներու դատաւոր չէ՞ք ըլլար։ 
JAS.2.5	Մտիկ ըրէ՛ք, սիրելի՛ եղբայրներս, չէ՞ որ Աստուած աշխարհի աղքատները ընտրեց, որոնք հաւատքով հարուստ են ու ժառանգորդ արքայութեանը, որը զինք սիրողներուն խոստացաւ, 
JAS.2.6	Բայց դուք աղքատները անարգեցիք։ Հարուստները չե՞ն որ ձեզ կը հարստահարեն ու ձեզ դատարանները կը քաշեն։ 
JAS.2.7	Անոնք չե՞ն որ կը հայհոյեն այն բարի անուան, որ ձեր վրայ դրուած է։ 
JAS.2.8	Արդ՝ եթէ դուք արքայական օրէնքը կը կատարէք գրքին ըսածին համեմատ, թէ՝ «Քու ընկերդ սիրես քու անձիդ պէս», աղէկ կ’ընէք. 
JAS.2.9	Բայց եթէ աչառութիւն կ’ընէք մե՛ղք կը գործէք եւ օրէնքէն պիտի յանդիմանուիք օրինազանցներու պէս։ 
JAS.2.10	Քանզի ով որ բոլոր օրէնքը պահէ ու բանի մը մէջ յանցաւոր ըլլայ, անիկա ամենուն պարտական կ’ըլլայ։ 
JAS.2.11	Վասն զի ան որ ըսաւ թէ «Շնութիւն մի՛ ըներ», ըսաւ թէ «Մի՛ սպաններ». ուստի եթէ շնութիւն չընես բայց սպաննութիւն ընես, օրինազանց կ’ըլլաս։ 
JAS.2.12	Այնպէ՛ս խօսեցէք եւ այնպէ՛ս ըրէք՝ որպէս թէ ազատութեան օրէնքովը պիտի դատուիք։ 
JAS.2.13	Վասն զի դատաստանը անողորմ պիտի ըլլայ անոր որ ողորմութիւն չըներ եւ ողորմութիւնը կը պարծենայ դատաստանին դիմաց։
JAS.2.14	Ի՞նչ օգուտ է, եղբա՛յրներս, եթէ մէկը ըսէ թէ հաւատք ունի ու գործ չունենայ. միթէ հաւատքը կրնա՞յ փրկել զանիկա։ 
JAS.2.15	Եթէ եղբայր մը կամ քոյր մը մերկ ըլլայ կամ օրուան կերակուրին կարօտ 
JAS.2.16	Ու ձեզմէ մէկը անոնց ըսէ. «Գացէ՛ք խաղաղութեամբ, տաքցէ՛ք ու կշտացէք», բայց մարմնին պէտք եղած բաները անոնց չտայ, ի՞նչ օգուտ ունի։ 
JAS.2.17	Այսպէս ալ հաւատքը, եթէ իրեն հետ գործ չունենայ, առանձինն մեռած է։ 
JAS.2.18	Նաեւ կրնայ մէկը ըսել թէ՝ «Դուն հաւատք ունիս, ես ալ գործեր ունիմ. դուն քու հաւատքդ ցուցուր ինծի առանց գործերու ու ես քեզի ցուցնեմ իմ հաւատքս իմ գործերովս։ 
JAS.2.19	Դուն կը հաւատաս թէ Աստուած մէկ է։ Աղէկ կ’ընես, դեւերն ալ կը հաւատան եւ կը սարսափին 
JAS.2.20	Բայց կ’ուզե՞ս գիտնալ, ո՛վ սնոտի մարդ թէ հաւատքը առանց գործերու մեռած է»։ 
JAS.2.21	Աբրահամ՝ մեր հայրը՝ գործերով չարդարացա՞ւ, երբ իր որդին Իսահակը սեղանին վրայ հանեց զոհ ընելու։ 
JAS.2.22	Կը տեսնե՞ս թէ հաւատքը անոր գործերուն հետ մէկտեղ գործեց ու այն գործերով հաւատքը կատարեալ եղաւ։ 
JAS.2.23	Եւ գրքին խօսքը կատարուեցաւ, որ կ’ըսէ. «Աբրահամ Աստուծոյ հաւատաց ու ան իրեն արդարութիւն սեպուեցաւ եւ ինք Աստուծոյ բարեկամ կոչուեցաւ»։ 
JAS.2.24	Կը տեսնէ՞ք թէ մարդ գործերով կ’արդարանայ, ո՛չ թէ՝ միայն հաւատքով։ 
JAS.2.25	Նոյնպէս ալ Ռախաբ պոռնիկը չէ՞ որ գործերով արդարացաւ, երբ լրտեսները ներս առաւ եւ ուրիշ ճամբայով արձակեց անոնք։ 
JAS.2.26	Քանզի ինչպէս մարմինը առանց հոգիի մեռած է, նոյնպէս ալ հաւատքը առանց գործերու մեռած է։
JAS.3.1	Եղբայրներս, շատ վարդապետող մի՛ ըլլաք, գիտնալով որ աւելի մեծ դատաստան պիտի ընդունինք. 
JAS.3.2	Վասն զի ամէնքս ալ շատ յանցանքներ կ’ընենք. եթէ մէկը խօսքով յանցանք չընէ՝ անիկա կատարեալ մարդ է, որ կարող է բոլոր մարմինն ալ սանձել։
JAS.3.3	Գիտէք թէ ձիերուն բերանը սանձ կը դնենք, որպէս զի անոնք մեզի հնազանդին ու անոնց բոլոր մարմինը կը կառավարենք. 
JAS.3.4	Ահա նաւերն ալ որչա՜փ մեծ բաներ են եւ սաստիկ հովերէն կը քշուին, բայց շատ փոքր ղեկով մը կը կառավարուին՝ ղեկավարին կամքը ո՛ր կողմը որ ուզէ։ 
JAS.3.5	Այսպէս ալ լեզուն պզտիկ անդամ մ’է, բայց մեծ բաներ կը խօսի։ Ահա քիչ մը կրակը ո՛րչափ բան բոցի կու տայ։ 
JAS.3.6	Լեզուն ալ կրակ մըն է, անիրաւութեան տիեզերք մը։ Լեզուն մեր անդամներուն մէջ այնպէս դրուած է, որ բոլոր մարմինը կ’ապականէ եւ բնութեան շրջանը կը բռնկեցնէ ու ինք գեհեանէն կը բռնկի։ 
JAS.3.7	Բոլոր գազաններուն ու թռչուններուն եւ սողուններուն ու ծովուն մէջ եղածներուն բնութիւնը կը նուաճուի եւ նուաճուած է մարդկութենէն։ 
JAS.3.8	Բայց մարդ լեզուն չի կրնար նուաճել։ Անիկա անզուսպ չար է ու մահաբեր թոյնով լեցուն։ 
JAS.3.9	Անով կ’օրհնենք Աստուած ու Հայրը եւ անով կ’անիծենք մարդիկ՝ որոնք Աստուծոյ նմանութիւնովը ստեղծուած են։ 
JAS.3.10	Միեւնոյն բերնէն կ’ելլեն օրհնութիւն ու անէծք։ Ե՛ղբայրներս, պէտք չէ որ այս այսպէս ըլլայ։
JAS.3.11	Միթէ աղբիւր մը միեւնոյն բերնէն անոյշ ու լեղի կը բղխեցնէ՞։ 
JAS.3.12	Միթէ կարելի՞ է, եղբա՛յրներս, որ թզենին ձիթապտուղ բերէ կամ որթատունկը՝ թուզ։ Նմանապէս կարելի չէ որ աղբիւրէ մը աղի ու անոյշ ջուր հոսի։
JAS.3.13	Ձեր մէջ իմաստուն ու խելացի ո՞վ կայ. թող անիկա բարի վարմունքով ցուցնէ իր գործերը եւ իմաստութեան հեզութիւնով։
JAS.3.14	Ապա եթէ դառն նախանձ եւ հակառակութիւն ունենաք սրտերնուդ մէջ, մի՛ պարծենաք ու ճշմարտութիւնը սուտ մի՛ հանէք։
JAS.3.15	Այս իմաստութիւնը վերէն իջած չէ, հապա երկրաւոր, շնչաւոր եւ դիւական է։ 
JAS.3.16	Քանզի ուր նախանձ ու կռիւ կայ, հոն են անկարգութիւնը եւ ամէն չար բաները։ 
JAS.3.17	Բայց վերին իմաստութիւնը նախ՝ սուրբ է, ետքը՝ խաղաղարար, հեզ, հլու, ողորմութիւնով ու բարի պտուղներով լեցուն, անկողմնակալ ու անկեղծ։ 
JAS.3.18	Արդարութեան պտուղը խաղաղութիւնով կը սերմանուի անոնց՝ որոնք խաղաղութիւն կ’ընեն։
JAS.4.1	Ուրկէ՞ են պատերազմները եւ ուրկէ՞ կռիւները ձեր մէջ։ Չէ՞ որ ձեր ցանկութիւններէն, որոնք ձեր անդամներուն մէջ կը պատերազմին։ 
JAS.4.2	Կը ցանկաք ու չունիք, կը սպաննէք ու կը նախանձիք եւ չէ՛ք կրնար ձեր ուզածին հասնիլ։ Կը պատերազմիք ու կը կռուիք, բայց չունիք, վասն զի չէ՛ք խնդրեր. 
JAS.4.3	Կը խնդրէք ու չէ՛ք առներ, վասն զի չարաչար կը խնդրէք՝ որպէս զի ձեր ցանկութիւններուն բանեցնէք։ 
JAS.4.4	Շնա՛ցողներ, չէ՞ք գիտեր թէ այս աշխարհին սէրը Աստուծոյ դէմ թշնամութիւն է. ուստի ով որ կ’ուզէ աշխարհին բարեկամ ըլլալ, ինքզինք Աստուծոյ թշնամի կ’ընէ։ 
JAS.4.5	Կամ թէ կը կարծէք որ գիրքը պարա՞պ տեղ կ’ըսէ թէ Նախանձի կը փափաքի մեր մէջ բնակող հոգին՝՝։ 
JAS.4.6	Սակայն աւելի շնորհք կու տայ. անոր համար կ’ըսէ. «Աստուած ամբարտաւաններուն հակառակ կը կենայ, բայց խոնարհներուն շնորհք կու տայ»։ 
JAS.4.7	Ուստի հնազանդեցէ՛ք Աստուծոյ։ Սատանային հակառա՛կ կեցէք եւ անիկա ձեզմէ պիտի փախչի։ 
JAS.4.8	Աստուծոյ մօտեցէ՛ք ու անիկա ձեզի պիտի մօտենայ։ Սրբեցէ՛ք ձեռքերնիդ, մե՛ղաւորներ եւ մաքրեցէք սրտերնիդ, ե՛րկմիտներ, 
JAS.4.9	Տառապանք քաշեցէ՛ք, սուգ ըրէ՛ք ու լացէ՛ք. ձեր ծիծաղը սուգի դառնայ ու ձեր ուրախութիւնը՝ տրտմութեան։ 
JAS.4.10	Տէրոջը առջեւ խոնարհեցէ՛ք ու ան ձեզ պիտի բարձրացնէ։
JAS.4.11	Մէկզմէկ մի՛ բամբասէք. ան որ իր եղբայրը կը բամբասէ կամ իր եղբայրը կը դատէ, օրէնքը կը բամբասէ եւ օրէնքը կը դատէ։
JAS.4.11	Եթէ օրէնքը դատես, ա՛լ դուն օրէնքը կատարող չես, հապա դատաւոր։ 
JAS.4.12	Միայն մէկ Օրէնսդիր [ու Դատաւոր] կայ, որ կարող է փրկել եւ կորսնցնել։ Դուն ո՞վ ես որ ուրիշը կը դատես։
JAS.4.13	Հիմա մտի՛կ ըրէք դուք, որ կ’ըսէք. «Այսօր կամ վաղը երթանք այս անուն քաղաքը ու հոն տարի մը կենանք եւ առուտուր ընենք ու վաստկինք». 
JAS.4.14	(Դուք ոչինչ գիտէք վաղուան մասին. 
JAS.4.15	Քանզի ի՞նչ է ձեր կեանքը. յիրաւի շոգի մըն է, որ քիչ մը ատեն կ’երեւնայ ու ետքը կ’ոչնչանայ.) անոր տեղ ըսելու էք. «Եթէ Տէրը կամենայ ու ապրինք, այս կամ այն բանը ընենք»։ 
JAS.4.16	Բայց հիմա ձեր ամբարտաւանութիւնովը կը պարծենաք։ Բոլոր պարծանքները չարութիւն են։ 
JAS.4.17	Ուստի ով որ բարին ընելը գիտնայ ու չընէ, ան մեղք է անոր։
JAS.5.1	Աղէ՜ հիմա, հարուստներ, լացէ՛ք, ողբացէ՛ք ան թշուառութիւններուն համար՝ որոնք ձեր վրայ պիտի գան։ 
JAS.5.2	Ձեր հարստութիւնը ապականած է ու ձեր հանդերձները՝ ցեցի կերակուր եղած։ 
JAS.5.3	Ձեր ոսկին ու արծաթը ժանգոտած են եւ անոնց ժանգը ձեզի դէմ վկայ պիտի ըլլայ ու ձեր մարմինը պիտի ուտէ կրակի պէս։ Վերջին օրերուն համար գանձ դիզեցիք։ 
JAS.5.4	Ահա ձեր արտերը հնձող բանուորներուն վարձքը՝ որ ետ պահեցիք՝ կ’աղաղակէ ու հնձողներուն բողոքը զօրութեան Տէրոջը ականջներուն հասաւ։
JAS.5.5	Երկրին վրայ փափկութեամբ եւ հեշտութեամբ ապրեցաք, սրտերնիդ սնուցանեցիք՝ որպէս թէ մորթուելու օրուան համար։
JAS.5.6	Դատապարտեցի՛ք ու սպաննեցի՛ք արդարը, որ ձեզի հակառակ չկենայ։
JAS.5.7	Ուստի համբերո՛ղ եղէք, ե՛ղբայրներ, մինչեւ Տէրոջը գալուստը։ Ահա երկրագործը կը սպասէ երկրին պատուական պտուղին՝ անոր համար համբերելով, մինչեւ առաջին ու վերջին անձրեւը առնէ։ 
JAS.5.8	Դո՛ւք ալ համբերութիւն ունեցէ՛ք, սրտերնիդ հաստա՛տ բռնեցէք. վասն զի Տէրոջը գալուստը մօտ է։ 
JAS.5.9	Զիրար մի՛ տրտմեցնէք, ե՛ղբայրներ, որպէս զի չդատապարտուիք։ Ահա դատաւորը դրանը քով կայներ է։ 
JAS.5.10	Ե՛ղբայրներս, չարչարանքներու ու համբերութեան համար օրինակ առէք մարգարէները, որոնք Տէրոջը անունովը խօսեցան։ 
JAS.5.11	Ահա համբերողներուն երանի՜ կու տանք։ Յոբին համբերութիւնը լսեցիք դուք եւ վերջը՝ Տէրոջը անոր ըրածը տեսաք, որ Տէրը բազմագութ ու ողորմած է։
JAS.5.12	Արդ՝ ամէն բանէ առաջ, եղբայրնե՛րս, երդում մի՛ ընէք, ո՛չ երկնքի վրայ, ո՛չ երկրի վրայ, ո՛չ ալ ուրիշ երդում մը. հապա ձեր Այոն այո ըլլայ եւ Ոչը՝ ոչ, որ չըլլայ թէ դատապարտութեան տակ իյնաք։
JAS.5.13	Եթէ ձեզմէ մէկը նեղութեան մէջ է, աղօթք թող ընէ։ Եթէ մէկը ուրախ է, սաղմոս թող երգէ։ 
JAS.5.14	Եթէ ձեզմէ մէկը հիւանդ է, եկեղեցիին երէցները թող կանչէ, որպէս զի իր վրայ աղօթք ընեն ու Տէրոջը անունով թող իւղով օծեն զինք։ 
JAS.5.15	Հաւատքով եղած աղօթքը պիտի փրկէ հիւանդը ու Տէրը զանիկա ոտքի պիտի հանէ։ Եւ եթէ մեղք ալ գործեր է, պիտի ներուի անոր։ 
JAS.5.16	Ձեր յանցանքները իրարու խոստովանեցէ՛ք ու աղօ՛թք ըրէք իրարու համար, որպէս զի բժշկուիք։ Արդարին ջերմեռանդ աղօթքը շատ ազդեցութիւն ունի։ 
JAS.5.17	Եղիան մեզի պէս կրքերու ենթակայ մարդ մըն էր։ Աղօթք ըրաւ որ անձրեւ չգայ եւ երեք տարի ու վեց ամիս երկրի վրայ անձրեւ չեկաւ։ 
JAS.5.18	Եւ նորէն աղօթք ըրաւ ու երկինք անձրեւ տուաւ եւ երկիր իր պտուղը բուսցուց։
JAS.5.19	Ե՛ղբայրներ, եթէ ձեզմէ մէկը ճշմարտութենէն մոլորի, մէկը թող զանիկա դարձի բերէ։ 
JAS.5.20	Գիտցած եղէք թէ ան, որ մեղաւորը իր մոլորութեան ճամբայէն կը դարձնէ, հոգի մը մահուանէ կ’ազատէ ու մեղքերու բազմութիւնը կը ծածկէ։
1PE.1.1	Պետրոս՝ Յիսուս Քրիստոսի առաքեալ՝ օտարականներուդ, որ ցրուած էք Պոնտոսի, Գաղատիայի, Կապադովկիայի, Ասիայի ու Բիւթանիայի մէջ, ընտրուած՝ 
1PE.1.2	Հօր Աստուծոյ կանխագիտութեանը համեմատ՝ Հոգիին սրբացնելովը, հնազանդութեան եւ Յիսուս Քրիստոսին արիւնին սրսկուելուն համար. շնորհք եւ խաղաղութիւն ձեր վրայ թող շատնան։
