GEN.1.1	Imapis manaraq kaptinmi Tayta Dios kamarqan jana pasatapis kay pasatapis.
1CO.12.24	Alayri rikakaq partikunataqa manami sapansisu. Cuerpunsicho mana rikasikunansipaq kaq partikunata sayno mas cuidanansipaqmi Tayta Dios kamakäsish. 
1CO.12.25	Sayno kamakäsiptinmi cuerpunsicho kaq partikuna chikinakuyansu, sinöqa jukninpis jukninpis yanapänakuyanmi. 
1CO.12.26	Cuerpunsicho juk parti nanaptinqa lapan cuerpunsimi lakikun. Cuerpunsicho juk parti ali rikash kaptinqa lapan partimi kushikuyan.
1CO.12.27	Qamkunaqa Jesucristupa cuerpunmi kayanki. Cada ünuykikunami saycho juk parti kayanki. 
1CO.12.28	Saymi 
1CO.12.29	Manami lapansu apóstol, ni profëta ni yachasikuq kaykäyan. Manami lapansu milagrukunata rurayan, 
1CO.12.30	ni qeshyaqkunata aliyäsiyan ni mana yachayashqan idiömakunacho parlayan. Say idiömakunacho parlayashqantapis manami lapansu tantiyasiyan. 
1CO.12.31	Sayno kaykaptinqa Tayta Diospita mas alinnin habilidäta chaskiyänaykipaq yarpachakuyay.
1CO.12.31	Kananqa mas alinnin kaqta tantiyasiyäshayki.
1CO.13.1	Kay pasacho lapan idiömakunata parlarpis y 
1CO.13.2	Profëta karpis, Tayta Dios yarpashqanta musyarpis y pïmay runapita mas yacharpis kuyakuynï mana kaptinqa manami imapaqpis välïsu. Tayta Diosman yärakur jirka witikunanpaq niptï witikuptinpis kuyakuynï mana kaptinqa manami imapaqpis välïsu.
1CO.13.3	Muchuqkunata lapan imaykäkunata rakiparpis y Diosman yärakushqäpita rupasiyämaptinpis kuyakuynï mana kaptinqa manami imapaqpis välïsu.
1CO.13.4	Kuyakuq karqa ima kaptinpis pacienciakunsimi y pïmaytapis alimi rikansi. Saynöpis runa mayinsita manami chikinsisu, manami alabakunsisu, manami pitapis manakaqman churansisu, 
1CO.13.5	manami manakaqkunata parlansisu, manami munashlansita rurayänanpaq obligansisu, manami rabyanansisu y pitapis manami nanaparansisu. 
1CO.13.6	Mana alikunata ruraptin kushikunansipa trukanqa alikunata ruraptinmi kushikunsi. 
1CO.13.7	Kuyakuq karqa ima kaptinpis perdonansimi. Imaypis criyinsimi, imaypis shuyaransimi y lapantapis awantakunsimi.
1CO.13.8	Profëtakuna wilakuyashqanpis ushakanqami. Mana yachashqan idiömacho parlayashqankunapis ushakanqami. Yachaq kaypis ushakanqami. Kuyanakuymi isanqa imaypis ushakanqasu. 
1CO.13.9	Manami lapantasu musyansi. Manami lapantasu wilakunsi. 
1CO.13.10	Sayno karpis Jesucristo kutimuptinqa kanan musyashqansikunata ni wilakushqansikunatapis mananami nistäshunnasu.
1CO.13.11	Noqapis wamra karqa wamranölami parlarqä, wamranölami yarpachakurqä y wamranölami tantiyarqä. Awkinyarnaqa mananami wamranönasu parlä ni yarpä. 
1CO.13.12	Saynöpis kananqa makwa espëjuwan rikakuqnöpis shumaqqa manaraqmi tantiyansiraqsu. Kay pasapita aywakurmi isanqa kikin Tayta Dioswanna tinkushun. Saymi kanan ichiklata musyarpis say junaqqa pay reqimashqansino noqansipis payta reqishun.
1CO.13.13	Kananqa yärakur, shuyakur y kuyanakurmi kawaykansi. Lapanpitapis mas aliqa kaykan kuyanakushqansimi.
1CO.14.1	Sayno kaykaptinqa shumaq kuyanakur kawayay. Espíritu Santu habilidäta qoyäshunaykipaq
1CO.14.2	Espíritu Santu parlasishushqayki idiömapa parlarqa manami runakunatasu parlapaykäyanki, saypa trukanqa Tayta Dioslatami. Espíritu Santu parlasishuptikipis manami pipis tantiyayäshunkisu. 
1CO.14.3	Runakuna tantiyayashqan idiömapa wilakuyaptikimi isanqa lapan niyashqaykitapis tantiyar Tayta Dios munashqanno kawayanqa, shakyäsinakuyanqa y yanapänakuyanqa. 
1CO.14.4	Runakuna mana tantiyayashqan idiömapa wilakuq kaqqa kikilanmi kushikun. Runakuna tantiyayashqan idiömapa wilakuq kaqmi isanqa Tayta Diosman yärakuqkunata shumaq yachasiyan.
1CO.14.5	Noqapitaqa alimi kanman Espíritu Santu parlasishqan idiömacho lapayki parlayaptikipis. Sayno kaptinpis mas alimi kanman runakuna tantiyayashqan idiömacho Tayta Diospa wilakuyninta wilakuyaptiki. Mana tantiyayashqan idiömacho wilakuyaptikiqa pilapis kanman tantiyasinanpaq. Sayno tantiyasiq kaptinqa alimi kanman juk idiömacho wilakuyaptikipis.
1CO.14.6	Wawqi panikuna, shumaq tantiyakuyay. Watukakuq shamur mana tantiyayashqayki idiömacho yachasiptï ¿yachakuyankimansuraq? Tantiyayashqayki idiömacho yachasiptïmi isanqa revelación kaptinpis o yachasikuy kaptinpis lapanta tantiyar shumaq yachakuyanki.
1CO.14.7	Pinkullutapis arpatapis lutala tukaptinqa manami tantiyansisu imata tukaykashqantapis. 
1CO.14.8	Saynöpis 
1CO.14.9	Saynölami kanqa mana tantiyayashqan idiömacho wilakuyaptiki. Imata niyashqaykitapis mana tantiyar manami imatapis yachakuyanqasu. Sayno wilakurqa walälami wilakuykäyanki.
1CO.14.10	Musyashqansinöpis kay pasachöqa askami idiömakuna kaykan. Runakuna tantiyayashqan idiömacho parlapaptinsiqa pipis tantiyanmi. 
1CO.14.11	Sayno kaptinpis mana tantiyashqä idiömacho parlapämaq runaqa juklä nación runanömi noqapaq kanqa y noqapis juklä nación runanömi paypaq kashaq. 
1CO.14.12	Saynölami qamkunapaqpis wilakuyaptiki kaykan. Saymi Espíritu Santu habilidäta qoyäshunaykita munarqa wawqi panikunata tantiyayashqan idiömacho shumaq yachasiyänaykipaq payta manakuyänayki. 
1CO.14.13	Saynöla mana tantiyayashqan idiömacho wilakurqa Tayta Diosta manakuyay wilakushqaykita tantiyasiyänanpaq.
1CO.14.14	Espíritu Santu parlasimaptin mana tantiyashqä idiömacho Tayta Diosta manakur kushikurpis manami tantiyäsu imata nikashqätapis. 
1CO.14.15	Sayno kaptinqa manami Espíritu Santu parlasimashqan idiömalachösu manakushaq, sinöqa tantiyashqä idiömachöpis manakushaqmi. Saynöpis manami Espíritu Santu parlasimashqan idiömalachösu Tayta Diosta alabashaq, sinöqa tantiyashqä idiömachöpis alabashaqmi. 
1CO.14.16	Qamkunapis runa mana tantiyashqan idiömalacho Tayta Diosta alabayaptikiqa wakin runakuna mana tantiyar qamkunawan manami alabayta kamäpakuyanqasu. 
1CO.14.17	Lapan shonquykiwan kushish alabayaptikipis upälalami rikaräyäshunki.
1CO.14.18	Runa mana tantiyashqan idiömacho parlanäpaq qamkunapita masraq Espíritu Santu yanapämaptinmi Tayta Diosta agradëcikü. 
1CO.14.19	Sayno kaptinpis wawqi panikuna shuntakäyashqancho chunka waranqa (10,000) mana tantiyayashqan palabrakunata parlashqäpitapis mas alimi kanqa pisqa palabralatapis tantiyayashqan idiömacho parlaptï.
1CO.14.20	Wawqi panikuna, wamrakuna mana tantiyakuypa yarpäyashqanno ama yarpäyaysu. Saypa trukanqa yäpa runakunano shumaq tantiyaykur yarpachakuyay. 
1CO.14.21	Tayta Diospa leyninchöpis kaynömi qelqaraykan:
1CO.14.21	<<Kay runakunata castigarmi mana tantiyayashqan idiömapa parlapäshaq.
1CO.14.21	Sayno castigaptïpis manami cäsukayämanqasu.
1CO.14.21	Noqa Tayta Diosmi sayno nï>>.
1CO.14.22	Say nishqannölami runakuna mana tantiyayashqan idiömacho wilakuptinsi Jesucristuman mana yärakuqkuna Tayta Diospa wilakuyninta chaskikuyanqasu. Tantiyayashqan idiömacho wilakuptinsimi isanqa Jesucristuta chaskikuyanqa. 
1CO.14.23	Shuntakäyashqaykicho mana tantiyayashqan idiömacho lapayki parlayaptiki imanir sayno parlayashqaykita mana musyaq runa o mana criyiq runa yaykur löcuyash kaykäyashqaykitami yarpanqa. 
1CO.14.24	Tantiyayashqan idiömacho Diospa wilakuyninta wilakuyaptikimi isanqa yarpachakur jusayuq kashqanta tantiyakunqa. 
1CO.14.25	Saymi wilakuyashqayki shonqunman chaptin Tayta Dios qamkunawan kaykashqanta tantiyashpan qonqurpakuykur Tayta Diosta adoranqa.
1CO.14.26	Sayno kaptinqa wawqi panikuna, shuntakäyashqaykicho salmukunata cantarpis, Jesucristupa wilakuyninta yachasirpis, Tayta Dios tantiyasiyäshushqaykikunata wilakurpis, runakuna mana tantiyayashqan idiömacho parlarpis y say parlashqanta tantiyasirpis lapanta rurayay yärakuq mayikikuna Tayta Dios munashqanno kawayänanpaq. 
1CO.14.27	Mana tantiyayashqan idiömakunacho parlarqa juk ishkayla trukanakuypa parlayäsun. Say parlayashqanta juk wawqina tantiyasisun. 
1CO.14.28	Pilapis tantiyasinanpaq mana kaptinqa upälakuyäsun. Parlananpa trukanqa shonqulanchöna Tayta Diosta manakuyäsun.
1CO.14.29	Saynöla shuntakäyashqaykicho Diospa wilakuyninta juk ishkayla wilakuyäsun. Wiyaqkuna tantiyakuyäsun lutanta wilakuyashqanta o rasun kaqta wilakuyashqantapis. 
1CO.14.30	Imatapis wilakunanpaq juk wawqita Tayta Dios tantiyasiptinqa parlaykaq wawqi upälakusun jukaq wawqina parlamunanpaq. 
1CO.14.31	Saynöpami lapaykipis shuyänakuypa wilakuyanki lapanpis yachakuyänanpaq. 
1CO.14.32	Wilakuqkuna imay parlayänanpaqpis y imay upälakuyänanpaqpis tantiyayanmi. 
1CO.14.33	Salvashqan runakuna shuntakäyashqanchöqa Tayta Dios manami desordin kananta munansu, sinöqa lapanpis shumaq ordenädu kanantami munan.
1CO.14.34	Shuntakäyashqaykicho warmikuna upälala kakuyäsun. Ama parlakuyäsunsu.
1CO.14.35	Imatapis musyayta munarqa wayinkunaman kutiykur runankunata tapukuyäsun. Manami alisu kaykan shuntakäyashqaykicho warmikuna parlayaptinqa.
1CO.14.36	¿Imanirtaq yarpaykäyanki qamkuna kaqcho Tayta Diospa palabran qalaykushqanta y qamkunalata wilayäshushqaykita? 
1CO.14.37	Tayta Diospa wilakuqninkuna y Espíritu Santu tantiyasishqan runakuna kayashqaykita yarparqa tantiyakuyankimanmi kay cartacho nishqäkuna Jesucristupa mandamientunkuna kaykashqanta. 
1CO.14.38	Kay cartacho nishqäkunata mana chaskikuq kaqtaqa Tayta Dios manami chaskinqasu.
1CO.14.39	Sayno kaykaptinqa Tayta Diospa wilakuyninta runakuna tantiyayashqan idiömacho wilakuyay. Mana tantiyayashqan idiömacho parlayaptinpis ama michäyaysu. 
1CO.14.40	Isanqa shuntakäyashqaykicho Tayta Dios munashqannöla lapantapis ordenädu rurayay.
1CO.15.1	Wawqi panikuna, Jesucristupa wilakuyninta wilapashqäta yarpäyay. Wilapashqäta chaskikurmi Tayta Diosman yärakuykäyanki. 
1CO.15.2	Say wilapashqäno kawarqa salvakuyankimi. Sayno mana kawarqa walälapaqmi chaskikuyashkanki.
1CO.15.3	Yachakushlätami mas puntatapis qamkunata yachasirqä. Say yachasishqä kaynömi nikan: Tayta Diospa palabran nishqannölami
1CO.15.4	Saynöpis nishqannölami
1CO.15.5	Kawarirkamurnami Cefasta
1CO.15.6	Saypitanami pisqa pachak (500) wawqi panikuna shuntakash kaykäyaqtapis yuriparqan. Sayno yuripashqanta rikaq wawqi panikuna juk ishkay wanukuyashna kayaptinpis wakinqa kawaykäyanraqmi. 
1CO.15.7	Santiaguta yuriparkurnami wakin apostolninkunatapis yuriparqan. 
1CO.15.8	Saypitaraqmi imayka shulu japuy mana väliq kaykaptïpis noqata yuripämarqan.
1CO.15.9	Manaraq yuripämaptinqa Tayta Diosman yärakuqkunata qatikacharmi ushaq kä.
1CO.15.10	Sayno kaykarpis Tayta Dios kuyapämaptinmi apóstol kaykä. Wakin apostolkunapitapis masraq Jesucristupa wilakuyninta wilakurmi tantiyakü Tayta Dios alipaq kuyapämashqanta. Imano kaptinpis Tayta Dios yanapämaptinmi wilakuykä. 
1CO.15.11	Mayqäkuna wilakurpis Jesucristupa wilakuynintami wilakuykäyä. Wilakuyashqäta wiyarmi qamkunapis Jesucristuta chaskikuyashkanki.
1CO.15.12	Jesucristo kawarimushqanta wilakuykäyaptïqa ¿imanirtaq wakinniki nikäyanki wanushkuna mana kawariyämunanpaq kashqanta? 
1CO.15.13	Wanushkuna mana kawariyämunanpaq kaptinqa Jesucristupis manami kawarimunmansu karqan. 
1CO.15.14	Mana kawarimush kaptinqa walälami wilakuynintapis wilaküman. Sayno kaptinqa Jesucristuman walälami yärakuyankiman karqan. 
1CO.15.15	Wanushkuna mana kawariyämunanpaq kaptinqa Jesucristuta Tayta Dios kawarisimushqanta wilakurpis lulakurmi puriyäman.
1CO.15.16	Wanushkuna mana kawariyämunanpaq kaptinqa Jesucristupis manami kawarimunmansu karqan. 
1CO.15.17	Y Jesucristo mana kawarimush kaptinqa payman yärakuyashqaykipis manakaqlapaqmi kanman. Jusalikuyashqaykipitapis manami perdonashsu kaykäyankiman. 
1CO.15.18	Sayno kaptinqa Jesucristuman yärakuykar wanuqkunapis wanuyashlanchömi usharäyanman. 
1CO.15.19	Jesucristo kay vïdalacho yanapämänansipaq kashqanta criyirqa lapan runapitapis mas kuyapaypaqmi kaykansi.
1CO.15.20	Jesucristuqa rasunpaypami wanushqanpita kawarimush. Pay puntata kawarimush kaptinmi musyansi noqansipis kawarimunansipaq kashqanta. 
1CO.15.21	Juk runala
1CO.15.22	Adán jusalikushqanpitami lapansipis wanukuqla kaykansi. Jesucristo kawarimushqanpitami isanqa lapansi kawarimushun.
1CO.15.23	Kawarimurqa Tayta Dios kamakäsishqannömi kawarimushun. Puntataqa Jesucristutami Tayta Dios kawarisimush. Jesucristo kutimuptinraqmi payta chaskikuqkunata kawarisimunqa. 
1CO.15.24	Saypitanami juiciu final kanqa. Saychönami Satanásta y lapan 
1CO.15.25	Contrankunata vincishqanyaqmi lapantapis Jesucristo makincho sararanqa. 
1CO.15.26	Vinciykurnami wanuytapis vincinqa.
1CO.15.27	Tayta Diospa palabranchöpis Jesucristupaq kaynömi nikan: <<Paypa makinmanmi lapantapis Tayta Dios churash>>.
1CO.15.27	Paypa makinman lapanta churashqanta nirpis manami kikin Tayta Dios paypa makincho kashqantasu nikan. Saypa trukanqa Tayta Diosmi Jesucristupa makinman lapanta churash. 
1CO.15.28	Paypa makinman lapantapis churashna kaptinmi Tayta Diospa makinman lapanta kutisinqa. Saynöpami Tayta Dios lapan imaykatapis makincho sararanqa.
1CO.15.29	Wawqi panikuna, ¿imanirtaq yarpaykäyanki wanushkuna mana kawariyämunanpaq kashqanta? Wanushkunata Tayta Dios mana kawarisimunanpaq kaptinqa ¿imalapaqtaq wanushkunapa jutincho wakinniki bautizakuyankipis?
1CO.15.30	Saynöpis wanushkuna mana kawariyämunanpaq kaptinqa ¿imalapaqtaq wanuy kawaypis wilakur puriykäyäman? 
1CO.15.31	Wawqi panikuna, waran waranmi wanusimayta munaykäyan. Sayno kaptinpis Señor Jesucristuta chaskikuyashqaykipitami kushikü. 
1CO.15.32	Éfeso markachöpis chikiyämashpan fiyu uywanömi wanusiyämayta munayarqan. Wanushkuna mana kawariyämunanpaq kaptinqa ¿imalapaqtaq sayjinanpa chikishqapis purïman? Saypa trukanqa kaynömi nïman: <<Kawashqansiyaq mikushun upushun. Wanukurqa pachansitami apakushun>>.
1CO.15.33	Lutanta ama yarpäyaysu: mana ali amïgukunaqa ali runakunatapis mana ali ruraykunamanmi inkitayan. 
1CO.15.34	Shumaq tantiyakur jusalikuykunata kachariyayna. Wakinnikiqa Tayta Diospa wilakuyninta manami shumaqsu tantiyaykäyanki. Sayno kayashqayki penqaypaqmi kaykan.
1CO.15.35	Wanushkuna kawariyämunanpaq kashqanta mana criyirmi wakinniki nikäyanki: <<¿Imanöpanashi wanushkuna kawariyämunman? Kawariyämuptin ¿imanöraq cuerpunkuna kanqa?>>
1CO.15.36	Sayno yarparqa ¡upa yarpayyuqmi kaykäyanki! Imatapis murur mana pampaptinsiqa manami winamunsu. 
1CO.15.37	Saynöpis manami yürantasu murunsi, saypa trukanqa trïgu kaptinpis o mayqan saki mikuy kaptinpis murutami murunsi. 
1CO.15.38	Muruskiyaptinqa Tayta Diosmi winasimun. Cada casta murupitami Tayta Dios munashqannöla yüranta winasimun.
1CO.15.39	Runapis, uywapis, pajaqpis
1CO.15.40	Jana pasacho kaqkunapis manami kay pasacho kaqkunanösu kaykäyan. 
1CO.15.41	Saynölami intipis, killapis y qoyllarkunapis jukno jukno asikyäyan.
1CO.15.42	Saynölami runa wanushqanpita kawarimuptin cuerpun mushuqna kanqa.
1CO.15.42	Pampayashqan kaqqa ushakanqami.
1CO.15.42	Kawarimuq kaqmi isanqa ushakanqanasu.
1CO.15.43	Pampayashqan kaqqa ismunqami.
1CO.15.43	Kawarimuq kaqmi isanqa kuyaylapaq kanqa.
1CO.15.43	Pampayashqan kaqqa elaqanqami.
1CO.15.43	Kawarimuq kaqmi isanqa elaqanqasu.
1CO.15.44	Yurishqansi cuerpuqa kay pasacho kawanalansipaqmi kaykan.
1CO.15.44	Kawarimuq cuerpumi isanqa mushuq pasacho kawanansipaq kanqa.
1CO.15.44	Kay pasacho kawanansipaq kaq cuerpupis kanmi y mushuq pasacho kawanansipaq kaq cuerpupis kanqami.
1CO.15.45	Tayta Diospa palabranchöpis kaynömi qelqaraykan: <<Punta kaq Adántami kawaq runa kananpaq kamarqan>>.
1CO.15.45	Qepa kaq Adántami
1CO.15.46	Manami mushuq pasacho kawanansipaq kaq cuerputasu puntata chaskinsi, sinöqa kay pasacho kawanansipaq kaq cuerputami. Saypitaraqmi mushuq pasacho kawanansipaq kaq cuerputa chaskinsi. 
1CO.15.47	Punta kaq runaqa alpapitami karqan. Qepa kaq runa [Señor Jesucristumi] isanqa jana pasapita kaykan. 
1CO.15.48	Kay pasacho kawanansipaq kaq cuerpunsiqa alpapita rurash Adánpa cuerpunnölami kaykan. Mushuq pasacho kawanansipaq kaq cuerpunsimi isanqa jana pasacho taykaq Jesucristupa cuerpunno kanqa. 
1CO.15.49	Kananqa alpapita rurash Adán niraqlami kaykansi. Saypitanami jana pasacho taykaq Jesucristunöna kashun. 
1CO.15.50	Wawqi panikuna, shumaq tantiyakuyay. Aysantin tuluntinqa manami pipis Tayta Dios 
1CO.15.51	Tayta Dios pitapis mana musyasishqanta musyayänaykitami munä: Manami lapansiraqsu wanushun. Isanqa lapansitami mushuq cuerputa Tayta Dios qomäshun. 
1CO.15.52	Mushuq cuerpuyuqqa elaqpita tikrashun ultimu kaq 
1CO.15.53	Ushakaqla kashqansipitami mana ushakaqna tikrashun. Wanukuqla kashqansipitami mana wanuqna tikrashun.
1CO.15.54	Ushakaqla cuerpunsi mana ushakaqmanna tikraptinmi y wanukuqla kashqansipita manana wanunansipaqna tikraptinsimi Tayta Diospa palabran kayno nishqan cumplikanqa:
1CO.15.54	<<¡Wanuyqa vincishnami kaykan!
1CO.15.55	Wanuy, ¡maychötaq munayniki kaykan!
1CO.15.55	Sepultüra, ¡maychötaq mikukuq kayniki kaykan!>>
1CO.15.56	Wanuy ushakäsimansi jusalikuptinsimi. Jusapis Tayta Diospa leyninkunapitaraqmi ishkisimänansipaq munayninta chaskin.
1CO.15.57	Sayno kaptinpis Señor Jesucristuta kawarisimurmi wanuypita Tayta Dios salvamansi. Saypita payta imaypis agradëcikushun.
1CO.15.58	Sayno kaykaptinqa, kuyay wawqi panikuna, mana qelanaypa y mana ajayaypa Señor Jesucristuta imaypis sirviyay. Musyayashqaykinöpis payta sirviyashqayki manami manakaqlapaqsu kaykan.
1CO.16.1	Jerusaléncho kaq wawqi panikunapaq ofrendata shuntarqa
1CO.16.2	Semäna arur gänayashqaykipita cada domingu cada ünuyki aykalatapis churayanki. Ama noqa chämuptïraqqa shuntaykäyankisu. 
1CO.16.3	Shuntayashqayki ofrendata Jerusalénman apayänanpaq wawqikunata akrayay. Chaykamurnami paykunapaq cartata rurashaq Jerusalénman apayaptin wawqi panikuna chaskikuyänanpaq. 
1CO.16.4	Kamakaptinqa noqapis paykunawanmi aywashaq.
1CO.16.5	Qamkuna kaqman kutimur Macedonia provinciaparaqmi tumamushaq.
1CO.16.6	Chaykamurqa capazmi tamya killa päsashqanyaq qamkunawan qoyäshaq. Saypitanami wakin markakunamanpis aywanäpaq yanapäyämanki. 
1CO.16.7	Manami pasädalaqa qamkunata watukayta munäsu, saypa trukanqa Tayta Dios munaptin qamkuna kaqcho täshaqraqmi.
1CO.16.8	Éfesuchömi isanqa 
1CO.16.9	Aska runakuna conträ sharkuyaptinpis Tayta Dios yanapaykämanmi kay markakunacho ali wilakuyninta wilakunäpaq. Sayno wilakuptïmi Jesucristuta chaskikuykäyan.
1CO.16.10	Wawqinsi Timoteo qamkuna kaqman chämuptin kushishla chaskikuyay. Paypis noqanömi Jesucristupa wilakuyninta wilakuykan.
1CO.16.11	Paytaqa manakaqman ama churayaysu. Ali kutimunanpaq yanapaykuyälay. Noqakunapis kaycho kaq wawqi panikunawan payta shuyakuykäyämi.
1CO.16.12	Qamkuna kaqman wakin wawqikuna shayämuptinmi Apolustapis ruwakurqä qamkunaman shamunanpaq. Sayno ruwakuykaptïpis manami shamuyta kamäpakunsu. Nirkurraqmi may shamunqa.
1CO.16.13	Imapitapis alcäbula kayay. Imano nakarpis Tayta Diosman yärakuyay. Imatapis mana mansariypa Tayta Dios munashqanno kawayay. 
1CO.16.14	Pïmaywanpis kuyanakur shumaq kawayay.
1CO.16.15	Wawqi panikuna, musyayankimi Acaya provinciacho wawqinsi Estéfanas ayllunkunawan
1CO.16.16	Saymi qamkunata ruwakü paykunata cäsukuyänaykipaq. Saynöla lapantapis paykunano yanapäshuqnikikunata y yachasishuqnikikunata cäsukuyay.
1CO.16.17	Estéfanas, Fortunato y Acaico qamkuna kaqpita watukamaq chaykayämuptin lapaykita rikaqnöraqmi kushikushkä. 
1CO.16.18	Qamkunata shakyäsishushqaykinölami noqakunatapis shakyäsiyämash. Paykunata y paykunano kaqkunata shumaq respitayanki.
1CO.16.19	Asia provinciacho kaykaq wawqi panikunapis qamkunapaq salüdunta apasikayämunmi. Saynöpis Aquila y Priscila
1CO.16.20	Lapan wawqi panikunami salüdunta apasikayämun. Jukniki juknikipis qaqlaykikunacho musanakushpayki winchinakuyälay.
1CO.16.21	Noqa Pablo kikïmi kay salüdütaqa qelqaykämü.
1CO.16.22	Pipis Jesucristuta mana kuyaq kaqtaqa Tayta Dios castiganqami. ¡Señor Jesucristo, juklana kutikalämuy!
1CO.16.23	Señor Jesucristo yanapaykuyäläshunki imaypis ali kawayänaykipaq. 
1CO.16.24	Jesucristuman yärakuq mayï kayaptikimi lapaykikunata kuyä. [Amén.]
2CO.1.1	Corinto markacho
2CO.1.1	Tayta Dios akramash kaptin Jesucristupa apostolnin karmi noqa Pablo wawqinsi Timoteuwan kay cartata cartakaykäyämü. 
2CO.1.2	Papäninsi Tayta Dios y Señor Jesucristo kuyapäyäshushpayki ali kawayänaykipaq yanapaykuyäläshunki.
2CO.1.3	¡Señor Jesucristupa Papänin Tayta Dios alabash kaykuläsun! Paymi kuyapämansi y imaypis shakyäsimansi. 
2CO.1.4	Ima nakaycho kashqapis shakyäsimansi noqansipis yärakuq mayinsikuna nakayaptin shakyäsinansipaq. Saymi Tayta Dios shakyäsimashqansino wakinkunatapis shakyäsinsi.
2CO.1.5	Noqakunatapis Jesucristuman yärakuyashqäpita runakuna nakasiyämaptin Jesucristuwanmi Tayta Dios shakyaykäsiyäman mana ajayaypa payman yärakuyänäpaq. 
2CO.1.6	Sayno shakyäsiyämaptinmi shumaq tantiyayä qamkunatapis shakyäsiyänäpaq kashqanta. Saynöpami nakayaptïpis salvacionta chaskikur kushikuyanki. Saymi noqakuna nakayashqäno nakarpis Tayta Diosman mana ajayaypa yärakuyanki. 
2CO.1.7	Musyayämi noqakunano nakayaptikipis noqakunatano Tayta Dios yanapäyäshunaykipaq kashqanta.
2CO.1.8	Wawqi panikuna, Asia provinciacho runakuna fiyupami nakasiyämash. Sayjinanpa nakasiyämaptin mana awantar kawayänäpaq kashqantapis manami yarpäyarqänasu.
2CO.1.9	Wanusiyämänanpaq kashqanta yarparmi tantiyakuyarqä kikiläkunapitaqa imatapis mana kamäpakuyashqäta. Saynöpami yachakuyarqä wanuqkunata kawarisimuq Tayta Diosman mas yärakuyta.
2CO.1.10	Wanusiyämänanpaq kashqanta yarpäyaptïpis Tayta Diosmi salvayämash. Manami saylachösu yanapäyämash, sinöqa imaypis yanapaykäyämanmi. 
2CO.1.11	Tayta Diosta noqakunapaq manakuyashpayki qamkunapis yanapaykäyämankimi. Sayno askaq manakuyaptinmi payta askaq agradëcikuyanqa.
2CO.1.12	Qamkunata ni wakintapis mana lulapaypa y mana engañaypami kawaykäyä. Rasunpaypa sayno kayashqäta mana penqakuypami niyä. Sayno ali kawayänäpaq Tayta Diosmi imachöpis yanapaykäyäman. 
2CO.1.13	Cartakayämushqächöpis mana tumasipaylapami tantiyayänaykipaq kaqlata qelqayämushkä. Ojalä imaylapis shumaq tantiyanakushwan. 
2CO.1.14	Kanan mana tantiyayämaptikipis Señor Jesucristo kutimuptin noqakuna qamkunapita kushikuyashqänömi qamkunapis noqakunapita kushikuyankipaq.
2CO.1.15	Shumaq tantiyayämänaykipaq kashqanta yarparmi Macedonia provinciapa shamur qamkuna kaqman puntata chämuyta yarpäyarqä. Yarpäyashqäno kamakaptinqa qamkuna kaqman ishkay kutinami chäyämüman karqan. 
2CO.1.16	Puntataqa Macedonia provinciapa päsaqnölami chämuyta yarpäyarqä. Kutimurpis yapay chämuytami yarpäyarqä. Qamkuna kaqman chäyämuptï Judeamanna aywayänäpaq yanapäyämänaykitami munayarqä.
2CO.1.17	Chäyämunäpaq yarpash kayaptïpis manami yarpäyashqänösu kamakash. Wilakasimushqäno mana shayämushqäpita ¿imanirtaq wakinniki nikäyanki shumaq mana yarpachakuypa wilakasimushqäta? ¿Imanirtaq yarpäyanki awniparkurpis mana shayämunäpaq kashqanta? 
2CO.1.18	Mana cumpliyänäpaq kashqanta musyarqa noqakuna imaypis manami promitiyäsu. 
2CO.1.19	Tayta Diospa Surin Jesucristupis kay pasacho kar rasun kaqlatami pïmaytapis nirqan. Paypa wilakuynintami Silvanupis
2CO.1.20	Jesucristuta kachamurmi Tayta Dios lapan promitishqankunata cumpliykan. Saymi Jesucristuman yärakur Tayta Diosta alabashpansi <<¡Amén!>> ninsi.
2CO.1.21	Payta sirvinansipaq churamashpansi Jesucristuman mana ajayaypa yärakunansipaqmi yanapämansi. 
2CO.1.22	Saynöpis shonqunsicho kananpaq Espíritu Santuta kachamurmi paylapana kanansipaq sëllamashkansi.
2CO.1.23	Wawqi panikuna, Tayta Diospa jutinchömi rasun kaqta nï: Shamuyta yarparpis qamkunawan jaqayäsinakuyta
2CO.1.24	Qamkunata mandar jaqayäsiyänäpa trukanqa qamkunawan juntu Tayta Diosta sirviytami munayä. Saynöpami Tayta Diosman yärakur qamkunapis kushish kawayanki.
2CO.2.1	Nawpata qamkuna kaqman shamur lakikasishqäno yapay lakikasiyta manami munäsu. 
2CO.2.2	Qamkunata lakikasiptïqa ¿pïlanaraq kushikasimanqapis? 
2CO.2.3	Saymi shamunäpa trukan cartalata cartakamushkä. Manami munashkäsu shamuptï lakikasiyämänaykita, saypa trukanqa lapansipis kushikunansitami munashkä. Musyarqämi qamkuna kushikuyaptiki noqakunapis kushikuyänäpaq kashqanta.
2CO.2.4	Jaqayashla
2CO.2.5	Conträ sharkuq runaqa manami noqalatasu lakikasimash, saypa trukanqa qamkunatapis lakikasiyäshushkankimi. 
2CO.2.6	Say runata corrigiyashqayki alinami kaykan. 
2CO.2.7	Aläpa mana lakikunanpaq perdonar shakyäsiyay. 
