GEN.1.1	NEL principio Iddio creò il cielo e la terra
1CO.7.32	Or io desidero che voi siate senza sollecitudine
1CO.7.33	ma colui che è maritato ha cura delle cose del mondo, come egli sia per piacere alla sua moglie. 
1CO.7.34	Vi è differenza tra la donna e la vergine; quella che non è maritata ha cura delle cose del Signore, acciocchè sia santa di corpo e di spirito; ma la maritata ha cura delle cose del mondo, come ella sia per piacere al marito.
1CO.7.35	Ora, questo dico io per la vostra propria comodità; non per mettervi addosso un laccio, ma per ciò che è decente, e convenevole da attenervi costantemente al Signore, senza esser distratti.
1CO.7.36	Ma, se alcuno stima far cosa disonorevole inverso la sua vergine, se ella trapassa il fior dell'età, e che così pur si debba fare, faccia ciò ch'egli vuole, egli non pecca; sieno maritate. 
1CO.7.37	Ma chi sta fermo nel 
1CO.7.38	Perciò, chi marita 
1CO.7.39	La moglie è legata per la legge, tutto il tempo che il suo marito vive
1CO.7.40	Nondimeno, ella è più felice, secondo il mio avviso
1CO.8.1	ORA, quant'è alle cose sacrificate agl'idoli
1CO.8.2	Ora, se alcuno si pensa saper qualche cosa, non sa ancora nulla, come si convien sapere. 
1CO.8.3	Ma, se alcuno ama Iddio, esso è da lui conosciuto
1CO.8.4	Perciò, quant'è al mangiar delle cose sacrificate agl'idoli, noi sappiamo che l'idolo non è nulla nel mondo
1CO.8.5	Perciocchè, benchè ve ne sieno, ed in cielo, ed in terra, di quelli che son nominati dii (secondo che vi son molti dii, e molti signori), 
1CO.8.6	nondimeno, quant'è a noi, abbiamo un 
1CO.8.7	Ma la conoscenza non 
1CO.8.8	Ora il mangiare non ci commenda a Dio
1CO.8.9	Ma, guardate che talora questa vostra podestà non divenga intoppo a' deboli
1CO.8.10	Perciocchè, se alcuno vede te, che hai conoscenza, essere a tavola nel tempio degl'idoli, non sarà la coscienza d'esso, che è debole, edificata a mangiar delle cose sacrificate agl'idoli
1CO.8.11	E così, per la tua conoscenza, perirà il fratello debole
1CO.8.12	Ora, peccando così contro a' fratelli, e ferendo la lor coscienza debole, voi peccate contro a Cristo
1CO.8.13	Per la qual cosa, se il mangiare dà intoppo al mio fratello, giammai in perpetuo non mangerò carne, acciocchè io non dia intoppo al mio fratello
1CO.9.1	NON sono io apostolo
1CO.9.2	Se io non sono apostolo agli altri, pur lo sono a voi; poichè voi siete il suggello del mio apostolato nel Signore
1CO.9.3	Quest'è quel ch'io dico a mia difesa a coloro che mi accusano. 
1CO.9.4	Non abbiamo noi podestà di mangiare e di bere
1CO.9.5	Non abbiamo noi podestà di menare attorno una donna sorella, come ancora gli altri apostoli, e i fratelli del Signore
1CO.9.6	Ovvero, io solo, e Barnaba, non abbiam noi podestà di non lavorare
1CO.9.7	Chi guerreggia mai al suo proprio soldo? chi pianta una vigna, e non ne mangia del frutto? o chi pastura una greggia, e non mangia del latte della greggia? 
1CO.9.8	Dico io queste cose secondo l'uomo? la legge non dice ella eziandio queste cose? 
1CO.9.9	Poichè nella legge di Mosè è scritto: Non metter la museruola in bocca al bue che trebbia
1CO.9.10	Ovvero, dice egli del tutto 
1CO.9.11	Se noi vi abbiam seminate le cose spirituali, è egli gran cosa se mietiamo le vostre carnali
1CO.9.12	Se gli altri hanno parte a questa podestà sopra voi, non l'avremmo noi molto più? ma noi non abbiamo usata questa podestà; anzi sofferiamo ogni cosa, per non dare alcuno sturbo all'evangelo di Cristo
1CO.9.13	Non sapete voi che coloro che fanno il servigio sacro mangiano 
1CO.9.14	Così ancora il Signore ha ordinato a coloro che annunziano l'evangelo, che vivano dell'evangelo
1CO.9.15	MA pure io non ho usata alcuna di queste cose
1CO.9.16	Perciocchè, avvegnachè io evangelizzi, non ho però da gloriarmi; poichè necessità me 
1CO.9.17	Perciocchè, se io lo facessi volontariamente, meriterei un premio
1CO.9.18	Qual premio 
1CO.9.19	Perciocchè, benchè io sia libero da tutti
1CO.9.20	E sono stato a' Giudei come Giudeo, per guadagnare i Giudei
1CO.9.21	a quanti son senza la legge
1CO.9.22	Io sono stato come debole a' deboli
1CO.9.23	Or io fo questo per l'evangelo, acciocchè ne sia partecipe io ancora.
1CO.9.24	Non sapete voi che coloro che corrono nell'arringo, corrono ben tutti, ma un solo ne porta il palio? correte per modo, che ne portiate 
1CO.9.25	Ora, chiunque si esercita ne' combattimenti è temperato in ogni cosa; e que' tali 
1CO.9.26	Io dunque corro per modo, che non 
1CO.9.27	anzi, macero il mio corpo
1CO.10.1	ORA, fratelli, io non voglio che ignoriate che i nostri padri furono tutti sotto la nuvola
1CO.10.2	e che tutti furono battezzati in Mosè, nella nuvola, e nel mare; 
1CO.10.3	e che tutti mangiarono il medesimo cibo spirituale
1CO.10.4	e che tutti bevvero la medesima bevanda spirituale
1CO.10.5	Ma Iddio non gradì la maggior parte di loro; perciocchè furono abbattuti nel deserto
1CO.10.6	Or queste cose furon figure a noi; acciocchè noi non appetiamo cose malvage, siccome anch'essi 
1CO.10.7	E che non diveniate idolatri, come alcuni di loro; secondo ch'egli è scritto: Il popolo si assettò per mangiare, e per bere, poi si levò per sollazzare
1CO.10.8	E non fornichiamo, come alcuni di loro fornicarono
1CO.10.9	E non tentiamo Cristo, come ancora alcuni di loro 
1CO.10.10	E non mormoriate, come ancora alcuni di loro mormorarono
1CO.10.11	Or tutte queste cose avvennero loro per 
1CO.10.12	Perciò, chi si pensa star ritto, riguardi che non cada.
1CO.10.13	Tentazione non vi ha 
1CO.10.14	PERCIÒ, cari miei, fuggite dall'idolatria
1CO.10.15	Io parlo come ad intendenti
1CO.10.16	Il calice della benedizione, il qual noi benediciamo, non è egli la comunione del sangue di Cristo? il pane, che noi rompiamo, non è egli la comunione del corpo di Cristo
1CO.10.17	Perciocchè 
1CO.10.18	Vedete l'Israele secondo la carne; non hanno coloro che mangiano i sacrificii comunione con l'altare? 
1CO.10.19	Che dico io adunque? che l'idolo sia qualche cosa
1CO.10.20	Anzi 
1CO.10.21	Voi non potete bere il calice del Signore, e il calice de' demoni
1CO.10.22	Vogliamo noi provocare il Signore a gelosia
1CO.10.23	OGNI cosa mi è lecita, ma non ogni cosa è utile; ogni cosa mi è lecita, ma non ogni cosa edifica
1CO.10.24	Niuno cerchi il suo proprio, ma ciascuno 
1CO.10.25	Mangiate di tutto ciò che si vende nel macello, senza farne scrupolo alcuno per la coscienza
1CO.10.26	perciocchè del Signore è la terra, e tutto ciò che ella contiene
1CO.10.27	E se alcuno degl'infedeli vi chiama, e volete andarvi, mangiate di tutto ciò che vi è posto davanti, senza farne scrupolo alcuno per la coscienza. 
1CO.10.28	Ma, se alcuno vi dice: Questo è delle cose sacrificate agl'idoli, non ne mangiate, per cagion di colui che 
1CO.10.29	Or io dico coscienza, non la tua propria, ma quella d'altrui; perciocchè, perchè sarebbe la mia libertà giudicata dalla coscienza altrui? 
1CO.10.30	Che se per grazia io posso usar 
1CO.10.31	Così adunque, o che mangiate, o che beviate, o che facciate alcun'altra cosa, fate tutte le cose alla gloria di Dio
1CO.10.32	Siate senza dare intoppo
1CO.10.33	Siccome io ancora compiaccio a tutti in ogni cosa
1CO.11.1	Siate miei imitatori
1CO.11.2	OR io vi lodo, fratelli, di ciò che vi ricordate di me in ogni cosa; e che ritenete gli ordinamenti, secondo che io ve li ho dati.
1CO.11.3	Ma io voglio che sappiate, che il capo d'ogni uomo è Cristo
1CO.11.4	Ogni uomo, orando, o profetizzando, col capo coperto, fa vergogna al suo capo. 
1CO.11.5	Ma ogni donna, orando, o profetizzando
1CO.11.6	Imperocchè, se la donna non si vela, si tagli anche i capelli! Ora se è cosa disonesta per la donna il tagliarsi i capelli, o il radersi il capo, si veli. 
1CO.11.7	Poichè, quant'è all'uomo, egli non deve velarsi il capo, essendo l'immagine
1CO.11.8	Perciocchè l'uomo non è dalla donna, ma la donna dall'uomo
1CO.11.9	Imperocchè ancora l'uomo non fu creato per la donna, ma la donna per l'uomo
1CO.11.10	Perciò, la donna deve, per cagion degli angeli, aver sul capo 
1CO.11.11	Nondimeno, nè l'uomo 
1CO.11.12	Perciocchè, siccome la donna 
1CO.11.13	Giudicate fra voi stessi: è egli convenevole che la donna faccia orazione a Dio, senza esser velata? 
1CO.11.14	La natura stessa non v'insegna ella ch'egli è disonore all'uomo se egli porta chioma? 
1CO.11.15	Ma, se la donna porta chioma, che 
1CO.11.16	Ora, se alcuno vuol parer contenzioso, noi, nè le chiese di Dio, non abbiamo una tale usanza.
1CO.11.17	OR io non vi lodo in questo, ch'io 
1CO.11.18	Perciocchè prima, intendo che quando vi raunate nella chiesa, vi son fra voi delle divisioni
1CO.11.19	Poichè bisogna che vi sieno eziandio delle sette fra voi
1CO.11.20	Quando adunque voi vi raunate insieme, 
1CO.11.21	Perciocchè, nel mangiare, ciascuno prende innanzi la sua propria cena; e l'uno ha fame, e l'altro è ebbro
1CO.11.22	Perciocchè, non avete voi delle case per mangiare, e per bere? ovvero, sprezzate voi la chiesa di Dio, e fate vergogna a quelli che non hanno
1CO.11.23	Poichè io ho dal Signore ricevuto
1CO.11.24	e dopo aver rese grazie, lo ruppe, e disse: Pigliate, mangiate; quest'è il mio corpo, il qual per voi è rotto; fate questo in rammemorazione di me. 
1CO.11.25	Parimente ancora 
1CO.11.26	Perciocchè, ogni volta che voi avrete mangiato di questo pane, o bevuto di questo calice, voi annunzierete la morte del Signore, finchè egli venga
1CO.11.27	Perciò, chiunque avrà mangiato questo pane, o bevuto il calice del Signore, indegnamente
1CO.11.28	Or provi l'uomo sè stesso
1CO.11.29	Poichè chi 
1CO.11.30	Perciò fra voi vi 
1CO.11.31	Perciocchè, se esaminassimo noi stessi, non saremmo giudicati
1CO.11.32	Ora, essendo giudicati, siamo dal Signore corretti
1CO.11.33	Per tanto, fratelli miei, raunandovi per mangiare, aspettatevi gli uni gli altri. 
1CO.11.34	E se alcuno ha fame, mangi in casa
1CO.11.34	Or quant'è alle altre cose, io 
1CO.12.1	ORA, intorno a'  
1CO.12.2	Voi sapete che eravate Gentili
1CO.12.3	Perciò, io vi fo assapere che niuno, parlando per lo Spirito di Dio, dice Gesù
1CO.12.4	Or vi sono diversità di doni
1CO.12.5	Vi sono ancora diversità di ministeri
1CO.12.6	Vi son parimente diversità d'operazioni; ma non vi è se non un medesimo Iddio, il quale opera tutte le cose in tutti.
1CO.12.7	Ora a ciascuno è data la manifestazion dello Spirito per ciò che è utile e spediente. 
1CO.12.8	Poichè ad uno è data, per lo Spirito, parola di Sapienza
1CO.12.9	e ad un altro fede
1CO.12.10	e ad un altro diversità di lingue
1CO.12.11	Or tutte queste cose opera quell'uno e medesimo Spirito, distribuendo particolarmente 
1CO.12.12	PERCIOCCHÈ, siccome il corpo è un 
1CO.12.13	Poichè in uno stesso Spirito noi tutti siamo stati battezzati
1CO.12.14	Perciocchè ancora il corpo non è un 
1CO.12.15	Se il piè dice: Perciocchè io non son mano, io non son del corpo, non è egli però del corpo? 
1CO.12.16	E se l'orecchio dice: Perciocchè io non son occhio, io non son del corpo; non è egli però del corpo? 
1CO.12.17	Se tutto il corpo 
1CO.12.18	Ma ora Iddio ha posto ciascun de' membri nel corpo, siccome egli ha voluto. 
1CO.12.19	Che se tutte le 
1CO.12.20	Ma ora, ben 
1CO.12.21	E l'occhio non può dire alla mano: Io non ho bisogno di te; nè parimente il capo 
1CO.12.22	Anzi, molto più necessarie 
1CO.12.23	Ed a quelle, che noi stimiamo esser le mano onorevoli del corpo, mettiamo attorno più onore, e le 
1CO.12.24	Ma le 
1CO.12.25	acciocchè non vi sia dissensione nel corpo, anzi le membra abbiano tutte una medesima cura le une per le altre. 
1CO.12.26	E se pure un membro patisce, tutte le membra patiscono con lui; e se un membro è onorato, tutte le membra ne gioiscono insieme.
1CO.12.27	Or voi siete il corpo di Cristo
1CO.12.28	E Iddio ne ha costituiti nella chiesa alcuni
1CO.12.29	Tutti 
1CO.12.30	Tutti 
1CO.12.31	Or appetite, come a gara, i doni migliori; e ancora io ve 
1CO.13.1	QUAND'anche io parlassi 
1CO.13.2	E quantunque io avessi profezia
1CO.13.3	E quand'anche io spendessi in nudrire 
1CO.13.4	La carità è lenta all'ira, è benigna
1CO.13.5	Non opera disonestamente, non cerca le cose sue proprie
1CO.13.6	Non si rallegra dell'ingiustizia
1CO.13.7	Scusa ogni cosa, crede ogni cosa, spera ogni cosa, sopporta ogni cosa
1CO.13.8	La carità non iscade giammai; ma le profezie saranno annullate, e le lingue cesseranno, e la scienza sarà annullata. 
1CO.13.9	Poichè noi conosciamo in parte
1CO.13.10	Ma, quando la perfezione sarà venuta, allora quello 
1CO.13.11	Quando io era fanciullo, io parlava come fanciullo, io avea senno da fanciullo, io ragionava come fanciullo; ma, quando son divenuto uomo, io ho dismesse le cose da fanciullo, come non essendo più d'alcuno uso. 
1CO.13.12	Perciocchè noi veggiamo ora per ispecchio, in enimma
1CO.13.13	Or queste tre cose durano al presente; fede, speranza, e carità; ma la maggiore di esse 
1CO.14.1	PROCACCIATE la carità, ed appetite, come a gara, 
1CO.14.2	Perciocchè, chi parla 
1CO.14.3	Ma chi profetizza ragiona agli uomini, 
1CO.14.4	Chi parla 
1CO.14.5	Or io voglio bene che voi tutti parliate linguaggi; ma molto più che profetizziate; perciocchè maggiore è chi profetizza che chi parla linguaggi, se non ch'egli interpreti, acciocchè la chiesa ne riceva edificazione. 
1CO.14.6	Ed ora, fratelli, se io venissi a voi parlando in linguaggi 
1CO.14.7	Le cose inanimate stesse che rendono suono, o flauto, o cetera, se non dànno distinzione a' suoni, come si riconoscerà ciò che è sonato in sul flauto, o in su la cetera? 
1CO.14.8	Perciocchè, se la tromba dà un suono sconosciuto, chi si apparecchierà alla battaglia? 
1CO.14.9	Così ancor voi, se per lo linguaggio non proferite un parlare intelligibile, come s'intenderà ciò che sarà detto? perciocchè voi sarete come se parlaste in aria.
1CO.14.10	Vi sono, per esempio, cotante maniere di favelle nel mondo, e niuna 
1CO.14.11	Se dunque io non intendo ciò che vuol dir la favella, io sarò barbaro
1CO.14.12	Così ancor voi, poichè siete desiderosi de' doni spirituali, cercate d'abbondarne, per l'edificazion della chiesa.
1CO.14.13	Perciò, chi parla linguaggio 
1CO.14.14	Perciocchè, se io fo orazione in linguaggio 
1CO.14.15	Che 
1CO.14.16	Poichè, se tu benedici con lo spirito, come dirà colui che occupa il luogo dell'idiota Amen al tuo ringraziamento, poichè egli non intende ciò che tu dici? 
1CO.14.17	Perciocchè tu rendi ben grazie, ma altri non è edificato. 
1CO.14.18	Io ringrazio l'Iddio mio, che io ho più 
1CO.14.19	Ma nella chiesa io amo meglio dir cinque parole per la mia mente, acciocchè io ammaestri ancora gli altri, che diecimila in lingua 
1CO.14.20	Fratelli, non siate fanciulli di senno; ma siate bambini in malizia
1CO.14.21	Egli è scritto nella legge
1CO.14.22	Per tanto, i linguaggi son per segno, non a' credenti, anzi agli infedeli; ma la profezia non 
1CO.14.23	Se dunque, quando tutta la chiesa è raunata insieme, tutti parlano linguaggi 
1CO.14.24	Ma, se tutti profetizzano, ed entra alcun infedele, o idiota, egli è convinto da tutti, è giudicato da tutti. 
1CO.14.25	E così i segreti del suo cuore son palesati; e così, gettandosi in terra sopra la sua faccia, egli adorerà Iddio, pubblicando che veramente Iddio è fra voi.
1CO.14.26	CHE 
1CO.14.27	Se alcuno parla linguaggio 
1CO.14.28	Ma, se non vi è alcuno che interpreti, tacciasi nella chiesa 
1CO.14.29	Parlino due o tre profeti, e gli altri giudichino. 
1CO.14.30	E se ad un altro che siede è rivelata 
1CO.14.31	Poichè tutti ad uno ad uno potete profetizzare; acciocchè tutti imparino, e tutti sieno consolati. 
1CO.14.32	E gli spiriti de' profeti son sottoposti a' profeti
1CO.14.33	Perciocchè Iddio non è 
1CO.14.34	Tacciansi le vostre donne nelle raunanze della chiesa
1CO.14.35	E se pur vogliono imparar qualche cosa, domandino i lor propri mariti in casa; perciocchè è cosa disonesta alle donne di parlare in chiesa.
1CO.14.36	La parola di Dio è ella proceduta da voi? ovvero è ella pervenuta a voi soli?
1CO.14.37	Se alcuno si stima esser profeta, o spirituale, riconosca che le cose che io vi scrivo son comandamenti del Signore
1CO.14.38	E se alcuno è ignorante, sialo.
1CO.14.39	Così dunque, fratelli miei, appetite, come a gara, il profetizzare, e non divietate il parlar linguaggi. 
1CO.14.40	Facciasi ogni cosa onestamente, e per ordine.
1CO.15.1	ORA, fratelli, io vi dichiaro l'evangelo, il quale io vi ho evangelizzato, il quale ancora avete ricevuto, e nel quale state ritti. 
1CO.15.2	Per lo quale ancora siete salvati
1CO.15.3	Poichè imprima io vi ho dato ciò che ancora ho ricevuto
1CO.15.4	E ch'egli fu seppellito, e che risuscitò al terzo giorno, secondo le scritture
1CO.15.5	E ch'egli apparve a Cefa
1CO.15.6	Appresso apparve ad una volta a più di cinquecento fratelli
1CO.15.7	Poi apparve a Giacomo, e poi a tutti gli apostoli 
1CO.15.8	E dopo tutti, è apparito ancora a me
1CO.15.9	Perciocchè io sono il minimo degli apostoli
1CO.15.10	Ma, per la grazia di Dio, io son quel che sono; e la grazia sua, ch'  
1CO.15.11	Ed io adunque, ed essi, così predichiamo, e così avete creduto.
1CO.15.12	Ora, se si predica che Cristo è risuscitato da' morti, come dicono alcuni fra voi che non vi è risurrezione de' morti
1CO.15.13	Ora, se non vi è risurrezione de' morti, Cristo ancora non è risuscitato
1CO.15.14	E se Cristo non è risuscitato, vana 
1CO.15.15	E noi ancora siamo trovati falsi testimoni di Dio; poichè abbiamo testimoniato di Dio, ch'egli ha risuscitato Cristo
1CO.15.16	Perciocchè, se i morti non risuscitano, Cristo ancora non è risuscitato. 
1CO.15.17	E se Cristo non è risuscitato, vana è la vostra fede, voi siete ancora ne' vostri peccati
1CO.15.18	Quelli adunque ancora che dormono in Cristo son periti. 
1CO.15.19	Se noi speriamo in Cristo solo in questa vita, noi siamo i più miserabili di tutti gli uomini
1CO.15.20	Ma ora Cristo è risuscitato da' morti; 
1CO.15.21	Perciocchè, poichè per un uomo 
1CO.15.22	Imperocchè, siccome in Adamo tutti muoiono, così in Cristo tutti saranno vivificati
1CO.15.23	Ma ciascuno nel suo proprio ordine: Cristo 
1CO.15.24	Poi 
1CO.15.25	Poichè conviene ch'egli regni, finchè egli abbia messi tutti i nemici sotto i suoi piedi
1CO.15.26	Il nemico, che sarà distrutto l'ultimo, 
1CO.15.27	Perciocchè 
1CO.15.28	Ora, dopo che ogni cosa gli sarà stata sottoposta, allora il Figliuolo sarà anch'egli sottoposto a colui che gli ha sottoposta ogni cosa
1CO.15.29	Altrimenti, che faranno coloro che son battezzati per li morti? se del tutto i morti non risuscitano, perchè son eglino ancora battezzati per li morti? 
1CO.15.30	Perchè siamo noi ancora ad ogni ora in pericolo
1CO.15.31	Io muoio tuttodì
1CO.15.32	Se, secondo l'uomo, io ho combattuto con le fiere in Efeso
1CO.15.33	Non errate: cattive compagnie corrompono i buoni costumi
1CO.15.34	Svegliatevi
1CO.15.35	Ma dirà alcuno: Come risuscitano i morti, e con qual corpo verranno? 
1CO.15.36	Pazzo! quel che tu semini non è vivificato, se 
1CO.15.37	E quant'è a quel che tu semini, tu non semini il corpo che ha da nascere; ma un granello ignudo, secondo che accade, o di frumento, o d'alcun altro 
1CO.15.38	E Iddio, secondo che ha voluto, gli dà il corpo; a ciascuno de' semi il 
1CO.15.39	Non ogni carne 
1CO.15.40	 ancora de' corpi celesti, e de' corpi terrestri; ma altra 
1CO.15.41	Altro 
1CO.15.42	Così ancora 
1CO.15.43	Egli è seminato in disonore, 
1CO.15.44	Vi è corpo animale, e vi è corpo spirituale. 
1CO.15.45	Così ancora è scritto: Il primo uomo Adamo fu fatto in anima vivente
1CO.15.46	Ma lo spirituale non 
1CO.15.47	Il primiero uomo, 
1CO.15.48	Qual 
1CO.15.49	E come noi abbiam portata l'immagine del terreno, porteremo ancora l'immagine del celeste
1CO.15.50	Or questo dico, fratelli, che la carne e il sangue, non possono eredare il regno di Dio
1CO.15.51	Ecco, io vi dico un misterio: non già tutti morremo
1CO.15.52	Perciocchè la tromba sonerà
1CO.15.53	Poichè conviene che questo corruttibile rivesta incorruttibilità, e che questo mortale rivesta immortalità
1CO.15.54	E quando questo corruttibile avrà rivestita incorruttibilità, e che questo mortale avrà rivestita immortalità, allora sarà adempiuta la parola che è scritta: La morte è stata abissata in vittoria
1CO.15.55	O morte, ov' 
1CO.15.56	Or il dardo della morte 
1CO.15.57	Ma ringraziato sia Iddio
1CO.15.58	Perciò, fratelli miei diletti, state saldi, immobili, abbondanti del continuo nell'opera del Signore, sapendo che la vostra fatica non è vana nel Signore
1CO.16.1	ORA, quant'è alla colletta che 
1CO.16.2	Ogni primo 
1CO.16.3	E quando io sarò giunto, io manderò coloro che voi avrete approvati per lettere a portar la vostra liberalità in Gerusalemme
1CO.16.4	E se converrà ch'io stesso ci vada, essi verranno meco.
1CO.16.5	OR io verrò a voi, dopo che sarò passato per la Macedonia
1CO.16.6	E forse farò qualche dimora appresso di voi, ovvero ancora ci vernerò; acciocchè voi mi accompagniate dovunque io andrò. 
1CO.16.7	Perciocchè io non voglio questa volta vedervi di passaggio; ma spero dimorar qualche tempo appresso di voi, se il Signore lo permette
1CO.16.8	Or io resterò in Efeso fino alla Pentecosta. 
1CO.16.9	Perciocchè una grande ed efficace porta mi è aperta; e 
1CO.16.10	Ora, se Timoteo viene
1CO.16.11	Niuno adunque lo sprezzi
1CO.16.12	Ora, quant'è al fratello Apollo
1CO.16.13	Vegliate
1CO.16.14	Tutte le cose vostre facciansi con carità
1CO.16.15	Ora, fratelli, io vi esorto che (voi conoscete la famiglia di Stefana
1CO.16.16	voi ancora vi sottomettiate a tali
1CO.16.17	Or io mi rallegro della venuta di Stefana, e di Fortunato, e d'Acaico; poichè hanno supplito alla vostra assenza. 
1CO.16.18	Perciocchè hanno ricreato lo spirito mio, ed il vostro; riconoscete adunque coloro che son tali
1CO.16.19	Le chiese dell'Asia vi salutano; Aquila, e Priscilla
1CO.16.20	Tutti i fratelli vi salutano; salutatevi gli uni gli altri con un santo bacio
1CO.16.21	Il saluto di man 
1CO.16.22	Se alcuno non ama il Signor Gesù Cristo
1CO.16.23	La grazia del Signor Gesù Cristo 
1CO.16.24	La mia carità 
2CO.1.1	PAOLO, apostolo
2CO.1.2	grazia, e pace a voi, da Dio nostro Padre, e dal Signor Gesù Cristo
2CO.1.3	BENEDETTO 
2CO.1.4	il qual ci consola in ogni nostra afflizione
2CO.1.5	Perciocchè, come le sofferenze di Cristo abbondano in noi
2CO.1.6	Ora, sia che siamo afflitti, 
2CO.1.7	E la nostra speranza di voi 
2CO.1.8	Perciocchè, fratelli, non vogliamo che ignoriate la nostra afflizione, che ci è avvenuta in Asia
2CO.1.9	Anzi avevamo già in noi stessi la sentenza della morte; acciocchè noi non ci confidiamo in noi stessi, ma in Dio
2CO.1.10	il qual ci ha liberati, e libera da un sì gran 
2CO.1.11	sovvenendoci ancora voi congiuntamente con l'orazione
2CO.1.12	PERCIOCCHÈ questo è il nostro vanto, 
2CO.1.13	Perciocchè noi non vi scriviamo altre cose, se non quelle che discernete, ovvero ancora riconoscete; 
2CO.1.14	ed io spero che 
2CO.1.15	Ed in questa confidanza io voleva innanzi venire a voi
2CO.1.16	E 
2CO.1.17	Facendo adunque questa deliberazione, ho io usata leggerezza? ovvero, le cose che io delibero, 
2CO.1.18	Ora, 
2CO.1.19	Perciocchè il Figliuol di Dio, Gesù Cristo
2CO.1.20	Poichè tutte le promesse di Dio 
2CO.1.21	Or colui, che ci conferma con voi in Cristo, e il quale ci ha unti
2CO.1.22	il quale ancora ci ha suggellati, e 
2CO.1.23	Or io chiamo Iddio per testimonio sopra l'anima mia
2CO.2.1	Or io avea determinato in me stesso di non venir di nuovo a voi con tristizia. 
2CO.2.2	Perciocchè, se io vi contristo, chi sarà dunque colui che mi rallegrerà, se non colui stesso che sarà stato da me contristato? 
2CO.2.3	E quello stesso vi ho io scritto, acciocchè quando verrò, io non abbia tristezza sopra tristezza
2CO.2.4	Perciocchè di grande afflizione, e distretta di cuore, io vi scrissi con molte lagrime; non acciocchè foste contristati
2CO.2.5	E se alcuno ha contristato
2CO.2.6	Al tale basta quella riprensione, che 
2CO.2.7	Talchè, in contrario, più tosto vi 
2CO.2.8	Perciò, io vi prego di ratificare inverso lui la carità. 
2CO.2.9	Perciocchè a questo fine ancora vi ho scritto, acciocchè io conosca la prova di voi, se siete ubbidienti ad ogni cosa
2CO.2.10	Or a chi voi perdonate alcuna cosa, 
2CO.2.11	Perciocchè noi non ignoriamo le sue macchinazioni
2CO.2.12	Ora, essendo venuto in Troas
2CO.2.13	Anzi, essendomi da loro accommiatato, me ne sono andato in Macedonia.
2CO.2.14	OR ringraziato 
2CO.2.15	Perciocchè noi siamo il buono odore di Cristo a Dio, fra coloro che son salvati
2CO.2.16	a questi veramente, odor di morte a morte; ma a quelli, odor di vita a vita
2CO.2.17	Poichè noi non falsifichiamo la parola di Dio, come molti altri
2CO.3.1	Cominciamo noi di nuovo a raccomandar noi stessi? ovvero, abbiam noi bisogno, come alcuni, di lettere raccomandatorie a voi, o di raccomandatorie da voi? 
2CO.3.2	Voi siete la nostra lettera, scritta ne' cuori nostri, intesa e letta da tutti gli uomini
2CO.3.3	essendo manifesto che voi siete la lettera di Cristo, amministrata da noi
2CO.3.4	Or una tal confidanza abbiamo noi per Cristo presso Iddio. 
2CO.3.5	Non già che siamo da noi stessi sufficienti pure a pensar cosa alcuna, come da noi stessi
2CO.3.6	il quale ancora ci ha resi sufficienti 
2CO.3.7	Ora, se il ministerio della morte
2CO.3.8	come non sarà più tosto con gloria il ministerio dello Spirito? 
2CO.3.9	Perciocchè, se il ministerio della condannazione 
2CO.3.10	Per questo rispetto, ciò che fu glorificato non fu reso glorioso a cagione di questa che è gloria più eccellente. 
2CO.3.11	Perciocchè, se quel che ha da essere annullato 
2CO.3.12	Avendo adunque questa speranza, usiamo gran libertà di parlare. 
2CO.3.13	E non 
2CO.3.14	Ma le lor menti son divenute stupide
2CO.3.15	Anzi, infino al 
2CO.3.16	Ma, quando 
2CO.3.17	Or il Signore è quello Spirito
2CO.3.18	E noi tutti, contemplando a faccia scoperta, come in uno specchio, la gloria del Signore, siam trasformati nella stessa immagine
2CO.4.1	PERCIÒ, avendo questo ministerio, secondo che ci è stata fatta misericordia, noi non veniam meno dell'animo. 
2CO.4.2	Anzi abbiam rinunziato a' nascondimenti della vergogna, non camminando con astuzia, e non falsando la parola di Dio
2CO.4.3	Che se il nostro evangelo ancora è coperto, egli è coperto fra coloro che periscono
2CO.4.4	fra i quali l'Iddio di questo secolo
2CO.4.5	Poichè non predichiamo noi stessi, ma Cristo Gesù, il Signore
2CO.4.6	Perciocchè Iddio, che disse che la luce risplendesse dalle tenebre
2CO.4.7	Or noi abbiamo questo tesoro in vasi di terra
2CO.4.8	Essendo per ogni maniera afflitti
2CO.4.9	perseguiti, ma non però abbandonati; abbattuti, ma non però perduti
2CO.4.10	Portando del continuo nel 
2CO.4.11	Poichè noi che viviamo siamo del continuo esposti alla morte per Gesù
2CO.4.12	Talchè la morte opera in noi, ma la vita in voi.
2CO.4.13	Ma pure, avendo noi lo stesso spirito della fede, secondo che è scritto
2CO.4.14	Sapendo che colui che ha risuscitato il Signor Gesù, risusciterà ancora noi
2CO.4.15	Perciocchè tutte queste cose 
2CO.4.16	PERCIÒ noi non veniam meno dell'animo; ma, benchè il nostro uomo esterno si disfaccia, pur si rinnova l'interno
2CO.4.17	Perciocchè la leggiera nostra afflizione, che è sol per un momento, ci produce un sopra modo eccellente peso eterno di gloria
2CO.4.18	mentre non abbiamo il riguardo fisso alle cose che si veggono
2CO.5.1	Perciocchè noi sappiamo che, se il nostro terrestre albergo di questa tenda è disfatto, noi abbiamo da Dio un edificio, 
