GEN.1.1	Yan laputu ey lintun Apu Dios hu kabunyan niya puyek. 
EXO.26.8	Pan-iingngeh yudda humman ni kultinah e ya kadinukkey ni hakey ey na-pat et liman piyeh niya enem ni piyeh hu kalinakkeb ni hakey. 
EXO.26.9	Pandadagsi yun kugguten hu liman nunyan kultinah et meihakkey ida. Hanniman dama pehding yu etan di enem ni kultinah e pandadagsi yun kugguten ida. Ya etan meikka-nem ni kultinah ey melugpi e meleyyag di heggeppan di Tabernacle. 
EXO.26.10	Ikapya yu hanneneliman netullikeng di gilig idan nunman ni lima niya enem ni kultinah ni nandadagsin nekugut. 
EXO.26.11	Ey pengapya kayun neliman giniling ni pengippit yun gilig idan nunman ni kultinah et meihakkey ida. 
EXO.26.12	Meleyyag dama hu utduk dad awwidan ni Tabernacle. 
EXO.26.13	Ey meleyyag damad nambina-hil di Tabernacle hu umlaw di hampulut walun pulgadah. 
EXO.26.14	Pengapya kayun dewwan tuldah ni katat ni lakkitun kalneroh niya kakkayyagud ni katat ni mei-dah. Huyya pengettep yun Tabernacle.
EXO.26.15	Pengapya kayun kalkalimangngan Tabernacle ni akasyah ni keyew. 
EXO.26.16	Ya kadinukkey idan nunman ni ikkapya yu ey hampulut liman piyeh niya kalinakkeb da ey dewampulut pitun pulgadah. 
EXO.26.17	Wada man-iingngeh ni handedwan dimmewdew di emin etan di frames ma-lat panhuhuup yudda. 
EXO.26.18+EXO.26.19+EXO.26.20+EXO.26.21	Hinead dadda handedwampulu idan nunman di appit ni south niyad north ni Tabernacle. Ey ingkapya da newalun silber ni pengittu-unan idan nunman e handedwa neikapyad hengeg ni hakey. 
EXO.26.22	Yad awwidan ni Tabernacle di appit ni kakelinnugin aggew ey ituun yu hu enem idan nunman 
EXO.26.23	niya ituun yu hanhakkey etan di dewwad dugu tu. 
EXO.26.24	Humman idan meikkapyad dugu ey mandedkep ida meippalpud hengeg tu ingganah di utduk di ta-pew tu e meihhuklub hu netullikeng et mandekep ida. Henin nunman ipahding yud dewwan dugu tu. 
EXO.26.25	Et walun emin ni henin nunman hu ikkapya yudman ni awwidan ni Tabernacle ey iha-ad yu hu hampulut enem ni silber ni pengittu-unan idan nunman e handedwad hakey idan nunman.
EXO.26.26+EXO.26.27	Pengapya kayun hampulut liman keyew ni akasyah ni meibballabag etan idad kalkalimangngan Tabernacle. Ikapya yu hanlilmad appit ni north, yad south et yad awwidan di appit ni kakelinnugin aggew. 
EXO.26.28	Ya etan ida meiggawwan meiballabag di gawwaddan nunman ni kalkalimangnga ey meipalpud hakey ni dugu ingganah lad hakey mewan ni dugu. 
EXO.26.29	Pengapya kayu pay ni netullikeng ni balituk ni mengnged idan meibballabag ni keyew. Ey takapi yun balituk huyyan kalkalimangnga, anin idan etan ni meibballabag.
EXO.26.30	Hanneya pengapya yun Tabernacle e iu-unnud yu etan impeang-ang kun hi-gam eyad duntug.”
EXO.26.31	Kan mewan 
EXO.26.32	Ihabley yu huyyan kultinah di epat ni tukud ni akasyah e metekkapan ni balituk ey meikkapyaan ni balituk ni hableyyan. Humman idan tukud ey meippeehneng di silber ni pengippeehnengan. 
EXO.26.33	Humman ni kultinah ni ihha-ad yud bawang ni Tabernacle ey humman manheldak ni Nesantuh ni Kuwaltuh et ya Nekassantuh ni Kuwaltuh 
EXO.26.34	Iha-ad yu etan hu-keb ni Kaban 
EXO.26.35	Ey iha-ad yu etan kapyaen yun tebol etan di ba-hil ni Kuwaltuh 
EXO.26.36	Pengapya kayu pay ni hakey ni meikkultinah di heggeppan di Tabernacle. Usal yu kakkayyaggud ni luput et ya blue, ya purple niya makadlang ni sinayyum ey iyayyaggud yun bordaan. 
EXO.26.37	Ikapyai yu huyyan kultinah ni liman tukud ni akasyah e tekkapan yun balituk. Et ya kawit da ey balituk dama. Ya keittu-unan idan tukud ey giniling.”
EXO.27.1	Kan mewan 
EXO.27.2	Ey ikapya yu hu heni ha-duk idad ta-pew ni epat ni dugu tu e neihakkey hu kapkapya tud altar. Hedin megibbuh ni kinapya yu ey takapi yun giniling. 
EXO.27.3	Pengapya kayuddan meussal di pan-appitan henin baldih ni pengihha-adan yun dep-ul, ya pala, ya besin, ya tewik ni detag niya penellukduk ni ngalab. Kapyaen yun emin ida huyyad giniling. 
EXO.27.4+EXO.27.5	Kapya kayun nelaggan giniling ni meihha-ket di dimmewdew di gawwan bawang ni altar. Kapya yu epat ni netullikeng etan di epat ni dugun nunman ni altar ni keidduddukan idan pan-attang. 
EXO.27.6	Ey pengapya kayun keyew ni akasyah ni pan-attang et takapan tun giniling. 
EXO.27.7	Iduduk yudda humman ni pan-attang etan idad netullikeng ni ikkapya yuddad dugun altar ma-lat pengitngedan idan mengi-attang. 
EXO.27.8	Ya tabla hu kapya yun nunman ni altar nem entan tu det-ali hengeg tu. Iu-unnud yu pengapya yu etan di impeang-ang kun hi-gayu eyad duntug.”
EXO.27.9	Kan mewan 
EXO.27.10	Ya mengnged nunman ni kultinah ey dewampulun tukud ni giniling ni meittu-un di dewampulun giniling ni pengittu-unan. Meihhabley ida etan idad silber ni kawit ey silber ni pengihhableyan ni neikapyaddad tukud. 
EXO.27.11	Hanniman damad appit ni north e hanggatut et neliman piyeh hu kadinukkey ni kultinah ni meihhabley di silber ni kawit ey silber ni pengihhableyan ni meikkapyad dewampulun giniling ni tukud ni meittu-un di dewampulun giniling ni pengittu-unan. 
EXO.27.12	Yad awwidan di appit ni kakelinnugin aggew ey nepitu et lima hu kadinukkey ni meikkultinah e meihhabley di hampulun tukud ey meittu-un di hampulun pengittu-unan. 
EXO.27.13	Hanniman damad heggeppan di dallin ni Tabernacle di appit ni kasimmilin aggew e mekultinahan ni nepitu et liman piyeh kalinakkeb tu. 
EXO.27.14+EXO.27.15	Yadman ni heggeppan ey meikkapya hu dewwan kultinah e hakey ni kultinah di winannan ey hakey di winilli. Handedwampulut dewwa et kagedwah ni piyeh hu kalinakkeb ni hakey. Ey hantetlu hu tukud ni meittu-un di tellun nekapyan pengittu-unan hu pengihhableyan idan nunyan kultinah.
EXO.27.16	Ya etan gawwan heggeppan di dallin ni Tabernacle e mekultinahan ni telumpulun piyeh hu kalinakkeb tu. Meikkapya hu kakkayyaggud ni luput et ya blue, ya purple niya makadlang ni sinayyum ey meiyayyaggud ni mebordaan. Meihhabley huyyan kultinah di epat ni tukud e meittu-un di epat ni pengittu-unan. 
EXO.27.17	Emin ida tukud di dallin ni Tabernacle ey meikkapyaan ni silber ni kawit niya hableyyan, ey meittu-un idad giniling ni pengittu-unan. 
EXO.27.18	Et ya lekud ni dallin ni Tabernacle ey hanggatut et neliman piyeh kadinukkey tu, ey nepitu et liman piyeh hu kalinakkeb tu, ey pitu et kagedwah ni piyeh hu kasina-gey tu. Ya etan meikkultinah, ey mahapul ni kayyaggud ni luput hu mekapya. Yadda pengittu-unan idan tukud ni keihhableyan idan kultinah ey giniling hu mekapya.
EXO.27.19	Emin hu meussal di Tabernacle, anin idan paghek ey giniling hu mekapya.
EXO.27.20	Imandal muddan edum mun helag Israel et umi-liddan kekakkayyaggudan ni lanan olibah ni meihha-ad idad kengkeh ni pandillag di Tabernacle et mantettebbel idan ingganah. 
EXO.27.21	Meihha-ad etan pengippettukan ni kengkeh di ba-hil ni kultinah ni Kuwaltuh Apu Dios. Hi Aaron et yadda u-ungnga tun lalakki hu mampaptek idan nunman ni kengkeh ey mahapul ni mantettebbel idan neyun ni hileng ingganah kakkabbuhhan di kad-an Apu Dios. Mannenneng huyyan olden ni pehding idan helag Israel et yadda u-ungnga da.”
EXO.28.1	Kan mewan 
EXO.28.2	Pakugut kan balwasin Aaron ma-lat melispituh ey kayyaggud ang-ang tun pengippahdingan tun ngunu tu ey keang-angan tu e hi-gatu ey neieng-eng ni hi-gak e Dios. 
EXO.28.3	Ehel muddan nelaing ni menguggut et kuguten da balwasin Aaron et meang-ang e hi-gatu ey neieng-eng ni mampeddin mansilbin hi-gak. 
EXO.28.4	Huyyadda mekuggut ni ussalen ni padi: Ya luput ni meittekkap di pagew, ya ephod, ya mei-dah ni balwasi, ya nebordaan ni balwasi, ya meipnget di ulu et ya mei-ewwakeh. Pampakugut ka pay ni kayyaggud ni ibbalwasiddan lalakkin u-ungngan Aaron ni pengippahdingan dan ngunu dan padik. 
EXO.28.5	Humman ida ey mekapyad kayyaggud ni luput niya balituk ni heni sinulid, ya blue, ya purple, niya makadlang ni sinayyum.
EXO.28.6	Mahapul ni kayyaggud ni luput niya balituk ni heni sinulid hu kapyaen yun ephod, ey mebordaan ni blue, ya purple, niya makadlang ni sinayyum. 
EXO.28.7	Huyyan ephod ey dewwan luput ni nan-appil e hakey di hinangga, ey hakey di beneg e keittekkapan ni dewwan luput ni meihhabley di pahhannan. 
EXO.28.8	Mahapul daman ya kayyaggud ni luput hu mekapyan meibalkeh di ephod, ey mahapul ni meiyayyaggud ni mebordaan ni balituk ni sinayyum, ya blue, ya purple niya makadlang. 
EXO.28.9	Ala kayun dewwan batun onyx et iku-lit yudman hu ngadan idan helag Israel. 
EXO.28.10	Enem ni ngadan hu meikku-lit di hakey ni batu, ey enem damad hakey, et meiku-lit emin hu ngadan idan helag Israel meippuun di nanhahaynedan dan neiungnga, meippalpud pengulwan ingganah di udidyan. 
EXO.28.11	Iku-lit mudda huyyan ngadan idan helag Israel henin kapehding ni nelaing ni mengikku-lit ni sinyal di nenginan batu. Itekap mudda huyyan dewwan batu etan di balituk ni keihha-adan da, 
EXO.28.12	et itakap dadda huyyan batu etan di neihabley di nambina-hil di pahhannan ni ephod. Huyyaddan batu hu penginemnemneman 
EXO.28.13	Itekap mudda huyyan dewwan batud balituk. 
EXO.28.14	Ey pengapya kayun dewwan heni linubid ni nekapyad nemahmah ni balituk et iiket muddan nunman ni balituk.
EXO.28.15	Pengapya kayun luput ni meittekkap di pagew ni ephod, et usalen ni padin mengamtan pinhed Apu Dios ni meippahding. Nan-ingngeh hu ussalen yun nunyad etan di kapyaen yun ephod ey iyayyaggud yu daman bordaan. 
EXO.28.16	Kuwadladuh huyyan luput e melugpi, et heyam ni pulgadah hu kadinukkey tu ey kalinakkeb tu. 
EXO.28.17	Itekap yudya hu epat ni linyah ni nambakbaklang ni nebalol ni batu: yad etan di nemangulun linyah ey itekap yu hu ruby, ya topaz niya garnet, 
EXO.28.18	yad meikkadwan linyah ey ya emerald, ya sapphire niya diamond, 
EXO.28.19	yad meikkatlun linyah ey ya turquoise, ya agate niya amethyst, 
EXO.28.20	niyad meikka-pat ni linyah ey ya beryl, ya onyx niya jasper. Meittekkap idan emin huyyan nebalol ni batud balituk. 
EXO.28.21	Meitudek emin hu ngadan idan hampulut dewwan u-ungngan Jacob idadman ni nenginan batu et iehneng dan emin hu helag Israel.
EXO.28.22	Ikapyai yun nelubid ni banggel ni nemahmah ni balituk huyyan luput ni meittekkap di pagew ni ephod, 
EXO.28.23	ey pengapya kayun dewwan netullikeng ni balituk et ikugut yud dewwan dugun nunman ni luput di ta-pew tu. 
EXO.28.24	Iiket yu humman ni dewwan nelubid ni balituk di diman ni netullikeng. 
EXO.28.25	Ey ya utduk idan nunman ni nelubid ni banggel ey iiket yu etan di dewwan balituk ni keipketan idan batun onyx ni meittekkap etan di meihhabley di pahhannan ni ephod. 
EXO.28.26	Pengapya kayu mewan ni dewwan netullikeng ni balituk, ey ikugut yu etan di dewwan dugun etan ni utduk ni luput ni meittekkap di pagew ni ephod. Meikkuggut ida huyyad piggad etan ni luput et maitumuk di ephod. 
EXO.28.27	Pengapya kayu pay ni dewwan netullikeng ni balituk ey ikugut yud hinanggan nunyan luput di ta-pew ni balkeh ni ephod. 
EXO.28.28	Usal yu blue ni linubid ni mengi-ikket diman ni netullikeng ni meikkuggut di luput ni meittekkap di pagew ni ephod di ta-pew ni balkeh tu.
EXO.28.29	Hedin umhegep hi Aaron di Nesantuh ni Kuwaltuh di Tabernacle, ey ihhuklub tu humman ni luput ni meittekkap di pagew e wada ngadan idan u-ungngan Israel di pettek ni puhu tu, et maipenemnem kayun tutu-uk ni ingganah. 
EXO.28.30	Ihudu yu etan Urim et ya Thummim etan di bulsan nunman ni luput ni meittekkap di pagew et meita-pew di pettek ni puhun Aaron hedin ibbalwasi tun lawwan tud kuwaltuh ku, ma-lat wadan ingganah nan Aaron ida humman ni pengamtaan yuddan tutu-uk ni pinhed kun pehding yu.
EXO.28.31	Kugut kayu pay ni blue ni balwasin mei-dah di ephod. 
EXO.28.32	Kapyai yun huklubban ni ulu ey kuguti yun luput hu gilig nunman ni huklubban henin edum ni balwasi ma-lat eleg mebi-ki. 
EXO.28.33	Pengapya kayun henin lameh ni pomegranate e usal yu hu blue, ya purple et ya makadlang ni sinayyum ey inta-yun yuddad nanlinikweh di utduk nunyan balwasi e meibbenattan di balituk ni kingking. 
EXO.28.34	Hedin inta-yun yu hakey ni kingking, intu-nud yu hakey etan ni heni pomegranate ingganah melikweh hu utduk nunman ni balwasi. 
EXO.28.35	Ibbalwasin Aaron huyyan heggeppan tud Nesantuh ni Kuwaltuh di Tabernacle ni pansilbian tun hi-gak e 
EXO.28.36	Ey pengapya kayun medal ni nemahmah ni balituk et iku-lit yu hu ‘Neieng-eng nan 
EXO.28.37	Iiket yu blue ni linubid di medal, ey ittakap yud hinanggan etan ni kapyaen yun penget Aaron. 
EXO.28.38	Meittekkap huyyan medal di tuktuk nunman ni penget, et heni in-agtu tu hu bahul hedin wada keihhallaan idan helag Israel ni meippanggep ni i-appit da. Mahapul ni i-usal tun ingganah huyyan penget et hi-gak e 
EXO.28.39	Ya kayyaggud ni luput hu pakugut yun mei-dah ni balwasin Aaron. Hanniman dama etan ni penget tu e mahapul ni ya kayyaggud ni luput hu pakugut yu. Pakugut kayun neiyayyaggud ni nebordaan ni meibalkeh di gitang tu. 
EXO.28.40	Ey pakugut kayun mei-dah ni balwasi damaddan u-ungngan Aaron, ya mei-ewwakeh di gitang da, et ya penget da ma-lat kayyaggud ang-ang da ey melispituh idad ngunu da. 
EXO.28.41	Pebalwasim nan hi agim e hi Aaron humman ni nekugut ni balwasi tu, ey pebalwasim ida daman u-ungnga tu hu nekugut ni balwasi da, ey duyagim hu ulu dan lanan olibah, et keang-angan tu e nepiliddan mampeddin mansilbin hi-gak. 
EXO.28.42	Ey pakugut kayu mewan ni andukkey ni mandallem ni balwasi da e meippalpud gitang da ingganah di ulpu da. 
EXO.28.43	Mahapul ni i-usal nan Aaron et yadda u-ungnga tudda huyyan heggeppan dad Tabernacle et yan lawwan dad altar di Nesantuh ni Kuwaltuh ni da pengippahdingan ni ngunu da. Hedin hanniman hu pehding da, man eleg ida mebehhuli et eleg ida mettey. Huyyan olden kun u-unnuden Aaron et yadda helag tun manhuluhulul ni mampeddi ey mannananeng ni ingganah.”
EXO.29.1	Kan Apu Dios nan Moses ey “Heninnuy hu pehding mun mengi-eng-eng nan Aaron et yadda u-ungnga tun mampeddi et mansilbiddan hi-gak. Ala kan kilaw ni lakkitun baka et ya dewwan lakkitun kalneroh ni endi dipektoh da, 
EXO.29.2	ey pengapya kan sinapay e usal mu kekakkayyaggudan ni alinah ey entan tu kamdugin kapampelbag. Pengapya kayu pay ni meingpih ni sinapay ey mekayya-meh edum e naha-dan ni mansikan olibah. 
EXO.29.3	Iha-ad mudda huyyad agyag et iappit mun hi-gak di heggeppan di Tabernacle e mei-unnud etan di kilaw ni lakkitun baka et ya dewwan lakkitun kalneroh.
EXO.29.4	Ipahding mu huyyan elaw ni mengi-eng-eng nan Aaron et yadda u-ungnga tud heggeppan di Tabernacle ey ulahim ida e u-unnud mu elaw ni panlinnih. 
EXO.29.5	Pebalwasim nan Aaron etan mei-dah ni balwasi tu, ya etan nebordaan ni mei-dah di ephod, ya ephod niya etan luput ni meittekkap di pagew ni ephod et ya etan meibalkeh. 
EXO.29.6	Ey ipapnget mun hi-gatu etan penget ni netakapan ni balituk ni medal, 
EXO.29.7	ey duyagim hu ulu tun lanan olibah et keang-angan tu e neputuk hi-gatun mampeddi. 
EXO.29.8	Hedin negibbuh ni in-eng-eng mu hi Aaron ey ieng-eng mudda dama u-ungnga tu e pebalwasim ida etan mei-dah ni balwasi da. 
EXO.29.9	Ey pebalkeh mun hi-gada etan ida neabel ni balkeh ey papnget mun hi-gada hu penget da. Henin nunya ipahding mun mengi-eng-eng nan Aaron et yadda u-ungnga tun lalakki et hi-gada mampadin ingganah.
EXO.29.10	I-lim hu lakkitun bakad hinanggan Tabernacle et ita-pew nan Aaron niyadda u-ungnga tu hu ngamay dad ulun nunman ni baka 
EXO.29.11	ey keleng mud kad-an kud heggeppan di Tabernacle. 
EXO.29.12	Ala kan kuheyaw tu et itdek mu ngamay mu et ha-adam ida etan heni ha-duk ni altar, ey iduyag mu hu edum ni kuheyaw di hengeg nunman ni altar. 
EXO.29.13	Ekal mun emin hu taban neikuyeput di egeh niya etan ni altey, et ya etan dewwan basin niyadda neikuyeput ni taba et giheben muddad altar. 
EXO.29.14	Ya natdaan ni parteh ni baka e humman ida hu belat, yadda laman, et yadda kinan tu ey gihheben mun emin di a-allaw ni kampu hu kamei-appit tep ya liwat.
EXO.29.15+EXO.29.16	Ey alam hu hakey etan ni lakkitun kalneroh et itta-pew nan Aaron niyadda u-ungnga tu ngamay dad ulu tu. Keklengen mu et tayaen mu hu kuheyaw tu et iwwakgih mud dingding ni altar. 
EXO.29.17	Tegteg mu humman ni kalneroh ey ulahim hu egeh tu et ya heli tu et ita-pew mu etan di ulu tu et yadda edum ni parteh ni annel tu, 
EXO.29.18	et giheben mud altar. Ya hamuy nunyan kagihheban kamei-appit ey peamleng tuwak.
EXO.29.19	Alam mewan etan meikkadwan kalneroh et ita-pew nan Aaron niyadda u-ungnga tu hu ngamay dad ulu tu 
EXO.29.20	et kelengen mu. Tayam hu kuheyaw tu et ha-adim hu wannan ni tangilan Aaron et yadda u-ungnga tu. Ha-adim daman kuheyaw hu wannan ni am-ama-an ni ngamay da et ya heli da, ey iwakgih mu hu metdaan ni kuheyaw di dingding ni altar. 
EXO.29.21	Ala ka mewan ni kuheyaw et kamdugam ni lanan olibah, et wakgihan mu Aaron et yadda u-ungnga tu anin ni ya balwasi da, ma-lat mei-eng-eng ida niyadda balwasi dan hi-gak.
EXO.29.22	Ey alam emin hu taban etan ni lakkitun kalneroh ni keklengem, anin taban neikuyeput di egeh niya etan ni altey, et ya etan dewwan basin niyadda neikuyeput ni taba, ya taban ikul tu et ya wannan ni ulpu tu. Huyyan lakkitun kalneroh ni keklengem ey mei-appit di pampeddian nan Aaron et yadda u-ungnga tu. 
EXO.29.23	Ala kaddan sinapay ni eleg meha-adan ni kamampelbag ni neiappit ni hi-gak ni neiha-ad di kad-an ku. Ala kan hakey ni sinapay ni neha-adan ni mansikan olibah, ya hakey ni eleg, niya hakey ni meingpih ni sinapay. 
EXO.29.24	Petnged muddan Aaron et yadda lalakkin u-ungnga tu et ita-gey dan impeang-ang ni hi-gak. 
EXO.29.25	Alam ida et giheben mud altar, anin etan ni kalneroh. Ya hamuy idan nunman ni kamei-appit ey kamengippeamleng ni hi-gak. 
EXO.29.26	Ya etan pagew ni kinleng mun kalneroh ey ita-gey mu et ipeang-ang mun mei-appit ni hi-gak. Hedin negibbuh ni in-appit mu ey inlam tep humman hu patal mu.
EXO.29.27	Appil mu hu pagew et ya ulpun etan ni kalneroh ni impeang-ang mun mei-appit ni pampeddian Aaron et yadda u-ungnga tu et idwat mun hi-gada. 
EXO.29.28	Et yan edum ni aggew ey hedin man-appit ida helag Israel ni pekiddagyuman winu pampesalamatan dan hi-gak e 
EXO.29.29	Hedin mettey hi Aaron ey meippebeltan ida neieng-eng ni balwasi tud hakey idan u-ungnga tun puttuken yun meihhullul ni hi-gatu. 
EXO.29.30	Ey humman ni meihhullul ni eta-gey ni padi ey ibbalwasi tudda huyyan pitun aggew ni kei-eng-engan tu et han tu ilepun mansilbid Tabernacle et yad Nesantuh ni Kuwaltuh ku.
EXO.29.31	Ya etan pagew et ya ulpun kalneroh ey iheeng mud nengilinan ni lugal. 
EXO.29.32	Kennen Aaron niyadda u-ungnga tudda humman anin ya etan sinapay ni neiha-ad di basket di heggeppan di Tabernacle. 
EXO.29.33	Hi-gadan ebuh ni padi hu dammutun mengngan idan nunman ni mei-appit ni ke-kalan ni liwat da. Eleg mabalin ni kennen ni kumpulmih ni tuu ida humman, tep neieng-eng ida humman ni detag. 
EXO.29.34	Ey hedin wada sindaan dan nunman ni detag winu sinapay ni kewa-waan tu, ey mahapul ni gihheben mu. Eleg mabalin ni kennen ida humman tep neieng-eng.
EXO.29.35	Henin nunman hu pehding yun mengippahding nunman ni elaw ni pampeddian nan Aaron et yadda u-ungnga tu. Ipahding yudda huyyan pitun aggew. 
EXO.29.36	Kewa-wa-wa ey keleng yu hu hakey ni kilaw ni lakkitun baka et meiappit ni ke-kalan ni liwat. Ey pan-appit kayun pengippahdingan yun elaw ni panlinnih ni altar, ey duyagi yun lanan olibah et maibilang ni malinih niya mei-eng-eng. 
EXO.29.37	Pitun aggew hu pengippahdingan yuddan nunya. Hedin negibbuh ey neieng-eng law ni pan-appitan humman ni altar, et emin hu meittummuk diman ey mei-eng-eng nan Apu Dios.”
EXO.29.38	Kan 
EXO.29.39	e hakey ni kakkabbuhhan niya hakey ni mahmahdem. 
EXO.29.40	Ya etan i-appit yun kakkabbuhhan ni hakey ni kalneroh ey unnudi yun umlaw di hakey ni kiloh ni alinah ni nekamdugan ni hambusih ni mansika. Ey iappit kayun hambusih ni meinnum. 
EXO.29.41	Et ya etan i-appit yun mahmahdem ni hakey ni kalneroh ey unnudi yu daman nan-ingngeh kedakkel tun alinah, ya mansikan olibah niya meinnum. Huyyaddan kamei-appit ey megihheb ida et hi-gak e 
EXO.29.42	Meippalpun nunya ey man-appit kayun tutu-uk ni kewa-wa-wa, anin idallin helag yun edum ni aggew di heggeppan di Tabernacle e kad-an ku, ma-lat makihummangannak ni hi-gayudman. 
EXO.29.43	Mekiddammu-ak idan tutu-uk diman di Tabernacle, tep neieng-eng humman ni hi-gak tep wada-ak diman. 
EXO.29.44	Em, mei-eng-eng ni hi-gak etan Tabernacle niya altar, anin hi Aaron niyadda u-ungnga tu et mansilbiddan hi-gak. 
EXO.29.45	Mekihha-addak idan helag Israel e tutu-uk et hi-gak hu Dios da. 
EXO.29.46	Ey amtaen da e hi-gak hu 
EXO.30.1	Kan mewan 
EXO.30.2	Kuwadladuh huyya e ya kadinukkey tu et ya kalinakkeb tu, ey hampulut walun pulgada ey tellun piyeh kasina-gey tu. Ikapya yu hu umdewdew ni heni ha-duk di ta-pew idan epat ni dugu tu e meihakkey hu kapkapya tu etan di altar. 
EXO.30.3	Takapi yu huyyan altar ni balituk, ya ta-pew tu, yadda etan dimmewdew ni heni ha-duk, ya nanlinikweh ni gilig tu. 
EXO.30.4	Ikapya yu hu dewwan netullikeng ni balituk di daul ni gilig tun pengidduddukan etan ni dewwan pan-attang. 
EXO.30.5	Pengapya kayun dewwan akasyah ni pan-attang e netakapan ni balituk. 
EXO.30.6	Iha-ad mudda huyyad ba-hil ni kuwaltuh ni keihha-adan etan ni Kaban ni neiha-adan idan neitudekan ni Tugun ku.
EXO.30.7	Ey yan kekakkabbuhhan ni an pengippaptekan nan Aaron idan kengkeh, niya pengihheban tun bangbanglun insensoh di altar. 
EXO.30.8	Hanniman ni hileng ni tu pengintegan idan kengkeh e umgiheb ni bangbanglun insensoh. Mahapul ni pehding tun ingganah huyya anin idan helag yullin edum ni aggew. 
EXO.30.9	Entan tu iappit di altar hu eleg meibbillang ni malinih ni bangbanglun insensoh winu kumpulmih ni kagihheban kamei-appit henin pagey niya meinnum.
EXO.30.10	Ippahding Aaron hu elaw ni panlinnih nunyan altar ni pinhakkey ni hantoon e ha-adan tuddan kuheyaw ni animal ni kamei-appit tep ya liwat ni tutu-u etan epat ni dugu tun heni ha-duk. Mahapul ni pehding yun ingganah huyya tep mei-eng-eng huyyan altar ni hi-gak e 
EXO.30.11	Kan mewan 
EXO.30.12	“Hedin billangen mudda edum mun helag Israel ey mahapul ni ya hanhakkey ni hi-gada ey wada ibbayad dan hi-gak ni pihhuh ni wa-hin annel dan nunman ni kebillangan da ma-lat endi um-alin ligat ni hi-gada. 
EXO.30.13	Ya ibbayad ni hakey ni tuu ey meippuun di kameunnud ni olden meippanggep ni Tabernacle. Humman ni pihhuh ey i-appit dan hi-gak. 
EXO.30.14	Mekibbilang ida dewampulu winu nehuluk hu toon tu. 
EXO.30.15	Huyyan bayad ni annel yun iddawat yun hi-gak ey man-iingngeh, kedangyan winu newetwet. 
EXO.30.16	Dawat mudda huyyan ibbayad idan edum mun helag Israel, et ussalen mun mengippaptek ni Tabernacle. Huyyan ibbayad da ey heni wa-hin biyag da ey mengippenemnem ni hi-gak et ipaptek kudda.”
EXO.30.17	Kan mewan 
EXO.30.18	“Pengapya kayun giniling ni besen niya giniling ni pengippettukan tu. Iha-ad yu huyyad nambattanan ni Tabernacle et ya altar. Ha-adim ni danum 
EXO.30.19+EXO.30.20+EXO.30.21	et pan-ulahan nan Aaron niyadda u-ungnga tun ngamay da niya heli da, et han ida lumaw di Tabernacle di kad-an ku, niya hedin da gihheben hu kamei-appit di altar. Mahapul ni u-unnuden da huyya ma-lat eleg ida matey. Huyyan olden ey mahapul ni u-unnuden idan helag Israel ni ingganah.”
EXO.30.22	Kan mewan 
EXO.30.23	“Ala kan kekakkayyaggud ni bangbanglu: Ya mir e umlaw di enem ni kiloh, ya tellun kiloh ni cinnamon, ya tellun kiloh ni unah, 
EXO.30.24	ya enem et kagedwah ni kiloh ni cassia et ya hanggalon ni lanan olibah, 
EXO.30.25	et pangkakamdug mudda et mengapya kan lanan neieng-eng ni ussalen ni padi. 
EXO.30.26	Usal mu huyyan pengi-eng-engan mun Tabernacle, ya Kaban Apu Dios, 
EXO.30.27	ya tebol, yadda ngunut diman, ya etan pengippettukan ni kengkeh, yadda ngunut ni meussal diman, niya etan altar ni pengiggihheban ni bangbanglu. 
EXO.30.28	Hanniman daman altar ni pengiggihheban ni kamei-appit, yadda ngunut diman, ya etan besen et ya etan pengippettukan tu. 
EXO.30.29	Duyagim ni lana ida huyya et mei-eng-eng idan hi-gak. Ey emin ida meittummuk idan nunya ey mei-eng-eng idan hi-gak. 
EXO.30.30	Duyagim ni nunyan lana hu ulun Aaron niyadda ulun u-ungnga tun pampeddian da et mansilbiddan hi-gak. 
EXO.30.31	Ehel muddan edum mun helag Israel e itultuluy dan mengapyan nunman ni lana et usalen yun ingganah ni pandeyyawan yun hi-gak. 
EXO.30.32	Eleg mabalin ni mu idduyag di ulun kumpulmih ni tuu ey eleg mabalin ni mu iu-unnud et kumapya kan ussalen mud hipan pinhed mun pengi-ussalan. Tep huyya ey neieng-eng di pinhed kun kei-ussalan tu e beken di nalgem hu pengi-ussalan mu. 
EXO.30.33	Ya etan tuun mengi-unnud ni mengapyan henin nunya winu mengidduyyag di kumpulmih ni tuu e beken ni padi ey eggak law ibbilang ni tuuk.”
EXO.30.34	Kan 
EXO.30.35	et mengapya kan bangbanglun insensoh. Edumim ni ahin ma-lat memahmah, ey beken ni nalgem pengi-ussalan yu. 
EXO.30.36	Giling mu edum idan nunman et mapinu ey inha-ad mud Tabernacle di hinanggan Kaban kun neiha-adan ni nekitbalan ku. Yadman nakka pekiddammuin hi-gam. Huyyan bangbanglun insensoh ey neieng-eng ni hi-gak. 
EXO.30.37	Beken ni neala ey ka nengapya et usalem di pinhed mun pengi-ussalan. 
EXO.30.38	Ya etan tuun mengapyan henin nunya et usalen tud pinhed tun pengi-usalan ey eggak law ibbilang ni tuuk.”
EXO.31.1	Kan mewan 
EXO.31.2	“Pinilik hu hakey ni helag Judah e hi Besalel e u-ungngan Uri e u-ungngan Hur. 
