MAT.1.1	Abrahamachea puta Davidachea puta, Krista Jezuche he vonxa-vollichi xivddi. 
1TH.2.10	Bhavart mandun ghetleleam tumam sorim koxê bhaxen osôl bhoktichi, promannikponnachi ani nixkollonk zali amchi vagnnuk, hache tumich govai, ani tumchê borabôr Dev-ui. 
1TH.2.11	Bapui apleam bhurgeank vagoita toxench ami tumchê modlea zonn-eklea sorim kelem mhonn tumi zannont. 
1TH.2.12	Aple mhoimêbhorit Rajeak Devan tumkam apoileant dekhun, Taka man’ta toslea jivitachi chal dhorunk tumkam ami vinonti keli, dhir dilo ani nettan ulo marlo.
1TH.2.13	Devak nirontorim dhin’vasunk anink ek karonn hem: amchê koddsun tumi Devacho nirôp ghetlo tedna, mon’xanchem utor koxem to tumi manun ghetlo na, punn Devachem utor koxem; tôr tem khorench Tachem utor ani tumam bhavarteam modem aplem boll dakhoit asa.
1TH.2.14	Bhavam-bhoinnimnô, Jezu Kristachea ekcharant Judeiant asleleam povitr-sobhank ghòddlam tem tumkam-i ghòddlam; kiteak mhonn’lear, jem tãnnim Judevam koddsun bhôglem, tench tumi-i tumchê kulliecheam bhavam-bhoinnim koddsun bhôgchem poddlem. 
1TH.2.15	Judevamnim Somia Jezuk ani provadeank jivexim marle ani amkam-i dhumallo dilo. Him tanchim kortubam Devak koxêch bhaxen manonant, ani oso Judêv lôk sogllea mon’xakullak add zaunk pavla. 
1TH.2.16	Videxeank taronn-mellto Devacho sondêx porgottunk amkam ho lôk addaita. Hê bhaxen soglleam tancheam patkanchem map bhoron ailam. Xevottak Devacho krôdh tancher denvun aila.
1TH.2.17	Tôr, bhavam-bhoinnimnô, ami thoddoch vêll tumchê thaun pois asleanv tedna — kallzan nhoi, punn fokot tumchê nodrê thaun pois — zata titlê vegim tumkam tondda-tonddim polleunk kitle mhonn ami axetaleanv! 
1TH.2.18	Tumkam bhett diunk zaite ami proitn kele; hanvem, Paulun, komich zalear don pavtti tori oxe proitn kele, punn Soitanan mhaka addailo. 
1TH.2.19	Amcho bhorvanso ani amcho sontôs konn dista tumkam? Ani Jezu amcho Somi ietolo tedna, Tachê mukhar amchê vhodd-vikecho mukutt konn? 
1TH.2.20	Tumich nhoi tim? Khorench, amcho obhiman ani amcho sontôs tumich!
1TH.3.1	Hea khatir, amchem mon anink somadhan zaina zaun, Atenant hanv ekloch ravcho mhonn ami tharailem. 
1TH.3.2	Oxem astam, ami Timotak tumchê-xim dhaddlo: to amcho bhav ani Kristachem xubhvhortoman porgôttchea vavrant Devacho chakôr. Tôr tumkam ghottai diunchê khatir ani tumcho bhavart thiraunchê pasot ani 
1TH.3.3	oxem, tumi bhôgtat team koxttam-dogdam modem konnuch halchona. Osli piddapidd Devanuch nirmil’li amchi gôt mhonn tumi zannont. 
1TH.3.4	Tumi koxtt-dogd bhôgche poddtele mhonn tumchê modem ami asleanv tedna ami tumkam sangunuch dovorlelem, ani toxench ghòddlem mhonn tumi pollelam. 
1TH.3.5	Teach pasot, amchean anink ravum nozo zaun, tumchea bhavartachi khobor gheunk mhonn ami Timotak dhaddlo: Soitanan tumkam eka vellar naddlim zait ani sogllo amcho vavr nirfôll zala zait mhonn amkam vhôdd husko zalo. 
1TH.3.6	Atam tumkam bhett diun Timot amchê-xim porot ailo ani tumchea bhavarta ani pritimoga vixim tannem amkam bori khobor dili. Tumi sodanch moipasan amcho ugddas kortat mhonn, ani zoxem ami tumkam polleunk axetanv, toxench tumi-i amkam polleunk otrektat mhonn tannem amkam sanglam. 
1TH.3.7	Ani ani hea pasot, bhavam-bhoinnimnô, tumcho bhavart polleun amcheanch soglleam oddchonnimnim ani koxttam-dukhim modem tumchê vorvim amkam dhir mell’lo. 
1TH.3.8	Tumi Somia sovem ghott ravleant mhonntôch, atam amkam novo jiv bhòrla. 
1TH.3.9	Tumkam lagun, ami amchea Deva mukhar itlo vhôdd sontôs bhôgtanv tea khatir, tumchê vixim amchean koxem mhonn favo tê porim Devache upkar attounk zait? 
1TH.3.10	Tumkam rup-rup polleunk ani tumchea bhavartak kitem unnem asa tem bhorun diunk amkam favo kôr mhonn ami dis-rat kallzant thaun Tachê lagim magtanv.
1TH.3.11	Khud Dev amcho Bap ani amcho Somi Jezu ami tumchê-xim pavo-xem korum. 
1TH.3.12	Ami tumcho môg kortanv titlo vhôdd tumcho môg ekameka thãi ani soglleam mon’xam thãi Somian odik-odik vaddoum. 
1TH.3.13	Soglleam Apleam bhoktam borabôr Jezu amcho Somi ietolo tedna, amchea Deva ani Bapa mukhar tumi xud’dh-nirmoll aschê khatir, toch Jezu tumchim kallzam povitrtaient thir korum.
1TH.4.1	Xekim, bhavam-bhoinnimnô, Somia Jezuchea nanvan ami tumkam vinoti kortanv ani poratun magtanv tem hem: Devak manonk koxê bhaxen tumi jieunk zai tem tumi amchê koddlem xikleant; toxim tumi jietat khorem, punn tumchem jivit odik ani odik sudharunk vavrat. 
1TH.4.2	Somia Jezuchea nanvan ami tumkam xikovnn dilea ti soglli tumi tôr zannont.
1TH.4.3	Devak zai tem hench: tumi povitr zal’lim. Kamchar tumi pois korcho; 
1TH.4.4+1TH.4.5	Devachi ollokh nasleleam raxttram porim tumi kuddicheô vondovnneô bhagouncheô nhoi, punn zonn-eklean povitrtaien ani mannsugen aplê potinnichea sangata jieunk zanno zaunchem. 
1TH.4.6	Hê babtint konnench aplea bhavak onit korum noiê ani taka fottoun tacho adav kaddum noiê. Ami tumkam adim hem kollit kelam ani Deva mukhar oxi xiddkavnni dilea: osleam soglleam patkeank Somi khast laitolo. 
1TH.4.7	Devan amkam kamchari zaunk nhoi, punn povitr zaunk apoileant. 
1TH.4.8	Mhonntôch, jim konn hê xikovnnechi beporva kortat, tim mon’xanchi nhoi punn tumkam Aplo Povitr Atmo dita tea Devachi beporva kortat.
1TH.4.9	Ekamekachea pritimoga sombondim ami tumkam borounchi goroz na; tôr ekamekacho pritimôg korunk Devan tumkam xikoilam; 
1TH.4.10	ani akhê Maxedonient soglleam bhavam-bhoinnim thãi tumi oxem korun aileant-uch. Tori astana, to odik-odik vaddot vochum-di mhonn ami tumchê lagim magtanv. 
1TH.4.11	Ami tumkam sanglam toxem, xantin jieunk vavrat, zonn-eklean ap-aplem kam’ korchem, ani tumche hat-pãi zhoroun pott bhôrat. 
1TH.4.12	Oxem korun dusro lôk tumkam man ditolo, ani tumcheam gorzank konnachich modôt magunk tumkam poddchi na.
1TH.4.13	Bhavam-bhoinnimnô, bhorvanso-nasleleam ieram mon’xam porim tumi khontibhorit zaina zaunk, morun geleant tanchê vixim sot tem tumi zanno zal’lim mhaka zai. 
1TH.4.14	Jezu melo ani punorjivont zalo mhonn ami tôr sotman’tanv, têch porim Jezucher bhavart dovrun meleant tankam Dev Tachê borabôr haddtolo. 
1TH.4.15	Ami tumkam atam xikoitanv ti Somiachich xikovnn: ami, jivim asanv tim, Somiachea ienneak Dev ozun jivim dovortolo tim, morun geleant tanchê adim Somiachea sangata aschim nanv. 
1TH.4.16	Kiteak hukum’ porgôtt zatolo, Mha-devdutacho tallo gaztolo ani Devachi tuturi vazteli; tedna Somi Apunn khaxa sorgar thaun denvtolo, ani Kristacher bhavart dovrun meleant tim poilim punorjivont zatelim: 
1TH.4.17	uprant ami jivim asteleanv tim, Dev ozun jivim dovortolo tim: Kristak ontrallar mellchê khatir, amkam tanchê borabôr kupancher uklun vhortele. Oxem ami Somiachea sangata asteleanv sodam-sodankal. 
1TH.4.18	Mhonntôch, him utram monant dhorun, ekamekak ghottai diat.
1TH.5.1	Bhavam-bhoinnimnô, hem kedna ani khõichê ghoddier ghòddtolem tê vixim ami tumkam borounchi goroz na. 
1TH.5.2	Kiteak chôr zoso ratcho ieta, toso Somiacho Dis ietolo mhonn tumi besborim zannont. 
1TH.5.3	“Sogllem xant asa, koslich bhirant na!” oxem mhonntat thõich astana, ravonaslelem nisontton tancher ietelem: zoxeô ballonteracheô dukhi êkê gorbest bailecher okosmat ietat, toxem tem nisontton pavtelem, ani tantlo konnuch suttcho na.
1TH.5.4	Punn to Dis chôr koso ieun tumkam sampddaunk, tumi, bhavam-bhoinnimnô, kallokant nant; 
1TH.5.5	tumi sogllim uzvaddachim mon’xam, disachim mon’xam; ami ratichim ani kallokachim mon’xam nhoi. 
1TH.5.6	Mhonntôch, heram mon’xam bhaxen ami nhidun aschim nhoi, punn zagrut ravum-ia ani sogttant moriad samballum-ia. 
1TH.5.7	Nhidtat tim ratchim nhidtat, ani bebdikai kortat tim ratchi bebdikai kortat. 
1TH.5.8	Punn ami disachim mon’xam ani amchem jivit moriadichem zaunchem. Amchi shhat’ti rakhpachem hatiar zaum-di amcho bhavart ani pritimôg; toxench tokli rakhunk amchem xirastronn zaum-di soddvonnecho bhorvanso. 
1TH.5.9	Kiteak ami Aplea krodhak sampoddchim mhonn nhoi, punn amchea Somia Jezu Krista udexim ami soddvonn gheunchi mhonn amchê sorim Devachi ievzônn. 
1TH.5.10	Jezu ietolo tedna ami mel’lim vô ozun jivim asum, Tachea ekvottant ami jieunchê khatir To amchê pasot melo. 
1TH.5.11	Mhonntôch, zoxem tumi korun aileant, toxench ekamekak dhir diat ani ekamekacho bhavart ghôtt korunk vavrat.
1TH.5.12	Bhavam-bhoinnimnô, tumchê modem koxtti vavr kortat ani Somiachea nanvan tumchê voir odhikar choloitat ani tumkam bori budh ditat tankam manan lekhat; 
1TH.5.13	Tanchea vavrak lagun tankam vhôdd man ani opurbai dakhoiat.
1TH.5.13	Tumchê modem xantin cholat. 
1TH.5.14	Bhavam-bhoinnimnô, xist nasloleank xiddkaiat, bhezuddank dhir diat, osoktank boll diat, soglleam sorim sosnnikaien cholat. 
1TH.5.15	Konnench dusreak vaitt vaittan farik korina zaunk chotrai dhôrat, punn zata titlem borem korat, zaum tumchêch modem ekamekak zaum soglleam heram mon’xank. 
1TH.5.16	Sodanch khuxal ravat. 
1TH.5.17	Thambo-nastanam magnnem korat. 
1TH.5.18	Ani khõichê-i poristhitint argham diat, kiteak Jezu Krista sovem oxem korun tumi Devachi khuxi palltat.
1TH.5.19	Povitr Atmeak addkoll ghallinakat. 
1TH.5.20	Provadeanchea sondexachi beporva korinakat; 
1TH.5.21	punn sogllem topasun kaddun, kitem borem tem ghott samballat. 
1TH.5.22	Sogllê torechem vaitt pois korat. 
1TH.5.23	Xanti dita to Dev tumkam sopurnnaien povitr korum; ani Jezu Krist amcho Somi ietolo tea Disak, tumcho otmo jiv ani kudd To chuki virêt samballum. 
1TH.5.24	Tumkam apoileant To Apunn visvaxi dekhun To tem kortoloch.
1TH.5.25	Bhavam-bhoinnimnô, amchê-i pasot magat.
1TH.5.26	Soglleam bhavam-bhoinnink tumchea mogachi khunna diat.
1TH.5.27	Hem potr somest bhavam-bhoinnink vachat mhonn Somiachea nanvan hukum’ ghaltam.
1TH.5.28	Amchea Somia Jezu Kristachi doiallai tumchê sovem asum.
2TH.1.1	Tesalonikek aslolê, Deva amchea Bapache ani Somia Jezu Kristache povitr-sobhek Paulu, Silvan ani Timot noman kortat. 
2TH.1.2	Deva amchea Bapachi ani amchea Somia, Jezu Kristachi, doiallai ani xanti tumchê sovem asum.
2TH.1.3	Tumcho bhavart ekdom’ vaddot veta, ani ekameka thãi tumcho pritimôg choddot veta dekhun, tumchê khatir bhavam-bhoinnimnô ami sodam Devacho upkar attounk zai. 
2TH.1.4	Hea pasot, tumi sõstat team dhumalleam ani koxttam-dogdam modem tumchea thirponna ani tumchea bhavarta vixim uloun, Devacheam povitr-sobhamnim ami tumchi vhoddvik sangtanv. 
2TH.1.5	Hea sogttantlean Devacho nirnnoi nitivont-ponnacho mhonn dakholl zata, ani tumi koxtt-dumalle sonstat-ui mhonnon, Aplem Raj bhogunk Dev tumkam purtim korolo.
2TH.1.6	Kiteak jim konn tumkam atam dogdaitat, tankam Dev Aplê niti pormannem dogdaitolo, 
2TH.1.7	ani Somi Jezu Apleam bollixtt devdutam borabôr sorgar thaun ieta to dixtti poddtolo tedna, tumkam, atam koxtt-dogd bhôgtoleank, toxench amkam-i Dev visov ditolo. 
2TH.1.8	Kiteak Somi Jezu ujeachea agttea modem denvun ietolo ani Devak ollkhun ghenant ani amchea Somia Jezuchem xubhvortoman mandun gheunk kobul nant tankam To xikxa laitolo 
2TH.1.9	Sasnnachea ghorttannachê khastik tim sampoddtolim, Somiachem mukhamoll ani Tachê podvechi mhoima bhogunk tankam mellchi na. 
2TH.1.10	Tea Disa Apleam bhoktam modem mhoima ani Apleacher bhavart dovorla tanche modem abru-man bhogunk To ietolo; hanchê modem tumi-i asteleat, kiteak ami dil’li govaiki tumi mandun ghetli.
2TH.1.11	Hench monant dhorun ami sodanch tumchê pasot magtanv: tumchea apovnneak sobta toslem tumchem jivit zaum mhonn amchea Deva lagim ami magtanv. Tumche soglle bore otrek Aplê podven To bhorten bhagaum ani tumchea bhavarta pormannem jieunk tumi kortat te proitn To purnntaien sufoll korum. 
2TH.1.12	Hê bhaxen, amchea Devachem ani Somia Jezu Kristachem hem funkeachem dennem tumkam favo zatelem: mhonngê, amchea Somia Jezu Kristachea nanvak tumchê sovem mhoima mellteli, ani toxench tumkam Tachê sovem.
2TH.2.1+2TH.2.2	Amchea Somia Jezu Kristi-ennea ani Tachê bhonvtim ami sogllim zom’pa pasot, to Somiacho Dis atanch pavlo mhonn, amcheach udexim dil’lea porim, bhakitan vo utran vo chittin, tumchem mon, bhavam-bhoinnimnô, sompeponnim ghusponk dinakat mhonn vô tumi akantonakat mhonn ami tumchê lagim magtanv. 
2TH.2.3	Koxei toren konnench tumkam fosounk dinakat. Kiteak akhea sonvsarar lôk Devacher virudh poilo upraslea bogor, ani Khotto to, xirap poddlolo, dixtti poddlea xivai, to Dis ieuncho na. 
2TH.2.4	Deva-virodhi to hoch! Lôk dev mhonn manta vô bhôzta titleacher-ui to uprastolo; itlench nhoi, Dev zal’lê porim apunnuch dakhoun Gabhareant xinvasonar bostolo. 
2TH.2.5	Tumchê modem aslom tedna hem sogllem hanv tumkam sangtalom mhonn tumkam ugddas asa kai na? 
2TH.2.6	Nemlolea kalla adim to dixtti poddonam zaunk kitem taka addaun dovorta, tem-i tumi zannont. 
2TH.2.7	Gupit bollan khotteponn korta tem kam’, atam addaun dovorta to na zai porian, gupit bollan kotteponn korta tem kam’ korit asach. 
2TH.2.8	Tedna mat Khotto to ugtim dixtti poddtolo. Somi Jezu Aplea tonddachea bafan tacho jiv kaddtolo ani Aplea ienneachea dobajean tacho nas kortolo.
2TH.2.9	To Khotto Soitanachê podven ietolo, ani sogllê torecheô bollvont kornneo, fottkirim ojapam ani vismitam korun dakhoitolo; 
2TH.2.10	ani ibadd zaunchim asat tankam sotacho môg korun apli soddvonn gheunk tankam naka zalem dekhun, to tankam sogllea jin’sachea khotteponnan fosoitolo. 
2TH.2.11	Hea pasot sot nhoi tachem boll Dev tancher denvoita ani tankam fôtt mandun gheunk pavoita.
2TH.2.12	Hê porim, sot mandun gheunk na punn khotteponnak lobdoleant titlim-i khastichea formonnak sampoddtelim.
2TH.2.13	Devachê opurbaiecheam bhavam-bhoinnimnô, tumchê vixim Taka sodanch ami dhinvasunk favo; kiteak amkam povitr korta tea Povitr Atmea udexim ani sot bhavartan mandun gheun soddvonn gheunchê khatir, Devan tumkam soglleam-vôn poilim vinchun kaddleant. 
2TH.2.14	Ami tumkam porgott kel’lea xubhvortomana udexim, Jezu Krista, amchea Somiachê, mhoiment vantto gheunk Devan tumkam apoileant. 
2TH.2.15	Mhonntôch, bhavam-bhoinnimnô, thir ravat ani zaum amche tonddim zaum amchea potran tumkam xikoileat tim sotam ghott samballat.
2TH.2.16+2TH.2.17	Amcho môg kela ani Aplê doiallaien amkam soronaslolo dhir ani thir bhorvanso dila to Dev, amcho Bap, khud Jezu Krist amcho Somi tumcheam kallzank dhir dium ani sogllê torecheam boream kornneamnim ani utramnim tumkam thir ani ghott korum.
2TH.3.1	Xekim, bhavam-bhoinnimnô, amchê pasot magat, ani oxem, tumchê modem zalam toxem, Devachem utor suddsuddit porgott zait vochum ani lôk tem mandun gheum. 
2TH.3.2	Ani soglleank bhavart na dekhun, vaitt ani khotteam mon’xanchea hatantle Dev amkam nivarum mhonn magat.
2TH.3.3	Punn Somi visvaxi: To tumkam ghottai ditolo ani Vaittoveachea hatantlim tumkam rakhtolo. 
2TH.3.4	Ani, Somi amkam tumche vixim khatri dita; tumkam ami dileat teô adnea tumi palltat ani palltoleat mhonn ami patietanv.
2TH.3.5	Dev tumcho môg korta tacho purnn onnbhôv ani Krist dita tem thirponn Somi tumkam favo korum.
2TH.3.6	Bhavam-bhoinnimnô, amchea Somia Jezu Kristachea nanvan ami tumkam ho hukum’ ghaltanv: bekar bhonvtat ani ami dil’lê xikovnnê pormannem cholonant team bhavam-bhoinnim thaun pois ravat.
2TH.3.7	Amchi dêkh tumi koxi gheunk zai ti tumi tôr zannont: tumchê modem ami asleanv tedna, ami bekar bhonvo-nasleanv; 
2TH.3.8	konnanch koddchem funkea ami jevunk nanv; portench zalear, konnakuch zodd zaina zaunk, koxtt korun ani harpit zaun dis-rat ami vavr kela. 
2TH.3.9	Amkam to hôk’k na mhonn nhoi, punn tumi amchi dêkh gheunchê khatir amkanch tumcho nomuno korun dovrunk ami oxem kelem. 
2TH.3.10	Hea pasot ami tumchê modem asleanv tedna, ami tumkam dila to nêm’ oso: konnank vavr korchi khuxi na tãnnim jevchem-i nhoi.
2TH.3.11	Tumchê modem kãi zannam bekar bhonvtat ani soglleant ghusolltat-luddbuddtat mhonn ami aikolam. 
2TH.3.12	Somia Jezu Kristachea nanvan osleank ami oso hukum’ ghaltanv ani xidd-kaitanv: dusreanchea vhevarant tondd ghalinastanam, tãnnim vavr korun aplem pott bhôrchem.
2TH.3.13	Tumi, bhavam-bhoinnimnô, thokonastanam borem korit ravat. 
2TH.3.14	Hea potrar ami sanglam tem konn aikun ghenam zatit zalear, tanchi chotrai dhôrat ani, tankam apnnanchich loz dischê khatir, tankam pois dovrat. 
2TH.3.15	Tori tankam dusmanam porim lekhinakat, punn tumchim bhavbhoinn mhonn tankam xiddkaiat.
2TH.3.16	Xanti dita to Somi tumkam sodam ani sogllê vatten xanti dium. Somi tumam-somestam sovem asum.
2TH.3.17	Hem noman mhojeach hatan boroitam — Paulu. Dor-eka potrar hi mhoji nixanni. Mhojeach hatachem borovp hem.
2TH.3.18	Amchea Somia Jezu Kristachi doiallai tumam-somestam sovem asum.
1TI.1.1	Ami bhorvanso tthevtanv teach Jezu Kristache ani Deva amchea Soddvonnarache hukume pormonnem, Jezu Kristacho apostl hanv Paulu, 
1TI.1.2	bhavartant mhojea khorea puta, Timotak noman: Deva amchea Bapachi ani Jezu Krista, amchea Somiachi doiallai, konnvallai ani xanti.
1TI.1.3	Hanv Macedoniek vetalom tedna tuka hanvem sanglelem toxem, tum Efezantuch rav. Thõi kãi zannam khotti xikovnn ximpddaitat; tankam tunvem bond korchim. 
1TI.1.4	Toxench, polkeam kanniancher ani purvozacheam vonxavollincher dhean-mon dovrun vêll ibaddinakat mhonn tankam sang. Bhavarta vorvim Devachi ievzônn fuddem vheche bodlek, osleam vostumnim polke vivad mat upzotat. 
1TI.1.5	Mhojê xiddkavnnecho hetu ho: xud’dh kallzantlo, nitoll ontoskornnantlo ani osôll bhavartantlo upzota toslo pritimôg amchê modem vaddounk. 
1TI.1.6	Kãi zannam hem sogllem sanddun ani dusri vatt dhorun naka zal’leam vivadank sampoddleant. 
1TI.1.7	Oslim mon’xam Somurt xikounk fuddem sortat, punn sangtat tem apunnuch somzonant, ani aplench khorem korunk sôdtat, te-i vixim, tim kãich nokllot.
1TI.1.8	Somurt bori mhonn ami sogllim zannonv, punn ticho favo to upêg kelearuch. 
1TI.1.9	Kaide boream mon’xam pasot korunk nant mhonn monant dhôrchem; te kaido moddteleank ani fiturank, Devak mandinasleleank ani patkeank, Dev-bhirant nasleleam ani fotting mon’xank keleat; toxench apleam avoi-bapaink jivexim marteleank ani her prannghatkeank; bhoxttavnneam ani povitr vostunchi bhidda nasleleam mon’xam pasot; 
1TI.1.10	soddeam ani apleach lingacheam mon’xam kodde pozoddponn korteleam pasot, mon’xank chorun vhorteleam pasot, lobaddeam ani lottik soput gheteleam mon’xam pasot, ani rokh-borea xikxonnacher koxê-i bhaxen add veteleam pasot. 
1TI.1.11	Hem rokh-borem xikxonn mhonn’lear ami vornnitanv tea Devachea mhoimêbhorit xubhvhortomana pormannem asa tem, ani hem xubhvhortoman Devan mhojê adhin kelam.
1TI.1.12	Jezu Kristak, amchea Somiak, hanv dhin’vastam, kiteak mhojê adhin kel’lea kamak Tannem mhaka boll dilem. Mhaka khatrecho mhonn dhorun, Aplê sevek Tannem mhaka nemlo. 
1TI.1.13	Jezuchi hanvem adim ninda kel’li, Taka dhumallo dil’lo ani Taka okman kel’le. Tori Devan mhoji kaklut keli, kiteak mhaka bhavart naslo tedna nokllo zaun hanvem toxem kelem; 
1TI.1.14	ani mhojea Somiachi doiallai mhojer ufallun aili, ani Jezu Kristachea ekvottant jieteleanchea bhavartachi ani bhavam-bhoinninchea pritimogachi bhorti mhaka mell’li.
1TI.1.15	Sogllê khatrechi ani soglleamnim manun ghevpachi sangnni hi: Jezu Krist patkeank soddvonn diunk hea sonvsarant ailo, ani team patkeantlo paxtt patki hanv. Punn mhaka kaklut mellunk karonn hem: 
1TI.1.16	Teach pasot Somia Jezun soglleam-vôn chodd mhojê sorim Apli xim’-mer nasleli sõsnnikai dakhounchê khatir, Devan mhoji kaklut keli; hê bhaxen jim konn Jezucher bhavart dovorun sasnnik jivit gheunchim aslim, tankam hanv êk nomuno zaunk. 
1TI.1.17	Tor kallam-iuganchea Raiak, ovinaxi ani amkam disonaslelea ekleach Devak, man ani mhoima sodam-sorvodam! Amen! 
1TI.1.18	Timot, mhojea puta, tujê vixim provadeamnim ucharleleam utram pormannem, tuka oso updês ditam: tanchea uzvaddan cholun boro soinik koso tum zhuztoloi; 
1TI.1.19	bhavart ani nitoll ontoskornn samballun, tum tem zhuz zhuztoloi. Aplem ontoskornn kuxin kaddun dovorlem dekhun, kãi zannam, tanchea bhavartachem tarum futtun, buddlim. 
1TI.1.20	Tanchê modem Himenêv ani Aleksandr; Devninda korchi nhoi mhonn tankam gomun ieunchê khatir, tankam hanvem Soitanachê adhin keleat.
1TI.2.1+1TI.2.2	Patkeank soddvonn diunk, hea sonvsarant Jezu Krist ailo mhonnununch, sogllea adim, Devachi bhokti ami purnntaien korchê khatir ani soglleam modem favo ti moriad ami samballchê khatir, amkam xantin ani sovostkaien jieunk mellche khatir, somest mon’xam khatir razam ani odhikaream pasot magat; hanv magtam tem hench: prarthonam, magnnim, ani vinoti korat ani dhin’vasnni diat; 
1TI.2.3	Oxem korun ami borem kortanv ani hem Deva, amchea Soddvonnarak, man’ta, 
1TI.2.4+1TI.2.5+1TI.2.6	Soglleam monxank soddvonn mell’leli ani somestank purnn sotacho onbhov mell’lolo Taka zai, Kiteak Dev Ekloch; Deva ani monxam modekot Modest-ui Ekloch To Khud’ Monis, Krist Jezu. Somestanche soddvonneche mol mhonnun, Tannem Apnnachench somorponn kelem. Hich govai Tannem iukt vellar dili. 
1TI.2.7	Ho nirôp porgottunk ani videxeank khoro bhavart xikounk Devan mhaka apostl nemlo; sot tem uloitam, fôtt sanginam.
1TI.2.8	Hea pasot kosloch rag dhorinastana ani sogllo vad-vivad sôddun, veta thõi dadleamnim povitr hat ubarun magnnem kel’lem mhaka zai.
1TI.2.9	Toxench bailamnim tankam sobta tê bhaxen moriadin ani mannsugen nhesun ieunchem; mudialle kens korche nhoi; bhangar-xringar, mannkam-motiam ani unch molachim vostram ghalun ieunchem nhoi. 
1TI.2.10	Bhoktivont bailank sobta toslo, boream kornneancho zaum-di tancho xringar. 
1TI.2.11	Zap kaddinastanam, sogllê nomrutaien bailen xikovnn gheunchi. 
1TI.2.12	Xikovnn diunk vô dadleacher odhikar cholounk hanv bailek rojia dina. Ti ogi ravchi. 
1TI.2.13	Kiteak Devan Adanvak poilo rochlo, magir Evek; 
1TI.2.14	ani Adanv fosovlo na, punn bail ki fosovli ani Devachi adnea tinnem môddli. 
1TI.2.15	Moriadin bhavartant, pritimogant ani povitrponnant thir ravtit zalear, bhurgeank zolm ditana, Dev bailancho samball kortolo.
1TI.3.1	Hi sangnni khatrechi: zo konn sobhecho fuddari zaunchi axa ballgita, to borea kamachi axa ballgita. 
1TI.3.2	Punn fuddari sobhê mukhar guneanv naslolo zauncho. To êkê bailê lagim logn zal’lo, olfobhozonni, somjikaiecho, porkeank moipasan ghevpi, ani xikovnn diunk iukt zaunk zai. 
1TI.3.3	To soreak lobhdol’lo vô tiddken zollta toslo zauncho nhoi, punn dulôb; to zhogddekar vô girestkaiechê axecho zauncho nhoi, 
1TI.3.4	punn aplem kuttumb borê bhaxen choloita ani apleam bhurgeank apnnak khaltim dovorta ani borê dekhin lhan-vhodd korta toslo. 
1TI.3.5	Kiteak zôr konn-êk aplea kuttumbacho vhoddil zaunk nokllo, tôr to Devachê povitr-sobhechi mhenôt koso ghetolo?
1TI.3.6	To halinch bhavart-dhôrlolo zauncho nhoi; na zalear to gorvan fulon devcharachea khastichea formonnak sampddot. 
1TI.3.7	Tea bhair, bhailea loka modem to borê abrucho zaunk zai; na tôr, to aplem nanv hogddait ani devchara-chea fasak sampddot.
1TI.3.8	Têch bhaxen, prodhan-sevok manest monis zaunk zai; te don tonddanche zaunche nhoi, nhoi mhonn chôdd soro pietat tosle, vô mhellê zoddiechê axeche. 
1TI.3.9	Bhavarta udexim prokaxit-onbhovik zal’lea sotak nitoll ontoskornnan tannem thir rauchem. 
1TI.3.10	Poile tankam topasun kaddche, ani tanchê sovem kosloch guneanv mellonam zait tôr, tannnim ti seva korchi.
1TI.3.11	Têch porim bailô manacheô zaunk zai. Teô chaddiô sangpi zauncheô nhoi, punn olfobhozonni, ani soglleam vostumnim khatrecheô.
1TI.3.12	Prodhan-sevok êkê bailê lagim logn-zal’lo monis zaunk zai, apleam bhurgeank ani apleam kuttumbank sarke choloitat tosle. 
1TI.3.13	Prodhan-sevokanchi seva te borê bhaxen kortit zalear te sobhê modem apnnank vhôdd man zôddtole, ani Jezu Kristacher dovorcho asa to bhavart vhodda kalljidarponnan porgottunk pavtele.
1TI.3.14	Hem tuka borounchea vellar hanv tujê-xim veginch ietolom mhonn ravtam; 
1TI.3.15	punn mhaka lambai zait zalear, Devachea kuttumbant koxê bhaxen cholchem tem tunvem zanno zaunchem mhonn hem atam boroitam; aminch hem kuttumb, jivea Devachi povitr-sobha. Hi povitr-sobha Devan ugddapem kel’lem sot. Toch tem zotnaien samballta ani thiraien rakhta. 
1TI.3.16	Ami bhoktin vonditanv to gutt dubhavavinn xrêxtt-ut’tôm’:
1TI.3.16	Amchea soimban To dixtti poddlo,
1TI.3.16	Atmo Tacho sakxidar zalo,
1TI.3.16	devdutamnim Taka vondilo,
1TI.3.16	videxeank-ui To porgôtt zalo,
1TI.3.16	xekan’xek prithvecheam lokancho
1TI.3.16	bhavart Tacher asa tthevlolo,
1TI.3.16	mhoimen Taka ubarun vhelo.
1TI.4.1	Xevottachea kallar kãi zannam, khotteam atmeank ani devcharan-cheam xikovnnank kan diun, bhavart soddun vetelim: oxem Povitr Atmean spoxtt sanglam. 
1TI.4.2	Heô xikovnnô fottkiream mon’xanchea dhongeponna udexim ieteleô; tancheam ontoskor-nnancher devcharan dag diun aplo xik’ko marla. 
1TI.4.3	Tim amcheam bhavam-bhoinnink logn addvartat ani thoddeô vostu khauncheô nhoi mhonn xikoitat; punn soglleô khavpacheô vostu ami khaunk mhonn Devan rochleat, ani Devacher bhavart dovrun sot ollkhotat tannim teô vostu Devak dhin’vasun gheuncheô. 
