LUK.1.2	Nanakasike pipiya matasiyai si kinana, ba warana si yoneyonei wai rutainina sita kirumisi. 
LUK.11.40	Neganegami! Kata God kupuna wata i wosei kona kamonai yabata i wosei? 
LUK.11.41	Saba awaika ami kaboma ba vedu kamosi yai te mamana wai moyamoyakisi ko berisi. Ba kurimi awaika ereonowasi sina gaire. 
LUK.11.42	Komi Pharisee koi nuwapoya basuna kam kasi bibi gairena, mint ba rue asi ten kamosi yai wai, kesana God ko puyopuyoi. Saba pipiya kurisi wose kega gairesi ko wosewose ba God kega kobi nuwayauyauni. Saba wose tupana kona wosisi, ba kega kesana kona'netaveyei. 
LUK.11.43	Komi Pharisee koi nuwapoya basuna duwu yovesi kamosi yai ami waina pipiya kaikaposi asi gawarai kona makira. Ba ami waina aba gimogimona gawarisi yai, pipiya ere bokuwayisi sini kaikaivimi. 
LUK.11.44	Komi Pharisee, koi nuwapoya basuna komi bage karawaga kega ere matakirisi. Pipiya tepasi yai sina yewo ba kega sina kuiri kata, nao gawarai pipiya raboraobosi si doguisi.” 
LUK.11.45	Ba giugiu biyina kesana i kaobeyei i wona, “Bai beyebeyena bitam, nikasike kebi sisiya wai, yakai yabata kebi gigimikai.” 
LUK.11.46	Iesu i kaobeyei i wona, “Ba komi yebo kairuwana kuira biyimi, kurimi ina goyo saki basuna bita kaikapona pipiya ku ririwasi ko tereterei, ba kega rubana sina kabari. Saba komi kega misi yaromi yai kobo rorona kata, koni baisisi nakosi bita kona kabara. 
LUK.11.47	Koi nuwapoya kata peroveta asi karawaga ko bowabowa ba nosinosimi nikosi Peroperoveta si kasibunuwana. 
LUK.11.48	Kata nikasike ko wosei wai i kesimi koi mamatara meyimi kata awaika nosinosimi si wosei. Kosi Peroperoveta si kasibunuwana ba komi kasi karawaga ko bowa.” 
LUK.11.49	Nikona kairavina God ana nuwasu yai i wona, “Peroperoveta ba kawari yonayona ani porapora kurisi. Mutusi sini kasibunuwana ba mutusi sini tupa ketowanisi. 
LUK.11.50	Kona kairavina, dobu dagudagunai ba i botu karaku. Peroperoveta ereonowasi tarasi si soro kairavina, niko kimta pipiyisi kunumaka sina kabari. 
LUK.11.51	Abel tarana i sororo maranai ba i botu Zechariah tarana i sororo wai ku marana. Kona wai ana runabonabo ba gawara kaowaobaisiena basusi yai si kasibunui. Damanina, a woewonimi niko kimta pipiyimi kunumaka tupana kona kabari. 
LUK.11.52	Komi kirukiruma biyimi kurimi ina goyo saki basuna komi kuira matamketana ko sagira potai, ba kega rubana kona riu. Pipiya iyabosi riu te waiwaini wai kobi gesisi. 
LUK.11.53	Iesu kona gawarina i kasibau taveyei maranai, giugiu bitasi ba Pharisee biyisi si dagui si kaobigoyona sakiyei, ba sawara pesarisi kairavisi sibi kasekasemaini. 
LUK.11.54	Kaena sibo taini kata, iti sisiya goyo wai siti kunumakei.
LUK.12.1	Kona maranai koroto kaikapona si notuwa ba, sibi ututawatawana bibirana. Ba Iesu ana Nonorayauna wata kurisi ikai bisisiya i wona, “Ko kita kabitamnimi, kata Pharisee biyisi asi yeast, kega ini garubona kurimi. Kosi wai kwaruma bitasi 
LUK.12.2	Awaika wata ma kobakobasi wai ina tere kasibauwana ku matara. Ba awaika wata mama bi buneyisi wai God ini mamatarana. 
LUK.12.3	Yebo awaika wata baidibarai kui sisiyei wai, kao basunai sina nonori, ba awaika wata yove kamonai ku koba ba kui pona simsimyei wai, wada kupunai sina rumamarei.” 
LUK.12.4	A wonewonimi, turaturaku, pipiya iyaboi tupuvim sina kasibunui wai kega ko nagarisi. Basuna kona murinai, kega yebo awaika goyona sina wosei. 
LUK.12.5	Ani beyimi kata kotoi kona nagarei. God ko nagarei, basuna, kona ana maragata emamana kata ina kasibunuim murinai wai, ini garuim keyama karata bonabonana ku kamona. Eee, a wonewonimi, kona ko nagarei. 
LUK.12.6	Airita asi five kota gimonisi wai, maisasi i yogiyogi saki, Saba God nakosi manu kega kesana i nota wapei. 
LUK.12.7	Bisuwona, God uyavim ereonowana i baiyavi ba i kuiri kata biyamo. Kega ko nagara, komi maisami wai i rakata saki, airita pesarisi maisasi ko getawanisi.
LUK.12.8	A wonewonimi, kotoi wata pipiya naosi yai ini debei kata kona yauku au pipiya wai, yauku Sebare Natuna kesanina God ana aneya naosi yai kairavina ana wosei. Ani mamatara kata kona wai yauku au pipiya. 
LUK.12.9	Saba, kotoi wata pipiya naosi yai debai ini sinikikiyiku wai, yebo God ana aneya naosi yai debai ani sinikikiyei. 
LUK.12.10	Ba iyabosi wata yauku Sebare Natuna sina kao bi goyoniku wai, ereonowasi God ina nota taveyisi. Saba kotoi wata Kanuma Kaoaobaisiyena ini gigimi wai, kega ina nota taveyei. 
LUK.12.11	Maranai, sina tina seserim sina nae duvu yovesi babadisi ba kaikaiwabosi kurisi. Ba naosi yai koni i msiri bi kasekase mainimi kairavina wai, kega koi nuwapoya kata mekabage koni taraparana meyimi, kona mekabage koni sisiya. 
LUK.12.12	Kairavina kona maranai, Kanuma Kaoaobaisiyena ini beyebeyimi kata mekabage koni sisiya.”
LUK.12.13	Ba sebare kesana koroto kamosi yai Iesu kurina iwona, “Bi beyebeyena bitam, tuwaku ke wonei kata ama buderi tamakai i sumarei wai kani kodei.” 
LUK.12.14	Iesu i kaobeyei i wona, “Au sebare, kotoi bibadana i beriku kata ani buibuiyimi, kona tamami buderina ami ruwamo kamomi yai ati kodei.” 
LUK.12.15	Ba ereonowasi kurisi i wona, “Mataisiga wosesi bubausi yai, ko kita kabitamnimi. Basuna, bagunai wata sawara biyamo wata karimi yai, saba yawasa damana wai kega namai.” 
LUK.12.16	Damanina Iesu niko bi maibai kurisi isisiya i wona, “Mara kesana, sebare marimariyina ana tanowai kam si uwa kabitam.” 
LUK.12.17	I kesina i nuwasuya awaika ana wosei, yauku karikuwai kega gawara emamana ba niko kam ani gaeni. 
LUK.12.18	Damanina i wona, “Nikona ana wosei, au gweda ana rika ba gweda kaikaposi ana bowa, ba namai kau kam ereonowana ba au sawara mutusi yabata ani gaena.” 
LUK.12.19	Ba ana wona, kom damaina, am sawara gairesi si pesara saki kui gaena, bodu pesarisi kairavina. Kema bi nubaim, ke kam, ke toma ba ki nuwagaire. 
LUK.12.20	Saba God sebarena i wonei, i wona, “Kom neganegam, karaku niko pominai am yawasa ana yauna taveyei. Ba nikoi sawara ereonowasi ikesim kairavim kubi gaeni wai, kotoi ina yauna ini karinai?” 
LUK.12.21	Iesu ana sisiya i bokoboi wai i wona, “Nikona kesanina iyaboi wata sawara ba mariya i kesisi wata kairavisi te bobitauri wai God matanai kosi kega marimariyisi.”
LUK.12.22	Damanina Iesu ana Nonorayauna kurisi iwona, “Kona kairavina a wonewonim, kega ami yawasa kairavina kam koni nuwapoyei kona, tupuvimi kairavina gara koni nuwapoyei. 
LUK.12.23	Yawasa wai sawara kaikapona kega bage kam, ba tupuvim wai sawara kaikapona kega bage gara. 
LUK.12.24	Agaoga ko kinanisi, kosi kega te bobao kona tebo kasira kosi asi bobitaura yovesi kega. Saba God ebi kanisi! God kurina wai komi kamasavimi kega bage manu rutainisi 
LUK.12.25	Kom kotoi wata nikona kebi nuwapoyei wai, kom rubana am yawasa kuna wosei misi ina veoroma kona? 
LUK.12.26	Memei bage sawara sosoena kega kuna wosei wai, awaika kairavina sawara mutusi kairavisi kebi nuwapoya? 
LUK.12.27	Saru ko kitaisi mekabage dipai te rautiti, kosi kega te bobagibagi, kona kasi gara ikesisi te wosewose. Saba ana wonimi, Taupauma Solomon i mariya saki, ba kana gara kega kesana monimonikina bage nikosi saru kesana rautainina. 
LUK.12.28	God gwanewa nanakasike ebi garabunagi, gwanewa karaku nina ba maram sina kapuni ina kara taveyei. Komi nanakasike ini garabunagimi kona? Ami bi geruwana si soesoe saki. 
LUK.12.29	Kega koni nuwapoya. Kega kam ba toma koi nuwapoyei. 
LUK.12.30	Kairavina pipiya kega bibi geruwanisi, nikosi sawara te veravera nunurana. Ba Tamam i kuiri kata, komi ami waina nikosi sawara. 
LUK.12.31	Saba ana Basileiya ko kai nuveni, ba nikos sawara ereonowasi ina berimi. 
LUK.12.32	Sheep rukunaikei, kega kona nagara, kairavina Tamami ebi nuwagaire kata ana Basileiya ina berimi. 
LUK.12.33	Ami sawara ereonowasi koi gimona, ba maisana moyamoyakisi ko berisi. Dobu mariyina kega ami ku kautu koi wana. Saba sapama mariyina ami ku kautu koi wana, wai kega pisipisikarisi sina yauni, kona wekuwekuma kega sini goyoni. 
LUK.12.34	Kairavina, memei ami mariya kobo bitaura wai, yebo nuwanuwami mamanina namai sina mana.
LUK.12.36	Bage saibisaibirisi, asi bada tabine poragina kairavina te potapotai ba ina veramaga wai rutinina. Ina botu ina rukesakesara wai, mara kesana matam keta kairavina sina botaveyei. 
LUK.12.37	Maranai asi bada ina botu ba ana saibisaibirisi mata waerewaresi sina mamana ina kitaisi wai ini nuwagaire saki. Abi suwonimi, kona yabata ina kaubunaga ba ina bosaibirisi, ini makirisi ba ina potasi sina ba kam. 
LUK.12.38	Bagunai wata pom basunai, kona ku mara tom tom mena asi bada ina botu, saba bobo bunagisi ina pananisi wai ini nuwagaire. 
LUK.12.39	Kota kuiri kata, yove badana ina kuiri, meo maranai pisipisikarisi ana yove sina rebui wai, kega rubana ina botereisi ana yove sina rebui. 
LUK.12.40	Ba komi yabata yebo kona bobunaga, basuna kega ko kuiri kata meo maranai Sebare Natuna ina botu. 
LUK.12.41	Peter Iesu i toirubai i wona, “Bada, niko bi maibai kebi sisiya wai, yakai am nonorayauna wata kurikai kebi sisiya kona, pipiya ereonowakai kurikai?” 
LUK.12.42	Bada i kaobeyei i wona, “Meo saibisaibirina yapaikina, ba nuwanuwasuyina wai, kona ana bada ina terei ana saibisaibirisi mutusi ina potaisi, ba kasi kam bi koda maranai ini koda kabitam. 
LUK.12.43	Maranai ana bada ina botu ku yove, ba kona wosena ina wosewosei, ina kinani wai ini nuwagaireni. 
LUK.12.44	Abi suwonimi, kona saibisaibirina ana bada ina terei kata, ana sawara ereonowana ina potai. 
LUK.12.45	Saba maranai nao saibisaibirina ina wona, Au bada ebi metewa saki, kega e botubotu yagiyagina. Ba ina dagui, saibisaibirisi mutusi, bibaine ba sebasebare ina raviravisi, ba ina kamkam ba ina tomatoma neganega 
LUK.12.46	kona saibisaibirina wai kega ina kuiri kata abi siri yai, kona meo maranai, ana bada ina botu. Ba ina botu wai, ini tara yaraganei, ba ana gawara kega bibi geruvisi kamosi yai ina terei, yabata sina mana. 
LUK.12.47	Meo saibisaibirina ana bada ana waina i kuiri, ba saba kega i wosei, kona kega ibo bunaga wai, ina kwapu sakiyei. 
LUK.12.48	Saba meo saibisaibirina ana bada ana waina kega i kuiri, ba saroba yaunina wosena i wosei wai, kona kega ina kwapu sakiyei. Iyabosi wata pesarina i bereisi wai, ereonowasi karisi yai e waiwaini pesarina ina yauni. Ba kotoi wata kaikapo sakina i berei, potaina kairavina wai, yebo e waiwaini kaikapo sakina, karinai ina yauni.
LUK.12.49	Yauku bibuibuiya kaikarakarasina a botuvei ku dobu. Awaina sakiyei kata, matapa sita kasiri ita karakarata. 
LUK.12.50	Saba yauku babataito ana riuni, ba ere nuwa yaraku abi potapota yepo ina rauroboi. 
LUK.12.51	Komi ko nosinosi kata yauku nuwanuba ku dobu a botuvei, saba a wonewonim kega nuwanuba ba bi buburana. 
LUK.12.52	Karaku ba karaku wata, rakaraka kesana kamonai, pipiya asi five sina mamana wai, sina keyauwarisi. Ruwamo asi tonu sini abiyisi, ba tonu asi ruwamo sini abiyisi. 
LUK.12.53	Kosi sina keyauwarisi wai, tama natuna sebare ini abiyei, ba sebare tamana ini abiyei. Sina natuna wasikena ini abiyei, ba wasike sinana ini abiyei. Ba sina rawana wasikena ini abiyei, ba wasike kaowana sinana ini abiyei.”
LUK.12.54	Ba yebo pipiya korotosi kurisi i wona, “Maranai guba enaga sipunai egegai ko kitakitai wai, mara kesana ko wonawona ina kusana, ba e kusakusana. 
LUK.12.55	Ba maranai, sibe kariwabo yai everavera damina ko yuyauni wai, ko wonawona ina boborabora, ba e booborabora. 
LUK.12.56	Kwarukwarumimi! komi sapama ba dobu kasi kinanai wai, mara kobi sisiyei. Ba awaika kairavina karaku niko mara basuna kega ko kuiri?
LUK.12.57	Awaika kairavina kega kebi buibuiya meyim, kata abi wose wai wose gairena. 
LUK.12.58	Maranai kam abiya ina urabaim, bi buibuiyim kairavina kona nenae wai, ke wose rubai kata keta dobonai ami nuwabadona kona bo bitotori, ba koni kwainana. Ba kega wai, ina taina seserim kona nae bi buibuiya bitana kurina. Ba bi baibuiya bitana patuma sebarena ku yarona ina terim, ba patuma sebarena ku patuma yovena ina tere riuwim. 
LUK.12.59	A wonewonim kega rubana patuma yovena kuna kasibau taveyei yepo, kam kunumaka maisana kuna bokoboi wai damaina.”
LUK.13.1	Kona maranai, pipiya mutusi nai simamana wai, Iesu si wonei kata Galilee biyisi mutusi God kurina si puyopuyo bunuwa wai, Pilate i kasibunuwana, ba tarasi asi puyobunuwa yabata i saretabira. 
LUK.13.2	Iesu ikaobeyisi iwona, “Komi ko nosinosi kata nikosi Galilee biyisi nikasike si rabobo wai, kosi asi piraga goyo sirakata saki, kega bage Gallilee biyisi tupasi rutainisi kona? 
LUK.13.3	Kega, saba ana wonimi, komi ami piraga goyowai koni nuwa birabira wai damanina. Ba kega wai, komi yabata kona rabobo. 
LUK.13.4	Ba nakosi pipiya asi eighteen, Saloam yai yove kaidagimina i peku ikasibunuisi wai kosi mekabage. Ko nosinosi kata kosi asi piragagoyo si rakata saki, kega bage pipiya ereonowasi Jerusalem yai te mamana wai, rutainisi kona? 
LUK.13.5	Ana wonimi kega, saba ereonowami ami piraga goyowai koni nuwabirabira wai damaina. Ba kega wai, komi yebo ereonowami kona rabobo.”
LUK.13.6	Damanina Iesu niko bi maibai i sisiya i wona, “Sebare kesana koveya keyamina ana wine baona kamonai i baoni. Ba inae koveya uwana pokeina kairavina, saba uwana kega kesana ipanani. 
LUK.13.7	Ana bao kana aba potapota sebarera kurina i wona, karaku bodu tonu ai nebira niko ku koveya keyamina, saba kega kesana uwana a kitai pasika. Ke tara taveyei! awaika kairavina tano wata ebi yakwarei. 
LUK.13.8	Saba bao kana aba potapota sebarena i wona, Bada, bodu kesanaikei wata ke boterei ina mana, kunukununa ana sutabuni ba tano kana bi gairena ana terei 
LUK.13.9	Ba no bodunai ina uwa wai damainina, ba kega wai, kata ana tara taveyei.”
LUK.13.10	Sabbath kesana, Jew biyisi asi duvu yovena kamonai Iesu ibi beyebeyena. 
LUK.13.11	Ba wasike kesana kanuma goyona i gubagi wai, nai i mamana. Kona wasikena wai bodu eighteen i sikena bonei, ba ririwana i taina rukumi, ba kega rubana iti imsiri totora. 
LUK.13.12	Maranai, Iesu wasikena i kinanai wai i yorei, ba kurina i wona. “Wasike kam gubaga i yawasa.” 
LUK.13.13	Damanina yarona ku tepana i terei, ba mara kesana i msiri totora, ba God ibo kabakabari. 
LUK.13.14	Jew biyisi asi duvu yovena badana i yagisi, basuna Iesu Sabbath maranai ba pipiya i yawasi. Kona kairavina pipiya kurisi i wona, “Saibira kasi mara wai asi six, kosi marasi yai wai kona botu biyawasa kairavina, ba kega Sabbath maranai.”
LUK.13.16	Niko wasike wai Abraham natuna, ba Satan i kaupatupatumi bodu eighteen i kakaba. Kata sabbath maranai tana tombauni kona kega?” 
LUK.13.17	Iesu nikasike i sisiya wai kana abiya si sinimaya. Saba pipiya wai, wose kaimasavisi i wose kairavina si nuwagaire.
LUK.13.18	Iesu i toiruba i wona, God ana Basileiya wai, mekabage, mekabage ana tere gubai? 
LUK.13.19	Kona wai nikasike, sebare kesana mustard pesina i yauni ba ana bao kamonai i baoni. Mastard i rautiti i gae i keyama, ba manu ragaraganai kasi nigu si bowa.
LUK.13.20	Ba i toiruba mena i wona, “God ana Basileiya awaika yabata ana tere gubai? 
LUK.13.21	Kona wai nikasike, maranai wasike yeast yogina mom i yauni, ba flour kaikapona yabata i tabiri. Ba i terei i mana flour i ruruwa wai, rutainina.”
LUK.13.22	Iesu i bomsiri ku Jerusalem i nenae wai, keta dobonai meyaga kaikaposi, ba yogiyogisi kamosi yai ibi beyebeyena, ba i nenae. 
LUK.13.23	Ba pipiya kesana i toirubai i wona, “Bada, pipiya kega pesarisi yawasa mama damanina sina yauni kona?”
LUK.13.24	Iesu i kaobeyisi i wona, “Ko wose rubai kata matamketa kiudunai kona riu. Basuna pipiya pesarisi sina wose rubai kata sina riu, saba kega rubarubana. 
LUK.13.25	Maranai yove badana ina bomsiri, ba matamketa ina gudui wai, komi matarai koni imsiri ba kona rau kesakesara.” Ba koni bi baba kona wona wona, “Bada matamketa kairavikai kuta botaveyei.” Saba kona ina kaobeyimi ina wona, “Komi kega a kuirimi, memena ko botu?” 
LUK.13.26	Ba komi kona wona, “Kom rorowa yabata ta kam ba ta toma, ba ama meyagai kui beyebeyena.”
LUK.13.29	Kona maranai, pipiya kupura ereonowanai sina botu. God ana ku Basileiya. Ba poraga kamonai, asi gawara sina yauna sina makira. 
LUK.13.30	Damanina ba iyabosi karaku tebi nao wai sini muri, ba iyabosi karaku tebi muri wai sini nao.”
LUK.13.31	Kona maranai giugiu bitasi mutusi si botu Iesu kurina, ba si wonei, si wona, “Niko kupura ke kasibau taveyei ke nesaira, basuna Herod ana waina ina kasibunuim.” 
LUK.13.32	Iesu i kaobeyisi i wona, “Ko nae nao kukou garagara ko wonei, kata karaku ba maram kanuma goyogoyosi ani kasibaunisi ba gubagubagisi ani yawasisi. Ba kao bi tonuinai au saibira ani kakabi. 
LUK.13.33	Bagunai wata mekabage, saba karaku, maram, ba mara bi tonuinai awaika a wosewosei wai ana bo koboi. Kega kesana God ana Peroveta memena ina rabobo saba Jerusalem kamonai wata ina rabobo. 
LUK.13.34	Ae kiwaiape Jerusalem, Jerusalem, kom peroveta pesarisi kui kasibunuwana, ba God ana kawari yonayona kurim i poraisi wai, akimai kui guda bunuwana. Mara i pesara saki a waini kata am pipiya ereonowasi ati kesanisi, bage kokorereko sinasi, mapemapenai natunatuna e tapitapi ragaunisi wai, rutainina. Saba kom kega am waina. 
LUK.13.35	Ke kinani, kona kairavina wai, am yove tapaoro kwebuna ina mana. Abi suwonim kom kega kuna kinakinaniku yepo maranai kuna wona, “Bibi gairenina kotoi bada wabanai e botubotu.”
LUK.14.1	Sabbath kesana, Iesu i nae Pharisee biyisi asi bada kesana ana yoveyai ita kam, ba pipiya wai, Iesu sibo kibukibu kabitamni. 
LUK.14.2	Ba sebare kesana yaroyarona ba kaekaena sibo ruruwana wai nai Iesu naonai i mamana. 
LUK.14.3	Iesu Pharisee ba kairuwana kuira biyisi i toirubaisi, i wona, “Ata giu mekabage e wonawona, Sabbath maranai tani yawasa kona kega?” 
LUK.14.4	Saba kosi kega kesana awaika si sisiyei, damanina sebarena i yauni i yawasi, ba i pora taveyei.
LUK.14.6	Saba kega kesana kotoi nikona kairavina i kaobeyei.
LUK.14.7	Maranai pipiya gawara kaimatanisi si bobine Iesu i kinani wai, niko bi maibai ereonowasi kurisi i sisiya. 
LUK.14.8	I wona, “Maranai tabine kamna kairavina sina yorim wai, kega pipiya kaikaiposi asi gawarai ke makira. Memei bage pipiya bi badana kesana, kega kom rutainim yebo si yorei. 
LUK.14.9	Kona kairavina nao sebare komi ami ruamo i yorimi wai, ina botu ba ina wona, “Am aba makimakira niko sebare ke berei.” Damanina kom kuni sinimaya ba gawara mominai kuna makira. 
LUK.14.10	Saba maranai sina yorim wai, ke nae gawara mominai ke makira. Ba nao pipiya kotai i yorim wai, ina botu maranai ina wona, “Kwaina ke magae ku gawara gairena.” Damanina pipiya si yorisi wai ereonowasi matasi yai sina kao bi gegaenim. 
LUK.14.11	Kairavina iyabosi wata te teretere geyana meyisi wai ereonowasi ina tere kireisi. Ba iyabosi wata te teretere kirana meyisi wai, ina bokabarisi. 
LUK.14.12	Damanina Iesu kam badana kurina i wona, “Maranai kao basuna kamna, kona rabisi kamna kuna wosei wai, kega turaturam ba tuwa teiteim, kona am rakaraka, kona maturaturam marimariyisi kuna yorisi sina kam. Kairavina kosi yebo sina yorim, ba awaika ku wosei wai sini sarobi. 
LUK.14.13	Saba kam kaikapona kuna wosei wai pipiya moyamoyakisi, ba sikesikenisi, ba mata potapotasi, ba digadigasi ke yorisi sina kam 
LUK.14.14	Kosi pipiyisi karaku wata kega sina sarobim, saba God ini gairenim. Ba pipiya asi yawasa totorisi sina bomsiri mena maranai. God ini maisanim.”
LUK.14.16	Iesu i kobeyei i wona, “Mara kesana, sebare kesana kam kaikapo sakina i tupuvi, ba pipiya pesarisi i yorisi.” 
LUK.14.17	Ba kamna marana i neratui wai, ana saibisaibirina i porai i nae pipiya iyabosi i yorisi wai, kurisi ita wonisi, “Ko botu sawara ereonowana ka bobunagi i kakaba.” 
LUK.14.18	Saba kosi ereonowasi si dagui asi sisiya si teretere sisirana. Pipiya i nao wai i wona, “Au tano karaku wata mom a gimoni, ba a nenae ana kitai, abi babaimi ko boteriku.”
LUK.14.19	Kesana i wona, “Yauku karaku wata mom au bullock asi ten a gimonisi. Ba a kasikasibau ana raurubaisi, sina bagibagi kabitam kona kega. Abi babaimi ko boteriku.” 
LUK.14.20	Yebo kesana i wona, “Yauku karauku wata mom a tabine, kona kairaina kega rubana ana botu.”
LUK.14.21	Aba sabisaibirina i veramaga, ba awaika si sisiyei wai, ereonowana ana bada i wonei. Ana bada i yagisi wai i wona, “Yagiyagina ke kasibau, ba meyaga kamonai keta badai, ba keta soesoesiyai pipiya moyamoyakisi ba sikesikenisi, ba mata potapotasi ba digadigasi, ke urabaisi kona botu.” 
LUK.14.22	Kega rabarabana ba saibisaibirina i wona, “Bada awaika ku wona wai a wosei, ba saba gawara tupana i madamana.”
LUK.14.23	Damanina ana bada i wona, “Ke kasibau meyaga ku kupuna ba keta kaikaposi yai ba soesoesi yai pipiya ke wonisi sina riu au yove sini bonuvei.” 
LUK.14.24	Ana wonimi, iyabosi wata a yorisi ba si totoyana wai, kega kesana au kam ina kam rubai.
LUK.14.25	Mara kesana, koroto kaikapona Iesu yabata si yewo si nenae ba, i taibira ba kurisi i wona. 
LUK.14.26	Kotoi wata ina botu kuriku, ba saba tamana ba sinana, ba nobuna ba tuwateina, ba yebo i kesina ana yawasa kega ini sinikikiyei wai, kona kega au nonorayauna. 
LUK.14.27	Ba kotoi wata ana korosi kega ina kabari, ba ini saununuriku wai, kona kega au nonorayauna.
LUK.14.28	Kom kotoi wata am waina yove kaidagimina bowaina kairavina wai, kainaona kuna makira, ba maisana kuna kai rubai. Kata bi suwona money rubana, ba yovena kuni kakabi kona kega? 
LUK.14.29	Saba tukeke wata kuni totorana, ba yovena kega kuni kakabi wai, pipya ereonowasi sina kitai wai sini namim. 
LUK.14.30	Sina wona, niko sebare yove bowaina i dagui, saba kega rubana ini kakabi.
LUK.14.31	Ba taupauma kesana ina tauya taupauma kesana yabata bi abiya kairavina wai, kainaona ina makira ba ini nuwa notanota. Rubarubanana ana abiyabiyisi asi ten thousand, ba kana abiya ana abiyabiyisi asi twenty thousand ini imsi beyisi kona? 
LUK.14.32	Ba kega rubarubanana wai, kana abiya rabarabai ina botubotu maranai, ana kawari yonayona ini poraisi sina nae nuwanuba kairavina sini babai. 
LUK.14.33	Iesu ana sisiya ibo koboi ba i wona, “Kesanina komi, kotoi wata sawara ereonowasi kega ini sinikikiyana wai, kega rubana ini sununuriku. Ba kona wai kega au nonorayauna.”
LUK.14.34	Enaga wai gairena, ba maranai enaga damina ina kakaba wai, kega rubana tana wosei ini enaga mena. 
LUK.14.35	Kona wai kega i gaire, kata tano kana bibi gairena kukamona tana terei bao kairavina. Kona tano kurina wai i goyo, ba ku boga tani utusewa taveyei. Komi ere tainami wai, ko nonora.
LUK.15.1	Mara kesana tax aba yuyauna biyisi ba piraga goyo pipiyisi si botu Iesu siti taina baenegei. 
LUK.15.2	Saba Pharisee biyisi ba giugiu bitasi si dagui si gwinigwini “Niko sebare piraga goyo pipiyisi ebi turaturanisi, ba yabata te kamkam.” 
LUK.15.3	Kata Iesu niko bi maibai kurisi i sisiya.
LUK.15.4	I wona, “Memena bage komi kesana ana sheep asi hundred ba kesana iti siwani wai, awaika ita wosei? Nakoi sheep asi ninty-nine kwapu kamonai iti sumarisi, ba nao kesanaikei i siwana wai, ita nuvenuveni yepo ita panani. 
LUK.15.5	Ba ita panani wai, ere nuwa gairenina ku kabarana ita terei ba ita kabari, 
LUK.15.6	ba ita veramaga ana ku yove.” Damanina turaturana ba maturaturana ita yorisi ba ita wona, “Au sheep i siwana wai a panani, kairavina abi nuwagaire, ko botu tani nuagaire.” 
LUK.15.7	A wonewonimi, kesanina yebo nanakasike, piraga goyo pipiyina kesana ikei ini nuwabirabira wai, sapamai kairavina nuwagaire ina rakata saki. Kega bage pipya gaigairesi asi ninety-nine.
LUK.15.8	Kona memena bage wasike kesana, ana money asi ten ba kesana iti siwani wai, awaika ita wosei? Kibe ita kapuni ba ana yove ita rubunagi, ba kupura ereonowana ita nuvena kabikabitamni yepo ita panani wai damaina. 
LUK.15.9	Ba ina panani maranai, turaturana ba warewaresina ina yorisi, ba ina wona, “Kobotu, au money kesana ai siwani wai a panani kairavina tani nuwagaire.” 
LUK.15.10	A wonewonimi, kesanina yebo nanakasike piraga goyo pipiyina kesana ikei ini nuwabirabira wai, kairavina God ana aneya sini nuwagaire.
LUK.15.11	Iesu sisiya i tere damadamanei i wona, “Mara kesana sebare natunatuna sabasebare asi ruwamo yabata si mamana.” 
LUK.15.12	Ba natuna murimurina i wona, “Tama, yauku kau koda buderi sawarisi, karaku nina ke beriku. Damanina ba ana sawara natunatuna asi ruamo i kodeisi.”
LUK.15.13	Kega rabarabana, ba natuna murimurina ana sawara i gimogimona, ba i kasibau taveyana i nae ku kupura rabaraba. Ba namai, ana money ereonowana i garuroboi. 
LUK.15.14	Ana money i kakabi murinai wai, nao kupura kamonai gomara kaikapona i tupuwa. Ba kona karinai wai kega kesana awaika i mamana. 
LUK.15.15	Damanina ba i nae nao kupura pipiyina marimariyina kesana, kairavina ita bagibagi. Ba nao kupura pipiyina, i porai i nae ana poro ita potaisi. 
LUK.15.16	Ba soya i raobo saki wai, ana waina kata poro kasi kam kwapirisi ita kam, basuna kega kesana kotoi kam i berei.
LUK.15.17	Kona maranai, nota kurina i botu, ba i wona, “Tamaku ana saibisaibirisi ereonowasi ebi maisanisi, ba kasi kam i rakata saki, ba yauku nina soya a raboraobo. 
LUK.15.18	Ana bomsiri ana veramaga tamaku kurina, ba ana wona, tama, kom ba God kurimi piraga goyo awosei. 
LUK.15.19	Yauku kega damaniku ba kuna yoriku natum, gwabimi yai ana bagibagi am sabisabirisi kesana rutainina.” 
LUK.15.20	Damanina ba i bomsiri i veramaga tamana kurina. Kega i verakasibau ku yove, ba rabarabai naki tamana i kinana i kitai wai i nuwapoyei. I vera i kasibau natuna i tararausi ba i yaoni.”
LUK.15.21	Ba natuna i wona, “Tama yauku kona kom ba God kurimi piraga goyo a wosei, yauku kega damaniku ba kuna yoriku natum.” 
LUK.15.22	Saba tamana ana saibisaibirisi kurisi i para i wona, “Yagiyaginai kwama monimonikina natuku koi kotei, ba ring ku yaro rakorakona ko terei. Ba kae sumasuma ku kaena koi kotei. 
LUK.15.23	Ba ko nae cow natuna bi kam potana ko kasibunui, ba ereonowata kam kai kapona tana wosei, ba tani nuagaire. 
LUK.15.24	Kairavina niko natuku sebare i rabobo ba i yawasa, i siwana ba a panani, ba damanina kam kaikapona si dagui si bobunagi.” 
LUK.15.25	Kona maranai, natuna iyarokona wai kwapu kamonai i bobagibagi yepo i veraveramaga ku yove. Ba maranai i botu ku yove gwabina wai, inaba gugurina ba pipiya si rikuriku wai i nonorisi. 
