GEN.1.1	Yama nagkamchakug, Apajuík nayaimpin nugkajai najanauwai. 
EPH.6.14	Apajuí chichame dekaskea duke anentaimtuta nuuwai, maaniaku wegaku suntajan akachumtaijiya nujai betekak. Suntag jiijuí detsepeen ejabau aina nunisjumek atumshakam ejamaktajum, pegkeja duke takaaku pujamunum. 
EPH.6.15	Maaniamu epegnati etsegkata tusa suntag awemam, sapatjin wegaamak shiig jigkajá umina numamtuk atumshakam umintsatajum, Apajuí agkanmaetan sukagtawai tusajum etsegkatasajum. 
EPH.6.16	Ju aina nuní nagkaemasag imá Kristuig kajintsá anentaibauwa nunú ajutjamainai, nuuwai atumin tantagjumik, iwanch akentaijin ekeemak aketjamkui ikagnaktinuk. 
EPH.6.17	Kristu iina uwemtikagtujua nunuwai, atsejutai suntajan buuken ejata numamtuk atumin ejapauk. Apajuin chichamen, Wakaní Pegkeji sujamsauwa nuuwai iina tuke nagkijig. 
EPH.6.18	Duka kajimattsuk tuke Wakaní Pegkeji wakejamua dutiksagmek Apajuí ausatajum. Machikish mijamtsuk aneaku pujakjum, ashí Kristun nemagkau aidaush Apajuí aujtustajum. 
EPH.6.19	Atum nuniakjum minashkam segatjitajum, Apajuí minash yainkati, wishakam ishamkagtutsuk yamajam chichaman Apajuinu yaunchuk dekaachbau aajakua nuna uwemat awai tusan etsegkatjai. 
EPH.6.20	Apajuí minak ju chicham etsegkata tusag awetiuwai. Dutijuau asamtai nuna chichagkagtakun wekagai juwi achigkagmatai pujajai. Nuniaigkishkam minash segatjitajum, sapigmakas Apajuí chichamenash etsegtuktajai.
EPH.6.21	Tíquico iina yachi aneetaijiya nunú minakui juna papiin agajan awetajime. Nigka minak Apajuin chichame etsegbaunmag kuashat yainkae, nuniku asa ni anuí mina pachittsashkam ujapakagtinme. 
EPH.6.22	Junak wika, ni iina pujutjin pachis ujapak atumin anentaimnash ichichtugmagtinme tusan awetajime.
EPH.6.23	Apajuí iina Apajiya nunú, Apu Jisukristujai, ashí atum anuiyatijum Kristu nemajuinajum nunak shiig agkan anentaimsa pujutan sujamsatnume, shiig aneenisag pujuinak, imá Jisukristuig kajinas anentaimtinme tusa. 
EPH.6.24	Aents aidau Apu Jisukristun tuke aneedaunak Apajuishkam tuke yayasagké atinai.
EPH.6.24	Aatus atí.
PHP.1.1	Witjai Pabloitjai, Timoteojai Kristu Jisusa inake aidauti, ashí Apajuí aentsji aidautijum, nuigtú Jisusa nemagnun diin aidau apuji, tuja Jisusa nemajuidau atsumamujin diin aidautijum Filipos batsatjum nuna ashí ijumjan kumpamjime: 
PHP.1.2	Apajuí iina Apajiya nunú, Apu Jisukristujai wait anenjamag shiig agkan anentaimsa pujutan atumnash amastinme.
PHP.1.3	Atumin anentaimtaknuk tuke see tusanké ajai mina Apajuijun. 
PHP.1.4	Apajuin aujkunush ashí atum aidautigmin pachisan shiig aneasan tuke segattsanké ajime. 
PHP.1.5	Wagki, atum yama nagkamchakjum Jisukristu nemagkauwaitjum duwi nagkamsajum, Jisukristu chichame etsegbaunum yaintiujum nunisjumek, yamaikish tuke yaintú batsatjum nuaduí. 
PHP.1.6	Apajuí atumiin takat pegkejan nagkabauwa nunak, dutiksagkeap takamtiká atatua Jisukristu minitai inagnaktatus tajai. 
PHP.1.7	Ashí atum aidautigmin aajan anentaimtajim nunak, senchi aneau asan dutikajime. Apajuí chicham yamagman etsegkati tusa sujusua nuna etsegkui yaintu asajum, atumek mina kumpag aajakuitjume. Yamaishkam atumek mina kumpagketjume, wi juwi achigkagmatai pujag duwishkam. Wi yamajam chicham etsegbauwa nuna dekagtuawagtatus, apú emtin inintainakuish, ju yamajam chicham Kristu pachisa etsegbauwa juka dekaske tusa chichamunmash, ashí atum aidautigmek yainjume. 
PHP.1.8	Wi atumin aneajime tajim nunak, Apajuí shiig dekagtawai, Kristu Jisusa anenkajiya nunú sujusbauwai aneajim nuna. 
PHP.1.9	Nuniakun Apajuí aujkunush: Atum aneeniajum nunú aan nagkaemas ajutjabiagti, tuja pegkeg pegkegchaujai akanjá dekatnash Apajuí amastinme, nuigtushkam Apajuinua nu dekatnash amastinme tusan segatjime. 
PHP.1.10	Dutijamawagmatai pegkeja nunú etegket unuimagjum, atumi pujutjuminish imagnisjum shiig pujuinakjum, Kristu taakuish pegkegchaush atsugbau bakumamainchau atajum tusan. 
PHP.1.11	Nuniakjum Jisukristu yaimpasagmatai pegkeg takaamu iwainagtai, nuna wainainak tikich aidaush Apajuin eme anentus ememattinme tusan.
PHP.1.12	Yatsug aidauh, ubag aidauh, mina wají nagkaetukiagma nunú, yamajam chicham etsegbaun aan senchi yainkama nunú dekaatajum tusan wakegajai. 
PHP.1.13	Ashí suntag, apú jeen kuitamin aidau, nuigtú tikich suntag mina kuitamjuina dushakam, wi Kristu umiju asan achinkan egketag nunak shiig dekagtuinawai. 
PHP.1.14	Wi junika achinká egketbaun waitkag, kuashat yatsug aidau, ishamkagtutsuk imá Jisukristuig kajintsá anentaimsa chicham etsegta nuna wakekaje.
PHP.1.15	Duka dekaske, wajumak aents niina nagkaesan takaakun aents aidaush shiig takainawai tama atajai tamaunum Kristu pachis etsejuinaush ainawai. Untsu tikich aidauk Kristun shiig anentus etsegtuinawai. 
PHP.1.16	Nuninai wajumak aidau Kristu aneamunum etsegtuinawai, Apajuí yamajam chicham dekaskea nuna aents aidaun iwaintukti tujutmatai, juwi achinkan pujag nuna dekagtuidau asag. 
PHP.1.17	Nunú mina nagkaetus takasta tuina duka, pegkeg anentaiyai tuinatsui, imá ditanunak anentaimtus dutikainawai. Nuna dutikainak, wi achinkan yamai egketag nuna aan nagkaemas utugchatan aputugsatasag wakegainawai. 
PHP.1.18	Tujash nunak puyatjatsjai, dekaskenum pegkeg anentaiyai etsejuinakush, imá Kristunak pachis etsejuina duwi shiig aneajai.
PHP.1.18	Nuní nagkaemas shiig aneamuk ajuttatui, 
PHP.1.19	atum mina pachittsajum Apajuí aujtugjum nuna dekakun. Wagki, wika shiig dekajai atum Apajuí aujtugjum duwi, Wakaní Pegkejiya nu yaintsamtai achikam egketag junak waamak jiinkittag nunak. 
PHP.1.20	Duwi juwi pujusnush shiig emetmamjan, mina inastumaina nunak takatsuk pujusta tusan wakegajai, wi aaja pujamun waituinak, tikich aents aidaush minaiyan unuimajag Kristu imanjiya nunash shiig dekaatnume, mina iwaaku jigkiagmataish, nuniachkush mantuawagmataishkam tusan. 
PHP.1.21	Wagki, minaig pujuta duka Kristu umigku pujuta nuuwai, tuja jaamushkam Kristujai pujuta nuuwai. 
PHP.1.22	Wika iwaaku pujutnash wakemainaitjai, tuja jatanashkam wakejumainaitjai, nuniau asan shiig etegmain dekapeatsjai. 
PHP.1.23	Minaig shiig utugchatai jimaja juwiya etegkata tabauk: Wakegajai jakan Kristujai pujustasan, nunú imá pegkeg asamtai; 
PHP.1.24	tujash atum mina atsumjuinajum nuna dekau asan, 
PHP.1.25	dekas iwaakuap atumjai ijunjan pujuttaja, nuniaknuap atum Kristui kajintsá anentaimjum nuaduí shiig aneastinme tusan yaigtatjime tajai. 
PHP.1.26	Tuja wi ataktú atumiin wakettsanuk tattag duwi, aan nagkaemas Kristu Jisusai dakujamu ajutjabiagtinme tusan tajime.
PHP.1.27	Ayatak segajime, atumi pujutjuminish yamajam chicham Kristunu tawa nujai betek pujustasajum kakanmamsatajum tusan. Nuniakjumin wi atumiin taaknush, tuja atushat pujaknush, ditak makichik anentaiyaik shiig ijuntsag Kristu uwemtikagtamun pachisag etsejuinawai tabaun antuktasan wakegajai. 
PHP.1.28	Nuniau asamtai yamajam chichaman dakituina duka ishamkaigpajum, nunú atum nuniamua nunú, Apajuí ditanak suwimkan suwak, atumnak uwemtijamjatna nuna iwaintuinawai. 
PHP.1.29	Apajuik ayatak Kristuig kajinas anentaimsatnume tusag wakegatsui, Kristu nemagbaunmashkam waittsatnume tusa wakegawai. 
PHP.1.30	Nuaduí atumesh wijai betek waituinagme. Atumek minak waitkauwaitjume wi wajupa waittsaija duka, tuja yamaishkam antugtajume wi wajupa waitiatsja nunú.
PHP.2.1	Atumin Kristu niina senchijin aents wakemitkaktinun sujamsajua nunak, wika shiig dekajai. Nunú dekas asamtai, wi titatjim nunú dutikakjum minash shiig aneemtijustajum. Nuniakjum atumek pempeentunisjumek aneeniakjum anentaish ichichtunigtajum. Atumek Wakaní Pegkeji ajutjamu asagmatai, tikich aidaush wait anentajum nunashkam dekajai. 
PHP.2.2	Nunú nuniakjum, ashí shiig anendaisajum pempeentunikjum aneeniakjum, makichik anentaimtamua duke ijuntusjum anentaimtakjum, minash shiig aneemtijustajum. 
PHP.2.3	Atum ememamugmin, nuniachkugmesh shiwagmagata tabauwai takatsuk, ayatak imanchauch anentaimtumakjum makí makichkitijum, tikich aidau imá pegkeg diitajum. 
PHP.2.4	Makichkish imá niinu pegkeg amaina nunak egatsuk, ashí tikich aidaunash shiig awagmamaina nuna egaktinme.
PHP.2.5	Atumesh Kristu Jisus anentaimajakua nuninuk anentaimkau atajum.
PHP.2.6	Nigka Apajuí aajakuitak nugká taag imanuk atasag wakekachui.
PHP.2.7	Ni aajakbauwa nunak idayak jutiijai betek wajas, ashí aents aidau inataijiya nunin wajasuí.
PHP.2.8	Aentstiyaitag nuninuk wajasú asa, Apajuí umigbaunum mantuatnume tusa idaimamsauwai,
PHP.2.8	nunik numi yapajiamunum achijam jakauwai.
PHP.2.9	Nunikmatai Apajuí ataktú inanki,
PHP.2.9	yakí nayaimpinum iwak, ashí aents aidaun Apuji emauwai.
PHP.2.10	Dutikamtai nayaimpinum batsamin aidaush, nugkanmaya aidaush,
PHP.2.10	ashí Apajuí nemagchau jakau aidaushkam imá Jisukristunak tikishmatug ememattinme tusa.
PHP.2.11	Nuninak Jisusai Apuk tiagtinme,
PHP.2.11	dutikainak iina Apají Apajuiya nunak ememattinme tusa.
PHP.2.12	Nuaduí mina aneetaig yatsug aidauh, ubag aidauh, wi atumjai pujatsaigkish tuke umigtin agmaujum nunisjumek, yamai wi atushat pujag juwi aan nagkaemasjum umigtuktajum. Makí makichik aidautijum Apajuí ajantusa diiyamunum niinig sumimkajum, ashí uwemkau aidau takamaina duke takastasajum kakanmamsatajum. 
PHP.2.13	Apajuiya nuuwai atumin pegkeg anentaimat aidaun sujamak, ni wakejamu wakejusa umitnumash yaimpauk.
PHP.2.14	Ashí atum dutikajum duka chicham patatdaitsuk, jiyanitash jiyanitsuk shiig takastajum, 
PHP.2.15	atumin makichkikesh pegkegchau takaawai tujaminum. Atumek Apajuí uchijí asajum aents pegkegchau katsek aina nuwish, pegkeg iwainmamkatajum. Atum nuniakjum aents pegkegchau aina nuwish, yaya etsantak suwen tsaaptin emama numamtin atajum. 
PHP.2.16	Chicham dekas pujutan sukagtina nuanuig emetmamatajum. Nuniau asagmin Kristu minakuish, atumiin ememasan anentaimtatjai, tikima wainkanuk imanikan wekaesan, Apajuí chichamenak ditanash ujakchawapitja tau asan. 
PHP.2.17	Atum Kristui kajintsá anentaimu asajum umigjum duka, Apajuí anentag sumaina numamtinai, mina mantuawagmataish, wi jaamua dushakam, Apajuí anentag suwamua nuninuk atatui. Nunú nunikmatai shiig aneastatjai, nunikmatai atumesh wijai shiig aneastajum. 
PHP.2.18	Nuaduí atumshakam wijai shiig aneakjum dakujustajum.
PHP.2.19	Apu Jisus wakegakuig, Timoteon waamak atumiin awemata tajai, atum batsatbaugmin dekaan shiig aneastasan. 
PHP.2.20	Timoteowa juuwai dekas wijai betek atumin uyumatjamuk. 
PHP.2.21	Wika junak ashí tikich aidauk Jisukristu wakegamunak egatsuk, dita wakegamunak egaidau asagmatai, tajai. 
PHP.2.22	Tujash Timoteo wajuk pujusuita duka atumek shiig wainjume, nigka yamajam chicham etsegbaunmash, uchi apají inam yaiyama imatijusag yaintui. 
PHP.2.23	Mina utugtukagtig nuna dekagmaman niinak awetittajime. 
PHP.2.24	Wika imá iina Apujinig kajintsan anentaimjai, nigkiap waamak atumiin awetittawa tusan.
PHP.2.25	Tujash yatsug Epafrodito, atum mina takatan yainkati tusajum awetujiu ainajum nunak, ataktú awagtusnuk awetajime. Nigka yamajam chicham antutan dakituina nui etsegbaunmash shiig senchi yainkae.
PHP.2.26	Nigka ashí atumin waipakagtatus senchi wakejutpajume. Nuniayatak atum, ni jaawai tabau antugkauwaitjum nuna senchi uyumawai. 
PHP.2.27	Dekaskenmag jamayi, jatanak namput wajaschami, tujash Apajuí niina wait anenja nunak, imá niinakek dutikache, minashkam wait anenjuje, wake besemag pujag nuna, nuní nagkaemas wake besemag pujusai tujutu asa. 
PHP.2.28	Nuaduí wamkesan awetajime, atumshakam ni wainkajum shiig aneastajum, nuniakjumin wishakam wake besemjak pujushtajai. 
PHP.2.29	Shiig anentsajum jukitajum, Apajuí dutikatnume tusa wakega dutiksagmek, tuja tikich aents junin wainkugmesh tuke dutiksagmek atajum. 
PHP.2.30	Nigka Kristu takajak pujus jamain wajakmayi, ni pujutinak uyumatsuk ishamainnum pujus, atum mina yainmainchauwa nuna ni yainkabi.
PHP.3.1	Yatsug aidauh, ubag aidauh, atumek Apu Jisusai ijutkau asajum dakujusjum pujustajum. Wi agatjabiajim nunak awaksanuk tajim duka minaig tutitjakesh atsugtawai, juka dekas atuminish atsumnawai. 
PHP.3.2	Aents aidau yawá pegkegchau tsuumaina numamtin yujas: Uwemjata takugmek pakamaktajum, tu yujaina nujaig kuitamamkatajum. 
PHP.3.3	Dekaskenum jutii ainaji Apajuí aentsji aidautik, Wakaní Pegkeji yaimpasmatai, Apajuí emematuinaku Kristu Jisusdau asaja shiig aneenaji, nunin asaja jutiik yaunchuk dutikajakbauwa duka puyatjuinatsji. 
PHP.3.4	Nunú imá jutiik kakanmamsa uwemainaitkuig, wi dekas imá mina takatjuig uweemain aajakuitjai. Witjai dekas tikich aidaun nagkaesan ashí chichamnash umikunuk. 
PHP.3.5	Wagki, witjai dekas yama akiinan ocho tsawan wegai pakaji ajapjuamunuk, nuigtushkam Israel wegantuitjai, Benjamigka uchijí aajakua nu wegantunum akiinau asan hebreo aentsuitjai. Tuja judío chicham umiktin aajakua nunú pachisa tabaunmag fariseowaitjai. Nunin asan ashí tikichin nagkaesau chicham umiktin ajakua nunak uwaetsuk betek umikuitjai. 
PHP.3.6	Nunin asan chicham umiktinnum pegkeg takamainun tawa nuna umiau asan, Jisusa nemajin aidaunash waitkayajai. ¡Minak makichik aentskesh chicham umiktinuk betek umikchauwaitme tujutmain ainatsui! 
PHP.3.7	Tujash yaunchkek ashí nunú aidaunak dekas iman dii wajakuitjai. Tujash nunak yamaik, Kristu nemagbaunum wainka diiyajai. 
PHP.3.8	Ashí nunú aidaunak idaisauwaitjai, dutikakun pasuamu ukajá ajaptayama nunin anentajai, Kristu Jisus mina Apujua nunú shiig dekaata tabaunum, 
PHP.3.9	nunikan niijai ijutkau pujau asamtai, Apajuí pegkeg diigsauwai. Nunak chicham umiktina nuna umiakun pegkeg takasbaujui dutijuachui, ayatak Kristui kajintsá anentaibaunum Apajuí pegkeg diigsauwai. 
PHP.3.10	Wika Kristun shiig dekaatasan wakegajai, ni maamash Apajuí senchijinig nantakiuwa, wisha nunú senchinak niina nemagkun jukin, ni waittsauwa nunisnuk waittsan, jaaknushkam Kristu Apajuí wakegamun umiak jakauwa nunisnuk, wishakam Apajuí wakegamun umiakun jakatasan wakegajai, 
PHP.3.11	jakau aidau atak nantainakui, wisha nantakmig tau asan.
PHP.3.12	Wi nuna tajim nunak, wi ashí dutikajai takun tatsujai, nuigtushkam Apajuí mina wajuku atí tujutua duka, minai ashí uminkae tusan tatsujai. Wika Kristu Jisus dekatkauk mina egatkauwa nunú wakejamun umiakun, ayatak emtuktasan wegajai tumamjai. 
PHP.3.13	Yatsug aidauh, ubag aidauh, eke wi jegantina nuwi jegatsug nunak, wika shiig dekajai. Nuniau asan dekas yaunchuk takasbaujua nunak pachitsuk idaikun, yamai wi jegantasan wegag nuna imá senchi anentaimtajai, 
PHP.3.14	Kristu Jisus umigbaunum wají shiig pegkejan anentag jukitnume Apajuí tujabiuwa nuwi jeganta tau asan. Nunú wají shiig pegkeg anenjauch jukitnaitag duka, pujut tuke atina nuuwai.
PHP.3.15	Ashí jutii imá Jisusaig kajintsá anentaimtanum emetmamjau aidautik, nunisaik anentaimain ainaji. Tuja atum ainajum anuiya yajupias anentaimu ataishkam, Apajuiya duke shiig paan iwaintugmaktinme. 
PHP.3.16	Tujash dekas nunimainaitag duka, jutii dekauwaitag dutiksaik umiaku pujumainaitag nuuwai.
PHP.3.17	Yatsug aidauh, ubag aidauh, mina pujutug diisjum atumesh nunisjumek pujustajum, nuigtushkam tikich aents aidau, jutii pujuinag nunisag pujuina nuna pujutí diigsajum nunisjumek pujustajum. 
PHP.3.18	Kuashat aents pegkegchaun takaina nunú, Kristu iina tudaujin juki numinum jakauwai tusa jutii etsejuinag nuna shiwagmainawai. Nuna pachisnuk kuashtá tajime, yamaishkam awentsanuk negá negajai tajime. 
PHP.3.19	Tujash nunú aents aidauk Apajuijai tuke kanaak kanakagtin ainawai. Wagki, ditak ayatak yuwamunmag, umamunmag iwaaku pujuinawai, nuninak dita takaamujiya nu datsantan iwaintumaina nunak takainak shiig aneenawai, nuigtush ju nugka juwiya pegkegchau aina nunak imá anentaimtuinawai. 
PHP.3.20	Tujash jutii aidautik nunin ainatsji, jutiik dekas nayaimpinmaya wají aina nunú wakegainaji. Dekas iina nugkega duka nayaimpinum awai, nunin asamtai, nuwiya uwemtikagtin taati tusa dakainaji, ii Apuji Jisukristua nunú. 
PHP.3.21	Ni jutii iyashí wainkauchia nuna yapagtugma, niina iyashiya imanuk etamkatnai. Nunak nigka tikima senchigtina iman asa, nayaimpinum nugkaash ayaa nunak imá nigki diyawai.
PHP.4.1	Nuaduí mina aneetaig yatsug aidauh, ubag aidauwah, wika atumnak senchi aneajime. Wi atumiin shiig aneamu ajuta duka, wají shiig pegkejan jumainaitag imanai. Nunin asamtai, atum Apu Jisusjai emetmamjajum pujajum nunisjumek pujustajum.
PHP.4.2	Evodia, Sintiquejai Apu Jisusa nemajuidau asag jiyanitsuk batsamsatnume. 
PHP.4.3	Dutiksanuk ame mina kumpag takatash betek umin asamin segajame, aanú ubag aina nunú yaigtá jiyanitsuk batsamsatnume, ditak wijai betek yamajam chicham etsegbaunum senchi takasagmayi. Clemente, nuigtú tikich mina yaintin aidaujai aents pujutan jukitin agattaiya nui ditá daajig papiinum agatkamu ainawai.
PHP.4.4	Imá Apu Jisusaig tuke dakujustajum. Awaksanuk tajime: ¡Dakujustajum! 
PHP.4.5	Atum tikichjaish shiig pujamugmin ashí aents aidaush waipaktinme. Apu Jisus taatnuk namput wajaschae.
PHP.4.6	Makichkish uyumá pujuigpajum, nu uyumá pujutsuk Apajuí aukujum segatajum, nuniakjum see titajum. 
PHP.4.7	Atum aaja nunitaik, Apajuí ashí agkan etamtatjume atum uyumajum nunak, nunak aents Apajuí nemagchau aidauk dekamain ainatsui. Nunú agkanmaeta nunak, Apajuí atumin anentaiminish, anentaimtagminish ajutjamtinme tusa amasagtatui, Kristu Jisusjai ijutkau pujau asagmin.
PHP.4.8	Yatsug aidauwah, ubag aidauh, junak inagnamun tajime. Atumek ashí pegkeg aina nuwig anentaimin atajum, tikich wají pegkejan takainakui pegkegnap takainawa tusa anentaimtin, Apajuí wají pegkeg diiyamu aina nunash pegkegnum anentaimtin, aents pegkeg takainamun shiig anentus diin atajum.
PHP.4.9	Wi atumin jintintuawaitjim duka ashí dutiksagmek umiktajum, wi chichaamu antukuitjum nunú, nuigtú wi wajuk pujamu waitkauwaitjume dushakam imatiksagmek umiktajum. Atum aajajum nunitai, Apajuí shiig agkan anentaimsa pujutan sukagtina dushakam atumjai atatui.
PHP.4.10	Shiig senchi shiig aneajai, dukap tsawan asajum, Kristu nemajin aidautijum, ataktú mina yainkujum kuichik awetujiujum nuaduí. Wika kajimatjukiuwap ainawa tatsujime, ayatak yupichu dutikmainjimpap atsugsaje tajime. 
PHP.4.11	Wika junak atsumjan pujau asankesh tatsujime. Wika ajuta nujaig shiig aneasa pujutan unuimajuitjai. 
PHP.4.12	Wika ujunauch pujutnash dekajai, antsanuk kuashat ajutkui pujutnashkam dekajai. Nunin asan wajukunmag pujuinja nunak ashí nunimainaitjai, shiig yuwan pujaknush, yumain atsugtakui yapajaknush, shiig kuashat ajutkuish, tuja shiig atsugtakuish. 
PHP.4.13	Ashí nunak nunimainaitjai, Kristu ni senchijin sujau asamtai. 
PHP.4.14	Tujash atumek shiig pegkegnum minak yainkaugme, mina utugchatjua nuanuí.
PHP.4.15	Wi Macedonia pujaun yamajam chicham uwemtikagtina nuna etsegkatasan jiinkibiag nuwig, atum Jisusa nemajin Filiposnumia aidautijum imá atumek yainkau ainagme. 
PHP.4.16	Nuniau asajum wi Tesalónica pujaish awetugbaijume, tuja awentsagmeshkam awetugbaijume mina atsumamug dekagtau asajum. 
PHP.4.17	Juna tajim nunak wika sujú pujutajum tusanuk tatsujime, wi wakegag nunak atum takasbauwa nuaduí aan nagkaemas Apajuí amastinme tusan tajime. 
PHP.4.18	Atum Epafroditowai awetugbaijum nunak ashí imatiksanuk jukibiajai, yamaik wi atsumamun nagkagas ajutui. Atum mina yainkabiujum duka, Apajuí anentag anagkuamu kugkuin incienso apeamu Apajuin shiig awagmajakua imanuyi. 
PHP.4.19	Nuaduí mina Apajuijua nu, ashí atumin atsugtamjum nunak, niina wiyakchaji dekas imana nuna imatiksag Kristu Jisusai amaamu jukitnaitjume. 
PHP.4.20	Apajuí iina Apajiya nu imá nigki tuke ememattai atí. Aatus atí.
PHP.4.21	Ashí yatsug aidau, ubag Jisukristu nemajin aidau anuí batsata nunú kumpamjutuata. Tuja yatsug wijai batsataina jushakam aikasag atumnash kumpamjamainawai. 
PHP.4.22	Dutiksag yatsug Jisukristun nemajin aidau juwi batsata dushakam kumpamjamainawai, imá senchi Roma apujiya nuna jeen takau Kristu nemajin aina nunú.
PHP.4.23	Iina Apuji Jisukristu atumnash wait anenjamag niina anenkajiya nunash amastinme.
PHP.4.23	Aatus atí.
COL.1.1	Witjai Pabloitjai, Jisukristu chichame etsegtukti tusa Apajuí wakegau asa awetiuwai. Yatsug Timoteojai pujusan, 
COL.1.2	atum Kristu nemagkautijum, nigki umigkujum imagnisjum yaakat Colosas batsatjum nuna kumpamjime. Atumnash iina Apají Apajuiya nu, ii Apuji Jisukristua nujai wait anenjamjag shiig agkan anentaimsa pujutan amastinme.
COL.1.3	Atum pachisa Apajuí aujtakuik tuke see tusaikí aji, iina Apuji Jisukristu Apajiya nunú, 
COL.1.4	atum Kristu Jisusai kajintsá anentaimaidau asajum, ashí tikich yatsut aidaush aneajum nuna antugkau asan. 
COL.1.5	Duka atumek yamajam chicham dekaskea nu etsegbau antukuitjum duwi nagkamsajum, atum jukitnun Apajuí umigtamkamu nayaimpinum ajutjamaina nu dakaidau asajum nuniagme. 
COL.1.6	Atuminish nunú chichamak tajutjamawajui, duka ashí tikich nugka aina nuwish etsegnajui. Nunitai nuna antuidaush dekaskeapi tuinawai, atum Apajuí wait anenjabau chicham antukjum, niina dekaskejiya dushakam wainkauwaitjum nunisag. 
COL.1.7	Epafras iina aneetaiji jutiijai takauwa nu, Kristu aneau asa imatikas umigna dushakam junak jintinjamawajui. 
COL.1.8	Nigki jutiinashkam, atumin Wakaní Pegkejiya nu egkemjutpawagmatai aneeniajum nunash ujapakmayi.
COL.1.9	Nunú yama nagkamchaku antukmayag duwi nagkamsaik, atumnak idaitsuk Apajuí tuke aujtajime. Nuniakun aujtajime: Apajuí wakejamu takatan dekamtijamatnume, nuigtush Wakaní Pegkeji jintinjabauwa nunash shiig dekainak, 
COL.1.10	Jisukristu nemagkau aidaush wajuk pujumaina ainawa nunisag pujuinak, ashí Kristu wakegamu aina nuna takainak shiig aneemtiksatnume, nuninak Apajuinashkam shiig dekaatnume tusan. 
COL.1.11	Nuniagmin niina senchijí imana duwi senchimtijamawag ichichtamjatnume, dutikamu asajum kuashat utugchat ajutjamkuish katsunjajum, emamkesjum shiig aneasjum pujustajum tusanush segatjime. 
COL.1.12	Wika Apajuinak segajai, atumesh shiig aneasjum iina Apají see titajum tusan, ni nayaimpinum inama nui, niina umijuidau aidaun umigkamua nuanuí, jutiinashkam pujustinme tusa umigtamkau asamtai.
COL.1.13	Iik iwanchi inatai batsatjin, Apajuí agkanmitkagma, niina Uchijí aneetaijiya nuna inamtaijin pujustinme tusa jujamkiajui. 
COL.1.14	Kristu jutiiní mantamna ni numpen ukajua duwi agkanmitkagma, iina tudaujinash tsagkugtamjauwai.
COL.1.15	Kristuke Apajuí wainmainchauwa nuna iwaidauk, nigka uchi iwaiya numamtin asa, ashí najankamu aina duka atsaig Apají inamtaijin tuke pujujakuí. 
COL.1.16	Nunin asa nigki najankauwai nayaimpinum, nugkanum ayaa nu wainainag nunash, tuja wainmainchau aina nunashkam. Ashí wakan senchigtin inamaina dusha Jisukristu najankamu asa niinuk ainawai. 
COL.1.17	Kristuk nigka yaunchuk nagkamnas ju wají aidaush atsuinamunum pujujakuí, nunin asa ashí wají aina junak nigki shiig nunisag atinme tusa diiyakui. 
COL.1.18	Nuigtushkam nigki, niina nemajuina nuna Apujishkam, nigki jakau nantashtainmaya nagkamas nantakiuwa dushakam, nunin asa nigki wagaaku juwakui. 
COL.1.19	Apajuik niina Uchijí Aentsmaga Akiinauwa nunak, ni senchigtina ibauk atí tusa wakekauwai. 
COL.1.20	Apajuí Kristunak awetugmauwai jutiin uwemtijamjati tusa. Dutikamu asag ashí nugkanum, nayaimpinmash batsata dushakam ataktú wijai shiig anendaisag pujustinme tusa dutikauwai. Junak niina Uchijí awemam numinum achinag jaak numpen ukajua duwi dutikauwai, dutikamu asag yamaik Apajuiyaig ashí agkan amain ainawai.
COL.1.21	Duwikik atumshakam Apajuí adijkachu aajakuitjume, ni anentaimtutsuk pegkegchau takatak batsamtuidau asajum, Apajuí shiwaji aajakuitjume. 
COL.1.22	Tujash yamaik Apajuijaig shiig chichamak iwajamui. Nunak Apajuik niina Uchijí Aentsmaga Akiina iiní mantamdauwa nuaduí, niina aentsji aidauk niina emtinish bakumamainchau atinme tusa dutikauwai. 
COL.1.23	Tujash nunak imá Jisusaig kajinas anentaimainak, nuigtú yamajam chicham Jisusai uwemna nunú pachisa etsegbaun antukajua nunak dakak pujuina nu, iman amain ainawai. Nunú chicham ashí tikich nugkanmash etsegnakua nunak wishakam etsegjai.
COL.1.24	Kristuk waittsauwai ashí niiní minidaun uwemtijata tau asa, niiní jegaidauk niina iyashijai betekak weedau asamtai. Wishakam duwi shiig aneasan pujajai atumiin waitiaknush, Kristu waittsamua nuna umiakun. 
COL.1.25	Apajuik minak niina aentsji aidaun yaigtí tusa awetiuwai, atumiin mina chichamjun ashí wekagas etsegtugkati tujutu asa. 
COL.1.26	Apajuik yaunchuk anentaimas dutikatjai tibauji dekaachbau aajakua nunak, yamai niina aentsji aina nuna dekamtikawai shiig dekaatnume tau asa. 
COL.1.27	Nunú pegkeg dekas iman Apajuí anentaimtusbau aajakua nuna, ashí aents aidau dekaati tusa wakekauwa duka: Kristu atumin pujau asamtai, niijai pujustin asajum dekas iman dakajum nuuwai.
COL.1.28	Jutiik Kristu pachisa etsegtakuish, ashí aents aidauk shiig pujustajum tusa chichagji, jintinkagtakuish ashí pegkeg aina duke jintinkagtuinaji, Kristu emtinish shiig pegkeg iwainakta tuidau asaja. 
COL.1.29	Nuaduí wika niina senchijí sujusbauwa duwi shiig senchi takaajai.
COL.2.1	Wika atumesh, Laodicea batsamin aidaunash, nuigtú ashí tikich mina waitchau aina nunashkam yaigta tabaunum, ashí wi uyumasan dutikag nunú dekaatajum tusan wakegajai. 
