MAT.1.1	Ade Yesu Kristo kĩ ɛnyɛ Dawid ɔwa, kĩ Dawid lɛmɛ nyɛ Abraham ɔwa a bawanyɔ kasinu buĩ nɛ awĩ a.
COL.3.12	Kĩ minyɛ Baguma bati kpalɛwa kĩ ɛpau, yawɛ kalɛ lɛmɛ sũ ni, mibɔa ɔbla vɔɛ̃ a kĩ eketimɔ foe a. Ade ye nyɛ oti kɔnyakamɔ, sɛmɛ kalɛ kakɛna, kadɔ mɔ ɔwɔlɛ bɔɛɛ kana. 
COL.3.13	Mina ɔwɔlɛ bɔɛɛ mikpa akũ. Ntɛ odi fum odi ni, miakɔa mite ye ndɛ ayekĩ boe Ɔlate lɛmɛ kɔa mi tɔkpa ete mi a. 
COL.3.14	Fukĩ fɔbɛ̃ nyɛ kĩ ɔdɔ ɛna nɛ mi kamɛ, kitonɛkĩ ɔdɔ aboomu fɔtsa flee kakpɔta mɔ fɔakpɔla kakpɔla wĩ.
COL.3.15	Mifɔ̃ Kristo lukudɔ a lɛnya akũ nɛ mi kamɛ, kitonɛkĩ ade lukudɔ kĩĩ sũ Baguma vɛ mi ɛkpɔta ndɛ oti mɔa aye a. Minya kɔlɛ banyɛnɛ. 
COL.3.16	Mifɔ̃ Kristo Kalɛ Wĩ a, mɔ ke kɔyakatɛ a flee kidzi nɛ mi kamɛ. Mitsa akũ fɔtsa, mikpa kɔdɛ nɛ nyansã flee kamɛ. Misã Psalomo tɔnɔ, asɔli tɔnɔ, mɔ Hũhũ kamɛ tɔnɔ mikɔa minyɛ Baguma kɔlɛ nɛ mi tɔwɔlɛ flee kamɛ. 
COL.3.17	Foesũ lɛtsa nyɛ lɛtsa a kĩ míakɛna ĩye míalɛ ni, mikɛna foe nɛ boe Ɔlate Yesu dĩ akũ, mitsã ye dĩ akũ minyɛ Baguma boe Ɔlɛga kɔlɛ.
COL.3.18	Mi fɔnyɔ badzinɛ, midɔla mi akũ mikpa mi banyɔ, ndɛ ayekĩ kɛfɛta Kristofɔ.
COL.3.19	Mi batsɔ̃ bakɔãnɛ miwɛ mi batsɔ̃ kalɛ, mitakɛna be aũkani.
COL.3.20	Mi babisɛ̃, mitse mi bamanɛ ɔlɛdo nɛ lɛtsa nyɛ lɛtsa kamɛ, kitonɛkĩ ade foe awo Baguma anɛ a.
COL.3.21	Mi balɛga, mitado mi babi kalɔkpa, ayekĩ akpɔ lɛláaveli be.
COL.3.22	Mi basumunɛ, mibu mi balate nɛ tite akũ nɛ lɛtsa nyɛ lɛtsa kamɛ, mitakɛna anɛ kamɛ kɛkɛ fɔtsa kĩ bati bimu mi. Mbom misum be nɛ ɔnɔkɔali kamɛ ndɛ bati kĩ bavila Baguma. 
COL.3.23	Adzuma adi nyɛ adi kĩ miakɛna ni, mikɛna ye mɔ mi tɔwɔlɛ flee, ndɛ boe Ɔlate miakɛna mikpa, kĩ nnɛ́ batidziwa miakɛna mikpa. 
COL.3.24	Mite anɛ kĩ boe Ɔlate aakpa mi ndɛ kɔtɔkase aye, lɛtsa a kĩ ɛmanɛ eyi ye bati, kitonɛkĩ Kristo, boe Ɔlate mɔawɛ a bɔasum. 
COL.3.25	Baguma aase tɔkpa bakɛnanɛ a tɔkpa a kĩ bɛkɛna a kɔtɔ, kĩ oti anɛ kadã lɛláana nɛ foe kamɛ.
COL.4.1	Mi balate mikɛna lɛtsa a kĩ lɛfɛta, mɔ likĩ lɛnɛnɛ lɛmɛ mikpa mi basumunɛ, kitonɛkĩ minyina kĩ mideĩ Ɔlate nɛ ode.
COL.4.2	Mina nɛ mpaɛbɔ kamɛ mɔ ɔsĩ mɔ ɔsĩ. Ntɛ miabɔa mpaɛ ni, mi adzuni ɛdza nɛ lɛtsa mɔa akũ, mikaanyɛ Baguma kɔlɛ luwi daa. 
COL.4.3	Mibɔa mpaɛ nɛ boe malo lɔlɔ, ayekĩ Baguma aabinya osi ɛkpa boe bude lɛtsã nɛ Kristo kalɛ kɔlawa a akũ, kĩ ke sũ finyaa malo nwaa kɔla a. 
COL.4.4	Mibɔa mpaɛ mikpa yĩ mpuli nkpalɛ fɔlɛtsa kɔlawa kĩĩ kamɛ ntsa yededeede ndɛ ayekĩ kɛfɛta kĩ nkɛna a.
COL.4.5	Minyi ayekĩ míatsã nɛ nyansã kamɛ mɔ bikĩ bɛnyɛ́ batɛ badonɛ a, lɔkɔa mikɛna osi nyɛ osi kĩ ebinya ɛkpa mi a akũ adzuma kakɛna wĩ. 
COL.4.6	Milɛ kɔdzɛla nɛ obu kamɛ, ayekĩ fɔ́alɛ bati katse, lɔkɔa minyi ayekĩ kɛfɛta kĩ miakpa odi nyɛ odi mbuayɛ.
COL.4.7	Tihiko, boe ɔwaɛ̃ kĩ bɔátunɔ kalɛ, aayabi mi yĩ akũ fɔlɛtsa flee. Ɛnyɛ boe ɔkɔba ɔsumunɛ kĩ yadi ɔnɔkɔali nɛ boe Ɔlate adzuma a kamɛ. 
COL.4.8	Ade foesũ nlamɛna ye kado nɛ mi sɛkɛ̃ kĩ ɛyaabi mi boe akũ fɔlɛtsa, lɔkɔa edo mi kɔbɛ̃. 
COL.4.9	Onesimo, boe ɔwaɛ̃ kĩ yadi ɔnɔkɔali, kĩ ɛnyɛ mi kamɛ ɔmɔa a, aatomɔ ye bɛya nɛ mi sɛkɛ̃. Baabi mi lɛtsa nyɛ lɛtsa kĩ lɛlamɛna kaya nɛ awĩ a flee.
COL.4.10	Aristarko, kĩ bɔmɔ ye waa kɔla a, awɔ̃na mi. Ade ayea Marko, Barnaba ɔwaɛ̃nyole lɛmɛ awɔ̃na mi a. Ĩnya lɔtɔ nkpa mi kanyi kĩ ntɛ Marko ya ni, mitɛ ye mɔ kawɔlɛ. 
COL.4.11	Yosua kĩ bibuki bavɛ Yusto lɛmɛ awɔ̃na mi. Bati ɛlalɛ kĩĩ odi nyɛ Yudafɔ kĩ bɛdani Kristofɔ bakɛna mɔ yĩ adzuma a bɔkpa Baguma lɛgãkanyakɔ̃ a. Ade ye alɛ kado yĩ a.
COL.4.12	Epafra, Kristo ɔsumunɛ, kĩ ɛnyɛ mi kamɛ ɔmɔa a lɛmɛ awɔ̃na mi. Yabɔa mpaɛ mɔ ɔsĩ mɔ ɔsĩ luwi daa nɛ mi lɔlɔ kĩ midza pintii, mibo anɛ mikpɔla nɛ katɛkado kamɛ, lɔkɔa mikɛna Baguma kawɛ nɛ lɛtsa nyɛ lɛtsa kamɛ. 
COL.4.13	Yĩ mɔawɛ a maapuli ndi ye akũ adansiɛ kĩ yakɛna adzuma mɔ ɔsĩ mɔ ɔsĩ kakpa mi, mɔ bati a kĩ bideĩ nɛ Laodikea mɔ Hierapoli. 
COL.4.14	Boe ɔwaɛ̃ Luka, tutsonu ɔkɛnanɛ a kĩ bɔátunɔ kalɛ a, mɔ Dema awɔ̃na mi. 
COL.4.15	Miwɔ̃na boe bawaɛ̃ a kĩ bideĩ nɛ Laodikea mikpa boe. Ade ayea miwɔ̃na boe ɔwaɛ̃ Nimfa mɔ asɔli bati a kĩ batsɛna nɛ ye tɔtɔ kamɛ a lɛmɛ mikpa boe a.
COL.4.16	Ntɛ mikã ovoli kĩĩ miyua ni, midã kĩ bɛnakã ye bɛkpa asɔli bati a kĩ bideĩ nɛ Laodikea lɛmɛ. Ade ayea kɛnɛ kĩ mi malo miakã ovoli a kĩ asɔli bati a kĩ bideĩ nɛ Laodikea aakɔa bɛma mi a.
COL.4.17	Nɛ kawũna a, mibi Arkipo kĩ boe Ɔlate ɔsum adzuma a kĩ bɛkɔa bido nɛ ye awɛ a ni, ɛdã kĩ ɛkɛna ye ewũna pɛpɛɛpɛ.
COL.4.18	Yĩ Paulo mɔawɛ lɛkɔa yĩ awɛ ntsɛlɛ kawɔ̃na fɔlɛtsa kĩĩ. Mite anɛ kĩ mbuki nwaa kɔla!
COL.4.18	Baguma kɔnyakamɔ a, kitomɔ mi.
1TH.1.1	Yĩ Paulo, Silvano mɔ Timoteo, bɔtsɛlɛ ovoli kĩĩ bɔama mi a kĩ minyɛ Baguma boe Ɔlɛga mɔ boe Ɔlate Yesu Kristo bade a nɛ Tesalonika a. Baguma boe Ɔlɛga mɔ boe Ɔlate bɛmɔ mi kɔnya, bɛkpa mi lukudɔ lɛmɛ.
1TH.1.2	Bɔanyɛ Baguma kɔlɛ nɛ mi flee lɔlɔ lɔkɔ nyɛ lɔkɔ ade daa ntɛ bɔabɔa mpaɛ ni, bɔakɔa mi fɔlɛtsa kayi nɛ ye anɛ. 
1TH.1.3	Bɔálɛla Baguma boe Ɔlɛga kabi ayekĩ mipini mi katɛkado miakɔa kakɛna adzuma. Bɔalɛ lɛmɛ ayekĩ miabumɔ bati nɛ ɔdɔ kamɛ, mɔ ayekĩ mikɔa anɛ mite nɛ boe Ɔlate Yesu Kristo akũ mɔ ɔsĩ mɔ ɔsĩ.
1TH.1.4	Nwaɛ̃ amɛ, bunyina kĩ Baguma awɛ mi kalɛ paa, ade ɛpau mi kĩ minya ye bati lɛmɛ a. 
1TH.1.5	Kalɛ Wĩ a kĩ bɔyabi mi a ni, nnɛ́ kalɛ pupulidza kanɛ, mbom nɛ Hũhũ Kpalɛwa kɔbɛ̃ kamɛ ni, mitɛ foe kĩ ɔnɔkɔali fɔlɛtsa fɔanɛ. Mimɔ́ ayekĩ bupi boe akũ nɛ mi kamɛ kĩ fɔnya kabumɛna fɔkpa mi. 
1TH.1.6	Nɛ ɔnɔkɔali kamɛ ni, mitomɔ boe mɔ boe Ɔlate ɔbla a, foesũ titɔ kĩ mimɔ́ lubo pii malo ni, mitɛ kalɛ a mɔ kawɔlɛ kĩ kito Hũhũ Kpalɛwa a sɛkɛ̃. 
1TH.1.7	Nɛ fukĩĩ sũ ni, midani nfantuhũ mikpa batɛ badonɛ flee a kĩ bideĩ nɛ Makedonia mɔ Akaia. 
1TH.1.8	Lɛmɛ nnɛ́ boe Ɔlate kalɛ kĩĩ odi lɛgba kito mi sɛkɛ̃ kɛnaa Makedonia mɔ Akaia flee, mbom mi Baguma katɛkado lɛmɛ gba nɛ kakɔ nyɛ kakɔ. Foesũ fɔtásĩ kĩ bɔlɛ kadi nɛ foe akũ. 
1TH.1.9	Be mɔawɛ a balɛ ayekĩ mitɛ boe nɛ lɔkɔ a kĩ bɔya nɛ mi sɛkɛ̃, mɔ ayekĩ mifɔ̃ baviɔ̃ kasum, mikɔa mi akũ mikpa Baguma kĩ ye odi dzi nkpã kĩ ɛla kawũna a. 
1TH.1.10	Ade midzi miadzɔlɛ ye Obi Yesu a kĩ ɛdzɛla etomɛna banɔkpa kamɛ, kĩ yaabuki eto ode lɛgãkanyakɔ̃ ɛya a. Ade Yesu kĩĩ odi aapuli ɛnyɛ boe etomɛna kalɔkpa a kĩ Baguma aana nɛ tɔkpa bakɛnanɛ flee akũ a kamɛ a.
1TH.2.1	Nwaɛ̃ amɛ, miawɛ minyina kĩ boe kaya nɛ mi sɛkɛ̃ a tánya kɔa. 
1TH.2.2	Minyina ayekĩ bɛmɔna boe lubo, bivũna boe nɛ Filipi fɔmɔ bɔyawo mi sɛkɛ̃ nɛ Tesalonika. Lɛmɛ titɔ kĩ biyidza bɛdza nɛ boe akũ mɔ ɔsĩ mɔ ɔsĩ nɛ awã malo ni, Baguma do boe kɔbɛ̃ bubi mi ye Kalɛ Wĩ a. 
1TH.2.3	Kɔdɛ a kĩ bɔakpa mi a táto bati kakɛ, adzuni kpa ĩye tɛdake tisi kamɛ, 
1TH.2.4	mbom bubi mi kalɛ lɔkɔ nyɛ lɔkɔ ndɛ ayekĩ Baguma wɛ kĩ bɔlɛ, kitonɛkĩ ye mɔawɛ a ɛsɔ boe ɛdã, ɛmɔ́ kĩ bɔfɛta bɔkpa ye Kalɛ Wĩ a kalɛ. Foesũ bɔáwɛ kĩ bɔalɛ bati limu boe, mbom kĩ boe kɔdzɛla kalɛ aawo Baguma a kĩ enyina bati ɔwɔlɛ kamɛ a anɛ. 
1TH.2.5	Minyina pefee kĩ nnɛ́ onukpɛ̃ mɛnɛmɛnɛ fɔlɛtsa bɔkɔa bɔma mi, ade ke bɔtábɛɛlɛ anɛ nɛ odima fɔtsa akũ da a. Baguma odi nyɛ boe ɔdansini. 
1TH.2.6	Bɔtáwɛ kamu butomɛna mi ĩye bati bɛbã sɛkɛ̃.
1TH.2.6	Titɔ kĩ boe ndɛ Kristo fɔtɔ banyanɛ aye budeĩ osi kĩ bɔavia fɔtsa butomɛna mi sɛkɛ̃ malo ni, 
1TH.2.7	bupi boe akũ nɛ mi kamɛ ndɛ obima kĩ yadãmɛna ye babi akũ aye. 
1TH.2.8	Nɛ ayekĩ bɔawɛ mi kalɛ paa sũ ni, bɔawɛ kĩ mi malo minu Kalɛ Wĩ kĩĩ. Ade fɔnyɛ́ Baguma Kalɛ Wĩ kĩĩ odi, mbom bɔkɔa boe mɔawɛ akũ bɔkpa mi, kitonɛkĩ mitɛ kɔya mikpa boe paa. 
1TH.2.9	Nwaɛ̃ amɛ, mite anɛ ayekĩ lɔkɔ a kĩ bɔna nɛ mi sɛkɛ̃, bɔkabi mi Baguma Kalɛ Wĩ a, bɔkɛna adzuma lɛnyɛ mɔ suwa bɔdã boe akũ, ayekĩ bɔláakɔa fɔlɔtsa fudima bute nɛ odima akũ.
1TH.2.10	Mi mɔawɛ a mɔ Baguma míapuli midi boe akũ adansiɛ kĩ, kĩ budzi nɛ mi batɛ badonɛ kamɛ a, bupi boe akũ kapi wĩ. Bɔkɛna fɔtsa wĩ, ade odima támɔ nfumusu nɛ boe akũ a. 
1TH.2.11	Minyina lɛmɛ kĩ bɔlɛ odi nyɛ odi ndɛ ayekĩ obilɛga alɛ ye babi. 
1TH.2.12	Budo mi kɔbɛ̃, bɔkadɔla mi tɔwɔlɛ, ade bɔkadɛ mi kĩ midzi nkpã kĩ yaadɔ Baguma sɛmɛ. Ye mɔawɛ lɛvɛ mi kĩ mina nkpã katɛ nɛ ye lɛgãkanyakɔ̃ mɔ kukũkpalɛ a kamɛ.
1TH.2.13	Ade lɛtsa bɛbã sũ kĩ bɔanyɛ Baguma kɔlɛ daa nyɛ kĩ lɔkɔ a kĩ bubi mi Baguma kalɛ wĩ kĩĩ a, mitákɔa ke mikɛna batidziwa kalɛ, mbom mibu ke, mitɛ ke ndɛ Baguma kalɛ aye, kĩ kɛnyɛ ɔnɔkɔali kalɛ. Baguma kalɛ kĩĩ akɛna adzuma nɛ mi batɛ badonɛ a nkpã kadzi kamɛ.
1TH.2.14	Nwaɛ̃ amɛ, lɛtsa a kĩ lɛya nɛ mi akũ nɛ awĩ a, ade foe mɔapɛ a lɛya nɛ Baguma bati akũ nɛ Yudea tite akũ a. Lubo a kĩ mimɔ́ mitomɛna mi bati mɔawɛ kamɛ a, ade de Yudafɔ a kĩ bɛtɛ Yesu bido a lɛmɛ mɔ́ bitomɛna Yudafɔ mɔawɛ kamɛ a. 
1TH.2.15	Yudafɔ kĩĩ lɛkɔ Baguma onukpɛ̃ banyɛnɛ, bɛfɔ̃ bɛkɔ boe Ɔlate Yesu lɛmɛ, ade be tomɔ boe malo liti a. Be fɔkɛlatsa do Baguma kalɔkpa ade biyidza bɛdza nɛ bati flee akũ a. 
1TH.2.16	Bɛbɔa mbɔdi kĩ basua boe osi kĩ bɔtabi bikĩ bɛnyɛ́ Yudafɔ a kalɛ wĩ a kĩ kaafɔ̃ bɛna nkpã a kĩ ɛlá kawũna a. Nɛ fukĩĩ kakɛna kamɛ ni, bɛkakɛna tɔkpa pii kabu be tɔkpa. Finyaa Baguma kalɔkpa yidza nɛ be akũ.
1TH.2.17	Nwaɛ̃ amɛ, ade fuwi sukuloo kĩ bɔdzakũ bɔfɔnɛ mi a. Titɔ kĩ bɔámɔ akũ anɛ mɔ anɛ malo ni, bɔakɔna mi akũ paa. Bɔwɛ paa ade bɔbɔa mbɔdi kĩ bɔayaamɔ mi a. 
1TH.2.18	Bɔwɛ kĩ bubuki bɔyaasɛla mi. Yĩ Paulo kɔ̃ ɔnɔkɔali mbɔa mbɔdi pii kĩ maya, lɛmɛ Abonsam tákpa osi. 
1TH.2.19	Fɔnyɛ yĩ kawɛ paa kĩ ĩyaasɛla mi kitonɛkĩ mi akũ bute anɛ, minyɛ boe kawɔlɛ lɛmɛ. Ade minyɛ boe nfasɔ a kĩ foesũ bɔ́ata akũ nɛ lɔkɔ a kĩ boe Ɔlate Yesu aabuki ɛya a. 
1TH.2.20	Ɔnɔkɔali ni, minyɛ boe obu mɔ kawɔlɛ a.
1TH.3.1	Nɛ ayekĩ bɔláapuli bubuki budo ɔwɔlɛ sũ ni, buke otse kĩ bɔakahɔ nɛ Atene, 
1TH.3.2	ade ke budo Timoteo kĩ ɛyaado mi kɔbɛ̃, ebumɛna mi nɛ mi katɛkado kamɛ. Ɛnyɛ boe ɔwaɛ̃ kĩ yabumɛna boe nɛ Baguma adzuma mɔ Kristo Kalɛ Wĩ a kalɛ kamɛ. 
1TH.3.3	Bɔkɛna foe lɔmɔ kitonɛkĩ bɔtáwɛ kĩ bati liti katomɛna kĩĩ kiveli odima akpɔ. Mi mɔawɛ minyina kĩ bati liti katomɛna kĩĩ waa kɛkpa boe a kĩ butomɔ Kristo. 
1TH.3.4	Míate anɛ kĩ lɔkɔ a kĩ bɔna nɛ mi sɛkɛ̃ a, bɔkpa kanyi bɔnyamɛna lɔtɔ kĩ bati liti katomɛna aaya. Ade ndɛ ayekĩ minyina a, fɔya lɔmɔ pɛpɛɛpɛ. 
1TH.3.5	Nɛ ayekĩ maápuli mbuki ndo ɔwɔlɛ sũ ni, ndo Timoteo kĩ ɛyaadã ayekĩ mi katɛkado la. Nkavila kĩ ɔsa okesĩnɛ a yasɔ mi ɛdã, lɔkɔa boe adzuma kakɛna a flee kɛna pupulidza.
1TH.3.6	Lɛmɛ Timoteo muniki ɛya mɔ kawɔlɛ ɛyabi boe kĩ mi katɛkado mɔ tɔwaɛ̃ kawɛ távɛmɛna. Ɛlɛ kĩ miate anɛ nɛ boe akũ daa, ade miawɛ osi kĩ míamɔ boe ndɛ ayekĩ boe malo bɔawɛ kĩ bɔamɔ mi a. 
1TH.3.7	Foesũ nwaɛ̃ amɛ, nɛ boe lubo kamɔ mɔ kasuli kamɛ malo ni, mi katɛkado do boe kɔbɛ̃, 
1TH.3.8	kitonɛkĩ ntɛ midzɛ̃ kɔɔba nɛ boe Ɔlate kamɛ ni, nkpã vɔɛ̃ awo nɛ boe kamɛ.
1TH.3.9	Bɔ́apuli bɔnyɛ Baguma kɔlɛ nɛ mi lɔlɔ fuwo ye anɛ? Kawɔlɛ baũ ade boe nɛ Baguma anɛ, nɛ mi sũ. 
1TH.3.10	Lɛnyɛ mɔ suwa bɔake boe Ɔlate aduli mɔ ɔsĩ mɔ ɔsĩ kĩ ɛfɔ̃ bubuki bɔmɔ́ akũ lɔkɔa bɔkpa mi lɛtsa a kĩ lisĩ nɛ mi katɛkado kamɛ.
1TH.3.11	Finyaakĩĩ Baguma boe Ɔlɛga, mɔ boe Ɔlate Yesu bibinya osi bɛkpa boe lɔkɔa bɔya nɛ mi sɛkɛ̃. 
1TH.3.12	Boe Ɔlate ɛfɔ̃ mi akũ kalɛkawɛ mɔ bati bɛbã kalɛkawɛ a kide nɛ ode kibu, ndɛ ayekĩ bɔwɛ mi a. 
1TH.3.13	Fukĩĩ fɔfɔ̃ edo mi kɔbɛ̃, ɛkɛna mikpɔla, ɛkɛna mi bati kpalɛwa nɛ Baguma boe Ɔlɛga anɛ, kɛnaawo luwi a kĩ boe Ɔlate Yesu mɔ ye bade a flee kĩ bɛkpalɛ a aabuki bɛya.
1TH.4.1	Nwaɛ̃ amɛ, ke kawũna a, mikɔlɛ mitomɛna boe sɛkɛ̃ ayekĩ míadzi nkpã kĩ yaawo Baguma anɛ. Ade aye midzi kɔkɔɛ a, lɛmɛ bɔado mi fi, nɛ boe Ɔlate Yesu dĩ akũ kĩ mikɛna fɔba lɔmɔ. 
1TH.4.2	Minyina fɔtsa a kĩ foe bɔtsa mi nɛ boe Ɔlate Yesu dĩ akũ a. 
1TH.4.3	Baguma awɛ kĩ mi akũ ɛkpalɛ nɛ linyolewɛ mɔ litsolewɛ akũ. 
1TH.4.4	Onyole nyɛ onyole enyi ɔtsɔ̃ kapi wĩ nɛ kukũkpalɛ mɔ obu kamɛ, 
1TH.4.5	ɛtatomɔ sukɛna fɔwɛtsa ɔmɛnɛ liti ndɛ bikĩ binyína Baguma aye. 
1TH.4.6	Nɛ fɔlɛtsa kĩĩ akũ ni, odima ɛtakɛna tɔkpa nɛ ɔkɔba akũ ĩye esisi ye. Bubi mi fukĩĩ tɔ̃, buke mi awɛ nɛ akũ mɔ ɔsĩ mɔ ɔsĩ kĩ boe Ɔlate aavɛlɛ bikĩ bakɛna fɔtsa kĩĩ bamɛ a sɔtɔ. 
1TH.4.7	Baguma távɛ boe kĩ bɔnya bati kĩ be akũ deĩ efĩĩ, mbom bɔnya bikĩ be akũ kpalɛ. 
1TH.4.8	Nɛ foesũ ntɛ odi sĩ nhihiɛ kĩĩ akũ kakɛna ni, nnɛ́ otidziwa esĩ, mbom eyidza ɛdza nɛ Baguma kĩ yakɔa ye Hũhũ Kpalɛwa kakpa mi a akũ.
1TH.4.9	Nɛ mi bawaɛ̃ batɛ badonɛ akũ kalɛkawɛ akũ kɔ̃ ni, fɔtásĩ kĩ matsɛlɛ litsedi nɛ foe akũ, kitonɛkĩ Baguma tsa mi kɔkɔɛ kĩ miwɛ mi akũ kalɛ. 
1TH.4.10	Fɔnyɛ ɔnɔkɔali kĩ miawɛ mi bawaɛ̃ batɛ badonɛ flee a kĩ bideĩ nɛ Makedonia flee a kalɛ, lɛmɛ bɔake mi aduli kĩ mikɛna foe fɔba lɔmɔ. 
1TH.4.11	Mi botaɛ fɔnya kĩ miadzi nkpã nɛ akũ kadɔla kamɛ, odi nyɛ odi ɛdã ye adzuma. Mikɔa awɛ mikɛna mi mɔawɛ adzuma minya ndɛ ayekĩ bubi mi a. 
1TH.4.12	Fukĩĩ aafɔ̃ bikĩ bɛnyɛ́ batɛ badonɛ a lɛkpa mi obu, lɔkɔa miláakɔa anɛ mite nɛ odima lɛtsama akũ.
1TH.4.13	Nwaɛ̃ amɛ, bɔawɛ kĩ bɔabi mi lɛtsa kĩ laaya nɛ bati kĩ biku bɛtɛ̃ a akũ, ayekĩ miláadzi nɛ ayɔlɔhɔ kamɛ ndɛ bati kĩ bɛlá kɔnɛte. 
1TH.4.14	Bɔtɛ budo kĩ Yesu ku ade ebuki eyidza edzi nkpã a. Foesũ bɔtɛ budo kĩ batɛ badonɛ flee a kĩ biku a ni, Baguma aafɔ̃ Yesu lɛkpã be ɛyamɛna nɛ ye kaya kamɛ. 
1TH.4.15	Lɛtsa a kĩ bɔatsa mi finyaakĩĩ nyɛ boe Ɔlate fɔtsa katsa, kĩ boe a kĩ bɔ́adzi nkpã nɛ luwi a kĩ boe Ɔlate aaya akũ a ni, bɔláanya bikĩ biku a lɔtɔ mɔ ode kanaa. 
1TH.4.16	Nɛ lɔkɔ a na ni, bɔ́anu boe Ɔlate kaya a mɔ fɔwɔla kɔɔba. Bɔ́anu ode fɔtɔ ɔnyanɛ ɔnɔkɔɛ̃ a odo. Baguma kagbulɛɛ aanɛ, lɔkɔa boe Ɔlate mɔawɛ aato ode ɛya. Bati a kĩ bɛtɛ Kristo bido fɔmɔ biku a aanya lɔtɔ biyidza. 
1TH.4.17	Ke liti a, Baguma aakpɔta boe a kĩ bute budzi nkpã a ɛnaabumɔ bikĩ biyidza a, bɔnaatsɛlamɔ boe Ɔlate nɛ odetɔ́ kamɛ. Lɔkɔa bɔ́adzi nɛ boe Ɔlate a sɛkɛ̃ daa. 
1TH.4.18	Foesũ mikɔa fɔlɛtsa kĩĩ mikaadɔla mi bawaɛ̃ tɔwɔlɛ.
1TH.5.1	Nwaɛ̃ amɛ, fɔtásĩ kĩ matsɛlɛ lɛtsama mma mi futomɛna lɔkɔ ĩye fuwi a kĩ fɔtsa kĩĩ bamɛ aaya a akũ, 
1TH.5.2	kitonɛkĩ mi mɔawɛ minyina yededeede kĩ boe Ɔlate Kaya Luwi a aaya ndɛ ayekĩ oyekpanɛ afuta oti mɔ lɛnyɛ. 
1TH.5.3	Lɔkɔ a kĩ bati alɛ kĩ lɛtsa nyɛ lɛtsa yamɔ lukudɔ mɔ kadzi wĩ a, ade lɔkɔ a na kamɛ pɛpɛɛpɛ mɔ baawɔla be deedimɔapɛ a. Fɔ́aya ndɛ ayekĩ sɛmɛ api ɔmatsɔ̃, ade kalo lɛláana a.
1TH.5.4	Lɛmɛ, nwaɛ̃ amɛ, mi kɔ̃ miláa ɔtũ kamɛ. Foesũ luwi a na lɛtayaafuta mi ndɛ oyekpanɛ aye, 
1TH.5.5	kitonɛkĩ mi flee minyɛ ɔhaĩ bati. Ade bɔnyɛ́ bati kĩ bakɛna fɔtsa nɛ lɛnyɛ ĩye ɔtũ kamɛ a. 
1TH.5.6	Foesũ mitawa tida ndɛ bati bɛbã, mbom mina nɛ kukũmanɛ mɔ kɔnɛte kamɛ. 
1TH.5.7	Lɛnyɛ bati awa tida, ade bikĩ bavɛ bamɔa kawuga ni, lɛnyɛ bawugɛla be. 
1TH.5.8	Lɛmɛ kĩ ɔhaĩ kamɛ bati bɔanɛ sũ ni, mifɔ̃ bɔkɔa boe katɛkado mɔ ɔdɔ bɔkɛna ɔwɔlɛ libĩĩ katɛ sɔbɔtsaɛ, mɔ boe kɔnɛte nɛ boe nkpã akũ bɔkɛna sɔbɔtsaɛ lɔbɔɛ. 
1TH.5.9	Kitonɛkĩ Baguma tápau boe kĩ yaakɔa ye kawũnaba a ɛwɔla boe, mbom kĩ bɔ́atsã boe Ɔlate Yesu Kristo akũ bɔna nkpã katɛ. 
1TH.5.10	Yesu ku nɛ boe lɔlɔ, kĩ ntɛ budzi o-o, ĩye ntɛ buku o-o, bɔ́adzimɔ ye nɛ ye kabuki kaya kamɛ. 
1TH.5.11	Nɛ foesũ ni, mikaado akũ fi, mikaabumɛna akũ ndɛ ayekĩ milamɛna kakɛna finyaa a.
1TH.5.12	Nwaɛ̃ amɛ, bɔake mi aduli kĩ mikɔa obu wĩ mikpa mi lɔtɔ banyanɛ a kĩ bakɛna adzuma nɛ mi kamɛ, kakpã mi nɛ Kristo nkpã kadzi kamɛ a. 
1TH.5.13	Miwɛ be kalɛ, mikpa be obu paa nɛ adzuma a kĩ bakɛna a sũ. Ade midzi mɔ akũ nɛ lukudɔ kamɛ a.
1TH.5.14	Nwaɛ̃ amɛ, bɔawɛ kĩ midɛ banyɔnɛpo, mido bikĩ bideĩ libe a ɔwɔlɛ, mibumɛna bikĩ akpɔ veli be a. Mina ɔwɔlɛ bɔɛɛ mikpa odi nyɛ odi. 
1TH.5.15	Midã kadã wĩ kĩ odima ɛtakɔa tɔkpa ese tɔkpa kɔtɔ, mbom mibɔa mbɔdi kĩ miakɛna tuwĩ mikpa akũ mɔ odi nyɛ odi.
1TH.5.16	Mimɔ kawɔlɛ luwi daa. 
1TH.5.17	Mikaabɔa mpaɛ lɔkɔ nyɛ lɔkɔ. 
1TH.5.18	Minyɛ boe Ɔlate kɔlɛ nɛ lɛtsa nyɛ lɛtsa kamɛ, kitonɛkĩ ade fukĩĩ bamɛ Baguma awɛ etomɛna be a kĩ bitomɔ Yesu Kristo a.
1TH.5.19	Mitasua Hũhũ Kpalɛwa kɔbɛ̃ a osi. 
1TH.5.20	Mitasupa Baguma onukpɛ̃ banyɛnɛ fɔlɛtsa a. 
1TH.5.21	Mbom misɔ lɛtsa nyɛ lɛtsa midã lɔkɔa mipi fuwĩ a midomɔ akũ. 
