GEN.1.1	Ekuqalekeni uThixo wadala amazulu nehlabathi.
ACT.28.3	Ke kaloku, akubon' ukuba uPawulos utheze inyanda yeentsasa, wayibeka phezu komlilo, kwaphuma inyoka ebushushwini obo, yanamathela esandleni sakhe. 
ACT.28.4	Athe ke amabharbhari, akusibona isilo eso silengalenga esandleni sakhe, athetha odwa athi, Okwenene lo mntu ungumbulali; nakuba esindile elwandle, impindezelo ayivumi ukuba adle ubomi. 
ACT.28.5	Yena ngoko wasivuthululela emlilweni isilo eso, akeva buhlungu noko. 
ACT.28.6	Ke bona babelinde ukuba uza kudumba, mhlawumbi athi qwaka, afe; bakùlinda futhi ke, bakùbona engahliwa nto imbi, bajika bathi unguthixo.
ACT.28.7	Ke kaloku, kuloo mmandla bekukho imihlaba yomntu omkhulu wesiqithi, ogama linguPubliyo; owasamkela ngobubele, wasenza undwendwe lwakhe iintsuku zantathu. 
ACT.28.8	Kwathi ke, uyise kaPubliyo walala phantsi, ebanjwe yicesina nokuxaxaza igazi; awathi uPawulos, engene kuye, wathandaza; wabeka izandla phezu kwakhe, wamphilisa. 
ACT.28.9	Kuthe ke kwakwenzeka oko, bathi nabanye ababenezifo esiqithini apho, beza baphiliswa; bathi bona basenzela iimbeko ezininzi; 
ACT.28.10	bathi, xa sindulukayo, basithwesa ngezinto esizisweleyo.
ACT.28.11	Ke kaloku, emva kweenyanga ezintathu, sanduluka ngomkhombe wakwa-Alesandire, obudlulise ubusika esiqithini eso, onembasa yamaWele. 
ACT.28.12	Sathi sakufika eSirakusi, sahlala khona iintsuku zantathu. 
ACT.28.13	Sisuka khona, sajikeleza safika eRegiyo; emva kosuku olunye, kwakubon' ukuba umoya wasezantsi uvukile, safika ngowesibini umhla ePotiyoli; 
ACT.28.14	safumana abazalwana apho, basibongoza ukuba sihlale nabo iintsuku zibe sixhenxe; seza ngokunjalo eRoma. 
ACT.28.15	Bathi abazalwana, bakusiva, baphuma khona apho, beza kusihlangabeza, bada beza eApiyoforo, naseTritabherne; athe uPawulos, akubabona, wabulela kuThixo, womelezeka.
ACT.28.16	Ke kaloku, xeshikweni sifikileyo eRoma, umthetheli-khulu wabanikela ababanjwa kumthetheli-mkhosi; ke yena uPawulos wavunyelwa ukuba ahlale yedwa, nesoldati elimgcinayo.
ACT.28.17	Kwathi ke, emva kweentsuku ezintathu, uPawulos wabizela ndawonye abaziintloko bamaYuda; abathe bakubon' ukuba ke babuthelene, wathi kubo, Madoda, bazalwana, mna ndithe, ndingenzanga nto ichasene nabantu namasiko akowethu, ndesuka eYerusalem ndingumbanjwa, ndanikelwa ezandleni zamaRoma. 
ACT.28.18	Athe wona akundincina, afuna ukundikhulula, ngenxa yokuba kungekho tyala lakufa ndinalo. 
ACT.28.19	Athe ke amaYuda akùphika, ndanyanzeleka ukuba ndibhenele kuKesare;* kungengakuba ndibe ndinento yokulumangalela ngayo uhlanga lwakowethu. 
ACT.28.20	Ndìnibongozé ke ngenxa yeso sizathu ukuba 
ACT.28.21	Wona ke athi kuye, Thina asizuzanga zincwadi 
ACT.28.22	Sìnga ke singeva kuwe izinto ozicingayo; kuba okunene ngalo elo hlelo kuyazeka kuthi, ukuba lichasiwe ezindaweni zonke.
ACT.28.23	Ke kaloku, bakummisela imini, kweza kuye into eninzi endlwini abehlala kuyo, wabatyhilela, ebaqononondisa kunene, ubukumkani bukaThixo; kananjalo ebebeyisela kokungoYesu, ethabatha emthethweni kaMoses kwanakubaprofeti, 
ACT.28.24	Yaye inxenye iseyiseka ngaloo mazwi athethwa nguye, yaye inxenye ingàkholwa.
ACT.28.25	Bakuba ke bengavumelani, banduluka, akubon' ukuba uPawulos uthethe zwi-nye, wathi, 
ACT.28.26	Watyapha uMoya oyiNgcwele ukuthetha ngoIsaya umprofeti koobawo bethu, esithi,
ACT.28.26	Hamba uye kwaba bantu, uthi,
ACT.28.26	Ukuva oku niya kuva, ningakhe niqonde;
ACT.28.26	Nithi nibona nje, nibone, ningakhe niqiqe.
ACT.28.27	Kuba intliziyo yaba bantu ithe fithi kukutyeba;
ACT.28.27	Beva nzima ngeendlebe,
ACT.28.27	Bewacima namehlo abo;
ACT.28.27	Hleze babone ngamehlo,
ACT.28.27	Beve ngeendlebe,
ACT.28.27	Baqonde ngeentliziyo,
ACT.28.27	Bajike, ndibaphilise.
ACT.28.27	(UIsaya 6:9,10)
ACT.28.28	Makwazeke ngoko kuni, ukuba usindiso lukaThixo luthunyelwe kuzo iintlanga; ziya kuluva zona.
ACT.28.29	Akuba etshilo, emka amaYuda, enembuzwano enkulu phakathi kwawo.
ACT.28.30	Ke kaloku, uPawulos wahlala iminyaka emibini iphela kweyakhe indlu ayiqeshileyo, wabamkela bonke ababesiza kuye, 
ACT.28.31	ebuvakalisa ubukumkani bukaThixo, efundisa iindawo ezingeNkosi uYesu Kristu ngako konke ukungafihlisi, engalelwa bani.
ROM.1.1	UPawulos, umkhonzi kaYesu Kristu, umpostile* owabizwayo, wahlulelwa 
ROM.1.2	awazidingayo ngenxa engaphambili ngabo abaprofeti bakhe ezibhalweni ezingcwele, 
ROM.1.3	ebhekisele kuNyana wakhe, owazalwa engowembewu kaDavide ngokwenyama, 
ROM.1.4	owamiswayo ukuba unguNyana kaThixo, enamandla, ngokomoya wobungcwele, ngokuvuka kwabafileyo, uYesu Kristu ke, iNkosi yethu; 
ROM.1.5	esathi ngaye samkela ubabalo nobupostile, ukuze ngenxa yegama lakhe kubekho ukulululamela ukholo phakathi kwazo zonke iintlanga; 
ROM.1.6	eniphakathi kwazo nani, babiziweyo bakaYesu Kristu: 
ROM.1.7	 bonke abaseRoma, abaziintanda zikaThixo, abangcwele ababiziweyo, 
ROM.1.8	Kuqala ke, ndiyabulela kuThixo wam ngoYesu Kristu ngenxa yenu nonke, kuba ukholo lwenu luxelwa ehlabathini liphela. 
ROM.1.9	Kuba ulingqina lam uThixo, endimkhonzayo ngomoya wam kwiindaba ezilungileyo zoNyana wakhe, okokuba andiyeki ukunikhankanya; 
ROM.1.10	ndihlala ndikhunga emithandazweni yam, ukuba ndingáde ngoku ndibe nempumelelo, ndize kuni nangakuphi, ngako ukuthanda kukaThixo. 
ROM.1.11	Kuba ndilangazelela ukunibona, ukuze ndinabele sibabalo sithile sisesomoya, ukuze nizimaseke; 
ROM.1.12	oko ke kukuze ndivuseleleke nam phakathi kwenu, ngalo ukholo olukuthi sobabini, ngolwenu kwanangolwam.
ROM.1.13	Andithandi ke ukuba ningàzi, bazalwana, ukuba kúfuthi ndizimisela entliziyweni yam ukuza kuni (ndathintelwa kwada kwanamhla), ukuze ndibe nasiqhamo sithile naphakathi kwenu, kwanjengaphakathi kwezinye iintlanga. 
ROM.1.14	KumaGrike kwanakumabharbhari,* kwizilumko kwanakwabaswele ukuqonda, ndimelwe 
ROM.1.15	Ngokunjalo okukokwam ndingxamele ukuzishumayela iindaba ezilungileyo nakuni baseRoma.
ROM.1.16	Kuba andinazintloni ngazo iindaba ezilungileyo zikaKristu; kuba zingamandla kaThixo okusindisa bonke abakholwayo, umYuda kuqala, kwanomGrike. 
ROM.1.17	Kuba ngazo kutyhilwa ubulungisa bukaThixo, buphuma elukholweni buse elukholweni, njengokuba kubhaliwe 
ROM.1.17	(UHabh. 2:4)
ROM.1.18	Kuba ityhilekile ingqumbo kaThixo ivela emazulwini, ichase konke ukungahloneli Thixo, nentswela-bulungisa yabantu, abayithintelayo inyaniso ngokuswela ukulungisa. 
ROM.1.19	Ngokokuba oko kwazekayo ngoThixo kuyabonakala ngaphakathi kwabo; kuba uThixo wakubonakalalisa kubo. 
ROM.1.20	Kuba kwasekudalweni kwehlabathi, iindawo zakhe ezibe zingenakubonwa zibonwa kakuhle, ziqondeke, ngezinto ezenziweyo, kwaamandla akhe angunaphakade, nobuThixo 
ROM.1.21	Ngokokuba bathe, bemazi uThixo, àbamzukisa ngokoThixo, àbabulela kuye; basuka bazizinto ezingento ezicamangweni zabo, yaza intliziyo yabo engenakuqonda yenziwa yamnyama; 
ROM.1.22	bathi besiba bazizilumko, besuka baba ziziyatha; 
ROM.1.23	baza ubuqaqawuli bukaThixo ongenakonakala babananisela intsobi yomfanekiselo womntu onokonakala, noweentaka, nowezinto ezizitho ziné, nowezinambuzane.
ROM.1.24	Kungoko athe, besezinkanukweni zeentliziyo zabo, uThixo wabanikela nokubanikela ekungcoleni, ukuba bahlazisane ngemizimba yabo; 
ROM.1.25	bona bananiséle ubuxoki inyaniso kaThixo, basihlonela basikhonza isidalwa, begqitha kuMdali, ongowokubongwa kuse kuwo amaphakade. Amen.
ROM.1.26	Ngenxa yoko, uThixo wabanikela ekuthabathekeni okulihlazo; kuba namankazana abo umsebenzi wasemvelweni awananisela okunxamnye nemvelo; 
ROM.1.27	kwaza kwangokunjalo ke namadoda, ewushiya umsebenzi wenkazana wasemvelweni, avutha ngokukhanukana kwawo, amadoda esenza kumadoda okuziintloni, ezamkelela umbuyekezo wokulahleka kwawo, abemelwe ke nguwo.
ROM.1.28	Njengokuba ke bekúmangele ukuhlala bemazi kakuhle uThixo, uThixo wabanikela engqiqweni engacikidekileyo, ukuba benze izinto ezingafanelekileyo; 
ROM.1.29	bezele yiyo yonke intswelabulungisa, okungendawo, ukubawa, ulunya; bezele ngumona, kukubulala, ziinkani, yinkohliso, bubumenemene; 
ROM.1.30	ábasebezi, ábahlebi, abathiyekileyo kuThixo, abasileyo, abanekratshi, abaqhankqalazi, abacebi bezinto ezimbi, abangàbevayo abazali, 
ROM.1.31	abangenakuqonda, abaphuli beminqophiso, abangenabubele, abangenatarhu, abangenanceba; 
ROM.1.32	bona bathi, besazi kakuhle isimiselo sikaThixo, sokuba abo bazenzayo izinto ezinjalo bafanelwe kukufa, banganeli kukuzenza, basuka bathakazelele nabò bazenzayo.
ROM.2.1	Kungoko ndithi, Akunakuziphendulela, mntundini ugwebayo, nokuba ùngubani; kuba ngokugweba omnye, uzigweba kwawena; kuba wena ugwebayo wenza kwaezo zinto. 
ROM.2.2	Siyazi ke ukuba isigwebo sikaThixo siwa ngokwenyaniso phezu kwabo bazenzayo izinto ezinjalo.
ROM.2.3	Ùcinga na ke, mntundini ugweba abo bazenzayo izinto ezinjalo, ube usenza kwazona nawe, ukuthi, uya kusisaba na wena isigwebo sikaThixo? 
ROM.2.4	Okanye ùyabudela na ubutyebi bobubele bakhe, nonyamezelo, nokuzeka kade umsindo; ungazi ukuba ububele bukaThixo bukusa enguqukweni?
ROM.2.5	Ke ùthi, ngokuba lukhuni kwakho, nentliziyo 
ROM.2.6	oya kuvuza ulowo nalowo ngokwemisebenzi yakhe: 
ROM.2.7	abo bathi ngokomonde emsebenzini olungileyo bafune uzuko nembeko nokungonakali, 
ROM.2.8	ke kwabo beyelenqe, bangayithambeliyo inyaniso, basuke bathambele intswelabulungisa, 
ROM.2.9	imbandezelo noxinaniso emphefumlweni wabantu bonke abasebenza okubi, kowomYuda ukuqala, kwanakowomGrike; 
ROM.2.10	kubekho uzuko ke, nembeko, noxolo, kubantu bonke abasebenza okulungileyo, kumYuda ukuqala, kwanakumGrike.
ROM.2.11	Kuba kuThixo akukho kukhetha buso. 
ROM.2.12	Kuba bonke abonileyo bengenamthetho, baya kutshabalala ngokunjalo bengenamthetho; nabo bonke abonileyo benomthetho, baya kugwetywa ngomthetho; 
ROM.2.13	kuba àsingabanela ukuba ngabaphulaphuli bawo umthetho, ábangamalungisa kuThixo; ngabenzi bawo umthetho abaya kugwetyelwa. 
ROM.2.14	Kuba xa abeentlanga bathi, bengenamthetho, benze ngemvelo okomthetho, abo, bengenamthetho nje, bangumthetho kubo ngokwabo: 
ROM.2.15	bona bawubonakalalisayo umsebenzi womthetho, ubhalwe ezintliziyweni zabo, sibe isazela sabo singqinelana nawo, zibe izicamango zabo zimangalelana, ziphathe kuziphendulela. 
ROM.2.16	 mhlenikweni uThixo aya kuzigweba izinto ezifihlakeleyo zabantu, ngokweendaba zam ezilungileyo ngoYesu Kristu.
ROM.2.17	Ùyabona, wena unegama lokuba ungumYuda, wayame ngomthetho; uqhayisa ngoThixo; 
ROM.2.18	ùyakwazi ukuthanda 
ROM.2.19	kananjalo wena ukholose ngokuthi ungumkhokeli weemfama, ulukhanyiselo lwabo basebumnyameni, 
ROM.2.20	umluleki wabaswele ukuqonda, umfundisi weentsana, onesimilo sokwazi nesenyaniso emthethweni. 
ROM.2.21	Ndithi, wena ke umfundisayo omnye, akuzifundisi? Wena ke uvakalisa ukuthi, makungebiwa, uyeba? 
ROM.2.22	Wena ke uthi, makungakrexezwa, uyakrexeza? Wena ke ukruqukileyo zizithixo, uphanga iitempile? 
ROM.2.23	Wena ke uqhayisa ngomthetho, uyamhlazisa uThixo ngokugqitha umthetho? 
ROM.2.24	Kuba igama likaThixo linyeliswa ngenxa yenu phakathi kwazo iintlanga, njengoko kubhaliweyo.
ROM.2.25	Kuba ulwaluko luyanceda okunene, ukuba ùyawenza umthetho; kodwa ukuba ungumgqithi womthetho, ulwaluko lwakho lusuke lwaba kukungaluki. 
ROM.2.26	Ngoko ke, ukuba ongalukileyo uthi azigcine izimiselo zomthetho, àkuyi kuthi na ukungaluki kwakhe kubalelwe ekuthini kukwaluka? 
ROM.2.27	Kuthi ukungaluki, oko kwasemvelweni, ngokuwuzalisa umthetho, kukugwebe wena ungumgqithi-mthetho, noko unesibhalo nolwaluko?
ROM.2.28	Kuba umYuda asingulowo unguye ngokwangaphandle, nolwaluko asilulo olo lwangaphandle enyameni; 
ROM.2.29	umYuda ngulowo wasemfihlekweni, nolwaluko lolwentliziyo ngomoya, kungengantetho: yena ùkudunyiswa kwakhe kungaphumi bantwini, kuphuma kuThixo.
ROM.3.1	Úgqithisele ngantoni na ngoko umYuda kwabanye? Kunceda ntoni na ukwaluka?
ROM.3.2	Kukhulu, ngeendlela zonke. Kuba ke, ukuqala, báphathiswa izihlabo zikaThixo. 
ROM.3.3	Kuyini na khona, ukuba abathile abakholwanga? Ukungakholwa kwabo kokuphuthisa na ukuthembeka kukaThixo? 
ROM.3.4	Nakanye! UThixo yena makabe nenyaniso, bonke abantu ke babe ngamaxoki; njengokuba kubhaliwe 
ROM.3.4	Ukuze ube nokugwetyelwa emazwini akho,
ROM.3.4	Wèyise ekumangalelweni kwakho.
ROM.3.4	(INdum. 51:4)
ROM.3.5	Ke ukuba ukuswela-kulungisa kwethu kuqondakalisa ubulungisa bukaThixo, sothini na? Úswele ukulungisa na uThixo, lo uhlisa umsindo wakhe? (Ndithetha ngokomntu.) 
ROM.3.6	Nakanye! Oko ubengáthini na uThixo ukuligweba ihlabathi? 
ROM.3.7	Ke ukuba inyaniso kaThixo iphuphumele ekuthini azukiswe ngobuxoki bam, ndisagwetywa ngani na mna ngokomoni? 
ROM.3.8	 singabi sesisithi (ngoko ke sinyeliswayo, ngoko ke abathile bathi, sìthi thina), Masenze okubi, ukuze kuvele okulungileyo? abakugwetywa kuyeleleyo.
ROM.3.9	Kuthiweni na ke? Sinomkhusane na? Hayi, unakanye! Kuba besesiwamisele ityala amaYuda kwanamaGrike, lokuba baphantsi kwesono bonke; 
ROM.3.10	njengokuba kubhaliwe 
ROM.3.10	Akukho lungisa, hayi, nalinye;
ROM.3.11	Akukho uqondayo;
ROM.3.11	Akukho umfunisisayo uThixo!
ROM.3.12	Bonke baphambukile; bephelele, àbancedi lutho;
ROM.3.12	Akukho wenza okulungileyo; akukho nokude abe mnye.
ROM.3.12	(INdum. 14:3)
ROM.3.13	Lingcwaba elivulekileyo umqala wabo,
ROM.3.13	Ngeelwimi zabo bamana ukukhohlisa.
ROM.3.13	(INdum. 5:9)
ROM.3.13	Ubuhlungu bamaphimpi buphantsi kwemilebe yomlomo wabo.
ROM.3.13	(INdum. 140:3)
ROM.3.14	Abamlomo uzele kukuqalekisa nobukrakra.
ROM.3.14	(INdum. 10:7)
ROM.3.15	Iinyawo zabo zinamendu okuphalaza igazi;
ROM.3.16	Lityumtyum neentsizi ezindleleni zabo;
ROM.3.17	Nendlela yoxolo abayazanga.
ROM.3.17	(UIsaya 59:7,8)
ROM.3.18	Akukho koyika Thixo phambi kwamehlo abo.
ROM.3.18	(INdum. 36:1)
ROM.3.19	Siyazi ke ukuba izinto zonke ozithethayo umthetho, uzithetha kwabaphantsi komthetho; ukuze imilomo yonke ivingcwe, nehlabathi lonke libe netyala kuThixo. 
ROM.3.20	Ngokokuba, ngokwasemisebenzini yomthetho, akuyi kugwetyelwa nyama emehlweni akhe; kuba isono saziwe ngokubakho komthetho.
ROM.3.21	Ngoku ke kubonakaliswe ubulungisa bukaThixo, kungekho mthetho, bungqinelwa nguwo umthetho nabaprofeti; 
ROM.3.22	ubulungisa ke bukaThixo, obungokukholwa kuYesu Kristu, bube bobabo bonke, buphezu kwabo bonke abakholwayo; 
ROM.3.23	kuba akukho kwahluka; kuba bonile bonke, basilelela eluzukweni lukaThixo; 
ROM.3.24	begwetyelwe ngesisa lubabalo lwakhe ngako ukukhululwa ngentlawulelo ekuYesu Kristu; 
ROM.3.25	athe uThixo wammisa, ukuba abe sisicamagushelo ngegazi lakhe, ngako ukukholwa, ukuze bubonakalaliswe ubulungisa bakhe ngenxa yokuyekelelwa kwezono ezibe zenziwe ngenxa engaphambili, ekunyamezeleni kukaThixo; 
ROM.3.26	ukuze bubonakalaliswe ubulungisa bakhe ngeli xesha lakalokunje, ukuze abe lilungisa, kwanomgwebeli walowo waselukholweni lukaYesu.
ROM.3.27	Luphi na ngoko uqhayiso? Luvalelwe ngaphandle. Ngamthetho mni na? Ngowemisebenzi na? Hayi! 
ROM.3.28	Ngomthetho wokholo. Ngoko ke sigqiba kwelithi, umntu ugwetyelwa ngokholo, kungekho misebenzi yamthetho. 
ROM.3.29	Kanene uThixo ungowamaYuda odwa na? Akanguye na noweentlanga? 
ROM.3.30	Ewe, ngoweentlanga nazo; ekubeni emnye uThixo, oya kugwebela abolwaluko ngokwaselukholweni, nabangengabolwaluko ngalo ukholo. 
ROM.3.31	Umthetho ngoko siyawuphuthisa na ngalo ukholo? Nakanye! Siyawumisa wona umthetho.
ROM.4.1	Yintoni na ngoko esiya kuthi, uAbraham, ubawo wethu, ufumene yona ngokwenyama? 
ROM.4.2	Kuba uAbraham, ukuba wayegwetyelwe ngokwasemisebenzini, ange eneqhayiya; akanalo ke phambi koThixo. 
ROM.4.3	Kuba sithini na isibhalo? 
ROM.4.4	Ke kaloku, kulowo usebenzayo, umvuzo àwubalelwa ngokwaselubabalweni; ubalelwa ngokwasekubangweni. 
ROM.4.5	Ke kulowo ùngasebenziyo, ùthi akholwe kuye omgwebelayo lowo ungahloneli Thixo, ukholo lwakhe lubalelwa ebulungiseni; 
ROM.4.6	kwanjengokuba noDavide eluncoma uyolo lwaloo mntu, uThixo ambalela ubulungisa kungekho misebenzi, 
ROM.4.7	Banoyolo abazigqitho zixolelweyo,
ROM.4.7	Abazono zigutyungelweyo;
ROM.4.8	Inoyolo indoda eya kuthi iNkosi ingakhe ibalele sono kuyo.
ROM.4.8	(INdum. 32:1,2)
ROM.4.9	Olo luyolo ngoko lunconywayo lulolwabolwaluko bodwa na? Asilulo olwabo bangebolwaluko nabo na? Kuba sithi, kuAbraham ukholo lwabalelwa ebulungiseni. 
ROM.4.10	Lwathiwani na ke ngoko ukubalelwa kuye? Esekwalukeni, esekungalukini, sini na? Engekhona ekwalukeni; esekungalukini. 
ROM.4.11	Waza wamkela umqondiso wolwaluko, waba litywina lokuqinisa ubulungisa bokholo abenalo esekungalukini: ukuba abe nguyise wabo bonke abakholwayo besekungalukini, ukuze ubulungisa bubalelwe nakubo; 
ROM.4.12	nokuthi abe nguyise wabalukileyo, abanganele ukuba ngabalukileyo nje kodwa; abathi phezu koko bahambe emkhondweni wokholo lobawo wethu uAbraham, abenalo esekungalukini.
ROM.4.13	Kuba ukumbeka ngedinga uAbraham, nokuba yimbewu yakhe, lokuba yindlalifa yalo ihlabathi, bekungengamthetho; bekungobulungisa bokholo. 
ROM.4.14	Kuba abo basemthethweni, ukuba ngabo iindlalifa, ukholo lungaba lwenziwe into engento, nedinga lingaba liphuthisiwe; 
ROM.4.15	kuba umthetho usebenza ingqumbo. Ke apho kungekho mthetho, akukho sigqitho.
ROM.4.16	Ngenxa yoku, 
ROM.4.17	(njengokuba kubhaliwe 
ROM.4.18	Owakholwayo ngethemba, kungekho nethemba eli, ukuze abe nguyise weentlanga ezininzi, ngokoko kwathethwayo: Iya kuba njalo imbewu yakho. 
ROM.4.19	Wathi, engebuthathaka nje ngokholo, akondela emzimbeni wakhe, obuselufile (emayela ekhulwini leminyaka ezelwe), kwanokufa kwesizalo sikaSara; 
ROM.4.20	owathi, ngokusingisele kwidinga likaThixo, akathandabuza ngokungakholwa; wesuka womelela ngokholo, ezukisa uThixo, 
ROM.4.21	eqinisekile ukuba oko akumise ngedinga, unako nokukwenza.
ROM.4.22	Kungoko kwabalelwa nokubalelwa ebulungiseni kuye. 
ROM.4.23	Ke kaloku, ukuba kwabalelwa kuye, akubhalwanga ngenxa yakhe yedwa; 
ROM.4.24	 nangenxa yethu, thina kwakuza kubalelwa kuthi, thina bakholwayo kulowo wamvusayo uYesu iNkosi yethu kwabafileyo; 
ROM.4.25	owanikelwa ngenxa yeziphoso zethu, waza wabuya wavuswa ngenxa yokugwetyelwa kwethu.
ROM.5.1	Ngoko, sigwetyelwe nje ngokwaselukholweni, sinoxolo kuThixo ngayo iNkosi yethu uYesu Kristu; 
ROM.5.2	esaba nako ngaye ukuthi singene ngokholo kolu lubabalo simiyo kulo, siqhayise ngokuthemba uzuko lukaThixo.
ROM.5.3	Asikukuphela ke oko; sizingca nangeembandezelo ezi, sisazi ukuba imbandezelo isebenza unyamezelo; 
ROM.5.4	unyamezelo ke 
ROM.5.5	ithemba ke alidanisi, ngokuba uthando lukaThixo luthululelwe ezintliziyweni zethu ngoMoya oyiNgcwele, esamnikwayo.
ROM.5.6	Kuba uKristu uthe, sakubon' ukuba sisengama-athalala, wabafela ngexesha elimisiweyo abangahloneli Thixo. 
ROM.5.7	Kuba kungángenkankulu ukuthi ubani afele ilungisa; kuba uthi mhlawumbi ubani abe nobuganga bokumfela olungileyo; 
ROM.5.8	ke yena uThixo uqondakalisa okwakhe ukusithanda ngokuthi, sakubon' ukuba sisengaboni, uKristu asifele. 
ROM.5.9	Kokukhona sigwetyelwe nje ngegazi lakhe, siya kusindiswa ngaye kuyo ingqumbo. 
ROM.5.10	Kuba xa sithe, besiziintshaba nje, saxolelaniswa noThixo ngako ukufa koNyana wakhe: kokhona, síxolelanisiwe nje, siya kusindiswa ngobomi bakhe. 
ROM.5.11	Asikukuphela ke oko; singabazingca nokuzingca nangaye uThixo, ngayo iNkosi yethu uYesu Kristu, esamkele ngayo kalokunje uxolelaniso olo.
ROM.5.12	Ngenxa yoko, njengokuba isono sangena ngamntu mnye ehlabathini, kwangena ke ukufa ngaso isono; kwaza ngokunjalo ukufa kwabatyhutyha abantu bonke, ekubeni bonke bonayo; 
ROM.5.13	kuba kude kwakho umthetho, kukho isono ehlabathini, sibe ke isono singabalelwa 
ROM.5.14	Ukufa ke kwalawula, kuthabathela kuAdam kwezisa kuMoses, nakwabo bangonanga ngokufana nesigqitho sika-Adam, oyintsobi yalowo ubeza kubakho.
ROM.5.15	Sisuke isiphoso asaba njengoko sinjalo sona isibabalo. Kuba, xa abaninzi aba bafa sisiphoso salowo mnye, kokukhona ubabalo lukaThixo, nesipho esingobabalo olu lwaló mntu mnye, uYesu Kristu, saphuphumela kubo abaninzi aba. 
ROM.5.16	Kanjalo sona isipho asinjengokuba kwaba njalo ngalowo mnye wonayo. Kuba okunene isigwebo 
ROM.5.17	Kuba, xa kwathi ngesiphoso salowo mnye ukufa kwalawula ngalowo mnye, kokukhona baya kuthi aba bakwamkelàyo ukuphuphuma kobabalo, noko kuphiwa ubulungisa, babe nokulawula ebomini ngaye lo umnye, uYesu Kristu.
ROM.5.18	Ngoko ke, njengokuba kwathi ngasiphoso sinye kwabakho ukugwetywa kwabo bonke abantu, ngokunjalo kothi nangesenzo esinye sobulungisa, kubekho ukugwetyelwa ubomi kubo bonke abantu. 
ROM.5.19	Kuba njengokuba kwathi, ngokungeva komntu omnye lowo, abaninzi benziwa aboni, ngokunjalo kuya kuthi, nangokuva komnye lo, abaninzi benziwe amalungisa. 
ROM.5.20	Ke kaloku umthetho wangena nawo, ukuze isiphoso sande; ke apho sandayo isono, lwaphuphuma ngakumbi ubabalo; 
ROM.5.21	ukuze, njengokuba isono saba nokulawula ngokufa, ngokunjalo nobabalo lube nokulawula ngobulungisa, luse ebomini obungunaphakade, ngaye uYesu Kristu, iNkosi yethu.
ROM.6.1	Masithini na ngoko? Masihlale sihleli na esonweni, ukuze ubabalo lwande? 
ROM.6.2	Nankanye! Thina safayo nje kwisono, singáthini na ukuba sahlala kuso? 
ROM.6.3	Anazi na ukuba thina sonke, sàbhaptizelwayo kuKristu Yesu, sabhaptizelwa ekufeni kwakhe?
ROM.6.4	Ngoko ke sangcwatywa naye ngokubhaptizelwa ekufeni; ukuze, njengokuba uKristu wavuswayo kwabafileyo ngalo uzuko loYise, sithi ngokunjalo nathi sihambe sinobomi obutsha. 
ROM.6.5	Kuba xa similiselwe kuye ngentsobi yokufa kwakhe, somiliselwa kuye nangeyokuvuka kwakhe; 
ROM.6.6	síkwazi nje oku, ukuba umntu wethu omdala wabethelelwa emnqamlezweni kunye naye, ukuze umzimba wesono uphuthiswe, size singabi sasikhonza isono; 
ROM.6.7	kuba owafayo ugwetyelwe, wakhululwa kuso isono.
ROM.6.8	Ukuba ke safa kunye noKristu, siyakholwa ukuba sodla ubomi kwakunye naye; 
ROM.6.9	sisazi ukuba uKristu, evusiwe nje kwabafileyo, akabi safa; ukufa akusamphathi ngabukhosi. 
ROM.6.10	Kuba 
ROM.6.11	Ngokunjalo nani zibaleleni ekuthini, ningabafileyo okunene kwisono; kodwa ningabadla ubomi kuThixo, nikuKristu Yesu, iNkosi yethu.
ROM.6.12	Ngoko isono masingalawuli emzimbeni wenu onokufa, ukuze nisilulamele ngokwenza iinkanuko zawo. 
ROM.6.13	Kanjalo amalungu enu maningawanikeli kuso isono, ukuba abe ziintonga zentswelabulungisa; manizinikele ngokwenu kuThixo, ngokwabaphile babengabafileyo, niwanikele kuThixo amalungu enu, ukuba abe ziintonga zobulungisa. 
ROM.6.14	Kuba isono asiyi kuniphatha ngabukhosi; kuba aniphantsi komthetho, niphantsi kobabalo.
ROM.6.15	Kuthiweni na ngoko? Sone na, kuba singephantsi kwamthetho, siphantsi kobabalo? 
ROM.6.16	Nakanye! Anazi na ukuba lowo nizinikela kuye ukuba ngabakhonzi bokumlulamela, ningabakhonzi ngoku kulowo nimlulamelayo: nokokuba ningabesono, nisingise ekufeni, nokokuba ningabolulamo, nisingise ebulungiseni? 
ROM.6.17	Makubulelwe ke kuThixo, ukuba nithe, beningabakhonzi besono, nawululamela ngokwentliziyo umfuziselo wemfundiso enanikelwayo kuwo; 
ROM.6.18	nathi, nákuba nikhululwe ke kuso isono, nakhonziswa kubo ubulungisa.
ROM.6.19	Ndithetha ngokwabantu, ngenxa yobulwelwe benyama yenu; kuba, njengoko nawanikelayo amalungu enu ukuba abe ngabakhonzi bako ukungcola nokuchasa umthetho, ukuba nichase umthetho: ngokunjalo kalokunje, wanikeleni amalungu enu ukuba abe ngabakhonzi kubo ubulungisa, ukuba ningcwaliseke. 
ROM.6.20	Kuba, oko nibe ningabakhonzi besono, beningabakhululekileyo kubo ubulungisa. 
ROM.6.21	Naye ninasiqhamo sini na ke ngelo xesha, ngezi zinto nineentloni ngazo ngoku? Kuba isiphelo sazo kukufa. 
