MAT.1.1	Kɛse ɓo mɛtjil Isa al‑Masige. Naan̰ *goon Daud ɔɔ goon *Abraam.
EPH.3.18	Bin se maam mꞋje naase ute jee Raagen kuuy se, naase aki kɔŋ jeel mɛtn kando Isa jejeki ɔɔ maak‑je Isan do naajege tu se, ɔk naŋ gur ey se. 
EPH.3.19	Bin jaay naase aki jeel maak‑je al‑Masi kɛn naan̰ ɔk dose ki se cir nakge paac ɔɔ ɔn̰ nakgen jiga kɛn maakŋ maak‑saapm Raa ki se Ꞌɗoocn̰ maak‑saapm naase kici.
EPH.3.20	Taa Raa se naan̰ ɔŋ tɛɗ nakge paac ute ɗoobin̰a ɔɔ nakŋ naan̰ tɛɗ se deel dojege ɔɔ nakgen naan̰ tɛɗjeki se cir nakgen naajege kꞋjeki naan̰ ajeki tɛɗa ɔɔ nakgen se naan̰ lee tɛɗin̰ ute tɔɔgin̰ kɛn maakjege tu. 
EPH.3.21	KꞋtɔɔmin̰ki taa bɛɛ kɛn naan̰ tɛɗn egliz ki ute ɗoobm Isa al‑Masi se. Ɔn̰ jeegen kꞋtoojɗega ɔɔ kɛn jꞋutu jꞋaɗen toojn̰ paac se daayum daayum an̰ tɔɔmɔ. *Amin.
EPH.4.1	Taa naan̰ se ɓo maam kɛn jꞋɔkum daŋgay taa Mɛljege se, mꞋdɛjsen mꞋɔɔ: iŋgki aan gɔɔ kɛn *Raa daŋseno ɗoobin̰ ki. 
EPH.4.2	Maakŋ nakge tun naase aki Ꞌtɛɗn paac se, ɔn̰te magalki rose, ɔn̰ki rose urlu ɔɔ Ꞌtɛɗki jee maakse deere ɔɔ aayki kaamse Ꞌsɛrkki naapa ɔɔ Ꞌjeki naapa. 
EPH.4.3	Aayki kaamse ɔkki taarse kalaŋ ɔɔ ute *Nirl Salal se iŋgki te tɔɔsɛ ute naapa.
EPH.4.4	Jee aalga maakɗe paac do Isa *al‑Masi ki se, naaɗe tɛɗga aan gɔɔ daa ro kalaŋ ute *Nirl Raa kɛn kalaŋ se. Bin se nakŋ kɛn Raa daŋseno ɔɔ aki kɔnd dose do ki se kic ɓo kalaŋ sum. 
EPH.4.5	Naajege paac se Mɛljege kalaŋ sum ɔɔ paac se kꞋdooyjeki te ɗoobm taar Raa kalaŋ sum ɔɔ kꞋpaacki se *kꞋbatizjeki te ɗoobm kalaŋ sum kici. 
EPH.4.6	Raa se naan̰ kalaŋ sum ɔɔ naan̰ ɓo Bubm jeege paac, naan̰ iŋg dojege tu paac, naan̰ tɛɗ naaba maakjege tu paac ɔɔ naan̰ iŋg daanjege tu paac.
EPH.4.7	Num te al‑Masi se Raa se tɛɗjenkiga bɛɛ dɛn aak eyo, ɔɔ naŋa naŋa kic ɓo naan̰ ɛɗin̰ naabin̰ kaam do ron̰ ron̰a. 
EPH.4.8	Aan gɔɔ kɛn kꞋdooy maakŋ Kitap ki kɛn taaɗ ɔɔ:
EPH.4.9	Taar kɛn taaɗ ɔɔ: «Naan̰ ook ɓaaga raan se» je ɗeekŋ ɔɔ ɗio? Kɛse je ɗeekŋ ɔɔ naan̰ bɔɔy ɓaaɗoga do naaŋ ki ara. 
EPH.4.10	Debm bɔɔy ɓaaɗo do naaŋ ki se ɓo, naan̰ se ɓo kɛn ɔk tɛrl ɓaaga maakŋ raa ki raan taa gɔtɔ ɓaa se paac, naan̰ utu. 
EPH.4.11	Naan̰ ɓo debm nig naabin̰ jikilimge tu gɛn tɛɗa. Jee mɛtin̰ge naan̰ tɛɗɗen jee kaan̰ naabin̰ge, kɛngen mɛtin̰ge naan̰ tɛɗɗen jee taaɗ taar teeco taar Raa ki, jee mɛtin̰ge naan̰ tɛɗɗen jee ɓaa wɔɔkŋ Labar Jiga, ɔɔ kɛngen mɛtin̰ge naan̰ tɛɗɗen jee gaam jeege ɔɔ jee kuuy lɛ jee dooy jeege. 
EPH.4.12	Raa tɛɗ naan̰ se taa noogŋ jee Raage Ꞌtɛɗn kaasn naabm Raa, taa jee Raagen kɛn tɛɗga aan gɔɔ ro al‑Masi se Ꞌziiɗn ɓaa ute naanɗe. 
EPH.4.13	Bin jaay naajege jꞋaki tum tɛɗn kalaŋ taa naajege jꞋaalkiga maakjege do Goon Raa ki ɔɔ kꞋjeelin̰kiga. Te naan̰ se jaay naajege jꞋaki kaasn jee Raagen mala mala aan gɔɔ al‑Masi.
EPH.4.14	Bin se, jꞋaki kɔŋ tɛɗn aan gɔɔ gaangen sɛɛm ey sum. Taa naan̰ se jeegen aan̰ jeege dal se ajeki kɔŋ dɛrl gɛn kuun taargen rɛn̰ rɛn̰ se eyo, ɔɔ jꞋaki kɔŋ tɛɗn aan gɔɔ nakgen do maane kɛn kuulu tuun ɓaanɗen taa tɔɔgɔ kaam ara kaam ara se eyo. 
EPH.4.15	Num gaŋ Ꞌtaaɗki taar mɛt ki ute naapa ɔɔ ute maak‑jea, taa jꞋutu jꞋaki kaasn aan gɔɔ al‑Masi mala, naan̰ kɛn do jee Raage. 
EPH.4.16	Naan̰ ɓo debm tus jeen̰ge paac tum tɛɗɗenga tɛɗga aan gɔɔ daa ro kalaŋ. Aan gɔɔ ro debkilim kɛn taa sɛɗin̰ge tumɗe ute naapa se, kɛn debkilimi jaay paac ron̰ lapia se teepe ɔɔ ute jee Raage kic ɓo tec bini, kɛn naaɗe jaay je naapa se tɛɗ bɛɛ ɓaa ute naanɗe.
EPH.4.17	ꞋBooyki taar maam mꞋasen taaɗ se ute ro Mɛljege mꞋɗeeksen mꞋɔɔ: ɔn̰te Ꞌkiŋgki aan gɔɔ jeegen jeel Raa mal ey se. Taa nakgen naaɗe iŋg saap ro ki paac se nakgen rɛn̰ rɛn̰ cɛrɛ. 
EPH.4.18	Maak‑saapm naaɗege se maak‑saapm jig eyo, ɔɔ kaajn̰ kɛn jaay Raa ɛɗ jeen̰ge tu se, naaɗe ɔk eyo. Taa naaɗe se tɛɗga jee do mɔŋgge ɔɔ ɗim tap ɓo naaɗe jeel eyo. 
EPH.4.19	Kɛn tɛɗ nakŋ *kusin̰ kic ɓo doɗege dirin̰ɗen eyo, naaɗe ɔn̰ roɗege ɓo gɛn je mɛndge ute gaabge. Naaɗe tɛɗ nakŋ sɔkɔn̰ge ɔɔ tɛɗin̰ ɓaa ute naanɗe sak sak.
EPH.4.20	Gaŋ naase se, kiŋg tec bin se ɗoobm al‑Masi ki se kꞋdooyseno te eyo. 
EPH.4.21	Ɗeere, naase se kꞋtaaɗsen Ꞌbooykiga taarin̰a ɔɔ Ꞌtɛɗkiga kalaŋ te Isa al‑Masi ɔɔ kꞋdooysenga ute taar mɛt ki gɛn Isa. 
EPH.4.22	Kɛn bin num kiŋgsen do dɔkin̰ se Ꞌrɛsŋki naatn. Do dɔkin̰ se naase iŋgki ɓo gɛn saapm do nakge tun jig eyo kalin̰ ki ɔɔ maak‑saapsegen jig ey se lee tɛɗsen naase jee dɛrlge. Gaŋ ɓɔrse kiŋgsen do dɔkin̰ se Ꞌrɛsŋki aan gɔɔ kal koono kɛn kꞋjꞋɔɔɗ kꞋjꞋundin̰ naatn se. 
EPH.4.23	Ɔn̰ki Raa ɓo asen tɛrl maakse ɔɔ asen kɛɗn maak‑saapm kiji. 
EPH.4.24	Aan gɔɔ iin̰kiga num Ꞌtuuski kal kiji se, naase kic Ꞌtɛɗki aan gɔɔ jikilimgen kiji. Jikilimgen kijin ese se, kɛse Raa mala ɓo tɛɗɗeno aan gɔɔ kɛn naan̰ jen ro ki: ɔɔ taar mɛt ki se tɛɗɗen naaɗe tɛɗga jee *salal ɔɔ jee tɛɗ nakge te ɗoobin̰a.
EPH.4.25	Taa naan̰ se taar‑kɔɔɓɔ se rɛsŋki naata ɔɔ naŋa naŋa kic ɓo taaɗ taar mɛt ki naapin̰ ki, taa naajege se kꞋtɛɗkiga aan gɔɔ daa ro kalaŋ. 
EPH.4.26	Kɛn Ꞌtɛɗkiga maak‑taara se, ɔn̰te Ꞌkɔn̰ki maak‑taara se asen kɔl aki tɛɗn kusin̰a. Kɛn bin num ɔn̰te Ꞌtooɗki ute maak‑taarse maakse ki. 
EPH.4.27	Ɔn̰te kɔn̰ki ɗoobo *Ɓubm sitange tu. 
EPH.4.28	Jee ɓoogge se mɔɔtn jꞋɔn̰te ɓoogo num gaŋ jꞋaay kaamɗe kꞋtɛɗ naaba ute jiɗege mala gɛn kɔsɗe ɔɔ taa kꞋkɔŋ ɗim jꞋan noogŋ jeegen ɔk ɗim ey se kici. 
EPH.4.29	Taar iŋg kus se ɔn̰te Ꞌteecn̰ taarse ki, num Ꞌtaaɗki taargen jiga kɛn Ꞌnoogŋ jeege ɔɔ aɗen tɛɗn jee bɛɛ ɗoobm Raa ki ɓaa ute naanɗe. Bin num kɛn aki taaɗn taara se, Ꞌtaaɗki taar kɛn kɔŋ dɛjn̰ jeegen lee booysen taarse se. 
EPH.4.30	Nirl Salal kɛn Raa ɛɗsen se, ɔn̰te Ꞌtujin̰ki maakin̰a taa Nirl Salal ese ɓo kɛn tɛɗsen naase Ꞌtɛɗkiga jee Raage. Naan̰ se ɓo kɛn ɓii kalaŋ utu ajeki kaajn̰ mala mala. 
EPH.4.31	Taar maak‑taara se ɔɔɗin̰ki naatn maakse ki, ɔn̰te Ꞌtɛɗki taamooyo ute nam, maakse ɔn̰te taarse do nam ki, ɔn̰te Ꞌmooyki ute naapa, ɔn̰te Ꞌnaajki nam ɔɔ kusin̰a paac se, ɔɔɗin̰ki naatn maakse ki. 
EPH.4.32	Anum Ꞌtɛɗki bɛɛ ute naapa ɔɔ ɛɛjki do naapge tu. Ɔkki naagŋ naapge aan gɔɔ ute al‑Masi, Raa tɔɔlsenga kusin̰sege se.
EPH.5.1	Iŋgki aan gɔɔ kiŋg gɛn *Raa, taa naase se Ꞌtɛɗkiga gɛnin̰gen kɛn naan̰ jeɗe. 
EPH.5.2	Iŋgki te maak‑jea aan gɔɔ *al‑Masi jejeki, naan̰ kɛn ɔn̰ ron̰ ooy taa naajege ɔɔ ɛɗ ron̰ *sɛrkɛ ɔɔ sɛrkŋ naan̰ se tec aan gɔɔ itir oot nijim kɛn tɔɔl Raa ki.
EPH.5.3	Ɓɔrse naase Ꞌtɛɗkiga jee Raage se, ɔn̰te Ꞌjeki mɛndge ɔɔ mɛndge lɛ ɔn̰te je gaabge, ɔn̰te Ꞌtɛɗki nakŋ kɛn asen tujn̰ naan Raa ki, ɔn̰te Ꞌtɛɗki jee tamage ɔɔ nakgen bin se, maanin̰ kic ɓo ɔn̰te Ꞌkɔɔski. 
EPH.5.4	Nakŋ sɔkɔn̰ge ute nakgen jig eyo ute taargen gɛn taaɗ ey se, ɔn̰te Ꞌkɔɔski maanin̰a. Num gaŋ naase se Ꞌtɔɔmki Raa. 
EPH.5.5	ꞋJeelki jee je mɛndge ute jee je gaabge, jee tɛɗ nakŋ kɛn tujɗe naan Raa ki, ute jee tamage se kɔŋ kɛnd maakŋ gaar al‑Masi ki eyo ɔɔ ute gɛn Raa ki eyo. Taa jee tamage se, tama se tɛɗɗenga aan gɔɔ maragɗe.
EPH.5.6	Ɔn̰te Ꞌkɔn̰ki jeege asen dɛrl ute taargen rɛn̰ rɛn̰ se. Nakgen bin se ɓo kɛn ɔl Raa maakin̰ taarin̰a do jeege tun baate tookŋ taarin̰ se. 
EPH.5.7	Jee bin se ɔn̰te Ꞌkɔlki dose maakŋ taarɗege tu. 
EPH.5.8	Taa do dɔkin̰ se naase iŋgkiro maakŋ gɔt kɛn ɔɔɗɔ, num ɓɔrse se Ꞌtɛɗkiga kalaŋ ute Mɛljege se naase Ꞌɓaakiroga maakŋ gɔt kɛn wɔɔrɔ. Bin se iŋgki aan gɔɔ jeegen iŋg maakŋ gɔt kɛn wɔɔrɔ. 
EPH.5.9	Taa gɔtn wɔɔr se tɛɗ jeege tɛɗ nakŋ bɛɛ, nakŋ ute ɗoobin̰a ɔɔ kɛn mɛt ki. 
EPH.5.10	ꞋSaap ɔŋki nakŋ jiga kɛn tɔɔl Mɛljege tu. 
EPH.5.11	Ɔn̰te Ꞌkɔlki dose maakŋ naabm jeege tun tɛɗ nakgen rɛn̰ rɛn̰ maakŋ gɔtn kɛn ɔɔɗ se. Num gaŋ nakɗegen jig ey se Ꞌtaaɗɗesin̰ki tal tal. 
EPH.5.12	Taa jee se nakgen naaɗe tɛɗin̰ ɔyin̰ kɔy se kɛn jꞋuunga maanin̰ kic ɓo ɔl sɔkɔn̰ Ꞌtɔɔljeki. 
EPH.5.13	Gaŋ nakgen naaɗe tɛɗ se jaay mɛtin̰ teecga ɔɔ ɓaaɗo gɔtn wɔɔr se jꞋaak kꞋjeelɗe tal tal, 
EPH.5.14	taa nakŋ ɓaaɗoga gɔtn wɔɔr se naan̰ tooɗ tal. Taa naan̰ se ɓo jeege taaɗ ɔɔ:
EPH.5.14	Naai debm kɛn Ꞌtooɗ tooɗ bi se iin̰i,
EPH.5.14	Ꞌdur daan yoge tu,
EPH.5.14	ɔɔ al‑Masi ai wɔɔr gɔtɔ.
EPH.5.15	Kɛn bin num iŋg ɔndki kɔndɔ ɔn̰te kiŋgki aan gɔɔ jee dɛrlgen jeel ɗim ey se. Num gaŋ iŋgki aan gɔɔ jee mɛtɛkge. 
EPH.5.16	Taa ɓɔrse gɔtɔ tujga, bin se daayum kɛn kaaɗin̰ jaay utu se, naase aayki kaamse Ꞌtɛɗki nakŋ jiga. 
EPH.5.17	Ɔn̰te Ꞌkaan̰ki rose dala, num gaŋ aayki kaamse booy ɔkki nakŋ kɛn Mɛljege maakin̰ jen ro ki. 
EPH.5.18	Ɔn̰te kaay Ꞌkoonki ey num kaaye koono se asen tuju. Num gaŋ ɔn̰ki *Nirl Salal ɓo asen ɗoocn̰ maakse. 
EPH.5.19	Taa naan̰ se naase paac aarki kaagen gɛn tɔɔm Mɛljege, gɛn magal Raa ɔɔ kaagen se aarɗeki ute tɔɔgŋ Nirl Salal, kaagen se aarɗeki ute maakse paac gɛn de Mɛljege. 
EPH.5.20	Daayum taa nakgen se paac se Ꞌtɔɔmki Raa Bubu ute ro Mɛljege Isa al‑Masi.
EPH.5.21	Naasen paacn̰ Ꞌtookkiga taar al‑Masi se, Ꞌbooy uunki taar naapa. 
EPH.5.22	Naase mɛndge se Ꞌbooy uunki taar gaabsege aan gɔɔ kɛn naase lee Ꞌbooy uunki taar Mɛljege. 
EPH.5.23	Taa gaaba se naan̰ ɓo do mɛndin̰ ki aan gɔɔ al‑Masi do *egliz ɔɔ egliz se lɛ aan gɔɔ ron̰ mala ɔɔ naan̰ ɓo Debm Kaajin̰a. 
EPH.5.24	Aan gɔɔ egliz Ꞌbooy uun taar Isa al‑Masi se, mɛndge kic kꞋbooy kꞋjꞋuun taar gaabɗege do nakge tu paac.
EPH.5.25	Naase gaabge kic Ꞌjeki mɛndsege aan gɔɔ al‑Masi je egliz bini ɔn̰ ron̰ ooy taa naan̰ se. 
EPH.5.26	Naan̰ tɛɗin̰ naan̰ se taa naan̰ je an̰ tɛɗin̰ naan̰ Ꞌtɛɗn *salal ɔɔ naan̰ *tug ɗaapin̰ ute taarin̰ aan gɔɔ maan kɛn tug ɗaap nakge aak bɛɛ se. 
EPH.5.27	Naan̰ je egliz aɗe ɓaa naanin̰ ki se, kɛn jꞋaakin̰ga kic ɓo jꞋan̰ tɔɔmɔ, ɗim aak kus tap ɓo ron̰ ki gɔtɔ, aak bɛɛ walak walak ɔɔ ɔk tuju ron̰ ki eyo. Naan̰ je egliz se Ꞌtɛɗn salal ɔɔ ɔk taar ɗim iŋg kus ron̰ ki eyo. 
EPH.5.28	Bin ɓo gaaba kic Ꞌje mɛndin̰a aan gɔɔ ron̰ mala, taa debm je mɛndin̰ se je ro naan̰ malin̰a. 
EPH.5.29	Ɓii kalaŋ nam tap ɓo baat te ron̰ eyo, num gaŋ ron̰ se naan̰ ulin̰a ɔɔ saap do ki, aan gɔɔ Isa al‑Masi kɛn saap do egliz ki se. 
EPH.5.30	Taa naajege paac se kꞋtum kꞋtɛɗkiga ron̰a. 
EPH.5.31	Taa Kitap taaɗ ɔɔ: 
EPH.5.32	*Mɛtn taar kꞋjeel mɛtin̰ ey ese se, magal aak eyo. Maam mꞋtaaɗsen naan̰ ese se mꞋje taaɗn mɛtn taar al‑Masi ute gɛn egliz. 
EPH.5.33	Bin se naase gaabge se naŋa naŋa kic ɓo Ꞌje mɛndin̰a aan gɔɔ ron̰ mala ɔɔ mɛndge se naŋa naŋa kic ɓo n̰Ꞌsook gaabin̰ ki.
EPH.6.1	Gaange, Ꞌtookki taar kɛn̰sege ute gɛn bubsege, kɛse ɓo nakŋ ɗoobin̰ ki kɛn Mɛljege jea. 
EPH.6.2	Taa Kitap taaɗ ɔɔ: 
EPH.6.3	.
EPH.6.4	Naase bubm gaange se, ɔn̰te Ꞌtujki maakŋ gɛnsege, num gaŋ gɛnsege se aakɗeki doɗege tu ɔɔ Ꞌdɛj ɔndɗeki ɗoob ki aan gɔɔ ɗoobm kɛn Mɛljege taaɗseni.
EPH.6.5	Naase ɓulge se Ꞌtookki taar mɛlsegen do naaŋ ki, Ꞌsookɗeki, Ꞌɓeerɗeki ɔɔ Ꞌtɛɗɗeki naabɗege ute maakse paac aan gɔɔ kɛn naase Ꞌtɛɗki *al‑Masi ki. 
EPH.6.6	ꞋTɛɗɗeki naaba naanɗe ki sum eyo, aan gɔɔ naase Ꞌjeki jikilimge ɓo asen tɔɔmɔ. Num Ꞌtɛɗɗeki naaba aan gɔɔ naase ɓul al‑Masige ɔɔ Ꞌtɛɗin̰ki te maakse paac aan gɔɔ kɛn *Raa maakin̰ jen ro ki. 
EPH.6.7	ꞋTɛɗɗeki naaba ute maakse paac aan gɔɔ naase Ꞌtɛɗki naabm Mɛljege, num aan gɔɔ gɛn jikilimge eyo. 
EPH.6.8	Taa naase Ꞌjeelki kɛn nam ɓulu lɔ ɓul eyo kic ɓo ɔn̰te Ꞌdirigki taa debm tɛɗn naabm jiga se, naabin̰ jiga kɛn naan̰ tɛɗ se utu an̰ kɔŋin̰ gɔtn Mɛljege tu.
EPH.6.9	Naase mɛlɗege se kic Ꞌtɛɗki bɛɛ ɓulsege tu, ɔn̰te Ꞌdabarɗeki. Ɔn̰te Ꞌdirigki taa naase ute ɓulsege se paacki se Mɛlse ɓo kalaŋ kɛn maakŋ raa kɛn ese sum. Naan̰ kɛn debm bɛɛr nam eyo.
EPH.6.10	Ɓɔrse se maam mꞋje mꞋnaŋ taaruma: ɔkki maakse tɔɔgɔ ute tɔɔgŋ gɛn Mɛljege, taa Mɛljege se tɔɔg cir nakge paac. 
EPH.6.11	ꞋDirin̰ki jisege tu nakgen kɛn Raa ɛɗsen gɛn tɛɗn bɔɔrɔ ɔɔ ɔkin̰ki jiga, taa kɛn Bubm sitange asen dɛrl kic ɓo ute naan̰ se naase aki Ꞌɗaar tɔɔgɔ. 
EPH.6.12	Kuɗn bɔɔr naajege se ute jikilimge eyo, num kuɗn bɔɔr naajege se ute sitange kɛn utu tiŋg daan maakŋ raa ute do naaŋa, naaɗe se ɓo kɛn utu iŋg maakŋ gɔt kɛn ɔɔɗɔ ɔɔ ɔk tɔɔgɔ do jeege tu se. 
EPH.6.13	Taa naan̰ se Ꞌdirin̰ki nakgen kɛn Raa ɛɗjeki gɛn kuɗn bɔɔrɔ ute sitange se, taa kɛn bɔɔr se tɛɗga ɔɔn̰ kic num, naase aki Ꞌɗaar tɔɔgɔ ɔɔ aki kɔŋ kaan̰ eyo. 
EPH.6.14	Bin num iin̰ki raan ɔɔ Ꞌtaaɗki taar mɛt ki, taa taar mɛt ki se naan̰ aan gɔɔ kɔl maakŋ kɛn asgarge lee dɔɔkŋ maakɗege ɔɔ Ꞌtɛɗki nakgen ute ɗoobin̰a taa nakgen ute ɗoobin̰ se tec aan gɔɔ debm uus saapo. 
EPH.6.15	ꞋLee Ꞌtaaɗki Labar Jigan kɛn ɛɗ lapi jeege tu, naan̰ se tec aan gɔɔ jeegen tɔl saa jɛɗege tu. 
EPH.6.16	Ɔɔ daayum aalki maakse do Mɛljege tu Isa *al‑Masi ki; kɛse aan gɔɔ uun darga ɓo ji ki. Bin se gaan kꞋpɛndɛkgen kꞋtɔlɗenga tɔl pooɗn jaay Bubm sitange je ansen tɔɔb se, darga se gaasn gaan kꞋpɛndɛkge se asen kɔŋ eyo. 
EPH.6.17	Kaajn̰ kɛn Raa aajse naase se, tec aan gɔɔ laatn asgargen lee tɔnd doɗege tu jaay lee bɔɔbɗe gɔtn bɔɔr ki se. Uunki taar Raa se jisege tu, naan̰ se ɓo aan gɔɔ gɔrɗ‑jɛrl kɛn *Nirl Salal ɛɗseni.
EPH.6.18	Daayum Ꞌtɔndki mɛtn Raa ɔɔ kɛn aki tɔnd mɛta lɔ aki keem Raa se, ɔn̰ki Nirl Salal ɓo asen tɔɔɗɔ. Daayum iŋgki zɛɛrɛ ɔɔ Ꞌtɔndki mɛtn Raa taa jee Raage paac. 
EPH.6.19	ꞋTɔndki mɛtn Raa taa maam kici taa Raa se am kɛɗn jeel mꞋan taaɗn taara kic ɓo mꞋɓeer eyo ɔɔ kɛse ɓo Labar Jigan gɛn Isa al‑Masi kɛn *kꞋjeel mɛtin̰ ey se. 
EPH.6.20	Taa naan̰ se ɓo ɓɔrse maam jꞋɔkum mꞋutu mꞋiŋg daŋgay ki ara gɔɔ Isa al‑Masi ki gɛn taaɗn taarin̰ se jeege tu. Bin num naase Ꞌtɔndki mɛtn Raa taa maama, taa kɛn mꞋtaaɗn taarin̰ kic ɓo mꞋɓeer eyo.
EPH.6.21	Tisik, gɛnaajegen kɛn maam mꞋjen̰a ɔɔ kɛn tɛɗ naabm Isa *al‑Masi ute ɗoobin̰ se, naan̰ ɓo asen ɓaa taaɗn labaruma ɔɔ ute naan̰ se naase aki Ꞌjeel kici naabum kɛn maam lee mꞋtɛɗa. 
EPH.6.22	Maam mꞋɔlin̰ gɔtse ki tap ɓo taa naan̰ asen ɓaa taaɗn labarje ɔɔ asen ɓaa kɛɗn kaay kaama kici.
EPH.6.23	Ɔn̰ Raa Bubu ute Mɛljege Isa al‑Masi se asen Ꞌkɛɗn tɔɔsɛ ɔɔ maak‑jea ɔɔ asen tɛɗn naase aki kaal maakse paac do Raa ki. 
EPH.6.24	Ɔn̰ Raa Ꞌtɛɗn bɛɛn̰a jeege tun paacn̰ je Mɛljege Isa al‑Masi ute maak‑je kɛn naŋ ey se.
PHP.1.1	Maktubm se maam Pɔl ɓo mꞋraaŋsesin̰a, maam mꞋute Timote, naaje se jee tɛɗn naabm Isa al‑Masige, kꞋraaŋsen naase jee Raage tu kɛn iŋg dɔɔk ute Isa *al‑Masi, magalsegen naanse ki ute jeegen lee tɛɗn naaba daanse ki kɛn maakŋ gɛgɛr kɛn Pilip ki. 
PHP.1.2	Ɔn̰ Bubjege *Raa ute Mɛljege Isa al‑Masi asen tɛɗn bɛɛɗe ɔɔ asen kɛɗn lapia.
PHP.1.3	Daayum kɛn maam jaay mꞋsaap do naase ki se maam mꞋtɔɔm Raama. 
PHP.1.4	Daayum kɛn maam mꞋɓaa mꞋtɔnd mɛtn Raa taa naase paac se, maam mꞋeemin̰ ute maak‑raapo, 
PHP.1.5	taa naase Ꞌlee Ꞌnoogumki noog gɛn taaɗn Labar Jiga gɛn Isa *al‑Masi se jeege tu ɔɔ naase Ꞌtɛɛskiro kaaɗ kɛn naase utu Ꞌtook aalkiro kaal maakse do Isa al‑Masi ki, bini ɓɔrse kic utu lee Ꞌtɛɗin̰ki tɛɗ rɔk. 
PHP.1.6	Ɗeere, maam mꞋjeel maakum ki Raa kɛn tɛɗ naabin̰ jiga daanse ki se, bini ɓii kɛn Isa al‑Masi ano ɓaa ro ki se, naan̰ utu an̰ tɛɗn kaasn tak. 
PHP.1.7	Kɛse ɓo nakŋ kɛn ɔlum maam mꞋsaap dose ki taa naase se jee kɔɔn̰ maakumge ɔɔ naabjege se tɛɗga kalaŋ ɔɔ naabm se ɓo kɛn Raa ɛɗumo gɛn taaɗn Labarin̰ Jiga se jeege tu. Kɛn maam maakŋ daŋgay ki, lɔ naan jeege tun baate taar Raa se mꞋtaaɗɗen Labar Jigan gɛn Isa al‑Masi ɔɔ kɛn mꞋɓaa taaɗa se mꞋɓeer eyo ɔɔ mꞋtaaɗɗesin̰ ute tɔɔgum paac. 
PHP.1.8	Ɗeere, Raa se jeele naase paacki se, maam mꞋjese dɛn bɛɛ eyo ute maak‑je gɛn Isa al‑Masi se.
PHP.1.9	Kɛse ɓo kɛn maam mꞋɓaa keem Raa taa naase num, mꞋlee mꞋtɔnd mɛta mꞋɔɔ Raa asen kɛɗn maak‑jea ɔɔ daayum naase aki kɔkŋ naapa ɔɔn̰ɔ. Ute naan̰ se jaay naɓo, naase aki jeel kɔkŋ Raa se jiga ɔɔ aki jeel kiŋg jiga naan Raa ki, 
PHP.1.10	taa naan̰ se jaay naase aki Ꞌjeel bɛɛr kaakŋ kɔkŋ nakŋ kɛn jiga. Bin se naase aki tɛɗn jee *salal ɔɔ jee ɔk taar ɗim roɗe ki eyo ɓii kɛn al‑Masi ano ɓaa ro ki se. 
PHP.1.11	Ute Isa al‑Masi se daayum naase aki lee tɛɗn nakgen ute ɗoobin̰a. Kɛn nakgen naase aki tɛɗn se jaay jeege aakga se, naaɗe Ꞌtɔɔm Raa ɔɔ an̰ magala.
PHP.1.12	Ɓɔrse gɛnaamge, maam mꞋje naase aki jeele nakgen jaay paacn̰ aan dom ki gɔtn ara se, ɔl jeege booyga Labar Jigan gɛn Isa al‑Masi se ɔɔ taar se wɔɔk ɓaaga ute naanin̰a. 
PHP.1.13	Taa asgargen lee bɔɔb ɓee magal *Rɔmɛge ute jee kɛn iŋg gɔtn ese se ɔɔ ute jeegen iŋg gɔt kuuy paac se, ɓɔrse naaɗe jeele maam se jꞋɔkum daŋgay ki se taa al‑Masi. 
PHP.1.14	Ɔɔ kɔkŋ maam jꞋɔkum daŋgay ki se ɔl gɛnaage dɛna dɔɔkga maakɗe do Mɛljege tu ɔɔ naaɗe ɓeer eyo aay kaamɗe ɓaa te naanɗe gɛn taaɗn taar Raa jeege tu.
PHP.1.15	Gaŋ maakɗe ki se jee mɛtin̰ge se lee taaɗ taar gɛn Isa al‑Masi jeege tu se, naaɗe aak naabum maam mꞋtɛɗ se ɓo, naaɗe nini rom ki, ɔɔ je jeege se aɗe ɓaa mɛtn naaɗe ki. Num gaŋ kɛngen mɛtin̰ge se taaɗin̰ te maak‑saapm jiga. 
PHP.1.16	Naaɗe se taaɗ Labar Jiga gɛn Isa al‑Masi se taa naaɗe jema. Taa naaɗe jeele maam jꞋɔkum daŋgay ki se taa Labar Jiga gɛn Isa al‑Masi kɛn maam mꞋlee taaɗ jeege tu se taar mɛt ki. 
PHP.1.17	Gaŋ je kɛn nini rom ki se, taaɗ taar gɛn al‑Masi jeege tu kic ɓo taaɗin̰ ute taar nia. Maak‑saapm naaɗe se maak‑saapm jig eyo. Kɛn naaɗe jaay tɛɗn bin se saap ɔɔ daan am ziiɗn dubar maam maakŋ daŋgay ki do ki. 
PHP.1.18	Gaŋ nakŋ naaɗe tɛɗ paac se ɔlum ɗim eyo! Kɛn naaɗe taaɗ taar gɛn Isa al‑Masi se kɛn nini ɓo rom ki lɔ taaɗin̰ ute maak‑saapm jiga, kɛn bɛɛ cir paac se, taar gɛn al‑Masi se kꞋtaaɗin̰ga jeege tu. Taa naan̰ se maam maakum‑raapo ɔɔ daayum ɓɔrse kic maakum utu raap‑raap rɔk. 
