GEN.1.1	La început Dumnezeu a creat cerul și pământul.
EZK.45.2	Din aceasta să fie pentru sanctuar cinci sute 
EZK.45.3	Și din această măsură să măsori lungimea a douăzeci și cinci de mii și lățimea de zece mii; și în ea va fi sanctuarul 
EZK.45.5	Și douăzeci și cinci de mii în lungime și zece mii în lățime să aibă de asemenea leviții pentru ei înșiși, servitorii casei, ca stăpânire, pentru douăzeci de camere.
EZK.45.6	Și să rânduiți stăpânirii cetății, cinci mii în lățime și douăzeci și cinci de mii în lungime, în fața darului 
EZK.45.7	Și o 
EZK.45.8	Stăpânirea lui în Israel va fi din țară; și prinții mei să nu mai oprime pe poporul meu; și 
EZK.45.9	Astfel spune Domnul DUMNEZEU: Fie-vă destul, prinți ai lui Israel; îndepărtați violența și jaful și faceți judecată și dreptate; îndepărtați pretențiile voastre excesive de la poporul meu, spune Domnul DUMNEZEU.
EZK.45.10	Să aveți balanțe drepte și o efă dreaptă și un bat drept.
EZK.45.11	Efa și batul să fie de aceeași măsură, încât batul să conțină a zecea parte dintr-un homer și efa a zecea parte dintr-un homer, măsura lor să fie după homer.
EZK.45.12	Și șekelul 
EZK.45.13	Acesta 
EZK.45.14	Referitor la rânduiala untdelemnului, batul untdelemnului, 
EZK.45.15	Și un miel din turmă, dintre două sute, din pășunile grase ale lui Israel, ca dar de mâncare și ca ofrandă arsă și ca ofrande de pace, ca să facă împăcare pentru ei, spune Domnul DUMNEZEU.
EZK.45.16	Tot poporul țării să dea acest dar pentru prințul din Israel.
EZK.45.17	Și să fie partea prințului 
EZK.45.18	Astfel spune Domnul DUMNEZEU: În 
EZK.45.19	Și preotul să ia din sângele ofrandei pentru păcat și să 
EZK.45.20	Și astfel să faci și în a șaptea 
EZK.45.21	În 
EZK.45.22	Și în acea zi prințul să pregătească pentru el însuși și pentru tot poporul țării un taur 
EZK.45.23	Și în cele șapte zile ale sărbătorii să pregătească zilnic o ofrandă arsă pentru DOMNUL: șapte tauri și șapte berbeci fără cusur, în cele șapte zile; și un ied dintre capre 
EZK.45.24	Și să pregătească un dar de mâncare dintr-o efă pentru un taur și o efă pentru un berbec și un hin de untdelemn pentru o efă.
EZK.45.25	În 
EZK.46.1	Astfel spune Domnul DUMNEZEU: Poarta curții interioare care dă spre est să fie închisă în cele șase zile lucrătoare; dar în sabat să fie deschisă și în ziua de lună nouă să fie deschisă.
EZK.46.2	Și prințul să intre pe calea porticului 
EZK.46.3	Tot la fel, poporul țării să se închine la ușa acestei porți înaintea DOMNULUI, în sabate și la lunile noi.
EZK.46.4	Și ofranda arsă pe care prințul o va aduce DOMNULUI în ziua de sabat 
EZK.46.5	Și darul de mâncare 
EZK.46.6	Și în ziua lunii noi 
EZK.46.7	Și să pregătească un dar de mâncare, o efă pentru un taur și o efă pentru un berbec și pentru miei conform cu cât mâna lui va ajunge și un hin de untdelemn pentru o efă.
EZK.46.8	Și când prințul va intra, să intre pe calea porticului 
EZK.46.9	Dar când poporul țării va veni înaintea DOMNULUI la sărbătorile solemne, cel care intră pe calea porții de nord să se închine, să iasă pe calea porții de sud; și cel care intră pe calea porții de sud, să iasă pe calea porții de nord; să nu se întoarcă pe calea porții pe care a intrat, ci să iasă pe cea din fața acesteia.
EZK.46.10	Și prințul să intre în mijlocul lor când ei intră; și când ei ies, să iasă 
EZK.46.11	Și la sărbători și la solemnități darul de mâncare să fie o efă pentru un taur și o efă pentru un berbec; și pentru miei cât este în stare să dea; și un hin de untdelemn pentru o efă.
EZK.46.12	Și când prințul va pregăti o ofrandă arsă de bunăvoie sau ofrande de pace de bunăvoie pentru DOMNUL, 
EZK.46.13	Tu să pregătești zilnic o ofrandă arsă DOMNULUI 
EZK.46.14	Și să pregătești un dar de mâncare pentru acesta în fiecare dimineață, a șasea parte dintr-o efă și a treia parte dintr-un hin de untdelemn pentru a înmuia floarea făinii; un dar de mâncare neîncetat printr-o rânduială continuă DOMNULUI.
EZK.46.15	Astfel ei să pregătească mielul și darul de mâncare și untdelemnul, în fiecare dimineață 
EZK.46.16	Astfel spune Domnul DUMNEZEU: Dacă prințul dă un dar unuia dintre fiii săi, această moștenire să fie a fiilor săi, 
EZK.46.17	Dar dacă dă un dar din moștenirea sa unuia dintre servitorii săi, atunci acesta să fie al lui până în anul libertății; după aceasta să se întoarcă la prinț; dar moștenirea lui să fie a fiilor săi pentru ei.
EZK.46.18	Mai mult, prințul să nu ia din moștenirea poporului prin oprimare, pentru a-i alunga din stăpânirea lor, 
EZK.46.19	După aceea m-a dus prin intrarea care 
EZK.46.20	Apoi mi-a spus: Acesta 
EZK.46.21	Atunci m-a scos în curtea exterioară și m-a făcut să trec prin cele patru colțuri ale curții; și, iată, în fiecare colț al curții 
EZK.46.22	În cele patru colțuri ale curții 
EZK.46.23	Și 
EZK.46.24	Apoi el mi-a spus: Acestea 
EZK.47.1	După aceasta m-a dus din nou la ușa casei și, iată, ape ieșeau de sub pragul casei spre est, pentru că fața casei 
EZK.47.2	Apoi m-a dus pe calea porții dinspre nord și m-a condus împrejurul căii de afară până la poarta exterioară spre calea care dă spre est; și, iată, curgeau ape pe partea dreaptă.
EZK.47.3	Și când bărbatul care avea frânghia în mână a ieșit spre est, a măsurat o mie de coți și m-a trecut prin ape; apele 
EZK.47.4	Din nou a măsurat o mie și m-a trecut prin ape; apele 
EZK.47.5	După aceea a măsurat o mie; 
EZK.47.6	Și mi-a spus: Fiu al omului, ai văzut 
EZK.47.7	Acum, când m-am întors, iată, pe malul râului 
EZK.47.8	Apoi mi-a spus: Aceste ape ies spre țara de est și coboară înspre deșert și se varsă în mare, 
EZK.47.9	Și se va întâmpla, 
EZK.47.10	Și se va întâmpla, 
EZK.47.11	Dar locurile ei noroioase și mlaștinile ei nu vor fi vindecate; vor fi date pentru sare.
EZK.47.12	Și lângă râu, pe malul lui, de o parte și de cealaltă parte, vor crește tot 
EZK.47.13	Astfel spune Domnul DUMNEZEU: Aceasta 
EZK.47.14	Și o veți moșteni, unul ca și celălalt, 
EZK.47.15	Și acesta 
EZK.47.16	Hamat, Berota, Sibraim, care 
EZK.47.17	Și granița de la mare va fi Hațar-Enon, granița Damascului și la nord spre nord și granița Hamatului. Aceasta 
EZK.47.18	Și latura de est să o măsurați de la Hauran și de la Damasc și de la Galaad și de la țara lui Israel, 
EZK.47.19	Și latura de sud spre sud, de la Tamar până la apele certei 
EZK.47.20	Latura de vest de asemenea 
EZK.47.21	Astfel să împărțiți această țară între voi conform cu triburile lui Israel.
EZK.47.22	Și se va întâmpla, 
EZK.47.23	Și se va întâmpla 
EZK.48.1	Și acestea sunt numele triburilor. De la marginea de nord spre ținutul căii Hetlonului, precum se merge la Hamat, Hațar-Enan, granița Damascului spre nord, până la ținutul Hamatului, pentru că acestea sunt laturile lui de est 
EZK.48.2	Și lângă granița lui Dan, de la latura de est până la latura de vest, o 
EZK.48.3	Și lângă granița lui Așer, de la latura de est până la latura de vest, o 
EZK.48.4	Și lângă granița lui Neftali, de la latura de est până la latura de vest, o 
EZK.48.5	Și lângă granița lui Manase, de la latura de est până la latura de vest, o 
EZK.48.6	Și lângă granița lui Efraim, de la latura de est până la latura de vest, o 
EZK.48.7	Și lângă granița lui Ruben, de la latura de est până la latura de vest, o 
EZK.48.8	Și lângă granița lui Iuda, de la latura de est până la latura de vest, va fi ofranda pe care o veți oferi de douăzeci și cinci de mii 
EZK.48.9	Darul pe care îl veți oferi DOMNULUI 
EZK.48.10	Și pentru ei, pentru preoți, va fi 
EZK.48.12	Și 
EZK.48.13	Și în fața graniței preoților, leviții 
EZK.48.14	Și ei să nu vândă din el, nici să nu îl schimbe, nici să nu înstrăineze roadele dintâi ale țării, pentru că 
EZK.48.15	Și cele cinci mii, care rămân în lățime în fața celor douăzeci și cinci de mii, să fie un 
EZK.48.16	Și acestea 
EZK.48.17	Și împrejurimile cetății să fie spre nord, două sute cincizeci, și spre sud, două sute cincizeci, și spre est, două sute cincizeci, și spre vest, două sute cincizeci.
EZK.48.18	Și ceea ce rămâne din lungime în fața darului 
EZK.48.19	Și cei care servesc cetatea să o servească din toate triburile lui Israel.
EZK.48.20	Tot darul 
EZK.48.21	Și ce rămâne 
EZK.48.22	Mai mult, de la stăpânirea leviților și de la stăpânirea cetății, 
EZK.48.23	Și cât despre restul triburilor, de la latura de est până la latura de vest, Beniamin 
EZK.48.24	Și lângă granița lui Beniamin, de la latura de est până la latura de vest, Simeon 
EZK.48.25	Și lângă granița lui Simeon, de la latura de est până la latura de vest, Isahar 
EZK.48.26	Și lângă granița lui Isahar, de la latura de est până la latura de vest, Zabulon 
EZK.48.27	Și lângă granița lui Zabulon, de la latura de est până la latura de vest, Gad 
EZK.48.28	Și lângă granița lui Gad, pe latura de sud spre sud; granița va fi de la Tamar 
EZK.48.29	Aceasta 
EZK.48.30	Și acestea 
EZK.48.31	Și porțile cetății 
EZK.48.32	Și pe latura de est, patru mii cinci sute; și trei porți, și o poartă a lui Iosif, o poartă a lui Beniamin, o poartă a lui Dan.
EZK.48.33	Și pe latura de sud, patru mii cinci sute măsuri; și trei porți, o poartă a lui Simeon, o poartă a lui Isahar, o poartă a lui Zabulon.
EZK.48.34	Pe latura de vest, patru mii cinci sute, 
DAN.1.1	În anul al treilea al domniei lui Ioiachim, împăratul lui Iuda, a venit Nebucadnețar, împăratul Babilonului la Ierusalim și l-a asediat.
DAN.1.2	Și Domnul l-a dat pe Ioiachim, împăratul lui Iuda, în mâna lui, cu o parte din vasele casei lui Dumnezeu; pe care le-a dus în țara Șinar la casa dumnezeului său; și a adus vasele în casa tezaurului dumnezeului său.
DAN.1.3	Și împăratul i-a vorbit lui Așpenaz, stăpânul famenilor săi, să aducă 
DAN.1.4	Copii în care nu 
DAN.1.5	Și împăratul le-a rânduit o porție zilnică din mâncarea împăratului și din vinul pe care l-a băut; astfel hrănindu-i trei ani, ca la sfârșitul acestora să poată sta în fața împăratului.
DAN.1.6	Și printre aceștia erau dintre copiii lui Iuda: Daniel, Hanania, Mișael și Azaria;
DAN.1.7	Cărora mai marele famenilor le-a dat nume; și i-a dat lui Daniel 
DAN.1.8	Dar Daniel a hotărât în inima lui să nu se întineze cu porția de mâncare a împăratului, nici cu vinul pe care îl bea el; de aceea a cerut de la mai marele famenilor să nu 
DAN.1.9	Și Dumnezeu i-a dat lui Daniel favoare și milă înaintea mai marelui famenilor.
DAN.1.10	Și mai marele famenilor i-a spus lui Daniel: Mă tem de domnul meu împăratul, care v-a rânduit mâncarea și băutura; căci de ce să vadă el fețele voastre arătând mai rău decât ale tinerilor care 
DAN.1.11	Atunci Daniel i-a spus lui Melțar, pe care mai marele famenilor l-a pus peste Daniel, Hanania, Mișael și Azaria:
DAN.1.12	Te implor, încearcă pe servitorii tăi, zece zile; și ei să ne dea legume să mâncăm și apă să bem.
DAN.1.13	Apoi să fie privite înfățișările noastre înaintea ta și înfățișarea tinerilor ce mănâncă din porția de mâncare a împăratului; și după cum vezi 
DAN.1.14	Astfel el le-a dat ascultare în acest lucru și i-a încercat zece zile.
DAN.1.15	Și la sfârșitul a zece zile, înfățișările lor au apărut mai frumoase și mai grase în carne decât a tuturor tinerilor care au mâncat porția de mâncare a împăratului.
DAN.1.16	Astfel Melțar a luat porția lor de mâncare și vinul pe care trebuiau să îl bea; și le-a dat legume.
DAN.1.17	Cât despre acești patru tineri, Dumnezeu le-a dat cunoaștere și pricepere în toată învățătura și înțelepciunea; și Daniel avea înțelegere în toate viziunile și visele.
DAN.1.18	Și la sfârșitul zilelor la care împăratul spusese să îi aducă, mai marele famenilor i-a adus înaintea lui Nebucadnețar.
DAN.1.19	Și împăratul a vorbit îndeaproape cu ei; și dintre toți nu s-a găsit nimeni ca Daniel, Hanania, Mișael și Azaria; de aceea au stat în picioare înaintea împăratului.
DAN.1.20	Și în toate lucrurile de înțelepciune 
DAN.1.21	Și Daniel a fost acolo până în anul întâi al împăratului Cirus.
DAN.2.1	Și în anul al doilea al domniei lui Nebucadnețar, Nebucadnețar a visat vise prin care duhul i s-a tulburat și somnul i-a fugit.
DAN.2.2	Atunci împăratul a poruncit să fie chemați magii și astrologii și vrăjitorii și caldeenii, pentru a arăta împăratului visele lui. Astfel, ei au venit și au stat în picioare înaintea împăratului.
DAN.2.3	Și împăratul le-a spus: Am visat un vis și duhul meu a fost tulburat pentru a cunoaște visul.
DAN.2.4	Atunci au vorbit caldeenii împăratului în siriană: Să trăiești pentru totdeauna împărate; spune servitorilor tăi visul și noi vom arăta interpretarea.
DAN.2.5	Împăratul a răspuns și a zis caldeenilor: Lucrul 
DAN.2.6	Dar dacă 
DAN.2.7	Ei au răspuns din nou și au zis: Să spună împăratul servitorilor săi visul, iar noi vom arăta interpretarea lui.
DAN.2.8	Împăratul a răspuns și a zis: Știu sigur că doriți să câștigați timp, deoarece vedeți că lucrul mi-a scăpat.
DAN.2.9	Dar dacă nu îmi veți face cunoscut visul, 
DAN.2.10	Caldeenii au răspuns înaintea împăratului și au zis: Nu este om pe pământ care poate arăta acest lucru al împăratului; de aceea nu 
DAN.2.11	Și 
DAN.2.12	Din această cauză împăratul a fost mânios și foarte furios și a poruncit să fie nimiciți toți înțelepții Babilonului.
DAN.2.13	Și a ieșit hotărârea ca înțelepții să fie uciși; și căutau pe Daniel și pe tovarășii lui să fie uciși.
DAN.2.14	Atunci Daniel a răspuns cu sfat și înțelepciune lui Arioc, căpetenia gărzii împăratului, care ieșise să ucidă pe înțelepții Babilonului;
DAN.2.15	El a răspuns și a zis lui Arioc căpetenia împăratului: De ce 
DAN.2.16	Atunci Daniel a intrat și a rugat pe împărat să îi dea timp, iar el îi va arăta împăratului interpretarea.
DAN.2.17	Atunci Daniel a mers la casa lui și a făcut lucrul 
DAN.2.18	Ca ei să ceară îndurări de la Dumnezeul cerului referitor la această taină, ca Daniel și tovarășii lui să nu piară cu restul înțelepților Babilonului.
DAN.2.19	Atunci taina i-a fost revelată lui Daniel într-o viziune de noapte. Apoi Daniel a binecuvântat pe Dumnezeul cerului.
DAN.2.20	Daniel a răspuns și a zis: Binecuvântat fie numele lui Dumnezeu pentru totdeauna și întotdeauna, căci înțelepciunea și tăria sunt ale lui;
DAN.2.21	Și schimbă timpurile și anotimpurile; îndepărtează împărați și ridică împărați; dă înțelepciune înțelepților și cunoaștere celor ce cunosc înțelegerea;
DAN.2.22	Revelează lucrurile adânci și tainice; cunoaște ce 
DAN.2.23	Îți mulțumesc și te laud, Dumnezeul părinților mei, care mi-ai dat înțelepciune și tărie și mi-ai făcut cunoscut acum ceea ce noi am cerut de la tine, căci ne-ai făcut cunoscut acest lucru al împăratului.
DAN.2.24	De aceea Daniel a intrat la Arioc, căruia împăratul i-a ordonat să nimicească pe înțelepții Babilonului; a mers și i-a spus astfel: Nu nimici pe înțelepții Babilonului, du-mă înaintea împăratului și voi arăta împăratului interpretarea.
DAN.2.25	Atunci Arioc l-a dus în grabă pe Daniel înaintea împăratului și i-a spus astfel: Eu am găsit un om dintre captivii din Iuda, care va face cunoscut împăratului interpretarea.
DAN.2.26	Împăratul a răspuns și i-a zis lui Daniel, al cărui nume 
DAN.2.27	Daniel a răspuns în prezența împăratului și a zis: Taina pe care împăratul a cerut-o, nu pot înțelepții, astrologii, magii, ghicitorii să o arate împăratului;
DAN.2.28	Dar este un Dumnezeu în cer care revelează taine și face cunoscut împăratului Nebucadnețar ce va fi în zilele de pe urmă. Visul tău și viziunile capului tău pe patul tău, sunt acestea:
DAN.2.29	Cât despre tine, împărate, gândurile tale 
DAN.2.30	Dar cât despre mine, această taină nu îmi este revelată datorită 
DAN.2.31	Tu împărate, ai văzut și iată, un mare chip. Acest chip mare, a cărui strălucire 
DAN.2.32	Capul acestui chip 
DAN.2.33	Picioarele lui din fier, laba piciorului parte din fier și parte din lut.
DAN.2.34	Tu ai privit până când o piatră tăiată, fără mâini, a lovit chipul peste picioarele lui 
DAN.2.35	Atunci fierul, lutul, arama, argintul și aurul, au fost sparte în bucăți, 
DAN.2.36	Acesta 
DAN.2.37	Tu împărate, 
DAN.2.38	Și oriunde locuiesc copiii oamenilor, fiarele câmpului și păsările cerului le-a dat în mâna ta și te-a făcut conducător peste toate acestea. Tu 
DAN.2.39	Și după tine se va ridica o altă împărăție inferioară ție și o a treia împărăție de aramă, care va stăpâni peste tot pământul.
DAN.2.40	Și a patra împărăție va fi tare ca fierul, întrucât fierul sparge în bucăți și supune toate; și ca fierul ce sparge toate acestea, 
DAN.2.41	Și după cum ai văzut picioarele și degetele de la picioare, o parte din lutul olarului și o parte din fier, împărăția va fi împărțită; dar va fi 
DAN.2.42	Și 
DAN.2.43	Și precum ai văzut fier amestecat cu lut noroios, ei se vor amesteca cu sămânța oamenilor; dar nu se vor lipi unul de celălalt, după cum fier nu se amestecă cu lut.
DAN.2.44	Și în zilele acestor împărați, Dumnezeul cerului va ridica o împărăție, care nu va fi niciodată distrusă; și împărăția nu va fi lăsată altui popor, 
DAN.2.45	După cum ai văzut că piatra a fost tăiată, fără mâini, din munte și că a spart în bucăți fierul, arama, lutul, argintul și aurul; marele Dumnezeu a făcut cunoscut împăratului ce se va întâmpla de acum înainte; și visul 
DAN.2.46	Atunci împăratul Nebucadnețar a căzut cu fața 
DAN.2.47	Împăratul i-a răspuns lui Daniel și a zis: Cu adevărat Dumnezeul vostru 
DAN.2.48	Atunci împăratul l-a făcut pe Daniel un om mare și i-a dat multe daruri mărețe și l-a făcut conducător peste întreaga provincie a Babilonului și mai marele guvernatorilor peste toți înțelepții Babilonului.
DAN.2.49	Atunci Daniel a cerut de la împărat și a pus pe Șadrac, Meșac și Abednego, peste treburile provinciei Babilonului; iar Daniel 
DAN.3.1	Împăratul Nebucadnețar, a făcut un chip de aur, a cărui înălțime 
DAN.3.2	Atunci împăratul Nebucadnețar a trimis să adune prinții, guvernatorii și căpeteniile, judecătorii, trezorierii, sfătuitorii, oamenii legii și toți conducătorii provinciilor, să vină la dedicarea chipului pe care împăratul Nebucadnețar l-a înălțat.
DAN.3.3	Atunci prinții, guvernatorii și căpeteniile, judecătorii, trezorierii, sfătuitorii, oamenii legii și toți conducătorii provinciilor, s-au adunat la dedicarea chipului pe care împăratul Nebucadnețar l-a înălțat; și au stat în picioare înaintea chipului pe care Nebucadnețar l-a înălțat.
DAN.3.4	Atunci un crainic a strigat tare: Vă este poruncit, popoare, națiuni și limbi,
DAN.3.5	Când auziți sunetul cornului, flautului, harpei, lirei, psalterionului, cimpoiului și tot felul de muzică, să cădeți și să vă închinați chipului de aur pe care împăratul Nebucadnețar l-a înălțat;
DAN.3.6	Și oricine nu cade și nu se închină, în același moment va fi aruncat în mijlocul unui cuptor arzând încins.
DAN.3.7	De aceea, în acel timp, când toate popoarele au auzit sunetul cornului, flautului, harpei, lirei, psalterionului și tot felul de muzică, toate popoarele, națiunile și limbile, au căzut 
DAN.3.8	De aceea
DAN.3.9	Au vorbit și au spus împăratului Nebucadnețar: Să trăiești veșnic împărate.
DAN.3.10	Tu, împărate, ai dat o hotărâre, ca fiecare om care va auzi sunetul cornului, flautului, harpei, lirei, psalterionului și cimpoiului și tot felul de muzică, să cadă și să se închine chipului de aur;
DAN.3.11	Și oricine nu cade și nu se închină, să fie aruncat în mijlocul unui cuptor arzând încins.
DAN.3.12	Sunt anumiți evrei, Șadrac, Meșac și Abednego, pe care i-ai pus peste treburile provinciei Babilon; acești oameni, împărate, nu te-au luat în considerare, ei nu servesc dumnezeilor tăi, nici nu se închină chipului de aur pe care l-ai înălțat.
DAN.3.13	Atunci Nebucadnețar, în turbarea și furia 
DAN.3.14	Nebucadnețar a vorbit și le-a spus: 
DAN.3.15	Și, când auziți sunetul cornului, flautului, harpei, lirei, psalterionului, cimpoiului și tot felul de muzică, dacă sunteți gata să cădeți și să vă închinați chipului pe care l-am făcut, 
DAN.3.16	Șadrac, Meșac și Abednego, au răspuns și au zis împăratului: Nebucadnețar, îți răspundem fără grijă în acest lucru.
DAN.3.17	Dacă este 
DAN.3.18	Dar dacă nu, să îți fie cunoscut, împărate, că nu vom servi dumnezeilor tăi, nici nu ne vom închina chipului din aur pe care l-ai înălțat.
DAN.3.19	Atunci Nebucadnețar s-a umplut de furie și forma feței lui s-a schimbat împotriva lui Șadrac, Meșac și Abednego; 
DAN.3.20	Și a poruncit celor mai puternici bărbați din armata lui să lege pe Șadrac, Meșac și Abednego 
DAN.3.21	Atunci acești bărbați au fost legați în mantiile lor, izmenele lor și pălăriile lor și 
DAN.3.22	Astfel deoarece porunca împăratului era urgentă și cuptorul peste măsură de încins, flacăra focului a ucis pe acei bărbați care luaseră pe Șadrac, Meșac și Abednego.
DAN.3.23	Și acești trei bărbați, Șadrac, Meșac și Abednego, au căzut legați în mijlocul cuptorului arzând încins.
DAN.3.24	Atunci împăratul Nebucadnețar a fost înmărmurit și s-a ridicat în grabă 
DAN.3.25	El a răspuns și a zis: Iată, văd patru bărbați dezlegați, umblând în mijlocul focului și nu au nicio vătămare; și înfățișarea celui de al patrulea este ca a Fiului lui Dumnezeu.
DAN.3.26	Atunci Nebucadnețar s-a apropiat de gura cuptorului arzând încins 
DAN.3.27	Și prinții, guvernatorii și căpeteniile și sfătuitorii împăratului, fiind adunați, au văzut pe acești bărbați, asupra trupurilor cărora focul nu a avut putere, nici nu a fost pârlit vreun păr al capului lor, nici mantiile lor schimbate, nici mirosul focului nu trecuse pe ei.
DAN.3.29	De aceea dau o hotărâre: Ca fiecare popor, națiune și limbă, care vorbește ceva greșit împotriva Dumnezeului lui Șadrac, Meșac și Abednego, să fie tăiat în bucăți, iar casele lor să fie făcute morman de balegă; deoarece nu este alt Dumnezeu care poate elibera în acest fel.
DAN.3.30	Atunci împăratul a promovat pe Șadrac, Meșac și Abednego, în provincia Babilon.
DAN.4.1	Împăratul Nebucadnețar, tuturor popoarelor, națiunilor și limbilor, ce locuiesc pe tot pământul: Pacea să vi se înmulțească.
DAN.4.2	Am gândit 
DAN.4.3	Cât de mărețe 
DAN.4.4	Eu Nebucadnețar mă odihneam în casa mea, înflorind în palatul meu:
DAN.4.5	Am văzut un vis care m-a înfricoșat și gândurile 
DAN.4.6	De aceea am dat o hotărâre să se aducă toți înțelepții Babilonului înaintea mea, ca să îmi facă cunoscută interpretarea visului.
DAN.4.7	Atunci au intrat magii, astrologii, caldeenii și ghicitorii și am spus visul înaintea lor, dar nu mi-au făcut cunoscută interpretarea lui.
DAN.4.8	Dar la urmă a intrat Daniel înaintea mea, al cărui nume 
DAN.4.9	Belteșațar, stăpânul magilor, deoarece știu că duhul sfinților dumnezei 
DAN.4.10	Astfel 
DAN.4.11	Copacul a crescut și era tare și înălțimea lui a ajuns la cer și priveliștea lui la marginea întregului pământ;
DAN.4.12	Frunzele lui 
DAN.4.13	Am văzut în viziunile capului meu pe patul meu și, iată, un paznic și un sfânt a coborât din cer;
DAN.4.14	El a strigat tare și a spus astfel: Tăiați copacul și retezați-i ramurile, scuturați-i frunzele și împrăștiați-i rodul; să se îndepărteze fiarele de sub el și păsările dintre ramurile lui;
DAN.4.15	Totuși lasă buturuga cu rădăcinile lui în pământ, chiar cu o legătură de fier și aramă, în iarba nouă a câmpului; și să fie udat cu roua cerului și să 
DAN.4.16	Să fie schimbată inima lui de om și să îi fie dată o inimă de fiară; și să treacă șapte timpuri peste el.
DAN.4.17	Acest lucru 
DAN.4.18	Acest vis eu împăratul Nebucadnețar l-am văzut. Acum tu, Belteșațar, spune interpretarea lui, întrucât toți înțelepții împărăției mele nu sunt în stare să îmi facă cunoscută interpretarea; dar tu 
DAN.4.19	Atunci Daniel, al cărui nume 
DAN.4.20	Copacul pe care l-ai văzut, care a crescut și era tare, a cărui înălțime a atins cerul și priveliștea lui tot pământul;
DAN.4.21	Ale cărui frunze 
DAN.4.22	Acesta 
DAN.4.23	Și pentru că împăratul a văzut un paznic și un sfânt coborând din cer și spunând: Tăiați copacul și distrugeți-l; totuși lăsați buturuga cu rădăcinile lui în pământ, chiar cu o legătură de fier și aramă, în iarba moale a câmpului; și să fie udat cu roua cerului și să 
DAN.4.24	Aceasta 
DAN.4.25	Te vor alunga dintre oameni și locuința ta va fi cu fiarele câmpului și te vor face să mănânci iarbă ca boii și te vor uda cu roua cerului și șapte timpuri vor trece peste tine, până când vei cunoaște că cel Preaînalt domnește în împărăția oamenilor și o dă oricui voiește.
DAN.4.26	Și pentru că au poruncit să lase buturuga cu rădăcinile copacului, împărăția ta îți va fi sigură, după ce vei fi cunoscut că cerurile domnesc.
DAN.4.27	De aceea, împărate, să îți fie bine primit sfatul meu și încetează păcatele tale, făcând dreptate; și nelegiuirile tale, arătând milă celor săraci; poate va fi o lungire a liniștii tale.
DAN.4.28	Toate acestea au venit peste împăratul Nebucadnețar.
DAN.4.29	La sfârșitul a douăsprezece luni umbla prin palatul împărăției Babilonului.
DAN.4.30	Împăratul a vorbit și a spus: Nu este acesta marele Babilon, pe care eu l-am construit pentru casa împărăției prin tăria puterii mele și pentru onoarea maiestății mele?
DAN.4.31	În timp ce cuvântul 
DAN.4.32	Și te vor alunga dintre oameni și locuința ta 
DAN.4.33	În același moment s-a împlinit aceasta peste Nebucadnețar și a fost alungat dintre oameni și a mâncat iarbă ca boii și trupul lui a fost udat cu roua cerului, până când perii lui au crescut ca 
DAN.4.34	Și la sfârșitul zilelor eu, Nebucadnețar, mi-am ridicat ochii spre cer și înțelegerea mi s-a întors și am binecuvântat pe cel Preaînalt și l-am lăudat și l-am onorat pe cel ce trăiește pentru totdeauna, a cărui domnie 
DAN.4.35	Și toți locuitorii pământului 
DAN.4.36	În același timp rațiunea mi s-a întors; și pentru gloria împărăției mele, onoarea mea și strălucirea mi s-au întors; și sfătuitorii mei și domnii mei m-au căutat; și am fost întemeiat în împărăția mea și mi s-a adăugat o maiestate aleasă.
DAN.4.37	Acum eu Nebucadnețar laud și înalț și onorez pe Împăratul cerului, ale cărui lucrări toate 
DAN.5.1	Împăratul Belșațar a făcut un mare ospăț pentru o mie dintre domnii lui și a băut vin înaintea celor o mie.
DAN.5.2	Belșațar, în timp ce gusta vinul, a poruncit să aducă vasele de aur și argint pe care tatăl său Nebucadnețar le scosese din templul din Ierusalim; pentru ca împăratul și prinții lui, soțiile lui și concubinele lui, să bea din ele.
DAN.5.3	Atunci au adus vasele din aur care au fost scoase din templul casei lui Dumnezeu din Ierusalim; și împăratul și prinții lui, soțiile lui și concubinele lui, au băut din ele.
DAN.5.4	Au băut vin și au lăudat dumnezeii din aur și din argint, din aramă, din fier, din lemn și din piatră.
DAN.5.5	În același moment au ieșit degetele unei mâini de om și au scris în partea opusă sfeșnicului pe tencuiala peretelui din palatul împăratului; și împăratul a văzut partea mâinii care scria.
DAN.5.6	Atunci înfățișarea împăratului s-a schimbat și gândurile lui l-au tulburat, astfel încât i s-au dezlegat încheieturile coapselor sale și genunchii i s-au lovit unul de altul.
DAN.5.7	Împăratul a strigat cu 
DAN.5.8	Atunci au intrat toți înțelepții împăratului; dar nu au putut citi scrisul, nici să facă cunoscută împăratului interpretarea lui.
DAN.5.9	Atunci împăratul Belșațar s-a tulburat mult și înfățișarea lui s-a schimbat în el și domnii lui au fost înmărmuriți.
DAN.5.11	Este un om în împărăția ta, în care 
DAN.5.12	Căci un duh ales și cunoaștere și înțelegere, interpretare de vise și arătare de vorbe grele și dezlegarea îndoielilor, s-au găsit în acest Daniel, pe care împăratul l-a numit Belteșațar; acum să fie chemat Daniel, iar el va arăta interpretarea.
DAN.5.13	Atunci Daniel a fost adus înaintea împăratului. 
DAN.5.14	Și am auzit despre tine, că duhul dumnezeilor 
DAN.5.15	Și acum înțelepții, astrologii, au fost aduși înaintea mea, ca să citească această scriere și să îmi facă cunoscută interpretarea ei; dar nu au putut să arate interpretarea lucrului;
