GEN.1.1	Ла ынчепут
MAT.21.16	Ши Й-ау зис: „Аузь че зик ачештя?” 
MAT.21.17	Ши, лэсынду-й, а ешит дин четате ши С-а ындрептат спре Бетания
MAT.21.18	Диминяца
MAT.21.19	А вэзут
MAT.21.20	Ученичий, кынд
MAT.21.21	Дрепт рэспунс, Исус ле-а зис: 
MAT.21.23	Исус
MAT.21.24	Дрепт рэспунс, Исус ле-а зис: 
MAT.21.25	 Дар ей ворбяу ынтре ей ши зичяу: „Дакэ вом рэспунде: ‘Дин чер’, не ва спуне: ‘Атунч де че ну л-аць крезут?’ 
MAT.21.26	Ши дакэ вом рэспунде: ‘Де ла оамень’, не темем де нород, пентру кэ
MAT.21.27	Атунч ау рэспунс луй Исус: „Ну штим!” Ши Ел, ла рындул Луй, ле-а зис: 
MAT.21.31	 „Чел динтый”, ау рэспунс ей. Ши Исус ле-а зис: 
MAT.21.41	Ей Й-ау рэспунс
MAT.21.42	Исус ле-а зис: 
MAT.21.45	Дупэ че ау аузит пилделе Луй, преоций чей май де сямэ ши фарисеий ау ынцелес кэ Исус ворбеште деспре ей 
MAT.21.46	ши кэутау сэ-Л приндэ, дар се темяу де нороаде, пентру кэ еле
MAT.22.1	Исус а
MAT.22.15	Атунч
MAT.22.16	Ау тримис ла Ел пе ученичий лор ымпреунэ ку иродиений, каре Й-ау зис: „Ынвэцэторуле, штим кэ ешть адевэрат ши кэ ынвець пе оамень каля луй Думнезеу ын адевэр, фэрэ сэ-Ць песе де нимень, пентру кэ ну кауць ла фаца оаменилор. 
MAT.22.17	Спуне-не дар, че крезь? Се каде сэ плэтим бир Чезарулуй сау ну?” 
MAT.22.18	Исус, каре ле куноштя виклешугул, а рэспунс: 
MAT.22.19	 Ши ей Й-ау адус ун бан
MAT.22.20	Ел й-а ынтребат: 
MAT.22.21	„Але Чезарулуй”, Й-ау рэспунс ей. Атунч, Ел ле-а зис: 
MAT.22.22	Мираць де кувинтеле ачестя, ей Л-ау лэсат ши ау плекат.
MAT.22.23	Ын ачеяшь
MAT.22.24	„Ынвэцэторуле, Мойсе
MAT.22.25	Ерау дар ла ной шапте фраць. Чел динтый с-а ынсурат ши а мурит ши, фииндкэ н-авя копий, а лэсат фрателуй сэу пе неваста луй. 
MAT.22.26	Тот аша ши ал дойля, ши ал трейля, пынэ ла ал шаптеля. 
MAT.22.27	Ла урмэ, дупэ ей тоць, а мурит ши фемея. 
MAT.22.28	Ла ынвиере, неваста кэруя дин чей шапте ва фи еа? Фииндкэ тоць ау авут-о де невастэ.” 
MAT.22.29	Дрепт рэспунс, Исус ле-а зис: 
MAT.22.33	Нороаделе, каре аскултау, ау
MAT.22.34	Кынд
MAT.22.35	Ши унул дин ей, ун ынвэцэтор ал Леӂий
MAT.22.36	„Ынвэцэторуле, каре есте чя май маре порункэ дин Леӂе?” 
MAT.22.37	Исус й-а рэспунс: 
MAT.22.41	Пе
MAT.22.42	 „Ал луй Давид”, Й-ау рэспунс ей. 
MAT.22.43	Ши Исус ле-а зис: 
MAT.22.46	Нимень
MAT.23.1	Атунч Исус, пе кынд кувынта глоателор ши ученичилор Сэй, 
MAT.23.2	а зис: 
MAT.24.1	Ла еширя
MAT.24.2	Дар Исус ле-а зис: 
MAT.24.3	Ел а шезут жос, пе Мунтеле Мэслинилор. Ши ученичий
MAT.24.4	Дрепт рэспунс, Исус ле-а зис: 
MAT.26.1	Дупэ че а испрэвит Исус тоате кувынтэриле ачестя, а зис ученичилор Сэй: 
MAT.26.3	Атунч
MAT.26.4	ши с-ау сфэтуит ымпреунэ кум сэ приндэ пе Исус ку виклешуг ши сэ-Л омоаре. 
MAT.26.5	Дар зичяу: „Ну ын тимпул празникулуй, ка сэ ну се факэ тулбураре ын нород.”
MAT.26.6	Кынд
MAT.26.7	с-а апропият де Ел о фемее ку ун вас де алабастру ку мир фоарте скумп; ши, пе кынд стэтя Ел ла масэ, еа а турнат мирул пе капул Луй. 
MAT.26.8	Ученичилор
MAT.26.9	Мирул ачеста с-ар фи путут винде фоарте скумп, ши баний сэ се дя сэрачилор.” 
MAT.26.10	Кынд а аузит Исус, ле-а зис: 
MAT.26.14	Атунч
MAT.26.15	ши ле-а зис: „Че
MAT.26.16	Дин клипа ачея, Иуда кэута ун прилеж нимерит, ка сэ дя пе Исус ын мыниле лор.
MAT.26.17	Ын
MAT.26.18	Ел ле-а рэспунс: 
MAT.26.19	Ученичий ау фэкут кум ле порунчисе Исус ши ау прегэтит Паштеле. 
MAT.26.20	Сяра
MAT.26.21	Пе кынд мынкау, Ел а зис: 
MAT.26.22	Ей с-ау ынтристат фоарте мулт ши ау ынчепут сэ-Й зикэ унул дупэ алтул: „Ну кумва сунт еу, Доамне?” 
MAT.26.23	Дрепт рэспунс, Ел ле-а зис: 
MAT.26.25	Иуда, вынзэторул, а луат кувынтул ши Й-а зис: „Ну кумва сунт еу, Ынвэцэторуле?” 
MAT.26.26	Пе кынд
MAT.26.27	Апой а луат ун пахар ши, дупэ че а мулцумит луй Думнезеу, ли л-а дат, зикынд: 
MAT.26.30	Дупэ че
MAT.26.31	Атунч, Исус ле-а зис: 
MAT.26.33	Петру а луат кувынтул ши Й-а зис: „Кяр дакэ тоць ар гэси ын Тине о причинэ де потикнире, еу ничодатэ ну вой гэси ын Тине о причинэ де потикнире.” 
MAT.26.35	Петру Й-а рэспунс: „Кяр дакэ ар требуи сэ мор ку Тине, тот ну мэ вой лепэда де Тине.” Ши тоць ученичий ау спус ачелашь лукру.
MAT.26.36	Атунч
MAT.26.37	А луат ку Ел пе Петру ши пе
MAT.26.38	Исус ле-а зис атунч: 
MAT.26.39	Апой а мерс пуцин май ынаинте, а кэзут ку фаца ла пэмынт ши С-а ругат
MAT.26.40	Апой а венит ла ученичь, й-а гэсит дорминд ши а зис луй Петру: 
MAT.26.42	С-а депэртат а доуа оарэ ши С-а ругат, зикынд: 
MAT.26.43	С-а ынторс ярэшь ла ученичь ши й-а гэсит дорминд; пентру кэ ли се ынгреуясерэ окий де сомн. 
MAT.26.44	Й-а лэсат дин ноу, С-а депэртат ши С-а ругат а трея оарэ, зикынд ачеляшь кувинте. 
MAT.26.45	Апой а венит ла ученичь ши ле-а зис: 
MAT.26.47	Пе кынд
MAT.26.48	Вынзэторул ле дэдусе семнул ачеста: „Пе каре-Л вой сэрута еу, Ачела есте; сэ пунець мына пе Ел!” 
MAT.26.49	Ындатэ, Иуда с-а апропият де Исус ши Й-а зис: „Плекэчуне, Ынвэцэторуле!” Ши Л-а
MAT.26.50	Исус й-а зис: 
MAT.26.51	Ши унул
MAT.26.52	Атунч, Исус й-а зис: 
MAT.26.55	Ын клипа ачея, Исус а зис глоателор: 
MAT.26.57	Чей че
MAT.26.58	Петру Л-а урмат де департе, пынэ ла куртя марелуй преот, апой а интрат ынэунтру ши а шезут жос ку апрозий, ка сэ вадэ сфыршитул. 
MAT.26.59	Преоций чей май де сямэ, бэтрыний ши тот соборул кэутау врео мэртурие минчиноасэ ымпотрива луй Исус, ка сэ-Л поатэ оморы. 
MAT.26.60	Дар н-ау гэсит ничуна, мэкар кэ с-ау ынфэцишат мулць
MAT.26.61	ши ау спус: „Ачеста а зис: ‘Еу пот
MAT.26.62	Мареле преот с-а скулат
MAT.26.63	Исус
MAT.26.64	, й-а рэспунс Исус, 
MAT.26.65	Атунч
MAT.26.66	Че кредець?” Ей ау рэспунс: „Есте виноват
MAT.26.67	Атунч
MAT.26.68	зикынд: „Христоасе, пророчеште-не
MAT.26.69	Петру
MAT.26.70	Дар ел с-а лепэдат ынаинтя тутурор ши й-а зис: „Ну штиу че врей сэ зичь.” 
MAT.26.71	Кынд а ешит ын придвор, л-а вэзут о алтэ служникэ ши а зис челор де аколо: „Ши ачеста ера ку Исус дин Назарет.” 
MAT.26.72	Ел с-а лепэдат ярэшь, ку ун журэмынт, ши а зис: „Ну куноск пе Омул ачеста!” 
MAT.26.73	Песте пуцин, чей че стэтяу аколо с-ау апропият ши ау зис луй Петру: „Ну май ынкапе ындоялэ кэ ши ту ешть унул дин оамений ачея, кэч ши ворба
MAT.26.74	Атунч, ел
MAT.26.75	Ши Петру шь-а адус аминте де ворба пе каре й-о спусесе Исус: 
MAT.27.1	Кынд с-а фэкут зиуэ, тоць
MAT.27.2	Дупэ че Л-ау легат, Л-ау дус ши Л-ау дат ын мына дрегэторулуй
MAT.27.3	Атунч Иуда
MAT.27.4	ши а зис: „Ам пэкэтуит, кэч ам вындут сынӂе невиноват.” „Че не пасэ ноуэ?” й-ау рэспунс ей. „Тряба та.” 
MAT.27.5	Иуда а арункат арӂинций ын Темплу ши с-а
MAT.27.6	Преоций чей май де сямэ ау стрынс арӂинций ши ау зис: „Ну есте ынгэдуит сэ-й пунем ын вистиерия Темплулуй, фииндкэ сунт прец де сынӂе.” 
MAT.27.7	Ши дупэ че с-ау сфэтуит, ау кумпэрат ку баний ачея „Царина оларулуй”, ка лок пентру ынгропаря стрэинилор. 
MAT.27.8	Ятэ де че царина
MAT.27.9	Атунч с-а ымплинит че фусесе вестит прин пророкул Иеремия, каре зиче: „Ау
MAT.27.10	ши й-ау дат пе ‘Царина оларулуй’, дупэ кум ымь порунчисе Домнул.”
MAT.27.11	Исус С-а ынфэцишат ынаинтя дрегэторулуй. Дрегэторул Л-а
MAT.27.12	Дар н-а рэспунс нимик
MAT.27.13	Атунч, Пилат Й-а зис: „Н-аузь
MAT.27.14	Исус ну й-а рэспунс ла ничун кувынт, аша кэ се мира фоарте мулт дрегэторул.
MAT.27.15	Ла
MAT.27.16	Пе атунч авяу ун ынтемницат вестит, нумит Бараба. 
MAT.27.17	Кынд ерау адунаць ла ун лок, Пилат ле-а зис: „Пе каре воиць сэ ви-л слобозеск? Пе Бараба сау пе Исус, каре Се нумеште Христос?” 
MAT.27.18	Кэч штия кэ дин пизмэ дэдусерэ пе Исус ын мыниле луй. 
MAT.27.19	Пе кынд стэтя Пилат пе скаун ла жудекатэ, невастэ-са а тримис сэ-й спунэ: „Сэ н-ай нимик а фаче ку Неприхэнитул ачеста, кэч азь ам суферит мулт ын вис дин причина Луй.” 
MAT.27.20	Преоций
MAT.27.21	Дрегэторул а луат кувынтул ши ле-а зис: „Пе каре дин амындой воиць сэ ви-л слобозеск?” „Пе Бараба”, ау рэспунс ей. 
MAT.27.22	Пилат ле-а зис: „Дар че сэ фак ку Исус, каре Се нумеште Христос?” „Сэ фие рэстигнит”, й-ау рэспунс ку тоций. 
MAT.27.23	Дрегэторул а зис: „Дар че рэу а фэкут?” Ей ау ынчепут сэ стриӂе ши май таре: „Сэ фие рэстигнит!” 
MAT.27.24	Кынд а вэзут Пилат кэ н-ажунӂе ла нимик, чи кэ се фаче май мултэ зарвэ, а луат
MAT.27.25	Ши тот нородул а рэспунс: „Сынӂеле
MAT.27.26	Атунч, Пилат ле-а слобозит пе Бараба; яр пе Исус, дупэ че а пус сэ-Л батэ ку нуеле
MAT.27.27	Осташий
MAT.27.28	Л-ау дезбрэкат де хайнеле Луй ши Л-ау
MAT.27.29	Ау
MAT.27.30	Ши скуйпау
MAT.27.31	Дупэ че шь-ау бэтут астфел жок де Ел, Л-ау дезбрэкат де хайна стакожие, Л-ау ымбрэкат ку хайнеле Луй ши
MAT.27.32	Пе
MAT.27.33	Кынд
MAT.27.34	Й-ау
MAT.27.35	Дупэ че
MAT.27.36	Апой
MAT.27.37	Ши
MAT.27.38	Ымпреунэ
MAT.27.39	Трекэторий
MAT.27.40	ши зичяу: „Ту
MAT.27.41	Преоций чей май де сямэ, ымпреунэ ку кэртурарий ши бэтрыний, ышь бэтяу ши ей жок де Ел ши зичяу: 
MAT.27.42	„Пе алций й-а мынтуит, яр пе Сине ну Се поате мынтуи! Дакэ есте Ел Ымпэратул луй Исраел, сэ Се кобоаре акум де пе круче ши вом креде ын Ел! 
MAT.27.43	С-а
MAT.27.44	Тылхарий каре ерау рэстигниць ымпреунэ ку Ел, Ый арункау ачеляшь
MAT.27.45	Де ла
MAT.27.46	Ши пе ла часул ал ноуэля, Исус а
MAT.27.47	Уний дин чей че стэтяу аколо, кынд ау аузит ачесте ворбе, ау зис: „Стригэ пе Илие!” 
MAT.27.48	Ши ындатэ, унул дин ей а алергат де а луат ун бурете, л-а умплут
MAT.27.49	Дар чейлалць зичяу: „Ласэ, сэ ведем дакэ ва вени Илие сэ-Л мынтуяскэ.” 
MAT.27.50	Исус
MAT.27.51	Ши ындатэ, пердяуа динэунтрул
MAT.27.52	морминтеле с-ау дескис ши мулте трупурь але сфинцилор каре мурисерэ ау ынвият. 
MAT.27.53	Ей ау ешит дин морминте, дупэ ынвиеря Луй, ау интрат ын сфынта четате ши с-ау арэтат мултора. 
MAT.27.54	Суташул
MAT.27.55	Аколо ерау ши мулте фемей, каре привяу де департе; еле
MAT.27.56	Ынтре
MAT.27.57	Спре
MAT.27.58	Ел с-а дус ла Пилат ши а черут трупул луй Исус. Пилат а порунчит сэ и-л дя. 
MAT.27.59	Иосиф а луат трупул, л-а ынфэшурат ынтр-о пынзэ куратэ де ин 
MAT.27.60	ши л-а
MAT.27.61	Мария Магдалена ши чялалтэ Марие ерау аколо ши шедяу ын фаца мормынтулуй.
MAT.27.62	А доуа зи, каре вине дупэ Зиуа Прегэтирий, преоций чей май де сямэ ши фарисеий с-ау дус ымпреунэ ла Пилат 
MAT.27.63	ши й-ау зис: „Доамне, не-ам адус аминте кэ ыншелэторул ачела, пе кынд ера ынкэ ын вяцэ, а зис: ‘Дупэ
MAT.27.64	Дэ порункэ, дар, ка мормынтул сэ фие пэзит бине пынэ а трея зи, ка ну кумва сэ винэ ученичий Луй ноаптя сэ-Й фуре трупул ши сэ спунэ нородулуй: ‘А ынвият дин морць!’ Атунч, ыншелэчуня ачаста дин урмэ ар фи май ря декыт чя динтый.” 
MAT.27.65	Пилат ле-а зис: „Авець о стражэ; дучеци-вэ де пэзиць кум путець.” 
MAT.27.66	Ей ау плекат ши ау ынтэрит
MAT.28.1	Ла сфыршитул зилей Сабатулуй
MAT.28.2	Ши ятэ кэ с-а фэкут ун маре кутремур де пэмынт, кэч ун ынӂер
MAT.28.3	Ынфэцишаря
MAT.28.4	Стрэжерий ау тремурат де фрика луй ши ау рэмас ка ниште морць. 
MAT.28.5	Дар ынӂерул а луат кувынтул ши а зис фемеилор: „Ну вэ темець, кэч штиу кэ вой кэутаць пе Исус, каре а фост рэстигнит. 
MAT.28.6	Ну есте аич; а ынвият, дупэ кум
MAT.28.7	ши дучеци-вэ репеде де спунець ученичилор Луй кэ а ынвият динтре чей морць. Ятэ кэ Ел мерӂе
MAT.28.8	Еле ау плекат репеде де ла мормынт, ку фрикэ ши ку маре букурие, ши ау алергат сэ дя де весте ученичилор Луй. 
MAT.28.9	Дар ятэ кэ ле-а ынтымпинат Исус
MAT.28.10	Атунч, Исус ле-а зис: 
MAT.28.11	Пе кынд се дучяу еле, ау интрат ын четате уний дин стрэжерь ши ау дат де весте преоцилор челор май де сямэ деспре тоате челе ынтымплате. 
MAT.28.12	Ачештя с-ау адунат ымпреунэ ку бэтрыний, ау цинут сфат, ау дат осташилор мулць бань 
MAT.28.13	ши ле-ау зис: „Спунець аша: ‘Ученичий Луй ау венит ноаптя, пе кынд дормям ной, ши Л-ау фурат.’ 
MAT.28.14	Ши, дакэ ва ажунӂе лукрул ачеста ла урекиле дрегэторулуй, ыл вом потоли ной ши вэ вом скэпа де грижэ.” 
MAT.28.15	Осташий ау луат баний ши ау фэкут кум й-ау ынвэцат. Ши с-а рэспындит звонул ачеста принтре иудей пынэ ын зиуа де астэзь.
MAT.28.16	Чей унспрезече ученичь с-ау дус ын Галилея, ын мунтеле унде
MAT.28.17	Кынд Л-ау вэзут ей, И с-ау ынкинат, дар уний с-ау ындоит. 
MAT.28.18	Исус С-а апропият де ей, а ворбит ку ей ши ле-а зис: 
MRK.1.1	Ынчепутул Евангелией луй Исус Христос, Фиул
MRK.1.2	Дупэ кум есте скрис ын пророкул Исая: „Ятэ
MRK.1.3	Гласул
MRK.1.4	а венит Иоан
MRK.1.5	Тот
MRK.1.6	Иоан ера ымбрэкат
MRK.1.7	Иоан проповэдуя ши зичя: „Дупэ мине вине
MRK.1.8	Еу
MRK.1.9	Ын
MRK.1.10	Ши ындатэ, кынд ешя
MRK.1.11	Ши дин черурь с-а аузит ун глас, каре зичя: „Ту
MRK.1.12	Ындатэ
MRK.1.13	унде а стат патрузечь де зиле, фиинд испитит де Сатана. Аколо стэтя ымпреунэ ку фяреле сэлбатиче ши-Й
MRK.1.14	Дупэ
MRK.1.15	Ел зичя: 
MRK.1.16	Пе
MRK.1.17	Исус ле-а зис: 
MRK.1.18	Ындатэ, ей шь-ау лэсат
MRK.1.19	А
MRK.1.20	Ындатэ й-а кемат; ши ей ау лэсат пе татэл лор Зебедей ын корабие ку чей че лукрау пе платэ ши ау мерс дупэ Ел.
MRK.1.21	С-ау
MRK.1.22	Оамений
MRK.1.23	Ын
MRK.1.24	„Че
MRK.1.25	Исус л-а
MRK.1.26	Ши духул некурат а ешит дин ел, скутурынду-л
MRK.1.27	Тоць ау рэмас ынмэрмуриць, аша кэ се ынтребау уний пе алций: „Че есте ачаста? О ынвэцэтурэ ноуэ! Ел порунчеште ка ун стэпын кяр ши духурилор некурате, ши еле Ыл аскултэ!” 
MRK.1.28	Ши ындатэ И с-а дус вестя ын тоате ымпрежуримиле Галилеий.
MRK.1.29	Дупэ че
MRK.1.30	Соакра луй Симон зэчя ын пат, принсэ де фригурь. Ши ындатэ ау ворбит луй Исус деспре еа. 
MRK.1.31	Ел а венит, а апукат-о де мынэ, а ридикат-о ши ау лэсат-о фригуриле. Апой, еа а ынчепут сэ ле служяскэ.
MRK.1.32	Сяра
MRK.1.33	Ши тоатэ четатя ера адунатэ ла ушэ. 
MRK.1.34	Ел а виндекат пе мулць каре пэтимяу де фелурите боль; де асеменя, а скос мулць драчь ши ну
MRK.1.35	А
MRK.1.36	Симон ши чейлалць каре ерау ку Ел с-ау дус сэ-Л кауте. 
MRK.1.37	Ши, кынд Л-ау гэсит, Й-ау зис: „Тоць Те каутэ.” 
MRK.1.38	Ел ле-а рэспунс: 
MRK.1.39	Ши с-а дус сэ проповэдуяскэ
MRK.1.40	А
MRK.1.41	Луй Исус И с-а фэкут милэ де ел, а ынтинс мына, С-а атинс де ел ши й-а зис: 
MRK.1.42	Ындатэ л-а лэсат лепра ши с-а курэцит. 
MRK.1.43	Исус й-а порунчит ку тот динадинсул, й-а спус сэ плече нумайдекыт 
MRK.1.44	ши й-а зис: 
MRK.1.45	Дар
MRK.2.1	Дупэ кытева зиле, Исус С-а ынторс
MRK.2.2	ши с-ау адунат ындатэ аша де мулць кэ ну путя сэ-й май ынкапэ локул динаинтя уший, Ел ле вестя Кувынтул. 
MRK.2.3	Ау венит ла Ел ниште оамень каре Й-ау адус ун слэбэног, пуртат де патру иншь. 
MRK.2.4	Фииндкэ ну путяу сэ ажунгэ пынэ ла Ел дин причина нородулуй, ау десфэкут акоперишул касей унде ера Исус ши, дупэ че л-ау спарт, ау коборыт пе аколо патул ын каре зэчя слэбэногул. 
MRK.2.5	Кынд ле-а вэзут Исус крединца, а зис слэбэногулуй: 
MRK.2.6	Уний дин кэртурарь, каре ерау де фацэ, се гындяу ын инимиле лор: 
MRK.2.7	„Кум ворбеште Омул ачеста астфел? Хулеште! Чине
MRK.2.8	Ындатэ, Исус а куноскут
MRK.2.11	, а зис Ел слэбэногулуй, 
MRK.2.12	Ши ындатэ, слэбэногул с-а скулат, шь-а ридикат патул ши а ешит афарэ ын фаца тутурор; аша кэ тоць ау рэмас уймиць ши слэвяу пе Думнезеу ши зичяу: „Ничодатэ н-ам вэзут аша чева!”
MRK.2.13	Исус
MRK.2.14	Кынд
MRK.2.15	Пе
MRK.2.16	Кэртурарий ши фарисеий, кынд Л-ау вэзут мынкынд ку вамеший ши ку пэкэтоший, ау зис ученичилор Луй: „Де че мэнынкэ Ел ши бя ку вамеший ши ку пэкэтоший?” 
MRK.2.17	Исус, кынд а аузит ачест лукру, ле-а зис: 
MRK.2.18	Ученичий
MRK.2.19	Исус ле-а рэспунс: 
MRK.2.23	С-а ынтымплат кэ, ынтр-о зи де Сабат, Исус тречя
MRK.2.24	Фарисеий Й-ау зис: „Везь, де че фак ей че ну есте ынгэдуит сэ факэ ын зиуа Сабатулуй?” 
MRK.2.25	Исус ле-а рэспунс: 
MRK.2.27	Апой ле-а зис: 
MRK.3.1	Исус а
MRK.3.2	Ей пындяу пе Исус сэ вадэ дакэ-л ва виндека ын зиуа Сабатулуй, ка сэ-Л поатэ ынвинуи. 
MRK.3.3	Ши Исус а зис омулуй каре авя мына ускатэ: 
MRK.3.4	Апой ле-а зис: 
MRK.3.5	Атунч, ротинду-Шь привириле ку мыние песте ей ши мыхнит де ымпетриря инимий лор, а зис омулуй: 
MRK.3.6	Фарисеий
MRK.3.7	Исус С-а дус ку ученичий Сэй ла маре. Дупэ Ел а мерс о маре мулциме де оамень дин Галилея; ши
MRK.3.8	дин Иерусалим, дин Идумея, де динколо де Йордан ши димпрежурул Тирулуй ши Сидонулуй, кынд а аузит тот че фэчя, а венит ла Ел. 
MRK.3.9	Исус а порунчит ученичилор сэ-Й цинэ ла ындемынэ о корэбиоарэ, ка сэ ну фие ымбулзит де нород. 
MRK.3.10	Кэч Ел виндека пе мулць ши, де ачея, тоць чей че авяу боль се ынгесуяу спре Ел ка сэ се атингэ де Ел. 
MRK.3.11	Духуриле
MRK.3.12	Дар Ел ле
MRK.3.13	Ын урмэ
MRK.3.14	А рындуит динтре ей дойспрезече, ка сэ-й айбэ ку Сине ши сэ-й тримитэ сэ проповэдуяскэ. 
MRK.3.15	Ле-а дат ши путере сэ виндече болиле ши сэ скоатэ драчий. 
MRK.3.16	Ятэ чей дойспрезече пе каре й-а рындуит: Симон, кэруя й-а
MRK.3.17	Иаков, фиул луй Зебедей, ши Иоан, фрателе луй Иаков, кэрора ле-а пус нумеле Боанергес, каре, тэлмэчит, ынсямнэ: „Фиий тунетулуй”; 
MRK.3.18	Андрей; Филип; Бартоломеу; Матей; Тома; Иаков, фиул луй Алфеу; Тадеу; Симон Канаанитул 
MRK.3.19	ши Иуда Искариотянул, каре Л-а ши вындут.
MRK.3.20	Ау венит ын касэ ши с-а адунат дин ноу нородул, аша кэ
MRK.3.21	Руделе луй Исус, кынд ау аузит челе че се петречяу, ау венит сэ пунэ мына пе Ел. Кэч
MRK.3.22	Ши кэртурарий, каре се коборысерэ дин Иерусалим, зичяу: „Есте
MRK.3.23	Исус
MRK.3.30	Ачаста, пентру кэ ей зичяу: „Аре ун дух некурат.”
MRK.3.31	Атунч
MRK.3.32	Мулцимя шедя ын журул Луй, кынд Й-ау спус: „Ятэ кэ мама Та ши фраций Тэй сунт афарэ ши Те каутэ.” 
MRK.3.33	Ел а рэспунс: 
MRK.3.34	Апой, арункынду-Шь привириле песте чей че шедяу ымпрежурул Луй: 
MRK.4.1	Исус а ынчепут ярэшь
MRK.4.2	Апой а ынчепут сэ-й ынвеце мулте лукрурь ын пилде; ши
MRK.4.9	Апой а зис: 
MRK.4.10	Кынд
MRK.4.11	, ле-а зис Ел, 
MRK.4.13	Ел ле-а май зис: 
MRK.4.21	Ел
MRK.4.24	Ел ле-а май зис: 
MRK.4.26	Ел а май зис: 
MRK.4.30	Ел а май зис: 
MRK.4.33	Исус
MRK.4.34	Ну ле ворбя делок фэрэ пилдэ, дар, кынд ера сингур ла о парте, лэмуря ученичилор Сэй тоате лукруриле.
MRK.4.35	Ын
MRK.4.36	Дупэ че ау дат друмул нородулуй, ученичий Л-ау луат ын корабия ын каре Се афла ши аша кум ера. Ымпреунэ ку Ел май ерау ши алте корэбий. 
MRK.4.37	С-а стырнит о маре фуртунэ де вынт, каре арунка валуриле ын корабие, аша кэ май кэ се умпля корабия. 
MRK.4.38	Ши Ел дормя ла кырмэ, пе кэпэтый. Ученичий Л-ау дештептат ши Й-ау зис: „Ынвэцэторуле, ну-Ць пасэ кэ перим?” 
MRK.4.39	Ел С-а скулат, а чертат вынтул ши а зис мэрий: 
MRK.4.40	Апой ле-а зис: 
MRK.4.41	Й-а апукат о маре фрикэ ши зичяу уний кэтре алций: „Чине есте Ачеста де Ыл аскултэ кяр ши вынтул, ши маря?”
MRK.5.1	Ау
MRK.5.2	Кынд а ешит Исус дин корабие, Л-а ынтымпинат ындатэ ун ом каре ешя дин морминте, стэпынит де ун дух некурат. 
MRK.5.3	Омул ачеста ышь авя локуинца ын морминте ши нимень ну май путя сэ-л цинэ легат, нич кяр ку ун ланц. 
MRK.5.4	Кэч де мулте орь фусесе легат ку пичоареле ын обезь ши ку кэтуше ла мынь, дар рупсесе кэтушеле ши сфэрымасе обезиле, ши нимень ну-л путя домоли. 
MRK.5.5	Тотдяуна, зи ши ноапте, стэтя ын морминте ши пе мунць, ципынд ши тэинду-се ку петре. 
MRK.5.6	Кынд а вэзут пе Исус де департе, а алергат, И с-а ынкинат 
MRK.5.7	ши а стригат ку глас таре: „Че ам еу а фаче ку Тине, Исусе, Фиул Думнезеулуй челуй Пряыналт? Те жур ын Нумеле луй Думнезеу сэ ну мэ кинуешть!” 
MRK.5.8	Кэч Исус ый зичя: 
MRK.5.9	, л-а ынтребат Исус. „Нумеле меу есте Леӂиуне, а рэспунс ел, пентру кэ сунтем мулць.” 
MRK.5.10	Ши Ыл руга стэруитор сэ ну-й тримитэ афарэ дин цинутул ачела. 
MRK.5.11	Аколо, лынгэ мунте, ера о турмэ маре де порчь каре пэштяу. 
MRK.5.12	Ши драчий Л-ау ругат ши ау зис: „Тримите-не ын порчий ачея, ка сэ интрэм ын ей.” 
MRK.5.13	Исус ле-а дат вое. Ши духуриле некурате ау ешит ши ау интрат ын порчь; ши турма с-а репезит де пе рыпэ ын маре. Ерау апроапе доуэ мий ши с-ау ынекат ын маре. 
MRK.5.14	Поркарий ау фуӂит ши ау дат де штире ын четате ши прин сателе вечине. Оамений ау ешит сэ вадэ че с-а ынтымплат. 
MRK.5.15	Ау венит ла Исус, ши ятэ пе чел че фусесе ындрэчит ши авусесе леӂиуня де драчь, шезынд жос ымбрэкат ши ынтрег ла минте; ши с-ау ынспэймынтат. 
MRK.5.16	Чей че вэзусерэ челе ынтымплате, ле-ау повестит тот че се петрекусе ку чел ындрэчит ши ку порчий. 
MRK.5.17	Атунч ау
MRK.5.18	Пе кынд Се суя Ел ын корабие, омул
MRK.5.19	Исус ну й-а дат вое, чи й-а зис: 
MRK.5.20	Ел а плекат ши а ынчепут сэ вестяскэ прин Декаполе тот че-й фэкусе Исус. Ши тоць се минунау.
MRK.5.21	Дупэ
MRK.5.22	Атунч
MRK.5.23	ши Й-а фэкут урмэтоаря ругэминте стэруитоаре: „Фетица мя траӂе сэ моарэ; рогу-Те, вино де-Ць пуне мыниле песте еа, ка сэ се факэ сэнэтоасэ ши сэ трэяскэ.” 
MRK.5.24	Исус а плекат ымпреунэ ку ел. Ши дупэ Ел мерӂя мулт нород ши-Л ымбулзя. 
MRK.5.25	Ши ера о фемее каре де дойспрезече ань авя
MRK.5.26	Еа суферисе мулт де ла мулць докторь, келтуисе тот че авя ши ну симцисе ничо ушураре, ба ынкэ ый ера май рэу. 
MRK.5.27	А аузит ворбинду-се деспре Исус, а венит пе динапой прин мулциме ши с-а атинс де хайна Луй. 
MRK.5.28	Кэч ышь зичя еа: „Дакэ аш путя доар сэ мэ атинг де хайна Луй, мэ вой тэмэдуи.” 
MRK.5.29	Ши ындатэ, а секат изворул сынӂелуй ей. Ши а симцит ын тот трупул ей кэ с-а тэмэдуит де боалэ. 
MRK.5.30	Исус а куноскут ындатэ кэ о путере
MRK.5.31	Ученичий Й-ау зис: „Везь кэ мулцимя Те ымбулзеште ши май зичь: 
