GEN.1.1	La
ACT.19.30	Și când Pavel și‐a pus în gând să intre în popor, ucenicii nu l‐au lăsat. 
ACT.19.31	Și unii dintre căpeteniile Asiei, fiindu‐i prieteni, au trimis la el și‐l rugau să nu se ducă la teatru. 
ACT.19.32	Deci unii strigau una, alții altceva; căci adunarea era învălmășită și cei mai mulți nu știau pentru ce se adunaseră laolaltă. 
ACT.19.33	Și au făcut pe Alexandru să iasă din gloată, împingându‐l iudeii înainte. Și Alexandru
ACT.19.34	Dar când au cunoscut că este iudeu, s‐a făcut un glas din partea tuturor strigând cam două ceasuri: Mare este Diana efesenilor. 
ACT.19.35	Și după ce logofătul a potolit gloata, zice: Bărbați efeseni, cine este oare dintre oameni care nu cunoaște că cetatea efesenilor este păzitoarea Templului marii Diane și a chipului căzut de la Jupiter? 
ACT.19.36	Deci fiindcă acestea sunt fără cuvânt de împotrivire, se cuvine să fiți liniștiți și să nu faceți nimic în pripă. 
ACT.19.37	Căci ați adus 
ACT.19.38	Deci dacă Dimitrie și meșterii care sunt cu el au cuvânt împotriva cuiva, se țin adunări pentru judecare și sunt proconsuli: să se învinuiască unii pe alții. 
ACT.19.39	Iar dacă cereți ceva despre altele, se va lămuri în adunarea legiuită. 
ACT.19.40	Căci suntem în primejdie să fim învinuiți pentru răscoala de astăzi; și în privința ei nu vom putea da socoteală de îmbulzeala aceasta. 
ACT.19.41	Și după ce a zis acestea, a dat drumul adunării.
ACT.20.1	Și după ce a încetat tulburarea, Pavel trimițând după ucenici și îndemnându‐i, și‐a luat rămas bun de la ei și a
ACT.20.2	Și după ce a trecut prin părțile acelea și i‐a îndemnat cu mult cuvânt, a venit în Grecia. 
ACT.20.3	Și după ce a stat trei luni 
ACT.20.4	Și Sopater din Berea, al lui Pir, l‐a însoțit până în Asia; iar dintre tesaloniceni Aristarh
ACT.20.5	Și aceștia s‐au dus înainte și ne‐au așteptat în Troa. 
ACT.20.6	Și după zilele
ACT.20.7	Și în ziua întâi
ACT.20.8	Și erau destule felinare în
ACT.20.9	Și un tânăr cu numele Eutih ședea pe fereastră cufundat într‐un somn adânc; și pe când Pavel sta de vorbă cu ei mereu înainte, fiind doborât de somn, a căzut jos din al treilea cat și a fost ridicat mort. 
ACT.20.10	Iar Pavel s‐a
ACT.20.11	Și după ce s‐a suit și a frânt pâinea și a gustat și a vorbit cu ei destul, până în zori, astfel a plecat. 
ACT.20.12	Iar ei au adus pe băiat viu și s‐au mângâiat nu cu măsură.
ACT.20.13	Și noi plecând înainte la corabie ne‐am dus pe apă la Asos, având de gând să luăm de acolo pe Pavel cu noi; căci astfel rânduise, deoarece el avea să meargă pe jos. 
ACT.20.14	Iar când ne‐a întâlnit la Asos, l‐am luat cu noi și am venit la Mitilene. 
ACT.20.15	Și de acolo plecând pe apă, am ajuns a doua zi în dreptul Chiosului și în ziua următoare ne‐am atins de Samos și rămânând în Troghilion am venit a doua zi la Milet. 
ACT.20.16	Căci Pavel a judecat să treacă pe apă pe lângă Efes, ca să nu i se întâmple să întârzie în Asia; căci
ACT.20.17	Și de la Milet a trimis la Efes și a chemat la el pe prezbiterii bisericii. 
ACT.20.18	Și când au venit la el, le‐a zis: Voi știți cum am fost cu voi toată vremea, din
ACT.20.19	slujind Domnului cu toată smerenia și cu lacrimi și încercări
ACT.20.20	cum nu m‐am
ACT.20.21	mărturisind
ACT.20.22	Și acum iată, legat
ACT.20.23	decât numai că Duhul Sfânt
ACT.20.24	Dar nu
ACT.20.25	Și acum iată știu
ACT.20.26	De aceea vă mărturisesc în ziua de astăzi că sunt curat de sângele
ACT.20.27	Căci
ACT.20.28	Luați aminte
ACT.20.29	Știu că după plecarea mea vor intra
ACT.20.30	și dintre
ACT.20.31	Drept aceea vegheați, aducându‐vă aminte că trei
ACT.20.32	Și acum vă încredințez Domnului și cuvântului
ACT.20.33	N‐am poftit argint
ACT.20.34	Voi înșivă cunoașteți că
ACT.20.35	În toate v‐am dat pildă că
ACT.20.36	Și când a zis acestea, a îngenuncheat
ACT.20.37	Și a fost destul plâns al tuturor și au căzut
ACT.20.38	întristându‐se mai ales pentru cuvântul pe
ACT.21.1	Și după ce a fost așa, ne‐am smuls de la ei și am plecat pe apă; am ținut drumul drept și am venit la Cos și a doua zi la Rodos și de acolo la Patara. 
ACT.21.2	Și găsind un vas care era să treacă în Fenicia, ne‐am suit în el și am plecat pe apă. 
ACT.21.3	Și după ce am zărit Cipru, lăsându‐l la stânga mergeam pe apă spre Siria și ne‐am dat jos la Tir: pentru că acolo se descărca vasul de povară. 
ACT.21.4	Și după ce am găsit pe ucenici
ACT.21.5	Și a fost 
ACT.21.6	și ne‐am luat ziua bună unii de la alții și noi ne‐am suit în vas iar ei s‐au întors la ale lor
ACT.21.7	Și când am sfârșit noi de tot călătoria de la Tir, am ajuns la Ptolemaida; și am urat bun găsit fraților și am rămas cu ei o zi. 
ACT.21.8	Și a doua zi am plecat și am venit la Cesarea; și intrând în casa lui Filip evanghelistul
ACT.21.9	Acesta avea patru fiice fecioare care
ACT.21.10	Și rămânând noi mai multe zile, s‐a pogorât din Iudeea un proroc oarecare cu numele Agab
ACT.21.11	și venind la noi și luând cingătoarea lui Pavel, și‐a legat picioarele și mâinile și a zis: Așa zice Duhul Sfânt: Astfel
ACT.21.12	Și când am auzit acestea, noi și cei ce sunt de loc de acolo îl îndemnam ca să nu se suie la Ierusalim. 
ACT.21.13	Atunci Pavel a răspuns și a zis: Ce
ACT.21.14	Și neînduplecându‐se, ne‐am liniștit zicând: Facă‐se voia
ACT.21.15	Iar după aceste zile ne‐am pregătit și ne‐am suit la Ierusalim. 
ACT.21.16	Și au venit cu noi și dintre ucenicii de la Cesarea, care ne‐au adus la un oarecare Mnason din Cipru, ucenic vechi, la care am fost găzduiți.
ACT.21.17	Și când
ACT.21.18	Iar în ziua următoare Pavel a intrat cu noi la Iacov
ACT.21.19	Și după ce le‐a urat de sănătate la toți, istorisea
ACT.21.20	Și ei când au auzit slăveau pe Dumnezeu și i‐au zis: Vezi, frate, câte zecimi de mii sunt între iudei cei ce au crezut și toți sunt plini de râvnă
ACT.21.21	Și au fost puși în cunoștință despre tine că înveți pe toți iudeii care sunt între Neamuri să se lepede de Moise zicând că ei nu trebuie să taie împrejur pe copii nici să umble în datine. 
ACT.21.22	Ce este dar? Negreșit vor auzi că ai venit. 
ACT.21.23	Deci fă ceea ce‐ți zicem. Avem patru bărbați care au asupra lor o juruință. 
ACT.21.24	Ia‐i și curățește‐te cu ei și cheltuește cu ei ca să‐și radă
ACT.21.25	Iar cât pentru Neamurile care au crezut, noi
ACT.21.26	Atunci Pavel a luat cu el pe bărbați și după ce s‐a curățit cu ei în ziua următoare, a
ACT.21.27	Și când erau să se sfârșească cele șapte zile, iudeii
ACT.21.28	strigând: Bărbați israeliți, dați ajutor; acesta este omul care
ACT.21.29	Căci zăriseră mai înainte cu el în cetate pe Trofim
ACT.21.30	Și toată cetatea a fost mișcată
ACT.21.31	Dar pe când cercau să‐l omoare, s‐a suit vestea la căpitanul cetei de ostași că tot Ierusalimul este întărâtat. 
ACT.21.32	Acesta
ACT.21.33	Atunci căpitanul s‐a apropiat și l‐a
ACT.21.34	Și strigau unii una iar alții alta din gloată; și neputând cunoaște ce este temeinic, din pricina zgomotului, a poruncit să‐l ducă în cetățuie. 
ACT.21.35	Și când a fost pe trepte, a fost așa: el a fost purtat de ostași din pricina îndârjirii gloatei; 
ACT.21.36	căci mulțimea poporului urma strigând: Ia‐l
ACT.21.37	Și când era să fie băgat în cetățuie, Pavel zice căpitanului: Îmi este oare îngăduit să‐ți spun ceva? Iar el a zis: Știi grecește? 
ACT.21.38	Nu
ACT.21.39	Dar Pavel a zis: Eu
ACT.21.40	Și după ce i‐a dat voie, Pavel, stând pe trepte, a
ACT.22.1	Bărbați frați
ACT.22.2	Și când au auzit că le vorbea în graiul evreiesc, au ținut și mai mult liniște; și a zis: 
ACT.22.3	Eu
ACT.22.4	Și am
ACT.22.5	după cum îmi este martor și marele preot și toată
ACT.22.6	Și a fost așa: pe când mergeam
ACT.22.7	Și am căzut în locul unde eram și am auzit un glas zicându‐mi: Saule, Saule, pentru ce mă prigonești? 
ACT.22.8	Iar eu am răspuns: Cine ești, Doamne? Și el mi‐a zis: Eu sunt Isus din Nazaret, pe care tu‐l prigonești. 
ACT.22.9	Și cei ce
ACT.22.10	Și am zis: Ce să fac, Doamne? Iar Domnul mi‐a zis: Scoală‐te și mergi la Damasc; și acolo ți se va vorbi despre toate ce‐ți sunt rânduite ca să faci. 
ACT.22.11	Și fiindcă nu vedeam din pricina slavei acelei lumini, fiind dus de mână de cei ce erau cu mine, am venit la Damasc. 
ACT.22.12	Și un
ACT.22.13	a venit la mine și stând aproape mi‐a zis: Frate Saule, capătă‐ți vederea. Și eu chiar în acel ceas m‐am uitat în sus la el. 
ACT.22.14	Și el a zis: Dumnezeul
ACT.22.15	Căci
ACT.22.16	Și acum ce zăbovești? Scoală‐te, botează‐te și spală‐ți
ACT.22.17	Și a
ACT.22.18	și l‐am
ACT.22.19	Și eu am zis: Doamne, ei
ACT.22.20	Și
ACT.22.21	Și el mi‐a zis: Mergi, căci
ACT.22.22	Și l‐au ascultat până la acest cuvânt și și‐au ridicat glasul zicând: Ia
ACT.22.23	Și pe când strigau ei și își aruncau jos veșmintele și azvârleau țărână în văzduh, 
ACT.22.24	căpitanul a poruncit să fie adus în cetățuie, zicând să‐l cerceteze cu loviri de bici, ca să afle pentru care pricină strigau așa împotriva lui. 
ACT.22.25	Dar când l‐au întins pentru bicele de curele, Pavel a zis către sutașul care era de față: Vă
ACT.22.26	Și când a auzit sutașul, s‐a dus la căpitan și i‐a spus zicând: Ce ai de gând să faci? Căci omul acesta este roman. 
ACT.22.27	Și căpitanul a venit și i‐a zis: Spune‐mi, ești roman? Și el a zis: Da. 
ACT.22.28	Și căpitanul a răspuns: Eu cu o mare sumă de bani am dobândit cetățenia aceasta. Și Pavel a zis: Iar eu sunt chiar născut 
ACT.22.29	Îndată deci s‐au dat la o parte de la el cei ce aveau să‐l cerceteze; și căpitanul s‐a temut când a cunoscut că este roman și că fusese legat.
ACT.22.30	Dar a doua zi, vrând să cunoască ce este temeinic, pentru ce este învinuit de iudei, l‐a dezlegat și a poruncit ca să se adune mai marii preoților și tot sinedriul și a adus jos pe Pavel și l‐a pus înaintea lor.
ACT.23.1	Și Pavel uitându‐se țintă la sinedriu, a zis: Bărbați frați, eu
ACT.23.2	Iar marele preot Anania a poruncit celor ce stăteau lângă el ca să‐l
ACT.23.3	Atunci Pavel i‐a zis: Te va bate Dumnezeu, perete văruit: chiar tu șezi să mă judeci după lege și călcând legea poruncești
ACT.23.4	Iar cei ce stăteau de față au zis: Pe marele preot al lui Dumnezeu îl înfrunți tu? 
ACT.23.5	Și Pavel a zis: Nu
ACT.23.6	Și când a cunoscut Pavel că o parte este de saduchei iar alta de farisei, striga în sinedriu: Bărbați frați, eu
ACT.23.7	Și după ce a vorbit aceasta, s‐a făcut neînțelegere între farisei și saduchei și mulțimea s‐a dezbinat. 
ACT.23.8	Căci
ACT.23.9	Și s‐a făcut un strigăt mare și unii dintre cărturarii din partea fariseilor s‐au sculat și se certau zicând: Nu găsim
ACT.23.10	Și când s‐a făcut mare neînțelegere, căpitanul temându‐se ca Pavel să nu fie sfâșiat de ei, a poruncit să se pogoare oștirea și să‐l răpească din mijlocul lor și să‐l ducă în cetățuie. 
ACT.23.11	Iar în
ACT.23.12	Și când s‐a făcut ziuă, iudeii după ce s‐au
ACT.23.13	Și erau mai mulți de patruzeci cei ce au făcut acest jurământ împreună. 
ACT.23.14	Și au venit la mai marii preoților și la bătrâni și au zis: Ne‐am blestemat cu blestem să nu gustăm nimic până când nu omorâm pe Pavel. 
ACT.23.15	Acum dar voi împreună cu sinedriul faceți cunoscut căpitanului ca să‐l aducă jos la voi, ca și cum ați avea de gând să judecați mai cu de‐amănuntul cele despre el; iar noi mai înainte de a se apropia el, suntem gata să‐l răpunem. 
ACT.23.16	Dar fiul sorei lui Pavel a auzit de pândirea lor și a venit și a intrat în cetățuie și a spus lui Pavel. 
ACT.23.17	Și Pavel a chemat la sine pe unul din sutași și a zis: Du pe acest tânăr la căpitan, căci are să‐i spună ceva. 
ACT.23.18	Deci l‐a luat și l‐a dus la căpitan și a zis: Pavel cel închis m‐a chemat la el și m‐a rugat să aduc la tine pe acest tânăr căci are să‐ți vorbească ceva. 
ACT.23.19	Și căpitanul l‐a luat de mână și l‐a dus la o parte și a întrebat: Ce este ce ai să‐mi spui? 
ACT.23.20	Și el a zis: iudeii
ACT.23.21	Tu deci nu asculta de ei: căci îl pândesc mai mult de patruzeci de bărbați dintre ei, care s‐au blestemat ca nici să nu mănânce nici să nu bea până când nu‐l vor răpune; și acum ei sunt gata așteptând făgăduința de la tine. 
ACT.23.22	Deci căpitanul a dat drumul tânărului poruncindu‐i: Nu spune la nimeni că mi‐ai făcut cunoscut acestea. 
ACT.23.23	Și a chemat la sine pe doi dintre sutași și a zis: De la al treilea ceas din noapte aveți gata două sute de ostași să meargă până la Cesarea și șaptezeci de călăreți și două sute de sulițași 
ACT.23.24	și 
ACT.23.25	Și a scris o scrisoare care avea acest cuprins: 
ACT.23.26	Claudius Lisias, prea alesului dregător Felix, sănătate. 
ACT.23.27	Pe bărbatul acesta
ACT.23.28	Și voind
ACT.23.29	și l‐am găsit pârât pentru
ACT.23.30	Și când mi s‐a adus
ACT.23.31	Deci ostașii au luat pe Pavel, după cum le fusese poruncit, și l‐au dus noaptea la Antipatrida. 
ACT.23.32	Și a doua zi au lăsat pe călăreți să se ducă cu el și s‐au întors în cetățuie; 
ACT.23.33	și când au intrat în Cesarea și au dat dregătorului scrisoarea, i‐au înfățișat și pe Pavel. 
ACT.23.34	Și după ce a citit‐o, a întrebat din care ținut este și când a înțeles că este din Cilicia
ACT.23.35	Te voi
ACT.24.1	Și după cinci
ACT.24.2	Și când a fost chemat el, Tertul a început să‐l învinuiască zicând: Întrucât avem parte de multă pace prin tine și multe îmbunătățiri s‐au făcut acestui neam prin purtarea ta de grijă, 
ACT.24.3	le primim în orice parte și pretutindeni, prea alesule Felix, cu toată mulțumirea. 
ACT.24.4	Dar ca să nu te țin mai mult, te rog să ne asculți pe scurt cu bunăvoința ta. 
ACT.24.5	Căci am
ACT.24.6	 care a încercat să spurce și Templul și pe care l‐am apucat și am voit să‐l judecăm
ACT.24.7	dar
ACT.24.8	poruncind
ACT.24.9	Și s‐au învoit la învinuire și iudeii zicând că acestea așa sunt.
ACT.24.10	Și după ce i‐a făcut semn dregătorul să vorbească, Pavel a răspuns: Știind că de mulți ani ești judecător al acestui neam, bucuros mă apăr de cele privitoare la mine însumi, 
ACT.24.11	căci poți cunoaște bine că nu sunt mai mult de douăsprezece zile de când m‐am suit ca să
ACT.24.12	Și nici în Templu nu
ACT.24.13	nici nu pot să‐ți dovedească cele de care mă învinuiesc ei acum. 
ACT.24.14	Dar îți mărturisesc aceasta că, potrivit cu Calea
ACT.24.15	având
ACT.24.16	În aceasta și eu însumi mă
ACT.24.17	Și după mai mulți ani am
ACT.24.18	în mijlocul
ACT.24.19	care
ACT.24.20	Sau chiar aceștia să spună ce nedreptate au găsit când am stat înaintea sinedriului, 
ACT.24.21	decât numai pentru acest singur glas pe care l‐am strigat când am stat între ei: Pentru
ACT.24.22	Și Felix, pentru că știa mai cu de‐amănuntul cele despre Cale, i‐a amânat zicând: Când se va pogorî căpitanul
ACT.24.23	Și a poruncit sutașului ca 
ACT.24.24	Și după câteva zile a venit Felix cu Drusila, nevastă‐sa, care era iudeică, și a trimis după Pavel și l‐a ascultat despre credința în Hristos Isus. 
ACT.24.25	Și pe când vorbea el cu ei despre dreptate și înfrânare și despre judecata viitoare, Felix s‐a înfricoșat și a răspuns: Pentru acum du‐te; și când voi avea vreme potrivită, te voi chema la mine. 
ACT.24.26	Totodată și nădăjduia că i
ACT.24.27	Și când s‐au împlinit doi ani, Felix a avut ca urmaș pe Porcius Festus; și voind
ACT.25.1	Festus deci, după ce a pășit pe ținutul său, la trei zile s‐a suit de la Cesarea la Ierusalim. 
ACT.25.2	Și mai marii
ACT.25.3	cerând ca un hatâr împotriva lui să trimită să‐l aducă la Ierusalim; făcând
ACT.25.4	Festus deci a răspuns că Pavel este ținut în pază la Cesarea și că el însuși are să plece 
ACT.25.5	Deci care dintre voi, zice el, sunt cu putere, să se pogoare cu mine și dacă
ACT.25.6	Și după ce a zăbovit între ei nu mai mult de opt sau zece zile, s‐a pogorât la Cesarea și a doua zi a șezut pe scaunul de judecător și a poruncit să fie adus Pavel. 
ACT.25.7	Și când a venit el, iudeii care se pogorâseră de la Ierusalim l‐au înconjurat aducând împotriva lui multe
ACT.25.8	pe când Pavel se apăra: N‐am păcătuit cu nimic, nici
ACT.25.9	Dar Festus, voind
ACT.25.10	Dar Pavel a zis: Eu stau înaintea scaunului de judecător al Cezarului, unde trebuie să fiu judecat; pe iudei cu nimic nu i‐am nedreptățit, după cum și tu mai bine cunoști. 
ACT.25.11	Deci, dacă
ACT.25.12	Atunci Festus, după ce a chibzuit împreună cu cei din sfat, a răspuns: Ai cerut să fii judecat de Cezarul, te vei duce la Cezarul.
ACT.25.13	Și după ce au trecut câteva zile, Agripa împăratul și Berenice au sosit la Cesarea ca să ureze lui Festus bun venit. 
ACT.25.14	Și fiindcă au zăbovit acolo mai multe zile, Festus a spus împăratului cele despre Pavel zicând: Este un
ACT.25.15	pentru
ACT.25.16	cărora le‐am
ACT.25.17	Deci după ce au venit ei aici, n‐am făcut nicio amânare
ACT.25.18	în privința căruia, când s‐au sculat pârâșii, nu aduceau nicio vină din acele rele pe care le bănuiam eu, 
ACT.25.19	ci aveau față de el niște
ACT.25.20	Și eu nedumerindu‐mă cum să cercetez despre acestea, întrebam dacă el ar voi să meargă la Ierusalim și să fie judecat acolo pentru acestea. 
ACT.25.21	Dar când Pavel a cerut ca să fie ținut pentru hotărârea lui August, am poruncit să fie ținut până‐l voi trimite la Cezarul. 
ACT.25.22	Și Agripa
ACT.25.23	Deci a doua zi când a venit Agripa și Berenice cu mult alai, au intrat în locul de ascultare împreună cu căpitanii și bărbații cei mai aleși ai cetății și Festus a poruncit și a fost adus Pavel. 
ACT.25.24	Și Festus a zis: Împărate Agripa și toți bărbații care sunteți de față cu noi, priviți pe acesta despre care toată
ACT.25.25	Dar eu am înțeles că n‐a făptuit
ACT.25.26	Despre care n‐am ceva temeinic să scriu domnului meu. De aceea l‐am adus înaintea voastră și mai ales înaintea ta, împărate Agripa, ca după ce se va face cercetare cu de‐amănuntul, să am ce să scriu. 
ACT.25.27	Căci mi se pare fără rost ca trimițând pe un închis, să nu însemn și pricinile împotriva lui.
ACT.26.1	Și Agripa a zis lui Pavel: Îți este îngăduit să vorbești pentru tine însuți. Atunci Pavel a întins mâna și se apăra: 
ACT.26.2	În privința tuturor acelora de care sunt învinuit de iudei, împărate Agripa, mă socot pe mine însumi fericit că am să mă apăr astăzi înaintea ta. 
ACT.26.3	Mai ales că tu ești cunoscător al tuturor obiceiulrilor și neînțelegerilor dintre iudei; de aceea te rog să mă asculți cu bunăvoință. 
ACT.26.4	Deci viețuirea mea în tinerețe, care a fost de la început în neamul meu și în Ierusalim, o știu toți iudeii. 
ACT.26.5	Pentru că ei mă cunosc de la început, dacă voiesc să mărturisească; căci eu am viețuit ca fariseu, potrivit cu cea mai strașnică sectă
ACT.26.6	Și
ACT.26.7	la care făgăduință nădăjduiesc să ajungă cele douăsprezece
ACT.26.8	Pentru ce se judecă de necrezut la voi că Dumnezeu scoală morții? 
ACT.26.9	Deci
ACT.26.10	ceea ce
ACT.26.11	și pedepsindu‐i de multe ori prin toate sinagogile
ACT.26.12	În
ACT.26.13	în miezul zilei, împărate, am văzut pe cale o lumină din cer, întrecând strălucirea soarelui, strălucind împrejurul meu și al celor ce călătoreau cu mine. 
ACT.26.14	Și când am căzut noi toți jos la pământ, eu am auzit un glas zicând către mine în graiul evreiesc: Saule, Saule, pentru ce mă prigonești? Greu îți este să dai cu piciorul împotriva țepușilor. 
ACT.26.15	Și eu am zis: Cine ești, Doamne? Iar Domnul a zis: Eu sunt Isus, pe care tu‐l prigonești. 
ACT.26.16	Dar scoală‐te și stai pe picioarele tale; căci pentru aceasta m‐am arătat ție, ca
ACT.26.17	scăpându‐te din acest popor și dintre Neamuri, la
ACT.26.18	ca să
ACT.26.19	De aceea, împărate Agripa, n‐am fost neascultător vedeniei cerești, 
ACT.26.20	ci
ACT.26.21	Pentru aceasta iudeii
ACT.26.22	Deci având parte de ajutorul care este de la Dumnezeu, stau până în această zi, mărturisind și la mic și la mare, nezicând nimic decât cele ce
ACT.26.23	că
ACT.26.24	Și pe când rostea acestea apărându‐se, Festus zice cu glas mare: Ești
ACT.26.25	Dar Pavel zice: Nu sunt nebun, prea alesule Festus, ci rostesc vorbe de adevăr și cuminție. 
ACT.26.26	Căci împăratul știe de acestea către care și vorbesc cu îndrăzneală: pentru că sunt încredințat că niciuna din acestea nu este ascunsă de el, fiindcă aceasta nu s‐a petrecut într‐un colț. 
ACT.26.27	Împărate Agripa, crezi tu în proroci? Știu că crezi! 
ACT.26.28	Și Agripa 
ACT.26.29	Iar Pavel 
ACT.26.30	Și împăratul s‐a sculat și dregătorul și Berenice și cei ce ședeau cu ei. 
ACT.26.31	Și după ce s‐au dat la o parte, vorbeau
ACT.26.32	Și Agripa a zis lui Festus: Omului acestuia putea să i se dea drumul, dacă
ACT.27.1	Și când s‐a hotărât
ACT.27.2	Și suindu‐se într‐o corabie de la Adramit, care avea să meargă pe apă la locurile de pe lângă Asia, am pornit pe apă fiind cu noi Aristarh
ACT.27.3	Și în cealaltă zi am ajuns la Sidon. Și Iuliu s‐a purtat
ACT.27.4	Și de acolo am pornit pe mare și am mers pe apă pe lângă Cipru pentru că vânturile erau protivnice. 
ACT.27.5	Și după ce am trecut marea care este pe lângă Cilicia și Pamfilia, ne‐am pogorât la Mira în Licia. 
ACT.27.6	Și acolo sutașul a găsit o corabie din Alexandria, mergând în Italia și ne‐a suit în ea. 
ACT.27.7	Și fiindcă multe zile mergeam încet și am ajuns cu anevoie lângă Cnid, deoarece nu ne lăsa vântul să ne apropiem, am mers pe lângă Creta spre Salmona. 
ACT.27.8	Și mergând cu greutate pe lângă ea, am venit la un loc numit Limanuri Frumoase, de care era aproape cetatea Lasea. 
ACT.27.9	Și trecând multă vreme și călătoria fiind acum primejdioasă, pentru că
ACT.27.10	și le zicea: Bărbați, văd că și călătoria are să fie cu mare vătămare și multă pagubă nu numai pentru încărcătură și corabie, ci și pentru sufletele noastre. 
ACT.27.11	Dar sutașul asculta mai mult de cârmaci și de stăpânul vasului, decât de cele zise de Pavel. 
ACT.27.12	Și fiindcă limanul nu era bun de iernat, cei mai mulți au dat sfat să plece pe apă de acolo, dacă ar putea ajunge și să ierneze la Fenix, un liman al Cretei, privind în jos spre vântul de miazăzi‐apus și spre vântul de miazănoapte‐apus. 
ACT.27.13	Și când a bătut încet vântul de miazăzi, părându‐li‐se că sunt stăpâni pe ținta lor, au ridicat ancora și mergeau aproape de țărm de‐a lungul Cretei. 
ACT.27.14	Dar nu după multă vreme s‐a repezit din ea un vânt furtunos care se numește Eurachilon. 
ACT.27.15	Și când a fost răpită corabia cu totul și nu putea să facă față vântului, ne‐am lăsat în voia lui, lăsându‐ne duși. 
ACT.27.16	Și alergând pe lângă un ostrov mic numit Clauda, cu anevoie am fost în stare să prindem luntrea, 
ACT.27.17	pe care ridicând‐o sus, întrebuințau mijloace de apărare încingând vasul pe dedesubt; și temându‐se să nu dea peste Sirta, au lăsat vetrilele jos și erau mânați astfel. 
ACT.27.18	Și fiindcă ne nevoiam mult cu furtuna, a doua zi au început să arunce povara 
ACT.27.19	și a treia zi au
ACT.27.20	Și fiindcă mai multe zile n‐au lucit peste noi nici soare, nici stele și nu mică furtună 
ACT.27.21	Și fiindcă au fost mult fără hrană, atunci Pavel a stat în mijlocul lor și a zis: Bărbați, trebuia să fi ascultat de mine și să nu fi plecat de la Creta, și să fi cruțat această vătămare și pagubă. 
ACT.27.22	Și acum vă îndemn să fiți cu inimă bună; căci nicio pierdere de suflet nu va fi dintre voi, afară de a corăbiei. 
ACT.27.23	Pentru că în noaptea aceasta a stat lângă mine un înger
ACT.27.24	zicând: Nu te teme, Pavele, tu trebuie să stai înaintea Cezarului; și iată Dumnezeu ți‐a dăruit pe toți cei ce călătoresc pe mare cu tine. 
ACT.27.25	De aceea, bărbați, fiți cu inimă bună; căci
ACT.27.26	Dar trebuie să dăm peste
ACT.27.27	Și când a fost a patrusprezecea noapte, pe când eram mânați încoace și încolo în marea Adriatică, pe la miezul nopții marinarii bănuiau că se apropie de o țară oarecare. 
ACT.27.28	Și au lăsat măsura în jos și au găsit douăzeci de stânjeni; și depărtându‐se puțin și lăsând iar măsura în jos, au găsit cincisprezece stânjeni. 
ACT.27.29	Și temându‐se ca nu cumva să dăm peste locuri stâncoase, au aruncat patru ancore din partea dinapoi a corăbiei și doreau să se facă ziuă. 
ACT.27.30	Și fiindcă marinarii căutau să fugă din corabie și lăsaseră luntrea jos în mare sub cuvânt că ar avea să întindă ancore de la pisc, 
ACT.27.31	Pavel a zis sutașului și ostașilor: Dacă aceștia nu rămân în corabie, nu puteți fi scăpați. 
ACT.27.32	Atunci ostașii au tăiat funiile luntrii și au lăsat‐o să cadă. 
ACT.27.33	Și până să se facă ziuă, Pavel îndemna pe toți să ia ceva de mâncare zicând: Astăzi este a patrusprezecea zi de când așteptați și stați întruna nemâncați neluând nimic. 
ACT.27.34	De aceea vă îndemn să luați ceva de mâncare; căci aceasta este spre scăparea voastră; pentru că
ACT.27.35	Și după ce a zis acestea și a luat pâine, a
ACT.27.36	Atunci toți au fost cu inima bună și au luat și ei de mâncare. 
ACT.27.37	Și în corabie eram de toți două sute șaptezeci și șase de suflete
ACT.27.38	Și după ce s‐au săturat de mâncare, ușurau corabia aruncând afară grâul în mare. 
ACT.27.39	Și când s‐a făcut ziuă, nu cunoșteau bine pământul dar zăreau un sân de mare având un țărm, către care s‐au sfătuit, dacă ar putea, să mâne corabia. 
ACT.27.40	Și desfăcând ancorele, le‐au lăsat în mare, lăsând totodată în jos legăturile cârmelor și întinzând vetrila din frunte în adierea vântului, țineau spre țărm. 
ACT.27.41	Dar dând peste un loc între două mări, au înțepenit vasul și piscul s‐a
ACT.27.42	Și sfatul ostașilor a fost ca să omoare pe cei legați, ca nu cumva vreunul să iasă afară în înot și să scape prin fugă. 
ACT.27.43	Dar sutașul voind să scape pe Pavel, i‐a împiedicat de la planul lor și a poruncit ca cei ce pot să înoate să se arunce afară cei dintâi și să iasă la pământ 
ACT.27.44	și ceilalți care pe scânduri, care pe ceva de ale corăbiei. Și astfel s‐a făcut că toți au
ACT.28.1	Și după ce am fost scăpați, atunci am cunoscut că ostrovul
ACT.28.2	Și barbarii
ACT.28.3	Și când a strâns Pavel o grămadă de uscături și le‐a pus pe foc, o năpârcă a ieșit de căldură și l‐a apucat de mână. 
ACT.28.4	Și barbarii, când au văzut jivina atârnată de mâna lui, ziceau unii către alții: Negreșit, omul acesta este un ucigaș, pe care, deși a scăpat din mare, Dreptatea nu l‐a lăsat să trăiască. 
ACT.28.5	Deci el a scuturat jivina în foc și n‐a suferit niciun rău. 
ACT.28.6	Și ei se așteptau că el are să se umfle sau să cadă deodată mort. Dar după ce au așteptat mult și au văzut că nu i se întâmplă niciun
ACT.28.7	Și împrejurul acelui loc erau țarine care erau ale fruntașului ostrovului cu numele Publius, care ne‐a primit și ne‐a ospătat prietenește trei zile. 
ACT.28.8	Și a fost 
ACT.28.9	Și când s‐a făcut aceasta, veneau la el și ceilalți din ostrov care erau bolnavi și erau tămăduiți. 
