MAT.1.1	Mukanda wa kibuti kia Yesu Klisto, muana wa Davidi, muana wa Abalahama.
HEB.9.16	Kubuno ndi kuli idagano, idagano lilino lina­zindilila ndi wozo walilagaga akua. 
HEB.9.17	Kubuno idagano linazindilila kungua walilagaga akua; kubuno talinazindilila ndi wozo walilagaga ekiligo. 
HEB.9.18	Kububuno lilio itangi talinalingilue geteli mikila. 
HEB.9.19	Kubuno gasilile kutenda Mose ikakizio neikakizio lia mulembe ku bantu bansania, atolile mikila za biana bia ngombe nu mpene, gamozi na mazi nu mioza zakisimana za mikoko, nu hisope, nu asaside ku mukanda nu ku bantu bansania, 
HEB.9.20	atendile bune, Zeno zili mikila zeidagano limuakakizizibue na Kalaga.
HEB.9.21	Nu bubo asaside mikila ku numba nu binsania bia meigisia. 
HEB.9.22	Nu mu mulembe buigi na binsania biengizibue na mikila; nu gatanabasile mikila takunabede kusigilila.
HEB.9.23	Umpanga buatunganene kisusania kia bili mu meigulu buno beingibue nazo; tondo bili mu meigulu bikuengibua na bisansa bisoga nunse kutinga bibino. 
HEB.9.24	Kubuno Klisto nteingide mu busio bua kizila buobakilue na bantu, u kisusania kia kikio kia bulili; tondo muigulu, buno amoneke kano kaluma ku Kalaga ku kabamba keitu; 
HEB.9.25	tondo nteingide buno eikasane mambizi meingi, anga buingilaga sankoga munene mu busio bua kizila na muaka na muaka na mikila ziteli zage; 
HEB.9.26	songo bubo anababazizi­bue mambizi meingi kutukila kulinga kua kisi: tondo kano kaluma ku kuzindilila kua nkiko amonekile limbizi limozi buno atikie buagi ku kisansa kiage wenyene. 
HEB.9.27	Nu eka bubo bukubikilua bantu kukua limbizi limozi, nu kusila kua kukua lusungio; 
HEB.9.28	bubo Klisto nuwe eikasene limbizi limozi buno eke buagi bua bantu beingi, nu ntakavua lingo limbizi kueka buagi, tondo akavua kubabo bekumulindila buno bonibue.
HEB.10.1	Kubuno mulembe uli kisusania kia bitondo bisoga bikaba, tondo ta kisusania kikinyene kia bibio, ku bisansa bibio bibakasanaga muaka na muaka tabinavuama kusililizia babo beku­bilusia. 
HEB.10.2	Songo bubo bisansa tabinalekedue kukasanua, kubuno songo babo bekukumbamina bese basila kuengibua kalazi, tabeni­menyine buno beli na misako za buagi. 
HEB.10.3	Tondo mu bisansa bibio muli kakengelesio ka misako za buagi muaka na muaka. 
HEB.10.4	Kubuno tabuakulungana mikila za balume ba ngombe nu za mpene kutikia misako za buagi. 
HEB.10.5	Kububuno, gavule mu kisi, atendile bune,
HEB.10.5	Ntuatundile kisansa nu lukaso,
HEB.10.5	Tondo wankitide mubili;
HEB.10.6	Ntuatananizizibue na bisansa bikugisibua nu bisansa bia misako za buagi:
HEB.10.7	Ububo natendile bune,
HEB.10.7	Kalaga, Unguilila, navua (mu kigondi kia mukanda buna­sanzidue),
HEB.10.7	Kukita anga buwasombuede. 
HEB.10.8	Anga bukutenda gambakamia buno, ntuatundile bisansa, nu nkaso, nu bisansa bikugisibua, nu bisansa bia misako za buagi, aba ntuatananizizibue nabio (bibio biakasanagua anga buakakizizibue ku mulembe), 
HEB.10.9	u gago atendile bune, Unguilila, navua kukita anga buwasombuede. Atikizie itangi, buno abike lia mabili. 
HEB.10.10	Mu kusombola kukuno tuasuagizibue ku kuikasana mubili kuikasene Yesu Klisto limbizi limozi tugu. 
HEB.10.11	Nu sankoga na sankoga nawemanaga busi na busi kukita mulimo wage, nu akasanaga bisansa bibino mambizi meingi, nubio tabinavuama nunse kutikia misako za buagi: 
HEB.10.12	tondo wono, gakasene kisansa limbizi limozi tugu ku misako za buagi nu kikuikalaga nkiko na nkiko, eikede ku kuboko kua seidume kua Kalaga; 
HEB.10.13	aba nu galindile kuangata beiti bage. 
HEB.10.14	Kubuno asililizizie babo basuagibua ku kisansa kimozi ku nkiko na nkiko. 
HEB.10.15	Nu Muuza Wasililila ekutulongekela; kusila kua kutenda bune,
HEB.10.16	Lilino u idagano linkalagana nabo
HEB.10.16	Kutinga kua bindi bibio ubukutenda Mukota:
HEB.10.16	Nabike milembe zane mu mitima zabo,
HEB.10.16	Nu nazisanze mu makengelo mabo: 
HEB.10.17	Ubuakutenda bune,
HEB.10.17	Nu misako za buagi buabo nu za mibi zabo nsikazikengela lingo.
HEB.10.18	Umpanga ndi kuse kusigililua kua zeno, nti takuli lingo kingo kisansa kia buagi.
HEB.10.19	Umpanga, mibuto zane, tatuli na boba ku kuingila mu busio bua kizila ku kabamba ka mikila za Yesu, 
HEB.10.20	ku nzila nsoga nto za kala­mo za tuatide zatinga mu nsulu za busio bua kizila, bubo u mubili wage; 
HEB.10.21	nu kuba na sankoga munene wangata numba za Kalaga; 
HEB.10.22	tukunde na mutima umozi na kilemanizio kinsania ku bukatizio, mitima zeitu zengezibue, buno tusige makengelo mabi, nu mibili zeitu zogezibue na mazi menga, 
HEB.10.23	tukokomezie nunse bulongeki bua kilemanizio kietu buno tatutengetenge; kubuno we walagile eli mukatizia; 
HEB.10.24	tukengelane kulindania ku lutundo nu ku makitilo masoga; 
HEB.10.25	tatulekele kukundamana anga bukukita bango, tondo tuanane, nu tuitile kukita nunse bubo, bumukumenya buno busi bubo buse buigi.
HEB.10.26	Kubuno ndi tuagilila lingo neisela nu tuse na bumenyinino bua bulili, takuli lingo kingo kisansa ku kabamba ka misako za buagi, 
HEB.10.27	tondo tugu nti kuse kulindia kubibu kua kusungibua, nu keiya kakali kakagisia babo beiti. 
HEB.10.28	Muntu wabenga mulembe wa Mose nti akua ntaguninue, ku bulongeki bua bantu babili aba basatu: 
HEB.10.29	mukukengela buni, ndi ntanasungibua nunse wozo muntu wanyantile Muana wa Kalaga, nu kunyega zezo mikila zeidagano, zasuagizibue muzo, nu kubenga Muuza Wasililila wa mponga? 
HEB.10.30	Kubuno tuizi wozo watendile bune, Kusuba kuli kundi, noka­suba, 
HEB.10.31	Buli bubibu nunse kukatua mu maboko ma Kalaga uli Mulami.
HEB.10.32	Tondo kengelazi bibio bindi bitangi, mubio muasanizibue na kiengi, nu muababazibue nunse; 
HEB.10.33	ku bubo muabengilue ku ma­bingo nu mbabazio; nu lingo muagomezie na babo bababazizibue bubo. 
HEB.10.34	Kubuno muakuilide babo babezaga bakandua kiombo, muabogilebogile gamuanyagua bikulo bieinyu, kubuno muamenyine buno muli na bikulo bisoga nunse muigulu bikekalaga. 
HEB.10.35	Umpa­nga tamukutue mu kilemanizio kieinyu, kubuno kili na lukalilo lunene. 
HEB.10.36	Kubuno mukutunda kuba na nkiki, buno, gamuna­kita kusombola kua Kalaga, buno mube na lilio kuidagano. 
HEB.10.37	Ta bindi bingi nunse,
HEB.10.37	We ukuvua avue, nu nteizizie.
HEB.10.38	Tondo, weisanana wane akalama ku bukatizio;
HEB.10.38	Nu ndi ekuzingazinga, nti nsikabogaboga nage. 
HEB.10.39	Tondo tatuli anga babo bekuzingazinga nu bekuzimina,
HEB.10.39	tondo tuli anga babo beli na bukatizio bunatonia.
HEB.11.1	Umpanga bukatizio buli kilemanizio kia bibio bikule­maninua, bumenyinino bua bibio bitemonekako. 
HEB.11.2	Ku­buno batatanguluisue balongekedue. 
HEB.11.3	Ku bukatizio tuizi buno, nkiko zabede kuidagi lia Kalaga, nu bubo binsania bikumonekako tabiakitilue ku bikumonekako. 
HEB.11.4	Ku bukatizio bua Abele akasile Kalaga kisansa kisoga kutinga Kaina, kubo alongekedue buno eli wisanana, kubuno Kalaga eitabizizie nkaso zage; nu kubo eki atenda nu akua. 
HEB.11.5	Ku bukatizio bua Enoke azanzuidue, buno anavua kukua, nu ntamonekile lingo ko, kubuno Kalaga amuzanzuide: kubuno gabezaga ntezanzulua alongekedue buno atananizia Kalaga: 
HEB.11.6	tondo geteli bukatizio tabunakulungana kumutananizia; kubuno muntu ukukunda ku Kalaga atunganana kukatizia buno we eligo, nu ekukasaga ku babo bekumulonda lukalilo. 
HEB.11.7	Ku bukatizio bua Noa, Kalaga amutendile binsania bitamonekagako, nu amuanzile, nu angile buato buno onie kikanga kiage; kubo asungizie kisi, nu abede mupieni wa kuisanana kuli mu bukatizio. 
HEB.11.8	Ku bukatizio bua Abalahama, amaninue, anzile buno ende kuko kuakapiena; endile, nteizi kuakuenda. 
HEB.11.9	Ku bukatizio eikede mu kikio kisi kialagagua kuko, anga kuteli kuabo; eikalaga mu numba za nsulu, na Isaka nu Yakobo, babezaga bapieni ba lilio idagano anga we; 
HEB.11.10	ku­buno balangilaga muino uli na bibanza bisoga, wozo wagobakile nu wagukitile u Kalaga. 
HEB.11.11	Ku bukatizio bua Sela ekile iyimi nu abezaga ese mukungu nunse, kubuno akengede buno wozo walagile bubo eli mukatizia: 
HEB.11.12	nu bubuno muntu umozi abutile bantu beingi, nu we anga mukuzi, nu babezaga beingi anga nkeninkeni za kuigulu, nu anga misege zili ku mutili wa kitatenge, zitanavuama kuganzua.
HEB.11.13	Babano bansania bakule gababezaga bekili na bukatizio, tabe­kile ku mamo malagano, tondo bamamonineko, nu bamasekede gama­bezaga bulazi, nu bamenyine buno, babezaga bageni nu beinzi mu kisi. 
HEB.11.14	Kubuno babo bekutenda bubo bekulolesia buno beku­londa kisi kiabo. 
HEB.11.15	Nu songo bakengelaga kisi kikio kibatukile kukio, songo banasubizie lingo. 
HEB.11.16	Tondo kano kaluma bekutunda kisi kisoga nunse, u kikio kia muigulu; ku bubuno Kalaga ntanakua na nsoni ndi ekumanua buno eli Kalaga wabo; kubuno abakitide muino.
HEB.11.17	Ku bukatizio bua Abalahama galindikilue, akasene Isaka buno abe kisansa; nuwe u walagilue mamo malagano akasanaga muana wage wa ngomo; 
HEB.11.18	ububo amubuide buno, mu Isaka umukaba kikanga kiobe: 
HEB.11.19	amenyine buno Kalaga anayukia bakuzi; nu amukasilue lingo anga wayukibua ku bakuzi. 
HEB.11.20	Ku bukatizio bua Isaka akitide Yakobo nu Esau mponga aba nu ku bingo bikavua. 
HEB.11.21	Ku bukatizio bua Yakobo, gabezaga ese buigi na kukua, akitile mponga ku muana na muana wa Yosefu: akumbamine nu egamine kuntonga kua musumbo wage. 
HEB.11.22	Ku bukatizio bua Yosefu, gabezaga ese buigi na kukua, atendile bukatuka bana ba Isalele; nu bubo akakizizie kuenda na makua mage. 
HEB.11.23	Ku bukatizio bua Mose, gabutilue, abisilue miezi isatu na bamubuta, kubuno bamenyine buno eli muana musoga; aba tabakule mulembe wa mukota boba. 
HEB.11.24	Ku bukatizio bua Mose, gabede ese munene, asombile kumanua buno, eli muana wa mukinga wa Falao; 
HEB.11.25	atundile kubabazibua anga bukubabazibua bantu ba Kalaga, kuteibogiabogia ku buagi bua kisi kikino nkungu nkeke; 
HEB.11.26	kubuno akengede buno abengue anga bukubengua Klisto buli iguma inene kutinga bikagi bia Ezipeto; kubuno alemaninaga lukalilo lusoga. 
HEB.11.27	Ku bukatizio atukile ku Ezipeto, ntakule kongua kua mukota boba; kubuno alindizie mutima, anga ukumona ku wozo watakumonako. 
HEB.11.28	Ku bukatizio akitile isuluko, nu kubuluga mikila, buno we witile nkula anavua kuitubia kubeli. 
HEB.11.29	Ku bukatizio basokile kitatenge kiakisimana anga kuakama: nu baEzipeto gabagelekile kubukita, bakule mu mazi. 
HEB.11.30	Ku bukatizio bitutu bia Yeliko biaguide, gabiasilile kutimbua bindi mutuba kamo. 
HEB.11.31	Ku bukatizio bua Laba wozo wabezaga kitazi, ntakule na babo bananaga, kubuno asekede batitiki na bubobelelo.
HEB.11.32	Nu nitende buni lingo? kubuno kano kaluma nsinavuama kumusambalila musagu wa Gidiona, nu wa Balaka, nu wa Samusoni, nu wa Yepeta; nu wa Davidi nu Samuele nu balengania; 
HEB.11.33	babo ku bukatizio bakindile makota, bakitile buisanana, balagilue mala­gano, balimbile tunua tua bimbue, 
HEB.11.34	tabagide na ngulumina za keiya, bonine kuitua na bupanga, gababezaga batamba bagugumani­zibue, babezaga mapuka ma bita, bakindile mazombo ma bageni. 
HEB.11.35	Bakikulu basekede bakuzi babo bayukizibue, nu bango balibui­due nu bakule, tabazigile kukululua; buno babe neiyukilo isoga nunse; 
HEB.11.36	nu bango balindikilue buanguzanguza nu kususulua, nu kukandua makoki nu kubikua mu kikando. 
HEB.11.37	Balibuidue makozi, batilue na si, balindikilue, beitilue na bupanga, kunsania kubendaga bavualaga bikoba bia mikoko, nu bikoba bia mpene; tababezaga na kampa, bababazizibue, bakitilue bubi 
HEB.11.38	(bantu ba kisi tabatanani­zizibue nabo), batimbiletimbile mu kisi kia misege nu mu miduko, nu mu tulimba, nu mu matengu ma kisi. 
HEB.11.39	Nu babano bansania, ku kulongekelua ku kabamba ka bukatizio buabo, tababede neida­gano; 
HEB.11.40	kubuno Kalaga atubikide kili kisoga nunse, tabanasililila gatuteli.
HEB.12.1	Umpanga nuisue bansania ku kuba tuatimbua na musanga­nano munene wa balongeki, tuikie muzigo na muzigo, nu buagi buatukanda nunse, nu tuitume lubilo na nkiki ku kantangoa katuli nako, 
HEB.12.2	tukengelazi Yesu, Mukota nu Musililizia wa buka­tizio bueitu; ku kabamba ka mbogimbogi zabikidue, ababedue ku muti wa magu, nu ntakule nsoni kugo, nu ekuikalaga ku kuboko kua seidume kua Kalaga ku kisumbi kia bukota. 
HEB.12.3	Kubuno kengelazi wozo wikalide ku misako za bagi, tamukutue, nu tamutambe nunse. 
HEB.12.4	Tamuitoa nu tamubasibua mikila, mu kuluana na buagi; 
HEB.12.5	tondo muse muibilila mano mamuaninue anga bukuanagua bana,
HEB.12.5	Muana wane, ntubenge lusungu lua Mukota,
HEB.12.5	Aba ntutambe kungua ekukuzugila;
HEB.12.6	Kubuno Mukota ekusungulaga wozo watunda,
HEB.12.6	Nu ekususulaga babo bekumenya buno beli bana bage. 
HEB.12.7	Ndi mualinda mu lusungu lua Kalaga nti esamukitila anga bana bage; kubuno nazi muana utakusungulagua neisi? 
HEB.12.8	Tondo ndi tamukusungulua, anga bukusungulagua bana bansania, nti muli bana ba butazi, tondo nti tamuli bana bage. 
HEB.12.9	Nu muizi, tuabezaga na batateisue batubuta nu batusungulaga, nu tuabanzaga: umpanga ndi tatunanza nunse wono Tateisue nu nti tualame? 
HEB.12.10	Kubuno buligo nunse babano batusunguide bindi bimozi anga bubakengede buno buli busoga; tondo we ku mutali weitu, buno tusililile anga buasililila. 
HEB.12.11	Na lusungu na lusungu kungua lukusungulua nti talukubogiabogia; tondo kungua luasila kusungulua nti babo basungulagua bese bakita misako zeisanana. 
HEB.12.12	Ku bubuno lindi­azi maboko meinyu makoloboka, nu mazu matamba;
HEB.12.13	nu isiazi nzila zimukuita muzo, buno wozo uli kitunga anavua kuiba nzila, tondo kionibue.
HEB.12.14	Bobelelazi ku bantu bansania, nu ndi tamuasuagibua nti tamu­kamona ku Mukota: 
HEB.12.15	kesiazi ntende nunse, buno muntu na muntu ntakuida mponga za Kalaga; buno munavua kuba na kango­nongono kakumuagia, nuko kanagia bantu beingi; 
HEB.12.16	takube kitazi, aba utakuanza Kalaga, anga Esau, buakunzizie bupieni bua bukulu buage kuidia ikeke. 
HEB.12.17	Kubuno muizi buno gatundagua kukitua mponga, asombilue, kubuno tabunakulungene lingo ganeiyanizie, nu alilile nunse buno azikitue.
HEB.12.18	Kubuno tamuakundile ku muiduko unitubibua kugo, wagulu­minaga keiya, nu wa lutundutundu luina, nu wa kapilo, nu wa kisoa, 
HEB.12.19	nu kuidaga monze, nu iyuki lia malagi; nu babo bonguaga ku bubo basegile buno tabanongua ku lingo idagi, 
HEB.12.20	Kubuno taba­lindile muidagi idagi lilio libalagilue, Aba nyama ndi zitubia ku muiduko wono nti zalibulua makozi.
HEB.12.21	Nu bubo bueitizie boba nunse, aba Mose atendile bune, Nkukua boba, nu nkugilimina. 
HEB.12.22	Tondo inyue muakunda ku muiduko wa Siona, nu ku muino wa Kalaga uli Mulami, u Yelusalema wa muigulu, nu ku bibombo bia migenzi tununu na tununu, 
HEB.12.23	nu ku musanganano munene u eke­lezia lia babo balingile kubutua basanzilue muigulu, nu ku Kalaga Ngatu za bantu bansania, nu ku miuza za bantu beisanana basililizizibue, 
HEB.12.24	nu ku Yesu mukulumania weidagano ito, nu ku mikila za kusandilua zili misoga kutinga zezo za Abele. 
HEB.12.25	Umpa­nga tamusombe wozo ukutenda. Kubuno ndi babo tabonine gaba­sombile wozo wabanaga ga kisi, embe isue nuisue tatukona ndi tuasomba wozo ukutuanaga uli muigulu: 
HEB.12.26	kubuno iyuki liage liatengezie kisi: tondo kano kaluma alagile buno, Nkatengia kisi lingo tondo ta kisi tugu kankanka, tondo nuigulu. 
HEB.12.27	Idagi lilio, limbizi limozi lingo, likulolesia kuigibua kua bibio binavuama kute­ngibuatengibua, buno binsania bitanavuama kutengibua, bikale.
HEB.12.28	Tusime, kubuno tuakasua bukota butanavuama kutengibua, nu kububuno tukumbamine Kalaga neikumbamino liamutananizia na luanzo nu na boba; 
HEB.12.29	kubuno Kalaga weitu eli keiya kakugu­luminaga.
HEB.13.1	Mibuto zane, elamanazi kankanka. 
HEB.13.2	Tamuibilile kuse­kela bageni: kubuno bango basekede migenzi nu taba­bamenyaga. 
HEB.13.3	Kengelazi babo bakandua, anga buno muakandua nabo; nu babo bekubabalua, kubuno nuinyue muli na mubili anga babo. 
HEB.13.4	Isonga lianzue na bantu bansania, nu mugu usuage: kubuno bitazi nu beiti ba meiga Kalaga akabasungia. 
HEB.13.5	Tamuelame bikulo; bogazibogazi na bimuli nabio; kubuno we wenyene atendile bune: Nsikakuibilila nunse aba nsikakusiga nunse, 
HEB.13.6	kasi tukutenda bubuno na kilemanizio,
HEB.13.6	Mukota ekunkasagia, nsiakue bantu boba;
HEB.13.6	Bankite buni? 
HEB.13.7	Kengelazi babo bamusondelezagia, bamusambalilaga idagi lia Kalaga; nu kengelazi bubakitaga nti tabekua, susaniazi bukatizio buabo. 
HEB.13.8	Yesu Klisto eli bumozi kankanka, walubi nu lelo aba nu ku nkiko na nkiko. 
HEB.13.9	Tamuzangibuezangibue na meigisia meingo nkita, nu matasusania na mamo mamuigisizibue, kubuno buli busoga buno mutima ulindibue na mponga; aba ta ku nkita zeidia, kubuno babo babezaga nazo tababede na mutali. 
HEB.13.10	Tuli na kayulo, buno babo bekukita mulimo mu numba za nsulu tabeli na buangato bua kulia biako. 
HEB.13.11	Kubuno bitumba bia nyama zezo biagisibagua kuisula lia muino, nu mikila zazo zekagua ku busio bua kizila na sankoga munene ku kabamba ka buagi. 
HEB.13.12	Ku kabamba kakano Yesu, nuwe buno asuagie bantu ku mikila zage wenyene, ababazizibue kuisula lia muino. 
HEB.13.13	Kasi tuendazi kueli kuisula lia muino nu kubengua anga buakubengua. 
HEB.13.14	Ku­buno gano tatuli na muino ukuizizagia, tondo tukulonda wozo ukavua. 
HEB.13.15	Kueli tukase Kalaga kisansa kia luganuno bindi binsania, ububo kutenda ku kanua nti tuitabizia izina liage. 
HEB.13.16	Tondo tamuibilile kukita busoga nu kugomania: kubuno bisansa anga bibino biku­tananizia Kalaga. 
HEB.13.17	Anzazi basondelezia beinyu, ibotiazi kubeli; kubuno babo bekumulanga, anga bantu bekusambala bubakitaga; buno bakite bubo ku mbogimbogi, aba takueinia mutima; kubuno tabunamutananine.
HEB.13.18	Tusegelazi; kubuno tuizi buno tuli na bumenyinino busoga, nu tukutunda kukita busoga mu bitondo binsania. 
HEB.13.19	Nunne nkumuana nunse mukite bubo, buno nisasie kusubia kueinyu.
HEB.13.20	Umpanga, Kalaga wa bubobelelo, wayukizie lingo mulangi munene wa mikoko ku bakuzi ku mikila zeidagano litanakuzinda, we mukota weitu Yesu Klisto, 
HEB.13.21	amusililizie mu bitondo binsania bisoga kukita kusombola kuage; nuwe akite mumuli buamutanani­zia, ku Yesu Klisto; eli na lutanuno ku nkiko na nkiko zitana­kuzinda.
HEB.13.22	Tondo nkumusengezia, mibuto zane, unguililazi bunkutenda; kubuno namusanzila moki mamozi. 
HEB.13.23	Menyazi buno mubuto weitu Timoteo akandulua; nu ndi asasia kuvua, nti muatumoneko kuko kueinyu. 
HEB.13.24	Muansambizizia babo bansania bekumusonde­lezia, nu basuagibua bansania. Babo beli ku Itali bamusambizia. 
HEB.13.25	Mponga zibe neinyue bansania. Amena.
JAS.1.1	Yakobo, mukobe wa Kalaga nu wa Mukota Yesu Klisto, ku bilongo ikumi nu bibili bia balangene, samba kumuli.
JAS.1.2	Mibuto zane, mubogeboge nunse, gamukulindikua na malindiko ma lukita na lukita; 
JAS.1.3	menyazi buno kulindikua kua bukatizio buei­nyu kukulusia nkiki. 
JAS.1.4	Tondo nkiki zibe zasililila, musililile mu binsania, tamuide kena.
JAS.1.5	Tondo ndi umozi wa kumuli eida menge, asege Kalaga, ukukasanaga binsania nu ntamuzugile; nuwe akasue. 
JAS.1.6	Tondo asege mu bukatizio, ta na miango nunse; kubuno wozo uli na miango, asu­sania na bimpumi bia kitatenge bikutengatenga na lumpumpu nu kuidibula gano nu kuko. 
JAS.1.7	Kubuno wozo muntu ntakengele buno akakasua kena kua Mukota; 
JAS.1.8	kubuno, muntu uli na mitima ibili, ekutalatala mu nkita zage insania.
JAS.1.9	Tondo mubuto wane ndi ntukuanzua, bogaboga kubuno uku­ganunua; 
JAS.1.10	nu mugumi abogeboge kubuno ekukegibua: kubuno akaba anga maluba ma bisugu makukoloka. 
JAS.1.11	Kungua musi use wazuza nunse, nti womia bisugu; nu maluba nti makoloka, nu mulangalo wamo nti wazinda: nti luazimine: anga bubo mugumi akazimina mu misako zage insania.
JAS.1.12	Mbogimbogi ku wozo muntu ukukinda mu malindiko, nu kungua asila kulindikua, nti akakasua nkumbu za bukota za kalamo, zalagile Mukota ku babo bekumutunda. 
JAS.1.13	Ndi muntu ekulindikua ntatende bune, Nkulindikua na Kalaga; kubuno Kalaga ntanali­ndikua na bubi, aba we wenyene ntanalindika muntu: 
JAS.1.14	tondo na muntu na muntu ekulindikua gakulutua nu kuengelelua na lutundo luage wenyene. 
JAS.1.15	Kungua lutundo luetila, nti luabuta buagi; bubo buagi nubo kungua buitila, nti buabuta lukuo. 
JAS.1.16	Tamu­engelelue, mibuto zane batundua. 
JAS.1.17	Na kukasana na kukasana na kuli kusoga, nu nakio nakio na kiasililila nti kikutukaga kuigulu kulsi wa kiengi, nu we ntanagaluka nunse, aba ntekuigelelaga nunse. 
JAS.1.18	Ku kusombola kuage wenyene, atubutile kuidagi lia bulili, buno tube lukita lua bibumbua biage bitangi.
JAS.1.19	Umpanga, mibuto zane batundua, muizi. Tondo na muntu na muntu asasie kungua, tondo ntasasie kutenda, nu ntasasie kongua; 
JAS.1.20	kubuno bongua bua muntu tabukuzindilizia kuisanana kua Kalaga. 
JAS.1.21	Umpanga sigazi nsese insania nu bubi buetila buingi, sekelazi idagi ku kubota liabikilue mu mitima, linavuama kumonia. 
JAS.1.22	Tondo mube bakiti beidagi, tondo ta bonguilizi tugu, munavua kuiyengelela. 
JAS.1.23	Kubuno ndi muntu eli munguilizi weidagi tugu nuwe ta mukiti walio, nti muntu wono eli anga muntu ukuidola ku meiso mage mu kiyolo; 
JAS.1.24	kubuno ekuidola, nu kusila kuidola nti enda, nu ku nkungu zezo nti iyibilila buimonagako. 
JAS.1.25	Tondo widolaga mu mulembe wasililila wabukandulua, nu kugukita, ntabe muibilizi wa biakungua kubio, tondo mukiti wa mulimo, nuwe nti abogeboge mu mulimo wage. 
JAS.1.26	Ndi muntu wa kumuli ekuke­ngela buno eli na meigisia, nuwe ndi ntekuisungula mu kutenda, nti ekuiyengelela, nti meigisia ma muntu wono tameligo. 
JAS.1.27	Meigisia meli masoga nunse u mamo meteli na nsese ku Kalaga Tateisue, u mamo, kukunga nkubi, nu misigala mu tubebe tuabo, nu kutaba na kabalibango mu kisi.
JAS.2.1	Mibuto zane, bukatizio bumuli nabo mu Yesu Klisto, Mukota weitu wa lutanuno, tabube ku kukutia bantu. 
JAS.2.2	Kububuno ndi muntu eli na mpete za olo, nu nsulu nsoga, eingila mu numba za musanganano weinyu; nu ndi muzambi nuwe eingila nu eli na nsulu mbi; 
JAS.2.3	nu ndi muanza wozo uli na nsulu nsoga, nu kumubula buno, Uwe ikala gano ga kiziki kisoga; nu kubula wozo muzambi buno Uwe emana gago, aba ikala gansi; 
JAS.2.4	ndi nti tamukulundulana, nu ndi nti tamuli ngatu zili na makengelo mabi? 
JAS.2.5	Unguililazi, mi­buto zane batundua; ndi Kalaga ntasombuede bazambi ba kisi buno babe neiguma mu bukatizio, nu bapieni ba bukota buabikide babo bekumutundaga? 
JAS.2.6	Tondo muabengile bazambi. Nu ndi ba­gumi nubo tabamubengile, nu kumubuluta ku bisumbi bia lusungio? 
JAS.2.7	Ndi tabakulinga izina lilio isoga limukumanua mulio? 
JAS.2.8	Tondo ndi mukuzindilizia mulembe wa bukota, anga buasanzilue buno, tunda mibuto zobe ange buwitunda uwenyene, nti muakita busoga: 
JAS.2.9	tondo ndi mukukutia bantu, nti mukuaga, nu kusungibua na mulembe anga bekugukagula. 
JAS.2.10	Kububuno ndi muntu anza mulembe unsania, nu ndi aga muikakizio limozi, nti aga mu mansa­nia. 
JAS.2.11	Kubuno we atendile bune, Ntuite meiga, atendile lingo bune, Ntuite muntu. Umpanga ndi ntuita meiga, tondo wita muntu, nti wakagula mulembe. 
JAS.2.12	Tendazi, nu kitazi, anga bantu bakasungibua ku mulembe wa bukandulua. 
JAS.2.13	Kubuno lusungio taluli na kiombo ku wozo uteli na kiombo; nu kiombo kikukinda lusungio.
JAS.2.14	Mutali mukizi, mibuto zane, ndi muntu ekutenda buno eli na bukatizio, nuwe nteli na misako misoga? Ndi bubo bukatizio bunamonia? 
JAS.2.15	Ndi mubuto weitu umozi, wamulume aba muki­kulu, eli buasi nu nteli neidia busi na busi, 
JAS.2.16	nu ndi muntu umozi wa kumuli abatenda buno, Endazi busoga, mungue keiya, nu kuikuta; tondo ndi ntabakasa bibakuiyanina bia mubili; nti uli mutali mukizi? 
JAS.2.17	Nu bubo ububo ndi bukatizio tabuli na misako misoga, kasi nti buakua. 
JAS.2.18	Tondo muntu anatenda buno, Uwe uli na bukatizio, nunne nili na misako misoga; undolesie bukatizio buobe kuteli misako misoga zobe, nunne nakulolesie bukatizio buane ku misako misoga zane. 
JAS.2.19	Uwe ukukatizia buno, Kalaga eli umozi; nti ukukita busoga: nu basumbu nubo bekukatizagia bubo, nu beku­giliminaga. 
JAS.2.20	Tondo, uwe muntu utakulangua, ndi ntukutunda nuwe kumenya buno bubo ubuli bukatizio ndi tabuli na misako misoga nti buakua? 
JAS.2.21	Ndi tateisue Abalahama ntabingizibue ku misako misoga, ububo akasene muana wage Isaka ku kayulo? 
JAS.2.22	Ntukumona, bukatizio buamonekileko mu misako misoga zage, nu bukatizio bubo buasililide ku misako misoga zage; 
JAS.2.23	nu ma­sanzo mamo mazindilide matendagua buno, Abalahama akatizizie Kalaga, nu atekuidue buno eisanana; 
JAS.2.24	Tamukumona, ku misako za muntu ekubingibua ta ku bukatizio kankanka. 
JAS.2.25	Anga wozo Laba wabezaga kitazi ndi ntabingizibue na misako misoga gasekede batitiki, nu abanine kuingo nzila? 
JAS.2.26	Ububo ndi mubili taguli na muuza nti wakua, nu bubo ubuli bukatizio buteli na misako misoga nti buakua.
JAS.3.1	Mibuto zane, kumuli takube basozi beingi, menyazi buno tukasungibua nunse. 
JAS.3.2	Kubuno tukuikuka mu bitondo bingi. Ndi muntu ntekuikuka ku kutenda, wono nti u muntu wasililila, nu nti anavuama kuangata mubili wage unsania. 
JAS.3.3	Nu anga bubo butukubikaga biuma mu tunua tua mpunda buno zituanze, nu butu­kuzitimbulaga. 
JAS.3.4	Unguililazi, anga buli mato; meli manene nu mekusindikua na lumpumpu lubibu, ku kugalukibua na kiuma kikeke nunse, nu mekuenda anga bukutunda musondelezia. 
