GEN.1.1	Lo yaþoodat Luwah ndah dørãg kï døning.
JHN.13.8	Jeju tura an: Îla m'tugoi al a ne, nya mad kï goi nat sem goto.
JHN.13.9	Simõ Pierr ela an: Bïraþe i tugo njam hã kïðabe al, na jim kï døm tø ho.
JHN.13.10	Jeju ela an: De'n ndog man woi a ne, a gee kï'n tugo njan la koon, kïta i kï kar nyang kïtaagbe woi. Na în taa ne, în kïkar nyang, na în tube al. 
JHN.13.11	Jeju ger de kï ngelan ji madngétaangt køi. Kïtø 'nten la elïn an: în kïkar nyang tube al ye. 
JHN.13.12	Lon tugo nja ngéndoog lon woi ye, øi kubg lon la ront gog, kamla tel aw ndï ta nyasat gog, eld an: I gerïn nya'n m'ða sesï yo?
JHN.13.13	I ndï i kunmïn ngendoo deg kï Bïraþe; i ndï elïn goðobat kïta mî titbe. 
JHN.13.14	Îla mî kï Bïraþe kï ngendoo deg m'tugo njasï a ne, maj kad i tugon njana ho. 
JHN.13.15	M'adsï nyandaj kïtakad i ðan tit'n m'ðan sesï ye be. 
JHN.13.16	Rota, rota la m'ndï m'elsï ye. Þer i kïbo tøi ngen al, ngombangkïla i kïbo tøi ngelan al ho. 
JHN.13.17	Îla i gerïn nyag 'nten, na i høn ða got a ne, în ngeronel. 
JHN.13.18	M'ndï m'elta losï tube al, m'ger îgïn m'mbed'd, na kïtakad tølïn ne ta ta kïndang kam Maktubt: De'n ndï sa sem bïnã la tel ngendorïm. 
JHN.13.19	Labekïnõt m'ndï m'elsï kete lon nya ðan nya al þaitø kïtakad lon ða nya woi a ne i gerïn køikøi mî la i mî. 
JHN.13.20	Rota rota la m'ndï m'elsï ye, dekïðen ndï hø de'n m'laa kï ront a ne, ndï høm mî kïþe la kïront ye; de'n ndï høm kï ront a ne ndï hø ngelam la kï ront ye.
JHN.13.21	Lon Jeju elta 'nten ye, kama gang ngalang ad elta kï tïga an: Rota rota la m'ndï m'elsï ye, kïkïða kusït a lam ji degt. 
JHN.13.22	Ngéndoog oon kumna mbet't kïta gerïn de'n Jeju ndï elta loa al. 
JHN.13.23	Kïkïða ku ngéndoogt loa, în Jeju tara ngãi ndïna ron kad Jejut. 
JHN.13.24	Simõ Pierr la jin kïdø ngendïna ron kad Jejut kad ndïjea ke nõ Jeju ndï elta loa a? 
JHN.13.25	Ngendoo'n non norr kï dø Jejut ndïjea an: Bïraþe i nõ a?
JHN.13.26	Jeju tur an: Îla i de'n þet m'a m'la ngon gaj bïnã kam tãt m'ada ye.
JHN.13.26	Titbe lon la ngon gaj bïnã kam tãt woi ye ad Judas ngon Simõ Iskariot. 
JHN.13.27	Go ngon gaj bïnãt'n non la sitan and kam Judast. Jeju ela an: Nya'n i ndï ða, i ða kanangbe. 
JHN.13.28	Ku ngéndoogt'n ndïn ta nyasat, de mad kï ger kïtøði Jeju elïn ta 'nten goto. 
JHN.13.29	Þølnar i ji Judast kïta 'nten kïmadg oon a anan Jeju ela kï aw ndugo nyag'n gee kïta ða nah, ke kï ad nya mad ngéndog. 
JHN.13.30	Lon Judas ta ngon gaj bïnã woi ye tee kanangbe, lo diw.
JHN.13.31	Lon Judas tee woi ye, Jeju el an: Tajigla Ngon de ngah køsïgon, Luwah tø ngah køsïgon kamat.
JHN.13.32	Îla Luwah ngah køsïgon kamat a ne, Luwah tø a ada køsïgon kamïnt î kïþe kïdøn; na tentenbe a ada køsïgon tø. 
JHN.13.33	Nganïm, mî sesï nat ngonsî þaitø. A i sahmïn, na tit'n m'elïn juipg m'an: lon m'a m'awt a asïn kawt al, titbe tø la m'ndï m'elsïn tajigla ho ye. 
JHN.13.34	M'adsï mberkïnda kïkij, sumba kad i tarïn na, tit'n m'tarsïn ye be, 
JHN.13.35	kï i tarïn na titbe tø. Kïgot 'nten deg tube a gerïn ne în ngéndoog lom, ad i dø tart kï i ndï tarïn na.
JHN.13.36	Simõ Pierr ela an: Bïraþe I ndï aw ða. Jeju tura an: Lon m'ndï m'awt, asï ndulo gom tajigla al, na a i ndulo gom þai. 
JHN.13.37	Pierr ela an: Bïraþe kïtøði m'asï ndulon goi tajigla al a? Mî nderrbe kad m'ad rom kïtai. 
JHN.13.38	Jeju tur an: A ad roi kï tøm a? Rota rota la m'ndï m'eli ye, kïnja a ko al þaitø, na a i maj ta gerïm nja mïta.
JHN.14.1	Ot kadïn kamsï dasï ta paa. I ndï adïn kamsï Luwah a ne, admïn kamsï tø. 
JHN.14.2	Kam þet lo Bøwm kujg în tit. Îla titbe al a ne, neni m'elsï ta 'nten al, kïta m'ndï m'aw kï m'ðago lo kïtasï. 
JHN.14.3	Îla m'aw m'ðago lo kïtasï a ne, m'am m'tel m'ðe m'øisï kï romt, kïtakad lon m'ndït a ne, i ndïnt tø. 
JHN.14.4	I gerïn lo în m'ndï m'awt, i gerïn ðoba tø. 
JHN.14.5	Tomas ela an: Bïraþe, kï ger lo'n, i ndï awt al, titbãi hã j'asï ger ðoba a? 
JHN.14.6	Jeju ela an: Mî ðob, mî rota, mî kumkajin de mad kï asï ðe ro Bøwt goto, na kïtakulïm tã. 
JHN.14.7	Kan ila i germïn a ne, a gerïn Bøwm ho. Na tajigla i gerïna, oona tø. 
JHN.14.8	Pilip ela an: Bïraþe øj'j Bøw ðang a asïj. 
JHN.14.9	Jeju ela an: M'ndï nat sesï maði nu ye la Pilip i gerïm al yo? De'n oom a ne, oo Bøw; titbãi i ndï el an: M'øjsï Bøw a? 
JHN.14.10	I ger køikøi kad m'ndï kam Bøwt, na Bøw ndï kammt ale? Tag'n m'ndï m'elsï ye, m'un kïdøm hã m'elsï al, na Bøwïn ndï kammt la ndï ða kïla lon ye. 
JHN.14.11	I taan ta lom lon m'el m'an: Mî kam Bøwt, na Bøw i kammt ho, na îla i be al a ne adïn kamsï kïlag'n m'ða. 
JHN.14.12	Rota rota la m'ndï m'elsï ye, de'n ndï adïm kamïn a ne, a ðakïlag'n m'ndï ða nõ ho a ðakïlag kïbo tøi îgïn non kïta m'ndï m'aw ro Bøwt. 
JHN.14.13	Nya ði a i køn Bøw kam tømt a ne, m'a m'ða nyàa nõ, kïtakad Bøw ngahn køsïgon kam ngont. 
JHN.14.14	Îla i køn nya mad kam tømt a ne, m'a m'ða nyàa nõ.
JHN.14.15	Îla i tarmïn a ne i ngomïn go Mberkïndag lom. 
JHN.14.16	Na mî m'am kø Bøw, na a la kï Ngesølkam mad adsï kïtakad ndï sesï nat mbãkïnõt, 
JHN.14.17	i Ndil rota în deg kï døningt asïn høa kï rodt al, kïta oona al, gerïna al ho, na în i gerïna, ndï nat sesï, i kamsït tø. 
JHN.14.18	M'am nyasï nganhalgt al, na m'am tel m'ðe rosït. 
JHN.14.19	Nãi kaglo sî baitø kad deg kï døningt oomïn al, na în a oomïn kïta, m'ndï kumkajir na a i ndïn kumkajir ho. 
JHN.14.20	Ndøt'n non a i gerïn køikøi, m'ndï kam Bøwmt, i ndïn kammt, mî tø m'ndï kamsït. 
JHN.14.21	De'n ndï kï mberkïndag lom, ndï ngomgod tø a ne, î la ndï tarïm ye. De'n ndï tarïm a ne, a i ngetar lo Bøwm, m'a m'tara, na m'a m'ada gerïm. 
JHN.14.22	Judas, i Judas Iskariot al, ela an: Bïraþe ði ða nya ad kï geri na deg kï døningt gerïn al a? 
JHN.14.23	Jeju tura an: Îla de mad ndï tarïm a ne, a ngomgo ta lom na Bøw a tara; mî kï Bøwm j'a kï ðe roat, j'a kï hø lo ndïj roat. 
JHN.14.24	De'n ndï tarïm al a ne, ndï ngom gotag lom al. Na ta'n i ndï oon dø i lom al, na i lo Bøw kï ngelam. 
JHN.14.25	Tag'n non m'elsï lon m'ndïn nat sesï þaitø. 
JHN.14.26	Na ngesølkam ad i Ndil kïkunjðang'n Bøw a lan kam tømt, îla a ndoosï nyag tube, a ga kamsï dø nyagt tube'n m'elsï ye. 
JHN.14.27	Kamsøl lom la m'ndï nya m'adsï ye, m'adsï kamsøllomlom, m'ndï m'adsï tit'n dunia ndï adsïn al. Ot kadïn kamsï dasï ta paa, ot kadïn kamsï gang man. 
JHN.14.28	Oon dø ta'n m'elsï m'an: M'ndï m'aw na m'am m'tel m'ðe rosït nõ. Îla i tarmïn a ne, ni a i ðan ronel kïta m'ndï m'aw ro Bøwt. I kïbo tøim. 
JHN.14.29	Na tajigla m'elsï nyag 'nten kete tã kad nyag'n non ðen, kïtakad lon a ðan nya a ne a i gerïn ne køikøi. 
JHN.14.30	M'a m'elsï ta mad gog al ta, kïta ngekõþe kï døningt'n ðan ndï ðe na aw kï tøg dømt al; 
JHN.14.31	na kïtakad deg kï døningt gerïn kad m'ndï m'tar Bøw na m'ndï m'ða kïgo Mberkïndat'n Bøw adïm ye, i þain dõ ad kï j'awïn nu.
JHN.15.1	Mî dî nduu kï jeje. Bøw i ngendøø nduu. 
JHN.15.2	Døji kïðen kï þa kadïmt, na ndï tee kï kandïn al a ne, a ga ganga kø; na døji kïden'n ndï tee kï kandïn a ne, a ja takõna kïtakad tee kï kandïn kï tøi kï døt. 
JHN.15.3	În kïkar woi kïtakul ta'n m'elsï. 
JHN.15.4	I ndïn kï kammt. Na mî m'a m'ndï kï kamsït ho. Tit'n døji nduu asï kand kï dø'n al, na ða kï dø dî nduut tã ye, titbe în kaa asïn tee kï kand al, îla i ndïn kï kammt al. 
JHN.15.5	Mî dî nduu, în døjiag. De'n ndï kï kammt, na mî m'ndï kï kamat ho a ne, ndï tee kï kandïn ngãi, kïta kïkanjïm asïn ða nya mad al. 
JHN.15.6	Îla de mad ndï kï kammt al a ne, a lana kï tïga, tit døji kag kï gang be, ad tut; kamla øin døji kagg, ün horro ad õ rion. 
JHN.15.7	Îla i ndïn kï kammt, na tag lom ton kï kamsït ho a ne, i køn nya'n i geen, na Luwah a adsï. 
JHN.15.8	Îla i teen kï kand ngãi a ne, i titbe la Bøwm a ngahn tøko, na a în ne ngéndoog lom ho ye. 
JHN.15.9	Tit'n Bøwm tarmïn ye, m'tarsï titbe ho. I ndïn kï kam tart lom. 
JHN.15.10	Îla i ndï i ngomïn go Mberkïndag lom a ne, a i ndïn kï kam tart lom, tit'n m'ngomïn go Mberkïndag lo Bøwm, na m'ndïn kï kam tart loa ye be. 
JHN.15.11	M'elsï tag 'nten kad ronel lom ndïn kï kamsït, kad ronel losï asïnatap.
JHN.15.12	Mberkïnda lom la ten: I tarïn na, tit'n m'tarsïn nõ. 
JHN.15.13	Tar kïbo tøi 'nten goto: Kad de ad ron kïta namïng. 
JHN.15.14	În nammg îla i ðan nya'n m'ndasï mbera. 
JHN.15.15	M'ndï m'kunsï þerg al ta, kïta þer ger nya'n ngea ndï ða al; na m'kunsï nammg kïta m'ad i gerïn nyag tube'n m'oo dø ro Bøwmt. 
JHN.15.16	În hã i køtïmïn al: Na mî la m'køtsï, na m'ndasï kad awïn, kï andïn, na kï kandsï tokïnõt, kïtakad nya'n a i kø'n Bøw kam tømt a ne, kï adsï. 
JHN.15.17	Nya'n m'ndï m'ndasï mbera la ten: Kï i tarïn na.
JHN.15.18	Îla deg kï døningt ndï øsïsïn taa ne, kï i gerïn øsïmïn ta kete nõsït. 
JHN.15.19	Ni în lo deg kï døningt a ne, deg kï døningt a tarïn kïlodg, na kïta în lo deg kï døningt al, na m'køtsï ku degt kï døningt, kïta 'nten la deg kï døningt ndï øsïsïn ne ta. 
JHN.15.20	I gan kamsï dø tat'n m'elsï m'an þer i kïbo tøi ngeen al nõ. Îla dan rom ndo a ne, a dan rosï ndo ho îla ngomïn go ta lom a ne, a ngomïn go losï ho. 
JHN.15.21	Na a ðan sesï nyag'n non tube kïtatøm, kïta gerïn ngelam al. 
JHN.15.22	Neni m'ðe al, ad m'eld ta al a ne, a ndïn kï majal dødt al; na tajigla taa a nya'n go majal lod al. 
JHN.15.23	De'n ndï øsïmta a ne, ndï øsï ta Bøwm ho. 
JHN.15.24	Neni m'ðakïlag'n de kïðang mad ða kudt al a ne, majal lod goto. Na tajigla, oon kïlag lom na øsijïn ta, mî kï Bøwm tu. 
JHN.15.25	Nya 'nten ða nya kad tølïn ne ta ta'n ndangïn kam Mberkïndat lod anan: Øsïmïn ta kïkanj ta.
JHN.15.26	Na lon ngesølkam'n m'a m'laa kïrosït kokïro Bøwt, ad i Ndil rota'n ndï tee kokïro Bøwt ye, ðe woi a ne, a manaj dømt. 
JHN.15.27	Na în kaa a i mamïn naj, kïta în nat sem lo yaþoodat nu.
JHN.16.1	M'elsï nyag 'nten kete kad lon ndoorsïn a ne i nyan ta kadm kamsï kø al. 
JHN.16.2	A tuþasïn kø kam kuj kawnat lo juipg. Kaglon a ðe nõ, dekïðen a tølsï a ne, a oo an: N'ndï n'ða kïla n'ad Luwah. 
JHN.16.3	A ðan titbe kïta gerïn Bøw al ho, germïn al ho. 
JHN.16.4	M'elsï nyag 'nten, kad lon døkàda asï a ne, i gan kamsï dø tat'n m'elsï kete nõ. M'elsï tag 'nten lo yaþoodat nu al, kïta mî nat sesï.
JHN.16.5	Tajigla m'ndï m'aw ro Ngelamt. Na de mad kusït kï ndïjem ke m'ndï m'aw ðah kaa goto. 
JHN.16.6	Na kamkil ðoosï kamsï kïta kelïn m'elsï tag 'nten. 
JHN.16.7	M'ndï m'elsï rota, maj kï tøsï kad m'aw; na îla m'aw al a ne, Ngesølkam a ðe rosït al; na îla m'aw a ne, m'a m'laa kïrosït. 
JHN.16.8	Lon a ðe a ne, a hø deg kï døningt kï ta dø majalt lod, dø ðadenesewt, dø takïgangt tø. 
JHN.16.9	A hød kïta dø majalt kïta ndï admïn kamd al. 
JHN.16.10	Dø ða da ne, sewt kïta m'ndï m'aw ro Bøwt na a oomïn gog al. 
JHN.16.11	Dø takïgangt tø kïta Luwah gangta dø ngekõþet kï døningt'n ðan woi. 
JHN.16.12	M'ndï kï ta madg la ngãibe kad m'elsï þaitø na asïn kund døsït tajigla al. 
JHN.16.13	Na lon Ndil rota a ðe a ne, a ørrsï ta ðob kï kam rotat tube kïta a un ta kï døn el al, na a el nyag tube'n a oo dø, a øjsï nyag'n ndï ðen. 
JHN.16.14	Ndil rota'n non a ad tøm ko, kïta a øi kam lomt la a øjsï ye. 
JHN.16.15	Nyag tube'n în lo Bøw în lom, kïta 'nten la m'elïn m'an: Ndï øi kam kïlomt la øjsï ye.
JHN.16.16	Nãi kaglo tëbe a ne, a i lan kumsï dømt gog al; kamla kaglo tëbe gog tø a oomïn. 
JHN.16.17	Kïtø 'nten kïmadg ku ngéndoogt loa elïna anan ta ði ndï elj an: Nãi kaglo tëbe a ne, j'a kï la kumj dønt gog al kamla kaglo tëbe gog tø a ne, j'a j'oon kïta ndï n'aw ro Bøwt a? 
JHN.16.18	Elïn anan: Ta'n el an: Nãi kaglo tëbe ye girra i ði a? Kï ger ta'n el nõ al. 
JHN.16.19	Jeju ger kad ngéndoog lon ndigïn ndïjea ta kïta 'nten eldïn an: I ndï ndïjen na ta dø tat'n m'elsï m'an: Nãi kaglo tëbe a ne, a i lan kumsï dømt gog al; kamla kaglo tëbe tø a oomïn yo? 
JHN.16.20	Rota rota la m'ndï m'elsï ye, a i non, a i ton ðusï ðusï na dunia a ða ronel, a i ðan kamkil, na kamkil losï a tel ronel. 
JHN.16.21	Lon dekïdë ndï tõ ngon a ne, ndï kï kamkil kïta ndøa asï, na lon ooj ngon woi ye, kama woi dø kamkil loa kïta ronel kïbo ðaa dø koojt'n ooj ngon kï døningt. 
JHN.16.22	În tø, tajigla i ndïn kï kamkil na m'a m'oosï gog, kamla rosï a nelsï, de mad kï a ta ronel losï goto. 
JHN.16.23	Ndøt'n non a i ndïjemïn ta mad al. Rota rota la m'ndï m'elsï ye, nya ði kï a i køn Bøw kam tømt a ne, a adsï. 
JHN.16.24	Mbã tajigla i køn nya mad kam tømt al. I køn, na a i ngahn kad ronel losï asïn na tap.
JHN.16.25	M'elsï ta nyag 'nten kï terrtag. Døkàd ndï ðe nõ, în m'a m'elsï ta kï terrtag gog al, na m'a m'elsï ta lo Bøw kï tïga wakïsï. 
JHN.16.26	Ndøt'n non a i køn kam tømt, na m'elsï m'an: M'am kø Bøw kïtasï al. 
JHN.16.27	Kïtø Bøw kïdøn ndï tarsï, kïta i tarmïn, na i gerïn køikøi m'tee kam Bøwt. 
JHN.16.28	M'tee kam Bøwt, m'ðe døningt, tajigla m'ndï m'nyà døning, na m'ndï m'aw ro Bøwt. 
JHN.16.29	Ngéndoog loa elïna anan: Oo tajigla kï ger i ndï elta kï tïga wakïsï, i kï terrta hã i ndï elïn ta al ta. 
JHN.16.30	Tajigla kï ger, i ger nyag tube, i gee kad de mad ndïjei ta al kïta 'nten kï gerïn køikøi i tee kokïro Luwaht. 
JHN.16.31	Jeju turd an: Tajigla adïn kamsï a? 
JHN.16.32	Døkàd ndï ðe, tajigla ðe woi, a i tîn na, dekïðen a aw lo lon, a i nyàmïn kïkïðambe do, na mî kïkïðam al, kïta Bøw i nat sem. 
JHN.16.33	M'elsï tag 'nten kad i ngahn ne kamsøllom kammt. Kam døningt ne a i ndïn kï kamkøl, na iren kamsï ndang, m'tetðøø dunia.
JHN.17.1	Lon Jeju eltag'n non ye, un kumïn kïdõ el an: Bøw døkàd asï woi, ad tø ngoni ko kïtakad ngoni ad tøi ko tø. 
JHN.17.2	Kïgo tøgt'n ada dø ngékumkajirgt tube, kïtakad ad kumkajir kïmbãkïnõt deg tube'n ada. 
JHN.17.3	'Nten la i kumkajir kï mbãkïnõt, kad deg gerïn î Luwah kï ngerota kïðabe, kï Jeju Krist'n i laa tø. 
JHN.17.4	M'ndï m'ad tøi ko døningt ne, kï lo tølkon kïlat'n adïm kï m'ða. 
JHN.17.5	Tajigla Bøw adïm tøko'n m'ndïn sei nat lon ndahn ne døning al þaitø. 
JHN.17.6	Deg kï adïmd kokam degt kï døningt ye, m'ad'd gerïn tøi. În loi îla adïmd ye, ngomïn go ta loi tø. 
JHN.17.7	Tajigla gerïn kad nyag tube'n adïmd ye ðen ko roit. 
JHN.17.8	Kïtø m'ad'd tag kï adïm, în tø tan, gerïn m'tee kokïroit jeje ad gerïn køikøi î la i lam ye. 
JHN.17.9	M'ndï m'kø kïtad. M'ndï m'kø kïta deg kï døningt al, na kïta deg'n adïmd în loi. 
JHN.17.10	Nyag loi tube în lom, kï loig tø în lom, na m'ngah køsïgon kamdt tø. 
JHN.17.11	M'ndï døningt gog al ta, na îg'n non ndïn døningt, mî tø m'ndï m'aw roit. Bøw kïkunjðang m'køi kï i ngom deg'n adïmd kam tøit, ad i tø'n adïm, kïtakad în kïða tit'n jîn kïða. 
JHN.17.12	Lon mî sed nat þãitø ye, îgïn adïmd, m'ngomd kam tøg tøit, ad i tø'n adïm; m'ngomd maj ad kïkïða kudt kaa nuj kø al na ngon kï ngenujkø'n non kïðabe tã. Kïtøkad tølïn ne ta ta kï ndang kam maktubt. 
JHN.17.13	Na tajigla m'ndï m'aw roit, nyag 'nten tø m'ndï m'el døningt kïtakad deg'n adïmd ngahn ronel lom kï asïnatap kamdt. 
JHN.17.14	M'ad'd ta loi, deg kï døningt tø øsïnd ta kïta în kï lo døning al, tit'n mî lo døningt al. 
JHN.17.15	M'ndï m'køi kï øid ku degt kï døningt kø al, na kad i ngom ngemajal dødt. 
JHN.17.16	În lo døning al tit'n mîn lo døning al tø. 
JHN.17.17	I teld kïjaþat't kam rotat, ta loi la i rota ye, 
JHN.17.18	tit'n i lamïn ku degt kï døningt ye, titbe tø la m'ladïn ku degt kï døningt ho ye. 
JHN.17.19	M'tel rom kïjaþat't kïtatød, în kïþe kï død telïn rod kïjaþat't kam rotat. 
JHN.17.20	Kïtø ngéndoog lom kïðabe hã m'ndï m'køn al, na kïta îgïn a taan ta lom kïta ta lod. 
JHN.17.21	M'kø kïtakad în tube în kïða tit'n î Bøw în kamt, mî tø, mî kamit, kad deg kï døningt gerïn ne køikøi î la i lam ye. 
JHN.17.22	M'ad'd tøko'n adïm, kïtakad în kïða tit'n jîn kïða. 
JHN.17.23	Mî kamdt, î kammt tø ho, kïtakad în kïkasïnatap kam kïðat, kad deg kï døningt gerïn îla i lam ye i tard, tit'n i tarmïn be ho. 
JHN.17.24	Bøw, îgïn adïmd ye m'ndig kï ndïn sem nat lot'n mî tit kïtakad oon tøko lom'n adïm kïta i tarïm kete lon lan ne girr døning al þaitø. 
JHN.17.25	Bøw kïdenesew, deg kï døningt gerïn al, na mî m'geri, ngéndoog tø gerïn kad i lam. 
JHN.17.26	M'ad'd gerïn tøi m'a m'ad'd gerïna tø kïtakad tar'n i tarïm i kamdt, mî tø, kï mî kamdt.
JHN.18.1	Lo'n Jeju eltag 'nten woi ye, tee tïga nat kï ngéndoog lon, aw gid man yasït kï tøa i Sedron lon ndøø mad tot. Jeju kï ngéndoog lon andïn kamt. 
JHN.18.2	Judas ngelaa ji madngétaagt ger lo'n non þet. Jeju kï ngéndoog lon a kawïn na tit kï nja natnatbe. 
JHN.18.3	Kïtø 'nten Judas ngah þut ngéðøøg kï ngéngom kuj ndub Luwah ðen kokïro kïbogt lo ngéjamosïkadkari, kï Parisïg ðen kam ndøøt'n non kï horrdøgg kï lambag kï nyakatg. 
JHN.18.4	Jeju ger nyag tube'n ndï ðen dønt, ad tee tïga eld an: A i sahn nõ a?
JHN.18.5	Turïna anan: Jeju kï Najaret.
JHN.18.5	Jeju eld an: I mî.
JHN.18.5	Judas ngelaa ji madngétaagt, ða nat sed. 
JHN.18.6	Lon Jeju eld an: I mî ye, telïn kï gid'd tuson døningt.
JHN.18.7	Jeju tel ndïjed gog tø an: A i sahn nõ a?
JHN.18.7	Elïna anan: Jeju kï Najaret.
JHN.18.8	Jeju tur an: M'elsï, m'an: i mî. Îla i mî la i ða i sahmïn a ne i nyan deg'n ðan ad awïn.
JHN.18.9	Jeju elta 'nten kïtakad tølïn ta ta'n el an: Ku îgt'n adïmd ye kïkïða nãi jimt al.
JHN.18.10	Simõ Pierr'n aw kï kiya kï ngal puþub ye, hø tui gan mbi þer lo ngejamosïkadikari ko kõa gang. Tø þer'n non i Malkus. 
JHN.18.11	Jeju el Pierr an: I la kiya loi hawat gog m'a m'ai kam kop daiyot'n Bøw adïm kï m'ai ye ale?
JHN.18.12	Þut ngéðøøg kï bïradød kï ngéðøøg lo juipg høn Jeju, døna, 
JHN.18.13	awïn sia kete ro Hant, kï Kaip'n i bïra ngejamosï kadkari þalat'n non. 
JHN.18.14	Kaip kan hã øj juipg ta an: maj kad de kïða oi kïta deg.
JHN.18.15	Simõ Pierr kï ngendoo mad ndulon go Jeju. Bïra ngejamosï kadkari ger ngendoo'n non, nyàa ad and nat kï Jeju natþet lo ngejamosï kadkari. 
JHN.18.16	Na Pierr ða tabit't tïga, ngendoo'n non, în bïra ngejamosï kadkari gera ye, tee tïga, elta kï ngon kïdë kï ngengom tabit, na ørr Pierr and sia. 
JHN.18.17	Ngon kïdë kï ngengom tabit el Pierr an: Î tø î ku ngendoogt lo de'n non ale? Pierr an mî kudt al. 
JHN.18.18	Þerg kï ngéðøøg'n ðan dõ lot'n non ye, ðan horr kï muî kete woi; kïta kul õ; ða tiwïn horr; Pierr tø ða tiþ horr sed.
JHN.18.19	Bïra ngejamosï kadkari ndïje Jeju ta dø ngéndoogt loa kï nyandoo loa tø. 
JHN.18.20	Jeju turd an: M'elta dan degt kï tïga wakïsï, m'ndoo deg kï ndøgbe kam kuj kawnat lo juipg kï kam kuj ndub Luwaht, lon juipg tube a kawïn na kïtit, m'elta mad gid tilt al. 
JHN.18.21	Kïtøði i ndï i ndïjemïn ta a? I ndïje îgïn oon dø ta lom ta ði m'eld. Îgïn non gerïn tan m'el nõ þet. 
JHN.18.22	Dø tat'n non kïkïða ku ngéðøøgt'n ðan lot'n non nda køt Jeju el an: I ða i turta Bïra ngejamosï kadkari titbe e? 
JHN.18.23	Jeju tur an: Îla m'elta kïmajal a ne, i damïn nya'n m'el kïgoot al na îla m'elta kïmaj a ne, kïtøði i ða i ndam'n a? 
JHN.18.24	Lot'n non Han la kï Jeju kï ro Kaipt kï bïra ngejamosï kadkari. Jeju i kï døø kï kïla.
JHN.18.25	Simõ Pierr ða nõ, ða tib horr. Deg madg elïna anan: Î ku ngéndoogt loa tø ale? 
JHN.18.26	Kïkïða ku þergt lo ngejamosï kadkari ad i nooj þer'n Pierr gang mbia nõ, el an: În i ðan m'ooi nat sia kam ndøøt ale? 
JHN.18.27	Pierr tel maj gog tø, tentenbe kïnja mad kø.
JHN.18.28	Ørrïn Jeju awïn sia ro Kaipt kam kujt lo ngekõþe, lo ar yoror, în kïþeg kïdød andïn kam kujt lo ngekõþe al, na þeta n'telïn kïyerr ad øgïnd sanya Pakï. 
JHN.18.29	Kïtø 'nten Pilat tee ðe rodt, el an: Ta ði i ndï unïn ne dø de'n ðan a? 
JHN.18.30	Turïna anan: Îla de'n ðan i ngeðamajal al a ne, ni j'a kï laa jiit al. 
JHN.18.31	Dø tat 'nten Pilat eld an: În kïþeg kï døsï unïn na, i gangïn ta døat kïgo mberkïndat losï. Juipg elïna anan: J'asï kad kï gangta koi dø det mad al. 
JHN.18.32	Nya 'nten ða nya titbe kïtakad tølïn ne ta ta'n Jeju el dan dø koi'n n'a koi. 
JHN.18.33	Pilat tel and kam kuj kõþet gog, kun Jeju kï ront ela an: Î ngar lo juipg e?
JHN.18.34	Jeju tura an: Un ta 'nten kï døi la el yo, ke deg madg la elïn ta 'nten dan ne døm a? 
JHN.18.35	Pilat tur an: Mî Juip a? Girrdeg loi kï ngéjamosï kadkarig la lain jimt ye; i ða ði a? 
JHN.18.36	Jeju tur an: Kõþe lom i kï døningt'n ðan al; neni kõþe lom i kï døningt a ne, ni ngékïlag lom a ðøn kïtam, kïtakad lamïn ji juipgt al; na tajigla kõþe lom i kï døningt ne al.
JHN.18.37	Kïtø 'nten Pilat el an: Ad i ngar a? Jeju tur an: Î el titbe, mî Ngar. Kïtø 'nten la oojmïn ne, na m'ðen døningt tø kad m'man naj dø rotat ye. Dekïðen i lo rota a ne, ndï nel mbïn kï romt. 
JHN.18.38	Pilat ela an rota i ði a?
JHN.18.38	Lon elta 'nten ye, Pilat tee aw ro Juipgt gog eld an: M'ngah ta mad dø det'n ðan al. 
JHN.18.39	Na awïn kï nyabelþe losï kad m'ørr de dangãi kïða m'adsï kï ndø Pakï ye, i ndigïn kï m'ørr ngar lo Juipg m'adsï e? 
JHN.18.40	Tel kon mbïting gog anan: De'n ðan al, na Barrabas tã. Barrabas taa i ngekumðob.
JHN.19.1	Kamla Pilat ad'd Jeju ad ndana kï ndeh. 
JHN.19.2	Asïgarg ðan jøg kon lan døat, na lan kub kïkïrre gania roat. 
JHN.19.3	Kamla ðen roat anan: Lapia Ngar lo juipg. Ða tïndana kï dajid. 
JHN.19.4	Pilat tee tïga gog el juipg an: Oon maj. M'ndï m'ðe sia tïga rosït, kïtakad i gerïn m'ngah ta mad døat al.
JHN.19.5	Kamla Jeju tee kï jøg kon dønt kï kub kï kïðe gania ront. Pilat eld an: Oon dekïdïngã ta. 
JHN.19.6	Lon ngéjamosïkadkari kï ngéðøøg oona ye, unïn ndïd kon ne, anan: I gaa kagdosït, i gaa kagdosït. Pilat eld an: În kïþeg kïdøsï awïn sia i gana kagdosït. Kïtø m'ngah ta mad døat al.
JHN.19.7	Juipg turïna anan: Jî kï ndï kï mberkïndag loj, na kïgo mberkïndat loj, sumba kad oi kø kïta tel ron ngon Luwaht. 
JHN.19.8	Lon Pilat oo dø tan 'nten ye, tel þool kïtai. 
JHN.19.9	Tel and kuj kõþet gog, el Jeju an: I þai ko ða a? Na Jeju laat al. 
JHN.19.10	Kïtø 'nten Pilat ela an: I lam tat ale? I ger, m'asï kad m'ørrï, m'asï kad m'gai kagdosït ale?
