MAT.1.1	Amo ini an mga kalulululuhi ni Jesu-Cristo na kalahi ni David kag kalahi man ni Abraham.
REV.5.9	Pakatapos nagkaranta sinda sani na bag-o na kanta,
REV.5.9	“Angay ka na magkuha san nalulukot na kasuratan kag mag-abri san mga napilitan sa pagkalukot.
REV.5.9	Kay ginpatay ka, nagbayad ka paagi sa imo dugo san mga katawuhan para sa Dios hali sa tanan na lahi, lenggwahi, rasa kag nasyon.
REV.5.10	Ginhimo mo sinda na mga hadi kag mga padi agod magsirbe sa aton Dios, kag magahadi sinda sa kinab-an.”
REV.5.11	Pakatapos nagkita gihapon ako, kag nabati an mga boses san libo-libo kag milyon-milyon na mga anghel. Nagpatalibod sinda sa trono kag sa upat na buhay na ginlalang kag mga kagurangan na opisyales sa pagtuod 
REV.5.12	kag nagakarantaʼn makusog sugad sani,
REV.5.12	“An ginpatay na Kordero angay na pagalangan, ipahataas kag ipaumaw.
REV.5.12	Angay man siya na hatagan sin gahom, kayamanan, kadunungan kag kakusugan!”
REV.5.13	Tapos, nabati ko man an tanan na ginlalang, an sa langit, an sa duta, an sa hidalom san duta kag an sa dagat. Nagakanta sinda tanan na nabubuhay didi sa kinab-an,
REV.5.13	“Umawon siya na nagaingkod sa trono, amo man an kordero.
REV.5.13	Galangan kag mapataas man sinda hasta na lang kag hatagan sinda sin grabe na gahom!”
REV.5.14	Nagsabat an upat na buhay na ginlalang, “Amen,” kag an mga kagurangan na opisyales sa pagtuod nagharapa pagsamba sa inda.
REV.6.1	Niyan, nakita ko na gin-abrihan san Kordero an usad sa pito na mga napilitan sa pagkalukot, kag didi nabatian ko an usad sa upat na buhay na ginlalang na an boses bagaʼn dalugdog nagtawag, “Kadi!” 
REV.6.2	Naglantaw ako, kag nakakita ako sin puti na kabayo. An sakay sani may huyot na pana kag ginhatagan siya sin korona. Nagpadayon siya bilang usad na parasakop para makadaog sin kaaway.
REV.6.3	Pagkatapos gin-abrihan san Kordero an ikaduha na napilitan, kag nabatian ko an tawag san ikaduha na buhay na ginlalang, “Kadi!” 
REV.6.4	Tapos, may pula na kabayo na an sakay gintugutan na paarawayon an mga tagakinab-an agod magparatyanan sinda. Ginhatagan siya sin dako na ispada.
REV.6.5	Niyan gin-abrihan san Kordero an ikatulo na napilitan kag nabatian ko sa ikatulo na buhay na ginlalang an tawag, “Kadi!” Pakatapos nakakita ako sin itom na kabayo. An sakay may huyot na timbangan. 
REV.6.6	Tapos, nakabati man ako sin nagasurmaton na bagaʼn hali sa tunga san upat na buhay na ginlalang na nagasabi, “Usad ka adlaw na suhol an halaga san tulo ka utsabahan na trigo, o siyam ka utsabahan na sebada. Pero ayaw paglabti an lana na olibo kag an bino!”
REV.6.7	Sugad man, gin-abrihan san Kordero an ikaupat na napilitan kag nabati ko an pag-agda san ikaupat na buhay na ginlalang, “Kadi!” 
REV.6.8	Pakatapos, nakakita ako sin kabayo na abo an kolor kag an sakay ginatawag Kamatayon. Nagasunod sa iya an ginatawag Hades. Ginhatagan sinda sin gahom pagpatay san usad sa upat na bahin san mga tawo sa kinab-an paagi sa gyera, sa tiggutuman, mga sakit kag paagi sa mga kadlaganon na hayop sa kinab-an.
REV.6.9	Pakatapos san pag-abri san Kordero sa ikalima na napilitan, nakita ko sa sirong san altar an mga kalag sadtoʼn ginpatay tungod sa pagtukdo san surmaton san Dios kag nagin matinumanon sa inda pagtestigo. 
REV.6.10	Nagsiyak sindaʼn makusog, “Gamhanan na Ginoo, banal kag matuod! San-o mo pa pagahusgaran an mga tawo sa kinab-an kag pagakastiguhon sinda tungod sa pagpatay sa amon?” 
REV.6.11	Pakatapos, ginhatagan an kada usad sa inda sin puti na bado, kag ginsabihan sinda, “Magpahuway pa sin dyutay hasta na magkamaratay an iyo kapareho na suruguon kag kamaranghod sa pagtuod na papatayon man pareho niyo.”
REV.6.12	Nagmasid ako san gin-abrihan niya an ikaunom na napilitan. Igwaʼn grabe na linog, nagdulom an adlaw pareho san maitom na tela kag an bulan nagin pula gayod pareho san dugo. 
REV.6.13	Nahulog sa duta an mga bituon sa kalangitan pareho san nagahurulog na mga alang-alang na bunga san kahoy na ginatawag higera tungod sa kusog san hangin. 
REV.6.14	An kalangitan naman nawara bagaʼn ginalukot na kasuratan kag nahali an tanan na mga kabukidan kag mga isla sa inda mga nabubutangan.
REV.6.15	Kaya nagtarago didto sa mga kweba kag sa mga kabatuhan san kabukidan an mga hadi sa kinab-an. Amo man an mga bantog na tawo, namumuno san kasuldadosan, mga mayaman kag mga gamhanan, an tanan na katawuhan, uripon kag dili uripon. 
REV.6.16	Nagatawag sinda sa mga bukid kag sa mga bato na, “Tumpagi kag tahubi kami sa pagkita san nagaingkod sa trono kag sa grabe na kaurit san Kordero, 
REV.6.17	kay adi na an adlaw san grabe na kaurit sani na duha kag sin-o an makatagal sani?”
REV.7.1	Pakatapos sani may nakita pa akoʼn upat na anghel na nagatindog sa upat na kanto san duta, ginapugulan an upat na hangin sani agod dili ini makahuyop sa duta, sa dagat, o sa nano man na kahoy. 
REV.7.2	May nakita pa akoʼn usad pa na anghel na nagasaka hali sa ginasirakan san adlaw. Nagahuyot ini san pangtanda san buhay na Dios. Nagsiyak siya sa upat na anghel na ginhatagan sin gahom para magsira san duta kag dagat, 
REV.7.3	kag nagsabi, “Ayaw anay pagsiraa an duta, dagat o an mga kakahuyan hasta na mabutangan namon sin tanda an mga suruguon san Dios sa inda mga agtang.” 
REV.7.4	Nabatian ko kun pira idtoʼn mga ginbutangan san tanda. 144,000 sinda tanan hali sa mga lahi san Israel.
REV.7.5	Igwa sin 12,000 hali sa lahi ni Juda, 12,000 sa lahi ni Ruben, 12,000 sa lahi ni Gad.
REV.7.6	Igwa man sin 12,000 sa lahi ni Asher, 12,000 sa lahi ni Naptali, 12,000 sa lahi ni Manasseh,
REV.7.7	kag igwa man sin 12,000 sa lahi ni Simeon, 12,000 sa lahi ni Levi, 12,000 sa lahi ni Issacar.
REV.7.8	Tapos, igwa sin 12,000 sa lahi ni Zebulun, 12,000 sa lahi ni Jose kag 12,000 sa lahi ni Benjamin.
REV.7.9	Pakatapos sani, nagkita-kita naman ako. Didto damu-damo sin mga tawo na dili mabilang. Hali sinda sa kada usad na nasyon, lahi, rasa kag lenggwahi. Nakabisti sinda sin puti na halaba kag may huyot na mga dahon san palmera. Adto sinda nagatindog sa atubangan san trono kag san Kordero, 
REV.7.10	kag nagasiyak, “An Dios na nagaingkod sa trono kag san Kordero nakasalbar sa amon!” 
REV.7.11	An tanan na mga anghel nagtirindog patalibod san trono kaupod an mga kagurangan na opisyales sa pagtuod kag san upat na mga buhay na ginlalang. Nagharapa sinda sa atubangan san trono kag nagsamba sa Dios, 
REV.7.12	nagasabi,
REV.7.12	“Amen! Umawon an aton Dios. Sambahon siya, pasalamatan kag galangan kay ada sa iya
REV.7.12	an tanan na kadunungan, kakusugan kag gahom hasta na lang. Amen!”
REV.7.13	Pakatapos naghunga sa akon an usad sa mga kagurangan na opisyales sa pagtuod, “Sin-o ini na mga tawo na nakabisti sin puti na halaba kag diin sinda hali?”
REV.7.14	“Dili ko po aram,” an sabat ko. “Ikaw an nakaaram.”
REV.7.14	Kaya ginsabi niya sa akon, “Ini an mga tawo na nakalibre hali sa dako na pagpasakit. Ginhugasan ninda na ginapaputi sa dugo san Kordero an inda mga halaba na bisti. 
REV.7.15	Kun sugad, nagatindog sinda sa atubangan san trono san Dios kag nagasirbe sa iya adlaw kag gab-i sa sulod san templo niya. An nagaingkod sa trono magigin kaupod bilang paraunapin ninda. 
REV.7.16	Dili na sinda magugutom o mapapaha gihapon, o mabubulad sa adlaw o mapapaso sa grabe na init. 
REV.7.17	Kay an Kordero na ada sa tunga san trono an magigin pastor ninda kag magagiya sa inda sa burabod san tubig na magahatag sin buhay kag papahidon san Dios an tanan na luha sa inda mga mata.”
REV.8.1	San gin-abrihan san Kordero an ikapito na napilitan, nagkaigwa sin tunga ka oras na kapuyo sa langit. 
REV.8.2	Pakatapos, nakita ko an pito na anghel na nagatindog sa atubangan san Dios kag sa kada usad sa inda trumpita an ginhatag.
REV.8.3	Usad naman na anghel na may oro na butangan san insenso an nagkadto kag nagtindog sa altar. Ginhatagan siya sin damo na insenso para isabay sa mga pangadyi san tanan na katawuhan san Dios. Ginhalad ini san anghel sa oro na altar na nakatindog sa atubangan san trono. 
REV.8.4	Niyan hali sa kamot sani na anghel sa atubangan san Dios mismo nagpaibabaw an aso sani na ginasunog kaupod san mga pangadyi san katawuhan san Dios. 
REV.8.5	Pakatapos, gindara san anghel an butangan san insenso, ginpunuan sin kalayo hali sa altar kag ginpilak sa kinab-an. Nagkaigwa sin dalugdog, lipak, kilat kag linog.
REV.8.6	Tapos, an pito na anghel na may pito na trumpita naghanda na sa pagpatunog sani.
REV.8.7	Ginpatunog san primero na anghel an iya trumpita. Insigida nag-uran sa kinab-an sin yelo kag kalayo na may kasakot na dugo. Nasunog an un tirsyo na parte san kinab-an, un tirsyo na parte san mga kakahuyan kag san tanan na dinghot.
REV.8.8	An ikaduha na anghel nagpatunog man san iya trumpita. Pakatapos may ginpilak sa dagat na bagaʼn dako na bukid na nasusunog. An un tirsyo na parte san dagat nahimo na dugo. 
REV.8.9	Nagkaparatay an un tirsyo san mga buhay na ginlalang na adto kag nagkaruruba an un tirsyo na bilang san mga barko.
REV.8.10	Ginpatunog man san ikatulo na anghel an iya trumpita. Tapos may dako na gayod na bituon na nahulog hali sa langit, nagalaad pareho sa sulo. Tumama ini sa ikatulo na parte san mga suba kag san mga burabod san tubig. 
REV.8.11	An ngaran san bituon Apsinto na an gusto sabihon Kapait. Kaya an ikatulo na parte san tubig nagin mapait kag damo na tawo an nagkaparatay pag-inom sani.
REV.8.12	Sugad man an ikaupat na anghel nagpatunog san iya trumpita. Natama an ikatulo na parte san adlaw, bulan, kag mga bituon. Nawara an ikatulo na parte san inda kapawa. Kaya, waraʼn pawa sa ikatulo na parte san kaadlawon kag hasta man an ikatulo na parte san kagab-ihon.
REV.8.13	Pakatapos, may nakita akoʼn agila na nagalupad sa panganuron, kag nabati ko na nagasiyak, “Kamakaluluoy gayod san tanan na ada sa kinab-an pagpatunog pa san tulo na mga anghel san inda mga trumpita!”
REV.9.1	San ginpatunog san ikalima na anghel an iya trumpita, may nakita akoʼn bituon na nahulog sa duta. Ginhatag sani an lyabi san waraʼn katapusan na buho. 
REV.9.2	Gin-abrihan san bituon an buho kag may nagluwas na aso na bagaʼn hali sa dako na hurnuhan, kaya nagdulom an adlaw kag san panganuron kay nasalipdan. 
REV.9.3	Hali sani na aso may nagruluwas man na mga duron na naghurugdon sa duta. Ini na mga duron ginpasugod pareho san mga uyang. 
REV.9.4	Gintugon ini na dili paglabtan an kadinghutan o mga kakahuyan o manlain-lain na mga tanom kundi idto lang na mga tawo na waraʼn tanda san Dios sa inda mga agtang. 
REV.9.5	An mga duron wara man pagtuguti na patayon an mga tawo kundi pasakitan lang sa sulod san lima ka bulan na an sakit pareho kalara san sugod san uyang. 
REV.9.6	Sana na mga panahon gusto na san mga tawo mapatay pero dili man sinda mapapatay. Magahandom sinda na mamatay pero mailah sa inda an kamatayon.
REV.9.7	An mga duron pareho san mga kabayo na an tayo handa na sa pakig-away. An mga ulo ninda bagaʼn may mga korona na oro kag an inda bayhon pareho sa tawo. 
REV.9.8	An inda buhok pareho sa babayi, an ngipon pareho sa leon. 
REV.9.9	Natahuban an inda dughan sin mga hingbis na bagaʼn bakal na pangsalipod sa dughan kag an hinagunos san inda pakpak pareho karibok san damo na bagaʼn mga karita na ginaguyod san mga kabayo na nagadaralagan pakadto sa araraway. 
REV.9.10	Igwa pa sinda sin ikog na may sugod pareho sa uyang. Ada sa inda mga ikog an pagpasakit sa mga katawuhan sa sulod san lima ka bulan. 
REV.9.11	An hadi ninda amo an anghel na bantay sa waraʼn katapusan na buho. Abadon an iya ngaran sa surmaton na Hebreo. Sa Griego, Apolyon na an gusto sabihon Parasira.
REV.9.12	Natapos na an una na patios. May maabot pa na duha.
REV.9.13	Tapos, ginpatunog san ikaunom na anghel an iya trumpita. May nabati ako na nagasurmaton hali sa may upat na kanto san altar sa atubangan san Dios. 
REV.9.14	Ginsabihan sani an ikaunom na anghel na may trumpita, “Buhian mo an upat na anghel na nakagapos didto sa may dako na suba san Eufrates!” 
REV.9.15	Kaya ginbuhian an upat na anghel agod patayon an un tirsyo na katawuhan. Ginpreparar gayod sinda para sani na kaorason san adlaw, bulan kag tuig san pagbuhi sa inda. 
REV.9.16	Taud-taod nabati ko kun pira an mga suldados na nakakabayo, 200 milyones tanan.
REV.9.17	Sa akon pangitaon nakita ko an mga kabayo kag san mga sakay sani na may mga pangsagang na bakal sa dughan, an kolor mapula pareho sa kalayo, asul pareho sa sapiro kag dulaw pareho sa asupre. An mga ulo san mga kabayo pareho sa mga leon kag may kalayo, aso kag asupre na nagaluwas sa inda mga ba-ba. 
REV.9.18	An un tirsyo san katawuhan ginpatay sani na tulo na pagpatios hali sa mga ba-ba san mga kabayo na amo an kalayo, aso kag asupre. 
REV.9.19	May pampatay ini na mga kabayo paagi san mga ba-ba kag sa ikog. An mga ikog sani may mga ulo pareho man sa mga sawa kag paagi sani may mga ginasamadan na mga tawo.
REV.9.20	Pero an wara mapatay na mga tawo sani na mga patios wara gihapon magbasol sa mga hinimo ninda. Wara sinda mag-udong pagsamba sa mga demonyo kag sa mga diosdiosan na oro, plata, bronse, bato kag kahoy na dili makakita, makabati o makalakat. 
REV.9.21	Ini na mga tawo wara man magbaya sa inda mga pagpatay, pagbarang, malaw-ay na pagkabuhay o pagpangawat.
REV.10.1	Pakatapos sani, may nakita naman ako na usad pa na gamhanan na anghel nagalusad hali sa langit. Nakabado siya sin dampog kag may balangaw patalibod san ulo. An iya bayhon mapawa pareho sa adlaw kag an iya batiis bagaʼn mga harigi na kalayo. 
REV.10.2	May huyot siyaʼn dyutay na nakabuklad na kasuratan. Nakatungtong an tuo niya na tiil sa dagat, an wala, sa duta, 
REV.10.3	kag nagsiyak siya pareho sa ngurob san leon. San magtawag siya nagsabat na nagadaguhob an pito na dalugdog. 
REV.10.4	Pagtunog sani na mga dalugdog, masurat na kuntani ako pero nakabati ako sin nagasurmaton hali sa langit, “Ayaw pag-ihayag an ginsabi san pito na dalugdog. Ayaw ini pag-isurat!”
REV.10.5	Tapos, an anghel na nakita ko na nagatungtong sa dagat kag sa duta, gin-isa an iya tuo na kamot kag 
REV.10.6	nagsumpa sa ngaran san Dios na nabubuhay hasta na lang, na naglalang san langit, san duta, san dagat kag san mga ada dida. An sumpa san anghel na, “Dapat dili na pagparadugayon, 
REV.10.7	kundi pagpatunog san ikapito na anghel san iya trumpita, tumanon san Dios an iya sikreto na plano na ginsabi sa iya suruguon na mga propeta.”
REV.10.8	Pakatapos nabatian ko gihapon idtoʼn boses na hali sa langit, “Kumadto ka kag kuhaa an nakabuklad na kasuratan na huyot san anghel na nagatungtong sa dagat kag sa duta.”
REV.10.9	Kaya nagpakadto ako sa anghel kag gin-ayo sa iya an dyutay na nakalukot na kasuratan. Sabi niya sa akon, “Kuhaa ini kag kauna. Matam-is ini sa imo ba-ba pareho san dugos, pero makapalain ini sa imo tiyan.” 
REV.10.10	Niyan, ginkuha ko kag ginkaon an iya huyot na dyutay na nakalukot na kasuratan. Matam-is ini sa akon ba-ba pareho san dugos pero san makaon ko na, lumain an akon tiyan. 
REV.10.11	Pakatapos, ginsabihan niya ako, “Dapat magsurmaton ka gihapon san mensahe san Dios manungod sa damo na mga rasa, nasyon, lenggwahi kag mga hadi.”
REV.11.1	Pakatapos, ginhatagan ako sin pansukol na kahoy pareho san tungkod kag ginsabihan, “Kadto kag sukula an templo san Dios, an altar didto kag bilangon mo man an mga nagasamba didto, 
REV.11.2	pero ayaw pagsukula an natad san templo. Pabayai kay ginhatag na ina sa mga dili nagatuod na magabasang-basang sa banal na syudad sa sulod san 42 ka bulan. 
REV.11.3	Susuguon ko an duha ko na testigos na magtukdo san mensahe san Dios sa sulod san 1,260 ka adlaw. Makasul-ot sinda sin bado na himo sa barahibo san mga kanding.”
REV.11.4	Ini na duha na testigos an ginatawag na duha na kahoy san olibo kag duha na tungtungan san ilawan na adto sa atubangan san Ginoo san kalibutan. 
REV.11.5	Kun may magporbar pagpasakit sa inda, may maluwas na kalayo sa inda ba-ba kag uugdawon an inda mga kaaway. Sani man na paagi pagapatayon an magporbar pagpasakit sa inda. 
REV.11.6	May gahom sinda pagpugol san kalangitan agod dili mag-uran sa mga adlaw na sinda nagatukdo san mensahe san Dios. May gahom man sinda na himuon na dugo an mga tubig kag pabatyagon an mga tawo sa kinab-an san nano man na klaseʼn mga sakit bisan nano na adlaw na gusto ninda.
REV.11.7	Kun matapos na sinda pagtukdo san mensahe, an hayop na maluwas sa waraʼn katapusan na buho makig-away sa inda. Madadaog sinda kag mapapatay sana na hayop, 
REV.11.8	kag magaharayang an inda mga lawas sa kamino san dako na syudad kun diin ginpako sa krus an inda Ginoo. Amo ini an syudad na Jerusalem na ginatawag man kun minsan an Sodoma kag Ehipto. 
REV.11.9	Sa sulod san tulo may tunga ka adlaw an inda mga lawas pagakitaon san mga tawo na may manlain-lain na mga rasa, mga lahi, mga lenggwahi kag mga nasyon kag dili magatugot na ilubong sinda. 
REV.11.10	Malilipay gayod an mga tagakinab-an tungod san pagkamatay sani na duha. Magakasadya sinda kag magapaharatag-hatag sin mga regalo sa kada usad kay idtoʼn duha na propeta nagpatios sa katawuhan sa kinab-an.
REV.11.11	Pero pakatapos san tulo may tunga ka adlaw ginbuhay gihapon sinda san Dios paagi san iya nakabuhay na ginhawa, tapos nagtindog sinda kaya nagkaharadlok gayod an tanan na nakakita sa inda. 
REV.11.12	Pakatapos, nakabati ini na duha na propeta sin nagsiyak sa inda hali sa langit, “Saka kamo didi!” Kaya myintras nagamasid an inda mga kaaway, nagpalangit sinda paagi sa dampog.
REV.11.13	Sana mismo may makusog na linog. Naruba an dyis porsyento na kadak-an san syudad kag pito ka libo na mga tawo an nagkaparatay. Kaya, nagkaharadlok gayod an nabilin na mga tawo kag gin-umaw an Dios sa langit. 
REV.11.14	Niyan, tapos na an ikaduha na patios, pero an ikatulo maabot na.
REV.11.15	Pakatapos sani ginpatunog naman san ikapito na anghel an iya trumpita kag may mga nagsiriyak sin makusog sa langit,
REV.11.15	“An kinab-an ginahadian na niyan san aton Ginoo kag san iya Mesias.
REV.11.15	Magahadi siya hasta na lang!”
REV.11.16	Pakatapos an 24 na mga kagurangan na opisyales sa pagtuod na nagaingkod sa inda mga trono sa atubangan san Dios nagharapa kag nagsamba sa Dios, 
REV.11.17	Nagasabi sinda,
REV.11.17	“Ginooʼn Dios na pinakamakagagahom, an sa niyan kag an san kasadto,
REV.11.17	nagapasalamat kami kay paagi san imo dako na gahom nagtuna ka na paghadi!
REV.11.18	Naurit gayod an mga nasyon, pero adi an oras na igahayag mo an imo grabe na kaurit hasta an pagahusgar san mga patay.
REV.11.18	Sugad man, adi na an oras san pagbalos sa mga suruguon mo na mga propeta kag mga banal, sa mga katawuhan na nagasamba sa imo, kilala man o dili kilala.
REV.11.18	Amo man san pagsira sadtoʼn nagasira san kinab-an.”
REV.11.19	Pakatapos, naabrihan an templo san Dios sa langit kag nakita man didto an bagay na pareho sa baol na ginsudlan san sinumpaan niya. Tapos, nagkaigwa sin mga kilat, mga lipak, mga dalugdog, linog kag nagbagyo sin yelo.
REV.12.1	Pakatapos, may nakita akoʼn dako kag makangangawa na pangitaon sa kalangitan. May babayi na nababaduan san adlaw. Nakatungtong siya sa bulan kag an iya man ulo may korona na himo sa dose na bituon. 
REV.12.2	Budos siya na tikaanakon na, kaya nagasiyak sa grabe na sakit kag pagtios sa pagaanak. 
REV.12.3	Usad pa na makangangawa an nakita ko sa langit. Ini daku-dako gayod kag pula na sawa na ginatawag na dragon. May pito ini na ulo, napulo na sungay kag may korona sa kada ulo. 
REV.12.4	Ginhaplit san ikog sani an un tirsyo san mga bituon sa langit pakadto sa duta. Nagtindog ini sa atubangan san tikaanakon na babayi agod kaunon an iya iaanak na bata. 
REV.12.5	Niyan, nanganak an babayi sin bata na lalaki na magahadi sa tanan na nasyon sa maisog gayod na paagi pero ginkuha an bata kag gindara sa Dios kag sa iya trono. 
REV.12.6	An babayi naman nagdulag pakadto sa disyerto na lugar na ginhanda san Dios para sa iya kun diin siya pagaatamanon sa sulod san 1,260 ka adlaw.
REV.12.7	Niyan may gyera na nagtuna sa langit. Gin-away ni Miguel kag san iya mga anghel an dragon na nag-ato kaupod san iya man mga anghel, 
REV.12.8	pero nadaog sinda, kaya, dili na sinda gintugutan pag-istar sa langit, 
REV.12.9	kundi ginpilak ini na dako na dragon, kaupod san iya mga anghel, pakadi sa duta. Siya an dati na sawa na ginngaranan Dyablo o Satanas na nagaluko sa tanan na katawuhan san kinab-an.
REV.12.10	Tapos, nakabati akoʼn nagasiyak sa langit, “Adi na an oras na isasalbar san Dios an iya katawuhan! Ginhayag na gayod niya an iya gahom bilang hadi. Ginpakita san iya Mesias an iya otoridad, kaya nadaog an nagaakusar sa aton mga kamaranghod adlaw kag gab-i sa atubangan san Dios. 
REV.12.11	Nadaog siya ninda paagi sa dugo san Kordero kag sa kamatuudan na gintukdo ninda, kay ginpalabi ninda an paghimo sani bisan ikamatay ninda. 
REV.12.12	Magkaigwa lugod sin kalipay sa kalangitan. Magkalipay kamo tanan na nagaistar dida! Pero kamakaluluoy gayod san adi sa duta kag dagat kay naglusad sa iyo an Dyablo na grabe an kaurit tungod san pagkaaram na dyutay na lang an nabibilin san iya panahon!”
REV.12.13	San makamangno an dragon na ginpilak siya pakadto sa kinab-an, gin-gukdan niya an babayi na nanganak san bata na lalaki. 
REV.12.14	Pero ginhatagan an babayi sin duha na pakpak san dako na agila agod makalupad siya pakadto sa disyerto kun diin siya pagaatamanon sa sulod san tulo may tunga ka tuig agod masalbar sa sawa. 
REV.12.15	Pakatapos nagbuga an sawa sin tubig na bagaʼn suba agod maanod an babayi. 
REV.12.16	Pero nagbulig sa babayi an duta. Nag-abri ini kag ginpailig paidalom an tubig na naghali sa ba-ba san dragon. 
REV.12.17+REV.12.18	Tungod sani, naurit gayod an dragon sa babayi kaya nagkadto agod awayon an iba na mga kaanakan san babayi na amo an mga nagatuman san mga sugo san Dios kag nagatestigo kan Jesus.
REV.13.1	Niyan, nagtindog an dragon sa baybayon sa higad san dagat.
REV.13.1	Pakatapos nakakita akoʼn hayop na nagbutwa sa dagat na may pito na ulo kag napulo na sungay. An kada sungay may korona kag nasusurat dida sa mga ulo sana an nakatuya sa Dios na ngaran. 
REV.13.2	An nakita ko na hayop bagaʼn leopardo. An tiil sani bagaʼn sa hayop na ginatawag oso kag an ba-ba bagaʼn sa leon. Ginhatag san dragon sani na hayop an iya gahom, trono kag dako na otoridad. 
REV.13.3	An usad sani na ulo bagaʼn nasamadan gayod sin pamatay pero pila na ina na samad. An tanan na katawuhan san kinab-an nangarat kag nagsunod sani na hayop. 
REV.13.4	Nagsamba man sinda sa dragon kay ginhatag niya an iya gahom sadto na hayop, kaya nagsamba pa sinda sani na an sabi, “Sin-o an kapareho kagamhanan sani na hayop? Sin-o man an makaato kontra sani?”
REV.13.5	Gintugutan man ini na hayop na maghambog kag nakatuya-tuya sa Dios kag maghadi sa sulod san 42 ka bulan. 
REV.13.6	Gintuya sani an Dios, an iya ngaran, an lugar na ginaistaran niya kag an tanan na nagaistar sa langit. 
REV.13.7	Gintugutan man ini na mag-ato kontra sa katawuhan san Dios kag daugon sinda. Ginhatagan pa ini sin otoridad sa kada lahi, rasa, lenggwahi kag nasyon. 
REV.13.8	Magasamba sani an tanan na tawo na nagaistar sa kinab-an. Amo idtoʼn an mga ngaran wara igsurat sa libro kun diin nakasurat an mga hahatagan sin buhay na waraʼn katapusan san Kordero na ginpatay. Ini na pagsurat ginhimo antes ginlalang an kinab-an.
REV.13.9	Kamo na makabati, magpamati sin maayo!
REV.13.10	An mga katawuhan san Dios na mapipriso, mapipriso gayod. An paratyon sa ispada mapapatay man paagi sani. Kaya, ginakinahanglan san mga katawuhan san Dios an pagkamatiniuson kag pagtuod.
REV.13.11	Pakatapos nakakita naman ako sin iba na hayop na nagtunga hali sa duta. Igwa ini sin duha na sungay pareho sa kordero pero nagasurmaton pareho sa dragon. 
REV.13.12	Nakagamit ini san tanan na gahom san una na hayop kun sa atubangan sani. Ginapirit man sani an tanan na tagakinab-an na magsamba sa una na hayop na an nakapatay na samad nagpila na. 
REV.13.13	An nasabi na iba na hayop nagahimo sin daragko na mga milagro, halimbawa, nakapahulog sin kalayo hali sa langit pakadi sa kinab-an sa atubangan san mga tawo. 
REV.13.14	Paagi sani na mga milagro na gintugot sa iya paghimo sa atubangan san primero na hayop, ginaluko an mga tawo sa kinab-an. Tapos, ginsugo sinda sani na ikaduha na hayop na maghimo sin diosdiosan sa paggalang san primero na hayop na ginsamadan san ispada pero nabuhay.
REV.13.15	An ikaduha na hayop gintugutan man na hangusan sin buhay an imahin san primero na hayop agod magsurmaton ini kag ipapatay an dili magsamba sani. 
REV.13.16	Ini man na ikaduha na hayop ginpirit an tanan na tawo, kilala man o dili kilala, mayaman o pobre, uripon o dili uripon na magkaigwa sin tanda sa tuo na kamot o sa agtang. 
REV.13.17	Kaya wara sin makabakal o makabaligya kun wara siya sani na tanda na amo an ngaran san primero na hayop o an bilang na simbulo san ngaran sani.
REV.13.18	Nagakinahanglan ini sin kadunungan. An madunong makaaram san gusto sabihon san bilang sani na hayop kay ini na bilang simbulo man san ngaran san usad na tawo. An numero sani 666.
REV.14.1	Pakatapos naglantaw ako kag didto sa bukid san Sion nagatindog an Kordero na may kaupod na 144,000 na mga tawo na may nakasurat na ngaran niya kag san iya Ama sa inda mga agtang. 
REV.14.2	Tapos, nakabati ako sin tunog hali sa langit. An kakusog bagaʼn hagunos san dako na busay kag san makusog na dalugdog, pero bagaʼn tugtog san mga paraarpa idtoʼn nabati ko. 
REV.14.3	Nagakanta sinda sin bag-o na kanta sa atubangan san trono kag san upat na buhay na ginlalang kag san mga kagurangan na opisyales sa pagtuod. Waraʼn makaaram sana na kanta pwera lang sa 144,000 na gintubos hali sa kinab-an. 
REV.14.4	Ini sinda matanos gayod kay wara ni usad sa inda an nambabayi. Inosente sinda sani na bagay. Kaya, nagasunod sinda sa Kordero bisan diin ini magkadto. Gintubos sinda hali sa iba na mga katawuhan bilang una na mga ginhalad sa Dios kag sa Kordero. 
REV.14.5	Wara gayod sinda magbuwa kaya waraʼn masasabi sa inda.
REV.14.6	Pakatapos, nakita ko an usad pa na anghel na nagalupad sa panganuron. Nagadara siya san waraʼn pagliwat na Maayo Na Barita agod itukdo sa tanan na tagakinab-an, sa kada nasyon, lahi, lenggwahi kag rasa. 
REV.14.7	Nagsurmaton siya sin makusog, “Kahadluki an Dios kag umawon siya kay nag-abot na gayod an panahon san iya paghusgar. Sambahon siya na naglalang san langit, duta, dagat kag mga burabod!”
REV.14.8	May ikaduha na anghel na nagsunod sa nauna kag nagasiyak, “Natumpag an gamhanon na Babilonia! Natumpag gayod ini kay nagpainom sa tanan na nasyon sin bino san iya malaw-ay na mga kaila!”
REV.14.9	May ikatulo na anghel na nagsunod san duha kag nagasiyak, “An tanan na nagasamba sadtoʼn primero na hayop kag sa iya imahin kag nagaako san tanda sa inda agtang o kamot, 
REV.14.10	pagapainumon man sinda san bino san grabe na kaurit san Dios na ginbu-bo na waraʼn simbog sa tasa san iya kaurit! Pagapasakitan sinda paagi sa kalayo kag asupre sa atubangan san banal na mga anghel kag san Kordero. 
