MAT.1.1	Coa co cuatia Jesu Cristo moñemoñajaré ypycue guare. Jaé Davidrejegua, ja Abraamrejegua avei.
COL.4.9	ja jendive avei ojo Onesimo ñande reŷiva yeroviajá, ja oyejaŷjujá, upéva pende rejegua voínte, ja jaecuera pene momarandúne peême opa oyejuva reje coápe.
COL.4.10	Pe Aristarco, che îrû añeñapytîjápe, penemo maitéiucá, ja upeicha avei Marcos pe Bernabe ru ryby raŷ, (oyecuaaucama vaecue peême jese voi, ja upeareje sapya ou ramo pene rendape, perojory ichupe,) 
COL.4.11	ja pe Jesús jérava avei Justo, penemo maitéiucá peême. Coa mbojapy, Judio reco vaecue rire yepe, jaecuera año che moîrû vaecue añejaâ jaguepe amoingo Tûpâ Ñandeyára recorâ, ja jaecuera che mbopyaguapy jára. 
COL.4.12	Epafras pende rejeguava avei, Cristo Jesus rembiyocuaiva pene momaitéiucá avei, ipya yeyopy tapiáva jiconi pendereje iñemboépe pepyta jâtâ jaguâ, ja pende reco ete jaguâ, ja peyeroviajápe pejechacuaa pôramba jaguâ Tûpâ Ñandeyára rembipota. 
COL.4.13	Che amombeúcuaá pôrâ jae jâcâteŷetéjá pendereje, ja umi ñande reŷicuera Laodiceape ja Hierapolispe jicuaiva reje. 
COL.4.14	Lucas pe poropôjânôjára, che ajayjúetéva, pene momaitéiucá peême, ja upeicha avei Demas. 
COL.4.15	Pemomaitéi ore rérape ñande reŷicuera Laodiceape jicuaivape, ja pemomaitéi catuetei pe Nimfaspe, ja umi Iglesia ñanderejegua cuera oñembyatŷva jogape cuerape. 
COL.4.16	Ja co cuatia oñemoñeê rire peême opavave apysápe, pemoñeêucá pe Iglesia rejeguava Laodiceaŷguape avei, ja peêcuera avei pemoñeê pe cuatiañeê umi Laodiceaŷgua peguârâva. 
COL.4.17	Ja peye pe Archippope tomaê pôrâ oyapo pôrâ jagua jecoitepe pe oyapóucá vaecue Ñandeyára jembiyocuaijá reje.
COL.4.18	Che Pablo, che porupi voi pomo maitéiucá peême co cuatia ñeême. Pene manduákena chereje añeñapytîjápe aina. Ñandeyára taipyapôrâ peême.
1TH.1.1	Che Pablo, ja Silvano, ja Timoteo, pomo maitéiucá peême Tesalónicaŷgua Tûpâ Ñandeyára Iglesia Ñandeyára Jesu Cristo rejeguava. Ñandeyára ta penembopyapôrâ ja tapenembopyaguapŷ.
1TH.1.2	Roguerojorŷ tapia Tûpâ Ñandeyárape penderejejápe, ore manduavo pende reje ore ñemboepe. 
1TH.1.3	Máramo ndore resarairi pembaapo pôrâ jague peyeroviajápe ja peñejaâ jague peporojayjujápe ja peropuaca pôrâjá peyeroviajápe Ñandeyára Jesu Cristo reje Tûpâ Ñandeyára ñande Ru ypype. 
1TH.1.4	Roicuaa voi, ore reŷicuera, Tûpâ Ñandeyára pende rayjújá ja Jae pende poravó jague peême. 
1TH.1.5	Pe ñeê ipyajuva ipôrâva Evangelio peguare ore pomboe jague peême na ñeê guaujápeguai, ñeê pojyi añetégua Espiritu Santoete guivo voi guare. Ja peêcuera avei peicuaa voi mbaeichaguapa ore recocue pende apytepe penderejejápe. 
1TH.1.6	Ja peêcuera peiconerae ore recocue ja Ñandeyára recocue rupi avei perovia rire Ñandeyára ñeê pejasa asŷete jaguepe; upeicha ramo yepe pe Espiritu Santo penembojory tuvichaite, 
1TH.1.7	ja upeicha pende rupi oñembo jecopôrâ opa umi oyeroviava Macedoniaŷgua ja Achaiaŷgua. 
1TH.1.8	Ja nda Macedoniape ja Achaiape nte añoi, Ñandeyára ñeê oñembo jyapúucá vaecue pende yururupi, oparupi opa tendape voi avei oñemo jerâcuâ peyeroviajá Tûpâ Ñandeyára reje. Upeicharamo na tecôtevêi ore roe mbaeve co âmbaegui. 
1TH.1.9	Umi ambuecue voi oñeê ramo orejegui, omombeu mbaeichapa ore rerojory peê oreve, ja mbaeichapa peê peyere rae Tûpâ Ñandeyárape umi taângá reí gui, peyeyocuáiucá jaguâ Tûpâ Ñandeyáraetéva oicovévape, 
1TH.1.10	ja pejaârô jaguâ oyeby yeby jaguâ yvaguí pe Taŷrape, Jae omoingove yeby vaecue umi omano vaecue paûgui, Jesúete pe ñanderepŷjarârâ pe ipochy oyepŷjarâgui.
1TH.2.1	Peê voi, che reŷicuera, peicuaa ore royejea jague pendereje nda reiri jague. 
1TH.2.2	Ja jeta rire yepe rojasa asŷ ja royeyao vaí Filipospe, peê voi peicuaa jaicha, ore kyreŷ yeby Tûpâ Ñandeyára ore pytyvô rupi, roñemoñeê jaguâ pe Tûpâ Ñandeyára ñeê ipyajuva ipôrâva Evangelio gui, jeta roñejaâjápe voi. 
1TH.2.3	Ore roñemoñeê vaecue voi ndajaei umi opiáva rejeguava, terâ teco yopará rejeguava, terâ guaujápe ombotabŷva rejeguáva. 
1TH.2.4	Tûpâ Ñandeyára ore poranguereco jague guinte ore reco reje oyerovia jaguâ orereje pe iñeê pyajuva rejeve, upeacue gui voi ore roñemoñeê, na umi oñeporanguerecóucáse vaicha cuimbaepei, roñeporanguerecoucá jaguânte Tûpâ Ñandeyárape pe oipecajára ñande pyapy. 
1TH.2.5	Ore voi máramo noroñeêi roicovo yapichy pichy rejeve, peê voi peicuaa pôrâ jaicha, ja no roñejaâi guaujápe yepe roñemombae guasúucá jaguâ -- Tûpâ Ñandeyára oicuaa pôrâ, 
1TH.2.6	-- ja ndo royejecai roñembo tuvicháucá jaguâ cuimbae rupi, pendejegui yepe, terâ ambuecue gui, icatu rire yepe roñembopojyi Cristo rembiyocuai Apostol-já-reje. 
1TH.2.7	Upea rangue yepe ore roñembo vevuieté peême mitâ kyryîmeguaicha, peteî isy imemby omocambu ramo guaicha. 
1TH.2.8	Upeicharamo, ore pya yerurete gui pendereje, ore rory mo rae romeê pype peême Tûpâ Ñandeyára Ñeê ipyajúva Evangelio, ja ore recove avei catuetei yepe upeicha avei peê cuera voi peyejayjúetéucá jague reje oreve. 
1TH.2.9	Ja peêcuera peñemanduane, che reŷicuera, roñejaâite, ja rojasa asy jague reje ore rombaapo voi ára ja pyjarepe, anichene jaguâ ore pojyi avave peêcueravape, ja upeicha roñemoñeê vaecue peême Tûpâ Ñandeyára neê pyajúgui. 
1TH.2.10	Peêcuera voi peicuaa pôrâ coambaegui, ja Tûpâ Ñandeyára avei oicuaa ore roico jague peê peyeroviáva ndive teco marangatupe jecoitepe iyojeipyrepe. 
1TH.2.11	Peê voi peicuaa ore roico jague opavave penendive cuera peteî tuva itayra ndiveicha, ore pomo kyreŷvo ja pombojorŷvo peême, ja roicuaaucávo peême, 
1TH.2.12	peico vaerâjá jecoitepe iya jaicha umi Tûpâ Ñandeyára rejeguávape, upe pene renoîjaré peême iyŷpŷpeguarâ pe teco marangatu imbuetepyrâ yvagapeguápe.
1TH.2.13	Cova reje ore avei roguerojory Tûpâ Ñandeyárape pŷŷ pŷŷî peêcuera pejendu ramo guare pe Tûpâ Ñandeyára Ñeê ore yuru rupi, peê perojory pe ñeê na cuimbae ñeêichai, Tûpâ Ñandeyára Ñeê añetétéguante jaéetéva voi upe pene atôijára peê peroviavape. 
1TH.2.14	Peêcuera voi, che reŷicuera, peico vaecue jecópe umi Tûpâ Ñandeyára Iglesia rejegua Judeape jicuaiva, Cristo Jesu rejeguava, reco rupi. Ja peêcuera voi pejasa asy vaecue pene retâŷguaete gui voi, ojasa asy jagueicha umi ambuecue avei umi Judio gui. 
1TH.2.15	Umi Judio voi oyuca vaecue Ñandeyára Jesúspe ja umi oñemoñeêjárape ja ore moñá oreve iyapytegui. Jaecuera umiva voi ndoguerojorŷvai Tûpâ Ñandeyárape, ja iyae-ŷ-va opa ybypóra cuera reje. 
1TH.2.16	Jaecuera voi ore yoco yepe gueteri roñemoñeêvo umi pytaguape oñemo marangatu jaguâ. Upeicha voi jaecuera omboyoa yoave jicuai tapia iñangaipa ja pe oyepyjára oipyjyma ichupecuera ivaive jaichama.
1TH.2.17	Ja ore, ore reŷicuera, sapyami ore poreŷ ramo yepe pendejegui, upeicharamo yepe, ore pyape poguereco peême ja roñejaâite icatu jagueicha ore pya yerurete rejeve pojecha jaguâ oyova reje. 
1TH.2.18	Covareje voi rojose pene rendape: che catu Pablo yeby yeby ajase vaecue ja pe mbaepochy Satanas ore yoco. 
1TH.2.19	¿Mbaépane ore rojaârôjá, ja ore rorŷjá ja ore âcâ yeguajarâ ore roñemombeu guasújá? ¿Ndajaeichépane peê Ñandeyára Jesús ypype iyú yebŷpe? 
1TH.2.20	Jae añeté peê ore roñembotuvichajá ja roñembojorŷjá.
1TH.3.1	Upeicharamo, icatuve ŷ maramo ore pyaguapy, jiâ oreve ropyta oreño Atenaspe, 
1TH.3.2	romondo yaveve Timoteo, ore reŷivape Tûpâ Ñandeyára rembiyocuaiva, Cristo Evangelio rerecuáva voi, pene mombaraete jaguâ peême ja pene mokyreŷ peyeroviajápe, 
1TH.3.3	anichene jaguâ avave peêcuerava peñemopyamîrî coa peyeyopŷjá rupi. Peêcuera voi peicuaa covaerâ voi yaicojá ñande. 
1TH.3.4	Upe roimeme pene ndive ore pomomarandu peême roevo: Voi yajasa asyne, ja upeichaite oyeju avei peê voi peicuaa jaicha. 
1TH.3.5	Cova reje che avei icatuve ŷ maramo che pyaguapy, amondo aporandúucá mbaeichapa peico peyeroviajápe, yajecha sapya pe mbaepochy penderecáva peneatôimapa nerae, ja upeicharamo, ore rembiapo penderejejápe guare opyta reimanerae. 
1TH.3.6	Peina anga ou ramoite yebyma Timoteo pene rendagui ore rendape ja oremo maranduma peyerovia pôrâja, ja peyojayjujá oñondive, ja jeima oreve peê pene manduajá orereje tapia tayjupápe, ja pende pya yeruretejá ore rechapotávo, ore pojechase jaicha peême. 
1TH.3.7	Upeva rupi, ore reŷicuera, opa roicôtevê ja rojasa asy jápe yepe ore pyaguapy pende rejejápe peyeroviajáreje. 
1TH.3.8	Coanga catu roicovéetéma, peê pepyta jâtâitéma járeje Ñandeyára ndive. 
1TH.3.9	¿Ja mbaeichapa icatu vaerâ rojechacuaa Tûpâ Ñandeyára pendereje oñembojorŷeté járeje pende rupi Tûpâ Ñandeyára ypype? 
1TH.3.10	ára ja pyjare voi royerure jetaite ore ñemboépe rojecha jaguâ pende rová ja sapya peyerovia ŷ ramo jecópe pombo jecopôrâite jaguâ.
1TH.3.11	Tûpâ ñande Ru, ja Ñandeyára Jesús tombosacoi ore rapérâ rojo jaguâ pene rendape. 
1TH.3.12	Ja Ñandeyára ta penemboyoaŷju jaŷjúve yoa yoa icatu jagueicha oyoyupe ja opa cuimbape avei, ore avei pojaŷjú jaicha peême. 
1TH.3.13	Upeicha voi Jae penembo jecopôrâne pende pyape peico jaguâ pene marangatu pene mârâ ŷ reje Tûpâ ñande Ru ypype iyu yebŷjápe Ñandeyára Jesús opa imarangatuva Jesegua cuérava rejeve.
1TH.4.1	Upeicha avei, che reŷicuera, pejendu jagueicha ore yuru rupi voi mbaeichapa peico vaerâ pembojory jaguâ Tûpâ Ñandeyárape, upe peico jaicha vointe, royerure peême, ja pomokyreŷ Ñandeyára Jesús rérape peico peicové jaguâ jecoitepe icatu jagueicha. 
1TH.4.2	Peê voi peicuaa umi tembiapo apopŷ romeê vaecue peême Ñandeyára Jesús rerape. 
1TH.4.3	Cova voi Tûpâ Ñandeyára rembipota iyojeipyre jaguâ pendereco, peyeyoco jaguâ teco tieŷ gui, 
1TH.4.4	peicuaa jaguâ opavave peê cuérava peñejaâ vaerâjá pereco jaguâ pene rembirecóetévé jecoitepe ja yeroviaitéjápe, 
1TH.4.5	anichene jaguâ ipuaca pendereje pene remimoâ pene mbotieŷucájarâ, umi ybypóra reícha avei oicuaa-ŷ-va Tûpâ Ñandeyárape. 
1TH.4.6	Coambae guivo avei avave anichene omomârâ ja oyabyky japichápe. Ñandeyára voi iyepŷjarâ opa âmbaepe, ore pomboe jagueicha voi peême, ja roicuaauca jagueicha peême. 
1TH.4.7	Tûpâ Ñandeyára na ñanerenôiri teco tayasúrâ teco imarangatu vaerânte. 
1TH.4.8	Upevareje pe tecove iyeróva ndajaei cuimbaepe año omomârâva, omomârâva catuetei Tûpâ Ñandeyárape omoingue vaecue pende pyape Espiritu Santope.
1TH.4.9	Coanga icatu nda tecôtevêi jaeuca mbaeve co cuatia ñeême peyojayju vaerâjá oñondive, Tûpâ Ñandeyára voi penemboema vaecue peyojayju jaguâ oñondive. 
1TH.4.10	Peê voi peico upeicha añete opa umi ñande reŷi ndive jicuaiva Macedoniayere reje. Ja upeicha ta pomo kyreŷ peême peico peicové pôrâ jaguâ upeicha jecópe, 
1TH.4.11	peñejaâvo icatu jagueicha oñondive peico pôrâ jaguâ oyoapytepe kîrîrîjáme, opavave peêcuerava peyapo jecope iyáva peteî teî peêvape voí ja pembaapo pende pope ore royerure jagueicha peême peyapo jaguâ, 
1TH.4.12	upeicha peico jaguâ jecoitepe umi ambuecue ñande ŷ va resape, anichene jaguâ peicôtevê avave reje.
1TH.4.13	Coanga ndo roipotai, ore reŷicuera, peê peicuaaŷ umi ñande reyá vaecue gui, sapya peê pende pyambyasy ramo umi ambuecueicha avei oguereco-y-va ojaârô vaerâ. 
1TH.4.14	Ñande yarovia ramo añete Jesús omano jague ja oicove yeby jague, yarovia avei Jesús rupi Tûpâ Ñandeyára oguerajáucá jaguâ Jendive umi ñande reyá vaecue. 
1TH.4.15	Cova voi roicuaáucá peême Ñandeyára ñeê jeíucá vaecue rupi ñande yaicovéva ja yapytava Ñandeyára ou yeby ramo guârâ na ñañemotenondeichene umi yma ñande reyá vaecue gui. 
1TH.4.16	Ñandeyára voí ogueyŷne yvagui mburuvicha guasu ñeêicha rejeve ja pe yvapegua tuvichavéva ñeê jyapu yave, ja Tûpâ Ñandeyára turu ipú yave avei, ja umi omano vaecue Cristo rejeguava opuâ tenondene, 
1TH.4.17	uperire ñande yaicovéva ja yapytava gueteri ñañe rerôguajêne jendivecuera voí arai guype Ñandeyára ruvaitîjapeve yvate. Ja upeicha ñaimene Ñandeyára ndive tapia guârâ. 
1TH.4.18	Upeareje peñomokyreŷ vaerâ coa ñeê rejeve.
1TH.5.1	Opaichavevo na tecôtevêi oyeeuca co cuatia ñeême aracaepane cova ja mbaeichapa iyáne. 
1TH.5.2	Peê voi peicuaa pôrâ jecope Ñandeyára ára ôguajê vaerâ jaguâ peteî imondáva pyjarépeicha. 
1TH.5.3	Jei yaveve jicuai jaecuera: Ñaime pôrâ: na ñane mârâichene, sapyaite joane jiari cuera imbuaijarâ, imembyrá rasy vaicha sapya ja ndiporichene oñeguajê jaguâicha. 
1TH.5.4	Peêcuera, che reŷicuera, na peimei pytûguype, 
1TH.5.5	pe coê pende yopyjy jaguâicha mondajapeicha. Opavave peêcuera voi pe ojesapeva rejegua ja pe ára sâcâ rejegua. Ñande ndajaei pyjaregua terâ pytûnguŷpegua. 
1TH.5.6	Upeicha ramo, anichene yaké umi ambuecueicha. Yapytánte yapaŷ pyre ja yacaú ŷ vaicha. 
1TH.5.7	Umi okéva voi oké pyjarépe, ja umi ocaúva ocaú pyjarepe. 
1TH.5.8	Ñande coê riréguáva voi ta ñaime umi ocaú ŷ vaicha: ta ñamonde vaicha ñande pytia mbopiréyoajá yayeroviajápe ja ñande poraŷjupápe ja ñane âcâ mboajoyá vaicha, ta yareco ñane remiaârôrâ ñane marangatu jaguâ. 
1TH.5.9	Tûpâ Ñandeyára na ñane moingoi ñandeve iyepŷpyrârâ, yajupity jaguânte ñañe momarangatu jaguâ Ñandeyára Jesú Cristo rupi. 
1TH.5.10	Upéva omano vaecue ñanderejejápe icatu jaguâ ñamaña ramo ñaina, terâ yaké ramo ñaina iyu yave yaicové Jendive Jae yaveve. 
1TH.5.11	Upeicharamo peñomokyreŷ oyupe ja opavave peñombojecopôrâ, peyapo jaicha voí peina.
1TH.5.12	Anga che ayerure peême, ore reŷicuera, pejechacuaa pôrâ jaguâ umi ombaapovape pende apytepe, umi oicova voi pende ruvichaicha peê Ñandeyára rejegua apytepe, ja pene momanduáva pende reco pôrâ jaguâ. 
1TH.5.13	Ta pembo tuvichaite ichupecuera taŷjupápe jembiapo cuera reje, ja peico pya guapype oñondive, 
1TH.5.14	ja ore pomokyreŷ avei peême, ore reŷicuera, peêcuera pemomandua jaguâ umi oico rei reívape pe jeco pôrâ jaguâ ja pembo pyaguapy jaguâ umi ipyamîrîetévape ja peipytyvô jaguâ umi ipituávape ja perokîrîrî opavave ndive. 
1TH.5.15	Pejechákéna, anichene jaguâ pembojecovia ivaíva pe ivaívape: tapia pejeca vaerâ iya jaguâ peyapo pôrâvo oyoupe ja opavavépe avei. 
1TH.5.16	Pende rory tapia. 
1TH.5.17	Peñemboe pepytuuŷreje. Opambaepe pende pyapôrâ Ñandeyára ndive. 
1TH.5.18	Cova voí Tûpâ Ñandeyára rembipota Cristo Jesús rupi pende rejejápe. 
1TH.5.19	Ani pembogue pe Espiritupe. 
1TH.5.20	Ani peroŷrô umi oñemoñeêjára mbae tenonderâgui. 
1TH.5.21	Opa umivape pejaânte, ja peipyjy jâtâ mbae ipôrâvante. 
1TH.5.22	Peye rereco pene añojape opaichagua mbae vaigui.
1TH.5.23	Ja pe Tûpâ Ñandeyára ñane mbopyaguapyjára Jaéeté voí ta penemo marangatú jecoitépe ja toñeñongatú tacateŷjá vaicha pende pya ja pene anga ja pende rete, peico jaguâ pene mârâ ŷ etéva ramo Ñandeyára Jesú Cristo iyúpe guârâ. 
1TH.5.24	Yeroviajá catu upe pene renoîva peême, ja Jae oyapone avei jecoitépe pe oyapo vaerâ.
1TH.5.25	Ore reŷicuera, peñemboe ore reje. 
1TH.5.26	Pemomaitei opavave ñande reŷicuerape peteî yurupyté imarangatúvape. 
1TH.5.27	Ayerure peême Ñandeyára rérape pemoñeêucá jaguâ co cuatia opavavé ñande reŷicuerape. 
1TH.5.28	Ta ipyapôrâ peême Ñandeyára Jesú Cristo.
2TH.1.1	Che Pablo, ja Silvano, ja Timoteo, romomaitéiucá peême Iglesia rejegua Tesalónicaŷguape Tûpâ Ñande Rú ja Ñandeyára Jesu Cristo rejeguavape. 
2TH.1.2	Ta ipyapôrâ peême ja ta penembopyaguapy Tûpâ ñande Rú ja Ñandeyára Jesu Cristo.
2TH.1.3	Rojechacuaa vaerâ catu ete Tûpâ Ñandeyárape tapia pendereje, ore reŷicuera, iya jaicha voi oreve pende yerovia oyoa yoave járeje ojovo ja pende poraŷju opavave oñondive oyoa yoave járeje ojovo avei. 
2TH.1.4	Upevareje voi ore pomombeu guasu peême umi Iglesia Tûpâ Ñandeyára rejeguape perokîrîrî reje, ja pende yerovia reje opa pene moñájá rupi ja pejasa asy járupi. 
2TH.1.5	Cova voi ojechacuaáucá oreve Tûpâ Ñandeyára oyepŷjá jina jecope penembosacoiva voi iya jaguâ peême pejupity jaguâ pe Tûpâ Ñandeyára reco yvapeguape co pejasa asŷva voi rejejápe. 
2TH.1.6	Upeicha vaerâ voi, iyáma guive jecópe Tûpâ Ñandeyára umi penembojasa asy jague recoviarâ omeê jaguâ ichupecuera ojasa asy jaguâ avei, 
2TH.1.7	ja omeê jaguâ peême pejasa asŷvape peina pepytuú jaguâ penembopytuúvo orendive Ñandeyára Jesús oyejechauca yebyja árape ouvo umi yvapegua rejegua ja oñembotuvichájá rejeve. 
2TH.1.8	Jae oune tata rendŷ apytepe oyepŷ jaguâ umi oicuaa-ŷ-va reje Tûpâ Ñandeyárape ja umi iñeêrendu-ŷ-vaecuepe reje Ñandeyára Jesús ñeê ipyajúva ipôrâva Evangeliopeguare. 
2TH.1.9	Oico vaerâ jesecuera pe oyepŷva omosarambivo ichupecuera tapiaguarâ ja omombovo ichupecuera Ñandeyára resagui ja pe oyeguaitejá ja oñembotuvichajagui, 
2TH.1.10	upe ára Jae iyú yebŷjápe, oñembo tuvicha jaguâ umi imarangatu cuera rupi, ja oyejecharâmô jaguâ opavave umi oguerovia vaecue apytepe, ja pende apytepe avei perovia jague reje pe roicuaauca vaecue peême. 
2TH.1.11	Coicharâ voi ore tapia roñemboe avei pende reje royerurevo Tûpâ Ñandeyára omboiya jaguâ peême peico jaguâ jecope iporavópyré ojenoî jagueicha, ja ipuaca rupi ombuayepá jaguâ pene rembipota pende pya yerurejá mbae ipôrâva guive, ja ôguenojêucá pôrâ jaguâ pene rembiapo peyerovia jague. 
2TH.1.12	Toiconte upeicha Ñandeyára Jesús réra oñembotuvicha jaguâ pende pype, ja peê peñembotuvicháucá jaguâ Ipype ipyapôrâite rupi ñane Tûpâ Ñandeyára ja Ñandeyára Jesu Cristo.
2TH.2.1	Anga royerure peême, ore reŷicuera, ñane manduajápe Ñandeyára Jesu Cristo yu yeby reje, ja pe ñañembyatŷ jaguâ reje oñondive juvaîtívo, 
2TH.2.2	anichene jaguâ peê peyetybyró voíeté pende pyape coa mbaegui, ja anichene jaguâ pene âcâtarová reí mbae guaujapegua reje, terâ ñeê reí reje, terâ cuatia ñeê rupi orejeguiguaicha ramo peimoâjápe jecoŷme Ñandeyára ára ôguajêmbotámajá. 
2TH.2.3	Avave mbaevéicharamo anichene peñembotaby. Upe jaára ndicatui ou jaguâ oico rae ŷ reje pe oyepia guasújá, ja oyecuaa rae ŷ reje avei pe cuimbae oporomboepochyjára, pe oporombuaijára rejegua, 
2TH.2.4	pe oñemopuâ vaerâ ja oñembotuvicha vaerâ opa mbae oñembo jérava Tûpâ Ñandeyára coty coty terâ mbae imbuetepyrâ coty coty ja oike vaerâ oguapy jaguâ yepe pe tenda carai tûpâopeguape oyejechaucávo oyupe jae voi Tûpâ Ñandeyára ramo guaicha. 
2TH.2.5	Na pene manduaipa che aime ramo guare penendive jae jague peême opa âmbae. 
2TH.2.6	Ja coanga peê peicuaa pe iyocojára oguajê meve pe jecóeté oyecuaáucápá jaguâ ára. 
2TH.2.7	Oicoma voi pe oporomboepochŷjára ñemijáme. Cova añónte upe iyocojára oyei peve iyapytegui cuera, 
2TH.2.8	ja uperamo pe oporomboepochyjára oyecuaáucápáne, ja Jesu Cristo ogueroveve vaerâ ichupe iñeê ybytu pochŷicha rupi, ja omboapayerei vaerâ iyúpe iyeguaitépe. 
2TH.2.9	Upe oyecuaaucajá árape, upéva oyapouca jaicha pe Satanás mbaepochy, oicone opaichagua mbae guasu ja jechapyrâ ja mbae poromondyi yapujápegua, 
2TH.2.10	oporombotaby jaguâicha ñañajápe umi icañymbyrâme, ndo yopyjyi jague reje ipyápe taŷjúpápe pe Tûpâ Ñandeyára Ñeê oñembo jeco marangatúucá jaguâ. 
2TH.2.11	Upearâ voi Tûpâ Ñandeyára ombou ipyaatôijára oyeyabŷucá vaerâ, ja ogueroviáucá vaerâ pe guaújápegua, 
2TH.2.12	oyepŷ jaguâ opa umi ogueroviase-ŷ-vaecue Tûpâ Ñandeyára Ñeê ja obya eterei vaecuereje jicuai jembiapo vaija rupi.
2TH.2.13	Ore tapia rojechacuaa vaerâ Tûpâ Ñandeyára pende rejejápe peê ore reŷicuera, Ñandeyára raŷjupara cuera Tûpâ Ñandeyára iñypyrumbŷ guive voi pende poravó jague reje pene mârâ-ŷ-jaguâ pene mbojeco marangatu rupi pe Espiritu, ja peê perovia jague reje iñeê. 
2TH.2.14	Covaerâ voi Tûpâ Ñandeyára pene renôi vaecue peême ore ñemoñeê rupi pe Evangeliogui, iya jaguâ peême peyererojorŷ jaguâ Ñandeyára Jesu Cristo oñembo tuvichajápe. 
2TH.2.15	Upeicharamo, ore reŷicuera, pepyta jâtâ ja pene mandua tapia umi mbae ore pomboe jague peême ore yuru rupi voi, terâ ore cuatia ñeê rupi.
2TH.2.16	Ja Ñandeyára Jesu Cristo voi, ja Tûpâ Ñandeyára ñande Ru ñande rayjújára omeê vaecue ñandeve ipyapôrâjápe ñande pyaguapy tapia jaguâ, ja ñane remiaârôrâ mbae ipôrârâ meme, 
2TH.2.17	ta pene mbopyaguapy ja ta pene moingo pôrâ opa tembiapo ja ñeê pôrâme.
2TH.3.1	Coanga, ore reŷicuera, peñemboe orereje, peyerurévo Tûpâ Ñandeyára Ñeê reje, oico pyaéeté jaguâ oparupi ja oñembo tuvicha jaguâ pende apytepe guareicha voi, 
2TH.3.2	ja anichene jaguâ ore mârâ umi cuimbae iñâcâ vaí ja iñañáva rupi -- nda opavavei voi oyerovia -- 
2TH.3.3	Ñandeyára ñande yeroviajá voi penemoingo vaerâ jecopete ja pene ñangareco vaerâ mbaepochy gui. 
2TH.3.4	Ja yayerovia Ñandeyára reje penderejejápe, peyapójá peina ja peyapo vaerâjá pe ore royapóucáva peême. 
2TH.3.5	Ja Ñandeyára tombosacoi pende pya pende reco poraŷjú jaguâme Tûpâ Ñandeyáraicha, ja pende reco kîrîrî jaguâme Cristoicha. 
2TH.3.6	Ja coanga, ore reŷicuera, Ñandeyára Jesu Cristo rérape roéucá peême peyepea jaguâ opavave ñande reŷi jecopegua-ŷ gui, ja oico-ŷ-va jecope ore romboe jagueicha. 
2TH.3.7	Peê voi peicuaa tecôtevêjá peê peico ore reco rupi: ore ndo roicoi vaecue jecoŷme pende apytepe. 
2TH.3.8	Ja ndo rou reíri avave mbuyape, ja roñejaâ icatu jagueicha tembiapo pojyi rejeve ára ja pyjare rombaapo roicovo anichene jaguâ ore pojyi avave peê cuéravape. 
2TH.3.9	Upeicha royapo nda iya-ŷ-jague rejei oreve, rojechaucásénte peême ore reco gui, peêcuera peico jaguâ oréichante avei, 
2TH.3.10	ja ore roi pype penendive yepe roéucá vaecue coicha: Oime ramo ombaapósé-ŷ-va tocaru-ŷ avei. 
2TH.3.11	Rojendu roina coanga oiméjá peteîva peêva peicova jecoŷme na pembaapoijá mbaevepe, ja pene ñeêngatu reíjá peicovo. 
2TH.3.12	Coaichagua tecovépe roéucá, ja royapóucá Ñandeyára Jesús rérape tombaapó kîrîrîjáme jou jaguâ imbuyape jembiapo repycueguiguante. 
2TH.3.13	Peêcuera, ore reŷi cuera, ani peneateî pende reco pôrâ vaerâme, 
2TH.3.14	ja oime ramo ojenduse-ŷ-va ore ñeê co cuatia ñeêmegua pemaê pôrâ upe cuimbae reje, ja ani peyejea jese, jae oñemotî jaguâ opytavo. 
2TH.3.15	Upeicharamo yepe ani peyapo pende ae-ŷ-va ramo jese. Pemomanduante ichupe peteî ñande reŷicha. 
2TH.3.16	Ja pe Ñandeyára ñane mbopya guapyjára tapiaite ta pene mbopyaguapy peême avei opaichavevo. Ñandeyára toico opa pene ndive cuera. 
2TH.3.17	Che Pablo che po rupi voi pomo maitéiucá oyejechacuaajá voi opa che cuatia: coicha voí che ajai che cuatiañeê reje che po rupi voí. 
2TH.3.18	Ñandeyára Jesú Cristo pyapôrâ toico opavave penendive cuera.
1TI.1.1	Che Pablo, Jesu Cristo rembiyocuai, Apostol, che moingo vaecue upearâ Tûpâ Ñandeyára ñane mbojeco marangatu jára, ja Cristo Jesús ñande yeroviajá, 
1TI.1.2	romo maitéiucá ndeve, Timoteo, che raŷ ete co yayeroviáva rejeguáva. Tûpâ ñande Rú ja Cristo Jesús Ñandeyára ta nembopyapôrâ ja nde poriajuvereco ja ta nembopya guapŷ.
1TI.1.3	Che aime ramo guare aja jaguâicha Macedoniape, che ayerure ndeve repyta jaguâ Efesope, icatu jaguâ remomandua umi ambuecuepe ani jaguâ omombia iporomboepe, 
1TI.1.4	ja ani oyapysaca mbae rei rei reje ja umi ñemonaré iyapyra-ŷ-va reje. Umimbae voi ñande poromboyuabŷva ñane mboyepocuaa rendaguepe Tûpâ Ñandeyára rembiapo rerecua ramo icatujápe yaico ñande yayeroviajá rupinte. Upevareje coanga ayerure yeby ndeve. 
1TI.1.5	Co vaerâ voi ore romomandua oico vaerâjá mborayju ipya pôtí rejeve ja ipyapy pôrâ rejeve ja oyoyerovia oyueje guauŷjápe. 
