GEN.1.1	Nutem etellrani Agayutem ellarpak nuna-llu piliaqellruak. 
ZEC.5.10	Aptaqa tauna an'gilaq, “Natmun ayautan'gu?”
ZEC.5.11	Kiugaanga, “Babylonia-mun, tuani agayuvigkaanek pilinaluteng. Agayuvik qaqiskan, issran tuavet elliciqaat ciktaarvik'laasqelluku.”
ZEC.6.1	Allamek tangrruartua. Tuani-llu tangerrlua cetamanek akalrialegnek ayagassuutnek agiirtellrianek akuliignegun punernerek ingrik. 
ZEC.6.2	Ciuqliq akalrialek ayagassuun qimugterluni kavirlinek horse-aanek, tunglia-llu tungulrianek, 
ZEC.6.3	pingayuat-llu qatellrianek, cetamiit-llu kukupalegnek. 
ZEC.6.4	Tua-llu an'gilaq aptaqa, “Camek ukut akalrialget ekumassuutet kangingqertat?”
ZEC.6.5	Kiugaanga, “Ukut cetamauluteng anuqnguut; nutaan wani-wa tainerrartut ciuqerranek nunam tamarmi 
ZEC.6.6	Akalrialek ekumassuun tungulrianek horse-aanek qimugtelek negetmun ayagciquq Babylonia-mun, qatellrianek-llu qimugtelek kanaknetmun, kukupalegnek-llu qimugtelek ayagciquq nunamun ungalami uitalriamun. 
ZEC.6.7	Taukut kukupalget horse-aarit anllermeggni uitasciigatut kiiki ayagyugluteng yuvriryarturluku nuna. An'gilaq qanertuq, “Ayagluci yuvriryarturciu nuna!” Tua-i ayagtut. 
ZEC.6.8	Tua-llu an'gilam taum qayagpagaanga, “Horse-aat negetmun ayallret Babylonia-mun nepairaat 
ZEC.6.10	Ellii qanertuq, “Nunameggnek ayagcecimallret Heldai-am, Tobiah-m, Jedaiah-m-llu cikiutekellrit teguluki egmianun ayii eniinun Josiah-m Zephaniah-m qetunraan. Tamarmeng utertellruut nunameggnek ayagcecimallermeggnek Babyonia-mun. 
ZEC.6.11	Nasqerruciniartuten qerrirlimek suulutaamek-llu taukut cikiutekellritnek, elliluku-llu qamiquanun Agayulirten͞gunrem, Joshua-m Jehozadak-am qetunraanun. 
ZEC.6.12	Qanrulluku-llu 
ZEC.6.13	Elliin piliaqeciqaa takaqumaarkauluni-llu angayuqam takaqumalauciatun, atanirturciqai-llu yun'i. Agayulirta-llu nangengqaciquq aqumlleran caniani, nepailngurkun umyuallguteklutek-llu caliciquk.’ 
ZEC.6.14	Tauna-llu nasqerrun 
ZEC.6.15	Angutet yaaqvani nunalget tailuteng ikayuuciiqut nautenqigtellratni 
ZEC.7.1	Darius-aam atanrullran cetamiitni allrakut qulngunritariit iralut cetamanek ernengqerluku (Kislev-aam Iralua) 
ZEC.7.2	Bethel-aam yuin ayagcetellruat Sharezer-aaq Regemmelech-aaq-llu ilakek ilakluki Agayuvigpiinun 
ZEC.7.3	aptesqelluki-llu agayulirtet prophet-aat-llu mat'umek: “Cali-qaa angniilutkurlaut piunriumallra Agayuvigpiim, yaagaqluta iralut tallimaurtaqata allrakut amlleret aturluki pillrucimcetun?”
ZEC.7.4	Una wani-wa qanerkaq 
ZEC.7.5	Qanertuq, “Nunam yui qanruski agayulirtet-llu, yaagaqameng-gguq angniitaqameng-llu tallimiitni malrunelgatni-llu iralut ukuni yuinaat pingayun qulmek cipluki (70) allrakuni, wiinga umyuaqlua piksaitellruut. 
ZEC.7.6	Ner'aqameng-llu-gguq merluteng-llu, ellaita tau͡gaam camirtellerkarteng pitekluku pilallruut.”
ZEC.7.7	Waten 
ZEC.7.9	“Ak'a tamaani yuut waten alerqullruanka, ‘Cuqciaqavci yugnek piciuluci pilaqici, takumcukulluci naklekulluci-llu atunem. 
ZEC.7.10	Nangciksaunaci aipainernek, elli'irnek-llu, allanernek-llu nunavcen̄i uitalrianek, wall'u kitumek imumek nuuqitellriamek. Picirkiuqsaunaci-llu qaillun piluku akngirkengnaluci ilavcen̄ek.’
ZEC.7.11	“Tau͡gaam yuunka maligtaqutevkenateng niicugniyuumiitellruut. Umyuateng umegluki 
ZEC.7.12	ircaquteng-llu teggalqutun tegtarivkarluki. Niicunrilata qalarutengramteng prophet-aatgun ak'a yuullerteggun, wiinga cakneq qenqertellruunga. 
ZEC.7.13	Niicugnillrunrilata qanllemni kiullrunritanka piicallratni. 
ZEC.7.14	Anuqerpagkun kagillruanka nunakumanrilngurni nunani uitasqelluki. Man'a nunakegtaar yuirutellruuq, atauciungraan uitavikestairulluni.”
ZEC.8.2	“Ikayuryuumilaryaaqaqa Jerusalem-aaq angelriamek kenkilqa yuinek pitekluku, kenkillma ellaitnek qenngucetellrui inglukestai. 
ZEC.8.3	Uterciiqua Jerusalem-aamun, qigcignarqellriamun nunarpamnun, tuani-llu uitalua. Yuut nallunrirciqaat piciuluni nunarpaullrakun, qemia-llu 
ZEC.8.4	Ataam angukara'urluut arnassagaat-llu, ak'allaurtem ugaani ayaruarluteng tarratengelriit aqumgalangeciqut tumyarat taqruitni. 
ZEC.8.5	Tumyarat-llu ataam tan'gaurlurnek nasaurlurnek-llu yugyangciqut aquilrianek.
ZEC.8.6	“Man'a caperrnarqelriarungaciiqsaaquq wanirpak unegtaulrianun atanruviim yuinun, tau͡gaam wangni caperrnarqenrituq. 
ZEC.8.7	Anirturciqanka yuunka nunanek ayaucimavillritnek, 
ZEC.8.8	ut'rulluki-llu calaramek kanaknagmek-llu Jerusalem-aami uitasqelluki. Wiinga-llu yuk'eciqanka, ellaita-llu Agayutkeciqaatnga, atanirturluki piciulriakun ellualriakun-llu.
ZEC.8.9	“Caceturici! Niicavci wani-wa prophet-aat qaneryaraqellrita ayuqaitnek Agayuvigpiim tusnganerkai ellimallratni ataam nauteqatallermeggni. 
ZEC.8.10	Tamatum ciungani kina imna caliarkanek yugnek wall'u ungungssiarnek pisciigatellruuq akiliutekailata, cali tamarmeng kelqurluteng inglukestemeggnek. Atunem ingluksagucetellruanka yuut. 
ZEC.8.11	Tau͡gaam maa-i unegtaulriit ciunganicetun ayuqutenritanka. 
ZEC.8.12	Nauceciilarciqut camek alingevkenateng. Wine-arkat atsat napat epuit atsanglarciqut, nuna-llu naugilarciquq nauceciiganek, ellallillra-llu nurnarqevkenani. Makut atawaqautet tamalkuita cikiutekciqanka yumnun unegtaullernun. 
ZEC.8.13	Judah-m Israel-aam-llu yuini! Avani pellullermi allanret aniqlaalallruit ilateng waten qanerluteng, ‘Picurlagatek'lallri-tuq Israel-aam Judah-m-llu yuin elpecen̄un tull'it!’ Tau͡gaam anirturciqamci, tamakut allanret qanlangevkarluki, ‘Atawaqautait atak Israel-aam Judah-m-llu yuin elpecen̄un tull'it!’ Taumek ciunerkairucaqunaci alingeksaunaci-llu.”
ZEC.8.15	Tau͡gaam maa-i picirkiurtua atawaqercetnaluki Jerusalem-aam Judah-m-llu yui. Taumek alingyaqunaci. 
ZEC.8.16	Makut tau͡gaam maa-i pilararkaci: Piciulrianek tau͡gaam ilavcen̄un qanraqluci. Apqaurvigni-llu cuqciaqluci elluarrluci, uitanqegcillerkamun ayagniutnguarkaulrianek. 
ZEC.8.17	Umyuarrliquciksaunaci ilavcen̄ek. Piciunrilngurmek nallunairiksaunaci akqirraarluci piciulriamek tau͡gaam qanerciqniluci. Uumikaqa iqluquyaraq, elluanricaraq, calluayaraq-llu.”
ZEC.8.19	“Yagyarat atulaqci cetamiitni, tallimiitni, malrunelgatni, qulngurutiitni-llu iralut nerevkariyaraurciiqut nunaniqluteng angnirnaqluteng-llu Judah-m yuinun. Taumek kenegyaguskiciu piciulria uitanqegcineq-llu.”
ZEC.8.21	Nunamek tuaken pillret qanlarciqut nunamek allamek pillernun, ‘Wangkuta agayuqatartukut 
ZEC.8.22	Amllellriit yuut pinilegpiit-llu atanruviit tailarciqut Jerusalem-aamun agayunaluteng 
ZEC.8.23	Tamakuni ernerni qulen allanret ullalarciqaat atauciq Jews-aaq qanrulluku-llu, ‘Pillguciucugtukut tekitarkami pikarpenun, niitellruamta Agayutmun nayurniluci.’”
ZEC.9.1	Una 
ZEC.9.1	Ellii picirkirillruuq anucimirqecetaarutmek Hadrach-aam nuniinun nunarpiinun-llu Damascus-aam. Israel-aam yui kiingita pivkenaki Syria-m-llu atanruvia nunarpak 
ZEC.9.2	Hadrach-aam-llu caniqlia Hamath-aaq pikaa, nunarpiik-llu Tyre-ankuk Sidon-aaq-llu, calitulrianek yulgek. 
ZEC.9.3	Tyre-aq pilillruuq cayailkutkaminek quyurtaangluni-llu qerrirlinek suulutaamek-llu amllerem ugaani paivngariluteng marayatun! 
ZEC.9.4	Tau͡gaam 
ZEC.9.5	Nunarpiim-llu Ashkelon-aam tangerrluku tuaten pimakan alingeciquq. Nunarpiim Gaza-m tangerciqaa nangteqerpagluni-llu angelriamek. Tuaten-llu cali Ekron-aaq piciquq, neryuniurutai-llu navguumaciqut. Gaza angayuqriuciiquq, Ashkelon-aaq-llu yuin uniciiqaat. 
ZEC.9.6	Ashdod-aaq-llu ayuqenrilngurnek yung'eciquq. 
ZEC.9.7	Augtuumaita kemegnek nernanrirciqut, allanek-llu inerquusngalrianek. Tamalkuita unegtaulriit yum'a ilaksaguciqait Judah-m ilakellgutkelriaritun ayuqsagulluteng. Ekron-aam-llu cali yui, yum'a ilaksaguciiqait Jebusite-at
ZEC.9.8	Murilkeciqaqa nunauteka anguyagtet-llu tamaagguirceteksaunaki. Nangciyulrianun yuunka nangcetenqiggngaitanka. Tangellruamku qaillun pitalriamek yuunka nangteqtallruciat.”
ZEC.9.9	Caknerpak nunaniryugci Zion-aam yuini!
ZEC.9.9	Qayagpagaci nunaniryugluci, Jerusalem-aam yuini!
ZEC.9.9	Atam tangerqerciu, atanerkarpeci ullagaaci!
ZEC.9.9	Taiguq anagkengelriaruluni cirlakilriaruluni-llu,
ZEC.9.9	tau͡gaam ellmikutuuluni ekumaluni-llu ciulviim qaingani—
ZEC.9.9	ciulviim iniaran qaingani.
ZEC.9.10	“Au͡g'arciqanka akalrialget ekumassuutet Israel-aamek
ZEC.9.10	horse-aarit-llu Jerusalem-aamek teguluki;
ZEC.9.10	urluvret anguyagaqameng atutukait navguumaciqut.
ZEC.9.10	Atanerci taquciiquq uitanqegcitmek atanruviigni;
ZEC.9.10	atanruciquq imarpigmek ayagluni allamun imarpigmun,
ZEC.9.10	kuigmek-llu Euphrates-aamek ayagluni nunam iquanun.”
ZEC.9.11	“Akqutkelqa elpecen̄un pitekluku
ZEC.9.11	takarnarquciumalria tuqutarkat elliitet augatgun,
ZEC.9.11	yut'en anirturciqanka—
ZEC.9.11	anirturluki mer'ilngurmek petmianek nunaminek ayagcecimayaram.
ZEC.9.12	Uterci, nunavcen̄ek ayagcecimallerni maa-i neryuniurut'ngelriani;
ZEC.9.12	uterci nunavcen̄un camek alingniurnailngurmun.
ZEC.9.12	Watua-llu qanrutamci cimiriciqamci malrurqugnek amllenruluku
ZEC.9.12	atawaqautnek tapirluku tamalkuan nangteqlerci akilirluku.
ZEC.9.13	Judah urluvqelriatun aturciqaqa
ZEC.9.13	Israel-aaq-llu pitegcautetun.
ZEC.9.13	Zion-aam-llu angutai nuussirpagtun,
ZEC.9.13	anguyagcuutekluki Greece-am angutainun.”
ZEC.9.14	pitgaquciiqai pitegcautni kalluum kenratun.
ZEC.9.14	Artuqailnguum 
ZEC.9.14	ayagciquq ellarayagteggun ungalamek tailrianek.
ZEC.9.15	ellaita-llu piunrirciqait inglukesteteng.
ZEC.9.15	Qayagpagaciqut taangiqellriatun
ZEC.9.15	augat-llu inglukestem̄i maqevkarciqaa
ZEC.9.15	qurrlurciquq augatun ekualuku elliitem
ZEC.9.15	kuvumalriatun qantamek ekuaviim qainganun.
ZEC.9.16	Tauna erneq tekiskan, 
ZEC.9.16	qusngiliurtem katngautni anirtulauciatun aarnarqellriamek.
ZEC.9.16	Tanqigmek akiqerciqut nuniini
ZEC.9.16	teggalquqegtaaraitun nasqerrutem.
ZEC.9.17	Assiqatarpagta tangniqluni-llu nuna!
ZEC.9.17	Mukaarkai wine-ai-llu ayagyuat piniritkeciqait.
ZEC.10.1	Piicagvikiciu 
ZEC.10.2	Yuut ellatessurvik'larait agayutnguat ciunerkarcutulit-llu, tau͡gaam tamakut kiutait iqluurutnguut piciuvkenateng-llu. Ilait nalqigcilartut qavangunek, tau͡gaam iqlutmurutelaraaci; elpecen̄un qaruyutait camun atuunritut. Taumek yuut ayarraayalriit qusngitun. Arenqiallugtut ciuliqagtailameng.
ZEC.10.4	Ellaitnek piurtelarciqut atanirturilriit, ciuliqagtet, atanirturcet-llu atanirturtekait yum'a. 
ZEC.10.5	Judah-m yui cirlakiciqut anguyagtetun tutmaucilriatun inglukestemeggnek marayamun tumyaranelngurtun. Callugciqut tua-i-wa 
ZEC.10.6	“Pinirivkarciqanka Judah-m yui;
ZEC.10.6	Aviuciiqanka Israel-aam yui.
ZEC.10.6	Takumcukciqanka
ZEC.10.6	tamalkuita-llu ut'ruciiqanka kingunritnun.
ZEC.10.6	Ayuqeciqut tuar wangnek qessakesciurumaqaqsailnguut.
ZEC.10.6	Wiinga 
ZEC.10.7	Israel-aam-llu yui pinirciqut anguyagtetun,
ZEC.10.7	angniriluteng kinkucetun wine-amek mer'allertun.
ZEC.10.7	Kinguvrita umyuaqelarciqaat man'a cirlakillrat
ZEC.10.7	quyaluteng-llu 
ZEC.10.8	“Qayagaurciqanka yuunka
ZEC.10.8	quyurrluki-llu.
ZEC.10.8	Anirturciqanka
ZEC.10.8	ciungani-llu amlleqapiarallracetun pitarivkarluki.
ZEC.10.9	Cekavcetellrungramki allani atanruvigni,
ZEC.10.9	yaaqsilriani uitang'e'rmeng umyuaqeciqaatnga.
ZEC.10.9	Irniartuumarmeng anagciqut
ZEC.10.9	uterrluteng-llu quyurmeng.
ZEC.10.10	Egypt-aamek Assyria-mek-llu ut'ruciiqanka kingunritnun
ZEC.10.10	elkarrluki-llu nakmiin nuniitni.
ZEC.10.10	Nunalgarciiqanka Gilead-aamun Lebanon-aamun-llu cali;
ZEC.10.10	nuna-llu tamarmi imangeciquq yugnek.
ZEC.10.11	Picurlagnarqellria atullratni imarpigkun ayalriatun,
ZEC.10.11	Wiinga 
ZEC.10.11	Nile-am-llu et'ulriari kinerciqut.
ZEC.10.11	Ellminek pivakelria Assyria iivkaumaciquq,
ZEC.10.11	Pinilegpaulria-llu Egypt-aaq piniaruciiquq.
ZEC.10.12	Wiinga yuunka pinirivkarciqanka;
ZEC.10.12	agayularciqut wangnun niisngalua-llu wiinga.”
ZEC.11.1	Lebanon-aaq, ikirtuqaten ikireski,
ZEC.11.1	kenrem ekuanaurai cedar-aat napaten!
ZEC.11.2	Qiaci neplirluci, qugniilngurni napani—
ZEC.11.2	cedar-aat iqullruut;
ZEC.11.2	napat tamakut ucurnarqellriit piunriumaut!
ZEC.11.2	Qiaci neplirluci, elnguni napaini Bashan-aam—
ZEC.11.2	naparugaat qerrelqutellriit kepumiita!
ZEC.11.3	Atanirturilriit nepliagut qialuteng;
ZEC.11.3	ucurnarquciat piunrirtuq!
ZEC.11.3	Niicugniciki yugtutulit uirranillrit;
ZEC.11.3	uitavigteng napat Jordan-aam cen̄iini piunriumiin!
ZEC.11.4	Waten qanertuq 
ZEC.11.5	Pikestaita tuqutelarait anucimirqecetaarumayuunateng-llu. Kemgit tunrraarluki qanlartut, ‘Nanraumali 
ZEC.11.5	( 
ZEC.11.6	 qanertuq, “Takumcuyunqiggngaitua kitumek yugmek nunam qaingani. Wiinga tungaunii elliciqanka yuut tamalkuita atanirturtaita piniatnun. Tamakut atanirturilriit nuna nunakarniiruciiqaat, aviusngaitaqa-llu tamakut piniatnek.”)
ZEC.11.7	Kiputellriit tun'ilriit-llu qusnginek calisteksagutaatnga, qusngiliurten͞gurtua-llu qusnginun tuqucimaqatalrianun. Malrugnek muragagnek tegutua: atauciq aciraqa “Naklekun,” aipaa-llu “Umyuallguteknaq.” Aulukanka-llu taukut katngat. 
ZEC.11.8	Pingayun-llu allat qusngiliurtet, eq'ukestenka, taqsuqararulluki au͡g'aranka iralum ataucim iluani. 
ZEC.11.9	Katngat-llu qanrutanka, “Qusngiliurtekngairutarpecia. Tuquarkaulriit tuqukilit. Piunriumaarkat piunriumakilit. Unegtaulriit ellmeggnun piunriuciiqut.” 
ZEC.11.10	Muragaq acilqa Naklekutmek teguluku ayemtaqa, akqut'liallra 
ZEC.11.11	Tua-i akquyun atuungairulluni tuani ernermi. Kiputellriit tun'ilriit-llu qusnginek tangvagaatnga, nallunritaat-llu 
ZEC.11.12	Qanrutanka, “Piyukuvci, calilqa akilirciu. Tau͡gaam piyuumiilkuvci, uitaciki.” Tua-i akiliraatnga yuinaq qulnek cipluku (30) qerrirlinek calilqa akilirluku.
ZEC.11.14	Muragam-llu aipaa ayemtaqa, at'lek Umyuallguteknamek, tua-i Judah-nkuk Israel-aaq-llu ataucimurngallrak ciamcimauq.
ZEC.11.15	Tua-llu 
ZEC.11.16	Qusngiliurtem̄un qaunqevkaranka katngautenka, tau͡gaam ikayuqsaitelarai qusngit tuqutaunayukluki aarnarqengraata; yuarayuunaki-llu tamalriit, canrircecuunaki-llu akngiringalriit, nerqessuunaki-llu natlugnerilnguut. Tau͡gken ellii uqurinkacagaita kemgitnek ner'aqluni cetumqurrit tuaten qecugturaqluki. 
ZEC.11.17	Cautngukaunrilnguq tauna qusngiliurta aarnarqellriamek ciunerkangqertuq! Katngautni cakaaramiki. Anguyiim piunriqapigciiqaa. Tallia nalaciquq, tallirpilirneq-llu iinga cikmirluni.”
ZEC.12.1	Una qaneryaraqaa Israel-aaq piluku 
ZEC.12.2	“Jerusalem-aaq saskam imaatun wine-atun ayuqlirivkarciqaqa; atanruviit avaqlii merciqut ayalualuteng-llu taangiqellriatun. Jerusalem-aaq-llu avataiqatgu, Judah-m-llu nunarpai avatairumaciqut. 
ZEC.12.3	Tau͡gaam tauna pillerkaq tekiskan, Jerusalem-aaq teggalqutun uqamailngurtun ayuqlirivkarciqaqa; kina imna angayuqauvik kevengnaqestii akngirciiquq. Tamarmeng nunam angayuqauvii iliksaguciiqut curugnaluku. 
ZEC.12.4	Taum nalliini tamalkuita horse-aarit alingmun tuc'eciiqanka ekumastait-llu usviirutelluki. Judah-m yui qaunqeciqanka, tau͡gaam cikmirceciiqanka inglukestaita horse-aarit. 
ZEC.12.5	Tua-i Judah-m yui ellmeggnek qanruyuciiqut ‘
ZEC.12.6	“Taum nalliini Judah-m yui naparugarni kenertun ayuqeciqut, wall'u mukaarkatun avurnarilriatun piunrirciqait tamalkuita avaqliteng atanruviit. Jerusalem-aam yui assirluteng uitaciqut nunarpagmi.
ZEC.12.7	“Wiinga, 
ZEC.12.8	Taum nalliini 
ZEC.12.9	Taum nalliini piunrirciqanka tamalkuita atanruviit anguyangnaqestai Jerusalem-aam.
ZEC.12.10	“David-aam kinguvri allat-llu Jerusalem-aam yui imirciqanka anerneranek takumcukiyaram anerneranek-llu piicagyaram. Tangerciqaat nuussikun kapurluku tuqutellrat, angniilutekciqaat-llu angniilutkelauciatun mikelnguq kiimi irniarulria. Cakneq angniiciiqut, tuquilriatun qetunranguteqarraamegnek. 
ZEC.12.11	Taum nalliini Jerusalem-aami angniitellrat angelriaruciquq angniilutkellracetun Hadad Rimmon-aaq
ZEC.12.12+ZEC.12.13+ZEC.12.14	Ilakuralriit allakarmeng qivruyaraq aturciqaat: ilakuralriit kinguvalriit David-aamek, Nathan-aamek, Levi-amek, Shimei-amek, allanek-llu ilakuralrianek. Ilakuralriit allakarmeng tamana aturciqaat, angutaita-llu ilakuralriit allakarmeng aturluku arnanek ilangqerpek'nateng.”
ZEC.13.2	Taum nalliini agayutnguat atrit au͡g'arciqanka nunamek, kia-llu umyuaqenqiggngaunaki. Au͡g'arciqaqa kina imna prophet-aarunilria agayutnguanun-llu agayulallrat piyuumiirutelluku. 
ZEC.13.3	Iliit-llu ciumuaqan prophet-aaruyugluni, nakmiin atiin aaniin-llu qanruciiqaak tuqutnaqniluku, tua-i-wa qanran qanerniluni 
ZEC.13.4	Pillerkaq tauna tekiskan, prophet-aam caliani tun'e'ryaguciiqaa wall'u prophet-arunguarluni wall'u prophet-aam maqarcetellriamek aturaanek asngaunani ukvertengnaqnaluki yuut. 
ZEC.13.5	Tau͡gaam qanerciquq, ‘Wiinga prophet-aarunritua. Nauceciiyurten͞guunga, yuurqaanemnek nauceciiyurten͞guama.’ 
ZEC.13.6	Tua-llu iliita apeskani, ‘Caugat tamakut kilinret qat'garpeni?’ kiuciquq, ‘Kilirtulqanka yugnikestem̄a eniini.’”
ZEC.13.8	nunami-llu tamiini yuut pingasuirtellrit malruin tuquciqut, pingasuirtellrit tau͡gken atauciq unguvaarkauluteng. 
ZEC.13.9	Taukut-llu atauciq pingasuirnerat unguvalriit pitassiarciqanka menuircarluki qerrirlimek menuircarilauciicetun kenerkun. Pitassiarciqanka suulutaam pitassiarumalauciatun. Nutaan piicagciqut wangnun, wiinga-llu kiuciqanka. Qanruciiqanka wangnun yukniluki, ellait-llu nallunairciqut ellaita Agayuteknilua.”
ZEC.14.2	 atanruviit taiciiqai anguyaasqelluku Jerusalem-aaq. Nunarpak tegumaciquq, enet-llu uayarciqait, arnat-llu akusrarutekumaciqut. Avgit yuut nunameggnek ayaucimaciqut, tau͡gaam tuanelnguut ayaucimangaitut nunarpagmek. 
ZEC.14.3	Nutaan-llu 
ZEC.14.4	Taum nalliini nangengqaciquq Olive-aam Ingriani, Jerusalem-aam calaralirnerani. Olive-aam-llu Ingria qupciquq malruirrluni calaramek kanavamun kuignayugpiim caniani. Avga ingrim negetmun ayagluni, avga-llu ungalatmun. 
ZEC.14.5	Qimagciquci tamaaggun ingrim malruirrluni avgutiignegun. Elpeci qimagciquci ciuliarpecetun nuna pektellrani Judah-m angayuqran Uzziah-m nalliini. Tuani 
ZEC.14.6	Taum-llu nalliini, nengletairuciiquq wall'u kanermek, 
ZEC.14.7	cali-llu tan'gertairulluni. Erenrem tanqianek pitangqerrlainarciquq, unuungraan. Tau͡gaam tuaten ellillerkaa 
ZEC.14.8	Tauna erneq tekiskan, meq'egtaar qurrlurciquq Jerusalem-aamek, avga qurrlurluni Dead Sea-mun, avga-llu Mediterranean-aamun. Qurrlurciquq allrakuq kassuggluku, ellalliqsaitellran nalliini ayuqluku ellallillran-llu nalliini. 
ZEC.14.9	-llu ataneqciqaa nunam tamarmi; yuut tamarmeng agayuvikelarciqaat Agayutnguluku nalluvkenaku-llu tuaggun atrakun.
ZEC.14.10	Nuna tamarmi, Geba-mek neglirnermi ayagluni Rimmon-aaq tekilluku ungalalirnermi, manigcimaciquq. Jerusalem-aaq quyigluni quliinciiquq avatmini nunami; nunarpak-llu angtaciquq Benjamin-aam Amiiganek ayagluni Kangiram Amiiganun tekilluni, tuavet ciungani amigtangqellermun, Hananel-aam-llu Qertulriaranek atanret wine-arkanek atsanek itumcissuutiit tekilluku. 
ZEC.14.11	Yuut tuani uitaciqut camek alingniurpek'nateng, aarniurcecimanrirluteng pillugnarqelriamek.
ZEC.14.13	Taum-llu nalliini 
ZEC.14.14	Judah-m angutai anguyagciqut teguvkanritengnaqluku Jerusalem-aaq. Atanruviit-llu tamalkuita uayarciqait tukuutaitnek, suulutaamek, qerrirlimek, aturanek-llu amlleriluki.
ZEC.14.15	Tuknilriim cangerliim tuciiqai horse-aat, ciulviit, qulugnelget ungungssit, tuciiquq tamalkuitnun ungungssinun inglukestaita uitaviatni uitalrianun.
ZEC.14.16	Atanruviit-llu yuit anguyallermeggni Jerusalem-aaq tuqullrunrilnguut tuavet ayalarciqut allrakut tamalkuita agayuyarturluteng 
ZEC.14.17	Naliat imna atanruviit agayuyarturyuumiilkan 
ZEC.14.18	Egyptian-aat aturyuumiilkatgu Uqisviit Nerevkaritiit, cangerliim tuciiqai 
ZEC.14.19	Man'a anucimirqecetaarutkaqaa Egypt-aam allat-llu tamalkurmeng atanruviit atunrilkatgu Uqisviit Nerevkaritiit.
ZEC.14.20	Taum nalliini horse-aarit-llu uskuraita kuluk'uunaqengraiceteng igangqelarciqut, “Qigcignarqelriaruuq 
ZEC.14.21	Tamarmeng egatet Jerusalem-aami tamiini-llu Judah-mi allakaumaciqut agayuaqameng tau͡gaam 
MAL.1.1	Waniwa una qaneryaraq 
MAL.1.2	Tau͡gaam ellait kiugut, “Qaillun nasvallrusiu wankutnun kenken?”
MAL.1.3	eq'ukellruaqa-llu Esau kinguvri-llu; nunakarniirutellruaqa qemililria nunautii cakaarluku-llu yuilqurmiutarnun qimugten̄un jackal-aanun uitavikevkarluku.”
MAL.1.4	Esau-m kinguvri Edomite-at, qanqata, “Nunarraput piunriumallruut, tau͡gaam ataam nauciiqaput,” 
MAL.1.5	Israel-aam yuin man'a iimegteggun tangerciqaat, qanerciqut-llu, “
MAL.1.7	Waten pillerpeciuggun—elliiluci cakarniilngurnek neqkanek ekuavimnun. Tua-i-llu aptuci, ‘Qaillun piluta takaqiksaiceta elpenek?’ Qanrutnaamci—caunrilkellerpeciuggun ekuavika. 
MAL.1.8	Taiciaqavci cikmiumalrianek wall'u naulluutelegnek wall'u tussitellrianek ungungssiarnek ekuagarkanek, umyuartequci-qaa tuatnallerci canricukluku? Tuaten atam ayuqellriamek ungungssiarmek cikiqerciu nunam atanra! Ilukegcitekciqaci-qaa wall'u-qaa ikayungcallerci niilluku ikayurciqaaci?”
MAL.1.9	Kitaki watua, elpeci agayulirten̄i, kaigaqerci Agayutmun naklekluta pisqelluta. Tuaten ayuqellrianek cikirluku pikuvci, elliin-qaa niiciiqaa kaigatsi? 
MAL.1.10	 Artuqailnguq qanertuq, “Ilavci-tuq tua-i Agayuviim amiigi palulliki, kenermek catngunrilngurmek kumarcisciigatevkarluci ekuavimni. Ilukegcitkenritamci; ciuniurngaitanka elliitet taitelci wangnun. 
MAL.1.11	Akertem pit'ellranek yaavet tevillranun ellam yuin tamarmeng takaqaatnga. Nani tamiini ekuagilartut tepkegcilrianek wangnun elliiluteng-llu akurtuyunarqelrianek. Tua-i-wa atqa angtatailan atanruvigni tamaitni. 
MAL.1.12	Tau͡gaam elpeci atqa caarrluurtelararci qanraqavci wii ekuavika catngunritniluku qainganun-llu elliigaqavci neqkanek umyualngukekevcen̄ek. 
MAL.1.13	Qanraqluci-llu, ‘Taqsuqutarput man'a wangkuta!’ ciukanirluci-llu ciuqamni. Wangnun-llu elliilartuci teglegamek ungungssiarmek wall'u tussitellriamek wall'u naulluutelegmek. Umyuartequci-qaa ciuniurinayuklua tuaten ayuqellriamek elliitevcen̄ek? 
MAL.1.14	Aniqlaamali piciunrilnguq ekuagilria cakarniilngurmek ungungssiarmek wangnun, katngautmini assilriamek ungungssiarautengqeng'e'rmi akqutkellerminek cikiutekciqniluku wangnun! Tua-i wii angelriarulua atanruama, yuita-llu tamarmeng atanruvilget qigcikaatnga.”
MAL.2.2	Caliarpeciuggun atqa ucurnarivkarciu. Niicugniarkaunrilkuvciu qanelqa, aniqlaaciqamci. Atawaqauteci-llu aniqlaatngurciiqanka. Ilumun, ak'a aniqlaatngurtellruanka, tua-i-wa agayulirten͞guluci caliarci arcaqakenrilavciu. 
MAL.2.3	Anucimirqecetaarciqanka irniaci minguulluki-llu kegginaci anaitnun ungungssit ekuakengarpeci, ayagceciiqamci-llu ciuqamnek. 
MAL.2.4	Tuani nallunrirciqerci wangnun cikillrucirci mat'umek alerquutmek, tua-i-wa akqutka agayulirten̄un, kinguvrinun Levi-am, piuguraasqelluku.
MAL.2.5	“Akqutemni akqellruanka unguvamek uitanqegcillerkaatnek-llu, mat'umek-llu cikillruanka, ellaitnun takaqesqellua. Tamakuni-llu ernerni takaqellruatnga qigciklua-llu. 
