GEN.1.1	Pakutaŋga Mŋari wakasika ɗeŋga nenyika. 
MAT.17.1	Mazuʋa matanhatu akati apfuʋura, Jesu akatora Petro, naJakobo, naJohane munuŋuna wake, akaenda naʋo mugomo refu ʋari ʋoga. 
MAT.17.2	Akashanduka pamberi paʋo; ciso cake cikapenya sezuʋa, ŋguʋo dzake dzikacena seciedza. 
MAT.17.3	Pakarepo Mosesi naEria ʋakaʋonekwa naʋo, ʋacitaurirana naye. 
MAT.17.4	Ɀino Petro akapindura, akati kunaJesu: Ishe, ɀakanaka ɀatiri pano; kana muciɗa, ndicaʋaka matumba matatu pano, rimŋe renyu, rimŋe raMosesi, rimŋe raEria. 
MAT.17.5	Wakati acataura naʋo, tarira, gore rinobginya rikaʋafukidza; inzwi 
MAT.17.6	Ʋadzidzi ʋakati ʋaciɀinzwa, ʋakawira pasi neɀiso ɀaʋo, ʋakatya ɀikuru. 
MAT.17.7	Jesu akasweɗera, akaʋaɓata, akati: Simukai, musatya. 
MAT.17.8	Ʋakati ʋacitarira, haʋana‐kuzoʋona munhu, asi Jesu ɓedzi.
MAT.17.9	Ɀino ʋakati ʋaciɓuruka mugomo, Jesu akaʋaraira, akati: Musaʋudza munhu ɀamaratidzwa, kuȿikira Mŋanakomana womunhu amuka kuʋakafa. 
MAT.17.10	Ʋadzidzi ʋakamubvunza, ʋaciti: Ʋanyori ʋanotaurireiko, ʋaciti, Eria unofanira kutaŋga kuʋuya? 
MAT.17.11	Akapindura, akati: Eria ucaʋuya hake, aʋandudze ɀinhu ɀose. 
MAT.17.12	Asi ndinoti kwamuri: Eria wakatoȿika, 
MAT.17.13	Ɀino ʋadzidzi ʋakanzwisisa kuti wakaʋaʋudza ɀaJohane Mubapatidzi.
MAT.17.14	Ʋakati ʋaȿika kuʋanhu ʋazhinji, mumŋe munhu akaʋuya kwaari, akamufugamira, akati: 
MAT.17.15	Ishe, ɗonzwirai mŋanakomana waŋgu ŋgoni, nokuti uneɀipusha, unotambudzika kwaɀo. Nokuti kazhinji unowira mumŋoto, kazhinji mumvura. 
MAT.17.16	Ndakaʋuya naye kuʋadzidzi ʋenyu, ʋakasagona kumuporesa. 
MAT.17.17	Jesu akapindura, akati: Haiwa! rudzi rusiŋgatendi, rwakatsauka, ndicagara nemi kuȿikira riniko? Ndicakuitirai mŋoyo murefu kuȿikira riniko? Ʋuyai naye pano kwandiri. 
MAT.17.18	Ɀino Jesu akamuraira, mŋeya wakaipa ukaɓuɗa kwaari, mukomana akapora kubva paŋguʋa iyo. 
MAT.17.19	Ɀino ʋadzidzi ʋakaʋuya kunaJesu ʋari ʋoga, ʋakati: Ko isu takaŋga tisiŋgagoni neiko kuuɓuɗisa? 
MAT.17.20	Akati kwaʋari: Nemhaka yokutenda kwenyu kuɗuku, nokuti ɀirokwaɀo ndinoti kwamuri: Kana munokutenda kwakaita setsaŋga yemastarda, muŋgati kugomo iri: Ibva pano, enda koko! riŋgaenda; hakunecinhu ciŋgakukundai. 
MAT.17.21	[Asi rudzi urwu runoŋgobva cete nokunyeŋgetera, nokuɀinyima ɀokudya.]
MAT.17.22	Ɀino ʋacafamba muGarirea, Jesu akatikwaʋari: Mŋanakomana womunhu ucabva woiswa mumaʋoko aʋanhu; 
MAT.17.23	ʋacamuʋuraya, 
MAT.17.24	Ʋakati ʋaciȿika Kapernaume, ʋanhu ʋaigamucira muripo wetembere ʋakaʋuya kunaPetro, ʋakati: Mudzidzisi wenyu haaripi muripo wetembere here? 
MAT.17.25	Akati: Hoŋo. Ɀino wakati acipinda mumba, Jesu akataŋga kutaura kwaari, aciti: Simoni, unofuŋgeiko? Madzimambo enyika anotora muripo nomutero kunaʋananiko? Kuʋanakomana ʋaʋo kana kuʋaeni? 
MAT.17.26	Akati: Kuʋaeni. Jesu akati kwaari: Saka ʋanakomana ʋakasunuŋguka. 
MAT.17.27	Asi, kuti tirege kuʋagumbusa, enda kuguŋgwa, ukande ciredzo, uɓate hoʋe inotaŋga kuɓuɗa; kana washamisa muromo wayo, ucawana stateri
MAT.18.1	Neŋguʋa iyo ʋadzidzi ʋakaʋuya kunaJesu, ʋakati: Ndianiko mukuru paʋushe bgokudeŋga? 
MAT.18.2	Akaɗanira kwaari mŋana muɗuku, akamuisa pakati paʋo, 
MAT.18.3	akati: Ɀirokwaɀo ndinoti kwamuri: Kana musiŋgashanduki, mukaʋa saʋana ʋaɗuku, hamuŋgatoŋgopindi muʋushe bgokuɗeŋga. 
MAT.18.4	Naiɀoɀo aninani unoɀininipisa somŋana uyu muɗuku, ndiye mukuru muʋushe bgokuɗeŋga. 
MAT.18.5	Aninani unogamucira mŋana muɗuku mumŋe wakaɗai nezita raŋgu, unondigamucira ini. 
MAT.18.6	Asi aninani unogumbusa mumŋe waʋaɗuku aʋa, ʋanotenda kwandiri, ɀirinani kwaari kuti guyo guru risuŋgirirwe pamutsipa wake, anyudzwe muguŋgwa rakadzika. 
MAT.18.7	Nyika inenhamo nemhaka yeɀigumbuso! Nokuti ɀigumbuso ɀinofanira kuʋuya haɀo; asi unenhamo munhu uyo unogumbusa ʋamŋe. 
MAT.18.8	Kana ruʋoko rwako kana rutsoka rucikugumbusa, urugure, ururashire kure newe; ɀirinani kwauri kuti upinde muʋupenyu uri cirema, kana ucikamhina, pakukandirwa mumŋoto usiŋgagumi, unamaʋoko maʋiri kana tsoka mbiri. 
MAT.18.9	Kana ziso rako ricikugumbusa, uribvise, urirashire kure newe. Ɀirinani kwauri kuti upinde muʋupenyu, uneziso rimŋe, pakukandirwa muGehena romŋoto, unameso maʋiri. 
MAT.18.10	Cenjerai kuti murege kuɀidza mumŋe waʋaɗuku aʋa; nokuti ndinoti kwamuri, kuɗeŋga ʋatumŋa ʋaʋo ʋanosiʋona misi yose ciso caƂaɓa ʋaŋgu ʋari kuɗeŋga. 
MAT.18.11	[Nokuti Mŋanakomana womunhu wakaʋuya kuzoponesa cakarashika.]
MAT.18.12	Munofuŋgeiko? Kana munhu anamakwai anezana, rimŋe rawo rikatsauka, haaŋgasiyi makumi mapfumbamŋe namapfumbamŋe, akaenda kumakomo kundotȿaka rakatsauka here? 
MAT.18.13	Kana ariwana, ɀirokwaɀo ndinoti kwamuri, unorifarira kupfuʋura makumi mapfumbamŋe namapfumbamŋe asakatsauka. 
MAT.18.14	Nokuɗaro hakuzi kuɗa kwaƂaɓa ʋenyu ʋari kuɗeŋga, kuti mumŋe waʋaɗuku aʋa afe.
MAT.18.15	Kana hama yako yakutadzira, enda umuʋudze mhoȿa yake, iwe naiye muri moga; kana akakunzwa, wadzora hama yako. 
MAT.18.16	Asi kana asiŋganzwi, tora mumŋe kana ʋaʋiri newe, kuti mashoko ose asimbiswe nemiromo yeɀapupu ɀiʋiri kana ɀitatu. 
MAT.18.17	Kana asiŋgaʋanzwi, uʋudze ʋuŋgano; kana asiŋganzwi ʋo ʋuŋgano, ŋgaaʋe kwauri somuheɗeni nomuFarise. 
MAT.18.18	Ɀirokwaɀo ndinoti kwamuri: Ɀose ɀamunosuŋga panyika, ɀicasuŋgwa kuɗeŋga; neɀose ɀamunosunuŋgura panyika, ɀicasunuŋgurwa kuɗeŋga. 
MAT.18.19	Ndinoti kwamuri ɀe: Kana ʋaʋiri ʋenyu ʋakatenderana panyika pamsoro pecimŋe cinhu caʋanokumbira, ʋacaciitirwa naƂaɓa ʋaŋgu ʋari kuɗeŋga. 
MAT.18.20	Nokuti apo pakaʋuŋgana ʋaʋiri kana ʋatatu muzita raŋgu, ndiri’po pakati paʋo.
MAT.18.21	Ɀino Petro wakaʋuya akati kwaari: Ishe, hama yaŋgu icanditadzira kaŋganiko, ndikaikaŋganwira? Kuȿikira kanomŋe here? 
MAT.18.22	Jesu akati kwaari: Handiti kwauri, kuȿikira kanomŋe; asi kuȿikira makumi manomŋe anoʋereŋgwa kanomŋe. 
MAT.18.23	Saka ʋushe bgokuɗeŋga bguŋgafananidzwa nomumŋe mambo, wakaŋga aciɗa kugadzira maŋgaʋa naʋaranda ʋake. 
MAT.18.24	Ɀino wakati acitaŋga kugadzira, mumŋe wakaŋga anecikwerete camatarenta aneɀuru ɀamazana ɀinegumi
MAT.18.25	Asi wakati acishaiwa caaŋgaripa naco, ishe wake akaraira kuti ateŋgeswe, iye nomukadzi naʋana, neɀose ɀaakaŋga anaɀo, kuti cikwerete ciripxe. 
MAT.18.26	Ɀino muranda akawira pasi, akamunamata, akati: Ishe, iʋai nomŋoyo murefu neni, ndicazokuripirai ɀose. 
MAT.18.27	Ishe womuranda uyo akamunzwira tsitsi, akamusunuŋgura, akamukaŋganwira cikwerete. 
MAT.18.28	Asi muranda uyo wakati aciɓuɗa, akawana mumŋe muranda waiɓata pamŋe cete naye, wakaŋga anecikwerete kwaari camadenari anezana
MAT.18.29	Ɀino muranda uyo waiɓata pamŋe cete naye, akawira pasi, akakumbira ɀikuru kwaari, akati: Uʋe nomŋoyo murefu neni, ndicazokuripira. 
MAT.18.30	Asi iye wakaramba, akaenda, akamuisa mutoroŋgo, kuȿikira acizoripa cikwerete. 
MAT.18.31	Ɀino ʋamŋe ʋaranda ʋaiɓata pamŋe cete naye ʋakati ʋaciʋona ɀaitwa, ʋakafa neshuŋgu kwaɀo, ʋakaenda kundoʋudza ishe waʋo ɀose ɀakaitwa. 
MAT.18.32	Ɀino ishe wake akamuɗana, akati kwaari: Iwe muranda wakaipa, ndakakukaŋganwira cikwerete ico cose, nokuti iwe wakakumbira ɀikuru kwandiri. 
MAT.18.33	Ko iwe hauzaifanira kunzwira tsitsi mumŋe muranda unoɓata pamŋe cete newe, seni ndakakunzwira tsitsi here? 
MAT.18.34	Ɀino ishe wake akatsamŋa, akamuisa kuʋarwadzi, kuȿikira acizoripa cikwerete cake cose. 
MAT.18.35	Saiɀoɀo Ƃaɓa ʋaŋgu ʋari kuɗeŋga ʋacakuitirai ʋo, kana musiŋgakaŋganwiriyi mumŋe nomumŋe hama yake nomŋoyo wenyu 
MAT.19.1	Jesu wakati apedza mashoko iwayo, akabva Garirea, akaenda kunyika yeJudea mhiri kweJoridani. 
MAT.19.2	Ʋanhu ʋazhinji‐zhinji ʋakamuteʋera, akaʋaporesa’po.
MAT.19.3	ƲaFarise ʋakaʋuya kwaari, ʋakamuidza, ʋaciti: Ko munhu unotenderwa kurasha mukadzi wake nemhaka ipi neipi here? 
MAT.19.4	Akapindura, akati: Hamuna‐kuraʋa here, kuti uyo wakaʋasika pakutaŋga, wakaʋaita murume nomukadzi? 
MAT.19.5	Akati: Nokuɗa kwaiɀoɀo murume ucasiya ɓaɓa ʋake namai ʋake, akanamatira mukadzi wake; aʋa ʋaʋiri ʋacaʋa nyama imŋe. 
MAT.19.6	Nokuɗaro haʋaciri ʋaʋiri, asi nyama imŋe. Ɀino, iɀo Mŋari ɀaakasoŋganisa, munhu ŋgaarege kuɀiparadzanisa. 
MAT.19.7	Ʋakati kwaari: Mosesi wakagoraireiko kuti 
MAT.19.8	Akati kwaʋari: Nokuɗa kwoʋukukutu bgemŋoyo yenyu Mosesi wakakutenderai kurasha ʋakadzi ʋenyu, asi kubva pakutaŋga ɀakaŋga ɀisina‐kuɗaro. 
MAT.19.9	Ndinoti kwamuri: Aninani unorasha mukadzi wake, asi nemhaka yoʋupombge, akawana mumŋe, unoita ʋupombge; nounowana wakarashwa, unoita ʋupombge. 
MAT.19.10	Ʋadzidzi ʋakati kwaari: Kana ɀakaɗaro pakati pomurume nomukadzi, haɀina‐kunaka kuwana. 
MAT.19.11	Asi iye akati kwaʋari: Ʋose haʋagamuciri shoko iri, asi aʋo ʋakaɀipiwa. 
MAT.19.12	Nokuti ŋgomŋa dziri’po, dzakaɓerekwa dzakaɗaro kubva muɗumbu ramai; ŋgomŋa dziri’po, dzakaitwa ŋgomŋa naʋanhu; ŋgomŋa dziri’po dzakaɀiita ŋgomŋa nokuɗa kwoʋushe bgokuɗeŋga. Uŋgagamucira 
MAT.19.13	Ɀino ʋakaʋuya naʋana ʋaɗuku kwaari, kuti aise maʋoko pamsoro paʋo, aʋanyeŋgeterere; ʋadzidzi ʋakaʋaraira. 
MAT.19.14	Asi Jesu wakati kwaʋari: Regai ʋana ʋaɗuku, musaʋadziʋisa kuʋuya kwandiri; nokuti ʋushe bgokuɗeŋga ndobgaʋakaɗai. 
MAT.19.15	Akaisa maʋoko pamsoro paʋo, akabva’po.
MAT.19.16	Tarira, mumŋe munhu wakaʋuya kwaari, akati: Mudzidzisi wakanaka, ndiŋgaita cinhu cakanaka cipi, kuti ndiʋe noʋupenyu bgusiŋgaperi? 
MAT.19.17	Akati kwaari: Unondibvunzireiko pamsoro peɀakanaka? Uri’po mumŋe wakanaka. Asi kana uciɗa kupinda paʋupenyu, ceŋgeta mirairo. 
MAT.19.18	Akati kwaari: Ipiko? Jesu akati: Usaʋuraya, usaita ʋupombge, usaɓa, usapupura nhema; 
MAT.19.19	kudza ɓaɓa ʋako namai ʋako, uɗe wokwako seɀaunoɀida iwe. 
MAT.19.20	Jaya rikati kwaari: Iɀoɀo ɀose ndakaɀiceŋgeta; ndicakashaiweiko? 
MAT.19.21	Jesu akati kwaari: Kana uciɗa kukwana, enda uteŋgese ɀose ɀaunaɀo, upe ʋarombo, ugoʋa nefuma kuɗeŋga; ugoʋuya unditeʋere. 
MAT.19.22	Asi jaya rakati ricinzwa shoko iri, rikaenda rineshuŋgu; nokuti rakaŋga rinefuma zhinji.
MAT.19.23	Jesu akati kuʋadzidzi ʋake: Ɀirokwaɀo, ndinoti kwamuri: Ɀinoremera mufumi kupinda muʋushe bgokuɗeŋga. 
MAT.19.24	Ndinoti kwamuri ɀe: Kamera iŋgarerukirwa kupinda paʋuri reɗumho, kumufumi kupinda muʋushe bgaMŋari. 
MAT.19.25	Ʋadzidzi ʋakati ʋaciɀinzwa, ʋakakahadzika kwaɀo, ʋakati: Ndianiko uŋgagoponeswa? 
MAT.19.26	Jesu ndokuʋatarira, akati kwaʋari: Kuʋanhu iɀi haɀibviri, asi kunaMŋari ɀose ɀinobvira. 
MAT.19.27	Ɀino Petro akapindura, akati kwaari: Tarirai, isu takasiya ɀose, tikakuteʋerai; ticagopiweiko? 
MAT.19.28	Jesu akati kwaʋari: Ɀirokwaɀo ndinoti kwamuri, imi makanditeʋera pakuɓerekwa kutȿa, kana Mŋanakomana womunhu acizogara pacigaro coʋushe cokubginya kwake, imi ʋo mucagara paɀigaro ɀinegumi neɀiʋiri, mucitoŋga marudzi anegumi namaʋiri aʋaIsraeri. 
MAT.19.29	Mumŋe nomumŋe wakasiya dzimba, kana ʋanuŋuna, kana hanɀadzi, kana ɓaɓa, kana mai, kana mukadzi, kana ʋana, kana minda, nokuɗa kwezita raŋgu, ucapiwa ɀinezana, akagara nhaka yoʋupenyu bgusiŋgaperi. 
MAT.19.30	Asi ʋazhinji ʋokutaŋga ʋacaʋa ʋokupedzisira, noʋokupedzisira ʋacaʋa ʋokutaŋga.
MAT.20.1	Nokuti ʋushe bgokuɗeŋga bgakafanana nomŋene weimba, wakaɓuɗa maŋgwanani kundotȿakira munda wake wemizambiriŋga ʋaɓati. 
MAT.20.2	Wakati atenderana naʋaɓati 
MAT.20.3	Akaɓuɗa neŋguʋa ineŋge yecitatu, akaʋona ʋamŋe ʋamire paɗare, ʋasiŋgaɓati; 
MAT.20.4	akati kwaʋari: Endai imi ʋo mumunda wemizambiriŋga, ndigokupai ɀakafanira. Ʋakaenda. 
MAT.20.5	Akaɓuɗa ɀe neŋguʋa ineŋge yecitanhatu neyepfumbamŋe, akaɗaro ɀe. 
MAT.20.6	Akaɓuɗa neŋguʋa ineŋge yegumi neimŋe, akawana ʋamŋe ʋamire; akati kwaʋari: Makamirireiko pano zuʋa rose musiŋgaɓati? 
MAT.20.7	Ʋakati kwaari: Nokuti hapanomunhu wakatipa ɓasa. Akati kwaʋari: Endai nemi ʋo mumunda wemizambiriŋga. 
MAT.20.8	Aʋa maɗekwana, mŋene womunda wemizambiriŋga akati kumutariri wake: Ƌana ʋaɓati, uʋape muɓairo waʋo, ucitaŋga kunoʋokupedzisira, 
MAT.20.9	Ɀino ʋeŋguʋa ineŋge yegumi neimŋe ʋakati ʋaciʋuya, mumŋe nomumŋe akapiwa denari.
MAT.20.10	Ʋokutaŋga ʋakati ʋaciʋuya, ʋakati ʋacapiwa nokupfuʋura; iʋo ʋakapiwa ʋo mumŋe nomumŋe denari.
MAT.20.11	Ʋakati ʋacipiwa, ʋakapopotera mŋene weimba, 
MAT.20.12	ʋakati: Aʋa ʋokupedzisira, ʋakaɓata ŋguʋa imŋe cete, maʋaenzanisa nesu, takatambudzika zuʋa rose, ticipiswa nezuʋa. 
MAT.20.13	Akapindura, akati kunomumŋe waʋo: Shamŋari, handikuitiri ɀisakarurama; hauna‐kutenderana neni 
MAT.20.14	Tora ɀako, uende, ndinoɗa kupa wokupedzisira sewe. 
MAT.20.15	Ko handina‐kutenderwa kuita neɀaŋgu pandinoɗa napo here? Ziso rako rakaipa, nokuti ini ndakanaka here? 
MAT.20.16	Saiɀoɀo ʋokupedzisira ʋacaʋa ʋokutaŋga, noʋokutaŋga ʋacaʋa ʋokupedzisira.
MAT.20.17	Jesu wakati okwira Jerusarema, akatora ʋadzidzi ʋake ʋanegumi naʋaʋiri ʋari ʋoga, akati kwaʋari panzira: 
MAT.20.18	Tarirai, tinokwira Jerusarema, Mŋanakomana womunhu ucaiswa kuʋaprista ʋakuru naʋanyori, ʋacamutoŋgera rufu. 
MAT.20.19	Ʋacamuisa kuʋahedeni, kuti asekwe, aroʋeswe, aroʋerwe pamucinjikwa, asi nezuʋa retatu ucamutswa 
MAT.20.20	Ɀino mai ʋaʋanakomana ʋaZebedi ʋakaʋuya kwaari naʋanakomana ʋaʋo, ʋacimunamata, kuzokumbira cinhu kwaari. 
MAT.20.21	Akati kwaʋari: Munotȿakeiko? Ʋakati kwaari: Rairai kuti ʋanakomana ʋaŋgu aʋa ʋaʋiri ʋagare, mumŋe kuruʋoko rwenyu rworudyi, mumŋe kuruɓoshwe, muʋushe bgenyu. 
MAT.20.22	Asi Jesu akapindura, akati: Hamuziʋi ɀamunokumbira. Muŋgagona kunwira pamukombe pandinozonwira ini, here? Ʋakati kwaari: Tiŋgagona. 
MAT.20.23	Akati kwaʋari: Mucanwira henyu pamukombe waŋgu, asi kugara kuruʋoko rwaŋgu rworudyi, nokuruɓoshwe, handizini ndinopa, asi 
MAT.20.24	Ʋanegumi ʋakati ʋaciɀinzwa, ʋakatsamŋira aʋo ʋana ʋaʋiri ʋomunhu mumŋe. 
MAT.20.25	Asi Jesu akaʋaɗanira kwaari, akati: Munoziʋa kuti macinda aʋahedeni anoʋaraira, naʋakuru ʋaʋo ʋanoita simba naʋo. 
MAT.20.26	Pakati penyu ŋgaɀirege kuʋa kuɗaro; asi aninani unoɗa kuʋa mukuru pakati penyu, ŋgaaʋe mushumiri wenyu. 
MAT.20.27	Aninani unoɗa kuʋa wokutaŋga pakati penyu, ŋgaaʋe muranda wenyu. 
MAT.20.28	 soMŋanakomana womunhu usina‐kuʋuya kuzoshumirwa, asi kushumira, nokupa ʋupenyu bgake ruʋe rudzikinuro rwaʋazhinji.
MAT.20.29	Ʋakati ʋacibva Jeriko, ʋanhu ʋazhinji‐zhinji ʋakamuteʋera. 
MAT.20.30	Ɀino tarira, mapofu maʋiri akaŋga agere panzira, akati acinzwa kuti Jesu wopfuʋura, akaɗanidzira, aciti: Ishe, Mŋanakomana waDavidi, tinzwirei ŋgoni! 
MAT.20.31	Ʋanhu ʋazhinji ʋakaaraira kuti anyarare; asi akanyanya kuɗanidzira, aciti: Ishe, Mŋanakomana waDavidi, tinzwirei ŋgoni! 
MAT.20.32	Ipapo Jesu akamira, akaaɗana, akati: Munoɗa kuti ndikuitireiko? 
MAT.20.33	Akati kwaari: Ishe, kuti meso eɗu aȿinudzwe. 
MAT.20.34	Jesu akaanzwira tsitsi, akaɓata meso awo; pakarepo akaȿinudzwa, akamuteʋera.
MAT.21.1	Ʋakati ʋacisweɗera Jerusarema, ʋakaȿika Betefage, pagomo reMiorivi, Jesu akatuma ʋadzidzi ʋaʋiri, 
MAT.21.2	akati kwaʋari: Endai kumusha wakatarisana nemi, pakarepo mucawana mboŋgoro yakasuŋgirwa, inemhuru yayo; mudzisunuŋgure, muʋuye 
MAT.21.3	Kana aninani acitaura cinhu kwamuri, muti: Ishe unodziɗa; pakarepo ucadzituma. 
MAT.21.4	Iɀoɀo ɀakaitwa, kuti ɀakataurwa nomuprofita ɀiitike, paakati:
MAT.21.5	Ʋudzai mŋanasikana weZioni:
MAT.21.5	Tarira Mambo wako unoʋuya kwauri,
MAT.21.5	Ari munyoro, akataȿa mboŋgoro,
MAT.21.5	Nemhuru yecipfuwo cinokweʋa.
MAT.21.6	Ʋadzidzi ʋakaenda, ʋakaita seɀaʋakarairwa naJesu, 
MAT.21.7	ʋakaʋuya nemboŋgoro nemhuru, ʋakaisa ŋguʋo dzaʋo pamsoro padzo; akagara pamsoro padzo. 
MAT.21.8	Ʋazhinji pakati paʋanhu ʋakawarira ŋguʋo dzaʋo munzira; ʋamŋe ʋakatema mataʋi emiti ʋakaawarira munzira. 
MAT.21.9	Ʋanhu ʋazhinji ʋakaŋga ʋakamutuŋgamirira, naʋakaŋga ʋaciteʋera, ʋakaɗanidzira, ʋaciti: Hosana kuMŋanakomana waDavidi! Ŋgaakudzwe iye unoʋuya muzita raShe! Hosana kumsoro‐soro! 
MAT.21.10	Wakati apinda Jerusarema, guta rose rikapesaniswa, 
MAT.21.11	Ʋanhu ʋazhinji ʋakati: NdiJesu muprofita weNazareta reGarirea.
MAT.21.12	Ɀino Jesu wakapinda mutembere, akaɓuɗisa ʋose ʋaiteŋgesa naʋaiteŋga mutembere; akawisa matafura aʋaitsinhanhisa mari, neɀigaro ɀaʋaiteŋgesa njiʋa, 
MAT.21.13	akati kwaʋari: Kwakanyorwa 
MAT.21.14	Ɀino mapofu naʋaikamhina ʋakaʋuya kwaari mutembere, akaʋaporesa. 
MAT.21.15	Asi ʋaprista ʋakuru naʋanyori ʋakati ʋaciʋona ɀinoshamisa ɀaakaŋga aciita, naʋana ʋaciɗanidzira mutembere, ʋaciti: Hosana kuMŋanakomana waDavidi! ʋakafa neshuŋgu, 
MAT.21.16	ʋakati kwaari: Unonzwa ɀaʋanotaura iʋaʋo here? Jesu akati kwaʋari: Hoŋo, hamuna‐kutoŋgoraʋa here, 
MAT.21.17	Akaʋasiya, akabva muguta, akaenda Betania, ndokuʋata’po.
MAT.21.18	Maŋgwanani wakati acidzokera kuguta, akanzwa nzara. 
MAT.21.19	Ɀino, wakati aciʋona muʋonde mumŋe panzira, akaenda kwauri, akasawana cinhu kwauri, asi mashizha ɓedzi; akati kwauri: Ŋgakurege kuʋa neɀiɓereko kwauri nokusiŋgaperi. Muʋonde ukawoma pakarepo. 
MAT.21.20	Ʋadzidzi ʋakati ʋaciɀiʋona, ʋakashamiswa, ʋakati: Muʋonde wawoma pakarepo seiko? 
MAT.21.21	Jesu akapindura, akati kwaʋari: Ɀirokwaɀo ndinoti kwamuri: Ƌai maiʋa nokutenda, musiŋganyunyuti, hamuŋgaiti iɀi ɀomuʋonde ɓedzi, asi kana mukati kugomo iri: Simudzwa, ukandirwe muguŋgwa, ɀicaitwa. 
MAT.21.22	Neɀose ɀamunokumbira mucinyeŋgetera, kana mucitenda, mucaɀipiwa.
MAT.21.23	Wakati acipinda mutembere, ʋaprista ʋakuru naʋakuru ʋaʋanhu ʋakaʋuya kwaari acidzidzisa, ʋakati: Munoita ɀinhu iɀoɀi nesimba ripiko? Ndiani wakakupai simba iri? 
MAT.21.24	Jesu akapindura, akati kwaʋari: Neni ndicakubvunzai ʋo shoko rimŋe; kana mukandiʋudza iro, neni ndicakuʋudzai ʋo simba randinoita naro ɀinhu iɀi. 
MAT.21.25	Rubapatidzo rwaJohane rwakabvepiko? Kuɗeŋga kana kuʋanhu here? Ʋakataurirana ʋaciti: Kana tikati, Kuɗeŋga, ucati kwatiri: Makagoregerei kumutenda? 
MAT.21.26	Asi kana tikati, Kuʋanhu, tinotya ʋanhu ʋazhinji; nokuti ʋose ʋanoti, Johane muprofita. 
MAT.21.27	Ʋakapindura, ʋakati kunaJesu: Hatiziʋi. Akati kwaʋari: Neni handiŋgakuʋudziyi ʋo simba randinoita naro ɀinhu iɀi.
MAT.21.28	Ɀino munofuŋgeiko? 
MAT.21.29	Iye akapindura, akati: Handiɗi; asi pashure akaɀidya mŋoyo, akaenda. 
MAT.21.30	Akaenda kunowecipiri, akataura saiɀoɀo. Iye akapindura, akati: Ndinoenda, ishe; akasaenda. 
MAT.21.31	Ndoupiko kunaiʋaʋo ʋaʋiri wakaita kuɗa kwaɓaɓa ʋake? Ʋakati: Wokutaŋga. Jesu akati kwaʋari: Ɀirokwaɀo ndinoti kwamuri: Ʋateresi neɀifeʋe ʋanokutaŋgirai kupinda muʋushe bgaMŋari. 
MAT.21.32	Nokuti Johane wakaʋuya kwamuri nenzira yokururama, mukasamutenda, asi ʋateresi neɀifeʋe ʋakamutenda. Imi makati muciʋona iɀoɀo, hamuna‐kuzoɀidya mŋoyo mukamutenda.
MAT.21.33	Inzwai mumŋe mufananidzo: 
MAT.21.34	Ŋguʋa yeɀiɓereko yakati yoȿika, akatuma ʋaranda ʋake kuʋarimi, kundotora ɀiɓereko ɀake. 
MAT.21.35	Asi ʋarimi ʋakaɓata ʋaranda ʋake, ʋakaroʋa mumŋe, ʋakaʋuraya mumŋe, ʋakataka mumŋe namabge. 
MAT.21.36	Akatuma ɀe ʋamŋe ʋaranda, ʋazhinji kunoʋokutaŋga; ʋakaʋaitira saiɀoɀo. 
MAT.21.37	Ɀino pashure akatuma mŋanakomana wake kwaʋari, aciti: Mŋanakomana waŋgu ʋacaʋa nehanya naye. 
MAT.21.38	Asi ʋarimi ʋakati ʋaciʋona mŋanakomana, ʋakataurirana, ʋaciti: Uyu ndiye mugari wenhaka; ʋuyai timuʋuraye, titore nhaka yake. 
MAT.21.39	Ɀino ʋakamuɓata ʋakamuɓuɗisa kunze kwomunda wemizambiriŋga, ʋakamuʋuraya. 
MAT.21.40	Ɀino kana mŋene womunda wemizambiriŋga acizoʋuya, ucaiteiko naʋarimi iʋaʋo? 
MAT.21.41	Ʋakati kwaari: Ucaparadza kwaɀo ʋanhu aʋo ʋakaipa, akaisa ʋamŋe ʋarimi mumunda wemizambiriŋga, ʋacazomupa ɀiɓereko neŋguʋa dzaɀo. 
MAT.21.42	Jesu akati kwaʋari: Hamuna‐kutoŋgoraʋa here paMagwaro panoti:
MAT.21.42	Ibge rakarashwa naʋaʋaki,
MAT.21.42	Ndiro rakazoʋa musoro wekona;
MAT.21.42	Iɀoɀo 
MAT.21.42	Ɀinoshamisa pameso eɗu?
MAT.21.43	Naiɀoɀo ndinoti kwamuri: Mucatorerwa imi ʋushe bgaMŋari, bgukapiwa ʋanhu ʋanoɓereka ɀiɓereko ɀabgo. 
MAT.21.44	Unowira pamsoro pebge iri, ucavunikanya; asi ricaparadza warinowira. 
MAT.21.45	Ʋaprista ʋakuru naʋaFarise ʋakati ʋacinzwa mifananidzo yake, ʋakaziʋa kuti unoʋareʋa iʋo. 
MAT.21.46	 ʋakatȿaka kumuɓata, asi ʋakatya ʋanhu ʋazhinji, nokuti ʋakaŋga ʋaciti muprofita.
MAT.22.1	Ɀino Jesu wakapindura, akataura ɀe naʋo nemifananidzo, akati: 
MAT.22.2	Ʋushe bgokuɗeŋga bguŋgafananidzwa nomumŋe mambo, wakaitira mŋanakomana wake mutambo wokuwana; 
MAT.22.3	akatuma ʋaranda ʋake kundoɗana aʋo ʋakaŋga ʋakokerwa kumutambo wokuwana; ʋakaramba kuʋuya. 
