MAT.1.1	Abraham tuti Devit tanii ing Jesu Khrista ahungsuwhnii thiimziihbur. 
1JN.2.17	Laaruw paam vokhehkho asungna om mee ing aadik vakhae i achiimnii apha naena; changvakonchu Thangnang ing amanden amanjii mee vakhae chuve ichen naemah ing ringvaata.
1JN.2.18	Kasiti ae achiniichu junganeengsa! Khrista arumah meechu thengvaata ichii i neningna maen ing ynthang vasahva; atiive Khrista arumah inempak hungindangsae, havi inge achiniichu ynneengsa ichii ymmang-huwsa. 
1JN.2.19	Hava mee ae i inuw yngkaar tanii mee mahpae, chukhaenache inuwchu ymbathenpae; enuw ae i yngkaar taniipae vanave yngkaarna ongvachiipae. Amatah nache ymbathen ae inge inuw yngkaar tanii mahpae ichii iseengjaeh ing yndangnii khaena ymbathenpae.
1JN.2.20	Changvakonchu nenuw chuve laetha ynthiing ing ymmansip vasahva, chutahnache nenuw vakhae ing ichumchu nemanghuwsa. 
1JN.2.21	Chukhae-nache neningna kajebaziih i nenuw ing ichumchu nemanghuwmah khaena mahva; changvakonchu nenuw ing nemanghuw vasah khaena chenva, vokhehkho ynchae ichii ive utaraenkho ichum tanii mahva ichii nemanghuwsa.
1JN.2.22	Changmanuwve, mee ynchae ichii i achuw chuva? Jesu i eekarpeeh chumahva tanaka ariirchu Khrista arumah mee chuva-ama ing ampa vokhehkho asapa chu rumahsa. 
1JN.2.23	Achuw yngkheh ing asapa chu rumahnave ampa chukho arumahva, achuw yngkheh ing asapa chu runave ampa chukho aruva.
1JN.2.24	Chukhaenache nensii vasahchu neningna omjaeh rasii. Nenuw ing abasenlimna nensii vasahchu nening-na omjaeh nave, nenuwkho apha omba khaena asapa re ampa ningnache omjaehva nenta. 
1JN.2.25	Havirem iva Khrista ing yngkhaena chongreep atuvasah ichen naemah ringkumchu.
1JN.2.26	Havana kajebaziih i nenuwchu manchae kenchuw ynchiiae khaenava. 
1JN.2.27	Changvakonchu nengkhaena chembe Khrista ing ynthiing laetha inche ymmansip vasahva. Havana laetha i neningna aomraentaang, nenuwchu ynchuwnii ompakmah. Laetha inche aangkhenglaang ymmanchuwpa, ama ing ymmanchuwchu ichumva, ichummah chumahva. Laetha ing ymmanchuwchu manjiiruw amanche Khrista thohche yngkhehpang ing omjaehruw.
1JN.2.28	Kasiti ae, apha om bakhaena ama thohche ynneengjaehruw, ama ajungtheng iniina aandanglaenche thona isa ing ynsipnii khaena amanche ynning ynjak ing ymmae ithuur ymphaniimah khaena chenva. 
1JN.2.29	Khrista ichuve ichum ynthiing chuva ichii i nemanghuwsa; atiive nenuw manghuwruw amachuve, ichum atu mee aechu Thangnang siti chupae.
1JN.3.2	Kauw kanae ae, atiive inuw Thangnang siti samuw, changvakonchu ynchii ynsuwhvataruw ichii chuve manghuwkiir mahmuw. Khrista inche aandanglaenche inuw i ama vaang tavataruw, akhaechuve atakchu iseengjaeh ing muvataruw. 
1JN.3.3	Achuw yngkheh ing Khrista ningna ningmanden mangom nave Khrista ing ynthiing vaang atak manthiing vaata.
1JN.3.4	Achuw yngkheh ing Thangnang vajeer chonghakchu bakhii nave isii miraarchu aningna omna. Akhaechuve vajeer chonghak yngkhii ichuve isiiva. 
1JN.3.5	Khrista ijungtheng i isii kuhnii khaenava vokhehkho aningna isii yntangakho omah ichii i nemanghuwsa. 
1JN.3.6	Chukhaenache achuw mee yngkheh ing Khrista thoh ongjaeh nave, ama ing athar vokheh isii tumahnii; changvakonchu isiichu tunave Thangnang chu mumahsa vokhehkho manghuwmahsa.
1JN.3.7	Kasiti ae, achuw ingkho nenuwchu imanchaemah rasiing, Khrista ing ichum ynthiing vaang inge achuw yngkheh ing ichumchu tutanuwve ichum ynthiing meechu vachuw. 
1JN.3.8	Achuw yngkheh ing isiichu tujaehnave ama umlae meesa, akhaechuve abasenlimna umlae chuve isii atuva. Umlae ing atu ari chaapchu mamaangnii khaena Thangnang sapa i ijuwngva.
1JN.3.9	Achuw yngkheh inche isii tujaeh-mah nave Thangnang siti chusa, akhaechuve Thangnang taklina omchu aningnakho omsa; amanche Thangnang chu ampa vakhaka isiichu tumahsa. 
1JN.3.10	Havi inge Thangnang sitiae re Umlae siti aantheepniichu iseengkiir ing amandangsa. Achuw yngkheh ing ichumchu tumahnaka vokhehkho auw anaechu aning mansiihmah nave Thangnang siti chumahsa.
1JN.3.12	Inuw Ken khavaang tamah vaan-chiiva; amave umlae meeva, amatah nache anaepa Abel athehva. Ken ing yngkhaena amachu athehva? Akhaechuve Ken ing atu ari chaapchu ynraarka, anaepa Abel ing atu ari chaapchu achumtah nachenva.
1JN.3.13	Kauw kanae ae, laaruw paam mee aeng ibatir khang ae nakho ngikmahruw. 
1JN.3.14	Ithii bathen muwka iring tingche huungsamuw ichii inuw ing ymmanghuwsa, amachuve unae aechu ynning ymmmansiih tahnava. Achuw yngkheh ing aning mansiih chehmah nave ithii ruwreng dernache ongjaehna. 
1JN.3.15	Achuw yngkheh ing auw anaechu batir nave ama meechu mikthehva, miktheh khaena chembe ichen naemah ringkum omahsa ichii i nemanghuwsa. 
1JN.3.16	Havi inge ningsiih i ynchiiva ichiichu ymmanghuwsa amachuve, Khrista ing inuw yngkhaena aringkum ympidehsa. Chukhaenache inuwkho unae khaena ynringkum i pivaan chiiva. 
1JN.3.17	Savangpa yngkheh ing auwnae ing adeen samahchu munaka, engkhaena abarungriir imongmah nave, ynsaangkhe Thangnang kaning kamansiihva tachehvate? 
1JN.3.18	Kasiti ae, ningsiih ichii ive chong ymbuwh muwka ichonghak chumahva; nong ing yndang ichum ningsiih chuva chiiva.
1JN.3.19	Havi inge ichum tanii vamuw ichii manghuw vaanchiiva; amanche Thangnang ningna barungriir mangam vaanchiiva. 
1JN.3.20	Ruwthuwhna ihungsuwh ing imanraar nave, Thangnang chuve ruwthuwh ruwreng chungna mangkaangsehna vokheh-kho aangkhengna amanghuw chirsa ichii inuw ing ymmanghuwsa. 
1JN.3.21	Chu-tahnache kauw kanae ae, ruwthuwhna ihungsuwh ing imanraarmah nave, Thangnang maekungna thona isa yndeensa. 
1JN.3.22	Aningna ynniihsah vakhae ymphasa, akhaechuve achonghak ymmanjii vokhehkho apensannii yntutah nachenva. 
1JN.3.23	Ama achonghak chuve Jesu Khrista ningna ynden vokhehkho Khrista chonghak ing ariir yngkheh re yngkheh ningsiih omva nenchiiva ichii ynjiicheh chuva. 
1JN.3.24	Achuw yngkheh ing Thangnang chonghakchu manjiinave, Thangnang thohche yngkhehpang ing onghaksa. Thangnang ing laetha ynthiing ynningna ynjepeeh khaenache, Thangnang re inuwchu yngkhehpang ing omsamuw ichii ymmanghuwsa.
1JN.4.1	Kauw kanae ae, laetha ynthiing kaningna omna achii mee chaap thacha mahruw, changvakonchu eningna om laethachu Thangnang ningtaniiva ningtanii mahva ichiichu nenuw ing ibuwrnehruw. Akhaechuve ichummah jaephar aajaeh ing apham aangkhenglaangna sisae. 
1JN.4.2	Jinge ichii ing Thangnang ningtanii laethachu nenuw ing manghuw chehva nenta: Achuw yngkheh mee ing Jesu Khrista ing hakchaang inuwzii ing juwngsa taka aru laetha chaapchu Thang-nang taniiva. 
1JN.4.3	Changvakonchu achuw yngkheh ing havana Jesu Khrista akhae i manghuwmah nave, Thangnang ningtanii ynthiing laetha aningna omah mee chuva. Aningna om laetha chuve Khrista arumah mee ningtaniiva. Hangchii i thengvaata ichiichu nenuw ing nemanghuw vasahva, atii laaruw paamne thengka omsa.
1JN.4.4	Changvakonchu kasitiae nenuwve Thangnang tavachuw, vokhehkho ichummah jaephar aechu nencheh vasahva, chutahnache neningna om ynthiing laetha i laaruw paam tanii athiseh ing ipirsehva. 
1JN.4.5	Ichummah jaephar ae inge laaruw paam ta khaenapang ichong paetah, vokhehkho laaruw paam ing arungaechu yng-khaenava ynchii imbe enuw laaruw paam ta engaansuwhtah nava. 
1JN.4.6	Changvakonchu inuw chuve Thang-nang tavamuw. Achuw yngkheh ing Thangnang manghuw nave kenuw ing kenriirchu arungaenah; achuw yngkheh Thangnang tamah vanave kenuw ing kenriirchu rungaemahnii ae. Jinge ichii ing ichum laetha vokhehkho ichummah laetha ruwrakna aantheepniichu inuw ing manghuwcheh vataruw.
1JN.4.7	Kauw kanae ae, yngkheh re yngkheh ningsiih ympitaruw, akhaechuve ningsiih i Thangnang ningtaniiva. Achuw yngkheh ing meechu aning mansiih nave Thangnang siti chuva vokhehkho Thangnang amanghuw mee chuva. 
1JN.4.8	Achuw yngkheh ing mee aning mansiih chehmah nave Thangnang chu amanghuw mahva, akhaechuve Thangnang chuve ningsiihva. 
1JN.4.9	Amanche Thangnang ing inuwchu aning ymmansiih khaena asapa yngkhehpangchu laaruw paamna ynjebathenpeehpa, akhaechuve inuw vakhae ing ama ajaarna iringnii ringkumchu phanii khaena chenva. 
1JN.4.10	Haviva ningsiihchu: Thangnang chu inuw ing ynning ymmansiih tahna mahva, changvakonchu ama ing aning imansiihka inuwchu isii tanii ikuhpeeh phanii khaenache asapa chu ajenbathenpa.
1JN.4.11	Kauw kanae ae, jinge ichii ing Thangnang ing inuwchu aning ymmansiih vakhaka, inuw yngkheh re yngkheh ningsiih ympivaan chiiva. 
1JN.4.12	Achuw ingkho Thangnang chu mumahri, changvakonchu yngkheh yngkheh ningsiih ympi manuwve, Thangnang thohche inuw yntuwhak vamuw, vokhehkho ynning nache aningsiihchu manthiingsa.
1JN.4.13	Inuw vakhae i Thangnang thoh yngkhehpang ing om manuw vokhehkho Thangnang i inuwthoh yngkhehpang ing omna ichiichu iseengkiir ing ymmanghuwsa. Akhae-chuve alaethachu ynning nache ympeehpa. 
1JN.4.14	Apa Thangnang ing laaruw paam ikarpeehnii khaena asapa ajebathenchu inuw ing ymmusa vokhehkho reentaang ae ningnakho ynjeersa. 
1JN.4.15	Achuw yngkheh ing Jesu i Thangnang sitiva tanaka riirnave, ama meechu Thangnang thoh yntuw ing ongna vokhehkho Thangnang ingkho amathoh onghakna. 
1JN.4.16	Thang-nang ningsiih ynningna om havi inuw yntaksah ing ymmanghuwsa vokhehkho ynthachasa.
1JN.4.16	Thangnang i ningsiihva, achuw yngkheh ing ningsiih nache paar-nave, Thangnang thoh yntuw ing paarna vokhehkho Thangnang inche amathohche yntuw ing paarna. 
1JN.4.17	Ynningna ningsiihchu mapung amanphapa, akhaechuve vajeer inii nache inuw ing thona yndeennii khaenava; vokhehkho inuw ing deenvataruw akhaechuve laaruw paamna yngringkum i Khrista thohche aanghaksamuw. 
1JN.4.18	Ningsiih ing ynchik omah; ichum ningsiih ing ynchik om aangkheng athurchirva. Chunave achuw mee yngkheh ing ynchik nave aningna ichum ningsiihchu aommah tahnava, ynchik inche vajeernii vaata.
1JN.4.19	Inuw ing Thangnang ynning ymmansiih i ama ing amaensana aning ymmansiih tahnava. 
1JN.4.20	Achuw yngkheh ing Thangnang chu kaning kamansiihva tanaka, auwnae batir nave aningna ichum omahsa. Akhaechuve amik ing amu auw anaechu aning mansiih chehmah nave, amumah Thangnang chu aning mansiih chehmahnii. 
1JN.4.21	Thangnang ing chonghak ympeehchu haviva: Thangnang aning amansiih mee inche auwnae chukho aning mansiih vachiiva.
1JN.5.1	Jesu chu Eekarpeehva ichii ing athacha mee chaapchu Thangnang sitiva; vokhehkho achuw mee yngkheh ing ampachu aning mansiih nave asiti chukho aning amansiihva. 
1JN.5.2	Jinge ichii ing inuw ing Thangnang siti aechu ynning ymmansiihsa ichii ymmanghuwsa: amachuve Thangnang aning amansiih vokhehkho achonghak vakhae amanjii iva. 
1JN.5.3	Thangnang chu aning amansiih ichii ichuve achonghak ynjii chuva vokhehkho achonghakchu inuw yngkhaena iruwpak mahva, 
1JN.5.4	akhaechuve Thangnang siti chaap ing laaruw paam achehnah vokhehkho inuw ynthacha inche laaruw paam ymbathiih chehva. 
1JN.5.5	Achuwva laaruw paam achehchehchu? Jesu i Thangnang sapava taka athacha meepang inche achehcheh vatah.
1JN.5.6	Chii vokhehkho sii thoh ynruw ing ijuwngchu Jesu Khrista va; chiipang thohchen mahva changvakonchu chii re sii thohche ijuwngva. Amanche laetha rap inche havi chumna taka saarkhii apeehsa, akhaechuve laetha ichuve ichumva. 
1JN.5.7	Saarkhii ynthummeh omna: 
1JN.5.8	Ynthiing laetha, chii vokhehkho sii ipae; hava ynthummeh ae inge ynchimchak ing saarkhii apeehsae. 
1JN.5.9	Inuw ing mee ningtanii saarkhii ynthachanah, changvakonchu Thang-nang saarkhii chuve iruungsehva. Amanche Thangnang ing asapa khaena saarkhiichu apeehpa. 
1JN.5.10	Chukhaenache Thangnang sapa ningna athacha mee inche havana saarkhii i abarungriirna omna, changvakonchu Thangnang athachamah mee chuve ataksahchu mare om ababuwnah; akhaechuve Thangnang ing asapa khaena saarkhii pika ariirchu thacha mahsa. 
1JN.5.11	Saarkhiichu haviva: Thangnang ing ichen naemah iringnii ympeehpa, havana iringnii ichuve asapa ningna omna. 
1JN.5.12	Asapa aru mee inche iringnii aphapa; achuw yngkheh asapa arumah inche iringnii phamahsa.
1JN.5.13	Thangnang sapa rumingna athacha nenuw vakhae ningna ichen naemah iringniichu omna ichii ynghuwnii khaena ki ing neningna kajebaziihva. 
1JN.5.14	Haviva Thangnang ningna barung ngamniichu: Ama ing amanden inuwzii ing inuw ing niihsa manuwve ynsiipeehnah. 
1JN.5.15	Chukhaenache inuw ing aningna yngheniih chaapchu asiisa ichii manghuw manuwve, inuw ing aningna yngheniih vakhaechu kaphapa ichii ymmanghuwsa.
1JN.5.16	Achuw yngkheh ing auwnae ing isii atu munave, akhaenache ama ing thampeeh rasiing amanche Thangnang ing iringnii ringkumchu pivaata. Havi kariirnii chuve ithii phaniimah isii omna ichiichu kariirniiva. Ithii phanii isii chukho omna. Amachu havi khaene thamruw kachiimahva. 
1JN.5.17	Ichummah nongchaap isiiva, amanche ithii phaniimah isii omna.
1JN.5.18	Thangnang ningna ong mee vakhae ing isii tujaehmah ichii inuw ing ymmanghuwsa; Thangnang ningna ong mee inche ataksah rukuum yntusana, amanche isamah ing atakchu vaparchehmah.
1JN.5.19	Inuw i Thangnang tanii vamuw, vokhehkho laaruw paam aangkheng i isamah dernache ongna ichii ymmanghuwsa.
1JN.5.20	Thangnang sapa ing juwngka ynningna ynghuwnii ympeehpa ichii ikho inuw ing ymmanghuwsa, atak ichuve ichum Thangnang chuva. Inuw vakhae i asapa thoh yntuw ing ichum Thangnang thohche ongmanuw. Havi ichum Thangnang chuva vokhehkho ichen naemah ringkum chuva.
1JN.5.21	Kaning mansiih kasitiae, ichummah lae ruthaksii tanii yndah ing ongruw.
2JN.1.1	Ynteer vasah sanuw vokhehkho asiti ae ningna, upa yngkheh ynsuwh ing kabaziih sahva. ki ing nenuwchu atatak ichum ing kaning kamansiih-vachuw, vokhehkho kipang ingmahka ichumchu amanghuw vakhae aeng khomba; 
2JN.1.2	keningna apha om vakhaena vokhehkho keningna ichen naeru ing omjaeh vachii ichum khaena chenva. 
2JN.1.3	Apa Thangnang tanii vokhehhko asapa Jesu Khrista ningtanii, tungsiih, ningchuwh vokhehkho idaechu ympeeh ynsuwhrasiing; hava ae i ichum vokhehkho ningsiih inche yntachu ynsuwhrasiing.
2JN.1.4	Nasiti topoh ae ing Thangnang ing ariir chonghak ichum nache isiae kaantuwhfhuw tahna inempak karotha rohna. 
2JN.1.5	Ataraene, ki ing sanuw naningna ithar chonghak kajebaziih mahva changvakonchu aburna yndeenvasah, yngkheh re yngkheh ningsiih om vaanchiiva ichii khavatah. 
2JN.1.6	Haviva ningsiihchu: Thangnang chonghak chaapchu manjii manuwka paarvaan chiiva. Aburna nasii vaangkhe, nenuw vakhae ningsiih inche paarva nenchiiva.
2JN.1.7	Jesu Khrista inche hakchaang ing jungthengsa ichii arumah mee inempak laaruw paamne thengsae. Enuw vakhaechu ichummah chupae, vokhehkho khrista arumah chupae. 
2JN.1.8	Chukhaenache nenuw ing nentu nenrichu maangrudeh ing isajaeh ing nongmen ynriimjor ing nenphanii khaena nentaksah ynriimsaruw.
2JN.1.9	Achuw mee yngkheh ing Khrista ing amanchuw nache iraen naka siniimah nave aningna Thangnang chu omahsa; achuw yngkheh ing amanchuw nache sijaehnave, Thangnang vokhehkho asapa chu aningna omna. 
2JN.1.10	Achuw yngkheh ing naningna thengnaka havana chongjeer i henreenmah nave, na-eensung manruwh mahra vokhehkho bariim mahra. 
2JN.1.11	Achuw yngkheh ing amachu bariim nave, isamah avereenchu savuw emphahakpa.
2JN.1.12	Naningna ynziihfhuw inempak omna, changvakonchu chepaang vokhehkho mukchii ing baziih ningka tamah ing. Rotharohchu athisehnii khaena nangchu yntuwhfhuw ningchiika thamin jaera tonghak manuwka ichii khaenava.
2JN.1.13	Ynteer vasah nanaenuw asiti ae ing salaam ynjetusahnah ae.
3JN.1.2	Kaan-chaarfhuw kaarang nang ing nasha nungae iphanii khaenakho amanche natu narina nungae iphanii khaena kathamsahnah amanche laethana nungaenachii ichii kamanghuwsa. 
3JN.1.3	Nang ing ichumna isichii vokhehkho ichumna namandenchu unae ae ing enriir kasiitahna inempak karotha rohna. 
3JN.1.4	Kasiti ae ing ichumna sinae ichii chong kasiitahna ama chungna rotharohnii reentaang omah.
3JN.1.5	Kaanchaarfhuw nang ing unae aechu reentaang mee ae khangnare natupeeh naripeeh ae khaenache inempak sakna. 
3JN.1.6	Enuw ing ruwrthiing sungna nang ing eningna ningsiih namandang khaena entongsa. Enuw ing lamkhii ensirae bompeeh ae taniive, amachu Thangnang ing amandenrem chuva. 
3JN.1.7	Khrista nong khaena enuw ing thacha omah mee ae tanii ibomsah pharu aeng lamkhii isi meepae. 
3JN.1.8	Chukhaenache enuw thohne ichumna nong ituhaknii khaena enuwchu inuw ing bom vaanchiipae.
3JN.1.9	Ki ing ruwrthiing ae ningna chong topoh kabaziihsa; changvakonchu enuw khaena iruwng viningka achii Diotrephes ing inuwchu irumah. 
3JN.1.10	Chukhaenache ki ing thengcheh ningve, ama ing yntaklina atu ari nongchaap, vokhehkho isamah chong ariir chaapchu mandang peehchir vakata. Isamah chongpang inche penmahka, ama ing auwnae vakhae chukho bariimmahsa. Amanache auwnae bariim ningka achii mee ae chukho ruwrthiing tanii athurnah.
3JN.1.11	Kaanchaarfhuw, isamahchu manjiimahra changvakonchu isachu manjiira. Achuw mee yngkheh ing isachu tunave amachu Thangnang taniiva. Isamah atu mee inche Thangnang chu mumahri. 
3JN.1.12	Mee vakhae ing isapak inche Demetrius taklina saarkhiichu emandangsa. Kenuw ingkho asaarkhiichu kemandangnah vokhehkho saarkhii i ichumva ichii nang ingkho namanghuwsa.
3JN.1.13	Ki ing inempak baziih saningka kachiinah, changvakonchu pen re mukchii ing baziih ningka tasamah ing. 
3JN.1.14	Nangchu ithupak ing yntuwh-fhuw ningchiika vokhehkho thamin jaera tonghak manuwka ichii ing kamandenpa. 
3JN.1.15	Naningna idaechu omrasiing. Naarang vakhae ing naningna salaam ynjetusahnah ae. Nang ingkho naarang aechu nasalaam jepisa aera.
JUD.1.2	Ningchuwh, idae vokhehkho ningsiihchu hungnemsehseh ynsuwhrasii.
JUD.1.3	Kaningsiih ae, ki ing inuw vakhae khaena ynsuwh manlaenpeeh chong khaena ithupak ing ynziihnii khaena kamandensahrae, ynthiing ae ningna vokhehpangna ympeeh vasah thacha ama khaenache barungriir iruwh ing ma itaarnii khaena omrasii ichiichu, ki ing neningna ynziihmah rumahsa. 
JUD.1.4	Akhaechuve achuw yngkheh mee aechu ynruwhjaeh ing taensae; vajeer havi khaene ajae tunana engkhaena maen ing ynziihka om vasahva. Enuw chuve Thangnang yndenmah, apa Thangnang atungsiihchu arehting abaheer ae, inuw yngafhuw yngkhehpang om Aafhuw Jesu Khrista chu arumah meepae.
JUD.1.5	Nenuw ing chongjeer aangkheng vokhehpangna manghuwkhang tanuwre, ki ing nenuwchu manthang-reeh ningchuwka kachiinah, amachuve, Thangnang ing Misor lipah tanii mee aechu karpeehka aanuwting athachamah meechu ama-maangpa; 
JUD.1.6	amanche entaksahrap ing emandenchu manjiichehmah aeka, entaksahrap empaarnii embathen vaarmee aechu Aafhuw ing iruungpak iniina vajeer tunii khaena ynthim sungnache ichen naemah ing phuwp aeka asiihpae. 
JUD.1.7	Amavaangche Sodom vokhehkho Gomora amanache aveenna om khuwruungchu hava ae thohne entu enri aanghak ing naamak atuae vokhehkho reentaang hakchaang inuwzii ing isi aechu ichen naemah mi sungna ponti pha aeka akhaangteeh aechu amandeengnii khaena amandangva.
JUD.1.8	Havithoh aanghak ing havi vakhae i enuw enrumang isii inche hakchaang amanchohnah ae, amanche aatuaricheh aechu rumah ae, vokhehkho laarnii iruung ae ningna ichamah ing chongsae; 
JUD.1.9	changvakonchu aaruungseh vaarmee Maikel ing Umlae thoh ynrumah aeka Mosi hakchaang khaena ner ing engaansanglae, ithipak ing ichong khaena ataklina vajeer tuniichu thona deenmahsa, changvakonchu Aafhuw ing atakchu ichah rasiing taka ariirpa. 
JUD.1.10	Changvakonchu enuw inche emanghuwmah peehchae taklina ithipak ing ichong ae, vokhehkho barungriir ynthinmah sha ae vaangche, enuw ing nunu ing emanghuwsah ajaar inche enuwchu amamaangpae. 
JUD.1.11	Ening nache ijaniisapa! Akhaechuve enuw ing Ken lam sitahting sisae, ruthamen phanii khaena Bilijaam miraar tingche enuw taensae, amanche Kora chong enreehtah nache enuwchu amamaangpae. 
JUD.1.12	Havi vakhae ichuve ningsiih thaemin nensahnii chaap nache, nenuwthoh nensah nenginhak ibuwr ikah chupae, ynchik omru ing entaksahchu ynthahsah chupae; enuw i siiraang ing araencheh chii ynvaemah ruwrduh chupae, aanla omah, voniimeh ithiivasah, arajung ipha ing ymphervasah pharbuw tha berva thing chupae. 
JUD.1.13	Enuw entaksah ningjakniichu chifhuw apor vaangkhe emanfhuwrchu chifhuw chii ithipak ing ynnoh khavatah; hunganseen vaanseen aesii chupae, enuw engkhaenache ithuwhpak ynthim yndupchu ichen naemah ing ynseehsa.
JUD.1.14	Adam laennii ing tuti avosariinii Inok ing hava mee ae khaenakho Thangnang tanii chong ariir, “Enruw, Thangnang tanii ynthiing ae lising lising thoh ynruw ing Aafhuw ing juwngsa. 
JUD.1.15	Aangkhenglaang taklina vajeer tunii khaena, vokhehkho Thangnang yndenmah vakhae, Thang-nang mandenru ing entu enrichaap khaena, Thangnang yndenniimah nong vakhae, Thangnang yndenniimah lamting amangheh vokhehkho Thangnang yndenmah isii icher ae inche Aafhuw taklina ithipak ing ichong ae aangkheng miraar peehnii khaena Aafhuw ing jungthengsa.”
JUD.1.16	Hava mee ae i thaesii thaenam ichong ynsuwh naemah mee chupae. Enuw ing emandensah nache sinae, amanche engkanii phanii khaena meemae en aeka enerna ynding ing chongnae.
JUD.1.17	Changvakonchu kaningsiih ae, inuw vakhae Aafhuw Jesu Khrista chongthang aeng mamaenna enriir-vasah chongchu nenuw ing eensiipeeh saruw, 
JUD.1.18	“Achiphana enuw ing Thangnang yndenmah ichuwhmah ing ike ae inuwzii ing ynniisahnii hungom vaata ta aeka enuw ing neningna enriir vasahva. 
JUD.1.19	Enuw ae chuve naamak atu mee, entu enrina lampana ong sha ae vaang om ae, laetha ynthiing aphamah meepae.” 
JUD.1.20	Changvakonchu kaningsiih ae, athiseh ing ynthiing nenthacha taklina nenuw ynseemsa nuwna vokhehkho laetha ynthiing ajaarnache thamsa nuwna, 
JUD.1.21	ichen naemah iringnii khaena nenuw ing inuw Aafhuw Jesu Khrista aningchuwh nenghahsahrae, Thangnang ningsiih nache nentaksahchu yngahsaruw.
JUD.1.22	Vokhehkho barungriirna fhuwm ynvae achuw yngkheh mee taklinache neningchuwh mandangruw; 
JUD.1.23	hak-chaangna ikhaen peendiir churap ymbatir vaangkhe mee ae taklina ichiisuwh ing mukhang tanuwre, enuwchu mi sungtanii jekiae nuwna karsa aeruw.
JUD.1.24	Atiive khi mansiiniimah ing nenuwchu yngahpeeh, vokhehkho athiseh ing rotharoh nache ynraar omah ing Aafhuw alaar isa maanache nenuwchu ymmangiircheh, 
JUD.1.25	inuw Eekarpeeh Aafhuw yngkhehpang Thangnang ningnache Aafhuw Jesu Khrista ajaarna alaar isa, ynjasuwh, aacheh vokhehkho ruwrengchu atarae vokhehkho ichen naemah phanii ing om ynsuwhrasiing, Amen.
REV.1.1	Jesu Khrista ningtanii amandang i Thangnang ing ithupak ing hungsuwh vachiichu ameenae ae ningna amansiinii khaenache aningna apeehva; amanche havi ynghuwnii khaenache avaarmee chu ameenae Johon ningna ajenbathenpa. 
REV.1.2	Amana hava vakhae i kamu taka Johon ing mee vakhae ningnache ariir. Amachuve Thangnang ing ajeer chongsae re Jesu Khrista ing ichumva taka amandang vakhae chuva. 
REV.1.3	Havane ynthin ynthiing chongsae vakhae i aapa, aarungae vokhehkho amanjii mee vakhaechu nungae ringkum aphachupae. Akhaechuve hava vakhae i hungsuwhchir vachii apha ynneeng tangsa.
REV.1.4	Ataniinii, ajaenniinii vokhehkho hungvivachiina amanche Aafhuw iruwngpham ongnii maana ong ae laetha sarii tanii tungsiih re idaechu neningna omrasiing, 
REV.1.5	amanche thachafhuw om saarkhii, ithii tanii hangring aren vokhehkho laaruw paam iruwng ae aapuh Jesu Khrista tanii chukho omrasiing.
REV.1.5	Inuw vakhaechu aning ymmansiih vokhehkho isii tanii asii inche yngkar, 
REV.1.6	amanche Thangnang rukuum tunii khaena inuwchu iruwng lipah jaethiim ymbasuw aningnache alaar isa vokhehkho aanchung ruwreng omrasiing. Amen.
REV.1.9	Nengarang Johon ki nenuw thoh thangbaen iruwngpaam khaena ijachaam akhaang nong nentufhuwhak ing, Thangnang alaar isa mandangnii vokhehkho Jesu ing ajemandang ynthiing chongsae vakhaechu katongtah nache chiirikpaamna om Patmos ichii nache yngkhum ingka ongping. 
REV.1.10	Aafhuw aanii nikhehna laetha ynthiingna kaonglae tumpeeh ynling varaang ichii ipirpak iruur yngkheh ing ariir katuknungna kasii, 
REV.1.11	“Nasii chaap i thiimbuwrna baziih nana Asia sungna om ruwrthiing sarii ae ningna, amachuve Ephisia, Smilna, Pargamum, Thijataria, Sardis, Phildelphia amanche Lodisia eningtinge bathenla taka ariir.”
REV.1.12	Achuw senruwrva ta ingka kavaanlehtah nache, jaemi ynrengnii asae sarii om kamupa. 
REV.1.13	Jaemi ynrengnii ruwrak nache Mee Sapa pingeng ichii apeendiir inche akhi ajupha vokhehkho ynchiimnii sana inche abarungna abadaar yngkheh kamu. 
REV.1.14	amanche asamchu samuwr vokhehkho ruwbuwr ivaarvaang ipuur, amikchu mi ichuwhvaang ichiisuwhpak, 
REV.1.15	akhichu yntaeh vasah ynleen siirsiir pingeng ichiivaang vokhehkho aaruurchu suwr rusavaang ipir, 
REV.1.16	akik tachang ing aesii sarii achi, abae tanii chem yngee asae ynnii itheng. Amaechu siimchim inii vaang ynleen. 
REV.1.17	Atakchu kamu tahnache akhi basuwrna ivatiihsah ing. Changlaenche akik tachang inche kataklina siika ariir, “Ynchik mahra, ki aren chuping vokhehkho achinii chuping. 
REV.1.18	Ki iring chuping! Ajae ithii ing, changvakonchu atii ring ingka ichen naemah ing paarning; vokhehkho ithii re longkong longtingchu kachipa. 
REV.1.19	Atii ynchii isuwhva, amanche ynchii hungsuwh vachiiva ichii namu vakhae i baziihra. 
REV.1.20	Kakik tachangna namu ichiisuwh aesii sarii re jaemi ynrengnii sarii ae chuve: Aesii sarii inge ruwrthiing sarii rukuum itu vaarmee chupae amana jaemi ynrengnii sarii inge ruwrthiing sarii chupae.”
REV.2.1	Ephisia na om ruwrthiing vaarmee ningna baziih: Akik tachangna aesii sarii chika, sana sarii jaemi ynrengnii kaarna isi aningtanii chongthen chuva.
