RUT.1.1	Senagi senagi, mirona ituari ourefeidena vene tora amegamadiri,
1JN.4.14	Ma vesi niogau reyafa, Baba yaku kono tora noibanu di vene di moi vegu rina amiye nigi ini Mida nifeideyo. 
1JN.4.15	Ye kaere yaku Iesu bi Sei di Mida niogau rego vonisi, bi Sei bi inasa amedo, ma ina ka Sei sa amedo. 
1JN.4.16	Mina ye, Sei una uka mado, mina una una diba ma ina rofu mokena vari gira aesifa.
1JN.4.16	Sei bi uka mana amiye, ma kaere amiye uka manasa amedo, bi Sei sa amedo ma ina ka inasa amedo. 
1JN.4.17	Mina ida dudu uka mana bi moi rorobo riyo, ye kota rego meda okigori, uka gira moigifa, adina mina konori una ka bi ina kana dada. 
1JN.4.18	Uka mana ideri bi ori yokoi de. Uka mana rama iniye yaku ori meki redo, adina ori bi kaunava di. Amiye kaere ori redo, bi uka mana dudu moi rorobo de rido.
1JN.4.19	Una
1JN.4.20	Kaere amiye yaku nigo, “Na bi Sei uka maida,” idu ini usika ourena gubuyo redo, bi ofa ofa amiye; adina kaere amiye yaku ini usika ourena, kaere bi ini nemoko yaku vedo, bi uka de mado. Ka bi de Sei, kaere bi ini nemoko yaku de vedo, bi uka magi anua rego. 
1JN.4.21	Ma mina ago gira bi una maro: kaere yaku Sei uka mago, bi ini usika ourena ka uka marainedi.
1JN.5.1	Kaere amiye Iesu bi Keriso rofu mokena vari gira aego, bi Sei di mida kana vata niyo, ma kaere amiye yaku Baba uka mago, bi ini odiyo mida ka uka mago. 
1JN.5.2	Makai dudu diba nigifa Sei di mida mida bi uka masifa: Sei uka magasa ini ago gira neidegasa resifa. 
1JN.5.3	Mina makai bi Sei rofu uka masifa: ini ago gira neidegasa resifa. Ma ini ago gira bi toe de.
1JN.5.4	Adina kaere bi Sei di mida kana vata niyo bi kono di vegu ebu redo. Una yaku Sei rofu mokena vari gira aesifa ma mina dudu kono di vegu ebu reyafa.
1JN.5.5	Kaere amiye bi kono tora noibanu di vegu ebu rego? Amiye yokoi mokena vari gira Iesu bi Sei di mida rofu aego mina maka.
1JN.5.6	Iesu Keriso bi kaere koru ma davasa deyo. Ina bi korusa maka de deyo, idu gogo koru ma davasa. Ma Vima iniye yaku niokudo mina bi rama, Vima bi sina rama dada. 
1JN.5.7	Niokudedi vene bi regode:
1JN.5.8	Vima,
1JN.5.9	Amiye niokudedi ago bi moi gira risifa, idu Sei di niokuna ago bi isivaga iniye, adina Sei di niokuna ago bi ini Mida fafau niokudo. 
1JN.5.10	Kaere amiye yaku Sei di Mida rofu mokena vari gira aedo, bi mina niokuna ago ini uka mekori amedo. Ma kaere amiye yaku Sei rofu mokena vari gira de aedo, bi iniye moi ofa ofa amiye rido, adina Sei yaku ini Mida ago niokuyo bi mokena vari gira de aedo. 
1JN.5.11	Ma niokuna ago bi yomini: Sei bi toga toga ameibobina vegu una maro, ma mina vegu bi ini Midasa amedo.
1JN.5.12	Kaere amiye ini Midasa amedo, bi mina vegu moiyo, ma kaere Sei di Mida inasa de amedo, bi vegu de moiyo.
1JN.5.13	Ya kaere Sei di Mida di rokari, mokena vari gira aededi vene rofu mina ago bura reida, ye ya diba niyagane toga toga ameibobina vegu bi moiyadi.
1JN.5.14	Sei di nemokori una bi mina mokena buni moiyafa, ye beika yokoi ini ura renari usa nigifa vonisi, bi una neidego. 
1JN.5.15	Ma uni beika baika usa nigifa ma neidego mina diba vonisi, una diba una mago, beika ina rofu usa nigifa mina.
1JN.5.16	Amiye yokoi yaku ini usika ourena vegu no reyo ma vego vonisi, ma mina vegu no yaku muyena de moi ogau rigo, bi buni Sei rofu usa usa nigo, ma Sei yaku vegu mago. Mina nida bi amiye kaere ini vegu no yaku muyena de moi ogau rigo. Adina bi vegu no yokoi yaku muyena moi ogau rigo; mina rofu usa usa nibiyaine bi de nida. 
1JN.5.17	Mokena rorobo de vegu tau vakoi bi vegu no, idu mina vegu no tau vakoi yaku muyena de moi ogau rigo.
1JN.5.18	Una diba kaere Sei rofu vata niyo, bi vegu no toga de rebigo, adina bi ini odiyo mida nari redo, ye amiye no yaku avaka de moigo.
1JN.5.19	Una una diba una bi Sei di mida mida, ma mina kono tora noibanu di vene bi amiye no di vava gabireri raga rededi.
1JN.5.20	Una una diba Sei di Mida bi dego ma vei mama rena, mina una maro, ye una diba amiye kaere bi rama iniye. Uni vegu bi mina amiye rama iniyesa amesifa—mina bi ini Mida Iesu Keriso sa. Ina bi Sei rama iniye, ma toga toga ameibobina vegu.
1JN.5.21	Nai mida mida, ya kaya ofa sei rofu egavoi rebifa!
2JN.1.1	Mina bura bi dubu di ourefeidena amiye rofu.
2JN.1.1	Auba reida rema, ini midasa,
2JN.1.2	adina mina sina rama bi unasa amedo, ye toga toga unasa amebigo.
2JN.1.3	Baba Sei ma Iesu Keriso ini Mida di buni tora gade, iriyeduka ma uka amuta unasa
2JN.1.4	Na bi neidesi ada tora gade reyaka, adina sina rama dudu yi mida be bi Baba yaku ini ago gira una maro kana amededi. 
2JN.1.5	Ye gua ya uka maida rema, ago gira ruaka yokoi de bura reida, idu ini adinari gutuna mina sina bi sena moiyafa. Nai usa usa bi uniye uniye uka manadi.
2JN.1.6	Uka mana bi yomakai: Sei di ago gira yaku niyo kana amebinadi. Ini adinari gutuna neideyadi kana, ye makai kana amebiyaganedi.
2JN.1.7	Adina eru rededi vene tau bi kono tora noibanuri diyadi, kaere Iesu Keriso bi amiye roaita kana nisi soka reyo, mina niogau de rededi. Mina kana amiye bi eru redo amiye ma Keriso di tuma amiye. 
2JN.1.8	Mina resi vei feidegasa dibo refa, de bi yi
2JN.1.9	Kaere amiye Keriso di beika oteimaro moi gira de rigo, idu fafa resi bogo, bi Sei inasa de. Kaere amiye Keriso di beika oteimaro mina moi gira rigo, bi Baba ma ini Mida bi inasa amego. 
2JN.1.10	Kaere amiye ya rofu baesi mina oteimana de moi baego vonisi, bi yi yavari moi afe dui ga resi yuata ka ga mafa. 
2JN.1.11	Adina kaere yuata mago, bi ini reremama no kefe rigo.
2JN.1.12	Ye nai bura regida ago ya rofu bi tora gade, idu fefari bura rena bi ura de reida. Mina resi nai uka mokena bi bae nesi ago niyagadu, ye una ada rei vau regifa.
2JN.1.13	Yi auba reisa rasini di mida mida
3JN.1.1	Mina bura bi dubu di ourefeidena amiye gutuna—
3JN.1.1	Gaius, kaere sina rama dudu bi nai uka maida amiye, mina fefa ya rofu bura reida.
3JN.1.2	Nai uka maida amiye, Sei rofu usa usa nida beika vegu tau reisa, mina yaku buni moi vata riyainedi. Ma usa ka nida, yi roaita di vegu tau noibanu buni niyainedi. Adina na na diba yi vima bi buni amedo. 
3JN.1.3	Adina ekalesia usika ourena be yaku baesi na niokuyadi, ya bi vegu rama reisa amiye. Ada tora gade iniye reyaka bi sina rama dudu nana reisa dada. 
3JN.1.4	Beika vegu yokoi yaku de na moi ada redo, idu neideida bi nai mida mida bi sina rama regasa amededi.
3JN.1.5	Nai uka maida amiye, ya yaku yi ekalesia usika ourena aedega ameisa, bi moimai buni iniye reisa mini, adina bi amiye idana. 
3JN.1.6	Ina vene bi ekalesia vene di budari, yi uka mana rofu niokuyadi. Ye, buni bi Sei moi ada rego ida kana, aedesi ini yava ika oto dinari nifeidegiya. 
3JN.1.7	Keriso di roka dada, yava ika oto diyadi. Ini makai dibo regasa bi tutubena idana vene
3JN.1.8	Mina dada, bi mina kana vene aedegifa
3JN.1.9	Fefa tumu yokoi ekalesia vene rofu sena bura reyaka, idu Diotrephes, kaere iniye nigi ina bi ourefeidena amiye ura redo, bi una mokei vava de redo. 
3JN.1.10	Mina resi ya vene rofu baegida vonisi, bi ini vegu ma fufuta ago una rofu nido, mina moi ogau rigida! Mina maka de, idu ekalesia usika ourena okidedi ka de moido. Ma kaere yaku ina vene moigi ura redediri, ka duburi gutuna moi etagae rigi redo!
3JN.1.11	Nai uka maida amiye, vegu no mina tari ga re, idu vegu buni mina maka tari re. Kaere amiye yaku vegu buni redo, bi Sei di;
3JN.1.12	Amiye tau noibanu yaku niokudedi Demetrius bi vegu buni redo amiye, ma Sei di sina rama yaku ka makai nido. Una ka makai niokusifa, ma ya ya diba una yaku beika niokusifa bi rama.
3JN.1.13	Ye nai bura regida ago ya rofu bi tora gade, idu fefari bura rena bi ura de reida. 
3JN.1.14	Nai uka mokena bi agiya aineka ya vesi ago nigida.
3JN.1.15	Uka amuta yasa amebiyaine.
3JN.1.15	Yi asiyaka minari ka ini yuata ya rofu nifeidededi. Uni asiyaka mironari amededi ka uni yuata ni.
JUD.1.1	Mina bura bi na Jude, kaere bi Iesu Keriso di moimai rei tavoi reida amiye ma James di dubuini gutuna —
JUD.1.1	Mina bi Sei raka niyo vene rofu, ma kaere Baba Sei uka mado
JUD.1.2	Iriyeduka, uka amuta ma uka mana bi ya rofu boi tora niyaine.
JUD.1.3	Nai uka maida vene, na bi nai mokena tora noibanu dudu, una moi vegu rina sina vakoi resifa, mina ya rofu bura reida. Ye nai mokena bi ya rofu bura resi ya egira regida, ye mokena vari gira aena di ruda reyagane, goina bi Sei yaku uru yokoi maka ini vene maro. 
JUD.1.4	Adina be vene yaku yi rafuri, sui ida dudu sena baeyadi. Mina vene bi ini obini moiyadi, goina bi sena bura reyadi. Ina bi Sei di vegu kana de rededi, kaere bi uni Sei di buni tora gade di sina moi idana risi vava maradi, vegu no resi Iesu Keriso uni ourefeidena Amiye tora yokoi maka ma Varika amiye
JUD.1.5	Ya mina ago bi sena diba niyadi, mina resi nai ura bi dudusa ya nigida. Varika amiye
JUD.1.6	Ma naivo naivo vima be, kaere bi ini moimai di vava moi gira de risi ini yava fereyadi. Ye bi toga toga amebigo seini aesi mukunari fereyo, ye kota rego meda tora nari reyaganedi. 
JUD.1.7	Mina kana, Sodom ma Gomorrah ma ini adinari taoni ka koa resi roaita di vegu idana idana reyadi. Mina vene di toga toga vaido ita moka di esika esika moina bi amiye tau noibanu nioteimadedi kana.
JUD.1.8	Mina ida kana, mina yaduka vededi vene yaku iniye ini roaita moi no risi ourefeidena vene fufuta masi oma ideri amededi vene nifafana rededi. 
JUD.1.9	Idu Michael, naivo naivo vima tora iniye, Bodakasa kayamo reyadi, kaere yaku Moses di roaita moigo mina. Mina medari, Michael iniye yaku Satani nifafana de reyo. Idu yomakai maka niyo, “Varika amiye yaku ini kaunava ya mago!”
JUD.1.10	Idu, mina vene bi beika baika tau toto, bi mina rofu nifafana rededi. Ina vene bi tuma dona nadina di mokena kana, mina beika baika diba niyadi ini amutenari, mina yaku ina vene moi no rido. 
JUD.1.11	Iriyeduka iniye ina vene rofu! Adina bi Cain di ida moisi Balaam di no reyo ida kana, fore baku regi evade maka reyadi. Resi Korah
JUD.1.12	Mina vene bi ekalesia vene di irakunari naguma kana, maena de iruku irigedi; iniye maka dogo rededi. Ina bi miya de redo seuya kana, aura yaku ufu redo. Bi yabo kakari meko varena de, ye muyena iniye reyainedi darusa yai rei makudedi kana. 
JUD.1.13	Ina vene bi davara di ureure kana, ini maena bi davara di kabudo kana fonufonu rei baedo; bi yaveru kana, adina Sei yaku toga toga amebigo mukuna girigiri sana ferei maro.
JUD.1.14	Enoch, Adam gutuna ini tutubena bi 7 ere; ina yaku sena dobau mina vene dada niyo, “Neidefo, Varika amiye bi ini akeke vene tau gade gadesa dego,
JUD.1.15	ina vene tau kota resi vegu no rededi vene tau di vegu no tau niogau rego, mina kaere bi ini vegu no ida idari regamadi, ma ina yaku kiraini ago toe tau ina rofu nigamadi mina!”
JUD.1.16	Mina vene bi ago mumugu vene, goidu no be regedi maina vene; ina bi ini mokena tari rei didedi vene; iniye ini roka moi odoro vene, ma idana di roka moi odoro riyagane iniye di buni dada.
JUD.1.17	Idu, ya uka maida asiyaka, va mokefo, beika uni Varika amiye Iesu Keriso di nifeidena vene sena niyadi mina. 
JUD.1.18	Ina ya rofu niyadi bi, “Ari tumu nibigori, ninika nina vene kaere bi iniye di ini mokena no mina tari rei dibigedi.”
JUD.1.19	Mina vene yaku utama ya okugedi, kaere bi ini amutenari ma Vima kikifa de mina tari rebigedi. 
JUD.1.20	Idu ya vene, nai uka maida asiyaka, ya kaya yi akeke mokena vari gira aena, mina fafau are rei gira resi Vima kikifa nufa usa usa nibifa. 
JUD.1.21	Sei di uka mana fafau, are rei gira resi uni Varika amiye Iesu Keriso di iriyeduka nari refa, mina yaku toga toga ameibobina vegu rofu ya moi bogo.
JUD.1.22	Kaere mokena remanu moibigedi vene rofu bi iriyeduka rebifa; 
JUD.1.23	Be vene
JUD.1.24	Vabara ina rofu nigo, kaere yaku keto renari ya
JUD.1.25	Ini adinari gutuna ma gua ma toga bi vabara, roka tora odoro iniye, ma vava Iesu Keriso uni Varika amiye dudu bi uni Sei, uni moi vegu rina amiye yokoi maka rofu toga toga ameibobigo! Rama.
REV.1.1	Mina bi Iesu Keriso di niokuna sina sina Sei yaku ina maro, ye beika meda atafuri, vata niyainedi ini moimai rei tavoi rededi vene oteimago. Mina ago ini naivo naivo vima dudu ini moimai rei tavoi reida amiye na, John rofu nifeideyo, 
REV.1.2	kaere bi Sei di ago ma Iesu Keriso di niokuna ago tau veyaka mina niogau reyaka. 
REV.1.3	Buni tora gade bi amiye, kaere mina beika vata nigo sina di bura veyaine ma buni tora gade bi amiye, kaere beika ideri bura reyaka neidesi reyainedi, adina meda bi atafu niyo.
REV.1.4	Na John yaku dubu 7 Asia gaganiri rofu bura reida:
REV.1.4	Amiye kaere amedo ma ameyo ma amego, ma vima 7, kaere bi ini ourefeidena amena fata di budari amededi, bi buni tora gade ma uka amuta ya mado. 
REV.1.5	Ka bi Iesu Keriso rofu, kaere bi vegu rama rena amiye, ago niokuna amiye siko muyena gutuna dadi rae resi kono tora noibanu vene di kini di ourefeidena amiye.
REV.1.5	Ina yaku una uka mado ma ini dava dudu uni vegu no erufusi
REV.1.6	ini Baba Sei naivo regi, ini ourefeidedo vene ma Sei ma amiye utari naivo vene kana una riyo. Ye ina rofu bi vabara ma vava iniye toga toga ameyaine! Rama.
REV.1.7	Ve kumo, ina bi seuyasa dego ma amiye tau vanu yaku imiyadi amiye vegedi. Mina kono tora di amiye tau noibanu ina dada isaka nigedi. Ye mina bi rama iniye!
REV.1.8	Varika amiye Sei yeiva iniye kaere amedo ma ameyo ma amego yaku niyo, “Na bi ouresi ma gabi mamo.”
REV.1.9	Na bi John yi dubuini, ma Sei di ourefeidena amena sana dada, toro rena dudu, duku risi Iesu dada vakoi toe baku reyafa, adina Iesu yaku ago rama moi negau riyo ma na yaku Sei di ago niogau reyaka dada, motumotu roka Patmos ri na aeyadi. 
REV.1.10	Varika amiye di medari, na bi Vimasa nivakegasa kibi kana goroka tora nai fufutari neideyaka. 
REV.1.11	Yomakai niyo, “Beika veisa bi bukari bura resi
REV.1.12	Kamini goroka yaku na ago nimagamo vegika kero regasa goro ramefa aena gugura 7 veyaka. 
REV.1.13	Ma ramefa aena gugura utari, bi Amiye di mida kana, yokoi varuka doba akugamo ma ini yukari neyo ma ini kokobari, bi goro berota yaku buru riyo.
REV.1.14	Ini ada iye bi feyo mamoe di ueta kana, feyo tayataya aisi kana, ma ini nemoko bi ita fairo kana.
REV.1.15	Ini yuka bi auri roka bronze ita vavari aeyo ma kama reyo kana, ma ini goroka bi aba tora makuna di kukuroka kana.
REV.1.16	Iya 7 ini vana ramari moiyo ma bainasi berou berou arikasa ini vena ma yakuyo. Ini ne uruma bi meda yaku kama resi vabara iniye nido kana. 
REV.1.17	Na yaku ina veyakari, muyena kana ini yuka adinari abouyaka. Ma ini vana rama na fafau aesi niyo: “Ori ga re! Na bi ouresi ma gabi.
REV.1.18	Na bi vegu ameida amiye kaere bi muyeyaka, idu gua na bi toga toga vegu ameida! Muyena vene di amena sana ma muyena di vava bi na yaku moi gira reida. 
REV.1.19	Mina dada beika gua amedo ma beika bi gabi vata nigo, mina beika veyo bi bura re. 
REV.1.20	Mina iya 7 nai vana rama rofu veyo ma goro ramefa di aena gugura 7 di sui ago di adina bi yomakai: iya 7 bi dubu 7 di naivo naivo vima, ma ramefa di aena gugura 7
REV.2.1	Ina ka na rofu niyo, “Ephesus ekalesia vene di naivo naivo vima
REV.2.1	“Mina bi ini vana ramari, iya 7 moi gira resi ramefa aena gugura goro 7 di utari nana dido amiye di sina. 
REV.2.2	Yi reremama, moimai rena ma toro dudu, are rei gira reyadi bi na na diba. Resi vegu no vene beika rededi bi na na diba ya ura de rededi, ye kaere iniye vo niyadi bi nifeidena vene idu bi de, ya yaku ina vene di uka maina resi veitao reyadi, ina bi ofa vene. 
REV.2.3	Ya kiya kiya dudu, yeiva moisi toe moi disi nai roka dada, esika esikari are rei gira reyadi, idu kosika de reyadi. 
REV.2.4	Idu nai uka esika ya rofu bi mini: ya ouresi mokena vari gira aeyadiri kana, gua ya bi uka mana fereyadi. 
REV.2.5	Mina dada, gokai maike yarei neyadi rofu mokesi yi vegu no feresi moi etagae risi beika siko reyadi kana, mina bi rebifa. Vegu no de feresi moi etagae rigedi vonisi, ya rofu desi yi ramefa ini amedo sanari moi yakugida. 
REV.2.6	Idu mina buni bi yasa mini: Nicolas di usi dina vene ini beika rededi rofu bi ya gubuyo rededi, na ka reida kana.
REV.2.7	“Kaere anema nufa amiye bi beika Vima kikifa yaku ekalesia vene rofu nido bi neideyaine!
REV.2.7	“Ebu redo amiye rofu toga toga ameibobina vegu mana yabo di meko irigi di vava magida. Mina bi Sei di ada rena sanari amedo.
REV.2.8	“Symrna ekalesia vene di naivo naivo vima rofu bura re:
REV.2.8	“Mina bi kaere bi ouresi ma gabi, ka bi muyesi dadisi vegu niyo amiye di sina. 
REV.2.9	Yi toe ma yi baku baku bi de iniye mina na na diba—idu rama ya bi gugura tau nufa vene! Kaere ya nifafana rededi vene na na diba. Ina vene bi Jew vene vo nidedi, idu bi de; bi Satani di usa usa yava vene! 
REV.2.10	Beika baika dada esika esika moigi rofu bi ori ga refa. Neidefa, yi uka maina regika Bodaka yaku ya bedakai dibura yavari ya aego ma meda 10 ri toe moigedi. Gokai muyena tumu nigo, idu na rofu are rei gira re ma na yaku vegu ameibobina di obini ya magida.
REV.2.11	“Kaere anema nufa amiye bi beika Vima kikifa yaku ekalesia vene rofu nido bi neideyaine!
REV.2.11	“Ebu redo amiye bi muyena remanu ere di esika baku de rego.
REV.2.12	“Pergamum ekalesia vene di naivo naivo vima rofu bura re:
REV.2.12	“Mina bi kaere bi bainasi berou berou arika remanu nufa amiye di sina. 
REV.2.13	Yi amededi sana na diba; Satani di ourefeidena amena fata bi mironari. Idu nai roka dada yi vegu buniri are rei gira rededi, ye vegu rama resi ninegau rena amiye Antipas di medari, yi mokena vari gira na rofu aena de youfeideyo. Ina bi yi utari muyeyo; Satani ini amedo sanari mironi. 
REV.2.14	Idu nai uka esika yi beika baika no bedakairi ya rofu bi mini: yi utari amiye bedakai yaku Balaam di oteimana ago kana moi gira ridedi, kaere yaku Balak oteimaro bi Israel di tutubena vene futu reyaine, ye ofa sei mana iruku irisi koa reyagane.
REV.2.15	Mina makai ka bi kaere Nicolas di usi dina vene di ofa oteimana ago
REV.2.16	Mina dada vegu no feresi moi etagae rifa; de vonisi, bi doba deri ya rofu desi nai vena di bainasi dudu, ina vene rofu ruda regida.
REV.2.17	“Kaere anema nufa amiye bi beika Vima kikifa yaku ekalesia vene rofu nido bi neideyaine!
REV.2.17	“Ebu redo amiye rofu sui nina 
REV.2.18	“Thyatira ekalesia vene di naivo naivo vima rofu bura re:
REV.2.18	“Mina bi Sei di mida di sina, kaere ini nemoko bi ita fairo kana ma ini yuka bi auri roka bronze ita vavari aeyo kana. 
REV.2.19	Na na diba yi reremama, uka mana, mokena vari gira aena, naivo rena ma toro dudu are rei gira rena, ye beika gua rededi, bi sena ouresi moimai regamadi mina ebu redo. 
REV.2.20	Idu nai uka esika ya rofu bi mini: mirona
REV.2.21	Ye ini koa rena vegu no feresi moi etagae rigi meda be maraka, idu ura de redo. 
REV.2.22	Ye na yaku gauka tora magida, ye inasa koa rededi vene ka mina rema di reremama ini vegu no de feresi moi etagae rigedi vonisi, bi esika tora iniye magida. 
REV.2.23	Na ka ini usi dina vene mida mida kana umuyegida. Ye ekalesia vene tau gade diba nigedi na bi amiye di mokena ma uka meko ideri, maina resi yi reremama dada, ya yokoi yokoi yi obini ya magida.
REV.2.24	“Idu Thyatira ekalesia vene bouna ya rofu nida, ya kaere mina oteimana ago moi gira de ridedi, ma bedakai nidedi kana ‘Satani di sui nina ago’ toto: na toe yokoi ya fafau de aegida. 
REV.2.25	Idu ya beika nufa moi gira rifa na degida mamo. 
REV.2.26	Ye kaere ebu redo bi metonari, nai reremama usi dego ma gagani gagani vene fafau vava magida. 
REV.2.27	Mina amiye bi auri dudu, nari rego kono dudu riyo urena kana uratokugika, 
REV.2.28	mina bi nai Baba gutuna vava moiyaka kana. Na yaku ka uriyaku Magai magida.
REV.2.29	“Kaere anema nufa amiye bi beika Vima kikifa yaku ekalesia vene rofu nido bi neideyaine!
REV.3.1	“Sardis ekalesia vene di naivo naivo vima rofu bura re:
REV.3.1	“Mina bi Sei di vima 7 ma iya 7 moi gira redo amiye di sina. Yi reremama rededi na na diba; vegu amededi vo niyadi, idu rama ya bi muyeyadi! 
REV.3.2	Dadisi yi beika reyadi negau amedo bi muyena koderi mina egira refa, adina nai Sei di nemokori, yi reremama rei vau de reyadi ma na yaku veyaka. 
REV.3.3	Mina dada beika ago neidesi moiyadi, mina mokesi moi gira risi vegu no feresi moi etagae rifa. Ye dadina de rego vonisi, bi duma duma amiye kana, ya rofu degida ma nai dena meda nemoko toto.
REV.3.4	Idu ya Sardis vene fogori, amiye tau de bi ini varuka moi kino de riyadi, ye varuka feyo dudu nasa nana regedi, adina makai bi buni. 
REV.3.5	Mina makai, ebu redo amiye varuka feyo akugo ma vegu di bukari toga toga ini roka de uroro regida, idu nai Baba ma ini naivo naivo vima di nemokori, ini roka niogau regida.
REV.3.6	“Kaere anema nufa amiye bi beika Vima kikifa yaku ekalesia vene rofu nido bi neideyaine!
REV.3.7	“Philadelphia ekalesia vene di naivo naivo vima rofu bura re:
REV.3.7	“Mina bi kikifa ma rama amiye, kaere bi David di ida vena ki nufa amiye, ekeyo ye amiye yokoi biri de rigo, ma biri riyo, ye yokoi eboka de rego, mina amiye di sina. 
REV.3.8	Yi reremama na na diba. Ve kumo yi budari ida vena ekeyaka ma amiye yokoi biri rigi anua rego, yi yeiva keika nufa, nai ago moi gira risi nai roka moi sui de riyo dada. 
REV.3.9	Neide, Satani di usa usa yava vene, kaere bi ofa dudu Jew vene vo nidedi idu bi de, yi yukari moi digida, ini efuka meimisi ya rofu uka maraka diba nisi niyaganedi.
REV.3.10	Mina kono tora noibanuri amededi vene ini uka maina regi esika esika baku regedi meda nemoko baegori, ya moi vegu rigida, adina nai toro rena are rei gira rena ago moi gira riyo. 
REV.3.11	Na di negi reida; ya beika nufa moi gira rifa, ye amiye yokoi yi obini ga moiyaine. 
REV.3.12	Nai Sei di ini nivakena yava ideri, ebu redo amiye gado kana rigo, ye dudusa de yakugo ma nai Sei di roka ma nai Sei di taoni di roka ina fafau bura regida. Mina taoni bi Jerusalem ruaka omari nai Sei ma nai roka ruaka gutuna dego.
REV.3.13	“Kaere anema nufa amiye bi beika Vima kikifa yaku ekalesia vene rofu nido bi neideyaine!
REV.3.14	“Laodicea ekalesia vene di naivo naivo vima rofu bura re:
REV.3.14	“Mina bi Ago rama, vegu rama resi ninegau redo amiye rama ma Sei yaku beika baika tau gade riyo, di ourefeidena amiye di sina. 
REV.3.15	Yi reremama na na diba; ya bi diya itu ba vava. Na ura reida ya bi itu o vava! 
REV.3.16	Nai venari ya ayaka su regida, ya bi oka koru, ye diya vava ba itu dada! 
REV.3.17	Adina nisa, ‘Na gugura tau gade nufa ma nai baku baku bi buni, beika yokoi de maina reida.’ Idu rama iniye, ya ya toto ya bi no iniye iniye, irava amiye, iriyeduka nufa, ne taufa ma faisara ameisa amiye. 
REV.3.18	Itari goro orisi veika reyadi ya yaku na rofu voi reyagane, di ago ya nimaida, ye gugura tau gade nufa niyaganedi. Varuka feyo ka ya kaya akugi voi reyaganedi, ye yi faisara maena de vegedi. Yi nemoko di muramura ka voi refa, aesi vegedi dada. 
REV.3.19	Ura reida amiye tau emasi (ini vegu moi rorobo risi) buburu vai reida; mina dada yeiva moisi vegu no feresi moi etagae ri.
REV.3.20	Neide, na yaku ida venari are resi feki feki reida. Amiye yokoi nai goroka neidesi ida vena biri eboka rego vonisi, rama ini ideri dui resi inasa vakoi iri-iri regida ma ina ka nasa makai rego. 
REV.3.21	Ebu redo amiye nai ourefeidena amena fata odorori nasa amegi di vava magida, na ka ebu resi nai Baba di ourefeidena amena fata odorori inasa ameyaka kana.
REV.3.22	“Kaere anema nufa amiye bi beika Vima yaku ekalesia vene rofu nido bi neideyaine!”
REV.4.1	Mina usi, omari ida vena eboka reyo ma veyaka. Vesi ouresi goroka neideyaka, bi kibi kana na rofu ago nigasa niyo, “Yominari bae, beika mina usi gabi vata nigedi ya nioteimagida.” 
REV.4.2	Minari maka Vima na ourefeidegi na fafau deyo. Ye omari bi ourefeidena amena fata ma amiye yokoi odoro ameinu reyo ma veyaka.
REV.4.3	Ye mina ameyo amiye di ne uruma bi fore buni roka 
REV.4.4	Ma ourefeidena amena fata 24 mina ourefeidena amena fata yokoi buru riyo. Amiye tora 24 mina odorori ameinu regasa varuka feyo akugamadi, ma ini ada odorori bi kini kana ada bou goro. 
REV.4.5	Kamini mina ourefeidena amena fata yokoi gutuna ayena ma ofu kukuroka yakugamadi ma ini budari ita keroko 7 origamadi; mina bi Sei di vima 7.
REV.4.6	Ourefeidena amena fata di budari ka bi garasi davara kana, neva dabu dabu ma garasi rama guta kana.
REV.4.6	Ye vegu amededi vibani 4 ourefeidena amena fata di berou berou eta rofu are resi buru riyadi; ini nemoko tau ini budari kana ka ini fufutari. 
REV.4.7	Ouresi vegu amedo vibani bi lion kana, ma usi bi boromakau mida kana, ma regode ere di ne uruma bi amiye kana, ma 4 ere bi fururu redo dumo kana. 
REV.4.8	Mina vegu amededi vibani 4, ina yokoi yokoi ini eta 6 ma ini ideri ma ini etofarori nemoko tau bou riyadi. Ariri ma urusari toga toga nigi ferena de regamadi:
REV.4.8	“Varika amiye Sei yeiva iniye bi kikifa iniye iniye,
REV.4.8	kaere amedo ma ameyo ma amego.”
REV.4.9	Kamini vegu amededi vene ourefeidena amena fata ameinu regamo amiye, kaere bi toga toga amedo, ina rofu vabara, kikifa rena ma buni tora gade magamadiri, 
REV.4.10	mina tora vene 24 ourefeidena amena sana ameinu regamo amiye, kaere toga toga amedo di budari nivakesi ini kini kana, ada bou ourefeidena amena sana di budari aegasa nigamadi:
REV.4.11	“Uni Varika amiye ma Sei, ya bi buni iniye
REV.4.11	vabara, kikifa rena ma vava moigika,
REV.4.11	adina beika baika tau gade risi
REV.4.11	ina rigi nirorotari resi vegu ameibobiyaganedi ura reyo.”
REV.5.1	Kamini ourefeidena amena fata ameinu regamo amiye di vana rama rofu firo riyo buka veyaka; ini aveta berou berouri, bura resi vava bura kake rina sogona 7 dudu biri riyo.
REV.5.2	Resi naivo naivo vima yeiva veyaka bi goroka tora dudu nirausi regamo, “Kaere amiye bi buni ina yaku mina vava bura kake rina sogona okusi mina buka eke feidego?” 
REV.5.3	Idu omari, konori o kono gabireri
REV.5.4	Na isaka isaka niyaka, amiye buni yokoi de baku reyadi, kaere yaku mina buka eboka regi o ini ideri vegi dada. 
REV.5.5	Ma amiye tora yokoi yaku na rofu niyo, “Isaka ga nisi ve kumo, Judah rubu vene di Lion, David di tutubena amiye, ina yaku Satani ebu reyo, ye mina buka di kake riyo sogona 7 okusi buka eboka rego.”
