GEN.1.1	Ma mwena handru badeh Kindrei mwesekei munyak ma kandrah. 
TIT.3.6	Eme jo katiye kaleu ki tado ta sahou jo asehek dah: Kindrei badeh, tiye Jises Krais, ndramak ta akohok to ado bolo kandriyen ta karei ma lomondra ndra-in ame hamon, ma suni Malawin Ndrabun eme la-u to. Eme ta katin doh, Kindrei le mesekei Malawin Ndrabun tan amekes lahou boto-on udu bolo to. 
TIT.3.7	Ya eme, to badeh, kamekes budon ta to kirih ma kabadok, ta bolo manyah tato udu le buku doh hawe Kindrei. Ki buku none ari nah abe-en lakou mwasin badu mine taman. Tasah, na kandriyen ta tikisiy tan le badeh, mesekei to ado mwasin labai ta madan.
TIT.3.8	Eme sahou, jo tiye tam dah badeh, handru. Ou ales ya asehek sahou boto-on ki toro lau ala ndratehei budon toro handru ndra ta Kindrei badeh. Eme ma oro katehei budon toro ki ta amekes kandriyen mwasin. Eme ya leheya dah badeh, mwasin labai ta aseben lau mari.
TIT.3.9	Arile, ou badeh, teleya ou ta tebelese ta sahou laleyah ta sare iri Juwis. Ya, i buku none iri kandres ou ta kandriyen malen tiri Juwis, ou sala ta aliy. Tasah, iri sahou doh, ari moson ta aliy bwe, ma ba-en badan bwe. 
TIT.3.10	I buku none are lau leheya tanan randrah labai bamwenen ta leheya handru bwe, ya aliu budon tiri lau iu i len, ou abarah iy kandru-uk ta leheya doh. Ya, i buku none iy amekes le kili badeh, ou abarah iy san rasan ja. Ya, i buku none iy banuhun bwe le, ou teleya iy. 
TIT.3.11	Tasah, ou badeh, ndratanam ai, ndramak i buku doh ndratubuni konan ndra ta leheya handru. Ma iy amekes lakou ndra ndra-in le. Buku iy tanan lakou doh bamwenen bwe, arile iy amekes le ili, ma iy le kameh amekes iy udu bolo sahou ta Kindrei.
TIT.3.12	Jo kameh tiye ari turu lau ma la-uh doh awek akohok kon tam, Atemas deh Titikus kameh ewek hawem. Ya, i buku none ari turu asahan le badeh, jo aseken ou ame hawek ame kon tinan Nikopolis. Katin ta jo anya ou ame badeh, i buku doh: Tasah, jo ndratehei budon tek ta ili udu doh, na len ta jor ma ur. 
TIT.3.13	Ya, i buku none ndramak ta tanan labai ta batanau nyaran Senas ma hawe Apolos, uru anya kado Krit ka-au badeh, ou aseben uru ta lakou mari uru aseken, ta aseben uru ta bolo tekedek turu. 
TIT.3.14	Ma laba tinan ta aliy badeh, iri lau tataha ta Kindrei badu hawe to katanan ta kandriyen mwasin ta aseben ta lakou i buku none iri ado ndra-in ta bolo manyah tiri. Oro ka-en hamon ta kandriyen doh, ya oro samanyah laleyah.
TIT.3.15	Oro are lau ado hawek kada-ah tiye sahou sekesek toro ewek tam. Ma ou badeh, tiye sahou sekesek tek ki toro lau mari aseken aso ado Krit badeh. Ma oro atehei budon handru toro i le buku taso are kada-ah. Ya salom tek i ta Laban Jises Krais ta iy badeh, katehei tikisiy tan ki tado mari ado badeh.
PHM.1.1	Pilemon, jo Pol, jo atorou la-ukei ramen dah ewek tam. Ou badeh, kawas taso mwasin ma to amekes gok randra le. Jo badeh, udu bolo asiu lulik kada-ah, tasah jo atiye sahou mwasin ta Krais Jises ili tiri mwan ma badih. Timoti badeh, i buku nadu tine to, iy udu hawek kada-ah ale, 
PHM.1.2	ma jo atorou la-ukei dah ewek tam, ma hawe buru-u to badih ari nyaran Apiya, ma hawe ndramak ari ta bahun tato nyaran Apikus, iy ta amekes lahou ta Krais i buku le to amekes. Ma ewek toro lau ta Kindrei ale atukum awek asiu tam ta atudun Laban. 
PHM.1.3	Jo anya kasolom kili ta tama taha Kindrei, ma hawe Laban tataha Jises Krais, ta mondrei ma tikisiy turu mwasin kudu hawe aha na bolo len mari.
PHM.1.4	Len marakon jo asolom ili ta Kindrei tek, jo badeh, abudon ou ma aloh nyaram ta adeu wurah i ta Kindrei. 
PHM.1.5	Tasah, jo anuhun iri lau rayah ta Kindrei asehek ou i buku doh, ou badeh, ndratehei ndrinem ndrala ta Laban Jises, ma ou ndratehei budon tam handru ndrala tan. Ma ou ale badeh, aso-ok iri lau mwan ma badih ta Kindrei tinan labai. 
PHM.1.6	Eme ma jo asolom ili ta Kindrei i buku doh: Udu bolo len ou tiye budon tam ma asehek ta lau rayah ta aliy, ma idoh kameh winiyan atehei tanan mwasin ewek tam, ma ou ale kameh winiyan atanam handru ta lakou mara-ei mwasin, taha marakon nane akohok badu mine Krais.
PHM.1.7	Ya, nadu tine, ou badeh, aso-ok labai iri mwan ma badih ta Kindrei, ta kandriyen ou amekes doh badeh, bwidi ndrine iri abadok. Eme ma jo sekesek tinan labai tiri kandriyen ou amekes, ma bwidi ndrinek amunum, udu le udu.
PHM.1.8	Jo abudon boto-on labai i tiri lakou nane, ou amekes i tiri, eme ma, iri budon doh udu tek. Jo aso-ok ou bwidi lakou tek ari. Ou badeh, nadu tinek handru i san ta Krais, ma jo winiyan asehek sahou boto-on ewek tam, ta ou a-en hamon ta bohok. 
PHM.1.9	Arile bwai, jo bwalek amekes i buku doh. Tasah, kandriyen ta tikisiy badeh, turuki talu ma la-uh. Eme ma jo asehek amunum le ewek tam. Jo Pol, jo kawas tam handru, ma jo badeh, udu ndra bolo asiu lulik kada-ah kahis, tasah katin ta jo atiye sahou mwasin ta Krais Jises. 
PHM.1.10	Eme ma, jo anya kasehek tam ki buku doh: Jo aso-ok ou tikisi Onesimus. Iy badeh, i buku naduk ari handru. Iy asahan naduk badeh, i buku doh: Jo udu bolo asiu lulik, jo leheya iy ta budon handru ta Kindrei. Ta idoh le, iy asahan naduk handru. 
PHM.1.11	Bwena mene iy bamekes ari gok mwasin ta aseben ou bwe. Arile na dah ja, iy ndrasahan mwasin labai, ta aseben talu ma la-uh. 
PHM.1.12	Ya, eme jo kameh suni iy ewek hamon ewek hawem ja, ma hawe ndrinek kameh udu hawen ewek. 
PHM.1.13	Jo mene amekes gok ta atiye sahou mwasin, ma iri atehei jo ili bolo asiu lulik. Eme ma, jo bwetenei kandriyen mwasin ta Onesimus ja amekes udu bolo asiu lulik hawek, ya jo abudon ta iy kudu hawek kudu gwek, ma iy i nyara ou winiyan aseben jo udu dah. 
PHM.1.14	Arile, jo bamekes bala buku doh bwe. Jo badeh, bwalek ta amekes ari lakou i tan, buku ou baso-ok ta aliy bwe. Eme ma, jo bwalek ta indrek iy. Jo kameh suni iy ewek hawem. Jo bwalek ta indrek ou boto-on labai ta ruwani iy kudu hawek dah ta aseben jo bwe. Jo aso-ok ou amekes kandriyen doh, na budon ma tanan tam amwenen.
PHM.1.15	Sebwe katin ta Onesimus mene ruwani ou luluwen sese badeh, ta ou kameh winiyan andrei iy ewek hamon ja, ma iy kameh winiyan udu hawem luluwen labai. 
PHM.1.16	Arile, nadah kameh iy winiyan bado hawem ma asahan buku bonyo-ou ja bwai. Iy badeh, ndrasakalawi kandriyen doh. Ya, jo abudon iy nadu tinek handru, jo ma hawe ndrinek aso-ok iy tinan labai. Ya, ou winiyan abudon iy i buku bonyo-ou tam ma nadu tinem i san ta Laban ale, ma ndrinem mara-ei kaso-ok iy labai, i buku le jo mene aso-ok iy handru. 
PHM.1.17	Ya, i buku ou abudon jo kawas tam handru ta lahou ta Krais, ou andrei Onesimus kewek hamon, ma ou amekes mwasin ki tan, buku le jo mene ewek hawem, ma ou amekes eme tek. 
PHM.1.18	Ma ale, buku ndra mwena ndra-au, iy ndramesekei madam ndrandra-i, ta lakou tam iy andrei, ma iy batehei saluwen bawek hamon bwe, mwasin ta ou atehei lakou badeh, keme la-uk. 
PHM.1.19	Jo Pol, jo atorou la-ukei dah na le minek amwenen. Ou anuhun! Jo le amwenen kameh atehei bundruwe iri lakou tan ili hamon. Handru, tasah bundruwe lakou tek udu hawem badeh, i buku doh: Idoh badeh, koham le amwenen, tasah jo aseben ou asahan lau ta Kindrei. 
PHM.1.20	Ya, idoh handru. Eme ma ta nyara Laban, jo aseken ou amekes lakou badeh, keme tek. Talu ma la-uh ndrasahan lau ta Krais, ya ta kandriyen le doh, ou bwidi ndrinek sekesek labai.
PHM.1.21	Jo atehei budon tek boto-on handru, ta ou kameh a-en hamon ta sahou tek. Eme ma jo atorou la-ukei dah ewek tam. Ma jo ale ndratanan kandriyen ou amekes kameh udu bwele-en labai ja ta kandriyen nane jo ndratiye tam ta amekes, ma kameh asahan mwasin labai mara-ei. 
PHM.1.22	Ya, sahou tek randra ja. Jo atehei budon tek handru in ta Kindrei, iy kameh winiyan anuhun salom tado, ma jo kameh ano ta asiu lulik, ma jo ewek asahan hawe ado ja. Eme ma, jo aso-ok ou lowosaniy sese bosoh badu bolo asiu tam, ta jo winiyan manyah udu hawem.
PHM.1.23	Ya, Epapras badeh, udu bolo kou hawek kada-ah ale. Iy anya, bada-an tan mwasin ewek tam. Ya, aru ma la-uh ado bolo asiu lulik kada-ah badeh, ta atiye sahou mwasin ta Krais Jises. 
PHM.1.24	Ma hawe oro lau ta amekes lahou hawek ale, buku Mak, Aristakus, Demas hawe Luk, oro badeh, anya bada-an toro mwasin ewek tam ale.
PHM.1.25	Jo aso-ok tikisiy ma sekesek ta Laban Jises Krais badeh, kudu hawe malawi ado mari.
HEB.1.1	Bwena mene Kindrei asehek sahou ili ta tubu taha iri san solo-an, ma i san solo-an labai ili tiri propet. 
HEB.1.2	Arile udu bolo len tataha hamon kada-ah, Kindrei asehek sahou eme tataha i san ta nadun ari le mwan. Kindrei leheyani nadun doh ta akohok iri lakou marakon. Na nadun le, iy bwidi lakou marakon asahan. 
HEB.1.3	Nadun doh leheyani lomada sun tinan ta taman Kindrei, ma lomadan tinan labai eme tataha, ma konen mara-ei i buku le Kindrei amwenen. Sahou tan nyamun labai, ma tawi iri lakou marakon udu munyak ma kandrah. Iy ndrabwidi gok tan ndrano ta talou iri mwan ma badih ado ta kandriyen ndra-in, ame ta kandriyen mwasin. Ano iy ili manyah udu kandrah mine Kindrei salin, iy boto-on labai. 
HEB.1.4	Iy udu bwele-en ja tiri angelo, i buku le Kindrei tondrohon nyaran udu bwele-en labai ja ta nyara iri.
HEB.1.5	Bwena mene Kindrei tiye i ta nadun i buku doh,
HEB.1.5	“Ou naduk handru,
HEB.1.5	Na dah jo ndrasahan tamam kabwe.” 
HEB.1.5	Kindrei basehek bala toro angelo tan bala buku doh bwe.
HEB.1.5	Arile iy asehek nadun:
HEB.1.5	“Jo kameh tamam, ma ou kameh naduk.” 
HEB.1.6	Na len Kindrei anya katiye nadun ari le keme andri kon munyak, iy eme asehek:
HEB.1.6	“Iri angelo ta Kindrei katehei bwili ndru-u iri ki andri kili tan.” 
HEB.1.7	Iri angelo tan badeh, iy batehei budon tan mara-ei bala tiri bwe, i buku le buk ndrabun ndrasehek:
HEB.1.7	“Kindrei bwidi iri angelo tan asahan i buku siyer laleyah, ma iri lau ta amekes lahou tan anya i buku jih nyarahan labai.” 
HEB.1.8	Arile iy asehek ta nadun:
HEB.1.8	“Tondrok tam, O Kindrei, ta udu le buku doh, winiyan bandra-i bwe!
HEB.1.8	Ou tondrokei iri lau tam kado le tiri kandriyen mwasin.
HEB.1.9	Ou aso-ok kandriyen mwasin tinan labai, ou bwalem iri kandriyen ndra-in.
HEB.1.9	Eme ma Kindrei tam amwenen ndranyahani ou ndrala loken labai, bwele-e oro lau tam mwasin.
HEB.1.9	Ma iy mene solowei ndrelekei ta sekesek ndrawek bwele-em.” 
HEB.1.10	Iy asehek ta nadun ale:
HEB.1.10	“O Laban, ndra bwena mene ou bwidi kon munyak, ma, na minem amwenen ou bwidi kandrah ja.
HEB.1.11	Uru ma la-uh kameh amai laleyah. Arile, ou le ari kameh are le buku doh. Uru ma la-uh kameh i buku ra-ei kolau ili malen, ano atarah.
HEB.1.12	Ou kameh lukumwi uru i buku ou alokom kolau malen, ano ou atehei kolau ha-un ili turu, ma uru asahan randrah ja. Arile ou kameh areu le buku doh, ma jaha tam kameh udu luluwen labai.” 
HEB.1.13	Kindrei winiyan basehek bala ta ari angelo tan bwe:
HEB.1.13	“Ou ame manyah ado loboho minek salin, winiya jo le baratehei iri lau ta amekes budon ndra-in i tam barado bahandra katim.” 
HEB.1.13	Kindrei asehek sahou doh ili ta nadun amwenen.
HEB.1.14	Iri angelo badeh, malawi iri le, iri ta amekes gok ta Kindrei. Kindrei tiye iri ala ta aseben lau, ta akohok iri kame hamon ja.
HEB.2.1	Taha badeh, kanuhun kamwenen labai kili ta sahou handru, taha nane ndranuhun, ma taha samani sahou batanau doh labai. 
HEB.2.2	Bwena mene Kindrei edeu sahou i ta tubu taha iri, eme boho iri angelo. Sahou batanau eme asahan handru ta lau ka-en hamon ta aliy. Are lau iy ba-en hamon ta aliy, o, banuhun bwe, iy kameh akohok maha-an ta kandriyen nane iy amekes. 
HEB.2.3	Buku taha teleya lakou laba tinan ta akohok taha, taha katobwak barala buku sah handru? Laban ndrasehek nyala seben doh ma bwena ndrame tataha, eme iri lau nane anuhun sahou tan, ame asehek tataha ja, “Sahou doh ndra handru le.” 
HEB.2.4	Kindrei ale eme leheya sahou tan badeh, boto-on na san ta amekes iri kalem ma iri lahou tinan. Ma iy ale andromwei ndramas ta Malawin Ndrabun ili tiri lau na le budon tan.
HEB.2.5	Taha kasehek ma katehei budon tataha kili ta munyak ha-un, Kindrei kameh amekes hamon. Iy batehei bala bahandra iri angelo tan bwe. 
HEB.2.6	Arile taha ndratanan, iy kameh atehei taha mwan ma badih ta atondrok lakou marakon doh. In bolo buk ndrabun ndramak ari ndratiye:
HEB.2.6	“Ahi saba lakou tam handru, ou atehei budon tam tinan labai eme tahi?
HEB.2.6	Ya, nadu ahi saba lakou, eme ou atondrok iri ja?
HEB.2.7	Kindrei, ou bwidi ahi, ma ou atehei nyara ahi udu bahandra nyara iri angelo tam ta luluwen bwe.
HEB.2.7	Arile na dah, ou ndramasiye ahi, ma tutuni ahi ala are bahandra lomada nyaram.
HEB.2.8	Ou atehei ahi are bwele-e iri lakou marakon ou ndrabwidiy. Ano ja ou atehei iri lakou marakon eme bahandra tondrok tahi.” 
HEB.2.8	Udu bolo iri sahou doh, Kindrei tiye, taha mwan ma badih katondrok iri lakou marakon doh. Taha ndratanan, iy asehek nyala iri lakou marakon nane doh ndrame bahandra tondrok tataha, eme ma ari lakou winiyan bare laleyah bwe. Arile, na len dah, taha banyolom ari tataha amwenen batondrok iri lakou marakon doh bwe. 
HEB.2.9	Arile taha ndranyolom Jises, iy akohok boto-on tan. Bwena mene iy udu bahandra tondrok tiri angelo luluwen bwe, iy imek ta akohok kon ta lau marakon, ma tikisiy ta Kindrei kameh winiyan sebenei iri lau marakon. Jises bwese maha-an tataha tinan labai ma iy imek. Arile na dah, Kindrei ndrasuruni iy, ma ndratehei lomadan nyaran ndra tinan labai udu bwele-e iri lakou marakon.
HEB.2.10	Kindrei badeh, iy kati iri lakou marakon, tasah iy bwidi iri lakou marakon. Ma iy aso-ok ta akohok nadun iri kala hawen kakohok lomadan mwasin. Eme iy atehei budon in ta nadun ta kamekes iri gok ta akohok iri lau mwan ma badih kame hamon ja, iy eme atehei Jises eme akohok sisi-in tinan labai. Ta sisi-in doh le, ma iy atehei Jises udu bwena ta aseben iri lau mwan ma badih. Kindrei amekes iri kandriyen marakon doh amwenen le ai. 
HEB.2.11	Taha tanan, Jises amekes iri lau mwan ma badih asahan lau ta Kindrei, ma iri lau nane iy ndrabwidi, iri a ndrabun. Iri marakon doh badeh, tama oro ari le, ma Jises eme aloh oro, nadu tinen, ma bwilin bama ta aloh oro bwe.
HEB.2.12	Taha ndratanan, iri sahou doh handru, tasah buk ndrabun mene ndrasehek:
HEB.2.12	“Jo kameh tiye ta nadu tine oro ta lakou ou ndrabwidiy, jo kameh iyah wari ta atudun nyaram udu bolo tukum toro.” 
HEB.2.13	Eme iy tiye ja:
HEB.2.13	“Jo kameh atehei budon tek in ta kindrei.” 
HEB.2.13	Iy asehek i buku doh ale:
HEB.2.13	“Idah jo hawe oro nah nane Kindrei atehei oro ndrame tek.” 
HEB.2.14	Oro nah nane Jises asehek doh, oro lau mwan ma badih. Eme Jises asahan ndramak awas ma konen i buku le oro, iy kameh winiyan imek, ma iri kandriyen doh kameh winiyan sulumwi boto-on ta balik nane, amekes iri lau amak. 
HEB.2.15	Iri mwan ma badih, iri nane anoh ta amak. Na len marakon iri ado kon munyak, nohonoh tiri doh ta amekes iri, buku iri ado bolo kowah lulik ta balik. Arile Jises imek ta talou iri ado bolo kowah lulik ame len.
HEB.2.16	Handru labai, Jises mene bamekes gok doh ta aseben iri angelo bwe, iy amekes gok doh ta aseben lundriye Abraham iri. 
HEB.2.17	Kindrei ndrabwidi iy ndrasahan i buku le nadu tinen oro amwenen, ta iy kameh asahan tinan tiri pris toro. Iy asahan tinan tiri pris ta tikisi oro, ma iy in hamon tiri sahou marakon ta Kindrei ma iy amekes gok tan. Gok doh, ta akunoh ma ta mani kandriyen ndra-in ta lau marakon ano. 
HEB.2.18	Iri lakou marakon doh ndrasahan tan, iy le ari eme badeh, akohok sisi-in ta aliy. Eme badeh, ma iy winiyan sebenei iri lau marakon, i buku lakou ndra-in anya kawendreya iri.
HEB.3.1	Ado nadu tine i san ta Jises, Kindrei udu kandrah kodo-oh iy aloh ado ale. Ado kabudon kamwenen kili le ta Jises, Kindrei tiye iy eme ta asahan aposel ma tinan tiri pris. Taha ale atehei budon in tan, ma asehek nyaran ili ta lau marakon. 
HEB.3.2	Kindrei ndratehei gok doh ndrala tan, ma iy in hamon ta sahou handru ta Kindrei ta iri kandriyen i buku le ta Moses bwena mene amekes udu asiu ta Kindrei. 
HEB.3.3	Moses batah asiu doh bwe, iy amwenen i buku asiu doh. Arile to atudun nyara ndramak ta atah asiu badeh, udu bwele-en labai ta asiu le amwenen. Eme ma Kindrei atehei nyara Jises i tinan labai ja ta nyara Moses. 
HEB.3.4	Iri asiu marakon kede-eh lau atah. Arile Kindrei le ari bwidi iri lakou marakon. 
HEB.3.5	Moses badeh, buku ndramak ta amekes lahou ta Kindrei, iy in hamon handru ta sahou ta Kindrei, ma iy amekes gok in asiu tan. Gok tan ta tiye iri lakou Kindrei asehek ta aliy kameh asahan hamon. 
HEB.3.6	Arile Krais, iy Nadu Kindrei mwasin labai. Iy atondrok asiu ta Kindrei mara-ei. Taha mari badeh, asiu ta Kindrei, buku taha sanoh ta atehei budon tataha boto-on in tan, ma taha sawoyah ta atondrok iy. Badeh, taha lau tan handru.
HEB.3.7	Malawin Ndrabun asehek boho Kindrei i buku doh:
HEB.3.7	“Buku aha anuhun bohok na dah, 
HEB.3.8	aha satunuhun ja ai. Aha sala buku tubu aha iri Isra-el mene tebelese hawek, udu bolo len bwena jo none iri udu kon lomale an.
HEB.3.9	Iri ndranyolom boto-on handru ta gok marakon jo amekes udu bolo jaha ma hanoh, arile iri tunuhun ma none jo ja.
HEB.3.10	Eme ma bwidi jo ibolosen tinan labai ili tiri lau nane doh, ma jo asehek tiri, ‘Aha ba-en hamon tek bwe. Ma len marakon aha bwale aha an hamon ta tanan tek mwasin.’
HEB.3.11	Eme ma ndrinek ibolosen ma jo tandrakan iri,
HEB.3.11	‘Aha winiyan bala bolo kon tek ta amunyau bwe.’ ” 
HEB.3.12	Aha nadu tine, aha katondrok aha kamwenen, kora-on nadu tine taha ari udu ndrokowa taha, budon ndra-in udu ndrinen, ma iy kamani budon tan mwasin, ma iy katubuni konan kili ta Kindrei, iy le ari kohan handru. 
HEB.3.13	Na len dah Kindrei aloh “Na dah” kahis le. Iy isan len eme tataha ta anuhun sahou tan. Eme ma ta len marakon, taha kadeu sahou mwasin kili ta nadu tine taha mwan ma badih, ta amekes budon tiri kabadok. Tasah, kora-on taha ari ka-en hamon ta kandriyen ndra-in ta wasai, ma tebelese hawe Kindrei. 
HEB.3.14	Ma bwena mene to atehei budon tato in ta Krais. Eme na dah, to katehei iri budon tato mari kihis handru kudu winiya le to baramak. Buku to amekes ili buku doh, idah kameh to akohok lomada Krais, ma to asahan kawas tan handru.
HEB.3.15	Buk ndrabun nane asehek:
HEB.3.15	“Buku aha anuhun bohok na dah, aha satunuhun bohok ja ai. Aha sala buku tubu aha iri bwena mene tebelese ma banuhun sahou tek bwe.” 
HEB.3.16	Lau heh bwena mene anuhun boho Kindrei, eme iri tebelese ma banuhun bohon bwe? Idoh iri lau mwan ma badih marakon mene Moses andrei iri are Ijip ame len. Iri le adeh amekes iri kandriyen doh. 
HEB.3.17	Kindrei ibolosen hawe lau heh mene udu bolo jaha ma hanoh (40)? Iy ibolosen ili tiri lau mwan ma badih marakon nane amekes kandriyen ndra-in are kon lomale an, ma iri amak. 
HEB.3.18	Kindrei mene tandrakan ta lau rayah winiyan bala bolo kon ta amunyau tan bwe. Ya, iy tandrakan lau heh handru? Iri le lau mwan ma badih marakon mene banuhun sahou tan bwe. 
HEB.3.19	Taha ndranyolom, iri mene bala bolo kon ta amunyau doh bwe. Tasah, iri batehei budon tiri mara-ei bala ta Kindrei bwe.
HEB.4.1	Tandrakan ta Kindrei ta atiye taha ala bolo kon ta amunyau udu aliy kahis. Eme ma taha kabudon kamwenen, kora-on Kindrei kanyolom ari tataha, iy winiyan bala bolo kon ta amunyau doh bwe. 
HEB.4.2	Taha ndranuhun iri sahou mwasin, i buku le bwena mene iri Isra-el anuhun. Iri anuhun, arile baseben iri bwe, tasah iri batehei budon tiri mara-ei bala ta sahou nane iri anuhun bwe.
HEB.4.3	Idah, are lau iri atehei budon tiri mara-ei ndrala ta Kindrei, idah kameh iri winiyan ala bolo kon tan ta amunyau. Idoh mene Kindrei abudon ta lakou nane doh ma iy asehek:
HEB.4.3	“Eme ndrinek ibolosen ma jo asehek, ‘Jo ndratandrakan loken handru, iri winiyan bala bolo kon tek ta amunyau doh bwe.’ ” 
HEB.4.3	Handru, Kindrei ndrabwidi gok tan ta amekes iri lakou marakon ndrano ndra bwena, arile iy tiye iri sahou doh, tasah iri lau batehei budon tiri bala tan bwe, eme ma iri winiyan bala bolo kon tan ta amunyau bwe. 
HEB.4.4	Udu bolo buk ndrabun asehek nyala len ma ndro taloh i buku doh:
HEB.4.4	“Udu bada len ma ndro taloh doh Kindrei amunyau, tasah iy ndrabwidi gok tan marakon ndrano.” 
HEB.4.5	Buku sahou le nane doh iy asehek ja:
HEB.4.5	“Iri winiyan bala bolo kon tek ta amunyau doh bwe.” 
HEB.4.6	Idoh ta leheya taha. Iri lau ma bwena mene anuhun sahou mwasin, arile iri bandrei amunyau doh bwe, tasah iri batehei budon tiri bala tan bwe. Arile, na dah, lau winiyan akohok amunyau doh kahis. 
HEB.4.7	Iri winiyan akohok, tasah Kindrei ndratehei len tan ari ja, ta taha mwan ma badih winiyan ala bolo amunyau tan. Kindrei luhi nyara len doh “Na dah” ja. Bwena mene Kindrei tiye iri Isra-el, eme ma Debit torowenei ili bolo buk ndrabun:
HEB.4.7	“Buku aha anuhun bohok na dah, aha satunuhun bohok ja ai.” 
HEB.4.8	Buku bwena mene Josuwa katehei amunyau kili tiri ta udu le buku doh, idah kameh Kindrei winiyan batiye ta ari len hamon ja bwe. 
HEB.4.9	Taha lau ta Kindrei ndratanan, len ta Kindrei ta amunyau udu kede-eh kahis. Amunyau doh i buku le Kindrei amunyau udu bada len ma ndro taloh.
HEB.4.10	Taha ndratanan, are lau anya ki bolo amunyau ta Kindrei, badeh, iy kamunyau ta gok tan amwenen o. Idoh i buku le Kindrei bwena mene amunyau ta gok tan. 
HEB.4.11	Taha kabadok ta akohok amunyau doh. Kora-on ari mwan o badih in hamon ta kandriyen ta tebelese boho Kindrei, i buku le iri Isra-el bwena mene amekes, ma iri taku.
HEB.4.12	Sahou ta Kindrei doh badeh, kohan udu aliy, iy amekes gok boto-on labai. Iy madan labai ja ta samen ari, madan la-uh iri aloh bainat. Sahou doh iy winiyan orowei ili bolo oda ndramak amai iu ili alih. Iy winiyan seleyani kohan uru malawin. Ma iy seleyani bolo ndruwin ma bolo bwisi bar ale. Iy ndraseleyani mwasin ma ndra-in tiri budon ma iri so-ok ta ndrine taha marakon ere le lewan. 
HEB.4.13	Iri lakou marakon Kindrei mesekei, ari winiyan bamai ta madan bwe. Iri lakou marakon ere le lewan, ma udu kon lewan labai ta madan. Ma iy le ari kameh winiyan anyolom iri kandriyen taha amekes, ma taha kanyowonya marakon ki tan.
HEB.4.14	Tinan tiri pris tataha badeh, in aliy. Nyaran Jises, iy Nadu Kindrei. Iy ndra-au ndrala kandrah hawen. Eme ma taha katawi iri budon marakon nane
HEB.4.14	taha ndrasehek ndrala tiri lau badeh, kihis mara-ei. 
HEB.4.15	Tasah, nyamu taha amwenen winiyan batisih iri kandriyen ndra-in iu bwe. Arile tinan tiri pris tataha amwenen doh, iy le ari winiyan tikisi taha. Tasah, iri maha-an asahan tataha, badeh, mene ndrasahan tan ta none iy ale. Arile iy bamekes ari kandriyen ndra-in bwe. 
HEB.4.16	Taha sanoh ta ala mirihik ta koyeu ta Kindrei, iy ndrinen mwasin ma iy ta tikisiy. Iy winiyan aseben taha, buku maha-an tataha tinan labai, ndrinen mwasin ma tikisiy tan kameh winiyan sebenei taha.
HEB.5.1	Kandriyen ta adeu ndramak asahan tinan tiri pris i buku doh: Kindrei le badeh, akohok ndramak badu ndrokowa iri lau, ma atehei iy ta aseben iri lau ta ndrokowa lau hawe Kindrei. Iy i saluwe iri lau mwan ma badih, ma iy edeu ndramas i ta Kindrei, ma edeu salom ta amekes kandriyen ndra-in tiri iu. 
HEB.5.2	Iy tanan, iy nyamun bwe, ma iy winiyan bamekes iri lakou solo-an bwe. Eme ma iy amekes amunum le ili tiri lau tana iri lakou bwe, ma ta iri lau ndramani san mwasin ta Kindrei. 
HEB.5.3	Ma iy ale ta amekes iri salom ta talou kandriyen ndra-in tan amwenen, ma hawe tiri lau mwan ma badih, tasah iy nyamun bwe, ma iy ta amekes kandriyen ndra-in ale.
HEB.5.4	Ndramak asahan tinan tiri pris, nyaran ndra tinan kabwe, ma ari ndramak winiyan bakohok gok doh na so-ok tan amwenen bwe. Kindrei kameh aloh iy bwena, ano iy barakohok gok nane doh, i buku le mwena mene Kindrei aloh Aron.
HEB.5.5	Ma Krais ale i buku aliy. Iy batudun nyaran ta asahan tinan tiri pris bwe. Kindrei le atehei iy ili aliy ta amekes iri gok doh. Kindrei eme tiye i tan:
HEB.5.5	“Ou naduk handru,
HEB.5.5	Na dah jo ndrasahan tamam kabwe.” 
HEB.5.6	Ndrado bolo buk ndrabun sese kede-eh Kindrei tiye i buku doh:
HEB.5.6	“Ou kameh asahan pris ta udu le buku doh, in hamon ta gok ta pris ari mene nyaran Melkisedek.” 
HEB.5.7	Len ta Jises mwena mene iy edek udu ndra kon munyak, iy amekes iri salom ma iy asolom ili ta Kindrei. Iy tanan idah kameh Kindrei winiyan aseben iy ta iy winiyan bamak bwe. Eme ma iy asolom ma eden boto-on labai ili tan. Iy anuhun ndrelen ta nadun, tasah iy atehei iy mara-ei iu ili andri labai. 
HEB.5.8	Jises badeh, Nadu Kindrei, arile iy bwese isi tinan labai. Ta san le doh, ma iy i tanan kandriyen handru ta in hamon ta sahou ta taman. 
HEB.5.9	Ma idoh bwidi iy asahan ndramak handru ta in hamon ta sahou ta Kindrei. Eme ma iy asahan kati kandriyen handru ta aseben ma ta akohok are lau iy in hamon ta sahou tan, ta iri kameh are le buku doh. 
HEB.5.10	Eme ma Kindrei atehei iy asahan tinan tiri pris, ma iy asehek i buku doh, “Ou kameh asahan tinan tiri pris in hamon ta gok ta pris ari mene nyaran Melkisedek.”
HEB.5.11	Sahou solo-an labai ta nyala lakou dah, arile boto-on labai ja ta leheya aha, tasah aha winiyan bakohok bolo sahou dah suwi bwe. 
