MAT.1.1	Abraham nu David, David nuo Jisu Khrista shühye lüsida; 
1PE.3.6	Sübi Sarah sheri Abraham jüzülü, pü cüpü a niepoo siziyo, neko süpü nu püko, neko mha kevethi keta sasü nethipü methita molize. 
1PE.3.7	Sübi ne minopuneko sheri uko zü mhase sülü hüte, thechu therho kha necemi neko tsüte, mhabü kethathio, mu kezü kerhü kalü thi kesa tilü, side ne kecho khapü chokha thimo ketola. 
1PE.3.8	Thelalü, neko metü lüpü thite, hunehu khrü, mu sazüjüra kekhrü khi kephimezhe te, mi meso nyüsa te, merhe medü te. 
1PE.3.9	Mhakesu kha kesu khüpo thihite, mori khazhemeli kethiri, vele kepile ti jopü mi ketsü, mhasüo la neko cüyi, side neko thejo kalü thiyi te. 
1PE.3.10	Kekrelamori kehü kekhrü miko, tüsozho keveko ngonyülize, püpo pü meyi pü mhakesu kepolü pü kethü yite, mu pü mülü kemeda po hite. 
1PE.3.11	Mhakesu retsü (therayi) mu mhakeve thiyi; püpo mhakeve thiyi, mu kezükeve phuyi, mu süo thite. 
1PE.3.12	Kekrelamori Niepoo mhü kemezimi pe bayo, mu pü ni sheri uko kecho la khripü bayo, vele Niepoo püzü khipü mhakesu kethiko metsu tayo. 
1PE.3.13	Pü sopü lezide mhace no mhakeve meji ta lize uko n metsuyi veta? 
1PE.3.14	Vele mhace no kemezi la kemezhe ta lize, no nnüte, mu uko kethi kedü tiko methi hite; mori nlü kemezheri hite. 
1PE.3.15	Vele Niepo Jihova la nmelü thi kemesa yite; vele pütü metülü kerede pü mifü kelasü keto la, mi nce mhaketso kesüko kemeri püco menünu mu mpe sai de po süte. 
1PE.3.16	Pütü pümesü kelülü uko n kesu pozo sheri uko kesu kethimi tila, uko cejü medade ketha kemolü n mejo keba menga yito, no Khrista la mha keve kepo ketilü. 
1PE.3.17	Süo vekuzo, mhace Jihova medota lize, no mhakeve kethila kemezhe keyi, kesukethi ce sheri. 
1PE.3.18	Kekrelamori Khrista sheri vapü kephomako la kemezhe sü, kematho mathokemola, side uko züvo Jihova cesü ketola, uthi upholü mesasü, vele rüpülü püthi merhüyi. 
1PE.3.19	Süola sheri pü tatsü kesa rüpü thejü thi ketakoce zhopo thisü. 
1PE.3.20	Pütü huce jüzü thikemo, Noah tüco Jihova po v apü sügüsühe mecho, ruo kerede kebace, kerhüro kedopü mitütha meha keyi jüdelü. 
1PE.3.21	Pühü sübi keti uko sheri jülokepü lü ukokelayi, uthiupho mesakemo khrü kemesa kesü zo mo, vele ukelü khapü phra kesü Jihova celaco keva, Jisu Khrista rhüla kesü lazo. 
1PE.3.22	Püta tülü khote, mu Jihova zalaco bate, tüyo choyimiko mu keku keneko, kemecoko metü khapü pükhro süve.
1PE.4.1	Khrista uthi upho khi ukola kemezhe kesübi, uko sheri sübi umelü kerede keyi mesü, kekrelamori püthipüpho lü kemezhe kesüla kephoma thi mote. 
1PE.4.2	Püthipüpho kemenyülü hü, mecho samo te, thüma kemenyükolü, vele Jihova medolü tate. 
1PE.4.3	Neko thajü vo keta kehütülü Gentile (Judakemoko) kelü medo bi hüvori, mhakemeho kemenyü, reyomenyü, hezo krakeye, kezhe kemeli tehütehü thi, mu phikemero therü marhe kereshü kothi. 
1PE.4.4	Uko kelüce neko uko zü kemekro mo ketala neko lüpü uhü kekre kropü thite mu mhakesu popü neko tha, mu neko keyeri keta bi potate. 
1PE.4.5	Kehopü sheri uju popü kesami mu kerhümi sheri sheco thi ketao mhüjülü sü rhü zoto. 
1PE.4.6	Kekrelamori mhace süola jüyikeve zhopo thipü kesami koceri süsa zo; thüma süko uthipholü hü ketako sheri sheco thi ketola, ukozholü, vele Jihova zholü hüyi te rüpülü. 
1PE.4.7	Vele pütü thela mhametükola vori umeno bate, neko süla rhorhü pü bayite, mu kecho thide fü mu la bate. 
1PE.4.8	Mhametüko pi sheri neko dolü mhakha mi ketsü lü netho thi bazote; kekhrü, mivaphi kesüla kephoma kekro hu kevo yito. 
1PE.4.9	Panyoparo mode hunehu meso bazote. 
1PE.4.10	Kehopü sheri mhaphrü ngophrü keyibi neko süo khipü hunehu la yitho thiyite, Jihova ngokemezhe kekrekre ti kekro khasüyo tio choyi keve mipü thite. 
1PE.4.11	Mhace thümapü jüpo lize püpo Jihova la jüpo kevemi thide posüte, mhace humi yithothi lize Jihova pü keve didü khapüphrü sü sheri püpo sübi thisüte; side Jihova po Jisu Khrista yo zapozale thiyi te, püyo kechothe kechumu mipi kekha keyi püzhüzo, Amen. 
1PE.4.12	Akhrüko, ne dojü merüshü keto neketekhri ziti lüta hite, neko yo sekemo vori ketakolü. 
1PE.4.13	Vele rethu yite neko sheri Khrista mezheko keza ba ketako, Pü zapozale mesemengo vori ketoce nekonekenü rekrishu zo ketola. 
1PE.4.14	Mhace Khrista zalü ne meshuyo lize, ne kenüko thüma kropüzo, kekrelamori zapozale kethi rüpü Jihova celü vori nekoyo bate; uko lazono pü mha kesu side po, vele neko la pü zapozale kethi zhüzo. 
1PE.4.15	Vele neko mikedokhrimi thitamo, mori keregomi, mori kesu kethimi, mori mithipü mipo nekola mere meyhu mezhe ti thitamo. 
1PE.4.16	Sizo sheri mhace thüma mipü Khristaian mile side kemezhe yo lize püpo menga hite, vele püpo mha süo la Jihova zapozale thi süte. 
1PE.4.17	Kekrelamori kemejo sü therüo celü vori moze kesula, mu mhace ukoyo süo shudü to lize pütü thelalü Jihova jüyikeve züyo kemo koyo dipü bizo toshi? 
1PE.4.18	Mu mhace kemeziko mesesazo kelayi tolize dipüce mesakemoko kephomako ngota? 
1PE.4.19	Süla uko Jihova medola kemezhe bata lize uko kerhüro khapü pütsü pumelü sü mhakeve kethilü jütho mu kemelü keve pü uthi urhe kesü Jihova tsü sükhe.
1PE.5.1	Mehimiko neko dülü kebako, I sheri pethi mehi thi ketabi tarho sü züho, Khrista kemezhe kesü I kengomi mu pü hisa laco zapozale thivori ketolü püzü keza keto püzo. 
1PE.5.2	Jihova kro neko dolü kebako vathi süte, süko pe mu rasüte, moze kesulü hite, vele unü umedo kethilü te, mhakemeho kemenyülü hite, vele umelülü kerede püketalü. 
1PE.5.3	Mo sheri Jihova kalü zhü pi kenyepo ta hite, vele kro süko la thaka kethipü thisüte. 
1PE.5.4	Teko kefü kemeleo mi mhüngo thi vori ketoce neko zapozale pira rata kemopü ngoyi to. 
1PE.5.5	Sübi ne natsimiko ne khapü pethi mehimiko khro süyite, Ile, neko metü hunehu khrikhro ta yite, mu hü menünu khi beyite, kekrelamori Jihova kemeko ketimi gü vayo, mu kekhrü kene khapü thelü kemenüko tsü süyo. 
1PE.5.6	Süla neko Jihova keku be khrolü nekehü renu tate, silize pü pütü tülü nethi kerekrü süyi ve tila. 
1PE.5.7	Ne tsakhu metü khapü püyo süvate, kekrelamori pü netekhrü tayo tila. 
1PE.5.8	Rhorhü tate, mhara menu tate, kekrelamori neko metsuketao therü kesuo losha kerü thi, taphe mu phe thide tüti keto phu tayo tila. 
1PE.5.9	Pü kemelü zü ketü tayo, neko sazüjürako kejülü kebako yo kemethi kha kesü se kebala. 
1PE.5.10	Vele Jihova ngokemezhelü uko cüpü kechothe zapozale kethilü sü keyi Khrista Jisu yolü; süo salü dopü neko kemezhe, neko thi meve tsosü ketola, neko kha shusü, thi kemetüsü, mu nekopo krokrü keyi thisü. 
1PE.5.11	Püyo zapozale, mu keku kede kethi kechothe ba keyi thite, Amen. 
1PE.5.12	Silvanus, kemelü kene neko sazüo yo, akelüce I lesitho mejüsü, tarho sü, mu zhopo thi kesü hiohi Jihova ngokemezhe kethozo, neko tha kebao. 
1PE.5.13	Kehu Babylon lü kebao, neko kezü keda keyio neko kelü süzü ho; mu anu Marcus sheri sa. 
1PE.5.14	Kelü kesü neko mhakha mitsü kesü kekhrü pü hunehu mebosü te, kezükeve po neko dolü bayite Khrista Jisu yota ketako metü, Amen.
2PE.1.1	Simon Peter, cetamipü mu Jisu Khrista apostle mipü sübi kemelü püma kerü ngo yi ketako, therüo kemezi yolü mu uko kelakeyi Jisu Khrista lü ketako cekesü. 
2PE.1.2	Ngokemezhe mu kezükeve po kro kehü keyi thi bate Jihova mhaselü Jisu uko Niepoo zalü. 
2PE.1.3	Mhaselü uko cüpü zapozale mu kevekene lüsü keyi. 
2PE.1.4	Sülü zho kehükeyi mu jü khakesü reshu püma kerü sheri pü utsü, size kesülü upo sheri thopü kemetazho khipü zhürhü thiyi ve ketola, mha kemeho kataketo cejülü zhoko thera keyilü. 
2PE.1.5	Sülü ba keyi, kemenu tho metülü, n kemelü la kevekene khipü basayi; mu kemenulü mhase. 
2PE.1.6	Mu mhaselü ukethükerü, mu kethükerü keyilü sügüsühe sayi, mu sügüsühe keyilü kemesa kehü sayi. 
2PE.1.7	Mu kemesa kehülü sazüjüra tsüli veyi, mu sazüjüra yo tsüli ve keyilü mhapü miketsü kekhrü püsayi. 
2PE.1.8	Mhace mhahiko neyo ta lize mu ba meveyi lize, no nse kedi methu keta thi taho, uko Niepoo Jisu Khrista yolü (mhaselü) 
2PE.1.9	Vele mha hiko kedio pü mhücemi pü tazo, mu mhango mechoyi mo tato; mu hi mhüjülü pü kephomako va kesü pü rekra mo tate. 
2PE.1.10	Süla asazüjüra neko neko menu de nekecü mu ne kedakeyi thi menu ta lize; mu mhace ne mhahiko thimu züyi lize, neko mhapüceri retu taho. 
2PE.1.11	Uko Niepoo mu kelakeyi Jisu Khrista kechothe kede kethi lü neko la nenü shuzo keti yitho khri netsüto. 
2PE.1.12	Mhasüko la nekopo rekra süta ketolü I neko thipü sizi keto I asalü mota mozo, nekori seba vele neko thipü tsüdo ketholü süyi te. 
2PE.1.13	Ile, süo pütü zoleti akelüce lübale; I kereshücelü kebathe, uko Niepoo Jisu Khrista thapü ameka kesüla. 
2PE.1.14	Mechokemolü areshüce hio khava to, uko Niepoo Jisu Khrista a mesekesübi; I süo sebate. 
2PE.1.15	Süpi sheri I nekopo thisü kenyü sü, asü salü nekopo mhahiko rekrazo tanyü. 
2PE.1.16	Kekrelamori uko theju kethokemo udokevelü tho kesüko mejitamo, hako uko Niepoo Jisu Khrista kevori mu pü keku keba thipü neko ce süte, mu neko se bate, vele umhü sheri ketekhri kethi ngo kesü zhopo ba. 
2PE.1.17	Kekrelamori pü Jihova celü uko po celü thechu therho mu zapozale ngoyi, füphra pü zapozale verekri zoti vori, “Hiohi anu Puleo, akhrüo, I püngo anüphi ketio.” 
2PE.1.18	Thefü hiohi tülü kiri ti hako se, hako püzü cejütu kemesao yolü kebace. 
2PE.1.19	Hako setü keba prophecy (sajujü) kethozo ti neko khimenu tate, tü keve kezülü mhava meve kesü bi, pütü süo vori kemothe, tüsozho süo thenyü pübi neko melülü ve süri te. 
2PE.1.20	Se keba therao hio, sajukepo jü lesi kekrelü thopü kemeta, chozulaco uco kepo pümo. 
2PE.1.21	Kekrelamori saju kepo thajütho thüma celü kevorijü, thüma medo lümo; vele thüma kemesa Jihova celü kevoriko posü, Kemesa Rüpü ukoyo melü kesülü.
2PE.2.1	Vele kemeda saju kepo thüma dülü tazo, kecejü kemetha sheri tati bi, neko dolü kemekhrülü vajo keva kemelü pü vorito, Niepoo uko khri keyi sheri mela vato, mu rekri shutilü ka keta khipü utho ukoyo vori tato. 
2PE.2.2	Mu mikekro uregürezhü meji vo tato, süko la mi kethoco po mesu tato. 
2PE.2.3	Mhakemholü uko kethera ketijüko khi neko pü hethoheli thi tato, uko sheco gümecho ba mo tato tsühi sheri mu uko mejova ketolü zü relü mote. 
2PE.2.4	Kekrelamori mhace Jihova tüyochoyimiko kephoma thikeva mehasü mota lize, uko khapü mezalü süva, mu uko khapü kezülü ropha pha metava, uko khapü uko jünyo sheco ketolü mezü metate. 
2PE.2.5	Mu cejü kevüo sheri meha sü mote, vele Noah uko mi tütha, kemezi zhopo kethi mipü, mesakemo kola jüde khapü cejülü süta. 
2PE.2.6	Sodom mu Gomorrah napü nadeni thüpü megünyo thiva, unithi medipü thaka thipü hisa laco kehü mipo mesakemo kehü seta ketola. 
2PE.2.7	Lot mehasü, keretsemiko rethi (jüpojüli) püthi pü pülü kebü methi ketao. 
2PE.2.8	Kekrelamori kemezi thüma süo uko dolü hüyo tila, pü uko ngo mu uko füko sepü pü kerhüro thi kemezhe sü uko thezho kemo kethiko la tüsonha pülü kemezhe. 
2PE.2.9	Niepoo medokephiko lü sheri kemesami merhü sü keto pü seba, mu matho kemoko khapü shecolü sazho khasü keto sheri. 
2PE.2.10	Vele uthi upho mesakemo kemeho kemenyülü ketako meku de mu Sorkari rhokemo mila, utho ukelülü uko umedothi tayo, uko mha kesu kepo methi yomo; keve sheri pomesu tayo. 
2PE.2.11	Tüyochoyimi zo sheri, zhoku, kekuneku Niepoo celü kemeli kemejo, metsu ti jüko khipüvo poyomo. 
2PE.2.12	Vele hiko khonu hülü menu kesüko uko mekava ketola mehükesüko, uko lüyi kemo mhakesuko potayo mu ukotho uko kesulü kekakemhü thitato. 
2PE.2.13	Mezi kemo zhokhro ngoyito, kehelü mhakebü kesü unüunyü thi ketako; uko theku kene, thece kene mishu mikedo tipü uko rezhü kethi uko neko züde hi (thenyenye) keba dolü, 
2PE.2.14	Uko mhülü kekhrükezüti chupü ta, uko kephoma kethilü la mozo, ukethümozo; ukerhüro resürelü kemo uhü thimekre pü umelü lü mhakemehoko thi dojü, natsimiko rephri tayo. 
2PE.2.15	Uko chode kemezi rekramo te, vajo te, kera mote, Bosor nu Balaam chode meji tate, pü mezi kemo zhokhro pünü tate. 
2PE.2.16	Vele pü mesa kemola pü lekhu süve, jüpoyo kemo gada sheri thüma fübi saju kepoo kemelo va khata. 
2PE.2.17	Hikohi jüfülü jü kediko, kemhütürü kedi bi, thüma hikola kechothe kezü revü metate; 
2PE.2.18	Kekrelamori uko kemethu kemerü reme kezü jü kezho kepoce, uko uthi upho menyüko khi mishu mi ketse tayo; uko utinyü ukranyü kekrota, kemesamiko süko kekri keti kehülü keta therü theratate. 
2PE.2.19	Uko he kesü jüphra süce ukotho keka ceta thita, kekrelamori thüma süphra pü prari kesüo, uko süo pülü thejü thi keropü phava. 
2PE.2.20	Mhace uthi merho keta cejülü zhü therü tayi ta lize, Niepoo Jisu Khrista mhaselü la, uko khi sala püvo ukopo thelü ketsakhu zü ketü (sala) mori ve; uko sala ta lize pü thelalü shudü ceri suku tato. 
2PE.2.21	Kemezi chode sekemo ukola veku ta zoto, uko süo sesü jükhakesü kemesako sesü de regü sala tsüsa ketace sheri. 
2PE.2.22	Vele ketho jüve (mhsejü) po keta sü ukoyo kute, süo poti, “Teshü (tehi) utho umerü ti sala tayo; thevo jülü pükhrü kemesa (relo) sü sheri sala talü nyobalü reyu tayo.” Sübiti thite.
2PE.3.1	A kekhrümiko, I tsühi lesitho kesü kenao khapü neko ce sü züho, I nekolü kemesa nekopo rekra sala sü ketola. 
2PE.3.2	Nekopo hi mhüjü saju kepo kemesa jüko lü menu ba ketola, mu apostle kethi hako jükha kesü Niepoo kelakeyio. 
2PE.3.3	Neko semo kesu thera thoo thelaco mha krünyü zoti kropü utho ukemenyü lü tavo tato. 
2PE.3.4	Uko po keta, Pü sala vori keto jükhakesü dipü ceba? Kekrelamori uponeko züzü ketako, cejü thi keyi lüvo tha ketso mha metüko sizi tazo. 
2PE.3.5	Kekrelamori uko utho umedolü mhasemo tate, Jihova la tüko thajütho lazo, cejü sheri jüpi mu jükhro tha lazo. 
2PE.3.6	Sizi ketala jüde po sütüce mha mekava. 
2PE.3.7	Tüko mu cejü tsü keba hiko jüsüo po meka va ketola meshu pü kemeta melü thüva ketola; 
2PE.3.8	Vele akekhrüko, mhapüla neko mhasemo bata hite, tüsozho pü u Niepoo la tetse thenye bi, mu tetse thenye tüsozho pünha bizo. 
2PE.3.9	Niepo metsü tamozo pü jü kha kesü kola, humi kelü metsü ba keta bi sheri, vele uko la sügü sühe mecho kebazo, kehopü po sheri kata nyü kemola, vele metü po sheri thelü rede keyi kemenyü la. 
2PE.3.10	Vele Niepoo kevori tüsozho sü tüzülü keregomi kevori bi zoto; süce tüko ufü kemere thide di tato, mu mha sülü ketako lü thiri ketala zho tato, mu cejü sheri mu mhatho sülü keba khü thü vato. 
2PE.3.11	Mha hiko metü zü dita keto seba ketabi, thüma mipü dipü thiti mesü sheri uzho urele ujüpo ujüli (rethifü) kemesa mu ukehü mesade hü keyi. 
2PE.3.12	Pe meri keba Niepoo kevori tüsozho kerekrilü, tüko melilü zü di tato, mu mha sülü kebako lüri ketala zho tato, süopo vori mezeta keto fü bame? 
2PE.3.13	Sizosheri pü popü kemeta jü uko tü kesa mu cejü kesa füba sülü kemezimi hü ketola. 
2PE.3.14	Süla akekhrümiko, neko mhasüko meri keba bi menu de bate püponeko kezüve keba ngoyi ketola, thece kedi mu theku ne kemo. 
2PE.3.15	U Niepoo pülü cho keba sü kelakeyi zo, uko sazüjürao Paul mhase khapü ketsü bi pü lesi thopü neko tsüsü te. 
2PE.3.16	Pü lesitho kesü metülü pü mha hiko po, sükolü mhahu seyi kerü ba, mhasekemoko la, mu ulü krokrü kemokola, uko lesitho kesü kekreko yo sheri sübi tayo, uko tho umeka ve. 
2PE.3.17	Ne akekhrümiko, neko hi mhüjü mha hiko semu lü bate, uceri tate molize neko sheri keretseko po ne ketse pü tata ri ve tila, kekritilü vo keta, ne kemelü kethothi kebalü retu tari semo tila. 
2PE.3.18	Vele ngokemezhelü mema bate, u Niepoo Jisu Khrista mhaselü; püpo tsühi zapozale kethi mu kecho sheri kenenilü thite, Amen.
1JN.1.1	Nnhannhalü küta, u seküyi, u mhüri pü ngoküvayo, u tho pede u benyirei püdzüzoküvayo süo kürhü dzüo zo. 
1JN.1.2	Kürhü süo pü mi müsemüngo vate, mu hakorei ngoi de pü zhopo thiyo, Silizo küchothe kürhü süo u Poo züküta-o ha müsemüngoküsüo thapü nekoce süyo. 
1JN.1.3	Süosü hakorei ngo mu se küyio phrapü neko ce süsüyo, mu neporei küveo lü hazü de u Po mu Nuo Jisu Khrista zü kükrotho ta küto la. 
1JN.1.4	Muhakorei dzü hiko thopü neko ce süyo, nekünüyo po tsüyiküto la Jihova Küve-o zo.
1JN.1.5	Silizo hako pu celü thüdzu seküyiyo mu phrapüh neko ce küsüo sü Jihova küveo zo, mu küzü pührei püyolü tayo moto zo küti-o zo. 
1JN.1.6	U püzü kükrothoyo küti poyo de küzülü tayo lizo, u müdabate, mu küthoo thiyiyo mo. 
1JN.1.7	Sirei u mhanuü pü küveo lü tayo lizo, püe küvelü tayo küzho kümha deu rei hunehu zü kükrothoyo. Mu pu nu Jisu Khrista za la küphoma mütülü u khrü kümüsa vayo. 
1JN.1.8	Mhanuü u uküphoma bamoü poyo lizo, u tho u swükütsi küba zo. Mu küthoo u yolü bamo. 
1JN.1.9	Mhanuü u küphomako pophrasü lizo. Pü zoe dzütho mu matho de uküphomako vasütole mu matho kümoko lü u küphoma khrükümüsa sütole bazo. 
1JN.1.10	Mhanuü u küphoma bamoü poyo lizo u pu yisü kücejüo thiyo, mu pudzüko rei ulülü bamo zo.
1JN.2.1	A nune kütsüko neko po phomata mo kütola I dzü hiko thopü neko ce süzü ho mu humi mhanuü phomatayo lizo, U poo zü küba u ukil kümathoyo Jisu Khrista bazo. 
1JN.2.2	Mu pue u küphomako la u rütho thiküvayo zo; Sirei uko la lübizomolie cejü mütü la rei sa. 
1JN.2.3	Mu u pü seyita le küti seyiküta kükrelamole u pü dzü khaküsüko züyoküti la zo. 
1JN.2.4	Thüma kühopührei I pü seyo isi de pü dzü khaküsüko züyokümomi kücejümi zo, mu küthoo pü lülü ba mo. 
1JN.2.5	Sirei thüma pü dzüo thüzüsüh kübami Jihova celü küpa kükhrüo pü lülü batsühkütho zosüyolü u pü lü ba leküti seyiyo. 
1JN.2.6	Thüma kühopührei pü lülü bayo leküzhomi sümi rei Khrista kümha tüi zü.
1JN.2.7	A khreko I neko ce dzü khaküsü küsa pührei thosümo zo. Sirei dzükhaküsüko küvüo süosü neko nnhanhalü sühkübao zo. Dzükhaküsüo küvüo süosü nnhanhalü seküyi dzüo zo. 
1JN.2.8	Süsa I dzü khaküsü püh thopüh neko ce süzü, mha süo püyolürei mu neko yolürei kütho zo. Kükrelamole küzüo ditazü mu küveo küthoo zü ve pa bataküzü la. 
1JN.2.9	Thüma kühopührei küveo lü bayole side püthopü sazüdzürami mütsüyo küzhomi tsürei küzü lü ba zolu. 
1JN.2.10	Thüma kühopührei pü sazüdzürami khrüyo küzhomi küveo lü bayo, mupütü kühopüh cerei püla thüphe kümüsü pührei ba mozo. 
1JN.2.11	Ele thüma kühopührei pü sazüdzürami mütsüyo küzhomi küzüo lü bayomu küzüo lü tayo. Mu küzüo pü mhü thi mücieküva la pü dipüh cievozüshi sürei seyo mo. 
1JN.2.12	A nuneko kütsüko I thopüh neko ce süsüyo. Kükrelamole, püza-o la neko küphoma vasüküva la. 
1JN.2.13	Miponeko nekoe nnhannhalü kütao seyiküta la I thosü neko cesüzü, khriesako, neko küsüo mho kuyiküta la I thopüh neko ce süzü, Anune kütsüko nekoe poo seyiküta la I thopüh neko cesüvate. 
1JN.2.14	Mi poneko nekoe nnhannhalü kütao seyiküta la I thopüh neko cesüvate, khresako, nekoe ku, mu Jihova dzüo neko lü bayo mu neko küsüo mhokuyi kütala I thopü neko ce süvate. 
1JN.2.15	cejüo rei mu cejülüküta zhüko khrü hizote. Mhanuü thüma kühopührei cejüo khrüyo lizo, u poo celü küvo kükhrüo pülü bamo. 
1JN.2.16	Cejü lü zhüko mha süko uthi upho münyiko, mu umhü münyiko cesücene kemeko ketsü ukülhülü kümako küzüko zo, mu süko u poo celü mole, cejüo lü zhü ketsü la. 
1JN.2.17	Mu cejüo mu sülü münyiko ditazü, Sirei thüma kühopührei Jihova nü thiyoküzhomi küchothe bayo.
1JN.2.18	A nune kütsüko, thüla tüo sü vobate; mu Khrista ngomuo votazüküti neko seyiküta kümha tsürei Khrista ngomuo kükro sü bate; süyolüsüna thüla tüo sü vo bataüküzü u seyiyo. 
1JN.2.19	Süko uko dolü ta pa tazo. Sirei süko u kromi rei mozo; kükrelamole süko u kromi le lizo. Süko u zü bazoto le, sirei sükoe u kromi mozo le küti mi po seyiküto la siküta zo. 
1JN.2.20	Silizo nekoe kümüsao celü künhüküyi ngoite, mu neko mha mütüko seyiyo. 
1JN.2.21	Neko yisü küthoo semo leno I thopüh neko ce süsü mo; sirei neko süo seyoküzho la mu küthoo lü kücejü pührei ba kümo la. 
1JN.2.22	Jisu-e Khrista zo li küti po phra muyoküzho sa kücejü-osü sopüh ta? U Poo mu pü Nuo phra muyoküzho sü Khrista ngomuo zo. 
1JN.2.23	Thüma kühopührei Nuo süo phrasü muyoküzhomi u Poo puceco mo; Thüma kühopührei Nu süo phrayoküzhoo u poo rei puceco ba zo. 
1JN.2.24	Neko zoe nnhannhalü seküyio süo po neko lü bazoi; neko nnhanhalüseküyi süyolü ba ze Nuo lü ba mu u Poo yolü bayito. 
1JN.2.25	Mu pü thadzü popüh u tsüpü küta küchothe kürhüroo sü dzü süo zo. 
1JN.2.26	Neko swü kütsiva nyiyoküzhoko dzu I dzü süko thopüh neko ce süvate. 
1JN.2.27	Silizo, neko zoe pü celü künhüküyi ngoküyi-o neko lü bayo. Süla neko mipo neko müthaküti thi morive; ale pü neko künhüküyi-o tho mha mütüko dzu popüh neko kayo, mu süo kütho zo, mu kücejüo ba mo, süla süo thapüh neko mhüngo thiküsü kümha neko püyolü bayite. 
1JN.2.28	Mu silizo, A nune kütsüko, neko püyolü baite: bayi lizo, pu mi mhüngo thi voküto ce pu mhüdzülü mungatayilho. 
1JN.2.29	Pumathoyoküti neko seyiyolizo, kühopührei mathoküzhomi pü yolü u münuyi zoküti nekorei se bato.
1JN.3.1	Hey, u Po u khrüpü küdithüdü püh thi siküti lüsüte. U püsü Jihova nune thitaleküti, Siyilizo, u rei seyita zo. 
1JN.3.2	cejüo u se mo kükrelamole pü seyi moküta la zo, uko tsürei Jihova nuneko thite, mu tsüsa u küdipüh kümhato shi mülemülu mozolu. Sirei pü mi mhüngo thi voküto ce pü kümha zotoküti u se bate; Kükrelamole u pü küdipüh kümha ba shi u süo ngo zotoküti la. 
1JN.3.3	Mu thüma kühopührei pü la sadzu süo künyemi pu müsaküti kümha u po rei u thikümüsayi noyo.
1JN.3.4	Thüma kühopührei küphomathiyo küzhomi thüzho kümo rei thiyo; mu küphomami-e thüzho kümo zo. 
1JN.3.5	Mu neko se mülemülu bate; u küphomako pü taküta-o, mu püyolü küphoma püh rei bamo. 
1JN.3.6	Thümakühopührei nepo yolü ba sühyo küzhomi phomatayo mo; thüma kühopührei phomatayoküzhomi pü ngoirei mo, morei pu seyi rei mo. 
1JN.3.7	A nune kütsüko, mipührei po neko swükütseivahite; thüma kühopührei mathoyoküzhomi pü mathoyoküti kümha sümi rei matho zo. 
1JN.3.8	Thüma kühopührei phomayoküzhomi thürükürüzhü-o celü zo; Kükrelamole thükürüzhü-o nnhannhalü phoma tata zo küti la Jihova nuo thadzü mi mhüngo thi voriküti kükrelamole pü thürü kürüzhüo mhathoko thi müdivaküto la zo. 
1JN.3.9	Thüma kühopührei u Niepoo Jihova yolü u münuyi kütami küphoma thitayo mo. Süsü pütsa püyolü basühyo kütila, küphoma thitayo mo. 
1JN.3.10	Hihi la Jihova nuneko tha mülemülu süh bazo, mu küshü-o nuneko rei sa, thüma kühopührei mathoküti thiyokümomi sükoe Jihova celü vorimo mu mhapüh cerei u sazüdzüra khrüyiyo mo.
1JN.3.11	Silizo upo huniehu khrüyinoküti neko nnhannhalü dzüo seküyi süo zo. 
1JN.3.12	Cain kürüzhüo celü pütho pü sazüo dokhrikütakümha thizü mo. Silizo küdipüh la pü süo dokhriva ra? Kükrelamole pü mhathoko zoe süo mu pü sazüo mhathoko müzi zo küti la. 
1JN.3.13	A sazüneko cejüo neko rütsüyozo sherei neko ngo hite. 
1JN.3.14	U u sazümi khrüyoküzho la küsao cuh kürhülü pataküti u se bate. Thümakühopührei mi khrüyokümomi küsalü bayo zo. 
1JN.3.15	Thüma kühopührei pü sazüdzürami rütsüyoküzhomi mi küdokhrimi zo; mu küchothe kürhü lü mi küdokhrimi lü bayo moüküti neko rei se bayo. 
1JN.3.16	Pü püpho khapü u pho sü thivaküta-o la. U süla kükhrü-e küdipüh shiküti seyiyo; Silizo u rei u sazüdzürami la u pho khasüyi zü. 
1JN.3.17	Siseri thüma kühopührei cejü nyoko bade pü sazüdzürami kütsakhu ngosüri pülülü mi ngomüzhie küprao khayita lizo Jihova pü celü küprao kükhrü küdipüh kümha de pü yolü baita? 
1JN.3.18	A nune kütsüko uko dzü mu u ta lübizomole, mhatho mu kütho süh mikhrüyi khe. 
1JN.3.19	Sülizo, u küthoo lüpazo leküti seyito, mu ulülü rei mhasetüi tato, pü mhodzüce. 
1JN.3.20	Kükrelamole u lüe umüjoyo lizo, Jihova u lü cezhoku mu mhamütükoseyoküzho la. 
1JN.3.21	Kükhrüko, u lü-e u müjoyo molizo, u Jihovamhodzü lü u küthüpu nebate. 
1JN.3.22	U pü dzü khaküsüko züyo mu pü küngo ce mha pü nüyoküzho la, u mhakühopüh chorei u pücelü ngoiyo mu süko püceyo pünü. 
1JN.3.23	Mu püdzü kha u ceküsü kümha u po Pün u Jisu Khrista zalü mülüyi de hunehu khrüi no küti, süo pü dzü zo. 
1JN.3.24	Mu thüma kühopührei u khaküsüko züyoküzhomi pülü bayo mu pürei süo lü bayo. Silizo pu u lü bayo le küti pü khapüh u kütsü Ropüo la u süo seyiyo.
1JN.4.1	Kükhrüko, neko ropü kühopührei mülüta mole ropüsüko Jihova celüvo memosiküti ra münuyite; Kükrelamole kücejü sadzu kükro pra cejüo lüta küta la. 
