MAT.1.1	Disi na den afo fu Yesus Kristus. Yesus ben de wan bakapikin fu David, nanga fu Abraham.
JAS.3.1	Mi brada nanga sisa, no meki furu fu unu suku fu tron sma di e gi leri. Bika un sabi tak' Gado sa luku moro fini te A e krutu wi di e gi leri. 
JAS.3.2	Wi alamala e meki fowtu someni leisi. Ma a sma di no e meki fowtu ini san a e taki, na wan sma di kon de soleki fa a mus de, èn di man hori ensrefi ini ala sani tu.
JAS.3.3	Efu wi wani meki wan asi du san wi e taki, dan wi e poti wan titei ini en mofo. So a mus fu go pe wi wani. 
JAS.3.4	Luku den sipi tu. Den bigi èn tranga winti e trusu den go na fesi. Ma nanga wan pikin sani leki wan pari di fasi na bakasei fu a sipi, a botoman e tyari a sipi go pe a wani. 
JAS.3.5	Na so a de nanga a tongo tu. Na wan pikin pisi fu a skin, ma a e taki bradi. Luku fa wan pikin faya kan bron wan bigi busi. 
JAS.3.6	Un tongo na wan faya tu. Soso ogri de na ini en. Fu ala den pisi fu a skin, a tongo na a wan di e pori a heri skin. A e sutu faya gi a heri fasi fa wi e libi èn na hel srefi e leti en.
JAS.3.7	Libisma man tiri ala sortu meti èn den du dati tu. Den tiri bus'meti, fowru di e frei, meti di e kroipi, nanga meti di e libi na se. 
JAS.3.8	Ma no wan libisma man basi a tongo. Na wan ogri sani, yu no sabi na fesi san a o du. A ogri san a e du, na leki te takru sneki beti yu. 
JAS.3.9	Nanga en wi e opo a nen fu Masra Gado wi P'pa, èn nanga en wi e fluku libisma di Gado meki leki fa Ensrefi de. 
JAS.3.10	Nanga a srefi mofo wi e blesi èn wi e fluku sma. Mi brada nanga sisa, a no mus de so. 
JAS.3.11	A no kan tak' yu abi bun watra nanga sowtuwatra makandra ini wan peti. 
JAS.3.12	Brada nanga sisa, wan figabon no e gi oleif, èn wan droifibon no e gi figa. Na so wan sowtuwatra peti no man gi bun watra fu dringi.
JAS.3.13	Sortu wan fu unu koni èn sabi sani? We, meki a de fu si dan na a bun fasi fa yu e libi. Sma di koni e du sani tapu wan safri fasi. 
JAS.3.14	Ma efu ini un ati un kon bita fu di un dyarusu, èn efu un e prakseri soso unsrefi, dan un no mus meki bigi tak' un koni. Un mus kba fu lei, èn un mus taki den sani leki fa den de. 
JAS.3.15	A koni disi no kmopo fu Gado. Na wan grontapu sani, na wan sani di kmoto fu libisma, na wan didibri sani. 
JAS.3.16	Bika pe dyarusu de èn pe sma e prakseri soso densrefi, drape soso bruya de èn sma e du ala sortu takru sani.
JAS.3.17	Ma ini a fosi presi, a koni di kmoto fu Gado e meki sma e libi wan krin libi. Moro fara a e meki tak' den e pruberi fu hori freide, den abi switi maniri, den e arki san trawan e taki, den abi furu sari-ati nanga trawan, den e du furu bun, den no e teki son sma sei, èn den e taki den sani leki fa den de. 
JAS.3.18	Den sma di e tyari freide kon na trawan mindri, e sai ini freide. Èn a froktu fu en na wan libi di bun ini Gado ai.
JAS.4.1	Ma san e tyari feti nanga trobi na un mindri dan? Disi e psa fu di tranga lostu e bron ini unu. 
JAS.4.2	Un abi wan tranga angri fu kisi wan sani, ma un no e kisi en. Un e kiri trawan èn un e dyarusu. Ma un no e kisi san un wani. Un e meki trobi èn un e feti. Ma fu di un no e aksi Gado, meki un no e kisi. 
JAS.4.3	A kan tak' un e aksi Gado, ma un no e kisi noti, fu di un no e aksi na a yoisti fasi. Bika un e aksi fu un kan du san un lostu fu du. 
JAS.4.4	Na drai un drai un baka gi Gado! Na sabi un no sabi tak' efu un lobi sani fu grontapu, dan un na feyanti fu Gado? A sma di lobi den sani fu grontapu e sori nanga dati tak' en na wan feyanti fu Gado. 
JAS.4.5	A no fu soso a skrifi ini a Santa Buku taki: “A yeye di A poti ini unu, mus de fu En wawan.”
JAS.4.6	Ma Gado e sori unu En bun-ati moro tranga. Dat' meki a skrifi taki:
JAS.4.6	Gado e feti den sma
JAS.4.6	di abi bigimemre,
JAS.4.6	ma den sma di abi sakafasi,
JAS.4.6	A e sori En bun-ati. 
JAS.4.7	Dat' meki un mus saka unsrefi gi Gado, ma un mus kaka futu gi didibri, dan a sa gwe libi unu. 
JAS.4.8	Un mus kon moro krosbei fu Gado, dan Gado sa kon moro krosbei fu unu. Un di e sondu, un krin unsrefi fu den sani san un e du! Un di de nanga tu ati, un poti un prakseri tapu den sani fu Gado wawan! 
JAS.4.9	Un mus sari, un mus de na row èn un mus krei. Un kba lafu dan un bigin row, èn a prisiri fu unu mus tron wan dipi sari. 
JAS.4.10	Saka unsrefi na Gado fesi, dan Gado sa opo unu.
JAS.4.11	Brada nanga sisa, un no mus taki takru fu wan tra bribisma. A sma di e taki takru fu wan tra bribisma noso di e krutu en, e taki takru fu a wèt èn a e krutu a wèt. Èn efu un e krutu a wèt dan un no e du san a wèt e taki, ma dan unu na krutubakra di e krutu a wèt. 
JAS.4.12	Wan nomo de di meki a wèt, èn na En wawan kan krutu wi. Dati na a Wan di abi makti fu ferlusu èn fu kiri. Ma suma na yu dan fu krutu wan trawan?
JAS.4.13	Un arki, un di e taki: “Tide noso tamara wi o go na sowan foto sowan foto. Dan wi o tan wan yari drape èn wi o bai èn seri sani fu meki moni.” 
JAS.4.14	Ma un no sabi srefi fa un libi o de tamara! Bika un de leki smoko di de fu si fu wan syatu pisten, dan baka dati a no de fu si moro. 
JAS.4.15	A moro bun efu un ben taki: “Efu Gado wani, wi sa tan na libi, dan wi sa du disi noso dati.” 
JAS.4.16	Ma san un e du now na tak' un e meki bigi gi unsrefi, èn dati no bun. 
JAS.4.17	So efu wan sma sabi san bun fu du, ma a no du en, dan na sondu a e sondu.
JAS.5.1	Unu di gudu, un arki! Un mus krei, iya un mus bari krei fu den bigi nowtu san o miti unu. 
JAS.5.2	Den gudu fu unu pori gwe. Kakalaka nyan den krosi fu unu. 
JAS.5.3	A gowtu nanga a solfru fu unu kon frustu. A frustu disi o sori tak' un no du bun, èn leki faya a o bron un heri skin. Un kibri gudu aladi a kba fu grontapu de krosbei. 
JAS.5.4	Luku, a moni di yu hori na baka fu den wrokoman di mai den gron fu yu, e bari. Èn a krei fu den sma di tyari a nyanyan kon ini a maksin, kon te na den yesi fu Masra di abi Ala Makti. 
JAS.5.5	Na grontapu un ben libi bigi èn ala sani san un ben wani, un ben abi. Un nyan fatu unsrefi fu a dei san den o srakti unu. 
JAS.5.6	Un krutu sma di no du noti, èn un kiri den. Den no man feti baka nanga unu.
JAS.5.7	Brada nanga sisa, un hori pasensi te leki Masra drai kon baka. Luku, a man di abi a gron e wakti tapu a bun nyanyan san a gron o gi. A e wakti nanga pasensi fu alen nati a gron fosi a sai. A e wakti tu fu alen nati en fosi a koti a nyanyan. 
JAS.5.8	Na so un mus abi pasensi tu. Un mus teki dek'ati, bika Masra e kon her'esi baka.
JAS.5.9	Brada nanga sisa, un no mus krut'krutu tapu makandra, dan Gado no sa krutu unu. Luku, a Krutubakra e tnapu let' na mofodoro.
JAS.5.10	Brada nanga sisa, teki wan eksempre na den profeiti di ben taki ini a nen fu Masra. Den ben nyan pina, ma den ben hori pasensi. 
JAS.5.11	Memre tak' wi e si den sma di e hori doro, leki sma di Gado blesi. Un yere fa Yob ben hori doro, èn a fasi fa Masra tyari a tori kon na wan kba, meki un si tak' A abi bunfasi nanga furu sari-ati. 
JAS.5.12	Brada nanga sisa, a moro prenspari sani na tak' un no e meki sweri. Un no mus sweri na heimel, èn un no mus sweri na grontapu nanga no wan tra sani tu. Meki tak' te un e taki: “Iya,” a tan “Iya.” Èn tak' te un e taki: “No,” a tan “No.” Dan Gado no sa krutu unu. 
JAS.5.13	Efu wan fu unu abi wan nowtu, dan a mus begi. Efu wan fu unu e prisiri, dan a mus singi fu gi Gado bigi nen. 
JAS.5.14	Efu wan fu unu e siki, dan a mus seni kari den fesiman fu a gemeente kon, fu den begi gi en èn fu den lobi oli gi en ini a nen fu Masra. 
JAS.5.15	Dan a begi san den begi nanga bribi sa meki tak' a sikiwan kon betre baka. Masra sa dresi en. Efu a ben sondu, dan Gado sa gi en pardon fu en sondu. 
JAS.5.16	Dat' meki un mus taigi makandra efu un sondu, èn un mus begi gi makandra fu un kan kon betre. A begi fu wan sma di bun ini Gado ai, e du furu bika a abi krakti. 
JAS.5.17	Elia ben de wan libisma leki unu. A begi wan begi fu alen no fadon, dan dri yari nanga siksi mun langa alen no fadon. 
JAS.5.18	Dan a begi baka. Ne alen fadon èn a gron bigin gi nyanyan. 
JAS.5.19	Brada nanga sisa, efu wan fu unu bigin bribi wan sani san no e agri nanga a tru boskopu, ma dan wan trawan yepi en fu bribi a tru boskopu baka, 
JAS.5.20	dan un mus sabi tak' a sma di e yepi wan sondusma fu kon baka tapu a leti pasi, e meki tak' a sma no go lasi èn tak' a kisi pardon fu furu sondu. 
1PE.1.1	Gi den sma di e libi panyapanya leki doroseisma ini Pontus, Galasia, Kapadosia, Asia, nanga Bitinia.
1PE.1.1	Disi na wan brifi fu Petrus, wan boskopuman fu Yesus Kristus. 
1PE.1.2	Gado a P'pa ben teki a besroiti kba fu teki un gi Ensrefi, èn a Yeye ben meki un kon tron santa sma. A P'pa teki unu fu du a wani fu Yesus Kristus èn fu a brudu fu Kristus wasi unu. Mi e winsi tak' Gado sa sori un bun-ati èn gi un freide bogobogo.
1PE.1.3	Meki wi opo a nen fu Gado, a P'pa fu wi Masra Yesus Kristus, fu di A ben abi furu sari-ati nanga wi. So A meki Yesus Kristus opo baka na dede fu wi kan abi wan nyun libi nanga nyun howpu. 
1PE.1.4	A pramisi unu wan gudu di de na heimel. A gudu disi no e pori gwe noiti, a no e kon frustu, èn a e tan bun fu têgo. 
1PE.1.5	Fu di un e bribi meki Gado e tan kibri unu nanga En krakti te leki A sa ferlusu unu. A de klar'klari fu meki sma si dati ini den laste dei.
1PE.1.6	Dat' meki un mus prisiri, awinsi nownowde a de fanowdu fu un sari fu wan syatu pisten fu di un e psa ala sortu tesi. 
1PE.1.7	Ma dati na fu sori tak' a bribi fu unu na trutru bribi. Bika gowtu srefi, di no e tan fu têgo, den e bron fu luku efu na trutru gowtu. Ma a bribi fu unu abi warti moro gowtu. A o meki den prijse unu èn gi un grani nanga bigi nen te Yesus Kristus o sori Ensrefi. 
1PE.1.8	Un lobi En, aladi un no si En. Un e bribi ini En, awinsi un no e si En nownow. Èn un abi wan prisiri di kmoto fu heimel, di un no man gi baka nanga wortu. 
1PE.1.9	Bika un kisi a paiman fu un bribi, èn dati na tak' Gado e ferlusu unu.
1PE.1.10	Den profeiti ben taki na fesi kba tak' Gado bo sori un En bun-ati. Den suku go suku kon fu kon sabi fa Gado bo ferlusu unu. 
1PE.1.11	Bika a Yeye fu Kristus, di ben de na ini den, ben meki den sabi na fesi kba tak' Kristus bo nyan pina èn tak' A bo kisi grani baka dati. Den ondrosuku fin'fini fu kon sabi oten èn na tapu sortu fasi a sani disi bo psa. 
1PE.1.12	Gado sori den tak' den sani san den ben e taki, no ben de gi densrefi, ma gi unu. A seni a Santa Yeye kmoto fu heimel, èn a Santa Yeye meki den sma di ferteri unu a Bun Nyunsu, taki fu den sani disi, sani di srefi den engel e angri fu kon sabi.
1PE.1.13	Dat' meki un mus sreka unsrefi fu de na un krin ferstan. Un mus de nanga krin ai, èn un mus fertrow nanga un heri ati tapu a bun-ati fu Gado di A o sori unu te Yesus Kristus o sori Ensrefi. 
1PE.1.14	Un no mus de trangayesi pikin. Un no mus meki den takru lostu hari unu, di un ben abi ini a ten di un no ben sabi moro betre. 
1PE.1.15	Ma leki fa a Wan di kari unu de santa, na so unu srefi mus de santa na ini ala sani san un e du. 
1PE.1.16	Bika a skrifi taki: “Un mus de santa, fu di Mi santa.” 
1PE.1.17	Gado e koti krutu sondro fu luku suma na yu. Èn efu un e kari En un P'pa, dan un mus abi lespeki gi En solanga un e libi dya leki doroseisma. 
1PE.1.18	Bika un sabi tak' a no sani di e pori, soleki solfru nanga gowtu, ben pai fu meki un kon fri fu a soso fasi fa den afo fu unu ben leri un fu libi. 
1PE.1.19	Ma na a diri brudu fu Kristus ben pai fu un kon fri. A ben de leki wan lam di no ben mankeri noti èn di no ben abi no wan flaka. 
1PE.1.20	Gado ben abi En ini En prakseri kba fosi grontapu ben meki. Ma na fu unu ede Gado meki Kristus sori Ensrefi now na a kba fu a ten disi. 
1PE.1.21	Na En meki tak' un e bribi ini Gado. Gado ben meki A opo baka na dede èn A gi En grani. Disi meki tak' un e bribi ini Gado èn un poti un howpu tapu Gado tu.
1PE.1.22	Now di un krin un ati fu di un du san a tru leri e taki, un o man abi trutru lobi gi makandra. So un mus lobi makandra nanga un heri ati. 
1PE.1.23	Bika a wortu fu Gado di e libi èn di e tan fu têgo, meki tak' un kisi a nyun libi san no kmoto fu siri di e pori gwe, ma fu siri di e tan fu têgo. 
1PE.1.24	Bika:
1PE.1.24	Libisma de leki grasi,
1PE.1.24	èn a moi fu den de leki bromki
1PE.1.24	di e gro na sei pasi.
1PE.1.24	A grasi e drei gwe
1PE.1.24	èn a bromki e fadon, 
1PE.1.25	ma a wortu fu Masra
1PE.1.25	e tan fu têgo.
1PE.1.25	Èn a wortu disi na a Bun Nyunsu san den ferteri unu.
1PE.2.1	Fu dat'ede un mus tapu nanga ala sani san no bun. Un mus tapu nanga ala bedrigi fasi, nanga hoigri maniri èn nanga dyarusu. Un no mus taki takru tu fu trawan. 
1PE.2.2	Ma leki nyunyun pikin un mus angri fu a trutru merki san no moksi nanga tra sani. Disi o yepi unu fu gro èn fu Gado ferlusu unu. 
1PE.2.3	Bika now un sabi fa Masra bun. 
1PE.2.4	Kristus na a libilibi ston di libisma poti na wan sei, ma di Gado teki fu di A ben prenspari gi En. Un kon na En, 
1PE.2.5	dan A o teki unu leki libilibi ston fu bow wan oso na yeyefasi. Un o du a wroko leki domri di ben poti aparti gi Gado. Dan Yesus Kristus sa meki tak' Gado abi prisiri nanga den offer di un e tyari yeyefasi. 
1PE.2.6	Bika a skrifi ini a Santa Buku taki:
1PE.2.6	Luku, Mi e poti wan ston ini Sion,
1PE.2.6	wan prenspari stonfutu
1PE.2.6	di Mi srefi ben teki.
1PE.2.6	Ala sma di e poti den bribi
1PE.2.6	na En tapu
1PE.2.6	no sa kon na syen. 
1PE.2.7	Gi unu di e bribi, a ston disi prenspari. Ma gi den sma di no e bribi, a de so taki:
1PE.2.7	A ston di den mesreman
1PE.2.7	poti na wan sei,
1PE.2.7	na a srefi ston dati
1PE.2.7	tron a moro prenspari ston
1PE.2.7	fu a heri oso. 
1PE.2.8	Wan ston pe sma o aka den futu,
1PE.2.8	wan ston di o meki sma fadon. 
1PE.2.8	Den stotu den futu fu di den no ben wani du san a wortu e taki, èn dati na san ben mus fu psa nanga den.
1PE.2.9	Ma un dati na sma di Gado teki gi Ensrefi. Unu na den domri fu a Kownu, wan santa pipel, wan pipel di de fu Gado wawan. A teki unu fu ferteri fu den bigi sani fu a Wan di kari unu puru na ini a dungru, fu un kon na ini a ferwondru faya fu En. 
1PE.2.10	Fosi un no ben de wan pipel, ma now un tron a pipel fu Gado. Fosi Gado no ben sori unu En bunfasi, ma now A e sori unu En bunfasi. 
1PE.2.11	Lobiwan, unu na doroseisma. Na tan un e tan sranga dya. Dat' meki mi e warskow unu fu un no gi unsrefi abra na den takru lostu fu a skin di e feti nanga un sili. 
1PE.2.12	Un mus tyari unsrefi bun na mindri fu den sma di no sabi Gado. Den o kosi unu tak' den sani san un e du, no bun. Ma te den luku den sani moro fini, dan den srefi o gi Gado grani tapu a dei di A o kon luku wi, fu den bun wroko fu unu.
1PE.2.13	Un mus saka unsrefi gi ala den sma di libisma poti leki edeman. Du en fu Masra ede. Un mus saka unsrefi gi a kownu, fu di en na a moro hei sma di abi fu taki. 
1PE.2.14	Un mus saka unsrefi gi den granman tu, fu di na en poti den fu strafu den sma di e du ogri, èn fu gi den sma grani di e du bun. 
1PE.2.15	Bika a wani fu Gado na tak' un mus du bun. Dan so un e tapu den don mofo fu den sma di no sabi noti. 
1PE.2.16	Un mus libi leki sma di kon fri, ma no teki a fri dati fu du sani san Gado no wani. Un mus libi leki knekti fu Gado. 
1PE.2.17	Un mus lespeki ala sma. Un mus lobi ala den brada nanga sisa. Un mus lespeki Gado, èn un mus gi a kownu grani.
1PE.2.18	Unu di de knekti, un mus saka unsrefi gi un basi nanga ala lespeki. Un no mus du disi wawan gi den basi di bun èn di abi switi maniri, ma un mus du en tu gi den wan di no bun. 
1PE.2.19	Bika na wan grani efu wan sma e nyan pina fu Gado ede, sondro tak' a fowtu. 
1PE.2.20	Ma efu den priti yu skin fu di yu du wan sani san no bun, dan yu no kan kisi grani. Ma efu yu e du bun èn yu abi fu nyan pina, dan dati na wan grani fu Gado. 
1PE.2.21	Na fu dati Gado kari unu. Bika Kristus srefi ben nyan pina gi unu, èn A gi un wan eksempre fu un kan waka na En baka.
1PE.2.22	Noiti A no ben du wan sondu,
1PE.2.22	noiti A lei nanga En mofo. 
1PE.2.23	Te den ben e kosi En, A no ben e kosi baka. Te A ben e nyan pina, A no ben e taigi den sma tak' A bo du den wan sani baka. Ma A ben e libi ala sani abra gi Gado di e krutu nanga leti. 
1PE.2.24	Na En srefi teki ala wi sondu na En tapu di den spikri en na a kroisi. Disi ben mus meki tak' now di wi dede gi sondu, wi sa libi bun ini Gado ai. Den soro fu En meki un kon betre. 
1PE.2.25	Bika un ben e waka leki skapu sondro fu sabi pe un e go. Ma now un drai kon baka na a Skapuman di e sorgu tak' a e go bun nanga un sili.
1PE.3.1	Frow, tapu a srefi fasi un mus saka unsrefi gi un masra. Dan awinsi sonwan fu den no e bribi a wortu, un o man wini den sondro wortu te den e si a fasi fa un e tyari unsrefi. 
1PE.3.2	Den o si tak' un e tyari unsrefi tapu wan krin fasi, nanga lespeki gi Gado. 
1PE.3.3	A moi fu yu no mus de wan sani di de fu si na dorosei nomo. A no mus de a fasi fa yu e meki yu wiwiri, den gowtusani san yu e weri, noso den moi krosi na yu skin. 
1PE.3.4	Ma a mus kmoto fu yu ati di sma no e si, a safri èn tiri fasi fu yu. Na dati prenspari ini Gado ai, èn a e tan fu ala ten. 
1PE.3.5	Disi ben de a moi fu den santa uma fu fosten. Den ben poti den howpu tapu Gado, èn den ben e saka densrefi gi den masra. 
1PE.3.6	Na so Sara ben e du san Abraham taki èn a ben e kari en “masra.” Efu un e du bun èn efu un no e frede noti, dan unu na bakapikin fu Sara. 
1PE.3.7	Mansma, unu fu un sei mus libi nanga ferstan nanga un frow, bika den no tranga so leki unu. Sori den lespeki, bika neleki unu den kisi a libi di Gado gi wi fu sori wi En bun-ati. Dan noti o man hori den begi fu unu na baka. 
1PE.3.8	Na a kba mi wani taigi un ete tak' un alamala mus abi a srefi prakseri. Un ati mus safu gi makandra. Un mus lobi makandra leki brada nanga sisa. Un mus abi sari-ati gi makandra, èn un mus abi sakafasi. 
1PE.3.9	Un no mus pai ogri nanga ogri. Efu wan sma kosi unu, un no mus kosi en baka, ma un mus blesi en. Bika na fu dati Gado kari unu, fu un kisi blesi. 
1PE.3.10	Bika:
1PE.3.10	A sma
1PE.3.10	di wani abi prisiri ini a libi,
1PE.3.10	èn di wani psa bun ten,
1PE.3.10	mus sorgu tak'
1PE.3.10	a no e taki takru fu trawan,
1PE.3.10	èn tak' a no e lei nanga en mofo. 
1PE.3.11	A mus drai en baka gi ogri,
1PE.3.11	èn a mus du bun.
1PE.3.11	A mus suku freide nanga tra sma,
1PE.3.11	èn a mus du ala muiti
1PE.3.11	fu sorgu tak' a freide tan.
1PE.3.12	Bika Masra ai de tapu den sma
1PE.3.12	di bun ini En ai,
1PE.3.12	èn En yesi e yere
1PE.3.12	den begi fu den.
1PE.3.12	Ma Masra e drai En fesi
1PE.3.12	gi den sma di e du ogri.
1PE.3.13	Suma o man du un ogri, efu un e suku fu du bun? 
1PE.3.14	Bika blesi de na un tapu, awinsi un abi fu nyan pina fu di un e du san bun ini Gado ai. Un no mus frede den sani san den e frede, èn no wan sani mus bruya unu. 
1PE.3.15	Ma ini un ati un mus poti Kristus aparti leki Masra. Ala ten un mus de klar'klari fu gi frantwortu na ala sma di e aksi un fu a howpu di un abi. 
1PE.3.16	Ma un mus du en tapu wan safri nanga lespeki fasi, èn un mus sorgu tak' un abi wan krin konsensi. Dan so den sma di e taki takru fu a bun fasi fa un e libi ini Kristus, o kisi syen fu den ogri sani di den taki. 
1PE.3.17	Bika efu a de a wani fu Gado, dan a moro bun fu nyan pina te un e du bun, dan fu di un e du ogri. 
1PE.3.18	Bika Kristus srefi, di ben bun ini Gado ai, dede gi den sondu fu den sma di no bun ini Gado ai. A du en wan leisi nomo fu tyari un kon na Gado èn noiti a sa de fanowdu moro. A ben dede na skinfasi, ma a Yeye ben meki A libi. 
1PE.3.19	Èn na so A go preiki gi den yeye di ben de na strafu. 
1PE.3.20	Den yeye disi no ben du san Gado wani, aladi A ben abi langa pasensi nanga den ini a ten di Noa ben e meki a bigi boto. Wantu sma nomo ben feni yepi. Den ben de nanga den aiti nomo di no dede ini a watra. 
1PE.3.21	A watra na wan eksempre fu a dopu san e ferlusu unu now. A dopu no e wasi a doti puru fu un skin, ma na begi wi e begi Gado fu wan krin konsensi fu di Yesus Kristus opo baka na dede. 
1PE.3.22	A go na heimel pe A e sidon na a let'anu sei fu Gado. Èn ala engel nanga ala den yeye di abi makti nanga krakti, saka na En ondro.
1PE.4.1	Fu di Kristus nyan pina leki libisma, dan unu srefi mus de klar'klari tu gi dati. Bika a sma di teki pina leki libisma, tapu nanga sondu. 
1PE.4.2	Dan so a no o libi moro fa en ati firi, ma ini a ten san a abi fu libi ete, a o libi leki fa Gado wani. 
1PE.4.3	Bika un libi langa nofo leki fa den sma di no sabi Gado e libi. Un ben e libi wan yayolibi, èn un ben e du san un ati ben e firi fu du. Un ben e dringi drungu, un ben e gi fesa nomo, èn un ben e du ala sortu takru afkodrei. 
1PE.4.4	Den sma di no sabi Gado no man ferstan tak' un no wani libi a srefi doti libi disi moro nanga den. Dat' meki den e taki takru fu unu. 
1PE.4.5	Ma den o abi fu gi frantwortu na a Wan di tnapu klar'klari fu krutu den libiwan nanga den dedewan. 
1PE.4.6	Bika na fu dat'ede den dedewan yere a Bun Nyunsu tu. Leki libisma den ben mus kisi strafu na libisma fasi, ma gi Gado den e libi na yeyefasi.
1PE.4.7	A kba fu ala sani de krosbei. Dat' meki un mus kisi unsrefi. Un mus de na un krin ferstan fu un kan begi. 
1PE.4.8	A moro prenspari sani na tak' un lobi makandra tranga, bika lobi e tapu furu sondu. 
1PE.4.9	Un mus opo un oso gi makandra, sondro fu knoru. 
1PE.4.10	Ibri sma mus dini den trawan nanga a presenti di Gado gi en, leki sma di e wroko bun nanga den difrenti sortu presenti di Gado gi wi. 
1PE.4.11	Efu wan sma e tyari wan wortu, meki a de so tak' a wortu e kon fu Gado srefi. Efu wan sma e dini trawan, meki a de so tak' a e dini nanga a krakti san Gado gi en. Disi o meki tak' fu Yesus Kristus ede, Gado o kisi grani fu ala sani. Na En mus kisi ala glori nanga ala krakti fu têgo èn ala ten! Amen.
1PE.4.12	Lobiwan, un no mus ferwondru fu a bigi tesi di e miti unu, neleki na wan spesrutu sani psa nanga unu. 
1PE.4.13	Ma o moro un e teki prati ini a pina fu Kristus, o moro un mus breiti. Dan un sa breiti srefsrefi tapu a dei di A o sori En glori. 
1PE.4.14	Blesi de na un tapu efu un e nyan pina fu a nen fu Kristus ede. Bika a Yeye fu Gado, di de a Yeye fu glori, de na un tapu. 
1PE.4.15	Sorgu tak' no wan fu unu abi fu nyan pina leki wan kiriman, leki wan fufuruman, leki wan abani, noso fu di a e bemui na ini tra sma tori. 
1PE.4.16	Ma efu wan fu unu e nyan pina fu di a de wan Kristensma, dan a no abi fu firi syen. Ma meki a gi Gado grani fu di a e tyari a nen disi. 
1PE.4.17	Bika a ten fu krutu doro kba, èn a o bigin na ini a oso fu Gado. So efu a e bigin na wi fosi, dan fa a sa waka nanga den sma di no wani bribi a Bun Nyunsu fu Gado?
1PE.4.18	Efu nanga muiti Gado e ferlusu
1PE.4.18	den sma di bun ini En ai,
1PE.4.18	san o psa dan nanga den sma
1PE.4.18	di no e dini Gado
1PE.4.18	èn nanga den wan
1PE.4.18	di e sondu? 
1PE.4.19	Dat' meki den sma di mus nyan pina fu di Gado wani dati, mus tan du san bun èn den mus poti den libi na ini anu fu Gado. Na En meki den èn A de fu fertrow.
1PE.5.1	Fesiman fu gemeente, mi na wan fesiman tu. Mi si fa Kristus teki pina èn mi o teki prati ini a glori di de fu kon. Mi e begi unu: 
1PE.5.2	Un sorgu bun gi den bribisma drape, den skapu fu Gado. Sma no mus dwengi unu fu du en, ma un mus du en nanga wan fri wani, soleki fa Gado wani. Un no mus du en tu fu meki moni, ma fu di un wani yepi den. 
1PE.5.3	Un no mus de leki basi na tapu den sma di un mus luku, ma un mus de wan eksempre gi den skapu fu Gado. 
1PE.5.4	Dan te a Moro Hei Skapuman kon, A sa gi un grani di noiti no e kba.
1PE.5.5	Yonguwan, unu fu un sei mus saka unsrefi gi den owruwan. Un alamala mus abi sakafasi gi makandra. Bika:
1PE.5.5	Gado e feti den sma
1PE.5.5	di abi bigimemre,
1PE.5.5	ma den sma di abi sakafasi,
1PE.5.5	A e sori En bun-ati. 
1PE.5.6	Dat' meki un mus saka unsrefi ondro a tranga anu fu Gado, dan En o opo unu te a ten fu En doro. 
1PE.5.7	Poti ala sani nanga san un e broko un ede, ini Gado anu, bika A e sorgu gi unu.
1PE.5.8	Un mus de nanga krin ferstan, èn un mus de na ai. Bika didibri, a feyanti fu unu, e waka lontu leki wan krasi tigri fu si suma a kan feni swari. 
1PE.5.9	Un mus kaka futu gi en, un mus tnapu tranga na ini a bribi. Bika un sabi tak' den brada nanga sisa na ini heri grontapu, e nyan den srefi pina leki unu. 
1PE.5.10	Ma Gado, di e sori En bun-ati na ala fasi, kari unu fu teki prati ini En glori di e tan fu têgo, fu di un de wan nanga Kristus. Fu wan syatu pisten un o abi fu nyan pina, ma dan A o meki un kon de san un mus de. A o opo un tnapu, un o kon moro tranga, èn A o poti un tnapu tapu wan bun fundamenti. 
1PE.5.11	Na En mus kisi ala krakti fu têgo èn ala ten! Amen.
1PE.5.12	Silfanus yepi mi skrifi unu a syatu brifi disi. A de wan brada di mi sabi tak' un kan fertrow. Nanga a brifi disi mi wani gi un dek'ati, èn mi wani sori unu tak' san mi skrifi e taki fu a tru bun-ati fu Gado. Un mus tan hori tranga na dati. 
1PE.5.13	Den sma fu Gado na Babilon seni taki un odi. Gado teki den gi Ensrefi neleki unu. Markus, di mi e si leki mi eigi pikin, seni taki un odi tu. 
1PE.5.14	Un mus taki makandra odi nanga wan santa bosi.
1PE.5.14	Meki a freide fu Gado de nanga unu di de wan nanga Kristus.
2PE.1.1	Gi den sma di kisi a srefi diri bribi leki wi, fu di wi Gado èn Ferlusuman, Yesus Kristus, e du sani nanga leti.
2PE.1.1	Disi na wan brifi fu Simon Petrus, wan knekti èn boskopuman fu Yesus Kristus. 
2PE.1.2	Mi e winsi tak' fu di un kon sabi Gado nanga wi Masra Yesus, den sa sori un bun-ati èn gi un freide bogobogo.
2PE.1.3	Wi kon sabi a Wan di kari wi fu teki prati ini En glori nanga En makti. Nanga En krakti leki Gado, A gi wi ala sani san wi abi fanowdu fu libi leki fa A wani. 
2PE.1.4	A sani disi meki tak' wi kisi pramisi di warti furu èn di bigi srefsrefi. Den e meki tak' wi kan teki prati ini a fasi fa Gado de, èn tak' wi man kmopo ini a pori di den takru lostu tyari kon na grontapu.
2PE.1.5	Fu dat'ede, fu di un e bribi, un mus du ala muiti fu abi bunfasi. Makandra nanga a bunfasi, un mus abi sabi tu. 
