MAT.1.1	Ɗèlèwèr nzlembaƋ ndohi te verzi Yèsu Kristi, kra David, kra Abraham.
GAL.4.29	Aman ara man a pats nasa, ndo man ta yau ara mataka'a, a mparaha ndo man ta yau te Mèzhèɓ, lèmèlèmè a patsna. 
GAL.4.30	Ɗèlèwèr Zhiklè a gaƋ kè?
GAL.4.30	Vadzarda ngwoz, man ɓèlè, a kra nenga'a, auda; aman kra ɓèlè da ndu gai a nda kra ngwoz gi ɓai.
GAL.4.31	Gar haha anai, dalahimam ga, nga wudahi ɓèlè ka ɓai, aman wudahi ngwoz gai.
GAL.5.1	Kristi a mpre nga, aman nga pra'a a vava. Gar haha vanze tara'a, kin gu ɓèlè ara hala ɓai! 
GAL.5.2	Na haha, iyè Paul, i gaƋa kinè: Aman kin ngél ngwon, ara ndohi Juif, Kristi skwi ambalai a sam kinè. 
GAL.5.3	I ngreda na ndo staƋ staƋ tèlèba za'a; aman a ngél ngwon sèi man a jèjèr ma kita tèlèba ndèzl. 
GAL.5.4	Aman kin woy a kin ngècè ngizura'a te ma kita Zhiklè, kin kezla a nda Kristi, a kin kèlè auda te pombai.
GAL.5.5	Nga zhèr ngizura'a te ndav. Aman sèi nga zhèrè'a te Mèzhèɓ a ncè-a-ndav. 
GAL.5.6	Aman te Kristi Yèsu, ko ngwon n'ngela, ko ngwon n'ngel ɓai, skwi ambalai; sèi ncè-a-ndav te mwoy-ndo. 
GAL.5.7	Kin hüno amba amba. Nzlatsede kinè a hi wa, a kin fi gèä a ma nzura'a azɓai? 
GAL.5.8	Ma man ta fa kinè a gèƋ arsa, a shkè te nenga'a man a baba kinè ka ɓai.
GAL.5.9	Movar mɓesla'a kèshkata a ɓesla movar tèlèba.
GAL.5.10	I huro, te Bi Zhiklè, kinè ba kin hur ara ga. Aman ndo man a dzakaɓama kinè gèƌ, a ngècè kita Zhiklè, ko wawa. 
GAL.5.11	Aman iyè, dalahimam ga, man i njè ma n'ngél ngwon, ndohi Juif ta parahayé èhèmè? Man arsa, njèma ga a gèƌ wof ngézlèl Yèsu nara skwi nslafaƌama ta sak asakaɓai.
GAL.5.12	Dara tenga'a man ta dzakaɓa kinè, ta tsuɓa va ta a ri ta. 
GAL.5.13	Aman kinè, dalahimam ga, Zhiklè a baba kinè a sam mpra'a. Aman vagu maya, aman a géƌ man kin pra t'uda ma, kin va na civèƌ a ntétékè te va kinè ɓai. Aman te mwoy-ndo, ngiƌè da takaha ngiƌè, ngiƌè da takaha ngiƌè. 
GAL.5.14	Aman ma kita Zhiklè tèlèba nhumda te ma staƌ:
GAL.5.14	Woy ndo a ndav ngaya ara man ka woy nshèffe ngaya.
GAL.5.15	Aman kin bèzl va, a kin ndi va kinè a ma dai, vagu maya, man ɓai kin ndeva va kinè!
GAL.5.16	Aman i gaƋa: Vodo te Mèzhèɓ, kin dzodzor ntètèkè va kinè ɓai! 
GAL.5.17	Aman ntètèkè ndo a gi var a Mèzhèɓ, a Mèzhèɓ a ntètékè ndo. Ta cèw ta bèzl va, a kin gi skwi man kin woya'a azɓai. 
GAL.5.18	Aman Mèzhèɓ Zhiklè a gi bi kinè, kinè t'hwaƋ ma kita Zhiklè ka ɓai.
GAL.5.19	Skwi man ndohi ta gia'a te ntétékè ta, a ngrédè auda ara: ngi mpnömè, skwi nlizhèa, mbizhè zlawa, 
GAL.5.20	ngi vrai, m'mbèh skwai, ngi mayam, ngi ndav, srak, ndzoan, mbèzl va, tiflè man a kezla ta ndohai, njèjèr ma civèƋ Zhiklè ngiƋè, 
GAL.5.21	ntètèkè, njèjèr zom, n'ndi skwi ke­tsamketsama'a, a skwi tsaƋ tsaƋ aranta man i gaƋa kinè nshèlèkura'a, a i gèƋè za'a: Tengahi man ta gi arsa, ta da ndi kokwar-Bi Zhiklè azɓai.
GAL.5.22	Skwi man a shkè auda te Mèzhèɓ: Mwoy ndo a ndav, mwuffè, gumai, nzhèr skwi a ma ma, ndo a se ka te va, ndav amba, nlèɓèslea, 
GAL.5.23	ndav nlüɓekwa'a, ngshè va; ma kita Zhiklè a gedassa skwi haha azɓai! 
GAL.5.24	Aman ndohi man te Yèsu Kristi, ta gezlala ntétékè va tenga'a, a skwi man a woya'a. 
GAL.5.25	Aman nga nzi a nshèffè te Mèzhèɓ, sèi nga jèjèr Mèzhèɓ ba. 
GAL.5.26	Nga da woy n'njèl ambali ɓai, nga da poko ta gèƋ auda a ndohi ɓai, nga da gu srak a gèƋ ndo ngiâè ɓai!
GAL.6.1	Dalahimam ga, kinè man Mèzhèɓ Zhiklè a ndha ndav kinè! Man mali a kala na a gèƋ ndo ngiƋè, vatakaha, vatilè'a a ndav nlüɓekwa'a. A ndo staƋ staƋ da gu maya a géƋ va na ba, man ɓai ta pe kinè a wi arsa. 
GAL.6.2	StaƋ staƋ da takaha a nzhuɓ skwi man a nzala na ndo ngiƋè, aman ar haha kin gu ara ma kita Kristi. 
GAL.6.3	Aman ndo ngiƋè a huro, i mbia'a, i fena ngiƋè, ko nenga'a a pi va na a wai a ri na. 
GAL.6.4	Ndo staƋ staƋ da war gèƋ na dai; wa ngiƋè ba a ngècè njégèr va a géƋ na, a géƋ ndo ngiƋè ka ɓai. 
GAL.6.5	Aman ndo staƋ staƋ tèlèba a skwi na a gèƋ na.
GAL.6.6	Aman ndo man ta njè na ma, da va na skwi a ndo man a njè na. 
GAL.6.7	Kin pu va kinè a wi a ri kinè ɓai! Kin slaha kin mbèhwali a Zhiklè azɓai. Skwi man ndo a zlekia'a, a di a ɓicè'a. 
GAL.6.8	Ndo man a zleki a géƋ ntétékè na, a di a ɓicè te ntétékè skwi man a gedassa va na. Aman ndo man a zlekia'a te Mèzhèɓ, a di aɓicète Mèzhèɓ Zhiklè nshèffè a mèdèp. 
GAL.6.9	Ngogokoy skwi man amba, a nga ngézhè azɓai. Aman nga jèkeda ɓai, a pats nasa a di nga da ɓicè skwai.
GAL.6.10	Gar haha aman nga slaha dai, ngogokoy skwi man amba a sam ndohi tèlèba, holhola'a a sam gwoli nga te ncè-a-ndav. 
GAL.6.11	Ma haha i winda kinè a lamba mbia'a a ri ga. 
GAL.6.12	Ndohi man ta gaƋa kinè, sèi kin ngel ngwon ndèzl, ta woy a ta gi a ndohi mbibihia'a a sam di ndohai, a ta woy aman ndohi ngiƋè ta paraha ta azɓai a geƋ wof ngézlèl Kristi. 
GAL.6.13	Aman tenga'a ba, man ngwon ta n'ngela, ta jèjèr ma kita azɓai. Aman ta woy a kin ngél ngwon, aman ta slaha ta jégèr va a géƋ kinè.
GAL.6.14	Aman i woy a i jégèr va azɓi fèt ba. Aman n'njèl ga staƋgenè, nenga'a wof ngézlèl Bi nga Yesu Kristi, te nenga'a herkeda ngezlala a sam ga, a iyè a sam herkeda. 
GAL.6.15	Aman ko ngwon n'ngela, ko ngwon n'ngel ɓai, skwi ambalai. Aman sèi ndo man a ngots nshèffè mɓua'a. 
GAL.6.16	A sam ndohi tèlèba man ta jejèr ma haha gumai a pombi Zhiklè da zhè a sam ta, a sam Israel, ndohi Zhiklè, tèlèba. 
GAL.6.17	Anai ndo da ngezyè te deɓa'a asaɓai! Vovi mblè a va ga a ngredyè, ara man i ɓèl Yèsu. 
GAL.6.18	Pombi Bi nga Yèsu Kristi, da zhè a nda Mèzhèɓ kinè, dalahimam ga! Amen.
EPH.1.1	I Paul, ndo sak Yèsu Kristi, ara man Zhiklè a woya'a, a sam ndohi Zhiklè te kokwar Ephèse, a ndohi man ta co Yèsu Kristi a ndav. 
EPH.1.2	Pombai a gumai da, zhè a nda kinè te Zhiklè, Bab nga, te Bi Yèsu Kristi. 
EPH.1.3	Nga shid gèƋ a Zhiklè, Bab Bi nga Yèsu Kristi, aman a pshè nga ma te Kristi, a va nga skwi Mèzhèɓ man a Zhiklè tsaƌ tsaƌ.
EPH.1.4	Aman te Yèsu, a mpar nga mpèrè, man herkeda n'ngedi ɓai, aman ngagi a ndohi nkezla"a, mali nga azɓai a sam di na, te mwoy-ndo nenga'a, 
EPH.1.5	a mpu saba nga, aman a ge nga a wudahi nenga'a te Yèsu Kristi, ara man ambaba, ara man a woya"a, 
EPH.1.6	a nga ndi a skwi nslèbèrdè n'njèl nenga"a, man a mva nga te kra nenga"a man a woya a ndav na. 
EPH.1.7	Yèsu a mpela gèƋ nga a pombaz na, a mpra nga malai te pombi nenga"a mbia'a, 
EPH.1.8	man Zhiklè a mva nga kumba, a vata ba, a nga shin skwi tsaƋ tsaƋ, a maya tsaƋ tsaƋ.
EPH.1.9	Te nenga'a a n'ngra nga skwi man Zhiklè a woya'a, n"ngheda"a, ara man ambaba. 
EPH.1.10	A da rufa"a, aman a mɓica tèlèba te Kristi, ko skwi te zhiklè te gèƋè"a. Ko skwi a gèƋ herkeda.
EPH.1.11	Te nenga"a nga da ngècè skwi Zhiklè, nga man a mpu saba nga, ara man a huro a géƌ skwi tèlèba man a woya a ngia'a. 
EPH.1.12	A nga gi a skwi nslébèrdè n'njèl nenga'a, nga man nga zhor Kristi te ndav n'nzi a zhè. 
EPH.1.13	Te nenga'a kinè ba, man kin tsena ma nzura'a, nenga'a ma mbela'a, a kin co a ndav, Mèzhéɓ Zhiklè nkezla'a n'ndè te ndav kinè, man a pasla nga ri a pa.
EPH.1.14	Nenga'a skwi man a va nga hai a géƌ skwi man nga da ngècè te Zhiklè, ba a mpela gèƌ nga, n'nga'a a skwi nslèbèrdè n'njèl nenga'a. 
EPH.1.15	Gar haha iyè ba, te deɓa'a man i tsena labar ma kinè, ara man kin co Bai Yèsu a ndav, ara man kin woy ta ndohi Zhiklè tèlèba, 
EPH.1.16	i jèkè nshid gèƋ a gèƋ kinè azɓai, a i hèr kinè te ntsi ri ga.
EPH.1.17	Zhiklè Bi nga Yèsu Kristi, Bab n'njèlè, da va kinè Mèzhèɓ nshin maya, da ngreda kine skwi auda, te nshin nenga'a. 
EPH.1.18	Da wina di kinè, aman kin shin skwi man kin zhèrè te ndav, man a baba kinè a pa, a n'njèl skwi Zhiklè mbia'a man kin da ngècè'a man a va ta ndohi nenga'a. 
EPH.1.19	A kin shin wuƌi mbia'a a sam nga, man nga co a ndav, ara wuƌi n'njèl na man a sam nga,
EPH.1.20	wuƌi man a gu a sam Kristi ba, man a nslambaƌda te ndev ndohi m`metsa'a, a n'nzedahi te civèƋ ri mandi nenga`a te zhiklè te gèƋè'a, 
EPH.1.21	a gèƋ kokwar-Bihai, wuƋi bihai, wuƌai tsaƌ tsaƌ, nkwèr skwai, a skwi tèlèba man ta slaha ta gèƌè'a, t'herkeda haha genè ka ɓai, aman te nenga'a ba man a di a shkè. 
EPH.1.22	Zhiklè a mfeda skwi tèlèba a hwad sak nenga'a, a mfeda a bi a gèƋ mpi ndohi Zniklè va na. 
EPH.1.23	Yèsu te mpi ndohi Zhiklè, a ndha tèlè ma ba.
EPH.2.1	Kinè hala`a ndohi m'metsa'a a gèƋ maharam a malai. 
EPH.2.2	Kin dzadzara skwi herkeda, kin fe gèƋ a madzagai, man a gi bai t'hwaƋ giƋfèk, man a gi mizlinè na antanta te ndav ndohi man ta gi mèdègèƌ a sam Zhiklè. 
EPH.2.3	Nga ba, nga gu arsa zlèzlé'a, nga dzadzara ntétékè te va nga. A nga gu skwi man va nga, a nhèr gèƋ nga a woya'a. Nga ndohi man ndzoan Zhiklè a gèƋ, te nyakaƋ nga, lèmèlèmè ara ndohi ngiƋè.
EPH.2.4	Aman Zhiklè, man ndo a sia te va kumba, a géƋ mwoy-ndo nenga'a mbia'a, man a woy nga a vna, 
EPH.2.5	nga ba ndohi m'metsa'a a géƌ, malai — a mva nga nshèffè ba a nda Kristi (a pombai kin mbel kinè), 
EPH.2.6	a nslambaƌkaƌ nga auda a nda nenga'a, a mva nga sam n'nzi te zhiklè a nda nenga'a te Yèsu Kristi. 
EPH.2.7	Pombi nenga'a mbia'a arsa a ngreda nga te mwoy-ndo nenga'a a sam nga te Kristi Yèsu.
EPH.2.8	Aman a pombai kin mbel kinè, a ncè-a-ndav; a ri kinè ka ɓai; Zhiklè a mva kinè; 
EPH.2.9	a mizlinè kinè ka ɓai, aman ndo dadzugorvaɓai. 
EPH.2.10	Aman nga skwi ri na, n'nga'a te Yèsu Kristi, aman nga gi mizlinè man amba, man Zhiklè a ntila nshèlèkura'a, a woya a nga gia'a.
EPH.2.11	Gar haha vahuro, kinè man zlèzlèa ndohi nte deɓa, man ndohi n'ngela ngwon (man ri ndo a ngau) ta baba kinè ndohi man ngwon n'ngel ɓai: 
EPH.2.12	Te ndev nasa Kristi az a sam kinè ɓai, kinè ndohi Israel ka ɓai, kin sun nderzlèma Zhiklè man a mpasla nga ri ɓai. Gar haha kin zhera skwa ɓai, kin sun Zhiklè ɓai.
EPH.2.13	Aman antanta te Kristi Yèsu, kinè man zlèzlè'a dra, kinè ndul ndul ma te pombaz Kristi. 
EPH.2.14	Aman nenga'a gumi nga. A ngu te skwi cèw, skwi staƋ. A m'mbeƋa zlazlar man a zhè te ndeva'a (zlazlar nara mayam), te va na. 
EPH.2.15	A nco ma kita a ma nkwèrè man a fa nga a gèƌ, aman te va nenga'a a nderzla cèw a ta gi a ndo mɓua'a staƋ, a ntsu gumi arsa,
EPH.2.16	a m'menda gumi a hai a Zhiklè, te va staƋ, a sam wof ngèzlèlè; a sama'a a ngedasa skwi mayam. 
EPH.2.17	Nenga'a a mshkè, a njè kinè ma gumai te ma mbela'a, a kinè man kinè dra, a tenga'a man ta ndul ndul. 
EPH.2.18	Aman te Kristi, nga cèw ba, nga ngots civèƋ a sam Bab nga te Mèzhèɓ staƋ.
EPH.2.19	Gar haha kinè ndohi mbrokihai a ndohi nshèwèlè ambali asakaɓaî. Kinè wud ngwihi ma, te va ndohi Zhiklè, man ta slébèrdè Zhiklè pèc pècèk, wud ngwi Zhiklè, 
EPH.2.20	man ta Ƌizl ta a gèƋ ndohi sak a ndohi nhadka ma te verzia'a. Yesu Kristi, kwa verzi gai a ri na. 
EPH.2.21	A gèƋ nen­ga'a gi tèlèba a grè a ma ma. Nenga'a a gshè'a, aman a gi a gi Zhiklè nkezla'a te Bai Yèsu. 
EPH.2.22	Te nenga'a kinè ba ta Ƌizl kinè ara gi Zhiklè te Mèzhèɓ.
EPH.3.1	Gar haha iyè Paul, i ndo dangai Kristi Yèsu a géƋ kinè, ndohi nte deɓa.
EPH.3.2	Kin tsena ma pombi Zhiklè, man i ngotso a i va kinè. 
EPH.3.3	Ara man i winda kinè ma kèshkata a matsa ma, skwi n'ngheda haha a ngudkoƋauda a sam ga, 
EPH.3.4	aman a kin jèngè'a, a kin slaha kin rka te pa, aman i sun skwi Kristi man n'ngheda. 
EPH.3.5	Hala'a a n'ngreda ta skwi n'ngheda haha a ndohi herkeda ɓai; aman antanta a n'ngreda ta ndohi sak nkezla'a, a ndohi nhadka ma te Mèzhèɓ.
EPH.3.6	Skwi n'ngheda sa a haha: ndohi nte deɓa ba ta ngècè skwi Zhiklè a nda tenga'a, ta humda a va staƌ, ndohi man ta mba a mpèsl ri Kristi Yèsu te ma mbela'a. 
EPH.3.7	I ndo mizlinè nenga'a, a gèƌ pombi Zhiklé man a vayè, a géƌ wuƌi nenga'a mbia'a.
EPH.3.8	A mvay skwi haha a iyè, ntabaw ndohi Zhiklè tèlèba, aman i njè ta mèshèlè Kristi, man a ndev ɓai, a ndohi nte deɓa, 
EPH.3.9	a i winè ta dai, aman ta rka skwi man Zhiklè a huro a ngia'a, man n'ngheda te nhinkaƋ herkeda te Bi Zhiklè, man a ngu skwi tèleba.
EPH.3.10	Antanta te mpi ndohi Zhiklè, maya Zhikle tsaƋ tsaƋ n'ngreda auda a sam wuƋihai, a bihi t'hwaƋ giƋfèk. 
EPH.3.11	Skwi haha Zhiklè a nhur daga hala'a, a nrufa'a te Kristi Yèsu, Bi nga. 
EPH.3.12	Te nenga'a nga ngots civèƋ te ncè-a-ndav, aman nga herda na va a Zhiklè, a nga fi gèƋ a vna a zlau ka ɓai.
EPH.3.13	Gar haha i tsa kinè rai, aman ntulè a zlau da keƋa kinè ɓai a géƋ matakwan ga, man i Ƌishè a géƋ kinè. Nenga'a skwi n'njèl kinè. 
EPH.3.14	Gar haha i gürɓèhi a sam Bab Bi nga Yèsu Kristi, 
EPH.3.15	a nzlembaƌ nenga'a ta baba ta wudahai, te zhiklè te géƌè'a, a géƌ herkeda ba, tèlèba.
EPH.3.16	Da va kinè wuƌai, ara mèshèlè n'njèl nenga'a, aman kin gi a ndohi wuƋai te ndav kinè, te Mèzhèɓ nenga'a. 
EPH.3.17	Aman Kristi da nza te ndav kinè te ncè-a-ndav, a mwoy-ndo kinè a gi ara zluzlor man a gidè azɓai gedengge denga'a. 
EPH.3.18	A kin slaha kin suna, a nda ndohi Zhiklè tèlèba, mwoy-ndo man a zhè te Kristi: nguzlöhna, njüv na, ngür na, a nkèl na; 
EPH.3.19	a kin shin mwoy-ndo Kristi, man a fena skwi man ndohi ta sla ba a ta shinè'a a kin ndha'a a skwi man a zhè te Zhiklè tèlèba.
EPH.3.20	Aman a nenga'a man a slaha a ngi skwi tèlèba, a ndev ɓi sraffaffa'a, a fena skwi tèlè man nga slaha nga jhèƋè'a a nga shinè'a, ara wuƋi man a gi te ndav nga, 
EPH.3.21	a Zhiklè: n'njèlè te mpi ndohi Zhiklè, te Yèsu Kristi, pèc pècèk, asam ndohi a géƋ herkeda tèlèba, a mvi a mvai, a mèdèp. Amen.
EPH.4.1	Gar haha i fa kinè ma a gèƋ, iyè ndo dangai a géƋ Bai Yèsu: Vanza a maya, ara man kin njèl Zhiklè man a baba kinè. 
EPH.4.2	Vamanda gèƋ a hai, a ndav nlüɓekwa'a, vozhor skwi a ma ma, valèɓèslè a va kinè, ngiƋè a sam ngiƋè, te mwoy-ndo. 
EPH.4.3	Vagu maya a vata, aman gumai a humde kinè te Mèzhèɓ te va staƋ, te Mèzhèɓ staƋ,
EPH.4.4	ara man Zhiklè a baba kinè a sam nzhèrè te ndav kinè staƋ. 
EPH.4.5	Bai staƋ, ncè-a-ndav staƋ, baptême staƋ, 
EPH.4.6	Zhiklè staƋ, Bab ndo tèlè, nenga'a man a zhè a géƋ skwi tèlèba, a sam skwi tèlèba, te skwi tèlèba. 
EPH.4.7	Aman ndo staƋ staƋ te ndev nga a n'ngots pombai, ara man Kristi a va na. 
EPH.4.8	Gar haha ta windo:
EPH.4.8	Ndè naa géƋè'a, a hulta ndohi dzawa'a a skwi man a verzai, a mva ta pombi tsaƌ tsaƌ a ndohai.
EPH.4.9	Aman a 'dè a géƋè'a', lèmèlèmè ara man a do, a herkeda a hwaƋa'a ba. 
EPH.4.10	Nenga'a man adoa hwaƌa, a ndo a géƋè'a, a géƋ zhiklèhi tèlèba, aman a ndhè tèlèba.
EPH.4.11	Tengahi ngiƋè a pe ta a ndohi sak, tengahi ngiƋè a ndohi nhadka ma; tengahi ngiƋè a ndohi njè ma Zhiklè; tengahi ngiƋè a ndohi mɓir ndohai; tengahi ngiƌè a ndohi njèngè, 
EPH.4.12	aman a til ta ndohi Zhiklè nkezla'a a sam mizlinè ta. Arsa va Kristi a grè a ma ma, 
EPH.4.13	ba nga tèlèba nga staƋ te ncè-a-ndav, te nshin kra Zhiklè; a nga ga a ndo nshfa'a, man skwi Kristi tèlèba n'nga'a jèlala'a a sam nenga'a.
EPH.4.14	Te deɓa'a nga wudahi ka ɓai, a njè ma ambali tsaƌ tsaƌ, a shèwa ndohi man ta ngwèdè ndo, a maya ambaɓia'a man ta pe nga a wi a vna, a wutèma nga gèƌ azɓai. 
EPH.4.15	Ngogoƌokoy ma nzura'a te mwoy-ndo, ngogrokoya te skwi tèlèba a sam Kristi, nenga'a gèƌè'a. 
EPH.4.16	Nenga'a a gshè va tèlèba, a nfèfènva staƌ a nkèlè ma a nfèfènva ngiƌè, a dèrzlè gèƌ vatasl, a nfèfènva staƋ staƋ tèlèba ta tèkè a va, ara man ta slaha, a va a grè a ma ma, a Ƌizlè va na a ri na, te mwoy-ndo.
EPH.4.17	Gar haha i gaƋa kinè, a i ngreda te Bai Yèsu, anai kin nza ara ndohi nte deɓa ɓai, man ta hér skwa ambalai. 
EPH.4.18	Maya ta te ruva, ta dra a sam Zhiklè, a gèƋ man ta sun skwa ɓai, ndav ta ngwora, 
EPH.4.19	ndav ta nsassaya, a ta vi va ta a mphömè, a ta gi skwi nlizhè'a tèlè a ntétékè kumba. 
EPH.4.20	Aman nga senda kinè Kristi arsa ɓai,
EPH.4.21	kin tsena te nenga'a tsaƋ, a kin slebau tsaƋ, ara ma Yèsu nzura'a a vava. 
EPH.4.22	VasuƋda skwi nhala'a a hai, a maya nshèffè kinè nhala'a, man a gedas na a ri na, a ntétékè ncèkèlma. 
EPH.4.23	Aman ara ndo mɓua'a te nhér gèƋ kinè, 
EPH.4.24	vafeda skwi mɓua'a a va, man n'nga'a ara Zhiklè man a woya'a, a ndo nzura'a, amba, nkezla'a. 
EPH.4.25	Gar haha vajèkeda ncèkèlma, vogoƌ ma nzura'a, staƌ staƌ a sam ko wa wa, te man nga tèlèba nfèfènvahai.
EPH.4.26	Aman kin gi ndav, mali da kala a pa ɓai, vagu aman pats da kala na gèƋ a ndzoan kinè ɓai. 
EPH.4.27	Kin va na civèƋ a bi madzagi ɓai! 
EPH.4.28	Ndo man a ngu metsar, da gu metsar te deɓa'a asaɓai, aman da gu mizlinè, da gu skwi man amba a ri na, aman a ngècè skwai, a va ta ndohi ntawassa'a. 
EPH.4.29	Vagu aman ma ambaɓia'a da shkè auda te ma kinè ɓai, sèi ma mbela'a, man a gi aman kin grè a ma ma a vna. VogoƋ ma, aman a takaha ta ndohi man ta cinè'a.
EPH.4.30	Kin Ƌawarama na ndav Mèzhèɓ Zhiklè nkezla'a ɓai, aman nenga'a n'ndea te kinè, ba pats mpil gèƋ kinè. 
EPH.4.31	Kin gu ndav worwora ɓai, kin gu shèwa ɓai, kin gu ndzoan ɓai, kin ngur ndo ɓai, kin durƌo ndo ɓai! 
EPH.4.32	Aman vagu skwi a ndav amba, nlèɓeslè, ngiƌè a ngiƋè, vapra mali ngiƋè a ngiƋè, lèmèlèmè ara Zhiklè a pra kinè malai te Kristi.
EPH.5.1	Anai valèmdè nshèffè kinè a Zhiklè, ara wudahi man a woy ta a ndav na. 
EPH.5.2	Vawoy ndo, lèmèlèmè ara Kristi man a woy kinè! A mvoko va na a ri na a gèƋ nga, ara skwi man a va na Zhiklè, a skwi man a zla na Zhiklè, man ambaba Zhiklè. 
EPH.5.3	Ngi baki a dala, skwi nlizhèa tüƋüktüƋükwa'a, ngi keda, a woy da goƋ ma haha a sam kinè ɓai. Nasa amba a sam ndohi Zhiklè nkezla'a. 
EPH.5.4	A woy da goƋ ma horai, ma nrzlè, ma mphömè a sam kinè ɓai; aman dara vashüd gèƋ!
EPH.5.5	Aman kin suna, ndo man agi mphömè, ndo man ndav na nlizhèa, ndo keda, nara ndo mbèh skwai, ta ndi kokwar-Bi Kristi a Zhiklè azɓai. 
EPH.5.6	Ndo da pe kinè a wi ama ambali ɓai. Aman a gèƋ skwi haha ndzoan Zhiklè a shkè a gèƋ ndohai man ta fi gèƋ a ma Zhiklè azɓai. 
EPH.5.7	Gar haha kin mba ma a nda tenga'a ɓai! 
EPH.5.8	Aman zlèzlèa kinè ruva, aman antanta kinè skwi nhèl sam te Bi Zhiklè. 
EPH.5.9	Vodo ara wudahi skwi nhèl sam. Skwi man a shkè auda te skwi nhèl sam: skwi man amba, ngizura'a, ma nzura'a.
EPH.5.10	Vawor skwi man ambaba Bi Zhiklè! 
EPH.5.11	Kin humda ɓai a mizlinè ruva, man skwi mbela`a a shkè auda te pa azɓai; m'mbela kin ngreda skwi nenga'a ambaɓia'a auda. 
EPH.5.12	Aman skwi man ta gi a metsar, horai man a ta gèƌè'a. 
EPH.5.13	Aman skwi haha tèlèba a da ngrèdè auda, a da gedè va auda a sam skwi nhél sam. Aman skwi tèlèba man a gedè va auda, nenga'a skwi nhèl sam. 
EPH.5.14	Gar haha Zhiklè a gaƋa:
EPH.5.14	Pidèkwe ngaya, man ka nzhuna. SlambaƋa te ndev ndohi m'metsa'a, a Kristi a di a hela ka sam te ndav ngaya.
EPH.5.15	Gar haha, vagu maya a gèƋ nshèffè kinè, ara ndohi nrzla ka ɓai, aman ara ndohi maya. 
EPH.5.16	Vahera na gèƋ a va mizlinè! Sam amɓaɓai. 
EPH.5.17	Gar haha kin rzla va ɓai, aman vasun skwi man Bi Zhiklè a wova"a. 
EPH.5.18	Kin dzodzor zom ɓai, aman ndav ndzakaɓa a shkè te pa. Aman vandha a Mèzhèɓ.
EPH.5.19	VagoƋ ma te ndev kinè a dimèsh Psaumes a dimèsh nslébèrdè Zhiklè; vawuffa te ndav kinè nguma'a ara ganzavar a sam Bi Zhiklè. 
EPH.5.20	Vashüd gèƋ pèc pècèk a géƋ skwi tèlèba, a sam Baɓ Zhiklè, a nzlembaƌ Bi nga Yésu Kristi. 
EPH.5.21	Vamanda gèƋ a hai, ngiâè a sam ngiƋè, te zlau Kristi.
EPH.5.22	Ngwozai, vamanda gèƋ a hai a sam bakihi kinè, ara a sam Bi Zhiklè. 
EPH.5.23	Aman bakai, gèƋ ngwoz. Lèmèlèmè ara Kristi gèƋ mpi ndohi Zhiklè, ndo m'mbèlè'a, va na. 
EPH.5.24	Aman anai ara mpi ndohi Zhiklè man a manda gèƋ a hai a sam Kristi, lèmèlèmè ngwozi ba, sèi ta manda gèƋ ta a hai a sam bakihi ta, te skwi tèlèba.
EPH.5.25	Kinè ngurhai, vawoy ngwozi kinè a ndav kinè, lèmèlèmè ara Kristi a woy mpi ndohi Zhiklè a ndav na, a vau nshèffè na a géƌ nenga'a, 
EPH.5.26	a nkezla'a, a mpana`a, a iyam a ma Zhiklè, 
EPH.5.27	aman a zlatseda a sam na, a ri na, ara mpi ndohi Zhiklè n'nga'a jèlèlè'a, derda az a pa ɓai, va m'min ɓai, mohtsomba ka ɓai; aman nkezla'a, mali az a pa ɓai.
EPH.5.28	Gar haha bakihi ba, sèi ta woy ngwozi ta a ndav ta, ara va ta. Ndo man a woy ngwoz na a ndav na, a woy va na. 
EPH.5.29	Aman ndo azɓai, daga zlèzlè'a ba, man a gi shèwa va na. Aman a va na skwi n'ndai, a wara na dai; lèmèlèmè Kristi ba a sam mpi ndohi Zhiklè. 
EPH.5.30	Aman nga nfèfènva na.
EPH.5.31	Gar haha ndo a di a jèkeda bab na, a mam na, a ta nzi a ngwoz na, ta cèw ta gi va ta staƋ.
EPH.5.32	Skwi man n'ngheda`a haha mbia`a. l gèƋète Kristi, a mpi ndohi Zhiklè. 
EPH.5.33	Gar haha kinè ba, staƋ staƋ da woy ngwoz na a ndav na, ara va na; aman ngwoz da slubordo baki na!
EPH.6.1	Kinè wudahai, vafu gèƋ a ma bab a mam kinè te Bi Zhiklè. Nasa amba.
EPH.6.2	Slubordo bab ngaya a mam ngaya!
EPH.6.2	Nasa ma nkwèr Zhiklè nshèlèkura`a, man a pasla nga ri a pa,
EPH.6.3	a ka nzi amba, a ka nzi dai a nshèffè t`herkeda.
EPH.6.4	Kinè babhai, kin poko ta gèƋ auda a wudahi a ndzoan ɓai! Aman vagre ta, vangatsa ta maya, vangez ta te Bi Zhikle! 
EPH.6.5	Kinè ɓèlèlihai, vadzodzor ma babgihi kinè man ta sum kinè, a zlau a ngu­dzai, a ndav nlèɓèslèa, ara man a sam Kristi, 
EPH.6.6	a mizlinè a di ndo genè ka ɓai, aman ara ɓèlèlihi Kristi, man ta gi skwi man Zhiklè a woya'a, a ndav tèlèba.
EPH.6.7	Vagu mizlinè kinè a ndav kinè tèlèba, ara man a sam Bi Zhiklè, ara man a di ndohi genè ka ɓai. 
