MAT.1.1	Buk towen waseg delen Yeisuw Kelis, tabun kweiboug Deibid, kweiboug tonen tabun Ebelam.
PHP.4.1	O budag, singay ikalin nuwag wasigeis yakamiy. Yakamiy mamagina anagin gunawotet yakamiy. Amwa̱saw wasigeis yakamiy. Kadiloka kuliganes agulivan towen mo bukutagagays peinan daGuyaws simiy.
PHP.4.2	Vinay yakamiy Iwodiy soum Sintik baguyeimiy va̱gan bukumwas, ninoumiy bukulatanes, bimlavag katanok, ma̱wana daGuyaws nanon.
PHP.4.3	O taw ya̱koum, soug yak dawotet katanok-wan, mapuna adibakeim, alana, “Kadiloka kulabes vinay tasiyas, peinan sigwey tasiyas nakatawtoun Yeisuw nawotet waseg, simayas Kelemen siney tasiyas babaw nilabeigs wotet towen waseg; yiges bo ilel Kelis wanabuk, mwamoves silma̱nin.”
PHP.4.4	Tut babaw bukumwa̱saws daGuyaws waseg. Vayuwein alana, “Bweina kumwa̱saws.”
PHP.4.5	Kadiloka gamag babaw bikakins amisinap mama̱num, peinan daGuyaws nuwanaw bo beim.
PHP.4.6	Awoum kweitan sinap waseg bikubukub nuwamiy; awoum. Tage igaw youd kweitan kweitan bukulivatus bweina bukukululs bukunitougs; minitoug bukusekes Yowbad sona bikalin nuwamiy.
PHP.4.7	Yowbad bisiwyoubumiy mo beitaw nuwamiy, mamagina niwal waseg bukusesus, kamtabwein seikwan; ninoumiy bwein, peinan Yeisuw Kelis bimtakavateimiy.
PHP.4.8+PHP.4.9	Adok bo misinak agulivan towen, sigwey; kadiloka kuninuways sinap mounid, o sinap didumwal, o sinap bwanabwein, o sinap kamnat, o aveiyag gamag sivines, o bikavasis, o bikatubaws waseg. Agusinap towen bo akatipel asekeimiy, o nukuliganes, o nukukwakins gunakawotet ma̱wan; kadiloka bukuva̱ges amisinap ma̱wana nadibakeimiy. Yowbad simiy yakamiy bukusesus bwein, mo beitaw nuwamiy.
PHP.4.10	Singay ikalin nuwag daGuyaws waseg, peinan vayuwein nukusiwyoubugs. Kweiboug ivag sivinamiy bukusiwyoubugs, tage miked nag.
PHP.4.11+PHP.4.12	Nag alivan ma̱wan peinan sivinag youd mwasanin, nag. Bo akakin sinap va̱gan beitaw nuwag gunakabsis katanok katanok wasigeis. Takinew a̱bag bigeg, bwein-wan. Takinew beibwein a̱bag, bwein-wan. Takinew bamlavag toul yey, bwein-wan. Takinew bamliguyaw, bwein-wan. Takinew beivag agumoun, bwein-wan. Takinew ba̱kam bakamuweip, bwein-wan.
PHP.4.13	Yowbad soug ikimtuweig atawtoun mo ikadilokeig sinap babaw wasigeis.
PHP.4.14	Tage adok singaya tasiwa̱youb yakamiy, akakina peinan a̱bag igeg, mo kulabeigs.
PHP.4.15	Min-Pilipay yakamiy, kukwakinsa kweiboug, nakabsilamaw Yeisuw nawotet waseg, ma̱noy nam Masidoniy, tayakelesiys yakamiy mo nitakaveiyons sigwey yakamiy, muloul silma̱nin. Nag kweitan ven tayakelesiys iva̱ges ma̱wan; nag. Misinaka yakamiy.
PHP.4.16	Igaw kweiboug nases Tesalonik mo nukumulouls waseg yey. Sivtanok ikous, mo sivyuwein mimuloul nukuwyabes neim.
PHP.4.17	Nag alivan va̱gan mivavag bukusekeig; nag. Sivinag kid misiwa̱youb bikatimweis bivakaein; anagin bwanabwein mo bukuba̱nes.
PHP.4.18	Mimuloul waseg yey nukusekes Epaplodit nimey, meiveka bo aban. Bo ikatimweis gunwuliyoug ibabaw, mo singay amwa̱saw. Mimuloul waseg yey mamagina lun bulukwan, Yowbad iskwen manisin, simasim seikwan, mo ikalin nuwan wasigeis yakamiy.
PHP.4.19	GunaYowbad mo bisiwyoubumiy aveiyag sivinamiy, Yeisuw Kelis waseg, peinan Yowbad Guyaw tatonen, natawtoun igegayous.
PHP.4.20	Mapuna bitakavasis Tamads Yowbad, tut nag beikous. Eimen.
PHP.4.21	Amalivan siwa̱youb kusekes tasiyas tayakelesiys tatanok tatanok, peinan Yeisuw Kelis angamag tasiyas. Budidayas tasiyasa sigwayas nakases asilivan siwa̱youb-vak wasigeis yakamiy.
PHP.4.22	Tasiyas tayakelesiys babaw asilivan ma̱wan; o mwasanin-vak Sisal nagamag singaya asilivan ma̱wan; ilansa, “Kalin nuwem yakamiy.”
PHP.4.23	DaGuyaws Yeisuw Kelis bisiwyoubumiy, va̱gan kid kululuwamiy bitawtoun.
PHP.4.23	Yey Pawl.
COL.1.1+COL.1.2	Yey Pawl, peinan Yowbad nisekeig gunawotet, akokew liva̱nen Yeisuw Kelis banow ven mwasanin wasigeis. Soug Timotiy milet towen nakalel biwekeimiy min-Kolos yakamiy tayekelesiys, o tatoukums yakamiy waseg Kelis. Tamads Yowbad bisiwyoubumiy va̱gan mo beitaw nuwamiy.
COL.1.3+COL.1.4+COL.1.5+COL.1.6	Yakamey wamapalatan nakases, tut babaw kannitoug pinamiy yakamiy, ikalin nuwem peinan nakaligen nukutoukums bwein waseg Yeisuw Kelis, o nukusiwa̱youbs bwein wasigeis tasiyas tayekelesiys. E, kuyousis sinap towen, peinan kuninuwes minamis igaw mimwa̱saw walba̱lab mo bukulivatus. Mapuna yakamey kanitoug pinamiy, waseg Yowbad, mtowen daGuyaws Yeisuw Kelis Taman.
COL.1.3+COL.1.4+COL.1.5+COL.1.6	Liba̱lab bulagan kweiboug nukuliganes, livan to mounid, bwanabwein. Vena babaw iliganes livan towen, anagin ivag wasigeis, ikatimweis mo ivakaein; o yakamiy-vak ma̱wan. Wanmugwana nukuliganes livan towen, mo kukwakins Yowbad nasiwa̱youb mounid.
COL.1.7	Kweiboug Epapil nikatimlakeimiy sinap towen, simey towen mawotet katanok-wan. Mtowen gamag bwanabwein, itakum Kelis nawotet peinads ya̱kids.
COL.1.8	Towen Epapil idibakem, ilana, “Yowbad Kululuwan ansinap siwa̱youb ikatipel wasigeis tasiyas min-Kolos.”
COL.1.9+COL.1.10	E, nakaligen livneimiy towen, mapuna tut babaw kakkulul wamatan Yowbad, kannitoug pinamiy yakamiy va̱gan Yowbad nanon silma̱nin yakamiy bukukwakins beikous, o Kululuwan bikatipel sinap towen bisekeimiy; o va̱gan amisinap waseg mo bitimek daGuyaws, o bikalin nuwan wasigeis yakamiy, peinan bukutoukums silma̱nin miwotet babaw bwanabwein, o bukuyakousis sinapun Yowbad.
COL.1.11+COL.1.12	Kannitoug pinamiy yakamiy va̱gan Yowbad bikimtuw mitawtoun waseg natawtoun tonen singay avakaein, va̱gan kid youd babaw waseg abamiy bigeg mo bukwaptuleimiy o bukuvvaluts miwotet bwein sona mimwa̱saw. Bikalin nuwamiy Tamads waseg, peinan bo itam inakaleiwag kamnat, waseg nitasesus sidayas inagamag.
COL.1.13	Bo ikatinabweids dadub kaleiwag-nen waseg, mo isekeids dakabsis wanuwan nakalewag Natun bwanabwein.
COL.1.14	Mtowen Yeisuw niyamiyiseids, va̱gan bilikuds adsinaps kalbaleb waseg.
COL.1.15	Nag teitan gamag bikin magin Yowbad, tage ankakin Yeisuw ma̱wana Taman. Yowbad nabubun meivek-wan daban Yeisuw.
COL.1.16	Yeisuw gog ileb Yowbad mo nibun youda babaw, walba̱lab watinow; youd mwasanin takines, mwasanin nag. O Yeisuw waseg mo ibun kaleiwag babaw, mwasanin kaleiwag-nen liba̱lab, mwasanin kaleiwag-nen ven watinow. Bo ileb Taman mo ibun youd babaw silma̱nin Yeisuw.
COL.1.17	Yeisuw imug; youd babaw wankuyeim; o Yeisuw natawtoun waseg youd babaw nisesus sikabsis waseg.
COL.1.18	Mtowen daban, woun waseg, mamagina tayekelesiys tanuwagan towen. Mtowen tamgwayein-kit, iginikit kanig waseg; mapuna youd babaw waseg tamgwayein mtowen.
COL.1.19+COL.1.20	Peinan Yowbad itam nakamnat meivek-wan isesuna Natun waseg, o Natun waseg mo ivag ked towen silma̱nin youd babaw o gamag babaw bitalatanes sods Yowbad, takinew ya̱kids ven watinow o takinew tasiyas min-liba̱lab. Buya̱vin iwta̱wout waklos mo ivag ked towen.
COL.1.21	O peinan kweiboug yakamiy mamagina takammeiliws yakamiy nukusina̱les Yowbad, amisinap kalbaleb.
COL.1.22	Nagein gog nukulatanes simiy Yowbad, peinan neiweiys Natun, won ikanig; tage bo itokeimiy imayeimiy wamatan Yowbad, amisinap kalbaleb bo ikous. Sivinan bivag amisinap beibwein, kamnat.
COL.1.23	Kadiloka bukutoukums mitawtoun waseg, va̱gan bukusesus bwein wamatan Yowbad. Awoum bukupiyaves livan towen bwanabwein nukuliganes; kadiloka bukunmises. Livan towen kallivan vena babaw wadaban pwepway. Yey Pawl gunawotet towen.
COL.1.24	Nagein gog a̱bag igeg pinamiy yakamiy; nag igeg nanoug, nag. Ikalin nuwag peinan woug waseg alivet moumouvit, va̱gan Kelis won baleb. Kweiboug moumouvit nilivet Kelis, silma̱nin won; o won Kelis mamagina tayekelesiys ya̱kids. Yey-vak ma̱wan, alivet moumouvit pinamiy; mamagina akatimweis Kelis namouvit va̱gan kid mo bikadilok.
COL.1.25	Peinan Yowbad bo isekeig gunawotet va̱gan bakatimlakay wasigeis yakamiy mo bukukwakins anilivan va̱gan bukuyakousis.
COL.1.26+COL.1.27	Livan towen kweiboug nikawum-wan. Tammwayas pwa̱mug nag ikakins; tage nagein Yowbad mo ikamtel angamag wasigeis, peinan sivinan tobwag ven gimgilis yakamiy o min-Yudiy yakamey, babaw ya̱kids bitakakins sinka̱wum sinap singay tawtoun. Sinap towen mamagina Kelis bo isap wasigeis yakamiy, mapuna bitanmises igaw a̱bads mo beibwein Yowbad naven waseg.
COL.1.28	Liva̱nen Kelis kageiguy gamag babaw wasigeis; sinap babaw kakatimlakes gamags va̱gan mo biyakousis Kelis ansinap bwanabwein.
COL.1.29	Bo iseiw nuwag silma̱nin wotet towen, atawtoun, peinan Kelis waseg yey itawtoun, iwwotet wananoug.
COL.2.1	Sivinag bukukwakins gunawotet tawtoun pinamiy yakamiy, simiyas min-Leyodisiy sisiyas tasiyas na-ikakins magig yey ven watinow waseg.
COL.2.2+COL.2.3	Sivinag bikimtuw kululuwamiy, va̱gan bukusiwyoubus simsimiyas, o bukukwakins beibwein sinap babaw, son sinap nikawum-wan. Sinap towen liva̱nen Kelis, peinan sinap tawtoun meivek-wan nises Kelis waseg.
COL.2.4	Adibakeimiy livan towen bo bakatiboug nuwamiy; awoum ge gamag mwasanin bikatidavimiy; awoum asilivan kamnag bukuliganes o binek ninoumiy; awoum.
COL.2.5	Kadiveiyov ases, tage nuwaneimiy waseg yey nises. Amwa̱saw peinan akakin kusesusa bwein, o peinan kutams bwein Kelis nakaleiwag waseg.
COL.2.6+COL.2.7	Peinan nukutams waseg daGuyaws Yeisuw Kelis, kadiloka simiy Kelis bukunounas. Nukusilamaws Kelis waseg, o towen Kelis bikatimweisimiy mo bukutawtouns. Kadiloka bukusimounids bwein liva̱nen Kelis to nukuliganes mo bikalin nuwamiy singay.
COL.2.8+COL.2.9	Kumtakivateimiy. Awoum teitan gamag bikatidavimiy nakatimlakay kweitan waseg. Gamag mwasanin sikatimlakay yaweid-wan ma̱wana tammwayas asisinap. Sinap towen meinoy neim siGeileiw waseg, Kelis nag. Tage Kelis won waseg sinapun Yowbad meivek-wan nises.
COL.2.10	Kelis waseg singay sinap bwanabwein bo talivatus, peinan anelos o bwagaw situwa̱veks wasigeis bo itakayway.
COL.2.11	Kelis waseg nibwabwes momwamiy; nakabivatus nag ivag wakalivimiy, nag. Tage nakabivatus waninoumiy, mamagina ibob woun nakaleiwag wasigeis yakamiy.
COL.2.12	Nakabapta̱yseimiy mamagina nukukwanigs simiy Kelis, nukubus alawagamiy, mo nukukits vayuwein simiy Kelis, peinan kusimounids waseg Yowbad, peinan nitawtoun mo iyakit Kelis vayuwein.
COL.2.13+COL.2.14+COL.2.15	O yakamiy, kweiboug mamagina takanigs yakamiy, peinan amisinap kalbaleb, o Kelis nag ivag nakabivatus wasigeis yakamiy; Yowbad mo iyamoveids sods Kelis, inumlev adsinaps kalbaleb; o livan waseg niyateleids peinan nitasiplaves Yowbad nakaleiwag, mo iwid livan towen, isew tana̱ban, ikatikavates Kelis anklos waseg. Yowbad bo itakayway wasigeis tasiyas Seitan siney bwagaw sikaleiwag, mo imwan won, imwa̱saw; tasiyas gog wamnat ivag asimwasin. Peinan Kelis anklos waseg itawtoun wasigeis tasiyas.
COL.2.16	Awoum teitan gamag bivtokeimiy livan, peinan kaeimiy o amisoup, o aw-sagal bukupiyev, takinew tibukon kweivaw o takinew Sa̱bat kweitan; awoum.
COL.2.17	Min-Yudiy makaleiwag towen mamagina kululuwan mav. Kweiboug nitakines kaleiwag makava kululuwan; nagein gog kaleiwag tonen anagin bo isap, mtowen Mesay Kelis.
COL.2.18+COL.2.19	Awoum teitan gamag bipiyaveimiy peinan nag kukululs avakaein wamtes min-liba̱lab mwasanin. Towen adok bilivan, bilana, “Matag isisawl mav, amikon waseg mo asinap ma̱wan.” Tage nanon waseg ikaya̱pam mav sinapun ven watinow, tage nag iyous daban tonen, yagan Kelis. Woun antuvas meivek-wan ikatives imlavag woun katanok, tage daban bikaleiwag mo bikidumwal won babaw; bivakoum mo bikatimweis won, bivakaein, bitawtoun, Yowbad natawtoun waseg.
COL.2.20+COL.2.21+COL.2.22	Peinan bo takanigs sods Kelis, Geileiw sikaleiwag mo beikous wasigeis ya̱kids. Aveiyag wawun nukuvvaluts ven watinow kaleiwag-nen? Gamag mwasanin sikaleiwag kuliganes, ilansa, “Awoum kuyousis youd towen; bwaboum. Awoum kwamkwen kan towen; bwaboum. Awoum kwabkwen youd towen; bwaboum.” Youd tasiyas nagein bo takines, siwotet nises; tage kweitan tut bo bikanig kawkawan.
COL.2.23	Gamag tasiyas askakin mamagina tassinaps, peinan ivkakes sitapwa̱loul tatineis, imlavags mamagina tasimavs wamtes min-liba̱lab, ikatkakils, idokes bikaliwages wous tatineis; tage vikeiy bo ikaliwages tasiyas.
COL.3.1	Kanig waseg nukukits simiy Kelis, kadiloka kuneves liba̱lab sinapun, peinan Kelis nissin walba̱lab, Yowbad wanaka̱tay.
COL.3.2	Kuninuways liba̱lab youdanen; youdanen ven watinow awoum.
COL.3.3	Nitakanigs gog, mwamovads son Kelis nises, nikawum nises waseg Yowbad.
COL.3.4	Igaw Kelis bisap vayuwein, mtowen mwamovads mounid, simiy Kelis mo bukusaps yakamiy, nakamnat avakaein waseg.
COL.3.5	Kwatimates kid youdanen ven watinow, subwan, kalokay. Awoum amivikeiy bikalawageimiy silma̱nin sinap kalbaleb. Awoum kumtimwamons waseg wuliyougwan ven watinow, mamagina miyowbad tobwag bukuva̱ges wadaban pwepway; awoum.
COL.3.6	Peinan gamag mwasanin asisinap ma̱wan, Yowbad mo bikawkunes bimapus.
COL.3.7	Kweiboug yakamiy amisinap ma̱wan, mamagina ven watinow gimgilis yakamiy.
COL.3.8	Nagein kadiloka kupiyaves sinap tasiyas, kavikun, kameiliw, yagay, vtokay livan, kalokay.
COL.3.9+COL.3.10	Awoum kwatidavis simiyas; peinan nukulisawes sinap kweiboug; sinap kweivaw bo kukwawes, peinan tut babaw Yowbad ikatimweis amisinap, sinapun tonen waseg, va̱gan bukuyakousis sinapun Yowbad.
COL.3.11	Nagein gog Kelis waseg ya̱kids, katanoka bod ya̱kids, takinew mina-Gilis o min-Yudiy, tasiyas ibwabwes momwes o tasiyas nag ibwabwes momwes, o tasiyas tabla̱bols, o min-koya̱koy, o tasiyas tawwotets o tasiyas situwa̱veks, meiveka ya̱kids katanoka bod, Kelis waseg, peinan daGuyaws towen anmwa̱net wanuwads nises.
COL.3.12	Peinan Yowbad nikatigikeimiy, nikayuseimiy, o ikalin nuwan wasigeis yakamiy, kadiloka bukuyousis sinap bwein, binok nuwamiy simiyas wasigeis, bukusiwa̱youbs, awoum kwaya̱pams sinap waseg, bweina bukuvna̱ses simiyas, o kukwaptuleimiy.
COL.3.13	Kal yak, kukin soum biyagageim, awoum bikapasal nuwam; bweina bukunumlev ansinap kalbaleb; peinan bo ma̱wan adsinaps kalbaleb daGuyaws binumlev.
COL.3.14	Amsinap babaw son siwa̱youb; siwa̱youb bikatimweis sinap babaw mo bilaten.
COL.3.15	Yowbad nikatigikeimiy va̱gan Kelis lubuluban waseg mo niwal bukulivatus. Inabod ya̱kids nikatigikeids silma̱nin niwal towen. Bweina bitasiws lubuluban waseg, mo bikalin nuwads.
COL.3.16	Tut babaw, liva̱nen Kelis bises waninoumiy, va̱gan bukusinaps beibwein. Sinap babaw kwatimlakes simiyas, va̱gan bidumwal asisinap. Bikalin nuwamiy Yowbad mo bukwanweles sam o wous tapwa̱loul, o kweivaw wous-vak bukuwutus, peinan Kululuwan bikatimlakeimiy.
COL.3.17	Aveiyag bukuliva̱nes o aveiyag bukuwwteles, youd katanok katanok kuvva̱ges daGuyaws Yeisuw yagan waseg, mo bikalin nuwamiy Tamads Yowbad waseg.
COL.3.18	Vinay yakamiy kukwanawes mimwa̱nas ages. Sinap towen singaya bo ibunek daGuyaws waseg.
COL.3.19	Tawaw yakamiy kusiwyoubus mikwavas; awoum kukwa̱nes.
COL.3.20	Gamagal yakamiy, kadiloka bukwanawes timmiyas o inmiyas ages, youd katanok katanok waseg. DaGuyaws sivinan amisinap ma̱wan.
COL.3.21	Tawaw awoum kuyamamanis nitimiyas, mamagina bo bikawegweis wous.
COL.3.22	Tawwotet yakamiy kadiloka bukwanawes ages mituwa̱veks nisesus ven watinow, sikaleiwag katanok katanok waseg. Kadiloka bukugoulus daGuyaws, mo bukutoukums silma̱nin mituwa̱veks siwotet. Kukin gog nag, adok bukuwotets wamatan mitovek, tage kukin binoun mo bibgumat woumiy.
COL.3.23	Bweina biseiw nuwamiy silma̱nin miwotet, aveiyag bukuwteles; kwanawes ages mituwa̱veks, mamagina aygan daGuyaws bukwanawes.
COL.3.24	Peinan yakamiy daGuyaws natawwotet yakamiy, kuninuwes maysamiy igaw wankuyeim mo bisekeimiy va̱gan bukusesus bwein bukusigagas.
COL.3.25	Yowbad igaw mo bimop takalbalebs asisinap; nakaleiwag teitan teitan wasigeis katanoka binuwek.
COL.4.1	Guyawaw yakamiy, kadiloka kumtakavates mitawwotet beibwein, tatanok tatanok wasigeis, mikaleiwag didumwal bukuva̱ges peinan yakamiy mitovek walba̱lab nises.
COL.4.2	Tatanok tatanok yakamiy kadiloka bukutoukums nitoug, tuta babaw bukuninitougs Yowbad waseg. Nanoum katanok waseg bukunitoug, bikalin nuwam waseg Yowbad.
COL.4.3	Kunitougs-vak pinem yakamey va̱gan Yowbad bikaliyow maked silma̱nin anilivan bwanabwein bakageiguy waseg. Liva̱nen Kelis kweiboug gamag na-ikakins, nagein gog mo ikamnat, ageiguy; mapuna niyousigs nisenags wa̱deil.
COL.4.4	Kunitougs Yowbad waseg bilabeig va̱gan bageiguy liva̱nen Kelis kamnat waseg. Kadiloka bageiguy ma̱wan.
COL.4.5	Kadiloka kuva̱ges amisinap beibwein simiyas tasiyas watoulan nisesus. Awoum kuyma̱des mitut.
COL.4.6	Amilivan tut babaw son siwa̱youb, sabal; bukwatimapus bwein teitan teitan asilivan.
COL.4.7	Bwadads bwanabwein Tukik singay tatoukum daGuyaws nawotet waseg. Igaw beiw mo bikamtel liva̱neig meivek-wan.
COL.4.8	Silma̱nin towen nakayeb niwekeimiy, bilivan wasigeis yakamiy, bukuliganes mo bukukwakins ama̱wan makasis yakamey. Silma̱nin-vak biguyeimiy bikimtuw ateimiy.
COL.4.9	Tukik son Onesim-vak biweis. Teitan miven gimgeilin mtowen Onesim, mamagina bwadag bwanabwein, tatoukum. Asteiy son Tukik bisekeimiy livnem wamapalatan towen.
COL.4.10	Alistak yey soug nakases wa̱deil, anilivan siwa̱youb wasigeis yakamiy; ma̱wan-vak Ba̱nab nubein, yagan Mak, anilivan siwa̱youb wasigeis yakamiy. Kweiboug nadibakeimiy, kukin mtowen beiw kadiloka kutams bises amibwabwal towen.
COL.4.11	Yeisuw-vak anilivan siwa̱youb wasigeis yakamiy, mtowen idokes yagan kweitan Yusitos, gum-Yudiy teitan. Min-Yudiy tasiyas asteitoun sigwey nakawotet Yowbad nakaleiwag silma̱nin. Min-Yudiy yakamey misinaka amateivas. Singay gog ililabeigs tasiyas.
COL.4.12	Tayuwein miven gimgeilin simey nakases, yagan Epapil, anilivan siwa̱youb wasigeis yakamiy. Mtowen Kelis natouwat; singay ininitoug pinamiy yakamiy, va̱gan bukutamatuws son amisinap bwanabwein, o bukuyakousis Yowbad nanon silma̱nin yakamiy.
COL.4.13	Akakin-wan mtowen Epapil inawotet singay avakaein pinamiy yakamiy, o pines tasiyas min-Leyodisiy, o pines tasiyas min-Ayelapol.
COL.4.14	Luk son Dimas asilivan siwa̱youb wasigeis yakamiy. Mtowen Luk madoket bwanabwein.
COL.4.15	Agulivan siwa̱youb kusekes tasiyas tayekelesiys ven Leyodisiy; ma̱wan-vak mana̱wen Nimip siney tayekelesiys wanbunatum nisesus.
COL.4.16	Kuvinis milet towen beikous, mo kusekes tasiyas tayekelesiys ven Leyodisiy. Tasiyas-vak mo bivinis tapwa̱loul waseg; o yakamiy-vak kuvinis silet nalel nein silma̱nin tasiyas.
COL.4.17	Kudibakes Alikip, kulansa, “DaGuyaws nawotet nisekeim, kadiloka bukutoukum waseg, kuyakous.”
COL.4.18	Namag mulin towen yagag Pawl. Kuninuweigs yey wa̱deil nases. Yowbad bisiwyoubumiy.
1TH.1.1	Yey Pawl sigwey Saylos son Timotiy, malet niwekeimiy min-Tesalonik yakamiy nukuyekelesiys Tamads Yowbad waseg, o daGuyaws Yeisuw Kelis waseg. Yowbad bo bisiwyoubumiy, mo beitaw nuwamiy.
1TH.1.2+1TH.1.3	Tut babaw ikalin nuwem daGuyaws waseg, peinan amisinap bwanabwein. Kaninitoug daGuyaws Yowbad waseg, kaninuweimiy, kakavvatag yigamiy, peinan nukusimounids Yeisuw waseg, o miwotet waseg sona siwa̱youb, o kunmises va̱gan daGuyaws Yeisuw Kelis bikatinabweimiy. E, amisinap ma̱wan bwanabwein, Tamads Yowbad wamatan.
1TH.1.4	E sigwey, kakakin-wan Yowbad bo isiwyoubumiy mapuna mo ikatigikeimiy angamag yakamiy.
1TH.1.5	Kweiboug nukuliganes amalivan bwanabwein peinan nakakatimlakeimiy liva̱nen Yeisuw. Nag kukwatilutegs mav, nag. Tage Kululuwan Yowbad waseg livan towen, mapuna itawtoun wasigeis yakamiy, o yakamey singay kasimounid waseg. O nukukines amasinap igaw simayas yakamiy nitasesus, mo nukutakayasis.
1TH.1.6	Abamiy singaya kalbaleb, tage Kululuwan Yowbad nilabeimiy mo kumwa̱saws, nukutakayasis amasinap yakamey, ma̱wan daGuyaws bo kutakayasis, peinan anilivan bo kutimakes.
1TH.1.7	Amisinap bwanabwein, mamagina sikabtaka̱yas yakamiy, tasiyas tayekelesiys ven Masidoniy waseg, o ven Akay waseg.
1TH.1.8	E, nukusimounids Yowbad waseg, bulagan amisinap bwanabwein mo inekes ven babaw gimgilis, mo iliganes liva̱nen daGuyaws Yeisuw, tasiyas min-Masidoniy sisiyas min-Akay. Mapuna nag ivag sivinem bakalivan bulagan misimounid, peinan bo ikakins nanawan.
1TH.1.9+1TH.1.10	Tasiyas gog livneimiy isekemas yakamey, peinan kweiboug nakasap wasigeis yakamiy mo nukuliganes agem, nukupiyaves tobwag yowbad, o nukutams Yowbad mounid waseg, va̱gan Tamwamov Towen kukwanawes aygan, o bukukwayamats Natun tonen igaw beinoy walba̱lab beim. Mtowen Yeisuw, igaw kanig waseg Yowbad niyakit, mo itamanaw vayuwein va̱gan kid bikatinabweids. Awoum igaw Yowbad bikamta̱nids adsinaps kalbaleb silma̱nin.
1TH.2.1	Sigwey, kuninuways kweiboug nag kawekeimiy mav, peinan anagin mawotet nakaban wasigeis yakamiy.
1TH.2.2	Deisin-wan min-Pilipay bo iyagagemas, amamwasin, tage nag ka̱gwey; kakapwapout-wan. DaGuyaws bo ilabem mo kadibakeimiy liva̱nen Yowbad, va̱gan bukumwa̱saws kid. Deisin-wan gamag mwasanin isibwademas, tage bo kageiguy.
1TH.2.3	Mageiguy waseg nag kayaweid; nag sinapun geinawl, nag. Amalivan waseg nag bakakatidaveimiy, nag.
1TH.2.4	Tage peinan Yowbad itam nanon, idoki kadiloka bisekem liva̱nen bwanabwein, mapuna kageiguy. Nag va̱gan gamag bikalin nuwes; nag. Tage sivinem Yowbad bikalin nuwan. Peinan Yowbad ikakin aveiyag wanuwads nises.
1TH.2.5	Kuninuways amalivan; nag ka̱teiy ninoumiy amalivan kamnag waseg; nag. Nag tayyaweid yakamey; nag. Nag amalivan kamnag va̱gan bakakwey mivavag; nag. Yowbad ikakin amalivan mounid.
1TH.2.6+1TH.2.7	Nag ivag sivinem gamag bikavasimas; nag. Takinew yakamiy, o ven mwasanin gimgilis; nag. Tage bweina bakalivan aveiyag bukusekemas, peinan takaweins liva̱nen Kelis yakamey. Nag gog, yakamey tamma̱num wasigeis yakamiy. Amasinap ma̱wana vin na̱tan bituyes nitun, o bivna̱ses beibwein.
1TH.2.8	E, nakakalpwa̱kit wasigeis yakamiy; sivinem kid liva̱nen Yowbad bakasekeimiy mo bitamsamwas simayas yakamiy, peinan singay sivinem yakamiy. Atem meivak-wan nakatam pinamiy yakamiy.
1TH.2.9	Sigwey, kuninuways kweiboug mawotet avakaein wamiven nakases, kawwotet iboug ee... iyam, kaem silma̱nin. Nakasekeimiy bwanabwein liva̱nen Yowbad, tage awoum beivag mimouvit silma̱nin kaem.
1TH.2.10	Kukwakins-wan, o Yowbad-vak ikakin, igaw simayas yakamiy nitasesus, amasinap bwanabwein, didumwal; nag kayagageimiy tayekelesiys yakamiy; nag.
1TH.2.11+1TH.2.12	Kuninuways nakaguyeimiy tatanok tatanok yakamiy, ma̱wana timamiy yakamey; sivinem bakalabeimiy o bakakimtuweimiy va̱gan amisinap beibwein mo bikalin nuwan Yowbad. Peinan bo ikatigikeids silma̱nin nakaleiwag son nakamnat.
1TH.2.13+1TH.2.14	Sigwey, tut babaw ikalin nuwem Yowbad waseg, peinan liva̱nen Yowbad nakalivan nukuliganes, nag mamagina gamag asilivan; nag. Peinan kukwakinsa Yowbad anilivan tatonen. Nukuliganes liva̱nen Yowbad, kuninuways mo nukusimounids waseg. Kusimounids mo nukutakayasis tasiyas tayekelesiys. E, nukutakayasis asisinap min-Yudiy tasiyas niyakelesiys Yeisuw Kelis waseg, peinan miven gimgilis bo iyagageimiy yakamiy, ma̱wan-vak Yudiy gimgilis niyagages Yowbad angamag tasiyas.
1TH.2.15+1TH.2.16	Min-Yudiy kweiboug neiweiys tasiyas palopits, wankuyeim-vak daGuyaws Yeisuw neiweiys. Wankuyeim mo ikayabemas yakamey. Yowbad igeg nanon wasigeis min-Yudiy tasiyas, peinan tasilabods. E, sivines bisilbwadem; mata ge bakasekeimiy liva̱nen Yeisuw, tobwag ven gimgilis yakamiy, mo Yowbad bikatinabweimiy. Singay ikatimweis asisinap kalbaleb mo ivakaein. Nakabiyokous waseg, Yowbad ankavikun mo ilivatus tasiyas.
1TH.2.17	Sigwey, nakalisaweimiy tut kadiyakus waseg, tage nuwaneimiy singaya wasigeis yakamey nises. Sivinem kid vayuwein bakaw kalakwaneimiy.
1TH.2.18	Yey Pawl tut babaw ayyokon, bo nag. Peinan Seitan bo isilbwed maked.
1TH.2.19+1TH.2.20	Nuwaneimiy singaya wasigeis yakamey nises. Igaw daGuyaws Yeisuw beiyum beim, nag kalisiy wasigeis bakamwa̱saw; misinaka yakamiy. E, kannamis va̱gan igaw avei-tut Yeisuw beiyum beim, mo beimwan wom wasigeis yakamiy.
