MAT.1.1	Dool asaame hana juduud Isa al-Masiih ibn Dawuud ibn Ibraahiim. 
2PE.1.14	Na’arif ana numuut gariib achaan Rabbina Isa al-Masiih ooraani be kalaam akiid. 
2PE.1.15	Wa nisawwi juhud achaan ba’ad ana faaragt al-dunya, tagdaro tifakkuru fi l-kalaam da ayyi ma wakit.
2PE.1.16	Wa l-kalaam al-ballakhnaah leeku al-bukhuss gudrat Rabbina Isa al-Masiih wa jaytah ma hije saakit misil al-hije al-tuwaal al-bihajjuuh al-naas. Be l-aks, aniina chifna azamatah be uyuunna wa chihidna leyah. 
2PE.1.17	Aniina mawjuudiin wakit Allah abuuh antaah ikraam wa charaf. Al-hiss al-ja leyah min al-Majiid wa l-Aziim gaal «Daahu Ibni ana nihibbah. Wa ana farhaan beyah bilheen». 
2PE.1.18	Aniina zaatna simi’na al-hiss al-jaayi min al-sama da wakit aniina ma’a Isa fi l-jabal al-mukhaddas. 
2PE.1.19	Wa be da, indina kalaam al-nubuuwa mu’akkad ziyaada. Wa khalaas waajib tukhuttu baalku fi kalaamhum al-misil deyy al-yidaawi fi bakaan adlam lahaddi al-wata tabga nahaar wa najmat al-fajur tatla’ fi guluubku. 
2PE.1.20	Wa gubbaal kulla cheyy, waajib ta’arfu kadar ma fi kalaam al-nubuuwa al-gaa’id fi l-Kitaab al-ja min fikir al-nabi 
2PE.1.21	achaan kalaam al-nubuuwa abadan ma ja min niiyit insaan laakin al-Ruuh al-Khudduus chaal al-rujaal dool wa humman hajjo kalaam naazil min Allah.
2PE.2.1	Laakin fi zaman al-anbiya, kaddaabiin waahidiin gammo fi ust al-cha’ab wa sawwo nufuushum anbiya. Wa battaan fi usutku kula, kaddaabiin yugummu wa yisawwu nufuushum mu’allimiin. Humman yindasso ambeenaatku be l-khachch wa yiwazzu’u ta’aaliimhum al-yiwaddu al-naas fi l-halaak. Humman yankuru sayyidhum al-fadaahum. Wa be kalaamhum da, yijiibu al-halaak fi nufuushum ajala. 
2PE.2.2	Laakin naas katiiriin yitaabu’uuhum fi fasaadhum wa be sababhum al-naas yuguulu kalaam fasil foog derib al-hagg. 
2PE.2.3	Tama’hum kabiir wa yakdubu leeku wa yasurgu minku be l-khachch. Wa min zamaan, Allah kharrar leehum al-azaab wa akiid al-halaak al-yaji fooghum jaahiz.
2PE.2.4	Na’am, na’arfu kadar al-malaa’ika al-aznabo, Allah ma afaahum laakin rabataahum be janaaziir wa karabaahum fi dalaam al-haawiiye achaan yarjo yoom al-Hisaab. 
2PE.2.5	Wa na’arfu battaan Allah ma afaahum le naas hana zaman Nuuh. Laakin hu gawwam al-seel fi l-ard wa halak al-naas al-fasliin. Wa najja Nuuh al-gaa’id yinaadi al-naas fi derib al-saalihiin wa najja ma’aayah sab’a naas. 
2PE.2.6	Wa na’arfu kadar Allah hakam le l-mudun Saduum wa Gamuura
2PE.2.7	Wa na’arfu Allah faza’ Luut. Wa Luut hu naadum saalih al-ti’ib ziyaada be sabab fasaad al-aasiyiin. 
2PE.2.8	Achaan al-raajil al-saalih da saakin fi usuthum wa kulla yoom fikrah al-saalih yat’ab be sabab isyaanhum al-chaafah wa sim’ah. 
2PE.2.9	Wa khalaas be da kula ke, na’arfu kadar Allah yagdar yafza’ al-saalihiin fi wakt al-tajriba wa yiraakhib al-naas al-fasliin lahaddi yi’aakhibhum fi yoom al-Hisaab.
2PE.2.10	Wa misil da, akiid yi’aakhib al-naas al-yitaabu’u chahwaathum al-khabiise al-tinajjishum wa yahguru sultat al-Rabb. Humman mustakbiriin wa mutamarridiin wa hayyin leehum yuguulu kalaam fasil foog sukkaan al-majd. 
2PE.2.11	Wa l-malaa’ika kubaar wa gawiiyiin min al-naas dool laakin abadan ma yukhuttu fooghum kalaam fasil giddaam Allah. 
2PE.2.12	Wa laakin al-naas dool misil haywaanaat al-kadaade al-ma induhum agul wa mukhaddar leehum min tabii’athum yakurbuuhum wa yaktuluuhum. Humman yuguulu kalaam fasil foog ayyi cheyy al-ma fihmooh. Wa khalaas yahlako misil al-haywaanaat yahlako. 
2PE.2.13	Wa yalgo durr be sabab al-durr al-sawwooh. Fi l-nahaar kula yiriidu al-safaaha. Fi awaaziimku, humman misil wasakh mulattakhiin fi khulgaanku wa awaawiir fi jisimku. Ma yikhallu minhum safaahithum wa yil’achcho ma’aaku, farhaaniin be khachchuhum. 
2PE.2.14	Ayyi mara al-yichiifuuha, fi fikirhum yazno beeha. Yiriidu al-zunuub wa chahwithum abadan ma tachba’. Wa yidissu ma’aahum fi l-zunuub al-naas al-ma saabtiin fi l-iimaan. Humman mudarrabiin fi l-tama’. Humman man’uuliin. 
2PE.2.15	Humman marago min al-derib al-adiil wa waddaro marra waahid. Taaba’o derib Bal’aam wileed Ba’uur al-firih be l-ribah al-ligiih min al-fasaala al-sawwaaha
2PE.2.16	Laakin Allah haraj leyah fi chaan al-khataaya al-sawwaahum. Al-humaar bahiime bakma laakin hajja leyah be hiss insaani wa dahar al-nabi ma yisawwi khidme hana naadum al-aglah laffa. 
2PE.2.17	Al-naas dool misil uyuun al-almi al-almiihum bigi ma fiih wa misil al-sahaab al-khafiif al-tichattitah al-riih al-chadiide. Wa Allah jahhaz leehum bakaan fi l-dalaam al-azrag. 
2PE.2.18	Yikallumu be kibriya al-ma indah faayde. Yista’malo al-chahwaat achaan yijiibu beeha al-naas al-dahaabhum marago min haal al-wadaar. 
2PE.2.19	Al-mu’allimiin dool yuguulu leehum yantuuhum al-hurriiye laakin humman zaathum abiid hana l-fasaad. Achaan al-naadum yabga abid hana l-cheyy al-indah gudra foogah. 
2PE.2.20	Wa kan al-naas awwal marago min najaasit al-dunya be irfat Rabbina Isa al-Masiih Munajjiina wa ba’adeen najaasit al-dunya takrubhum battaan wa tinnasir fooghum, fi l-bakaan da haalithum al-akhiire tabga hawaane min al-awwal. 
2PE.2.21	Achaan kan abadan ma irifo derib al-saalihiin, da akheer leehum min irifooh wa khallo wasiiyit Allah al-allamooha leehum. 
2PE.2.22	Al-bigi leehum da misil kalaam al-masal al-sahiih al-buguul «Al-kalib yigabbil wa yaakul al-gaddafah». Wa battaan «Al-khinziir al-khassalooh yilmarmakh fi l-tiine».
2PE.3.1	Ya akhwaani al-nihibbuku, daahu al-jawaab al-taani al-katabtah leeku. Wa fi jawaabaati nidoor nizakkirku be l-kalaam al-ta’arfuuh khalaas wa tifakkuru be fikir mukhlis. 
2PE.3.2	Fakkuru fi l-kalaam al-anbiya al-saalihiin gaalooh min zamaan wa fakkuru fi wasiiyit Isa Rabbina wa Munajjiina al-simi’tuuha be waasitat al-rusul al-macho leeku. 
2PE.3.3	Wa daahu awwal cheyy al-waajib tafhamooh. Fi l-zaman al-akhiir chammaatiin yugummu wa yichammutu. Wa yitaabu’u chahwaathum bas. 
2PE.3.4	Wa yuguulu «Gaalo Isa baji laakin hu ma ja. Abbahaatna maato wa min bidaayit al-dunya cheyy khayyar ke ma fiih».
2PE.3.5	Wa l-naas dool be niiyithum bas niso cheyy waahid ma’ruuf wa da hu. Zamaan Allah kallam kilme wa beeha al-samaawaat kaano wa l-ard anfasalat min al-almi wa l-almi antaaha suuritha. 
2PE.3.6	Wa be kilmit Allah di, al-almi da kharag al-dunya al-gaa’ide fi l-zaman daak wa dammaraaha. 
2PE.3.7	Wa be kilmit Allah battaan al-samaawaat wa l-ard al-gaa’idiin haaliiyan madmuumiin achaan yarjo al-naar. Allah gaa’id yahfadhum lahaddi yoom al-Hisaab al-yahlako foogah al-naas al-fasliin.
2PE.3.8	Ya akhwaani al-nihibbuku, fiyah cheyy waahid ma’ruuf al-waajib ma tansooh wa da hu. Le Allah yoom waahid misil alif sana wa alif sana misil yoom waahid. 
2PE.3.9	Wa Allah ma yi’akhkhir wa’adah. Al-naas al-buguulu hu akhkhar ma fihmo adiil. Akheer nuguulu Allah sabuur leeku. Hu ma yidoor ayyi naadum yahlak. Hu yidoor kulla l-naas yutuubu. 
2PE.3.10	Laakin laabudda yoom Allah yaji be khafla misil jayyit al-sarraag be l-leel. Wa ajala ke haraka chadiide tinsame’ wa l-samaawaat yabgo ma fiihum wa l-kawaakib yinhargu. Wa l-ard wa kulla cheyy al-yisawwuuh foogha yinkachif. 
2PE.3.11	Wa kan kulla cheyy yiddammar misil da, intu waajib tisawwu chunu ? Waajib ti’iichu be takhwa wa haal saalhe. 
2PE.3.12	Arjo yoom Allah wa itmannu jaytah. Wa fi l-yoom da, al-samaawaat yinhargu wa yiddammaro wa l-kawaakib yumuu’u fi l-hamu. 
2PE.3.13	Wa Allah antaana wa’ad wa achaan da narjo al-samaawaat al-jadiide wa l-ard al-jadiide wa l-dunya al-taji diik tabga daar al-saalihiin.
2PE.3.14	Ya akhwaani al-nihibbuku, da bas al-cheyy al-tarjooh min Allah. Wa achaan da, sawwu juhud achaan ti’iichu be l-salaam giddaamah bala khata wa la eeb. 
2PE.3.15	Fakkuru fi l-ruuh al-tawiile hana Rabbina wa a’arfu kadar hu yi’akhkhir jaytah achaan al-naas yanjo. Wa l-kalaam da misil al-kalaam al-akhuuna Buulus al-niriiduuh katabah leeku min al-hikma al-Allah antaaha leyah. 
2PE.3.16	Wa hu yihajji be l-kalaam da fi kulla jawaabaatah. Wa fi kalaam gaa’id fi jawaabaatah al-tafsiirah ma hayyin. Wa naas waahidiin al-ma garo wa iimaanhum ma saabit yi’awwuju kalaamah misil yi’awwuju kalaam al-kutub al-aakhariin. Wa be da, yijiibu le nufuushum al-halaak. 
2PE.3.17	Wa leeku intu ya akhwaani al-nihibbuku, ta’arfu al-kalaam da min awwal. Wa achaan da, aw’u baalku wa ma tikhallu kidib al-aasiyiin yiwaddiiku fi deribhum wa yitallif iimaanku al-saabit. 
2PE.3.18	Laakin abgo gawiiyiin fi ni’mat Rabbina Isa al-Masiih Munajjiina wa be irfitku leyah. Wa l-Masiih, khalli yimajjuduuh fi l-wakit al-haadir wa fi l-aakhira. Aamiin.
1JN.1.1	Al-kalaam al-niballukhuuh leeku gaa’id min al-bidaaya wa aniina simi’naah wa chifnaah be uyuunna lahaddi irifnaah adiil ke wa lammasnaah be iideenna wa hu kalaam al-haya. 
1JN.1.2	Al-haya baanat wa chifnaaha wa chahadna leeha. Wa niballukhu leeku al-haya al-abadiiye al-awwal gaa’ide ma’a Abuuna Allah wa baanat leena. 
1JN.1.3	Wa l-cheyy al-chifnaah wa simi’naah aniina niballukhuuh leeku achaan nidooru intu kula tukuunu ma’aana fi l-alaakha. Wa l-alaakha al-indina di, hi alaakha ma’a Abuuna Allah wa ma’a Ibnah Isa al-Masiih. 
1JN.1.4	Wa naktubu leeku al-kalaam da achaan al-farah al-kullina indina yabga kaamil.
1JN.1.5	Wa daahu al-khabar al-simi’naah minnah wa niballukhuuh leeku, Allah hu nuur wa fi Allah abadan ma fi dalaam. 
1JN.1.6	Wa kan aniina maachiin fi l-dalaam wa nuguulu indina alaakha ma’a Allah, aniina kaddaabiin wa ma maachiin fi l-hagg. 
1JN.1.7	Wa laakin kan aniina maachiin fi l-nuur misil hu zaatah fi l-nuur, ni’akkudu al-alaakha al-indina ambeenaatna wa damm Isa Ibnah yitahhirna min kulla zunuub. 
1JN.1.8	Wa kan naadum minnina buguul hu ma indah zunuub, hu khachcha nafsah wa l-hagg abadan ma gaa’id fiyah. 
1JN.1.9	Wa Allah hu saadikh wa aadil wa kan ni’tarufu be zunuubna, hu yakhfir leena zunuubna wa yitahhirna min kulla khata. 
1JN.1.10	Wa kan nuguulu aniina ma aznabna, nisawwu Allah kaddaab wa kalaamah ma gaa’id foogna.
1JN.2.1	Ya iyaali, ana gaa’id naktib leeku al-kalaam da achaan ma taznubu. Laakin kan naadum minku yaznib, indina naadum waahid yidaafi’ leena giddaam Allah Abuuna wa hu Isa al-Masiih wa hu bas al-saalih. 
1JN.2.2	Daahu al-gaddam nafsah dahiiye achaan yamha zunuubna. Wa dahiiytah ma le zunuubna aniina bas laakin le zunuub hana kulla naas al-dunya.
1JN.2.3	Daahu kikkeef ni’akkudu kadar aniina na’arfu Allah, al-naadum al-yitaabi’ wasaaya Allah, hu bas ya’arif Allah. 
1JN.2.4	Wa l-naadum al-buguul ana na’arif Allah wa laakin ma yitaabi’ wasaaya, hu kaddaab wa l-hagg ma gaa’id foogah. 
1JN.2.5	Wa l-naadum al-gaa’id yitaabi’ kalaam Allah, hu da sahiih ke yihibb Allah tamaam. Wa daahu kikkeef nagdaro ni’akkudu kadar aniina gaa’idiin saabtiin foogah, 
1JN.2.6	al-naadum al-buguul hu saabit foogah waajib yamchi fi l-dunya misil Isa al-Masiih macha fi l-dunya.
1JN.2.7	Ya akhwaani al-nihibbuku, ana ma gaa’id naktib leeku wasiiye jadiide. La. Ana naktib leeku al-wasiiye al-gaa’ide min zamaan wa intu iriftuuha min al-awwal. Wa l-wasiiye di, hi al-kalaam al-intu simi’tuuh minnina. 
1JN.2.8	Wa laakin sahiih ana naktib leeku wasiiye jadiide wa hagiigitha gaa’ide tinchaaf fi Isa al-Masiih wa tinchaaf fiiku intu achaan al-dalaam bada yufuut wa l-nuur al-sahiih bada yidaawi. 
1JN.2.9	Ayyi naadum al-buguul hu gaa’id fi l-nuur wa yakrah akhuuh, hu lissaa’ ma marag min al-dalaam. 
1JN.2.10	Laakin al-naadum al-yihibb akhuuh, hu da gaa’id saabit fi l-nuur wa ma indah foogah cheyy al-yamurgah min al-derib al-adiil. 
1JN.2.11	Wa ayyi naadum al-yakrah akhuuh, hu gaa’id fi l-dalaam wa yuruukh fi l-dalaam wa ma ba’arif derbah achaan al-dalaam sadda uyuunah.
1JN.2.12	Ya iyaali, naktib leeku achaan Allah khafar leeku zunuubku be sabab Isa al-Masiih. 
1JN.2.13	Ya l-abbahaat, naktib leeku achaan intu iriftu al-gaa’id min al-bidaaya. Ya l-chabaab, naktib leeku achaan intu khalabtu Ibliis al-chariir. 
1JN.2.14	Ya l-iyaal, katabt leeku achaan iriftu Abuuna. Ya l-abbahaat, katabt leeku achaan al-gaa’id min al-bidaaya iriftuuh. Ya l-chabaab, katabt leeku achaan intu gawiiyiin wa kalaam Allah gaa’id saabit foogku wa khalabtu Ibliis al-chariir. 
1JN.2.15	Ma tihibbu al-dunya wa la khumaam al-dunya. Al-naadum al-yihibb al-dunya ma yihibb Abuuna Allah 
1JN.2.16	achaan kulla cheyy al-gaa’id fi l-dunya misil chahwaat al-jisim wa l-tama’ wa l-fachaar ma min Abuuna wa laakin min al-dunya. 
1JN.2.17	Al-dunya wa chahwaatha yufuutu wa laakin al-naas al-yisawwu muraadat Allah yi’iichu ila l-abad.
1JN.2.18	Ya iyaali, al-saa’a al-akhiira badat. Awwal simi’tu kadar adu al-Masiih baji wa khalaas udwaan al-Masiih katiiriin jo. Wa achaan da, na’arfu al-saa’a al-akhiira badat khalaas. 
1JN.2.19	Awwal humman fi usutna wa hassa’ marago minnina laakin be l-sahiih, awwal kula humman ma akhwaanna. Kan awwal humman akhwaanna, humman yagoodu ma’aana. Wa min marago min usutna da, bigi waadih leena kadar ma fi naadum waahid ke minhum akhuuna be l-sahiih. 
1JN.2.20	Wa laakin intu ma misilhum. Al-Khudduus antaaku baraka wa l-baraka di antatku gudra wa kulluku induku minnah ilim. 
1JN.2.21	Ana naktib leeku ma achaan intu ma iriftu al-hagg. La. Ana naktib leeku achaan iriftu al-hagg wa fihimtu kadar ma fi kidib waahid jaayi min al-hagg.
1JN.2.22	Yaatu al-kaddaab ? Al-kaddaab hu al-naakir al-yuguul Isa zaatah ma al-Masiih. Ayyi naadum al-misil da, hu adu al-Masiih. Hu yankur kadar Allah hu Abu Isa wa yuguul Isa ma Ibn Allah. 
1JN.2.23	Ayyi naadum al-buguul Isa ma Ibn Allah, khalaas Allah ma Abuuh. Wa l-naadum al-yachhad kadar Isa al-Masiih hu Ibn Allah, khalaas Allah bigi leyah abuuh. 
1JN.2.24	Khallu al-kalaam al-awwal simi’tuuh minnina yagood saabit fi guluubku. Kan al-kalaam al-awwal simi’tuuh yagood saabit fi guluubku, intu tagoodu fi alaakha saabte ma’a Ibn Allah wa ma’a Allah Abuuh. 
1JN.2.25	Wa l-cheyy al-Allah waa’adaana beyah, hu al-haya al-abadiiye.
1JN.2.26	Wa l-kalaam da katabtah leeku be sabab al-naas al-yidooru yamurguuku min al-derib al-sahiih. 
1JN.2.27	Laakin leeku intu, al-baraka nazalat foogku min Isa al-Masiih wa gaa’ide ma’aaku wa achaan da, intu ma hawjaaniin battaan naadum aakhar yi’allimku. Al-Ruuh al-Khudduus yi’allimku be kulla cheyy wa kalaamah sahiih wa hu ma yakdib. Agoodu saabtiin fi Ibn Allah misil al-Ruuh allamaaku.
1JN.2.28	Ya iyaali, agoodu gawiiyiin ma’aayah achaan wakit hu yibiin, guluubna yukuunu raagdiin wa ma nalgo eeb fi yoom jaytah. 
1JN.2.29	Iriftu Ibn Allah hu saalih wa achaan da, ta’arfu kadar kulla l-naas al-yitaabu’u al-haal al-saalhe mislah hu, humman iyaal Allah.
1JN.3.1	Chiftu kikkeef Abuuna yihibbina ? Mahabbat Allah leena kabiire bilheen wa be sababha hu yinaadiina iyaalah. Wa sahiih bigiina iyaal Allah. Naas al-dunya ma irifoona achaan ma irifo Allah. 
1JN.3.2	Ya l-mahbuubiin, hassa’ haaliiyan aniina iyaal Allah. Wa l-cheyy al-nabgo ba’adeen, Allah lissaa’ ma bayyanah leena. Laakin na’arfu kadar wakit Ibn Allah yibiin battaan, nichiifuuh hu zaatah be nafsah wa aniina nabgo mislah. 
1JN.3.3	Wa ayyi naadum al-indah acham misil da foog al-Masiih, yitahhir galbah tamaam misil Ibn Allah hu taahir.
1JN.3.4	Ayyi naadum al-gaa’id yaznib, hu yikhaalif wasaaya Allah. Al-zanib hu zaatah mukhaalafat wasaaya Allah. 
1JN.3.5	Iriftu kadar Ibn Allah baan achaan yamha zunuubna. Wa foogah hu, zanib ma fiih abadan. 
1JN.3.6	Kan naadum gaa’id saabit foogah, hu ma yisawwi zanib. Wa ayyi naadum al-yisawwi zunuub, hu abadan ke ma chaafah wa la irifah. 
1JN.3.7	Ya iyaali, ma tikhallu naadum waahid yukhuchchuku. Al-naas al-yisawwu amal saalih humman al-saalihiin misil Ibn Allah hu saalih. 
1JN.3.8	Wa ayyi naadum al-gaa’id yisawwi zunuub, hu hana Ibliis achaan Ibliis gaa’id yaznib min al-bidaaya. Wa khalaas Ibn Allah ja fi l-dunya achaan yakhrib amal Ibliis kulla ke. 
1JN.3.9	Al-naas al-bigo iyaal Allah ma yaznubu achaan tabii’at Allah gaa’ide fooghum. Ma yagdaro yaznubu achaan bigo iyaal Allah. 
1JN.3.10	Wa na’arfu yaatumman iyaal Allah wa yaatumman iyaal Ibliis be l-cheyy al-yisawwuuh. Kulla l-naas al-ma yitaabu’u al-haal al-saalhe, humman ma iyaal Allah misil al-naas al-ma yihibbu akhwaanhum.
1JN.3.11	Daahu al-kalaam al-simi’tuuh min al-bidaaya, waajib nirraayado ambeenaatna. 
1JN.3.12	Waajib ma nabgo misil Gaabiil
1JN.3.13	Ya akhwaani, ma ti’ajjubu kan naas al-dunya yakrahooku. 
1JN.3.14	Kan nirraayado ambeenaatna, da bas al-daliil al-yi’akkid kadar maragna min haalat al-moot wa dakhalna fi haalat al-haya. Ayyi naadum al-ma yihibb akhwaanah yagood fi l-moot. 
1JN.3.15	Wa ayyi naadum al-yakrah akhuuh, hu kattaal dimme wa ta’arfu kadar kan naadum kattaal dimme, al-haya al-abadiiye ma gaa’ide foogah. 
1JN.3.16	Isa al-Masiih fadaana be ruuhah wa da bas wassaf leena chunu al-mahabba. Wa khalaas waajib nihibbu akhwaanna lahaddi nafdoohum be ruuhna. 
1JN.3.17	Kan naadum indah maal al-dunya wa yichiif akhuuh ta’baan wa yisidd eenah wa ma yisaa’idah, kikkeef nuguulu mahabbat Allah gaa’ide fiyah ? 
1JN.3.18	Ya iyaali, khalli ma nirraayado be kalaam khuchuumna bas laakin khalli nirraayado be l-fi’il wa be l-mahabba al-sahiihe.
1JN.3.19	Wa kan niriidu akhwaanna, be misil da na’arfu aniina naas hana l-hagg. Wa be l-fikir da, guluubna yagoodu fi l-damaan giddaam Allah. 
1JN.3.20	Kan guluubna yuluumuuna fi ayyi cheyy, Allah hu akbar min guluubna wa hu ya’arif kulla cheyy. 
1JN.3.21	Ya l-mahbuubiin, kan guluubna ma yuluumuuna fi ayyi cheyy, aniina indina al-damaan giddaam Allah. 
1JN.3.22	Wa nalgo min Allah ayyi cheyy al-nas’alooh minnah achaan nitaabu’u wasaayaah wa nisawwu al-cheyy al-yarda beyah. 
1JN.3.23	Wa diihi wasiiytah, waajib ni’aamunu be usum Ibnah Isa al-Masiih wa nirraayado ambeenaatna misil hu amaraana beyah. 
1JN.3.24	Kulla l-naas al-yitaabu’u wasaayaah gaa’idiin saabtiin foogah wa hu gaa’id saabit fooghum. Wa na’arfu akiid kadar hu gaa’id saabit foogna wa da na’arfuuh min al-Ruuh al-Khudduus al-hu nazzalah foogna.
1JN.4.1	Ya l-mahbuubiin, ma tisaddukhu be kulla l-naadum al-buguul hu yihajji be gudrat al-Ruuh. Jarrubuuhum achaan ti’akkudu kan kalaamhum min Allah. Naas katiiriin sawwo nufuushum nubuuwa wa gammo yuruukhu fi l-dunya. 
1JN.4.2	Wa daahu kikkeef ta’arfu kalaam hana Ruuh Allah, kan naadum buguul hu yihajji be gudrat al-Ruuh wa yachhad kadar Isa hu al-Masiih wa bigi insaani wakit dakhal fi l-dunya, khalaas kalaamah da min Allah. 
1JN.4.3	Wa laakin ayyi naadum al-buguul hu yihajji be gudrat al-Ruuh wa ma yachhad le Isa, kalaamah ma min Allah. Da min ruuh hana adu al-Masiih al-simi’tu foogah laabudda yaji wa haaliiyan gaa’id fi l-dunya. 
1JN.4.4	Ya iyaali, intu naas hana Allah wa khalabtu al-nubuuwa al-kaddaabiin dool khalaas, achaan hu al-gaa’id fiiku akbar min al-gaa’id fi l-dunya. 
1JN.4.5	Humman naas hana l-dunya bas wa achaan da, kalaamhum min al-dunya wa naas al-dunya bas yasma’o kalaamhum. 
1JN.4.6	Aniina naas hana Allah. Ayyi naadum al-ya’arif Allah yasma’ kalaamna. Wa ayyi naadum al-ma hana Allah ma yasma’ kalaamna. Be misil da, na’arfu al-kalaam al-jaayi min al-hagg wa l-kalaam al-jaayi min al-kaddaab.
1JN.4.7	Ya l-mahbuubiin, khalli nirraayado ambeenaatna achaan al-mahabba hi min Allah. Kulla l-naas al-yihibbu akhwaanhum humman al-naas al-bigo iyaal Allah wa ya’arfu Allah. 
1JN.4.8	Ayyi naadum al-ma yihibb akhwaanah ma ya’arif Allah achaan Allah hu mahabba. 
1JN.4.9	Daahu kikkeef Allah bayyan leena mahabbatah, Allah rassal Ibnah al-waahid fi l-dunya achaan beyah nalgo al-haya. 
1JN.4.10	Wa diihi al-mahabba al-sahiihe, hi ma al-mahabba al-aniina nihibbu beeha Allah. La. Hi al-mahabba al-Allah habbaana beeha lahaddi rassal Ibnah le yamha zunuubna. 
1JN.4.11	Ya l-mahbuubiin, Allah yihibbina bilheen wa achaan da, waajib nirraayado ambeenaatna. 
1JN.4.12	Abadan ma fi ayyi naadum al-chaaf Allah. Laakin kan aniina gaa’idiin nirraayado ambeenaatna, Allah yagood ma’aana wa mahabbatah tabga kaamile foogna.
1JN.4.13	Na’arfu kadar aniina saabtiin foogah wa hu saabit foogna achaan hu antaana Ruuhah. 
1JN.4.14	Wa aniina chifna adiil kadar Allah rassal Ibnah fi l-dunya achaan yinajji naas al-dunya wa aniina gaa’idiin nachhado leyah. 
1JN.4.15	Ayyi naadum al-yachhad kadar Isa hu Ibn Allah, hu gaa’id saabit fi Allah wa Allah gaa’id saabit foogah. 
1JN.4.16	Wa khalaas irifna al-mahabba al-Allah habbaana beeha wa aamanna beeha. Allah hu mahabba. Wa l-saabtiin fi l-mahabba saabtiin fi Allah wa Allah saabit fiihum. 
1JN.4.17	Wa be misil da, mahabbat Allah tabga kaamile fiina wa fi yoom al-Hisaab ma nakhaafo achaan fi l-dunya aniina ichna misil Isa al-Masiih. 
1JN.4.18	Kan na’arfu mahabbat Allah, ma nakhaafo. Al-mahabba al-kaamile tatrud minnina al-khoof. Al-khoof jaayi min fikir hana l-azaab. Al-naadum al-khaayif lissaa’ ma kaamil fi l-mahabba.
1JN.4.19	Aniina nihibbu Allah achaan Allah habbaana aniina min awwal. 
1JN.4.20	Ayyi naadum al-yuguul «Ana nihibb Allah» wa laakin yakrah akhuuh, hu da kaddaab achaan kan ma yihibb akhuuh al-gaa’id yichiifah, ma mumkin yihibb Allah al-ma chaafah. 
1JN.4.21	Al-wasiiye al-antaaha leena tuguul kadar al-naas al-yihibbu Allah waajib yihibbu akhwaanhum kula.
1JN.5.1	Ayyi naadum al-aaman kadar Isa hu al-Masiih
1JN.5.2	Wa khalaas na’arfu kadar nihibbu iyaal Allah kan nihibbu Allah wa nitaabu’u al-wasaaya al-hu antaahum. 
1JN.5.3	Wa daahu kikkeef nihibbu Allah, nitabbukhu wasaayaah. Wa tabbigiin al-wasaaya dool ma yabga leena gaasi 
1JN.5.4	achaan ayyi naadum al-Allah bigi leyah Abuuh yakhlib gudrat al-dunya. Wa l-gudra al-beeha nakhlubu al-dunya hi jaaye min iimaanna. 
1JN.5.5	Yaatu al-yakhlib al-dunya ? Illa l-naadum al-aaman be Isa Ibn Allah.
1JN.5.6	Isa hu al-Masiih al-khattasooh fi almi wa hu al-Masiih al-katalooh wa dammah daffag. Hu ma al-khattasooh fi l-almi bas laakin hu al-katalooh kula wa dammah daffag. Wa l-Ruuh al-Khudduus hu al-gaa’id yachhad leyah achaan al-Ruuh al-Khudduus hu al-hagg. 
1JN.5.7	Wa fiyah chahaadaat talaata 
1JN.5.8	wa humman al-Ruuh al-Khudduus wa l-almi al-khattasooh foogah wa l-damm al-daffag. Wa l-chahaadaat al-talaata dool kalaamhum waahid. 
1JN.5.9	Kan nakhbalo chahaadat al-naas kula, na’arfu chahaadat Allah akbar. Wa chahaadat Allah, hi al-kalaam al-gaalah fi Ibnah. 
1JN.5.10	Al-mu’miniin be Ibn Allah karabo al-chahaada di fi guluubhum. Al-naas al-ma mu’miniin be l-kalaam al-Allah gaalah, humman sawwo Allah kaddaab achaan abo ma yakhbalo chahaadat Allah fi Ibnah. 
1JN.5.11	Wa diihi al-chahaada, Allah antaana al-haya al-abadiiye wa l-haya di tinlagi fi Ibnah. 
1JN.5.12	Al-naas al-mu’miniin be Ibn Allah ligo al-haya al-abadiiye wa ayyi naadum al-ma aaman be Ibn Allah ma ligi al-haya. 
1JN.5.13	Ana katabt al-kalaam da leeku intu al-mu’miniin be usum Ibn Allah achaan ta’arfu kadar ligiitu al-haya al-abadiiye.
1JN.5.14	Wa nihajju le Allah be kulla amaan achaan na’arfu kan natlubu minnah ayyi cheyy hasab muraadaatah, akiid hu yasma’ talabna. 
1JN.5.15	Wa kan na’arfu kadar hu simi’ talabna fi ayyi cheyy, na’arfu kadar hu sawwa leena al-cheyy al-talabnaah minnah. 
1JN.5.16	Kan naadum minku yichiif akhu waahid yaznib wa l-zanib da ma al-zanib al-yiwaddi al-naas le l-moot, khalli yas’al Allah wa hu yanti al-haya le l-naadum da. Hu yanti al-haya le l-naas al-zunuubhum ma yiwadduuhum le l-moot. Zanib aakhar gaa’id al-yiwaddi al-naas le l-moot wa ma gult leeku tas’alo Allah le l-naas al-gaa’idiin yisawwuuh. 
1JN.5.17	Kulla khata hu zanib laakin fiyah zunuub ma yiwaddu al-naas le l-moot.
1JN.5.18	Na’arfu kadar al-naas al-Allah sawwaahum iyaalah ma yaznubu wa Ibn Allah yahfadhum wa Ibliis al-chariir ma yagdar yalmashum. 
