GEN.1.1	Diad gapoy gapo nen pinalsa na Dios iray katawenan tan say dalin,
NUM.19.13	Siopamay maniwit na bangkay tan ag to linisan so sikaton dili et siansian marotak onung ed ganggan, lapud ag asibuan so laman to na danum a panaglinis. Dotakan to so Tulda na 
NUM.19.14	Saya so ganggan no walay toon ompatey ed dalem na sakey a tulda: pitoy agew a marotak onung ed ganggan so siopaman a walad dalem na samay tulda tan siopaman ya onloob. 
NUM.19.15	Magmaliw met a marotak so dinan man ya anggapoy sakub
NUM.19.16	Magmaliw a marotak a pitoy agew so siopaman a maniwit ed toon pinatey odino inatey a bukor ed paway na ayaman, odino siopaman a maniwit na pokel na inatey odino maniwit na lobuk.
NUM.19.17	Pian naekal so inkarotak na sakey a too, alaen so daiset a dapul na samay ambalangan bakan pinoolan a pangekal na kasalanan, insan ikarga ed sakey a banga tan danuman na ambetel. 
NUM.19.18	Say sakey a toon malinis onung ed ganggan et mangalay sakey a sangay isopo, idelnet tod samay danum, insan iwalsik tod samay tulda, diad amin a walad dalem to tan amin da ray totoon wadman. Ontan met say sakey a toon malinis onung ed ganggan walsikan toy sakey a toon nandiwit na pokel na inatey odino nandiwit na bangkay odino lobuk. 
NUM.19.19	Diad kumatlon agew tan diad kumapiton agew say too a malinis onung ed ganggan et walsikan to na samay danum so toon marotak onung ed ganggan. Diad kumapiton agew say toon malinis linisan to may toon marotak. Diad mansironget magmaliw a malinis onung ed ganggan kayari ton impesak so kawes to tan kinalboan so laman to na danum.
NUM.19.20	Siopamay nagmaliw a marotak onung ed ganggan tan ag to linisan so sikaton dili, siansian marotak onung ed ganggan, lapud ag asiboan so laman to na danum a panaglinis. Dotakan to so Tulda na 
NUM.19.21	Sayan totontonen et mansiansia ya anggad arapen a panaon. Say toon mangiwalsik na danum a panaglinis nepeg met ya ipesak toy kawes to; siopamay maniwit na danum a panaglinis et siansian marotak ya anggad labi. 
NUM.19.22	Antokaman a diwiten na toon marotak et magmaliw a marotak met onung ed ganggan, tan siopamay maniwit na sayan antokaman a marotak et siansian marotak ya anggad labi.
NUM.20.1	Diad ononan bulan akasabid kalawakan na Zin iray amin ya Israelita tan nankampo ra ed Cades. Inatey diman si Miriam tan imponpon da.
NUM.20.2	Anggapoy danum dimad nankampoan da, kanyan minokut day Moises tan Aaron 
NUM.20.3	tan nanriklamo ra: “Maung ni komun ya inaatey kamid man ed arap na Tulday 
NUM.20.4	Akin et inyakar yo kami diad sayan kalawakan? Labay yo ya ompatey kami dia tan saray ayayep mi? 
NUM.20.5	Akin et impaway yo kamin manlapud Egipto pian niakar yo kami diad sayan makapasinagem a pasen ya anggapoy ontubon tanaman? Anggapo diay trigo, igos, ubas, granada. Anggapoy anggad danum a nainom!” 
NUM.20.6	Inmarawi ra di Moises tan Aaron tan nanalagey ira ed lolooban na samay Tulda. Dinmakmomo ra ya anggad dalin, insan pinmatnag ed sikara so kagalangan na 
NUM.20.7	Say 
NUM.20.8	“Alam imay baston a walad arap na Kaban na Sipanan, insan yo pantitiponen nen Aaron iray amin a totoo. Diad arap dan amin mansalita ka ed baton dampay a wadman, et ompaway diman so danum. Diad ontan napapaway mod samay baton dampay so danum ya inomen na saray totoo tan saray ayayep da.” 
NUM.20.9	Linmay Moises ta inala to may baston onung na ingganggan na 
NUM.20.10	Di Moises tan Aaron impantitipon dad arap na samay baton dampay iray totoo tan inkuanen Moises, “Dengel kayo, sikayo ran mananumpan totoo! Nepeg miy mamapaway ed sayan baton dampay na danum a para sikayo?” 
NUM.20.11	Insan inyatagey nen Moises imay baston tan pinekpek ton amidua imay baton dampay, et pinmaway so manwawan sobul na danum. Inmiinom iray amin a totoo tan amin ya ayayep.
NUM.20.12	Balet nanpasnukan na 
NUM.20.13	Agawa ya ed dalin na Meriba
NUM.20.14	Manlapud Cades si Moises angibaki ed ari na Edom na pigaran totoo. Inkuanda, “Saya so papaibaga na saray kakanayon mo a kabyangan na saray tribu na Israel. Amtam so inkairapan mi la, 
NUM.20.15	no panon so inyakar ed Egipto na saray lalaki mi, a dimay nanayaman mi na pigapigay taon. Saray Egipsio et pinapairap da ray lalaki mi tan ontan met ed sikami. 
NUM.20.16	Kanyan kinmerew kami na tulong ed 
NUM.20.17	Padalan mo kami pad dalin mo. Sikami tan saray ayayep mi et ag kami oniwas ed dalan, ag kami onlad kaalogan odino kaubasan mo tan ag kami oninom ed saray bobun mo. Mampetek kamin manakar ed maawang a dalan
NUM.20.18	Balet inmebat iray Edomita, “Ag mi kayo abuloyan ya ondalan ed bansa mi! No ituloy yoy ondalan dogpaen mi kayon bakalen.”
NUM.20.19	Inkuan na saray totood Israel, “Diad maawang a dalan labat so panakaran mi; no sikami odino saray ayayep mi et oninom na danum yo, bayaran mi—say pilalek mi labat et say ondalan ed dalin yo.”
NUM.20.20	Inolit ya imbaga na saray Edomita, “Ag kami onabuloy!” Insan pinmaway so amayamay a masesebeg a sondalo ra ya ondogpad saray totood Israel. 
NUM.20.21	Lapud saray Israelita et ag ira padalanen na saray Edomita ed dalin da, amoliktar iray Israelita tan amaarap la rad sananey a dalan.
NUM.20.22	Amin da ray Israelita et tinaynan day Cades tan akasabi ra ed Palandey na Hor 
NUM.20.23	a walad ketegan na Edom. Inkuan diman na 
NUM.20.24	“Ag makaloob si Aaron ed dalin ya insipan kon iter ed Israel; ompatey la lapud sinumlang yon dua so ganggan ko dimad Meriba. 
NUM.20.25	Itagar mod Palandey na Hor si Aaron tan si Eleazar ya anak to, 
NUM.20.26	tan ekal mod man so kawes na pari ya akasolung ed kinen Aaron, insan mo isolung ed kinen Eleazar. Ompatey diman si Aaron.” 
NUM.20.27	Ginawa nen Moises so ingganggan ed sikato na 
NUM.20.28	Insan inekal nen Moises imay kawes na parin akasolung ed kinen Aaron tan insolung tod kinen Eleazar. Inatey dimad toktok na palandey si Aaron, insan la ra linmasur di Moises tan Eleazar. 
NUM.20.29	Akabatan ed satan na amin ya Israelita ya inatey si Aaron, kanyan talomploy agew a nanermen ira.
NUM.21.1	Nen say arin Cananeo a manooley ed Arad diad abalaten na Canaan et nadngelan ton onsasabi ray Israelita tan ondadalan ira ed Atarim, dinogpaan to ra tan adakep toy pigarad sikara. 
NUM.21.2	Insan saray Israelita sinambaan dad 
NUM.21.3	Dinengel ira na 
NUM.21.4	Tinaynan na saray Israelita so Palandey na Hor tan nanakar ira ed dalan a mamaarap ed Dayat ya Akaba, pian nasaliberberan day dalin na Edom. Balet diad dalan ag la akaanos iray totoo 
NUM.21.5	tan nansalita ra sumpad Dios tan diad kinen Moises. Inkuandan nanriklamo, “Akin et impaway mo kamid Egipto anta ompatey kami lamlamang diad kalawakan? Anggapo diay naakan odino nainom tan atama kami la ed sayan andi-kakanaan a kakanen!” 
NUM.21.6	Insan say 
NUM.21.7	Sinmingger ed kinen Moises iray totoo tan kuanda, “Nankasalanan kami nen nansalita kamiy sumpad Dios tan sumpad sika. Ipikasim pad 
NUM.21.8	Insan say 
NUM.21.9	Kanyan nanggawa na gansan oleg si Moises tan imbitin tod sakey a teken. Siopaman ya aketket na oleg insan onnengneng ed samay gansan oleg, et mambilay.
NUM.21.10	Inmalis iray Israelita tan nankampo ra ed Obot. 
NUM.21.11	Tinaynan da man a pasen insan nankampo ra ed Iye-abarim diad kalawakan a nibokig na dalin da ray Moabita. 
NUM.21.12	Insan ira nakampo ed Patar na Zared. 
NUM.21.13	Manlapud man inmalis ira lamet tan nankampo ra ed baybay a dapag na Ilog na Arnon, diad kalawakan a nasabi toy dalin da ray Amorreo. (Say arnon et ketegan da ray Moabita tan saray Amorreo.) 
NUM.21.14	Sikato yay makasengeg a sasalitaen na 
NUM.21.15	tan say palasur na saray patar a nasabi toy baley na Ar tan mamaarap ed ketegan na Moab.”
NUM.21.16	Manlapud man linma ra ed sakey a pasen a tatawagen na Beer a kabaliksan toy bobun a diman inkuan na 
NUM.21.17	Diad saman a panaon saray Israelita kinanta ra:
NUM.21.17	“Bobun, papaway moy danum mo;
NUM.21.17	Et ilugay mi diad panamegley na sakey a kanta—
NUM.21.18	Say bobun a kinotkot na saray prinsipi
NUM.21.18	Tan saray pangulo da ray totoo,
NUM.21.18	Diad panamegley na sitroy ari
NUM.21.18	Tan saray baston da.”
NUM.21.18	Manlapud kalawakan inmalis ira ed Matana, 
NUM.21.19	tan manlapud man linma ra ed Nahaliel, tan manlapud Nahaliel inmalis ira ed Bamot, 
NUM.21.20	tan manlapud man inmalis ira ed patar a nasasakopan na saray Moabita, ya ososdongan na Palandey na Pisga, tan tantandagan toy kalawakan.
NUM.21.21	Insan saray totood Israel angibaki ra na pigaran totoo ed ari na saray Amorreo a si Sehon tan impaikuanda: 
NUM.21.22	“Padalan mo kami pa ed dalin mo. Sikami tan saray ayayep mi et ag kami oniwas ed dalan, ag kami onlad kaalogan odino kaubasan mo, tan ag kami oninom ed saray bobun mo. Mampetek kamin manakar ed maawang a dalan
NUM.21.23	Balet si Sehon ag to abuloyan ya ondalan ed dalin to iray Israelita. Tinipon to ray sondalo to tan pinmaway iran linmad Jahaz diad kalawakan tan dinogpaan da ray Israelita. 
NUM.21.24	Balet saray Israelita apatey da ray amayamay a kalaban da tan nanayaman day dalin da manlapud Ilog na Arnon ya anggad Jabok a kawalaan da ray Amonita lapud mabiskeg so ketegen da.
NUM.21.25	Kanyan saray totood Israel adakep da ray amin a siudad na saray Amorreo, pati say Hesbon tan amin a kaliber-liber ton baley, insan da ra nanaayaman. 
NUM.21.26	Say Hesbon et manonan siudad na ari da ray Amorreo a si Sehon ya akibakal nen saman ed ari na Moab tan adakep toy intiron dalin to ya anggad Ilog na Arnon. 
NUM.21.27	Sikato yay makasengeg a saray umaanlong ikankanta ra:
NUM.21.27	“Laka yod Hesbon, diad siudad nen Ari Sehon!
NUM.21.27	Labay min nanengneng a nipaalagey lamet tan napasimbalo.
NUM.21.28	Nen saman manlapud sayan siudad na Hesbon
NUM.21.28	Pinmaway a singa apoy iray sondalo nen Sehon;
NUM.21.28	Dineral to so siudad na Ar diad Moab
NUM.21.28	Tan inoput
NUM.21.29	Pakaskasi kayo la, sikayon taga Moab!
NUM.21.29	Aderal-deral kayo la, sikayon manangigalang ed Kemos!
NUM.21.29	Inyabuloy na dios yo a nadakep na arum a bansa iray lalaki,
NUM.21.29	Tan saray bibii adakep ira na ari na saray Amorreo.
NUM.21.30	Balet natan aderal la ray kabyangay boleg da,
NUM.21.30	Manlapud Hesbon ya anggad Dibon,
NUM.21.30	Manlapud Nasim ya anggad Nofa a kaabay na Medeba.”
NUM.21.31	Kanyan saray totood Israel nanayam ira ed dalin da ray Amorreo, 
NUM.21.32	et si Moises angibaki na saray lalaki a mananap na sankaabigan ya idogpa rad siudad na Jazer. Adakep na saray Israelita yan siudad tan saray kaliber-liber ton baley tan pinataynan da ray Amorreo a manaayam diman.
NUM.21.33	Insan sinmipa ray Israelita tan amaarap ira ed Basan, balet pinmaway si Ari Og na Basan tan saray sondalo to et dinogpaan da ra ed Edrei. 
NUM.21.34	Say 
NUM.21.35	Kanyan pinatey na saray Israelita si Og, saray lalakin anak to, tan amin da ray totoo to; anggapoy inkera ran mabilay, insan da nanayaman so dalin to.
NUM.22.1	Inmalis iray Israelita tan nankampo ra ed saray patar na Moab diad bokig na Jordan tan kasumbaliwan na Jerico.
NUM.22.2	Nen say ari na Moab a si Balak a lakin anak nen Zippor et nadngelan toy ginawa na saray Israelita ed saray Amorreo tan no panoy karakel da, 
NUM.22.3	mapalaloy inkataktakot to, pati saray amin a totoo to. 
NUM.22.4	Saray Moabita kuandad saray pangulo da ray Madianita, “Ag mabayag sayan olup na totoo et deralen day amin a walad kaliber-liber tayo, a singa ra bakan kalakyan a mankakabkab na dikad pastolan.” Kanyan si Ari Balak 
NUM.22.5	angibaki na pigaran totoo ed kinen Balaam a lakin anak nen Beor; si Balaam walad Petor ya asingger ed Ilog na Eufrates diad dalin na Amaw. Saya so impaibaga nen Balak ed sikato; “Labay kon ipaamtad sika a walay sakey a bansan sinmabi a nanlapud Egipto; onkakayat ed amin a pasen iray totoo to tan ngalngali da la sakopay dalin mi. 
NUM.22.6	Dakel ira nen say sikami kanyan ipangasim pan isamban ira para siak. Diad ontan natalo mi ra angangko tan napataynan mi ra ed paway na dalin. Amtak a no mamindision kay too, nabindisionan a tua, tan no mangisamba kay too, nisamban tua.”
NUM.22.7	Kanyan saray pangulo da ray Moabita tan saray Madianita inawit da so bayar na samba, linma ra ed kinen Balaam, tan imbaga rad sikato so papaibaga nen Balak. 
NUM.22.8	Inkuanen Balaam ed sikara, “Ogip kayo la diad sayan labi, et nabwas ibagak ed sikayo so salitaen na 
NUM.22.9	Linmad kinen Balaam so Dios tan tinepet to, “Siopa ra yay totoon kaibam natan?”
NUM.22.10	Inmebat si Balaam, “Imbaki ra ed siak nen Ari Balak na Moab ta ibaga rad siak 
NUM.22.11	a wala ray totoon nanlapud Egipto a kinmayat la ra ed intiron dalin. Papaisamba to rad siak a para sikato, pian nayarian to ran bakalen tan pataynanen.”
NUM.22.12	Say Dios kuantod kinen Balaam, “Ag ka mimilad sarayan totoo, tan ag mo isasamba ray Israelita, ta walad sikara so bindision ko.”
NUM.22.13	Diad kaimbuas dinago nen Balaam ira may imbaki nen Balak tan kuanto, “Sempet kayo la ta ag iyabuloy na 
NUM.22.14	Kanyan pinmawil irad kinen Balak tan imbaga rad sikato ya ag labay nen Balaam so milad sikara.
NUM.22.15	Insan si Balak angibaki na dakdakel nin pangulo nen saramay akaonan imbaki tan atagey ni so kipapasen da. 
NUM.22.16	Linma rad kinen Balaam tan sinalita rad sikato so papaibaga nen Balak: “Ag mo kari aabuloyan a nabaat na antokaman so iyakar mo diad siak! 
NUM.22.17	Tumangan ta ka na baleg a kagalangan tan gawaen ko so amin ya ibagam. Gala dia kari tan isambam ira yan totoo para siak.”
NUM.22.18	Balet inmebat si Balaam, “Anggan iter ed siak nen Balak iray amin a pilak tan balituk na palasio to, ag kon balut nayarian a sumlangen so anggan sankamelagan a ganggan na 
NUM.22.19	Balet ogip kayo ni dia a singa ginawa na saramay inmona, pian naamtaan ko no wala o anggapo kasi so arum a labay ya ibaga na 
NUM.22.20	Diad saman a labi say Dios linmad kinen Balaam tan kuanto, “No sarayan lalaki et kerewen dan mila kad sikara, mamparaan kan mila, balet gawam labat so ibagak ed sika.” 
NUM.22.21	Kanyan kaimbuas si Balaam kinmabayod asno to tan akilad saramay pangulo da ray Moabita.
NUM.22.22	Akapasnuk so Dios ta mimilay Balaam ed saramay pangulo. Nen mangabkabayo si Balaam ed asno to a kaolup na duaran aripen to, nanalagey ed dalan so anghil na 
NUM.22.23	Nen samay asno et anengneng to may anghil a manalalagey diman a sankaegnaan toy sakey ya ispada, sinmipa tan amaarap ed kaalogan. Nilewet nen Balaam imay asno tan pinaarap tod dalan. 
NUM.22.24	Insan samay anghil nanalagey ed mainget a partiy dalan diad nanleetan na duaran kaubasan tan apadir na bato so balang dapag. 
NUM.22.25	Nen anengneng na samay asno imay anghil, ginmilig ed padir et apildit so sali nen Balaam. Nilewet lamet nen Balaam imay asno. 
NUM.22.26	Samay anghil inonaan to ra lamet ed dalan; nanalagey ed mainget a partiy dalan ya anggapon balut so napaliisan ed anggan iner a dapag. 
NUM.22.27	Diad saya, nen anengneng na samay asno imay anghil, dinmokul imay asno. Akapasnuk si Balaam kanyan nilewet tan pinekpek to na baston to. 
NUM.22.28	Insan say 
NUM.22.29	Inmebat si Balaam, “Lapud lolokoen mo ak! No walay ispadak pinatey ta ka la.”
NUM.22.30	Inmebat imay asno, “Ag ta asno mo ak a gendat lan luluganan mo? Onya tay ginagawak ed sika nen saman?”
NUM.22.30	“Andi,” ebat nen Balaam.
NUM.22.31	Insan say 
NUM.22.32	Inkuanto may anghil, “Akin et amitlom a pinekpek yay asnom? Linma ak diad mamaat na kurang mo, lapud ag ka nepeg a mila. 
NUM.22.33	Balet anengneng ak na asnom kanyan amitlon sinmipad dalan. No ag sinmipad dalan apatey ta ka la tan inabuloyan kon nambilay so asnom.”
NUM.22.34	Inmebat si Balaam, “Nankasalanan ak. Ag ko amta a manalalagey kad dalan a mamaat ed siak; balet natan no isisipen mon makapoy ya ituloy koy mila, ompawil ak la.”
NUM.22.35	Balet inkuan na samay anghil, “Mila kad sarayan totoo, balet salitam labat so paibagak ed sika.” Kanyan intuloy nen Balaam so akilad sikara.
NUM.22.36	Nen nadngelan nen Balak ya onsasabi lay Balaam, nila ton inabet ed Ar, sakey a siudad a walad gilig na Ilog na Arnon diad ketegan na Moab. 
NUM.22.37	Inkuanen Balak ed sikato, “Akin et ag ka akila ed saramay inmonan imbakik? Abaloan mo, ag ta ka nayarian a tumangan na manepeg a kagalangan?”
NUM.22.38	Inmebat si Balaam, “Ag ta wadya ak la natan? Balet antoy pakayarin walad siak? Salitaen ko labat natan so paibagad siak na Dios.” 
NUM.22.39	Kanyan akilay Balaam ed kinen Balak ya anggad baley na Huzot, 
NUM.22.40	a dimay amatasan nen Balak na saray baka tan karniro insan to initdan na karni si Balaam tan saramay pangulon kaiba to.
NUM.22.41	Diad kaimbuas intagar nen Balak si Balaam ed Bamot-baal ta manlapud man a pasen nabantag nen Balaam iray arum a kabyangan na saray totood Israel.
NUM.23.1	Inkuantod kinen Balak, “Igawaan mo ak dia na pitoran altar, tan iyakaran mo ak na pitoran bakan kalakyan tan pitoran karniron kalakyan.”
NUM.23.2	Ginawa nen Balak so nibagad sikato, insan angibagat iran dua nen Balaam na sakey a bakan kalakyan tan sakey a karniron kalakyan diad kapag altar. 
NUM.23.3	Insan inkuanen Balaam ed kinen Balak, “Manalagey ka diad abay na isasaklang mon bagat a popoolan, ta nengnengen ko no kasi abeten ak na 
NUM.23.4	et inabet diman na Dios. Inkuanen Balaam ed Dios, “Amaalagey ak na pitoran altar tan angibagat ak na sakey a bakan kalakyan tan sakey a karniron kalakyan ed kapag altar.”
NUM.23.5	Imbaga na 
NUM.23.6	Kanyan pinmawil si Balaam et asabian toy Balak a manalalagey ni ed abay na isasaklang ton bagat a popoolan tan kaiba to rad may amin a pangulo na Moab.
NUM.23.7	Imbalikas nen Balaam so sayan propisiya:
NUM.23.7	“Manlapud Aram ed nibokig iran kapalandeyan
NUM.23.7	Impaawit ak nen Balak ya ari na Moab.
NUM.23.7	Inkuanto, ‘Gala, ta isalitaan mo ak,
NUM.23.7	Isamban iray Israelita.’
NUM.23.8	Panon kon isamba so ag insamba na Dios,
NUM.23.8	Odino paogesen so ag pinaoges na 
NUM.23.9	Manlapud tagey na kapokdulan nanengneng ko ra;
NUM.23.9	Manlapud kapokdulan nabantag ko ra.
NUM.23.9	Sakey iran bansan mambibilay a mambukbukor;
NUM.23.9	Amta ra a magmaung niy inkabindisionan da nen saray arum a bansa.
NUM.23.10	Singa karakel na dabuk so karakel na saray Israelita.
NUM.23.10	Diad gaway karakel da ag ira nabilang.
NUM.23.10	Ompatey ak komun a sakey a matonung,
NUM.23.10	Mangangga komuy bilay ko a sakey ed saray totoo na Dios.”
NUM.23.11	Insan si Balak kuantod kinen Balaam, “Antoy ginawam ed siak? Inawit ta ka dian mangisamba ed saray kalaban ko, balet binindisionan mo ra lalaingen.”
NUM.23.12	Inmebat si Balaam, “Say nayarin salitaen ko labat say papaibagad siak na 
NUM.23.13	Insa inkuanen Balak ed kinen Balaam, “Mila kad siak ed sananey a pakabantagan mo na pigara labat ya Israelita. Manlapud man isambam ira para siak.” 
NUM.23.14	Intagar tod alog na Zofim diad toktok na Palandey na Pisga. Nanggawa met diman na pitoran altar, insan angibagat na sakey a bakan kalakyan tan sakey a karniron kalakyan ed kapag altar.
NUM.23.15	Inkuanen Balaam ed kinen Balak, “Manalagey ka diad abay na isasaklang mon bagat a popoolan ta banaen koy Dios diman.”
NUM.23.16	Inabet na 
NUM.23.17	Kanyan pinmawil si Balaam et asabian toy Balak a manalalagey ni ed abay na isasaklang ton bagat a popoolan, tan kaiba to rad may pangulo na Moab. Tinepet nen Balak no anto so imbaga na 
NUM.23.18	et imbalikas nen Balaam yan propisiya:
NUM.23.18	“Gala, Balak a lakin anak nen Zippor
NUM.23.18	Ta dengel moy ibagak.
NUM.23.19	Say Dios et aliwan singa saray totoo a mantila;
NUM.23.19	Aliwan singa too a mangoman na kanunotan to.
NUM.23.19	No antoy insipan to tooren to;
NUM.23.19	No antoy imbaga to sumpalen to.
NUM.23.20	Niganggan ak a mamindision,
NUM.23.20	Et no mamindision so Dios, ag ko nayarin babawien.
NUM.23.21	Nanengneng kon say arapen na Israel
NUM.23.21	Et anggapoy gunigon odino kakapoyan.
NUM.23.21	Kaolup da so 
NUM.23.21	Ibabawag da a sikatoy ari ra.
NUM.23.22	Say Dios impaway to ra manlapud Egipto;
NUM.23.22	Singa bakad katakelan a mibabakal para sikara.
NUM.23.23	Anggapoy panamalikdo odino panagsalamangka diad pananulong na maoges ya ispiritu
NUM.23.23	A makasumpa ed bansan Israel.
NUM.23.23	Natan saray totoo ikuanda nipaakar ed Israel.
NUM.23.23	‘Nengneng yo no antoy ginawa na Dios!’
NUM.23.24	Say bansan Israel et singa masebeg a lion:
NUM.23.24	Ag mandeen anggad abuag to lay narel to,
NUM.23.24	Anggad nainom to lay dala na apatey to.”
NUM.23.25	Insan si Balak kuantod kinen Balaam, “No ag mo ra labay ya isamba, ag mo met sirin ira bibindisionan!”
NUM.23.26	Inmebat si Balaam, “Ag ko ta la imbagad sika a no antoy imbaga na 
NUM.23.27	Inkuanen Balak, “Gala, ta onla tad arum a pasen. Ag la pigan manlapud man say Dios abuloyan to kan mangisambad sikara para siak.” 
NUM.23.28	Kanyan intagar toy Balaam ed toktok na Palandey na Peor a tantandagan toy kalawakan. 
NUM.23.29	Inkuanen Balaam ed kinen Balak, “Igawaan mo ak dia na pitoran altar tan iyakaran mo ak na pitoran bakan kalakyan tan pitoran karniron kalakyan.” 
NUM.23.30	Ginawa nen Balak so nibagad sikato, insan angibagat na sakey a bakan kalakyan tan sakey a karniron kalakyan diad kapag altar.
NUM.24.1	Amta la natan nen Balaam a say 
NUM.24.2	et anengneng to ray Israelita a walay kampo na kapag tribu. Linmoob ed sikato so ispiritu na Dios, 
NUM.24.3	tan imbalikas to yan propisiya:
NUM.24.3	“Say propisiya nen Balaam a lakin anak nen Beor,
NUM.24.3	Saray salita na toon malinew so pakanengneng to,
NUM.24.4	A narerengel to so ibabaga na Dios,
NUM.24.4	Alukbok ak lapud inloob na ispiritu ed siak,
NUM.24.4	Balet siansian lokas iray matak tan anengneng ko
NUM.24.4	So pasingayew na Dios a Makapanyarin-amin.
NUM.24.5	Mararakep iray tulda na Israel,
NUM.24.6	Singa ra saray andorokey a dasig na ilog,
NUM.24.6	Odino saray tanamanan ed gilig na ilog,
NUM.24.6	Singa ra saray aloe ya intanem na 
NUM.24.6	Odino saray kiew a sidro ed pangdel na ilog.
NUM.24.7	Nawalaan ira na daakan ya oran
NUM.24.7	Tan isibwag day bokel na tanaman da ed saray ambasa-basan kaalogan.
NUM.24.7	Matalonggaring nen si Agag so manarid sikara,
NUM.24.7	Tan onawang na mapalalo so nanarian to.
NUM.24.8	Say Dios impaway to rad Egipto;
NUM.24.8	Singa bakad katakelan a mibabakal para sikara.
NUM.24.8	Sarasarag dan buagen iray kalaban da,
NUM.24.8	Temeken da ray pokel da, poteren da ray pana ra.
NUM.24.9	Say bansa et singa makapanyarin lion;
NUM.24.9	No akaogip anggapoy makakpel a mamangon.
NUM.24.9	Siopamay mamindision ed Israel et nabindisionan
NUM.24.9	Tan siopamay mangisamba ed Israel et nisamba.”
NUM.24.10	Inelet nen Balak so poniti to diad gaway pasnuk to tan kuantod kinen Balaam, “Tinawag ta kan mangisamba ed saray kalaban ko, balet amitlom iran binindisionan lalaingen. 
NUM.24.11	Sempet ka la! Insipan kon tumangan ta ka, balet ag inyabuloy na 
NUM.24.12	Inmebat si Balaam, “Imbagak ed saray imbakim ed siak ya 
NUM.24.13	anggan iter mod siak iray amin a pilak tan balituk na palasiom, ag kon balut nayarian a sumlangen so ganggan na 
NUM.24.14	Inkuanen Balaam ed kinen Balak, “Ompawil ak la natan ed saray dilin totook, balet kasakbayan ya ompikal ak, ibagak ed sika no antoy gawaen da ray Israelita ed saray totoom diad arapen a panaon.” 
NUM.24.15	Insan imbalikas to yan propisiya:
NUM.24.15	“Say propisiya nen Balaam a lakin anak nen Beor,
NUM.24.15	Saray salita na toon malinew so pakanengneng to,
NUM.24.16	A narerengel to so ibabaga na Dios
NUM.24.16	Tan awaten to so pakatalus a manlalapud Sankatageyan a Dios;
NUM.24.16	Alukbok ak lapud inloob na ispiritu ed siak,
NUM.24.16	Balet siansian lukas iray matak tan anengneng ko
NUM.24.16	So pasingayew na Dios a Makapanyarin-amin.
NUM.24.17	Sankanengneng ko so arapen a panaon,
NUM.24.17	Et na nengneng ko so bansa na Israel.
NUM.24.17	Walay sakey ya arin singa maliwawan bitewen ya onletaw ed sayan bansa.
NUM.24.17	Singa sakey a komita a manlapud Israel.
NUM.24.17	Kabilen to ray pangulo na Moab
NUM.24.17	Tan tumbaen to ray amin a totoo na Set.
NUM.24.18	Dakepen to ray kalaban tod Edom,
NUM.24.18	Tan kayaryanen toy dalin da,
NUM.24.18	Legan a mamataloy Israel.
NUM.24.19	Gatin-gatinan ira na bansa ya Israel
NUM.24.19	Tan deralen to ray akapaliis ed patey.”
NUM.24.20	Insan diad sayan nipasingayew ed kinen Balaam anengneng to ray Amalecita, tan imbalikas to yan propisiya:
NUM.24.20	“Say Amalec so sankamakapanyarian nen saman ed amin a bansa.
NUM.24.20	Balet diad kaonuran naderal ya anggad angga.”
NUM.24.21	Diad sayan nipasingayew ed kinen Balaam anengneng to ray Cineo, tan imbalikas to yan propisiya:
NUM.24.21	“Arawid kaatapan so pasen a panaayaman yo,
NUM.24.21	Ag kayo nasigensigen a singa obung na manok ed tagey na palandey,
NUM.24.22	Balet naderal kayo, sikayon Cineo
NUM.24.22	No dakepen kayo na saray taga Asiria.”
NUM.24.23	Imbalikas nen Balaam yan propisiya:
NUM.24.23	“Siopa ra yay totoon mantitipon ed baybay?
NUM.24.24	Saray ondogpan manakep et manlapud rad Chipre;
NUM.24.24	Dakepen da so Asiria tan Eber,
NUM.24.24	Balet naderal ira met lamlamang ya anggad angga.”
NUM.24.25	Insan namparaan si Balaam tan sinmempet la; ontan met sinmempet lay Balak.
NUM.25.1	Nen nankampod Patar na Acasia iray Israelita, saray lalaki ginapwan day akiakdul ed saray bibiin Moabita a wadman. 
NUM.25.2	Sarayan bibii iniimbitaan da ra yan lalaki a mipista ed pambagat dad dios na Moab. Saray Israelita angaakan ira tan inggagalang da so 
NUM.25.3	Baal a dios na Peor. Kanyan akapasnuk so 
NUM.25.4	tan kuantod kinen Moises, “Tipon mon amin iray pangulo na Israel tan, diad pangonur mod siak, patey mo ra ed arap na karaklan et diad ontan onkepa lay pasnuk kod saray totoo.” 
NUM.25.5	Si Moises kuantod saray opisyal, “Balang sakey ed sikayo ed nepeg a pateyen toy amin a lalakin kabyangan na tribu to a nagmaliw a manangigalang ed Baal na Peor.”
NUM.25.6	Aminsan walay sakey ya Israelitan angawit ed dalem na tulda to na sakey a biin Madianita, legan a sankanengneng nen Moises tan amin ya Israelita a wala rad lolooban na Tuldan Ayamay 
NUM.25.7	Nen anengneng ya nen Finees a lakin anak nen Eleazar tan apo nen Aaron a pari, inmalagey tan tinaynan to ra may nantitipon a totoo. Angala na pika, 
NUM.25.8	tinombuk to may laki tan bii a walad dalem na tulda, insan to ra dinoyuk a dua et pinmaway so ngeroy pika ed kabalgay bii. Diad onya apatonda may salot a mandederal ed Israel, 
NUM.25.9	balet akapatey la na duamplo tan apat a libon totoo.
NUM.25.10	Say 
