GEN.1.1	Indeeŋe ta matapopoten kat na, Anutu iur saamba mi toono mi koroŋ ta boozomen.
GAL.1.22	Mi mazwaana tina, zin lupŋana ki Krisi ta timbotmbot pa lele pakaana ki Yudea na, tiute yo som. 
GAL.1.23	Tileŋleŋ uruŋ men ta kembei: “To ta muŋgu iseseeze matanda mi ikamam be ipasaana urlaŋana kiti, ta koozi isu mini mi izzoyaryaara uruunu ambaiŋana.” 
GAL.1.24	Uunu tiŋgi tabe zin tipakur Merere pa mbulu ta ipet pio na.
GAL.2.1	Nio aŋbotmbot ma ndaama laamuru mi paŋ ilae, mana niamru Panabas amsala mini pa Yerusalem. Mi aŋkam Titus tomini ma igaaba yam. 
GAL.2.2	Mazwaana tana, aŋsala sorok som. Aŋto ŋgar tau Anutu itunu iswe pio, tanata aŋsala. Amsala to aŋso zin pa uruunu ambaiŋana ta aŋzzoyaryaara pizin wal ta Yuda somŋan i. Pa aŋmoto: Kokena kaimer timaŋga mi tipeleele yo, tona uraata ta aŋkamam ta muŋgu mi imar na, iur ŋonoono som. Tana niamŋan zin wal ta tikamam peeze pa lupŋana ki Krisi na, niam men amlup yam mi aŋso zin pa sua ta aŋkamam pizin tomtom.
GAL.2.3	Mi kere. Titus ta niamŋan amsala na, ni Yuda som. Ni na, tomtom kizin Grik. Tamen lupŋana tana timaŋmaŋi pa reeteŋana som. Som kat. 
GAL.2.4	Ŋonoono, tomtom pakan na, tisombe timaŋmaŋ Titus pa reeteŋana. Tamen zin toŋmatiziŋ ŋonoono ki Krisi som. Timar ma tigaaba yam sorok bekena tireut yam. Pa tiute tau niam amurla ta kembei: Iti tomtom ta tesekap la ki Krisi i, na Krisi ikam ma kosa sa ipakaala iti pa Anutu mini som. Mi ina zin tiso tikam yam ma amwe mbesooŋo sorok mini pa tutu mi mbulu kizin Yuda. 
GAL.2.5	Tamen niam amender mbolŋana mi amzooro zin. Amleŋ la kalŋan risa som. Paso amoto: Kokena titatke sua ŋonoono ki uruunu ambaiŋana piom wal ta Yuda som i.
GAL.2.6	Tana niam amso zin pa uruunu ambaiŋana ta amkamam pizin tomtom, mi zin wal ta zan bibip i tiyok pa men. Tileŋ na, tipeleele som, mi tiseeŋge pa sua toro sa som. Mi kozobe tiyok pa som, na nio irao aŋkam ŋgar pizin na som. Pa sombe tomtom zaanaŋana, som sorokŋana, som pareiŋana, na nio ti aŋninin koroŋ ta kembei som. Pa Anutu tomini ininin som. 
GAL.2.7	Mi zin bibip tana tikilaala yo ta kembei: Nio, Anutu iur uraata imar nomoŋ be aŋsoyaara uruunu ambaiŋana pizin wal ta Yuda somŋan i, kembei ni iur uraata ila Petrus namaana be isoyaara uruunu ambaiŋana pizin Yuda. 
GAL.2.8	Pa Anutu iur yo ma aŋwe ŋgoŋana pizin wal ta Yuda somŋan i, mi ipombolmbol yo pa uraata ta aŋkamam pizin, raraate kembei ta iur Petrus ma iwe ŋgoŋana pizin Yuda, mi ipombolmboli pa uraata ta ni ikamam pizin. 
GAL.2.9	Tana Yems, Petrus, mi Yoan, ta zan bibip mi tiwe mataana pa uraata ki Anutu na, tikilaala yo ta kembei: Anutu itunu ta ikampe yo mi iur uraata biibi taiŋgi imar nomoŋ. Mi lelen ambai pa uraata tio, tana niamŋan amparteege nomoyam. Paso, amre yam kembei niamŋan amkamam uraata tamen tau. Mi niamŋan amyok raraate be niamru Panabas amla pa lele kizin wal ta Yuda somŋan i be amkam uraata pizin. Mi zin na, timbot be tikam uraata pizin Yuda.
GAL.2.10	Mi koroŋ tamen ta lelen pa be amkam. Sombe amla na, motoyam iŋgalŋgal be amseŋgeere ulaaŋa pakan pa wal kizin ta timbot ŋoobo na. Mi mbulu ta kembei, ta aŋkamam mi aŋkamam men i. 
GAL.2.11	Mi indeeŋe Petrus isula pa kar Antiok na, nio aŋso kat sua pini ila iwal biibi matan. Paso, ni ikam ŋoobo kat. 
GAL.2.12	Pa muŋgu, ni ziŋan zin wal ta Yuda somŋan i tikanan kini ila mbata. Tamen indeeŋe ta Yems iŋgo tomtom kini pakan ma timar na, Petrus izem zin wal ta Yuda somŋan i, mi ziŋan tiparluplup zin mini som. Paso, ni imoto zin wal ta timbolmbol pa reeteŋana mi tutu ki Mose na. 
GAL.2.13	Mi ni itutamen som. Zin urlaŋana kan pakan ta Yuda i, tisu na tikam pakaamŋana raraate men. Tabe Panabas tomini, tipakankaani ma igaaba zin pa pakaamŋana kizin tana.
GAL.2.14	Mi nio aŋre zin kembei tipaŋoobo kat pa sua ŋonoono ki uruunu ambaiŋana. Tana aŋso kat pa Petrus ila iwal biibi matan ta kembei. Aŋso: “Nu tina na Yuda. Tamen mbulu kizin wal ta Yuda somŋan i, na nu toto. Mi iŋgi parei ta su mi tooru mini. Mbulu ku tana ko ikam ma zin wal ta Yuda somŋan i tikam ŋgar ta kembei: Zin tomini bela tito zin Yuda pa mbulu kizin.” 
GAL.2.15	Ayo. Ŋonoono, niam ta amyooto pizin Yuda na, amololo tutu kembei niom wal ta Yuda somŋoyom i som. 
GAL.2.16	Mi niam amute: Mbulu ki tutu toŋana ko irao ikam tomtom sa ma iwe ndeeŋeŋana pa Anutu mataana na som. Pa bela tuurla ki Yesu Krisi, to iwe zaala piti ma tewe ndeeŋeŋanda pa Anutu mataana. Uunu tina ta niam Yuda tomini amtoto zaala ki urlaŋana, mi ampase pa Yesu Krisi men be ikam yam ma amwe ndeeŋeŋoyam pa Anutu mataana. Mi mbulu ki tutu toŋana na, ampase pa mini som. Pa ina irao iwe zaala pa tomtom sa be iwe ndeeŋeŋana pa Anutu mataana na som. 
GAL.2.17	Tana iŋgi niam Yuda ampase pa Yesu Krisi men be ikam yam ma amwe ndeeŋeŋoyam pa Anutu mataana. Mi mbulu ki tutu toŋana na, ampase pa mini som. Mi parei, sombe ampase pa Yesu Krisi men, ko ikam yam ma amsu mini mi amolo Anutu tutu kini? Som kat. Kena, so Yesu Krisi iwe uunu pa sanaana kamŋana! 
GAL.2.18	Mi kere. Kokena totooro ŋgar kiti mi tapamender mini zaala ki tutu ta tezem kek na. Pa sombe tapase pa zaala tana, inako tewe sananŋanda pa Anutu mataana mini.
GAL.2.19+GAL.2.20	Nio aŋmap pa zaala ki tutu kek. Pa indeeŋe Krisi imeete sala ke pambaaraŋana, mi ibaada sanaana tio ka kadoono ta tutu iso pa na, ina kembei nio tomini aŋmeete raami bekena aŋkam mbotŋana ta ki Anutu i. Mi mbotŋana tio ta koozi na, ituŋ aŋborro mini som. Pa Krisi ta imbotmbot la leleŋ i, ta imborro yo. Tana urlaŋana tio, ta ikamam peeze pa mbotŋana tio isu toono ti. Pa nio aŋurla ki Anutu Lutuunu ta iur leleene pio, mi izem itunu ma imeete pio. 
GAL.2.21	Tana nio irao aŋpizil ndemeŋ pa kampeŋana mi muŋaiŋana ki Anutu na som. Pa sombe tutu irao ikam ti ma tewe ndeeŋeŋanda pa Anutu mataana, na Krisi imeete sorok. 
GAL.3.1	O niom Galesia koyom, niom tina katalli kat! Asiŋ ipakankaana ŋgar tiom? Muŋgu niam amso yom pa Yesu Krisi ma kembei ta ituyom kombot mi kere i tipuni sala ke pambaaraŋana.
GAL.3.2	Lak, aŋso aŋwi yom pa koroŋ ta. Niom kakam Anutu Bubuŋana be parei? Kototo tutu ta ni izeebe yom, som keleŋ uruunu ambaiŋana mi kuurla men?
GAL.3.3	Niom tina, ŋgar tiom ikankaana kat! Indeeŋe ta Anutu ikam uraata piom mata popoten, mi ikam yom ma kewe lene na, kapase pa Bubuŋana mburaana. Mi iŋgi parei ta kusu mini, mi koso kapase pa ituyom mburoyom mi mbulu tiom be iurpe yom ma kewe ŋgeezeŋoyom kat? 
GAL.3.4	Ko mbulu boozomen ta ipet piom kek na iwe koroŋ sorok? Som! 
GAL.3.5	Mi parei? Anutu izebzeebe yom pa Bubuŋana, mi ikamam mos bibip ila mazwoyom pa so uunu i? Niom kototo tutu ta ni ikamam, som kuurla men uruunu ambaiŋana?
GAL.3.6	Motoyom imiili pa Abaraam. Sua ki Anutu iso parei pini? Iso:
GAL.3.6	Abaraam iurla ki Anutu, tanata Anutu ipomoozi, mi ire i kembei ni tomtom ndeeŋeŋana.
GAL.3.7	Tana iti tuute: Abaraam popoŋana kini ŋonoono, ina zin tomtom ta tiurla.
GAL.3.8	Mi sua ki Anutu iso muŋgu kek ta kembei: Urlaŋana ko iwe zaala pizin wal ta Yuda somŋan i be Anutu ikam zin ma tiwe ndeeŋeŋan pa ni mataana. Pa Anutu iso uruunu ambaiŋana pa Abaraam ma iso:
GAL.3.8	Nu ko we zaala pa wal ta boozomen be tikam kampeŋana ambaiŋana.
GAL.3.9	Tana zin wal ta so titoto zaala ki urlaŋana kembei ta Abaraam, inako tikam kampeŋana ambaiŋana kembei ta muŋgu Abaraam ikam na.
GAL.3.10	Zin wal ta so tipase pa zaala ki tutu be ikam zin ma tiwe ndeeŋeŋan pa Anutu mataana, inako tindeeŋe pataŋana biibi. Pa Anutu kete malmalŋana kini ko imbotmbot se kizin. Ka sua tibeede pataaŋa kek ta kembei:
GAL.3.10	Koroŋ boozomen ta tibeede se ro ki tutu na, niom bela kototo ma imap kat. Mi zin wal ta so tikam ta kembei som, inako tindeeŋe pataŋana biibi. Pa Anutu kete malmalŋana kini ko imbotmbot se kizin.
GAL.3.11	Tana mbulu ki tutu toŋana ko iwe zaala pa tomtom sa be iwe ndeeŋeŋana pa Anutu mataana na som. Ina imbot mat. Pa sua ki Anutu iso ta kembei:
GAL.3.11	Tomtom ta sombe iurla, nako iwe ndeeŋeŋana mi ikam mbotŋana ta ki Anutu i.
GAL.3.12	Mi zaala ki tutu toŋana na, ipa ndel kat pa zaala ki urlaŋana. Pa zaala ki tutu iso ta kembei:
GAL.3.12	Tomtom ta sombe ito kat mbulu ta boozomen tiŋgi, nako imbot ambai.
GAL.3.13	Tana tutu ikam ma Anutu kete malmalŋana kini imbotmbot se kiti. Tamen Yesu, ni itatke iti pa pataŋana tana. Pa ikam murindi mi ibaada Anutu kete malmalŋana kini sala ke pambaaraŋana kek. Ka sua imbot pataaŋa ta kembei:
GAL.3.13	Tomtom ta sombe tipuni sala ke, na Anutu kete malmalŋana kini ko imbot se kini.
GAL.3.14	Mi mbulu tana, Krisi ikam bekena kampeŋana ta muŋgu Abaraam ikam na, ise kizin wal ta Yuda somŋan i tomini. Naso urlaŋana kiti iwe zaala piti, mi takam Bubuŋana ta muŋgu Anutu imbuk sua pa na.
GAL.3.15	O niom toŋmatiziŋ tio, iŋgi be aŋkam sua tooroŋana pa mbulu ta gorgori iwedet i. Sua mbukŋana ta topombol ma imbol kat, na kaimer tomtom toro sa ko irao iyembut sua tana, som iseeŋge pa sua pakan na som. Paso, sua tana imbol kek. 
GAL.3.16	Ayo, takam ŋgar pa sua ta muŋgu Anutu imbuk la ki Abaraam na. Sua ki Merere iso parei? Iso Anutu imbuk sua tana pa Abaraam mi popoŋana kini. Iso pa popoŋana boozo som. Iso pa tamen ŋonoono. Mi ina Krisi tau.
GAL.3.17	Sua tio ti na, ka uunu ta kembei: Anutu imbuk sua pa Abaraam, mi ndaama boozo kat (430) imap mana, ikam tutu pizin Israel. Tana tutu irao iyembut sua mbukŋana tana na som. Pa imar kaimer.
GAL.3.18	Mi kere. Sombe mbulu ki tutu toŋana ta iwe zaala piti be takam matamur ki Anutu, inako parei pa sua mbukŋana tana? To iwe koroŋ sorok. Mi som. Pa Anutu ikampe Abaraam, mi imbuk sua pini be ikam matamur tana pini sorok.
GAL.3.19	Mi kena uunu parei ta Anutu ikam sua mbukŋana muŋgu, mana isu mini mi ikam tutu piti? Iŋgi ko aŋso ka uunu. Anutu iur tutu bekena ipei ŋgar kizin tomtom ma tikilaala sanaana kizin, mibe iyaraama sanaana kizin. Mi isombe tutu tina ko imbol ma imbot ma irao popoŋana 
GAL.3.20	Mi sua mbukŋana na, Abaraam ileŋ la ki Anutu itunu kwoono. Wal toro sa tiwe zaala pa som. Pa Anutu tamen ta imbotmbot.
GAL.3.21	Mi parei, ko sua mbukŋana ki Anutu mi tutu kini tiporrou? Som. Sombe tutu ta takam kek na irao iwe zaala piti be takam mbotŋana ta ki Anutu i, so tewe ndeeŋeŋanda pa zaala ki tutu. 
GAL.3.22	Mi iŋgi som. Pa sua ki Anutu iso kat ta kembei: Iti ta boozomen na, kembei zin wal tau timbotmbot lela ruumu sanaana leleene. Pa sanaana ikis ti lup, ma lende zaala sa som. Naso tuurla ki Yesu Krisi, mi urlaŋana kiti iwe zaala piti be takam koroŋ ambaiŋana ta muŋgu Anutu imbuk sua pa na.
GAL.3.23	Tana indeeŋe zaala ki urlaŋana ipet mat zen na, tutu ta imborro iti. Ikiskis ti ma kembei ta tombotmbot lela ruumu sanaana leleene. Mi tombot ta kembei ma irao Anutu iswe zaala ki urlaŋana ma ipet kat mat.
GAL.3.24	Kakam ŋgar pizin mbesooŋo ta timborro zin pikin ma irao tiwe tomtom na. Ina kembei ta uraata ki tutu. Pa Anutu iur tutu be imborro iti, mibe ikam ti ma tala ki Krisi. Naso tewe ndeeŋeŋanda pa zaala ki urlaŋana.
GAL.3.25	Mi iŋgi zaala ki urlaŋana ipet kek, tana tombot la zaala ki tutu mini som.
GAL.3.26	Niom wal ta kesekap la ki Yesu Krisi i, na urlaŋana ta iwe zaala piom ta boozomen ma kewe Anutu lutuunu bizin.
GAL.3.27	Pa niom wal ta kakam yok bekena kesekap la ki Krisi na, Krisi iwe kembei ta kawaala kokouŋana be ipakaala yom ta boozomen. Pa kakami raama mbulu kini ma iwe leyom kek.
GAL.3.28	Mi niom ta boozomen na, raraate men pa Anutu mataana. Sombe niom Yuda, som Yuda som, som tomtom ŋonoono, som sorrokŋoyom, som moori, som tomooto, ina koroŋ sorok. Pa Yesu Krisi ilup yom ta boozomen ma kewe tamen kek.
GAL.3.29	Mi sombe kewe Krisi lene, na kewe Abaraam popoŋana kini tomini, mi zoyom pa matamur ta muŋgu Anutu imbuk sua pa na.
GAL.4.1+GAL.4.2	Sua tio ti na, ka ŋgar ta kembei: Pikin tasa, sombe zaana be ikam koroŋ ta boozomen ki tamaana i, nako ikam loŋa som. Ŋonoono, ni zaana pa koroŋ tana. Tamen indeeŋe ni naŋgaŋŋana na, tikam pini be imboro som. Tana tere i na, kembei ta mbesooŋo i. Pa wal pakan timborro i ramaki koroŋ kini. Mi ni ko imbot ta kembei ma ila indeeŋe nol ta tamaana iur pini be ikam koroŋ kini, to ikam. 
GAL.4.3	Ina raraate piam Yuda. Muŋgu, niam kembei ta zin pikin. Mazwaana tana, niam amwe mbesooŋo pa tutu munmun boozomen ta iso pa mbotŋana tiam ta ki toono ti.
GAL.4.4	Ma ila indeeŋe ka nol ipet, tona Anutu iŋgo itunu Lutuunu ma isu toono. Naana ipeebi ma isu kembei ta iti. Mi ni ito tutu ma imap,
GAL.4.5	bekena ikamke yam wal ta ambot la zaala ki tutu na. Tana iŋgi amwe mbesooŋo sorok mini som, mi amwe Anutu lutuunu bizin kek.
GAL.4.6	Mi niom tomini kewe Anutu lutuunu bizin kek. Tanata Anutu iŋgo Lutuunu Bubuŋana ma izeebe yom. Mi Bubuŋana tana, ta izzo piom ta kembei: “Niom Tomoyom ta Anutu.” Tana ikamam yom ma kozzo ta kembei: “O Tamaŋ.” 
GAL.4.7	Tana koozi kewe mbesooŋo sorok mini som. Pa Anutu ikam yom ma kewe lutuunu bizin kek. Mi sombe ni lutuunu bizin niom, na zoyom pa matamur kini tomini.
GAL.4.8	Muŋgu niom tina kuute Anutu som, mi kembesmbeeze pa merere pakaamŋan boozo ta Merere ŋonoono som na.
GAL.4.9	Mi koozi na, kewe Anutu lene mi kuute i kek. E-e, ina aŋso ŋoobo. Niom som. Ni itunu ta iute yom, mi ikam yom ma kewe lene. Nakena parei ta niom kosombe kimiili mini ma kewe mbesooŋo pa koroŋ soroksorok ta irao be iuulu yom som i.
GAL.4.10	Pa iŋgi kapakurkur aigule, puulu, gorgor, mi ndaama pakan kembei ta zin Yuda na. 
GAL.4.11	Mbulu tiom tana ikam yo ma aŋmoto. Kokena uraata biibi ta aŋbel piom na iwe koroŋ sorok.
GAL.4.12	O niom toŋmatiziŋ tio, nio aŋtaŋroro yom. Kotooro ŋgar tiom mi kewe kembei ta nio i. Pa nio tomini aŋwe kembei niom wal ta Yuda somŋoyom i kek. Kere. Muŋgu niom kakam ŋoobo mbulu sa pio som. 
GAL.4.13	Motoyom ila pa ta muŋgu na. Indeeŋe ta aŋsoyaara uruunu ambaiŋana piom mata popoten na, mete biibi ikam yo.
GAL.4.14	Mi mete tio tana ikam pataŋana biibi piom. Tamen kitit yo som, kerepiili yo som. Mi kakam yo, mi kisiibi yo se nomoyom keteene ma kembei ta nio aŋela sa. Mi kere yo kembei ta Yesu Krisi. 
GAL.4.15	Indeeŋe tana, niyom ise mi leleyom ambai kat. Mi koozi na som. Ka uunu parei? Mi indeeŋe tana na, leleyom pio ilip. Sombe aŋbot ŋoobo pa kosa sa, na kakam pio men. Irao kuruutu na som. 
GAL.4.16	Mi parei? Iŋgi aŋso kat sua ŋonoono piom, ta kere yo kembei koyom koi?
GAL.4.17	Zin wal ta aŋsope yom pizin na, zin tikamam kinkiini be tikam leleyom. Tamen ŋgar kizin ambai som. Pa tisombe tikam yom ma kezem yo, mi kagaaba zin. 
GAL.4.18	Gorgori, iti sombe lelende ilip pa koroŋ ambaiŋana mi takam kinkiini pa, ina ambai. Tana nio sombe aŋbot, som aŋbot som, na kakamam ta kembei. 
GAL.4.19	O lutuŋan, parei ta kakam pataŋana biibi pio mini? Mbulu tiom tana ikam yo ma aŋyamaana yoyouŋana kembei moori ta ikamam be ipeebe pikin i. Mi ko aŋyamaana ta kembei ma irao urlaŋana tiom ise ma iwe biibi, mi ŋgar ki Krisi imbol la leleyom.
GAL.4.20	O niom, leleŋ be aŋyaamba yom som. Mi ko aŋso parei piom? Kena so itiŋan tombotmbot lak!
GAL.4.21	Niom wal ta kosombe koto zaala ki tutu na, niom kuute som? Sua ki Merere iso ta kembei: 
GAL.4.22	Abaraam, ni lutuunu bizin ru. Ta na, mbesooŋo moori kini Agar ipeebi. Mi toro na, kusiini ŋonoono Sara ta ipeebi.
GAL.4.23	Mbesooŋo moori lutuunu na, ipet pa zaala ta iti ta boozomen tewedet pa i. Mi kusiini ŋonoono lutuunu, ina ito sua mbukŋana ki Anutu ma ipet.
GAL.4.24	Sua tana, ina kembei ta sua tooroŋana. Moori ru tana timender pa zaala ru ta Anutu iur pizin tomtom. Zaala ta, ipet pa abal Sinai. Ina zaala ki tutu. Zaala tana ipiyotyooto zin wal ta mbesooŋo sorok. Mi Agar ta imender pa zaala tana.
GAL.4.25	Abal Sinai, ina imbot pa lele pakaana ki Arabia. Tana Agar, ni imender pa abal tina mi kar Yerusalem ta koozi imbotmbot su toono i. Paso, kar tana lutuunu bizin tiwe mbesooŋo sorok pa tutu. 
GAL.4.26	Tamen Yerusalem ŋonoono ta kor a, lutuunu bizin tiwe mbesooŋo som. Mi Yerusalem tana, ta iwe kembei ta iti nanda na.
GAL.4.27	Ina kembei ta sua ki Anutu iso:
GAL.4.27	Nu moori ta kopom somŋom na, lelem ambai lak!
GAL.4.27	Mi nu ta yamaana yoyouŋana ki pepe zen na, kalŋom izalla mi lelem ambai!
GAL.4.27	Pa moori ta kusiini izemi ma imborene sorok na,
GAL.4.27	Anutu ko iur le zaala be ikam pikin boozo ma tilip pa moori kusiiniŋana lutuunu bizin.
GAL.4.28	O niom toŋmatiziŋ tio, niom tina kembei Sara lutuunu Isak. Pa sua mbukŋana ta iwe zaala piom ma kewe Anutu lutuunu bizin kek.
GAL.4.29	Mi motoyom ila pa mbulu ta muŋgu Ismael ikam pa Isak na. Pa pikin ta ipet pa zaala ta iti ta boozomen tewedet pa i, na ikam pataŋana pa pikin ta ipet pa Bubuŋana mburaana na. Mi ina raraate kembei mbulu ta koozi iwedet piti i.
GAL.4.30	Mi sua ki Anutu iso parei?
GAL.4.30	Iso:
GAL.4.30	Ziiri mbesooŋo moori ziru lutuunu ma tila len. Pa mbesooŋo moori lutuunu ko irao igaaba lutum ŋonoono, mi ziru tiparpeete matamur ku ma len len na som.
GAL.4.31	Tana niom toŋmatiziŋ tio, iti mbesooŋo moori lutuunu bizin som. Pa iti nanda, ni mbesooŋo moori som.
GAL.5.1	Tana iti tewe mbesooŋo mini som. Pa Krisi itatke iti pa pataŋana ki tutu kek. Tana kemender mbolŋana. Kokena kezem wal pakan mi tikam yom ma kewe mbesooŋo mini. 
GAL.5.2	Keleŋ. Nio Paulus aŋso kat yom ta kembei: Sombe keleŋ la wal tana kalŋan pa reeteŋana, na uraata ki Krisi ko irao iuulu yom som. 
GAL.5.3	Nio aŋso mini. Tomtom sa, sombe leleene be ito zaala ki reeteŋana mi tutu, na ni bela ito kat tutu ma imap, tona imbot ambai pa Anutu mataana. 
GAL.5.4	Tana kere yom. Pa tomtom ta so ipase pa tutu be ikami ma iwe ndeeŋeŋana pa Anutu mataana, na iyembut itunu pa Krisi, mi ipizil ndemeene pa kampeŋana mi muŋaiŋana ki Anutu. 
GAL.5.5	Mi iti ta tototo zaala ki urlaŋana na, Bubuŋana ipombolmbol ti be tuur matanda pa koroŋ ambaiŋana tabe Anutu ikam pizin wal ndeeŋeŋan. 
GAL.5.6	Mi sombe tesekap la ki Yesu Krisi, inako takam ŋgar biibi pa reeteŋana mi koroŋ ta kembei mini som. Pa sombe tireete iti, o tireete iti som, ina koroŋ sorok ki kulindi. Mi urlaŋana ta ipiyotyooto mbulu ki lelende par piti, ina koroŋ ŋonoono. 
GAL.5.7+GAL.5.8	Muŋgu na, urlaŋana tiom iloondo ambai. Mi iŋgi asiŋ ta imar mi ipandelndel yom ma kezem zaala ki sua ŋonoono? Mbulu tina imar pa Anutu ta iboboobo yom i som. 
GAL.5.9	Tana kere yom pa wal tana mi ŋgar kizin. “Pa yis musaari kat, ina irao izil pa palawa biibi ma imap.” 
GAL.5.10	Mi Merere, ni ipombol yo ma aŋurla ta kembei: Ni ko ipazal yom ma koto ŋgar tio. Mi tomtom ta sombe ipakankaana ŋgar tiom na, ni tana ko ire ka kadoono. 
GAL.5.11	O niom toŋmatiziŋ tio, nio aŋute. Wal pakan tiŋgalŋgal sua pakaamŋana pio, mi tizzo nio ituŋ aŋso pizin tomtom be tito zaala ki reeteŋana mi tutu. Lak, sombe aŋkamam ta kembena, ko tomtom tiseseeze motoŋ kembei ta tikamam i? Som. Pa sombe aŋkamam ta kembei, so sua ta aŋzzoyaryaara pa meeteŋana ki Yesu sala ke pambaaraŋana na, ipasaana tomtom lelen mini som. 
GAL.5.12	Zin wal ta tipakankaana ŋgar tiom, mi timaŋmaŋ yom pa reeteŋana na, nio aŋso tiyembut zitun kulin tana ma put kat to ambai!
GAL.5.13	O niom toŋmatiziŋ tio, ŋonoono, Anutu iboobo yom ma kewe lene kek, mi isombe niom kewe mbesooŋo pa tutu mini som. Mi kere: Kokena iwe uunu piom be kusu mi koto mbulu ki leleyom muŋguŋana. Kakam kembena pepe. Kuur leleyom par piom mi kaparmbesmbeeze piom. 
GAL.5.14	Pa tutu ta munŋaana men, ta timap timbot la tutu lwoono ti leleene: Ur lelem pizin tomtom kembei ta lelem pa itum. Tana takam ta kembena, to tipiyooto tutu ka mbulu ŋonoono. 
GAL.5.15	Tamen mbulu tiom pakan na, kembei zin me saŋsaŋŋan ta tiparkamam malmal mi tiparkanan zin. Kere: Kokena konoknok mbulu ta kembei, to kapasaana lupŋana tiom ma isaana kat.
GAL.5.16	Tana nio aŋso piom ta kembei. Kapa pai tiom mi koto peeze ki Bubuŋana. Naso karao be kayaraama ituyom, mi koto leleyom muŋguŋana mini som. 
GAL.5.17	Ŋonoono, gorgori lelende muŋguŋana ziru Bubuŋana tiparwe kan koi mi tiporrou. Pa mbulu ta Bubuŋana leleene pa i, na lelende muŋguŋana izorzooro pa. Mi mbulu ta lelende muŋguŋana isombe ikam, na Bubuŋana izorzooro pa. Tabe ikam ma karao be kakam kat mbulu ta leleyom pa i som. 
GAL.5.18	Tamen sombe kototo peeze ki Bubuŋana, inako kombot la zaala ki tutu mini som. 
GAL.5.19	Mbulu ta lelende muŋguŋana ipeyei, ina iti tuute lup kek. Mbulu ta kembei: Mbulu kizin me ma ŋge, mbulu ta iŋgeeze som, mbulu ki tayaraama itundu som mi tala men pa mbulu sananŋana ki kulindi, 
GAL.5.20	tembesmbeeze pizin merere pakaamŋan, takamam yaamba, tu'urur koi pizin tomtom, taparzorzooro, matanda mburmbur, lelende tataŋa, takam ŋgar pa itundu men, taparyaŋgwiiri ti ma tewe uunu boozo, 
GAL.5.21	matanda berber, tiwinin ma tagadgaada, itiŋan waende bizin taparkere iti ma takam mbulu bozboozo, mi mbulu sananŋan boozomen ta irao be tinin na som. Sua ta muŋgu aŋso piom, ta iŋgi aŋpoto mini: Zin wal ta so tikamam ta kembei, inako tirao be timbot la Anutu peeze kini mi tilela kar kini na som. 
GAL.5.22	Mi Bubuŋana, ni ipeyei mbulu ta kembei: Lelende par piti, lelende ambai kat pa mazwaana ta boozomen, takamam mbulu luumuŋana mi itiŋan waende bizin taparlup ti ma tewe tamen, topokotkot mbulu sananŋana som, takampewe zin tomtom, tumuŋaiŋai zin tomtom, tototo sua kiti mbukŋana, 
GAL.5.23	tokototo itundu, lende ŋger pizin tomtom, mi tayaramraama itundu. Kere: Mbulu ta kembei, ta tutu izzo pa na. 
GAL.5.24	Tana zin tomtom ta tiwe Yesu Krisi lene kek na, zin kembei tipunmeete lelen muŋguŋana ramaki mbulu sananŋan boozomen ta nin izze pa i, sala ke pambaaraŋana ma imeete kek. 
GAL.5.25	Mi Bubuŋana ta ikamam mbotŋana ki Anutu piti. Tana iti bela tapa pai kiti ma indeeŋe men pa peeze kini. 
GAL.5.26	Mi so kembena, na iti irao takam kinkiini pa itundu zanda be iwe biibi pepe, tapamalmal waende bizin keten pepe, mi matanda berber pa waende bizin pepe. 
GAL.6.1	O niom toŋmatiziŋ tio, sombe tomtom tiom sa itop pa sanaana, na niom ta kototo ŋgar ki Bubuŋana i, kala ma kapazali. Mi kapamiaŋi pepe. Leyom ŋger pini. Mi kere yom: Kokena toomboŋana ise tiom tomini. 
GAL.6.2	Tana kaparuluulu yom, mi ku'uluulu waeyom bizin be tibaada pataŋana kizin. Naso koto kat tutu ki Krisi. 
GAL.6.3	Sombe tomtom sa indemeere kembei ni irao kat pa mbulu ki Anutu, na ni ipakaam itunu. 
GAL.6.4	Mi kere. Sombe mbulu kiti pakan ilip pa waende bizin mbulu kizin, na tapakur itundu pa koroŋ tana pepe. Iti tataŋa titiiri itundu. Sombe mbulu kiti indeeŋe Anutu sua kini, na lelende ambai pa. Mi matanda la pa waende bizin mbulu kizin pepe. 
GAL.6.5	Pa itundu tataŋa lende pataŋana be tabaada. 
GAL.6.6	Sombe tomtom sa ikamam ŋgar pu pa sua ki Anutu, na nu lem uraata be kam koroŋ ku ambaimbaiŋan pakan pini tomini. 
GAL.6.7	Mi kerre yom! Kokena koso karao be kapakaam Anutu. Som. Pa kini pareiŋana ta so tapaaza, nako ise ma takan. 
GAL.6.8	Tana iti sombe tawaswaaza koroŋ ta ipombolmbol lelende muŋguŋana i, inako ipiyooto ŋonoono sananŋana ta kembei: Ipasaana iti ma tala lende. Mi sombe tawaswaaza koroŋ ta irao pa Bubuŋana leleene mi ŋgar kini, inako tere ka ŋonoono ta kembei: Bubuŋana ko ikam lende mbotŋana ki Anutu tabe iseeŋge iseeŋge ma ila. 
GAL.6.9	Tana iti tegesges pa mbulu ambaiŋana pepe. Pa sombe tezem som, mi tonoknok men ma irao ka nol, inako tere ka ŋonoono. 
