GEN.1.1	Kezdetben teremtette Isten az eget és a földet. 
ACT.22.27	Erre az ezredes odament, és megkérdezte tőle: Mondd meg nekem: csakugyan római polgár vagy? Ő így felelt: Az vagyok. 
ACT.22.28	Az ezredes így szólt: Én nagy összegért szereztem meg ezt a polgárjogot. Pál ezt mondta: Én viszont beleszülettem. 
ACT.22.29	Ekkor azonnal félreálltak mellőle azok, akik vallatni akarták. Sőt az ezredes is megijedt, amikor megtudta, hogy római polgár az, akit megkötöztetett.
ACT.22.30	Másnap aztán meg akarta tudni a valóságot arról, hogy mivel vádolják a zsidók, levétette tehát bilincseit, és megparancsolta, hogy gyűljenek össze a főpapok és az egész nagytanács. Ekkor lehozatta Pált, és eléjük állította.
ACT.23.1	Pál rátekintett a nagytanácsra, és így szólt: Testvéreim, férfiak, én teljesen tiszta lelkiismerettel szolgáltam Istennek mind e mai napig. 
ACT.23.2	Anániás főpap ekkor megparancsolta a mellette állóknak, hogy üssék szájon. 
ACT.23.3	Pál ekkor így szólt hozzá: Megver téged az Isten, te meszelt fal! Itt ülsz, hogy ítélkezz felettem a törvény szerint, mégis a törvény ellenére azt parancsolod, hogy megüssenek? 
ACT.23.4	Erre az ott állók ezt mondták: Isten főpapját gyalázod? 
ACT.23.5	Pál így válaszolt: Nem tudtam, testvéreim, hogy főpap. Mert meg van írva: „Néped fejedelmét ne átkozd!” 
ACT.23.6	Mivel pedig Pál tudta, hogy egyik részük a szadduceusok, másik részük pedig a farizeusok közül való, így kiáltott a nagytanács előtt: Testvéreim, férfiak, én farizeus vagyok, farizeus fia, a halottak feltámadásába vetett reménységem miatt vádolnak engem. 
ACT.23.7	Mihelyt ezt mondta, vita támadt a farizeusok és a szadduceusok között, és a gyűlés véleménye megoszlott. 
ACT.23.8	A szadduceusok ugyanis azt állítják, hogy nincs feltámadás, sem angyal, sem lélek, a farizeusok pedig vallják mindegyiket. 
ACT.23.9	Nagy kiáltozás támadt, a farizeuspárti írástudók közül néhányan felállva hevesen vitatkoztak, és így szóltak: Semmi rosszat sem találunk ebben az emberben. Hátha valóban Lélek szólt hozzá vagy angyal? 
ACT.23.10	Mivel a felfordulás egyre nagyobb lett, az ezredes attól félve, hogy Pált széttépik, megparancsolta, hogy a csapat menjen le, ragadja ki őt közülük, és vigye a várba. 
ACT.23.11	Aznap éjjel pedig odaállt Pál mellé az Úr, és ezt mondta: Bízzál, mert ahogyan bizonyságot tettél az én ügyem mellett Jeruzsálemben, úgy kell Rómában is bizonyságot tenned! 
ACT.23.12	Amikor megvirradt, a zsidók összesereglettek, és átokkal kötelezték magukat, hogy nem esznek és nem isznak addig, amíg meg nem ölik Pált. 
ACT.23.13	Több mint negyvenen voltak, akik ezt az összeesküvést szőtték. 
ACT.23.14	Ezek elmentek a főpapokhoz és a vénekhez, és így szóltak: Súlyos átokkal köteleztük magunkat, hogy semmit sem veszünk magunkhoz, amíg meg nem öljük Pált. 
ACT.23.15	Most tehát a nagytanáccsal együtt javasoljátok az ezredesnek, hogy vezettesse őt hozzátok, mintha alaposabban akarnátok kivizsgálni az ügyét. Mi pedig készen állunk, hogy végezzünk vele, mielőtt ideér. 
ACT.23.16	Pál nőtestvérének fia azonban hallott a cselszövésről, elment, és a várba bejutva elmondta ezt Pálnak. 
ACT.23.17	Pál magához kérette az egyik századost, és ezt kérte tőle: Ezt az ifjút vezesd el az ezredeshez, mert jelenteni akar valamit. 
ACT.23.18	Az tehát maga mellé vette az ifjút, elvezette az ezredeshez, és ezt mondta: A fogoly Pál hívatott engem, és megkért, hogy ezt az ifjút vezessem hozzád, mert valamit mondani akar neked. 
ACT.23.19	Az ezredes kezénél fogva félrevonta az ifjút, és megkérdezte tőle: Mit akarsz nekem jelenteni? 
ACT.23.20	Az pedig így válaszolt: A zsidók megegyeztek, hogy megkérnek téged: vezettesd le Pált holnap a nagytanács elé, mintha valamit pontosabban akarnának megtudni róla. 
ACT.23.21	De te ne engedj nekik, mert közülük több mint negyven férfi leselkedik rá, akik átokkal kötelezték magukat, hogy addig nem esznek és nem isznak, amíg meg nem ölik. Már készen is állnak, csak üzenetedet várják. 
ACT.23.22	Az ezredes elbocsátotta az ifjút, és meghagyta neki: Senkinek se szólj arról, hogy ezt jelentetted nekem!
ACT.23.23	Ezután hívatott két századost, és megparancsolta nekik: Este kilenc órára állítsatok készenlétbe kétszáz katonát, hetven lovast és kétszáz lándzsást, hogy induljanak Cézáreába. 
ACT.23.24	Adjatok melléjük hátas állatokat is, hogy Pált felültetve biztonságban juttassák el Félix helytartóhoz. 
ACT.23.25	Azután levelet írt, amelynek ez volt a tartalma: 
ACT.23.26	„Klaudiusz Lisziász a nagyra becsült helytartónak, Félixnek üdvözletét küldi. 
ACT.23.27	Ezt a férfit a zsidók elfogták, és meg akarták ölni, de csapatommal megjelenve kiszabadítottam, mert tudomásomra jutott, hogy római polgár. 
ACT.23.28	Mivel meg akartam tudni, mivel vádolják, a nagytanácsuk elé vezettettem. 
ACT.23.29	Megállapítottam, hogy az ő törvényük vitás kérdéseivel kapcsolatban vádolják, de nincs ellene semmiféle halált vagy fogságot érdemlő vád. 
ACT.23.30	Mivel pedig jelentették nekem, hogy merénylet készül ez ellen a férfi ellen, azonnal elküldtem hozzád, és vádlóinak is meghagytam, hogy ha panaszuk van ellene, előtted mondják el.”
ACT.23.31	A katonák tehát a kapott parancs értelmében átvették Pált, és elvitték az éjszaka folyamán Antipatriszba. 
ACT.23.32	Másnap a lovasokat továbbküldték vele, ők pedig visszatértek a várba. 
ACT.23.33	Mikor megérkeztek Cézáreába, átadták a levelet a helytartónak, és elébe vezették Pált is. 
ACT.23.34	A helytartó elolvasta a levelet, és megkérdezte Páltól, hogy melyik tartományból való. Amikor megtudta, hogy Kilikiából, 
ACT.23.35	így szólt: Akkor foglak kihallgatni, ha vádlóid is megérkeztek. És megparancsolta, hogy Heródes palotájában őrizzék.
ACT.24.1	Öt nap múlva azután lement Anániás főpap néhány vénnel meg egy Tertullusz nevű ügyvéddel, és panaszt tettek a helytartónál Pál ellen. 
ACT.24.2	Amikor behívták, Tertullusz így kezdte vádolni: 
ACT.24.3	Nagy békességet biztosítasz számunkra, nagyra becsült Félix, és üdvös változások történnek népünk javára a te gondoskodásod folytán. Ezt mindenkor és mindenütt teljes hálával ismerjük el. 
ACT.24.4	De hogy hosszan ne fárasszalak, kérlek, hallgasd meg rövid beszédünket jóindulattal. 
ACT.24.5	Mi ugyanis megállapítottuk, hogy ez az ember valóságos pestis, lázadást szít a földkerekségen élő valamennyi zsidó között, és a názáreti irányzat feje. 
ACT.24.6	A templomot is meg akarta szentségteleníteni, de elfogtuk, és a mi törvényünk szerint akartuk elítélni. 
ACT.24.7	Lisziász ezredes azonban odajött, erőszakkal kivette őt a kezünk közül, 
ACT.24.8	és azt parancsolta, hogy vádlói hozzád jöjjenek. Magad is tudomást szerezhetsz mindarról, amivel vádoljuk, ha őt kihallgatod. 
ACT.24.9	Csatlakoztak ehhez a vádhoz a zsidók is, és bizonygatták, hogy mindez valóban így van.
ACT.24.10	Amikor a helytartó intett Pálnak, hogy beszélhet, ő így szólt: Mivel tudom, hogy sok éve vagy már bírája ennek a népnek, nagyobb bizalommal védekezem a magam ügyében. 
ACT.24.11	Magad is meggyőződhetsz arról, hogy alig tizenkét napja jöttem fel Jeruzsálembe imádkozni. 
ACT.24.12	De nem láttak engem sem a templomban, sem a zsinagógákban, sem a városban bárkivel is vitatkozni vagy a nép között lázadást szítani. 
ACT.24.13	Azt sem tudják rám bizonyítani, amivel most vádolnak. 
ACT.24.14	De azt megvallom előtted, hogy én a szerint a tanítás szerint, amelyet ők eretnekségnek mondanak, úgy szolgálok atyáim Istenének, hogy hiszek mindabban, ami megfelel a törvénynek, és ami meg van írva a próféták könyvében. 
ACT.24.15	Nekem ugyanaz az Istenbe vetett reménységem, amit ők maguk is várnak, hogy lesz feltámadásuk mind az igazaknak, mind a gonoszoknak. 
ACT.24.16	Ezért magam is arra törekszem, hogy lelkiismeretem mindenkor tiszta legyen Isten és emberek előtt. 
ACT.24.17	Több év múltán eljöttem népemhez, hogy adományokat adjak, és áldozatokat mutassak be. 
ACT.24.18	A tisztulási fogadalom teljesítése közben talált rám a templomban néhány Ázsiából való zsidó, nem pedig csődületben vagy lázítás közben. 
ACT.24.19	Nekik kellett volna megjelenniük előtted, és vádolniuk engem, ha valami panaszuk van ellenem. 
ACT.24.20	Vagy mondják meg ezek maguk, találtak-e bennem valamilyen vétket, amikor a nagytanács előtt álltam. 
ACT.24.21	Ha csak azt a kijelentést nem, amelyet közöttük állva kiáltottam: A halottak feltámadása miatt vádolnak engem ma előttetek!
ACT.24.22	Erre Félix elnapolta az ügyet, mert sokat tudott erről a tanításról, és így szólt: Amikor Lisziász ezredes idejön, akkor fogok dönteni az ügyetekben. 
ACT.24.23	Ugyanakkor megparancsolta a századosnak, hogy tartsák őrizetben Pált, de enyhébb fogságban, és az övéi közül senkit se akadályozzanak abban, hogy szolgálatára legyen.
ACT.24.24	Néhány nap múlva pedig megjelent Félix a feleségével, Druszillával, aki zsidó származású volt. Magához hívatta Pált, és meghallgatta őt a Krisztus Jézusban való hitről. 
ACT.24.25	De amikor igazságról, önmegtartóztatásról és a jövendő ítéletről kezdett beszélni, Félix megrémült, és így szólt: Most menj el, de ha alkalmat találok, majd ismét hívatlak. 
ACT.24.26	Egyúttal azt is remélte, hogy pénzt kap Páltól, ezért gyakrabban hívatta, és elbeszélgetett vele.
ACT.24.27	Két esztendő múlva Porciusz Fesztusz lett Félix utóda. Félix pedig fogságban hagyta Pált, mert kedvében akart járni a zsidóknak.
ACT.25.1	Amint Fesztusz megérkezett a tartományba, három nap múlva felment Cézáreából Jeruzsálembe. 
ACT.25.2	Ott a zsidók főpapjai és vezetői panaszt tettek Pál ellen, és kérték, 
ACT.25.3	hogy – bár Pál ezt nem akarja – a kedvükért vitesse Pált Jeruzsálembe. Mert azt a tervet szőtték ellene, hogy megölik útközben. 
ACT.25.4	Fesztusz azonban azt felelte, hogy Pál Cézáreában van őrizetben, ő maga pedig hamarosan odautazik. 
ACT.25.5	Ezért a közöttetek lévő vezetők – mondta – jöjjenek le velem, és ha van valami kifogásolható abban az emberben, emeljenek vádat ellene!
ACT.25.6	Miután pedig nyolc vagy tíz napot közöttük töltött, lement Cézáreába. A következő napon pedig beült a bírói székbe, és elővezettette Pált. 
ACT.25.7	Amikor Pál megjelent, körülállták a Jeruzsálemből lejött zsidók, és sok súlyos vádat emeltek ellene, amelyeket azonban nem tudtak bizonyítani. 
ACT.25.8	Pál így védekezett: Sem a zsidók törvénye ellen, sem a templom ellen, sem a császár ellen nem vétettem semmit. 
ACT.25.9	Fesztusz azonban a zsidók kedvében akart járni, és ezt kérdezte Páltól: Akarsz-e Jeruzsálembe menni, hogy ott ítélkezzem feletted ebben az ügyben? 
ACT.25.10	Pál azonban így válaszolt: A császár ítélőszéke előtt állok, itt kell ítélkezni felettem. A zsidók ellen nem vétettem semmit, amint magad is jól tudod. 
ACT.25.11	Mert ha vétkes vagyok, és halált érdemlő dolgot cselekedtem, nem vonakodom a haláltól. Ha pedig ezek alaptalanul vádolnak engem, senki sem szolgáltathat ki nekik. A császárhoz fellebbezek. 
ACT.25.12	Akkor Fesztusz megbeszélést tartott a tanácsosaival, majd így válaszolt: A császárhoz fellebbeztél, tehát a császár elé fogsz menni.
ACT.25.13	Néhány nap elteltével Agrippa király és Bereniké Cézáreába érkezett, hogy köszöntsék Fesztuszt. 
ACT.25.14	Amikor már több napja időztek ott, Fesztusz szóba hozta a király előtt Pál ügyét: Van itt egy férfi – mondta –, akit Félix hagyott itt fogolyként. 
ACT.25.15	Mikor Jeruzsálemben voltam, panaszt emeltek ellene a zsidók főpapjai és vénei, és az elítélését kérték. 
ACT.25.16	Azt válaszoltam nekik, hogy a rómaiaknak nem szokásuk bárkit is kiszolgáltatni, amíg a vádlott szemtől szemben nem áll vádlóival, és alkalmat nem kap arra, hogy védekezzék a vád ellen. 
ACT.25.17	Mikor tehát megérkeztek ide, halogatás nélkül mindjárt másnap bírói székembe ültem, és elővezettettem azt a férfit. 
ACT.25.18	Ekkor vádlói körülállták, de semmi olyan bűnt sem hoztak fel ellene, amilyenre gondoltam, 
ACT.25.19	hanem valami vitás kérdéseik voltak vele a maguk vallásáról meg egy bizonyos meghalt Jézusról, akiről Pál azt állította, hogy él. 
ACT.25.20	Mivel pedig én nem tudtam eligazodni ezekben a vitás kérdésekben, azt kérdeztem tőle, nem akar-e Jeruzsálembe menni, és ott állni törvény elé ezek miatt a dolgok miatt. 
ACT.25.21	Pál azonban fellebbezett, és azt kívánta, hogy tartsák őrizetben a császár döntéséig. Ezért parancsot adtam, hogy őrizzék őt, amíg a császárhoz küldhetem.
ACT.25.22	Agrippa erre így szólt Fesztuszhoz: Szeretném magam is hallani ezt az embert! – Holnap hallani fogod – válaszolta ő. 
ACT.25.23	Másnap megérkezett Agrippa és Bereniké nagy pompával, és miután az ezredessel meg a város előkelőségeivel együtt bevonultak a nagyterembe, Fesztusz parancsára elővezették Pált. 
ACT.25.24	Fesztusz ezután így szólt: Agrippa király és ti, férfiak, mind, akik velünk együtt jelen vagytok, látjátok ezt az embert, aki miatt engem ostromolt az egész zsidóság Jeruzsálemben, sőt még itt is, azt kiáltozva, hogy nem szabad tovább élnie. 
ACT.25.25	Én azonban azt állapítottam meg, hogy semmi halált érdemlő dolgot nem cselekedett. De mivel a császárhoz fellebbezett, úgy döntöttem, hogy oda küldöm őt. 
ACT.25.26	Ámde semmi bizonyosat nem tudok írni róla uramnak, ezért elétek vezettettem, elsősorban is eléd, Agrippa király, hogy kihallgatása után legyen mit írnom róla. 
ACT.25.27	Mert értelmetlennek tartom, hogy aki foglyot küld, ne jelentse az ellene emelt vádat is.
ACT.26.1	Agrippa erre így szólt Pálhoz: Megengedjük, hogy szólj a magad mentségére. Akkor Pál kinyújtotta a kezét, és védőbeszédet mondott: 
ACT.26.2	Boldognak tartom magam, Agrippa király, hogy mindazok ellen, amikkel a zsidók vádolnak, ma előtted védekezhetem, 
ACT.26.3	mert te kiváló ismerője vagy a zsidók minden szokásának és vitás kérdéseinek. Kérlek azért, hallgass meg engem türelemmel. 
ACT.26.4	Életemet, amely kezdettől fogva népem között és Jeruzsálemben folyt, ifjúságomtól fogva ismerik a zsidók mindnyájan. 
ACT.26.5	Mivel ők kezdettől fogva ismernek, tanúsíthatják, ha akarják, hogy kegyességünk legszigorúbb irányzata szerint éltem mint farizeus. 
ACT.26.6	Most is amiatt a reménység miatt állok itt vád alatt, amelyet atyáinknak ígért Isten. 
ACT.26.7	Ennek a teljesülését reméli tizenkét törzsünk is, éjjel-nappal állhatatosan szolgálva Istennek. Ezért a reménységért vádolnak engem a zsidók, Agrippa király. 
ACT.26.8	Miért tartjátok hihetetlennek, hogy Isten halottakat támaszt fel? 
ACT.26.9	Egykor magam is úgy gondoltam, hogy mindent meg kell tennem a názáreti Jézus neve ellen. 
ACT.26.10	Meg is tettem ezt Jeruzsálemben, és a főpapoktól kapott felhatalmazás alapján a szentek közül sokat börtönbe vetettem. Amikor pedig halálra ítélték őket, én is ellenük szavaztam. 
ACT.26.11	A zsinagógákban mindenfelé gyakran büntetéssel kényszerítettem őket káromlásra, sőt ellenük való féktelen őrjöngésemben egészen az idegen városokig üldöztem őket. 
ACT.26.12	Egyszer éppen ilyen ügyben utaztam a főpapok felhatalmazásával és megbízásával Damaszkuszba. 
ACT.26.13	Déltájban az úton láttam, ó, király, amint a mennyből a nap fényénél is ragyogóbb világosság sugároz körül engem és útitársaimat. 
ACT.26.14	Mikor pedig mindnyájan a földre estünk, egy hangot hallottam, amely így szólt hozzám héber nyelven: Saul, Saul, miért üldözöl engem? Nehéz neked az ösztöke ellen rugódoznod. 
ACT.26.15	Erre ezt kérdeztem: Ki vagy, Uram? Az Úr pedig így válaszolt: Én vagyok Jézus, akit te üldözöl. 
ACT.26.16	De kelj fel, és állj a lábadra, mert azért jelentem meg neked, hogy szolgámmá tegyelek, hogy tanúbizonyságot tegyél arról, amiket láttál, és arról, amit ezután fogok neked magamról kijelenteni. 
ACT.26.17	Megoltalmazlak e néptől és a pogányoktól, akikhez küldelek. 
ACT.26.18	Azért küldelek el, hogy nyisd meg a szemüket, hogy a sötétségből a világosságra, és a Sátán hatalmából az Istenhez térjenek, hogy az énbennem való hit által megkapják bűneik bocsánatát, és örökséget nyerjenek azok között, akik megszenteltettek. 
ACT.26.19	Ezért, Agrippa király, nem voltam engedetlen a mennyei látomás iránt, 
ACT.26.20	hanem először Damaszkuszban és Jeruzsálemben, majd Júdea lakóinak és a pogányoknak hirdettem, hogy térjenek meg, forduljanak az Istenhez, és éljenek a megtéréshez méltóan. 
ACT.26.21	Ezért fogtak el engem a zsidók a templomban, és ezért akartak kivégezni. 
ACT.26.22	De mivel Isten mind e mai napig megsegített, itt állok, és bizonyságot teszek kicsinyeknek és nagyoknak, és semmit sem mondok azon kívül, amit Mózes és a próféták megjövendöltek: 
ACT.26.23	a Krisztusnak szenvednie kell, és mint aki elsőnek támad fel a halottak közül, világosságot fog hirdetni népének és a pogányoknak.
ACT.26.24	Mikor pedig ezeket hozta fel védelmére, Fesztusz hangosan így kiáltott: Bolond vagy te, Pál! A sok tudomány őrültségbe visz. 
ACT.26.25	Pál azonban így válaszolt: Nem vagyok bolond, nagyra becsült Fesztusz, hanem igaz és józan beszédet szólok. 
ACT.26.26	Mert tud ezekről a király, akihez bátran szólok, mert nem hiszem, hogy rejtve volna előtte ezek közül bármi is, hiszen nem valami zugban történt dolgok ezek. 
ACT.26.27	Hiszel-e Agrippa király a prófétáknak? Tudom, hogy hiszel. 
ACT.26.28	Agrippa így szólt Pálhoz: Majdnem ráveszel engem is, hogy keresztyénné legyek! 
ACT.26.29	Pál pedig így válaszolt: Kérem az Istentől, hogy előbb vagy utóbb nemcsak te, hanem azok is, akik ma hallgatnak engem, olyanná legyenek, amilyen én is vagyok e bilincsek nélkül.
ACT.26.30	Ezután felállt a király, a helytartó, Bereniké, és felálltak a velük együtt ülők. 
ACT.26.31	Távozóban így beszélgettek egymás között: Semmi halálra vagy fogságra méltó dolgot nem tett ez az ember. 
ACT.26.32	Agrippa pedig ezt mondta Fesztusznak: Szabadon lehetne bocsátani ezt az embert, ha nem fellebbezett volna a császárhoz.
ACT.27.1	Miután úgy határoztak, hogy hajón Itáliába szállítanak bennünket, átadták Pált a többi fogollyal együtt a császári csapatból való Júliusz nevű századosnak. 
ACT.27.2	Azután felszálltunk egy adramittiumi hajóra, amely Ázsia tartomány partvidékének kikötőibe készült, és elindultunk. Velünk volt a makedón Arisztarkhosz is Thesszalonikából. 
ACT.27.3	Másnap befutottunk Szidónba. Júliusz emberségesen bánt Pállal, és megengedte, hogy elmenjen barátaihoz, és azok gondoskodjanak róla. 
ACT.27.4	Onnan továbbindulva az ellenszél miatt Ciprus szélárnyékos oldalán hajóztunk el. 
ACT.27.5	Majd Kilikia és Pamfília partja mentén haladva befutottunk a líkiai Mirába. 
ACT.27.6	Ott a százados egy Itáliába induló alexandriai hajót talált, és arra szállított át minket. 
ACT.27.7	Több napig tartó lassú hajózás után nagy nehezen jutottunk el Knidoszig; de a szél miatt nem tudtunk kikötni, ezért elhajóztunk Kréta szélárnyékos oldalán Szalmóné közelében. 
ACT.27.8	Nagy nehezen elhaladtunk mellette, és eljutottunk egy helyre, amelyet Szépkikötőnek neveznek, és amelyhez közel van Lászea városa.
ACT.27.9	Mivel pedig közben sok idő telt el, és a hajózás is veszedelmessé vált, hiszen a böjt is elmúlt már, Pál figyelmeztette őket: 
ACT.27.10	Férfiak, látom, hogy a további hajózás nemcsak a rakományban és a hajóban okozhat nagy kárt, hanem életünket is veszélyezteti. 
ACT.27.11	De a százados inkább hitt a kormányosnak és a hajótulajdonosnak, mint annak, amit Pál mondott. 
ACT.27.12	A kikötő nem volt alkalmas a telelésre, ezért a többség úgy döntött, hogy továbbhajóznak onnan, hátha eljutnak Főnixbe, ahol áttelelhetnek. Ez Kréta egyik kikötője, amely délnyugat és északnyugat felé néz. 
ACT.27.13	Mivel pedig enyhe déli szél kezdett fújni, azt hitték, hogy megvalósíthatják elhatározásukat, felszedték tehát a horgonyt, és továbbhajóztak Kréta közelében. 
ACT.27.14	Nemsokára azonban a sziget irányából lecsapott az Eurakvilónak nevezett szélvihar. 
ACT.27.15	Mikor az magával ragadta a hajót, úgyhogy nem tudott a széllel szemben haladni, rábíztuk a hajót, és sodortattuk magunkat vele. 
ACT.27.16	Amikor egy kis sziget, Klauda szélárnyékos oldalára befutottunk, nagy nehezen ugyan, de meg tudtuk tartani a mentőcsónakot. 
ACT.27.17	Miután ezt felvonták, óvintézkedéseket tettek: alul átkötötték a hajót, és mivel féltek, hogy a Szirtisz tengeröböl zátonyaira futnak, a horgonyt leeresztették, és úgy sodródtak tovább. 
ACT.27.18	A vihar hevesen hányt-vetett bennünket, ezért másnap kidobálták a hajóterhet, 
ACT.27.19	harmadnap pedig a hajó felszerelését dobálták ki saját kezükkel. 
ACT.27.20	Mivel pedig sem a nap, sem a csillagok nem látszottak több napon át, és erős vihar tombolt, végül elveszett megmenekülésünk minden reménye. 
ACT.27.21	Minthogy már sokat éheztek is, Pál felállt közöttük, és így szólt: Az lett volna a helyes, férfiak, ha rám hallgattok, és nem indulunk el Krétából, hogy elkerüljük ezt a veszélyt és ezt a kárt. 
ACT.27.22	Én azonban most is azt tanácsolom nektek, hogy bizakodjatok, mert egy lélek sem vész el közületek, csak a hajó. 
ACT.27.23	Mert ma éjjel elém állt annak az Istennek az angyala, akié vagyok, és akinek szolgálok. 
ACT.27.24	Ez azt mondta: Ne félj, Pál, neked a császár elé kell állnod, és Isten neked ajándékozta mindazokat, akik veled vannak a hajón. 
ACT.27.25	Ezért bizakodjatok, férfiak! Én hiszek az Istennek, hogy úgy lesz, ahogyan nekem megmondta. 
ACT.27.26	Egy szigetre kell kivetődnünk.
ACT.27.27	Tizennegyedik napja sodródtunk az Adrián, amikor éjféltájban azt gyanították a hajósok, hogy valamilyen szárazföldhöz közelednek. 
ACT.27.28	Lebocsátották a mérőónt, és húsz öl mélységet mértek. Amikor pedig kissé továbbmentek, és ismét lebocsátották, tizenöt ölet mértek. 
ACT.27.29	De mivel féltek, hogy esetleg sziklás helyre vetődünk, a hajó farából négy horgonyt vetettek ki, alig várva a virradatot. 
ACT.27.30	Ekkor azonban a hajósok meg akartak szökni a hajóról. Le akarták ereszteni a mentőcsónakot a tengerre, azzal az ürüggyel, hogy a hajó orrából akarnak horgonyokat kifeszíteni. 
ACT.27.31	Pál így szólt a századoshoz és a katonákhoz: Ha ezek nem maradnak a hajón, akkor ti sem menekülhettek meg. 
ACT.27.32	A katonák ekkor elvágták a mentőcsónak köteleit, és hagyták, hogy elsodorja az ár. 
ACT.27.33	Addig pedig, amíg megvirradt, Pál mindnyájukat arra biztatta, hogy egyenek. Így szólt: Ma a tizennegyedik napja, hogy étlen várakoztok, és semmit sem ettetek. 
ACT.27.34	Ezért intelek titeket, hogy egyetek, mert az is megmeneküléseteket szolgálja. Mert közületek senkinek sem esik le egyetlen hajszál sem a fejéről. 
ACT.27.35	E szavak után vette a kenyeret, hálát adott Istennek mindnyájuk szeme láttára, megtörte, és enni kezdett. 
ACT.27.36	Erre mindnyájan nekibátorodtak, és ők is enni kezdtek. 
ACT.27.37	Összesen kétszázhetvenhatan voltunk a hajón. 
ACT.27.38	Miután jóllaktak, a gabonát a tengerbe szórva könnyítettek a hajón. 
ACT.27.39	Amikor megvirradt, nem tudták, milyen szárazföldhöz értek, de egy öblöt vettek észre, amelynek lapos volt a partja. Elhatározták, hogy ha tudják, erre futtatják rá a hajót. 
ACT.27.40	A horgonyokat eloldották, és a tengerben hagyták, egyúttal a kormányrúd tartóköteleit is megeresztették, és az orrvitorlát szélnek feszítve igyekeztek a part felé. 
ACT.27.41	Mikor azonban egy földnyelvhez értek, ráfuttatták a hajót, amelynek orra befúródva ott maradt mozdulatlanul, hátsó része pedig a hullámveréstől szakadozni kezdett. 
ACT.27.42	A katonáknak az volt a szándékuk, hogy megölik a foglyokat, nehogy valaki kiúszva elmeneküljön. 
ACT.27.43	De a százados meg akarta menteni Pált, ezért visszatartotta őket elhatározásuktól, és megparancsolta, hogy akik úszni tudnak, azok ugorjanak először a tengerbe, és meneküljenek a szárazföldre, 
ACT.27.44	azután pedig a többiek, ki deszkákon, ki a hajó egyéb darabjain. Így történt, hogy mindnyájan kimenekültek a szárazföldre.
ACT.28.1	Miután megmenekültünk, akkor tudtuk meg, hogy Máltának hívják ezt a szigetet. 
ACT.28.2	A barbárok nem mindennapi emberséget tanúsítottak irántunk, mert tüzet raktak, és a ránk zúduló eső és a hideg miatt mindnyájunkat befogadtak. 
ACT.28.3	Amikor Pál összegyűjtött egy csomó rőzsét, és a tűzre tette, a meleg miatt egy vipera bújt ki belőle, és a kezébe mart. 
ACT.28.4	Amikor a barbárok meglátták a kezéről lecsüngő mérges kígyót, így szóltak egymáshoz: Bizonyára gyilkos ez az ember, aki a tengerből kimenekült ugyan, de az isteni bosszúállás nem engedi, hogy életben maradjon. 
ACT.28.5	Ő azonban lerázta a kígyót a tűzbe, és semmi baja sem esett. 
ACT.28.6	Azok pedig azt várták, hogy feldagad, vagy hirtelen holtan esik össze. Mikor azonban hosszas várakozás után azt látták, hogy nem történik semmi baja, megváltozott a véleményük, és azt mondták róla, hogy isten. 
ACT.28.7	Azon a környéken volt a sziget elöljárójának, Publiusznak a birtoka, aki befogadott minket, és három napon át nagyon barátságosan megvendégelt. 
ACT.28.8	Történt pedig, hogy Publiusz apja lázrohamoktól és vérhastól gyötörve ágynak esett. Pál bement hozzá, és miután imádkozott, rátette a kezét, és meggyógyította. 
ACT.28.9	Miután ez megtörtént, a többi beteg szigetlakó is odament hozzá, és ő meggyógyította őket. 
ACT.28.10	Ezek nagy megbecsülésben részesítettek minket, és amikor elhajóztunk, elláttak bennünket minden szükséges dologgal.
ACT.28.11	Három hónap múlva azután elindultunk egy alexandriai hajón, amely a szigeten telelt, és amelynek címerében a Dioszkuroszok voltak. 
ACT.28.12	Szirakúzába érkezve ott maradtunk három napig. 
ACT.28.13	Innen a part mentén hajózva megérkeztünk Régiumba, és mivel egy nap múlva feltámadt a déli szél, másnap Puteoliba értünk. 
ACT.28.14	Itt testvéreket találtunk, akik kértek, hogy maradjunk náluk hat napig. Így érkeztünk Rómába. 
ACT.28.15	Mikor az ottani testvérek hallottak érkezésünkről, elénk jöttek Appiusz fórumáig és Trész Tabernéig. Amikor Pál meglátta őket, hálát adott Istennek, és megtelt bizakodással.
ACT.28.16	Amikor megérkeztünk Rómába, Pálnak megengedték, hogy külön lakjék az őt őrző katonával. 
ACT.28.17	Három nap múlva magához hívatta a zsidók ottani elöljáróit. Amikor ezek összegyűltek, így szólt hozzájuk: Férfiak, testvéreim, bár semmit sem vétkeztem e nép ellen, vagy ősi szokásaik ellen, Jeruzsálemben mégis foglyul adtak engem a rómaiak kezébe. 
ACT.28.18	Miután ezek kihallgattak, szabadon akartak bocsátani, mert semmi halállal büntetendő vétek nincs bennem. 
ACT.28.19	Mivel azonban ez ellen tiltakoztak a zsidók, kénytelen voltam fellebbezni a császárhoz, de nem azért, mintha népem ellen akarnék vádaskodni. 
ACT.28.20	Emiatt kértem, hogy láthassalak titeket, és beszélhessek veletek, hiszen Izráel reménységéért viselem ezt a láncot. 
ACT.28.21	Ők pedig ezt mondták: Mi sem levelet nem kaptunk rólad Júdeából, sem a testvérek közül nem jött ide senki, és nem jelentett vagy mondott rólad semmi rosszat. 
