PSA.1.1	 Blažen 
1CO.12.27	 A vi ste tijelo Kristovo, a zasebno udovi.
1CO.12.28	 I neke je Bog postavio u crkvi: prvo apostole, drugo proroke, treće učitelje; zatim čudesa, onda darove ozdravljanja, pomoći, upravljanja, različite jezike.
1CO.12.30	 Imaju li svi darove ozdravljanja? Govore li svi jezike? Tumače li 
1CO.12.31	 Ali vi čeznite za najboljim darovima! A ja ću vam pokazati još izvrsniji put.
1CO.13.1	 Ako bih govorio ljudske i anđeoske jezike, a ljubavi ne bih imao, postao bih 
1CO.13.2	 Ako bih imao i 
1CO.13.3	 Ako bih i razdijelio sva svoja dobra da nahranim 
1CO.13.4	 Ljubav je strpljiva, dobrostiva je; ljubav ne zavidi, ljubav se ne hvali, ne nadima se,
1CO.13.5	 nije nepristojna, ne traži svoje, nije razdražljiva, ne misli zlo;
1CO.13.6	 ne raduje se nepravdi, a raduje se istini,
1CO.13.7	 sve nosi, sve vjeruje, svemu se nada, sve podnosi.
1CO.13.8	 Ljubav nikad ne prestaje. A kad 
1CO.13.9	 Jer djelomično spoznajemo i djelomično prorokujemo.
1CO.13.10	 Ali kad dođe ono savršeno, tada će ovo djelomično nestati.
1CO.13.11	 Kad sam bio dijete, govorio sam kao dijete, shvaćao kao dijete, razmišljao kao dijete. Ali kad sam postao muškarac, odbacio sam ono djetinje.
1CO.13.12	 Jer sada vidimo u ogledalu, nejasno, a tada, licem u lice. Sada spoznajem djelomično, a tada ću spoznati kao što sam i spoznat.
1CO.13.13	 A sada ostaje vjera, nada, ljubav, to troje; ali najveća od ovih 
1CO.14.1	 Težite za ljubavlju i čeznite za duhovnim 
1CO.14.2	 Jer tko govori 
1CO.14.3	 Ali onaj koji prorokuje, ljudima govori 
1CO.14.4	 Onaj koji govori 
1CO.14.5	 Htio bi da svi vi govorite jezike, ali još više da bi prorokovali. Jer je veći onaj koji prorokuje nego onaj koji govori jezike, osim ako to protumači, da bi se izgrađivala crkva.
1CO.14.6	 A sada, braćo, dođem li k vama govoreći jezike, što ću vam ja koristiti ako vam ne govorim ili po otkrivenju, ili po spoznanju, ili po proročanstvu ili po nauku?
1CO.14.7	 Čak i nežive stvari daju zvuk, bilo svirala ili harfa, ako li ne daju različite zvukove, kako će se raspoznati što svira svirala ili harfa?
1CO.14.8	 Jer ako truba daje nepouzdan zvuk, tko će se spremiti za bitku?
1CO.14.9	 Tako i vi: ako jezikom ne izgovorite riječi koje se lako razumiju kako će se znati što je rečeno? Jer ćete govoriti u zrak.
1CO.14.10	 Postoji na svijetu toliko vrsta glasova, a ni jedan od njih nije bez značenja.
1CO.14.11	 Stoga, ako ne raspoznajem značenje glasa, bit ću barbarin onomu koji govori, a onaj koji govori bit će barbarin meni.
1CO.14.12	 Tako i vi, budući da ste revni za duhovnim 
1CO.14.13	 Zato tko govori 
1CO.14.14	 Jer ako se molim 
1CO.14.15	 Što ću onda? Molit ću duhom, a molit ću i razumom; pjevat ću hvale duhom, a pjevat ću i razumom.
1CO.14.16	 Inače kad blagosiljaš duhom, kako će onaj koji zauzima mjesto za neupućenog reći “Amen” na tvoju zahvalu, pošto ne razumije što govoriš?
1CO.14.17	 Jer ti, uistinu, dobro zahvaljuješ, ali se drugi ne izgrađuje.
1CO.14.18	 Zahvaljujem Bogu svojemu, govorim jezike više od svih vas;
1CO.14.19	 ali u crkvi radije kažem pet riječi svojim razumom, da bi se 
1CO.14.20	 Braćo, ne budite više djeca razumom, nego u zlobi budite djeca, ali razumom budite muškarci!
1CO.14.21	 U Zakonu je zapisano: “Kroz 
1CO.14.22	 Zato nisu jezici znak za one koji vjeruju, nego za one koji ne vjeruju, a prorokovanje nije za one koji ne vjeruju, nego za one koji vjeruju.
1CO.14.23	 Ako se dakle skupi sva crkva na jednom mjesto te svi govore jezike, a uđu neupućeni ili nevjernici, neće li reći da ste poludjeli?
1CO.14.24	 No ako svi prorokuju, a uđe jedan koji ne vjeruje ili 
1CO.14.25	 te se tako očituju tajne njegova srca. I tako će pasti ničice 
1CO.14.26	 Što ćete onda, braćo? Kad se sastajete, svaki od vas ima psalam, ima nauk, ima jezik, ima otkrivenje, ima tumačenje. Neka sve bude na izgradnju!
1CO.14.27	 Ako tko govori 
1CO.14.28	 Ako li nema tumača, neka šuti u crkvi; a neka govori sebi i Bogu!
1CO.14.29	 Neka proroci govore 
1CO.14.30	 Ako li nešto bude objavljeno drugome koji sjedi, prvi neka ušuti!
1CO.14.31	 Jer svi možete prorokovati jedan po jedan, da se svi nauče i svi budu utješeni.
1CO.14.32	 A duhovi prorokā podloženi su prorocima.
1CO.14.33	 Jer Bog nije 
1CO.14.34	 Neka žene vaše u crkvama šute jer im nije dopušteno govoriti, nego im je 
1CO.14.35	 A ako žele što naučiti, neka kod kuće pitaju svoje muževe, jer je sramota ženama govoriti u crkvi.
1CO.14.36	 Što, je li od vas izašla riječ Božja? Ili je došla samo k vama?
1CO.14.37	 Ako netko misli da je prorok ili duhovan, neka spozna da su ovo što vam pišem zapovijedi Gospodinove.
1CO.14.38	 Ako li netko to ne spoznaje, neka bude u neznanju.
1CO.14.39	 Zato, braćo, čeznite prorokovati i ne branite govoriti jezike!
1CO.14.40	 Sve neka bude pristojno i uredno.
1CO.15.1	 Povrh svega, braćo, objavljujem vam evanđelje koje sam vam propovijedao, koje ste i prihvatili i u kojem stojite,
1CO.15.2	 po kojem ste i spašeni, ako ste zapamtili što sam vam ja propovijedao, osim ako ste povjerovali uzalud.
1CO.15.3	 Jer predao sam vam najprije ono što sam i primio: da je Krist umro za naše grijehe prema Pismima,
1CO.15.4	 i da je bio pokopan, i da je treći dan uskrsnuo, prema Pismima,
1CO.15.5	 i da ga je vidio Kefa, zatim Dvanaestorica.
1CO.15.6	 Poslije toga vidjelo ga je odjednom više od pet stotina braće, od kojih je većina ostala do ovog trenutka, a neki su usnuli.
1CO.15.7	 Nakon toga vidio ga je Jakov, zatim svi apostoli.
1CO.15.8	 A na kraju svega, vidio sam ga i ja, kao nedonošče.
1CO.15.9	 Jer ja sam najmanji među apostolima, ja nisam podoban nazivati se apostolom jer sam progonio crkvu Božju.
1CO.15.10	 Ali milošću Božjom jesam što jesam i njegova milost koja mi je 
1CO.15.11	 Stoga bilo to ja, ili oni, tako propovijedamo, te ste tako povjerovali.
1CO.15.12	 Ako li je Krist propovijedan da je uskrsnuo od mrtvih, kako neki među vama govore da nema uskrsnuća od mrtvih?
1CO.15.13	 Ako li nema uskrsnuća od mrtvih, ni Krist nije uskrsnuo.
1CO.15.14	 A ako Krist nije uskrsnuo, onda 
1CO.15.15	 Dapače, našli bismo se i lažnim svjedocima Božjim, jer smo svjedočili o Bogu da je uskrsnuo Krista, kojega nije uskrsnuo, ako bi bilo da mrtvi ne uskrsavaju.
1CO.15.16	 Jer ako mrtvi ne uskrsavaju, ni Krist nije uskrsnuo.
1CO.15.17	 A ako Krist nije uskrsnuo, uzalud je vaša vjera; još ste u grijesima svojim.
1CO.15.18	 Onda su i oni koji su usnuli u Kristu, propali.
1CO.15.19	 Ako samo u ovom životu imamo nadu u Krista, najbjedniji smo od svih ljudi.
1CO.15.20	 Ali sada, Krist je uskrsnuo od mrtvih 
1CO.15.21	 Budući da je po čovjeku 
1CO.15.22	 Jer kao što u Adamu svi umiru, tako će i u Kristu svi oživjeti.
1CO.15.23	 Ali svatko u svom redu: prvina Krist, zatim oni koji su Kristovi kod njegovog dolaska.
1CO.15.24	 Tada 
1CO.15.25	 Jer on mora kraljevati, dok ne položi sve neprijatelje pod svoje noge.
1CO.15.26	 Posljednji neprijatelj 
1CO.15.27	 Jer je sve podložio pod njegove noge. A kad kaže: “Sve 
1CO.15.28	 A kad mu sve bude podloženo, tada će se i sâm Sin podložiti onomu koji je njemu sve podložio, da Bog bude sve u svemu.
1CO.15.29	 Inače, što onda čine oni koji se krštavaju za mrtve? Ako mrtvi uopće ne uskrsavaju, čemu se onda krštavaju za mrtve?
1CO.15.30	 I zašto se mi svaki čas izlažemo pogibli?
1CO.15.31	 Tako mi vaše slave koju imam u Kristu Isusu, našem Gospodinu, svaki dan umirem.
1CO.15.32	 Ako sam se na ljudski način borio sa zvijerima u Efezu, kakva mi je prednost ako mrtvi ne uskrsavaju? 
1CO.15.33	 Ne zavaravajte se: “Zli razgovori kvare dobre navike.”
1CO.15.34	 Probudite se za pravednost i ne griješite jer neki nemaju spoznaju Boga. Govorim 
1CO.15.35	 Ali netko će reći: “Kako uskrsavaju mrtvi? I s kakvim li tijelom dolaze?”
1CO.15.36	 Bezumniče! Ono što ti siješ ne oživljuje, ako ne umre.
1CO.15.37	 I ono što siješ nije tijelo koje će nastati, nego golo zrno, na primjer, pšenice ili neko drugo.
1CO.15.38	 A Bog mu daje tijelo kakvo hoće, i to svakom sjemenu svoje tijelo.
1CO.15.39	 Nije svako tijelo isto tijelo, nego jedno je ljudsko tijelo, a drugo je životinjsko tijelo, drugo je riblje, i drugo ptičje.
1CO.15.41	 Jedna 
1CO.15.42	 Tako 
1CO.15.43	 sije se u sramoti, uskrsava u slavi; sije se u slabosti, uskrsava u snazi;
1CO.15.44	 sije se tijelo naravno, uskrsava tijelo duhovno. Postoji tijelo naravno, i postoji tijelo duhovno.
1CO.15.45	 Tako je i zapisano: “Prvi čovjek, Adam, postao je živa duša,” posljednji Adam postao je duh koji oživljuje.
1CO.15.46	 Ipak nije najprije bilo duhovno, nego naravno; a poslije toga duhovno.
1CO.15.47	 Prvi je čovjek od zemlje, zemljan; drugi 
1CO.15.48	 Kakav 
1CO.15.49	 I kao što smo nosili lik zemljanoga, nosit ćemo i lik nebeskoga.
1CO.15.50	 A ovo, braćo, kažem da tijelo i krv ne mogu baštiniti kraljevstvo Božje; niti raspadljivost baštiniti neraspadljivost.
1CO.15.51	 Evo, objavljujem vam otajstvo: svi nećemo usnuti, ali svi ćemo se izmijeniti,
1CO.15.52	 u trenutku, u tren oka, na posljednju trubu; jer zatrubit će, i mrtvi će uskrsnuti neraspadljivi, a mi ćemo se izmijeniti.
1CO.15.53	 Jer se ovo raspadljivo mora zaodjenuti neraspadljivošću i ovo smrtno 
1CO.15.54	 A kad se ovo raspadljivo zaodjene neraspadljivošću i ovo smrtno zaodjene besmrtnošću, tada će se ispuniti besjeda koja je zapisana: “Pobjeda je progutala smrt.
1CO.15.55	 Smrti, gdje 
1CO.15.56	 Žalac smrti je grijeh, a snaga je grijeha Zakon.
1CO.15.57	 Ali hvala Bogu koji nam daje pobjedu po Gospodinu našemu Isusu Kristu!
1CO.15.58	 Zato, braćo moja ljubljena, budite čvrsti, nepokolebivi, uvijek obilujte u djelu Gospodinovu pošto znate da trud vaš nije uzaludan u Gospodinu.
1CO.16.1	 A što se tiče skupljanja za svete, kako sam odredio crkvama u Galaciji, tako i vi činite!
1CO.16.2	 Svakog prvog 
1CO.16.3	 A kad dođem, one koje kroz pisma potvrdite, njih ću poslati da odnesu vaš milosni dar u Jeruzalem.
1CO.16.4	 Ako li bude zgodno da i ja idem, oni će poći sa mnom.
1CO.16.5	 A k vama ću doći kad prođem Makedonijom; jer prolazim kroz Makedoniju.
1CO.16.6	 A kod vas ću, može biti, ostati ili i prezimiti, da me vi otpratite kamo god pođem.
1CO.16.7	 Jer vas ne bih htio vidjeti sada samo u prolazu, nego se nadam ostati neko vrijeme kod vas, ako Gospodin dopusti.
1CO.16.8	 A u Efezu ću ostati do Pedesetnice,
1CO.16.9	 jer su mi se otvorila vrata, velika i djelotvorna, a protivnika 
1CO.16.10	 A ako dođe Timotej, gledajte da može biti s vama bez straha jer on radi djelo Gospodinovo kao i ja.
1CO.16.11	 Neka ga dakle nitko ne prezire, nego ga ispratite u miru da bi došao k meni; jer ga očekujem s braćom.
1CO.16.12	 Što se tiče 
1CO.16.13	 Bdijte, čvrsto stojte u vjeri, muževno se držite, budite jaki!
1CO.16.14	 Neka sve što činite bude u ljubavi!
1CO.16.15	 Zaklinjem vas, braćo, znate Stefaninu kuću, da je prvina Ahaje i 
1CO.16.16	 da se i vi pokoravate takvima i svakome koji 
1CO.16.17	 Radujem se dolasku Stefaninu i Fortunatovu i Ahajikovu, jer su oni nadoknadili ono što je nedostajalo s vaše strane.
1CO.16.18	 Jer su okrijepili moj i vaš duh. Stoga priznajte takve!
1CO.16.19	 Pozdravljaju vas azijske crkve. Puno vas pozdravljaju u Gospodinu Akvila i Priska zajedno s crkvom koja je u njihovoj kući.
1CO.16.20	 Pozdravljaju vas sva braća. Pozdravite jedan drugoga svetim poljupcem!
1CO.16.21	 Pozdrav mojom rukom, Pavlovom.
1CO.16.22	 Ako tko ne ljubi Gospodina Isusa Krista, neka na njemu bude anatema. Maranatha!
1CO.16.23	 Milost Gospodina našega Isusa Krista s vama.
1CO.16.24	 Ljubav moja sa svima vama u Kristu Isusu. Amen.
2CO.1.1	 Pavao, apostol Isusa Krista po volji Božjoj, i 
2CO.1.2	 Milost vam i mir od Boga, našega Oca, i Gospodina Isusa Krista!
2CO.1.3	 Blagoslovljen Bog i Otac Gospodina našega Isusa Krista, Otac milosrđa i Bog svake utjehe,
2CO.1.4	 koji nas tješi u svakoj našoj nevolji, da mi možemo tješiti one koji su u bilo kakvoj nevolji onom utjehom kojom smo sami bili utješeni od Boga.
2CO.1.5	 Jer kao što Kristove patnje obiluju u nama, tako i naša utjeha obiluje po Kristu.
2CO.1.6	 Ako se i mučimo, 
2CO.1.7	 I naša je nada za vas čvrsta, jer znamo da kao što ste sudionici patnji, tako 
2CO.1.8	 Jer ne bismo htjeli, braćo, držati vas u neznanju o našoj nevolji koja nam se dogodila u Aziji, kad smo bili opterećeni prekomjerno, iznad 
2CO.1.9	 Ali smo sami u sebi primili smrtnu osudu da se ne bismo pouzdavali u sebe, nego u Boga koji uskršava mrtve.
2CO.1.10	 On nas je od takve smrti izbavio i izbavlja, u njega se pouzdajemo da će 
2CO.1.11	 Pomažite i vi molitvom za nas da bi mnoge osobe mogle zahvaljivati za dar milosti koji nam je predan od mnogih u našu korist.
2CO.1.12	 Jer ovo je naša slava, svjedočanstvo naše savjesti da smo se u svijetu, a još više prema vama, ponašali u jednostavnosti i iskrenosti Božjoj; ne u mudrosti tjelesnoj, nego u milosti Božjoj.
2CO.1.13	 Jer ne pišemo vam ništa drugo osim onog što čitate i spoznajete. A pouzdajem se da ćete i do kraja spoznati,
2CO.1.14	 kao što ste nas djelomično već spoznali: da smo vaša slava kao i vi naša u dan Gospodina Isusa.
2CO.1.15	 I u ovom sam uvjerenju namjeravao najprije doći k vama, da biste imali dvostruku korist,
2CO.1.16	 a preko vas prijeći u Makedoniju, te ponovo iz Makedonije doći k vama pa da me vi otpratite prema Judeji.
2CO.1.17	 Kad sam dakle to namjeravao, jesam li postupio lakomisleno? Ili što namjeravam, namjeravam li po tijelu, tako da kod mene bude: “Da, da!” i “Ne, ne!”?
2CO.1.18	 Ali 
2CO.1.19	 Jer Sin Božji, Isus Krist, kojega smo među vama propovijedali ja i Silvan i Timotej, nije bio “Da!” i “Ne!”, nego je u njemu bilo “Da!”
2CO.1.20	 Jer sva obećanja Božja u njemu 
2CO.1.21	 A onaj koji nas utvrđuje zajedno s vama u Kristu, i pomazuje nas, 
2CO.1.22	 On nas je zapečatio i dao zalog Duha u naša srca.
2CO.1.23	 Štoviše, ja prizivam Boga za svjedoka moje duše, jer da vas poštedim nisam više dolazio u Korint.
2CO.1.24	 Jer ne gospodarimo nad vašom vjerom, nego smo suradnici vaše radosti; jer po vjeri stojite.
2CO.2.1	 A ovo sam u sebi odlučio: neću opet doći k vama sa žalošću.
2CO.2.2	 Jer ako ja vas žalostim, tko je taj koji će mene razveseliti ako ne onaj koga ja žalostim?
2CO.2.3	 I pisao sam vam to isto da me, kad dođem, ne ražaloste oni koji bi me trebali razveseliti, pouzdajući se u sve vas da je moja radost, radost vas svih.
2CO.2.4	 Jer sam vam pisao iz mnogih nevolja i tjeskobe srca s mnogim suzama, ne da bi se ražalostili, nego da bi upoznali preobilnu ljubav koju imam prema vama.
2CO.2.5	 A ako me je tko ražalostio, nije mene ražalostio, nego djelomično, da ne pretjerujem, sve vas.
2CO.2.6	 Dosta 
2CO.2.7	 Stoga 
2CO.2.8	 Zato vas zaklinjem, potvrdite 
2CO.2.9	 Jer zbog toga sam vam i pisao, da bi spoznao vašu prokušanost, jeste li u svemu poslušni.
2CO.2.10	 A kome vi nešto oprostite, 
2CO.2.11	 da nas ne bi nadmudrio Sotona; jer nam nisu nepoznata njegova lukavstva.
2CO.2.12	 A kad sam došao u Troadu 
2CO.2.13	 nisam imao spokoja u svom duhu, jer nisam našao Tita, svoga brata; nego, kad sam se oprostio s njima, otišao sam u Makedoniju.
2CO.2.14	 A hvala Bogu, koji nam daje da uvijek odnosimo trijumf u Kristu i po nama širi na svakome mjestu miris spoznaje o njemu.
2CO.2.15	 Jer smo Bogu Kristov miomiris, među onima koji se spašavaju i među onima koji propadaju.
2CO.2.16	 Jednima smo miris smrti za smrt, a drugima miris života za život. A tko 
2CO.2.17	 Jer mi nismo kao oni koji iskrivljuju riječ Božju; nego s iskrenošću, štoviše kao od Boga pred Bogom, u Kristu govorimo.
2CO.3.1	 Počinjemo li ponovo sami sebe preporučivati? Ili trebamo, kao neki, pisma preporuke za vas ili 
2CO.3.2	 Vi ste naša poslanica, upisana u našim srcima, koju poznaju i čitaju svi ljudi.
2CO.3.3	 Očito je da ste 
2CO.3.4	 A takvo pouzdanje u Boga imamo kroz Krista.
2CO.3.5	 Ne da smo sami po sebi sposobni nešto pomisliti kao da dolazi od nas, nego je naša sposobnost od Boga,
2CO.3.6	 koji nas je i osposobio za poslužitelje Novog zavjeta; ne slova, nego duha, jer slovo ubija, a duh oživljuje.
2CO.3.7	 Ako li je služba smrti, slovima uklesana u kamenju, bila u slavi, tako da sinovi Izraelovi nisu mogli stalno gledati u Mojsijevo lice zbog slave njegova izgleda, slave koja nestaje,
2CO.3.8	 kako li neće služba duha biti još slavnija?
2CO.3.9	 Jer ako je služba osude 
2CO.3.10	 Jer u tom pogledu i nije proslavljeno ono što je proslavljeno, zbog slave koja sve nadmašuje.
2CO.3.11	 Jer ako 
2CO.3.12	 Budući dakle da imamo takvu nadu, koristimo veliku slobodu govora,
2CO.3.13	 a ne kao Mojsije, 
2CO.3.14	 Ali su im umovi oslijepili, jer im sve do danas ostaje isto pokrivalo neuklonjeno pri čitanju Staroga zavjeta; u Kristu to 
2CO.3.15	 Ali sve do danas kad se čita Mojsije, pokrivalo je na njihovom srcu.
2CO.3.16	 Ali kad se obrate Gospodinu, pokrivalo će se ukloniti.
2CO.3.17	 A Gospodin je Duh; a gdje 
2CO.3.18	 A svi mi, koji otkrivenog lica kao u ogledalu gledamo slavu Božju, preobražavamo se u isti lik, iz slave u slavu, kao od Gospodinova Duha.
2CO.4.1	 Zbog toga, budući da imamo ovu službu, kao što smo primili milosrđe, ne posustajemo,
2CO.4.2	 nego smo se odrekli prikrivenog nepoštenja, ne hodeći u lukavstvu i ne iskrivljujući riječ Božju, već se objavljivanjem istine preporučamo svakoj ljudskoj savjesti pred Bogom.
2CO.4.3	 Ako li je i pokriveno naše evanđelje, pokriveno je u onima koji propadaju;
2CO.4.4	 u onima kojima je bog ovoga svijeta zaslijepio nevjerničke umove, da im ne zasvijetli svjetlo slavnog evanđelja Kristovog, koji je slika Božja.
2CO.4.5	 Jer ne propovijedamo same sebe, nego Krista Isusa Gospodinom; a sebe vašim slugama radi Isusa.
2CO.4.6	 Jer je Bog koji je rekao neka iz tame svjetlo zasvijetli, zasvijetlio je u našim srcima te 
2CO.4.7	 Ali ovo blago imamo u zemljanim posudama da bi ta izvanredna snaga bila od Boga, a ne od nas.
2CO.4.8	 U nevolji smo u svemu, ali nismo u škripcu; zbunjeni, ali ne očajni;
2CO.4.9	 progonjeni, ali ne ostavljeni; obarani, ali ne uništeni.
2CO.4.10	 Uvijek u tijelu pronosimo umiranje Gospodina Isusa da bi se i život Isusov očitovao u našem tijelu.
2CO.4.11	 Jer mi koji živimo uvijek se na smrt predajemo radi Isusa, da bi se i život Isusov očitovao u našem smrtnom tijelu.
2CO.4.12	 Tako dakle smrt djeluje u nama, a život u vama.
2CO.4.13	 Budući da imamo isti duh vjere kao što je zapisano: “Povjerovao sam i zato sam progovorio,” i mi vjerujemo, i zato govorimo,
2CO.4.14	 jer znamo da će onaj koji je uskrsnuo Gospodina Isusa, i nas po Isusu uskrsnuti, i postaviti 
2CO.4.15	 Jer je sve to za vas da se milost umnoži zahvaljivanjem mnogih 
2CO.4.16	 Iz tog razloga ne posustajemo; naprotiv, premda se naš vanjski čovjek raspada, ipak se unutarnji 
2CO.4.17	 Jer naša neznatna nevolja, koja traje kratko, donosi nam još više obilovanja 
2CO.4.18	 dok ne gledamo na ono što je vidljivo, nego na ono što je nevidljivo. Jer ono što je vidljivo 
2CO.5.1	 Jer znamo da ako se naša zemaljska kuća, 
2CO.5.2	 Jer u ovome uzdišemo 
2CO.5.3	 ako li smo već odjeveni, nećemo se naći goli.
2CO.5.4	 Jer i mi koji smo u ovom šatoru uzdišemo opterećeni jer ne želimo biti razodjeveni, nego odjeveni, da bi život mogao progutati ovo što je smrtno.
2CO.5.5	 A onaj koji nas je za ovo sazdao 
2CO.5.6	 Stoga se uvijek pouzdajemo jer znamo da dok smo nazočni u tijelu, odsutni smo od Gospodina.
2CO.5.7	 (Jer po vjeri hodimo, a ne po gledanju.)
2CO.5.8	 I pouzdajemo se i radije bismo htjeli biti odsutni od tijela te biti nazočni kod Gospodina.
2CO.5.9	 Zato se i trudimo da mu budemo ugodni, bilo nazočni ili odsutni.
2CO.5.10	 Jer se svi moramo pojaviti pred sudištem Kristovim da svaki primi prema onome što je učinio u 
2CO.5.11	 Budući dakle da znamo za strah i trepet Gospodnji, uvjeravamo ljude; a Bogu smo razotkriveni, a nadam se da smo razotkriveni i u vašim savjestima.
2CO.5.12	 Jer ne preporučujemo vam opet sami sebe, nego vam dajemo prigodu proslaviti se nama, da imate što 
2CO.5.13	 Jer ako bismo bili izvan sebe, 
2CO.5.14	 Jer nas obuzima ljubav Kristova zato ovako prosuđujemo, da ako je jedan umro za sve, tada su svi umrli;
2CO.5.15	 a on je umro za sve da oni koji žive ne bi više živjeli sami sebi, nego onome koji je za njih umro i uskrsnuo.
2CO.5.16	 Zato od sada ne poznajemo nikoga po tijelu. Ako li smo i poznavali Krista po tijelu, ipak 
2CO.5.17	 Stoga, ako 
2CO.5.18	 A sve 
2CO.5.19	 to jest, pošto je Bog bio u Kristu i pomirio svijet sa sobom, nije im uračunao njihove prijestupe, već nam je predao riječ pomirenja.
2CO.5.20	 Sada smo dakle poslanici za Krista. Kao da 
2CO.5.21	 Jer ga je on učinio grijehom za nas, 
2CO.6.1	 Sada, kao 
2CO.6.2	 (Jer on govori: “Uslišao sam te u pravo vrijeme i pomogao sam ti u dan spasenja.” Evo, sada 
2CO.6.3	 Ne pravimo ni u čemu nikakvu smutnju, da se ne bi naša služba proglasila krivom,
2CO.6.4	 nego u svemu sebe pokazujemo kao poslužitelje Božje: u velikoj strpljivosti, u nevoljama, u potrebama, u tjeskobama,
2CO.6.5	 pod udarcima, u tamnicama, u bunama, u naporima, u bdjenjima, u postovima;
2CO.6.6	 u čistoći, u spoznaji, u strpljivom podnošenju, u dobroti, u Duhu Svetome, u nepatvorenoj ljubavi,
2CO.6.7	 u riječi istine, u snazi Božjoj, oružjem pravednosti zdesna i slijeva,
2CO.6.8	 po slavi i sramoti, po zlom i dobrom glasu; kao zavodnici, a 
2CO.6.9	 kao nepoznati, a 
2CO.6.10	 kao žalosni, a uvijek radosni; kao siromašni, a mnoge obogaćujemo; kao oni koji nemaju ništa, a 
2CO.6.11	 O Korinćani, usta su nam otvorena prema vama, srce nam je rašireno.
2CO.6.12	 Nije vam tijesno u nama, ali je tijesno u vašoj nutrini.
2CO.6.13	 A kao uzvrat za to isto, ja kao 
2CO.6.14	 Ne budite neprimjereno ujarmljeni zajedno s nevjernicima. Jer kakvo zajedništvo ima pravednost s nepravednošću? Kakvu zajednicu ima svjetlo s tamom?
2CO.6.15	 A kakvu slogu ima Krist s Belijalom? Ili kakav udio ima onaj koji vjeruje s nevjernikom?
2CO.6.16	 A kakav sporazum ima hram Božji s idolima? Jer vi ste hram živoga Boga, kao što je Bog rekao: “Prebivat ću u njima i hoditi s 
2CO.6.17	 Stoga izađite iz njihove sredine i odvojite se, govori Gospodin, i ne dotičite nečisto i ja ću vas primiti.
2CO.6.18	 I bit ću vam Otac, a vi ćete mi biti sinovi i kćeri, govori Gospodin, Svesilni.”
2CO.7.1	 Budući dakle da imamo ova obećanja, ljubljeni, očistimo sebe od svake ljage tijela i duha usavršavajući svetost u strahu Božjem!
2CO.7.2	 Prihvatite nas; nikoga nismo povrijedili, nikoga nismo iskvarili, nikoga zakinuli.
2CO.7.3	 Ne govorim 
2CO.7.4	 Velika 
2CO.7.5	 Jer i kad smo došli u Makedoniju, naše tijelo nije imalo spokoja, nego smo podnosili nevolje na svaki način: izvana borbe, iznutra strepnje.
2CO.7.6	 Ali Bog, koji tješi potištene, utješio nas je Titovim dolaskom.
2CO.7.7	 I ne samo dolaskom njegovim nego i utjehom kojom se utješio zbog vas. Izvijestio nas je o vašoj čežnji, vašem tugovanju, vašem žaru za mene, tako da sam se još i više razveselio.
2CO.7.8	 Jer iako sam vas ražalostio pismom, ne kajem se. Premda sam se raskajao; jer vidim da vas je poslanica ožalostila, makar za neko vrijeme.
2CO.7.9	 Sada se veselim, ne zato što ste se ožalostili, nego zato što ste se ožalostili na pokajanje; jer ožalostili ste se na pobožan način, da od nas ni u čemu ne budete oštećeni.
2CO.7.10	 Jer žalost koja je po Bogu uzrokuje pokajanje na spasenje za koje se ne kaje, a žalost ovog svijeta uzrokuje smrt.
2CO.7.11	 Jer gle, samim time što ste se na pobožan način ožalostili koliku je brižljivost to prouzročilo u vama, pa 
2CO.7.12	 Stoga, iako sam vam pisao, nije 
2CO.7.13	 Zbog toga smo se utješili vašom utjehom, i još smo se više razveselili zbog Titove radosti jer je radi vas bio okrijepljen njegov duh.
2CO.7.14	 Jer ako sam mu se što zbog vas pohvalio, nisam se postidio, nego kako smo sve o vama govorili u istini, tako se i naša pohvala koju sam 
2CO.7.15	 A njegova je srdačnost još obilnija prema vama kad se sjeti poslušnosti svih vas: kako ste ga primili sa strahom i drhtanjem.
2CO.7.16	 Veselim se stoga da se u svemu mogu pouzdati u vas.
2CO.8.1	 Štoviše, braćo, želimo da znate za milost Božju koja je predana makedonskim crkvama:
2CO.8.2	 kako je u velikom iskušenju iz nevolje njihova izobilna radost i njihovo krajnje siromaštvo obilovalo bogatstvom njihove darežljivosti.
2CO.8.3	 Jer 
2CO.8.4	 moleći nas s mnogo usrdnosti da bismo primili dar i 
2CO.8.5	 I to 
2CO.8.6	 Tako da smo zaželjeli da Tit kao što je započeo, tako i dovrši u vama i tu istu milost.
2CO.8.7	 Stoga, kao što u svemu obilujete 
2CO.8.8	 Ne govorim ovo po zapovijedi, nego ispitujem, prema revnosti drugih, i iskrenost vaše ljubavi.
2CO.8.9	 Jer vam je poznata milost Gospodina našega Isusa Krista koji, premda je bio bogat, radi vas je postao siromašan, da biste se vi njegovim siromaštvom obogatili.
2CO.8.10	 A u tome 
2CO.8.11	 Sada dakle dovršite 
2CO.8.12	 Jer ako najprije postoji dobra volja, 
2CO.8.13	 Jer ne 
2CO.8.14	 nego po jednakosti, 
2CO.8.15	 kao što je zapisano: “Onaj koji 
2CO.8.16	 Ali neka 
2CO.8.17	 jer je doista prihvatio poticaj, ali pošto je bio jako gorljiv, dragovoljno je otišao k vama.
2CO.8.18	 A s njim smo poslali brata čija 
2CO.8.19	 I ne samo 
