MAT.1.1	Jisu Khrista David atu ate Abraham sanao pa puhang pahang na jiekka shi. 
JAS.3.11	Tuikung akha chakka ahlum tui lea akha tui shuk kha no ae. 
JAS.3.12	Uleanao ngei oh, theichang kung nga churuphor ra no ae; hana angur kung nga theichang ra no ae, hana chi tuikung ah ahlum tui shukka ngei no ae.
JAS.3.13	Nangei karra atu jong akha na lungsing lunghal thei mee am meh? Amo na ahra maring chang nga dang pi shu oh. Matullu lu juija lungnem akha chu malungsing tolla ae shu oh. 
JAS.3.14	Chutiweta ejong nalungsunga anar donna lungkha kha ah nathei chak tarang nga hal ta lea chu nathei nasing hana chou thukka pak ae no oh. 
JAS.3.15	Hajong lungsing ha wanram tieng thou jung ah no ae; naha chu aleiram muihla tol no dijabol ngei ta sha ae. 
JAS.3.16	Chuna hoija amunt na anar lea matarang nga chak hal mee am na ah eheilim pa ahra shuk kang no ae hrano na shi ange. 
JAS.3.17	Chutiweta wantieng nga lungsing chu masha ah athieng ang nge eheilim ma; hana dai kom dai ange tonpi kom tonpi chak kang nge; hana lungshi theina shihakti ange hana ahra tullu luk kange; hana ahra sha lea meelung olpi am mang no ae. 
JAS.3.18	Adai pe ngeina phun na houphur adai muchi haithou wa ahra ha lukkange.
JAS.4.1	Nangei sunga shulhlak halhlak akha chu trongjet hlak lim hi hoitieng nga phao ah meh? Mani ha chu nangei na ariem ahoi dit lei ah shukkae. Atreem am no lutta nangei sunga shul hlakka am chou ae. 
JAS.4.2	Pot hata nangei na leima di sho chau, chutiweta nang na chu pha nea nie jo weh chuna pa chu nangna trongjet hlakka shul hlak so ae. Hana leima madit jarra nang na that sho. Nang na nadit pot ha nang na pha no che ae, rouram chu nang na Chungthieng kolla nie no che ae. 
JAS.4.3	Hana naniek juija kom nang na pha no che, rouram chu nangei lunghal ha hrano ae, nang na naniek chu nathei chak ka ahoi rang nie che ae. 
JAS.4.4	Ngoiring thei no malmashi ngei oh! Siemlei ram ma tonpi sha ngei hi Chungthieng ta anda mee ae dang no wa che? Chuna atujong akha na siemlei hita tonpi sha lea chu amo matak mak na Chungthieng ta anda mee ae. 
JAS.4.5	Jieksha rou trong hi adiek no ae ta hal no oh. “Chungthieng na ani sunga shi muihla hana anarra am meh.” 
JAS.4.6	Chuna Chungthieng jaihra na lella rattekkae jieksha rou na rilla shi ae, “Chungthieng na chouthuk mee ta harra shi ae, chuti weta noluk mee ta chu lungshi pi ae.”
JAS.4.7	Chuna Chungthieng kolla ripta pe oh, hana hrano ta jullo. Hana chu amo na nakol hai thou wa tan na thing ang nge. 
JAS.4.8	Chungthieng am na nei ah wa oh amo na kom nakolla nei ah wa ange. Pak chel ngei oh nakut ha hrabakta shilla hou oh! Ahra sa ngei oh nangei lung ha thieng pi oh! 
JAS.4.9	Aol jaishi shukka am mo, au wa trappo! nangei anui hana atrap wulpi oh nangei ariem hana ningshi ninghrul changpi oh! 
JAS.4.10	Arengpu maikunga natak na nolokka amo hana amona nangta dom ma kallange.
JAS.4.11	Kalungshit ulea nao ngei oh nangei akha lea akha meeral ril hlakno oh, atujongpa na Khristen ulea nao sunga meeral ril akha chu amo ta routreem lea chu rouphun ta meeral rillea akha chu rou ha treem meh. Nang na rouphun routreem lea chu nang ha rouphun jui mee ha anijo che ae Chutiweta routreem pa so che ae. 
JAS.4.12	Chungthieng chakkae routreem ae rang akha chu rouphun pe pa ha. Amo chak na san kom san pi nea ae hana tui kom tuipi nea ae. Chuna natonpi akha ta routreem nang ha chu atu inge ta halla am ma che?
JAS.4.13	Karou hi ngei oh, nang na hita rilla am che ae, “Awoni ano lea atukka hupi alok akha ah thing nga amunt hana akum akha te sunga sumlo thumlo thing weta sum leima choi ang nge.” 
JAS.4.14	Atukka naringchang ejongpa shukkang dang no che ae! naring chang chu meihut na apha atan te ri pi phur weta mang jongpa ae. 
JAS.4.15	Nang na narillang chu hi ae: “Ejong nga ka rengpu na lungshi pi lea chu kani na ringlei ah na hi ae, oh ano lea ha pa ae ange.” 
JAS.4.16	Chutiweta atun nang na chu lok chokka namur lokka am che ae hajong lim ha dieklou ae.
JAS.4.17	Chuna, atu jong akha na ahra tullu dang weta tullu changa ae no lea amo ha danga danga pakkae.
JAS.5.1	Hana atun nangei achongpu ngei oh karil ngei jou oh trappa akha chu thi tah wo nangei chunga aol phao ang ha. 
JAS.5.2	Nanei adon ha thu hap so ae, nangei pun dier ngei bom leithana bak hap so ae. 
JAS.5.3	Nata sona rupa ngei kom thirek na hlum so ae, chuna hi thirek hina meelung ngir changa nangei pum lim mei na bakhap pange chuna atum mang tienga nangna hijong anei adon homma shi sho che ae. 
JAS.5.4	Nang na nalou wa tullu lu ngei ta lom mant pe no che ae, mani roukat kom thei pi no che ae nalou wa muchi hom ngei trap ha ene nea Chungthieng kurra thei sho ae. 
JAS.5.5	Alei ram ma naring chang hi adi apam na shi hek ti so ae. Athat ranga nangna natakta nolpi sho che ae. 
JAS.5.6	Nangna meeta neinunt pe ah aral am no ngei ta that che ae mani na nangta ham nea no ae.
JAS.5.7	Uleanao ngei oh adongthei oh Rengpa jung ma lim. Anno lou ae pana amant tam muchi bal na lukranga amo na hakka am meh, kum ru shur ma lim ma. 
JAS.5.8	Nangkom hahekta dong ratto, wanga nalung denna am moti chu Rengpa jung rang ha nei sho ae.
JAS.5.9	Nangei akha na akha chunga rouwuk hlak no oh, chuti lea chu Chungthieng na nangei ta routreem mang no ae. Routreem pa hi shuk ranga nei ah am so ae. 
JAS.5.10	Uleanao ngei oh angei thei oh, Rengpa minga rouril phur rouphu ngei ha. Mani aol ana dongphur ha nangei kom chu oh. 
JAS.5.11	Kani na manit jaihra mee ae ta kokkunge rouram chu mani ha adong ratte. Job hana adong rat ha thei sho chou ae, hana atreem na ah areng na amota alo pe moti ha nangei na dang chou ae. Rouram chu rengpa na lungshi thei ringrei thei na shi hakti ae.
JAS.5.12	Hina lim chunga, uleanao ngei oh nangei na rouren na saro ei no oh awon akha chu aleiram adang adang rilla rourean no oh. Nangna oh weh ti lea oh ti oh, ngeinong ti lea ngei no oh. Chuti lea chu nang Chungthieng routreem thuija wa ang no ae. 
JAS.5.13	Nangei karra atu jong akha na olla am ma meh amona nie shu oh, atujong na ariem ma meh, amo na adom na lah sha shu oh.
JAS.5.14	Atujong akha na ana asha pha am ma meh, amo na chuneh ulien ngeita kokka, mani na mataranga nie shu oh akha chu reng minga siriek noi pi shu oh. 
JAS.5.15	Hitta ngoiringa niek hana ana mee ha adam pha ange, Rengpa na mapum ha woiha lea hra pi ange akha chu pak ma ae ha kom shilpi ange. 
JAS.5.16	Chuna sharukka nangei akha lea akha pak ril shuk hlakko akha chu akha lea akha taranga nie pi hlakko. Ahra mee hana niek chu ehekta jaitha pha ange. 
JAS.5.17	Elija kom ani hekti akha ae. Amo na shilung thienga ru shur no rang niekka aleiram ma kum thum lea hlaruk ru shur no ae. 
JAS.5.18	Woiha lea ah amona niek juija wan hai thou wa ru shurra aleiram na muchi balna eja ra pi ae.
JAS.5.19	Uleanao ngei oh nangei karra akha na adiek hai thou wa numatukka amjuija adang akha na amo ta woiha lea ah rui phao lea chu, 
JAS.5.20	Na hi nangei na makno oh; atu jong na pak chel akha ta dieklou hai thou ruija phao lea chu pak chel muihla ha athi hai thou wa sanpi ae akha chu pak lim silpi ranga marama sha ae.
1PE.1.1	Jisu Khrista hina arui Pitarna Pontus, Galatiya, Cappadocia, Asia ah akha chu Bithynia, ram shunga hu tanna am chok chai ah am ngei Chungthieng na ahal sa mee ngei. 
1PE.1.2	Anipa Chungthieng na nangta ahal anu jui ah akha chu manita athieng muihla na thieng piah, Jisu Khrista aril atrong jui ah, mathee hana thieng pisowe.
1PE.1.2	Chungthieng hina lungsit akha chu adai ha shihakta nangei kolla am su oh.
1PE.1.3	Ani limpa Chungthieng akha chu ani Rengpa Jisu Khrista mapa ta ariem ma dom eiyo! Maram chu Chungthieng na lungsit pi yarra Jisu Khrista ta athisa heithouwa ringthou pisowe, ani limta athar ringchang pepiya, thilou lungrang ani shilung sunga si pi ae. 
1PE.1.4	Chuna sarukka ani maitinga, am, Chungthieng hina yaihra atam pharanga, Chungthieng na amota ngoiring ngei taranga mangang lou amunt ahoi thangwan ram ha sempi so weh. 
1PE.1.5	Chungthieng hina arat athei ma ae nea hana, atreem ni rungniya ripiranga sem mashi aring keto hina tarang, ngoiring hina yarra nangeita sum runga am meh.
1PE.1.6	Atun apha atite sunga, kanan ranga alea chu, adang adang tinga nangeita hlem ma ol halkom, nangeina ariem muh oh. 
1PE.1.7	Mani na ahal chu nangei thieng ngoiring ha ae. Mang ang sona phaowa meiya ro weta chang ann ae, nangei ngoiring hachu sona ta lella aman tamtekke chuna nangei ngoiring kom chetta ngoiringa mota chang an nange. Hana Jisu Khrista na anita ripini rungni ah, nangeina adom akha chu ajak ati mee akha pha enge. 
1PE.1.8	Nangei na mitta ripha nohalkom amota lungshi chou weh, nangeina mitta ripha no halkom ngoiring chouwe. Chuna nangeina murra ril shuk nea no makhei ariem mu oh. 
1PE.1.9	Maram chu namuihla ha aring keto pha ha, Chungthieng ta nangoiring anu jui ah ae.
1PE.1.10	Aring keto hina sarukka nangeina pharang rouphu ngeina humma baija jonga, Chungthieng na pekkang khuthul hina maram ma rouphu ngeina ril phurre. 
1PE.1.11	Khristana aol dong ngan makhei akha chu hina heithouwa, anutinga mahung majai pharanga, mani sunga am Khrista hina muihla hana roungir pi weta, rilla houp hursha ha, eyong eyongpa apha ah shuk kanga mo tihi, manina yong phurre weh. 
1PE.1.12	Chungthieng na matrongsan sui thing ngeita ri piphurre, hachu manina matak taranga ekom hal no lutta, nangei taranga roulam eya ngeihi ae ah houphur so weh tihi manita rilla houphur so weh, atunchu rilla houphur tong san hi thangwan ramma heithou hla athieng muihla na ahra tronglam suithing ngei yarra, nangei kolla ril shuk so weh, roulam ngeihi wanrui ngei kom shilung lutta dang num meh.
1PE.1.13	Chuna sarukka shilung lingnolutta am mu oh, chuna sarukka Jisu Khrista ta ripiyuiya, nangei yaihra meelung ngir ah danga am mo. 
1PE.1.14	Chungthieng ril trong jui oh naring chang ha amathing nga na dang no lei hek ta adit apam ma theng pi no oh. 
1PE.1.15	Chuna hutta nangeita kokpi Chungthieng amona thieng hekta, nangei tak kom, nangei lu tullu lim pa kom thienga am manga ae. 
1PE.1.16	Chuna athieng Chungthieng tronglam na rille, nangeina thieng ngao oh maramchu kei thieng inge.
1PE.1.17	Akhachu mee chang sangkal an no lutta mee changhon hinna tullu anu jui ah routreem pi Chungthieng amota nangeina Apa kok talachu, nangeina simlei hina ringa am leiya Chungthieng ta ajak ati ah thingo. 
1PE.1.18	Maram chu sona anole rupa manga ngai pot hek anolutta, napa napu haithouwa ae ah houphur hrano tullu eja limta hla ah houpi ha nangei na dange, 
1PE.1.19	Ha chu ahur ati akai am lou kelmo nao hekti Khrista mathit pi jarra ae. 
1PE.1.20	Khrista hi simlei ram sem ma ting hei thouwa Chungthieng na amota hal su so weh akha chu hi atreem ni rungniya nataranga ri pi so weh. 
1PE.1.21	Makol heithouwa nangna Chungthieng ta ngoiring soche ae, amona athisa heithouwa ring pisowe akha chu amona ariem ahoi kom pe pisowe, chuna na ngoiring akha chu nalungrang lim, Chungthieng ta den na am meh. 
1PE.1.22	Atun adiek rou nujuija thiengso chou ae, akha chu nangei tonpi thanrui hitta shilung thienga lungshit hlakang pha so ae. Chuna shilung lutta akha lea akha lungshi hlak ka am mu oh. 
1PE.1.23	Ti chu aring akha chu atreem amlou Chungthieng trong sanna thi ang lou manupa ngei sanao chunga lea ah don so che ae. 
1PE.1.24	Athieng tronglam na hita rille,
1PE.1.24	“Malmashi limpa hi rampa hek ti ae, akha chu mani ahoi ahra lim ha aponna reipar hek ti ae.
1PE.1.24	Rampa na charrae, akha chu reipar na tui ae,
1PE.1.25	chutiweta Chungthieng hina tronglam chu
1PE.1.25	atreem nainowa mang no lutta amange.”
1PE.1.25	Nangei kolla arilla am hi Ahra Trongsan ae.
1PE.2.1	Chuna hrano lim, ahra sangei, anar shilung don ngei akha chu nuisho shimso trong eya lim hla ah houweta litta thingo. 
1PE.2.2	Naosan hekta apha chang honna athieng muihla salom ta ralla ammo. Chuna na ha een jou weta alin ashai shukka sanpi pha ange. 
1PE.2.3	Athieng tongsan hina ril chu, “Nangna arengpu hi eja ah lungshi thei meh ti ha nangna dang so che ae”.
1PE.2.4	Mee ngei nachu routak ka denga housa, chuti weta Chungthieng kolla chu ahal sha aman ehekta tam aring alung, rengpa Jisu kolla nangeina wa ah am chouwe; 
1PE.2.5	Jisu Khrista hina yarra Chungthieng na ngaipiya, muihla taranga kat ranga, athieng thiempu akha chang ranga, nangei natakha a ring lung chunga, muihla tarang inn shakrang chango. 
1PE.2.6	Athieng tronglam na hita ril ae,
1PE.2.6	“Zion heithouwa innky alung, ehekta aman tam keina halla shi inge;
1PE.2.6	akha chu atu yongpana amota ngoiring lea chu etikkom ningshi ninghrul pha ang no weh.”
1PE.2.7	Chuna aman tam alung hi amota ngoiring ngei taranga ae; chuti weta amota ngoiring no ngei tarang chu hiyongpa ae:
1PE.2.7	“Inn sha ngeina kanna niyo weta ahousa alung
1PE.2.7	hamakna aki ah, inpi changa ngir pi ae.”
1PE.2.8	Athieng tronglam akha nakom rillea,
1PE.2.8	“Hi alung hina ae mee ngei ta kae mathui shuk pi ang,
1PE.2.8	ha sum lung hana manita tupi ange.”
1PE.2.8	Manina kae mathui ae maram chu mani na tronglam hatta ngoiring no ae; Mani tarang Chungthieng na hal chu ha sha ae.
1PE.2.9	Chuna sarukka nangeita athim heithouwa Chungthieng hina angakpi mawar hana kokpi ah, Chungthieng hina ma ae nea angakpi eya lim nangeina rilla shuk ranga, ahal mee, ngeita lamkai thiempu ngei, athieng jaty, nangei ha Chungthieng hina mamee ae. 
1PE.2.10	Amatinga chu nangei, Chungthieng hina mee chang houphur no weh, chuti weta atun chu Chungthieng mamee akha ah so che ae; Amatinga Chungthieng lungsit ha nangeina dang houphur no chou weh, chutiweta atun chu Chungthieng lungsit ha nangei pha so chou ae.
1PE.2.11	Kalungsit katongpi kathanrul ngei oh, nangei hi shimlei ramma hullang phao mee ngei hekta rilla am minge, pum na dit nu jui no oh ti chu apha chang honna muihla ral ae ah am meh. 
1PE.2.12	Nangeita hrano ae mee ngei ae ta nangei chunga adang jati ngeina ril hlak hana, manina nangei ahra lu tullu anweta, Chungthieng jung rungni ah domrang, nangeina mani maikunga ahra lamma thingo.
1PE.2.13	Rengpa maram sharukka ane angam thuija akha chu, loktek ti lamkai thuija dongo. 
1PE.2.14	Hrano tullu lu mee ngeita routreem akha chu maral lak ranga akha chu ahra tullu lu mee ngeita wanga domrang Chungthieng na aram aram changhonna simlei chunga luching ngeiha hal pi ae, hana mani ril trong jui ah thing nganga ae. 
1PE.2.15	Chuna ahra bakta nangeina tullu lu nea ranga, dang no thei no mee ngeita hrabakta anpi tihi Chungthieng na aditte. 
1PE.2.16	Ariem ahoi ah, am mo, chuti weta ahoi jui apha ah hrano ta wurra shi no oh, Chungthieng hina kor ngei hekta ringa am mu oh. 
1PE.2.17	Malmashi limpata ajak ati oh, Ngoiring ulenao ngeita lungshi oh, Chungthieng ta ajak ati oh, akha chu nangeita lamkai ta ajak ati oh.
1PE.2.18	Mee suuk ngei oh, nangei mitpu thuija ajak atri ja amo hana nangeita ringrei ngei chak anolutta ringrei thei lou ngei thui ja kom dongo. 
1PE.2.19	Maramchu Chungthieng ahal thuija am ma nangna pha phung shukno aol dong lea chu, hina taranga Chungthieng na jaihra pe shu oh. 
1PE.2.20	Chuna nangei na dieklou tullu lu ah aphit arit tukka donga lea chu e-ahra shukka meh? Chutiweta nangna adiek tullu taranga aol donglea chu Chungthieng na nangta jaihra pe ange. 
1PE.2.21	Maramchu hiphao sunga nangeita kokpisowe, nangeina Khrista ta kae mun shakka yuinea ranga, Khrista na aol donga nangei kolla ripi dang pisowe. 
1PE.2.22	Khrista chu etikka kom pak ae no weh, akha chu mamur heithouwa hrano tronglam, adiek no rou ril kom atu na kom theipha no weh. 
1PE.2.23	Khrista ta lungsha ah anina rilhalkom, amo nachu lesirra lungsha trong lo shang no weh; Khristana aol dong jui apha ah, mani ta lea ah lungsha atrie pi ae phur no weh. Chutiweta adiekka routreem ae rengpana, makolla heithou wa adiek ha pe piya am meh. 
1PE.2.24	Pak lam tinga thi ang sa anina adiek tienga ring ranga, Khrista matak makna khross chunga ani pak limpa choiya thing pisowe: amona alem akui pha sharukka nangta dompiphur so ae. 
1PE.2.25	Chuna nangei chu kemo nao ngei hek, ta numa tukka am meh chuti weta atun chu kelmo shelpa akha chu maihla rungpa kolla lea so chou ae.
1PE.3.1	Chuna chu hekta nangei namei ngeina apishal ngei thuiya, ammo, mani sunga atujong akha na Chungthieng trong juinohal akha chu Chungthieng tronglam rilnohal nangei ahra shimshak hana mani ta ahra lam tienga ruine ange. 
1PE.3.2	Maram chu mani na nangei shimshak hi eja ah thienga meh akha chu ajak atri pi ah meh dangpha ae. 
1PE.3.3	Nangeina ehekta amel ahrat ranga simlei hina ahra pot, sona, rupa akha chu ahra pun ni shenga, awao wa chak ahrat ranga chang pi no oh. 
1PE.3.4	Chunahutta nangeina simlei adiek ka shilung sunga adai akha chu lungnem ma, muihla taranga pun dir shenga changpi oh, nahi Chungthieng kolla ehekta aman tam meh. 
1PE.3.5	Chuna amatinga Chungthieng ta chetta ngoiringa am ehekta thieng namei ngei nakom mani pishal ta ajak atri ah pun dir sheng hekta apishal thuija am meh. 
1PE.3.6	Sarah nakom apishal, aril atrong jui ah amota rengo ta kokkae, nangei na ahra ae leilim mashanao nu ngei ae. Chuna eko atrie rang am no ae.
1PE.3.7	Chuhekta, nangei apishal chang ngei oh, nangei namei ngei itta ahrabakta lungrang tul hlakka amanga ae, maramchu mani na tolteke mani ta ati ajak pe oh, maramchu mani kom nangei hitta munt ha ah Chungthieng pek ring chang pha ha ange. Chuna nahi ae oh ha ti lea chu nangeina aniek limma ahan amang no ae.
1PE.3.8	Atreem na ah; nangei limpa shilung akha chakka, lungrang tulla amha manga ae, ule nao ngei hekta akhale akha lungshi hlak ko, akha chu ringrei ngei akha chu shilung nem ma am mu oh. 
1PE.3.9	Hrano ae mant hi hrano ah lepi no oh, sarkou halkom nang chu sarkou alea no oh, chuna hutta yaihra pi oh. Maram chu Chungthieng na nangeita kok phur hi, yaihra pek ranga kokka ae. 
1PE.3.10	Athieng tronglam na hita ril hekta,
1PE.3.10	“Atu yongpana ahoi ringchang pha num
1PE.3.10	akha chu ahra rungni ri num lea chu, hrano trongril chan shu akha chu
1PE.3.10	murthei trong trongno su oh.
1PE.3.11	Amoha hrano ha hla hou weta,
1PE.3.11	ahra ae shu oh;
1PE.3.11	amoha shilunga adai pharang yong su oh.
1PE.3.12	Chungthieng na adiek ae mee ngeita runga am meh
1PE.3.12	akha chu mani niek lim Chungthieng na
1PE.3.12	theipi ae; chuti weta hrano ae mee ngeitachu
1PE.3.12	Chungthieng na anda ae.
1PE.3.13	Chuna nangeina ahra tullu hi shilung lutta ae num ta lea chu, atu na hrano ae nea ang meh? 
1PE.3.14	Chuna nangeina adiek ae lei ah aol dong lea eja oh ariem pi meh: nangei na atu yong takom atri no ah akha chu lung ol no oh. 
1PE.3.15	Chuna nangei lung sunga Jisu Krista ta atri ajakka shi oh. Apha chang honna, thei singa am mu oh maram chu atu yongna adiek ngoiring hana maram ma saiyuiya, nangei na hrabakta sang nea ranga apha changhonna tamasha aeya am mu oh. 
1PE.3.16	Chuna shilung daiya akha chu Chungthieng ta atri ajakka matullu ae oh. Khrista kolla nangeina ahra shim shak ae hana nuisho shimso ae ngei manina nangei chunga hrano tronglo rilyui hana nangeita ajak tukpiranga, nangei ahra bakta ahra hrano dang ranga shilung sunga am su oh. 
1PE.3.17	Chuna Chungthieng hina ahal a lea chu, nangei na hrano tullu taranga aol dong rang saruk chu ahra tullu lu weta aol dong pana hratekke. 
1PE.3.18	Chuna Chungthieng kolla nangeita ruiya wak piranga, Khrista nakom mee lim tarang woiha chakha thipisowe; Khristana pum ma amona thipi so weh, hatiweta muihla tinga amona ring so weh. 
1PE.3.19	Muihla changa Khristana thingweta raen inn sunga am mee ngei muihla changa, amona ril pi ae. 
1PE.3.20	Amatinga Noah na ringlei apha ah, kung alok, semma thourang ae am lei ah, Chungthieng na apha sotta hak ka am aril muihla ngei hi ae; kung sunga am mee ngei ahre, hachu mee arit chak na tuipi alok heithouwa kalpi ae. 
1PE.3.21	Tui hana takpiya am chu baptias ae nahi ae, chu ha na atun nangeita kalpi, so ae ani takka hrano achar hi shilpi ranga anowe, chuti weta Jisu Khrista na ringa thou yarra, Chungthieng lam tinga ahrabakta ahra hrano dang ranga lung ngirra sa ae. 
1PE.3.22	Khrista chu awan ram ma kalla thinga Chungthieng chang tinga am meh; wanrui ngei, akha chu wantienga ane arat ngeilim, mathuiya am meh.
1PE.4.1	Chuna Khristana pumma aol dong piphurra, nangei kom akhale akha arat shukka, lungtulla am mo, maramchu aol dong sa mee hana pak lamtinga, hrano hana neang no weh. 
1PE.4.2	Chuna atun heithou wachu nangeina simlei hina adit apam anu jui ah ring no lutta, limma am ringchang hi Chungthieng ahal thuiya ring ngan nga ae. 
1PE.4.3	Maramchu simlei chunga ani adit, ariem ahoi, yurui, hrano shimshak adi apam, een bakka am ngei akha chu thingkung, lungkung ta mokka, na tullu lim pahi nangeina jui ah thinghou so weh. 
1PE.4.4	Atun chu adang Jatti ngeina ehekta angak shuk kange, maram chu nangeina mani hrano lamtinga yuinowa, hla ah thing jui ah akha chu manina nangei kolla tongshi kom thiya rillange. 
1PE.4.5	Manina ringa am ngei takom thisusa ngei takom routreem ae ranga thourang ae ah am Chungthieng mai kunga mani maram lim rilshuk kang ae. 
1PE.4.6	Hina sarukka muihla ah athi sha ngeita muihla ring ranga pumma routreem ma Chungthieng ahra tronglam sham phurre.
1PE.4.7	Chuna sarukka pot limpa atreem mang ha naisowe. Nangei lung mant na thei singa, ammo akha chu nie theija am mo. 
1PE.4.8	Eheilim chunga, akha lea akha lunglutta lungshi hlakko, lungshi hlak na pak eyalim ta wurre. 
1PE.4.9	Nangei akha lea akha ta ngaishi ngeida am no wa bakpi ennpi thei oh. 
1PE.4.10	Mee chang honna khuthul pha anu jui ah, nangei sunga Chungthieng hina ahra matullu lu mee ngei hekta akha lea akha san hlak ku oh. 
1PE.4.11	Atu yongna rilnum trongnum halkom Chungthieng hina tronglam hekta ril trong su oh, Chungthieng na pek arat athei hana, tullu ahra bakta lu su oh, chuna eheilim ma Jisu Khrista mayarra ariem ma dom ranga ae. Khrista kolla atreem naino ariem ahoi akha chu ehekta arat athei eya lim makolla am meh. Amen.
1PE.4.12	Kalungsit tonpi ngei oh, nangei kolla adiek, ngoiring amranga nangei kolla aol pha jui ah, eyongpa angak tul shuk no oh. 
1PE.4.13	Lella tieng ariem mu oh Khristana aol dong ha nangei kom pha tol chou ae. Chuna Khristana mahung majal phu ah ripijui ah na ngai ariem na shi ang nge. 
1PE.4.14	Nangeita mee na Khrista nu jui mee ae ta ajak pe lea chu nangei ha yaihra ae; maram chu athieng Chungthieng Muihla na nangei chunga solha ah am meh. 
1PE.4.15	Ejonga nangei na aol dong ha meethat mee, aruthei mee, anolea chu adang vokno hrano chuna chunga athei asing sha sarukka changpi no oh. 
1PE.4.16	Chuna sarukka nangei na Khristen akha chang maram ma aol dong lea chu, ekom ajak no oh, chuti weta Chungthiengta dommo maram chu Khrista minga nangei na ron nea.
1PE.4.17	Maram chu Chungthieng routreem hi ma inn shung hai thou thou rang apha waso weh, chuna naha ani kolla masha ah thouta lechu, Chungthieng hina ahra tronglam ta juino mee ngei tarang atreem niya e shuk kanga meh? 
1PE.4.18	Athieng tronglam na hita rilla si hekta,
1PE.4.18	“Ahra mee ngei phaowa sanpiranga ae lea chu
1PE.4.18	Chungthieng ta ngoiring no jaishi ngeita chu
1PE.4.18	hoija am mang meh?
1PE.4.19	Chuna Chungthieng ahal la aol dong ngei ha sempi mitpu ahra tullu lu ranga mani matak makha channo wa pea shu oh.
1PE.5.1	Abom shunga ulien akha changa nangei karra am ulien ngeita dangpi inge Khrista na aol ana dongha malungrang, akha chu mahung maja phu shuk juija keikom pha tollange. 
1PE.5.2	Keina nangeita rilla aminge, Chungthieng na nangta pekphur kelmo avul ha lung lutta selpi rungpi oh, ae num no wa ae anolutta Chungthieng dit anujuija ae oh amant pha rang chak anolutta diekka ae num ma ae oh. 
1PE.5.3	Nangeita hrabakta anrang pek mee ngei hekta mani chunga ane angam changa palno oh, chuti weta avul maija achu rang chango. 
1PE.5.4	Chungtekti kelmo shelpana, jung jui apha ah nangeina tui ang lou awar lubur ha nangeina pha ange.
1PE.5.5	Hahekta nangei naopongei na ulien chang ngei thui dongo. Nangei limpa shilung riemma akhana akhata san hlakko: maramchu Chungthieng na lokchok ti ngeita ngai no weh, chuti weta shilung nemma amngeita chu lungshi pi ae. 
1PE.5.6	Nangei na Chungthieng arat changban thuija lung nemma ammo. Amona acha apha pha juija nangta lokpi ange. 
1PE.5.7	Nangei ol lim ha ma kolla jungna pe oh, amona na nangeita runga am meh.
1PE.5.8	Nangeina thei singa, adong akhang ratta am mo, nangeita anda mee, hrano Saitanha nangei kolla sora ramma huishar ae ah, atu yongkhata bak ranga yonga am meh. 
1PE.5.9	Nangei ngoiring ha chetta ngirra, hrano hata nepi no oh, maram chu ha jongpa chap mana aol ana dongha, simlei chunga am nata ulenao ngei kolla kom eyong aol ana shuk sha so weh tihi nangei na dango. 
1PE.5.10	Chutiweta Rengpa hina atreem naino mahung majai hina tarang, Khrista kolla nangeita kok hana, lungshi thei Chungthieng amo makna, nangeina apha atante aol dong weta, nangeita rakit phapiange, chetta ngir piange akha chu sanpi ange. 
1PE.5.11	Chungthieng arat athei, ma ae nea hana atreem nainowa pal su oh. Amen.
1PE.5.12	Keina nangei taranga hi abai bong matta, thacha ah ngai Sillas yarra jiek singe. Keina nangeita thasi thadok am no rang akha chu adiek Chungthieng hina lungshit yaihra meelung ngir peya aminge. Nangeina adiek ka lingno lutta chetta ngirro.
1PE.5.13	Babylonna am Chungthieng na ahal sanuna akha chu Kasanao pa Mak na nangeita ningsinga mokka am meh. 
1PE.5.14	Lungshi hlak itta munha ah akhana akhata ajak atiya mok hlak ku wo.
1PE.5.14	Khrista kolla am nangei limpata adai na shi su oh.
2PE.1.1	Jisu Khrista hina suuk akha chu arui Simon Pitarna anipa Chungthieng sanpipa Jisu Khrista diektek Jarra amantam ngoiring pha-ah amngei kolla:
2PE.1.2	Chungthieng akha chu Jisu Khrista ta nangei dangthei jar hana malungsit akha chu adaiha nangei kolla sihakta am su oh.
2PE.1.3	Maram chu Chungthieng hina arat ae nea, akha chu mahung majai akha chu ahra hana anita kokpiya rengpata adiek ka dangnga, aringrang akha chu Chungthieng ta ngoiring ranga eheilimpa ha anita pe pi so weh. 
2PE.1.4	Atripi Chungthieng hina matik mawar akha chu mata arat hana yarra arillang am no mahei alok vuthul eya lim pe pi so weh; chuna hina yarra nangeina simlei ram hina boron bontai lim, hlan na thingweta yairha chang neranga ae. 
2PE.1.5	Chuna hina sarukka nangeina ngoiring hi chunga arha lohranga narat mahei angam ae-oh, nangei ahra hana chunga thinwar lol oh. 
2PE.1.6	Nangei thinwar chunga natakta netiha lol oh nangei natakta nea hana chunga adong rat lol oh; adong rat chunga atheing lol oh: 
2PE.1.7	Nangei atheing ti hana chunga ulenao lungshi hlak, ha lol oh, nangei ulenao lungshi hlak chunga lungsi ti lol oh. 
2PE.1.8	Chuna na limpa hi nangei sunga sihakta am lea chu mani na nangta ani Rengpa Jisu Khrista maram ma dang hi lal ah anat shukpi ang nge. 
