GEN.1.1	Muga na maki lobo ni rata, a Vure i rata rike a hunu a malala. 
1TH.2.3	I uka ma mete mangenge, a vuhuna a Velenga Kamumu, i uka ma a ngava taminga. I uka ma mete toni ni tami mua. I uka ma mete luhoi ni rata a rabu hale.
1TH.2.5	Mu lohoka vona i uka ma mete tami mua na maka ngava kamumu ni bole dili mua. I uka ma mete tamilalu, mete ge bole kapiloho a moni ne mua. A Vure i lohoka vona, a ngava mete taki i muholi. 
1TH.2.6	Na tahuna mete made vonga, i uka ma mete ngaru e huriki ri gi kavurike mateu. I uka ma mete ngaru mua mu gu kavurike mateu. Bara mete ngaru, bara mete vakuku mua, mu habi ne mateu a maki, a vuhuna mateu a apostolo ne Kristo. 
1TH.2.7	Pali i uka ma mete rata mavonga. Mete made madoru turane mua, i manga a ngatavine i matakari e tuna kiroko. 
1TH.2.8	Mete ngaru hateka mua, lakea i uka ma mete habi kunana ne mua a Velenga Kamumu na Vure, mete habi tabu a hatene mateu lakene ne mua, a vuhuna mete ngaru hateka mua.
1TH.2.10	Na tahuna mete made turane mua e huriki a tara na Vure iene, mete laho malamala turana Vure, mete rata a naro kamumu ne huriki lobo, i uka ma mete ratea tara naro hale. A Vure i lohoka vona. Mua ranga, mu lohoka vona. 
1TH.2.11	Mu lohoka vona mete matakari kamumu mua takutaku, i manga a bakovi i matakari e huriki e tuna. 
1TH.2.12	Mete vara mua, mete luke mua, mete vakuku mua mu gu laho kamumu, ge vivi ne mua a Vure, ra Vure i gale mua mu gu dili na harikia vona, mu gu vaveru vona a bagetuanga vona.
1TH.2.14	Mua e huriki a turagu, a maki i bele ne mua i manga kunana a maki i bele ne huriki a tara na Vure pololilo ne Isu Kristo o Iudea. A nimadihi mu bole na limane huriki a bakovi na tanga ne mua, i manga kunana a nimadihi e huriki o Iudea ri bole na limana e huriki a Iuda. 
1TH.2.15	Re huriki a Iuda, ri rabalaki hosi e huriki a propet. Ri rabalakia e Isu a Bakovi Dagi. Muri ri lili tala mateu vonga. A Vure i uka ma i vivi ne ria. Ri gege e huriki lobo, 
1TH.2.16	a vuhuna ri ngaru ni ta pupukari mateu nahea mete ge vakalongo a Velenga Kamumu ne mua e huriki i uka ma mua a Iuda. Ri koi mu gu bole a nimahuri vakaroro. Ra i mavonga, a naro hale ne huriki a Iuda nga ri vakalipopo ri kupo hateka. Ngane a Vure i madihi a hatena pali ne ria, i pelekado ria.
1TH.2.17	Mua e huriki a turagu, mete dodo hateka na tahuna ni tono tala mateu rira na tanga ne mua. I muholi ri tono tala mateu, pali mete luhoi bala mua. Mete pasimata ni matai tabu mua, lakea mete toni ni hamule ni matai mua tabu. 
1TH.2.18	Mete ngaru ni lakene. Iau, e Paulus, a toni ni lakene balaka kupo. Pali e Satan i pututagu a dalane mateu. 
1TH.2.19	Mete ngaru ni matai tabu mua, a vuhuna mete vivi ne matou. Mu rata mateu mete pasimata ni matai tabua e Isu Kristo a Bakovi Dagi ne hita. Na tahuna i hamule valai, bara si bibi rike a rane mua. 
1TH.2.20	I muholi hateka, mete vivi ne mua, mete kavurike mua na matane huriki ranga.
1TH.3.2	miri rudu lakenea ne mua e Timoti. Ia a turane hita, a vora na Vure ni vakalongo a Velenga Kamumu ne Kristo. Miri rudu lakenea ge vakatora a niluhoi ne mua, 
1TH.3.3	ma ge vakaviliha a niluhoi ne mua a maregoa nga, ra mu dili vona ngane. Mu lohoka vona, a Vure i vulaki hita si gi bole a maregoa nga. 
1TH.3.4	Mu lohoka vona, na tahuna mete made turane mua, mete vakalongo vakaroro mua ne huriki bara ri vakamadihi mua. Mu lohoka kamumu vona i bele pali manga a hini mete taki mua vona. 
1TH.3.5	A lohoka vona muga bara ni vakamadihi mua, lakea a marikoi ni dava tabu. A rudua e Timoti i lakene ne mua, ge vakalongo iau vona mu tabana ni luhoi torea e Kristo, o i uka. A mangenge vona a bakovi ni toni, ma ge toni mua, muri bara i velu tavula a leho dagi ne mateu.
1TH.3.7	Mua e huriki a turagu, ngane mete bole a nimadihi, a maregoa. Pali a velengane mua, mu tabana ni luhoi torea a Vure, i luke mateu. 
1TH.3.8	Mete lohoka vona ngane mu tabana ni pesi tora turane Bakovi Dagi, mete vivi tabu ngane. 
1TH.3.9	Mete kavurike hatekea a Vure, a vuhuna mete vivi hateka ne mua. 
1TH.3.10	Mete vasileki tora vakaroro na Vure ge longo mai a ningaru mateu, mete ge matai tabu mua, mete ge vakatora a niluhoi ne mua.
1TH.3.11	Mete ngarua a Vure, e Tamane hita, turana Bakovi Dagi ne hita e Isu, ru gu kado puru a dalane mateu, mete ge lakene. 
1TH.3.12	A Bakovi Dagi ge rata mua mu gu vangaru hateka tabu, mu gu ngaru hateka tabu e huriki ranga, ge manga a hini mete ngaru hateka mua. 
1TH.3.13	I mavonga, a Vure, e Tamane hita, i uka ma ge padi virihi mua vona tara ngava, bara mu malamala na matana, na tahuna a Bakovi Dagi ne hita, e Isu, ge hamule valai turana e huriki a viri malamala vona.
1TH.4.1	Mua e huriki a turagu, mete vara mua pali mu gu laho navai, a Vure ge vivi ne mua. I muholi, mu laho maea pali. Ngane mete nana tora mua, mete taki mua na rana Bakovi Dagi ne hita e Isu, mu gu ramai vakaroro tabu a maka naro nga.
1TH.4.2	Mu lohoka vona a vinara lobo mete taki mua vona na rane Isu a Bakovi Dagi. 
1TH.4.3	A Vure i ngaru mua mu gu malamala na matana. I mavonga, mu lelerau vona a maka naro na molenga. 
1TH.4.4	I ngaru mu gu pahadanu a ningaru na kakaine mua, mu gu ramai a naro malamala. I mavonga e huriki ri gi togo mua. 
1TH.4.5	Nahea ge turari mua a ningaru na malala, mu gu rata a maka naro na molenga, i manga e huriki ri made na uvo ri rata. I uka ma ri lohoka na Vure. 
1TH.4.6	I mavonga, nahea a bakovi ge tami e turana, ge rata halea, ge tulia e girihina. Mete taki mua pali, e huriki a bakovi ri ratea a naro hale iea e Bakovi Dagi bara i vakamadihi ria. 
1TH.4.7	A Vure i gale hita i uka ma si gi ramai a naro hale. I gale hita si gi ramai a naro malamala. 
1TH.4.8	I mavonga, a viri i longotaroa a ngava iea, i uka ma i longotaro a ngavana bakovi kunana. I longotaro a nitana Vure, ra Vure i habi a Hanu Kiripiripi ne mua.
1TH.4.10	I muholi ngi, mu ngaru hateka e huriki a tara ne Kristo o Masedonia. Ngane mete ngaru mua mu gu ngaru hateka tabu ria. 
1TH.4.11	Mu leho tora ni made madoru, naha ni rahi dili ioe tavula na maki na viri tara. Naha ni made tavula. Mu leho, ge manga a hini mete taki muga mua vona. 
1TH.4.12	Na tahuna mu rata mavonga, i uka ma mu gu taki e huriki ranga ri gi kori mua. E huriki i uka ma ri lohoka na Vure, bara ri togo mua.
1TH.4.13	Mua e huriki a turagu, mete koi mu gu loho lege vona e huriki ri mate pali. Naha ni dodo hateka ria, ge manga e huriki a bakovi a ngatavine ranga ri dodo ria. Re huriki nga, i uka ma ri pasimata vona a parava ne huriki ri mate ri gi mahuri mule na matenga. 
1TH.4.14	Si lohoka vona e Isu i mate, i mahuri mule tabu. I mavonga, si lohoka vona na tahuna e Isu ge hamule valai, a Vure ge rata e huriki ri luhoi tora ia, ri mate pali, ri gi valai turana.
1TH.4.16	E Bakovi Dagi kunana ge puru valai na hunu ge gale tala dagi. A ubu na agelo vona bara i gale dagi, a tavure na Vure bara ni pupu. E huriki ri luhoi torea e Kristo, ri mate pali, bara ri mahuri mule muga. 
1TH.4.17	Muri, bara ni bole rike hita lobo e huriki si tabana koea na malala. Bara si vapopo na hunu turana e huriki ri mate pali, turana e Bakovi Dagi. Bara si made turana na parava vakaroro. 
1TH.4.18	Mu vakalongo e huriki a tara na Vure vona ra ngava iea, mu gu vakatora a niluhoi ne ria.
1TH.5.1	Mua e huriki a turagu, i uka ma mete ge taki mua vona a parava ge bele vona a maka maki nga, 
1TH.5.2	a vuhuna mu lohoka vona pali a parava e Bakovi Dagi ge i hamule valai vona, bara i bele vakaturutu kunana, i manga a bakovi i panaho i bele vakaturutu na rodo. 
1TH.5.3	Na tahuna e huriki ri taki ta ri made kamumu, ta ri made na nivalemu, i uka ma ge tabaka bara i bele vakaturutu ne ria a vuranga. Bara i bele vakaturutu i manga a nimadihi i bele vakaturutu na ngatavine i pahea a koma. Na tahuna a parava iea i bele, i uka tara viri ge lelea.
1TH.5.4	Pali mua e huriki a turagu, a parava iea i uka ma ge vakaturutu mua, ge manga a bakovi ni panaho i vakaturutu a tahona ruma. I uka ma ge vakaturutu mua, a vuhuna mua i uka ma mu made na uvo. 
1TH.5.5	I uka ma si made na uvo na rodo. Mua e huriki a bakovi na haro, a hini palala. 
1TH.5.6	I mavonga, nahea si gi mahita manga e huriki ranga. Si gi matapara, si gi matakari kamumu a nilaho ne hita. 
1TH.5.7	Mu lohoka vona, e huriki ri mahita na rodo. E huriki a bakovi ni ninu a naru vagole, ri ninu na rodo. 
1TH.5.8	Pali hita e huriki a tara na haro. I mavonga, si gi matakari kamumu a nilaho ne hita, si gi luhoi torea a Vure, si gi vangaru. Na tahuna si rata mavonga, i manga si nugu a galeu, i matakari a ngalane hita. Si gi pasimata na Vure ge korimule hita. Na tahuna si rata mavonga, i manga si kube a hineva ge tora, i matakari a gine hita.
1TH.5.9	A Vure i vulaki hita i uka ma ge tahate hita. I vulaki hita, ge korimule hita e Isu Kristo a Bakovi Dagi ne hita. 
1TH.5.10	I mate ge kori hita, lakea hita e huriki si mahuri, turana e huriki ri mate pali si gi made turana. 
1TH.5.11	I mavonga, mu vatuhori a niluhoi ne mua, mu vadorike, ge manga a hini mu rata ngane.
1TH.5.12	Mua e huriki a turagu, mu togo e huriki ri leho hateka ne mua, ri matakari mua na rane Bakovi Dagi, ri vara mua nahea mu gu rata a naro hale. 
1TH.5.13	Mu luhoi a maka leho ri rata, mu togo hateka ria, mu ngaru hateka ria. Mu valemu.
1TH.5.15	Na tahuna e huriki ri rata hale mua, naha ni koli. Na parava vakaroro mu rata a naro kamumu ne turane mua. E huriki polovavo ranga, mu rata a naro kamumu ne ria.
1TH.5.17	Mu vasileki vakaroro. 
1TH.5.18	A ra maki ge bele ne mua, mu kavurike kunanea a Vure, a vuhuna a Vure i ngaru mua e huriki a tara ne Isu Kristo mu gu rata mavonga.
1TH.5.20	Naha ni biu a ngavana viri i rata a nita propet. 
1TH.5.21	Pali mu pelekado kamumu a ngava lobo ne ria. A ngava ge muholi, mu longo mai. 
1TH.5.22	A ngava ge hale, mu malele ha vona.
1TH.5.24	A Vure, ra viri i gale mua, bara i rata a maki nga, a vuhuna i taki ge rata. I ramai vakaroro a nitana.
1TH.5.26	Mu tagui e huriki iene ri luhoi torea a Vure.
1TH.5.27	A taki tora mua na matane Bakovi Dagi, mu gia ra raukea iea, ge longoa e huriki a tara na Vure.
1TH.5.28	E Isu Kristo a Bakovi Dagi ne hita ge rata kamumu mua.
2TH.1.1	Iau e Paulus, turane Sailas e Timoti mete herea ra raukea iea i lakene ne mua o Tesalonika, ra mua e huriki a tara na Vure, e Tamane hita, e Isu Kristo a Bakovi Dagi.
2TH.1.3	Mua e huriki a turagu, i kamumu mete ge luhoi mua, mete ge kavurike vaka­roroa a Vure, a vuhuna a niluhoi ne mua i bele tora hateka, a rabu ni vangaru i bebele dagi ne mua. 
2TH.1.4	I mavonga, mete bibi rike a rane mua na matane huriki a tara na Vure na tanga lobo, a vuhuna mu pesi tora na niluhoi ne mua, mu hatenono na tahuna e huriki ri vakamadihi mua, mu bole a maregoa.
2TH.1.5	Na tahuna mu pesi tora mavonga, i vakasiri hita na Vure i pelekado kamumu e huriki. I mavonga, a Vure ge taki mua, mua a viri kamumu, mu gu made na harikia vona, ra ngane mu bole a nimadihi a vuhuna mu ngaru ni dili vona. 
2TH.1.6+2TH.1.7	A Vure i pelekado kamumu e huriki. Muri ma, a Bakovi Dagi ne hita e Isu, turane huriki a agelo hateka na Vure ri gi pe a hunu, ri gi luve kavakava turana hubena kanono. Na tahuna iea, bara i koli a narone huriki ri habi a maregoa ne mua, bara i habi a maregoa ne ria. Bara i vakalobo a maka maregoa mu tahoka, ge habi a nimalo ne mua. Mateu ranga bara i habi a nimalo ne mateu.
2TH.1.9	Re huriki nga, e Isu ge vakamadihi ria, ge ratapile ria vakaroro. Bara ri made basi ne Bakovi Dagi, na bagetuanga na nitora vona. 
2TH.1.10	Ra maki nga bara ri bele na tahuna i hamule valai. Na parava iea, e huriki a tara vona bara ri kavurikea, e huriki ri luhoi torea bara ri ngapa vona. Mua ranga bara mu vivi turane ria, a vuhuna mu luhoi tora a ngava mete vaka­longo mua vona.
2TH.1.12	Mete vasileki mavonga, a vuhuna mete ngaru e huriki a bakovi a ngatavine ri gi matai a narone mua, ri gi kavurikea e Isu a Bakovi Dagi. E Isu tara ge kavurike mua. I mavonga, ri kavurikea e Isu, a vuhuna a Vure rua e Isu Kristo a Bakovi Dagi ru rata kamumu mua.
2TH.2.1	Mua e huriki a turagu, ngane mete ge vakalongo mua vona e Isu Kristo a Bakovi Dagi ge hamule valai, ge gale palupu hita. Mete taki tora mua, 
2TH.2.2	nahea ge ruru a vurene mua vona a ngavana propet, a ngavane huriki ranga, a raukea ni taki ta mete herea, ri gi taki ta e Bakovi Dagi i hamule valai pali. 
2TH.2.3	Naha ni longo mai ria, a vuhuna a parava iea i uka ma ge bele tavula. I muga, e huriki ala kupo bara ri tagege, ri longotaro a nitana Vure. Muri, a bakovi ni longotaro a Vure bara i bele kavakava, ra bakovi iea bara i vurua na kanono. 
2TH.2.4	A bakovi iea bara i gegea a Vure, i gege e huriki a vure taminga lobo, ra maka maki e huriki a bakovi a ngatavine ri kavurike bala. Bara i taki e huriki ri gi kavurike ia kunana. Bara i made pololilo na roho na Vure, i taki e huriki ta ia a Vure.
2TH.2.5	Na tahuna a made turane mua, a taki mua vona pali a ngava nga. Mu tabana ni luhoi, o i uka? 
2TH.2.6+2TH.2.7	A naro ni longotaro a vinara i leho kapiloho pali. Mu lohoka vona a maki i pesi karia a dalana bakovi hale. A bakovi hale iea bara i bele kavakava na parava a Vure i vulakia ge bele vona. Pali a viri i pesi karia a dalana bara i pesi kari mavonga ge harena na tahuna a Vure ge takia ge lobo. 
2TH.2.8	Muri a bakovi ni longotaro a Vure bara i bele kavakava. Muri e Isu a Bakovi Dagi bara i valai na nipara dagi, bara i rabalakia na nipara dagi iea, ge mate. Bara i rabalakia na bangona a bakovi hale iea.
2TH.2.10	Bara i rata a naro hale i kupo ni tami e huriki ri laho na dala na vuranga. Re huriki nga bara ri vurua, a vuhuna ri marikoi a ngava muholi ge korimule ria. 
2TH.2.11	I mavonga, a Vure i vakahale a niluhoi ne ria, ri gi longo mai a ngava taminga kunana. 
2TH.2.12	I mavonga kunana a Vure ge pelekado e huriki lobo i uka ma ri luhoi torea a ngava muholi, ri ngaru a naro hale.
2TH.2.14	A Vure i ngaru mu gu made na bagetua na nitora ne Isu Kristo a Bakovi Dagi ne hita, lakea i gale palupu mua pali na Velenga Kamumu, ra mi tovo mua vona. 
2TH.2.15	I mavonga, mua e huriki a turagu, mu pesi tora. Mu muri mai a vinara mete tovo mua vona, turana vinara mete here puru na raukea.
2TH.2.16	E Isu Kristo a Bakovi Dagi ne hita, turana e Tamane hita, ra viri i ngaru hateka hita, i rata a naro kamumu ne hita, i luke vakaroro hita, si pasimata vona a maki kamumu ge habi ne hita muri ma, 
2TH.2.17	ru gu vakatora a hatene mua, ru gu tuhori mua mu gu rata a naro kamumu, a ngava kamumu.
2TH.3.1	Mua e huriki a turagu, ngane ga vakalobo a ngava. Mu vasileki ne mateu, mete ge vakalongo a nitane Bakovi Dagi, ge bele malaviriri na tanga lobo, lakea e huriki ri longoa ri gi togoa ge manga a hini mu rata pali. 
2TH.3.2	Mu vasileki na Vure ge kori mateu na limane huriki a bakovi hale, a vuhuna mu lohoka vona i uka ma e huriki lobo ri luhoi torea a Vure. 
2TH.3.3	Pali e Bakovi Dagi i ramai vakaroro a nitana. Bara i vakatora mua, i tagari mua na bakovi hale, re Satan. 
2TH.3.4	Mete lohoka vona, mu ramai lobo a ngava mete habi ne mua. Mete lohoka vona tabu, e Bakovi Dagi ge tuhori mua ni ramai lobo a ngava nga. 
2TH.3.5	Mete ngarua e Bakovi Dagi ge habi a niluhoi ne mua, mu gu lohoka kamumu vona a Vure i ngaru hateka mua. Mete ngarua ge vakasiri mua ni hatenono na maregoa i manga e Kristo i hatenono.
2TH.3.7	Mu lohoka vona mete ngaru mu gu ramai a naro mete rata. Na tahuna mete made turane mua, i uka ma mete made tavula. 
2TH.3.8	I uka ma mete kani tavula a maki ni kani ne mua. A maki ni kani lobo mete kona. Mete leho hateka na haro a rodo, nahea mete ge habi a nimava ne mua. 
2TH.3.9	Na tahuna mete ngaru a maki, bara mete nana mua. Pali mete koi ni rata mavonga, a vuhuna mete ngaru ni vakasiri mua na naro kamumu mu gu ramaia. 
2TH.3.10	Mu lohoka vona na tahuna mete tabana ni made turane mua, mete taki tora mua, mete ta maea, “A bakovi i marikoi ni leho, nahea ge kani.”
2TH.3.12	Mu vakuku ria na rane Isu Kristo a Bakovi Dagi, mu vakuku e huriki nga ri gi made tata, ri gi leho, ri gi matakari mule ria na maki ni kani. 
2TH.3.13	Mua e huriki a turagu, naha ni tuha malulu ni rata a naro kamumu.
2TH.3.14	E rei a bakovi i uka ma i ramai a ngava mete here puru na raukea iea, mu vakalongo e huriki vona, ri gi malele ha vona, ge maruhu. 
2TH.3.15	Pali naha ni lohopile ia. Mu varea manga mu vara e huriki a turane mua.
2TH.3.16	E Bakovi Dagi ia a vuhuna a nivalemu. Ge habi a nivalemu ne mua na parava vakaroro, ge habi a nivalemu ne mua na maki lobo, ge made turane mua.
2TH.3.17	Iau e Paulus a herea na limagu a nilobona raukea iea. A raukea lobo a here, a here puru vona a maka nita maea, ge a nivakasiri nau. A hinere nau i maea.
2TH.3.18	E Isu Kristo a Bakovi Dagi ne hita ge rata kamumu mua lobo.
1TI.1.1	Iau e Paulus, a apostolo ne Isu Kristo a vuhuna a Vure, ra viri i korimule hita, turane Isu Kristo, ra viri si pasimata vona, ru vakuku iau, ge iau a apostolo.
1TI.1.3	Hosi a pe ioe iene o Epesus, a valai a made koea o Masedonia. Muga a pe ioe, a taki ioe vona tara ngava. Ngane a ngaru ni taki tabua vomu a ngava iea. O made iene, a vuhuna i tahoka ranga bakovi iene ri tovo e huriki na ngava taminga. O ta pupukari ne ria, nahea ri gi tovo tabu a ngava taminga nga. 
1TI.1.4	O vakuku ria ri gi lohopile a maka nuverei tavula, a ngava na rane tubune ria hosi. A ngava nga, i uka ma ri tuhori e huriki ri gi luhoi torea a Vure, ri gi rata a leho vona. Ri vakabele kunana a rabu na nivagege. 
1TI.1.5	Ria bara ri longototo ioe, bara ri luhoi muholia e Kristo, ri matakilaka vona a maki kamumu, a maki hale, a hatene ria ge malamala. Muri, bara ri ngaru e huriki. 
1TI.1.6	Pali e huriki ranga ri pe pali a maka naro kamumu nga, ri varoru lae na maka ngava tavula. 
1TI.1.7	Ri ngaru ni tovo e huriki na vinara na Vure, pali i uka ma ri lohoka vona ra ngava ri ta paki paki vona.
1TI.1.9	O lohoka vona tabu a vinara ni here, i uka ma ne vona e huriki a bakovi kamumu. Ni here ge vakalohoka e huriki ri putu puru a vinara, e huriki ri tagege, e huriki ri ngalahere na Vure, e huriki ri rata a naro hale legelege, e huriki i katoki a hatene ria, e huriki ri lohopilea a Vure, e huriki ri rabalaki e tamane ria e kinane ria, e huriki ri rabalaki a viri. 
1TI.1.10	A vinara ni here ni vakalohoka e huriki ri rata a molenga, e huriki ri rata a naro hale na bakovi turana, e huriki ri lakavu a bakovi a ngatavine ri habi ni kona, ri gi vora tavula, e huriki a bakovi na taminga, e huriki ri kaba tavula na nita muholi, e huriki ri rata a maka naro hale ranga i uka ma i ramai a ngava muholi na nitana Vure. 
1TI.1.11	Ra ngava muholi i ramai kunana a Velenga Kamumu na Vure, ra Vure i made na nipara dagi, e huriki ri kavurikea. I ru na limagu ga vakalongo ne huriki.
1TI.1.13	Muholi ngi, hosi a ta hale vona, a vakamadihi e huriki ri muri vona, a rata tuhare. Pali i dodo iau, a vuhuna a luhoi ta a rata kamumu, pali i uka ma a luhoi muholia a Vure. 
1TI.1.14	A Bakovi Dagi ne hita e Isu Kristo i rata kamumu hateka iau, i tuhori iau ga luhoi torea, ga ngarua a Vure, ga ngaru e huriki.
1TI.1.16	Iau a bakovi hale hateka. Pali e Isu Kristo i dodo iau ge vakasiri a naro muholi vona ni hatenono na rabu hale ne huriki. Lakea e huriki ranga bara ri masia, ri luhoi torea, ri bole a nimahuri vakaroro. 
1TI.1.17	Si gi togoa a Vure, si gi kavurikea na parava vakaroro, a vuhuna ia a Hariki Vakaroro. I uka ma ge mate. Si keri ni masia. Ia kunana a Vure Muholi. I muholi.
1TI.1.18+1TI.1.19	O tugu o Timoti, a vinara nga, a taki ioe vona, i ramai a nita propet ni taki virihi ioe vona hosi. A ngaru go luhoi mulea, lakea bara o pesi tora na ni luhoi torea a Vure, bara o rata kunana a naro o lohoka vona i kamumu. Lakea bara o vaubi kamumu. E huriki ranga ri lohopile pali a naro ri lohoka vona i kamumu, ri lobo ni luhoi torea a Vure. Ri rata mavonga, lakea ri ratapile a niluhoi ne ria. Ri manga a aga i mapua na rakaru. 
1TI.1.20	E Himeneus, e Aleksander ru rata mavonga. Lakea a habi rua na limane Satan. Bara i tovo rua, nahea ru gu biu a Vure.
1TI.2.1	Lakea a maki dagi hateka a ngaru mu gu ratea i maea: Mu nana torea a Vure ge kori e huriki a bakovi a ngatavine, mu vasileki ne huriki, mu kavurikea a Vure na tahuna i kori e huriki. 
1TI.2.2	E huriki a hariki, e huriki a bakovi dagi, ria ranga mu vasileki mavonga ne ria, ri gi matakari kamumu hita, si gi made madoru na nivalemu, si gi muri mai a Vure, si gi togo e huriki na maki lobo si rata. 
1TI.2.3	Ra nivasileki maea i kamumu na matana Vure, ra viri i korimule hita. 
1TI.2.4	I ngaru ni korimule e huriki lobo, ri gi lohoka vona a ngava muholi, 
1TI.2.5	a vuhuna i uka tabu tara Vure. A Vure ia kikeri kunana. A bakovi ala taku kunana i rata e huriki ri gi made na nivalemu turana a Vure. Ra bakovi iea e Isu Kristo. 
1TI.2.6	I mate na ningaru vona, ge konamule e huriki. Ra ngava nga, a Vure i ngaru si gi vakalongo e huriki vona ngane. 
1TI.2.7	A Vure i vulaki iau ge iau a apostolo vona, ga vakalongo a ngava nga, ga tovo e huriki a kabu i uka ma ria a Iuda, ri gi luhoi torea e Kristo, ri gi lohoka vona a ngava muholi. Iau a ta muholi, i uka ma a tatami.
1TI.2.8	I mavonga, a ngaru e huriki a bakovi na Vure na tanga lobo ri gi vasileki vakaroro. Na tahuna ri toto rike a limane ria, ri gi luhoi mule a narone ria. Nahea ri gi hini hate, nahea ri gi vahehe.
1TI.2.10	E huriki a ngatavine ri ngaru ni muri mai a nitana Vure, ri gi rata a naro kamumu. A naro kamumu, a bagetua ne ria.
1TI.2.11	Na tahuna e huriki a ngatavine ri longo a vinara, ri gi made madoru, ri gi longo kamumu a ngava, ri gi ramai kunana. 
1TI.2.12	Nahea tara ngatavine ge muga, o ge tovo e huriki a bakovi. Na tahuna mu vapopo, e huriki a ngatavine ri gi vulai ri gi longo kunana a ngava, 
1TI.2.13	a vuhuna a Vure i rata mugea e Adam, muri i ratea e Eva. 
1TI.2.14	Pali e Satan i uka ma i tamia e Adam. I tamia e Eva, lakea e Eva i longotaroa a Vure. 
1TI.2.15	Pali a leho ne huriki a ngatavine, ni poda a koma. Na tahuna ri pesi tora ni luhoi torea e Kristo, ri ngaru e huriki, ri laho malamala, ri muri mai a naro i kara ria, bara i korimule ria a Vure.
1TI.3.2	I mavonga, a viri ni ru ge ia a matakari, ge muri mai kunana a naro kamumu, bara ni keri ni padi virihia na naro hale. E girihina ge taku kunana. Nahea ge ramai a ningaru tavulavula vona. Nahea ge rata tavula a maki, ge ramai a niluhoi kamumu. E huriki ri gi togoa. Ge matakari kamumu e huriki ri valai na ruma vona. Ge lohoka ni tovo e huriki na nitana Vure. 
1TI.3.3	Nahea ge ia a bakovi ni ninu. Nahea ge hinihatena ni rata a vabinga, ge made madoru. Nahea ge ia a bakovi ni vahehe. Nahea ge ngaru hateka a mahala. 
1TI.3.4	Ge matakari kamumu e girihina e tuna mai. Ge tovo e huriki e tuna ri gi longototo a ngavana, ri gi togoa. 
1TI.3.5	A bakovi i uka ma i matakari kamumu a kabu vona, ge matakari navai e huriki a tara na Vure? 
1TI.3.6	A bakovi i pulo karaba a vilona, nahea ni gi ru ge ia a matakari. Ma ge bibi rike mule ia, muri bara i vurua vona a naro hale i rata, i manga hosi e Satan i vurua vona a naro hale vona. 
1TI.3.7	A bakovi i ngaru ni matakari a tara ne Kristo, ge kamumu a narona, lakea e huriki i uka ma ri lohoka na Vure, ri gi togoa. Ia i uka ma ni gi togo, bara ni harogi pile, i puru na hoa ne Satan.
1TI.3.8	I mavonga kunana e huriki a vora na lotu. E huriki ri gi togo ria. Nahea ri gi ngava naru. Nahea ge vakavora ria a naru vagole. Nahea ri gi ngaru hateka a moni. 
1TI.3.9	A niluhoi ne ria ge kamumu kunana ri gi muri mai a ngava muholi a Vure i vakasiri ne hita. 
1TI.3.10	O toni taro a vilone ria. Na tahuna o matai ri leho kamumu, o ru ria ge ria a vora na lotu.
1TI.3.12	A vora na lotu ge tahoka e girihina i taku kunana, ge matakari kamumu e huriki e tuna. 
1TI.3.13	E huriki a vora na lotu ri rata a leho kamumu bara ni togo, ni kavurike, bara ri pesi tora na niluhoi torea e Isu Kristo.
1TI.3.14+1TI.3.15	A ngaru ni lakene, ga matai ioe. Pali a herea a raukea iea, go gia, ma ga keri ni lakene malaviriri. O gia, lakea mua e huriki a tara na Vure bara mu lohoka vona a ra naro kamumu mu gu varata vona. Hita a roho na Vure mahuri. Si manga a butu a vola, si kalohoa na ngava muholi.
1TI.3.16	E Kristo ni poda, i bele manga a bakovi.
1TI.3.16	A Hanu Kiripiripi i vakasiri a narona i kamumu.
1TI.3.16	E huriki a agelo ri masia.
1TI.3.16	A velengana ni vakalongo na tanga lobo na malala.
1TI.3.16	E huriki ranga koea na malala ri luhoi torea.
1TI.3.16	Ni bole sike na hunu, i bole a bagetuanga.
1TI.4.1	A Hanu Kiripiripi i ta kavakava i ta maea, muri ma, na nilobona parava ta ge valai, i ranga e huriki bara ri ha taroa a Vure. Lakea bara ri vakatubu ni muri mai a ngava taminga i valai ne huriki a hanitu. 
1TI.4.2	A maka ngava taminga nga, e huriki a bakovi na taminga bara ri tamilalu ni tovo polo ne huriki, ta i muholi. A niluhoi ne ria i marogo kesi, i uka ma ri hatakia a naro hale ne ria. 
1TI.4.3	Ri tovo e huriki nahea ri gi parangi, nahea ri gi kani a kania ranga. Pali a Vure i ratarike lobo a kania si gi kani. I ngaru hita e huriki si luhoi torea, si lohoka na ngava muholi, si gi kani si gi kavurikea. 
1TI.4.4	A ta maea, a vuhuna si lohoka vona, a maki lobo a Vure i ratarike i kamumu. Nahea si gi taki ge hale. Si gi kavurikea a Vure, si gi bole. 
1TI.4.5	Si gi rata mavonga, a vuhuna a nitana Vure turana nivasileki ne hita i rata a maki ni kani lobo i kamumu.
1TI.4.6	Ioe bara o taki e huriki a turane hita vona a maka ngava nga, bara ioe a vora kamumu ne Isu Kristo. Ioe bara o longo mai a nitana Vure, a ngava muholi, ra o ramai, bara o koru rike kamumu. 
1TI.4.7	Naha ni longo mai a maka nuverei tavula na malala. O toni a bulumu, o koru rike na narona Vure. 
