GEN.1.1	Paphibangga, Tingwang niu ting-kadih damsubo tingga,
MAT.9.3	Siga Tacheng-tajaigu katipaodung khangsianiu paliu ronna din sude, “Haina piuniu Tingwang tu din masa bamme!”
MAT.9.4	Paliuniu maning bambose Jesu niu silujiu din-e, “Dekamjiu sikumbo kasabose naliuniu maning bam jiulo? 
MAT.9.5	‘Sulujiu tadsulo’, chiubo suang ‘Na-nuanse kuak khai mide,’ chiubo desiniu malalo? 
MAT.9.6	Chamai Nahpiu siniu kadihpiriga nuan kuak khaira pumtan bamme, chiubo Iniu naliu khuga kamlen khai bine.” Sichiujiu paniu papum-phan shaibo piu khuga din-e, “Sulo, nazise ponlujiu naky lam wangsulo!”
MAT.9.7	Sinapiu siniu sulujiu paky lam wangmide. 
MAT.9.8	Maidung siniu haise ngaoluboga pingmide, khatdi haikumbo pumtan hai maidung khuga kamlen khaibo donniu Tingwang tu thuonde.
MAT.9.9	Jesu niu sibo bam phutlujiu, tadpadboga ramkha khabo piu, pazanniu Matthew kubopiu siniu pagu chakamkyga ntaobam niubo paniu ngaolujiu pakhuga din-e, “Asai suilulo.”
MAT.9.9	Matthew niu sulujiu pasai suitad mide.
MAT.9.11	Pharisee maidung khangsianiu haise ngao lujiu pakhommaidung khuga maniu-e, “Dekamjiu naliugu katipao siniu haikumbo maidungtu maluong watiu bam jiulo?”
MAT.9.12	Paliuniu dinbose Jesu niu chiulujiu paokakge, “ Papum kawimai lengra phaimiu pageng ha-e, chiudi thiuniu maileng-e. 
MAT.9.13	Masanbo ariakniu din-e, “Ira rathak mania situ makjiu lungsabo situ luni-e,” chiujiu dinbose detulo, tadlujiu phuilulo. Palamra Iniu kawimaitu makjiu, nuan phungmaitu kura wangbo-e.”
MAT.9.14	Sigasu John Baptist sai suimai siniu Jesu khuga wangjiu maniu-e, “Dekamjiu aliuniu khatdi Pharisee maidungniu kalumri rijiu bamdi nakhommaidungra wadaodi kalum rimak jiulo?”
MAT.9.15	Jesu niu paokakge, “Naopaopiuniu pagiang maidungtu maluong bamboga paliu chunsajiu bamra naliu maning jiuma? Sichiu makge! Chiudi naopaopiu situ paliu khugasu puitadmi rabo tingmikse wangsai paliu kalumri rabo-e.
MAT.9.16	“Mai khatniudi kaguangbo fai gase kasanbo fai khopkhai makge, palamra kasanbo fai siniu jutarut kiujiu kaguangbo fai jamse kamkek madimi rabo-e. 
MAT.9.17	Sironna makjiu mai khatniudi kaguangbo jawbungga kasanbo jaw malikhai makge, palamra jawbungse puakpangmi rabo-e, sichiujiu jaw sidi jawbung sidi hakammi rabo-e. Sibosung kasanbo jawse kasanbo jawbungga malikhai rabo-e, sichiusai niase wikana lubui-e.”
MAT.9.18	Jesu niu haise dinbamboga Jehudi maigu chakampao khatniu pakhuga wangjiu, pamasuangga khudung kiujiu din-e, “Anahpui hai tuhoi siakniu shai mide, chiudi wangjiu pariga naben kaba khailo, sichiusai pah ringlanlu bui-e.”
MAT.9.19	Sijengniu Jesu sulujiu pasai suitad kin-e, siga pakhommaidung sidi pasai suitad kin-e. 
MAT.9.20	Siga takum kariu-je-niakiu tazai kinbo pui khatniu Jesu sailam wanglujiu pafairi niakhaide. 
MAT.9.21	Paniu paronna din-e, “Iniu pafairi-nadi niakhai sai, I wimi rabo-e.” 
MAT.9.22	Jesu niu mariwang patu ngaolujiu din-e, “Nachun nsang lulo, anahpui yo nang malum siniu natu wikhai mide.” Sibo wan siakga sibo puise wimide.
MAT.9.23	Sigasu Jesu niu chakampao kyga wangboga, kashai kanuijiu nthiam mudjiu kap-huijiu bamniu-e. 
MAT.9.24	Siga paniu ngutlujiu din-e, “Mai hina npad milo! Aliumainase shai makge, pahai jibambo-e!” Siga paliu mathiu patu nuimen sude. 
MAT.9.25	Sichiujiu maidung situ hathon lujiu, Jesu niu npuimainah ziga ngutlujiu paben jukhaiboga pase buangsu mide. 
MAT.9.26	Sibo rachamse, sibo luongriang pakhiangna chiuchia mide.
MAT.9.27	Jesu niu sibo bam phutlujiu, tadpatboga pamik tiatmai khangnia pasai suijiu haichiu senjiu tadkin-e, “David Nahpiu yo, anaitu lungsa khailo!”
MAT.9.28	Jesu se kalunglam ngut mide, siga pamik tiatbo khang niase pakhuga wangboga, paniu panai khuga maniu-e, “Iniu nanaitu kam mawi ngamme chiubo nanai malum jiuma?”
MAT.9.28	Panainiu paokakge, “Yo, malumme, Paohubo!”
MAT.9.29	Siga Jesu niu panai mikse dikhaijiu din-e, “Nanai malum saisuijiu padmi sulo.” 
MAT.9.30	Siga panai mikse ngao mide. Jesu niu chamtan pijiu din-e, “Haise mai khat khugadi dintulo.”
MAT.9.31	Chiudi panainiu padlujiu Jesu lamga sibo luongriang pakhiangna paoron mide.
MAT.9.32	Sichiujiu paliuniu tadpadboga, maidung khangsianiu rasa ngutjiu palad padmakbo mai khattu Jesu khuga majang wangde. 
MAT.9.33	Sichiujiu rasa situ hathon padmiboga sinapiuse npao sude, siga mai hina paliu suang hamide. “Aliuniu wadaodi haikumbo Israel mai ruangga ngaomakge,” chiujiu paliuniu dinsude.
MAT.9.36	Paniu maidungtu ngaoboga paliutu lungsabo lungchunniu phuimide, palamra paliu hai milykhuanpao habo milydung kumjiu, paliutu mai khatniudi nkha khaira hajiu chariu magenthiu bamme. 
MAT.9.37	Sijengniu paniu pakhommaidung khuga din-e, “Atiat rabo hai kengjiu bamme, chiudi tatien thiura maira tamme. 
MAT.9.38	Sijengniu luzam paopiu khuga, tatien thiumaitu langkhaira kheng lulo.”
MAT.10.1	Jesu niu pakhommaidung khang kariu-je-niakiutu ku aruang lujiu rasadungtu hathon padra khatdi mara sathiubo hinatu wikhaira pumtan pikhaide. 
MAT.10.2	Ladlangtadmai khang kariu-je-niakiu zan sira: raiboga Simon (Peter kubo) khatdi pasai kariupiu Andrew; Jacob nai pasai kariupiu John panai haise Zebedee nahpiu kania-e; 
MAT.10.3	Philip nai Bartholomew; Thomas nai ramkha khabo Matthew; Alphaeus nahpiu Jacob khatdi Thaddia; 
MAT.10.4	Lungthiubo Simon khatdi Jesu tu jonbopiu Judas Iscariot paliu-e.
MAT.10.5	Haidung khang kariu-je niakiu situ Jesu niu haichiu katikhaijiu langkhaide: “Nkengmai ramga maksai Samaria mai namdaklam tadkhai mane. 
MAT.10.6	Sibosung, hamibo milydung, Israel maidung khuga naliu tadrabo-e. 
MAT.10.7	Tadlujiu haichiu dinron khailo, ‘Tinggen gu chawangdihse nawang mide!’ 
MAT.10.8	Thiuniu maitu wikhailo, kashai maitu kam maring khailo. Ka-nphenbo maidungtu wikhailo, khatdi rasadungtu hathon khailo. Matha pikhailo, palamra naliuniu matha daolubo-e. 
MAT.10.9	Naliugu takhaoga kachia, rangkang, paisa phung mane; 
MAT.10.10	nbin tadbo tingga takhao, maksai ntiang malin, maksai chaphitop malin, maksai tathun thin mane. Palamra tatien kathiu maise paphijeng daobui-e.
MAT.10.11	Naliuniu namdak khatga maksai nam khatga wangboga naliutu lukhai nimai khuga bamlo, sichiujiu naliuniu sibo bam gasu tadlan makthen siga bamlo. 
MAT.10.12	Naliuniu chaky khatga ngutboga sibo ky situ thoikhai bilo. 
MAT.10.13	Sibo kyga bammai siniu naliutu lukhai nisai, naliugu thoikhaibo kanuise pibam milo; chiudi paliuniu naliutu lukhaini maksai, naliugu thoikhaibo kanuise lulan milo. 
MAT.10.14	Sichiujiu khangsia kyniu maksai namdak siniu naliutu lukhaini maksai khatdi naliu cham nkingkhaini maksai, naliu phiga bambo tabuise kasam khai lujiu sibo bam situ phutmilo. 
MAT.10.17	Phuilo, naliutu minlujiu ladzankyga jutad sune khatdi paliuniu maduiky gasu naliutu dapsune. 
MAT.10.18	Adon jengniu naliutu mawangpaodung khatdi chawang maidung masuangga ladjan thiujiu Kawichampao paliu khuga nai Nkengmaidung khuga dinra puiwang sune. 
MAT.10.19	Naliutu ladjan thiura puiwangboga, naliuniu dinrabo lamga maksai dechiu dinralo chiubo lamga manangmi tulo; pawanse wangtangboga, naliuniu degu dinralo chiubo pikhaibi rabo-e. 
MAT.10.20	Palamra naliuniu dinrabo ladse naliugu makge. Naliu Piu gu Hiupuina siniu naliu khuga dinkhai birabo-e.
MAT.10.22	Mai hinaniu naliutu adon jengniu mareng sune. Chiudi pamalan tangbo khenglu maitu rankhai bine. 
MAT.10.23	Paliuniu naliutu namdi khatga kam mathadsai namdi khat lam paklulo. Iniu naliu khuga pachang paling dinbo-e, chiubora Chamai Nahpiu wangmakbo suangga naliu ngamse Israel mai namdi lungga kamloi lulakge.
MAT.10.25	Sijengniu ariak namai siniu katipao kumlura, khatdi kavang siniu papaopiu kumlura kabuibose thiura kam rabo-e. Chaky paopiu situ Beelzebul ku-e sai, pakikhunmai mai situra sisuang sabo zan siniu kurabo-e!
MAT.10.27	Tamiuboga Iniu naliu khuga dinkhaibose naliuniu kabenboga dinpad rabo-e, khatdi naliuniu mahinjiu chiulubose chaky npom-gen gasu naliuniu senpad rabo-e. 
MAT.10.28	Chapumtu ronna kamshat ngam lujiu hiunatu kamshat ngam makbo piutu ping tulo, chiudi chapum tudi hiuna tudi kamshat lujiu charuidih ga kam maha ngambo Tingwang tu ping lulo. 
MAT.10.29	Palamra naliuniu damli khatniu takina niatu liu ngamme, chiudi naliu Piu chun maksai takina khatdi kadihga nkaikiu makge. 
MAT.10.30	Naliu tura, naliu thamkeng hinadi siloi kamigu-e. 
MAT.10.31	Sijengniu ping tulo, naliura takina wajiuga suang paman kung nkiubo-e!
MAT.10.32	“Mai khatniu mathiu suangga pase agu-e chiujiu din madupad sai, Idi tinggen lam Apiu masuangga patu din madupad rabo-e. 
MAT.10.33	Chiudi mai khatniu mathiu suangga atu lukhai maksai, Idi tinggen lam Apiu masuangga patu lukhai lakge.
MAT.10.34	“Iniu kadihpiriga agi-manaibo phungwangbo-e chiujiu maningmi tulo. Makge, Iniu agi-manaibo makjiu, apang-heng phungwangbo-e. 
MAT.10.35	Panahpiudung siniu papiumaidungtu atungra, panahpuidung siniu papuimaidungtu atungra, khatdi pamumaidung siniu panaimadungtu atungra I wangbo-e; 
MAT.10.36	sichiujiu mai khatgu sathubo mikrese pakikhunmai siniu thiurabo-e.
MAT.10.37	“Mai khatniu papui papiutu, atu suang kungdiang sai, pase akhommai thiura buimakge; mai khatniu atu suang panahpui panahpiutu, kungdiang sai, pase akhommai thiura bui makge. 
MAT.10.38	Mai khatniu pagu singchai phunglujiu asai sui maksai, akhommai thiura buimakge. 
MAT.10.39	Mai khatniu pagu ringtingtu ranlura kamsai sise hami rabo-e; chiudi mai khatniu adon jengniu pagu ringting hakhai misai sise ranlu rabo-e.
MAT.10.41	Mai khatniu Tingwang lad dinron maitu, pase Tingwang lad dinronbo mai-e chiujiu lukhai sai, pagu tathuonse daorabo-e. Khatdi mai khatniu kawimai khattu, kawimai-e chiujiu lukhai sai, pagu tathuonse daorabo-e. 
MAT.10.42	Naliuniu masanjiu silulo chiubora mai khatniu, siamthubo akhommai situ, akhommai-e chiujiu duigi-piang khat tadi pisak khai sai, pagu tathuonse daosiak rabo-e.
MAT.11.1	Jesu niu haidungse pakhommai khang kariu-je-niakiu situ katikhai lubo sai, paniu sibo bam phutlujiu sibo wonjengga lungbambo namdungtu katikhaira khatdi dinron khaira tadmide.
MAT.11.2	John Baptist niu kavangky gasu Khrista niu kambambo chamse chiulujiu, paniu pakhommai khangsiatu pakhuga langkhai-e. 
MAT.11.3	Paliuniu Jesu khuga maniu-e, “Aliu khuga dinkhailo, nang hai John niu wangkinne chiubo piu sima, maksai aliuniu kakimaitu khuan ralo?”
MAT.11.4	Jesu niu paokakge, “Malanwang, John khuga naliuniu chiulubo khatdi ngaolubose paokhai bilo: 
MAT.11.5	Pamik tiatmai siniu ngao mide, paphi katangmai siniu tadlu mide, ka-nphenmaitu masankhai bide, pakuon tidmai siniu chiu mide, kashaimaitu kam maring khaide khatdi lungkalakmai khuga kawicham hai paoron khaide. 
MAT.11.6	Atu malum masa makbo maidungse dejiukha san wilo!”
MAT.11.7	John pakhommaidung siniu tadmira kambamboga, Jesu niu palamga maidung khuga haichiu din-e: “Naliuniu ramjingga John khuga tadbo tingga degu phuira tadjiulo? Tingkainiu chapiuniw hun malai bambo tuma? 
MAT.11.8	Naliuniu degu phuira tadjiulo? Chapuan kawi piubo piu tuma? Sikumbo pon piubo maidungra chawangkiningga lung bamme! 
MAT.11.9	Akhuga dinkhailo, naliuniu degu phuira tadjiulo? Phaimiukakung tuma? Yo, maji-e, chiudi para phaimiukakung suang nkiubo-e. 
MAT.11.10	Masanbo ariakniu John lamga haichiu raokhai nbamme: ‘Tingwang niu din-e, naleng npui thiu khaira, Iniu namasuangga agu ladlangtadmaitu langkhai rabo-e.’ 
MAT.11.11	Iniu naliu khuga palingjiu dinbo-e chiubora lungwang mibo mai ruangga John Baptist suang di-nkiubo ha-e. Chiudi tinggen gu Chawangdih gara siamthubo piu siniu John suang di-nkiu ye. 
MAT.11.12	John niu dinron subo gasu thainai tangbo maidung siniu tinggen gu Chawangdihtu paliu-lai padjiu aphen bambo-e, sichiujiu palung kasamai siniu haisitu ngamlura matanjiu bambo-e. 
MAT.11.13	Phaimiukakung hinaniu khatdi Mose gu Tacheng-tajai siniu John ken katangbo Chawangdih lamga dinjiu bambo-e; 
MAT.11.14	sichiujiu paliu chamse naliuniu malumsai, John hai Elijah wangkinne chiujiu din masuang khai mibo si-e. 
MAT.11.15	Pakuon kabammai hina nking lulo!
MAT.11.16	“Tuhoira Iniu thaidao ken-ga lungbambo maitu dechiujiu din kada ralo? Paliu haira senkiga ntao bambo nahmaidung kumbo-e. Bao khatniu bao khat khuga din-e, 
MAT.11.17	‘Aliuniu tanao kapaobo lui thiuboga naliu lenkhai makge! Aliuniu kashai kanuibo lui thiu-e, chiudi naliu kapkhai makge!’ 
MAT.11.18	John niu lungwangboga pah mai tatek tiumakge, khatdi sak makge. Siga maidungniu din-e, ‘Pakhuga rasa bamme!’ 
MAT.11.19	Sichiujiu Chamai Nahpiu siniu lungwangboga pah wa tiu-e, khatdi sakge, siga maidung siniu din-e, ‘Phuilo hainatu! Para patiuni sa-e, khatdi pasakni sa-e, khatdi ramkha khamai nai nuan phungmai ka-e!’ Chiudi Tingwang gu ningting sira pagu majibo siniu lenjiu bamme.”
MAT.11.20	Jesu niu pagu maisuang habo tiendung kengjiu tenkhaibo namdakdungga lungbo maidung siniu paliu nuan gasu lungli makbo donniu sibo namdung situ paniu rukhaide. 
MAT.11.21	“Chorazin yo! Dejiuga chariubo hai nang daoralo? Bethsaida yo! Dejiuga chariubo hai nang daoralo? Naliu khuga tenkhai mibo maisuang habodungse Tyre nai Sidon ga tenkhai bisai, siga bambo maidungse paliu nuan gasu lungli mide chiubo lenra nda maliufai benlujiu, khatdi paliu riga tabui mara khaijiu kamlenmi bam rabo-e! 
MAT.11.22	Iniu naliu khuga palingjiu dinbo-e, chiubora Ladjan Tingmikga Tingwang niu naliutu suang Tyre nai Sidon maitu lungsa khaibi rabo-e! 
MAT.11.23	Sichiujiu Capernaum yo, nangra tinggen lam naronna natu ponkhangjiu bamma? Natu charuidihga thonkhai mirabo-e! Naliu khuga tenkhai mibo maisuang habodungse Sodom ga tenkhai bisai, thainai tangbo sise bamniu rabo-e! 
MAT.11.24	Ladjan Tingmik gase Tingwang niu naliutu suangdi Sodom situ lungsa nkiudiang rabo-e chiubo hai masanjiu silulo!”
MAT.11.25	Sibo wan gase Jesu niu din-e, “Tinggen nai kadih Rapiu, Apiu yo! Iniu natu thuonkiu-e, palamra ningtingmai nai wakasimai khuga nbai khaibose nangniu wadi simakmai khuga lenkhaibi-e. 
MAT.11.26	Yo, Apiu, haise nangniu machunbo si-e.
MAT.11.28	“Chabang karip phungjiu, magenthiu chariu mai hina akhuga wanglo, Iniu naliutu pi mathak khai bine. 
MAT.11.29	Wangjiu agu wangkham phunglulo, khatdi akhu gasu wa kati lulo, palamra Ira agi n-jang-e khatdi alung manon-e, siniu naliu mathakbo daolune. 
MAT.11.30	Palamra Iniu naliuleng pikhai rabo wangkham sira mala-e, khatdi naliuleng pikhai rabo abangsira masen-e.”
MAT.12.2	Haise Pharisee maidungniu ngaoluboga, paliuniu Jesu khuga din-e, “Phuilo, nakhommaidungniu Tabamnai haichiu kambambose aliugu Tacheng-tajai siniu suimakge!”
MAT.12.4	Paniu Charakyga ngutlujiu, pah khatdi pamaidungniu Tingwang khuga kadkhai mibo taruakse tiu-e, haise paliuniu tiura Tacheng-tajainiu suimakbo-e; singkumai ronna sibo taruakse tiurabo-e. 
MAT.12.5	Maksai Charakyga bambo singkudung siniu tania lijiu Tabamnai situ kampangjiu bamdi paliu maoleng chakkhai makge chiubo naliuniu Mose gu Tacheng-tajaiga kentao mak jiuma? 
MAT.12.6	Iniu naliu khuga dinbo-e, chiubora sibo Raky suang kadibose haiga bamme. 
MAT.12.7	Masanbo ariakniu din-e, ‘Ira khaoring rathaktu luni makge, chiudi lungsabo situ lunibo-e.’ Naliuniu haibo ramba sibam liusai, naliuniu pamao hamaidungtu ladjan thiulakge; 
MAT.12.8	palamra Chamai Nahpiu hai Tabamnai gu Rapiu si-e
MAT.12.9	Jesu niu sibo bam phut lujiu, maduiky khatga wangboga, 
MAT.12.10	paben khatlam kashaibo piu khat bamniu-e. Siga maidung khangsianiu Jesu tu kamaobo madam khai nibo jengniu pakhuga maniu-e, “Tabamnai maitu wikhaibo hai aliugu Tacheng-tajainiu suima, suimaklo?”
MAT.12.12	Sichiujiu chamai haira mily suang kung nkiubo makma? Sijengniu aliugu Tacheng-tajainiu Tabamnai mai khattu nkha khaira sui-e.” 
MAT.12.13	Sichiujiu paniu paben khat lam shaibo piu khuga din-e, “Naben ntha padlo.”
MAT.12.13	Paniu pabense nthapadboga, khatlam kumjiu wimide. 
MAT.12.14	Sichiujiu Pharisee maidungse phut lujiu tadmide, khatdi Jesu tu kamshatra rangsude.
MAT.12.15	Jesu niu patu kamshatra rangmide chiubose siluboga, sibo bam gasu tadmide; sichiudi chamai mendi siniu pasai suikin-e. Siga thiuniu maidung situ paniu wikhai bide. 
MAT.12.16	Khatdi palamga maidung khuga dinmakra paniu paliu khuga chamtan pikhai bide. 
MAT.12.17	Paniu haise kambora Tingwang niu phaimiukakung Isaiah khuga dinkhai mibose wangtangra leng-e.
MAT.12.18	Iniu lungsabo, khatdi Iniu alung kiubo
MAT.12.18	Iniu ahiupuina pariga langkhaine,
MAT.12.18	sichiujiu paniu jatdung situ ladjan thiune.
MAT.12.19	Paniu arilakge maksai pakhuan padlakge,
MAT.12.19	maksai npuiga chalad senpad lakge.
MAT.12.20	Pagu majibose wangtang makthen, nrongtang kaobamdi kamtang lakge,
MAT.12.20	maksai chamibung langriangse kibamdi, paniu kammid lakge,
MAT.12.21	sichiujiu mai hina patu malummi rabo-e.”
MAT.12.22	Sibo sai maidungniu rasa phungbo pamik tiatbo khatdi palad padmakbo piutu Jesu khuga majang wangde. Siga Jesu niu patu kam mawi khaijiu, palad pad mide, khatdi wa ngao mide. 
MAT.12.23	Jesu niu kamkhaibo lamga mai hina paliu suang hajiu paliuniu maniu-e, “Pahai David Nahpiuse makjiuma?”
MAT.12.25	Paliuniu maning bambose Jesu niu silujiu paliu khuga din-e, “ Chawang dih khatniu paronna njan lujiu khat khattu chari thiusai haise watheng lakge. Khatdi kadih khatniu maksai kykhun khatniu paronna njan lujiu chari thiusai kaomi rabo-e. 
MAT.12.26	Sichiujiu Satan siniu Satan khattu hathon bamsai, paronna patu njanpad mibo-e, chiusai pawangdihse kaonuangmi rabo-e! 
MAT.12.27	Iniu Beelzebul gu pumtan thinlujiu rasatu hathon bamsai, naliu saisui maidungra saogu pumtanniu paliutu hathonpad jiulo? Sichiusai paliuniu naliutu ladjan thiurabo-e. 
MAT.12.28	Chiumakge, haise Beelzebul niu makge, chiudi Tingwang gu Hiupuina siniu rasa situ hathon lura pumtan atu pibo-e. Haisiniu madu khaibo sira Tingwang gu Chawangdih hai naliu khuga wangbam mide chiubo lenkhaibo-e.
MAT.12.29	“Mai khatniudi katanbo piu situ ratmanmi maksai, paky kampang lujiu pagu maniadung sunglu lakge.
MAT.12.31	Sichiujiu Iniu naliu khuga pachang palingjiu dinbo-e chiubora maidunggu nuan hina khatdi kasabo lad hina kuak khai ngamme; chiudi mai khatniu Masanbo Hiupuina tu din masa sai, patu kuak khai silakge. 
MAT.12.32	Mai khatniu Chamai Nahpiu situ din masadi kuak khai ngamme; chiudi mai khatniu Masanbo Hiupuina situ din masa sai, tuhoidi tingthengdi kuak khai silakge.
MAT.12.34	Naliu kaniudung—naliu kasamai thiulujiu dechiu kawibo din ngamlu ralo? Palamra lungchun-ga maning bambose chamunniu din padbo-e. 
MAT.12.35	Kawibo mainiu kawibo ladkeng dinpadle, kasabo mai siniu kasabo ladkeng dinpadle.
MAT.12.36	“Pageng habo lad dinmibo hina lamga, Ladjan Tingmikga palam pirabo-e chiubo hai naliu sisiak lulo. 
MAT.12.37	Palamra naliu ladkeng siniu naliutu kam majikhai rabo-e, khatdi naliu ladkeng siniu naliutu kammao khai rabo-e.”
MAT.12.40	Jonah niu chakha kadibo lungga nchun sum, n-nien sum bamkhai mibo kum, Chamai Nahpiu sidi kadih lungga nchun sum, n-nien sum bamkhai rabo-e. 
MAT.12.41	Ladjan Tingmikga Nineveh maidungniu suchap lujiu naliu kien kasabo dinpad sune, palamra Jonah niu dinron khai mibose chiuluboga paliu nuan gasu lungli mibo-e; chiudi Iniu naliu khuga pachang paling dinbo-e, chiubora haiga Jonah suang didiangbo bamme! 
MAT.12.42	Ladjan Tingmikga Sheba Wangpui siniu suchap lujiu naliu kien kasabo dinpad sune, palamra Chawang Solomon gu ningtingtu nkingra paniu kadiu lamsu wangbo-e; khatdi Iniu naliu khuga pachang paling dinbo-e, chiubora haiga Solomon suang didiangbo bamme!
MAT.12.43	“Rasa siniu mai khat khugasu npad lubo, sai mathak khairabo bam phiujiu tadui kasangbo bamga phiu tadle. Chiudi paniu daomakboga, 
MAT.12.44	paronna din-e, ‘Iniu nda akyga malanwang mine.’ Sichiujiu malanwang lanboga paky se maruangjiu kam masansiak lujiu bamniubo daolude. 
MAT.12.45	Siga paniu tadpad lujiu pasuang kasabo rasa chinniatu maluong lujiu siga ngut bammide, sichiujiu sinapiuse nda karaibo lunlung suang sadiang mide. Haise thaidao ken-ga lungmai kasamai khuga padrabo-e.”
MAT.12.46	Jesu niu maidung khuga sichiujiu wa katikhaijiu bamboga, papui nai pasingna maidung patu npaora kamaga wangjiu chapkhuan bamme. 
MAT.12.47	Sijengniu maidung ruanggasu mai khatniu pakhuga din-e, “Phuilo, napui nai nasingna maidung natu npao khai nijiu kamaga chap bamme”
MAT.12.48	Jesu niu paokakge, “Apui saolo? Asingna maidung saolo?” 
MAT.12.49	Sichiujiu paniu pakhommaidungtu siolujiu din-e, “Phuilo, haiga apui nai asingna maidung bamme! 
MAT.12.50	Tinggen lam Apiu chunning tenbam maise asingna-e, atanpui-e khatdi apui-e.”
MAT.13.1	Sibo nai Jesu niu sibo ky phutlujiu ajai uigen khat lamse tadlujiu katikhaira ntao kiude. 
MAT.13.2	Siga chamai mendi pakhuga wang madui suboga, paniu aliam khat lungga ngutlujiu ntao kiude, siga maidung sira ajai mungga chap bamme. 
MAT.13.3	Paniu din champanbo thiujiu paliu khuga kengkha katikhai sude.
MAT.13.3	“Phuilo, mai khatniu chalin marukra tadpatle. 
MAT.13.4	Paniu chalin maruk suboga kasianiu npuiga nkai khaide, sise thingnadungniu wangjiu khoitiu lude. 
MAT.13.5	Kasianiu kadih-tam habo tatu riga nkai khaide, sigase kadih-tam habo jengniu puakpadjiu agui nuang mide. 
MAT.13.6	Sise naimik padjiu tankhangboga aguinuang mide palamra pamense sukmakbo jengniu-e. 
MAT.13.7	Kasianiu tathu jiuga nkai khaijiu puakkhang-e chiudi sibo bang situ tathuniu lunggom mide. 
MAT.13.8	Chiudi chalinpum kasianiu kadih-tam kawiboga nkai khaijiu, pabangse puak khangde, sise pasy masijiu, kasianiu kai, kasianiu riak-charuk, khatdi kasianiu samriu maside;
MAT.13.9	Haichiujiu Jesu niu munkom khaide, “Naliu kuon kabam mai hina nkinglulo!”
MAT.13.10	Siga pakhommaidung siniu Jesu khuga wangjiu maniu-e, “Dekamjiu nangniu maidungtu npaobo tingga din champanbo hai thinjiulo?”
MAT.13.11	Jesu niu paokakge, “Tinggen Chawangdihgu nbaibo ningtingse naliu khuga pikhaibo-e, chiudi paliu khugara pikhai makge. 
MAT.13.12	Palamra kabambo piuleng khaisan bine, sichiujiu mali-malanjiu bamrabo-e, chiudi kahabo piu khuga sura kabambo poi sidi luthonmi rabo-e. 
MAT.13.13	Iniu paliutu npaobo tingga din champanbo thinbo rambara, paliuniu phui bamdi ngao makge, paliuniu nking bamdi chiumakge khatdi simakge. 
MAT.13.14	Sijengniu phaimiukakung Isaiah chamse paliutu dinbo-e:
MAT.13.14	‘Maidungniu nkingra nking-e chiudi simakge;
MAT.13.14	paliuniu phuira phui-e chiudi ngao makge.
MAT.13.15	Palamra paliu lungchunse kami mide,
MAT.13.15	palamra paliu kuon makad mide; khatdi paliu mik kaba mide.
MAT.13.15	Sichiumak sai, paliu mik ngaolu bui-e,
MAT.13.15	khatdi paliu kuon chiulu bui-e,
MAT.13.15	khatdi paliu lungchun siniu silu bui-e,
MAT.13.15	sichiujiu paliuniu akhulam mariwang, atu kulubui-e,
MAT.13.15	sichiusai Iniu paliutu wikhai lubui-e’ chiujiu Tingwang niu din-e.
MAT.13.17	Iniu naliu khuga pachang palingjiu dinbo-e chiubora phaimiukakung mai wajiu khaniu khatdi Tingwang maidung wajiu khaniu, naliuniu ngao mibose ngaokhaini paliu sangjiu tamibo-e, chiudi paliura ngaokhai lumakjiu tamide, khatdi naliuniu chiumibose chiukhaini paliu sangjiu tamibo-e, chiudi paliuniu chiukhai lumakjiu tamibo-e.
MAT.13.18	“Sichiusai, chalin marukbo rambase detulo chiubo nking lulo. 
MAT.13.19	Chawangdih chamse chiulujiu simak maidungse npuimung ga nkaikhai mibo alinpum kumbo-e, paliu khuga lingkhai mibose Kasabo Khat siniu wanglujiu sutnuang mibo-e. 
MAT.13.20	Tatu riga nkai khai mibo alinpum siniu tachamse chiubo tingga chunwijiu lukhai nuang lubo-e. 
MAT.13.21	Chiudi haise paliu lungchun kasukga rimkhai lumakbo donniu paliuse pating theng makge. Sichiujiu sibo ladkeng jengniu magenthiu-chariubo, maksai mathadbo wangsai, paliuniu ladkengse phutnuang mibo-e. 
MAT.13.22	Tathujiuga nkai khaibo alinpum siniu tachamse chiulu bamdi, paliu ringting jengniu manangbo, khatdi chakhiu-chalan jengniu lung pubo gasu tachamse kam maha mijiu pasy masilu makge. 
MAT.13.23	Sichiujiu kadihtam kawiboga nkai khaibo alinpum siniu tachamse chiulujiu majai kalumai si-e, paliuniu pasy masijiu, khangsianiu kai, khangsianiu riak-charuk, khatdi khangsianiu samriu masilu-e.
MAT.13.24	Jesu niu paliu khuga din champanbo thiujiu dinkhai-e.
MAT.13.24	“Tinggen gu Chawangdih sira haikumbo-e, mai khatniu paluga chalin kawibo lingkhai-e. 
MAT.13.25	Chiudi naikhat nchun, mai hina jimiboga, mikremai khatniu wangjiu chamiujiu gase piumen lingkhai lujiu tadmide. 
MAT.13.26	Chamiubangse puakkhangjiu miubui padsubo tingga piumen sidi ngaopad sude. 
MAT.13.27	Siga pavangdung siniu pakhuga wangjiu din-e, ‘Paohubo yo, naluga nangniu lingkhaibo sira kawibo chalin pum-e; chiudi piumen hai delamsu wangjiulo?’ 
MAT.13.28	Paniu paokakge, “Haise mikremai khatniu kambo-e.” Paliuniu pakhuga maniu-e, “Aliuniu tadlujiu piumendungse luthon mira nang suima?” 
