GEN.1.1	Er penn-kentañ, Doue a grouas an neñvoù hag an douar. 
2CO.5.2	Huanadiñ a reomp eno, o c'hoantaat gant bervder gwiskañ hor chomlec'h neñvel, 
2CO.5.3	mar d-omp da vihanañ kavet gwisket ha nann en noazh. 
2CO.5.4	E-pad ma'z emaomp en tabernakl-mañ, e huanadomp dindan ar bec'h, abalamour ma fell deomp, nann bezañ diwisket, met bezañ gwisket, evit ma vo ar pezh a zo marvel lonket gant ar vuhez. 
2CO.5.5	Hag an hini en deus hor c'hrouet evit kement-se eo Doue, hag en deus roet deomp ivez arrez ar Spered. 
2CO.5.6	Bez' omp eta bepred leun a fiziañs hag gouzout a reomp penaos e-keit ha ma chomomp er c'horf-mañ emaomp pell diouzh an Aotrou, 
2CO.5.7	rak kerzhout a reomp dre ar feiz ha nann dre ar gweled. 
2CO.5.8	Bez' omp leun a fiziañs, hag e karomp gwelloc'h kuitaat ar c'horf-mañ ha chom e-kichen an Aotrou. 
2CO.5.9	Dre-se ivez e klaskomp bezañ kavet plijus gantañ, pe e chomfemp ennañ pe ez afemp er-maez anezhañ. 
2CO.5.10	Rak ret eo deomp holl mont dirak lez-varn Krist, evit ma resevo pep hini hervez ar mad pe an droug en devo graet o vezañ en e gorf.
2CO.5.11	Oc'h anavezout eta an doujañs a dleer d'an Aotrou, e kendrec'homp an dud. Doue a anavez ac'hanomp hag ec'h esperan ec'h anavezit ivez ac'hanomp en ho koustiañsoù. 
2CO.5.12	N'en em erbedomp ket a-nevez dirazoc'h, met reiñ a reomp deoc'h lec'h da gavout gloar abalamour deomp, evit ma c'hellot respont d'ar re en em ro gloar en diavaez ha nann er galon. 
2CO.5.13	Rak mar d-omp diskiant ez eo evit Doue, mar d-omp a skiant vat ez eo evidoc'h. 
2CO.5.14	Karantez Krist a wask ac'hanomp, o vezañ ma kredomp penaos mar d-eo unan hepken marvet evit an holl, an holl eta a zo marv. 
2CO.5.15	Eñ a zo marvet evit an holl, evit na vevo ken evito o-unan ar re a vev, met evit an hini a zo marvet hag adsavet a varv evito. 
2CO.5.16	Dre-se n'anavezomp ken den hervez ar c'hig bremañ. Ha zoken mar hon eus anavezet Krist hervez ar c'hig, bremañ n'anavezomp ken anezhañ en doare-se. 
2CO.5.17	Ha ma'z emañ unan bennak e Krist, hemañ a zo ur grouadenn nevez. An traoù kozh a zo tremenet, setu, an holl draoù a zo deuet da vezañ nevez. 
2CO.5.18	An holl draoù-se a zeu eus Doue, en deus hon adunvanet gantañ dre Jezuz-Krist hag en deus roet deomp ministrerezh an adunvanidigezh, 
2CO.5.19	rak Doue a oa e Krist, oc'h adunvaniñ ar bed gantañ, hep kontañ dezho o disentidigezh, hag o lakaat ennomp ar ger a adunvanidigezh. 
2CO.5.20	Kannaded evit Krist emaomp eta, evel ma vefe Doue oc'h aspediñ drezomp. Ho pediñ a reomp start en anv Krist, bezit adunvanet gant Doue! 
2CO.5.21	Rak lakaet eo bet gantañ da vezañ pec'hed abalamour deomp an hini n'en deus ket anavezet ar pec'hed, evit ma teuimp da vezañ reizhder Doue ennañ.
2CO.6.1	Pa'z eo gwir eta e labouromp asambles, e pedomp start ac'hanoc'h na zegemerot ket gras Doue en aner, 
2CO.6.2	rak eñ a lavar: Da selaouet em eus en amzer dereat, da sikouret em eus e deiz ar silvidigezh. Setu bremañ an amzer dereat, setu bremañ deiz ar silvidigezh. 
2CO.6.3	Ne roomp abeg ebet da gouezhañ, e netra, evit na vo ket tamallet ar ministrerezh, 
2CO.6.4	met en em ziskouez a reomp en holl draoù evel servijerien Doue, en un dalc'husted vras, er glac'haroù, er poanioù, en ankenioù, 
2CO.6.5	er goulioù, er prizonioù, en dispac'hioù, el labourioù, er beilhoù, er yunoù, 
2CO.6.6	er burentez, en anaoudegezh, er basianted, en douster, er Spered-Santel, en ur garantez gwirion, 
2CO.6.7	er ger a wirionez, e galloud Doue, en armoù ar reizhder a zalc'her a-gleiz hag a-zehou, 
2CO.6.8	e-kreiz ar gloar hag an dismegañs, e-kreiz ar vrud fall hag ar vrud vat, o vezañ kemeret evel tromplerien ha ni gwirion koulskoude, 
2CO.6.9	evel tud dianav ha ni anavezet mat koulskoude, evel marv ha setu e vevomp, evel kastizet ha nann lakaet d'ar marv, 
2CO.6.10	evel glac'haret ha ni bepred laouen koulskoude, evel peorien hag o pinvidikaat meur a hini koulskoude, evel o kaout netra ha ni o perc'hennañ an holl draoù koulskoude. 
2CO.6.11	Hor genoù hon eus digoret evidoc'h, Korintiz, hor c'halon a zo en em ledanaet. 
2CO.6.12	N'oc'h ket war enk ennomp, met emaoc'h war enk en ho kreizon hoc'h-unan. 
2CO.6.13	Bremañ en distro, komz a ran deoc'h evel da'm bugale, en em frankait hoc'h-unan ivez.
2CO.6.14	N'en em lakait ket dindan un hevelep yev gant ar re zifeiz. Rak peseurt heñvelded a zo etre ar reizhder hag an direizhder, ha petra a zo kumun etre ar sklêrijenn hag an deñvalijenn? 
2CO.6.15	Peseurt unvaniezh a zo etre Krist ha Belial? Peseurt lod en deus un den a feiz gant an hini difeiz? 
2CO.6.16	Peseurt unvaniezh a zo etre templ Doue hag an idoloù? Rak c'hwi eo templ an Doue bev, evel m'en deus Doue lavaret: Chom a rin enno, hag e kerzhin en o zouez, me a vo o Doue hag int a vo va fobl. 
2CO.6.17	Dre-se: Deuit er-maez eus o zouez ha dispartiit diganto, a lavar an Aotrou, na stokit ket ouzh ar pezh a zo dic'hlan, hag e tegemerin ac'hanoc'h. 
2CO.6.18	Me a vo tad deoc'h hag e viot mibien ha merc'hed din, eme an Aotrou holl-c'halloudek.
2CO.7.1	O kaout eta hevelep promesaoù, re garet-mat, en em c'hlanaomp eus pep hudurniezh eus ar c'hig hag eus ar spered o kas da benn hor santeladur e doujañs Doue. 
2CO.7.2	Degemerit ac'hanomp, n'hon eus graet droug da zen, n'hon eus noazet da zen, n'hon eus graet hor mad eus den. 
2CO.7.3	Ne lavaran ket kement-mañ evit ho kondaoniñ, rak dija em eus lavaret ez oc'h en hor c'halonoù evit mervel asambles hag evit bevañ asambles. 
2CO.7.4	Komz a ran ouzhoc'h gant kalz a hardizhegezh, ul lec'h mat am eus da dennañ gloar ac'hanoc'h, leuniet on a frealz, karget on a levenez e-kreiz hon holl c'hlac'haroù. 
2CO.7.5	Rak abaoe ma'z on deuet e Makedonia, hor c'hig n'en deus bet diskuizh ebet, met glac'haret omp bet e pep doare, dre stourmoù en diavaez hag aon en diabarzh. 
2CO.7.6	Met Doue a frealz ar re a zo dinerzhet, hor frealzet en deus dre zonedigezh Tit, 
2CO.7.7	ha n'eo ket hepken dre e zonedigezh, met ivez dre ar frealz en deus bet diganeoc'h, en ur reiñ da anavezout deomp ho c'hoant bras, ho taeroù, ho kred evidon, en hevelep doare ma'z eo bet kresket va levenez. 
2CO.7.8	Petra bennak ma em eus ho tristaet gant va lizher, ne'm eus ket keuz a gement-se, zoken mar em eus bet keuz a-se, rak gwelout a ran penaos al lizher-se en deus ho tristaet evit ur pennad amzer. 
2CO.7.9	Bremañ en em laouenaan, nann abalamour ma em eus tristaet ac'hanoc'h, met abalamour ma he deus ho tristidigezh ho kaset da gaout keuz, rak tristaet oc'h bet hervez Doue, en hevelep doare ma n'hoc'h eus bet koll ebet eus hor perzh. 
2CO.7.10	Rak an dristidigezh hervez Doue a ro ur c'heuz a gas d'ar silvidigezh ha ne vo biken kerse anezhi, met tristidigezh ar bed a zegas ar marv. 
2CO.7.11	Ha setu, an hevelep tristidigezh-se hervez Doue, nag a resevender n'he deus ket degaset ennoc'h, nag a zidamalloù, nag a vrouez, nag a zoujañs, nag a c'hoant, nag a gred, nag a gastiz! Diskouezet hoc'h eus e pep keñver ez oc'h glan en afer-se. 
2CO.7.12	Evel-se pa em eus skrivet deoc'h, ne oa ket abalamour d'an hini en doa graet an droug nag abalamour d'an hini a oa bet graet dezhañ, met evit reiñ da anavezout deoc'h ar preder hon eus evidoc'h dirak Doue. 
2CO.7.13	Dre-se ez omp bet frealzet dre ho frealz, met muioc'h c'hoazh ez omp bet laouenaet abalamour da levenez Tit, rak e spered a zo bet dinec'het ganeoc'h holl. 
2CO.7.14	Mar em eus tennet gloar ac'hanoc'h dirazañ en un dra bennak, n'em eus ket bet mezh a-se, met evel ma hon eus lavaret an holl draoù gant gwirionez, ar pezh hon eus tennet gloar anezhañ dirak Tit a zo en em gavet gwir. 
2CO.7.15	E garantez evidoc'h a zeu da vezañ c'hoazh brasoc'h pa en deus soñj eus sentidigezh pep hini ac'hanoc'h ha penaos hoc'h eus e zegemeret gant doujañs ha krenadenn. 
2CO.7.16	En em laouenaat a ran abalamour ma em eus fiziañs ennoc'h en holl draoù.
2CO.8.1	Ni a ro da anavezout deoc'h, breudeur, ar c'hras en deus roet Doue da Ilizoù Makedonia, 
2CO.8.2	penaos, o vezañ bet amprouet dre galz a c'hlac'haroù, e-kreiz puilhentez o levenez hag o brasañ paourentez, o deus skuilhet gant fonnder madoù o largentez. 
2CO.8.3	Rak testeniañ a ran, roet o deus anezho o-unan, hervez o galloud, zoken en tu all d'o galloud, 
2CO.8.4	o pediñ ac'hanomp start da resev an aluzen-se ha da gemer o lodenn en ur servijañ ar sent. 
2CO.8.5	N'o deus ket zoken graet evel ma esperemp, met en em roet int da gentañ d'an Aotrou, ha neuze deomp-ni dre volontez Doue, 
2CO.8.6	en hevelep doare ma hon eus pedet Tit da echuiñ an oberenn-mañ a c'hras en ho touez, evel ma en doa kroget ganti. 
2CO.8.7	Evel ma fonnit e pep tra, e feiz, e ger, en anaoudegezh, e gred a bep doare, e karantez evidomp, fonnit ivez en oberenn-mañ a c'hras. 
2CO.8.8	Ne lavaran ket kement-se evit reiñ ur gourc'hemenn, met evit amprouiñ dre c'hred ar re all gwirionded ho karantez. 
2CO.8.9	Rak anavezout a rit gras an Aotrou Jezuz-Krist, hag eñ pinvidik, a zo en em c'hraet paour evidoc'h, evit ma vefec'h rentet pinvidik dre e baourentez. 
2CO.8.10	E kement-se e roan deoc'h un ali, hag e tere ouzhoc'h, c'hwi hag hoc'h eus nann hepken kroget gant an oberenn-se, met ivez hoc'h eus bet ar youl d'hec'h ober adalek ar bloaz tremenet. 
2CO.8.11	Peurechuit eta bremañ an oberenn-se, hag evel ma hoc'h eus diskouezet gred a vennad, kasit anezhi da benn ivez hervez ho kalloud. 
2CO.8.12	Rak mar d-emañ ar gred ganeoc'h, ez eo plijus hervez ar pezh a zo ha nann hervez ar pezh n'eus ket. 
2CO.8.13	Evit gwir arabat eo deoc'h bezañ re vec'hiet evit ma vo sikouret ar re all, 
2CO.8.14	met ra vo ingalded etrezoc'h: ra zeuio ho fonnder da sikour en amzer a-vremañ o faourentez evit ma teuio o fonnder ivez da sikour ho paourentez, en hevelep doare ma vo ingalded 
2CO.8.15	hervez ma'z eo skrivet: An hini a zastumas kalz n'en deus ket bet muioc'h, hag an hini a zastumas nebeut n'en deus ket bet nebeutoc'h. 
2CO.8.16	Grasoù ra vo rentet da Zoue rak lakaet en deus an hevelep gred evidoc'h e kalon Tit, 
2CO.8.17	degemeret mat eo bet hon ali gantañ, hag ez eo aet en hent d'ho kwelout gant muioc'h a hast hag a galon-vat. 
2CO.8.18	Kaset hon eus gantañ ar breur a zo skuilhet e veuleudi en holl Ilizoù er pezh a sell ouzh an Aviel, 
2CO.8.19	hag ouzhpenn-se eo bet dibabet gant an Ilizoù evit dont ganeomp en hor beaj hag evit kas an aluzenoù a veromp evit gloar an Aotrou e-unan hag hervez ho kred. 
2CO.8.20	Kemeret hon eus ar preder-se evit na c'hello den rebech ac'hanomp e-keñver mererezh an aluzenoù fonnus-se, 
2CO.8.21	o klask ober ar pezh a zo mat, nann hepken dirak an Aotrou, met ivez dirak an dud. 
2CO.8.22	Kaset hon eus ganto hor breur hon eus alies amprouet e c'hred e meur a wech, hag a ziskouezo anezhañ muioc'h c'hoazh ar wech-mañ abalamour d'ar fiziañs vras en deus ennoc'h. 
2CO.8.23	Evel-se diwar-benn Tit, ez eo va c'henseurt ha va c'henlabourer en ho kounid; diwar-benn hor breudeur, ez int ar re gaset gant an Ilizoù ha gloar Krist. 
2CO.8.24	Roit eta dezho, dirak an Ilizoù, prouennoù eus ho karantez hag eus al lec'h hon eus da dennañ gloar ac'hanoc'h.
2CO.9.1	N'eo ket ret din skrivañ deoc'h diwar-benn ar servij e-keñver ar sent, 
2CO.9.2	rak anavezout a ran ho kred hag e tennan gloar ac'hanoc'h diwar e benn dirak ar Vakedoniz, o vezañ ma'z eo prest Akaia abaoe warlene. Ho kred en deus bountet an niver brasañ. 
2CO.9.3	Kaset em eus ar vreudeur evit na vo ket hor gloar ac'hanoc'h en aner e-keñver-se hag evit ma viot prest evel ma em eus lavaret, 
2CO.9.4	gant aon, mar deufe Makedoniz ganin, na vefec'h ket kavet prest ha na drofe kement-se d'hor mezh, evit tremen hep lavarout d'hoc'h hini, war an dra-se hon eus tennet gloar anezhi. 
2CO.9.5	Rett em eus kavet eta pediñ ar vreudeur da vont a-raok d'ho kavout ha da echuiñ da gempenn al largentez ho poa dija prometet, evit ma vo prest, nann evel frouezh ar bizhoni met evel ul largentez. 
2CO.9.6	A-hend-all: An hini a had gant pizhoni a vedo gant pizhoni, hag an hini a had gant fonnder a vedo gant fonnder ivez. 
2CO.9.7	Ra roio pep hini hervez ar pezh ma en deus soñjet en e galon, nann gant keuz na dre ret, rak Doue a gar an hini a ro gant levenez. 
2CO.9.8	Ha Doue a zo galloudek evit ho leuniañ a bep seurt grasoù, evit, pa ho po e pep amzer hag e pep tra kement a zo ret, ma kreskot en holl oberoù mat, 
2CO.9.9	hervez ma'z eo skrivet: Skuilhet en deus, roet en deus d'ar beorien, e reizhder a chom da virviken. 
2CO.9.10	Hogen an hini a ro an had d'an hader ha bara dezhañ da zebriñ, a roio deoc'h hag a gresko deoc'h an had, hag e lakaio da greskiñ frouezh ho reizhder 
2CO.9.11	evit ma viot pinvidikaet e pep doare ha ma c'hellot ober pep seurt largentez, a lakaio ac'hanomp da rentañ trugarekadennoù da Zoue. 
2CO.9.12	Rak servij ar prof-se a bourvez da ezhommoù ar sent, hag ouzhpenn c'hoazh eo leun a drugarekadennoù a vo rentet da Zoue gant meur a hini. 
2CO.9.13	Reiñ a raint eta gloar da Zoue evit ar sentidigezh a ziskouezoc'h e-keñver Aviel Krist dre brouenn ar sikour-se hag evit gwirionded ho tonezon en o c'heñver hag e-keñver an holl. 
2CO.9.14	Pediñ a reont evidoc'h, o karout ac'hanoc'h kalz abalamour d'ar c'hras c'hwek en deus graet Doue deoc'h. 
2CO.9.15	Ra vo rentet trugarekadennoù da Zoue evit e zonezon dilavarus!
2CO.10.1	Me Paol, a bed ac'hanoc'h, dre zouster ha madelezh Krist, me hag a zo uvel dirazoc'h met leun a hardizhegezh en ho keñver pa'z on pell diouzhoc'h, 
2CO.10.2	pediñ a ran ac'hanoc'h na vo ket ret din, pa vin ganeoc'h, implijout gant fiziañs an hardizhegezh-se am eus soñj d'ober ganti a-enep hiniennoù a sell ouzhimp evel pa gerzfemp hervez ar c'hig. 
2CO.10.3	Rak petra bennak ma kerzhomp er c'hig, ne stourmomp ket hervez ar c'hig. 
2CO.10.4	Rak hon armoù a vrezel n'int ket kigel, met galloudek int dre Zoue evit diskar ar c'hreñvlec'hioù, 
2CO.10.5	evit distrujañ an arguzennoù ha pep uhelder en em sav a-enep anaoudegezh Doue, hag evit degas pep soñj dalc'het da sentidigezh ouzh Krist, 
2CO.10.6	ha prest omp da gastizañ pep disentidigezh, pa vo peurglok ho sentidigezh. 
2CO.10.7	Sellout a rit ouzh an diavaez. Mar d-eus unan bennak hag a gred ennañ e-unan ez eo da Grist, ra gredo eta ivez ennañ e-unan penaos, evel ma'z eo-eñ da Grist, ni ivez a zo da Grist. 
2CO.10.8	Pa dennfen gloar muioc'h c'hoazh eus ar galloud en deus an Aotrou roet deomp evit kenteliañ ha nann evit ho tistrujañ, ne'm bo mezh ebet a gement-se, 
2CO.10.9	evit na vo ket kredet e fellfe din ober aon deoc'h dre va lizheroù. 
2CO.10.10	Rak, eme an dud, e lizheroù a zo garv ha nerzhus, met pa vez amañ, e zoare a zo dinerzh hag e gomz a zo dispriz. 
2CO.10.11	Ra anavezo an hini a gomz evel-se penaos evel ma'z omp en hor gerioù en hol lizheroù o vezañ pell diouzhoc'h, evel-se ivez ez omp en hon oberoù o vezañ dirazoc'h. 
2CO.10.12	Ne gredomp ket en em heñvelaat pe en em geñveriañ ouzh hiniennoù e-touez ar re en em veul o-unan. Met oc'h en em vuzuliañ o-unan drezo o-unan hag oc'h en em geñveriañ o-unan outo o-unan, e tiskouezont n'o deus skiant ebet. 
2CO.10.13	Met ne dennomp ket gloar en tu all d'ar pezh a zo dleet. Er c'hontrol e chomomp e-barzh ar muzul eus al lodenn en deus Doue roet deomp evit dont betek ennoc'h. 
2CO.10.14	N'en em astennomp ket pelloc'h eget n'eo dleet, ar pezh a vefe ma ne vijemp ket deuet betek ennoc'h. Met gwir eo ez omp deuet betek ennoc'h gant Aviel Krist. 
2CO.10.15	Ne dennomp ket gloar en tu all d'ar pezh a zo dleet, evel e labourioù ar re all, met esperout a reomp, pa vo kresket ho feiz, en em astennimp kalz pelloc'h en ur chom el lodenn a zo merket deomp, 
2CO.10.16	hag e prezegimp an Aviel en tu all d'ho pro, hep tennañ gloar eus ar pezh a zo dija bet graet e lodenn ar re all. 
2CO.10.17	Met an hini en em ro gloar dezhañ e-unan, ra en em roio gloar en Aotrou. 
2CO.10.18	Rak n'eo ket an hini en em veul e-unan a vez aprouet, met an hini a zo meulet gant an Aotrou.
2CO.11.1	Plijus e vefe din hag e c'hellfec'h gouzañv un tamm va follentez; ya, me ho ped, gouzañvit ac'hanon. 
2CO.11.2	Rak me a zo gwarizius ac'hanoc'h, gant ur warizi eus Doue, abalamour ma em eus unanet ac'hanoc'h da ur pried hepken, evit ho kinnig da Grist evel ur werc'hez c'hlan. 
2CO.11.3	Met evel ma tromplas an naer Eva dre widre, aon am eus na zeufe ivez ho soñjoù d'en em vreinañ diouzh an eeunder a zo e Krist. 
2CO.11.4	Rak mar deufe unan bennak da brezeg deoc'h ur Jezuz all disheñvel diouzh an hini hon eus prezeget, pe mar resevfec'h ur Spered all disheñvel diouzh an hini hoc'h eus resevet, pe un Aviel all disheñvel diouzh an hini hoc'h eus degemeret, en gouzañvfec'h mat. 
2CO.11.5	Met krediñ a ran n'on bet e netra izeloc'h eget ar wellañ ebestel. 
2CO.11.6	Mar d-on evel un den izel e-keñver ar gomz, n'on ket e-keñver an anaoudegezh. En em roet hon eus da anavezout en ho touez e pep doare hag en holl draoù. 
2CO.11.7	Ha graet em eus ur pec'hed oc'h en em izelaat va-unan evit ma vijec'h uhelaet, en ur brezeg deoc'h evit netra Aviel Doue? 
2CO.11.8	Diwisket em eus Ilizoù all, o resev diganto ur gopr evit ho servijañ. 
2CO.11.9	Pa'z on bet en em gavet en ezhomm en ho touez, n'on bet ur bec'h da zen ebet, rak ar vreudeur deuet eus Makedonia o deus pourvezet d'ar pezh a vanke din. En holl draoù ez on en em ziwallet da vezañ ur bec'h deoc'h hag en em virin. 
2CO.11.10	Dre wirionez Krist a zo ennon, ne vo ket lamet diganin al lec'h a c'hloar-se e broioù eus Akaia. 
2CO.11.11	Perak? Dre ma n'ho karan ket? Doue a oar. 
2CO.11.12	Met e ran kement-se hag henn ober a rin c'hoazh evit lemel pep digarez digant ar re a glask an digarez da vezañ kavet eveldomp en traoù a dennont gloar diouto. 
2CO.11.13	Rak hevelep tud a zo fals-ebestel, labourerien tromplus dic'hizet en ebestel Krist. 
2CO.11.14	Ha kement-se n'eo ket souezhus, rak Satan e-unan en em zic'hiz en un ael a sklêrijenn. 
2CO.11.15	N'eo ket eta fromus en em zic'hizfe ivez e servijerien e servijerien ar reizhder, met o diwezh a vo hervez o oberoù. 
2CO.11.16	Henn lavarout a ran c'hoazh, ra ne gemero den ac'hanon evel un den diskiant. Pe neuze, degemerit ac'hanon evel un den diskiant evit ma en em roin gloar un tamm ivez. 
2CO.11.17	Ar pezh a lavaran, n'eo ket hervez an Aotrou, met evel dre follentez, gant ar fiziañs-se a gavan gloar ennañ. 
2CO.11.18	Pa en em ro gloar meur a hini hervez ar c'hig, me en em roio gloar ivez. 
2CO.11.19	Rak e c'houzañvit a volontez vat ar re foll, c'hwi o vezañ fur. 
2CO.11.20	Mar deu unan bennak d'ho mestroniañ, d'ho lonkañ, da gregiñ ennoc'h, mar en em uhela, pe mar sko ac'hanoc'h war ho tremm, e c'houzañvit anezhañ. 
2CO.11.21	Mezh am eus o lavarout-se, ni a zo bet dinerzh. Koulskoude, e komzan gant follentez, kement tra a c'hell unan all krediñ ober, me a gred ivez henn ober. 
2CO.11.22	Hag Hebreed int? Bez' on ivez. Hag Israeliz int? Bez' on ivez. Hag a lignez Abraham int? Bez' on ivez. 
2CO.11.23	Ha ministred Krist int? Komz a ran gant follentez, bez' on muioc'h c'hoazh, kalz muioc'h el labourioù, kalz muioc'h er goulioù, muioc'h er prizonioù, alies e riskl ar marv, 
2CO.11.24	pemp gwech em eus bet digant ar Yuzevien daou-ugent taol skourjez nemet unan, 
2CO.11.25	teir gwech on bet pilet gant gwalinier, ur wech on bet meinataet, teir gwech em eus graet peñse, tremenet em eus un nozvezh hag un devezh en donder. 
2CO.11.26	Alies on bet e beaj, e riskl war ar stêrioù, e riskl a-berzh al laeron, e riskl e-touez tud va fobl, e riskl e-touez ar baganed, e riskl er c'hêrioù, e riskl el lec'hioù distro, e riskl war vor, e riskl e-touez ar fals-breudeur, 
2CO.11.27	er poanioù, el labourioù, er beilhadennoù alies, en naon, er sec'hed, alies er yunoù, er yenijenn, en noazhder. 
2CO.11.28	Hag hep komz eus an traoù all, bemdez ez on gronnet gant prederioù an holl Ilizoù. 
2CO.11.29	Piv a zo gwan, ha ne vefen ket gwan? Piv a zeu da gouezhañ, ha ne vefen losket? 
2CO.11.30	Mar d-eo ret en em reiñ gloar, e tennin gloar eus va gwander. 
2CO.11.31	An Doue ha Tad eus hon Aotrou Jezuz-Krist, benniget ra vo da virviken, a oar ne lavaran ket a c'hevier. 
2CO.11.32	E Damask, gouarnour ar roue Aretaz en doa graet diwall kêr an Damaskenianed evit kregiñ ennon, 
2CO.11.33	met diskennet e oan en ur baner dre ur prenestr, a-hed ar voger, hag em eus tech'et diouzh o daouarn.
2CO.12.1	A dra-sur ne zere ket ouzhin en em reiñ gloar, rak e teuin da gomz eus gweledigezhioù ha diskuliadurioù a-berzh an Aotrou. 
2CO.12.2	Anavezout a ran un den e Krist a voe estlammet betek an trede neñv ouzhpenn pevarzek vloaz 'zo; pe e voe en e gorf, n'ouzon ket, pe e voe er-maez eus e gorf, n'ouzon ket, Doue a oar. 
2CO.12.3	Gouzout a ran penaos an den-se, pe e voe en e gorf, n'ouzon ket, pe e voe er-maez eus e gorf, n'ouzon ket, Doue a oar, 
2CO.12.4	a voe savet er baradoz, hag e klevas komzoù dilavarus ha ne c'hell ket an den o distagañ. 
2CO.12.5	Tennañ a rin gloar eus an den-se, met ne dennin ket gloar ac'hanon va-unan, nemet eus va dinerzhded. 
2CO.12.6	Ma fellfe din en em reiñ gloar, ne vefen ket diskiant rak ne lavarfen nemet ar wirionez, met en em virout a ran evit na veulo den ac'hanon en tu all d'ar pezh a wel ennon pe d'ar pezh a glev diganin. 
2CO.12.7	Ha gant aon n'en em c'hwezhfen re abalamour da vrasted dispar an diskuliadurioù-se, eo bet lakaet din em c'hig ur broud, un ael eus Satan, evit va c'hrabanata, evit n'en em uhelafen ket. 
2CO.12.8	Teir gwech em eus pedet an Aotrou d'e bellaat diouzhin, 
2CO.12.9	ha lavaret en deus din: Va gras a zo a-walc'h evidout, rak va galloud en em ziskouez en dinerzded. Tennañ a rin gloar eta kentoc'h eus va dinerzhded, evit ma chomo galloud Krist ennon. 
2CO.12.10	Dre-se, en em blijout a ran en dinerzhded, er dismegañsoù, en ezhommoù, en heskinoù, en ankenioù, evit anv Krist. Rak pa'z on dinerzh, neuze ez on kreñv.
2CO.12.11	Foll on bet oc'h en em reiñ gloar, c'hwi eo hoc'h eus va rediet da vezañ. Rak ganeoc'h eo e tleen bezañ meulet, dre ma n'on ket bet izeloc'h e netra eget ar re wellañ eus an ebestel, petra bennak ma n'on netra. 
2CO.12.12	Ar prouennoù eus va abostolerezh o deus lugernet en ho touez dre ur basianted leun, dre virakloù, burzhudoù hag oberoù a c'halloud. 
2CO.12.13	Rak e petra oc'h bet disteroc'h eget an Ilizoù all, nemet en dra ma ne'm eus ket bec'hiet ac'hanoc'h? Pardonit din ar gwall-se. 
2CO.12.14	Setu, evit an trede gwech on prest da vont d'ho kavout ha ne viot ket bec'hiet ganin, rak n'eo ket ho madoù a glaskan, c'hwi hoc'h-unan eo. Evit gwir, n'eo ket ar vugale a dle dastum evit an tadoù, met an tadoù evit ar vugale. 
2CO.12.15	Me a zispigno a galon-vat hag en em zispigno c'hoazh va-unan evit hoc'h eneoù, petra bennak ma vin karet nebeutoc'h, o karout ac'hanoc'h gant kement a garantez. 
2CO.12.16	Mat! Ne'm eus ket bec'hiet ac'hanoc'h, met o vezañ un den troidellus, em eus ho kemeret dre ijin. 
2CO.12.17	Ha tennet em eus un dra bennak diganeoc'h dre unan bennak eus ar re am eus kaset deoc'h? 
2CO.12.18	Dibabet em eus Tit ha kaset em eus ur breur gantañ. Hag en deus tennet Tit ur gounid bennak diganeoc'h? Ha n'hon eus ket kerzhet en hevelep spered, war an hevelep roudoù? 
2CO.12.19	Ha krediñ a rit e fell deomp adarre en em zidamall dirazoc'h? Komz a reomp dirak Doue e Krist, ha kement-se holl, re garet mat, evit ho kenteliañ. 
2CO.12.20	Rak aon am eus, pa'z in d'ho kavout, na gavin ket ac'hanoc'h evel ma fell din, ha na gavot ket ac'hanon evel ma fell deoc'h, na vo tabutoù, gwarizi, kasonioù, dirollerezh, droukkomzoù, falstamalloù, ourgouilh, trubuilhoù, 
2CO.12.21	hag o tistreiñ d'ho kavout, na rofe Doue din mezh en ho touez, na'm befe da ouelañ war meur a hini eus ar re o deus pec'het diagent ha n'o deus ket bet keuz eus an dic'hlanded, eus an hudurniezh hag eus ar c'hadaliezh o deus graet.
2CO.13.1	Setu an trede gwech ma'z an d'ho kavout. War gomz daou pe dri dest pep tra a vo peurglozet. 
2CO.13.2	Lavaret em eus dija ha lavarout a ran a-ziagent, evel pa vefen en ho touez evit an eil gwech, bremañ o vezañ ezvezant, e skrivan d'ar re o deus pec'het a-ziaraok ha d'an holl re all, penaos mar deuan adarre n'espernin hini anezho, 
2CO.13.3	peogwir e klaskit ur brouenn emañ Krist o komz drezon, eñ ha n'eo ket dinerzh en ho keñver met a zo galloudek ennoc'h. 
2CO.13.4	Rak, petra bennak ma'z eo bet staget ouzh ar groaz en dinerzhded, koulskoude ez eo bev dre c'halloud Doue. Ni ivez a zo dinerzh ennañ, met bevañ a raimp gantañ dre c'halloud Doue en ho keñver. 
2CO.13.5	En em eveshait hoc'h-unan da welout hag emaoc'h er feiz, en em amprouit hoc'h-unan. Ha n'anavezit ket hoc'h-unan penaos emañ Jezuz-Krist ennoc'h? Nemet e vefec'h marteze diveulet. 
2CO.13.6	Met esperout a ran ec'h anavezot penaos n'omp ket ni diveulet. 
2CO.13.7	Met e pedan Doue na reot droug ebet, nann evit ma seblantfemp bezañ kavet mat, met evit ma reot ar pezh a zo dereat d'ober, ha pa dlefemp bezañ evel diveulet hon-unan. 
2CO.13.8	Rak n'hon eus galloud ebet a-enep ar wirionez, met evit ar wirionez. 
2CO.13.9	Levenez hon eus pa vezomp dinerzh gant ma viot kreñv. Hag ar pezh a c'houlennomp en hor pedennoù, eo ma teuot da vezañ peurvat. 
