MAT.1.1	Абраһамай үри һадаһан болохо Давидай үри һадаһан Иисус Христосой уг гарбалынь иимэ:
PHP.4.16	Фессалоники хотодошье байхадамни таанад хэдэн удаа намда хэрэгтэй юумэ эльгээгээ һэнта. 
PHP.4.17	Таанадһаа юумэ абаха зорилготойгоор энээниие хэлэнэ бэшэб, харин таанадай шагналда нэмэри болохо юумые хараха һанаатайгаар хэлэнэб. 
PHP.4.18	Би таанадай эльгээһэн бүхы юумые абааб – тэдэ бүхэн намда хангалтай хүрөө. Таанадай үгэһэн бүхы бэлэгүүдые Епафродит намда асаржа үгөө, мүнөө хэрэгтэй бүхы юумэн намда байна. Хангал һайхан уталга үргэхэдэ Бурхан ехэ дуратай байдаг, тон тиигэжэл тэрэ танай бэлэгүүдтэ баясана. 
PHP.4.19	Бурхамни Иисус Христосой аша туһаар өөрын элбэг дэлбэг баялигһаа таанадта хэрэгтэй бүхэниие үршөөһэй гэжэ би зальбарнаб. 
PHP.4.20	Манай Эсэгэ Бурхан хэтын хэтэдэ алдар солотой байһай! Болтогой!
PHP.4.21	Иисус Христосой мэдэлдэ байһан Бурханай хүнүүдтэ минии мэндые дамжуулаарайгты. Намтай хамта байһан һүзэглэгшэд таанадта амар мэндые хүргэнэ. 
PHP.4.22	Эндэ байһан Бурханай хүнүүд булта, илангаяа хаанай ордондо ажал хэгшэд таанадта амар мэндые хүргэжэ байна.
PHP.4.23	Дээдын Эзэн Иисус Христосой үршөөл хайра та бүгэдэнтэй оршожо байг лэ.
COL.1.1+COL.1.2	Аха дүүнэр, Иисус Христостой нэгэдэһэн Колоссы хотын һүзэг этигэлтэй Бурханай хүнүүд, Бурханай эрхэ мэдэлээр Христос Иисусай элшэн болоһон би Павел ба манай дүү Тимофей таанадые амаршалнабди.
COL.1.1+COL.1.2	Бурхан Эсэгэһээ таанадта үршөөл хайра ба амгалан тайбаниие айладханабди
COL.1.3+COL.1.4	Иисус Христосто этигэдэг тухайтнай, Бурханай бүхы зондо дуратай байдаг тухайтнай бидэ дуулаа һэмди. Тиимэһээ та бүхэнэй түлөө зальбархадаа, бидэ Дээдын Эзэн Иисус Христосой Эсэгэ Бурханда ходо баясхалан хүргэжэ байдагбди. 
COL.1.5	Үнэн зүб үгые, Һайн Мэдээсэлые анхан таанадта номноходомнай, таанад найдалга тухай дуулаа һэнта. Бурханай тэнгэри дээрэ бэлдээд байһан юумэндэ найдажа байһан дээрэһээ таанад һүзэглэнэт, дуратай байнат. 
COL.1.6	Һайн Мэдээсэл бүхы замбуулин дэлхэй дээрэ ехэ һайнаар дэлгэржэ, үрэ дүн асаржа байна. Бурханай буян хэшэг тухай анха дуулаад, үнэн ушарынь мэдэхэдэтнай тэрэ таанадай дунда баһа һайнаар дэлгэржэ байһан юм. 
COL.1.7	Бидэнтэй хамта хүдэлдэг, бидэнэй аша туһада Христосто этигэл найдалтайгаар алба хэдэг инаг хайрата Епафрасһаа Бурханай үршөөл хайра тухай мэдэһэн байгаат. 
COL.1.8	Таанадта үгэжэ байһан Нангин Һүлдын хайра дуран тухай тэрэ бидэндэ дуулгаһан байгаа.
COL.1.9	Тиимэһээ бидэ таанад тухай дуулаһан үдэрһөө эхилжэ үргэлжэ таанадай түлөө зальбаржа байдагбди. Бурханай Һүлдын үгэдэг гүн ухаан, ойлгосо таанадтай байха тухайнь, тиигэхэдэ Бурханай дура хүсэлөө таанадта харуулжа байха тухайнь бидэ Бурханиие гуйдагбди. 
COL.1.10	Тиигэбэл таанад Дээдын Эзэнэй хүсэһэн ёһоор ажамидаржа, тэрээндэ һайшаагдаха юумые хэдэг байхат. Таанад һайн һайхан хэрэгүүдые бүтээжэ, Бурханиие бүрил һайн мэдэрдэг болохо һэнта. 
COL.1.11+COL.1.12	Тэрэнэй алдарта хүсэ шадалаар бэхижэн, таанад аргагүй ехэ тэнхээ тэсэбэритэй болохот. Тиимэһээ тэнгэриин гэрэл туяада өөрынгөө хүнүүдтэ бэлдээд байһан юумые хубаалсаха эрхэ таанадта үгэһэн Эсэгэдээ баяртайгаар баясхалан хүргэгты.
COL.1.13	Бурхан бидэниие харанхы мунхагай хүсэнһөө аршалжа, инаг хайрата Хүбүүнэйнгээ эрхэ засагта оруулаа юм. 
COL.1.14	Тэрэ Хүбүүниинь бидэнэй нүгэлнүүдые хүлисөөд, бидэниие эрхэ сүлөөтэй болгоо юм.
COL.1.15	Харагдадаггүй Бурханиие бидэ
COL.1.15	Христос соо хараха аргатайбди.
COL.1.15	Христос Бурханай ууган Хүбүүн юм,
COL.1.15	Тэрэ бүтээгдэһэн бүхы юумэнэй дээгүүр юм.
COL.1.16	Газар дэлхэй, тэнгэри огторгой дээрэхи
COL.1.16	Харагдадагшье, харагдадаггүйшье юумэнүүдые,
COL.1.16	тэдэнэй тоодо хаануудые, эзэдые,
COL.1.16	засаглагшадые, захирагшадые
COL.1.16	Бурхан тэрэнэй ашаар бүтээгөө.
COL.1.16	Бүхы юумые тэрэнэй ашаар,
COL.1.16	Бүхы юумые тэрэнэй тулада
COL.1.16	Бурхан бүтээгөө юм.
COL.1.17	Бүхы юумэнүүдэй бүтээгдэхэһээ урда
COL.1.17	Христос байгаа,
COL.1.17	тиимэһээл тэрэнэй ашаар
COL.1.17	бүхы юумэн оршожо байна.
COL.1.18	Тэрэ һүзэглэгшэдэй бүлгэмэй толгойнь юм,
COL.1.18	һүзэглэгшэдэй бүлгэм тэрэнэй бэень юм.
COL.1.18	Тэрэ тус бэеын амидаралай эхин болоно.
COL.1.18	Бүхы юумэнүүдэй дээгүүр байхын тула
COL.1.18	тэрэ ууган Хүбүүн үхөөд,
COL.1.18	хамагай түрүүндэ амидыруулагдаһан юм.
COL.1.18	Тэрэ хамаг юумэнэй түрүүндэ юм.
COL.1.19	Бурхан бүхы шанарнуудаа
COL.1.19	Хүбүүндээ шэнгээхэ дуратайл байгаа.
COL.1.20	Хүбүүнэйнгээ ашаар бүхы юртэмсэтэй
COL.1.20	Бурхан эблэрхэ һанаатай байгаа.
COL.1.20	Хэрээһэндэ хадуулаад үхэһэн Хүбүүнэйнгээ шуһаар
COL.1.20	Бурхан энхэ тайбаниие тогтоожо,
COL.1.20	газар дэлхэй болон тэнгэри огторгой дээрэхи
COL.1.20	бүхы юумэнүүдтэй эбээ нэгэдхүүлээ юм.
COL.1.21	Нүгэлтэ юумэнүүдые һанаашалжа, үйлэдэжэ байһан дээрэһээ хэзээ нэгэн сагта таанад Бурханһаа холо байгаат, тэрэнэй дайсадынь байгаат. 
COL.1.22	Харин мүнөө өөрынгөө урда таанадые нангин, арюун сэбэр, гэмгүй байлгахын тула Хүбүүнэйнгээ үхэлөөр Бурхан таанадтай эбээ нэгэдхүүлбэ. 
COL.1.23	Тиимэһээ таанад хатуу ба сухаришагүй һүзэглэжэ байха ёһотойт, Һайн Мэдээсэлые шагнажа этигэһэн найдабарияа алдаха ёһогүйт. Ушарынь юуб гэхэдэ, би Павел газар дэлхэй дээрэ бүхы амитадта номногдоһон тэрэ Һайн Мэдээсэлэй зарасань болооб.
COL.1.24	Мүнөө би таанадай түлөө зоболон эдлэжэ байхадаа жаргалтай байнаб, ушарынь ямар бэ гэхэдэ, Христосой бэень болохо һүзэглэгшэдэй бүлгэмэй түлөө би Христостол адляар зобоноб, тиихэдээ дутуу зоболонгуудые хүсэлдүүлжэ байнаб. 
COL.1.25+COL.1.26	Бурхан намайе һүзэглэгшэдэй бүлгэмэй алба хэгшээр табяад, таанадай һайн һайханай түлөө Бурханай үгые гүйсэд номнохо ажал даалгаа. Тэрэ Бурханай үгэ үнгэрһэн үе сагта хүн түрэлхитэнһөө далда байгаа, харин мүнөө Бурханай зондо элирхэйлэгдээ. 
COL.1.27	Энэ нюусаяа Бурхан өөрынгөө хүнүүдтэ мэдүүлхэ гэжэ түсэблэжэ байна, гэхэтэй сасуу энэ үнэтэй ба алдарта нюусань бүхы хүнүүдтэ юм. Тэрэ нюусань – Христос таанадай досоо гэһэн удхатай, таанад Бурханай алдарые хубаалсахат гэһэн удхатай юм. 
COL.1.28	Тиимэһээ бидэ Христосые хүн бүхэндэ номножо байнабди. Иисус Христостой нэгэдэһэн хүн бүхэниие Бурханай урда байлгахын тула бидэ бүхы ухаан бодолоороо тэдэниие һурганабди, идханабди. 
COL.1.29	Тэрэ бүхэнэй тулада би Христосой үгэжэ байһан, минии зосоо ажаллажа байһан агуу хүсые ашаглан оролдосотойгоор хүдэлжэ байнаб.
COL.2.1	Таанадай, Лаодики хотынхидой болон намайе нюураарни танихагүйшье хүнүүдэй түлөө эршэтэйгээр минии ажаллажа байһан тухай мэдэжэ байхыетнай хүсэнэб. 
COL.2.2	Тэдэниие урмашуулхын, хайра дураарнь нэгэдүүлхын тула, үнэн зүб ойлгосо үгэдэг баталаатай баялигаар элбэг байлгахын тула би тиигэжэ хүдэлнэб. Тиигэжэл тэдэ зон Бурханай нюусые, Христосые мэдэхэ. 
COL.2.3	Христос болбол Бурханай мэргэн ухаанай болон мэдэрэлгын баялигые нээхэ түлхюур юм.
COL.2.4	Хэдышье һайн гэжэ һанагдаһан хуурмаг үгэнүүдээр таанадые хэнэйшье хорхойтуулхагүйн, һамааруулхагүйн тула эдэ бүгэдые хэлэжэ байнаб. 
COL.2.5	Би бэеэрээ таанадай хажууда байгаашьегүй һаа, һанал бодолоороо таанадтай хамта байнаб, тиин Христосто этигэһэн һүзэгэйтнай бата хатуу байһыень, һайн журамтай байхыетнай хараад баясажа байнаб.
COL.2.6	Христос Иисусые Дээдын Эзэн гэжэ тооложо байһандаал адли тэрээнтэй хамта ажамидаржа байгты. 
COL.2.7	Таанадые һургаһан ёһоор тэрээн соо үндэһэеэ гүнзэгы табигты, тэрэниие һуури болгон ажамидаралаа зохёогты, бүри ехээр тэрээндэ һүзэглэжэ байгты. Тиигэхэтэйгээ сасуу Бурханда ходо баяр хүргэжэ байгты.
COL.2.8	Христосһоо бэшэ, харин замбуулиниие захирһан хүсэнүүдһээ
COL.2.9	Христосой махабад бэе соо Бурханай бүхы шанарнууд бүрин оршоно. 
COL.2.10	Тэрээнтэй нэгэдэхэдээ таанадайшье ажамидарал эрхим түгэс шанартай болоо. Христос ямаршье засаглагшадһаа, захирагшадһаа дээгүүр юм.
COL.2.11	Христостой нэгэдэхэдээ, таанад отолуулһан байгаат, зүгөөр хүнүүдэй отолуулдаг аргаар бэшэ, харин Христосоор отолуулһан байгаат. Энэ отолуулга таанадые нүгэлтэ хэрэгүүдые хүүлэдэг заншалнуудһаатнай сүлөөлһэн удхатай юм. 
COL.2.12	Таанад уһаар арюудхагдахадаа Христостой хамта үхөөт, тиихэдээл тэрэниие амидыруулһан Бурханай хүсэндэ этигэжэ, Христостой хамта амидыруулагдаат. 
COL.2.13	Таанад нүгэл хэдэг, отолуулаагүй, Бурханай хүнүүд бэшэ байһан дээрэһээ урдань үхэһэн хүнүүдтэл адли байгаат. Харин Бурхан таанадые мүнөө Христостой хамта амидыруулаа. Бурхан бидэнэй бүхы нүгэлнүүдые хүлисөө. 
COL.2.14	Нүгэлнүүднай маанадые Бурханда үритэйшүүл болгоо. Хуулиин ёһоор бидэнэй түлэхэ ёһотой үри шэриин тэмдэглэлнүүдые тэрэ арилгаба. Манай үри шэри ба нүгэлнүүдые тэрэ хэрээһэн дээрэ саазалуулагдан түлэбэ. 
COL.2.15	Тиигэжэ Христосой ашаар Бурхан захирагша ба засаглагша хүсэнүүдые дараа, тиигээд илалта туйлахадаа тэдэ хүсэнүүдые плендэ абтаһан зондол адляар бүхы арадай урда ябуулаа.
COL.2.16	Иигэхэдээ эдижэ, уужа байһан юумэнһээтнай боложо гү, али ямар нэгэн һайндэрэй, Шэнэ Һарын һайндэрэй гү, али субботын үдэрэй түлөө хэншье таанадые бү зэмэлэг. 
COL.2.17	Тэдэ юумэнүүд ерээдүй алдарай – Христосой бэеын – һүүдэрынь лэ гээшэ. 
COL.2.18	Үзэл үзэдэг хадаа бусад хүнүүдһээ дээгүүрби гэдэг хүнүүд, даруу зантай байһан хэбэр үзүүлдэг хүнүүд, Эльгээмэлнүүдтэ шүтэдэг хүнүүд шагналыетнай бү буляаг лэ. Тиимэ хүнүүд ехэ ухаатайб гэжэ дэмы һайрхана. Үнэндөө тэдэнэр тэнэгүүд юм. 
COL.2.19	Тэдэнэр бэеын толгой болохо Христосто найданагүй. Гэхэтэй сасуу бэе толгойн, Христосой хиналта доро ургажа, тэрэнэй бүридэл болон барисаагаар холбогдуулан эблэрэн, Бурханайл дураар ургадаг юм.
COL.2.20+COL.2.21	Таанад Христостой үхөөд, энэ замбуулиниие захирһан хүсэнүүдһээ сүлөөлэгдэбэт. Тиихэдээ яагаад таанад энэ дэлхэйн харьяалда байһандал адли ажамидарна гээшэбта? Яагаад таанад: «Гар бү хүрэ», «Амтыень бү үзэ», «Барижа бү үзэ» гэхэ мэтын тогтоолнуудые сахина гээшэбта? 
COL.2.22	Тэрэ мэтын юумэнүүд хэрэглэгдэһэнэйнгээ һүүлээр хэрэггүй болодог. Эдэ тогтоолнууд хүнүүдэйл зохёоһон дүримүүд ба һургаалнууд гээшэ. 
COL.2.23	Тиимэ тогтоолнуудые баримталхада сэсэн юумэ хэһэнтэйл адляар бодогдодог. Гэхэтэй сасуу Бурханда бүри ехээр дуратай, даруу зантай, бэеэ баридаг болоһон шэнги байдаг. Үнэндээ тэдэ тогтоолнууд хүнэй хүсэлэнгүүдые мэдэлдээ абаха аргагүй юм.
COL.3.1	Таанад Христостой амидыруулагдаһан хадаа Бурханай баруун талада хаан шэрээдэ һууһан Христосой оршодог тэнгэридэхи юумэнүүдтэ зүдхэгты. 
COL.3.2	Эндэ, газар дэлхэйдэ байһан юумэнүүдтэ бэшэ, харин тэндэ, тэнгэридэ байһан юумэнүүдтэ һаналаа табижа байгты. 
COL.3.3	Таанад Христостой үхэһэн байгаат, тиимэһээ аминтнай Бурханай урда Христостой хамта хоргодуулагдаад байна. 
COL.3.4	Танай бодото амидарал болбол Христос гээшэ, тиин тэрэнэй ерэхэдэ таанадшье тэрээнтэй хамта алдартань хүртэлсэн ерэхэт.
COL.3.5	Таанад досоотнай хүдэлдэг дэлхэйн хүсэлэнгүүдые: эрэдээ гү, али эхэнэртээ урбалта, забхайралга, шунал, нүгэлтэ хүсэлэнгүүд, онгонуудта шүтэхэтэй сасуулагдама хомхойрол гэхэ мэтын юумэнүүдые һүнөөхэ ёһотойт. 
COL.3.6	Тиимэ юумэнүүдые үйлэдэдэг, мэдэлдэнь ородоггүй хүнүүдые Бурхан хэһээхэ. 
COL.3.7	Таанад өөһэдөөшье тэдэ зоной дунда амидаржа байхадаа тиимэ хүсэлэнгүүдэй мэдэлдэ байдаг бэлэйт.
COL.3.8	Харин мүнөө таанад уурлахаяа, галзуугаар сухалдахаяа, хорлохоёо, Бурханиие муушалхаяа, муухай үгэнүүдые хэлэхэеэ, эдэ мэтын муухай юумэнүүдые үйлэдэхэеэ болигты. 
COL.3.9	Бэе бэедээ худал юумэ хэлэхэеэ болигты, таанад урданайгаа ажамидаралые заншалнуудтайнь хамта орхёо ха юмта. 
COL.3.10	Таанад шэнэ хүнүүд болобот. Таанадта өөрыгөө бүрин мэдүүлхын тула Бурхан, Бүтээгшэ тиимэ хүнүүдые бүрил өөртөө адли болгон шэнэдхэдэг юм. 
COL.3.11	Эсэстээ грегүүдэй болон иудейнүүдэй хоорондо, отолуулһан болон отолуулаагүй хүнүүдэй хоорондо, хариин болон зэрлиг зоной хоорондо, барлагуудай болон сүлөөтэй хүнүүдэй хоорондо ямаршье илгаа үгы юм, гансал Христос бии юм, тиин бүхы юумэн Христос, бүхы юумэн соо Христос байха юм.
COL.3.12	Таанад гэгээн хүнүүд гээшэт. Бурхан таанадта дуратай, таанадые өөртөө шэлэжэ абаа юм. Тиимэһээ таанад бэе бэеэ хайрлажа, бэе бэедээ һайнаар хандажа байгты, номгон, даруу зантай, тэсэбэритэй байгты. 
COL.3.13	Таанад бэе бэеэ ойлгожо байгты, тиимэһээ хэн нэгэнэйтнай нүгөөдэдөө гомдолтой байбалнь, гомдохооһон хүнөө хүлисэжэ байгты. Дээдын Эзэнэй таанадые хүлисэһэндэл адли таанад бэе бэеэ хүлисэжэ байха ёһотойт. 
COL.3.14	Энээнһээ гадна үшөө бэе бэедээ дуратай байгты. Хайра дуран бүхы һүзэглэгшэдые холбодог, тиигэжэ тэдэнэр бодотоор нэгэдэдэг юм. 
COL.3.15	Христосой хайрлажа байһан энхэ тайбан таанадай зүрхэ сэдьхэлые хүтэлжэ байг лэ. Бурхан энхэ тайбанай тулада таанадые дуудажа, нэгэ бэе болгон нэгэдхээ ха юм. Үргэлжэ баяр хүргэжэ байгты. 
COL.3.16	Христосой һургаал ажамидаралайтнай гол хүтэлэгшэнь болог лэ. Бэе бэеэ ухаатайгаар, бодомжотойгоор һургажа, заабарилжа байгты. Бурханда баяр хүргэн, псаломууд, магтаалнууд, арюун нангин дуунуудые дуулажа байгты. 
COL.3.17	Ямаршье юумые Дээдын Эзэн Иисусай нэрэ алдарай түлөө хэжэ, али хэлэжэ байгты, тэрэнээр дамжуулан Эсэгэ Бурхандаа баяр хүргэжэ байгты.
COL.3.18	Эхэнэрнүүд, үбгэдэйнгөө эрхэ мэдэлдэ байгты. Дээдын Эзэндэ һүзэглэдэг зон тиигэжэл өөһэдыгөө абажа ябаха ёһотой юм.
COL.3.19	Эрэшүүл, һамгадтаа дуратай байгты. Тэдээндээ шэрүүнээр бү хандагты.
COL.3.20	Үхибүүд, эхэ эсэгынгээ үгэ ходо дуулажа ябагты. Дээдын Эзэн тиимэ ябадалые һайшаадаг юм.
COL.3.21	Эсэгэнэр, үхибүүдэйнгээ сухалыень бү хүргэжэ байгты, тиигэбэлтнай тэдэтнай урмаа хухарха.
COL.3.22	Барлагууд, эзэдэйнгээ үгэ ходо дуулажа байгты. Билдагуушадтал адли эзэдэйнгээ гансал хаража байхадань бэшэ, харин тэдээндэ һайшаагдаха юумэ гэнэн зүрхэнһөөн, Бурханда һүгэдэн, ходо хэжэ байгты. 
COL.3.23	Ямаршье юумэ хэхэдээ, эзэдынгээ магтаалда хүртэхын тула бэшэ, харин Дээдын Эзэнэй һайшаалда хүртэхын тула үнэн зүрхэнһөө зүдхэжэ байгаарайт. 
COL.3.24	Дээдын Эзэнэй өөрынгөө хүнүүдтэ бэлдээд байһан юумые тэрээнһээ залгамжалан абахат гэжэ мэдэжэ байгты. Таанад бодото Эзэн Христосто алба хэжэ байна гээшэт. 
COL.3.25	Гэмтэ юумэ хэһэн хүн бүхэн өөрынгөө буруугай зэргээр лэ абаха. Бурхан хүн бүхэниие нэрэ түрөөрнь бэшэ, харин үйлэ хэрэгүүдээрнь лэ шиидхэдэг юм.
COL.4.1	Эзэд, өөһэдынгөө барлагуудта үнэн сэхээр хандажа байгты. Таанад өөһэдөө тэнгэридэ Эзэнтэй байһанаа мэдэнэ ха юмта.
COL.4.2	Үргэлжэ Бурханда баяр хүргэн зальбаржа байгты, зальбархадаа, һэргэлэн байгты. 
COL.4.3	Христос тухай нюусые тайлбарилхадамнай, Бурханай үгые дэлгэрүүлхэдэмнай, Бурханай бидэндэ һайн боломжо үгэжэ байхынь тулада, таанад бидэнэйшье түлөө баһа зальбаржа байгты. Христос тухай номноһонойнгоо түлөө би мүнөө түрмэдэ һуужа байнаб. 
COL.4.4	Тэрэ нюусые номноходоо шадаха зэргээрээ ойлгосотой болгон хэлэжэ байхымни тулада зальбаржа байгты.
COL.4.5	Сагаа гээнгүй һүзэглэдэггүй зондо аша туһа хүргэжэ байгаарайт, тэдэндэ ехэл ухаамсараар хандажа байгаарайт. 
COL.4.6	Хэлэхэдээ таанад зохисохо болон һонирхохо юумэ ходо хэлэжэ байха, тиин хүн бүхэндэ яажа зүб харюу үгэхые мэдэжэ байха ёһотойт.
COL.4.7	Бидэнээр хамта Дээдын Эзэндэ алба хэдэг үнэн сэхэ, инаг хайрата манай дүү Тихик нам тухай таанадта дуулгаха. 
COL.4.8	Бидэнэй яажа ажамидаржа байһан тухай таанад дуулаад, урмашахынтнай тула би тэрэниие таанадта ябуулаа һэм. 
COL.4.9	Тихиктэй хамта таанадай нэгэн болоһон, манай найдалтай болон инаг хайрата дүү Онисим ябалсаа. Тэдэнэр эндэ боложо байһан бүхы юумые таанадта хөөрэжэ үгэхэ.
COL.4.10	Намтай хамта түрмэдэ һууһан Аристарх, Варнавын аша хүбүүн Марк таанадта мэндые хүргэнэ. (Маркын таанадта ошоболнь, тэрэниие угтажа абаха захиралта таанадта үгтэһэн байна). 
COL.4.11	Иуст гэжэ нэрлэгдэдэг Иисус таанадта баһа мэндые хүргэнэ. Эдэ гурбан Бурханай эрхэ засагай мандахын тула намтай хамта хүдэлжэ байһан еврей һүзэглэгшэд юм, тиин тэдэ намда ехэл аша туһатай байгаа юм. 
COL.4.12	Иисус Христосой зараса, таанадай үшөө нэгэн болохо Епафрас таанадта баһа амар мэндые хүргэнэ. Тэрэ таанадай эрхим түгэс боложо, Бурханай эрхэ хүсэлые бүрин мэдэжэ байхын тула таанадай түлөө үргэлжэ Бурханда зальбардаг юм. 
COL.4.13	Таанадай болон Лаодики, Иераполь хотодо байһан хүнүүдэй түлөө тэрэнэй ехэл эршэтэйгээр ажаллажа байдагыень би өөрөө баталжа шадахаб. 
COL.4.14	Манай эрхим хүндэтэ Лука эмшэ ба Демас хоёр таанадта мэндые хүргэжэ байна.
COL.4.15	Лаодики хотын һүзэглэгшэдтэ, Нимфада, тэрэнэй гэртэ суглардаг һүзэглэгшэдэй бүлгэмдэ бидэнһээ мэндые дамжуулаарайт. 
COL.4.16	Таанад энэ хандалгые уншаад, һүүлдэнь Лаодики хотын һүзэглэгшэдэй бүлгэмдэ баһа уншуулаарайт. Тиихэтэй сасуу Лаодики хотын һүзэглэгшэдтэ минии эльгээһэн хандалгые таанад уншаарайт. 
COL.4.17	«Дээдын Эзэнэй даалгаһан ажалые бүтээгээрэй», – гэжэ Архипда хэлээрэйт.
COL.4.18	Павел таанадые амаршална гэжэ би өөрын гараар бэшэнэб. Гэнжэнүүдээр хүлеэтэй байһан тухаймни һанажа байгаарайгты.
COL.4.18	Бурханай үршөөл хайра та бүхэнтэй оршожо байхань болтогой.
1TH.1.1	Фессалоники хотын һүзэглэгшэдэй бүлгэм, таанадые Павел, Силуан, Тимофей гурбан амаршална. Эсэгэ Бурхан ба Дээдын Эзэн Иисус Христос таанадта үршөөл хайра ба амгалан тайбаниие үршөөг лэ!
1TH.1.2	Та бүхэнэй түлөө бидэ Бурханда ходо баясхалан хүргэжэ, та бүхэниие үргэлжэ зальбаралдаа дурдажа байдагбди. 
1TH.1.3	Эсэгэ Бурханай урда тээ этигэл һүзэгөө хэрэг дээрээ бэелүүлдэг байһыетнай, хайра дуран ажалыетнай бүхэжүүлдэг байһыень, Дээдын Эзэн Иисус Христосто бэхи батаар найдажа байдагыетнай бидэ үргэлжэ һанадагбди. 
1TH.1.4	Аха дүүнэрни, Бурхан таанадта дуратай, таанадые шэлэжэ абаа юм гэжэ бидэ мэдэнэ ха юмди. 
1TH.1.5	Һайн Мэдээсэлые таанадта асархадаа бидэ ганса үгэнүүдые хэрэглээ бэшэ, үшөө Нангин Һүлдын хүсэ хэрэглээбди. Һайн Мэдээсэлэй үнэн зүб байһыень харуулаабди. Таанадай дунда байхадаа, танай аша туһада яажа амидаржа байһыемнай таанад мэдэнэт.
1TH.1.6	Таанад маанадта болон Дээдын Эзэндэ һажаан ажамидаржа эхилээ һэнта. Ехэ зобожо байһаншье һаа, Бурханай үгые таанад баяртайгаар угтажа абаа һэнта. Энэ баяр таанадта Нангин Һүлдэ олгожо байна. 
1TH.1.7	Тиигэжэ таанад Македонидо ба Ахайяда амидарһан бүхы һүзэглэгшэдтэ жэшээ харуулбат. 
1TH.1.8	Таанад Македонидо ба Ахайяда ганса Бурханай үгэ тараагаа бэшэт, үшөө таанадай Бурханда һүзэглэдэг тухай мэдээсэл хаа хаанагүй тараа. Тиимэһээ дахин дурдаһанай хэрэггүй байна. 
1TH.1.9+1TH.1.10	Маанадай таанадта ошоходо, таанадай яажа бидэниие угтажа абаһан тухай, онгонуудаа орхижо, Бурханда хандаһан тухайтнай булта хөөрэлдэжэ байна. Үнэн зүб ба амиды Бурханда алба хэхэ һанаатайгаар, маанад дээрэ ерээдүйдэ бууха ёһотой Бурханай уур сухалһаа аршалжа байһан, үхөөд амидырһан Христосой тэнгэриһээ буужа ерэхые хүлеэхэ һанаатайгаар таанад Бурханда хандаһан байгаат.
1TH.2.1	Аха дүүнэрни, бидэнэй таанадта ерэһэн хэрэг дэмы үнгэрөөгүй гэжэ таанад өөһэдөө мэдэнэт. 
1TH.2.2	Филиппы хотодо байхадамнай ямар муугаар бидэндэ хандажа, бидэниие баһажа доромжолһыень таанад мэдэнэт. Манда эсэргүүсэһэн зоной олон байһаншье һаань, Һайн Мэдээсэлые номнохо зориг бидэндэ Бурхан үгөө юм. 
1TH.2.3	Манай таанадта номножо байгаа һургаалда алдуушье үгы, булхайтай ушар шалтагааншьегүй, бидэ хэнииешье мэхэлхэ гэжэ оролдоногүйбди. 
1TH.2.4	Бурхан бидэниие туршаад, Һайн Мэдээсэл номнохыемнай даалгаа. Тиимэһээ номноходоо бидэ хүнүүдтэ һайшаагдаха гэжэ оролдодоггүйбди, харин бидэнэй һанал бодолые туршажа байдаг Бурханда һайшаагдаха гэжэ оролдодогбди. 
1TH.2.5	Бидэ һаймһарһан үгэнүүдые хэлэхэеэ таанадта ерээгүйбди, хомхолзоһон сэдьхэлээ нюужа уран үгэнүүдые хэлэжэ байгаагүйбди гэжэ таанад яһала һайн мэдэжэ байнат. Бурхан манай гэршэ юм! 
1TH.2.6	Бидэ хэнэйшье, таанадайшье, бэшэшье зоной магтаалда хүртэхые оролдоногүйбди. 
1TH.2.7	Бидэ Христосой элшэд юм хадаа таанадһаа мүнгэнэй туһаламжа абаха аргатай байгаабди. Зүгөөр бидэ үхибүүдтээ һаналаа табижа байдаг эхэнэр шэнги таанадтай энхэргэн байгаабди. 
1TH.2.8	Таанадта дуратай байһан хадаа бидэ Бурханай Һайн Мэдээсэлээр хубаалсахаһаа гадна ами наһаараа хубаалсахада бэлэн байгаабди. Бидэ таанадта ехэл дуратай байгаабди. 
1TH.2.9	Аха дүүнэрни, яажа ажаллажа, эсэжэ сусажа байһан тухаймнай таанад һанана байхат. Таанадые ямаршье юумээр зобоохогүй гэжэ бидэ таанадта Бурханай Һайн Мэдээсэлые үдэр һүнигүй номножо байгаа һэмди.
1TH.2.10	Та һүзэглэгшэдтэ бидэ арюун һайханаар, үнэн сэхээр, хандадаг байгаабди. Бидэниие зэмэлхээр юумэн үгы. Таанад өөһэдөөшье, Бурханшье тэрэниие гэршэлхэ. 
1TH.2.11	Эхэ эсэгэ хоёрой үхибүүдтээ хандадагтал адляар бидэ та бүхэндэ хандажа байгаабди. 
1TH.2.12	Хаан түрөөрөө ба алдар солоороо хубаалсаха гэжэ таанадые дуудаһан Бурханда һайшаагдаха амидаралаар амидархыетнай бидэ гуйжа, идхажа, аргадажа байгаабди.
1TH.2.13	Бурханда үргэлжэ баясхалан хүргэжэ байха ондоошье шалтагаан бидэндэ бии юм. Таанадта Бурханай үгэ асархадамнай, таанад тэрэниие хүнүүдэй үгэдэл бэшэ, харин Бурханай үгэдэл шагнажа, угтажа абаа һэнта.
1TH.2.13	Тэрэ үнэхөөрөө Бурханай үгэ байгаа, та һүзэглэгшэдэй дунда ажаллажа байгаа. 
