GEN.1.2	Umhlaba wawulihlane lelingenalutfo, bumnyama babumbonye emanti nekujula kwawo; Moya waNkulunkulu
EZK.16.26	Wacala kugwadla nebaseGibithe, bomakhelwane bakho labagcwele inkhanuko, wangitfukutselisa ngebugwadla nebuphingi bakho lobandzako. 
EZK.16.27	Ngako-ke ngelulela sandla sami etikwakho, ngalinciphisa live lakho; ngakunikela ebugovini betitsa takho, emadvodzakati emaFilisti, labeshacekile ngekutiphatsa kabi kwakho. 
EZK.16.28	Wesukelana nekugwadlisa base-Asiriya futsi, ngobe wawusolo ungakeneliseki; nangemva kwaloko futsi wasala ungakeneli. 
EZK.16.29	Wase uyabandzisa bugwadla bakho, kuze kubeseveni lebahwebi, ngisho eveni lemaBhabhulona, kodvwa awuzange weneliswe ngisho nangulobo.
EZK.16.30	“ ‘Maye, ulihatsa bo, kusho iNkhosi Simakadze, nase wenta tonkhe letintfo, uyaye ulingise ingwadla lengatibambi ledle lubangalala! 
EZK.16.31	Ngesikhatsi wakha tibundvuma ekucaleni kwato tonkhe titaladi, wenta tindzawo takho letiphakeme tekukhontela tithico kuto tonkhe tinkhundla, wawungafanani nengwababane, ngobe wawukubukela phansi kubhadalwa.
EZK.16.32	“ ‘Wena mfati loyingwadla! Ucolela kuba nemashende esikhundleni sekuba nendvodza yakho! 
EZK.16.33	Tonkhe tingwadla titfola imbhadalo, kodvwa wena nguwe lowawubhadala onkhe lamashende akho, uwadizela wentele kutsi ete kuwe achamuke kuto tonkhe tinkhalo, etele lokutawugwadla nawe. 
EZK.16.34	Ngako-ke ngebugwadla bakho wena awufanani nalabanye, kute namunye lobangisana nawe kulamashende akho. Wena nje wehlukile kuletinye tingwadla, ngobe wena nguwe lobapha tipho, kube kute lutfo lolunikwe wena.’ ”
EZK.16.35	“ ‘Ngako-ke, wena ngwababane, vani livi laSimakadze! 
EZK.16.36	Naku lokushiwo yiNkhosi Simakadze, itsi: Ngenca yekutsi watfulula bunjinga bakho,
EZK.16.37	ngako-ke sengitawabutsa onkhe lamashende akho, lebewutijabulisa ngawo, lawo lebewuwatsandza nalawo lebewuwenyanya. Ngiyakuwabutsa kuyo yonkhe indzawo, akuvukele onkhe ngikungcunule embikwawo, futsi ayakububona bonkhe bungcunu bakho. 
EZK.16.38	Ngiyawukugweba ngesijeziso sebafati labagwadlako nalabacitsa ingati; ngiyakwehlisela etikwakho imphindziselo yengati ngekwelulaka lwami nangekwentfukutselo yesikhwele sami. 
EZK.16.39	Ngiyawube sengikunikela kulamashende akho, layawutihhihlitela phansi letibundvuma takho, abhubhise letindzawo takho letiphakeme tekukhontela tithico. Ayakukhumula tonkhe timphahla takho, atsatse lemihlobiso yakho lemihle kakhulu, akushiye ungcunu, uhamba bhushubhushu.
EZK.16.41	Liyawushisa tindlu takho, lehlisele sijeziso etikwakho embikwebafati labanyenti. Ngiyawubucedza lobugwadla bakho, futsi awuseyiwuphindza utibhadale letiphingi takho logwadla nato. 
EZK.16.42	Ngulapho-ke lapho intfukutselo yami kuwe iyawubotja khona, nentfukutselo yami yesikhwele iyawuncandzeka kuwe, ngiyawutithulela ngingabe ngisakutfukutselela.
EZK.16.44	“ ‘Bonkhe labacaphuna etishweni bayawucaphuna kulesisho ngawe, batsi: “Ludziwo lufute imbita.” 
EZK.16.45	Uyindvodzakati sibili ufute unyoko, labeyedzelela indvodza yakhe nebantfwabakhe, futsi wena vele wafuta bodzadzewenu wangete wabashiya, lababengawahloniphi emadvodza abo nebantfwababo. Unyoko abengumHethi, uyihlo angum-Amori. 
EZK.16.46	Dzadzewenu lomdzala abenguSamariya, labehlala nemadvodzakati akhe ngasenyakatfo kwakho; dzadzewenu lomncane bekunguSodoma labehlala nemadvodzakati akhe ngaseningizimu kwakho. 
EZK.16.47	Wena-ke awuzange umane ubalingise nje kuphela, nome-ke ukope kuphela nje letindlela tabo letinengekako, kodvwa kuto tonkhe tindlela takho wena washesha wase wonakala kakhulu kunabo. 
EZK.16.48	Ngifunga kuphila kwami, kusho iNkhosi Simakadze, dzadzewenu Sodoma kanye nebantfwabakhe, akazange asakwente naku lokwentiwe nguwe nemadvodzakati akho.
EZK.16.50	Babetiphakamisa, benta tintfo letinengekako emehlweni ami. Ngako-ke ngabalahla, njengobe ubonile nje. 
EZK.16.51	Samariya akazange ente ngisho nencenye nje yaletono lotentile wena. Wena wente tintfo letinyenti letinengekako kunabo, wadzimate wenta labodzadzewenu babonakala shangatsi bona sebalungile ngato tonkhe letintfo lotentile wena. 
EZK.16.52	Letfwale-ke lelihlazo lakho, ngobe nguwe lowente tizatfu tabodzadzewenu babonakale shangatsi bona balungile. Ngenca yekutsi tono takho tibe tibi kakhulu kunetabo, bona sebabonakala shangatsi balungile kunawe. Ngako-ke bani nemahloni, uletfwale lelihlazo lakho, ngobe nguwe lowente bodzadzewenu babonakala balungile.’ ”
EZK.16.53	“ ‘Noko, ngiyawutibuyisela tinhlanhla taSodoma netemadvodzakati akhe, netaSamariya netemadvodzakati akhe, ngibuyisele netinhlanhla takho kanye netabo, 
EZK.16.54	kuze utewuletfwala lelihlazo lakho udliwe ngemahloni ngako konkhe loku lokwentile kwekubadvudvuta. 
EZK.16.55	Bodzadzewenu Sodoma nemadvodzakati akhe, naSamariya nemadvodzakati akhe, bayawubuyela babe nguloku labebanguko kucala; wena kanye nemadvodzakati akho niyawubuyela kuloko lenaninguko ngaphambili. 
EZK.16.56	Wawungeke sewumbite nangelibito dzadzewenu Sodoma ngetikhatsi tekutiphakamisa kwakho, 
EZK.16.57	ngesikhatsi busengakangcunuleki bubi bakho. Noko nanyala asakubukela phansi emadvodzakati a-Edomu
EZK.16.58	Utawutfola umvuzo walobugwababane bakho, newetento takho letinengekako, kusho Simakadze.’ ”
EZK.16.60	Noko ngiyawusikhumbula sivumelwane lengasenta nawe ngesikhatsi sebusha bakho, ngiyawube sengimisa sivumelwane saphakadze nawe. 
EZK.16.61	Uyawube sewuyatikhumbula-ke tindlela takho, ube nemahloni nase wemukela bodzadzewenu, yebo, labo labadzala kunawe kanye nalabo labancane kunawe. Ngiyawukunika bona njengemadvodzakati, noko, hhayi njengekutsi ngente nawe sivumelwane. 
EZK.16.62	Ngako-ke ngiyawumisa sivumelwane sami nawe, uyawube sewuyati-ke kutsi nginguSimakadze. 
EZK.16.63	Ngiyawutsi-ke nase ngikwentele inhlawulo yakho, yako konkhe loku lose ukwentile, bese uyakhumbula udliwe ngemahloni, ungaphindzi uwuvule umlomo wakho ngenca yalokuhlazeka kwakho lokungaka, kusho iNkhosi Simakadze.’ ”
EZK.17.1	Livi laSimakadze lefika kimi, latsi: 
EZK.17.2	“Ndvodzana yemuntfu, beka imfumbe, utjele indlu yaka-Israyeli umfanekiso. 
EZK.17.3	Khuluma kubo, utsi: ‘Naku lokushiwo yiNkhosi Simakadze, itsi: Kwefika lusweti lolukhulu eLebanoni, lusweti lolunetimphiko letinemandla netinsiba letindze, tinsiba letiphelele futsi timibalabala. Lwefika lwatsatsa sihloko semsedari, 
EZK.17.4	lwahlutfula ligala lelisha lelisetulu, lwaletfwala lwaya nalo eveni lebahwebi, lapho lwefike lwalihlanyela khona edolobheni lebatsengisi.
EZK.17.5	“ ‘Lwatsatsa letinye tetinhlanyelo telive lenu lwatifaka emhlabatsini lovundzile. Lwatihlanyela njengemnyetane ngasemitfonjeni yemanti, 
EZK.17.6	tahluma taba ngumvini lomfisha lowenabako. Kwatsi emagala awo agucukela ngakulo, kodvwa timphandze tawo tasala ngephansi kwalo; kanjalo-ke waba ngumvini lowaba nemagala lahluma, waba nemacembe lamanyenti.
EZK.17.7	“ ‘Kodvwa kwakukhona lolunye lusweti lolukhulu lolwalunetimphiko letinemandla netinsiba letindze. Lomvini wabhekisa timphandze tawo ngakulo kusuka kulendzawo lapho wawuhlanyelwe khona, wase wenabisa emagala awo, aya kulo kuyawufuna emanti. 
EZK.17.8	Wawuhlanyelwe emhlabatsini lomuhle ngasemantini lamanyenti kuze utewuhlumisa emagala, utsele titselo, ube ngumvini lomuhle.’
EZK.17.9	“Khuluma kubo utsi: ‘Naku lokushiwo yiNkhosi Simakadze, itsi: Lomvini utawuphumelela yini? Ungeke yini usishulwe netimphandze tawo, uhhululwe tonkhe letitselo tawo, khona utewubuna? Onkhe lamahlumela awo lamasha atawubuna. Ungeke udzinge emandla lamakhulu nome nje-ke bantfu labanyenti kutsi bawusiphule ngetimphandze tawo. 
EZK.17.10	Kona kube bewungahlanyelwa kabusha, bewungaphumelela yini? Ungete wabuna yini uphele, nawushaywa ngumoya wasemphumalanga? Ungete wabuna yini kulendzawo lapho wakhulela khona?’ ”
EZK.17.11	Livi laSimakadze lefika kimi, latsi: 
EZK.17.12	“Khuluma kulendlu lehlubukako, utsi: ‘Anati yini kutsi tisho kutsini letintfo?’ Shano kubo utsi: ‘Inkhosi yaseBhabhulona yaya eJerusalema yatsatsa inkhosi yakhona nalabahloniphekile bakhona, yeta nabo eBhabhulona. 
EZK.17.13	Yatsatsa lomunye wasebukhosini, yenta naye sivumelwane, yamfungisa. Yatfumba nebaholi balelo live, 
EZK.17.14	kuze lowo mbuso wehle, ungaphindzi uvuke futsi, uphumelele nje kuphela ngekutsi ugcine sivumelwane sakhe. 
EZK.17.15	Kodvwa inkhosi lensha yayivukela inkhosi yaseBhabhulona ngekutsi itfumele emancusa ayo eGibhithe kutsi ayewutfola emahhashi nemphi lenkhulu. Iyawuphumelela yini? Uyawuphumelela yini umuntfu lowenta tintfo letinje? Angasephula yini sivumelwane aphindze aphumelele?
EZK.17.16	“ ‘Ngifunga kuphila kwami, uyawufela eBhabhulona, eveni laleyo nkhosi leyambeka esihlalweni sebukhosi, lowo lowedzelela sifungo sayo wephula nesivumelwane sayo, kusho iNkhosi Simakadze. 
EZK.17.17	Faro kanye nemphi yakhe lenemandla nemabutfo akhe lamakhulu bangeke bamsite ndzawo kulemphi, nase kwakhiwe tintsango tekubhidlita kanye netinqaba setimisiwe titewubhubhisa imiphefumulo leminyenti. 
EZK.17.18	Wedzelela sifungo ngekwephula sivumelwane. Njengobe naye wafaka sandla kulesetsembiso, noko wenta tonkhe letintfo, kodvwa angeke aphunyule.
EZK.17.19	“ ‘Ngako-ke naku lokushiwo yiNkhosi Simakadze, itsi: Ngifunga kuphila kwami, ngiyakwehlisela etikwenhloko yakhe lesifungo sami lasedzelele, kanye nalesivumelwane sami lasephulile. 
EZK.17.20	Ngiyawumendlalela linetha lami, uyawuvele abhajwe elugibeni lwami. Ngiyakumyisa eBhabhulona, ngikhiphe sigwebo kuye khona lapho, ngobe angazange etsembeke kimi. 
EZK.17.21	Onkhe lamabutfo akhe labalekako ayakuwa ngenkemba, nalabo labayawuphunyula bayawusakatelwa emimoyeni. Ngulapho-ke niyawukwati khona kutsi mine Simakadze ngikhulumile.’ ”
EZK.17.22	“ ‘Naku lokushiwo yiNkhosi Simakadze, itsi: Mine, cobo lwami, ngiyawusincamula etulu sihloko semsedari ngisihlanyele. Ngiyawuhlutfula umdvumba wesihloko sawo losetulu kakhulu ngiwuhlanyele entsabeni lephakeme nalendze, 
EZK.17.23	ngiwuhlanyele eticongweni tetintsaba letiphakeme taka-Israyeli. Uyawukhipha emagala utsele titselo, ube sihlahla lesihle semsedari. Kuyawukwakhela kuso tinhlobonhlobo tato tonkhe tinyoni, tiyawukhosela emtfuntini wemagala aso. 
EZK.17.24	Tonkhe tihlahla tesiganga tiyawukwati kutsi mine Simakadze ngehlisa sihlahla lesidze, bese ngenta sihlahla lesifishane sikhule sibe sidze. Ngomisa sihlahla lesiluhlata, bese ngihlumisa sihlahla lesomile sibe luhlata.
EZK.17.24	“ ‘Mine Simakadze sengikhulumile, futsi ngitawukwenta loko.’ ”
EZK.18.1	Livi laSimakadze lefika kimi, latsi: 
EZK.18.2	“Nisho kutsini nine bantfu nanisuke nicaphune lesaga eveni lema-Israyeli lesitsi:
EZK.18.2	“ ‘Boyise badla emagelebisi lamunyu, bese kutsi ematinyo ebantfwana ayaphatima’?
EZK.18.3	“INkhosi Simakadze, itsi: Ngifunga kuphila kwami, anisayikusicaphuna lesaga lapha ka-Israyeli. 
EZK.18.4	Ngobe wonkhe umuntfu lophefumulako, wami, uyise kanye nemsa wakhe, bonkhe ngalokufananako, bami. Umuntfu lowonako nguye loyakufa.
EZK.18.5	“Ase sitsi kunemuntfu lolungile
EZK.18.5	lowenta lokucotfo nalokulungile:
EZK.18.6	akabuki futsi kuletithico tendlu yaka-Israyeli.
EZK.18.6	Akamoni nemfati wamakhelwane wakhe,
EZK.18.6	nome-ke alale nemfati losesikhatsini.
EZK.18.7	kodvwa ubuyisela sibambiso lasitsatsile nakenta sebolekiso.
EZK.18.7	Akadleleli, kodvwa wephana
EZK.18.7	nangekudla kwakhe kulabalambile,
EZK.18.7	anikele ngekwekwembatsa
EZK.18.7	kulabo labahlubulile.
EZK.18.8	nome-ke atsatse intalo lenkhulu kakhulu.
EZK.18.8	Uyasibamba sandla sakhe ekwenteni lokubi,
EZK.18.8	futsi wehlulela ngekungakhetsi
EZK.18.8	emkhatsini wemuntfu nemuntfu.
EZK.18.9	Ulandzela timiso tami,
EZK.18.9	agcine nemitsetfo yami ngekwetsembeka.
EZK.18.9	Lowo muntfu ulungile,
EZK.18.9	ngempela uyawuphila,
EZK.18.9	kusho iNkhosi Simakadze.
EZK.18.10	“Ase sitsi lomuntfu unemntfwana losidlova,
EZK.18.10	lohlala ngekucitsa ingati njalo nje,
EZK.18.10	nome ente lokunye nje kwaletintfo letinye,
EZK.18.11	nome ngabe loyise akenti nakunye kwato:
EZK.18.11	“Udlela etindvumbeni tetithico letisetintsabeni.
EZK.18.11	Wona umfati wamakhelwane wakhe.
EZK.18.12	adlelele bantfu.
EZK.18.12	Akasibuyiseli sibambiso.
EZK.18.12	Ubuka tithico. Wenta tintfo letisinengiso.
EZK.18.13	atsatse nentalo lenkhulu kakhulu.
EZK.18.13	Umuntfu lonjalo angaphila kanjani-ke? Ngeke!
EZK.18.13	“Njengobe ente tonkhe letintfo letisinengiso, ngempela loyo uyawubulawa, nengati yakhe iyawubasetikwenhloko yakhe.
EZK.18.14	“Ase sitsi-ke lendvodzana nayo seyinendvodzana lebona tonkhe letono letentiwa nguyise, itsi nome itibona ingete yatenta yona tintfo letinjalo:
EZK.18.15	“Ayidleli etindvumbeni tetithico letisetintsabeni,
EZK.18.15	nome ibuke kuletithico tendlu yaka-Israyeli.
EZK.18.15	Ayimoni umfati wamakhelwane wayo.
EZK.18.16	Ayicindzeteli muntfu
EZK.18.16	nome-ke ifune sibambiso sesebolekiso.
EZK.18.16	Ayidleleli muntfu,
EZK.18.16	kodvwa inikela ngekudla kwayo kulabalambile
EZK.18.16	nangetintfo tekwembatsa kulabangcunu.
EZK.18.17	Iyasibamba sandla sayo ekoneni.
EZK.18.17	Ayebolekiseli inzuzo lenkhulu,
EZK.18.17	ayiyitsatsi intalo lenkhulu kakhulu.
EZK.18.17	Igcina imitsetfo yami,
EZK.18.17	ilandzele netimiso tami.
EZK.18.17	“Leyo-ke ngeke ife ngenca yesono seyise; ngempela leyo iyawuphila. 
EZK.18.18	Kodvwa uyise yena uyakufa ngenca yesono sakhe, ngobe nguye lowenta kuphanga ngebugebengu, wadlelela umnakabo, wenta lokubi kubantfu bakubo.
EZK.18.19	“Kodvwa nine niyabuta nitsi: ‘Kwentiwa yini kutsi indvodzana ingetfwali licala leyise?’ Njengobe indvodzana yente lokulungile nalokucotfo, futsi beyivele icaphele kutsi igcine tonkhe timiso tami, ngempela iyawuphila. 
EZK.18.20	Umuntfu lowonako nguye loyakufa. Indvodzana ngeke iletfwale licala leyise, futsi neyise ngeke aletfwale licala lendvodzana. Kulunga kwalolungile kuyawukhokhelwa ngalokuhle kuye, nebubi balomubi buyawubitwa kuye.
EZK.18.21	“Kodvwa nangabe umuntfu lomubi aphendvuka kuto tonkhe tono latentile, agcine tonkhe timiso tami, ente lokucotfo nalokulungile, akasayikufa, uyawuphila. 
EZK.18.22	Kute nasinye setono labesatentile lesiyawukhunjulwa kuye simelane naye. Ngenca yebucotfo layawube asabentile sewuyawuphila. 
EZK.18.23	Ngiyajabula yini mine ngekufa kwalomubi? Kunaloko angijabuli kakhulu yini nakaphendvuka etindleleni takhe aphile? Kusho iNkhosi Simakadze.
EZK.18.26	Nangabe umuntfu lonebucotfo agucuka ekulungeni kwakhe, ente sono, uyakusifela; uyawukufa ngenca yesono lasentile yena. 
EZK.18.27	Kodvwa nangabe umuntfu lomubi agucuka ebubini bakhe labentile, ente lokucotfo nalokulungile, lowo uyawusindzisa imphilo yakhe. 
EZK.18.28	Ngenca yekutsi atinake tonkhe tono takhe labesatentile, agucuke kuto, lowo ngempela uyawuphila; angeke afe. 
EZK.18.29	Noko indlu yaka-Israyeli itsi: ‘Indlela yaSimakadze ayikalungi.’ Atikalungi yini tindlela tami, ninendlu yaka-Israyeli? Akusito tindlela tenu yini leti letingakalungi?
EZK.18.30	“Ngako-ke, awu, wenandlu yaka-Israyeli, ngiyawukwehlulela, ngulowo nalowo ngekwetindlela takhe, kusho iNkhosi Simakadze. Phendvukani! Gucukani kuto tonkhe tiphambuko tenu; khona-ke sono senu ngeke sibe kufa kwenu. 
EZK.18.31	Titsintsitseni kuto tonkhe letono tenu lebesenitentile, nitfole inhlitiyo lensha nemoya lomusha. Nitawufelani nje, ninendlu yaka-Israyeli? 
EZK.18.32	Ngobe angijabuli ngekufa kwanome ngubani. Phendvukani nitewuphila! Kusho iNkhosi Simakadze.”
EZK.19.1	“Phakamisa sililo ulilele tikhulu taka-Israyeli, utsi:
EZK.19.2	emkhatsini walamanye emabhubesi!
EZK.19.2	Abelala phansi emkhatsini wemabhubesi lamancane,
EZK.19.2	afuye emagomodlwane akhe.
EZK.19.3	lakhula laba libhubesi lelinemandla.
EZK.19.3	Lafundza nalo kudladlabula tinyamatane litidle,
EZK.19.3	lashwabudzela nebantfu.
EZK.19.4	Tive teva ngalo,
EZK.19.4	lagcumukela emdzibini wato.
EZK.19.4	Talidvonsa ngetintweba,
EZK.19.4	talimikisa eGibhithe.
EZK.19.5	litsemba lalo lingakafezeki,
EZK.19.5	nelitsemba lalo seliphelile,
EZK.19.5	latsatsa lelinye lemazinyane alo,
EZK.19.5	lalenta laba libhubesi lelinemandla.
EZK.19.6	Lajangaza emkhatsini wemabhubesi,
EZK.19.6	ngobe phela lase lilibhubesi lelicinile.
EZK.19.6	Lafundza kudladlabula tinyamatane,
EZK.19.6	lakhona nekushwabudzela bantfu.
EZK.19.7	Labhidlita
EZK.19.7	labhubhisa nemadolobha abo.
EZK.19.7	Live kanye nalabo labakhile kulo
EZK.19.7	betfuka batfutfumela ngenca yekubhavumula kwalo.
EZK.19.8	Tive tase tiyalihlasela,
EZK.19.8	leto letisemaveni lakhelene nalo.
EZK.19.8	Taletsiya ngekwendlala lugibe lwato,
EZK.19.8	lavele labhajwa emgodzini wato.
EZK.19.9	talifaka ehhokweni,
EZK.19.9	tase tilimikisa enkhosini yaseBhabhulona,
EZK.19.9	talivalela ejele,
EZK.19.9	ngako akuzange kuphindze kuvakale kubhavumula kwalo,
EZK.19.9	etintsabeni taka-Israyeli.
EZK.19.10	“ ‘Unyoko abefanana nesihlahla semvini esivinini,
EZK.19.10	sihlahla lesasihlanyelwe ngasemantini;
EZK.19.10	sasitsela kakhulu futsi sinemagala laluhlata,
EZK.19.10	ngenca yalamanti lamanyenti.
EZK.19.11	Emagala aso abecinile,
EZK.19.11	alungele nekuba yindvuku yebukhosi.
EZK.19.11	Sakhula saphakama saba ngetulu
EZK.19.11	kwawo onkhe emacembe lamanyenti;
EZK.19.11	sabonakala ngekuphakama kwaso nangemagala aso lamanyenti.
EZK.19.12	salahlwa phansi emhlabatsini.
EZK.19.12	Umoya wasemphumalanga wasomisa,
EZK.19.12	saphundleka titselo taso,
EZK.19.12	emagala aso lacinile abuna,
EZK.19.12	umlilo wawadla.
EZK.19.13	Nyalo sesihlanyeleke ehlane,
EZK.19.13	eveni lelomile naleligagadzekile.
EZK.19.14	kulelinye lemagala aso lamakhulu
EZK.19.14	Kute nalinye ligala lelicinile lelisasele kuso
EZK.19.14	lelilungele kutsi libe yindvuku yebukhosi.’
EZK.19.14	“Lesi-ke sililo, lesaba sililo lesisetjentiswa njalo nje.”
EZK.20.2	Livi laSimakadze lase liyefika kimi, latsi: 
EZK.20.3	“Ndvodzana yemuntfu, khuluma kulabaholi bema-Israyeli, utsi kubo: ‘Naku lokushiwo yiNkhosi Simakadze, itsi: Nitele kutawubuta mine yini? Ngifunga kuphila kwami, ngingeke nginivumele kutsi nibute lutfo kimi, kusho iNkhosi Simakadze.’
EZK.20.4	“Utawubehlulela yini, ndvodzana yemuntfu? Nakunjalo-ke, besukele ubacondze ngetintfo letisinengiso letentiwa boyise, 
EZK.20.5	utsi kubo: ‘Naku lokushiwo yiNkhosi Simakadze, itsi: Ngelilanga lengakhetsa ngalo ema-Israyeli, ngafunga ngiphakamise sandla kuto titukulwane tendlu yakaJakobe, ngatembula mine kubo baseseGibhithe. Ngatsi ngiphakamise sandla sami, ngatsi kubo: “NginguSimakadze Nkulunkulu wenu.” 
EZK.20.6	Ngalelo langa ngafunga kubo kutsi ngiyawubakhipha eGibhithe, ngibayise eveni lengilicingele bona, live leligcwele lubisi neluju lwetinyosi, live lelihle kwendlula onkhe lamanye emave. 
EZK.20.7	Ngabuye ngatsi kubo: “Ngulowo nalowo wenu akalahle letitfombe letenyanyekako lese nibeke emehlo enu kuto, ningatingcolisi ngaletitfombe taseGibhithe. NginguSimakadze Nkulunkulu wenu.”
EZK.20.9	Kodvwa ngenca yeLibito lami, ngenta loko lokwakungaligcina lingakonakali emehlweni etive labebahlala emkhatsini wato, nalengatembula embikwato kuma-Israyeli ngekubakhipha eveni laseGibhithe. 
EZK.20.10	Ngako-ke ngabahola ngabakhipha eGibhithe, ngabefikisa ehlane. 
EZK.20.11	Ngabanika timiso tami, ngabatisa imitsetfo yami, ngobe umuntfu loyilalelako uyawuphila ngayo. 
EZK.20.12	Ngabuye ngabanika emaSabatha ami abe sibonakaliso emkhatsini wetfu, kuze bati kutsi mine Simakadze ngimi lengabenta baba ngcwele.
EZK.20.14	Kodvwa ngenca yeLibito lami, ngenta loko lokwakungaligcina lingakonakali emehlweni etive, leto lengangibakhiphe embikwato. 
EZK.20.15	Ngafunga futsi kubo ngekuphakamisa sandla ehlane, kutsi ngingeke ngisabayisa kulelive lengangibanike lona, live leligcwele lubisi neluju lwetinyosi, live lelihle kwendlula onkhe lamanye emave, 
EZK.20.16	ngobe bayala imitsetfo yami, bangete bahamba ngetimiso tami, bawona emaSabatha ami. Ngobe tinhlitiyo tabo babetinikele ngalokuphelele etithicweni tabo. 
EZK.20.17	Noko ngababuka ngesihawu, ngangete ngababhubhisa, ngangete ngabacedza ehlane. 
EZK.20.18	Ngakhuluma kubantfwababo ehlane, ngatsi: “Ningatilandzeli timiso taboyihlo, futsi ningagcini nanemitsetfo yabo, nome nitingcolise ngetithico tabo. 
EZK.20.19	NginguSimakadze Nkulunkulu wenu, landzelani timiso tami, nicaphele kugcina imitsetfo yami. 
EZK.20.20	Gcinani emaSabatha ami angcwele, kuze abe sibonakaliso emkhatsini wetfu. Ngulapho-ke niyakwati khona kutsi nginguSimakadze longuNkulunkulu wenu.”
EZK.20.21	“ ‘Kodvwa bantfwababo bangivukela: Abazange bahambe ngetimiso tami, abazange bakunakekele kugcina imitsetfo yami, noko umuntfu loyilalelako uyawuphila ngayo, bawona emaSabatha ami. Ngako ngatsi ngiyawutfululela lulaka lwami etikwabo, ngicedzele intfukutselo yami etikwabo ehlane. 
EZK.20.22	Kodvwa ngasibamba sandla sami, nangenca yeLibito lami ngenta loko lokwakungaligcina lingakonakali emehlweni etive leto, lengangibakhiphe embikwato. 
EZK.20.23	Ngafunga kubo ngiphakamise sandla ehlane kutsi ngiyawubasakatela emkhatsini wetive, ngibahlakatele emaveni ngemave, 
EZK.20.24	ngobe abayilalelanga imitsetfo yami, kodvwa batala timiso tami, bawona emaSabatha ami, emehlo abo anaka tithico taboyise. 
EZK.20.25	Ngabe sengibanikela etimisweni letingakalungi nasemitsetfweni lababengeke baphile ngayo; 
EZK.20.26	ngabenta baba ngulabangcolile ngekwemtsetfo ngenca yetipho tabo, umhlatjelo wako konkhe lokulitubulo,
EZK.20.27	“Ngako-ke, ndvodzana yemuntfu, khuluma kulabantfu baka-Israyeli utsi kubo: ‘Naku lokushiwo yiNkhosi Simakadze, itsi: Kuloku naboyihlo bangihlambalata ngekungikhohlwa: 
EZK.20.28	Nangibafikisa eveni lengafunga kutsi ngitalinika bona, benelela kufika kulo, babona tonkhe tintsaba letiphakeme netihlahla letimacembe ato avoshokile, base besuka banikelela khona imihlatjelo yabo, benta iminikelo leyangicunula mine ngase ngiyatfukutsela, betfula imphepho yabo letsaphukako, batfulula iminikelo yabo yetinatfo. 
EZK.20.29	Ngase ngitsi kubo: Iyini yona lendzawo lephakeme leniya kuyo?’ ” Kuze kube ngulamuhla solomane kusatsiwa yiBhama.
EZK.20.30	“Ngako-ke khuluma kuyo indlu yaka-Israyeli, utsi: ‘Naku lokushiwo yiNkhosi Simakadze, itsi: Nitawutingcolisa yini nani njengaloku boyihlo benta bakhanukana netitfombe tabo letenyanyekako? 
EZK.20.31	Nanetfula tipho tenu, imihlatjelo lengemadvodzana enu emlilweni,
EZK.20.33	“ ‘Ngifunga kuphila kwami, ngiyawubusa etikwenu ngesandla lesinemandla, nangemkhono locinile, nangekutfululelwa kwelulaka, kusho iNkhosi Simakadze. 
EZK.20.34	Ngiyawunibuyisa kuleto tive, nginibutse emaveni ngemave, konkhe lapho niyawube nisakatelwe khona, nginibuyise ngesandla lesinemandla nangemkhono locinile, nangekutfululwa kwelulaka. 
EZK.20.35	Ngiyawunimikisa ehlane letive, lapho-ke siyawube sibukene buso nebuso, ngiyawukhipha sigwebo senu kini. 
EZK.20.36	Njengaloku ngagweba boyihlo ehlane laseveni laseGibhithe, nani ngiyakunigweba kanjalo-ke, kusho iNkhosi Simakadze.
EZK.20.37	“ ‘Ngiyawunicaphela ngesikhatsi nendlula ngaphansi kwendvuku yami, bese nginifaka kuso sibopho sesivumelwane. 
EZK.20.38	Ngiyawuphenya emkhatsini wenu bonke labo labangivukelako bahlubuke kimi. Nome ngiyawubakhipha eveni lapho bahlala khona nje, noko bangeke bangene eveni laka-Israyeli. Ngulapho-ke niyawungati khona kutsi mine nginguSimakadze.
EZK.20.39	“ ‘Macondzana nani, ninendlu yaka-Israyeli, naku lokushiwo yiNkhosi Simakadze, itsi: Hambani niyewukhonta tithico tenu, nonkhe! Kodvwa ngicinisile ngitsi, emvakwaloko niyawulalela mine, ningasaphindzi nilihlambalate Libito lami lelingcwele ngetipho tenu nangetithico tenu. 
EZK.20.40	Ngobe entsabeni yami lengcwele, intsaba lephakeme yaka-Israyeli, lapho kulelo live yonkhe indlu yaka-Israyeli iyawukhonta mine, lapho-ke ngulapho ngiyawubemukela khona, kusho iNkhosi Simakadze. Lapho-ke ngiyakuyifuna iminikelo yenu netipho tenu telikhetselo,
EZK.20.41	Ngiyawunemukela njengeliphunga lelimnandzi lemphepho, nanginikhipha emkhatsini wetive, nginibutsa emaveni lapho benisakatelwe khona, ngiyawutibonakalisa mine ngingcwele emkhatsini wenu emehlweni etive. 
EZK.20.42	Ngulapho-ke niyawungati khona kutsi mine nginguSimakadze, nanginimikisa eveni laka-Israyeli, live lengalifungela ngekuphakamisa sandla sami kutsi ngitalipha boyihlo. 
EZK.20.43	Lapho-ke niyawukhumbula kutiphatsa kwenu nato tonke tento tenu lenatingcolisa ngato, nani niyawutenyanya ngabo bonkhe bubi lenibentile. 
