MAT.1.1	Yesu Kristu kaweriti mwiwuka gwa Dawudi na mwiwuka gwa Aburahamu. Ayi ndo walanga ya ukowu wakuwi,
HEB.8.9	na hangu neni nuwashera ndiri. 
HEB.8.10	Na ali ndo lipatanu hanulitendi na wantu wa Israeli,
HEB.8.10	mashaka gankwiza,
HEB.8.10	hantuli malagaliru gangu mumahala mwawu,
HEB.8.10	na kulilemba mumyoyu mwawu,
HEB.8.10	na neni haweri Mlungu gwawu,
HEB.8.10	na womberi hawaweri wantu waneni. 
HEB.8.11	Kwahera muntu yakamfunda muyaguwi,
HEB.8.11	ama hakamgambiri muyaguwi,
HEB.8.11	‘Gummani Mtuwa.’
HEB.8.11	Toziya woseri hawamani neni,
HEB.8.11	wantu yawamanika na wantu yawamanika ndiri. 
HEB.8.12	Hanuwalekiziyi matendu gawu gadoda,
HEB.8.12	na hapeni nuviholi kayi vidoda vyawu.”
HEB.8.13	Pakalongiti kwa lipatanu lya syayi, Mlungu kalisakaziya lilii lya kwanja, na shoseri shashisakaziwa na kuwera shigona sambira hashiwuki.
HEB.9.1	Su lipatanu lya kwanja liweriti na ntambu zyakuwi zya kuguwira na pahala pananagala pa pasipanu. 
HEB.9.2	Lipamanda linyawitwi vyumba viwili, mshumba sha kwanja paweriti na shombu sha kutulira vikoloboyi na paweriti shintambi na mabumunda yagatulitwi palongolu pa Mlungu, pahala palii pashemitwi Pahala Pananagala Nentu. 
HEB.9.3	Pamberi pa lipaziya lya pili, paweriti na lipamanda lyalishemitwi Pananagala Nentu. 
HEB.9.4	Amu muweriti na shitalawanda sha zahabu pakutumiziya ubani. Muweriti na lisanduku lya lipatanu, lyeni liweriti walityeremeka zahabu wega zoseri na mngati mwakuwi mweriti na shiwiga sha zahabu shashiweriti na shiboga shashishemitwi mana na luhonga lwa Aruni. Luhonga ali luweriti lutomola mahamba na muweriti na mabuwi ga lipatanu. 
HEB.9.5	Panani pa ali lisanduku paweriti na vinyagu vya viumbi viwili vyaviwera na mpapatiru zyaziwera na ukwisa wa Mlungu, na mpapatiru zyawu zigubikiriti pahala palii wantu pawalaviyiti tambiku zya kuwusiya vidoda. Hapeni tuwezi kuvitakulira vitwatira avi vyoseri ntambu yaviwera.
HEB.9.6	Vitwatira avi vitendikiti, shakapanu iwera shitiba kwa watambika kwingira kila mala pashumba sha kwanja mulipamanda kutenda lihengu lyawu lya utambika. 
HEB.9.7	Kumbiti Mtambika Mkulu gweka yakuwi ndo yakingira mulipamanda lya pili na yomberi katenda hangu mala yimu kwa shinja na katola mwazi kamlavilira Mlungu kwajili yakuwi mweni na kwajili ya vidoda vya wantu, yawavitenditi pota kuvimana. 
HEB.9.8	Kulawirana na manyawiru aga Rohu Mnanagala kankufunda pota kufifa handa njira ya kwingira pahala pananagala nentu pa kumpindi hapeni kuvugulwi shipindi shoseri pahala pa lipamanda lya kwanja lyankali lyankugoloka. 
HEB.9.9	Shitwatira ashi ndo mfanu gwa shipindi shashiwera vinu, shilanguziya kuwera matambiku na malaviwu vilaviwa, kumbiti ziweza ndiri kuzitenda nfiru zya yawaguwira kuwera pota na likosa, 
HEB.9.10	vitwatira avi vyankuvitakulira viboga na vyakulanda na ntambu zivuwa za kupunga, goseri aga ndo malagaliru ga umuntu hera, na likakala lyakuwi lyoya shipindi Mlungu pakatula weri vintu vyoseri musyayi.
HEB.9.11	Kumbiti Kristu kawera Mtambika Mkulu gwa vitwatira vyaviwera viheri, vinu visoka kala. Yomberi kingiriti mulipamanda lyaliwera liherepa nentu na liwera nakaka, lyalinyawa ndiri kwa mawoku ga wantu, su liwera ndiri lya pasipanu papanyawitwi. 
HEB.9.12	Yomberi kingiriti Pahala Pananagala nentu kwa mala yimu, kingiriti ndiri na mwazi gwa mbuzi na ng'ombi kumbiti kingiriti na mwazi gwakuwi mweni, su katupanani ukombola wa mashaka goseri. 
HEB.9.13	Gambira mwazi gwa mbuzi na gwa ng'ombi na livu lya mwana gwa ng'ombi vyavimyatiritwi kwa yawaweriti wahumba na viwapunga womberi na kuzitenda nshimba zyawu ziherepi, 
HEB.9.14	su mwazi gwa Kristu hagutendi vitwatira vikulu nentu! Kristu Mlopoziya kupitira likakala lya Rohu Mnanagala gwa mashaka goseri, kalilaviyiti mweni kaweri litambiku lya nakaka kwa Mlungu, su katupungi nfiru kulawa mumatendu yagafuwa, su tupati kumtendera Mlungu yakawera mkomu.
HEB.9.15	Toziya ayi Kristu ndo mkolaniziya gwa lipatanu lya syayi. Su walii yawashemitwi na Mlungu wawanki uhala wa mashaka goseri waulagilitwi na Mlungu. Toziya kuhowa kwakuwi kuwakombola wantu kulawa mumakosa gawatenditi mulipatanu lyakwanja. 
HEB.9.16	Wosiya umanika hera handa kuhowa kwa ulii mweni yakaulembiti kumanika. 
HEB.9.17	Wosiya wanja kutenda lihengu pakahowa kala ulii yakawulembiti, toziya uweza ndiri kuwera na makakala shipindi shilii sha ulii yakawulembiti pakawera kankali mkomu. 
HEB.9.18	Ndo toziya ata lilii lipatanu lya kwanja litulitwi ndiri pota mwazi. 
HEB.9.19	Musa pakawabweleriti wantu woseri malagaliru goseri ntambu yagaweriti Mumalagaliru Mlungu gakamupananiti, katola mwazi gwa mwana gwa ng'ombi pamuhera na mashi, na kwa kutumiya mihamba ya miputira yawaishema husopu na pamba njeri, kashimyatira shintola shilii sha lilagaliru na wantu woseri. 
HEB.9.20	Musa kalongiti, “Agu ndo mwazi gwa lipatanu, lyeni Mlungu kawalagiliriti mulijimiri.” 
HEB.9.21	Viraa virii Musa kamyatira mwazi lipamanda na vyombu vyakutendera mukumguwira Mlungu. 
HEB.9.22	Yina, kulawirana na lilagaliru vintu vyoseri wavipunga kwa mwazi, na pota kwitika kwa mwazi kwahera kulekeziwa vidoda.
HEB.9.23	Vintu avi yaviwera mfanu hera kwa vintu vya kumpindi, vifiriziwitwi kupungwa kwa ntambu ayi, kumbiti vintu vya kumpindi vyeni vifiriziwitwi tambiku yaiherepa nentu kuliku ya aga. 
HEB.9.24	Toziya Kristu kingira ndiri pahala pananagala papanyawitwi kwa mawoku ga wantu, mfanu hera gwa shilii yashiwera shanakaka. Yomberi kingira kumpindi kweni, vinu kagoloka kulongolu kwa Mlungu kwajili ya twenga. 
HEB.9.25	Kingiriti ndiri kulilaviya mala kwa mala handa Mtambika mkulu ntambu yakingiriti Pahala Pananagala Nentu kila shinja na mwazi yaguweriti ndiri gwakuwi. 
HEB.9.26	Handa meiweri hangu, Kristu mekafiruwi kutabisiwa mala zivuwa kwanjira kwanja kwa pasipanu. Kumbiti vinu, mashaka aga gapakwegera upeleru, yomberi kalawira kwa mala yimu hera, kuwawusiya wantu vidoda kwa kulilaviya mweni tambiku. 
HEB.9.27	Muntu yoseri hakahowi mala yimu hera, shakapanu hakatozwi. 
HEB.9.28	Ntambu iraa ayi Kristu kalilaviyiti tambiku mala yimu hera kwajili ya kuwusiya vidoda vya wavuwa. Pakalawira kayi mala ya pili, hakizi ndiri kayi kutenda lihengu lya kuwusiya vidoda kumbiti hakizi kuwalopoziya walii yawamuhepelera.
HEB.10.1	Toziya Malagaliru Mlungu gakamupananiti Musa gaweriti shivuni hera sha galii gaherepa gagiza, na gawera mfanu hera gwa vitwatira vya nakaka, su gaweza ndiri kuwatenda walii yawaguwira waweri wakamilika kwa tambiku ziraa zilii zyazilaviyitwi shinja kwa shinja. 
HEB.10.2	Handa wantu yawamguwira Mlungu mewapungwi nakaka vidoda vyawu, mewaliwoni ndiri kayi kuwera na vidoda, na tambiku azi zoseri meziperi. 
HEB.10.3	Kumbiti tambiku azi zitendeka kuwaholuziya wantu vidoda vyawu kila shinja, 
HEB.10.4	toziya mwazi gwa ng'ombi na mbuzi guweza ndiri nakamu kuwusiya vidoda.
HEB.10.5	Su Kristu pakaweriti kankwiza pasipanu kalongiti,
HEB.10.5	“Gufira ndiri tambiku ama malaviwu,
HEB.10.5	kumbiti guntandira nshimba. 
HEB.10.6	Malaviwu ga kulunguziya torosu,
HEB.10.6	ama malaviwu ga kuwusiya vidoda, vikuvifiriziya ndiri. 
HEB.10.7	Shakapanu nongiti,
HEB.10.7	‘Guloli, ntambu yanembiritwi mushintola,
HEB.10.7	neni niza kutenda mafiliru gaku, gwee Mlungu.’ ”
HEB.10.8	Pakalongiti, “Gufira ndiri ama gufiriziwa ndiri na tambiku na malaviwu ama malaviwu ga wankanyama ga kulunguziwa torosu ama malaviwu ga kuwusiya vidoda.” Malaviwu goseri aga galaviyitwi kulawirana na Malagaliru Mlungu gakamupananiti Musa. 
HEB.10.9	Shakapanu kalongiti, “Neni niza kutenda mafiliru gaku, gwee Mlungu.” Kaliwusiya lipatanu lyakwanja, su katuli lipatanu lya pili. 
HEB.10.10	Toziya Yesu Kristu katenditi mafiliru ga Mlungu, twenga tupungwa nakamu vidoda kupitira malaviwu ga nshimba yakuwi yakayilaviyiti kwa mala yimu kwa woseri.
HEB.10.11	Kwa ntambu yimu, mtambika katenditi lihengu lyakuwi lya utendera kila lishaka na kulaviya matambiku galaa galii mala zivuwa, kumbiti matambiku geni hapeni gawezi kuwusiya vidoda. 
HEB.10.12	Kwa ntambu yimonga, Kristu kwa shipindi shoseri kalaviyiti litambiku limu toziya ya kulekiziya vidoda, shakapanu kalikala uwega wa kumliwu wa Mlungu. 
HEB.10.13	Kwanjira shipindi shilii kankuhepera mpaka wang'ondu wakuwi waweri pakutimbira magulu gakuwi. 
HEB.10.14	Su kwa lilaviwu lyakuwi limu kawatenda wakamilika kwa shipindi shoseri walii yawapungitwi.
HEB.10.15	Na Rohu Mnanagala katupanana ukapitawu. Kalongiti hangu, 
HEB.10.16	“Ali ndo lipatanu hanulitendi na womberi, pa shipindi shilii, kalonga Mtuwa,
HEB.10.16	hantuli malagaliru gangu mumyoyu mwawu,
HEB.10.16	na hanugalembi mumahala mwawu.”
HEB.10.17	Kayi kalongiti,
HEB.10.17	“Hanuliholi ndiri kayi vidoda vyawu,
HEB.10.17	ama vitendu vyawu vya uhalibisiya.”
HEB.10.18	Su vidoda paviwusiwa kala, kwahera toziya ya kulaviya malaviwu ga kuwusiya vidoda.
HEB.10.19	Su walongu waneni, kwa mwazi gwa Yesu tupananwa moyu yagutira ndiri kwingira Pahala Pananagala Nentu. 
HEB.10.20	Yomberi katuvugulira njira ya syayi, njira yailonguziya muukomu kupitira lipaziya lilii. Katenditi hangu kwa kuilaviya nshimba yakuwi. 
HEB.10.21	Toziya twanayu Mtambika Mkulu yakagolokera munumba ya Mlungu. 
HEB.10.22	Su tumusegeleri Mlungu kwa moyu muheri na kujimira kwa nakaka na kwa myoyu yayipungitwi nakamu kulawirana na nfiru idoda, tumusegeleri na nshimba zyazigululitwi kwa mashi gananaga. 
HEB.10.23	Tukoleri nakamu litumbiru lyetu lyatulilavilira ukapitawu, toziya Mlungu yakamlagiliti ndo mjimirika. 
HEB.10.24	Tuliholi ntambu ya kulipanani moyu toziya ya kwongelerana ufiru na matendu gaherepa. 
HEB.10.25	Natuleka kujojinika pamuhera ntambu yawawera shitiba sha wamonga. Kumbiti tufiriziwa kulipanana moyu, na tutendi aga nentu patuwona lishaka lya kuwuya kwa Mtuwa lyapakwegera kusoka.
HEB.10.26	Toziya patwendereya kutenda vidoda kwa kufira twaweni patumana kala unakaka, kwahera tambiku yayiweza kulaviwa kayi toziya ya kuwusiya vidoda. 
HEB.10.27	Kumbiti shilii shashisigala ndo kuhepelera hera utoza wa Mlungu na motu gukalipa kuwamalira woseri yawamlema. 
HEB.10.28	Muntu yoseri yakagalema Malagaliru Mlungu gakamupananiti Musa, na kwa ukapitawu wa wantu wawili ama watatu, kalagwa pota na lusungu. 
HEB.10.29	Vinu hayiweri hashi kwa muntu ulii yakambeza Mwana gwa Mlungu na kuguwona mwazi gwa lipatanu yagumpungiti kuwera shintu ndiri, muntu yakamwigira Rohu Mnanagala gwa manemu? Kafiriziwa kupata utoza ukalipa wa ntambu gaa? 
HEB.10.30	Toziya tumumana ulii yakalongiti, “Shisasi sha neni, neni hambuziliri,” nayomberi viraa kalongiti, “Mtuwa hakawatozi wantu wakuwi.” 
HEB.10.31	Ndo shitwatira sha kutiriziya nentu muntu kubatwa na Mlungu yakawera mkomu!
HEB.10.32	Muliholi yagalawiriti mashaka galii ga kwanja pamgubutulitwi kuumana unakaka wa Mlungu. Tembera mashaka galii mpatitwi na ntabika ivuwa, mwenga mhepeleriti. 
HEB.10.33	Ntambu zimonga mwigirangitwi na kutabisiwa paweru, na ntambu yimonga mulikolerana pamuhera na walii yawatabisiyitwi. 
HEB.10.34	Toziya muwawoniriti lusungu walii yawaweriti mushibetubetu na pampokitwi lunda zyenu muhepeleriti kwa nemeru, toziya muvimaniti handa muwera na vintu viherepa nentu na vya mashaka goseri. 
HEB.10.35	Su namleka ulii ugangamala wenu, toziya uwera na lifupu likulu. 
HEB.10.36	Mfiruwa kuhepera su pamtenda mafiliru ga Mlungu, hamuwanki shirii shakalagiliti Mlungu. 
HEB.10.37	Ntambu yagalonga Malembu Mananagala,
HEB.10.37	“Shisigala shipindi shididini hera,
HEB.10.37	na ulii yakiza, hakizi,
HEB.10.37	na hapeni kakawi.”
HEB.10.38	“Kumbiti muntu gwangu yakamfiriziya Mlungu, hakajimili na kulikala,
HEB.10.38	na kumbiti pakaleka kujimira,
HEB.10.38	neni hapeni nfiriziwi na yomberi.”
HEB.10.39	Twenga twamlamu ndiri mwa walii yawaleka njimiru na kwagamira, kumbiti twenga twapamuhera na walii yawajimira na kulopoziwa.
HEB.11.1	Vinu njimiru ndo kuwera na unakaka kwa vitwatira vyatulitumbira, kuvimana kwa unakaka vitwatira vyatuviwona ndiri. 
HEB.11.2	Kwa njimiru, wazewi wa makashu wajimiritwi na Mlungu.
HEB.11.3	Kwa njimiru, twenga tuvimana handa pasipanu panyawitwi kwa shisoweru sha Mlungu, su vintu vyaviwoneka vilawiti muvintu vyaviwoneka ndiri.
HEB.11.4	Kwa njimiru Abeli kamlaviliriti Mlungu tambiku yaiweriti iherepa kuliku ilii ya Kaini. Kwa njimiru yakuwi, kajimiritwi na kuwera yakamfiriziya Mlungu toziya Mlungu mweni kazijimiriti tambiku zakuwi. Kwa njimiru yakuwi tembera kahowiti, matendu gakuwi gankali gawera na mafundu kwa twenga.
HEB.11.5	Kwa njimiru, Henoki kanyasulitwi na Mlungu, nakahowa. Kawonekaniti ndiri kayi toziya Mlungu kamnyasuliti. Pamberi pa kunyasulwa kwakuwi, Malembu Mananagala galonga kuwera yomberi kamfiliziyiti Mlungu. 
HEB.11.6	Pota njimiru hapeni iwezekani kumfiriziya Mlungu. Toziya kila muntu yakamgendera Mlungu, mpaka kajimiri kuwera Mlungu kapalaa na kuwera kawapanana lifupu walii yawamsakula nentu.
HEB.11.7	Kwa njimiru Nuhu kaberiziwitwi na Mlungu toziya ya vitwatira vya kulongolu vyaviwonekiti ndiri. Kamjimiriti Mlungu, kanyawa safina, mlaamu kalopoziyitwi yomberi pamuhera na kaya yakuwi. Kulawirana na aga, kwa njimiru yakuwi wantu wa pasipanu watozitwi kuwera na vidoda na Nuhu kamfiriziyiti Mlungu kwa njira ya njimiru.
HEB.11.8	Kwa njimiru Aburahamu kamupikaniritii Mlungu pakashemitwi kagendi muisi Mlungu mekampanani iweri yakuwi. Tembera kavimana ndiri pakaweriti kankugenda, Aburahamu kawukiti. 
HEB.11.9	Kwa njimiru kalikaliti gambira muhenga muisi Mlungu yakamlagiliti kumpanana. Kalikaliti aku mumapamanda, Isaka na Yakobu wankiti vintu viraa vilii Mlungu vyakamlagiliti Aburahamu, walikaliti mumapamanda vulaa gambira yomberi. 
HEB.11.10	Toziya Aburahamu kaweriti kankuhepelera lushi lwaluwera na lyanjiru ligangamala, lushi lweni Mlungu mweni ndo yakaluholiriti na kulinyawa.
HEB.11.11	Kwa njimiru Aburahamu kankiti makakala ga kulera tembera kaweriti mzewi na Sara mdala gwakuwi kaweriti mpendi. Toziya Aburahamu kajimiriti kuwera Mlungu yakamlagiliti kaweriti mjimirika.
HEB.11.12	Su kulawa kwa muntu yumu ayu mweni yakapititi kala umuli wa kulera, kulawiriti wantu wavuwa gambira ntondu zya kumpindi na gambira mhanga gwa pambeku pa bahali.
HEB.11.13	Wantu woseri awa wahowiti pawawera na njimiru. Wahowiti pamberi pa kwanka vitwatira Mlungu vyakavilagiliti, kumbiti kwa kutali waviwoniti na wanemeleriti na kulonga kuwera womberi waweriti wahenga na watugira pasipanu. 
HEB.11.14	Wantu yawatakula vitwatira handa avi, walanguziya paweru kuwera wankuyisakula isi yawu weni. 
HEB.11.15	Handa mewayiholeri isi yawalawiti makashu, mewapati lupenyu lya kuwuya aku. 
HEB.11.16	Kumbiti vinu wafira isi yaiwera iherepa nentu, isi ya kumpindi. Su Mlungu kawona ndiri soni kushemwa Mlungu gwawu, toziya yomberi kawatandiriti kala lushi.
HEB.11.17	Kwa njimiru Aburahamu kamlaviyiti mwana gwakuwi Isaka kaweri tambiku shipindi Mlungu pakamjeriti. Aburahamu mweni ndo yakaweriti kanka shirii shakalagiliti Mlungu, kumbiti pamuhera na hangu, kajimiriti kumlaviya mwana gwakuwi gwa gweka gwa lagilu, 
HEB.11.18	ndomweni yakagambiritwi na Mlungu kupitira Isaka hagupati wiwuka wavuwa. 
HEB.11.19	Aburahamu kavimaniti handa Mlungu kaweza kuzyukisiya yawahowiti na kwa ntambu yimonga nakaka Aburahamu kampatiti kayi mwana gwakuwi kulawa kwa yawahowiti.
HEB.11.20	Kwa njimiru Isaka kawatekeleriti Yakobu na Esawu matekeleru gagiza shakapanu.
HEB.11.21	Kwa njimiru Yakobu pakaweriti sambira kahowa, kawapetera mashi kila yumu gwa wana wa Yosefu, na kamguwiriti Mlungu pakalugolokelera luhonga lyakuwi.
HEB.11.22	Kwa njimiru Yosefu pakaweriti pakwegera kuhowa, katakuliti kulawa kwa Waisraeli muisi ya Misri, na viraa kawalekera malagaliru ntambu ya kugatenda mafupa gakuwi.
HEB.11.23	Kwa njimiru Musa kafifitwi na walera wakuwi kwa shipindi sha myezi mitatu pakayiwukiti. Toziya wamwoniti kuwera mwana kaherepa, womberi wavitiriti ndiri visoweru vya mfalumi.
HEB.11.24	Kwa njimiru Musa pakakuliti, kalemiti kushemwa mwana gwa binti gwa Farawu. 
HEB.11.25	Kawoniti mbaka kutabika pamuhera na wantu wa Mlungu kuliku kunemelera woya ya vidoda kwa katepu hera. 
HEB.11.26	Kavimaniti kuwera kutabika toziya ya Kristu Mlopoziya kwana mota nkulu kuliku ulunda woseri wa isi ya Misri toziya kaweriti kankulolerela lifupu lya shakapanu.
HEB.11.27	Kwa njimiru Musa kalawiti isi ya Misri pota na kutira maya ga mfalumi, na kawuyiti ndiri kumbeli, toziya kendereyiti kumlolerela Mlungu ulii yakawoneka ndiri. 
HEB.11.28	Kwa njimiru kayitenditi Pasaka, kalagaliriti mwazi gumyatirwi pampindi pa milyangu, su ntumintumi gwa kumpindi gwa kulaga nakawalaga wiwuka wa kwanja wa Israeli.
HEB.11.29	Kwa njimiru wantu wa Israeli walokiti bahali nsheri handa iweriti isi iyuma, kumbiti Wamisri pawajeriti kutenda hangu wahowiti kwa kumiruwa mumashi.
HEB.11.30	Kwa njimiru liboma lwa lushi lwa Yeriku viguwiti wantu wa Israeli pawavizyengikiti kala kwa mashaka saba. 
HEB.11.31	Kwa njimiru Rahabu yakaweriti mndiyandiya kahowiti ndiri pamuhera na walii yawamjimiriti ndiri Mlungu, toziya kawashemeriti kwa ponga walolalola wa bada.
HEB.11.32	Su ntakuli shishi kayi? Nahera shipindi kwaneni kuwatakulira ashina Gidioni na Baraki na Samsoni na Yefta na Dawudi na Samweli na wambuyi wa Mlungu. 
HEB.11.33	Kwa njimiru woseri awa wazikankiti falumi. Watenditi vitwatira vyavimfiriziyiti Mlungu, wanka galii gakalagiliti Mlungu. Wadiwa milomu ya simba, 
HEB.11.34	wadoziya makakala ga myotu, washapiriti kulagwa kwa upanga, waweriti legulegu kumbiti wapatiti makakala. Waweriti wagangamala mungondu, wakankiti mashonta ga shihenga. 
HEB.11.35	Wadala wamu wawauziliriti walongu wawu yawahowiti pawawera wakomu. Wamu wawu walema kuvugulirwa, watabisiyitwi mpaka wahowa su wapati kuzyukisiwa na kwingira mumakaliru gaherepa nentu. 
HEB.11.36	Wamonga watenderitwi lidufiya na kusyatangwa ntomondu, na wamonga watawitwi minyololu na kutatilwa mushibetubetu. 
HEB.11.37	Wagumitwi mabuwi, wapiligitwi kwa misumenu vipandi viwili. Wagendigenditi kwa kuzyengeta pawavala mikuli ya wakondolu na mikuli ya wambuzi, waweriti wantu wahushu yawatabisiyitwi na kuzulumiwa. 
HEB.11.38	Wantu wa pasipanu wafiriti ndiri kuwera na wantu awa. Wayeriyeriti kushiwala na mumigongu, walikaliti mumpanga na mumarindi.
HEB.11.39	Woseri awa wawonekaniti kuwera wakanka toziya ya njimiru yawu. Pamuhera na hangu wankiti ndiri galii Mlungu gakalagiliti, 
HEB.11.40	toziya Mlungu kaweriti na mpangu yaguherepa nentu toziya ya twenga, su womberi mewausegeleri ukamilika pawawera na twenga.
HEB.12.1	Su toziya twenga tuzyengetwa na shipinga shikulu sha wakapitawu. Su tuwusiyi kila shipingiru shashitupingira, na vidoda virii vyavitulemetera na tutugi mbiru kwa uhepelera mukutuga kwakutulitwi kulongolu kwatwenga. 
HEB.12.2	Tumloli Yesu mweni ndo yakanjishiti njimiru ya twenga na mweni hakaitendi teratera. Toziya ya nemeru yayiweriti yankumuhepera, yomberi kahepeleriti kuhowa palupingika, pota kulishera kusoniziwa kwakuwi, na vinu kankulikala uwega wa kumliwu wa shibanta sha ukulu sha Mlungu.
HEB.12.3	Mumuholi Yesu ntambu yakahepeleriti pakakalaziyitwi na yawatenda vidoda. Su namfuwa moyu ama namtoka. 
HEB.12.4	Mukukanka vidoda, mwenga msoka ndiri kwita mwazi gwenu. 
HEB.12.5	Mwenga mulyaluwiti visoweru vilii vyaviwapanana moyu, Mlungu kankuwagambira mwenga handa wana wakuwi?
HEB.12.5	“Mwana gwangu, nagubeza azabu ya Mtuwa,
HEB.12.5	ama naguwuya kumbeli pakakukalipira. 
HEB.12.6	Toziya Mtuwa kamfunda kila yakamfira,
HEB.12.6	kamwazibu kila yakamjimira kuwera mwana gwakuwi.”
HEB.12.7	Muhepeleri pamwazibiwa handa mafundu toziya Mlungu kawatendera mwenga handa wana wakuwi. Hashi, kwana mwana yakafundwa ndiri na tati gwakuwi? 
HEB.12.8	Handa pamwazibiwa ndiri gambira wana wamonga, su mwenga mwawana wa wakuwi ndiri wanakaka. 
HEB.12.9	Kayi, twenga tuwapanana ligoya watati wetu wa pasipanu yawatuleriti na yawatwazibu. Su tufiruwa kumjimira nentu Tati gwetu gwa kumpindi su tupati kulikala. 
HEB.12.10	Watati wa twenga pasipanu watufunda kwa shipindi shididini, handa womberi weni ntambu yawawoniti kuwera iherepa, kumbiti Mlungu kankutuazibu kwajili ya mota yetu twaweni, su tuweri wananagala gambira mweni. 
HEB.12.11	Vinu kwazibiwa shitwatira ndiri sha kunemiziya kumbiti su sha kwinginiziya. Kumbiti walii yawafunditwi kuwera na ligoya upeleru hawabenangi lifupu lya ponga kulawa mumakaliru yagamfiriziya Mlungu.
HEB.12.12	Su mugapanani makakala mawoku genu yagawera legulegu na kugangamaziya manung'unu genu yagawera legulegu. 
HEB.12.13	Mwendereyi kugendagenda munjira yainyoshikiti, su shirii shashilewerekiti nashitilinduka, kumbiti shiponiziwi.
HEB.12.14	Msakuli nentu kuwera na ponga na wantu woseri na mulikali makaliru ga unanagala, toziya pota unanagala kwahera muntu yakaweza kumwona Mtuwa. 
HEB.12.15	Mulikali weri muntu yoseri nakahowiziya manemu ga Mlungu. Muliloleri weri su lushigira lwalutomora shing'ong'u nalulawira pakati pa mwenga na kuwadodisiya wavuwa. 
HEB.12.16	Mulikali weri muwamu mwenu napawera na muntu muhumba ama muntu yakamguwira ndiri Mlungu gambira Esawu, yakawuziti wiwuka wakuwi wa kwanja kwa shiboga sha mala yimu. 
HEB.12.17	Mwenga muvimana handa pakafiriti kupata kayi tekelera ilii yayiweriti yakuwi, kabeliritwi toziya kapatiti kayi ndiri lupenyu lwa kugalambiziya shilii shakatenditi, ata pakakisakuliti kwa masozi.
HEB.12.18	Mwenga msokiti ndiri kulugongu lwamuweza kulukola na lwalwakiti motu ama papawera na luwindu dunu na lipuga, 
HEB.12.19	na liziwu lya mbalapi na liziwu lya visoweru. Walii yawapakiniriti liziwu ali waluwiti nawapikanira kayi shisoweru shimonga. 
HEB.12.20	Toziya wadahiti ndiri kuhepelera lilagaliru lyalilaviyitwi, “Ata handa nkanyama pakashinkula lugongu alu, hakagumwi mabuwi mpaka kafuwi.” 
HEB.12.21	Goseri aga gawonekaniti gakutiliziya nentu, Musa kalongiti, “Nankutira na kubegema.”
HEB.12.22	Kumbiti mwenga msoka mulugongu lwa Sayuni, lushi lwa Mlungu yakawera na ukomu, Yerusalemu lwa kumpindi, kwakuweriti wantumintumi wa kumpindi yawawalangikika ndiri, munemeleri. 
HEB.12.23	Msoka mulijojiniru likulu lya wantu wa Mlungu yawashemwa wiwuka wa kwanja, weni matawu gawu galembwa kumpindi. Mgoloka kulongolu kwa Mlungu yakawera mtoza gwa woseri, na kulongolu kwa rohu zya wantu waheri kulongolu kwa Mlungu yawatenditwi teratera. 
HEB.12.24	Msoka kwa Yesu, yomberi ndo mkolaniziya mulipatanu lya syayi, na kwa mwazi gwakuwi gwagumyatiriti kuwera gutakula vitwatira viheri kuliku mwazi gwa Abeli.
HEB.12.25	Su mulikali weri namwiza kulema kumpikinira ayu yakatakula na mwenga. Gambira walii yawalemiti kumpikinira ulii yakawaberiziyiti pasipanu walopoziwitwi ndiri, twenga hatudahi hashi kushapira handa patulema kumpikinira ulii yakatuberiziya kulawa kumpindi! 
HEB.12.26	Mushipindi shilii liziwu libegiziyiti isi, kumbiti vinu kalagila, “Hanupabegiziyi pasipanu kayi kwa mala yimonga, pasipanu hera ndiri kumbiti na kumpindi viraa.” 
HEB.12.27	Visoweru avi “kayi kwa mala yimonga” vyankutulanguziya kuwera vintu vyoseri vyavinyawitwi havibegeziwi na kuwuka su visigali vilii vyavibegiziwa ndiri.
HEB.12.28	Twenga, tulongi mayagashii, toziya twankuwanka ufalumi yawubegiziwa ndiri. Tuweri na mayagashii na kumguwira Mlungu kwa ntambu yayimfiriziya, na kwa kuguwira na lyoga, 
HEB.12.29	toziya Mlungu gwetu nakaka ndo motu gwaguhalibisiya.
HEB.13.1	Mwendeleyi kulifilira shirongu. 
HEB.13.2	Namulyaluwa kuwashemera wahenga, toziya kwa kutenda hangu wantu wamonga wapatiti kuwashemera wantumintumi wa kumpindi pota kuvimana. 
HEB.13.3	Muwaholi walii yawatatilitwi gambira mtatirwa pamuhera na womberi. Muwaholi walii yawatabika gambira mwenga mtabika pamuhera na womberi.
HEB.13.4	Ndowa ifiruwa kupananwa ligoya na wantu woseri, mpalu pamuhera na mdala wafiruwa kuwera waminika. Mlungu hakawatozi wandiyandiya na wahumba.
HEB.13.5	Namuwera wantu wa kufira mpiya, mtosheki kuwera na vintu vyamuwera navi. Mlungu mweni kalonga, “Hapeni nukuleki nakamu, ama hapeni nukwasi.” 
HEB.13.6	Toziya ayi tuweza kulonga kwa ugangamala,
HEB.13.6	“Mtuwa ndo mtanga gwangu,
HEB.13.6	hapeni ntiri.
HEB.13.6	Muntu hakantendi shishi?”
HEB.13.7	Muwaholi walongoziya wenu, yawawabwelerani Shisoweru sha Mlungu. Muliholi ntambu yawakaliti na kuhowa, mjeri njimiru yawu. 
HEB.13.8	Yesu Kristu ndo ulaa ulii lishu, leru na mashaka goseri. 
