MAT.1.1	Ini se guhud te kepuun ni Hisu Kristu, kevuwaran ni David wey kevuwaran dema ni Abraham.
JUD.1.11	Mekeandek nevenar se egketemanan dan! Su ini se ulaula ran ne warà bira rin dut te ki Kain dengan. Ne iring dan dema ki Bilam rengan te misan netuenan din ded se meraat ne mibpenguwa te pirak te dalan te tarù din. Ne iring ded dema ke ulaula ran ki Kura rengan su mibpekidlawan sikandin ki Moises ne mibpemekeiran sikandin te Eleteala, ne iring ded be imbe se kegkekeiri ran ketà.
JUD.1.12	Su egenat dut te meraat ne ulaula ran ne ebpekekaid dut te kevurunan niyu te edtenuran niyu ke kinepatey wey kinekevanew ni Hisus. Warà angkà te kegkaan wey ked-inum dan su iyan den dà ed-epasen ke kegkaan dan. Ne iring dan dema te dadtem ne kivel ne kunaan ke ebpekeuran, ugaid ne inlayap te keramag. Ne iring dan ded dema te kayu ne nevuwar en su misan timpu te kebpemehas ne warà bahas din su nehangu en. 
JUD.1.13	Ne iring dan ded maa lavew te dekdekelà ne baleg te rahat ne kenà ebpeeneng-eneng su ke meraat ne ulaula ran ne iring dut te meredsik ne ebpekeampil te buràburà diyà te kilid te rahat. Ne ruma pà maa ne iring dan te menge bituen ne neparin dut te ebpinuuwan din ne kenà en egkepakey ne edtenuran te menge etew. Ne ruen en intail te Eleteala kandan ne meitem en te kerusirem din ne ubpaan ne kenà dan ebpekeawà ketà taman te taman.
JUD.1.14	Su si Enoc ne ikepitu ne kevuwaran igenat te si Adan se impekahi te Eleteala rengan mekeatag te egketemanan dan ne ini se impekahi rin, “Ebpekeuma si Hisus ke Kerenan tew ne edumaan te suluhuen din ne egngivungivuwan 
JUD.1.15	apey egkukumen din ke langun ne menge etew wey ed-isuhaten din te kevenar ke langun ne menge belidsalà dut te ulaula ran ne meraatey wey atag dut te meraat ne lalag dan ne id-isuhat kandin!”
JUD.1.16	Ini se menge etew ne ed-engkenà dut te benar, ne merehen egkesukul se hinawa ran wey metehel ne ebpemivig. Iyan den dà edumaan ke meraat ne kiyug te lawa ran. Sahad se kepereyù dan, ne metau ran ne edlana te hinawa te ruma ran su dalan ini te kedsikep dan.
JUD.1.17	Ugaid ne sikiyu keniyan ne menge suled ku, tentenuri niyu ke ingkahi rut te menge kedserihan dengan ni Hisu Kristu ke Kerenan tew. 
JUD.1.18	Su migkahi ran te, “Ketà te egketketapus en ini se kelibutan ne ruen menge etew ne egemew ne edsumpalit keniyu ini te ebperetiyaya ki Hisus. Menge etew ini ne iyan dan edtumanen ke kiyug te lawa ran ne igkeepes te Eleteala.” 
JUD.1.19	Ne sikandan se puunan te kegkehuvar dut te neseveka ne menge mibperetiyaya. Su iyan dan ma edtumanen ne ke kandan dà ne kiyug, ne ke Kedesenan ne Ebpetuntul te Menusiyà ne warà te hinawa ran.
JUD.1.20	Ugaid ne sikiyu ne menge suled ku, ne ibpeunsad niyu ke langun ne ed-ul-ulaan niyu kayi te sarig ne imbehey kenitew te Eleteala. Ne kayi te kebpengeningeni tew te Eleteala ne ignganey tew rut te Kedesenan ne Ebpetuntul te Menusiyà te iyan mebayàbayà te itungan tew su apey ta egketueni ke engkey se egkiyuhan te Eleteala ne kebpengeningeni tew. 
JUD.1.21	Ne ikehat niyu te tivang ke rekelà ne limù te Eleteala keniyu apey kew egkevaher gewii niyu te edtahad ketà te hewii ne edlived si Hisu Kristu ne Kerenan tew. Su ketà ne hewii ne ibpekita rin kenitew ke iru rin su ebehayan kiyu en te umur tew ne warà edtemanan din.
JUD.1.22	Upiani niyu te ebpesabut ke menge etew ne alang-alang pà se kebperetiyaya ran apey ran kenà en mevangen te ebperetiyaya 
JUD.1.23	ne ke menge ruma niyu ne riyà ebpekesinaru te apuy nerakà, ne tevangi niyu su iring te edsekedlawen niyu sikandan diyà te apuy. Ibpekita niyu ke kegkeyru niyu te menge etew, ugaid ne inteng kew imbe ke ebpekeiring kew rut te meredsik ne perangey ran.
JUD.1.24	Ne arà be ne edeyrey kiyu te Eleteala su sikandin dà se ebpekegaga ne edtavang kenitew apey kenà ki mekesuwey riyà te kandin. Ne sikandin dà se ebpekegaga ne ebpeliyu kenitew su apey warà meraat ne egkekita rin kayi te kenitew ketà te hewii ne ed-itindeg ki diyà te etuvangan te raman din ne ed-andlag te kesihey rin ne dekelà imbe ne kehelawan tew. 
JUD.1.25	Kenà kiyu ed-engked se edeyrey te Eleteala su sikandin dà se benar ne Eleteala ne ebpeliyu kenitew su sabap dut te mid-ulaula ni Hisu Kristu ke Kerenan tew. Su sikandin dà se mepurù te langun ne warà repeng dut te keupiya wey gehem din, su mibayàbayà sikandin te aney en te warà pà limbaha ini se kelibutan taman guntaani en ne warà ketepusan din taman te taman! Ne metuman be ini.
JUD.1.25	Arà dà taman.
REV.1.1	Ini se insurat ne imperayag ni Hisu Kristu. Imbehey ini kandin dut te Eleteala su apey igkepesabut diyà te menge mibperetiyaya te Eleteala ke engkey se mehaan ne egkenged-ulaula. Impayag ini ni Hisu Kristu diyà te ki Juan ne sugsuhuen din ibpepevayà te suluhuen din ne midsuhù din diyà te kandin. 
REV.1.2	Ne insurat ni Juan ke langun ne impekita kandin. Ne ini se insurat ni Juan ne ke Lalag te Eleteala wey ke benar ne impekita ni Hisu Kristu. 
REV.1.3	Ne dayirayi ke etew ne ebasa kayi te insurat ini ne egkenged-ulaula, ne dayirayi rema ke menge etew ne ebpemineg wey edtuman te insuhù kayi su mehaan en ke hewii ne egketuman ini.
REV.1.4+REV.1.5	Siak si Juan ke midsurat kayi. Ini se insurat ku ne riyà te langun niyu ne menge mibperetiyaya ne diyà te pitu ne menge inged te pruvinsiya ne Asiya.
REV.1.4+REV.1.5	Egkiyuhan ku ne ebpeneuven kew rut te Eleteala wey ke Kedesenan ne Ebpetuntul te Menusiyà wey si Hisu Kristu. Egkiyuhan ku rema ne ebmelintad ke hinawa niyu mekeatag kandan. Ini se Eleteala ne daan en sikandin te warà pà limbaha ke misan engkey en, ne kemulu pà sikandin guntaan wey sikandin ded lavew taman te taman. Ne ke Kedesenan ne Ebpetuntul te Menusiyà ne pitu se ralan te kebpekita rin dut te gehem din ne diyà ed-ubpà te etuvangan te ebpinuuwan te kedatù te Eleteala. Ne si Hisu Kristu ke egkeserihan ne titihus mekeatag te Eleteala. Sikandin ke neuna ne mibanew te Eleteala dut te kebpatey rin, ne sikandin rema ke benar ne datù ne ebayàbayà dut te langun ne ruen kebayàbayà din kayi te ampew te dunya.
REV.1.4+REV.1.5	Dekelà ke limù din keytew, ne ketà te imbùbù din ke lengesa rin kenitew dut te kinepatey rin ne sikandin ke mibpeliyu keytew rut te kedusa te Eleteala te salà tew. 
REV.1.6	Ne nekelusud ki rut te edetuan din wey mibaluy ki nikandin ne iring te menge terebpelengesa su apey egelevek ki rut te egkiyuhan te Eleteala ne amey rin. Tembù be iyan meupiya ne edeyuen sikandin ne edatù sikandin te warà kegkepupus din. Egketuman ini.
REV.1.7	Na kelimùlimù ne pegitunga niyu ini.
REV.1.7	Ebpekeuma si Hisu Kristu
REV.1.7	ne edumaan dut te menge sehulapun.
REV.1.7	Egkekita sikandin dut te langun ne menusiyà
REV.1.7	abpeg dut te mid-imatey kandin.
REV.1.7	Ne ebpeninehew ketà ke langun ne menge etew
REV.1.7	kayi te ampew te dunya
REV.1.7	su egkeandek dan te kegkukuma rin kandan.
REV.1.7	Egketuman ini.
REV.1.8	Ini se Kerenan tew ne Eleteala ne mekegehem, ne daan en sikandin te warà pà limbaha ke misan engkey en ne kemulu pà sikandin guntaan wey sikandin ded lavew taman te taman. Tembù be migkahi te, “Siaken ke Alpa wey Omega.” Ne ke meana kayi ne warà kurang din su sikandin ke ebpuunan te langun taman ne sikandin dema ke ebpeengked dut te langun.
REV.1.9	Na si Juan a ne midsurat kayi ne suled niyu te ebperetiyaya ki Hisus. Ne iring a keniyu su midtigkeran ku rema ke kemeresayan ne nekeuma kediey su atag dut te kebpesakup ku te Edetuan te Eleteala. Su neepes ke gubirnu te ini se kebpenudtul ku te Lalag te Eleteala wey ini se kebpenurù ku te imperayag ni Hisus, ne midsegseg a te ebpendiyà te punul ne ed-ingaranan te Patmus. 
REV.1.10	Ne ketà te hewii ne edeyù ki te Kerenan, ne midlumun kediey ke Kedesenan ne Ebpetuntul te Menusiyà ne ruen merahing ne suwara ne nerineg ku diyà te iniyuhan ku ne iring te dahing te budyung. 
REV.1.11	Ne migkahi te, “Isurat nu ini se egkekita nu ne ibpeewit nu diyà te menge mibperetiyaya diyà te pitu ne menge inged: diyà te inged ne Ipisu, Ismirna, Pirgamu, Tiyetira, Sardis, Piledilpiya wey riyà te inged ne Lewdisiya.”
REV.1.12	Ne guna su nerineg ku ini se merahing ne suwara, ne midlilingey ku su apey ku egkekita ke engkey se edlalag kediey, ne ketà ne iyan ku nekita ne ini se pitu ne sulù ne bulawan. 
REV.1.13	Ne riyà te luuk dut te menge sulù ne ruen nekita ku ne iring te paras te menusiyà. Ne mibevelegkas te melayat su nekeuma te paa rin ne ruen inselauy kayi te kumeng din ne vulawan. 
REV.1.14	Ini se bulvul din ne mepmeputì iring te gapas, ne ke mata rin ne iring te regreg dut te apuy. 
REV.1.15	Ne ini se paa rin ne iring te galang ne intuug diyà te apuy, ne ke suwara rin ne iring te dehuus dut te wayig te sampew. 
REV.1.16	Kayi te kewanan ne belad din ne ruen migeweran din ne pitu ne bituen, ne ruen migemew te bèbà din ne sundang ne meharang. Ne ke buked din ne ebpekesirang iring te rayag te neudtu ne andew. 
REV.1.17	Nekita ku rà sikandin, ne midlumpeng ad diyà te sineruwan din iring te minatey. Ugaid ne indampen din kediey ke kewanan ne belad din ne migkahi te, “Kenà ka meandek su siaken ke ebpuunan te langun taman ne siaken dema ke ebpeengked dut te ketepusan te langun taman. 
REV.1.18	Siaken ke ruen umur din ne warà edtemanan. Ne misan mid-imetayan a nikandan ne nevanew a iya, ne guntaani ne kenà ad ebpatey. Siaken ke egawed dut te umur te menge etew, ne siaken ded ke ebayàbayà dut te Iveyaan.
REV.1.19	“Na isurat nu ini se ibpekita ku kenikew ini, se egked-ulaula guntaan wey ke egked-ulaula pà keuremà. 
REV.1.20	Na ibpesabut ku kenikew ke meana rut te pitu ne bituen ne nekita nu ne migeweran ku kayi te kewanan ne velad ku wey ke meana rut te pitu ne sulù ne vulawan. Ini se pitu ne bituen, ne ini ke pitu ne suluhuen te Eleteala ne ebantey rut te pitu ne inged ne menge mibperetiyaya. Ne ini se pitu ne sulù, ne ini ke pitu ne inged ne menge mibperetiyaya.”
REV.2.1	Migkahi si Hisus te, “Surati nu ke suluhuen ne ebantey rut te menge mibperetiyaya diyà te inged ne Ipisu, ne ini se menge lalag ne isurat nu.
REV.2.1	“‘Ini se menge lalag ku keniyan te keniyu. Siaken ke egawed te pitu ne bituen kayi te kewanan ne belad ku, ne siaken ded ke ed-ipanew kayi te luuk te pitu ne bulawan ne sulù. 
REV.2.2	Netuenan ku ini se langun ne ed-ul-ulaan niyu. Netuenan ku rema ne metehel kew ne egelevek ne metigker kew te kemerehenan su atag dut te kebperetiyaya niyu kediey. Ne netuenan ku rema te kenà kew edtuhut te ruen menge ruma niyu ne meraat se ed-ul-ulaan din, su migeraman niyu ke menge etew ne egkahi te kedserihan dan ni Hisus ne rutun ne netuenan niyu ne kenà benar ne kedserihan su midtarùtarù dan. 
REV.2.3	Netuenan ku te midtigkeran te hinawa niyu ke keresayan ne mibpekesekitan kew su atag dut te kebperetiyaya niyu kediey, ne misan iring ketà ne warà niyu engkeri ke kebperetiyaya niyu wey keduma niyu kediey.
REV.2.4	“‘Ugaid ne ruen en ed-ul-ulaan niyu guntaani ne idsawey ku keniyu. Ketà te pehaney ne mibperetiyaya kew kedì ne dekelà se limù niyu kediey, ugaid guntaani ne nasì en ne mideisek. 
REV.2.5	Tentenuri niyu ke dekelà ne limù niyu kedì dut te pehaney, ne pedsendit kew dut te meraat ne ed-ul-ulaan niyu guntaani ne lived kew dut te neuna ne limù niyu kediey. Su embiya kenà kew ebpedsendit, ne ebeyaan ku sikiyu ne id-awà ku ke sulù niyu diyà te netehuan din. 
REV.2.6	Ugaid ne duen ed-ul-ulaan niyu ne ebpekesuhat te hinawa ku su neepes kew te meraat ne ed-ul-ulaan dut te menge etew ne eduma ki Nikulayi ne ingkeepes ku rema.
REV.2.7	“‘Itaan niyu ke telinga niyu ne pemineha niyu ini se egkehiyen dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te langun niyu ne mibperetiyaya. Piya engkey ne etew ne kenà egkegaga dut te penggeram te datù te pekaid, ne edtuhutan ku ne ebpekekaan dut te bahas te kayu ne ebpuunan te umur ne warà edtemanan din ne impemula ketà te ed-ubpaan te Eleteala.’”
REV.2.8	Ne ketà ne migkahi pà maa si Hisus te, “Surati nu red ke suluhuen ne ebantey dut te menge mibperetiyaya diyà te inged ne Ismirna, ne ini se menge lalag ne isurat nu.
REV.2.8	“‘Ini se menge lalag ku keniyan te keniyu. Siaken ke ebpuunan te langun taman ne siaken rema ke ebpeengked dut te langun. Minatey a ugaid ne nevanew a red. 
REV.2.9	Netuenan ku te dekelà se kebpekesekiti keniyu ne neheraman niyu. Netuenan ku rema ne menge ayuayu kew, ugaid ne misan iring ketà ne kewasa kew iya riyà te langit. Ne netuenan ku ke meraat ne edlelahen mekeatag keniyu dut te menge etew ne engkungkun ne tidtu ne menge Hudiyanen, ugaid ne kenà ma benar su sakup dan ni Setanas ke datù te pekaid. 
REV.2.10	Kenà kew meandek dut te keresayan ne mehaan en ne ebpekeuma keniyu. Ugaid ne pemineha niyu ini se egkehiyen ku su ruen keniyan te keniyu ne ebilengguen dut te datù te pekaid su ebpenggeraman din ke kebperetiyaya niyu, ne edresayen kew te mehaan iring te menge sepulù ne hewii. Ugaid ne kenà kew edlekà te kebperetiyaya niyu kediey misan ibpatey niyu pà su ruen lalew ne ibehey keniyu ne umur ne warà edtemanan din.
REV.2.11	“‘Itaan niyu ke telinga niyu ne pemineha niyu ini se egkehiyen dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te langun niyu ne mibperetiyaya.
REV.2.11	“‘Piya engkey ne etew ne kenà egkegaga dut te penggeram te datù te pekaid ne kenà ibpependiyà te Eleteala te apuy nerakà ne arà ke ikeruwa ne kemetayen.’”
REV.2.12	Ketà ne migkahi en maa si Hisus te, “Surati nu red ke suluhuen ne ebantey dut te menge mibperetiyaya diyà te inged ne Pirgamu, ne ini se menge lalag ne isurat nu.
REV.2.12	“Ini se menge lalag ku keniyan te keniyu. Siaken ke ruen meharang ne sundang ne egemew kayi te bèbà ku. 
REV.2.13	Netuenan ku ne riyà kew ed-ubpà te inged ne ruen merakel ne etew ne edetuan ni Setanas ke datù te pekaid. Ugaid ne misan iring ketà ne metidtu ke keduma niyu kediey, ne warà kew medlekà dut te kebperetiyaya niyu kediey misan dut te ked-imetayi ran ki Antipas dengan, arà se metinumanen te ebpemenudtul te lalag ku ne mid-imetayan dan diyà te inged niyu ne edetuan te datù te pekaid.
REV.2.14	“Ugaid ne ruen dema ed-ul-ulaan niyu ne kenà ku egkesuatan su ruen keniyan te keniyu ne eduma te impenurù ni Belaam dengan. Si Belaam ini, ne impenurù din dengan ki Balak ke ralan te kebpeneheewit dut te menge etew ne kevuwaran ni Israyil te kebpekedsalà. Su mibpeneheewit din sikandan te egkaan dut te egkeenen ne inrenà ne siparat diyà te ledawan dà ne kenà tidtu ne Eleteala wey mibpeneheewit din dema sikandan te kebpengingniyug. 
REV.2.15	Ne ruen dema keniyan te keniyu ne eduma rut te tarù ne penurù te menge etew ne Nikuleyta. 
REV.2.16	Engkeri niyu ini se meraat ne ed-ul-ulaan niyu, su embiya kenà ne mehaan ku ebeyai sikiyu ne edusaan ku ini se menge etew kayi te sundang ne egemew te bèbà ku.
REV.2.17	“Itaan niyu ke telinga niyu ne pemineha niyu ini se egkehiyen dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te langun niyu ne mibperetiyaya.
REV.2.17	“Piya engkey ne etew ne kenà egkegaga dut te penggeram te datù te pekaid, ne ebehayan ku te egkeenen diyà te langit ne warà pà mekita te menge etew. Ne ebehayan ku rema sikandin te meputì ne batu ne insurat dutun ke behu ne ngaran din ne iyan dà netau ne ke ebehayan.”
REV.2.18	Ketà ne migkahi en maa si Hisus te, “Surati nu red ke suluhuen ne ebantey dut te menge mibperetiyaya diyà te inged ne Tiyatira, ne ini se menge lalag ne isurat nu.
REV.2.18	“Ini se menge lalag ku keniyu ne siaken ke Anak te Eleteala. Ke mata ku ne iring te regreg te apuy, ne ke paa ku ne iring te galang ne intuug diyà te apuy. 
REV.2.19	Netuenan ku ke langun ne ed-ul-ulaan niyu. Ke limù niyu kediey ne dekelà ne ke kebperetiyaya niyu kediey ne mevaher. Metinevangen kew te menge ruma niyu ne mibperetiyaya, ne metigker kew te kemeresayan. Netuenan ku rema ne guntaani ne mid-iseg ini se meupiya ne ed-ul-ulaan niyu rut te pehaney. 
REV.2.20	Ugaid ne ruen en ed-ul-ulaan niyu ne idsawey ku keniyu su ke meritan ne si Isibil ne engkungkun ne ebpelambas te Lalag te Eleteala ne edtuhutan niyu ne ebpenurù keniyu. Ne kayi te penurù din ne midlimbungan din ke menge sakup ku su mibpeneheewit din sikandan te egkepakey ne ebpengingniyug dan wey egkaan te egkeenen ne inrenà ne siparat diyà te ledawan dà ne kenà tidtu ne Eleteala. 
REV.2.21	Neuhet en ne midtigkeran ku su apey rin meengkeri na ebpekedsendit dut te meredsik ne ed-ul-ulaan din, ugaid ne kenà din ed-engkeran. 
REV.2.22	Tembù be idadsang ku sikandin diyà te ed-irehaan din su ebpederuwen ku abpeg ke menge ruma rin. Ne egkeheram dan te mepasang ne keresayan embiya kenà dan ed-engked ne ebpekedsendit dut te meredsik ne mid-ulaula ran su atag dut te ini se meritan. 
REV.2.23	Ne ed-imetayan ku rema ke menge etew ne eduma rut te impenurù din su apey egkekita te langun ne mibperetiyaya te siaken ke netau te langun ne netahù te itungan dut te menge etew wey ke egkiyuhan dan dema. Ne edusaan ku red dema ke uman seveka kandan te piya engkey se edait dut te menge ulaula ran.
REV.2.24	“Ne ruen igkahi ku keniyu te menge ruma ne riyà te inged ne Tiyetira ne warà pà meduma rut te meraat ne penurù kayi te meritan ini, su warà kew pà medtelimà te iyan din egkehiyen ne metampas ne itungan misan riyà ebpuun te ki Setanas ke datù te pekaid. Ne iyan ku igkahi keniyu ne warà en duma pà ne ebpeveelan ku keniyu, 
REV.2.25	ugaid ne iyan iya se geweri niyu te mevaher ke kebperetiyaya niyu kediey taman te ebpekeuma a. 
REV.2.26+REV.2.27	Ne piya engkey ne etew ne kenà egkegaga dut te penggeram te datù te pekaid ugaid ne edumaan din ke kiyug ku taman te kepatey, ne arà se etew ne ebehayan ku te gehem iring dut te gehem ne imbehey kediey dut te Amey ku ne Eleteala su ebehayan ku sikandan te kebayàbayà te edatù dut te langun ne inged kayi te ampew te dunya.
REV.2.26+REV.2.27	Ne ke kebayàbayà dan ne mevaher
REV.2.26+REV.2.27	iring te kevaher dut te putew ne kenà egketamped.
REV.2.26+REV.2.27	Uya kayi te kedtevani ran dut te menge inged
REV.2.26+REV.2.27	ne edrupeten dan iring te kuren.
REV.2.28	“Ne sikandan ne eduma kediey taman te kemetayen ne ibehey ku rema kandan ke mekebangas ne bituen ne edsilà te egkeriwaswas.
REV.2.29	“‘Itaan niyu ke telinga niyu ne pemineha niyu ini se egkehiyen dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te langun niyu ne mibperetiyaya.’ ”
REV.3.1	Ketà ne migkahi en maa si Hisus te, “Surati nu red ke suluhuen ne ebantey dut te menge mibperetiyaya diyà te inged ne Sardis, ne ini se menge lalag ne isurat nu.
REV.3.1	“Ini se menge lalag ku keniyan te keniyu. Ke Kedesenan ne Ebpetuntul te Menusiyà ne pitu ne ralan ne ebpekita te gehem din ne ini en te kediey. Ne kayi en dema ke pitu ne bituen ne egeweran ku. Netuenan ku ini se langun ne ed-ul-ulaan niyu. Ne misan nevantug kew te ruen behu ne umur niyu ne kenà egkekita kayi te ed-ul-ulaan niyu. 
REV.3.2	Tembù be himerat kew ne geweri niyu te mevaher ini se reisek dà ne kebperetiyaya niyu su apey kenà egkeawà ini. Su netuenan ku ne ini se ed-ul-ulaan niyu ne kenà ebpekesuhat te hinawa te Eleteala. 
REV.3.3	Kenà niyu lipati ke benar ne penurù ne nerineg niyu wey midtelimà niyu, ne dumai niyu ini wey engked kew dut te meraat ne ed-ul-ulaan niyu. Su embiya kenà kew ebpekedsendit, ne ebpekeuma a te warà kew mebpenehana su edusa keniyu. Ne ini se kebpekeuma ku ne iring te kebpekeuma dut te tekawen ne kenà egketuenan ke kedlepew rin.
REV.3.4	“Ugaid ne ruen duma niyu diyà te inged ne Sardis ne warà mevuringi ke belegkas din. Ne iyan din meana ne warà med-amung te meraat ne ulaula. Ne sikandan se ebpekeruma kediey ne ebevelegkas te meputì, ne edait ini su mid-up-upiya ran te ed-ul-ulaan dan. 
REV.3.5	Ne piya engkey ne etew ne kenà egkegaga dut te penggeram te datù te pekaid ne ke ibevelegkas din ne meputì, ne kenà ku id-awà ke ngaran din dut te riberù ne midsuratan te menge ngaran te langun ne egkevehayan te umur ne warà edtemanan din. Ne egkehiyen ku riyà te etuvangan te Amey ku ne Eleteala wey ke menge suluhuen din te ini ne sakup ku.
REV.3.6	“‘Itaan niyu ke telinga niyu ne pemineha niyu ini se egkehiyen dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te langun niyu ne mibperetiyaya.’”
REV.3.7	Ketà ne migkahi en maa si Hisus te, “Surati nu red ke suluhuen ne ebantey dut te menge mibperetiyaya diyà te inged ne Piledilpiya, ne ini se menge lalag ne isurat nu.
REV.3.7	“‘Ini se menge lalag ku keniyan te keniyu. Siaken ke ed-ulaula te metidtu, ne egkeserihan a. Ne mibehayan a te kebayàbayà su apey edatù te iring dut te kedatù ni David dengan. Ne embiya ebpuwasan ku ke gumawan su apey ruen etew ne ebpekelusud ketà te edetuan ku, ne warà etew ne ebpekelekeb kayi. Ne embiya edlekevan ku ini su apey warà etew ne ebpekelusud, ne warà ded maa etew ne ebpekepuwas kayi. 
REV.3.8	Netuenan ku ini se ed-ul-ulaan niyu. Ne netuenan ku rema te sikiyu ne kenà kew utew merakel ne ke gaga niyu ne reisek dema, ugaid ne metinumanen kew te keduma rut te impenurù ku keniyu ne warà in-eles niyu ne sakup niyu kediey. Ketà ne ruen iring te gumawan ne mibpuwasan ku su apey kew ebpekelusud, ne warà ebpekegaga ne edlekeb su kenà dan ebpekevangen dut te ibpeulaula ku keniyu. 
REV.3.9	Ne arà ne menge etew ne engkungkun ne tidtu ne menge Hudiyanen ugaid ne tarù su sakup dan ni Setanas ke datù te pekaid, ne ibpeembavà ku sikandan ne ibpepenimbuel ku diyà te etuvangan niyu su apey ran egketuenan te sikiyu ne menge etew ne igkelimù ku iya. 
REV.3.10	Ne sabap te keduma niyu rut te insuhù ku keniyu te edtigkeran niyu ke kemerehenan, tembù be ebentayan ku sikiyu su apey kenà ebpekeuma kayi te keniyu arà se keresayan ne ebpekeuma kayi te ampew te dunya ketà te hewii ne ebpenggeraman te Eleteala ke menge etew.
REV.3.11	“‘Na mehaan ad edlived kayi te ampew te dunya. Tembù be geweri niyu te mevaher ini se kebperetiyaya niyu kediey guntaani su apey warà etew ne edlimbung keniyu ne ebpekekuwa dut te lalew ne intail keniyu. 
REV.3.12	Ne piya engkey ne etew ne kenà egkegaga dut te penggeram te datù te pekaid, ne arà ne etew ne ebeelan ku ne iring te pelaus ne metigker diyà te nekebpurù ne baley te Eleteala diyà te langit ne ed-ubpà ketà taman te taman. Ne idsurat ku riyà te kandin ke ngaran dut te Amey ku ne Eleteala wey ke ngaran dut te inged te Eleteala ne ed-ingaranan te Behu ne Hirusalim, ini se inged ne ebpenaug diyà ebpuun te Eleteala diyà te langit. Ne idsurat ku rema diyà te kandin ini se behu ne ngaran ku.
REV.3.13	“‘Itaan niyu ke telinga niyu ne pemineha niyu ini se egkehiyen dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te langun niyu ne mibperetiyaya.’ ”
REV.3.14	Ketà ne migkahi en maa si Hisus te, “Surati nu ke suluhuen ne ebantey rut te menge mibperetiyaya te inged ne Lewdisiya, ne ini se menge lalag ne isurat nu.
REV.3.14	“‘Ini se menge lalag ku keniyan te keniyu. Siaken ne mid-ingaranan te “Amin” su egkedserihan a wey benar iya ke menge lalag ku. Ne langun taman ne nelimbag te Eleteala ne impepevayà din kayi te kediey. 
REV.3.15	Netuenan ku ke langun ne ed-ul-ulaan niyu. Netuenan ku ne iring kew te ed-inumen ta ne kenà meinit ne kenà ded maa meadsil su eduwaruwa ke hinawa niyu kayi te keduma niyu kediey. Angin perem ke egkeseveka se hinawa niyu iring te wayig ne meinit nevenar etawa meadsil. 
REV.3.16	Ugaid ne geina te iring kew te ed-inumen ne mehelimendew rà, ne idsempilà ku sikiyu. 
REV.3.17	Egkahi kew te, “Kewasa ki en ne meupiya ini se kebpekesavuk ta ne warè en kurang ta te misan engkey.” Ugaid ne warà niyu rà metueni te mekeyruwiru kew ves. Su iring kew te menge etew ne nepisek, ne egkeayuayu wey etew ne warà belegkas din. 
REV.3.18	Tembù be ibpemandù ku keniyu ne pemesaa niyu kayi te kedì ini se tidtu ne bulawan ne intuug diyà te apuy ne in-upama te kebperetiyaya niyu kediey su apey ke kegkewasa niyu ne benar. Ne pemesaa niyu rema kayi te kedì ini se meputì ne belegkas su apey ibevelegkas niyu ne egkeawà ke kegkeyeyai niyu te nekegkedew. Ne pemesaa niyu rema kayi te kedì ini se bawì te mata su apey ibawì te mata niyu ne ebmerayag se kedtengteng niyu.
REV.3.19	“‘Na ke langun ne menge etew ne igkelimù ku ne ebpenuruen ku, ne edusaan ku rema sikandan su apey ke ed-ul-ulaan dan ne ebmeupiya. Tembù be pedsendit kew ne engkeri niyu ke meraat ne ed-ul-ulaan niyu. 
REV.3.20	Pemineha nu, su ed-itindeg a kayi te gumawan te baley nu ne ed-umew a kenikew. Embiya ebpemineg ka kediey ne ebpuwasan a nikuna, ne edlusud a ne ebpetuheney ki te egkaan.
REV.3.21	“‘Ne piya engkey ne etew ne kenà egkegaga dut te penggeram te datù te pekaid ne ebpepinuuwen ku kayi te uvey ku ketà te edetuan ku su ed-amung kedì te edatù. Iring dema kediey te warà a megaga te penggeram te datù te pekaid ne mibpepinuu a diyà te uvey te Amey ku ne Eleteala su ed-amung a te edetuan din.
REV.3.22	“‘Itaan niyu ke telinga niyu ne pemineha niyu ini se egkehiyen dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te langun niyu ne mibperetiyaya.’”
REV.4.1	Ketà ne ruen pà maa ruma ne imperayag kediey te Kerenan su nekita ku te ruen gumawan diyà te langit ne mibpuwasan en. Ne ini se midlalag kediey geina te merahing ne suwara iring dut te budyung ne midlalag pà maa kediey ne migkahi te, “Pengkayi ka su ibpekita ku keykew ke engkey se egketemanan dut te akir din ne hewii.” 
REV.4.2	Arà dà ne midlumunan a rut te Kedesenan ne Ebpetuntul te Menusiyà ne ruen impekita rin kediey su riyà te lusud te langit ne nekita ku ini se ebpinuuwan dut te edatù te langit ne ruen mibpinuu ketà. 
REV.4.3	Ne mesihey ke paras din iring dut te ebpengilak-ilak ne menge batu ne mepurù ne ed-ingaranan te hasper wey karnila. Ne ruen neketerung ketà te ebpinuuwan din ne meilem ne beluntu iring te paras te mepurù ne meilem ne batu ne ed-ingaranan te ismiralda. 
REV.4.4	Ruen deruwa nepulù wey epat ne ebpinuuwan ne nekelingut kayi te ebpinuuwan din ne ruen deruwa nepulù wey epat ne pekilukesen ne ebpinuu ketà. Mibevelegkas dan te meputì ne ruen inseluluy ran ne bulawan. 
