GEN.1.1	Ainau anai bag God safam a tafanam ifourai. 
PHP.1.26	On mes yau anan mat tanbikaita men on omi arimon yau auriu woniyasisir Keriso Iesu Wabin on gagaminai wonbogagaiai ato On bobo auriu infofour on.
PHP.1.27	Bobo gagamin bag on atonio. Omi ami bib on totorinai wat wonabib ato Keriso an wasagobin ekakasonem on nanaba wonafour. On bobo nanaba wonafour wonmama ato yau arimon annat anfasiuem, o yau arimon nin fafatum goai anmama duram wat on antatam. Yau on duram antatam omi ami not on kaitamomai wat wonfaskikin. Sabu sinawureu omi on engon woikaita sesebin sesebin wotawar wobobo sabu wobibaisis Keriso an wasagobin aurin sinitutum. 
PHP.1.28	Mat agogoi antatam omi men sabu wonberues mes, basit osi sebiragitem, baise omi on nana Iesu wonbitutumai. Omi on nana wonfaskikin ato osi sabu arimon sinsagob on men fofonis siniragitem on, osi arimon sinitem omi on osi wobisowaris yabin God on omi erufafarem. 
PHP.1.29	Omi on God irubinem Keriso woniagirai mes, men wonbitutumai wat on, ab omi arimon On fasinai on wonikokosarim. 
PHP.1.30	Omi ato sabu bobo komasis aurim sefofour on, eta kaitamomai omi ato toum matamui woiteu auriu bobo komasis sifour, on nanaba omi dura ato wotatam yau ari nin on auriu bobo komasis on nanaba sefofour, yabin ot ati baitutum on kaitamom on mes ot ati baikokosar on kaitamom taboai.
PHP.2.1	Omi wosagob o ambin, omi on Keriso an baibais ebitem on nan faiwar woboai, yabin Keriso on inuaboim on mes On enonosin eboem ekubainunubem. Ayu kaitamom on Keriso faiwar itai, an bobo obis ifouren, on Ayu kaitamom on omi nunuamui emama. Omi nunuam on sinasam ato tuturam mat wonbosisir bonen a wonkaber bonen. 
PHP.2.2	On mes yau awurem, atonio osi bobo on dura bag wonfofour on, yau arimon men sunub aniyasisir omi aurim. Omi atonio yawas on an etai nanaba wonabib. Ato nanaba, aifan bobo auris wonbinonotim on agogoi omi ami not on kaitamom wat nan bobo wonabo. Yau agogoi on tuturam mat baibais bonen, an yawasai on tuturam mat nunuam wonikaita tiwag God an bobo wonabo. 
PHP.2.3	Omi men bobo aurin on toum wonnosim ato tuturam on woninosfotes a men toum wabim baifain aurin on bobo woniyamen ato sabu omi sinifaim. Yau men agogoi omi iyafan tani sanamui on toun aurin wat innos ato tuturan on ininosfotes. Baise omi tuturam mat toum wonyeirem men, omi men wonnos omi on obim bag men tuturam fani ba. 
PHP.2.4	Omi men toum ami obin aurin on wonnos kwakwan mes, baise sabu fani asi gogoi asi yababan on mat wonibaisis. 
PHP.2.5	Iyobin omi ami yawas woniyamai on Keriso Iesu an yawas ba. Iesu an yawas on ato nanaba:
PHP.2.6	On, on yawasin God rus simama ato On Taman rus on kaitamom wat. Basit God Wabin on gagamin On Natun rus kaita, ato On men Toun Wabin baiduduranin aurin on ibotan tatitai on God Natun Wabin gagamin,
PHP.2.7	baise On Toun angogoiai inat ot aurit agirotin imatar.
PHP.2.7	On orot ba irat, On inat ot ati itin ba ibo, asir orot maiauin imatar.
PHP.2.8	On Toun Wabin iyeirai ato God fonan itatam ato On Taman an gogoi on bobo nanaba ifour irabob—On nabai nan sidudun.
PHP.2.9	On yabinai God ibogaiai igai inai efan aiyetunai bag. Ato On Wabin ibitai on gagamin bag wab engon tefasi.
PHP.2.10	Iesu Wabin aurin on sabu engon tutufin safamai semama o tafanamai semama o motob babanai semama on Iesu Wabin aurin sindas sinrou.
PHP.2.11	Osi engon On Wabin sintatam on, sinmisir sabu engon auris rerebai dura sinkurereb sinau, “Iesu Keriso on Bada.” Osi on dura sinbikakafun on God Tamat Wabin sinifain siniduduranai.
PHP.2.12	On mes yau tuturau au nuabo, yau ainau bag nan omi bisimui amama on nan ait omi ra fufur God an dura wotatam on ra kaita aurin wobifonabo. On mes agogoi ari on omi bobo kaitamom nanaba wonafour. Ato bobo wonfofour on men ato yau nan bisimui anmama weie on bobo wonafour on, baise ra fufur dura bagai wat wonafour basit yau on nin mabiui amama. Omi God an faiwar aurin on wonnos wonaber yabin on faiwar on omi nunuamui ebobo, on mes omi on bobo nana wonfofour mom inan ami yawas au kanfoun, 
PHP.2.13	yabin God Toun on nunuamui ebobo ebibaisim On an gogoi on nanaba wonafour. On aifan bobo aurin egogoi on asir wonabo mom.
PHP.2.14	Omi bobo au engonai wonbobo on men gam baitu auman wonabo mes. 
PHP.2.15	Ato osi bobo obis nanaba wonfofour on, omi arimon sabu obim wonmatar, ato sabu fani on arimon men ami komasin singaturai on. Sabu men baitutumotis nan sanamui on men eta obinai sebibib a osi nana bobo komasis sefofour. Omi on God nanatun ba, osi sabu sanasi ami bobo obis wofofour. Ato omi on osi sabu sanasi siribod ba wontagawai auris. 
PHP.2.16	Omi God an dura maiauin on wonkasones sinsagob sinitutum, ato osi arimon nanaba yawasis God mat sinama au wantoan. On bobo nanaba ari wonfofour on, yau men sunub anifaim on, on an rai Keriso an Ra inboai inmatabir an sabu inbigurubabanis a asi baiyan inbites on, yabin omi sabu ato nanaba yawas obis wonfofour on ebiyoboeu yau au bobo aifan nan omi sanamui abobo on men yabin ambin, baise irat yabin iyein.
PHP.2.17	Omi God wobitutumai on siwar ba God aurin wokutetai. Ato ari omi aurim on sabu sinasubunueu mes on au tara arimon inayeir sirifu ba ankutetai. Ato on bobo nanaba dura bag auriu siniyamai inmamatar mes on yau abiyasisir ato yau au yasisir on omi sabu engon tutufin mat tanraram. 
PHP.2.18	On eta kaitamomai omi mat on woniyasisir, ato omi wonbiyasisir on yau mat tanraram.
PHP.2.19	Yau anonosin Bada Iesu Keriso auriu inibasit on, wera men weromin amonai on Timothy aniyafarai inan omi aurim. On gibunai nan emon inmatabir innat weie omi ami bobo mamaba wobobo on auriu inidudur antatam on, yau nunuau iniyasisir. 
PHP.2.20	On orot on yau bisiwui emama, ato on an bainonot on yau au bainonot ba a on ekesin mom on yau ba. On orot on dura bag men sunub omi aurim enonosim ato egogoi omi inibaisim. 
PHP.2.21	Yau asagob sabu engon on tous auris wat senonosis ato Iesu Keriso an bobo on serurutan. 
PHP.2.22	Baise omi toum on Timothy an yawas mamaba on woit wosagob, on orot an bib on totorin wat. On orot on yau rui wasagobin sabu auris wakurereb, ato on bobo efofour on fifi taman ebibaisin ebobo ba. 
PHP.2.23	Ainau on, ansagob tiwag atonio nin Rome an bainetewarotin on bobo mamaba fan auriu inafour. Namon on gibunai weie yau arimon Timothy baiyagiginai aniyafarai inan omi aurim. 
PHP.2.24	Dura bag, yau men sunub abitutum arimon Bada yau auriu inibasit on, yau tou on wera men weromin amonai on nan annat anfasiuem.
PHP.2.25	Yau anonosin ari on iyobin bag ot tait tuat Epaphroditus on aniyafarai men inmatabir omi aurim. Atonio orot on yau rui Keriso an bobo wabobo. Sabu fani dura maiauin aurin sibiragitai, baise on wou orot ba nana ifafaiwar sesebiui itatawar. Omi yau auriu wotananat ba on angaramin on orot woiyafarai inat yau bisiwui emama ebibaisiu. 
PHP.2.26	On orot on egogoi bag omi engon tutufin initem mes. Mat, on nunuan ebiyababan kwakwan yabin on dura kafakakai itatam on omi wobikakafun wau, “Epaphroditus on isawau.” 
PHP.2.27	Dura bag on orot on sawau gagamin ibo kafakakai mom itarab baise God aurin iyababan on mes iyawasai men. God on men on orot ekesin aurin wat iyababan on, ab On yau auriu mat iyababan. God men igogoi yau au bit on itarat kwakwan, on mes On Epaphroditus iyawasai men. 
PHP.2.28	On mes yau anafourtobon on orot aniyafarai inmatabir men omi aurim. On magin wonitai on arimon woniyasisir men, ato yau au bit on inisas. 
PHP.2.29	Omi engon tutufin on orot on Bada Wabinai nan yasisirai wonboai wonikakaiwai. Sabu atonio orot ba on wonkakafes tiwag, 
PHP.2.30	yabin on ato bobo aurin ifofour on men toun an yawas aurin inos mes, baise on asir Keriso an bobo wat iboen mom, ato isawau kwakwan kafakakai mom itarab. On atonio bobo ifofour yau ibibaisiu, yabin omi toum on men fofonin yau wotibaisiu.
PHP.3.1	Basit yau taitaiu tutuau, yau au dura ato aurim abikakafun on an kanfoun nin anisawarai: Omi nana wonbiyasisir yabin omi on Bada mat woikaita on mes! Yau on men arimon anisuweigan ato osi dura magis kaita auris on, omi aurim agagayam men, ato osi dura on nan inbofafarem omi totor wat wonfaskikin. 
PHP.3.2	Omi matam woneit ato osi sabu komasis auris, osi asi bobo sefofour on kuke tutuenis ba sabu sebogigies. Osi on sebiyamem siniaskibubuem mes. 
PHP.3.3	Ambin bag, ot God an sabu mes tamatar ato Ayu Kakafotin ebibaisit on nan God takwakwafirai. Atonio bobo nanaba tafofour on ot ato askibubu tabo ba onai ebiyoboet on ot God ebinoanai. Mat Keriso ot itotobonit men aurin on taniyasisir. Ato ari on ot men Jew yangan asi baifafaro tanigibubunuai on. 
PHP.3.4	Ato yau atgogoi on bobo nanaba atfofour askibubu aurin sabu atkakasones on dura bag. Sabu iyabon senonosin osi on Baifafaro engon sibigibubunuen sisawaris on mes osi sinat obis simatar, ato on not kaitamom on yau nanaba ainonot, baise yau on eta aigibubunuen tiwag men osi sabu sifofour ba. 
PHP.3.5	Yau ayou itueu arat ra nimtereban ton nanaba isawar weie yau siaskibubueu. Yau ayou tamau on Israel yangan. Yau on Benjamin an dam warar emon bag. Yau wawau agiriu engon on Hebrew emon. Yau arat gagamiu ato anat Pharisee amatar, totor wat wei Jew yangan ai kik a ai baifafaro on abigibubunuai. 
PHP.3.6	Yau nana afofourtobon ekalesia yangan osi Keriso an yawas sibigibubunuai on, yau asi eta engon abikomasen a usibaban komasis abites. Jew yangan asi baifafaro aurin sibikakafun on atatam tiwag ato totor wat abigibubunuai. On etaiai, sabu siteu sinonosin on yau au yawas totorin wat God matanai. 
PHP.3.7	Ainau abinonot on, atonio osi bobo afofour on arimon au obin on emon anboai. Baise ari ato osi bobo on arebenen ato ari on agogoi Keriso anboai ininoaniu. 
PHP.3.8	Ato dura bag ari on ato osi bobo engon auris abinonot on men agogoien tobon ato yau tou asi bobo afofour on men arimon au obin on emon atboai on. Yau ato nanaba anonosin, bobo kaitamom wat on iyobin bag bobo engon tefasi. On min ato: Yau on Keriso Iesu asagobai, On yau au Bada. Keriso fasinai on yau rorob rarab Jew asi baifafaro abigibubunuen on arebenen sisawar. On bobo nanaba afour engon arebenen ato Keriso aurin wat on au yawas faiwarinai abokikin, 
PHP.3.9	onai yau anitutufineu Kerisoai rui wanikaita. Yau men anonosin tou au faiwarai nan Jew ai baifafaro aurin abifonabo on mes anat God matanai au yawas totorin wat amatar on. Ambin bag. Baise ari on yau Keriso wat abitutumai nan on anat au yawas totorin wat God matanai amatar, ato on yawas totorin min God emon enat ato on min baitutumai wat nan tanama. 
PHP.3.10	Yau agogoi au yawas tutufinai on Keriso wat ansagobai. Keriso on rabob emon imisir men ato an faiwar gagamin bag ibo ato yau agogoi On an faiwar gagamin on ansagobai, On an baikokosar iboai on yau mat nanaba anboai rui wanfasararam, ato On mamaba irarabob on nanaba yau mat on anboai anarab. 
PHP.3.11	Yau atonio osi bobo afofour yabin, yau aubainonot faiwarinai abinonot on, God arimon rabob emon inbobaimisireu men anyawas.
PHP.3.12	Yau men awurem on ato osi eta au engonai on yau au yawas tutufinai Keriso asagobai nono on. Mat yau men awurem on, Keriso an bobo on yau usiui isawarai ato yau on obiu bag amatar on. Yau ainau on Keriso irubineu ato iboeu rui waikaita, on mes yau afofourtobon Iesu Keriso an eta wat anigibubunuai annanan mom On an gogoiai nan weie infouriu annat obiu bag anmatar. 
PHP.3.13	Yau taitaiu tutuau, yau men anonosin on anat obiu bag amatar on, baise bobo kaitamom wat afofour on: Yau men augib anrutabir men au yawas ainau bag afofour on aniten men, yau au not ayeyeinin on totor wat anayai anan nawui baisawarin an efanai nan angat. 
PHP.3.14	Yau nana a’nai mom baisawarin an efanai angat weie au baiyan anboai. Ato baiyan on gagamin bag arimon gibui weie God safamai nan initeu. God iyoreu anat Keriso Iesu an eta abigibubunuai aurin on arimon au baiyan initeu, on min yau arimon God rui safamai wantoan wanama.
PHP.3.15	On mes ot sabu iyabon Keriso an yawasai tarat gagamit tamama on, iyobin Iesu an eta baigibubunin aurin wat on taninonotit. Baise omi sabu fani iyabon ami not ta ta wobinonotim ato yawas aurin on, God Toun arimon inibaisim On wonsagobai. 
PHP.3.16	Baise ari on tasagob Iesu Keriso an eta baigibubunuai aurin on, ato iyobin ot aurit on ato yawas on nana tanfofour tannanan mom asir ati yawas sinnat sinitotoren.
PHP.3.17	Yau taitaiu tutuau, yau afourtobon au yawas aiyamai on baiyoboen ba omi aurim. On mes agogoi yau au yawas aurin on woninonotim ato nanaba wonigibubunuen. Mat sabu fani obis nan semama on yau au eta on sebigibubunuai nono. Osi mat on baiyuyur ba omi aurim a osi on eta obis sebiyoboem on mes ato omi wei ai yawas on wonigibubunuai. 
PHP.3.18	Rorob min osi sabu auris on ra sigaraba maiau awurem ato awurem men, ato ari osi sabu auris on agagayam men aurim ato nunuau ebiyababan kwakwan atotou auman. Osi sabu asi yawas komasinai nan semama on ebiyoboet osi sabu on Keriso nabai irarabob aurin on sebiragitai. 
PHP.3.19	Osi asi yawasai semama on iboes senan efan komasinai sinar mes. Osi sabu asi god min ato usis an gogoi sefofour on mamai itboboes, baise aifan bobo sefofour on taseseirai nan dura sebikakafun. Osi sabu asi not on atonio tafanam an yawas wat aurin on sebinonot semama. 
PHP.3.20	Baise ot sabu on dura bag ati ma on safamai nan tanama. Ot ati Bada Iesu Keriso Baiyawasotin on tamomousin innat men ot inboet men au safam tanan, yasisirai On aurin wat on tannos tanama. 
PHP.3.21	On an faiwar gagaminai on tafanam engon ebinetewar ato On infourit usit iniyamen bobous a magis ta sinmatar. Ari usit on asi faiwar ambin, baise on an werai ot usit on arimon On usin wantoanin ba tanboai.
PHP.4.1	On mes yau taitaiu tutuau, yau on agogoi omi on Bada faiwarinai wat wonbokikin ato On an etaiai wat wonigibubunuai. Yau on ainuaboim kwakwan ato agogoi bag anan omi aurim anitem men. Omi on Keriso Iesu mat woikaita, on mes omi aurim on nana abiyasisir, on yawasai wobiyoboeu on au bobo aifan nan aurim afofour on men motobai ifeu mes, engon wobo isawar.
PHP.4.2	Ato ari on omi jever ruam Euodia a Syntyche omi aurim on ato agagayam. Yau dura kafakakai atatam omi rum on ami not ta ta wobiyamen aurin on wogagam. Ato omi on Bada nanatun. On mes abifefeyanim omi rum gam on wonikirir ato ami not on woniyamai wonikaita men. 
PHP.4.3	Ato om mat turau baitutumotim, om abifefeyanim au bobo tani uniyamai weineu. Om awurem ato jever ruam unibaisis unboes sinikaita ya obin sinboai men. Rorob yau nan God an wasagobin sabu auris akurereb on, orot wabin Clement a sabu bobo’otis fani on yau sibaisiu, a osi jever ruam mat sibaisiu bobo gagamin waboen. Osi on God an buk yayawasinai nan wabis igayamen sen.
PHP.4.4	Omi on Bada mat woikaita, ato agogoi nana wonbiyasisir. Yau atonio dura aurin on au men, “Omi on nana wonbiyasisir!” 
PHP.4.5	Omi on dura nuataiai wat wonikakafun a eta obisi wat wonafour sabu fani auris yabin ra on men weromin arimon Bada inmatabir men. 
PHP.4.6	Yau men agogoi aifan bobo aurin on woniyababan mes. Ambin, baise aifan yawas wawanis wogaturen on omi God aurin wonbayoi. Omi wonbifefeyan on ra fufur God wonbikakaiwai. 
PHP.4.7	God arimon tuf initem, ato omi toum on men arimon wonsagob tuf an yabin on mamaba, baise On an tuf Iesu Kerisoai ebiyamai on nunuam a ami not erufafaren.
PHP.4.8	Yau taitaiu tutuau, ari on atonio au dura kanfoun on kafakakai wat anikakafun: Omi on woninonotim tiwag mamaba ato bobo obis wat wonfouren aurin on. Bobo on atonio nanaba wonfouren: Yawas on dura bagai wat auris on woninonotim, omi ami yawas on woniyamen tiwag sabu sinifaim, omi ami yawas on woniyamen tiwag engon totoris wat, omi ami yawas on woniyamen engon matafis wat, omi ami yawas on woniyamen engon totoris wat, omi ami yawas on woniyamen sabu sinitem siniduduranim, omi atonio osi yawas wat on woninonotim. 
PHP.4.9	Yau nan bisimui amama au dura aurim abikakafun on wo’tatam tiwag, ato ari on wosagob au dura aurin on wobosuruf wobigibubunuai. Mat omi au eta woit, mamaba omi mat nan tamama on, atonio on baiyoboen omi aurim. Ari on agogoi omi on nana au dura aurin on wonbifonabo a yau au eta on wonigibubunuai. On bobo nanaba wonfofour on, God On tuf ebitet on arimon bisimui inama inibaisim.
PHP.4.10	Basit omi aurim on Bada abikakaiwai ato au siwar wobiyafaren aurin on. Omi atonio bobo on auriu nanaba wofour on ebiyoboeu omi on yau auriu wobiamari kwakwan. Baise kafakakai weromin maiau tama weie auriu nanaba wofour. Yau omi aurim anonosim yabin omi rorob min on etaiai nanaba ra ta ta wobibaisiu. Baise dura bag omi on tafanam nanenei bag womama on mes men fofonin nanaba arimon auriu ra engon wotibaisiu on. 
PHP.4.11	Ato yau men agogoi omi wonnos on yau atonio dura awurem on, yau sawar auris abiyababan. Ambin, yau men on nanaba abikakafun on, yau on ari asagob atonio yawas agaturai on, basit on nanaba on iyobin yau auriu, ari anonosin atonio yawas on iyobin yau auriu ato abiyasisir. 
PHP.4.12	Dura bag, yau yawas wawanis ta ta on engon agaturen: Ra fani on sawar auris agogoien ato baise osi sawar auriu on ambin. Ato ra fani on sawar auriu fofonin. Tafanam menan anan amama ato aifan yawas wawanin nan agaturai on asasagob yau auriu on arimon fofoniu ato nunuau ibiyasisir. Ra fani on auriu bayu fofonin on am. Ato ra fani auriu bayu ambin on fom asir aien. Osi yawas ruam auriu on fofonin, ato nunuau ebiyasisir. 
PHP.4.13	Keriso on faiwar ebiteu ato mamaba yawas wawanis agaturen on yau nana afafaiwar amama.
PHP.4.14	Baise omi bobo obin maiau yau auriu wofour, au yababan nin aboai on woibaisiu. 
PHP.4.15	Omi Philippi sabu, wosagob nono ato yau atonio fef agagayam on. Rorob yau bobou anat Wasagobin aurim akurereb, on nan kafakakai bisimui ama. Gibui weie, ami tafanam Macedonia on turinai wat on aikirir ato mafam faniai nan anai. Ato omi on au baibais sabu mes womatar au gogoi aifan sawar on auriu wobiyafaren. Atonio yawas wawanin agaturai on omi sabu baitutumotim ekesim mom on wonat au baibaisotim womatar. 
PHP.4.16	Yau nan Macedonia tafanamai amama ato anat au Thessalonica mafam gagaminai nan on omi yau woibaisiu. Omi men ra kaitamom wat woibaisiu on, ab omi on wera ta ta nanaba on au siwar wobiyafaren. 
PHP.4.17	Au dura aifan awurem on, men omi ami siwar anabo aurin on. Ambin, men on nanaba wat. Baise yau agogoi on nana ami baibais on yau auriu wonbiyamai ato on bobo nanaba on sabu fani mat auris on eb nanaba woniyamai, ato ra gibui on arimon baiyan gagamin God initem. 
PHP.4.18	Basit yau on atonio fefai nan agagayam. Ami siwar aifan auriu wobiyafaren on aboen nono. Dura bag au sawar on sison kwakwan. Omi Epaphroditus woiyafarai au siwar iboen i’nat on aboen nono. Baise omi on men asir siwar wat auriu woiyafaren on, omi siwar ato wobiyafaren on, siwar yanden ninibin ba God aurin wokutetai. Ato on bobo nanaba wofofour on God ami sirifu siwar on ibo, ato On men sunub ebiyasisir. 
PHP.4.19	Baise yau au God abiagirai On gagamin bag, On emon arimon ami gogoi obis sigaraba maiau Iesu Keriso an faiwarai on engon initem ato wonama on woniagirai. 
PHP.4.20	On mes ot Tamat God Wabin on ra fufur tanifain taniduduranai wantoan au wantoan. Dura bag.
PHP.4.21	Omi sabu engon tutufin iyabon God an sabu womatar Keriso Iesu mat wobikaita on, engon wabikakaiwim. Mat yau taitaiu tutuau osi yau nin sebibaisiu sebobo, osi mat sebikakaiwim. 
PHP.4.22	Mat baitutumotis fani osi iyabon Caesar an goa gagamin amonai sebobo yangan a mat baitutumotis fani nin semama on, osi engon sebikakaiwim.
PHP.4.23	Yau ati Bada Iesu Keriso aurin ababayoi On an kaber on nana wantoan ami ayuai inama.
COL.1.1	Yau Paul on God an gogoiai ifouriu anat Keriso Iesu an baiyoyobotin amatar, yau on tait tuat Timothy ibaisiu rui fef wagagayam. 
COL.1.2	Omi God an sabu Colossae nan womama aurim a omi taitai tutuai baitutumotim nan Iesu Kerisoai mat wobikaita aurim:
COL.1.2	Yau ababayoi God Tamat an kaber a an tuf initem.
COL.1.3	Wei omi aurim wababayoi on, ra fufur ati Bada Iesu Keriso Taman God aurin wabikakaiwai. 
COL.1.4	Wei atonio bobo wabiyamai yabin omi ami baitutum Iesu Kerisoai woyeyeinin aurin a God an sabu wobinuabois aurin on duram engon watatam. 
COL.1.5	Yabin dura maiauin, Wasagobin on ainau inat omi aurim on, omi dura wotatam woitutum aifan aurim sikutetai on. On mes omi ami baitutum a ami nuabo on dura bagai womomousin ami sawar obis God nan safamai ebotanen weinem on wonboai. 
COL.1.6	Wasagobin on nana baimomogin ibo enat a mat sabu sigaraba tafanam au engonai on sebitutum, ato omi amomui ba ainau God an kaber aurin wotatam a wonat wosagobai on dura bag. 
COL.1.7	Omi God an kaber on Epaphras bisin emon wosagob, ot ati nuabo agirotin, on ot weinet on Keriso an bobo’otin faskikinin imatar. 
COL.1.8	On ikasonei mamaba Ayu omi nunuamui irui ato God an sabu wobinuabois aurin on.
COL.1.9	On fasinai wei ainau omi ami dura watatam on wei ra fufur aurim wababayoi, wei God wabifefeyanai On an gogoi on inibonuem a an gigiboan an sagob tutufin on an Ayuai initem. 
COL.1.10	Namon omi arimon Bada an gogoiai nanaba wonama, ato ra fufur bobo aifan wonbiyamen onai omi on Bada wonbiyasisirai. Omi ami yawasai on bobo obis ta ta wonbiyamen, ato omi arimon God an sagobai on inibonuem wonarat. 
COL.1.11	Yau omi aurim ababayoi God an faiwar tutufinai a an kudidirin emon enat on nan inkufaiwarim onai bobo engon auris on yaterabobai nan wonfaskikin wonabo. 
COL.1.12	Ato omi on yasisirai nan Tamat wonikakaiwai, yabin On ikufaiwarim yawasai on ibotitiwagim nono ari obim bag womatar on kafakakai mom ato aifan God an ratafin an baiaiwab on an sabu auris ibotitiwag yen on turin wonboai. 
COL.1.13+COL.1.14	Ot wouman an faiwar amonai tamama on ari Keriso itobonit men ato God iboet tagat on Natun an nuabo an baiaiwab amonai tarui, ato aifan Natun ifofour on, irufanit ato ot ati bokomas engon inotburen.
COL.1.15	Ot men iyafan tani matanai God it on ato Keriso on God ba. God Natun on abou ato tafanamai sawar engon tutufin ifofouren on engon On ebinetewaren. 
COL.1.16	Yabin On Natun emon on God sawar engon tutufin safamai, tafanamai, bobo taiten o bobo men taiten o ayu faiwaris, bada, bainetewarotis o babadis osi engon tutufin on ifouren. Kerisoai on God tafanam engon tutufin ifouren On aurin wat baifain baiduduranin aurin. 
COL.1.17	Keriso on ainau imama weie bobo engon tutufin simatar, ato On emon on bobo engon tutufin sinat asi efanai bag sikaita. 
COL.1.18	Keriso on bainetewarotin God an sabu auris, on seyoyorai ekalesia. On yawas ann bokwakwarin God an sabu auris, On min on seyoyorai usin. On on Natun abou bag, On ainau God rabob emon ibobaimisirai, On ekesin mom sawar engon tutufin tefasi on efan ainauin itboai mes. 
COL.1.19	God Toun ekesin an gogoiai, On Natun ifourai inat God Toun an Itin ba imatar, Natun bobo efofour a ebinonot on God Toun efofour ba. 
COL.1.20	Natun an bobo emon on, God an gogoiai on tafanam engon tutufin Toun aurin ibo men. God Natun nabai irarabob on tuf iyamai ato God a bobo engon tafanamai o safamai sen on osi engon tutufin sinat God mat sikaita.
COL.1.21	Omi ainau on God an ragit a On aurin on nanenei bag womama, yabin omi ami bainonot a ami bobo on engon komasis wat wofofour. 
COL.1.22	Baise ari On Natun irarabob onai God on omi ituranim, ato iboem iyamem kakafotim, matafim, a ami komasin ambin God nanai wontawar. 
COL.1.23	Omi ami baitutumai on nana wonfaskikin amm wonrou tutut sintari, ato omi wasagobin wotatam wobitutum on men woniyamai inafeu mes. Atonio wasagobin aurin on yau Paul anat Keriso an agirotin amatar—atonio wasagobin on ari tafanam amonai sabu engon tutufin auris sebibino.
COL.1.24	Ato ari on yau abiyasisir, ato omi aurim abikokosariu on. Yau usiu ebikokosar an yabin min yau baibais abiyamai aifan Keriso an baikokosar turin iyen on abisawarai. 
COL.1.25	Ato yau on God irubineu anat ekalesia asi agirotin amatar, On bobo iteu omi ami obin aurin on anabo. Atonio bobo on au yawas tutufinai God an dura abibino, 
COL.1.26	On bobo buburin ainau bag sabu engon tutufin auris ibuni i’yen on ari an sabu auris ibo egat sinitai. 
COL.1.27	God an bainonot on atonio: On an bobo buburin on an sabu auris iniyoboes sinitai, atonio an bobo baiduduranin buburin on an sabu auris ibo inat. Ato bobo buburin an yabin min atonio: Keriso on omi amomui emama, an yabin min God an kudidirin on wonfasararam. 
COL.1.28	On mes wei Keriso aurin on sabu engon auris dura wabibino. Wei aifan gigiboan wasasagob on sabu wawures a wabibebeyes onai sabu engon tutufin nunuas tutufinai wat, wanboes wangat Keriso mat sinikaita God nanai sintawar. 
COL.1.29	Yau atonio bobo baiyamin aurin on afourtobon afeu amisir ato Keriso an faiwar tutufinai ibiteu on nan bobo abobo.
COL.2.1	Yau agogoi an kasonem wonsagob, mamaba bobo wawanin omi aurim abobo on a sabu Laodicea mafam gagaminai semama auris a sabu fani osi iyabon yau men sisasagobiu yangan auris. 
COL.2.2	Yau atonio bobo afour onai omi engon tutufin nunuam atkufaiwaren ato nuaboai wotnat wotikaita, a ami not tutufinai dura maiauin on wottatam wotboai tiwag. On etaiai on omi arimon God an bobo buburin on wonsagob tiwag, ato on bobo min Keriso Toun. 
COL.2.3	Bobo buburis ainau kayau ba didiwagai sibuni iyen on Keriso irarabob emon on God an sagob gigiboan iruseren igat au rereb sabu engon sinsagob mes.
COL.2.4	Yau atonio osi bobo auris on awurem, omi men woniyamai iyafan tani baisigogo duraiai inisigoem mes, basit osi asi dura obis wat sebikakafun min on, baise omi men wonitutumes. 
COL.2.5	Basit yau usiu on mabiui amama, baise au notai on ra engon anonosim, a mat abiyasisir yabin yau aitem omi ami yawasai on totor wat wofaskikin ami baitutumai Keriso mat wotatawar.
COL.2.6	Omi ainau Keriso Iesu wobo ami Bada mes on, omi ami yawasai on nana On mat wonikaita wonama. 
COL.2.7	Omi on Keriso an yawasai on wonfaskikin tiwag wengar ba awerorom wonrou sinsur, on emon on ami yawas mair ma obin on wonyon inarat, ato mamaba sibibebeyim on nanaba omi ami baitutumai woniyamai inarat. Atonio boboai on ra engon God wonikakaiwai aifan ifofour aurin on.
COL.2.8	Omi wonkaifarem tiwag, omi men iyafan tani baisigogo duraiai nan sinibebeyim ato osi wonigibubunues mes, osi asi baibebe on engon baisigogo wat, yabin osi asi baibebe on engon orot jever asi bainonot emon, a osi bainonot on ainau wawas agiris a ayu komasis auris on sibibebe. Osi asi baibebe engon on men Keriso emon. 
COL.2.9	Keriso on ot usit ba ibo nin tafanamai imama on God an yawas tutufin on Keriso ibonuai an bobo engon tutufin amonai, 
COL.2.10	ato omi ayubimui on wonitutufinem yabin omi on Keriso mat woikaita. On ayu an faiwar a baibad engon tefasi on, On ebinetewaris.
COL.2.11	Omi wonat On mat wobikaita on omi on siaskibubuem, men orot tous sibiaskibubues ba on, baise Keriso Toun an askibubu, on an yabin min, omi ami yawas komasis emon on engon iboem wonat ato bokomas an faiwar emon iyawasim. 
COL.2.12	Ato omi wobibapataito nan on God on omi Keriso mat igarobim, ato omi wobibapataito nan on God on omi Keriso mat rabob emon ibobaimisirem ba, ato ari on woibobounim men. Atonio bobo imamatar yabin omi ami baitutum on God an faiwar aurin woyein. God On Keriso rabob emon ibobaimisirai men. 
COL.2.13	Omi ainau bag on ayubimui worabob yabin omi ami bokomas fasinai on a mat omi on men sabu men Jew yangan on a God an baifafaro Moses ibitai on men woigibubunuai on mes. Baise God on ari Keriso mat iboem wonat woyawas; God on ot ati bokomas engon inotburet. 
