GEN.1.1	U poèetku stvori Bog nebo i zemlju. 
2CO.7.14	Jer što sam mu se za vas pohvalio, nijesam se posramio; nego kako je sve istina što govorismo vama, tako i pohvala naša k Titu istinita bi. 
2CO.7.15	I srce je njegovo puno ljubavi k vama kad se opominje poslušanja sviju vas, kako ste ga sa strahom i drktanjem primili. 
2CO.7.16	Radujem se dakle što se u svemu smijem osloniti na vas.
2CO.8.1	Dajemo vam pak na znanje, braæo, blagodat Božiju koja je dana u crkvama Maæedonskima, 
2CO.8.2	Da u mnogome kušanju nevolja suvišak radosti njihove i puko siromaštvo njihovo izobilova u bogatstvu prostote njihove. 
2CO.8.3	Jer po moguæstvu njihovu ja sam svjedok) i preko moguæstva dobrovoljni bijahu, 
2CO.8.4	I s mnogijem moljenjem moliše nas da primimo blagodat i zajednicu službe k svetima. 
2CO.8.5	I ne kao što se nadasmo nego najprije sebe predaše Gospodu i nama, po volji Božijoj, 
2CO.8.6	Da mi umolismo Tita da kao što je poèeo onako i svrši i meðu vama blagodat ovu. 
2CO.8.7	A vi kako ste u svemu izobilni, u vjeri, i u rijeèi, i u razumu, i u svakom staranju, i u ljubavi svojoj k nama, da i u ovoj blagodati izobilujete. 
2CO.8.8	Ne govorim po zapovijesti, nego kad se drugi staraju, i vašu ljubav kušam je li istinita. 
2CO.8.9	Jer znate blagodat Gospoda našega Isusa Hrista da, bogat buduæi, vas radi osiromaši, da se vi njegovijem siromaštvom obogatite. 
2CO.8.10	I svjet dajem u tom; jer je ovo na korist vama, koji ne samo èiniti nego i htjeti poèeste još od lanjske godine. 
2CO.8.11	A sad dovršite to i èiniti, da kao što bi dobra volja htjeti tako da bude i uèiniti, od toga što imate. 
2CO.8.12	Jer ako ima ko dobru volju, mio je po onome što ima, a ne po onome što nema. 
2CO.8.13	Jer se ne želi da drugima bude radost a vama žalost, nego jednako. 
2CO.8.14	Da u sadašnje vrijeme vaš suvišak bude za njihov nedostatak, da i njihov suvišak bude za vaš nedostatak; da bude jednakost, 
2CO.8.15	Kao što je pisano: ko je mnogo skupio, nije mu preteklo; i ko je malo skupio, nije mu nedostalo. 
2CO.8.16	A hvala Bogu, koji je dao takovo staranje za vas u srce Titovo. 
2CO.8.17	Jer primi moljenje; a buduæi da se tako vrlo stara, svojevoljno otide k vama. 
2CO.8.18	Poslasmo pak s njim i brata, kojega je pohvala u jevanðelju po svijem crkvama. 
2CO.8.19	A ne samo to, nego je i izabran od crkava da ide s nama u ovu blagodat u kojoj mi služimo za samoga Gospoda slavu i vašu dobru volju: 
2CO.8.20	Èuvajuæi se toga da nas ko ne pokudi za ovo obilje u kome mi služimo, 
2CO.8.21	I promišljajuæi za dobro ne samo pred Bogom nego i pred ljudima. 
2CO.8.22	A poslasmo s njima i brata svojega, kojega mnogo puta poznasmo u mnogijem stvarima da je ustalac, a sad mnogo veæi zbog velikoga nadanja na vas. 
2CO.8.23	A za Tita, on je moj drug i pomagaè meðu vama; a za braæu našu, oni su poslanici crkveni i slava Hristova. 
2CO.8.24	Pokažite dakle na njima svjedoèanstvo svoje ljubavi i naše hvale vama i pred crkvama.
2CO.9.1	Jer za takovu porezu koja se kupi svetima nije mi trijebe pisati vam; 
2CO.9.2	Jer poznajem vašu dobru volju, za koju se o vama hvalim Maæedoncima da se Ahaja prigotovi od lanjske godine, i vaša revnost razdraži mnoge. 
2CO.9.3	A braæu poslah da se hvala naša vama ne isprazni u ovoj stvari, nego da budete prigotovljeni, kao što sam govorio; 
2CO.9.4	Da se, ako doðu sa mnom Maæedonci i naðu vas neprigotovljene, ne osramotimo mi da ne reèem vi) u toj hvali. 
2CO.9.5	Tako naðoh da je potrebno umoliti braæu da naprijed idu k vama, i da priprave ovaj naprijed obreèeni vaš blagoslov da bude gotov tako kakono ti blagoslov, a ne kao lakomstvo. 
2CO.9.6	Ovo pak velim: koji s tvrðom sije, s tvrðom æe i požnjeti; a koji blagoslov sije, blagoslov æe i požnjeti. 
2CO.9.7	Svaki po volji svojega srca, a ne sa žalošæu ili od nevolje; jer Bog ljubi onoga koji dragovoljno daje. 
2CO.9.8	A Bog je kadar uèiniti da je meðu vama izobilna svaka blagodat, da u svemu svagda svako dovoljstvo imajuæi izobilujete za svako dobro djelo; 
2CO.9.9	Kao što je pisano: prosu, dade siromasima; pravda njegova ostaje vavijek. 
2CO.9.10	A koji daje sjeme sijaèu, daæe i hljeb za jelo: i umnožiæe sjeme vaše, i daæe da uzrastu žita pravde vaše; 
2CO.9.11	Da se u svemu obogatite za svaku prostotu koja kroz nas èini hvalu Bogu. 
2CO.9.12	Jer služba ove poreze ne ispunjuje samo nedostatak svetijeh, nego èini te se i mnoge hvale daju Bogu, 
2CO.9.13	Ogledom poreze ove hvaleæi Boga za vaše pokorno priznanje jevanðelja Hristova, i za prostotu podjele k njima i k svima, 
2CO.9.14	I da se mole Bogu za vas i da èeznu za vama za premnogu blagodat Božiju na vama. 
2CO.9.15	A hvala Bogu na njegovu neiskazanome daru.
2CO.10.1	A sam ja Pavle molim vas krotosti radi i tišine Hristove, koji sam pred vama ponižen prema vama, a kad nijesam kod vas, slobodan sam prema vama. 
2CO.10.2	Molim pak da mi ne bude trijebe kad budem kod vas, onako slobodan biti kao što mislim da smijem protiv nekijeh koji misle za nas da po tijelu živimo; 
2CO.10.3	Jer ako i živimo u tijelu, ne borimo se po tijelu. 
2CO.10.4	Jer oružje našega vojevanja nije tjelesno, nego silno od Boga na raskopavanje gradova, da kvarimo pomisli 
2CO.10.5	I svaku visinu koja se podiže na poznanje Božije, i robimo svaki razum za pokornost Hristu, 
2CO.10.6	I u pripravnosti imamo osvetu za svaku nepokornost, kad se izvrši vaša pokornost. 
2CO.10.7	Gledate li na ono što vam je pred oèima? Ako se ko uzda da je Hristov neka misli opet u sebi da kako je on Hristov tako smo i mi Hristovi. 
2CO.10.8	Jer ako se što i više pohvalim vlašæu našom koju nam dade Gospod na popravljanje, a ne na kvarenje vaše, neæu se postidjeti. 
2CO.10.9	Ali da se ne pokažem kao da vas plašim poslanicama; 
2CO.10.10	Jer su poslanice, veli, teške i jake, a kad je tijelom pred nama, slab je, i rijeè njegova ne valja ništa. 
2CO.10.11	Ovo neka pomisli takovi da kaki smo u rijeèi po poslanicama kad nijesmo kod vas, taki smo i u djelu kad smo tu. 
2CO.10.12	Jer ne smijemo sebe miješati ili se porediti s drugima koji hvale sami sebe; ali kad sami po sebi sebe mjere i porede sami sebe sa sobom, ne razumijevaju. 
2CO.10.13	A mi se neæemo hvaliti preko mjere, nego po mjeri pravila kojega nam Bog mjeru razdijeli da dopremo i do vas. 
2CO.10.14	Jer se mi daleko ne prostiremo, kao da ne dosežemo do vas; jer doprijesmo i do vas s jevanðeljem Hristovijem, 
2CO.10.15	Ne hvaleæi se preko mjere u tuðijem poslovima, imajuæi pak nad kad uzraste vjera vaša da æemo se u vama velièati po pravilu svojemu izobilno, 
2CO.10.16	Da i u daljnijem stranama od vas propovjedimo jevanðelje, i da se ne pohvalimo onijem što je po tuðemu pravilu ureðeno. 
2CO.10.17	A koji se hvali, Gospodom neka se hvali. 
2CO.10.18	Jer onaj nije valjan koji se sam hvali, nego kojega Gospod hvali.
2CO.11.1	O da biste malo potrpljeli moje bezumlje! no i potrpite me. 
2CO.11.2	Jer revnujem za vas Božijom revnosti, jer vas obrekoh mužu jednome, da djevojku èistu izvedem pred Hrista. 
2CO.11.3	Ali se bojim da kako kao što zmija Evu prevari lukavstvom svojijem tako i razumi vaši da se ne odvrate od prostote koja je u Hristu. 
2CO.11.4	Jer ako onaj koji dolazi drugoga Isusa propovijeda kojega mi ne propovijedasmo, ili drugoga Duha primite kojega ne primiste, ili drugo jevanðelje koje ne primiste, dobro biste potrpljeli. 
2CO.11.5	Jer mislim da ni u èemu nijesam manji od prevelikijeh apostola. 
2CO.11.6	Jer ako sam i prostak u rijeèi, ali u razumu nijesam. No u svemu smo poznati meðu vama. 
2CO.11.7	Ili grijeh uèinih ponižujuæi sebe da se vi povisite? Jer vam zabadava Božije jevanðelje propovjedih. 
2CO.11.8	Od drugijeh crkava oteh uzevši platu za služenje vama; i došavši k vama, i bivši u sirotinji, ne dosadih nikome. 
2CO.11.9	Jer moju sirotinju potpuniše braæa koja doðoše iz Maæedonije, i u svemu bez dosade vama sebe držah i držaæu. 
2CO.11.10	Kao što je istina Hristova u meni tako se hvala ova neæe uzeti od mene u Ahajskijem krajevima. 
2CO.11.11	Zašto? Što vas ne ljubim? Bog zna. A što èinim i èiniæu, 
2CO.11.12	Da otsijeèem uzrok onima koji traže uzrok, da bi u onome èim se hvale našli se kao i mi. 
2CO.11.13	Jer takovi lažni apostoli i prevarljivi poslenici pretvaraju se u apostole Hristove. 
2CO.11.14	I nije èudo, jer se sam sotona pretvara u anðela svijetla. 
2CO.11.15	Nije dakle ništa veliko ako se i sluge njegove pretvaraju kao sluge pravde, kojima æe svršetak biti po djelima njihovijem. 
2CO.11.16	Opet velim da niko ne pomisli da sam ja bezuman; ako li ne, a ono barem kao bezumna primite me, da se i ja što pohvalim. 
2CO.11.17	A što govorim ne govorim po Gospodu, nego kao u bezumlju, u ovoj struci hvale. 
2CO.11.18	Buduæi da se mnogi hvale po tijelu, i ja æu da se hvalim. 
2CO.11.19	Jer ljubazno primate bezumne kad ste sami mudri. 
2CO.11.20	Jer primate ako vas ko natjera da budete sluge, ako vas ko jede, ako ko uzme, ako vas ko po obrazu bije, ako se ko velièa. 
2CO.11.21	Na sramotu govorim, jer kao da mi oslabismo. Na što je ko slobodan po bezumlju govorim i ja sam slobodan. 
2CO.11.22	Jesu li Jevreji? i ja sam; jesu li Izrailjci? i ja sam; jesu li sjeme Avraamovo? i ja sam; 
2CO.11.23	Jesu li sluge Hristove? ne govorim po mudrosti) ja sam još više. Više sam se trudio, više sam boja podnio, više puta sam bio u tamnici, mnogo puta sam dolazio do straha smrtnoga; 
2CO.11.24	Od Jevreja primio sam pet puta èetrdeset manje jedan udarac; 
2CO.11.25	Triput sam bio šiban, jednom su kamenje bacali na me, tri puta se laða sa mnom razbijala, noæ i dan proveo sam u dubini morskoj. 
2CO.11.26	Mnogo puta sam putovao, bio sam u strahu na vodama, u strahu od hajduka, u strahu od rodbine, u strahu od neznabožaca, u strahu u gradovima, u strahu u pustinji, u strahu na moru, u strahu meðu lažnom braæom; 
2CO.11.27	U trudu i poslu, u mnogom nespavanju, u gladovanju i žeði, u mnogom pošæenju, u zimi i golotinji; 
2CO.11.28	Osim što je spolja, navaljivanje ljudi svaki dan, i briga za sve crkve. 
2CO.11.29	Ko oslabi, i ja da ne oslabim? Ko se sablazni, i ja da se ne raspalim? 
2CO.11.30	Ako mi se valja hvaliti, svojom æu se slabošæu hvaliti. 
2CO.11.31	Bog i otac Gospoda našega Isusa Hrista, koji je blagosloven vavijek, zna da ne lažem. 
2CO.11.32	U Damasku neznabožaèki knez cara Arete èuvaše grad Damask i šæaše da me uhvati; i kroz prozor spustiše me u kotarici preko zida, i izbjegoh iz njegovijeh ruku.
2CO.12.1	Ali mi se ne pomaže hvaliti, jer æu doæi na viðenja i otkrivenja Gospodnja. 
2CO.12.2	Znam èovjeka u Hristu koji prije èetrnaest godina ili u tijelu, ne znam; ili osim tijela, ne znam: Bog zna) bi odnesen do treæega neba. 
2CO.12.3	I znam za takovog èovjeka ili u tijelu, ili osim tijela, ne znam: Bog zna) 
2CO.12.4	Da bi odnesen u raj, i èu neiskazane rijeèi kojijeh èovjeku nije slobodno govoriti. 
2CO.12.5	Tijem æu se hvaliti, a sobom se neæu hvaliti, veæ ako slabostima svojima. 
2CO.12.6	Jer kad bih se i htio hvaliti, ne bih bio bezuman, jer bih istinu kazao; ali štedim da ne bi ko više pomislio za mene nego što me vidi ili èuje što od mene. 
2CO.12.7	I da se ne bih ponio za premnoga otkrivenja, dade mi se žalac u meso, anðeo sotonin, da me æuša da se ne ponosim. 
2CO.12.8	Zato triput Gospoda molih da otstupi od mene. 
2CO.12.9	I reèe mi: dosta ti je moja blagodat; jer se moja sila u slabosti pokazuje sasvijem. Daklem æe se najslaðe hvaliti svojijem slabostima, da se useli u mene sila Hristova. 
2CO.12.10	Zato sam dobre volje u slabostima, u ruženju, u nevoljama, u progonjenjima, u tugama za Hrista: jer kad sam slab onda sam silan. 
2CO.12.11	Postadoh bezuman hvaleæi se: vi me natjeraste: jer je trebalo da me vi hvalite; jer ni u èemu nijesam manji od prevelikijeh apostola, ako i jesam ništa. 
2CO.12.12	Jer znaci apostolovi uèiniše se meðu vama u svakom trpljenju, u znacima i èudesima i silama. 
2CO.12.13	Jer šta je u èemu ste manji od ostalijeh crkava, osim samo što vam ja sam ne dosadih? Bacite na mene ovu krivicu. 
2CO.12.14	Evo sam gotov treæi put da vam doðem, i ne dosaðujem vam; jer ne tražim što je vaše nego vas. Jer djeca nijesu dužna roditeljima imanja teæi nego roditelji djeci. 
2CO.12.15	A ja dragovoljno potrošiæu i biæu potrošen za duše vaše, ako i ljubim ja vas odviše, a vi mene manje ljubite. 
2CO.12.16	Ali neka bude, ja ne dosadih vama, nego lukav buduæi dobih vas prijevarom. 
2CO.12.17	Eda li vas što zakidoh preko koga od onijeh koje slah k vama? 
2CO.12.18	Umolih Tita, i s njim poslah brata: eda li vas Tit što zakide? Ne hodismo li jednijem duhom? ne jednijem li stopama? 
2CO.12.19	Mislite li opet da vam se odgovaramo? Pred Bogom u Hristu govorimo, a sve je, ljubazni, za vaše popravljanje. 
2CO.12.20	Jer se bojim da kad po èem doðem neæu vas naæi kakove hoæu, i ja æu se naæi vama kakova me neæete: da kako ne budu svaðe, zavisti, srdnje, prkosi, opadanja, šaptanja, nadimanja, bune: 
2CO.12.21	Da me opet kad doðem ne ponizi Bog moj u vas, i ne usplaèem za mnogima koji su prije sagriješili i nijesu se pokajali za neèistotu i kurvarstvo i sramotu, što poèiniše.
2CO.13.1	Ovo treæi put idem k vama; u ustima dva ili tri svjedoka ostaæe svaka rijeè. 
2CO.13.2	Naprijed kazah i naprijed govorim kako u vas bivši drugi put, i sad ne buduæi kod vas pišem onima koji su prije sagriješili i svima ostalima da ako doðem opet neæu poštedjeti. 
2CO.13.3	Jer tražite da iskušate Hrista što u meni govori, koji meðu vama nije slab, nego je silan meðu vama. 
2CO.13.4	Jer ako i raspet bi po slabosti, ali je živ po sili Božijoj; jer smo i mi slabi u njemu, ali æemo biti živi s njim silom Božijom meðu vama. 
2CO.13.5	Sami sebe okušajte jeste li u vjeri, sami sebe ogledajte. Ili ne poznajete sebe da je Isus Hristos u vama? veæ ako da u èemu nijeste valjani. 
2CO.13.6	A nadam se da æete poznati da mi nijesmo nevaljani. 
2CO.13.7	A molimo se Bogu da vi ne èinite nikakva zla, ne da se mi valjani pokažemo, nego da vi dobro èinite, a mi kao nevaljani da budemo. 
2CO.13.8	Jer ništa ne možemo na istinu nego za istinu. 
2CO.13.9	Jer se radujemo kad mi slabimo a vi jaèate. A zato se i molimo Bogu, za vaše savršenstvo. 
2CO.13.10	Zato, ne buduæi kod vas, pišem ovo da kad doðem ne uèinim bez šteðenja po vlasti koju mi je Gospod dao na popravljanje a ne na raskopavanje. 
2CO.13.11	A dalje, braæo, radujte se, savršujte se, utješavajte se, jednako mislite, mir imajte: i Bog ljubavi i mira biæe s vama. 
2CO.13.12	Pozdravite jedan drugoga cjelivom svetijem. Pozdravljaju vas svi sveti. 
2CO.13.13	Blagodat Gospoda našega Isusa Hrista i ljubav Boga i oca i zajednica svetoga Duha sa svima vama. Amin.
GAL.1.1	Pavle apostol, ni od ljudi, ni kroz èovjeka, nego kroz Isusa Hrista i Boga oca, koji ga vaskrse iz mrtvijeh, 
GAL.1.2	I sva braæa koja su sa mnom, crkvama Galatijskijem: 
GAL.1.3	Blagodat vam i mir od Boga oca i Gospoda našega Isusa Hrista, 
GAL.1.4	Koji dade sebe za grijehe naše da izbavi nas od sadašnjega svijeta zloga, po volji Boga i oca našega, 
GAL.1.5	Kojemu slava vavijek vijeka. Amin. 
GAL.1.6	Èudim se da se tako odmah odvraæate na drugo jevanðelje od onoga koji vas pozva blagodaæu Hristovom, 
GAL.1.7	Koje nije drugo, samo što neki smetaju vas, i hoæe da izvrnu jevanðelje Hristovo. 
GAL.1.8	Ali ako i mi, ili anðeo s neba javi vam jevanðelje drukèije nego što vam javismo, proklet da bude! 
GAL.1.9	Kao što prije rekosmo i sad opet velim: ako vam ko javi jevanðelje drukèije nego što primiste, proklet da bude! 
GAL.1.10	Zar ja sad ljude nagovaram ili Boga? Ili tražim ljudima da ugaðam? Jer kad bih ja još ljudima ugaðao, onda ne bih bio sluga Hristov. 
GAL.1.11	Ali vam dajem na znanje, braæo, da ono jevanðelje koje sam ja javio, nije po èovjeku. 
GAL.1.12	Jer ga ja ne primih od èovjeka, niti nauèih, nego otkrivenjem Isusa Hrista. 
GAL.1.13	Jer ste èuli moje življenje nekad u Jevrejstvu, da sam odviše gonio crkvu Božiju i raskopavao je. 
GAL.1.14	I napredovah u Jevrejstvu veæma od mnogijeh vrsnika svojijeh u rodu svome, i odviše revnovah za otaèke svoje obièaje. 
GAL.1.15	A kad bi ugodno Bogu, koji me izabra od utrobe matere moje i prizva blagodaæu svojom, 
GAL.1.16	Da javi sina svojega u meni, da ga jevanðeljem objavim meðu neznabošcima; odmah ne pitah tijela i krvi, 
GAL.1.17	Niti iziðoh u Jerusalim k starijim apostolima od sebe, nego otidoh u Arapsku, i opet se vratih u Damask. 
GAL.1.18	A poslije toga na tri godine iziðoh u Jerusalim da vidim Petra, i ostadoh u njega petnaest dana. 
GAL.1.19	Ali drugoga od apostola ne vidjeh, osim Jakova brata Gospodnjega. 
GAL.1.20	A što vam pišem evo Bog vidi da ne lažem. 
GAL.1.21	A potom doðoh u zemlje Sirske i Kilikijske. 
GAL.1.22	A bijah licem nepoznat Hristovijem crkvama Judejskima; 
GAL.1.23	Nego samo bijahu èuli da onaj koji nas nekad goni sad propovijeda vjeru koju nekad raskopavaše. 
GAL.1.24	I slavljahu Boga za mene.
GAL.2.1	A potom na èetrnaest godina opet iziðoh u Jerusalim s Varnavom, uzevši sa sobom i Tita. 
GAL.2.2	Ali iziðoh po otkrivenju, i razgovorih se s njima za jevanðelje koje propovijedam u neznabošcima, ali nasamo s onima koji se brojahu kao najstariji, da uzalud ne trèim ili ne bih trèao. 
GAL.2.3	Ali ni Tit, koji bješe sa mnom, i bješe Grk, ne bi natjeran da se obreže. 
GAL.2.4	I za lažnu braæu koja doðoše i privukoše se da uhode slobodu našu koju imamo u Hristu Isusu, da nas zarobe; 
GAL.2.5	Kojima se ni sahat ne podasmo u pokornost, da istina jevanðelja ostane meðu nama. 
GAL.2.6	A za one koji se brojahu da su nešto, kakovi bili da bili, ja ne marim ništa; jer Bog ne gleda ko je ko; jer oni koji se brojahu kao najstariji, meni ništa ne dodaše; 
GAL.2.7	Nego nasuprot doznavši da je meni povjereno jevanðelje u neobrezanima, kao Petru u obrezanima 
GAL.2.8	Jer onaj koji pomaže Petru u apostolstvu meðu obrezanima onaj pomaže i meni meðu neznabošcima 
GAL.2.9	I poznavši blagodat koja je meni dana, Jakov i Kifa i Jovan, koji se brojahu da su stubovi, dadoše desnice meni i Varnavi, i pristadoše da mi propovijedamo u neznabošcima, a oni u obrezanima; 
GAL.2.10	Samo da se opominjemo siromašnijeh, za koje sam se i starao tako èiniti. 
GAL.2.11	A kad doðe Petar u Antiohiju, u oèi njemu protiv stadoh; jer bješe zazoran. 
GAL.2.12	Jer prije dok ne doðoše neki od Jakova, jeðaše s neznabošcima, a kad doðoše, ustruèavaše se i odvajaše bojeæi se onijeh koji su iz obrezanja. 
GAL.2.13	I dvolièahu s njim i ostali Judejci, tako da i Varnava prista u njihovo dvolièenje. 
GAL.2.14	A kad ja vidjeh da ne idu pravo k istini jevanðelja, rekoh Petru pred svima: kad ti koji si Jevrejin, neznabožaèki a ne Jevrejski živiš, zašto neznabošce nagoniš da žive Jevrejski? 
GAL.2.15	Mi koji smo roðeni Jevreji, a ne grješnici iz neznabožaca, 
GAL.2.16	Pa doznavši da se èovjek neæe opravdati djelima zakona, nego samo vjerom Isusa Hrista, i mi vjerovasmo Hrista Isusa da se opravdamo vjerom Hristovom, a ne djelima zakona: jer se djelima zakona nikakvo tijelo neæe opravdati. 
GAL.2.17	Ako li se mi koji tražimo da se opravdamo Hristom, naðosmo i sami grješnici, dakle je Hristos grijehu sluga? Bože saèuvaj! 
GAL.2.18	Jer ako opet zidam ono što razvalih, pokazujem se da sam prestupnik. 
GAL.2.19	Jer ja zakonom zakonu umrijeh da Bogu živim; s Hristom se razapeh. 
GAL.2.20	A ja više ne živim, nego živi u meni Hristos. A što sad živim u tijelu, živim vjerom sina Božijega, kojemu omiljeh, i predade sebe za mene. 
GAL.2.21	Ne odbacujem blagodati Božije; jer ako pravda kroz zakon dolazi, to Hristos uzalud umrije.
GAL.3.1	O nerazumni Galati! ko vas je opèinio da se ne pokoravate istini? Vi, kojima pred oèima bješe napisan Isus Hristos, a sad se meðu vama razape. 
GAL.3.2	Ovo jedno hoæu od vas da doznam, ili Duha primiste kroz djela zakona ili kroz èuvenje vjere? 
GAL.3.3	Tako li ste nerazumni? Poèevši Duhom, sad tijelom svršujete? 
GAL.3.4	Tako li uzalud postradaste? Kad bi bilo samo uzalud! 
GAL.3.5	Koji vam dakle daje Duha i èini èudesa meðu vama, èini li djelima zakona ili èuvenjem vjere? 
GAL.3.6	Kao što Avraam vjerova Bogu, i primi mu se u pravdu. 
GAL.3.7	Poznajte dakle da su oni sinovi Avraamovi koji su od vjere. 
GAL.3.8	A pismo vidjevši unapredak da Bog vjerom neznabošce pravda, naprijed objavi Avraamu: u tebi æe se blagosloviti svi neznabošci. 
GAL.3.9	Tako koji su od vjere, blagosloviæe se s vjernijem Avraamom. 
GAL.3.10	Jer koji su god od djela zakona pod kletvom su, jer je pisano: proklet svaki koji ne ostane u svemu što je napisano u knjizi zakonskoj da èini. 
GAL.3.11	A da se zakonom niko ne opravdava pred Bogom, poznato je: jer pravednik od vjere življeæe. 
GAL.3.12	A zakon nije od vjere; nego èovjek koji to tvori življeæe u tome. 
GAL.3.13	Hristos je nas iskupio od kletve zakonske postavši za nas kletva, jer je pisano: proklet svaki koji visi na drvetu: 
GAL.3.14	Da meðu neznabošcima bude blagoslov Avraamov u Hristu Isusu, da obeæanje Duha primimo kroz vjeru. 
GAL.3.15	Braæo, po èovjeku govorim, niko èovjeèijega potvrðena zavjeta ne odbacuje niti mu što domeæe. 
GAL.3.16	A Avraamu i sjemenu njegovu reèena biše obeæanja. A ne veli: i sjemenima, kao za mnoga, nego kao za jedno: i sjemenu tvojemu, koje je Hristos. 
GAL.3.17	Ovo pak velim: zavjeta, koji je od Boga potvrðen za Hrista, ne odbacuje zakon, koji je postao poslije èetiri stotine i trideset godina, da ukine obeæanje. 
GAL.3.18	Jer ako je našljedstvo od zakona, onda veæ nije od obeæanja, a Avraamu obeæanjem darova Bog. 
GAL.3.19	Šta æe dakle zakon? Radi grijeha dodade se dokle doðe sjeme kojemu se obeæa, i postavili su ga anðeli rukom posrednika. 
GAL.3.20	Ali posrednik nije jednoga; a Bog je jedan. 
GAL.3.21	Eda li je dakle zakon protivan obeæanjima Božijim? Bože saèuvaj! Jer da je dan zakon koji može oživljeti, zaista bi od zakona bila pravda. 
GAL.3.22	Ali pismo zatvori sve pod grijeh, da se obeæanje dade kroz vjeru Isusa Hrista onima koji vjeruju. 
GAL.3.23	A prije dolaska vjere bismo pod zakonom èuvani i zatvoreni za vjeru koja se htjela pokazati. 
GAL.3.24	Tako nam zakon bi èuvar do Hrista, da se vjerom opravdamo. 
GAL.3.25	A kad doðe vjera, veæ nijesmo pod èuvarom. 
GAL.3.26	Jer ste vi svi sinovi Božiji vjerom Hrista Isusa; 
GAL.3.27	Jer koji se god u Hrista krstiste, u Hrista se obukoste. 
GAL.3.28	Nema tu Jevrejina ni Grka, nema roba ni gospodara, nema muškoga roda ni ženskoga; jer ste vi svi jedno u Hristu Isusu. 
GAL.3.29	A kad ste vi Hristovi, onda ste sjeme Avraamovo, i po obeæanju našljednici.
GAL.4.1	Ali velim: dok je našljednik mlad ništa nije bolji od roba, ako i jest gospodar od svega; 
GAL.4.2	Nego je pod zapovjednicima i èuvarima tja do roka oèina. 
GAL.4.3	Tako i mi kad bijasmo mladi, bijasmo pod stihijama svijeta zarobljeni; 
GAL.4.4	A kad se navrši vrijeme, posla Bog sina svojega jedinorodnoga, koji je roðen od žene i pokoren zakonu, 
GAL.4.5	Da iskupi one koji su pod zakonom, da primimo posinaštvo. 
GAL.4.6	I buduæi da ste sinovi, posla Bog Duha sina svojega u srca vaša, koji vièe: Ava oèe! 
GAL.4.7	Tako veæ nijesi rob, nego sin; a ako si sin, i našljednik si Božij kroz Isusa Hrista. 
GAL.4.8	Ali tada ne znajuæi Boga služiste onima koji po sebi nijesu bogovi. 
GAL.4.9	A sad poznavši Boga, i još poznati bivši od Boga, kako se vraæate opet na slabe i rðave stihije, kojima opet iznova hoæete da služite? 
GAL.4.10	Gledate na dane i mjesece, i vremena i godine. 
GAL.4.11	Bojim se za vas da se ne budem uzalud trudio oko vas. 
GAL.4.12	Budite kao ja što sam; jer sam ja kao vi što ste. Braæo! molim vas, ništa mi ne uèiniste nažao. 
GAL.4.13	A znate da vam u slabosti tijela najprije propovjedih jevanðelje; 
GAL.4.14	I napasti moje, koja bijaše tijelu mome, ne prezreste, ni popljuvaste, nego me primiste kao anðela Božijega, kao Hrista Isusa. 
GAL.4.15	Kakovo bijaše onda vaše blaženstvo? Jer vam svjedoèim da biste, kad bi moguæe bilo, izvadili oèi svoje i dali meni. 
GAL.4.16	Tijem li vam postadoh neprijatelj istinu vam govoreæi? 
GAL.4.17	Oni ne revnuju dobro za vas, nego hoæe da vas odvoje, da im revnujete. 
GAL.4.18	A dobro je revnovati svagda u dobru, i ne samo kad sam ja kod vas. 
GAL.4.19	Djeèice moja, koju opet s mukom raðam, dokle Hristovo oblièje ne postane u vama; 
GAL.4.20	Ali bih htio sad da sam kod vas, i da izmijenim glas svoj, jer ne mogu da se naèudim za vas. 
GAL.4.21	Kažite mi, vi koji hoæete pod zakonom da budete, ne slušate li zakona? 
GAL.4.22	Jer je pisano da Avraam dva sina imade, jednoga od robinje, a drugoga od slobodne. 
GAL.4.23	Ali koji bješe od robinje, po tijelu se rodi; a koji od slobodne, po obeæanju. 
GAL.4.24	Koje znaèi drugo: jer su ovo dva zavjeta: jedan dakle od gore Sinajske, koja raða za robovanje, i to je Agar. 
GAL.4.25	Jer Agar znaèi Sinaj gora u Arapskoj, i poredi se sa sadašnjijem Jerusalimom, i služi sa djecom svojom. 
GAL.4.26	A gornji Jerusalim slobodna je, koji je mati svima nama. 
GAL.4.27	Jer je pisano: razveseli se, nerotkinjo koja ne raðaš; prokini i povièi, ti koja ne trpiš muke poroðaja; jer pusta ima mnogo više djece negoli ona koja ima muža. 
GAL.4.28	A mi smo, braæo, po Isaku djeca obeæanja. 
GAL.4.29	No kako onda onaj što se rodi po tijelu gonjaše duhovnoga, tako i sad. 
GAL.4.30	Ali šta govori pismo? Istjeraj robinju i sina njezina; jer sin robinjin neæe naslijediti sa sinom slobodne. 
GAL.4.31	Tako, braæo, nijesmo djeca robinjina nego slobodne.
GAL.5.1	Stojte dakle u slobodi kojom nas Hristos oslobodi, i ne dajte se opet u jaram ropstva uhvatiti. 
GAL.5.2	Evo ja Pavle kažem vam da ako se obrežete Hristos vam ništa neæe pomoæi. 
GAL.5.3	A opet svjedoèim svakome èovjeku koji se obrezuje da je dužan sav zakon tvoriti. 
GAL.5.4	Izgubiste Hrista, vi koji hoæete zakonom da se opravdate, i otpadoste od blagodati. 
GAL.5.5	Jer mi duhom èekamo od vjere nad pravde. 
