MAT.1.1	A wo li nwer nyi etꞌtohngo ji Jisos Kraist lohng no, ji jolo mmon a Devid,
2TH.3.3	Ntul Esowo li nkakesehk a nne, á bahk-n limi, ń tahne, fere baab-n, eji Ebinne jio lꞌki-n ma lak abo. 
2TH.3.4	Ntul Esowo ma-r lim re wahr jo bum-n go etingitingi, tibre ń kpꞌlimi nsol nyi e tong-n no, ḿ bahke tiki jo lim nsol nyio ano ano.
2TH.3.5	Nong, Ntul Esowo lennge ntim enyahne, goji ń lꞌkahn elkoro ni Esowo, fere kahn elkpuumu ana ni Kraist kpuumu no.
2TH.3.6	Abonanee, e kp-n tongo go mbing nyi Jisos Kraist Ntul ewahre re wahn jo yab mmonanne ejahne awohng awohng no kpo lim eljini ni kil nobo, ni ki li eljini ni e tib-n no.
2TH.3.7	Wahnfono antahng kpꞌkahne mbang ana nyi ḿ bahk-r toono. Tibre e belem eljini ni ki nob ngare nyi e jolo a nahne. 
2TH.3.8	E tikem ko nsol alehke nyi nne awohng awohng, kꞌka ekun. E jo bade sehng, jo lim eltum atv a njul, eji e lꞌkꞌjo tokko nne awohng awohng.
2TH.3.9	Eji e jo lim ano, lohngem re, nsahm e kpimm nyi e bahke ma ko nsol alehke go egahne. E jo limi ano, tib eji ń lꞌkahn mbang nyi ḿ bahke jo toono.
2TH.3.10	Ngare nyio nyi e jolo a nahne, owo e tong-n no re, “Nne awohng awohng no tohko jo lim eltum, á kꞌjo li nsol alehke.” 
2TH.3.11	Tibre wahr ebwuk re, egom ejahne jindiki kpehme lim eljini ni nno. Bo kpehme lim eltum sehngem nnyo mi bo kpo kak go afem ane. 
2TH.3.12	E kpꞌtongo elkohn ane bao, fere jo rehke bo go mbing nyi Ntul a Jisos Kraist re, bo bel elkpin ni nno, fere jo lim eltum, jo le elbo.
2TH.3.13	Abonanee, nong, nnoobo alimi ki-n kpen.
2TH.3.14	Nne awohng awohng no lꞌten elbumu alum nya e nyono go nwer nyia, nyonen mbing enye kak go nwer, wahn kꞌkpe jo jen a ne, eji ndon lꞌfil-e.
2TH.3.15	Kana ye jo rod bum ana nnekv. Nobo na re wahn jo rehk-e ana mmonanne ejahne. 
2TH.3.16	Nong, Ntul Esowo bi elkoono jo ka-n elkoono ene ngare anyehng anyehng go mbang anyehng anyehng. Nong, Ntul Esowo jol a nahne wahn ane kpee. 
2TH.3.17	Me Pol wo kpꞌnyono nnyo akake mia. Ana wo n kpo kak elliingi go nwer anyehng anyehng nyi n lꞌnyon. Mbang nyia nyi n kpo kono elnyono re, 
2TH.3.18	Nong, nnoobo nyi Jisos Kraist Ntul ewahre jol a nahne wahn ane kpee.
1TI.1.1	Me Pol ji Esowo ntꞌtahre, a Ntul a Jisos Kraist ji e kp-e kunu ekpu ma-m tong re me n jol ntiingetib a Kraist Jisos, 
1TI.1.2	n kpꞌnyono nwer nyia tv Timoti etingitingi mmon ewame go ejang bi Esowo.
1TI.1.2	Nong, Esowo Nsoo, a Kraist Jisos Ntul ewahre ka-a nnoobo, a elkoono, wo fere fil-e ndon.
1TI.1.3	N kpꞌsebe re, wo jol go Efesus ana n rehk-a no ngare nyi n jo tahm go Masedonia.
1TI.1.4	Tong bo, bo yake amongo atohko, fere yake alaabe aka atubu bade atꞌtohngo babnde. Nsol nyio kpo ko na nfaabe ba a nyi, kpehme lim eltum Esowo gbal, sehngem eltaame ni kpo lim ane gbal.
1TI.1.5	Ejum ji wahnge n kak-a erehke jia, n kak-a, eji ntim ane nyi li saang, a ntir atahng ebo nyi nno a nno, a etingitingi eltaame ebo lꞌjo tib elkoro.
1TI.1.6	Ane bandiki ebyake mbang nyia bum, fere sa go nfaabe alimi nyi li mbol mbol. 
1TI.1.7	Bo kpꞌsebe re, bo jol atꞌtibi ba atahm nya Esowo, jol bofono antahng kpehme kahn ana alum nya bo kpo bung lohngo no. Bo kpehme tob kahn nsol nyi bo kpo bung esahb esahb.
1TI.1.8	E kpꞌkahne re, atahm kpꞌnobo, nne lꞌkahn ana á bahke bumu atahm nyao,
1TI.1.9	fere kahn re, atahm limm ka anoobo ane, li ka abi ane, abagbokatahm, ane ba kil jo kak Esowo, aneb abiafem, ane ba Esowo kil jo lub bo, aneb mbol mbol, ane ba kpo wul babnde a babnnyehn, awulane, 
1TI.1.10	ane ba kpi ebi elkpin, aneblum ba kpo noongo a atem aneblum, ane ba kpo v abonse, akimfahnge atianse, a ane ba kil eltoono eltibi ni nno,
1TI.1.11	ni li nnoobo etib bi Esowo ma-m ka re me n song tiingi, nnoobo etib bio bi Esowo bi kpi ellub, a elfuulu.
1TI.1.12	Me n kak Jisos Kraist Ntul ewahre saam go nsahm nyi á ma-m ka re me n lim eltum. M m-e kak saam, eji á bumu re me n li nkakesehk a nne, fere yehk-m re me n lok-e,
1TI.1.13	me jia ji daang-e na, fere jo nohk-e, jo su-e. N kehm fili Esowo ndon, tibre n joom kahn ejum ji n jo lꞌlim ngare nyio, eji n kala taame tv Jisos. 
1TI.1.14	Ntul Esowo guub-m sehng, á lim-m nnoobo sehng, fere ka-m ekakesehk, a elkoro, nsol nyia kpo sehng go abo nya Jisos Kraist.
1TI.1.15	Etingitingi elbungu ni ana, ni fuumu re nne awohng awohng taame tv re, Kraist Jisos ba go njini nyia re á ba tahre aneb abiafem,
1TI.1.16	Ana wo wahnge n fili Esowo ndon. N fil-e ndon, eji Kraist lꞌtib egburu elkpuumu ene go egame elkpin. Á limi ano, eji lꞌjol elliingi ka ane bao ba bahke kpe taame tv-e, fere bel elkpin ni li go njinanjini.
1TI.1.17	Ntul no li go njinanjini, no lꞌkꞌtiki kpo, no ane kil-e elnyehne, ye ji li Esowo na abehng, nong, wahr jo kak-e, fere jo ka-e ellub go njinanjini. Emen.
1TI.1.18	Timoti mmon ewame, erehke ji n kp-a kake a, ebyel jang jang ana abanyehnamahr Esowo bungu no bada na. Nong, alum nyao jol nsol ebta enya, eji a kpꞌnoko ebta bia go mbang nyi nno. 
1TI.1.19	Jabbe nsol nyi e ma taame tv tꞌtahne, ntir atahng enya fere jol saang. Ane bandiki kpehme wuungu atung go bo a ntir atahng, toono o, eltaame ebo gohro geele. 
1TI.1.20	Himeneus abola Aleksanda, bo wob ellong ane bao. Me n yake bo, ka nnehm, eji bo lꞌkpili ejum, rahke Esowo asuku.
1TI.2.1	N kpꞌgboko mbang rehk-n re, wahn jo kak ero bi Esowo agboongo, fere jo kak ero behka behka, jo kpe kak ero ka ane, fere tob jo kak ero bi saam akake.
1TI.2.2	wahn tob jo kak ero ka atul, a atubesi ba kpo fili adi, eji e lꞌkꞌyel nfem anyehng anyehng, eji ejahbe ejahre lꞌjol soom, e fere jo jen go mbang nyi Esowo, fere jo lim eljini ni nno. 
1TI.2.3	Nsol nyia nyi kpꞌnobo, nyi nyi kpo yebe Esowo ntꞌtahre ewahre atahng, 
1TI.2.4	ye ji kpꞌsebe re nne awohng awohng bel eltahre, fere kahn etingitingi.
1TI.2.5	Tibre li Esowo na abehng, a nkonambum awohng no kpo lim ane, bo koono a Esowo.
1TI.2.6	ji rodo elne ka re á fak ane kpee yake. Esowo sebe re bo tiingi etib bio go ege a ngare. 
1TI.2.7	Owo wahng ka á yehk-m no re me n jol mbungalum Esowo, fere jol ntiingetib, fere jol ntꞌtibi no ane baka baka ba ki-e nyi, fere jo tiingi bo etib bio bi eltaame, a etingitingi. Efahnge sang n kpꞌkimi a. Etingitingi ji n kpꞌbungu.
1TI.2.8	N kpꞌsebe re, aneblum ba li edi ajehng ajehng jo kak ero, aneblum bao ba ma rod elbo ka Esowo. Bo bahke jo tab abo ton ero, jo kak ero, kꞌbel erakatahng ajehng ajehng, fere kꞌbel nfaabe anyehng anyehng.
1TI.2.9	Ano wo fvfo n kpꞌtob seb re anebkal jol, bo kꞌga jo liibi, bo jo liibi nehka nehka. Bo kꞌga jo tahng esi ji elgeere atibi. Bo kꞌjo kak nsol nyi bo limi go agul, afi nya bo limi go atal nya nno a nno. Bo kꞌjo liibi nsol nyi sahb kꞌkim ekun.
1TI.2.10	Ga nob re bo jo lim eltum ni nno a nno, ana fuumu no ka anebkal ba kpꞌtongo re bo kpi Esowo kak.
1TI.2.11	Nong, nnenkal jo kpili mbelle mbelle,
1TI.2.12	N nehme taame re nnenkal jo tib, fere jol ntubesi no nnenlum. Á bahke jo belle na.
1TI.2.13	Tibre Adam wo li nne no Esowo gbo mbang lim-e, kehm limi Iv. 
1TI.2.14	Adam sang bo nehm-e no, nnenkal wo bo nehm-e no, á gbo ntahm nyi Esowo.
1TI.2.15	Nnenkal bahke bele eltahre, eji á kpi abon jel, á lꞌsoro asi ano go mbang nyi Esowo, a elkoro, fere jol saang, fere jo lim eljini ni nno.
1TI.3.1	Etingitingi elbungu ni a, ni li re, nne lꞌkor-e re, á bahke jolo ntubesi ero, lohngo re á kpꞌsebe eltum ni nno a nno. 
1TI.3.2	Ntubesi ero bahke jolo nne no ki kpi egahme. Á bahke bele nkal awohng. Á bahke jolo nne no li soom, fere jol nne no bahke jo mal elne bob. Á bahke jo lim nnoobo eljini. Á bahke jolo nne no bahke jo vvrv ajenne, fere jol nne no bahke jo mal ane tib. 
1TI.3.3	Á nehm jol nwokamahm, á nehm jol mbibeltim a nne, á nehm jo seb nfem, á nehm jo taange ntaange, á bahke jolo nne no akpohko lꞌki-e jo kor.
1TI.3.4	Á bahke jo fili nlaaga enye nob nob, fere lim, eji abon ebe lꞌjo kak-e, fere jo wuk-e go mbang anyehng anyehng. 
1TI.3.5	Eji nne kil elma fili nlaaga enye, bahke limi renan, á kehm ma fili aneb Esowo? 
1TI.3.6	Á nehm jol nne no kpꞌna jolo nne Esowo, eji á lꞌkꞌgeere, fere li ebi ana nnehm li no. 
1TI.3.7	Á bahke bele elgahm ni nno goji ane baka baka ba ki li aneb ero, eji nne awohng awohng lꞌki-e sono, nnehm fere laang-e tub.
1TI.3.8	Alokeltum ero bahke tob jol anoobo eljini ane. Bo nehm jol aneb nliki ebal ebal. Bo nehm jol awokamahm, fere jol ane ba nsol nyi bo kpi no kil jo gbal bo. 
1TI.3.9	Nong, etingitingi ji bo ma lennge ka bo, jol go bo a ntim, ntir atahng ebo jol saang. 
1TI.3.10	Nong, bo tohko gbo mbang wuungu bo. Bo lꞌbel elgahm ni nno, bo kehm limi eltum nio.
1TI.3.11	Anebkal fvfo bahke jo tob bel eljini ni nno. Bo nehm jol ane ba kpo kiimi afahnge lake ane. Bo bahke jolo soom, fere jo lim ejum ajehng ajehng go etingitingi.
1TI.3.12	Alokeltum ero bahke jolo ane ba kpi nkal awohng awohng. Bo bahke jo mal fili abon ebo, a alaaga ebo. 
1TI.3.13	Ane bao ba kpꞌmale elloko nob nob, bo bahke bele nwahrewahre edi nji, fere bel esahb ji bo bahke yiimi go mbang nyi Kraist Jisos.
1TI.3.14	N kpꞌbumu re, m bahke gulu elbake go ega. N kpꞌnyono nwer nyia tv-a, 
1TI.3.15	eji afi n laange na elbake, a lꞌkahn eljini ni a bahke jo lim go ellong aneb ero ba li ero bi Esowo bi li go elkpin. Ero bio li nnahb ekahme, a ago nya etingitingi. 
1TI.3.16	Nnene limm, no bahke ma faabe egburu nkpokosi ejum nyi e kpꞌtaame tv, nyi li re,
1TI.3.16	Esowo ba go elfoongo ni nne.
1TI.3.16	Etingi Etohko ji jo yiimi ntianse ka-e re á li eno.
1TI.3.16	Babenjel nyehn-e nyehn.
1TI.3.16	Ane ebe kpꞌbungu alum enye go ellong ane baka baka.
1TI.3.16	Ane ba ma taame tv-e baa, go njini nia.
1TI.3.16	Nsahm Esowo rod-e tahm a ne go ejahbetul Esowo.
1TI.4.1	Etingi Etohko bungu sahb lꞌlennge re, behnjehle go ngare esꞌsong egom ane bandiki bahke yake alum Esowo, fere jo wuungu atung go atohko nya kpo nehm ane, fere jo toono eltibi ni abi atohko.
1TI.4.2	Eltibi nio kpo sehng go abo nya akimfahnge ane ba ntim ebo ma jol are ebfi adi adi. 
1TI.4.3	Bo kpo tib eltibi ni bo re, nne kꞌjo ko nkal, nne kꞌjo li nsol alehke nyindiki, gana Esowo limi nsol alehke nyio ka-r re wahr jo li, fere jo kak-e saam, wahr jia ji ma taame tv-e, fere kahn etingitingi.
1TI.4.4	Tibre ejum ajehng ajehng ji Esowo limi no kpꞌnobo. Ejumjum limm, ji e bahke jo ten.
1TI.4.5	Tibre alum Esowo, a ero akake kpo lim ejum jio jol saang go esamahr bi Esowo.
1TI.4.6	A lꞌko erehke jia ana, fere jo rehke aneb Esowo, a lohko li nnooba nlokeltum no Jisos Kraist, ana a ma le elna go alum nya ekakesehk, a eltibi ni nno a nno, ni a kpꞌtoono. 
1TI.4.7	Jo ten agboolo alum nya kil jo kor Esowo.
1TI.4.8	Nne lꞌrod ngare nyi á kpi no, jo lim ji li ka ngubjing, nehm kang a ne.
1TI.4.9	Etingitingi elbungu ni a, ni fuumu re nne awohng awohng taame tv.
1TI.4.10	Esi jia ji wahnge e kpꞌgbehde, ane kp-r nyame egban. Tibre e kpꞌkunu Esowo ekpu bi li go elkpin, ye ji kpo le ane kpee, asehngesehnge ane ba ma taame tv-e.
1TI.4.11	Tong bo nsol nyia, wo fere jo tib bo.
1TI.4.12	Nong, nne awohng awohng ki-a daange, tib eji a li njangkun. Jo tib eljini ni aneb Esowo bako bahke jo leeme,
1TI.4.13	Yake elna kpee ka, wo jo lung alum Esowo, tong bo, wo fere jo rehke bo, fere jo tib bo, tete me m ba. 
1TI.4.14	Ayare nya Esowo ka-a no, ka jo rod bum mbol mbol, nyao nya a bele no eji abanyehnamahr Esowo bungu no, anebkul ero kun-a abo.
1TI.4.15	Yake elna ka go nsol nyio, wo jo lim ngare anyehng anyehng, eji ane kpee bahke nyehne ana a ma kehme elmale ejum ajehng ajehng, fere gbal. 
1TI.4.16	Jo kunu elna ekpu, wo fere jo kunu ekpu go eltibi ni a kpꞌtibi. Jo soro asi, jo lim nsol nyio, ka jo naange tv nne awohng awohng. Tibre a lꞌlim ano, a bahke tahre elna, fere tahre ane ba kp-a wuku.
1TI.5.1	Ka jo nyam nnenkul, jo rehk-e na ana a kpꞌrehke nso. Jo ko ajangkun ana abonane. 
1TI.5.2	Anebkal ba li anebkul, jo ko bo ana babnne. Agbahme, jo ko bo ana abonane ba nkal. Nobo re wo jo bum elna saang.
1TI.5.3	Jo kak akalebun ba lohko li atingitingi akalebun. 
1TI.5.4	Nkalebun lꞌbel abon, afi fere jolo abon ba abon ebe jele no, nong, abon bao gbo mbang kpili ana ji li ka bo re bo lim mbang nyi Esowo ka babnnyehn. Nobo re bo feere a nnoobo nyi babnnyehn limi ka bo, ka. Tibre nsol nyio nyi kpo yebe Esowo atahng.
1TI.5.5	Etingitingi nkalebun no li antahng, á kpo kunu Esowo ekpu, fere jo kak ero, jo gboongo Esowo atv a njul.
1TI.5.6	Nkalebun no kpo lim nsol nyi kpo kor yefono antahng, ebkpo, jol eji á kpeke li go elkpin.
1TI.5.7	Jo tong bo nsol nyia, eji nne awohng awohng lꞌkꞌting mbang anyehng anyehng nyi á bahke bo ebi ka. 
1TI.5.8	Nne awohng awohng no tohko jo ma fili ane ebe, asehngesehnge nkal ewe, nde, nnyehn, a abon abon, yebten mbang nyi Esowo, yebfere sab sehnge nne no ki li nne Esowo.
1TI.5.9	Ka jo ko nkalebun awohng awohng ba semme go ellong atingitingi akalebun bako, sehngem no ma kang nya atahl ara eji á bale nlum nlum awohng, ye wo a bahk-e koko semme go ellong atingitingi akalebun. 
1TI.5.10	Etingitingi nkalebun bahke bele elgahm ni á jo lim anoobo nsol, ana abon aleke tete bo gbal, fere jo vvrv ajenne, fere jo ru akpade nya aneb Esowo,
1TI.5.11	Ka jo ko akalebun ba kala kul semme go ellong atingitingi akalebun. Kraist lꞌkehme bo kpen, bo bahke kehme alum seb, 
1TI.5.12	toono o, bo li ebi, tib eji bo ma yake ngbokambang eltaame ebo tub go. 
1TI.5.13	Fvfo, ewon agboko ebkpuuru bo. Bo kpo jen yannge etahk ajehng ajehng. Lohngem re, ewon bi bi bo ma gbo. Bo kpo tob lim akpeere, fere jo kak anyo go afemfem ane, fere jo bung nsol nyi ki fuumu re bo bung.
1TI.5.14	N kpꞌsebe re akalebun ba kala kul, bal alum, jel abon, fere jo kuuru nlaaga ebo, kꞌjo ka nnehm eyake re á jo bung ebi bada nahre.
1TI.5.15	Egom akalebun bandiki bobyake mbang nyi nno, fere kpꞌtoono mbang nyi nnehm.
1TI.5.16	Nne awohng awohng no lꞌbel akalebun go ege a nnahb, nong, á fili bo, á kꞌyake bo re bo fere tokko aneb ero, eji aneb ero lꞌmal fili atingitingi akalebun.
1TI.5.17	Anebkul ero ba kpo fili aneb ero nob nob, nobo re bo sahb kꞌkak bo, asehngesehnge ane ba kpo bade, jo lim eltum alum Esowo abungu, fere jo tꞌtib. 
1TI.5.18	Tibre nwer Esowo bungu re, “Ka gba nfong nnyo, nyi kpꞌlimi eltum ni nkohl adohko.
1TI.5.19	Ka jo wuungu atung go ebi ji bo kpꞌkake nnenkul ero, sehngem re no, atianse jolo ane abal, ane ara.
1TI.5.20	Ane ba kpo lim abiafem, jo rehke bo go elkab ane, eji ane bako lꞌfahl.
1TI.5.21	N kp-a tongo re, wo ko erehke jia go etingitingi, ji n kp-a kake go esamahr bi Esowo, a bi Kraist Jisos, a esamahr abarebare enjel kpee. Ka jo be esamahr nne awohng awohng go ejum ajehng ajehng ji a bahke limi.
1TI.5.22	Ka gbarre, kunu nne awohng awohng ebo! Ka jo yel go abiafem nya ane bako! Jo bum eltim ena saang!
1TI.5.23	Ka jo wo alahb ma ma, jo tob wo alahb avain ntiil, tib eji ala kpo kon-a elyame.
1TI.5.24	Abiafem nya ane bandiki li gbul gbul gbuul, nya bo bahke ma lam anv. Abiafem nya ane bandiki bahke fvvrv bo yake behnjehle. 
1TI.5.25	Ano wo fvfo anoobo nsol nyandiki tob li gbul gbul gbuul. Nyandiki nya ki li ano, nehm kpe ma jol go mbiiri.
1TI.6.1	Nong, alokeltum jo kpunu babnde ebo go ejum ajehng ajehng, eji ane lꞌkꞌjo bung ebi bada mbing nyi Esowo, a eltibi ene fvfo.
1TI.6.2	Alokeltum ba babnde ebo li aneb Esowo, bo kꞌjo daange bo tib eji bo li abonanyehn.
1TI.6.3	Nne awohng awohng no lꞌtib eltibi nindikandiki, kꞌtaame tv atingitingi alum nya Jisos Kraist Ntul ewahre, fere kꞌtaame tv ana e kpꞌtibi mbang nyi Esowo,
1TI.6.4	yebgbal go elgeere, á nehme kahn ejumjum. Tibre yebgbo eyam bio bi nfaabe alimi, a bi ntaange ataange. Bahke bomo o, rehng go eteelala, sehng o rehng go nyꞌyabe, a ane asuku, go ebi ntir nyi nne kpꞌtiri re ntem kpꞌkpi. 
1TI.6.5	Ane bao ba ma sa go nfaabe alimi, ba ntir atahng ebo ma bvvrv. Etingitingi kpeem li a bo. Bo kpꞌtiri re, mbang Esowo, mbang nyi nsehng alehke nyi.
1TI.6.6	Etingitingi, nne no lꞌjen go mbang nyi Esowo, ye wo bahke lehke nsehng gbalee, ejum ajehng ajehng jehka ji á kpi no lꞌjo gbal-e.
1TI.6.7	Ana e ba go njini nyia ebun ebun, ano wo fvfo e bahke tob feere ebun ebun. 
1TI.6.8	E lꞌbel nsol alehke, fere bel nsol ebjing, fuumu re jo gbal-r.
1TI.6.9	Ane ba kpꞌsebe re bo gbo afang, bo bahke jo yel go elgaare, fere gbo go ekpoko bi nnehm, bi li ekor agboolo nsol nya bahke rannge bo, fere lim bo, bo sa abo abo, fere yel go ebi edi. 
1TI.6.10	Tibre ekor akpohko ji li nlohk nyi ebꞌbi ajehng ajehng kpo lohng.
1TI.6.11	Wo ji li nne Esowo, jo gbere elna go nsol nyia. Jo gbehd, wo jol go etingitingi, fere jol Esowo Esowo, fere bel ekakesehk, a elkoro, a elkpuumu, go nnoobo eljini. 
1TI.6.12	Jo nok nnoobo ebta bi ekakesehk,
1TI.6.13	Go esamahr Esowo bi kpo ka ejum ajehng ajehng elkpin, a esamahr bi Jisos Kraist ji yiimi ntianse nyi nno go esamahr Pontus Pailet,
1TI.6.14	wo jo bum ntahm nyio go nseenga nseenge,
1TI.6.15	Á bahke bake go ege a ngare nyi Esowo kak-e no,
1TI.6.15	Esowo bi li nnooba nfiledi no kpo fili edi ntahngtahng.
1TI.6.15	Á li Ntul no atem atul,
1TI.6.16	ye ntahngtahng wo lꞌkꞌtiki kpo.
1TI.6.16	Á lene go edi ellennge.
1TI.6.16	Nnene limm, no bahke ma jen kohl-e.
1TI.6.16	Nnene limm, no m-e nyꞌnyehn. Jol nnene limm, no bahk-e ma nyehn.
1TI.6.16	Nong, ekpunu jol a ne, a nsahm nyi li go njinanjini.
1TI.6.16	Emen.
1TI.6.17	Tong ane ba ma fang go njini nyia re bo kꞌjo rod elbo bum wahre wahre, bo kꞌjo yehke ekunukpu ebo kunu go elkohn afang nio ni kil jo yiimi nne go ebo.
1TI.6.18	Tong bo, bo jo lim nnoobo, eji bo lꞌgbo afang nya Esowo. Nong, bo jo ka gbalee a ntim a ntim ebo, fere jo wehr abo, 
1TI.6.19	eji bo lꞌmal jabbe elkpin ni li etingitingi elkpin. Bo lꞌlim ano, bo bahke kuuru afang ebo sik a ngare esꞌsong.
1TI.6.20	Timoti, jo kuuru nsol nyi bo ma yake ka-a. Ka jo yel ellong ane ba kpo tub aka nya ki lohng ejumjum, nya kil jo kor Esowo. Ka jo yel ellong ane ba kpo lim egboolo nfaabe, nyi bo kpo lung re Elkahne. 
1TI.6.21	Ane bandiki kpo bung re, bo kpi Elkahne nio. Owo wahnge bo ma tan mbang nyi Esowo. Nong, nnoobo nyi Esowo jol a na.
2TI.1.1	Me Pol ji li ntiingetib a Kraist Jisos, me ji koro Esowo, á yehk-m tum tib go enyam bi elkpin ni á nyame no, ni li go abo nya Kraist Jisos, 
2TI.1.2	n kpꞌnyono nwer nyia tv Timoti mmon ewame no kpo kor-m sꞌsehng.
2TI.1.2	Nong Esowo Nsoo, a Kraist Jisos Ntul ewahre ka-a nnoobo, a elkoono, wo fere fil-e ndon.
2TI.1.3	Timoti, n lꞌbuum-a go egame ero bi n kpo kak atv a njul, n kpo kak Esowo saam, ye ji n kpo lok-e atahng emame saang ana babnsoo jo lim.
2TI.1.4	N kpꞌbuumu ana a jolo ndon ndon, a abonngo go amahr. Owo wahnge n kpꞌsahb sꞌseb re me n tiki ba nyehn-a, eji eyebatahng lꞌsahb gbal-m gbal go egame atahng.
2TI.1.5	Me m buumu etingitingi ekakesehk ji a kpi no, elkohn ekakesehk jꞌnehm o ji nne no nkul bele no, no bo jo lung-e re Lois, jꞌnehm o ji nne Yunis tob bel.
2TI.1.6	Ano wo wahnge n kp-a kpeke buumu re, wo ko ayare nya Esowo ka-a no, nya wob-a go ega atahng, jo lim eltum, kꞌbum na bum, ayare nya a bele no eji n kun-a ebo ebame.
2TI.1.7	Tibre Esowo wahr kaam etohko jio ji elfahle. Á ka-r etohko ji nsahm, ji li etohko ji elkoro, ji kpo lim-r, e fere jo mal bob elnahre.
2TI.1.8	Owo wahnge nobo re wo kꞌjo be ndon nyi ntianse ayiimi ka Ntul ewahre.
2TI.1.9	Esowo bio bi ma-r tahre, fere lung-r re, wahr jol ane babe. Lohngem re eltum ni e ma lim ni wahnge á lung-r no. Á lung-r tib go ege esi, a esi ji nnoobo enye nyi á ka-r no, nyi sehnge go abo nya Kraist Jisos, njini kehm jolo. 
2TI.1.10	Anv, wahr ebnyehn nnoobo nyi Esowo, eji Kraist Jisos ntꞌtahre ewahre ma ba, ye jio ji ma tane nsahm nyi elkv.
2TI.1.11	Esowo ma-m yehke re me n tiingi nnoobo etib bio, fere jo bung alum enye, fere tob jo tib ane.
2TI.1.12	Esi jio ji wahng ka, n kpꞌnyehne erem bia. N nehme be ndon go nsol nyio. Tibre n kpꞌkahne nne no m ma taame tv-e. N kpꞌsahb kꞌkahn re, á bahke ma kuuru ejum jio ji á ma-m kak go ebo tete rehng go efung bio.
2TI.1.13	Jo toono atingitingi alum nya m ma-a tib, wo sa a eltaame nꞌnehm o, a elkoro ni li go abo nya Kraist Jisos. 
2TI.1.14	Jo kuuru anoobo nsol nya bo ma-a kak go ebo go nsahm nyio nyi Etingi Etohko ji wob-r go egahre atahng.
2TI.1.15	A kpꞌkahne re, ane bao kpee ba lene go Esia ma-m sennge njahm kpee. Figelus abola Hermogenes tob wob go bo ellong. 
2TI.1.16	Nong, Ntul Esowo tib ndon enye go etahk Onesiforus. Me á nyaarem. Á jo ba nkpel a nkpele, ba kak-m eltim, jol eji n wobo wob ngbekobo. 
2TI.1.17	Eji á ba rehng ga Rom, á seb-m tete, kehm-m nyehne. 
2TI.1.18	Nong, á lub fili Esowo ndon efung bio. A kpꞌsahb kꞌkahn nob nob ana á jo loko eltum go Efesus.
2TI.2.1	Mmon ewame, yiimi tꞌtahne go nnoobo nyi li go abo nya Kraist Jisos. 
2TI.2.2	Ko alum enyame nya a ma wuk go esamahr atianse gbalee, wo song tib atingitingi ane ba bahke tob mal tib ane bako.
2TI.2.3	Tob taame, nyehn erem ana nnooba nne a nsoja no Kraist Jisos. 
2TI.2.4	Nne a nsoja awohng awohng limm, no lꞌkehme ebta nok, no bahke fere song kehme eljini nehka nehka lim, eji á kpꞌsebe re á lim ji kpꞌkoro ntubesi ewe no ko-e go eltum. 
2TI.2.5	Mbekabahl no kpo be abahl, á nehm bel eltuuru ene, sehngem re no, á be jang jang ana eljini abahl li no. 
2TI.2.6	Mbahmgbe no kpo kak eko, jo lim eltum go ege egbe, ye wo fuumu re á gbo mbang li nsol alehke nyi lohng go ege egbe. 
2TI.2.7	Jo tir bade alum nya n kpꞌbungu a, tibre Ntul Esowo bahk-a limi re, wo kahn ejum ajehng ajehng.
2TI.2.8	Jo buumu Jisos Kraist ji nyahme go elkv, ye ji lohng go etꞌtohngo ji Devid, ana n kpo tiingi nnoobo etib ebame.
2TI.2.9	Nnoobo etib bi n kpo tiingi bi wahnge n kpꞌnyehne erem bia, a agbekobo go abo ana ebi nne. Alum Esowo, agbekobo wobem.
2TI.2.10	Esi ji ane ba Esowo ma yehke ji wahnge n kpꞌkpuumu ejum ajehng ajehng, eji bo lꞌtob bel eltahre ni li go abo nya Kraist Jisos, ni kpo jen a ellub ni li go njinanjini.
2TI.2.11	A wo li atingitingi alum nya bungu re,
2TI.2.11	“Lꞌjol re wahr ebtob kpo a ne,
2TI.2.11	e bahke tob jol a ne go elkpin.
2TI.2.12	E lꞌjo kpuumu, e bahke tob tob-e edi afili.
2TI.2.12	E lꞌten-e, á bahke tob ten-r fvfo.
2TI.2.13	Jol afi e gbo na go ege a mbang,
2TI.2.13	ekakesehk ji Esowo jia, kpeke li nseenga nseenge,
2TI.2.13	tibre Esowo nehm tiki yaange.”
2TI.2.14	Buumu bo nsol nyia, wo fere tong bo go esamahr Esowo re, bo kꞌkpe lim nfaabe atemtem. Nfaabe kpehme kak nne ebo, kpo rannge na ane ba lꞌwuk.
2TI.2.15	Jo nok, eji a lꞌjol nlimeltum no nno go esamahr bi Esowo, ana nlimeltum no kil jo be ndon, eji á kpi eltum Esowo lim. Jol nne no kpo tooro atingitingi alum nya Esowo go nseenga nseenge.
2TI.2.16	Ka jo yel go ellong ane ba kpo lim egboolo nfaabe nyi ki li nyi Esowo, tibre nsol nyio nyi kpo wahng ane gbal go abiafem. 
2TI.2.17	Tibre alum ane bao li ana eyam abili, bi lꞌkehme nne yam ejang ngubjing behka, kpo tob ta yel ejang ngubjing behko. Himeneus abola Filetus, bo wob ellong ane bao fvfo.
