GEN.1.1	No princípio, quando Deus criou o céu e a terra
2CO.6.9	como desconhecidos, apesar de sermos bem conhecidos; como quem está para morrer, ainda que estejamos cheios de vida; como pessoas castigadas, sem chegarmos a morrer. 
2CO.6.10	Consideram-nos tristes, mas andamos sempre alegres. Somos tidos como pobres, embora enriqueçamos muitos; e como quem nada possui quando temos tudo.
2CO.6.12	onde têm sempre lugar. Mas da vossa parte não acontece o mesmo. 
2CO.6.13	Falo convosco como se fossem meus filhos. Usem comigo a mesma medida! Abram-me também os vossos corações.
2CO.6.14	Não se prendam aos que não têm fé. Pois que poderá haver de comum entre a justiça e a imoralidade? Que ligação existe entre a luz e a escuridão? 
2CO.6.15	Que harmonia pode haver entre 
2CO.6.16	Que tem o 
2CO.7.1	Queridos amigos, estas promessas são para nós. Portanto, 
2CO.7.2	Deixem-nos dizer-vos mais: não ofendemos, nem prejudicámos, nem enganámos ninguém. 
2CO.7.3	E não digo isto para vos condenar. Já disse que vos trago no 
2CO.7.4	Tenho imensa confiança a vosso respeito e estou muito contente convosco. Isto enche-me de coragem e faz-me transbordar de alegria na tribulação.
2CO.7.5	Quando chegámos à 
2CO.7.6	Mas Deus, que dá coragem aos aflitos, veio encorajar-nos com a chegada de Tito. 
2CO.7.7	E não foi só a sua vinda que nos animou. Foi também o saber do conforto que ele recebeu da vossa parte. Falou-nos das vossas saudades e do desejo que têm de nos ver e do interesse que mostram por mim. E isto ainda me deu mais alegria. 
2CO.7.8	Se, de facto, vos causei tristeza com a minha carta
2CO.7.9	agora fico contente, não porque ficaram tristes, mas porque essa tristeza vos levou ao 
2CO.7.10	Pois a tristeza que Deus quer leva à mudança de vida e conduz à salvação, da qual nunca nos arrependemos, ao passo que a tristeza inspirada em motivos humanos produz a morte. 
2CO.7.11	Reparem bem naquilo que essa tristeza, inspirada na vontade de Deus, vos veio trazer. Que fervor, que desculpas, que indignação, que respeito, que saudades, que dedicação e que coragem em castigar o culpado! Em tudo isto mostraram que não têm culpa no caso. 
2CO.7.12	E se eu vos escrevi, também não foi por causa da pessoa que fez o mal, nem por causa daquele que foi vítima disso
2CO.7.13	Tudo isto nos veio confortar.
2CO.7.13	Mas, para além desta consolação que recebemos, o que mais me alegrou foi ver também a alegria de Tito. Ele ficou muito satisfeito com a maneira como o receberam. 
2CO.7.14	Eu tinha-lhe falado a vosso respeito com certo orgulho, e não fiquei envergonhado. E assim como na vossa presença sempre disse a verdade, também o elogio que fizemos diante de Tito foi comprovado pelos factos. 
2CO.7.15	A ternura que temos para convosco aumentou ainda mais por causa da vossa obediência e porque o acolheram com submissão e respeito. 
2CO.7.16	Alegro-me porque são dignos da completa confiança que tenho a vosso respeito.
2CO.8.1	Queremos que saibam, 
2CO.8.2	que têm sido postas à prova com muitos sofrimentos e vivem muito pobremente. Mas a sua alegria e generosidade fizeram com que encontrassem ainda muito que dar. 
2CO.8.3	Posso garantir que eles deram o que podiam e ainda mais do que podiam. Eles próprios 
2CO.8.4	vieram pedir-nos com muita insistência o favor de poderem partilhar e colocar o que era seu ao serviço da 
2CO.8.5	Fizeram mais do que esperávamos. Não só se entregaram nas mãos de Deus, mas também nas nossas, conforme Deus os inspirou. 
2CO.8.6	Por isso, pedimos a Tito que fosse agora ter convosco para vos ajudar a completar a obra de generosidade do modo como a tinha começado. 
2CO.8.7	Assim como têm de tudo com abundância: fé, dom da palavra, sabedoria, boa vontade e amor para connosco que abundem também nesta 
2CO.8.8	Isto não é uma ordem que vos dou. Mas é para verificar se o vosso amor é verdadeiro, comparando-o com o entusiasmo dos outros. 
2CO.8.9	Conhecem bem o amor de nosso Senhor Jesus 
2CO.8.10	Nisto dou-vos a minha opinião. A generosidade fica-vos bem, uma vez que já o ano passado fizeram o mesmo peditório e foram os primeiros a sugerir a ideia. 
2CO.8.11	Procurem agora fazer o melhor possível, cada um conforme as suas posses. E que a boa vontade em o realizar corresponda à prontidão que mostram em fazer os planos. 
2CO.8.12	Pois é por aquilo que cada um tem e não por aquilo que não tem que Deus mede a boa vontade de quem oferece. 
2CO.8.13	Também não digo que vão fazer bem a outros, a ponto de passarem dificuldades. O que tem de haver é equilíbrio. 
2CO.8.14	Aquilo que neste momento vos sobra que sirva para compensar o que lhes falta a eles, para que o que eles têm em abundância compense o que vos faz falta. É assim que se faz o equilíbrio, 
2CO.8.15	como diz a Sagrada 
2CO.8.16	Bendito seja Deus que deu também a Tito a mesma dedicação que eu tenho por vós. 
2CO.8.17	Ele aceitou o meu pedido. Mas, mostrando muito maior interesse, ele próprio decidiu ir ter convosco. 
2CO.8.18	Mandámos com ele um outro 
2CO.8.19	E não só por isso. Ele próprio foi escolhido pelas igrejas para ser nosso companheiro de viagem e para realizar no vosso meio este trabalho que mostra bem a glória do Senhor e a minha boa vontade. 
2CO.8.20	Queremos evitar que alguém nos critique por causa das grandes ofertas que estão ao meu cuidado. 
2CO.8.21	A nossa preocupação é sermos honestos, não só diante do Senhor, mas também diante dos homens
2CO.8.22	Juntamente com eles, enviamos ainda outro irmão
2CO.8.23	Quer seja Tito, meu companheiro e colaborador ao vosso lado, quer sejam os outros irmãos, enviados das igrejas, todos são uma glória para 
2CO.8.24	Mostrem às outras igrejas o amor que têm para com eles, tratando-os bem. Provem que o orgulho que sentimos a vosso respeito corresponde à realidade.
2CO.9.1	Sobre esta ajuda aos 
2CO.9.2	Conheço bem a vossa boa vontade. Até já tenho mostrado a minha satisfação para convosco diante dos da 
2CO.9.3	Mesmo assim, resolvi enviar-vos estes 
2CO.9.4	Se alguns da Macedónia forem comigo, não gostava de me sentir envergonhado por ver que a vossa contribuição não estava pronta. E já não falo na vergonha que a vossa comunidade ia sentir se isso acontecesse. 
2CO.9.5	Por conseguinte, achei que era necessário mandar primeiro estes irmãos para vos ajudarem a pôr em prática a generosidade prometida. Deem pois com generosidade e não com avareza.
2CO.9.6	Com efeito, quem pouco semeia pouco poderá recolher. Mas quem semear muito há de recolher muito. 
2CO.9.7	Que cada um dê conforme julgar bem na sua consciência. E não chorem aquilo que dão, nem deem de má vontade. Pois quem dá com alegria agrada a Deus
2CO.9.8	Deus pode recompensar com abundância todo o bem que fizerem, para terem sempre aquilo de que precisam e poderem fazer bem aos outros. 
2CO.9.9	É como diz a Sagrada 
2CO.9.10	Deus, que dá a semente ao semeador e o pão para comer
2CO.9.11	Assim poderão mostrar-se sempre ricos em generosidade. E os que experimentam a vossa generosidade hão de dar graças a Deus. 
2CO.9.12	Pois aquele que colabora neste serviço de ajuda não socorre apenas as necessidades dos crentes, mas dá ainda motivo para muitas graças a Deus. 
2CO.9.13	Ao verem a vossa ajuda, eles hão de louvar a Deus pela vossa fidelidade ao 
2CO.9.14	E pedindo a Deus a vosso favor, eles mostrarão quanto vos estimam, por causa da extraordinária 
2CO.9.15	Graças a Deus pelo seu dom maravilhoso.
2CO.10.1	Eu, Paulo, que quando estou presente costumo ser delicado, mas que de longe vos trato com dureza, tenho um pedido a fazer-vos em nome de 
2CO.10.2	Façam com que, quando eu estiver convosco, não me veja obrigado a tomar uma atitude dura contra alguns que dizem que nos guiamos por critérios humanos. 
2CO.10.3	Somos humanos, é certo. Mas não são humanos os nossos critérios de ação. 
2CO.10.4	As armas que utilizamos no combate não são apenas humanas, porque a sua força vem de Deus e deita por terra todas as fortalezas. Deitamos abaixo as ideias erradas 
2CO.10.5	e toda a espécie de arrogância que se levanta contra o conhecimento de Deus. E fazemos com que o pensamento humano obedeça a Cristo. 
2CO.10.6	Estamos prontos a castigar qualquer espécie de desobediência, até que a vossa obediência a Cristo seja completa.
2CO.10.7	Vocês veem as coisas pela aparência. Se alguém estiver convencido de que pertence a Cristo, esse que pense bem, porque assim como ele pertence a Cristo também nós a ele pertencemos. 
2CO.10.8	Se eu me gloriar excessivamente na autoridade que o Senhor nos deu para vossa edificação, e não para vossa ruína, não me envergonharei. 
2CO.10.9	Mas não quero dar a impressão de estar a meter-vos medo com as minhas cartas. 
2CO.10.10	Alguns dizem: «As cartas dele são pesadas e duras, mas quando ele cá está é fraco de corpo e a sua linguagem não vale nada.» 
2CO.10.11	Esses que fiquem a saber que eu sou a mesma pessoa, tanto no que digo de longe, por carta, tanto no que faço quando estou presente.
2CO.10.12	Claro que não ousamos comparar-nos ou a igualar-nos com aqueles que se apresentam como pessoas muito importantes, porque esses são insensatos, pois medem-se com a sua própria medida e comparam-se consigo mesmos. 
2CO.10.13	Não queremos orgulhar-nos desmedidamente do nosso trabalho, mas apenas na medida que Deus nos destinou, e que era a de chegar até vós. 
2CO.10.14	Se não tivéssemos chegado até aí, então não teríamos respeitado essa medida. Mas pelo contrário, chegámos até vós com o 
2CO.10.15	Não nos orgulhamos exageradamente do nosso trabalho, aproveitando-nos das fadigas dos outros. O que esperamos é que a vossa fé vá crescendo, e com ela a nossa influência no vosso meio, segundo a medida que Deus nos marcou
2CO.10.16	Esperamos ainda poder levar a 
2CO.10.17	Aquele que quiser orgulhar-se que se orgulhe no Senhor
2CO.10.18	Pois não é aquele que se apresenta a si mesmo como muito importante que fica aprovado, mas aquele que o Senhor apresentar como tal.
2CO.11.1	Gostava que me suportassem um pouco mais, mesmo que eu vos pareça insensato. Tenham paciência! 
2CO.11.2	O interesse que tenho pelo vosso bem-estar é tal que chego a ter ciúmes, em nome de Deus. São como uma 
2CO.11.3	Mas tenho receio que se corrompam no entendimento e abandonem a simplicidade e a pureza da fé em Cristo, assim como Eva foi seduzida pela astúcia da serpente
2CO.11.4	Pois são capazes de aceitar alguém que vos vá falar de um Jesus diferente daquele que vos anunciámos; e são capazes de dar acolhimento a um espírito diferente daquele que já receberam ou a um 
2CO.11.5	Ora eu acho que não sou nada inferior a esses tais grandes 
2CO.11.6	Talvez eu seja pobre em palavras, mas não em sabedoria. Em todas as coisas vos tenho dado provas disso.
2CO.11.7	Anunciei-vos o evangelho de Deus, sem exigir nenhum salário. Rebaixei-me para que pudessem elevar-se. Acham que fiz mal? 
2CO.11.8	Enquanto estive a trabalhar no vosso meio, outras 
2CO.11.9	Mas enquanto aí estive, mesmo se me faltava alguma coisa, nunca incomodei ninguém. Os crentes que vieram da 
2CO.11.10	Pela verdade de Cristo que está em mim, não quero perder essa honra em nenhuma região da 
2CO.11.11	E por quê? Porque não vos tenho amor? Deus bem sabe!
2CO.11.12	Mas procedo assim e hei de continuar a proceder. Não quero dar ocasião para se orgulharem aqueles que julgam ter as mesmas razões que eu tenho. 
2CO.11.13	Esses tais são falsos 
2CO.11.14	Não é de admirar, pois até o próprio 
2CO.11.15	Por isso não é nada de extraordinário que eles, que na realidade estão ao serviço do Diabo, se disfarcem em pessoas que trabalham na realização da vontade de Deus. Mas eles terão o fim que as suas obras merecem.
2CO.11.16	Volto a dizer: não pensem que sou insensato. Mas se pensam que o sou, então permitam que me glorie um pouco mais. 
2CO.11.17	Aquilo que vos digo não será de acordo com o que o Senhor quer, mas falo como se de facto fosse insensato, gloriando-me. 
2CO.11.18	Já que muitos se andam a gloriar por motivos humanos, também eu o vou fazer. 
2CO.11.19	Parece que na vossa sensatez aceitam bem os insensatos. 
2CO.11.20	Aceitam bem os que vos escravizam, vos exploram, vos desprezam e vos batem. 
2CO.11.21	Não tivemos coragem para fazer isso. Para minha vergonha o digo!
2CO.11.21	Mas se alguém tem motivos de orgulho — e aqui volto a falar como insensato — também eu os tenho. 
2CO.11.22	São hebreus de nascimento? Também eu
2CO.11.23	São servos de 
2CO.11.24	Fui cinco vezes castigado pelos judeus com trinta e nove chicotadas
2CO.11.25	Fui três vezes espancado e uma vez apedrejado
2CO.11.26	Tive de fazer viagens sem conta, sofrendo perigos nos rios; com ladrões, com os compatriotas, com os estrangeiros
2CO.11.27	Tive de suportar trabalhos e canseiras, muitas noites sem dormir, fome e sede, muitos dias sem comer, frio e falta de roupa. 
2CO.11.28	E, além do mais, tenho de carregar diariamente com o peso das preocupações de todas as 
2CO.11.29	Haverá alguém que esteja fraco que eu não me sinta fraco com ele? Haverá alguém que tropece sem que eu sofra também?
2CO.11.30	Se é permitido a alguém orgulhar-se, eu também me orgulho naquilo que sofro. 
2CO.11.31	Deus, 
2CO.11.32	Em Damasco, o representante do rei Aretas
2CO.11.33	Tiveram que me descer num cesto, por uma janela aberta no muro da cidade, e só assim consegui escapar das suas mãos
2CO.12.1	Embora não seja conveniente alguém gloriar-se é necessário que o faça para falar das visões e revelações que recebi do Senhor. 
2CO.12.2	Sei de alguém
2CO.12.3	Mas sei que esse homem foi elevado até ao 
2CO.12.4	E lá ouviu coisas maravilhosas, coisas que ninguém deve contar. 
2CO.12.5	É desse que eu me posso orgulhar. De mim não me quero orgulhar, a não ser das minhas fraquezas. 
2CO.12.6	E mesmo que eu me orgulhasse, não o faria de modo insensato, porque só diria a verdade. Mas quero evitar que alguém tenha de mim uma ideia acima do que pode observar e me ouve dizer. 
2CO.12.7	E para que eu não ficasse vaidoso com a grandeza dessas revelações, foi colocado no meu corpo um espinho
2CO.12.8	Por três vezes pedi ao Senhor que o afastasse de mim. 
2CO.12.9	Mas ele respondeu-me: «Basta que tenhas a minha 
2CO.12.10	Alegro-me, portanto, com as fraquezas, as injúrias, as privações, as perseguições e as angústias que passei por amor de Cristo. Pois quando me sinto fraco, então é que sou forte.
2CO.12.11	Fui insensato em falar assim. Mas obrigaram-me a isso, pois o vosso dever era defender-me. Ainda que eu não seja ninguém, não valho menos do que esses tais grandes 
2CO.12.12	Enquanto estava convosco dei provas de ser um verdadeiro apóstolo: comportei-me com toda a paciência, com 
2CO.12.13	Em que é que foram tratados com menos consideração do que as outras 
2CO.12.14	Estou disposto a ir aí pela terceira vez
2CO.12.15	Estou disposto a gastar tudo o que tenho e até a mim próprio para vosso bem. E se vos mostro tanto amor, será que vou ser menos amado?
2CO.12.16	Mesmo sabendo que não vos sobrecarreguei alguns podiam ainda pensar que vos tratei com esperteza e vos apanhei na armadilha. 
2CO.12.17	Será que vos enviei alguém para vos explorar? 
2CO.12.18	Pedi a Tito que aí fosse, juntamente com o outro companheiro
2CO.12.19	Talvez estejam há muito a pensar que queremos defender-nos aos vossos olhos. Mas falamos diante de Deus e o que fazemos é com o pensamento em 
2CO.12.20	Pois tenho receio de chegar aí e de vos encontrar diferentes daquilo que eu gostaria e também que vão achar-me diferente daquilo que esperavam. Tenho medo de vos encontrar metidos em lutas, invejas, irritações, inimizades, críticas, murmurações, arrogâncias e desordens. 
2CO.12.21	Que o meu Deus não me faça sentir vergonha diante de vós, quando eu aí chegar de novo. E que eu não tenha de chorar por muitos dos que no passado cometeram 
2CO.13.1	Vou visitar-vos pela terceira vez. Como diz a Sagrada 
2CO.13.2	Já vos avisei quando aí estive pela segunda vez e agora volto a fazê-lo. Aqueles que cometeram 
2CO.13.3	Assim vou dar-vos as provas que querem de que 
2CO.13.4	Pois foi crucificado em fraqueza, mas vive pelo poder de Deus. Assim também nós somos fracos nele mas viveremos com ele pelo poder de Deus para vosso benefício.
2CO.13.5	Façam um exame das vossas vidas e vejam bem se a vossa fé é verdadeira. Será que reconhecem a presença de Jesus Cristo nas vossas vidas? Se não, são reprovados por Deus! 
2CO.13.6	Espero que saibam que não somos reprovados por Deus. 
2CO.13.7	Pedimos a Deus que não façam nenhum mal. Não para que sejamos com isso aprovados, mas para que façam o bem, ainda que pareça que fomos reprovados. 
2CO.13.8	Com efeito, nada podemos fazer contra a verdade, mas sim a favor da verdade. 
2CO.13.9	Sentimos alegria em ser fracos, quando vos vemos assim fortes. O que pedimos é que cheguem à maturidade completa. 
2CO.13.10	Escrevo estas coisas antes de aí chegar, para não ter de proceder com dureza quando aí estiver. O Senhor deu-me autoridade para vos ajudar a crescer na fé e não para vos destruir.
2CO.13.11	Termino, 
2CO.13.12	Saúdem-se uns aos outros com um beijo fraterno.
2CO.13.12	Daqui, todos os irmãos na fé vos mandam saudações.
2CO.13.13	Que a 
GAL.1.1	Da parte de Paulo, designado 
GAL.1.2	e da parte de todos os 
GAL.1.3	Que Deus, nosso Pai, e Jesus Cristo, nosso Senhor, vos deem graça e paz. 
GAL.1.4	Foi Jesus Cristo que se entregou à morte, por causa dos nossos 
GAL.1.5	Glória lhe seja dada para sempre. 
GAL.1.6	Admiro-me muito que estejam a abandonar tão depressa aquele que vos chamou pela 
GAL.1.7	Não é que exista outro evangelho, mas a verdade é que há umas certas pessoas que vos causam confusão e que querem modificar o evangelho de Cristo. 
GAL.1.8	Que seja maldito quem vos anunciar um evangelho diferente daquele que vos anunciámos. Ainda que fôssemos nós próprios ou mesmo um 
GAL.1.9	Repito o que acabo de dizer: se alguém vos anunciar um evangelho diferente daquele que receberam, seja maldito!
GAL.1.10	Porventura procuro eu mais a aprovação dos homens do que a de Deus ou procuro agradar aos homens? Se procurasse agradar-lhes não seria verdadeiro 
GAL.1.11	Meus 
GAL.1.12	Pois não o recebi nem o aprendi de qualquer pessoa, mas foi Jesus 
GAL.1.13	Certamente já ouviram falar do modo como eu vivia quando seguia a religião judaica. Sabem como eu perseguia com violência a 
GAL.1.14	Estava a ultrapassar muitos outros judeus do meu tempo devido ao grande zelo pelas tradições dos meus antepassados. 
GAL.1.15	Mas Deus, pela sua graça, escolheu-me ainda antes de eu nascer e chamou-me para o servir. E, quando Deus assim o quis, 
GAL.1.16	deu-me a conhecer o seu Filho para que fosse anunciá-lo aos não-judeus. Não fui logo pedir conselhos a ninguém, 
GAL.1.17	nem voltei a Jerusalém para me encontrar com os que eram 
GAL.1.18	Passados três anos, fui a Jerusalém para me encontrar com Pedro e estive duas semanas com ele. 
GAL.1.19	E não vi nenhum outro apóstolo, a não ser Tiago, o 
GAL.1.20	O que vos escrevo é verdade. Deus sabe que não estou a mentir.
GAL.1.21	Depois, fui para as regiões da 
GAL.1.22	As igrejas de Cristo que estavam na Judeia não me conheciam pessoalmente. 
GAL.1.23	Apenas ouviam dizer: «Aquele que dantes nos perseguia agora anda a pregar a fé que primeiro queria destruir.» 
GAL.1.24	E davam glória a Deus por causa de mim.
GAL.2.1	Catorze anos mais tarde, voltei a Jerusalém. Fui com Barnabé e também levei Tito comigo. 
GAL.2.2	Fui lá porque Deus me tinha dado a conhecer que devia ir. Numa reunião particular com os 
GAL.2.3	Ora bem, Tito, que estava comigo e que não é judeu, não foi obrigado a receber a 
GAL.2.4	embora alguns que se faziam passar por 
GAL.2.5	Mas nem por um momento nos deixámos levar por eles, para que a verdade do evangelho pudesse chegar intacta até vós. 
GAL.2.6	Aqueles que eram reconhecidos como responsáveis não alteraram em nada a minha mensagem. Na verdade, a mim nem me importa o que eles eram, pois Deus não julga pelas aparências. 
GAL.2.7	Pelo contrário, eles reconheceram que Deus me tinha encarregado de anunciar o evangelho aos não-judeus, tal como tinha encarregado Pedro de anunciar o evangelho aos judeus. 
GAL.2.8	Tal como Deus atuou por meio de Pedro, em favor dos judeus, atuou por meu intermédio para os não-judeus. 
GAL.2.9	Tiago, Pedro e João, que eram os mais considerados, reconheceram que Deus me tinha confiado esta missão e deram-nos as mãos, a mim e a Barnabé, em sinal de acordo. E assim, concordámos em que nos dirigíssemos aos não-judeus, e eles aos judeus. 
GAL.2.10	Só nos recomendaram que nos lembrássemos dos pobres, coisa que eu sempre tenho procurado fazer.
GAL.2.11	Mas quando Pedro foi a Antioquia, resisti-lhe frontalmente, porque merecia ser repreendido. 
GAL.2.12	Com efeito, antes de terem chegado certas pessoas do grupo de Tiago, ele comia com os não-judeus. Mas quando chegaram essas pessoas, ele afastava-se e já não comia com eles, porque tinha medo dos partidários da 
GAL.2.13	Outros crentes de origem judaica caíram na mesma hipocrisia de Pedro e até o próprio Barnabé se deixou levar por essa atitude hipócrita. 
GAL.2.14	Quando vi que não estavam a comportar-se como deviam em relação à verdade do 
GAL.2.15	Nós somos judeus por nascimento e não somos pecadores como os não-judeus. 
GAL.2.16	Sabemos porém que uma pessoa não é justificada pelo cumprimento da 
GAL.2.17	Então se, procurando ser justificados pela nossa união com Cristo, somos considerados pecadores como esses tais, quer isso dizer que é Cristo promotor de 
GAL.2.18	Se volto a construir aquilo que tinha destruído, então mostro-me culpado.
GAL.2.19	Morri no que respeita à lei. Foi a mesma lei que me fez morrer para eu viver para Deus. Estou crucificado com Cristo. 
GAL.2.20	Por isso, já não sou eu que vivo; é Cristo que vive em mim. E a minha vida presente vivo-a por meio da fé no Filho de Deus que me amou e deu a sua vida por mim. 
GAL.2.21	Não desprezo a 
GAL.3.1	Ó gálatas sem juízo! Quem foi que vos fascinou? Eu tinha-vos feito ver Jesus 
GAL.3.2	Só quero que me digam isto: será que receberam o 
GAL.3.3	Como podem ser tão faltos de juízo? Começaram pelo 
GAL.3.4	Não vos serviu de nada a experiência que tiveram? Talvez tenha valido alguma coisa. 
GAL.3.5	Será então que Deus vos concede o seu Espírito e realiza prodígios no meio de vós porque cumprem o que manda a lei ou porque aceitam a fé?
GAL.3.6	É como aconteceu com Abraão que 
GAL.3.7	Pela mesma razão devem compreender que os que têm fé é que são os verdadeiros descendentes de Abraão. 
GAL.3.8	A Escritura tinha previsto que Deus havia de justificar os não-judeus por meio da fé. Foi assim que prometeu a Abraão: 
GAL.3.9	Abraão acreditou e foi abençoado; e assim todos aqueles que creem são abençoados com ele.
GAL.3.10	Os que estão sujeitos à Lei de Moisés estão sujeitos à maldição, pois está escrito: 
GAL.3.11	É evidente que, pela lei, ninguém será justificado perante Deus, pois a Escritura afirma: 
GAL.3.12	Ora a lei não tem que ver com a fé, pois diz: 
GAL.3.13	Cristo libertou-nos da maldição da lei, tornando-se ele maldito por nossa causa. Com efeito, a Escritura diz: 
GAL.3.14	Aconteceu assim para que a bênção prometida por Deus a Abraão chegasse aos não-judeus por meio de Jesus Cristo, e para que recebêssemos pela fé o Espírito prometido por Deus.
GAL.3.15	Meus 
GAL.3.16	Ora bem, Deus fez as suas promessas a Abraão e à sua descendência. A 
GAL.3.17	O que eu quero dizer é isto: Deus fez um 
GAL.3.18	Ora, se aquilo que Deus dá como herança dependesse da lei, não seria através da promessa. Mas foi pela promessa que Deus o concedeu a Abraão.
GAL.3.19	Para que serve então a lei? A lei veio depois para mostrar aquilo que é contra a vontade de Deus. E só devia durar até que viesse aquela descendência, a quem a promessa se destinava. Essa lei foi dada pelos 
GAL.3.20	Mas não é preciso mediador, quando se trata de uma só pessoa; e Deus é um só.
GAL.3.21	Quer isto dizer que a 
GAL.3.22	Mas a 
GAL.3.23	Antes de chegar a fé, a lei mantinha-nos prisioneiros, à espera que a fé fosse dada a conhecer. 
GAL.3.24	Dessa maneira, a lei foi a nossa educadora, até que viesse Cristo, a fim de sermos justificados por meio da fé. 
GAL.3.25	Agora que veio o tempo da fé, já não estamos sujeitos à lei como nossa educadora.
GAL.3.26	Pois pela fé que vos une a Jesus Cristo são todos filhos de Deus. 
GAL.3.27	Com efeito, todos os que foram batizados em Cristo revestiram-se das qualidades de Cristo. 
GAL.3.28	Não há diferença entre judeus e não-judeus, entre escravos e pessoas livres, entre homem e mulher
GAL.3.29	E se são de Cristo, então são descendência de Abraão e herdeiros de acordo com a promessa.
GAL.4.1	Quero ainda dizer isto: enquanto o herdeiro é menor, não é diferente do escravo, apesar de ser dono de tudo. 
GAL.4.2	Tem de estar sujeito aos que cuidam dele e tratam das suas coisas, até ao tempo que o pai determinou
GAL.4.3	Passa-se o mesmo connosco. Enquanto éramos menores, estávamos sujeitos às normas deste mundo
GAL.4.4	Mas quando chegou o tempo devido, Deus enviou o seu Filho que nasceu de uma mulher e esteve sujeito à lei judaica, 
GAL.4.5	a fim de libertar os que estavam sujeitos à lei, para nos tornar filhos de Deus.
GAL.4.6	Para provar que já são filhos, Deus enviou o Espírito de seu Filho aos nossos 
GAL.4.7	Assim, já não és escravo, mas filho. E, sendo filho, também és herdeiro pela vontade de Deus.
GAL.4.8	Devido ao vosso desconhecimento de Deus, dantes eram escravos de deuses que não eram realmente deuses. 
GAL.4.9	Mas agora que conhecem a Deus, ou melhor, que Deus já vos conhece, como é possível voltarem a ser escravos de coisas fracas e que não prestam para nada? 
GAL.4.10	Por que é que dão tanto valor religioso a certos dias, meses, estações e anos
GAL.4.11	Receio que o meu trabalho no vosso meio tenha sido inútil.
GAL.4.12	Peço-vos, meus 
GAL.4.13	Lembram-se que da primeira vez que vos anunciei o 
GAL.4.14	E, apesar de o meu corpo doente vos ter causado dificuldades, não me desprezaram nem me rejeitaram. Pelo contrário, receberam-me como um 
GAL.4.15	Onde está agora aquela vossa felicidade? Eu posso dar testemunho de que, se fosse possível, até eram capazes de tirar os olhos para mos dar. 
GAL.4.16	Porventura tornei-me agora vosso inimigo por vos dizer a verdade?
GAL.4.17	O interesse que essa gente mostra a vosso respeito não é bem-intencionado. O que eles querem é separar-vos de mim para depois vos levarem a interessar-se por eles. 
GAL.4.18	É bom preocuparem-se sempre com o bem e não só quando estou aí presente. 
GAL.4.19	Meus filhos, eu sofro de novo as dores de parto por vossa causa até que Cristo esteja formado em vós. 
GAL.4.20	Bem desejaria estar agora aí para vos poder falar doutra maneira, porque estou muito preocupado convosco.
GAL.4.21	Se o vosso desejo é estarem sujeitos à 
GAL.4.22	Pois, conforme está escrito, Abraão teve dois filhos, um da escrava e outro da mulher que era livre. 
GAL.4.23	O filho da escrava veio ao mundo como qualquer criança, mas o filho da mulher livre veio ao mundo em virtude da promessa de Deus. 
GAL.4.24	Isto tem um significado mais profundo. As duas mulheres representam duas 
GAL.4.25	Ora, Agar representa o Monte Sinai na Arábia e corresponde à atual cidade de Jerusalém, que é escrava com os seus filhos. 
GAL.4.26	Mas a Jerusalém celestial é livre e é a nossa mãe. 
GAL.4.27	Pois a Sagrada 
GAL.4.28	Meus 
GAL.4.29	Mas como outrora, o filho que veio ao mundo como qualquer outro, perseguiu o que veio ao mundo segundo o 
GAL.4.30	Mas que diz a Sagrada Escritura? Diz isto: 
GAL.4.31	Por isso, meus irmãos, nós não somos filhos da escrava, mas da mulher livre.
GAL.5.2	Eu, Paulo, digo-vos que se recebem a 
GAL.5.3	Volto de novo a dizer a todo o homem que se circuncida que está obrigado a cumprir tudo o que manda a 
GAL.5.4	Todos os que pretendem ser justificados por cumprirem a lei, separaram-se de Cristo e afastaram-se da 
GAL.5.5	Quanto a nós, pela fé e pelo poder do Espírito, esperamos o dia em que Deus nos justificará. 
GAL.5.6	Se estamos unidos a Cristo Jesus, não importa se alguma vez recebemos a circuncisão ou não. O que importa é a fé que se realiza por meio do amor.
GAL.5.7	Andavam no bom caminho. Quem fez com que deixassem de seguir a verdade? 
GAL.5.8	O Deus que vos chamou não foi quem vos induziu a isso. 
GAL.5.9	Um pouco de 
GAL.5.10	Eu, porém, tenho confiança no Senhor de que vão concordar comigo. Pois Deus castigará quem vos desorienta, seja ele quem for.
GAL.5.11	Quanto a mim, meus 
GAL.5.12	Aqueles que vos andam a desorientar com a circuncisão seria melhor que se castrassem
GAL.5.13	Meus irmãos, foram chamados para a liberdade. Que essa liberdade não seja uma desculpa para seguirem os vossos maus instintos. Pelo contrário, ponham-se ao serviço uns aos dos outros, praticando o amor de Cristo. 
GAL.5.14	De facto, toda a lei de Deus se resume num só mandamento: 
GAL.5.15	Mas tenham cuidado! Se andam a morder-se e a devorar-se uns aos outros, acabarão por destruir-se.
GAL.5.16	Digo-vos pois: vivam segundo o 
GAL.5.17	É que esses instintos são contrários ao Espírito, e o Espírito é contra tais instintos. 
GAL.5.18	Se se deixarem orientar pelo Espírito, então já não estão sujeitos à 
GAL.5.19	São bem conhecidas as obras dos maus instintos: desregramentos sensuais, imoralidades, libertinagem, 
GAL.5.20	idolatria, superstição, inimizades, intrigas, ciúmes, iras, rivalidades, discórdias, divisões, 
GAL.5.21	invejas, embriaguez, abusos na comida e outras coisas semelhantes. Previno-vos, como já o fiz de outras vezes, de que os que fazem tais coisas não herdarão o 
