GEN.1.1	No princípio Deus criou o céu e a Terra. 
JHN.12.42	Por outro lado, muitos dos líderes judeus acreditavam nele, sem contudo o confessarem, receosos de que os fariseus os expulsassem da sinagoga
JHN.12.43	Porquanto davam mais apreço ao louvor dos homens do que ao louvor a Deus.
JHN.12.44	Jesus clamou à multidão: “Quem crê em mim crê naquele que me enviou! 
JHN.12.45	E quem me vê a mim vê aquele que me enviou! 
JHN.12.46	Vim como a luz que veio ao mundo para que todo o que crê em mim não fique nas trevas. 
JHN.12.47	Se alguém ouvir as minhas palavras e não crer, não sou eu quem o julga, pois vim para salvar o mundo e não para julgá-lo. 
JHN.12.48	Mas todos quantos me rejeitam, a mim e as minhas palavras, serão julgados no dia do julgamento pelas próprias palavras que lhes falei. 
JHN.12.49	Porque o que tenho falado não é de mim mesmo. Apenas vos disse o que o Pai me mandou que vos comunicasse. 
JHN.12.50	Os seus preceitos conduzem à vida eterna. Por isso, digo tudo o que ele me mandou dizer.”
JHN.13.1	Antes da festa da Páscoa, Jesus já sabia que aquela seria a sua última noite neste mundo antes de voltar para junto do Pai. Quanto aos discípulos que tinha no mundo, amou-os sempre da forma mais perfeita até ao fim! 
JHN.13.2	Decorria o jantar e o Diabo já convencera Judas Iscariotes, filho de Simão, a traí-lo. 
JHN.13.3	Jesus sabia que o Pai colocara tudo nas suas mãos e que viera de Deus e para Deus voltaria.
JHN.13.4	Depois da ceia, levantou-se da mesa, despiu a túnica e pôs uma toalha à volta da cintura. 
JHN.13.5	E, deitando água numa bacia, começou a lavar os pés dos discípulos e a enxugá-los com a toalha.
JHN.13.6	Quando chegou a vez de Simão Pedro, este observou: “Mestre, não devias lavar-me os pés.”
JHN.13.7	Jesus retorquiu: “Agora não entendes o que faço, mas virá o dia em que compreenderás.”
JHN.13.8	“Não!”, protestou Pedro. “Não consinto que me laves os pés!”
JHN.13.8	“Se não deixares, não poderás ter parte comigo.”
JHN.13.9	Simão Pedro respondeu: “Senhor, então não só os pés, mas as mãos e a cabeça!”
JHN.13.10	Jesus respondeu: “Aquele que se lavou por completo só precisa de lavar os pés para se manter limpo. Agora estás limpo, mas nem todos aqui estão limpos.”
JHN.13.11	Pois Jesus sabia quem o ia trair. Por isso, disse: “Nem todos estão limpos.”
JHN.13.12	Depois de lhes ter lavado os pés, tornou a vestir a túnica, sentou-se e perguntou-lhes: “Compreendem o que eu fiz? 
JHN.13.13	Chamam-me Mestre e Senhor, e fazem bem, porque é verdade. 
JHN.13.14	E uma vez que eu, Senhor e Mestre, vos lavei os pés, também devem lavar os pés uns aos outros. 
JHN.13.15	Dei-vos o exemplo! Façam como eu vos fiz! 
JHN.13.16	É realmente como vos digo: o servo não é maior do que o seu senhor, nem o mensageiro maior do que quem o enviou! 
JHN.13.17	Agora que sabem estas coisas, serão felizes se as praticarem.
JHN.13.18	Ao dizer estas coisas, não me refiro a todos sem exceção, porque vos conheço bem. Eu próprio vos escolhi! As Escrituras dizem: ‘O que comia do meu pão, até esse me trai’
JHN.13.19	Digo-vos isto agora para que, quando acontecer, possam crer que eu sou quem sou. 
JHN.13.20	É realmente como vos digo: quem receber quem eu enviar é a mim que recebe. E quem me receber recebe quem me enviou.”
JHN.13.21	Nesse momento, Jesus começou a angustiar-se e exclamou: “É realmente como vos digo: um de vocês vai trair-me!”
JHN.13.22	Os discípulos entreolharam-se sem saberem a quem se referia. 
JHN.13.23	Um deles, que estava à mesa, ao lado de Jesus, era o seu amigo mais íntimo. 
JHN.13.24	Simão Pedro fez-lhe sinal para que lhe perguntasse de quem falava. 
JHN.13.25	Então inclinando-se para Jesus, perguntou-lhe: “Senhor, quem é?”
JHN.13.26	Jesus disse: “Aquele a quem eu der o pão ensopado no molho.” Depois de ter molhado um pedaço de pão, deu-o a Judas, filho de Simão Iscariotes. 
JHN.13.27	Logo que Judas o comeu, Satanás entrou nele e Jesus disse-lhe: “O que pretendes fazer fá-lo já.” 
JHN.13.28	Nenhum dos outros que estavam à mesa percebeu com que propósito Jesus lhe dissera aquilo. 
JHN.13.29	Alguns pensavam que, como Judas era o tesoureiro, Jesus o mandara pagar a refeição ou dar dinheiro aos pobres. 
JHN.13.30	Judas saiu imediatamente e desapareceu na noite.
JHN.13.31	Logo depois, Jesus disse: “Chegou a hora da glória do Filho do Homem e Deus receberá glória por ele. 
JHN.13.32	E se a glória de Deus é manifestada pelo seu Filho, Deus glorificá-lo-á em si próprio e glorificá-lo-á em breve. 
JHN.13.33	Meus queridos filhos, vou estar convosco por pouco tempo mais! E então, apesar de me procurarem, para onde eu vou não podem vocês ir, tal como disse aos judeus. 
JHN.13.34	Assim, dou-vos agora um novo mandamento: que se amem uns aos outros. Como eu vos tenho amado, assim devem amar-se uns aos outros. 
JHN.13.35	O vosso amor uns pelos outros provará ao mundo que são meus discípulos.”
JHN.13.36	Simão Pedro perguntou: “Senhor, para onde vais?”
JHN.13.36	E Jesus replicou: “Agora não podes ir comigo, mas seguir-me-ás mais tarde.”
JHN.13.37	“Porque é que não posso ir agora, se estou pronto a morrer por ti?”
JHN.13.38	Jesus respondeu: “Morrer por mim? Antes que o galo cante de madrugada, três vezes negarás que me conheces!”
JHN.14.1	“Que o vosso coração não se aflija. Creem em Deus, creiam também em mim. 
JHN.14.2	Há muitas moradas onde vive o meu Pai e vou aprontá-las para a vossa chegada. 
JHN.14.3	Quando tudo estiver pronto, então virei para vos levar, para que possam estar sempre comigo onde eu estiver. Se assim não fosse, eu próprio vos teria dito claramente. 
JHN.14.4	Aliás, vocês sabem para onde vou e como se vai para lá.”
JHN.14.5	“Não, não sabemos!”, interrompeu Tomé. “Se não fazemos a menor ideia para onde vais, como podemos conhecer o caminho?”
JHN.14.6	Jesus disse-lhe: “Sou eu o caminho. Sim, e a verdade e a vida. Ninguém pode chegar ao Pai sem ser através de mim. 
JHN.14.7	Se tivessem sabido quem sou, então saberiam também quem é o meu Pai. A partir de agora, já o conhecem e o têm visto!”
JHN.14.8	Filipe disse: “Senhor, mostra-nos o Pai, e isso nos basta.”
JHN.14.9	Jesus respondeu: “Ainda não sabes quem eu sou, Filipe, mesmo depois de todo este tempo que passei convosco? Todo aquele que me viu, viu também o Pai. Então, porque me pedes para o veres? 
JHN.14.10	Não acreditas que eu estou no Pai e que o Pai está em mim? As palavras que digo não são minhas, mas vêm do meu Pai, que vive em mim. E é através de mim que ele realiza as suas obras. 
JHN.14.11	Creiam somente que estou no Pai e que o Pai está em mim. Ou então acreditem por causa das obras que me viram fazer.
JHN.14.12	É realmente como vos digo: quem crer em mim fará as mesmas obras que eu, e maiores até, porque vou para junto do Pai. 
JHN.14.13	Podem pedir-lhe tudo, em meu nome, que eu o farei, pois isso contribuirá para a glória do Pai, por causa daquilo que eu, o Filho, farei por vocês. 
JHN.14.14	Se pedirem qualquer coisa em meu nome, eu o farei.
JHN.14.15	Se me amam, obedeçam-me. 
JHN.14.16	E eu pedirei ao Pai que vos envie outro Consolador
JHN.14.17	Ele é o Espírito Santo, o Espírito que conduz a toda a verdade. O mundo não o pode receber, porque não o procura nem o reconhece. Mas vocês, sim, pois ele vive convosco e estará mesmo no vosso íntimo. 
JHN.14.18	Não, não vos abandonarei nem vos deixarei órfãos; antes virei até vós. 
JHN.14.19	Mais um pouco e terei saído do mundo, mas continuarei convosco. Pois tornarei a viver e vocês também. 
JHN.14.20	Quando eu voltar à vida, hão de saber que eu estou no meu Pai, e vocês em mim e eu em vocês. 
JHN.14.21	Aquele que tem os meus mandamentos e lhes obedece é aquele que me ama. E, por ele me amar, meu Pai o amará; e também eu o amarei e me revelarei a ele.”
JHN.14.22	Judas (não o Judas Iscariotes) perguntou-lhe: “Senhor, porque é que te revelarás unicamente a nós e não a todo o mundo?”
JHN.14.23	Jesus respondeu: “Só me revelarei àqueles que me amam e me obedecem. Também o Pai os amará e viremos para eles e com eles viveremos. 
JHN.14.24	Aquele que não me obedece não me ama. Esta resposta à vossa pergunta não é imaginação minha! É a resposta dada pelo Pai que me enviou. 
JHN.14.25	Digo-vos estas coisas enquanto estou ainda convosco. 
JHN.14.26	Mas o Pai mandará o conselheiro em meu nome, esse Consolador é o Espírito Santo, e ele vos ensinará todas as coisas e vos lembrará tudo o que eu próprio vos tenho dito.
JHN.14.27	Deixo-vos a minha paz. E a paz que eu dou não é como aquela que o mundo dá. Por isso, não se aflijam nem tenham receio. 
JHN.14.28	Lembrem-se do que vos disse: Retiro-me, mas voltarei de novo para vocês. Se realmente me amam, sentir-se-ão felizes, pois agora posso ir para o Pai, que é maior do que eu. 
JHN.14.29	Disse-vos estas coisas antes de acontecerem para que, quando se realizarem, possam crer.
JHN.14.30	Não tenho muito mais tempo para falar convosco, pois aproxima-se o chefe deste mundo. Ele não tem poder sobre mim. 
JHN.14.31	Mas o mundo deve saber que amo o Pai e que faço exatamente aquilo que o meu Pai me mandou fazer. Levantem-se! Vamos!”
JHN.15.1	“Eu sou a videira verdadeira e o meu Pai é o lavrador. 
JHN.15.2	Ele corta todos os ramos que não produzem fruto. E, aos que produzem, poda-os para que frutifiquem ainda mais. 
JHN.15.3	Ele já cuidou de vocês, podando-vos para que tenham mais vigor e utilidade, graças aos ensinamentos que vos dei. 
JHN.15.4	Tenham o cuidado de viver em mim e deixem-me viver em vocês. Porque um ramo não pode dar fruto quando separado da videira. Por isso, não poderão dar fruto afastados de mim.
JHN.15.5	Sim, eu sou a videira e vocês são os ramos. Aquele que viver em mim e eu nele produzirá muito fruto. Pois sem mim nada podem fazer. 
JHN.15.6	Se alguém se separar de mim, será lançado fora por ser um ramo inútil; seca e é posto com todos os outros que serão depois queimados. 
JHN.15.7	Mas se continuarem em mim e obedecerem aos meus mandamentos, poderão pedir o que quiserem, que vos será concedido. 
JHN.15.8	Os meus verdadeiros discípulos produzem muito fruto, o que traz grande glória ao meu Pai.
JHN.15.9	Amei-vos como o Pai me amou. Vivam no meu amor. 
JHN.15.10	Se guardarem os meus mandamentos estarão a viver no meu amor, assim como eu obedeço ao meu Pai e vivo no seu amor. 
JHN.15.11	Disse-vos isto para que possam encher-se da minha alegria. Sim, a vossa taça de alegria transbordará! 
JHN.15.12	Mando-vos que se amem uns aos outros como eu vos amei. 
JHN.15.13	E é esta a medida: o maior amor é mostrado quando alguém dá a vida pelos seus amigos. 
JHN.15.14	E vocês serão meus amigos se fizerem o que vos mando. 
JHN.15.15	Já não vos chamo criados, pois estes não acompanham o que faz o patrão. Vocês são meus amigos, e a prova disso é o facto de vos ter revelado tudo o que o Pai me disse. 
JHN.15.16	Não foram vocês que me escolheram, mas fui que vos escolhi e vos nomeei para irem e produzirem fruto, e fruto que perdure, para que o Pai vos dê tudo o que lhe pedirem em meu nome. 
JHN.15.17	É pois isto o que vos mando: que se amem uns aos outros!
JHN.15.18	Se o mundo vos aborrece, primeiro me aborreceu a mim. 
JHN.15.19	O mundo amar-vos-ia se lhe pertencessem; mas vocês não lhe pertencem. Eu vos escolhi para sairem do mundo, e por isso o mundo vos odeia. 
JHN.15.20	Lembrem-se do que vos disse: O servo não é maior do que o seu senhor! Assim, visto que me perseguiram, também vos perseguirão. Se me tivessem escutado, também vos escutariam. 
JHN.15.21	A gente do mundo perseguir-vos-á por me pertencerem, pois não conhecem a Deus que me enviou. 
JHN.15.22	Se eu não tivesse vindo e não lhes tivesse falado, não seriam culpados. Mas agora o seu pecado não tem desculpa. 
JHN.15.23	Qualquer que me repudia, repudia também o meu Pai. 
JHN.15.24	Se eu não tivesse feito entre eles as coisas que mais ninguém fez, não seriam considerados culpados. Mas eles viram esses milagres, e mesmo assim aborreceram-nos, a mim e ao meu Pai. 
JHN.15.25	Assim se cumpriu o que está escrito na sua Lei: ‘Odeiam-me sem motivo.’
JHN.15.26	Contudo, mandar-vos-ei o Consolador, o Espírito da verdade. Ele virá desde o Pai e vos dirá tudo a meu respeito. 
JHN.15.27	E também vocês devem testemunhar de mim, porque têm estado comigo desde o princípio.”
JHN.16.1	“Disse-vos estas coisas para que não se desviem. 
JHN.16.2	Porque serão expulsos das sinagogas. Aproxima-se o momento em que aqueles que vos matarem julgarão ter feito um serviço a Deus. 
JHN.16.3	Porque nunca conheceram nem o Pai nem a mim. 
JHN.16.4	Sim, digo-vos estas coisas agora para que, quando chegar o momento, se lembrem de que vos avisei. Não vos disse mais cedo, porque ia ainda estar convosco mais algum tempo.
JHN.16.5	Agora, volto para aquele que me enviou, mas nenhum de vocês me pergunta para onde vou. 
JHN.16.6	Em vez disso, sentem apenas tristeza. 
JHN.16.7	Na verdade, é melhor que eu vá, porque se eu não for não virá o Consolador. Se eu for, ele virá, pois vou enviá-lo. 
JHN.16.8	E quando ele vier, convencerá o mundo do pecado, de que têm de contar com a justiça de Deus e de que haverá um juízo. 
JHN.16.9	O pecado do mundo é não crer em mim. 
JHN.16.10	Haverá justiça porque eu vou para o Pai e vocês não me verão mais. 
JHN.16.11	O juízo virá porque o chefe deste mundo já foi julgado.
JHN.16.12	Ficam ainda tantas outras coisas que vos queria dizer, mas agora não as podem suportar!
JHN.16.13	Mas quando o Espírito da verdade vier, ele vos guiará em toda a verdade. Ele não apresentará as suas próprias ideias, mas irá transmitir aquilo que ouviu. Ele vos revelará o futuro. 
JHN.16.14	Glorificar-me-á, pois recebê-la-á de mim e vo-la mostrará. 
JHN.16.15	Tudo quanto o Pai tem é meu e é isto que vos quero dizer ao afirmar que a receberá de mim e vo-la mostrará.
JHN.16.16	Mais um pouco de tempo e terei partido, e não me tornarão a ver! Mais um pouco de tempo ainda e ver-me-ão de novo!”
JHN.16.17	“Mas o que está ele a dizer?”, interrogavam-se os discípulos. “Que é isto quando ele diz: ‘Não me verão, mas mais tarde hão de ver-me’? Que quer dizer: ‘Eu vou para o Pai’? 
JHN.16.18	E o que significa: ‘Um pouco mais tarde’? Não entendemos!”
JHN.16.19	Jesus percebeu que pretendiam que se explicasse melhor e disse: “Interrogam-se sobre o que quero dizer? 
JHN.16.20	É realmente como vos digo: num breve tempo partirei e não me verão mais. Então um pouco mais tarde, vocês me verão de novo. O mundo ficará feliz com o que me vai acontecer e vocês chorarão. Mas o vosso choro se transformará de súbito em alegria. 
JHN.16.21	É a mesma alegria que tem uma mulher quando nasce o seu filho, pois ao medo segue-se o encanto, e a dor fica esquecida. 
JHN.16.22	Agora estão desgostosos, mas eu tornarei a ver-vos, e então alegrar-se-ão; e essa alegria ninguém a poderá roubar. 
JHN.16.23	E naquele dia não precisarão de me pedir nada. É realmente como vos digo, para que o Pai vos dê tudo o que lhe pedirem em meu nome. 
JHN.16.24	Ainda não experimentaram fazê-lo; mas peçam, invocando o meu nome, e receberão, e terão alegria abundante.
JHN.16.25	Falei-vos destas coisas por meio de parábolas, mas virá o momento em que isso não será necessário e de forma bem clara vos revelarei o Pai. 
JHN.16.26	Então poderão apresentar os vossos pedidos em meu nome. E não será preciso eu pedir ao Pai por vós; 
JHN.16.27	pois o Pai ama-vos muito por me amarem e crerem que venho dele. 
JHN.16.28	Sim, vim do Pai a este mundo e deixarei o mundo para voltar para o Pai!”
JHN.16.29	“Até que enfim falas claramente e não por parábolas!”, reconheceram os discípulos. 
JHN.16.30	“Agora compreendemos que sabes tudo e sabes até o que precisamos de conhecer, sem te interrogarmos. Por isso, acreditamos que foi de Deus que vieste.”
JHN.16.31	Jesus disse: “Acreditam finalmente? 
JHN.16.32	Mas virá o momento, e é agora, em que serão espalhados, cada um seguindo o seu próprio caminho, deixando-me só. No entanto, não estarei sozinho, porque o Pai está comigo! 
JHN.16.33	Disse-vos tudo isto para que tenham paz. Aqui na Terra terão muitos sofrimentos. Mas tenham coragem, porque eu venci o mundo!”
JHN.17.1	Depois de ter falado em todas estas coisas, Jesus levantou o olhar para o céu e disse: “Pai, chegou a hora. Revela a glória do teu Filho para que ele te possa dar também glória a ti. 
JHN.17.2	Porque lhe deste autoridade sobre cada ser humano em toda a terra. Ele dá a vida eterna a todo aquele que tu lhe confiaste. 
JHN.17.3	E a vida eterna significa conhecer-te a ti, o único Deus verdadeiro, e a Jesus Cristo a quem enviaste ao mundo. 
JHN.17.4	Trouxe-te glória aqui na Terra fazendo o que me deste a fazer. 
JHN.17.5	E agora, Pai, dá-me a glória que eu tinha junto de ti, antes do mundo existir.
JHN.17.6	Revelei-te a estes homens. Eles estavam no mundo, mas depois deste-mos. Foram sempre teus e tu deste-mos e têm obedecido à tua palavra. 
JHN.17.7	Agora sabem que tudo o que tenho provém de ti. 
JHN.17.8	Porque lhes transmiti as ordens que me deste; e eles aceitaram-nas e sabem de certeza que eu desci à Terra vindo de ti, e creem que me enviaste.
JHN.17.9	Peço, não pelo mundo, mas por aqueles que me deste, porque te pertencem. 
JHN.17.10	E todos eles, uma vez que são meus, pertencem a ti também; e tu mos tornaste a dar com tudo o mais que é teu, e assim eles são a minha glória. 
JHN.17.11	Agora vou deixar o mundo e deixá-los também, para ir para junto de ti. Pai Santo, guarda sob o teu cuidado todos aqueles que me deste, para que permaneçam unidos, como nós estamos unidos. 
JHN.17.12	Durante o tempo que aqui estive, tenho conservado seguros em teu nome todos estes que me deste, guardando-os de modo que nenhum se perdeu, exceto aquele que tinha de perder-se, conforme predisseram as Escrituras.
JHN.17.13	E agora vou para junto de ti. Disse-lhes muitas coisas, enquanto estive com eles, para que ficassem cheios da minha alegria. 
JHN.17.14	Dei-lhes a tua palavra. E o mundo quer-lhes mal, porque não se adaptam ao mundo, como eu também nele não tenho lugar. 
JHN.17.15	Não te peço que os tires do mundo, mas que os conserves a salvo do Maligno. 
JHN.17.16	Eles não são parte deste mundo, como também eu o não sou. 
JHN.17.17	Torna-os santos, ensinando-lhes as tuas palavras da verdade. 
JHN.17.18	Assim como me enviaste ao mundo, também eu os envio ao mundo. 
JHN.17.19	E em benefício deles eu me santifico, para que também eles sejam santificados na verdade.
JHN.17.20	Não oro só por estes, mas também por todos os futuros crentes que venham a mim pelo testemunho que estes derem. 
JHN.17.21	E a minha oração por todos eles é que estejam unidos, como tu e eu o estamos, Pai. Para que, assim como estás em mim e eu em ti, também eles estejam em nós, para que o mundo acredite que tu me enviaste.
JHN.17.22	Dei-lhes a glória que me deste, para que possam ser um, como nós o somos. 
JHN.17.23	Eu neles e tu em mim, e tudo perfeito num só, para que o mundo saiba que me enviaste e compreenda que os amas tanto como tu me amas a mim. 
JHN.17.24	Pai, quero tê-los comigo, aqueles que me deste, para que possam ver a minha glória. Essa glória que tu me deste, por me amares antes do princípio do mundo.
JHN.17.25	Pai justo, o mundo não te conhece, mas eu conheço-te e estes discípulos sabem que me enviaste. 
JHN.17.26	Revelei-lhes o teu nome e continuarei a revelar-lho, para que o amor que tens por mim esteja neles e eu neles esteja também.”
JHN.18.1	Depois de dizer estas coisas, Jesus atravessou o vale de Cedron com os discípulos e entrou num olival. 
JHN.18.2	Um local conhecido de Judas, o traidor, por Jesus ali ter ido muitas vezes com os discípulos. 
JHN.18.3	Os principais sacerdotes e fariseus tinham dado a Judas um destacamento de soldados e guardas que o acompanharam. Chegaram ao olival à luz de archotes e lanternas, e de armas na mão.
JHN.18.4	Jesus sabia bem tudo o que lhe ia acontecer e, avançando ao encontro deles, perguntou: “Quem procuram?”
JHN.18.5	“Jesus de Nazaré”, responderam.
JHN.18.5	“Sou eu!”, disse Jesus. Judas estava ali com eles quando Jesus se identificou.
JHN.18.6	Quando Jesus disse: “Sou eu!”, todos recuaram e caíram por terra. 
JHN.18.7	Uma vez mais lhes perguntou: “Quem procuram?”
JHN.18.7	“Jesus de Nazaré.”
JHN.18.8	“Já vos disse que sou eu”, disse-lhes Jesus. “Uma vez que é a mim que procuram, deixem estes outros ir embora.” 
JHN.18.9	Procedeu assim em cumprimento daquilo que tinha dito, havia pouco tempo, quando orava: “Não perdi um único daqueles que me deste.”
JHN.18.10	Então Simão Pedro puxou de uma espada e cortou a orelha direita de Malco, servo do sumo sacerdote. 
JHN.18.11	Porém, Jesus disse a Pedro: “Guarda a espada! Não devo eu beber o cálice que o meu Pai me deu?”
JHN.18.12	Os guardas dos judeus e os soldados, mais o comandante, prenderam Jesus e amarraram-no. 
JHN.18.13	E levaram-no primeiro a Anás, sogro de Caifás, que era o sumo sacerdote daquele ano. 
JHN.18.14	Fora Caifás quem dissera aos outros anciãos: “É preferível que morra um único homem pelo povo.”
JHN.18.15	Simão Pedro seguiu-os, assim como um outro discípulo que era conhecido do sumo sacerdote. Por isso, esse outro discípulo foi autorizado a entrar no pátio juntamente com Jesus, 
JHN.18.16	enquanto que Pedro ficou fora do portão. O outro discípulo, que era conhecido do sumo sacerdote, voltou e falou à criada que guardava o portão, e esta deixou Pedro entrar. 
JHN.18.17	A criada perguntou a Pedro: “Não és um dos discípulos de Jesus?”
JHN.18.17	“Não, não sou!”, respondeu.
JHN.18.18	Os guardas e os criados estavam à volta de uma fogueira que tinham feito, pois o tempo ia frio. Pedro encontrava-se com eles, a aquecer-se.
JHN.18.19	Lá dentro, o sumo sacerdote começou a interrogar Jesus acerca dos seus discípulos e do que lhes andara a ensinar. 
JHN.18.20	Jesus respondeu: “O que tenho ensinado é bem conhecido, pois preguei com regularidade nas sinagogas e no templo. Todos os judeus me ouviram e nada ensinei em particular que não tivesse já dito em público. 
JHN.18.21	Aliás, porque me fazes tal pergunta? Interroga aqueles que me ouviram. Alguns estão aqui e sabem o que eu disse.”
JHN.18.22	Um dos soldados que ali se encontrava deu-lhe uma bofetada: “É assim que respondes ao sumo sacerdote?”
JHN.18.23	“Se menti, prova-o!”, replicou Jesus. “Se não, porque me feres?”
JHN.18.24	Então Anás enviou Jesus amarrado, a Caifás, o sumo sacerdote.
JHN.18.25	Entretanto, estando Simão Pedro junto à fogueira, tornaram a perguntar-lhe: “Não és um dos seus discípulos?”
JHN.18.25	“Não sou, não!”, disse Pedro.
JHN.18.26	Mas um dos criados da casa do sumo sacerdote, parente do homem cuja orelha Pedro tinha cortado, perguntou: “Não foi a ti que eu vi no olival com Jesus?” 
JHN.18.27	Uma vez mais, Pedro negou. E imediatamente cantou um galo.
JHN.18.28	O julgamento de Jesus na presença de Caifás só acabou de madrugada. Levaram-no em seguida para o palácio do governador romano. Os seus acusadores não podiam entrar, porque isso os tornaria impuros, segundo diziam, impedindo-os de comer o cordeiro pascal. 
JHN.18.29	Assim, Pilatos, que era o governador, saiu ao encontro deles e perguntou: “Que queixa têm contra este homem?”
JHN.18.30	“Se não fosse malfeitor não to teríamos trazido”, retorquiram.
JHN.18.31	“Pois então levem-no e julguem-no vocês mesmos de acordo com a vossa Lei!”, tornou-lhes Pilatos.
JHN.18.31	“Mas queremos que seja morto e nós não podemos fazê-lo”, replicaram os judeus. 
JHN.18.32	Assim se cumpriu a predição de Jesus acerca do modo como haveria de morrer.
JHN.18.33	Pilatos voltou para dentro do palácio e mandou que lhe levassem Jesus. “És o rei dos judeus?”, perguntou-lhe.
JHN.18.34	Jesus replicou: “Perguntas isso de ti mesmo ou são outros que o querem saber?”
JHN.18.35	“Sou porventura judeu?”, replicou Pilatos. “O teu povo e os principais sacerdotes é que te trouxeram aqui. Que fizeste?”
JHN.18.36	Então Jesus respondeu: “Não sou um rei terreno. Se o fosse, os meus discípulos teriam lutado, quando os judeus me prenderam. Mas o meu reino não é deste mundo.”
JHN.18.37	“Então és rei?”, perguntou Pilatos.
JHN.18.37	Jesus respondeu: “Tens razão em dizer que sou rei. De facto, foi para isso que nasci. E vim para trazer a verdade ao mundo. Todos os que amam a verdade escutam a minha voz.”
JHN.18.38	“O que é a verdade?”, perguntou Pilatos. Tornando a sair ao povo, anunciou: “Ele não é culpado de crime algum. 
JHN.18.39	Todavia, é vosso costume pedir-me que solte alguém da prisão todos os anos pela Páscoa.” E perguntou: “Então, não querem que vos solte o rei dos judeus?”
JHN.18.40	Mas eles, em alta gritaria, responderam: “Não! Não soltes este, mas sim Barrabás!” Barrabás era um salteador.
JHN.19.1	Então Pilatos mandou açoitar Jesus. 
JHN.19.2	Os soldados fizeram uma coroa de espinhos e colocaram-lha na cabeça, vestindo-lhe um manto cor de púrpura. 
JHN.19.3	“Viva, ó rei dos judeus!” E batiam-lhe.
JHN.19.4	Pilatos apareceu de novo: “Vou tornar a trazê-lo, mas que fique bem entendido que não o acho culpado de coisa nenhuma.” 
JHN.19.5	Jesus surgiu com uma coroa de espinhos e uma túnica cor de púrpura. Pilatos disse: “Eis o Homem!”
JHN.19.6	Ao vê-lo, os principais sacerdotes e os guardas do templo começaram a gritar: “Crucifica-o! Crucifica-o!”
JHN.19.6	“Levem-no e crucifiquem-no vocês”, disse Pilatos, “que eu não acho que seja culpado de nada.”
JHN.19.7	Os judeus responderam-lhe: “Pela nossa Lei deve morrer, porque se intitulou Filho de Deus.”
JHN.19.8	Quando Pilatos ouviu isto, ficou mais assustado do que nunca. 
JHN.19.9	Tornando a levar Jesus para dentro do palácio, perguntou-lhe: “De onde és tu?” Mas Jesus não deu resposta. 
JHN.19.10	“Não queres dizer nada?”, insistiu Pilatos. “Não compreendes que tenho poder para te soltar ou para te crucificar?”
JHN.19.11	Jesus disse: “Não terias poder nenhum sobre mim se não te tivesse sido dado do alto. Por isso, ainda maior é o pecado de quem me trouxe aqui.”
JHN.19.12	Pilatos tentou ainda soltá-lo, mas os judeus avisaram-no: “Se soltares esse homem, não és amigo de César. Quem se proclama rei é culpado de rebelião contra César!”
JHN.19.13	Perante estas palavras, Pilatos tornou a levar-lhes Jesus e presidiu à sessão do tribunal, na plataforma de lajes, que em hebraico se chama Gabatá. 
JHN.19.14	Era agora cerca do meio-dia da véspera da Páscoa. E Pilatos disse aos judeus: “Aqui têm o vosso rei!”
JHN.19.15	“Fora com ele!”, clamavam. “Fora com ele! Crucifica-o!”
JHN.19.15	“O quê? Crucificar o vosso rei?”, perguntou Pilatos.
JHN.19.15	“Não temos outro rei senão o César”, gritaram os principais sacerdotes.
JHN.19.16	Então Pilatos entregou-lhes Jesus para ser crucificado.
JHN.19.16	Pegaram nele e levaram-no para fora da cidade. 
JHN.19.17	Carregando a cruz, Jesus foi para o local a que chamavam “Lugar da Caveira” (em hebraico, Gólgota). 
JHN.19.18	Ali o crucificaram na companhia de dois outros homens, um de cada lado. 
JHN.19.19	E Pilatos pôs por cima dele uma tabuleta que dizia:
JHN.19.19	jesus de nazaré, rei dos judeus.
JHN.19.20	Muitos judeus puderam ler estes dizeres, porque o sítio onde Jesus foi crucificado ficava perto da cidade. A tabuleta estava escrita em hebraico, latim e grego.
JHN.19.21	Os principais sacerdotes disseram a Pilatos. “Muda a frase de modo que, em vez de ‘rei dos Judeus’, fique o que ele disse de si: ‘Eu sou o rei dos Judeus.’ ”
JHN.19.22	Mas Pilatos respondeu: “O que escrevi, escrevi.”
JHN.19.23	Depois de crucificarem Jesus, os soldados fizeram quatro lotes com a sua roupa, um para cada um deles. 
JHN.19.24	Mas disseram: “Não rasguemos a túnica!”, porque não tinha costura. “Lancemos sortes para ver quem fica com ela.” Assim se cumpriu a profecia das Escrituras:
JHN.19.24	“Repartem a minha roupa entre si
JHN.19.24	e tiram à sorte a minha túnica.”
JHN.19.24	Ora, assim fizeram os soldados.
JHN.19.25	Junto à cruz, estavam a mãe de Jesus, a sua tia Maria, mulher de Clopas, e Maria Madalena. 
JHN.19.26	Quando Jesus viu a sua mãe ali de pé, junto ao discípulo a quem ele amava, disse-lhe: “Ele é teu filho!” 
JHN.19.27	E ao discípulo: “Ela é tua mãe!” E a partir daquele momento este discípulo recolheu-a em sua casa.
JHN.19.28	Jesus sabia que estava já tudo acabado e, para cumprir as Escrituras, disse: “Tenho sede!” 
JHN.19.29	Encontrava-se ali pousado um recipiente com vinho azedo; mergulharam nele uma esponja e, colocando-a num hissopo, aproximaram-lha dos lábios. 
JHN.19.30	Depois de o ter provado, Jesus disse: “Está acabado!” E curvando a cabeça, entregou o espírito.
