GEN.1.1	Naa tiba jutyunu uwanun, Dios tiba deke' faawaandu, selu bain, tu bain dekemi. 
1CO.15.41	Naa pajta bain vera' pi'kemuve, naa kepe pajta bain vera' pi'kemuve, naa makara bain vera' pi'kemuve; tsenmin makaraatala bain main main vee vee pi'kemu deeve.
1CO.15.42	Tsaren junu tsuve naa pemu mangujmula bain, matyu menamuya mushamuve, tsaaren menamuren mangujmuya mushatyunu tsuve. 
1CO.15.43	Peyai'mujchi chumu buluya mafiruinuu juve, tsaaren menaturen mangujmuya tsamantsa naraanu tsuve. Matyu peyai'mujchi chumu buluya ti deraba jutyuve, tsaaren menaturen mangujmuya tsamantsa dera junu tsuve. 
1CO.15.44	Peyai'mujchi chumu buluya ne cha' bulu juuve, tsaaren mena' mangujmuya selusha chumu bulu juuya mangujnu tsuve. Tsa' mitya naa ura ne cha' bulu bain, naa selusha chumu bulu bain juve. 
1CO.15.45	Matyu Diosa' Kiikanu entsa pillave: Ajke' unbere Adánya ajke' i' chumu tiyave, 
1CO.15.46	Tsaju' mitya espirituchi faamu juuya ajke' jutyuve, chachilla naadejuñuba tsaa jumaa ajke' juve, matyu benee espirituchi faamu ive. 
1CO.15.47	Ajke' jumu rukunuya ya' bulu tuchee keñu ju', entsa tusha naana chumu deeñuba juntsana chumu juve, tsaaren bene jamu rukuya selusha naaju chumu deeñuba juntsaa chumu juve. 
1CO.15.48	Entsa tusha chumulaya tuchi keñu ruku naaju bulu tañuba juntsaaren dejuve, tsenmala kai'sha chumulaya kai'sha jamu ruku naaju bulu tañuba yai bain juntsaaren tadeeve. 
1CO.15.49	Tsa' mitya naadeju' tuchi keñu ruku naajuñuba juntsa kera deewashu, tsaren ju' selusha jumu ruku naajuñu bain juntsa keraanu detsuyu.
1CO.15.50	Keranguemu naatalala, ñullanu entsandimiya, lala chachilla naadeju'ba juntsaju', alla puju' bain, ne asa puju' bain, tsaalaya Dios rei ju' chuinsha jinuu dejutyuve, tsandityu' bain, ne tiba mushaimu juuya tiba mushatyuinsha jinu dejutyuve titundiyu. 
1CO.15.51	Tsaaren ñullanu Dioschi munuba wandyajtu kuinda mijakaanu tenve: kumuinchi depeyainu dejutyuyu, tsaaren kumuinchi vera' juu mandiyanu detsuyu, 
1CO.15.52	maratu kapuka washke' machainguebanguindyuren de-ive ti' keewara tyujtyu depakare' dyanmalan tsainu detsuyu. Matyu de-ive ti' keewara tyujtyu ui'kanmalan, kumuinchi peyamula manbeyan jutyu mangujtanu detsuve, tsenmala laa bain vera' juu mandinu detsuyu. 
1CO.15.53	Tsejtu lala' bulu mushainuu jumuya mushatyu buluba mavetainuuya juve, tsa jutyu' bain, lala' bulu peyainuu jumuya peyan jutyu buluba mavetainuuya juve. 
1CO.15.54	Tsenmalaa, Diosa' Kiikanu naatimuwaañu bain umaa tsaa i' puitaa tsainu juve, matyu Diosa' Kiikanun entsa pillave:
1CO.15.56	Tiba ujcha bain peyawaanu tiremuve, tsenmin tsaa jumiya Moisés' wandya lei' mityaa uwain ujcha juñuba keewara' peyanuu tirekaamuve. 
1CO.15.57	Tsaanuren, Diosya yuj ura' ke', lala' Bale Ruku Jesucristo' mityaren lalanu tinuba puikare' jijiintsuve. 
1CO.15.58	Tsa' mitya estennu keranguemu naatalala, naa-uwanuba keenguindanda ki'mujchi tsaa tsana' Bale Ruku' taawashanu malumere tsangues jijiintsudei, matyu ñulla mideeve naa Bale Rukuba bulu ju' taawasha kiikendetsushu juntsaa, juntsan mitya tyeeba kanu deju' bain.
1CO.16.1	Matyu Cristonu keranguen chumu chachillachi lushi te'ka' seranguendetsushu juntsatala, Galacia tusha kerangue' waku wakudindalamee i naakekaantsuñuba ñui bain juntsangue dekisa tenve. 
1CO.16.2	Main main naa naake lushi deka' pulla' bain, tsa tsangue uukaantsudei semana ajke' malu, dumingamameemee, tsai' uukaandaa iya janmala te'kas nentsun jutyu. 
1CO.16.3	Tsenmala i jamee ñulla naaju chachillanu demi'ke' tanañuba juntsalaba juntsa dewa'kare' tanañu lushi Jerusalénsha eenu tsuyu, tsejtu juntsalanu lushi ta'mula deeve ti' kiika piike' kuwa bain eenu tsuyu Jerusalénsha chumulanu. 
1CO.16.4	Tsenmin i bain jiñu kayu uraaba jushu juntsaa, yala iba bulu jinu detsuve.
1CO.16.5	Macedonia pruvinsiashaa jinu ju' mitya, junga ajke' ji' jayu chutu, benee ñulla' junga bain janu tsuyu, Corinto pebulusha. 
1CO.16.6	Tsai' jatu ñuiba jayaa ma chunakeenuumee tenve, tsaityu' bain shu tinbu tiya' depullanbera ñuiba bulu puikeenuumee tenve; tsenmalaa i bene nuka jinuuñuba, eekai tenve. 
1CO.16.7	Ñulla' junbi ne jayu' mityan puna' kata' pullaindendyuve, matyu Bale Rukuren tsaisa tyañuya, ñuiba jayaa ma chunanu tenve, 
1CO.16.8	tsejturen Éfeso pebulunun tsananu tsuyu Pentecostés fandangu malu jangama, 
1CO.16.9	matyu in Bale Ruku' mitya kenu taawasha uu tsanguenuu faañu, yuj ura' deke' puichuyu tenve, naamika inu kundaa jumulaya pure' judeeñu bain.
1CO.16.10	Aangu Timoteo janmala yanu ura' mika' chu' jeetyawaakenuuya kityudei, matyu ya bain i naakes nemuñuba juntsaren ke', Bale Rukuchi taawasha kentsuñu' mitya. 
1CO.16.11	Tsaju' mu bain ne yanu jatsa' tyaiñuu keewaatyudei. Tsa jutyu', ya maantsunmala titi menestenguenuuñuba dekuwa' me-eedei, tsenmala ya tiba bulla jutyu vejan keranguemu naatalalaba in junga maanutsu, iya yalanu maanu keenañu' mitya.
1CO.16.12	Tsenmala lala' keranguemu naatala Apolonu laapu' pañuya, mantsa keranguemu naatalalaba ñulla' junga miji' mangueejidei ti' ma u'tandiñun tsaave, challaya jandyai'mi, tsaaren bene yachi januu faanmalaya maanu tsuve.
1CO.16.13	Naa-uwanuba titala bain pashkatyumujchi dekeena' keenguindanda ki'mujchi ura' kerangues jintsudei, matyu daj pensa deju', deerukuuñuu judei. 
1CO.16.14	Tsenmin ti kike' bain mika estya' keeware' kiikidei. 
1CO.16.15	Keranguemu naatalala, ñulla demandengasa tenve, ñulla mideeve naa Acaya pruvinsiasha Estéfanas' bululaa Cristonu keranguemu chachi ajke' tiyamu deeñu bain; tsenmin yalaa Cristonu keranguen chumulanu tiba uraanuu ken dechuñu bain ñulla mideeve. 
1CO.16.16	Tsenñu' mitya ñui bain yala naadetiñuba juntsanu meenguen chudei tenve, tsenmin naa veela bain Bale Rukuchi taawasha dya'kai'mujchi kiveten chumulanu bain meenguen chudei.
1CO.16.17	Mika sunden puiyu, matyu Estéfanas bain, Fortunato bain, Acaico bain in junga deja', ñulla iba bulu depui'ñu vera' tenguikentsu bain, yalaa iba entsa malutala depuimishtija', 
1CO.16.18	inu dema-uusundyawaave, tsejtu ñullanu bain masundyawaanu detsuve. Entsaa chachillanuya balenguren chudei.
1CO.16.19	Asia pruvinsiasha kerangue' vee vee mujtu waku wakudimu naatalala ñullanu yuj ura' chusa tindetsuve. Áquila bain, Prisca bain, naa yala' yanu waku wakudimu keranguemu chachilla bain Bale Ruku' mitya ti', yuj ura' chusa tindetsuve. 
1CO.16.20	Kumuinchi keranguemu naatalala ñullanu yuj ura' chusa tindetsuve. Veta' veta' ñui tene estya' keewarendu ura' dechusa tiitidei.
1CO.16.21	Iya, Pablo, enun in tyaapachi pillake', ñullanu ura' dechusa tintsuyu.
1CO.16.22	Mun lala' Bale Ruku Jesucristonu estyatyulaya, Dioschi kuipa vi' taaju isa. ¡Bale Ruku, te' maade!
1CO.16.23	Lala' Bale Ruku Jesús ñullanu estya' keewaren chusa tenve. 
1CO.16.24	Jesucristo' mitya ti', ñullanu main main estenve tintsuyu.
2CO.1.1	Iya Pablo, Diosren tsaa mutyañuya, Jesucristochi kuinda kenu lara' eramu ruku, in keranguemu naatala Timoteoba Corinto pebulusha Diosnu kerangue' waku wakudimulanu bain, naa vejanla Acaya tusha keranguen chumulanu bain ura' dejusa tindetsuyu. 
2CO.1.2	Lala' Apa Dios bain, naa Bale Ruku Jesucristo bain ñullanu estya' keeware' nejuu tiba bulla jutyu chujti' jintsusa tenve.
2CO.1.3	Lala' Bale Ruku Jesucristo' Apa Diosnu mika urave tisai; yaa lalanu mika tenbityamu juve, tsenmin masundyawaamu Apa juve. 
2CO.1.4	Yaa lala tyeeba de-i' llaki juu dechuñu bain masundyawaamu juve, tsenmalaa lalanu Dios naake' masundyawaamuñuba, laa bain tsaren ke' veela tyeeba de-i' llaki juu dechunmala masundyawaamu junudetsu. 
2CO.1.5	Naajuinga Cristo naa-i taaju imuwaañuba lalanu bain tsanguenuu janmalaya tsangue taaju kendetsuñu bain, Cristoren lalanu tsamantsangue masundyawaamu juve. 
2CO.1.6	Tsejtu lala taaju de-i' pullantsumiya ñullanu masundyawaakenuu bain, tsenmin ñuichi uraanuu bain juntsaaya kendetsuyu, tsaju' lalanu bain Dios masundyawaamu jumiya naa ñullanu bain tsaren masundyawaanu tsuve, tsenmalaa naa ñui bain lala ti taaju juuya de-iñuba tsaren i' bain tiba jutyuren jintsunudetsu. 
2CO.1.7	Uwain lalaya ñulla tiba taaju de-induba keengues jintsunu juve pensa dejuyu, matyu ñulla laaba tsaren taaju kivetentsumiya, tsaren masundyave'mu deeñu' mitya.
2CO.1.8	Keranguemu naatalala, lala Asia tusha naake taaju ke' puimuwaañuba juntsa tengaya judei. Junga mika taaju ke' pullandu, lala' pudenguraya deketuren naaken tsaa tiya', umaa peyakeenu juve pensa kemuwa deeyu, 
2CO.1.9	matyu peyanbera inu dejuyu pensanguemuwa deeyu. Tsaaren entsaa puimiya ne lala' pudenguraa kiike' livee inu dejuyu pensanguityu', Diosnaa keetadi' tiba lalanu ura' kemishtinu juve tyakaanaa tsaive. Diosya naa pemulanu bain mangujtemu juve. 
2CO.1.10	Tsaju' naa uwain tituba i' peyainuu dejuñuba Diosya lalanu livee ke' mitya, livee ke' jintsunu juve. Uwain Dios lalanu livee ke' jintsunu juve pensa deeyu, 
2CO.1.11	ñulla lala' mitya Diosba kuinda ke' papatindetsushu juntsaa. Tsaju' pure' chachilla lala' mitya Diosba kuinda kiidekenmala, lala Dioschi tiba ura' de-i' pullanmalaya, pure' chachilla juntsa' mityaren Diosnu yuj urave ti' papatinu detsuve.
2CO.1.12	Lala ti' mityaaba dajtyanuu jumiya entsa' mityaa tsandyanuu dejuyu: lala uwain tiba urajtu juuya kindetyu', naa anbutitiñuu bain kindetyuñuba lala' tenbu' pensaren tsandyakaantsuñu' mityaa dajtyainuu dejuyu. Ura patiñuya, lala ñullanaa tsa deke' ura' kiiken chumuwa deeyu. Tsejtu lalaya ne cha' pensa naajuñuba juntsanu keetadi' jityumujchi, Diosya mika aa ura juñu, juntsanaa keetadi' uwain uraa kekaanu tsuve tenna dejuyu. 
2CO.1.13	Entsangue' piikendetsu' bain ne ñuichi naake' lenguen tsaa, tsenmin naake' aseetanguen tsaa kiika piikindetyuyu. Tsaju' millangue aseetanguenuu dejuve pensa juyu 
2CO.1.14	tyee millangue aseetanguindetyu'ba. Tsaju' challa ñulla lala' mitya mika sunden junu dejuve, bene Jesucristo maanmala lala naaju' ñulla' mitya sunden junu deeñuba juntsaatu.
2CO.1.15	Tsejtu tsaanu dejuve tenna pensangue' mityaa, ñulla' junga ajke' vija' keenu pensanguiyu, tsejtaa maandu ñulla' junga mavija', tsaa pai bijee ja' ura' de-ikaanu; 
2CO.1.16	ura pañuya, ajke' jamiya, Macedoniasha jindaa vija' keenu pensanguiyu, tsenmin junga pu' maandu bain mavija' keenu pensanguiyu, tsenmalaa iya Judeasha miintsunmala ñulla inu ajkesha miikaanuu kenudetsu. 
2CO.1.17	¿Tsejtu iya entsainu pensangue' bain urake pensangui'mujchin ne tsandyatu iwa? Tsa jutyu'ba, ¿ñullaya iya ne chachilla naake pensanguemu deeñuba, tsaju' ne padandaa jutu, naa uwain tsanguenu ti' bain, tsanguen jutyu mandimuve pensaa dejuu? 
2CO.1.18	Matyu Diosya mive, ne ñullanu lala ti depañu bain lala' palaaya ne ñulla “tsaave” tyainuu bain, naa “tsa jutyuve” tyainuu bain dejutyuñuba. 
2CO.1.19	Matyu naa Silvano bain, naa Timoteo bain, naa i bain ñulla' kejtsapala ya' kuinda mijakaañu jumulanu bain Diosa' Na Jesucristoya ne “tsanguenu tsuyu” tituren “tsanguen jutyuyu” tiitityu juve; tsa jutyu', yaa naa-uwanuba “tsanguenu tsuyu” tene pamuve. 
2CO.1.20	Diosya tyee tsanguenbera kenu tsuyu timu ju'ba ti bain Cristo' mityaa tsa tsangue deke' puimuve. Tsa' mityaa lala naa-uwanu bain Cristo' mityaa Diosnu yuj urave ti' “tsaasa” tiitimu deeyu. 
2CO.1.21	Diosya lalanu Cristoba narake buute' tanamu juve, naa lalanu bain, naa ñullanu bain, tsenmin yaa lalanu yachin juu detireve. 
2CO.1.22	Tsangue' lalanu ti kunu tsuyu ti'ba uwain kanu detsuve ti' keewaatu, ya' Espíritu Santonaa lala' tenbukasha chujtive.
2CO.1.23	Tsaaren iya naa-intsunu pensa'ba juntsaa indyu' kayu Corintosha majaindyumiya, ñullanu ura' kenu tenñaa tsaayu. Tsaju' i anbutintsushu juntsaa Dios inu tu'sa ti', iya maaliren paka' uwain juntsaave ti', naa Dios bain uwain iya anbutindyuñuba yaa mive tintsuyu. 
2CO.1.24	Ne lalaa ñullanu tsa tsangue keenguidei ti' panu pensa dejutyuyu; ñulla yumaa tinaa keengue' bain feete' dejuve. Tsaañu' mitya, lala' pensaya ñullanu naaketaa sundyawaanu deju'ba juntsaaya kayu aa kenu pensa deeyu.
2CO.2.1	Tsa' mityaa ñulla' junga kama bijee maja' kere' bain, veta' veta' llakindyainuu jumiya jan jutyu pensanguiyu, 
2CO.2.2	matyu iya ñullanu llakinbajte'banguishu juntsaa, ¿maa inu masundyawaakenuu dejun, ñulla in llakinbajtenu chachillaren inu masundyawaakenuu dejui'shu juntsaya? 
2CO.2.3	Tsa' mityaa entsangue' piikiyu, tsenmalaa iya ñulla' junga janmala, ñulla inu sundyawaakenuu jumulaa ne llakinbajtekenuuya ki'nudetsu. Ura pensanguiñuya, iya naa-i sundyañuba ñui bain juntsai sunden junu dejuve tyamuwaayu. 
2CO.2.4	Tsaaren iya juntsa kiika piikendu pure' pensaa ju', mika llaki jutu warendindu piikemuwaayu. Tsejturen ne juntsa kiika ñullanu piike' ere' bain ne llakinguikaakenu erendyuyu, iya naa-i estyamu'ba juntsa dekeewaanaa tsanguiyu.
2CO.2.5	Mun llakindyainuu ke' bain ne inuren tsandyainuu kendyuve, naa ura tsamantsandi patyu'ba, kumuinchi ñullanu bain tsaren llakindyainuu kive titundiyu. 
2CO.2.6	Ñulla pure' chachilla juntsa rukunu yumaa tiba taaju de-iware' puiteñu jumuren mikave. 
2CO.2.7	Tsejtu umaa yanu juntsa' mityaya kuipa faawarajtu demandire', yanu sundenna pensa juuya mandiredei. Tsa deki'ñu tsamantsa llakindya' naa-in tsandya'ba imive. 
2CO.2.8	Tsaañu' mitya ñulla yanu naa-i estyamuwa deju' bain juntsai ma-estyadei ti' u'tandinu tenve. 
2CO.2.9	Kaspele piiketu bain iya naatiñuba juntsaatala bain tsangue demeengue' juntsangue dekiñuba mijanu tenñaa piikiwayu. 
2CO.2.10	Tsa' mitya ne ñulla maa tyeeba ke' ujcha lañuba juntsanu ya' ujcha' mitya kuipa pun jutyuyu detiñu bain, inchi bain tsaren junu tsuve. Tsaju' inchi tsanguenuuba juñu, iya ya' ujcha' mitya kuipa pun jutyuyu timiya, ñuichi uraa kenaa tsanguenu juyu Cristo' ajuusha. 
2CO.2.11	Tsenmalaa lalanu Satanás naa tyeeba uu na'baasa kenuu faañuba, tiba kikenuu jun jutyuve, matyu ya tyee firu' kenu tyamuñu bain yumaa keemi deeyu.
2CO.2.12	Iya Tróade pebulubi Cristo' mika ura kuinda mijakaanu vijiñu, naa Bale Rukuchi kenu taawasha uu tsanguenuu faañuba, 
2CO.2.13	junu sunden pensa jutyu puwayu in keranguemu naatala Titonu mangatatyu' mitya. Tsejtu yalanu ura' chudei ti' shuiketu Macedonia pruvinsiasha jiwayu.
2CO.2.14	Diosnu yuj urave tintsuyu, yaa Cristo depulla' jintsuñu, lalanu bain naa-uwanuba ya' bendala jikaamu juñu, tsenmin lalanaa veelanu Cristo' kuinda mijakaakarentsu', tyeeba ju' aindyayaaba juñu nukaba aindyu de-ishkakeñuu kikaantsuñu. 
2CO.2.15	Matyu lalaa Dioschi aindyunguikaantsumi Cristo ju'ke' keewaañu aindyu ishkakara juuñu deeyu, tsenñu naa livee inuu jumula' kejtsapala bain, naa livee in jutyula' kejtsapala bain juntsa aindyu deshajara' jiiñuu imuve. 
2CO.2.16	Tsenñu livee in jutyuu jumu chachillachiya entsa ishkakara pemu pudyuu ju' peyanu tsuve ti' keewara juve, tsaaren livee inuu chachillachiya entsa aindyu ishkakara, chumula' aindyu juu ju', chunu detsuve ti' keewara juve. ¿Tsaaren maa juntsa aindyu ishkakara juuñuu kes nenuu juchunga? 
2CO.2.17	Lalaya Diosa' palaa mijakares nendu ne laachi uraanuu kenu mi'kes nendetyuyu, naa veelaya pure' tsangues nendetsuñu bain, lalaya Dioschi ti bain naajuñuba tsa tsandi depa' firu' pensaba jutyu pas nemu deeyu, lalaya ya' ajuusha tsangues neneinaa era de' mitya, tsenmin lalaya Cristoba debuuna' yaba ma bulu jude' mitya.
2CO.3.1	Lala entsanditu, ¿ne laa teneren balengure' patiñundindetsuwa? Tsa jutyu'ba, ¿vejanla naakemu deeñuba juntsangue', lala ura' kiikemu dejuve ti' piikeñu kiika ñullanaa kuwanuj deewa, tsa jutyu'ba, ñullanaa pake' lalanu kuwaka tinuj deewa? 
2CO.3.2	Ñullaa laachiya, tsa deeve ti' depiikeñu kiika juuñu deju', lala' tenbukasha pillaañuu kiika deeve, tsenñu kumuinchi kera deju' lenmu deeve. 
2CO.3.3	Matyu ñullaa Cristochiren piikiñu kiika juuñu deju', lala' mityaa juntsa-i' kuwaañuu jumula deeve, tsaaren ne kiikanu naake piikemu deeñuba juntsa pilla jutyu', chumu Diosa' Espírituchiren tsa pilla juve, tsenmin ne shupu' ta'panu pillaa bain jutyu', tenbu' allanun ma pillaa jumu deeve.
2CO.3.4	Entsaamiya Cristoba bulu deju' mityaa, Diosa' ajuusha uwain juntsaave pensa dejuyu. 
2CO.3.5	Tsejturen ne ti kike'ba laa teneren tsa tsangue kenuu deju' mityaa tsangue dekiyu tyanu dejutyuyu, lala tyee ke'ba Dios tsanguikaañaa tsa dekiyu. 
2CO.3.6	Yaa lalanu juntsa kama bijee Dios chachillaba veta' veta' tsanguedaa tinu jumunu tsa tsanguivete' jiinuu tireve, ne lei naaju pillañuba juntsa jutyu', Espíritaa naa naakenu tireñuba juntsaaya kes jinu. Leiya peyawaanaa tireñuba, Diosa' Espírituya lalanu chuwaanaa tireve.
2CO.3.7+2CO.3.8+2CO.3.9	Diosya shupu' lepanaa ya' lei jumula depiike' Moisésnu kuwave. Tsenñu juntsa uwanu tsamantsanguentsumuwaañu, naa Moisés' kajuu bain tsamantsa pi'kelaa tiyañu, Israel chachilla naake' ya' kajuunu keran tsaa tiyaila. Tsejturen juntsa pi'kelaa jumu jei manbiyanuuren ne tsaawaami.
2CO.3.7+2CO.3.8+2CO.3.9	Tsaju' juntsa lei kuwanduren tsamantsa pi'kela kentsumuwaashu juntsaa ¿liveeju tiyanu dejuve tiñu kuinda mijakaraa kayu naaju tsamantsaa keewara jui'chunga? Matyu juntsa leiya, lala' ujcha' mityan lala peyanuuya dejuve tive. Tsaanuren lalanu Espíritu Santo tyee kikaañuba juntsan mityaya lalanu Dios ti ujchaba dejutyu kureve. 
2CO.3.10	Kaspele ajke' tsamantsa pi'kelaa katawamuya, challa kayu tsamantsa pi'kelaa jumuba pensangueñuya, jui'ñuba ne uraa tiyaive. 
2CO.3.11	Tsaju' ka jayu' mitya tsai' ne manbiyainuu jumuren tsamantsaindu keewaramuwaashu juntsaa, ¿naa-uwanuba tsananuu jumaa kayu naaju tsamantsaa jui'chunga?
2CO.3.12	Tsejtu uwain juntsaave pensa deju' mitya, Diosa' palaa nukaba jaiba jela putyu pas nendetsuyu. 
2CO.3.13	Tsaaren lalaya Moisés naakemuwaañuba tsanguityu deeyu: yaa Dios tsanguikaañu pi'kelaa jumuchi ya' kajuu pi'kelaa ju', Israel chachilla juntsa pidya jayu jayu manbiyantsuñu dekatatyusa tyatu, tsaa ya' kajuunu jalichi pujchikemuwaave. 
2CO.3.14	Tsaaren Israel chachillaya aseetanguenu' jutyuu tiyaila, tsa deju' naa chaikama bain aseeta dejutyu', yala' pensa pujchaañuu deju' mangayajdetu' mitya, Dios chachillaba veta' veta' tsanguedaa tiñu yumaa jumu pilla kiikanu lenmiya aseetanguityu deeve, matyu Cristoren juntsa vinamu jali mangakeñuu ke' aseetanguikaamu juuñu' mitya. 
2CO.3.15	Tsa' mityaa naa chaikama bain Moiséschi pilla kiikalanu lenmiya aseetanguityu deeve, yala' pensasha ma jali daaviyanañuu deju' mitya. 
2CO.3.16	Tsaaren mulaa Bale Rukunu keenguemu tiyamiya juntsa ya' pensasha daayanañuu jumu jali mangaya' keviiñuu-i' aseetanguemu tiyamu juve. 
2CO.3.17	Juntsa Bale Rukuya Espírituren juve, tsaañu' mitya nuka Bale Ruku' Espíritu puñu bain junuya nejuu liveeju dechuyu. 
2CO.3.18	Tsenñu umaa lala kumuinchi lala' kajuusha tiba dukaañuu jutyu tiyalaya Bale Ruku' pi'kelaa jumu kerendetsuyu, 
2CO.4.1	Tsa' mitya Dios lalanu tenbitya' entsangues nenu tireñuya, ipijpajtyaiñuu i' dyanu kendetyuyu. 
2CO.4.2	Lalaya tiba yujtyanchin pantsudinuu jumulaya kityu deeyu, tsaju' lalaya bibu' ke' anbuda keewares neba indetyuyu, tsenmin Diosa' palaa mijakares nendu bain ne vera' manbatis nendetyuyu. Tsa jutyu', lalaya naajuñuba uwain tsandita nendetsuyu, tsejtaa lala naaju chachilla' kerachiba lala' tenbu' pensasha ti ujchaba tajtu katawanu Diosa' ajuusha. 
2CO.4.3	Tsaaren juntsa Diosa' mika ura kuinda aseeta ityu ju' jalichi daaviyaañuu jushu juntsaa, livee ityu' piyainuu jumu chachillachin juntsaañuu juuve. 
2CO.4.4	Cristo' mika ura kuindaya ya naaju tsamantsaa ju'ba juntsaatala laapu' pamuve, tsenmin Cristoren Dios naaju tsamantsaa juñuba juntsaa keewara juve. Entsa mika ura kuindaya ñillu juuñuu danjuru kentsuñu bain, keranguityu chachillaya katatyu deeve, matyu yaichi Dios juuñuu mandanguen chu' firu' kekaamuya katakaatyu juñu' mitya. 
2CO.4.5	Tsejtu lalaya maali ura' katawachi tenñu kuinda juu pas nendetyuyu; tsa jutyu', Jesucristonu laapu' pa' lala' Bale Rukuve tis nendetsuyu, tsenmala lalaya ñuichi tiba kiikemu juuya kurandetsuyu, Jesúsnu estya' ya' taawasha kes nendetsu' mityaren. 
2CO.4.6	Matyu kaspele dishkejtsa tene juunuren danguisa timu Diosren naa lala' pensasha bain dangaakeñuu kive, tsenmalaa laa bain veelanu dangaamu junudetsu, Dios naaju' tsamantsaa juñuba Jesucristo' mityan juntsaa dekeemijakaandu.
2CO.4.7	Tsaaren lala entsa tsamantsa balee jumu lala' bulunaa chujti' tanañu denayu, tsejtu tu piyama juuñuu jumu lala' bulunaa uukare' detanayu, tsenmalaa entsa tsamantsaa pudee lalanaa fale' jamu jutyuñu, Diosnaa fale' jamuñuba tsangue keewaanutsu. 
2CO.4.8	Tsa' mityaa naa ti peletuba detaa chu' bain, naaken tsaa dechutyuyu, tsenmin titalaba pensaa chu' bain, naa-ichunga tyan dechutyuyu. 
2CO.4.9	Lalanu firu' kenu bendaa deneñu bain, ne laa tene juu dejutyuyu; naa lalanu detsun-ere' bain, petse petse ke' tsungaañuuya kindetyuve. 
2CO.4.10+2CO.4.11	Lala nuka ji-i' bain, Jesús naa-i taaju in chumuwaañuba laa bain juntsa taajuren in chuñuu katawandetsuyu, tsaju' Jesúsnu meenguendetsu' mityaa naa-uwanuba peyainuu is nendetsuyu. Tsenmin lalanu keekituren mijanu dejuve naa Jesúsya pemulanu bain manchuwaanuu juñuba. 
2CO.4.12	Entsaañu' mityaa lalaya peyainuuya indetsuñuba, ñullaya chunuuya indetsuve.
2CO.4.13	Diosa' Kiikanu entsandive: 
2CO.4.14	Tsenmin lala mideeyu naa Bale Ruku Jesús peyañu mangujtemu Diosren, naa lalanu bain Jesúsnu naake' mangujtemu ju'ba tsangue' ñuiba buluren lalanu ya' chuinsha miya' jinuuñu bain. 
2CO.4.15	Tsejtu kumuinchi entsaa de-i' puintsumiya ñuichi uraanuu itaa tsaive, tsenmalaa pure' chachilla Dioschi tiba ura' indetsunmala, tsaren pure' chachilla Diosnu yuj urave tinudetsu, tsangue' Diosnu tsamantsa aawa juve ti' keewaanu.
2CO.4.16	Tsenñu' mityaa ipijpajtyaiñuu ityu' jintsu', naamika lala' buluya ruku' kantsuñuba, lala' tainsha pensaya malumere kasa mandiya' jijiintsuñuu kiikendetsuyu. 
2CO.4.17	Entsa tusha taaju in chudenaashu juntsalaya, naa taaju' bain, maratu jei puimu ne juuve, tsejturen tsangue taaju kentsu'ba, bene tsamantsa naraa naa-uwanuba de-ityu juuya kakaanu junu tsuve. 
2CO.4.18	Tsaju' lalaya challa tiba katawamu judeeshu juntsalanuya keetyuñuu deju', chaiba tiba kataatyu jumulanaa keekiñuu kemu deeyu. Tiba katawamulaya mandinbu de-i' pullañu bain, kataatyu jumulaya naa-uwanuba tsanamu deeve.
2CO.5.1	Lala' bulu jumaa entsa tusha chuntsumi kaa yapaya juuñuu ju', mandinbu mushanu juñu bain lala mideeyu, tsaaren naa tsaiñu bain, Diosya kai'sha laachi vee bulu naa-uwanuba mushatyu ya juuñuu, cha' tyaapachi keñu jutyu ke' tanañuba lala mideeyu. 
2CO.5.2	Tsa' mityaa lala' bulunu chungamaya selusha bulu jumaa lala peyaindyuren lalanu paja' espiritu' bulu pandekiñunguisa tendu aitendyuu chudenayu, 
2CO.5.3	tsenmalaa espirituchi tene panakeñunguimiya tiba panajtuuñuu tiyan jutyu. 
2CO.5.4	Tsejtu lala entsa yapaya juuñuu jumu lala' bulunu chungamaya llaki ishiken dechuyu, lala' bulunu kala' keviiñuu in jutyu tenñu, tsenmalaa peyainuu jumu lala' bulunu chumujchiren peyatyu kasa bulu juuya mandiyanu tenñu. 
2CO.5.5	Tsenmin Diosya lalanu tsaa dejunu tireve, tsejtaa bene lala tyee inu deeñuba uwain tsaa puinu juve ti' keewaataa Espíritu Santo lalanu kuwave.
2CO.5.6	Tsa' mityaa lala naa-uwanuba uwain tsainu tsuve pensaa dechuyu. Tsejtu lala mideeyu naa lala' bulunu chumiya Bale Rukuba kalen chutyuñuu deju'ba. 
2CO.5.7	Tsaju' challaya yanu katandetsutyu' bain, yanu keengue' jindetsu' mityaa tsaa jindetsuyu. 
2CO.5.8	Tsaaren lala tyee dekeena'ba uwain tsainu tsuve pensa dekeenayu, tsejturen uwain tsainu ajchundenmiya challa chudenaashu juntsa bulunuya shuike' ji', lala' Bale Rukubaa chuinu tenve. 
2CO.5.9	Tsaju' lala ti kike'ba Bale Rukunu sundyawaakenuu kiikentsunuuya dejuyu, chaiba lala' bulunun chu' jintsu' bain, naa lala' bulunu shuike' ji-i' bain. 
2CO.5.10	Lala kumuinchi Cristo' kavitu kensha jinu detsuyu, tsejtaa lala' bulunu chungama main main tyee uraa kiiken chumu deju' bain, tyee urajtu kiiken chumu deju' bain juntsan mitya tsa tsangue kanu deju' mitya.
