MAT.1.1	Ma əlfa na Zezu Krestu, wətən Davitti*, wətən Abraham:
2TI.4.17	Amma Ɗəfdaya tay də ina, asɓawəka, vi nəgrak gən wəza narban wənna Maŋgəlva nawa, ɗii məs dəzoŋ səka dələv məza Yahudiyenɗeŋ ɓa pak dəpprəmən gən wənnani. Ndəni dəkoh gu səma ɓolu. 
2TI.4.18	Gesiŋ, Ɗəfdaya wakoh gu səza mambray pakə, wagap gu azam adəv məlĩ nan a disiŋ. Gakdak nani pay pakə ha faɗə. Amin.
2TI.4.19	Asɗat Piriskilla də Akilas, asɗan Onesiforus də gəla nani. 
2TI.4.20	Erastus taya Korintus. Torofimus bo, nəppanək a Miletus, vi də gbəgba'i. 
2TI.4.21	Agəm zuko ade, mawala adazan na kədeke.
2TI.4.21	Ewbulus də Pudes gəm Linus gəm Kalawdiya dit milmiŋgiɗəm pak asɗokənko.
2TI.4.22	Ɗəfdaya dəsan də munokum, mbəlembəle na Maŋgəlva dəsan də munokum pakə.
TIT.1.1	Əntə Pol, məgəɗ wəza na Maŋgəlva, masləŋ na Zezu Krestu. Məpsumi tive, ka nəkegin ɗiiyen məs Maŋgəlva aweliŋ aka wətafa, də wərban sit wən an gesiŋ ndəni sədəv wənna Maŋgəlva. 
TIT.1.2	Vi dəsaŋ gən də wəɗum na, zeŋgille nasuwa ha faɗə, an məs Maŋgəlva məza awa tepelke ɓa aɗiyə, daga məɓəlli wəɗɗa zigeɗ tagay ɓa. 
TIT.1.3	Amma arbanək wəpel nan suwa adəv pay məs dəslə də wərban wənnani. Maŋgəlva məzukoh gəm dəpsu tive də wəɗi su wənnani ndəni nədaw pel wənnani.
TIT.1.4	Suki nədawver letərəŋka Titus, wətu an gesiŋ gesiŋ də wətafa.
TIT.1.4	Maŋgəlva Affən, də Zezu Krestu məzukoh gəmə dəpsukun mbəlembəle də zamə.
TIT.1.5	An nəppok sən a Kereta na, vi kəzaɓan gən wən məs dəpələ, va nəɗɗisuk wənnani, aɗi ɗii gugiriɗ net kretiyenɗe awalaŋ gəla pakə. Aɗumon an məs nərbə suko: 
TIT.1.6	Daya net kretiyenɗe, say dəsan ɗəf məs tay də wən akan ɓa, dət guluk taka, an kirin tahəŋ, dəsoŋ məzutafaŋ, adosoŋ məɓoŋgit ɓa də wədaw mbrayen ɓa, məza apprəmaŋ ɓaɓa. 
TIT.1.7	Məzutaɗa net kretiyenɗe, dəsan ɗəf məza də wən akan ɓa, vi ndəni məzuzaɓan wənna Maŋgəlva, məza adaw san ɗəf məzu kaɓ ɓa, məs adawda gədəv ɗar ɗar ɓa, adawsan məs mbazla adawbay ɓa, ɗəf məzəw gay dit ɗii ɓa, ɗəf məza awsim riba mbrayen ɓa. 
TIT.1.8	Amma dəsan ɗəf mətaf melekeɗ annanda, ɗəf məŋgəl mogoni, ɗəf məs maɗulani, ɗəf təstəs, ɗəf məs makran barə, məzərma zən sədəv mambraya. 
TIT.1.9	Ɗəf məzərma wənna Maŋgəlva an məs asənə, vi dəsan gən ɗəf məs dəsən wəpel wənna Maŋgəlva, sit ɗiiyi də goŋga va an məs mərbani, də wəhãye məzu bayaŋ ma.
TIT.1.10	Vi ɗii tahəŋ diiɗa vadaysa net bo suwalaŋgi Yahudiyenɗe məs dətubiyaŋ, məɓoŋtiŋ məzu mbəɗetin ɗiiyəŋ də wən ɗar mekeleŋ. 
TIT.1.11	Asuk meti, tahəŋ wəray gitin ɗii də gəla net pakə, tahəŋ wərbaŋ wən sit ɗii məza tay mogon ɓa, vi karəh riba mbrayen. 
TIT.1.12	Ɗəf taka səmbeti, məs kleŋ neti amna: Ɗii na Kereta məs tepelkeɗiŋ faɗə, zigeɗ mamayeɗ mbreyittiŋ, zigeɗ ɗəɗerɗe məzə aɗumoŋ aka wəzəm kaaka'ə. 
TIT.1.13	Ya saydawa nan gesiŋgi. Vi vaski ahayẽt də sembe, vi dəsoŋ gən də wətaf an təstəssə, 
TIT.1.14	məza məɗumoŋ aka mamba net Yahudiyenɗe ɓa, dit ma henziŋɗe net ɗii məs na ɓoŋgitin ɗii səka goŋga ɓa. 
TIT.1.15	Zəga pak mogoni, azet ɗii məs də makret barə, amma azet ɗii mbreyiti dit ɗii məs dətafaŋ ɓa. Zəga pak taya zet salala ɓa. Vi maɗuleti də kpukpum na makreti arayka. 
TIT.1.16	Tahəŋ wəɗɗaŋ saydawa na asənənək Maŋgəlva, amma wəza net tayərban na, azlabaŋgək səzani, daryawɗeŋ məɓoŋgitiŋ, dəgapaŋ naɗɗaŋ wəza mogon ko taka ɓa.
TIT.2.1	Amma noko apel an məs dəslə də wəsən an təstəssə, 
TIT.2.2	vaski bo mezeɗi dəziyən ziti, də ɓatɓatə, də waɓe'eŋ də wərma zit sədəv mambraya, dəsoŋ ɓəlɓəl də wətafa də wəŋgla də wəɓəsən. 
TIT.2.3	Vaski bo anah sit məduwileɗi dədawaŋ va an dəslə dənɗaŋ mogoni məza məs tepelkeɗ ɓa, məza balemɗe na mbazla ɓa, dəsoŋ məsənaŋ mogoni. 
TIT.2.4	Dərbanən sitin gil en kirni wənna wəŋgliw zilŋgiti dit kirtiti. 
TIT.2.5	Dəsoŋ gən də maɗuleti, də wərma ziti, məɗɗaŋ wəza eŋgil enet da, mogoni, məpprəmən met zilŋgiti, vi adaw wəpel mbrayen aka wənna Maŋgəlva ɓa.
TIT.2.6	Vaski anah sit gewleɗi dəsoŋ gən də maɗuleti. 
TIT.2.7	Nok bo atak zuk səza wəza mambray pakə, vi kəsok gən va ɗəf narban wəza mogoni, asok də goŋga aza zəga narba noko, asok ɓatɓat də wəsən noko. 
TIT.2.8	Aɗi wəpel an təstəssə, an məs ɗii azelenən na ɓa, vi məzuzeleŋ nok wil dədenən gəni, vi arəhaŋ na wənnawpel mbrayen akam ɓa.
TIT.2.9	Aɗi wənnan sit balemɗe dəpprəmən met ɗii neti, dəsoŋ də wəsa' wənnet aza zəga pakə adaw ɓoŋgoŋ sitin ɓa. 
TIT.2.10	Adaw halaŋ sitin ɓa, amma dərbanən zit na məɗɗaŋ mogonəŋ də wəga zit təstəssə, də ɗiiyən gən ki zəga narba pak na, Maŋgəlvayi məzukoh gəmə.
TIT.2.11	Yaŋ Maŋgəlva akos ki mbəlembəle nani, vi kawkoh git ɗii pakə. 
TIT.2.12	Yaŋkan adarban səm va mədawtak zəm aza mambray də wəsim zigeɗ naka dəlvəŋka, məsam gən də maɗula, də təstəssə də geslne nə Maŋgəlva adəv wənziya egge an kakaŋka. 
TIT.2.13	Mənam tatə ga an mədaɗum akani, tay də nenek akan də wərban akdak na, Maŋgəlva metiŋgini, də məzukohgəm Zezu kertu. 
TIT.2.14	Nan apanək kiyən vimə, vi kamam səka mambray nam pakə, də wəɗɗəm ɗii nan məs akpaŋget salala*, tay də kotorok na wəza mogoni.
TIT.2.15	Wən aski kan kədarbani, asəɓsiti, ahayẽti də sembe nok grakə. Kədapan ɗəf səmbet wəzelok ɓa.
TIT.3.1	Aɗumon siti dəpprəmən gən met məlĩyeŋge dit ɗii məs də sembe na dəlva, say dəɓeŋ sitin gəni, də zaɓanən zit naɗɗa wəza mogon ko awandi pakə. 
TIT.3.2	Adawpeleŋ mbrayen aka ko naway di ɓa, adawgayaŋ ɓa, dəsoŋ də maɗulet zayə, dərbanən sitin gin ɗii wənna ɓe sit ɗii an mogoni. 
TIT.3.3	Vi nam bo lahəŋ na mənam tat zigeɗ dəɗerɗe, mawɓe' sit ɗii ɓa, məray gənən wənna, balemɗe na wəsim zəga temtem mənani, an naneken zə ɗəffa, məs darawɗe mənani məsimeŋ zəga mənani, tahəŋ wəzelmə, mənam tatə zeleti. 
TIT.3.4	Amma Maŋgəlva məzukohgəmə, arbanək mogon nan də wəŋgla nan azet ɗiiyi. 
TIT.3.5	Akoh gəməka, vi wəza an məgəɗ təstəssi ɓa, amma vi awləmək sahə, adan mərah baptem, Əmpəs Salala* amamək meleketemə, akpaŋgamək ɗii meleketemə. 
TIT.3.6	Yaŋ Maŋgəlva azi Əmpəs nan akam diiɗa də Zezu Krestu məzukoh gəmə. 
TIT.3.7	Vi wənna Krestu məsam salala* də mbəlembəle nani aba Maŋgəlva, məsam gən ɗii nawrəh zeŋgille nasuwa ha faɗə, an məs mədaɗum akani. 
TIT.3.8	Aŋki wəpel an fəkat van kana.
TIT.3.8	Nəŋgələk kəsok gən də wənnəska, vi ɗii məs dətafən Maŋgəlva də ganən gən wəza mogon va adaɗɗaŋ, wənnəs mogoni, watər wəray azet ɗiiyi. 
TIT.3.9	Amma wəbay ma net dərweŋge, də wəŋɗan wənna əlfa net dəhiŋgiɗmə, wənna wəgaya, də wəbay ma aka wənna ma henziŋ, məzi zukum azani atərna wəray ɓa wən ɗarri. 
TIT.3.10	Ɗəf məzaɗɗa zəga nawɗeket ɗii, məsəɓ sən təl sula, an dəpprəm ɓa, azar səzani apani. 
TIT.3.11	Kəsənka ɗəffan vaska amzlaka apanək tive mogoni tayəɗɗa mambraya, atawək kita aka zənna, azəka.
TIT.3.12	Pay nədaw slən suk Artemas, walla Titikus, say kəgəm gən zuko kəde gən wərahu a Nikapolis, vi nəɗumək nasva adaka. 
TIT.3.13	Abaah sən arkali Zenas, də Apollos, asok zuk əpsit zəga vi dətər sit gən wəray vi malaka neti. 
TIT.3.14	Say ɗii nam bo dəyaganən wəɗɗa wəza mogoni, vi kabaah sit ɗii meɓɓeti, an wəray nan tay, an tay vas ɓana wətaf net atər na wəray ɓa.
TIT.3.15	Ɗiiyen məs də in pak asɗokunko. Asɗet baynəŋgiɗəm məs də wətafa.
TIT.3.15	Mbəlembəle na Maŋgəlva dəsan də munokum pakə.
PHM.1.1	Letərəŋka səza Pol mədaŋgay vi Zezu Krestu ade, mənam də Timote məslən aza Filemon baynam na makram məgəɗ wəza də mənamə, 
PHM.1.2	gəm məslənək azat Afiya, akən məlməmə, gəm aza Arkippus, məza baah səm də wəza, gəm azet ɗii na Maŋgəlva məkkelit neŋgil annokda. 
PHM.1.3	Maŋgəlva Affəmə də Ɗəfdaya nam Zezu Krestu dəpsukumən mbəlembəle də zəzaya.
PHM.1.4	Məlmu Filemon pay məs nədaw zuli sən Maŋgəlva pak əntatəɗum akoko, əntatəgəɗ sən soko. 
PHM.1.5	Əntatəpprəm əŋgla nok viyit ɗii na Maŋgəlva pakə, də wətaf nok məs kətaf Ɗəfdaya Zezu. 
PHM.1.6	Intatəssohon Maŋgəlva vi wəkkal nam məs dəsapam də ətafa, də baah səmə gən ərban səm zəzay məs mərah də Krestu. 
PHM.1.7	Məlmuwa, wəŋgla nok annekək zu sawɓa avay suwək sembe, kəsil gənək makret ɗii na Maŋgəlva.
PHM.1.8	Vi vaski nəgəɗ wəza də sembe məs Krestu avayəŋ ɓa. Wanəɓap wənah suk an məs dəslə, 
PHM.1.9	amma vi wənna əŋgla. Intatəkamok dəkamə. In Pol ɗəf metiŋ nani, kakaŋ bo mədaŋgay nan vi Krestu, 
PHM.1.10	əntatəkamoko vi wətu Onesimus, an məs nəwə a daŋgay də wənna Maŋgəlva, vi əntə nəɗi aka tive nawtafa. 
PHM.1.11	Daga farə dətər suk wəray ɓa, amma kakaŋ na watər suk wəraya, də in pak watər su wəraya.
PHM.1.12	Kakaŋ na əntatəmil gən suko, maɗulawa, də əŋgla naw pak tay mbat dəndən. 
PHM.1.13	Nəŋgələk wəppan azaw dəgəɗ suwə gən wəza va məs kəgəɗ su pay nəsaw a daŋgay vi Wən Neneke. 
PHM.1.14	Amma nəŋger dəsan gən vas məza is kəŋgəl wəɗɗan vas ɓaɓa. Vi nədaw gəɗ suk dewle naɗɗa mogon ɓa, say də san gən də əŋgla noko.
PHM.1.15	Kuzuŋ Onesimus awɗak də'is pay suɗike na, vi kərəh gən dəsan gən annokda ha faɗə. 
PHM.1.16	Yaŋkan kakaŋ na tay va balam ɗar əmpa ɓa, adayək ki balam, tay va məlma an məŋgluwən diiɗa adəv ətafa, nəŋgluwək sawɓa, amma nəsənək na is kədaŋgluwən daykiwa, vi əŋgluwən va ɗəffi kaaka ɓa, amma əŋgluwən va məzəsban Ɗəfdaya.
PHM.1.17	An kuluwək va baynoko, ataf annokda va kətafwa. 
PHM.1.18	An agəɗ sukuk mbrayen, agəmək zəga səvoko, aŋɗan akawa. 
PHM.1.19	In Pol nəver də vawa, wanəfaɗ suko. Nəŋgəl ənah suk na əntə na koh gən zeŋgilleko. 
PHM.1.20	Kamə məlmuwa aɗɗa vaska vi əŋgla na Ɗəfdaya, anneken su makrawa va an dəslə aza ɗəf də məlmən adəv Krestu.
PHM.1.21	Nəsənəka wakəɗɗa an məs nənah suko, pay məs never suk na, nəsənka wakəɗɗa dayki an məs nənah suko. 
PHM.1.22	Amma vaskəmpa bo məzaɓan su təki naw tehe, nəsənka Maŋgəlva wazlan sukum wəkkam nokum wapsu tive namndaw ulukum.
PHM.1.23	Epafras məs na daŋgay də in vi Zezu Krestu asɗokuko, 
PHM.1.24	gəm Markus də Aristarkus gəm Demas gəm Luka məɗɗaŋ wəza de in asɗokunko.
PHM.1.25	Mbəlembəle na Ɗəfdaya Zezu Krestu də san də munokum.
HEB.1.1	Daga far laŋka, Maŋgəlva apel sitik dəhiŋgiɗəm də tive temtem diiɗa, də met məs kleŋɗe. 
HEB.1.2	Amma aza wəgrak na pay nan kana, Maŋgəlva apel səmək də ma Wətəni. Dəni Maŋgəlva azəməɗ dəlva də təki a disiŋ, Maŋgəlva awelik ka zəga pak dəsan gən kanan ha faɗə. 
HEB.1.3	Wətən Maŋgəlva* tayərban təki babar na gakdak na Maŋgəlva, agilik va Maŋgəlva, tayərma dəlva də wəpel nan məs də sembe. Dərɓaga askoɓ mambray net ɗii nani, asanək a disiŋ dəka van dəzəŋ na Maŋgəlva məs də gakdak pakə.
HEB.1.4	Wətən Maŋgəlva adayək kiyit maslayɗe də gakdaka, Maŋgəlva apsənək iya dayki iya neti. 
HEB.1.5	Vi Maŋgəlva dənah sən maslay ɗaah na:
HEB.1.5	Wətu kənani, nəwəkuk dəpaŋka ɓa.
HEB.1.5	Dənah sən ɗaah maslay na:
HEB.1.5	Wanəkpaŋ Affuko, nok bo wakəkpaŋ Wətuwa ɓa.
HEB.1.6	Amma adan Maŋgəlva tay gu'o nawslən Wətən an dabəŋ nan aka dəlva, amna:
HEB.1.6	Say maslayɗe na Maŋgəlva pak dukdukoŋ sənən gəni.
HEB.1.7	Apprəm an Maŋgəlva apel aket maslayɗe nani:
HEB.1.7	Maŋgəlva akpaŋgetik maslayɗe nan səmnya,
HEB.1.7	məɗɗaŋ wəza nan bo enzil offoŋ.
HEB.1.8	Amma an məs anah aka Wətən Maŋgəlva na:
HEB.1.8	Mazaŋga na məlĩ noko, aw Maŋgəlva wasan ha faɗə,
HEB.1.8	istatə zəm məlĩ nok də tive təstəssə.
HEB.1.9	Kəŋgluwək goŋga, kəzelik tepelke.
HEB.1.9	Vini Maŋgəlva məs Maŋgəlva nok awelko,
HEB.1.9	annekenək zuko dəwəpsuk gakdak
HEB.1.9	an dədayki məs apsit ɗii məs dədasoŋ di'isi.
HEB.1.10	Yaŋ anah əmpa na:
HEB.1.10	Aw Ɗəfdaya kəzəməɗək dəlva fuŋ daga wətəŋ nani,
HEB.1.10	istə kəzəməɗ təki a disiŋ də voko.
HEB.1.11	Net zigeɗis wagrakaŋ pakə, amma noko wakəsok ha faɗə.
HEB.1.11	Net waŋgisiɓeŋ pak va lukutɗe,
HEB.1.12	wakəktim va lukut metiŋ.
HEB.1.12	Wakpaŋgaŋ va lukutɗe ɗarə,
HEB.1.12	amma nok na kəkpaŋ na ɓa, kəgal na ɓa.
HEB.1.13	Maŋgəlva dənah sən ɗaah maslay na:
HEB.1.13	Asok aka vaw dəzəŋ,
HEB.1.13	nəvoŋgiti gən məzuzel kun ka təki naw ɗi tulko ɓa.
HEB.1.14	Mədəŋgaŋ maslayɗe di? Ndəɗaŋgəŋ Əmpəsɗe məzəɗɗaŋ sənən wəza sən Maŋgəlva. Maŋgəlva tay slinit dəbaahaŋ sitin gən ɗii məs dədawkohoŋ.
HEB.2.1	Vi vaski, say məzi gən zəm aza goŋga an məs məpprəməŋka, vi mədawza ki tive ɓa. 
HEB.2.2	Halabara məs maslayɗe akiyaŋ farəŋka, goŋga nan arbanək zəni, ɗəf məs dəsban ɓa, warah kita məs dəslə aza mambray nani. 
HEB.2.3	Mbar mbar mədawkoh kan an məsganək wəkoh metiŋginiŋ di? Ɗəfdaya sən kiyən arbanək wəkoh van dabəŋ, ɗii məs dəpprəməni, arbanenək wənani aziw gininke. 
HEB.2.4	Maŋgəlva bo asɓanək saydawa net də wərban səm sembe nan də sokeneɗ temtemi. Yas kəmpa apsit Əmpəs Salala* sit ɗii nan va an aŋgələ. Wətən Maŋgəlva* akəmək aza wəkoho.
HEB.2.5	Vi Maŋgəlva dəpsit tive sit maslayɗe dəzəmaŋ gən məlĩ aka dələv məs dədazanəŋ ɓa, an məs mədawpel akanəŋka. 
HEB.2.6	Verse maɓɓan amna:
HEB.2.6	Mi ɗəf kan kəɗum gən akan di,
HEB.2.6	wətən Adamu nanawa naslga sləma akan di?
HEB.2.7	Kəgəsanək pay suɗike azet maslayɗe,
HEB.2.7	kəpsənək gakdak metiŋgin va məlĩya.
HEB.2.8	Kəpsənək ko mi pak amba təlni.
HEB.2.8	Yaŋ Maŋgəlva aɗi zəga pak amba təl ɗəffa va an məs anah wənnani. Amma məɓəl ula ɗəf dawzəm məlĩ aket zigeɗ van pak tagay ɓa. 
HEB.2.9	Amma mulak va Maŋgəlva agəsan Zezu amba tilit maslayɗe pay suɗike, vi Zezu amtək viyit ɗii pakə, dəndən ni kan merah mbəlembəle na Maŋgəlva, kakaŋ na Zezu arahək gakdak də wəɗi kini, vi bonoy məs assə də əmta nani. 
HEB.2.10	Vi vaski Maŋgəlva dəzəməɗ zəga pakə ndən dədawgani, makran aŋgluwək vaska, akpaŋganək Zezu təstəssə də wəppan adəv bonoy, vi dəke gin kirin diiɗa adəv gakdak nani. Vi Zezuwi dədawket atəki nawkoho.
HEB.2.11	Zezuwi dəskoɓ mambray net ɗiiyi, ɗii məs məskoɓ mambray net van bo akpaŋgaŋgək Affit taka. Vini wil dədanən Zezu daw yet nok milmiŋgiɗwa ɓa. 
HEB.2.12	Va anah na:
HEB.2.12	Aw Maŋgəlva nawa, wanəpel wənok azet milmiŋgiɗwa, waməya
HEB.2.12	gəlya na gakdokok awalaŋ wəkkal net ɗii na pakə.
HEB.2.13	Yaŋ anah əmpa na:
HEB.2.13	Wanəpan kiyu pak ava Maŋgəlva.
HEB.2.13	Yaŋ məs wənah əmpa na:
HEB.2.13	Inyakəŋkə dit kirin məs Maŋgəlva avayə.
HEB.2.14	Kirin net tahəŋ də gəɓa ziti dit mbeli, ndəni kan Zezu bo asan va ndəɗaŋ, agəmək gəɓa zə ɗəffa vaneti, aɗɗa vasna, vi də əmta nani adawzan ɗəffan də sembe aka əmta, ndəni Satan. 
HEB.2.15	Vi kamet ɗii mes dəsoŋ balemɗe adəv pay nanziya na zeŋgillet pakə, vi geslne adek sən əmta. 
HEB.2.16	Wənan agilik kotakə, sit maslayɗe adabaah sit ɓa, amma va ɗerewel anah na:
HEB.2.16	Tay baah sit kirtin Abraham.
HEB.2.17	Dewle say dəgil gən va milmiŋgiɗni adəv zəga pakə, vi dəsan gən daya net məs dəlveŋge, an də goŋga də ula saha adəv wəza nan pak aba Maŋgəlva, vi ɗii dərəhaŋ gən wəviyan mambray neti. 
HEB.2.18	Kakaŋ na waɓap wəbaah sit ɗii məs nadəv wəraka, vi nan bo mərakani azəmək saha.
HEB.3.1	Munokum milmiŋgiɗu kretiyenɗe, məs Maŋgəlva ayə nawtoŋgukum məlĩ nani, məɗumon wənna Zezu an Maŋgəlva aslən dəsan gən daya net məs dəlveŋge də wətaf an məs mədarban wənanəŋka. 
HEB.3.2	Vi tayəɗɗa zəga təstəssə aza Maŋgəlva, muwelni vi wəzaŋka, va Moyis asan təstəs aka wəza eŋgil ana Maŋgəlva da pakə. 
HEB.3.3	Mərkə gəla adayək ki gəla də gakdaka. Vaski bo Zezu adayək ki Moyis də gakdaka. 
HEB.3.4	Gəla pak ɗəf dədaw ziw gəni, amma Maŋgəlvayi dədaw ziw gən zəga pakə. 
HEB.3.5	Moyis təstəssi adəv gəla na Maŋgəlva pakə. Gawla na Maŋgəlvayi, apelik wənnet zigeɗ məs Maŋgəlva adarbet adəv pay məs dədazani. 
HEB.3.6	Amma Krestuwi Wətən Maŋgəlva* məs də goŋga, Ɗəfdayayi eŋgil ana Maŋgəlva da, mənamtə gəla nani, an məppan wəsok zəm də goŋga nan ɓa, an mənam tatə gan ha pay wəgrak nani.
HEB.3.7	Əmpəs na Maŋgəlva amna:
HEB.3.7	An kəpprəmənək wəlaw dəpaŋka,
HEB.3.8	kədawɓoŋgoŋ va net dəhiŋgiɗkum aɓoŋgoŋ
HEB.3.8	akaw pay wərak agəɗ a muya ɓa.
HEB.3.9	Adaki dəhiŋgiɗkum arakawəni,
HEB.3.9	aslanənək wəɓəs nawa,
HEB.3.9	ko də adawlanən wəza naw wəsva kaklaw poɗo.
HEB.3.10	Ndəni kan gədəvu adə aketi, yaŋ nənah na:
HEB.3.10	Tahəŋ wəzlaɓaŋ də wəɗum neti,
HEB.3.10	də sənən tive naw ɓa.
HEB.3.11	Vi wəda gədəv nawi nəsuway na:
HEB.3.11	Arəhaŋ na wətoŋ atəki naffet naw ɓa.
HEB.3.12	Milmiŋgiɗwa məzi zukum, vi ko ɗəf taka səmbokum adawsan də makran mbrayen məza də wətaf ɓa, kapan Maŋgəlva məs də Zeŋgille ɓa. 
HEB.3.13	Məsəɓ sən zukum pay pakə ha faɗə, va dəpaŋka. Va ɗerewel anah na: Mambray adawmbəɗokum ɓa, kədawɓoŋgoŋ ɓa. 
HEB.3.14	Vi mənam pak məkpaŋgək ɗii na Krestu, an mərmak wənnan də makram taka məppan ɓa, va mərma wənnan daga wətəŋ nani.
HEB.3.15	Ɗerewel na Maŋgəlva amna:
HEB.3.15	An kəpprəmənək wəlan dəpaŋka,
HEB.3.15	kədawɓoŋgoŋ va dəhiŋgiɗkum aɓoŋgoŋ aka Maŋgəlva ɓa.
HEB.3.16	Maynawaŋ dəpprəmən wəla Maŋgəlva aɓoŋgoŋ akan di? Ɗii məs Moyis agil git sə Misra pak nekəŋ. 
HEB.3.17	Maynawaŋ gədəv Maŋgəlva adə aket wəsva kaklaw poɗo di? Gədəvən adək aket məɗɗaŋ mambraya, məs dəsbraŋ a muya amtaŋ. 
HEB.3.18	Yaŋ Maŋgəlva a suwayə: Atoŋgoŋ na atəki naffet naw ɓa. Sit mədəŋga adawpel di? Aket ɗii muɓoŋgit nak adawpele. 
HEB.3.19	Mulaka dətoŋgoŋ atəki naffet nak ɓa, vi dətafaŋ ɓa.
HEB.4.1	Maŋgəlva anahək na wapsəm tive nawtoŋ atəki naffet nani. Say məzi səm zəmə, vi ɗəf səmbam adawbew ko taka dawtoŋ atəki naffet nan ɓa. 
HEB.4.2	Vi nam van bo məpprəmək labara nenek venet ɗii na muya neki. Apprəmənka, amma dətər sit wəray ɓa, vi dərmanən wənan də wətaf ɓa. 
HEB.4.3	Amma namə mətafəka, vini mədawga pay nawtoŋ atəki naffet na Maŋgəlva, va Maŋgəlva anah na:
HEB.4.3	Vi wəda gədəv nawi nəsuway na:
HEB.4.3	Atoŋgoŋ na atəki naffet nawkpak ɓa samə.
HEB.4.3	Yaŋ anah na: Agrakək wəza nan daga farfar pay azəməɗ dəlva fuŋ. 
HEB.4.4	Ɗerewel na Maŋgəlva anahək atəki maɓɓan aka wənna pay naffet na:
HEB.4.4	Aka uvoŋ ma buhuloni Maŋgəlva afet səka wəza nan pakə.
HEB.4.5	Wənnan məverni adəv ɗerewel atəki maɓɓan na:
HEB.4.5	Arəhaŋ na wətoŋ atəki naffet naw kpak ɓa.
HEB.4.6	Ɗiiyen dəpprəmən Wən Nenek na Maŋgəlva dabəŋ dətoŋgoŋ atəki naffet nan ɓa vi dətafaŋ ɓa. Amma ɗii meɓɓet tahəŋ məpsiti tive dətoŋgoŋ gən atəki naffet nani. 
HEB.4.7	Ndəni kan Maŋgəlva aɗi pay meleketeni ndəni adawyaŋ na (dəpaŋka). Apelik wənnan dərɓaga wəsva diiɗa, də ma Davit amna:
HEB.4.7	An kəpprəmənək wəlla Maŋgəlva dəpaŋka,
HEB.4.7	kədawɓoŋgoŋ ɓa.
HEB.4.8	Va Zosuwayi dəke ɗii atəki naffet na Maŋgəlva na, Maŋgəlva apel na wənna pay maɓɓan dərɓaga as kəmpa ɓa. 
HEB.4.9	An vaski na pay naffet net ɗii na Maŋgəlva wade ba'ə. Wəfet nan agilik va wəfet na Maŋgəlva məs anah adəv pay mabuhuloni. 
HEB.4.10	Vi ko naway dətoŋ atəki wəfet nani, wafet səka wəza nan va Maŋgəlva bo afet səka wəza nani. 
HEB.4.11	Vini say məsok səm zəmə, mərah gən wətoŋ atəki naffet na Maŋgəlva. Ɗəf səmbram adaw ɓoŋ akan vanet ɗii nek aɓoŋgoŋ nak ɓa, vi mədaw sam məza wərah wətoŋ atəki naffet ɓaɓa.
HEB.4.12	Wəpel na Maŋgəlva madarani, də sembeyi. Adayək ki kafahi ko awandi pakə məs man sula gən nawtaw zəga. Nan wataw ha gap amet sleŋsleŋɗe də afunufunu. Va wənah na Zeŋgille də Əmpəsa. Nan bo tay taw kita aka wəsim zəga də wəɗum na makret ɗiiyi. 
HEB.4.13	Zəga tay dəɗam aza Maŋgəlva ɓa. Zəga pak appakayi ama harani. Dewle mənam pak waməŋɗan wənna zəm pak də mam abani.
HEB.4.14	Vini say mərma gən wətafəŋ də makram taka, an məs mədawpeliŋka, vi mənam tat də daya net məs dəlveŋge na Maŋgəlva məs dəgap atəki nasuwa na Maŋgəlva, ndəni Zezu Wətən Maŋgəlva*. 
HEB.4.15	Daya net məs dəlveŋge nam waɓap ula saha akamə vi wəvir namə, vi nani mərakani va nam pak dakadaka, amma nan dəgəɗ mambray ɓa. 
HEB.4.16	Vi wənnəski məde səm aza Maŋgəlva məza də geslne ɓa makram taka atəki məs mbəlembəle asani, mərah gən ula saha nan adaka, ko pay wəvir nam asan pakə.
HEB.5.1	Daya net məs dəlveŋge pak sə waleŋgit ɗii adaw welini, wagəɗ wəza sən Maŋgəlva viyit ɗiiyi, wapsən zəga an məkiyən də zəga mətaw wəlan sən Maŋgəlva, vi kaviyan mbrayen net ɗiiyi. 
HEB.5.2	Waɓap ula saha aket ɗii məs tahəŋ də wəsən ɓa, məɗɗaŋ mambraya, vi ndən sən kini məverni aza zəga temtem diiɗa. 
HEB.5.3	Vi vaski say dətaw gən wəlla zəga vi kaviyan mambray na ki zən tagay, asna wataw wəlla zəga viyit ɗii pakə. 
HEB.5.4	Ɗəf tay dədawsan də gakdak ko daya net məs dəlveŋge na Maŋgəlva ɓa. Say Maŋgəlva dədaw yani, va aya Aron.
HEB.5.5	Vaski bo Krestu də gakdakan zən də san gən daya net məs dəlveŋge na Maŋgəlva ɓa. Amma Maŋgəlvayi dənahsən na:
HEB.5.5	Əstə Wətuwa, nəwəkuk dəpaŋka.
HEB.5.6	Anahək atəki maɓɓan əmpa na:
HEB.5.6	Wakəsok məs dələv* naw ha faɗə va Malkisadaka.
HEB.5.7	Daga Zezu adawsan aka dəlva, azulik də wəkkaman Maŋgəlva də wəhəm dit sini, vi Maŋgəlva waɓap wəkoh gən səma əmta. Maŋgəlva bo apprəmək wəkkam nani vi tay ɓəsən də gakdakan zən ɓa. 
HEB.5.8	Amma ko vi asan Wətən Maŋgəlva* zlaŋ, ayaganək wəpprəm ma də wəzəm saha. 
