MAT.1.1	Yeezuu yaabɔɔ wɔɔ ba n nɩ: Yeezuu ɩ yɩrɛ ɩ ʊ, cir *Davɩd Nyɩ m, Abraham do gʊaa m sɔ.
1JN.3.22	Kʊ wɔɔ hɔ yɛ han, wɔɔ y'a yɩrɛ, bala, wɔɔ a lɛrɔ wɔɔ si, ʊ nɩ hɔ k'a nɔ yɩ bɩ barɛ. 
1JN.3.23	Ba a lɛ n na: K'ʊ sɩra ka a Nyɩ Yeezuu Krista bɩ tɔ ʊ, k'ʊ kʊ ŋʊa amba a lɛ ka wɔɔ ʊ bɩ m. 
1JN.3.24	Gʊaa k'a n'a lɛrɔ wɔɔ sire, a ɩ kan Woso kɩ, Woso nɩ kan kɩ sɔ. Wɔɔ dɔ wɔɔ ʊ, a ɩ kan wɔɔ kɩ, Sɛnt-Ɛspri k'a ka wɔɔ ʊ bɩ minto.
1JN.4.1	M gʊaasɩbɔɔ, a bɩ sɩra ka gʊɔɔ haay kʊ ŋ ʊ, a ɩ Sɛnt-Ɛspri m nɔ wɔɔ ʊ y. K'a ŋ ka a lɛɛ a dɩga ŋ ma, kʊ Sɛnt-Ɛspri ŋ nɩ ta m paan… gɛɛ hɔ vanta m gɛ. Bala, ŋʊaarlɛsinnɩsorazannɔ gʊta y'a kərgu durnya ra. 
1JN.4.2	Hɔ niŋŋə k'a n'a karɛ awɔɔ m Sɛnt-Ɛspri bɩ dɔ bɩ ba n nɩ: Gʊaa k'a bɔ a lɛ ma, a ʊ, Yeezuu Krista a ba gʊaa bɩ, a ɩ Sɛnt-Ɛspri m. 
1JN.4.3	Bɩ gʊaa haay k'a bɩr Yeezuu Krista kasɛtɩ karɛ ncɩnaaʊ bɩ, bɩ zaa b'a Sɛnt-Ɛspri nɩ y. Zinə k'a nɩ Krista jɩm nɔ ʊ bɩ m, awɔɔ n a ma, n n'a hɩrɛ n ʊ, a ɩ zɛm bɩ. B'a lee ku durnya nɔ ʊ kaka. 
1JN.4.4	Awɔɔ kʊ Woso nyɩnɔ n'awɔɔ m bɩ, m nyɩnɔ ŋʊarɛrɔ, awɔɔ paŋŋa bʊr ŋʊaarlɛsinnɩsorazannɔ wɔɔ duro ra. Bala, Sɛnt-Ɛspri k'a nɩ kan awɔɔ kɩ bɩ paŋŋa lɛ da zinə k'a nɩ kan durnyazannɔ kɩ bɩ ra. 
1JN.4.5	Durnyazannɔ n ŋ mɩ, ŋn'ɩ durnya mim dɩndam, durnya n'a tʊr karɛ ŋ ma. 
1JN.4.6	Wɔɔ, Woso gʊɔɔ m wɔɔ m. Gʊaa k'a Woso dɔ bɩ, a tʊr an n'a kam wɔɔ ma. Gʊaa kʊ Woso gʊaa bɛɛ bɩ bɩr a tʊr kam wɔɔ ma y. Bɩ, wɔɔ nɩ Sɛnt-Ɛspri k'an sɩra bɩ dɔm ma kan zinə k'a nɩ Krista jɩm nɔ ʊ, an nɩ ŋʊaar bam bɩ kɩ.
1JN.4.7	M gʊaasɩbɔɔ, ʊ kʊ ŋʊa, bala, ŋʊarɛ bɩ, a to a ʊ Woso zi. Gʊaa niŋŋə haay k'a a mim ŋʊa Woso y'a yɩ, a Woso dɔ. 
1JN.4.8	Gʊaa k'a bɩr a mim ŋʊarɛ, a n Woso dɔ y, bala, Woso bɩ ŋʊarɛzaa m. 
1JN.4.9	Woso ŋʊarɛ k'a hɩnka wɔɔ bire ʊ bɩ ba n nɩ: Woso a Nyɩ deem nyɔɔ durnya ʊ, kʊ wɔɔ n mɩsɩrbaa ba a minto. 
1JN.4.10	Ba a ŋʊarɛ bɩ n na: Wɔɔ bɛɛ ɩ Woso ŋʊa y, a ɩ wɔɔ ŋʊa. A y'a Nyɩ nyɔɔ, k'an bɩ nyɩnta mannɩhɔ wɔɔ mimbʊnyaarɔ minto. 
1JN.4.11	M gʊaasɩbɔɔ, kʊ Woso wɔɔ ŋʊa ncɩnaaʊ, wɔɔ sɔ, wɔɔ ʊ ga m, ʊ kʊ ŋʊa. 
1JN.4.12	Gɔsɩ n Woso yɩ cɩna y. Kʊ wɔɔ kʊ ŋʊa, Woso ɩ kan wɔɔ kɩ, b'a ŋʊarɛ b'ɩ kan wɔɔ kɩ paan….
1JN.4.13	Sɛnt-Ɛspri k'a a ka wɔɔ ʊ bɩ minto, wɔɔ dɔ wɔɔ ʊ, wɔɔ ɩ kan kɩ, an nɩ kan wɔɔ kɩ. 
1JN.4.14	Bɩ wɔɔ yɩ, wɔɔ n'a kasɛtɩ karɛ, wɔɔ ʊ, Woso a Nyɩ bɩ nyɔɔ k'an bɩ yɩ durnya bʊmbɔrɛzaa. 
1JN.4.15	Gʊaa niŋŋə haay k'a bɔ a lɛ ma, a ʊ, Yeezuu Krista bɩ Woso Nyɩ nɩ, Woso ɩ gɔɔtam kan kɩ, an nɩ kan Woso kɩ. 
1JN.4.16	Bɩ wɔɔ, wɔɔ Woso ŋʊarɛ k'an ta m wɔɔ minto bɩ dɔ, wɔɔ sɩra ka naa ʊ sɔ. Woso bɩ, ŋʊarɛzaa m. Gʊaa k'a gɔɔta ŋʊarɛ nɔ ʊ, a zaa ɩ gɔɔtam kan Woso kɩ, Woso nɩ gɔɔtam kan kɩ. 
1JN.4.17	Bɩ minto y'a ka, ŋʊarɛ nɩ wɔɔ nɔ ʊ paan…, wɔɔ n n'ʊ dam ma, ʊ heerkoodəbaa yɩ dʊdɔkarɛ hinni ʊ. Bala, Yeezuu k'an hɔ niŋŋə bɩ, wɔɔ maam sɔ durnya naa do nɔ ʊ. 
1JN.4.18	Dabɔʊ ba ŋʊarɛ nɔ ʊ y. Bɩ ŋʊarɛ paan… ɩ lam nyibəə ra. Bala, nyibəə ɩ kan booti fɩryɩrɛ kɩ. Bɩ, gʊaa k'a nɩ nyi barɛ, ŋʊarɛ paan… b'a nɔ ʊ y.
1JN.4.19	Kʊ wɔɔ nɩ, wɔɔ ɩ kʊ ŋʊam, bala, Woso ɩ lɛɛ ka an wɔɔ ŋʊa. 
1JN.4.20	Kʊ gʊaa a hɩ a ʊ: «Mɔɔ ɩ Woso ŋʊam», an bɔkarɛ, an sɔ a danyɩ m, ŋʊaarzaa m. Sɩra m, gʊaa k'a bɩr a danyɩ k'a n'a yɩm bɩ ŋʊarɛ, a b'a dam ma, an Woso k'a bɩr a yɩm bɩ ŋʊa y. 
1JN.4.21	Ba lɛ kʊ Krista a ka wɔɔ ʊ bɩ n na: Gʊaa k'a nɩ Woso ŋʊam, k'an a danyɩ ŋʊa sɔ.
1JN.5.1	Gʊaa niŋŋə haay k'a sɩra ka a ʊ, Yeezuu bɩ Krista m, Woso nyɩ m. Gʊaa niŋŋə haay k'a Zɩ ŋʊa, a a Nyɩ ŋʊa sɔ. 
1JN.5.2	Hɔ k'a n'a hɩnkarɛ a ʊ, wɔɔ Woso nyɩnɔ ŋʊa bɩ ba n nɩ: Kʊ wɔɔ Woso ŋʊa, ʊ nɩ zure a lɛrɔ ʊ. 
1JN.5.3	Ba wɔɔ ŋʊarɛ kan Woso kɩ bɩ n na: Kʊ wɔɔ n a lɛrɔ si. B'a lɛrɔ wɔɔ, mɔr gorezaa bɛɛ y. 
1JN.5.4	Bala, gʊaa haay kʊ Woso y'a yɩ bɩ bʊr durnya ra. Hɔ k'a bʊr durnya ra bɩ, wɔɔ sɩrakarɛ m. 
1JN.5.5	Nka ɩ bʊr durnya ra? Kʊ bɩ m, gʊaa k'a sɩra ka, a ʊ, Yeezuu bɩ, Woso Nyɩ m.
1JN.5.6	Yeezuu Krista ɩ bʊr durnya ʊ, an a hɩnka hi m kan ma kɩ. Hi bɛɛ m bala y, hi m kan ma kɩ. Bɩ, Sɛnt-Ɛspri n'a kasɛtɩ kam, bala, Sɛnt-Ɛspri m sɩra. 
1JN.5.7	Ŋ kaakʊ, ŋ n'a kasɛtɩ karɛ: 
1JN.5.8	Sɛnt-Ɛspri, hi kan ma kɩ. Bɩ ŋ kaakʊ rɔ wɔɔ kasɛtɩ deem ŋ n'a karɛ. 
1JN.5.9	Kʊ wɔɔ ɩ gʊɔɔ kasɛtɩ sire, Woso kasɛtɩ bɩ gʊtabaa lɛ da. Ba Woso kasɛtɩ bɩ n na: A kasɛtɩ ka a Nyɩ b'ʊ. 
1JN.5.10	Gʊaa k'a sɩra ka Woso Nyɩ b'ʊ, a ɩ kasɛtɩ naa do m a heer ʊ. Gʊaa k'a n sɩra ka Woso ʊ bɩ, Woso ba an nawʊm ŋʊaarzaa. K'a n sɩra ka kasɛtɩ kʊ Woso a ka a Nyɩ b'ʊ bɩ minto. 
1JN.5.11	Ba kasɛtɩ bɩ n na: Woso mɩsɩrbaa k'a nyarɛ ba ʊ bɩ ka wɔɔ ʊ, bɩ mɩsɩrbaa bɩ do ɩ Nyɩ bɩ zi. 
1JN.5.12	Gʊaa k'a nɩ kan Nyɩ bɩ kɩ, a ɩ mɩsɩrbaa m. Gʊaa k'a ba kan Woso Nyɩ bɩ kɩ, a ba mɩsɩrbaa bɩ do nɩ y.
1JN.5.13	Naa haay gʊrsɩra ba mɔɔ ʊ awɔɔ ma, awɔɔ k'a nɩ sɩra kam Woso Nyɩ b'ʊ bɩ, k'awɔɔ n a dɔ a ʊ, a ɩ mɩsɩrbaa k'a nyarɛ ba ʊ bɩ m. 
1JN.5.14	Hɔ k'a nɩ wɔɔ heer bam kookoo Woso zi bɩ ba n nɩ: Kʊ wɔɔ hɔ niŋŋə yɛ han an zu a hɔɔnhɔ ʊ, a y'a tʊr kam wɔɔ ma. 
1JN.5.15	Bɩ kʊ wɔɔ dɔ, ʊ ʊ, kʊ bɔ wɔɔ yɛ han a y'a tʊr kam wɔɔ ma bɩ, wɔɔ dɔ wɔɔ ʊ, wɔɔ ɩ hɔ kʊ wɔɔ yɛ bɩ m.
1JN.5.16	Kʊ gʊaa a danyɩ yɩ, an nɩ mimbʊnyaa barɛ, mimbʊnyaa bɩ do bɩr tam zɛ bɩncɛ ʊ, k'an yaa da. Woso mɩsɩrbaa kaŋ ʊ, kʊ mimbʊnyaa bɩ do bɩr tam zɛ bɩncɛ ʊ paan… y. Bala, mimbʊnyaa ta ʊ, an nɩ tam zɛ bɩncɛ ʊ. Mimbʊnyaa bɩ do minto bɛɛ mɔɔ ʊ, a yaa da y. 
1JN.5.17	Zibəə bʊnyaa haay bɩ, mimbʊnyaa m. Bɩ, mimbʊnyaa haay bɛɛ nɩ tam zɛ bɩncɛ ʊ y. 
1JN.5.18	Wɔɔ dɔ wɔɔ ʊ, gʊaa niŋŋə haay kʊ Woso a yɩ bɩ bɩr mimbʊnyaa bam dʊntɔ y. Bala, Woso Nyɩ b'ɩ dɔm ma, *Bʊnyaabarɛzaa bɩr heer bam ma y. 
1JN.5.19	Wɔɔ dɔ wɔɔ ʊ, Woso gʊɔɔ m wɔɔ m, bɩ durnya haay jilli ɩ *Bʊnyaabarɛzaa wɔ ʊ. 
1JN.5.20	Bɩ wɔɔ dɔ sɔ wɔɔ ʊ, Woso Nyɩ bʊr, an bɩ wɔɔ hɔɔn gu, k'ʊ Woso paan… bɩ dɔ. Bɩ Woso paan… Nyɩ Yeezuu Krista nɔ wɔɔ n ta ʊ. A m Woso paan…, a m mɩsɩrbaa k'a nyarɛ ba ʊ bɩ. 
1JN.5.21	M nyɩnɔ ŋʊarɛrɔ, a b'a ka a *wosobaawɔnnɔ wɔɔ da ʊ y.
2JN.1.1	Mɔɔ, *Gʊaagusire, mɔɔ ɩ ci naa do nyɔɔ lʊ kʊ Woso a bɔ ʊ bɩ ma kan a nyɩnɔ kɩ, mɔɔ nɩ ŋ ŋʊam paan…. Mɔɔ bɛɛ bala y, bɩ mɔɔ kan gʊɔɔ haay kʊ ŋ sɩra dɔ rɔ wɔɔ kɩ sɔ. 
2JN.1.2	Sɩra ɩ kan wɔɔ kɩ, b'a nyɩntam kan wɔɔ kɩ dɔmɩm k'a nyarɛ ba ʊ bɩ nɔ ʊ. 
2JN.1.3	Wɔɔ Zɩ Woso kan Yeezuu Krista, Woso Nyɩ bɩ kɩ barka nyɩntam kan wɔɔ kɩ, kan a cicirzɛrɛ kɩ, a laafɩɩ kɩ, sɩra kan ŋʊarɛ kɩ nɔ ʊ.
2JN.1.4	Mɔɔ heernyɔɔ gʊta yɩ, kʊ mɔɔ ɩ nyɩnɔ gɔsɩnnɔ yɩ, ŋn'ɩ tam sɩra zaa ra, amba lɛ kʊ wɔɔ Zɩ Woso a ka wɔɔ ʊ bɩ m. 
2JN.1.5	Naa ma kɛɛrɛ bɩ, lʊ, mɔɔ y'a yɛrɛ ɩbɩɩ han, ʊ kʊ ŋʊa. Mɔɔ bɩr lɛ daa gʊrsɩra barɛ ɩbɩɩ ma y, lɛ kʊ wɔɔ yɩ hallɩ a sɩŋŋɩda ʊ bɩ m. 
2JN.1.6	Ba ŋʊarɛ n na: k'ʊ ta a lɛrɔ wɔɔ zaa bɩ ra. Lɛ naa do awɔɔ nyɩnta a ma a sɩŋŋɩda ʊ, k'awɔɔ n ŋʊarɛ zaa bɩ sa. 
2JN.1.7	Bala, braba gʊɔɔ m zannɔ a kərgu durnya ra. Ŋ bɩr kasɛtɩ karɛ ŋ ʊ, Yeezuu Krista a ba gʊaa y. Gʊaa k'a nɩ naa bam bɩ, ŋʊaarzaa m, Krista jɩm m. 
2JN.1.8	K'a dundo a zi, a b'a ka awɔɔ zibəə bɩ nyɔɔdʊ bɩ n nyaam y, bɩ k'a ganwʊrɛ haay k'an ta ʊ yɩ. 
2JN.1.9	Gʊaa haay k'a bɩr gɔɔtam Krista hɔdɩndarɛ nɔ ʊ, an n'a hɔɔnhɔ zum la bɩ, a zaa ba kan Woso kɩ y. Gʊaa k'a gɔɔta a nɔ ʊ, a ɩ kan wɔɔ Zɩ Woso kɩ, a Nyɩ kɩ. 
2JN.1.10	Kʊ gʊaa bʊr awɔɔ zi, b'a ba hɔdɩndarɛ naa do nɔ ʊ, a b'a si a har ʊ y, a b'a nyaasɩ ka y. 
2JN.1.11	Bɩ gʊaa k'a nyaasɩ ka, a zɛ a ʊ kʊ ra kan kɩ a mimbʊnyaarɔ nɔ ʊ. 
2JN.1.12	Minno ta ʊ gʊta mɔɔ nɩ ŋ ci barɛ awɔɔ ma, bɩ mɔɔ n a ŋʊa kʊ m ŋ ba, ci m kan gar hi kɩ nɩ y. A ŋʊa mɔɔ ʊ kʊ m bʊr awɔɔ zi, kʊ m bɩ meer ba, m lɛ m kan awɔɔ kɩ, kʊ wɔɔ heernyɔɔ n yɩ gʊta paan…. 
2JN.1.13	Ɩ danlʊ kʊ Woso a bɔ ʊ sɔ bɩ nyɩnɔ ɩ yaa darɛ ɩbɩɩ m.
3JN.1.1	Mɔɔ, *Gʊaagusire, mɔɔ ɩ ci naa do nyɔɔ m ŋʊarɛzaa paan… Gayus ma. 
3JN.1.2	M gʊaasɩba mɩŋŋa, mɔɔ y'a yɛm Woso han k'ɩbɩɩ n bɩr mɩŋŋa hɔ haay nɔ ʊ, k'ɩbɩɩ laafɩɩ bɩ n bɩr mɩŋŋa, amba ɩ nyi hɔ bɩ m. 
3JN.1.3	Mɔɔ heer yɩ nyɩnta gʊta, bala, danyɩnɔ bʊr naa ʊ, ŋn'ɩbɩɩ mɩsɩrbaa kasɛtɩ karɛ, ŋ ʊ, ɩbɩɩ ɩ tam sɩra nɔ ʊ. Bɩ denter m, ɩbɩɩ ɩ tam sɩra nɔ ʊ. 
3JN.1.4	Mɔɔ heernyɔɔ gʊta k'a lɛ da haay bɩ, kʊ mɔɔ ma, ŋ ʊ, mɔɔ nyɩnɔ wɔɔ ɩ tam sɩra nɔ ʊ bɩ m. 
3JN.1.5	M gʊaasɩba mɩŋŋa, ɩbɩɩ hɔbaa mɩŋŋa kan danyɩnɔ wɔɔ kɩ, baa kan saanarɔ wɔɔ kɩ sɔ bɩ, sɩrakarɛ zibəə m. 
3JN.1.6	Ŋ y'ɩbɩɩ mɩŋŋabaa kasɛtɩ ka Krista gʊɔɔ taa. K'ɩbɩɩ ɩ da ŋ han amba Woso hɔɔnhɔ m, ŋ zaa sarɛ minto bɩ, a mɩŋŋa gʊta. 
3JN.1.7	Krista tɔ minto y'a ka, ŋnɩ wuti, ŋn'ɩ tam, bɩ ŋ n hɔsɩ si gʊɔɔ kʊ ŋ n Krista dɔ rɔ wɔɔ zi y. 
3JN.1.8	Bɩ wɔɔ, wɔɔ ʊ ga m, ʊ daahan ka gʊɔɔ wɔɔ duro ʊ, k'ʊ ʊ da ma, ʊ zi ba kan kʊ kɩ sɩra tɔ ma.
3JN.1.9	Mɔɔ ci ba Krista gʊɔɔ wɔɔ ma. Bɩ, Diyotrefɛs k'a nɩ lɛɛzaabaa ŋʊam ŋ barla bɩ, a bɩr yɛm mɔɔ hɔ ma y. 
3JN.1.10	Bɩ, kʊ mɔɔ bɩ bʊr, mɔɔ bɔm hɔ niŋŋə k'a a ba mɔɔ m haay kan a meerbaa bʊnyaa kɩ bɩ m. Bɩ, a n a ba naa n a bɔ y. A lɛ baa k'a danyɩnɔ wɔɔ si sɔ y, gʊɔɔ kʊ ŋ lɛ n taa k'a ŋ si rɔ wɔɔ a y'a tarɛ ŋ nɩ tolle, an nɩ ŋ bɔm Krista gʊɔɔ wɔɔ barla. 
3JN.1.11	M gʊaasɩba mɩŋŋa, ɩ bɩ gʊaa k'a bʊnyaa ba tar sa y, gʊaa k'a mɩŋŋa ba tar sa. Gʊaa k'a n'a mɩŋŋa barɛ, Woso gʊaa m, gʊaa k'a n'a bʊnyaa barɛ, a n Woso yɩ y. 
3JN.1.12	Kʊ Demetrus nɩ, gʊaa haay y'a kasɛtɩ mɩŋŋa karɛ. Sɩra mɩŋŋa y'a kasɛtɩ kam. Wɔɔ y'a kasɛtɩ kam, b'ɩbɩɩ dɔ, ɩ ʊ, wɔɔ kasɛtɩ bɩ, sɩra m.
3JN.1.13	Minno ta ʊ gʊta, mɔɔ n a ŋʊa kʊ m ŋ ci ba ɩbɩɩ ma, bɩ mɔɔ lɛ baa kʊ m ŋ ba gʊrsɩrabarɛhɔ m kan gar hi kɩ nɩ y. 
3JN.1.14	A ŋʊa mɔɔ ʊ, kʊ m b'ɩ yɩ dɔmɩm niŋŋə ʊ, k'ʊ sʊʊra ba kan kʊ kɩ. 
3JN.1.15	Kʊ laafɩɩ n bɩr kan ɩbɩɩ kɩ! Gʊaasɩbɔɔ wɔɔ ɩ yaa darɛ ɩbɩɩ m, k'ɩ yaa da gʊaasɩbɔɔ wɔɔ m, gʊaa biyəə m.
JUD.1.1	Mɔɔ mɩŋŋa Ziidi m nɩ ci bɩ bam, Yeezuu Krista zibəənyɩ m mɔɔ m, Zakkɩ dam m mɔɔ m sɔ. Ci bɩ ba mɔɔ nawʊrɛ awɔɔ ma, awɔɔ kʊ Zɩ Woso a ŋʊa, an awɔɔ bir k'a yɩ a gʊɔɔ, an nɩ dɔrɛ awɔɔ ma Yeezuu Krista tɔ ma rɔ wɔɔ.
JUD.1.2	Bɩ, kʊ Woso n a cicirzɛrɛ kan a laafɩɩ kɩ, a ŋʊarɛ kɩ ka awɔɔ ʊ gʊta.
JUD.1.3	M gʊaasɩbɔɔ ŋʊarɛ nɔ ʊ, mɔɔ ŋʊa gʊta kʊ m ci ba awɔɔ ma, kʊ m bʊmbɔrɛ kʊ wɔɔ ʊ da kʊ ʊ, ʊ n ta m bɩ mim dɩnda. Bɩ, mɔɔ bɩ dɩga a, pakra m kʊ m ci bɩ ba awɔɔ ma dɩɩtaa, kʊ m a yɛ a han k'a zoo ba sɩrakarɛ kʊ Woso a ka a gʊɔɔ wɔɔ ʊ gallɛm deem taan… dɔmɩm haay minto bɩ tɔ ma. 
JUD.1.4	Bala, gʊɔɔ bʊnyaarɔ a da wɔɔ zi, Woso barka lemim bɩ ŋ n'a nʊkʊm, k'a a da ma a mɩsɩrbaa ba a hɔɔnhɔ ma mimbʊnyaa barɛ nɔ ʊ, bɩsɩ ŋn'a kam Yeezuu Krista ma, an bɔkarɛ a mɩŋŋa y'a deem n soʊrezaa, a m wɔɔ Zuuba sɔ. Bɩ, Wosoci bɩ lɛɛ ka an gʊɔɔ nɔɔn duro dʊdɔyarlɛ kʊ ŋ n'a yɩm mim hɩ laatʊ.
JUD.1.5	Hɔ kʊ mɔɔ n'a ŋʊam kʊ m a hɩ kɛɛrɛ naa, awɔɔ dɔ mɩŋŋa, bɩ, mɔɔ lɛ n taa kʊ m a tɔ da a nɔ ʊ. Zuuba k'a gʊɔɔ wɔɔ bʊmbɔ lɔmbaa nɔ ʊ Eziptɩ kʊ ʊ bɩ, a a ya an so ra an gʊɔɔ kʊ ŋ n yɛ ŋnɩ sɩra ka ʊ rɔ wɔɔ zɩnzɛ. 
JUD.1.6	Bɩ, malɛɛkarɔ kʊ ŋ y'a bɩncɛrɔ to, ŋn'a zerga paŋŋa kʊ Woso a ka ŋ ʊ bɩ rɛ rɔ wɔɔ, awɔɔ dɔ a ʊ, Woso brɔɔ da baŋŋarɔ ʊ monsigə nɔ ʊ dɔmɩm haay minto, k'a bɩ ŋ dʊdɔ ka dʊdɔkarɛ hinni gʊta b'ʊ. 
JUD.1.7	Kʊ Sodɔm kan Gomɔɔr kɩ, kan kʊrɔ kʊ ŋ nɩ ŋ jɩr ma rɔ wɔɔ kɩ mim nɩ, awɔɔ dɔ sɔ. Kʊrɔ nɔɔn duro a mɩŋŋɔɔ sa, ŋn'a ka dintim zibəəro wɔɔ ʊ sɔ, ŋn'ɩ jaandarɛ k'an bʊnyaa maam-maam bam. Naa tɔ ma m, Woso n ŋ dʊdɔ yar, ŋn'ɩ sɛ k'a lihire ba ʊ fɩryɩrɛ nɔ ʊ, ŋ fɩryɩrɛ bɩ, makra m sɔ, k'a gʊaa haay zɛ kəbə.
JUD.1.8	Kan naa kɩ haay, gʊɔɔ kʊ ŋ y'a da wɔɔ zi rɔ wɔɔ, a ba ŋ nawʊrɛ am kʊrɔ nɔɔn duro hɔ bɩ m. A hɔɔn ŋ n'a dam mim daŋŋadɔɔ ma, bɩ n'a kam ŋn'ɩ jaan dam, ŋ bɩr yɛm Zuuba ma y, malɛɛkarɔ paŋŋazannɔ ŋn'ɩ ŋ sʊnsɔ wʊm sɔ. 
JUD.1.9	A n bɔkarɛ, Malɛɛkarɔ haay cir Misɛl mɩŋŋa, bʊr k'a ʊ, an nɩ bɩsɩ kam kan Sʊtaana kɩ Moyiisi gər sarɛ ma bɩ, a n yɛ an meerbaa bʊnyaa ba Sʊtaana ma y. A hɩ a ʊ bala, a ʊ: «Zuuba fɩr karɛ ɩ ma.» 
JUD.1.10	Bɩ, gʊɔɔ nɔɔn duro, hɔ kʊ ŋ n a dɔ bɩ ŋn'a sʊnsɔ wʊm. Bɔ ŋ y'a ʊ kʊ ʊ kan poohɔɔ kɩ, ŋ ba hɔɔndarɛ zore nɩ y, hɔ k'a bʊr ŋ heer ʊ bɩ n'a bam, hɔ bɩ do bɔkarɛ an nɩ nyaanlɛ ŋ nɩ. 
JUD.1.11	Kʊsɩ ɩ kan ŋ kɩ, bala, zu ŋ y'a ʊ Kayɛn hɔbaa ʊ, zi bʊnyaa ŋn'a bam k'a busoo yɩ am Balam
JUD.1.12	B'awɔɔ tɩr a so kʊ ma k'a hɔ bɩ danyɩbaa zɛkʊra nɔ ʊ bɩ, kʊ ŋ y'awɔɔ barla nyannɩ m, nyannɩ ba ŋ mɩŋŋɔɔ nɩ kan hɔ bɩ bɩ maam-maam kɩ y, a hɔɔn ŋn'a darɛ a mɩŋŋɔɔ ma bala. Bɔ ŋ y'a ʊ kʊ ʊ, kan warkʊ kʊ hɩnhɛr n'a gaam, bɩ la bɩ bam bɩ kɩ. Ŋ bɔ kʊ ʊ sɔ kan gɔ k'a bɩr nyɩ darɛ y, baa a nyɩdarɛ dɔmɩm ʊ, bɔ ŋ y'a ʊ kʊ ʊ kan gɔrɔ kʊ ŋ yɩ ŋ wʊnwʊr ŋnɩ gɩnga fɩɩgaa rɔ kɩ. 
JUD.1.13	Amba higʊta kurəro tɩr a fur bɔ a rɛ bɩ, a nyannɩ zibəəro wɔɔ kərgu ŋ nawʊm lɛɛ ra maam sɔ. Bɔ ŋ y'a ʊ kʊ ʊ kan monyaarɔ kʊ ŋ n a tajɩ dɔ rɔ kɩ, Woso n ŋ to kʊ ŋ nɩ gɔɔta monsigə gʊta maam-maam nɔ ʊ dɔmɩm haay.
JUD.1.14	Adam yaŋŋa tɔɔlɛma saanhɩnazaa Enɔk lɛɛ ka an gʊɔɔ nɔɔm mim hɩ laatʊ hɔɔ, Woso lɛsinnɩsora meerbaa nɔ ʊ, a ʊ: «A ba n nɩ, Zuuba ɩ zɛm kan malɛɛkarɔ kɩ miliyɔn bam hɔka, 
JUD.1.15	k'a bɩ durnya jilli dʊdɔ ka. A gʊɔɔ kʊ ŋ n Woso dɔ rɔ wɔɔ dʊdɔ yarm, ŋ zibəə bʊnyaarɔ kʊ ŋ yɩ ŋ ba haay bɩsɩ ka Woso ma nɔ ʊ rɔ wɔɔ tɔ ma. A yɩ ŋ dʊdɔ yarm sɔ meerbaarɔ bʊnyaarɔ kʊ bawosodɔrɛzannɔ nɔɔm ŋ ba Woso ma rɔ wɔɔ tɔ ma.» 
JUD.1.16	Gʊɔɔ nɔɔn duro nɔ bɩr nyɔɔm fɩɩga y, kukur ŋn'a bam can, a mɩsɩrbaa bɩ ba ŋ nawʊm a lɛtaamarɔ barɛ nɔ ʊ bala. Mɩŋŋabusure meerbaarɔ ŋn'ɩ ŋ bam, ŋn'ɩ bra bɩmbam gʊɔɔ m k'a hɔ yɩ.
JUD.1.17	B'awɔɔ, m gʊaasɩbɔɔ ŋʊarɛ nɔ ʊ, k'a meerbaarɔ kʊ wɔɔ Zuuba Yeezuu Krista zibəəzannɔ wɔɔ lɛɛ ka ŋnɩ ŋ ba kan awɔɔ kɩ rɔ wɔɔ tɔ da a nɔ ʊ. 
JUD.1.18	Ŋ y'a hɩ awɔɔ m, ŋ ʊ: «Dɔmɩm jɛzannɔ ʊ, gʊɔɔ nyɩntaŋ ʊ, ŋnɩ bɩr yaa wʊrɛ awɔɔ ma, ŋnɩ bɩr a mɩsɩrbaa bam a mɛsim lɛtaamarɔ nɔ ʊ, bawosodɔrɛ nɔ ʊ.» 
JUD.1.19	Gʊɔɔ wɔɔ duro nɩ zɛm gʊngʊrɛrɔ m bɩ, durnya hɔɔndarɛrɔ y'a so ŋ ʊ, ŋ ba Woso Ɛspri nɩ y. 
JUD.1.20	B'awɔɔ, m gʊaasɩbɔɔ, k'a gɔɔta a bɩr tam lɛɛ tee… a sɩrakarɛ k'an mɩŋŋa an cem bɩ nɔ ʊ, k'a bɩr yaa dam *Sɛnt-Ɛspri paŋŋa nɔ ʊ. 
JUD.1.21	K'a gɔɔta Woso ŋʊarɛ bɩ nɔ ʊ, a bɩr dɔm wɔɔ Zuuba Yeezuu Krista ma, an nɩ zɛm bɩ mɩsɩrbaa k'a nyarɛ ba ʊ bɩ ka awɔɔ ʊ, a cicirzɛrɛ nɔ ʊ.
JUD.1.22	K'a bɩr gʊɔɔ kʊ ŋ nɩ sɩnsɩm kam nɔ wɔɔ cicir zɛm. 
JUD.1.23	K'a ŋ yɔ sɛ zaa ra, a ŋ bʊmbɔ. Gɔsɩnnɔ n ta ʊ, k'a brɔɔ cicir zɛ, bɩ k'a dundo a zi kʊ ŋ b'awɔɔ da a kʊrɔmarɔ wɔɔ nɔ ʊ y. K'a sɔ ŋ zibəə bʊnyaarɔ wɔɔ m, bala, kʊ mimbʊnyaabənno nɩ ŋ mɩ bɩ, ŋ dintim ka a mɩŋŋɔɔ ma.
