MRK.1.1	Seo mar a tha an Deagh Sgeul mu Iosa Crìosd, Mac Dhè, a' tòiseachadh. 
MRK.13.20	Mura b'e gun d'rinn an Tighearna na làithean sin a ghiorrachadh, cha bhiodh duine sam bith air faighinn ás, ach ghiorraich e iad air sgàth nan daoine a thagh e‑fhèin.
MRK.13.21	“Ma their duine sam bith ruibh, ‘Seall, seo an Crìosd,’ no ‘Seall, siod e,’ na creidibh e. 
MRK.13.22	Oir bidh Crìosdan meallta agus fàidhean meallta a' nochdadh, agus nì iad comharran agus mìorbhailean airson daoine a chur air seacharan, gu ruig na daoine taghte fhèin, nam biodh sin nan comas. 
MRK.13.23	Ach bithibhse air ur faiceall, oir dh'innis mi dhuibh a h‑uile nì roimh-làimh.
MRK.13.25	Bidh na rionnagan a' tuiteam ás na speuran, agus bidh na cumhachdan a th'anns na nèamhan air an crathadh. 
MRK.13.26	An‑uairsin chì daoine Mac an Duine a' tighinn anns na neòil le cumhachd anabarrach agus le glòir. 
MRK.13.27	Cuiridh e a‑mach na h‑ainglean a thional nan daoine taghte aige fhèin ás na ceithir àirdean, bho iomall na talmhainn gu iomall nan nèamhan.
MRK.13.28	“Ionnsaichibh leasan bhon chraobh-fhìge. Cho luath 's a dh'fhàsas a geug bog le sùgh, 's a chuireas i a‑mach a duilleach, aithnichidh sibh gu bheil an samhradh faisg. 
MRK.13.29	San aon dòigh, nuair a chì sibh na rudan sin a' tachairt, biodh fios agaibh gu bheil e dlùth 's gu bhith agaibh. 
MRK.13.30	Gu cinnteach tha mi ag ràdh ruibh nach tig crìoch air a' ghinealach seo gus an tig na nithean seo uile gu buil. 
MRK.13.31	Thèid na speuran agus an talamh à bith, ach mairidh m'fhacal-sa gu bràth.
MRK.13.32	“Ach a thaobh an là sin, no a thaobh na h‑uaire, chan eil fhios aig neach sam bith, fiù 's aig na h‑ainglean ann an nèamh, no aig a' Mhac, ach aig an Athair a‑mhàin. 
MRK.13.33	Bithibh air ur faiceall agus nur làn dùisg, oir chan eil fhios agaibh cuin a thig an t‑àm. 
MRK.13.34	Bidh e dìreach mar dhuine a' falbh air chuairt, 's a' fàgail a thaighe air chùram nan seirbhiseach. Tha e a' toirt obair fhèin dha gach fear, 's ag iarraidh air an dorsair a bhith ri faire. 
MRK.13.35	Mar sin, bithibhse ri faire, oir chan eil fhios agaibh cuin a thig maighistir an taighe, co‑dhiù 'sann feasgar, no aig meadhon-oidhche, no nuair a ghairmeas an coileach, no anns a' mhadainn. 
MRK.13.36	Cha bu mhath gun tigeadh e gun dùil ris, 's gun glacadh e sibh nur cadal. 
MRK.13.37	'S an nì a tha mi ag ràdh ruibhse tha mi ag ràdh ris a h‑uile duine: ‘Bithibh ri faire’.”
MRK.14.2	Oir bha iad ag ràdh, “Chan eil math dhuinn a ghlacadh aig àm na fèille, gun fhios nach bi aimhreit a‑measg an t‑sluaigh.”
MRK.14.3	Nuair a bha e ann am Betani, 's e na shuidhe a' gabhail a bhìdh ann an taigh Shìmoin, an lobhar, thàinig boireannach a‑steach le soitheach alabastair làn de dh'fhìor ola nàrd, a bha glè chosgail. Bhrist i an soitheach, 's dhòirt i an ola air ceann Iosa. 
MRK.14.4	Bha feadhainn ann a bha ag ràdh gu diumbach, “Carson a chaidh an ola a chur gu mì‑fheum mar seo? 
MRK.14.5	Dh'fhaodte a reic air tuilleadh is trì cheud denàrius, 's an t‑airgead a thoirt dha na bochdan.” Bha iad a' cànran ma deidhinn.
MRK.14.6	Ach thuirt Iosa, “Leigibh leatha; carson a tha sibh ga sàrachadh? Rinn i deagh ghnìomh dhòmhsa. 
MRK.14.7	Tha na bochdan agaibh daonnan, agus faodaidh sibh an cuideachadh uair sam bith a thogras sibh, ach cha bhi mise agaibh daonnan. 
MRK.14.8	Rinn i na b'urrainn dhi; thàinig i roimh-làimh a dh'ungadh mo chuirp air son na h‑uaighe. 
MRK.14.9	Gu cinnteach tha mi ag ràdh ruibh, bidh an rud a rinn i air innse mar chuimhneachan oirre 's gach àite san tèid an Deagh Sgeul a shearmonachadh air feadh an t‑saoghail gu lèir.”
MRK.14.10	Dh'fhalbh Iùdas Iscariot, aon dhen dà fhear dheug, far an robh na h‑àrd-shagairt, 's e airson Iosa a thoirt thairis dhaibh. 
MRK.14.11	Nuair a chuala iadsan seo, chuir e sunnd math orra, 's gheall iad airgead a thoirt dha. Bha esan a' feitheamh cothrom ceart air Iosa a thoirt seachad dhaibh.
MRK.14.12	Air a' cheud là de dh'Fhèill an Arain Neo-ghoirtichte, nuair a bhiodhte a' marbhadh uan na Càisge, thuirt a dheisciobail ris, “Càite am bu mhath leat sinn ullachadh a dhèanamh dhut airson biadh na Càisge ithe?”
MRK.14.13	Chuir e air falbh dithis dhiubh, 's thuirt e riu, “Rachaibh a‑steach a dh'Ierusalem, agus coinnichidh duine ruibh 's e giùlan soitheach uisge. Leanaibh e. 
MRK.14.14	Nuair a thèid e a‑steach a thaigh, canaibh ri fear an taighe, ‘Tha am Maighistir ag ràdh, “Càite bheil an rùm agamsa, far an ith mi‑fhìn 's mo dheisciobail biadh na Càisge?” ’ 
MRK.14.15	Seallaidh e dhuibh rùm mòr shuas an staidhre, 's e air a dheasachadh. Dèanaibh ullachadh dhuinn ann an sin.”
MRK.14.16	Dh'fhalbh na deisciobail a‑steach dhan bhaile. Thachair gach nì dìreach mar a thuirt e riu, 's dheasaich iad biadh na Càisge.
MRK.14.17	Anmoch feasgar, thàinig Iosa còmhla ris an dà fhear dheug. 
MRK.14.18	Nuair a bha iad aig a' bhòrd ag ithe, thuirt e riu, “Gu cinnteach tha mi ag ràdh ruibh gu bheil fear agaibh a nì mo bhrath, fear dhe na tha ag ithe còmhla rium.”
MRK.14.19	Dh'fhàs iad dubhach, 's thuirt fear ma seach, “Chan e mise th'ann, an e?”
MRK.14.20	Thuirt esan riu, “'Se fear dhen dà fhear dheug a th'ann, a tha bogadh arain anns an aon t‑soitheach rium. 
MRK.14.21	Oir tha Mac an Duine a' falbh mar a tha e sgrìobhte ma dheidhinn, ach 's mairg dhàsan a nì a bhrath. B'fheàrr dhan fhear sin nach d'rugadh riamh e.”
MRK.14.22	Nuair a bha iad ag ithe, thog e pìos arain, 's thug e taing do Dhia air a shon. Bhrist e na chriomagan e, 's thug e dhaibh e, ag ràdh, “Gabhaibh e, is e seo mo chorp-sa.”
MRK.14.23	An dèidh sin thog e cupa, 's nuair a thug e taing air a shon thug e dhaibh e, 's dh'òl iad uile ás. 
MRK.14.24	Thuirt e riu, “Is e seo m'fhuil-sa, fuil a' chùmhnaint, a th'air a dòrtadh ás leth mòran dhaoine. 
MRK.14.25	Gu cinnteach tha mi ag ràdh ruibh nach òl mi tuilleadh de thoradh an fhìonain gus an là san òl mi ùr e ann an rìoghachd Dhè.”
MRK.14.26	Nuair a sheinn iad salm, chaidh iad a‑mach gu Beinn nan Craobh-ola.
MRK.14.27	Thuirt Iosa riu, “Gabhaidh sibh uile nàire dhiom, oir tha e sgrìobhte: ‘Marbhaidh mi am buachaille, agus bidh na caoraich air an sgapadh.’ 
MRK.14.28	Ach nuair a thèid mo thogail bho na mairbh, thèid mi romhaibh a Ghalile.”
MRK.14.29	Thuirt Peadar ris, “Ged a ghabhadh a h‑uile duine nàire dhiot, cha ghabh mise.”
MRK.14.30	Thuirt Iosa ris, “Gu cinnteach tha mi ag ràdh riut, air an dearbh oidhche seo fhèin, mus gairm an coileach dà uair, gun dèan thusa m'àicheadh trì uairean.”
MRK.14.31	Ach thuirt esan na bu dàine buileach, “Ged a dh'fheum-ainn bàsachadh còmhla riut, cha dèan mise t'àicheadh.”
MRK.14.31	'S thuirt iad uile an aon rud.
MRK.14.32	Nuair a thàinig iad gu àite ris an cainte Getsemane, thuirt e ri dheisciobail, “Suidhibhse ann an seo, gus an dèan mi ùrnaigh.” 
MRK.14.33	Thug e Peadar agus Seumas agus Eòin còmhla ris, 's thàinig àmhghair agus imcheist eagalach air. 
MRK.14.34	'S thuirt e riu, “Tha urad a bhròn air mo spiorad 's gur gann nach eil mi a' bàsachadh. Fanaibhse ann an seo, 's bithibh ri faire.”
MRK.14.35	Chaidh e beagan na b'fhaide, 's leig e e‑fhèin sìos air an talamh. Rinn e ùrnaigh gun rachadh an uair seachad air nam faodadh sin a bhith. 
MRK.14.36	Agus thuirt e, “Abba, athair, tha a h‑uile nì nad chomas. Thoir air falbh bhuam an cupa seo, ach biodh do thoil-sa air a dèanamh, 's chan e mo thoil-sa.”
MRK.14.37	Thàinig e 's fhuair e iad nan cadal. Thuirt e ri Peadar, “A Shìmoin, a bheil thu nad chadal? Nach robh e nad chomas a bhith ri faire fiù 's aon uair-a‑thìde fhèin? 
MRK.14.38	Bithibh ri faire 's ùrnaigh, air eagal 's gun tig buaireadh nur rathad. Tha an spiorad deònach gun teagamh, ach tha a' cholainn lag.”
MRK.14.39	Dh'fhalbh e bhuapa an dara uair, 's rinn e an aon ùrnaigh 's a rinn e roimhe. 
MRK.14.40	Thàinig e 's fhuair e iad nan cadal a‑rithist, oir bha an sùilean air fàs trom, 's cha robh fhios aca dè theireadh iad ris.
MRK.14.41	Thàinig e an treas uair, 's thuirt e riu, “An e gu bheil sibh fhathast nur cadal 's a' gabhail fois? Fòghnaidh sin! Tha 'n uair air tighinn! Seallaibh! Tha Mac an Duine ga thoirt thairis do làmhan dhaoine peacach. 
MRK.14.42	Eiribh is falbhamaid. Seallaibh! Tha am fear a tha gam thoirt thairis gu bhith againn.”
MRK.14.43	Dìreach anns na facail, thàinig Iùdas, fear dhen dà fhear dheug, 's gràisg dhaoine còmhla ris, le claidheamhan 's le bataichean. 'Se na h‑àrd-shagairt 's na sgrìobhaichean 's na h‑athraichean a chuir ann iad. 
MRK.14.44	Bha am fear-brathaidh air comharra a thoirt dhaibh: thuirt e riu, “Am fear dhan toir mi pòg — sin an duine. Cuiribh an sàs e, 's thoiribh leibh e fo gheàrd.”
MRK.14.45	Nuair a thàinig e, rinn e dìreach air Iosa. Thuirt e, “A Mhaighistir!” agus thug e dha pòg. 
MRK.14.46	Rug iadsan air Iosa, 's chuir iad an grèim e. 
MRK.14.47	Tharraing fear dhe na bha an làthair a chlaidheamh. Bhuail e seirbhiseach an àrd-shagairt, 's gheàrr e dheth a chluas. 
MRK.14.48	Thuirt Iosa riu, “An tàinig sibh gam ghlacadh le claidheamhan 's le bataichean mar gum b'e robair a bh'annam? 
MRK.14.49	'S iomadh là bha mi còmhla ruibh san teampall a' teagasg, 's cha do chuir sibh an sàs mi. Ach feumaidh na sgriobtairean tighinn gu buil.”
MRK.14.50	Chuir na deisciobail uile cùl ris agus theich iad.
MRK.14.51	Bha duine òg ga leantainn, 's gun stiall air ach aon fhilleadh aodaich. Rug iad air, 
MRK.14.52	ach leig esan ás an t‑aodach, 's theich e rùisgte.
MRK.14.53	Thug iad leo Iosa à dh'ionnsaigh an àrd-shagairt, 's bha na prìomh-shagairt eile, na seanairean 's na sgrìobhaichean a' tighinn an ceann a chèile. 
MRK.14.54	Lean Peadar e pìos math bhuaithe a‑steach gu ruig a' chùirt air beulaibh taigh an àrd-shagairt. Bha e na shuidhe còmhla ris na geàird, ga gharadh fhèin ris an teine. 
MRK.14.55	Bha na prìomh-shagairt agus a' chomhairle gu lèir a' feuchainn ri daoine a lorg a thogadh fianais an aghaidh Iosa, 's gum biodh cothrom aca a chur gu bàs, ach cha robh a' dol leo. 
MRK.14.56	Oir bha mòran a' togail fianais bhrèige na aghaidh, 's cha robh iad a' tighinn a‑rèir a chèile.
MRK.14.57	Dh'èirich cuid 's chuir iad na breugan air, oir thuirt iad, 
MRK.14.58	“Chuala sinne e ag ràdh, ‘Cuiridh mise ás a chèile an teampall seo a chaidh a thogail le làmhan dhaoine, 's an ceann trì là togaidh mi teampall eile ris nach do bhean làmh duine’.” 
MRK.14.59	Aig a sin fhèin, cha robh iad a' tighinn a‑rèir a chèile nam fianais.
MRK.14.60	Dh'èirich an t‑àrd-shagart nam measg, 's dh'fhaighnich e de dh'Iosa, “Nach eil freagairt agad idir? Dè tha na daoine seo a' cur ás do leth?”
MRK.14.61	Ach dh'fhan esan sàmhach 's cha tuirt e guth. A‑rithist dh'fhaighnich an t‑àrd-shagart dheth, “An tusa an Crìosd, Mac an Aoin Bheannaichte?”
MRK.14.63	An‑uairsin shrac an t‑àrd-shagart a chuid aodaich, 's thuirt e, “Dè 'm feum a th'againn air tuilleadh fhianaisean? 
MRK.14.64	Chuala sibh an toibheum aige: dè ur beachd?”
MRK.14.64	'Se a' bhinn a thug iad uile a‑mach gun robh e airidh air a' bhàs.
MRK.14.65	Thòisich cuid aca air smugaidean a thilgeil air. Chuir iad còmhdach air a shùilean, ghabh iad dha len dùim, 's iad ag ràdh ris, “Innis cò bhuail thu!” Thug na geàird an‑uairsin droch làimhseachadh dha.
MRK.14.66	Nuair a bha Peadar shìos ann an cùirt an taighe, thàinig tè de shearbhantan an àrd-shagairt 's chunnaic i e ga gharadh fhèin. 
MRK.14.67	Thug i sùil air 's thuirt i ris, “Bha thus' thu-fhèin còmhla ris an Nàsarach, Iosa.”
MRK.14.68	Ach chaidh esan ás àicheadh, 's thuirt e, “Chan eil mi gad thuigsinn; chan eil fhios agam dè tha thu ag ràdh.” 'S ghabh e a‑mach gu trannsa an taighe. Ghairm coileach.
MRK.14.69	Chunnaic an t‑searbhanta a‑rithist e, 's thuirt i ris an fheadhainn a bha nan seasamh man cuairt, “Seo fear eile dhiubh.” 
MRK.14.70	Chaidh esan ás àicheadh a‑rithist.
MRK.14.70	An ceann treis eile, thuirt iadsan ri Peadar, “'Se fear dhiubh a th'annad gun teagamh, oir 'sann à Galile a tha thu.”
MRK.14.71	Thug Peadar a mhionnan, 's thuirt e, “Mallachd orm mas aithne dhomh idir am fear ma bheil sibh a' bruidhinn.”
MRK.14.72	'S anns an dearbh mhionaid ghairm an coileach an dara uair. Chuimhnich Peadar mar a thuirt Iosa ris, “Mus gairm an coileach dà uair, nì thusa m'àicheadh trì uairean.” Cha b'urrainn dha cumail air, 's thòisich e air gal.
MRK.15.1	Aʼ cheud char sa mhadainn, thàinig na h‑àrd-shagairt, na h‑athraichean 's na sgrìobhaichean an ceann a chèile; bha an àrd-chomhairle gu lèir cruinn. Cheangail iad Iosa, 's shlaod iad leo e, ga thoirt thairis do Phìlat. 
MRK.15.2	Dh'fhaighnich Pìlat dheth, “An tusa rìgh nan Iùdhach?”
MRK.15.2	Fhreagair esan, “'S tu‑fhèin a thubhairt e.”
MRK.15.3	Bha na h‑àrd-shagairt a' cur mòran rudan ás a leth. 
MRK.15.4	Dh'fhaighnich Pìlat dheth a‑rithist, “Nach eil nì sam bith agad ri ràdh? Seall na tha iad a' togail nad aghaidh.”
MRK.15.5	Ach cha tuirt Iosa an còrr, 's chuir seo ioghnadh air Pìlat.
MRK.15.6	A‑nis, aig a h‑uile Fèill-Càisge, bha e na chleachdadh aig Pìlat aon phrìosanach a leigeil ma sgaoil, fear sam bith a dh'iarradh iad. 
MRK.15.7	Bha fear ris an canadh iad Barabas air a churnail fo ghlais còmhla ris na reubaltaich eile a rinn mort ann an ar‑a‑mach an aghaidh an riaghaltais. 
MRK.15.8	Thàinig an sluagh far an robh Pìlat agus dh'iarr iad air dèanamh dhaibh mar a chleachd e. 
MRK.15.9	Thuirt esan riu, “Am bu mhath leibh gun leiginn rìgh nan Iùdhach ma sgaoil dhuibh?” 
MRK.15.10	Oir bha e a' tuigsinn gum b'e farmad a thug air na h‑àrd-shagairt Iosa a chur an sàs.
MRK.15.11	Ach phiobraich na h‑àrd-shagairt an sluagh feuch an leigeadh e ás Barabas dhaibh an àite Iosa. 
MRK.15.12	Thuirt Pìlat riu a‑rithist, “Dè bu mhath leibh mi a dhèanamh leis an fhear ris an can sibh rìgh nan Iùdhach?”
MRK.15.13	Dh'eubh iadsan ris, “Ceus e!”
MRK.15.14	Thuirt Pìlat riu, “Carson; dè an t‑olc a rinn e?” Ach dh'eubh iadsan na b'àirde buileach, “Ceus e!”
MRK.15.15	Bha Pìlat air son an sluagh a riarachadh, 's leig e ás Barabas dhaibh. Thug e orra Iosa a chuipeadh, 's an‑uairsin thug e thairis e gu bhith air a cheusadh.
MRK.15.16	Dh'fhalbh na saighdearan leis a‑steach dhan lùchairt ris an canadh iad am Praetorium, agus ghairm iad còmhla an còrr dhen àireamh. 
MRK.15.17	Chuir iad cleòca purpaidh air, 's dh'fhigh iad crùn dhrisean 's chuir iad ma cheann e. 
MRK.15.18	Thòisich iad air fhàilteachadh, ag ràdh ris, “Slàn gum bì thu, a rìgh nan Iùdhach!” 
MRK.15.19	Bha iad ga bhualadh air a' cheann le slait-chuilc. Bha iad a' tilgeil smugaidean air 's a' dol air an glùinean mar gum biodh iad a' toirt urraim dha. 
MRK.15.20	An dèidh dhaibh magadh a dhèanamh air, thug iad dheth an cleòca purpaidh, 's chuir iad aodach fhèin air. Dh'fhalbh iad leis airson a cheusadh.
MRK.15.21	Thachair gun robh Iùdhach à Cirene a' gabhail seachad 's e air a shlighe a‑steach bhon dùthaich. Rinn iad grèim airsan, 's thug iad air crann-ceusaidh Iosa a ghiùlan. ('Se Sìmon an t‑ainm a bh'air, athair Alasdair is Rùfais.) 
MRK.15.22	Thug iad Iosa a dh'ionnsaigh an àite ris an canadh iad Golgòta, 'se sin ri ràdh, Aite a' Chlaiginn. 
MRK.15.23	Bha iad a' tairgse dha fìon air a mheasgadh le mirr, ach cha ghabhadh e idir e. 
MRK.15.24	Agus cheus iad e. Roinn iad a chuid aodaich nam measg fhèin, a' cur chrann feuch dè gheibheadh gach fear. 
MRK.15.25	Bha e naoi uairean sa mhadainn nuair a cheus iad e. 
MRK.15.26	'Se an nì a bha sgrìobhte mar adhbhar a dhìtidh: RIGH NAN IUDHACH. 
MRK.15.27	Còmhla ris cheus iad dithis robairean, fear air a làimh dheis, 's am fear eile air a làimh chlì. [
MRK.15.28	]
MRK.15.30	Sàbhail thu-fhèin, 's thig a‑nuas dhen chrann!”
MRK.15.31	Air an aon dòigh bha na h‑àrd-shagairt 's na sgrìobhaichean a' fanaid air nam measg fhèin, 's ag ràdh, “Shàbhail e daoine eile, ach chan eil e na chomas e‑fhèin a shàbhaladh. 
MRK.15.32	Thigeadh a‑nis an Crìosd, Rìgh Israel, a‑nuas bhon chrann-cheusaidh 's gum faic sinn e ga dhèanamh, 's gun creid sinn ann.” Bha an fheadhainn a chaidh a cheusadh còmhla ris a' dèanamh tàir air cuideachd.
MRK.15.33	Aig meadhon-là, thàinig dorchadas thairis air an tìr gu lèir, a mhair gu trì uairean feasgar. 
MRK.15.34	Aig trì uairean, dh'eubh Iosa le guth mòr, “Eloi, Eloi, lama sabachthani?”, 'se sin ri ràdh, “Mo Dhia, mo Dhia, carson a tha thu air mo thrèigsinn?”
MRK.15.35	Nuair a chuala feadhainn dhe na bha nan seasamh man cuairt an glaodh aige, thuirt iad, “Eisdibh! Tha e a' gairm air Eliah.” 
MRK.15.36	Ruith fear thuige le spuinns air a lìonadh le fìon geur. Shìn e dha air cuilc i, feuch an òladh e, 's e ag ràdh, “Fàgaibh e 's gum faic sinn an tig Eliah ga thoirt a‑nuas bhon chrann.”
MRK.15.37	Leig Iosa eubh mhòr ás, 's dh'fhalbh an anail ás.
MRK.15.39	Nuair a chunnaic an t‑oifigeach a bha na sheasamh ma choinneamh mar a chrìochnaich e, thuirt e, “Chan eil teagamh nach e Mac Dhè a bha san fhear seo.”
MRK.15.40	Bha boireannaich ann cuideachd a bha ga choimhead pìos bhuaithe. Nam measg bha Màiri à Magdala, Màiri màthair Sheumais Oig is Ioseis, agus Salome. 
MRK.15.41	Nuair a bha e ann an Galile, bhiodh iad seo ga leantainn 's a' frithealadh dha. Bha mòran bhoireannaich eile ann cuideachd a thàinig suas a dh'Ierusalem còmhla ris.
MRK.15.42	Nuair a thàinig am feasgar, a chionns gur e là an ullachaidh a bh'ann, an là ron t‑Sàbaid, nochd Iòseph à Arimatèa, 
MRK.15.43	fear a bha ainmeil anns a' chomhairle. Bha dùil aigesan e‑fhèin ri rìoghachd Dhè. Bha de mhisneach aige 's gun deach e a‑steach gu Pìlat, 's dh'iarr e corp Iosa air. 
MRK.15.44	Chuir e ioghnadh air Pìlat gun robh Iosa marbh cho luath. Chuir e fios air oifigeach, 's dh'fhaighnich e dheth an robh Iosa dha-rìribh marbh. 
MRK.15.45	Nuair a chuala e bhuaithe gun robh e marbh, thug e an corp do dh'Iòseph. 
MRK.15.46	Cheannaich esan lèine-mharbh, 's nuair a thug e Iosa a‑nuas, phaisg e san anart e. Chàirich e an‑uairsin e ann an uaigh a chaidh a chladhach a‑mach ás a' chreig, 's rinn e clach a charadh gu doras na h‑uaighe. 
MRK.15.47	Bha Màiri à Magdala agus Màiri màthair Ioseis a' gabhail beachd air an àite far an deach an corp a chur.
MRK.16.1	Nuair a bha an t‑Sàbaid seachad, cheannaich Màiri à Magdala, Màiri màthair Sheumais, agus Salome cungaidhean cùbhraidh airson a dhol ga ungadh. 
MRK.16.2	Glè thràth sa mhadainn air a' cheud là dhen t‑seachdain, nuair a dh'èirich a' ghrian, chaidh iad chun na h‑uaighe. 
MRK.16.3	Bha iad ag ràdh ri cach-a‑chèile, “Cò chuireas car dhen chloich a th'aig doras na h‑uaighe?” 
MRK.16.4	Ach nuair a thug iad sùil, chunnaic iad gun robh a' chlach air a gluasad air falbh, 's b'e clach mhòr, mhòr a bh'innte. 
MRK.16.5	Nuair a chaidh iad a‑steach dhan uaigh, chunnaic iad fear òg na shuidhe air an taobh dheas ann an aodach fada geal, 's ghabh iad an t‑eagal.
MRK.16.6	Ach thuirt esan riu, “Na biodh eagal sam bith oirbh. Tha sibh a' lorg Iosa o Nàsaret, a bha air a cheusadh. Chaidh a thogail o na mairbh, chan eil e ann an seo. Seallaibh, sin an t‑àite far an do chàirich iad e. 
MRK.16.7	Falbhaibh, 's canaibh ri a dheisciobail agus ri Peadar gu bheil e a' dol air thoiseach orra a Ghalile, 's gum faic iad ann an sin e, mar a thuirt e‑fhèin riu.”
MRK.16.8	Chaidh iad a‑mach 's theich iad bhon uaigh, oir bha iad air chrith leis an ioghnadh a ghabh iad, 's cha leigeadh an t‑eagal leo guth a ràdh ri duine.
MRK.16.10	Dh'fhalbh ise 's dh'innis i e dhan fheadhainn a bha air a bhith còmhla ris, 's iad fhathast a' caoidh 's a' gal. 
MRK.16.11	Ach nuair a chuala iadsan gun robh e beò, 's gum faca ise e, cha robh iad ga creidsinn.
MRK.16.12	An dèidh seo chaidh a nochdadh ann an cruth eile do dhithis dhiubh, 's iad a' gabhail an rathaid a‑mach dhan dùthaich. 
MRK.16.13	Thill iadsan, 's dh'innis iad e do chàch, ach cha do chreid iad iadsan na bu mhotha.
MRK.16.14	Mu dheireadh, chaidh a nochdadh dhan aon fhear deug iad-fhèin, 's iad nan suidhe a' gabhail am bìdh. Chronaich e iad airson an cion creidimh agus cruas an cridhe, nach do chreid iad an fheadhainn a bh'air fhaicinn an dèidh dha èirigh o na mairbh. 
MRK.16.15	Thuirt e riu, “Rachaibh a‑mach air feadh an t‑saoghail, agus searmonaichibh an Deagh Sgeul do gach creutair. 
MRK.16.16	An neach a chreideas 's a thèid a bhaisteadh, bidh e air a shàbhaladh, ach an neach nach creid, bidh e air a dhìteadh. 
MRK.16.17	Bidh na comharran seo rim faighinn air an fheadhainn a chreideas: tilgidh iad a‑mach deamhain nam ainm-sa; bruidhnidh iad le cànanan ùra; 
MRK.16.18	togaidh iad nathraichean-nimhe len làmhan agus ma dh'òlas iad puinnsean marbhtach, cha dèan e cron sam bith orra. Cuiridh iad an làmhan air daoine tinne, 's thèid an slànachadh.”
MRK.16.19	An dèidh dhan Tighearna Iosa a bhith a' bruidhinn riu, chaidh a thogail suas gu nèamh, agus shuidh e aig deaslàimh Dhè. 
MRK.16.20	Chaidh iadsan a‑mach 's shearmonaich iad anns gach àite. Bha an Tighearna ag obair còmhla riu, 's a' dearbhadh leis na comharran a lean na luib gun robh am facal fìor.
EPH.1.2	Gun robh gràs agus sìth agaibh bho Dhia ar n‑Athair agus bhon Tighearna Iosa Crìosd.
EPH.1.3	Nach sinn a bu chòir taing is moladh a thoirt do Dhia agus Athair ar Tighearna Iosa Crìosd. Ann an Crìosd, bheannaich e sinn leis a h‑uile beannachadh spioradail anns an rìoghachd nèamhaidh. 
EPH.1.4	Oir mus robh an saoghal idir ann, thagh e sinn ann an Crìosd gu bhith naomh agus gun choire na fhianais. A chionns gu robh gràdh aige dhuinn 
EPH.1.5	chomharraich e mach sinn ro‑làimh gu bhith nar mic dha fhèin tre Iosa Crìosd, oir b'e seo a thoil agus a rùn. 
EPH.1.6	Mar sin bithidh sinn ga mholadh airson a ghràis ghlòrmhoir a thug e dhuinn cho fialaidh na Mhac gràdhach. 
EPH.1.7+EPH.1.8	A chionns gun deach fhuil-san a dhòrtadh, tha sinne air ar cur saor is ar peacaidhean air am maitheadh dhuinn. Sin cho fialaidh 's a tha Dia leis a' ghràs a thug e dhuinn ann am pailteas cho mòr. Le seo tha e a' sealltainn cho coileanta 's a tha a ghliocas agus a thuigse. 
EPH.1.9	Roghnaich e gun toireadh e eòlas dhuinn air an nì sin a bha falaichte na rùintean fhèin, an nì a chuir e roimhe a thoirt gu buil ann an Crìosd. 
EPH.1.10	'S e sin gun stiùireadh e a h‑uile rud a dh'ionnsaigh na h‑uaire anns am bi Crìosd na cheann air gach nì, an dà chuid air nèamh agus air thalamh. 
EPH.1.11	Mar a rùnaich e bho thoiseach, thagh Dia sinn ann an Crìosd gu bhith nar sluagh dha fhèin, dìreach mar a tha e a' toirt gu buil a h‑uile nì a rèir a thoil agus a rùin, 
EPH.1.12	air dhòigh 's gum biodh sinne, a' chiad fheadhainn a chuir ar dòchas ann an Crìosd, a' moladh a ghlòire. 
EPH.1.13	Agus nuair a chuala sibhse am facal fìrinneach, Deagh Sgeul ur slàinte, air dhòigh 's gun do chreid sibh e, chomharraich Dia sibh dha fhèin nuair a thug e dhuibh an Spiorad Naomh a chaidh a ghealltainn. 
EPH.1.14	'S e gu bheil an Spiorad againn a tha gar dèanamh cinnteach gum faigh sinn an oighreachd a gheall Dia dhuinn, 's gum bi an sluagh a bhuineas dha air an cur saor gu h‑iomlan, air a leithid a dhòigh 's gum bi a ghlòir air a moladh.
EPH.1.15	Mar sin, riamh bho chuala mi mu dheidhinn ur creidimh anns an Tighearna Iosa agus an gràdh a th'agaibh do shluagh Dhè uile, 
EPH.1.16	cha do sguir mi a thoirt taing do Dhia air ur son. Tha mi gur cuimhneachadh nam ùrnaighean, 
EPH.1.17	ag iarraidh gun toir Dia ar Tighearna Iosa Crìosd, Athair na glòire, Spiorad tuigse agus foillscachaidh dhuibh, air dhòigh 's gum bi eòlas agaibh air fhèin. 
EPH.1.18	Tha mi ag iarraidh gum bi sibh air ur soillseachadh nur cridheachan air dhòigh is gum bi fios agaibh air an dòchas gus a bheil Dia gur gairm, air cho saidhbhir 's cho glòrmhor 's a tha an oighreachd a tha Dia a' gealltainn dha shluagh fhèin, 
EPH.1.19	agus cho anabarrach mòr 's a tha an cumhachd a tha ag obrachadh annainne a tha a' creidsinn. 'S e seo an dearbh chumhachd neartmhor 
EPH.1.20	a chleachd Dia nuair a thog e Crìosd bhon bhàs 's a chuir e na shuidhe e aig a dheaslaimh fhèin ann an nèamh. 
EPH.1.21	Sin far a bheil e, fada os cionn gach tighearna is ùghdarras is cumhachd is riaghlair, os cionn gach ainm aig a bheil urram chan ann a‑mhàin san t‑saoghal seo ach cuideachd san t‑saoghal a tha romhainn. 
EPH.1.22	Chuir Dia a h‑uile rud fo chasan Chrìosd, agus thug e dhan eaglais e mar an ceann a tha a' riaghladh thar gach nì. 
