GEN.1.1	Apanll chtakchu, kanindaatstam, tsapootstam tinarangiya. 
ROM.4.7+ROM.4.8	tárangiya. Ashirucha, Isusumunari mang' tatkuch, Apanllsha chiyaa yutaritshishini kapeetkiya atashina.
ROM.4.9	Mazinangtsa; ¿nitaatiya Dapiyarini Utaáshucheetsimari tsiyatak? Ichinguroo tputs Dapiyarini tsiyatarangiya. Watam waana Apanll atuwa; Shiy nuwaa kuki mangoonarangush, ashirucha nuw shiyaa kis napkina;
ROM.4.10	¿Nitaati yuwamand Apramarin wanutsee ktsuparangu anumand Apanll mangoo tachingarang? nda. Ndunimastaa ktsuparu, Apanll yutaritshishirinee kapeetarangiya. 
ROM.4.11	Apanll ichtaru Apramarineetsi yutaritshishirinee kapeetarangiya. Anumunsha: Nutseetsish ktsupangi, watam shiyaa tputsirinawa; Apanll Apramarinee tárangasha. ¿Nitaati Apramarini wanuts ktsuparangu anumand Apanll mangoo yararang? nda. Itaru, yuwamand Apanllimun mang' taturangu anumand Apanll yutaritshishirinee tachingarangiya. Ashirucha, iysha Apramarini tamarangpari ashiruni Apanllee mangoonkuni, Apanllsha iyaa mangeetsshitini yarkiya. Iysha nduntaa nutseetsini ktsupkuni, Apramarinchichtanicha, táchiniya. 
ROM.4.12	Utaáshuch tputs wanuts ktsupama, Apramarini tamapari ashiru Apanllee mangoonku, Apanllsha anoo mangoo tachingkiya. Apramarinchichtanicha, táchtamsinaya. Ashirucha, ktsupamaam yusur chinarintspa; Apanllimunari mangis tatungtsa nuw siyaa táshina.
ROM.4.13	Apramarini Apanllimun mang' taturangu anumand Apanllsha yutaritshishirinee tachingarangiya. Sheeru, Apramarineetsini Apanll: Ichinguru tsapurunas shiyachcheem ngutariti panachintspa; tárangiya. Nitaati yuwamand Apramarini kamachtamarini payurangu anumand Apanll panachintspa, tárangeeja, nduni. 
ROM.4.14	Kamachtamarinimand atinaariya, Apanllsha mangutanaaparee, tárangiya. Iyaamsha ashiritamta. Apanllsha mangutari iyaa istamaam zandkiya. Yuwamand tputs Apanllee kamachtamarini payuku anumand Apanll mangoo tachinginaariya ashiru, iy ngutpariniya Apanllimun mangini tatkini. Itaru, ashkeeja. Watam yuwamand nuwamun mangish tatkish anumandari yarchinllpa, táranguwa. 
ROM.4.15	Mazinangtsa; Apanllimun kamachtamarini mangich tatumaam pinasakchi kamungamaama. Kamachtama ndunnaariya taaru, mapiymaam waritariya. ¿Mayaatseeja kapeetchich? ¿Itaru, watam taaruwa? Ashirucha, tputsich kamachtama payumaam pinasakuch kapeetkachuch, anumand Apanll tsiyantayaru, wanitariya.
ROM.4.16	Itaru, Apanllimun mangini tatkuni, anumandari iyaa mangoo yarku, istakiya; watam istachintspa, táranguwa. Waana zandku, tputsee ichinguru istakiya; iyashchee Utaáshucheetsini yuwini Apanllee kamachtamarini yasakini anni istakiya. Mishat, piyartacheetstam istakiya. Mangutari chinaku istakiya. Chiy Apramarin tamapari ashiritam mangoonkuch, Apramarinchichtanicha, támaam waritakiniya.
ROM.4.17	Watam Apanll Apramarineetsi, táranguwa;
ROM.4.17	Arapich tputs zapan, Apramarinchichtanicha, ayamta shiyaa ántachinllinaya, Apramaa,
ROM.4.17	tárangiya Apanlli. Apanll táyaru, Apramarinsha: zurakcha, táyaru, Apanllimun mang' taturangiya. Iysha Apramarini tamaparee ashiru mangoonkinaareeniya ashiru, Apramarinchichtanicha támaam waritakaniya. Ashirucha, Apanllimun kamachtamarini mangich tatumaam pinasakchi kamungamaama; nuw siyaa táshina.
ROM.4.17	Mazinangtsa; ndatuma Apramarin wip wanindaru, ashiritaa yuwaa Apanll tárangu anoo payurangiya. Apanll Taarashipancha; tsipareetstaa ituyamatariya; táyaru, Apanllimun mang' taturangiya. 
ROM.4.18	Ashiri Apanll Apramarineetsi:
ROM.4.18	Wachinataatish, tsiparpaz ashirush taakush, ashiritaa iparinachsha; iparish taachiya. Shiyachich tputsirish izapaneeksin taachinllinaya,
ROM.4.18	mang, tárangiya Apramarineetsi. Apramarinsha Apanllee kuk payurangiya. ¿Tamaree ashchich? tárangeeja, nduni. 
ROM.4.19	¿Tamaree nuw wachinachuri iparinachi? tárangeeja. Apanll Taarashipancha; tárangiya. Apramarini masachirini zapantaa, misha wizanllsha Sararini masachirini zapantam mipshimuna, tsipamaam waritarangitaa, Apramarini Apanllee kuk mangoonarangiya. 
ROM.4.20+ROM.4.21	¿Tamaree Apanll ashich? tárangeeja. Itaru, Apanllimun aranginasha mang' kizpur taturangu, Apaa, shiy xaptareezish, ichinguru shiyaam kamirana, watam taarashipanshawa, átu, Apanllee ungirtarangiya. ¿Tamaree Apanll waanaatsi kuk kapeetach? ¿Tamaree ashtachima táyaru, nda ashtach? tárangiya. 
ROM.4.22	Ashirucha, Apanll: Shiy nuwaa kuki mangoonarangush, ashirucha nuw shiyaa kis napkina;
ROM.4.23	Nitaati Apramarineemtaja tsiyatssee tuyandarang, nda; iyaamtam mangoonamaam Apanll tuyandarangiya. 
ROM.4.24	Itaru, Apanll iyaa nuwaa mangoonpana átu, Apramarineetsi kamanirangiya. Watam iysha Apanllimun mangini tatkuni, yuwamun kurakarini Isus tsipareetstaa ituyamataru anumun, ashirucha anumand Apanllsha chiyaatstam mangich tachingkasha. 
ROM.4.25	Iy yutarit taakani anumand Apanll Isusoo tupcharangiya. Itaru, iyaa mangeetsini izuuru tachingamaam Apanllsha Isusoo ituyamarangiya. Ashiriya, Apanllimun mangini tatkuni, Apanllsha iyaa yarchiya tina. Ashirucha, anuri mangoonangtsa nuw siyaa táshina.
ROM.5.1	Ashirucha, na Apanll iyaa Isuschicheetsini yararangu, Apanllpat mapiyruni taakaniya. Na in Isusumun Kurakarimunni mangini tatkuni, izuuru tatsuyakani Apanlleetsi. 
ROM.5.2	Ashirucha, Isusumun mangini tatkuni, Apanllee ndusha pazikani. Watam Apanllee tatsuyayaruni iyaa kis napkuwa. Apanll iyaa chinakiya, ashirucha Apanll uru iyaa istachiya tina. Ashiri na in mangini kisshita; uru Apanllish kis taachiniya atiniya. 
ROM.5.3+ROM.5.4	Itaru, nda anumunari mangini kisa. Yuwamunatam kiyung kachiykini anumuntam mangini kisa. Watam kiyungunasha kachiyeertaatich, ashiritaa nda sambaytachchiwa. Ndunnaa sambaytakuch, aranginasha Apanllee mangoonkuch, chiysha Isusoom kis kutachchee chiyaa ituyamamaama. 
ROM.5.5	Itaru, nda ngutaritich kutachchi. ¿Antaati mangu ateeja? zurampatari atiya. Watam iyaa kizpur chinaku Waanaatsi Wani iyash mangini tapshtukuwa. Ashirucha, uru Apanllush kis taachiniya; atashina.
ROM.5.6	Mazinangtsa; yaani kamungamaam pinasarangini. Itaru, Apanll iyaa chinarangu, iwash zari waritakchu anush Isusoo zanganirangu, yutaritshishpaneemani tsiparangiya. 
ROM.5.7	Chiynaa tputseem wamin tsipacheezini, nduni. Uru tsipaneetsich pachindtarchi. Tputsee kizpuritaa chinakuch, tsipaneetsich pachindamana pachindtarchi. 
ROM.5.8	Itaru, Apanll iyaa kizpurcha chinarangu. Iy yutarita taakuni, anumand nda Apanll Wipaa pachindarangu, tsipamaam zanganirangiya. 
ROM.5.9	Iy sirú yutaritamuntaatani, Apanll iyaam zapan istarangu, ¿natunaashtaja; Isuspatanasha ursiri chiyaa tachingkachu, Apanll chiyaa wáneech? Watam Apanll iyaa Isusumand wamin chinakiya. Isusumunpa chiy kamungachchi.
ROM.5.10	Watam Apanll waana iyaa undararimunta taárashee wayaranguwa waanshuta. Yuwamand wip Isus tsiparangu yusur támarangu anumand na misisinashacha waamatanasha tiptsir kinaranguni, ashiri kaapanasha chinakiya. Ashirucha, na in iy kamungamtanicha atuni, mangooz ksashish payukshiniya. 
ROM.5.11	Isusungaz wamin Apanllpat tatsuyayaruni, Apanll iyaa mapiyrangasha; anurisha kis chinarangiya. Ashirucha, iysha shambatkini. Apanllee wapparee tiniya.
ROM.5.11	Ashiri yuwaa Apanllpat mapiyruni taakani anoo kamaneena. Ashiri anuri chinangtsa táshina siyaa Romshucheetsis.
ROM.5.12	Ashiriya, zuwanllee, mazinangtsa. Sirútamasa zitaminarini Atagarini Apanllee kuk kapeetarangiya. Kapeeteeru, yutaritarangu, tsipats tupatstarangiya. Minamaritaa tputs yutaritarangu, iyaamsha ichinguroomshitini yutaritshishee tupatstarangu; tsipats iyashtam kusarangu. 
ROM.5.13	Ndatuma Móysisarini Apanllee kamachtamarini yandachu, uru tputs ichinguru yutaritanand taarangana. Itaru, Apanll kamachtamarinimand nda tputsee waneerangiya, watam nda kamachtamarineetsini mazinaranganawa. 
ROM.5.14	Itaru, yutarit taarang'sin, tsiparangana. Nduntaa Atagarini kaapa tamarangparee Apanllee kamachtamarinee kapeetarangsin, itaru yutarit taarang'sin, tsipamana tsiparanganaya. Atagarinshini tsipats chtarangu, nda pastaku, urutari tsipatsiptarusin, Móysisarinpursha urutarittam tsipatsiptar ashirangu; yaanamand chayarini tsipatsiptangatuni taakaniya.
ROM.5.14	Nitaati Isus Atagarini tamapari ashirangeeja. 
ROM.5.15	Atagarini Apanllee kuk kapeeteeru, tsipatsee iyash ichinguru tupatstarangiya. Atagarini tsipatsee wayarangitaa, Isussha taarashee urutamashee iyaam wayarangiya. Isus Atagarineetsini wamari kasiriya. Iyaa ksumish chinarangu, nayanirangu, taarashish urutamashee iyaam panarangiya. 
ROM.5.16	Atagarini minamta, Apanllee kuk kapeeteeru, Apanllsha Atagarinimandani tputsee ichinguru waneerangiya. Itaru, Isusumand ashkeeja. Tputsini zapantaatani yutarit taaranguni, Isusumand waminu Apanll iyaa yutaritshishirineetsini kapeeteeru, iyaatssha kis napkiya. 
ROM.5.17	Ashiri tputs minamtaata, tsipatsee shuneeru tupatstarangiya. Itaru, Isusumun minamtamuntaa taarashish urutamash Apanll panarangiya. Atagarini yutarit taarangu, Apanllsha tputseem ztaru waneeshish wayarangiya. Itaru, Apanllsha iyaa nayanirangu, Isussha iyaam kiyung kachiyarangu, yutaritshishee tachingarangiya. Iysha Isusoo mangoonkuni, Apanllsha iyaa kis napeeru, taarasheemani urutamashee panarangiya; Isuspata taarashish urutamari kasiru taachini. Kurakpaz ashiru iyaa ínayaru, waanpata kis taachiniya.
ROM.5.18	Ashiri Atagarini minamtaata tputsee shuneeru tupatstarangiya, watam waana minamtaata Apanllee kuk kapeetaranguwa. Itaru, Isus minamtaata tsiparangu, taarashsheemani ichinguroomani kasarangiya. Ashirucha, Isusumun wanasirimshirinimun chiyaa yutaritshishirinee izuuru kapeetarangiya. 
ROM.5.19	Ashiritam, tputs minamarita yutaritarangu, yutaritshishee shuneeru tupatstarangiya. Itaru, Isussha minamtaata Waparee kuk payurangu, taarashshee iyaam ichinguroomani kasarangiya. Ashirangu, Apanllsha iyaa yararangu, iyaa kis napkiya.
ROM.5.20	Apanll: Tputs waanaatsi yutaritshishirineetsi yasapana átu, sirútamasa waanaatsi kamachtamarini kamanirangiya. Kamaneeru, Móysisarinsha anoo yandarangiya. Tputs mazinayaru, mangu p'tseeyaru, yutarittana, táchinllinpa átu, Apanll kamachtarangiya. Ashirucha, Apanll kamachtamarini iyaa yutaritshishirini p'tseerangiya. Itaru, Apanll iyaa ksumish chinarangu, aranginasha nayanirangiya. 
ROM.5.21	Sirú yutaritshishish pzapaneerangu, tputsee kasiyaru, tputs ztaru yutaritshishimun tsipataranaya. Na ashikshitaja. Apanll iyaa ksumish chinaku, nayaniku, wanasir taapana tiya. Ashiri Isus mangeetsini yareeru, iyaam taarashshee urutamashee wayakiya. Isuspat urutamari taachiniya, watam Isus wamari kasiruwa.
ROM.5.21	Ashiri yuwaa Apanll iyaam taarashish urutamashee wayarangu anoo kamaneena.
ROM.6.1	Ashiriya, watam ashpatam tputs atanawa; Waritakcha, watam yutarit taakchuch, Apanllee: mangeetsi tachingangandama, átuch, tachingkuwa. Chiyaa nayanikcha. Ashiri yusur chiy yutarit taakuch, aranginashapa chiyaa nayanichiya, atanawa. 
ROM.6.2	Nduni, ¿tamaree Isuschichich átu anoo payuchich? Apanll iyaa yutaritshishirineetsini tachingeeru, kapeeteeru, ¿mayaama yusur yutaritshishee chinachini? Isus iyaam tsiparangu, iysha mangini taturanguni, yaanapaz tsiparanguni ashirangani. Ashiri ashiranguni, ¿tamaree yutaritshishush taachich? Pinasakshtiniya. 
ROM.6.3	Ndamba yasasa, Isusoo mangoonkuni tputs iyaa Isusumun ichumakiya. Isus nuwaa yutaritshishee kapeetamaam tsiparangu atuni, chumakaniya. Isuspapaz ipunuruni tsipakpaz ashkiniya. 
ROM.6.4	Ashirucha, táshina; Apanll waanamun wizpur Ísúkirístoo ituyamarangiya. ¿Tamaru Apanll ashiranga? Iyaam wanasir taamaam ashirangiya. Ashirucha, Isusumun chumakuni, Isuspazini ashkitamaniya. Watam Isus tsipayaru, tumanarangsin, támeeru, chiyzayaru, shitungarangiya. Iysha, yuwini mangoonkini, ashikpaz ashkitamaniya. 
ROM.6.5	Ashiri yuwini mangoonkini anni Isuspapaz ipunuruni, yutaritshishee kapeetamaam tsiparanguni ashiranguni, Isuspatatam urutamari taachini.
ROM.6.6	Ndamba yasaraniya, Isuspat tsipampaz ashkini. Isus yasinamun tstsammun tsiparangu, Apanllsha taarashsheetsini sirapchee izuuru kapeetarangiya. Ashirangu, ¿tamaree yutaritshish iyaa urutari kasistar ashtach? atina. 
ROM.6.7	Tsiparangpazini ashiranguni, iyaa yutaritshishirini tatutsirangiya yutaritshishee mapiymaama. 
ROM.6.8	Itaru, Isuspat tsiparangpaz ashiranguni, nimun taarashsheetsini kaneeschiri Isuspatarisha uru payuchiniya. 
ROM.6.9	Napa; Apanll Isusoo ituyamarangu, ayamtaatiya yusur tsipacheeja; tsipamaam izuuru pinasakcha. 
ROM.6.10	Isus tsipayaru, yutaritshishee izuuru kapeetamaam tsiparangiya. Minamari tsipayaru, ¿mayaama yusur tsipaku tsipach? Watam Isus támeeru, urutamari Apanlleemsha taakiya. 
ROM.6.11	Ashiri siysa shingtsa. Mangishis chinayarus, yutaritshishee izuuru watsta táyarus, taarashee sirapchee mapiyrus, Apanllimunarisha taangtsa. Watam Ísúkirísut iyaam tsipayaru támaranguwa. Ashiri Isusumun wizpuririni taachiniya. Ashirucha, taarasheetsis sirapchee mapiyngtsa nuw siyaa táshina.
ROM.6.12	Paptsa, yutaritshish siyaa kaseeyantspa tina. Kizpurtangtsa. ¿Mayaama yutaritshishee chinachich? Watsta. 
ROM.6.13	Nutseetsis Yashingoo pchindangtsa. Watam yutaritaatsim kamachtakuwa. Itaru, Apanllee nutseetsis pchindintspa. Shiyamari taapi, taarasheetsimari kaneeschee payumaam zandkina, tángtsa. Watam Isuspata washunand támarangpaz ashiranginiwa taarasheemani kaneesich yamaama. 
ROM.6.14	Atinaareesa, yutaritshish ndusha siyaa kasichiya. Sirú yutaritshish siyaa kasirangu, Apanllee kuk payuyini, tárangitaatis, xapoorangsa. Itaru, natunaa Isusoo mangooneerus Apanllsha siyaa kis chinaku, ¿tamaree yutaritshish siyaa kasich? nuw siyaa atina.
ROM.6.14	Ashirucha, taarasheetsimari kaneeschee payungtsa nuw siyaa táshina.
ROM.6.15	¿Ashiri tamacheezich? ¿Yusur kanapeeruch, Yashingush tachitcheezich? Watam na in iyaa Apanll nayaniku, mangutari istarangiya. ¿Ashiri yutarit taamaam waritachparee, táchich? Nduni, ¿tamaree táchich? 
ROM.6.16	¿Chakshum tachitamaam zandaksa? ¿Chakaatsi kurakareemis ínaksa? Saana sangtsa. Wandaya Yashingush tachitamaam zandkinaareesa, muchchureempa kinatssa. Wandaya Isusshumari tachitkachinaareesa, tiptsireem kinatssa. Itaru, Yashingush tachitkus, Yashingoo kuk payukus, yutarit taatssa. Yashingush tachitkus, saana tsipatsee yachatssa. Itaru, siynaa Isusshumari tachitkus, waa kuk payukus, tsasiri taatssa. Ashkinaaris, Apanll siyaa kis napchintsa.
ROM.6.17	Itaru, zuwanllee Apanllee wapparee tina, yuwamand Isusoo mangoonkis anumanda. Sirú Yashing' siyaa kasirangitaa, nat'sha Isusoo chinaksa. Apanllee kuk mazinarangus, shambateerus, zurumarpatis payurangsa. 
ROM.6.18	Apanll siyaa Yashingush tachitamaam itutsirangiya. Natunaa wanasiririsha taamaam chinaksa Apanlleema. Watam Apanlleemarisha ksutaksawa.
ROM.6.19	Itaru, siyaa mangeetsis p'tsimaam zandkuri, kamirana anoo kamanchintspa. Mazinangtsa; sirú yutaritshishee chinarangus, anungaziri támararangsa. Yutarit taarangus, aranginash aranginash ashirangsa. Itaru, nat'sha Apanlleetsimari chinangtsa. Wanasir taamaam zandkus, Apanllee kuk aranginasha aranginasha payungtsa. Ashkus, Apanlleemari chinakus taatssa. Tsasari taatssa.
ROM.6.20	Sirú yutaritshishee chinarangus, Yashingshumari tachitarangus, wanasir taamaam mapiyrangsa. 
ROM.6.21	Itaru, ¿yutaritshish mayaam wanasiree? Wanasireeja; watam yutarit taarangis anumand paziksawa. Watam ashkuch uru tsipatarchiwa. 
ROM.6.22	Nat'sha ndusha yutaritshish siyaa kasikastachiya. Itaru, Apanlleemari taakus, tsasiri taatssa. Anuri ashishtar ashkus, Apanllsha siyaam taarashish urutamash panachiya. 
ROM.6.23	Itaru, tputs yutaritaatsimari chinaku an tsipakchu, waana yachchiya. Itaru, Apanll iyaam taarashshee mangutari panakiya. Yuwamand Isusoo mangoonkini anumand taarashshee urutamash panakiya.
ROM.6.23	Ashirucha, yutaritshishee izuuru watsta tángtsa; nuw siyaa táshina.
ROM.7.1	Isuschicheetsis mangeetsis p'tsimaama pindanakpaz ashiru tayaspatachintspa.
ROM.7.1	Móysisarinee kamachtamarini yasaktampasa. Tputs wand kchitanaariya, anoo payumaam waritariya. Itaru, tputs tsipakchu, kamachtamarinsha pastampaz ashkiya. Ndamba anoo yasasa. 
ROM.7.2	Mazinangtsa; Móysisarini wirkari ateeja; Kiz wazaranll taarinaariya, anuri ksutachpa, tiya, itaru wazaranll tsipakchu, nllitaritsha kamuz ksutamaam waritariya. 
ROM.7.3	Ashirucha, ndatuma wazaranll tsiparu nllitari tputs pakinaariya, yutarit taaku; imbangartakiya. Itaru, wazaranll tsipakchu, yusur zaranlleeru, ¿chakaja tsiyatach? Watam kamachtamarin sirapuch pastayanlluwa.
ROM.7.4	Ashikpaz ashiritamta siyaama Apanll sirapuch kamachtamarini; siyaam pastayanlliya, watam Isusshumari tachitaksawa. Isus siyaam tsiparangu, siysa Isusoo mangoonarangus, Isuspat washunand tsipakpaz ashirangsa. Taárshish sirapuch pastayanlliya. Ashiri nat'sha Apanlleem wanasiri taapani átus, Isusoo ksutakpaz ashiksa yuwaa Apanll ituyamarangu anootsi. 
ROM.7.5	Sirú Apanll kamachtamarini yutaritshishee payurintspa, tárangitaa, ashiritaa yuwari zandarangani anuri payurangini; yutarit taarangani. Ashirucha, Apanll iyaa tsipatspa wanichintspa, tárangiya. 
ROM.7.6	Itaru, natunaa Isusoo mangoonarangurini, waneeshshee kamungarangani, watam Isusush tsipakpaz ashiranganiwa. Sirú Apanll kamachtamarini iyaa kiyung yacharangiya. Itaru, nat'sha mangini yareeruni, Apanll Wani iyaa istaku, Isusootsimari kis chinakaniya. Ashirangucha, Apanll kamachtamarini iyaam pastarangiya. Ashirucha, Isusshumari tachitkiniya.
ROM.7.6	Wapparee kamaneena yuwaa siy Romshuchis Apanlleem tiptsiris kinarangis anootsi.
ROM.7.7	Mazinangtsa; yuwamand Apanll kamachtamarini iyaa yutaritshishee chinarinllpa átu anumand yutaritshishingaz támartariniya, watam yutaritshish iyaa uru kasimaam zandkuwa. ¿Ndunnaariya, tárangu ashireeja yutaritshishee natstarangini? Ashiriya, ¿Apanll kamachtamarini amcheezich? Yutaritparee, watam kamachtamarinee yasaranguni, aranginasha yutaritshishee nazandaranganiwa. Kpitanda átcha, ¿táchich? Nduni, ¿tamaree táchich? Wanasircha kamachtamarini. Wanasiri taamaam waneekiya. Napa ndunnaari kamachtamarineetsi yasaranguri, yutaritshishee nduntam natstarangina. Apanll: Tputsingaz maachiritaa támararinllpa; tárangiya. Ashiri yuwamand amb, tárangu anumand nuwsha támarashee mangoonarangina; yutaritcha, tárangina. 
ROM.7.8	Itaru, anoo k'kuz mazinaranguri, mangishi yutarit chinaranguri, nazandaranguri, maachingaziri kapung támararangina. Apanll kamachtamarini ndunnaariya ashiru, mapiyrangparina. Ashirucha, uw kamachtamarini mangeetsi p'tseerangiya tina. Tputsich ichinguru ashimanandichcha. 
ROM.7.9	Mishat, nllurtamasi mapiyruri taarangina. Itaru, Apanlleetssha kamachtamarini mazinayaruri, yutarittana, tsipachinda yutaritshishimuna, táyaruri, ndusha mapiyruri taarangina; mangi mantsarangina. Tputsich ichinguru ashimanandichcha. 
ROM.7.10	Sirútamasa Apanll tputs wanasir taapana átu, Móysisarineetsi tuyandarangiya. Apanll waana tuyandarangitaa, wanasir taapana, tárangitaa, nuwaani payumaam xapoorangina. Waa kamachtamarini kapeetaranguri, Móysisarinsha kuk nuwaa tupchakpaz ashirangiya, watam yutaritshishish nuwaa tupantsaranguwa. 
ROM.7.11	Kamachtamarineetsi yasaranguri, nuwaanitari wanasiri taapi, tárangina. Itaru, nuwaanaats tamapingarangina. Watam tputsich pinasakchiwa. Xapoorangina; ashiri yutaritshishee chinaranguri, yutarit taarangina. Ashirangi anumand Apanll tsipatspa nuwaa wanichiya; tárangina. 
ROM.7.12	Itaru, ashiritaa, Móysisarini kuk wanasircha tina. Itsinsaru iyaa kamankiya. Wanasir kamachtakiya. Watam Apanll waana tuyandaranguwa. 
ROM.7.13	Ashiriya, mazinangantsa; Apanll kamachtamarini iyaam yutaritcha, watam iyaa tupchataruwa; ¿tácheezich? Nduni, ¿tamaree táchich? Apanll yutaritshishee kizpurcha yutarita, tárangu, tputs anoo mangoonpana átu, anoom Móysisarineetsi tuyandarangiya yutaritshishee p'tsimaama. Mangeetsini p'tseerangu, yutaritshishee natstaranguni, yutaritcha atiniya.
ROM.7.14	Ashiriya, Móysisarini kuk wanasircha. Uru payunda átcha, watam Apanll tuyandaranguwa. Itaru, iy tputsini yutarittanandanicha. Iy uru yutaritshishee chinakani. Yutaritshish iyaa m'chachurtakpaz ashkiya; uru iyaa kasimaam zandkiya. 
ROM.7.15	Apanllee kuk payupani atitaatini, itaru pinasakani. Yutaritshishee watsta yutarittareema titaatini, anurisha payukani. ¿Tamashta ashkini? tiniya. 
ROM.7.16	Ashiri Apanll kuk wanasircha tini, watam chinakaniwa; payupani tiniya. Chinaktaatini, yutarit taakani. 
ROM.7.17	Nduntaa yutaritshishee zandkuni, ashiritaa yutarit ashkini. Yaani wanasir taamaam pinasakaniya; yutaritshish iyaa kasikiya. Iyaa tsutakpaz ashkiya. 
ROM.7.18	Mishat, iyash wanasir taamaam wanindaja. Uru kamiran yutaritaa chinakani. Wanasir taamaam zandkitaatini, itaru yaani xapookani. ¿Pinasakaniwa? Wanasir taangsi titaatini, uru pinasakani. 
ROM.7.19	Yutaritshish iyash taaratarawu, machikpaz ashkiya. Ashirucha, yutaritshishee watsta titaatini, anurisha tuminkini. 
ROM.7.20	Ashiri mangishini yutaritshishee kaapa ngatkini. Itaru, yaani wanasir taamaam pinasakani; yutaritshish iyaa kasikuwa.
ROM.7.21	Wanasiri taapani titaatani, iyaa yutaritshish kasiku.
ROM.7.22+ROM.7.23+ROM.7.24+ROM.7.25	Kaapa mangishini zurumarpatini chinakuni, Apanll kuk chinaktaatini pinasakani, watam wizpuririni pishtakuwa. Wanasiri taapani titaatani, pinasakani. Yutaritshish iyaa kiyung yachakiya. Iyaa muchchureem ínakiya. Mangishini taarataraw ashikpaz ashkiya. Sitatstee. Kiyung kachiykini. Yutaritshish iyaatsim kasikanda, wanasir taapani atitaatani. ¿Chakaja iyaa tapachindach? atinaareeniya, Isusoomari iyaa tapachindachindaniya; táchiniya. Anumand iysha: Apaa, shiy kizpurtishcha, wapparee, táchiniya. Kurakarinimuni Ísúkirístumun kamungamaam waritakiya. Ashirucha, Apanllee ungirtakaniya; nuw siyaa tina.
ROM.7.22+ROM.7.23+ROM.7.24+ROM.7.25	Ashiri yuwaa yutaritshish iyaa uru kasimaam zandku anoo kamaneena.
ROM.8.1	Iyaa uru wanimaam waritaktaa, ashiritaa Isusumuncha kamungkini. Isusumand wamin Apanlleem wip kinaranguni, iyaam na waneeshish wanindshtaja. 
ROM.8.2	Apanlleem wip kinakchuni, Apanll Wani taarashishee kaneesich iyaam panakiya. Ashkachu, ndusha Yashinguni iy tiptsirini. Apanll yutaritshishee iyaa itutsku, yutaritshish ndusha iyaa kasikiya. Nduntam tsipats pzurtarich an wanindachiya. 
ROM.8.3	Sirú ichinguruni Apanllee kamachtamarini payumaam zandarangtaatani, xapoorangini. Yaani kamungamaam pinasarangini. Itaru, Apanll kamungshish taap átu, waana wipaa zanganirangiya. Isus tputseem kinayaru, iyaam kaminni kiyung kachiyarangiya. Iyamand yutaritshishirini tuwapamaam Apanll wipaa tupcharangiya. Isus ursir parungarangu, tsiparangu, iyaam kamungshini ashirangiya. 
ROM.8.4	Kamachtamareetsi payupana átu, Apanll ashirangiya. Ashiri Apanllsha Wani mangeetsini p'tsih p'tsih ashishtar ashku anoo ayu tuni, Apanlleemsha taakani. Itaru, taarasheetsini sirapchee payukuni, ancha pinasakani. 
ROM.8.5	Watam chiy taarasheetsich sirapchee payukuch, yuw chaana zandkich anootsim payutarchi. Itaru, taarashshee kaneesich payukuch, Apanll zandku anootsim payukchi, watam Apanll Wani chiyaa machkuwa. 
ROM.8.6	Apanll Wani iyaa mangeetsini p'tsiputstar ashku, machikpaz ashku, anshuri tachitkuni, iyaamsha waneeshish nduncha; mapiyshish iyaam wayakiya; taarashsheemich uru payuchchi.
ROM.8.7	Yuwaa chaana zandkich anootsimari chinachinaw ashkuch, Apanllee kundartakpaz ashikchi. Anpat uru mapeekuch, Apanllee kuk payukeezich; payumaam pinasakcha. 
ROM.8.8	¿Ashkich anoo tamaree Apanll kis napach?
ROM.8.9+ROM.8.10	Apanll Wani siyash izuurinaariya taaku, Apanllchichtischa. Itaru, nda Apanll Wani tputsish izuuru taaku, nitaati an tputs Apanllchicheeja. Itaru, siy Apanllchichtischa; watam Isus siyash taakuwa. Nutsis yutaritshishimand tsipamana tsipakchitaa, kanis urutamari taachiya; watam Apanll siyaa mangeetsis tachingaranguwa. 
ROM.8.11	Tsipakchitaatis, Apanll Waanamun Wani ituyamachintsa; watam Isusoo ituyamaranguwa. Apanll Wani siyash taakinaariya ashiru, siyaa ituyamachiya Apanlli.
ROM.8.12	Ashiriya, Apanll iyaa Isuschicheetsini waama tiptsir ínayanllu, ¿mayaamshtaja Yashingush tachitchich? ¿mayaama yutarit taachich? Watam Isus iyaam kaminni kiyung kachiyranguwa. 
ROM.8.13	Yutaritanaari taakus, Apanll siyaa kapeetchiya. Itaru, Apanllimun Wizpuririni yutaritshishee izuuru watsta átus, urutamari taatssa. 
ROM.8.14+ROM.8.15	Yuwaatsimari tputs Apanll Wani machku an Apanllchichcha. ¿Sirú Apanllee tamaranginiya? M'chach upaturunaree punik'sin, tamatarparee ashiranganiya, Apanllee puniranginiya. Watam yutaritshishpanimunniwa. Itaru, natunaa Apanll waanaatsi wipaampaz ashiru iyaa ínarangu, Apanll Wani iyash pshtukchu, ndusha Apanllee punikuni, iysha Apanllee: Apaa, támaam waritakaniya. 
ROM.8.16	Ashirucha,: Apanlltana wipi, atuni, uwsha Apanll Wani iyash taaku an, zuraktischa, Apanllchichtischa, táchiya iyaatsi. 
