GEN.1.1	Idi punganay, pinarsua ti Dios ti lubong.
LUK.4.3	“No sika ti Anak ti Dios,” kinuna ti Diablo, “bilinem nga agbalin a tinapay daytoy a bato.”
LUK.4.4	“Kuna
LUK.4.5	Kalpasan daytoy, inturong ti Diablo ni Jesus iti nangato a disso ket iti apagdarikmat impakitana kenkuana dagiti amin a pagarian ti lubong. 
LUK.4.6	“Itedkonto kenka amin dagitoy a pannakabalin ken dagitoy a kinabaknang,” kinuna ti Diablo. “Nayawatda amin kaniak ket mabalinko nga ited iti siasinoman a kayatko a pangtedan. 
LUK.4.7	Ngarud, no agrukbabka kaniak, kukuamto amin dagitoy.”
LUK.4.8	“Kuna
LUK.4.9	Kamaudianna, impan ti Diablo ni Jesus idiay Jerusalem ket pinagtakderna iti kangatoan a paset ti Templo sana kinuna kenkuana, “No Anaknaka ti Dios, tumapuakka man. 
LUK.4.10	Ta
LUK.4.11	Kunana pay: ‘Tapayaendakanto tapno uray dagiti sakam saan a madunor iti bato.’”
LUK.4.12	Insungbat
LUK.4.13	Idi naaramiden ti Diablo ti amin a mabalinna a pangsulisog ken ni Jesus, pinanawanna pay laeng agingga iti dumteng ti sabali a gundaway.
LUK.4.14	Nagsubli ni Jesus idiay Galilea nga adda kenkuana ti pannakabalin ti Espiritu Santo. Nagwaras ti damag maipapan kenkuana iti amin a masakupan dayta a lugar. 
LUK.4.15	Nangisursuro iti uneg dagiti sinagoga, ket dinaydayaw dagiti amin a tattao.
LUK.4.16	Napan ni Jesus idiay Nazaret, ti ili a dimmakkelanna. Kas kadawyanna iti Aldaw a Panaginana, simrek iti sinagoga. Timmakder a mangbasa iti Nasantoan a Surat, 
LUK.4.17	ket nayawat kenkuana ti libro ni profeta Isaias. Inukradna ti nalukot a pagbasaan ket nasarakanna ti paset a nakaisuratan dagitoy sumaganad:
LUK.4.18	“Adda
LUK.4.18	Pinilinak a mangikasaba iti Naimbag a Damag kadagiti napanglaw,
LUK.4.18	Imbaonnak a mangiwaragawag iti pannakawayawaya dagiti balud,
LUK.4.18	Iti pannakakita manen dagiti bulsek,
LUK.4.18	Iti pannakaruk-at dagiti maparparigat,
LUK.4.19	Ken mangipakaammo a dimtengen ti tiempo
LUK.4.19	a panangsubbot ti Apo kadagiti tattaona.”
LUK.4.20	Linukot ni Jesus ti pagbasaan, inyawatna iti agserserbi sa nagtugaw. Sikikita kenkuana dagiti adda iti sinagoga 
LUK.4.21	idi kinunana kadakuada, “Ita nga aldaw, natungpalen daytoy a paset ti Nasantoan a Surat a nangngegyo a naibasa.”
LUK.4.22	Dinayaw dagiti amin a tattao, ket nagsiddaawda kadagiti agkakapintas nga imbalikasna. Kinunada, “Saan aya nga isu ti anak ni Jose?”
LUK.4.23	Ngem simmungbat ni Jesus, “Awan duadua nga ibagayo kaniak daytoy a pagsasao: ‘Doktor, agasam ta bagim.’ Kunayo ngata pay: ‘Aramidem ditoy ilim dagiti nadamagmi nga inar-aramidmo idiay Capernaum.’” 
LUK.4.24	Innayon
LUK.4.25	Denggenyo
LUK.4.26	Ngem
LUK.4.27	Adu
LUK.4.28	Kasta unay ti pungtot dagiti tattao iti sinagoga idi mangngegda daytoy. 
LUK.4.29	Timmakderda, sada ginuyodguyod ni Jesus nga inruar iti ili. Impanda iti tapaw ti turod a nakabangonan ti ilida tapno itappuakda iti derraas. 
LUK.4.30	Ngem nagna ni Jesus iti nagbabaetanda ket pimmanaw.
LUK.4.31	Simmalog ni Jesus idiay Capernaum, maysa nga ili idiay Galilea. Nangisuro kadagiti tattao iti Aldaw a Panaginana. 
LUK.4.32	Nasdaawda
LUK.4.33	Iti sinagoga, adda lalaki a linuganan ti dakes nga espiritu. Nagikkis iti napigsa. 
LUK.4.34	“Ania ti kayatmo kadakami, Jesus a taga-Nazaret?” kinunana. “Umaynakami kadi dadaelen? Am-ammoka! Sika ti Nasantoan nga imbaon ti Dios.”
LUK.4.35	Binilin ni Jesus ti espiritu. “Agulimekka,” kinunana, “ket rummuarka iti dayta a tao!”
LUK.4.35	Tinumba ti demonio ti tao iti sangoananda amin ket rimmuar kenkuana a dina inan-ano.
LUK.4.36	Nasdaawda amin ket kinunada iti maysa ken maysa: “Ania dagitoy a saona? Adda turay ken pannakabalinna a mangbilin kadagiti dakes nga espiritu, ket rummuarda!”
LUK.4.37	Nagsaknap iti dayta a lugar ti damag maipapan ken ni Jesus.
LUK.4.38	Pimmanaw ni Jesus iti sinagoga ket napan iti balay ni Simon. Nakaro idi ti gurigor ti katugangan ni Simon, ket kiniddawda ken ni Jesus a tulonganna ti babai. 
LUK.4.39	Immasideg ni Jesus iti idda ti masakit ket pinabaawna ti gurigorna. Apaman a naimbagan ti masakit, dagus a bimmangon ket nagserbi kadakuada.
LUK.4.40	Idi lumlumneken ti init, amin nga adda gagayyemna nga agsagsagaba iti uray ania a kita ti sakit, impanda dagitoy a masakit ken ni Jesus. Impatayna ti imana iti tunggal maysa ket naimbaganda amin. 
LUK.4.41	Rimmuar met dagiti demonio kadagiti adu a tattao ket inyik-ikkisda: “Sika ti Anak ti Dios!”
LUK.4.41	Ngem inungtan ida ni Jesus. Dina impalubos nga agsaoda ta ammoda nga isu ti Cristo.
LUK.4.42	Iti parbangon, pimmanaw ni Jesus iti ili ket napan iti lugar nga awan matagtagitao. Binirbirok dagiti tattao, ket apaman a nasarakanda, kayatda a lapdan ti ipapanawna.
LUK.4.43	Ngem kinunana kadakuada, “Nasken nga ipakaammok ti Naimbag a Damag maipapan iti Pagarian ti Dios kadagiti dadduma pay nga ili, ta daytoy ti nangibaonan kaniak ti Dios.”
LUK.4.44	Nangaskasaba ngarud ni Jesus kadagiti sinagoga iti entero a Judea.
LUK.5.1	Iti
LUK.5.2	Nakitana ti dua a bangka iti igid ti dan-aw a pinanawan dagiti mangngalap a napan nangbuggo kadagiti iketda. 
LUK.5.3	Limmugan ni Jesus iti maysa kadagiti bangka, ti kukua ni Simon, ket dinawatna kenkuana ipatengngana bassit. Nagtugaw ni Jesus iti bangka ket insurona dagiti tattao.
LUK.5.4	Kalpasan ti panagsaona, kinunana ken ni Simon: “Ipatengngam ti bangka, ket iwayatyo ti iketyo ta agkalapkayo.”
LUK.5.5	“Maestro,”
LUK.5.6	Inwayatda
LUK.5.7	Pinayapayanda ngarud dagiti kakaduada iti sabali a bangka tapno mapanda tumulong kadakuada. Napan dagitoy ket kinargaanda dagiti dua a bangka agingga a napnoda iti kasta unay nga ikan ket ngannganidan lumned.
LUK.5.8	Idi makita ni Simon Pedro ti napasamak, nagparintumeng iti sangoanan ni Jesus ket kinunana, “Apo, adaywannak! Maysaak a managbasol.”
LUK.5.9	Nasdaaw ni Pedro ken dagiti kakaduana iti kaadu ti nakalapanda. 
LUK.5.10	Nasdaaw met da Santiago ken Juan nga annak ni Zebedeo, isuda a kinakuyog ni Simon.
LUK.5.10	“Dika agbuteng, Simon,” kinuna ni Jesus, “manipud ita, tattaonton ti kalapem.”
LUK.5.11	Insang-atda dagiti bangka, pinanawanda amin, ket simmurotda ken ni Jesus.
LUK.5.12	Iti naminsan, adda ni Jesus iti maysa nga ili nga ayan ti maysa a lalaki nga agkukutel. Apaman a nakitana ni Jesus, nagpakleb iti sangoananna ket impukkawna kenkuana, “Apo, no kayatmo, mapaimbagnak.”
LUK.5.13	Sinagid ni Jesus ti lalaki sana kinuna, “Kayatko! Umimbagkan.” Ket dagus a naikkat ti sakit ti lalaki.
LUK.5.14	Imbilin
LUK.5.15	Immad-adda ketdi a nagdinamag ni Jesus. Napan ti nakaad-adu a tattao nga agdengngeg kenkuana ken agpaagas kadagiti saksakitda.
LUK.5.16	Ngem masansan nga agpakni ni Jesus kadagiti disso nga awan matagtagitao tapno agkararag.
LUK.5.17	Iti maysa nga aldaw, idi mangisursuro ni Jesus, agtutugaw sadiay ti sumagmamano a Fariseo ken mamaestro iti Linteg. Naggapuda kadagiti amin nga il-ili iti Galilea ken Judea, agraman Jerusalem. Adda ken ni Jesus ti pannakabalin ti Apo a mangpaimbag kadagiti masaksakit. 
LUK.5.18	Napan kenkuana ti sumagmamano a lallaki a nangyeg iti maysa a paralitiko a nakaidda iti papag. Iserrekda koma ti lalaki iti uneg ti balay tapno ipanda iti sango ni Jesus. 
LUK.5.19	Ngem gapu iti kaadu ti tao, saanda a maiserrek ti paralitiko. Napanda ngarud iti tuktok ti balay, binutbotanda ti atep, ket imbabada a nakaidda iti papag sada indisso iti tengnga dagiti tattao iti sangoanan ni Jesus.
LUK.5.20	Idi makita ni Jesus ti pammatida, kinunana iti paralitiko, “Gayyem, napakawanen dagiti basbasolmo.”
LUK.5.21	Nagtantanabutob dagiti mamaestro iti Linteg, kasta met dagiti Fariseo, ket kinunkunada: “Apay a kastoy ti panagsao daytoy a tao? Maibusor iti Dios ti sasawenna! Ti laeng Dios ti makapakawan kadagiti basbasol!”
LUK.5.22	Ammo ni Jesus ti kapanunotanda ket kinunana kadakuada, “Apay a kasta ti pampanunotenyo? 
LUK.5.23	Ania ti nalaklaka nga isao: ‘Napakawanen dagiti basbasolmo’ wenno ‘Bumangonka ket magnaka’? 
LUK.5.24	Paneknekak ngarud kadakayo a ti Anak ti Tao adda pannakabalinna ditoy daga a mamakawan kadagiti basbasol.” Kinunana iti paralitiko, “Ibilinko kenka: bumangonka, bagkatem ta iddam, ket agawidkan!”
LUK.5.25	Timmakder a dagus ti paralitiko iti imatangda amin, binagkatna ti nagiddaanna ket nagawid a mangidaydayaw iti Dios.
LUK.5.26	Anian a siddaawda! Nagbutengda amin a nagdaydayaw iti Dios ket kinunkunada, “Anian a nakaskasdaaw dagiti naimatangantayo ita nga aldaw!”
LUK.5.27	Kalpasan daytoy, rimmuar ni Jesus ket nakitana ni Levi, maysa nga agsingsingir iti buis. Agtugtugaw iti ofisinana. Kinuna ni Jesus kenkuana, “Surotennak.”
LUK.5.28	Timmakder ni Levi, pinanawanna amin, ket simmurot ken ni Jesus.
LUK.5.29	Kas pammadayawna ken ni Jesus, nangisagana ni Levi iti dakkel a padaya idiay balayna. Timmabuno ti adu nga agsingsingir iti buis ken dadduma pay a tattao.
LUK.5.30	Nagtantanabutob
LUK.5.31	Simmungbat ni Jesus kadakuada: “Saan a dagiti nasalun-at ti makasapul iti mangngagas no di ket dagiti masaksakit. 
LUK.5.32	Saanak nga immay tapno ayabak dagiti nalinteg ngem immayak agayab kadagiti managbasol ket iti kasta agbabawida.”
LUK.5.33	Kinuna ti sumagmamano a tattao ken ni Jesus: “Masansan nga agayunar ken agkararag dagiti adalan ni Juan, kasta met dagiti adalan dagiti Fariseo; ngem mangan ken uminum dagiti adalam.”
LUK.5.34	Simmungbat ni Jesus: “Mabalin aya a di mangan dagiti makiboda no adda ti nobio iti arpadda? Saan a mabalin! 
LUK.5.35	Ngem dumtengto ti tiempo a maipanaw ti nobio kadakuada ket isunton ti panagayunarda.”
LUK.5.36	Sinarita pay ni Jesus kadakuada daytoy a pangngarig: “Awan ti tao a mangala iti baro a lupot tapno itakupna iti daan a pagan-anay. No kasta ti aramidenna, dadaelenna ti baro a kawes ket saan pay a maibagay iti nakaitakupanna. 
LUK.5.37	Awan met mangikabil iti baro nga arak iti daan a supot a lalat. No kasta ti aramidenna, bettakento ti baro nga arak ti supot, maibelleng ti arak ken madadael ti supot. 
LUK.5.38	Saan! Masapul nga ikarga ti baro nga arak iti baro a supot a lalat. 
LUK.5.39	Ket ti nakaraman iti baak nga arak, dina pagan-ano ti uminum iti baro. Ta kunana: ‘Naim-imas ti baak.’”
LUK.6.1	Iti
LUK.6.2	Kinuna ti sumagmamano a Fariseo, “Apay nga aramidenyo ti iparit ti Lintegtayo iti Aldaw a Panaginana?”
LUK.6.3	“Diyo
LUK.6.4	“Simrek
LUK.6.5	Ket inggibus ni Jesus, “Ti Anak ti Tao isu ti Apo ti Aldaw a Panaginana.”
LUK.6.6	Iti sabali nga Aldaw a Panaginana, napan ni Jesus iti sinagoga ket nangisuro. Adda sadiay ti maysa a tao a paralitiko ti makannawan nga imana. 
LUK.6.7	Palpaliiwen ti sumagmamano a mamaestro iti Linteg, kasta met dagiti Fariseo, no mangagas ni Jesus iti Aldaw a Panaginana tapno adda panggapuanda a mangidarum kenkuana.
LUK.6.8	Ngem ammo ni Jesus ti pampanunotenda. Kinunana iti lalaki, “Tumakderka ket umayka ditoy sango.”
LUK.6.8	Timmakder ti lalaki ket napan iti sangoananda.
LUK.6.9	“Saludsodek man kadakayo,” kinuna ni Jesus. “Ania ti ipalubos ti Linteg nga aramidentayo iti Aldaw a Panaginana: ti panagaramid iti naimbag wenno iti dakes? Ti panangisalakan wenno ti panangdadael iti biag?”
LUK.6.10	Inwarasna ti panagkitana kadakuada amin sana kinuna iti lalaki, “Unnatem ta imam.” Inunnat ti lalaki ti imana ket immimbagen.
LUK.6.11	Ngem napalalo ti pungtot dagiti Fariseo ken mamaestro iti Linteg ket nagsasaritaanda no ania ti aramidenda ken ni Jesus.
LUK.6.12	Iti dayta a tiempo, simmang-at ni Jesus iti bantay tapno agkararag. Nagpatpatnag sadiay a nagkararag iti Dios.
LUK.6.13	Kabigatanna, inayabanna dagiti adalanna ket pimmili iti sangapulo ket dua kadakuada a dinutokanna nga apostoles: 
LUK.6.14	ni Simon (a pinanagananna iti Pedro) ken ni Andres a kabsatna, da Santiago ken Juan, da Felipe ken Bartolome, 
LUK.6.15	da Mateo ken Tomas, ni Santiago nga anak ni Alfeo, ni Simon (a managan Patriota), 
LUK.6.16	ni Judas nga anak ni Santiago ken ni Judas Iscariote
LUK.6.17	Idi sumalsalogda iti bantay, nagsardeng ni Jesus iti nasimpa a disso nga ayan ti adu nga adalanna. Adda met sadiay dagiti nakaad-adu a tattao a naggapu iti amin a paset ti Judea ken Jerusalem, kasta met kadagiti siudad ti Tiro ken Sidon nga asideg iti baybay.
LUK.6.18	Napanda sadiay tapno agdengngegda kenkuana ken paagasanda dagiti saksakitda. Napan met dagiti agsagsagaba kadagiti dakes nga espiritu, ket immimbagda. 
LUK.6.19	Kayat ti tunggal maysa a sagiden ni Jesus, ta adda aggapu kenkuana a pannakabalin a mangpaimbag kadakuada amin.
LUK.6.20	Kinita ni Jesus dagiti adalanna ket kinunana:
LUK.6.20	“Nagasatkayo, dakay a napanglaw,
LUK.6.20	ta kukuayo ti Pagarian ti Dios!
LUK.6.21	“Nagasatkayo, dakayo a mabisin ita,
LUK.6.21	ta mapnekkayto!
LUK.6.21	“Nagasatkayo, dakayo nga agsangit ita,
LUK.6.21	ta agkatawakayto!
LUK.6.22	“Nagasatkayo
LUK.6.23	Agragsakkayo
LUK.6.24	“Ngem asikayo pay, dakay a nabaknang ita,
LUK.6.24	ta linak-amyon ti nam-ay ti biag!
LUK.6.25	“Asikayo pay, dakay a mapnek ita,
LUK.6.25	ta mabisinankayto!
LUK.6.25	“Asikayo pay, dakay nga agkatawa ita,
LUK.6.25	ta agdung-aw ken agsangitkayto!
LUK.6.26	“Asikayo pay no nasayaat ti sawen ti amin a tao maipapan kadakayo; ta kasta met ti kinunkuna dagiti kapuonanda maipapan kadagiti sinan-profeta.”
LUK.6.27	“Ngem ibagak kadakayo nga agdengdengngeg kaniak: Ayatenyo dagiti kabusoryo ket ipaayanyo iti imbag dagiti manggura kadakayo. 
LUK.6.28	Bendisionanyo dagiti mangilunod kadakayo ket idawdawatanyo dagiti mangidadanes kadakayo. 
LUK.6.29	No adda mangtungpa iti maysa a pingpingmo, patungpam pay ti bangir. No adda mangala iti kagaymo, bay-am nga alaenna pay ta badom. 
LUK.6.30	Ikkam ti siasinoman a dumawat kenka, ket no adda mangala iti sanikuam, dimo paisublin. 
LUK.6.31	Aramidenyo
LUK.6.32	“No dagiti laeng agayat kadakayo ti ayatenyo, adda aya magunggonayo? Uray dagiti managbasol, ayatenda met dagiti agayat kadakuada. 
LUK.6.33	Ket no dagiti laeng mangipaay kadakayo iti imbag ti ipaayanyo iti imbag, adda aya magunggonayo? Uray dagiti managbasol, kasta met ti aramidda! 
LUK.6.34	No dagiti laeng ammoyo a mangisublinto kadagiti bulodenda kadakayo ti pabulodanyo, adda aya magunggonayo? Uray dagiti managbasol pabulodanda dagiti managbasol ta namnamaenda a maisubli met laeng ti ipabulodda. 
LUK.6.35	Saan a kasta ti aramidenyo! Ayatenyo ketdi dagiti kabusoryo ket ipaayanyo ida iti imbag. Agpabulodkayo, ngem diyo namnamaen a masupapakankayo. No aramidenyo dagitoy, dakkelto ti gunggonayo ket annaknakayto ti Kangatoan. Ta naasi ti Dios kadagiti di makaammo nga agyaman ken kadagiti managdakdakes. 
LUK.6.36	Masapul a manangngaasikayo a kas ken ni Amayo a manangngaasi.”
LUK.6.37	“Diyo ukomen ti padayo a tao tapno dinakayto met ukomen ti Dios. Diyo ilunod ti padayo a tao tapno dinakayto met ilunod ti Dios. Mamakawankayo ket pakawanennakayto met ti Dios. 
LUK.6.38	Mangtedkayo ket ikkannakayto met ti Dios: sukat a naan-anay, nasedsed ken agliplipias ti maipasab-okto kadakayo. Ta ti pangrukodyo iti sabali isunto met la ti pangrukod ti Dios kadakayo.”
LUK.6.39	Sinarita
LUK.6.40	Saan
LUK.6.41	“Apay a dillawem ti puling iti mata ni kabsatmo ngem dimo madlaw ti troso iti matam? 
LUK.6.42	Kasano ti panagkunam nga ikkatem ti puling iti mata ni kabsatmo no dimo pay madlaw ti troso iti matam? Sika nga aginsisingpet! Ikkatem pay nga umuna ti troso iti matam, tapno nalawag ti panagkitam a mangikkat iti puling nga adda iti mata ni kabsatmo.”
LUK.6.43	“Saan nga agbunga ti nasayaat a kayo iti dakes. Saan met nga agbunga ti dakes a kayo iti nasayaat. 
LUK.6.44	Mailasin
LUK.6.45	Iruar
LUK.6.46	“Apay nga awagandak iti ‘Apo, Apo,’ ngem diyo met aramiden ti ibagak? 
LUK.6.47	Amin nga umay kaniak ken dumngeg iti saok, ket tungpalenna ida—ibagak kadakayo ti pakaipadaanna. 
LUK.6.48	Maipada iti maysa a tao a nagpatakder iti balay. Nagkali iti nauneg ket insaadna ti fondasion iti bato. Immay ti layus ket dinalapusna dayta a balay, ngem saan a naan-ano ta nasayaat ti pannakaipatakderna. 
LUK.6.49	Ngem ti tao a dumngeg iti saok ket dina met tungpalen, maipada iti maysa a tao a nagpatakder iti balay iti rabaw ti daga ngem awan inkabilna a fondasion. Idi dumteng ti layus, dinalapusna dayta a balay ket dagus a narba. Anian a nakaam-amak ti pannakarbana!”
LUK.7.1	Napan ni Jesus idiay Capernaum apaman a nasaona amin dagitoy kadagiti tattao. 
LUK.7.2	Adda sadiay ti maysa a kapitan dagiti soldado ti Roma. Masakit ti patpatgenna unay nga adipen ket dandanin matay. 
LUK.7.3	Idi madamag ti kapitan ti maipapan ken ni Jesus, imbaonna ti sumagmamano a panglakayen a Judio tapno dawatenda kenkuana nga umayna agasan ti adipenna.
LUK.7.4	Napanda ken ni Jesus ket nagpakpakaasida kenkuana. “Pudno a maikari daytoy a tao iti tulongmo,” kinunada, 
LUK.7.5	“ta ay-ayatenna dagiti tattaomi ket imbangonannakami pay iti sinagoga.”
LUK.7.6	Kimmuyog ni Jesus kadakuada. Idi asidegen ni Jesus iti balay, nangibaon ti kapitan kadagiti gagayyemna tapno ibagada daytoy kenkuana: “Apo, dika la agbambannogen ta diak maikari nga umawat kenka iti balayko. 
LUK.7.7	Ipapanko pay a diak maikari nga umay kenka iti personal. Agbilinka laeng ket umimbagto ti adipenko. 
LUK.7.8	Uray siak, adda dagiti ofisiales a mangituray kaniak ket adda met soldado nga iturayak. ‘Inka,’ kunak iti maysa ket mapan. ‘Umayka,’ kunak iti sabali ket umay. ‘Aramidem daytoy,’ kunak iti adipenko ket aramidenna.”
LUK.7.9	Nasdaaw ni Jesus a nakangngeg iti daytoy. Sinangona dagiti adu a sumursurot kenkuana sana kinuna: “Ibagak kadakayo a diak pay nakakita iti kastoy a pammati, uray iti entero nga Israel!”
LUK.7.10	Nagsubli dagiti naibaon iti balay ti kapitan ket nasangpetanda nga immimbagen ti adipen.
LUK.7.11	Iti saan a nabayag,
LUK.7.12	Idi makaasideg iti ruangan ti ili, apag-isu met a rummuar dagiti tattao iti maysa a pamumpon. Ti natay isu ti bugbugtong nga anak a lalaki ti maysa a balo a babai. Kimmuyog kenkuana ti adu a tattao a taga-siudad.
LUK.7.13	Naasian ti Apo idi makitana ti ina. “Dika agsangsangit,” kinunana kenkuana.
LUK.7.14	Immasideg ni Jesus ket sinagidna ti lungon. Nagsardeng dagiti mangbakbaklay iti lungon. Kinuna ni Jesus, “Barok, bumangonka!”
LUK.7.15	Nagtugaw daydi natay ket nagsao. Inyawat ni Jesus ken ni inana.
LUK.7.16	Nagbuteng dagiti amin a tattao ket indaydayawda ti Dios. “Nagparang kadatayo ti maysa a naindaklan a profeta!” kinunkunada. “Immay ti Dios a mangisalakan kadagiti tattaona!”
LUK.7.17	Nagwaras daytoy a damag maipapan ken ni Jesus iti entero a Judea ken kadagiti kabangibang a luglugar.
LUK.7.18	Naammoan ni Juan kadagiti adalanna ti amin maipapan kadagitoy ket inayabanna ti dua kadakuada. 
LUK.7.19	Imbaon ni Juan ida iti Apo tapno saludsodenda daytoy, “Sika kadi ti umay a kuna ni Juan, wenno aguraykami pay iti sabali?”
LUK.7.20	Idi makadanonda ken ni Jesus, kinunada, “Imbaonnakami ni Juan a Mammuniag tapno saludsodenmi kenka no sika ti kunana nga umay, wenno aguraykami pay iti sabali?”
LUK.7.21	Iti dayta nga oras, adu dagiti tattao a pinaimbag ni Jesus kadagiti saksakit ken an-anayenda. Pinaksiatna dagiti dakes nga espiritu. Inagasanna ti adu a bulsek ket nakakitada.
LUK.7.22	Kinuna
LUK.7.23	Nagasat ti tao a di agduadua kaniak!”
LUK.7.24	Idi nakapanawen dagiti binaon ni Juan, kinuna ni Jesus kadagiti tattao maipapan ken ni Juan: “Idi mapankayo ken ni Juan idiay let-ang, ania ti ninamnamayo a makita? Maysa a runo a gargarawen ti angin? 
LUK.7.25	Ania ti napanyo kinita? Maysa a tao a nagkawes iti napintas a pagan-anay? Kinapudnona, palasio ti pagnaedan dagiti agkawes iti kasta ken agbiag a sibubuslon! 
LUK.7.26	Ibagayo man kaniak no ania ti napanyo kinita? Maysa a profeta? Wen, ket ibagak kadakayo a nangnangruna pay ngem profeta ti nakitayo. 
LUK.7.27	Ta
LUK.7.27	‘Adtoy ti babaonek,’ kuna ti Dios;
LUK.7.27	‘ibaonko nga umun-una ngem sika
LUK.7.27	tapno isaganana ti dalanmo.’
LUK.7.28	Ibagak kadakayo a kadagiti amin a nayanak, awan nangnangruna ngem ni Juan. Nupay kasta, natantan-ok ngem isu ti kanumoan iti Pagarian ti Dios.”
LUK.7.29	Dimngeg
LUK.7.30	Ngem inumsi dagiti Fariseo ken mamaestro iti Linteg ti panggep ti Dios kadakuada ket dida kinayat ti pabuniagan ken ni Juan.
LUK.7.31	“Ania ti pangipadaak kadagiti tattao kadagitoy nga aldaw?” intuloy ni Jesus. “Ania ti pakayaspinganda? 
LUK.7.32	Kasda la kadagiti ubbing nga agtutugaw iti tiendaan. Ipukkaw ti maysa a grupo kadagiti kaay-ayamda, ‘Nagtokarkami iti naragsak, ngem dikay nagsala. Nagkantakam iti naliday, ngem dikayo nagladingit!’ 
LUK.7.33	Immay ni Juan a Mammuniag,
LUK.7.34	Immay ti Anak ti Tao. Nangnangan ken immin-inum ket kinunayo: ‘Kitaenyo daytoy a tao! Narawet ken mammartek. Gayyem dagiti agsingsingir iti buis ken dadduma pay a dakes a tattao!’ 
LUK.7.35	Nupay kasta, maipakita a pudno ti sirib ti Dios babaen kadagiti aramid dagiti annakna.”
LUK.7.36	Maysa a Fariseo ti nangawis ken ni Jesus a makipangan kenkuana. Napan ni Jesus iti balay ti Fariseo ket simmango iti panganan. 
LUK.7.37	Iti
LUK.7.38	Nagtakder nga agsangsangit iti likudan ni Jesus. Nagtedted dagiti luana kadagiti saka ni Jesus, ket pinunasanna ida iti buokna. Inagkanna dagiti saka ni Jesus sana binukbokan iti bangbanglo.
LUK.7.39	Idi makita daytoy ti Fariseo a nangawis ken Jesus, kinunana iti nakemna: “No pudno a profeta daytoy a tao, ammona koma no siasino daytoy a babai a mangsagsagid kenkuana. Ammona koma ti kadakes ti panagbiagna!”
LUK.7.40	“Simon,” kinuna ni Jesus iti Fariseo, “adda ibagak kenka.”
LUK.7.40	“Ania dayta, Maestro?” insungbat ni Simon.
LUK.7.41	“Adda dua a tao nga immutang iti kuarta,” inrugi ni Jesus. “Ti maysa, immutang iti 500 a denario,
LUK.7.42	Agsipud ta dida makabayad, pinakawan ida ti immutanganda. Siasinonto kadagitoy ti dakdakkel ti panagayatna iti nagpautang?”
LUK.7.43	Insungbat ni Simon, “Pagarupek a ti tao nga ad-adu ti napakawan nga utangna.”
LUK.7.43	“Pudno ta kunam,” kinuna ni Jesus. 
LUK.7.44	Tinaliawna ti babai, sana kinuna ken Simon: “Makitam daytoy a babai? Simrekak iti balaymo ket dinak inikkan iti danum a pangbuggok kadagiti sakak, ngem binuggoan daytoy a babai dagiti sakak iti luana ken pinunasanna ida iti buokna. 
LUK.7.45	Sika, dinak sinabat iti agek. Ngem manipud itay simmangpetak, di pay nagsardeng a mangag-agep kadagiti saksakak. 
LUK.7.46	Sika, dimo linanaan ti ulok,
LUK.7.47	Ngarud, ibagak kenka, gapu iti dakkel a panagayat nga impakitana, napakawanen dagiti adu a basbasolna. Ngem ti tao a bassit ti mapakawan kenkuana, bassit met ti panagayatna.”
LUK.7.48	Kinuna ni Jesus iti babai, “Napakawanen dagiti basbasolmo.”
LUK.7.49	“Siasino daytoy a tao a mamakawan uray pay kadagiti basbasol?” kinuna iti nakem dagiti dadduma a sisasango iti panganan.
LUK.7.50	Ngem kinuna ni Jesus iti babai, “Insalakannaka ti pammatim. Agawidkan a sitatalna.”
LUK.8.1	Iti saan a nabayag, sinursor ni Jesus dagiti il-ili ken barbarrio ket inkaskasabana ti Naimbag a Damag maipapan iti Pagarian ti Dios. Kimmuyog kenkuana dagiti sangapulo ket dua nga adalan. 
LUK.8.2	Kimmuyog
LUK.8.3	ni Juana nga asawa ni Cusa a katalek ni Herodes, ni Susana ken adu pay a babbai a nangipaay kadagiti sanikuada a kas tulong ken ni Jesus ken kadagiti adalanna.
LUK.8.4	Saan nga agsardeng ti panagsangpet dagiti tattao a mapan ken ni Jesus. Naggapuda kadagiti nadumaduma nga ili. Idi naurnongen ti adu a tao, sinaritana daytoy a pangngarig:
LUK.8.5	“Adda maysa a tao a napan nagpurruak kadagiti bukel. Idi agpurpurruak, nagdisso ti sumagmamano a bukel iti igid ti dalan a nakapaypayatanda ket tinuktok dagiti tumatayab. 
LUK.8.6	Adda met sumagmamano a bukel a nagdisso iti kabatoan. Idi agtuboda, nalaylayda ta saan a nadam-eg ti daga a nagdissoanda. 
LUK.8.7	Nagdisso ti sumagmamano a bukel iti nagtuboan dagiti siitan a mula a nakigiddan a dimmakkel ken nangleppes kadakuada. 
LUK.8.8	Adda met kadagiti bukel a nagdisso iti nadam-eg a daga, nagtubo ken nagbungada iti sagsasangagasut.
LUK.8.8	“Dumngeg ngarud ti siasinoman nga addaan pannakaawat,” inggibus ni Jesus.
LUK.8.9	Sinaludsod dagiti adalan ni Jesus ti kaipapanan daytoy a pangngarig.
LUK.8.10	“Naipakaammo
LUK.8.11	“Daytoy ti kaipapanan ti pangngarig: Ti bukel isu ti sao ti Dios. 
LUK.8.12	Dagiti nagdisso iti igid ti dalan, iladawanda dagiti tattao a dumngeg. Ngem umay ti Diablo ket ikkatenna ti mensahe iti pusoda tapno dida mamati ken maisalakan. 
