MAT.1.1	Ninteh iwejkatatawah n Cristo Jesús, non walewatok itech David iwa noijki walewatok itech Abraham.
2TI.4.15	Yika, te noijki ximotlachili de ye, porke kixnamiki tlan tiktemachtiah.
2TI.4.16	Ijkuak sikinika onimotlajtolpalewi innawak n tekiwajkeh, amaka onechpalewi, nochteh onechkakajtejkeh noselti. N Totajtsi Dios makintlapojpolwi. 
2TI.4.17	Pero n Toteko onechpalewi iwa onechmák chikawálistli. Yika, oniwéletki onitetlapowi de n kualitlájtoli non temakixtia iwa onikchi makikakikah nochteh non amo judíojteh. Ijkó Dios onechpalewi iwa amo okitekawili manechmiktikah. 
2TI.4.18	Iwa n Toteko Dios nechmakixtis itech nochi tlan amokuali iwa nechwikas ilwikak kan Ye tlanawatia. ¡Nochipa matikweyilikah Dios! Ijkó mamochiwa.
2TI.4.19	Noiwa xikontlajpalo n Priscila iwa n Aquila, iwa ichanejkawah n Onesíforo.
2TI.4.20	Erasto omoka Corinto, iwa n Trófimo onikualkajte Mileto ken mokokoa. 
2TI.4.21	Xikchiwa xiwiki achto de mapewa n sewaya. Mitsontlajpaloah n Eubulo, Pudente, Lino, Claudia iwa nochteh n tokniwah non kineltokah Cristo.
2TI.4.22	N Toteko Cristo Jesús mayeto itech moyolo, iwa Dios manomechtiochiwa ika ikualtilis nochteh nomejwah.
TIT.1.1	Ne Pablo, ni itetlakewal Dios iwa ni itlatitlanil Cristo Jesús. Ye onechtítlanki manikintlaneltokti akimeh Dios yokimpéjpenki para kuali makajsikamatikah kenomi tiyeknemiskeh, 
TIT.1.2	iwa tikchiah nin yankuik nemílistli non Dios non amo tlakajkayawa yotechilih techmakas desde ijkuak ayamó okatka nin tlaltíkpaktli. 
TIT.1.3	Iwa axa, itech ninteh tonatijmeh, Dios Totemakixti otechnextili itlajtol iwa onechmomachiti maniktetlapowi nin tlájtoli. 
TIT.1.4	Tito, ijkí nimitsontlajkuililia, te tinokone porke san ken tiomeh tikneltokah Dios. Totajtsi Dios iwa Toteko Cristo Jesús mamitstlasojtlakah iwa mamitstiochiwakah iwa mamitsmakakah yolsewílistli.
TIT.1.5	Ne onimitskajte kan isla de Creta para xikyakatlami n tekitl non ayakmó oniwéletki onikyakatlami, iwa para xikintlali tetajmeh non matlayakantokah kan moololoah n tlaneltokakeh, ijkó kemi onimitsnawati xikchiwa. 
TIT.1.6	Se akin kinyakanas n tokniwah moneki mayeknemi ika iyolo chipawak ijkó amaka makitlajtlakolti. Amo makikajkayawa isiwa, iwa ipilwah makineltokakah Cristo Jesús para amaka makinteili kox amo tetlakitakeh noso teixnamikeh. 
TIT.1.7	Porke, se akin okitekitlalijkeh makinyakana n tokniwah, imak kipixtok tlan iaxka Dios. Yika nochipa mayeknemi para amaka makitlajtlakolti. Matetlakita, amo mayeto satlawel kuejsi. Amo matlawantinemi nion mamokualanijtinemi, nion makineki tomi non amo chipawak. 
TIT.1.8	Yej moneki mayeto se tlakatl non ika pakílistli makinseli akimeh kontlajpaloah icha, makichiwa nochipa tlan kuali, makipia kuali itlalnamikilis, mayeto yolchipawak, mamotemakti inawak Dios, iwa makimati kenomi moyeknawatis. 
TIT.1.9	Nochipa makitemachti tlan milák kijtoa n kualitlájtoli non okimachtijkeh, para weletis kinyolchikawas oksikimeh ika kuali tlamáchtili, iwa makimati kenomi kinnankilis akimeh kitlajtolkokopah.
TIT.1.10	Porke onkateh miakeh non amo kinekih tetlakitaskeh, iwa tekil kipojtinemih tlan mach itla ipati iwa san tlakajkayajtinemih, ijkó kemi kichiwah akimeh kinekih ok matimosirkunsidarokah. 
TIT.1.11	Nonteh moneki matikinkamatsakuakah, porke kinkuatlapololtijtokeh miakeh tokniwah intech inchajcha ika se amo kuali tlamachtílistli san para kitlaniskeh tomi.
TIT.1.12	Se profeta de ompa Creta, okijto: “N tlakah de Creta xolópijteh, toxkomeh, tlatsijkeh, iwa sa kemi yolkameh non tekuani.” 
TIT.1.13	Iwa milák tlan okijto, yika te chikawak xikinnonotsa, para mamochikawa intlaneltokalis inawak Dios, 
TIT.1.14	iwa amo makineltokakah tlan kipojtinemih n judíojteh, nion makintlakitakah akimeh ayakmó kineltokah tlan milák.
TIT.1.15	Akimeh kipia intlalnamikilis chipawak, nochi tlan onka chipawak, pero akimeh amo tlaneltokah nion kipia chipawak intlalnamikilis, amitla onka chipawak. Asta kipia intlalnamikilis iwa intlamachilis pochiktik. 
TIT.1.16	Yejwah kijtoah kixmatih Dios, pero ika tlan kichijtinemih kinextiah amo milák. Semi tetlajyalti tlan kichijtinemih iwa amo kinekih kichiwaskeh tlan Dios tlanawatia, iwa nion se kuali tekitl weletih kichiwah.
TIT.2.1	Tito, nochipa xitlajto kemi kijtoa n kuali tlamachtílistli. 
TIT.2.2	Xikinmili n tetajmeh non tlayakantokeh mayetokah yekmilajkameh, kuali matlalnamiktokah, iwa matetlakitakah, mayektlaneltokakah, matetlasojtlakah iwa mateajsikamatikah. 
TIT.2.3	Noiwa n tenameh non tlayakantokeh manemikah kemi Dios kimonekiltia, iwa amo maxolopijtinemikah, nion mamowintikah. Yej mayetokah tenameh yekmilajkameh para makinnonotsakah 
TIT.2.4	n siwameh non ok ichpokameh, kenomi moneki kintlasojtlaskeh inmokich iwa impilwah. 
TIT.2.5	Noiwa makipiakah kuali intlalnamikilis, mayetokah yolchipawakeh, makiyekmokuitlawikah incha, mayetokah kualteh n siwameh iwa makintlakitakah inmokich, ijkó amaka kimawistetepewas itlajtol Dios.
TIT.2.6	Noiwa xikinyolchikawa n telpokameh manemikah ika kuali intlalnamikilis. 
TIT.2.7	Te monewia kuali xikinmachti iwa mamitsitakah kuali tlan tikchiwa. Ijkuak tikinmachtis, xikinmachti ika moyolo chipawak iwa xiyeto tiyekmilajka. 
TIT.2.8	Ika kuali motlajtol xikinnonotsa para amaka makijto amo ijkó tikinnonotsa. Ijkó san akin yetos, ijkuak kinekis nomechtlajtolkopas, mopijpinatis.
TIT.2.9	Xikinnajnawati n tlanémakteh
TIT.2.10	amo makintlachtekikah, yej makintlachilikah, ijkó oksikimeh makitakah kenijki kualtsi ijkuak itlajtol Dios Totemakixti techyakantinemi itech nochi tlan tikchiwah.
TIT.2.11	Dios, yotechnextili kenijki satlawel techtlasojtla, iwa ika non tlasojtlálistli non Ye techpialia, nochteh n tlaltikpaktlakah weletis momakixtiskeh. 
TIT.2.12	Itlasojtlalis Dios techmachtia matikkawakah nochi tlan amokuali techyoltilanah itech nin tlaltíkpaktli. Nochipa matinemikah ika totlalnamikilis chipawak, matinemikah ika yolsewílistli iwa matikmopantikah Dios. 
TIT.2.13	Noiwa techititika matikchixtokah ika pakílistli n iksemi tonati ijkuak walmuikas Toweyi Dios iwa Totemakixti Cristo Jesús ika nochi itlawilnextilis. 
TIT.2.14	Cristo inewia omotemák para techmakixtis imak nochi tlan amokuali, iwa techchipawas de totlajtlakolwah iwa ijkó kinpejpenas tlakah yolchipawakeh, para makichiwakah tlan kuali.
TIT.2.15	Ye nin tlan moneki tikinmachtis, xikinnonotsa iwa xikinyolchikawa ika miak tekiwajyotl. Iwa amo xiktekawili aka mamitsixpanawi.
TIT.3.1	Xikinmilnamikti n tlaneltokakeh makintlakitakah n tlanawatijkeh iwa n oksikimeh tekiwajkeh. Iwa sa makichixtokah ijkuak weletis kichiwaskeh tlan kuali. 
TIT.3.2	Amo matepojpoakah, amo mamotekilmakakah, yej mayetokah kualteh n tlakah, iwa mamoyekwikakah iwan nochteh.
TIT.3.3	Yowejka, tejwah noiwa amaka otiktlakitaya iwa otikchiwaya san tlan tejwah otiknekiah. Otimoixpolojtinemiah iwa otikelewiayah tlan pitsotik. Iwa otikchijtinemiah tlan amokuali iwa otixikojmikiah, otechkokoliayah iwa otitekokoliayah. 
TIT.3.4	Pero ijkuak Dios Totemakixti okinnextili iteiknomatilis iwa itlasojtlalis n tlaltikpaktlakah, 
TIT.3.5	ijkuakó otechmakixtiko, amo por tejwah otikchijkeh itla kuali, yej porke Ye satlawel otechiknoma, iwa otechmakixti ika Iespíritu Santo. Ye otechpajpak para tikpiaskeh n yankuik nemílistli iwa otechyánkuili. 
TIT.3.6	Iwa por Cristo Jesús Totemakixti, Dios otechmokemi ika Iespíritu Santo. 
TIT.3.7	Ika itlasojtlalis Dios yotechseli kemi tiyolchipawakeh, iwa weletis tikpiaskeh nemílistli non áyik tlamis tla tikchiah tlan Dios yokijto techaxkatilis.
TIT.3.8	Nochi tlan nimitsilijtok milák. Yika nikneki nochipa xikinmilnamiktijto, ijkó akimeh kineltokah Dios nochipa makichiwakah tlan kuali. Nin tlamachtílistli tlawel kuali iwa weletis kimpalewis nochteh. 
TIT.3.9	Amo ximonanankilikah ika tlájtolteh non amitla impati, nion amo ximonanankilikah ika tlapoálisteh non nomowejkatatawah onomechintlapowijkeh noso ika tlan kijtoa intlanawatil. Nochi noni amitla ipati iwa amo nomechpalewia.
TIT.3.10	Tla aka kinxexeloa n tlaneltokakeh, xiknonotsa se noso ojpatia, iwa tla amo mitskaki, xikonewalti mawia iwa ayakmó xikkawili mawalmokopa. 
TIT.3.11	Ika noni ya tikmatis non tlakatl yokikalaki itech itsonteko tlan amokuali, iwa inewia motlajtlakoltia ika tlan kichiwa.
TIT.3.12	Ijkuak nimitstitlanilis n Artemas noso n Tíquico, techajsiti Nicópolis, porke yonikijto ompa nikpanoltis n sewaya. 
TIT.3.13	Xikinpalewi ika nochi tlan tiweletis n abogado Zenas, iwa n Apolos, amitla makimpolo itech ojtli. 
TIT.3.14	Ijkó tokniwah mamomachtikah makichiwakah tlan kuali iwa matlapalewikah ika tlan moneki akimeh kimpoloa, ijkó innemilis amo mayeto sanenka.
TIT.3.15	Nochteh akimeh nika kateh nowa mitsontlajpaloah. Ompa techintlajpalili n totlasojikniwah tlaneltokakeh.
TIT.3.15	Dios manomechtiochiwa nochteh nomejwah.
PHM.1.1	Ne Pablo nitsaktok por niktekitilia n Toteko Cristo Jesús. Ne iwan tokni Timoteo, timitsijkuililiah nin amatlajkuíloli te Filemón, tokni non satlawel timitstlasojtlah, ken noiwa titekiti inawak Cristo kemi tejwah.
PHM.1.2	Noiwa tikintlajkuililiah nochteh akimeh moololoah mocha, noiwa tikontlajpaloah n tokni siwatl Apia, iwan tokni Arquipo akin mach mosotlawa iwa nochipa techpalewijtinemi itech nin tekitl. 
PHM.1.3	Totajtsi Dios iwa n Toteko Cristo Jesús, manomechtiochiwakah iwa manomechmaka yolsewílistli.
PHM.1.4	Nochipa nimitsilnamiki ijkuak nimotiotsajtsilia, iwa nimotlasojkamati inawak Dios, 
PHM.1.5	ken nechiliah te satlawel tikmati titetlasojtla iwa mitsitah kuali titlaneltoka inawak Toteko Cristo Jesús iwa tikintlasojtla nochteh akimeh iaxkawah Dios. 
PHM.1.6	Niktlajtlanilia Totajtsi Dios nochteh akimeh yokineltokakeh Cristo por okitakeh motlaneltokalis, kuali makajsikamatikah n tlatiochiwálistli non Cristo Jesús techmaka. 
PHM.1.7	Miak nipaki, ken titetlasojtla yika nimoyolchikawa, porke te notlasojiknitsi satlawel yotikinyolchika n tokniwah non kineltoka Cristo Jesús.
PHM.1.8	Yika, maya niweleti nimitsnawatis tlan tikchiwas, 
PHM.1.9	okachi kuali nimitstlatlaujtia ika notlasojtlalis. Ne Pablo, ya nitetajtsi, iwa axa nitsaktok por oniktetlapowijtinemia itlajtol Cristo Jesús. 
PHM.1.10	Nimitstlatlaujtia por Onésimo, akin yomochiwako nopiltsi ijkuak okineltokak Cristo Jesús, nika kan nitsaktok.
PHM.1.11	Itech oksikimeh tonatijmeh Onésimo okatka se motlanemak non amitla oweletia okichiwaya, pero axa kuali tekiti nonawak iwa te noiwa kuali weletis mitstekitilis. 
PHM.1.12	Yika oksepa nimitsontitlanilia, xikseli kemi techseliskia ne nonewia. 
PHM.1.13	Ne niknekiskia mamokawa nowa, para makichiwa n tekitl non te tikchiwaskia nika kan onechtsakeh por oniktetlapowijtinemia n kualitlájtoli. 
PHM.1.14	Pero ne amo nikneki nikchiwas itla tlan te amo mitspaktia, ijkó tlan te techchiwilis, amo xikchiwa san por nimitsnawatia yej makisa itech moyolo. 
PHM.1.15	Chamo Onésimo omitscholili kech tonati, iwa axa mawalmokopati mamokawa nochipa mowa, 
PHM.1.16	pero axa ayakmó kemi motlanemak, yej kemi mokni non tiktlasojtla. Ne kuali niktlasojtla, pero te okachi xiktlasojtla, amo kemi se tlakatl de nin tlaltíkpaktli yej kemi se mokni non kineltoka n Toteko Jesús.
PHM.1.17	Ijkó kiné, tla milák techita kemi titekipanojkeh, xikyekseli n Onésimo kemi techseliskia ne nonewia. 
PHM.1.18	Tla omitstokti itla amokuali, noso tla itla mitswikilia, ne nimitstlaxtlawilis. 
PHM.1.19	Ne Pablo, nikijkuiloa nin amatlajkuíloli ika noma, para xikmati ne nimitstlaxtlawilis, maya noiwa weletiskia nimitsilnamiktiskia te noiwa techwikilia, asta moalma. 
PHM.1.20	Ijkó kiné nokni, kemi tikneltokah Toteko Cristo Jesús, nimitstlatlaujtia techonchiwili tlan nimitsontlajtlanilijtok, techyolchikawa kemi tiiknimeh inawak Cristo.
PHM.1.21	Nimitstlajkuililia porke nimitsixmatok titetlakitak, iwa kuali nikmatok te tikchiwas okachi de tlan nimitstlajtlanilia. 
PHM.1.22	Noiwa nimitstlatlaujtia techmajmanili kan nimokalotis ompa mocha, porke nikneltoka nik Dios kikakis nomotiotsajtsilis iwa nechkawilis maniwia manomechitati.
PHM.1.23	Mitsontlajpaloa Epafras, akin nowa tsaktok ken iaxka Cristo Jesús. 
PHM.1.24	Noiwa mitsontlajpaloa Marcos, Aristarco, Demas iwa Lucas, akimeh nechpalewiah itech noteki.
PHM.1.25	Itlatiochiwalis n Toteko Cristo Jesús mayeto iwan nomoespíritu.
HEB.1.1	Semi ya wejkawitl Dios okintlapowi totatawah miak welta, kualchiwa ika tlájtoli iwa kualchiwa ika itla tejtemikílistli non okinmitaya n profetajteh. 
HEB.1.2	Iwa axa itech ninteh iksemi tonatijmeh yotechtlapowi ika itlajtol Ikone. Akin kiaxkatilijtok nochi tlan onka, iwa por Ye okichijchi nochi tlan onka itech ilwikak iwa ipan tlaltíkpaktli. 
HEB.1.3	Ikone Ye itlawiltsotlanilis n Dios, iwa inewia otechnextiliko Akin Dios, iwa ika itlajtol weletini kichikajtok nochi tlan onka. Iwa satepa ijkuak yotechchipa de totlajtlakolwah, omotlali ik iyekma n Totajtsi Dios nepa kan ilwikak.
HEB.1.4	Ikone Dios yomochiwako okachi weyi ke nochteh n ángelteh, porke Ye okimakakeh Itoka non okachi weyixtok ke yejwah. 
HEB.1.5	Porke Totajtsi Dios ayik okili se ángel:
HEB.1.5	Te ti Nokone
HEB.1.5	Ne axa onimitschijchi; 
HEB.1.5	nion aka ángel okili:
HEB.1.5	Ne niyetos ita,
HEB.1.5	iwa ye yetos Nokone. 
HEB.1.6	Keman okitítlanki non san Ye se Ikone itech tlaltíkpaktli, okijto:
HEB.1.6	Nochteh iangelwah Dios makiweyilikah.
HEB.1.7	Iwa ijkuak Dios otlajto de iángelwah, ijkí okijto:
HEB.1.7	Ye kichiwa mayetokah iangelwah espíritus,
HEB.1.7	iwa itekitwah kintoktia mayetokah tletl. 
HEB.1.8	Ijkuak kitenewa Ikone kijtoa:
HEB.1.8	Motlanawatilis Tejwatsi Dios, nochipa yetos;
HEB.1.8	Tejwatsi kuali tiyektlanawatia ken moneki.
HEB.1.9	Mitspaktia nochi tlan kuali iwa tikkokolia tlan amokuali.
HEB.1.9	Yika Dios, Modios omitsmák
HEB.1.9	okachi miak pakílistli ke n oksikimeh non inwah titekiti. 
HEB.1.10	Noiwa kijtoa:
HEB.1.10	Tejwatsi Toteko Dios keman ayamitla okatka, Tejwatsi otikchijchi n tlaltíkpaktli,
HEB.1.10	iwa ika momawah otikchijchi n ilwikak.
HEB.1.11	N tlaltíkpaktli iwa ilwikak pojpoliwiskeh, pero Tejwatsi nochipa tiyetos.
HEB.1.11	Nochi tlan onka wewejtis kemi wewejti n tlakemitl.
HEB.1.12	Tikinkuekuelpachos kemi se tlakemitl,
HEB.1.12	tikimpatlas kemi aka kipatla itlake.
HEB.1.12	Pero Tejwatsi amo kema timopatla,
HEB.1.12	iwa monemilis amo keman tlamis. 
HEB.1.13	Dios ayik okili se ángel:
HEB.1.13	Ximotlali ik noyekma, asta manikintlali itlampa mokxiwah akimeh mitskokoliah. 
HEB.1.14	Porke nochteh n ángelteh yejwah san espíritus non tekititokeh inawak Dios, iwa Dios okwalintítlanki para makimpalewikah akimeh kinmakixtiskeh.
HEB.2.1	Yika, moneki okachi matikmopantikah n kualitlájtoli tlan yotikakeh, para amo matimoxelokah itech ojtli non Dios yotechititi. 
HEB.2.2	N kualitlájtoli non yowejka okualikakeh n ángeles, nochi kuali okiski, pero akimeh otlajtlakolchijkeh iwa amo okinekeh okitlakitakeh Dios, okintlaijyowiltijkeh ken omonekia. 
HEB.2.3	Yika, ¿kenomi tejwah ticholoskeh, tla amo tikmokuitlawiah nin weyi temakixtílistli? Porke achto inewia Toteko Cristo Jesús okitematilti nin kualitlájtoli non techmakixtia, iwa satepa akimeh okikakeh ijkuak okitakeh milák tlan kijtoa, tejwah otechmatiltijkeh. 
HEB.2.4	Totajtsi Dios noiwa otechmatilti milák tlan kijtoa n kualitlájtoli. Ye otechnextili itlajtol ika tlan Ye okiteititi, ika miaktikeh milagros non Ye okinchi, iwa ika miakeh neskayolteh non Espíritu Santo kintemaka iwa kinxejxeloa kemi Ye kimonekiltia.
HEB.2.5	Dios amo okintekiwajti n ángeles para matlanawatikah itech tlaltíkpaktli non satepa wits. 
HEB.2.6	Yej kemi aka okijto itech itlajkuilol Dios:
HEB.2.6	¿Tlan ipati n tlakatl para tikilnamiktos?,
HEB.2.6	iwa ¿tlan ipati se tlakatl de nin tlaltíkpaktli para timotekipachojtos por ye? 
HEB.2.7	N tlakatl okachitsi otiktsikitsintili ke n ángelteh,
HEB.2.7	iwa otikchi maweyixto iwa matlanawati. 
HEB.2.8	Nochi otikmaktili makinawatijto. Otikmák weletílistli itech nochi tlan otikchijchi. Iwa tla Dios okimák weletílistli itech nochi tlan okichijchi, noni kijtosneki nochi tlan onka kinawatis n tlakatl, pero tikonitokeh ayamó nochi kitlakitah. 
HEB.2.9	Pero axa tikitah n Jesús, akin Dios okitlali okachi tsijtsikitsi ke n ángelteh san kanaj kech tonati. Dios itech itlasojtlalis okinek mamiki n Cristo por tinochteh, iwa axa kipia weyílistli iwa mawistílistli porke omikki por tejwah. 
HEB.2.10	Dios okichijchi nochi tlan onka, para Ye inewia, iwa okinekia kintliokolis iweyilis ipilwah. Yika okinekia kiweyilis n Jesús ika n tlaijyowílistli, porke Ye akin techwika imak temakixtílistli. 
HEB.2.11	Akin teyolchipawa kemi non kiyolchipawah walewatokeh san itech se teta. Yika Jesús amo pinawa kinnotsas ikniwah. 
HEB.2.12	Itlajkuilol Dios kijtoa:
HEB.2.12	Ne nikinmatiltis nokniwah motoka,
HEB.2.12	iwa nimitstlakuikilis kan timoololoah. 
HEB.2.13	Noiwa kijtoa:
HEB.2.13	Ne nitlaneltokas inawak Dios. 
HEB.2.13	Iwa oksepa kijtoa:
HEB.2.13	Nika nika, iwan ipilwah non Dios onechinmák. 
HEB.2.14	Ijkó kemi tejwah tikpiah tonakayo iwa toesso. Ijkó noiwa Jesús omochiwako tlakatl kemi nochteh n tlaltikpaktlakah. Yika owéletki omikki iwa ijkó okikixtili iweletilis n amokualitlakatl non okinmiktiaya n tlaltikpaktlakah. 
HEB.2.15	Ijkó okinmakixtiko nochteh akimeh okimawiliayah mikiskeh, iwa itech nochi tonati san noni okintekipachojtinemia. 
HEB.2.16	Pero Jesús amo owala okimpalewiko n ángeles, yej owala okimpalewiko akimeh walewatokeh itech Abraham. 
HEB.2.17	Ika no omonekia Jesús mamochiwa tlakatl kemi tejwah, para mamotlamiti se Tiópixki non teiknoma inawak Dios, iwa para kinkixtilis intlajtlakolwah n tlaltikpaktlakah, por imikilis kemi se tlamíktili. 
HEB.2.18	Iwa ken Jesús inewia otlaijyowi iwa n amokualitlakatl okinekia matlajtlakolchiwa, axa Jesús weleti kimpalewia akimeh noiwa n amokualitlakatl kineki matlajtlakolchiwakah.
HEB.3.1	Nokniwah yolchipawakeh, Dios onomechpéjpenki para xiyetokah iaxkawah. Yika xikyekitakah n Cristo Jesús, porke Ye totlatematilti iwa non okachi weyi tiópixki itech tlan tejwah tikneltokah. 
HEB.3.2	Porke Jesús nochipa kichiwa tlan Dios kinawatia, ijkó kemi Moisés okichi nochi tlan okinawatijkeh makichiwa inawak n israelitajtlakah. 
HEB.3.3	Pero moneki okachi matikweyilikah n Jesús ke Moisés, ijkó kemi tikweyiliah akin okichijchi se kali, iwa amo n kali. 
HEB.3.4	Nochi kali non tikitah, onka se akin okichijchi, pero nochi tlan onka ilwikak iwa ipan tlaltíkpaktli, Dios okichijchi. 
HEB.3.5	Moisés okitekitili Dios, iwa nochipa okitlakitak, porke okimpalewi itlakaikniwah ijkó kemi Dios okinawati, iwa okijto tlan Dios satepa kijtoskia. 
HEB.3.6	Pero Cristo ken Ikone Dios, kema tetlakitak iwa kimpalewia akimeh tikneltokah, iwa nonteh ye n tejwah. Iwa tejwah tikmajmana non ialtepetlakawah tla tikneltokah ika pakílistli n temakixtílistli non tikseliskeh.
HEB.3.7	Yika, matikchiwakah tlan Espíritu Santo kijtoa:
HEB.3.7	Tla axa nonkikakih itlajtol Dios,
HEB.3.8	amo ximoyoltlakuawakah, kemi okichijkeh n judíojteh,
HEB.3.8	non amo otetlakitakeh kan tlaltejtéyinki.
HEB.3.8	Yejwah okinekiah kitaskeh asta kani Dios kinxikoskia ika tlan amokuali okichiwayah.
HEB.3.9	Ompa onechyejyekojkeh nomotatawah,
HEB.3.9	maya ome póali xiwitl okitakeh nochi tlan ne onikchi.
HEB.3.10	Yika onikuálanki inwah nonteh tlakah,
HEB.3.10	iwa onikijto: “Inyolo nochipa kineki kichiwas tlan amokuali,
HEB.3.10	iwa amo motekawiliah manikinyakana.”
HEB.3.11	Yika onikuálanki inwah, iwa oniksentlali,
HEB.3.11	ayik nikinkawilis makalakikah kan Ne onikijto mosewiskia. 
HEB.3.12	Nokniwah, kuali ximotlachilikah, amo kichiwa se de nomejwah moyoltlakuawas iwa kipolos itlaneltokalis, iwa moixkoyantis inawak Dios non yolitok. 
HEB.3.13	Yej nomechilia, nochipa ximosepanyolchikawakah nochi tonati, para ijkó amaka matlajtlakolchiwa, iwa amo manomechtokti xiyoltlakuawakah. 
HEB.3.14	Porke tejwah timochiwah iaxkawah Cristo tla nochipa titlaneltokaskeh inawak Ye kemi achto.
HEB.3.15	Yika kijtoa itlajkuilol Dios:
HEB.3.15	Tla itech nin tonati nonkikakih tlan Dios kijtoa,
HEB.3.15	amo ximoyoltlakuawakah kemi okichijkeh n judíojteh ijkuak okixnamikeh.
HEB.3.16	¿Iwa akimeh okikakeh itlajtol Dios iwa amo okitlakamatkeh? Yejwah akimeh Moisés okinkixti de kan tlali de Egipto. 
HEB.3.17	Iwa ¿akimeh nekateh non inwah okualantoka Dios ome póali (40) xiwitl? Dios okualantoka iwan akimeh otlajtlakolchijkeh, non satepa omijmikeh kan amaka chanti. 
HEB.3.18	¿Akimeh nekateh non Dios okinmili amo kalakiskiah kan Ye mosewia? Ijkó okinmili akimeh amo okitlakitakeh. 
HEB.3.19	Milák, amo oweletkeh okalakeh kan tlali de Canaán kan mosewiskiah, porke amo okineltokakeh Dios.
HEB.4.1	Ijkó kiné, matimotlachilikah, axa ken ok tikpixtokeh tlan Dios otechsentlalili, amo kichiwa aka mokawas kala iwa amo kalakis itech imosewilis Dios. 
HEB.4.2	Porke tejwah otikkakeh n kualitlájtoli de Dios, ijkó kemi okikakeh n Israelitas non okiskeh de Egipto. Pero maya okikakeh, mach okimpalewi, porke maya okikakeh mach okineltokakeh. 
HEB.4.3	Pero tejwah, akimeh otikneltokakeh non kuali tlájtoli, tikalakiskeh itech imosewilis Dios, ijkó kemi yokijto:
HEB.4.3	Yika onikualanki inwah, iwa onikinmilajkaili:
HEB.4.3	“Amo nikinkawilis makalakikah kan tlali kan onikinmili mosewiskeh.”
HEB.4.3	Ijkuak Dios ijkí okijto, otlajtojtoka itech tonati ijkuak omosewi ijkuak okitlami okichijchi n tlaltíkpaktli. 
HEB.4.4	Itech tiotlajkuíloli ijkuilitok tlan Dios okichi itech chikome tonati:
HEB.4.4	Dios omosewi ipan chikomeh tonati ijkuak otlanki otekitik. 
HEB.4.5	Iwa oksepa mijtoa itech itlajkuilol Dios:
HEB.4.5	Nomejwah ayik nonkalakiskeh kan Ne nimosewia. 
HEB.4.6	Pero ok poliwi oksikimeh makalakikah kan Dios yotlayektlali para se mosewis, iwa akimeh achto okikakeh n kualitlájtoli non temakixtia amo okalakeh porke amo okitlakitakeh. 
HEB.4.7	Yika, Dios okipéjpenki ok se tonati: iwa non tonati, ye non axa itech tikateh. Dios otechtlapowi de nin tonati non okipéjpenki ijkuak okili n David makijto:
HEB.4.7	Tla itech nin tonati nonkikakih tlan Dios nomechilia,
HEB.4.7	amo xiktlakuawakah nomoyolo. 
HEB.4.8	Tla Josué kinyakanaskia n Israelitas kan mosewiskiah, Dios ayakmó oksepa kitenewaskia ok se tonati. 
HEB.4.9	Pero, tejwah itlaneltokawah n Dios, ok tikchiah neka tonati ijkuak weletis timosewiskeh iwan Dios. 
HEB.4.10	Porke akin kalaki kan Dios mosewia, mosewia de nochi iteki ijkó kemi Dios omosewi ijkuak okitlami iteki. 
HEB.4.11	Yika, tejwah matimochijchikawakah iwa matikalakikah kan Dios mosewia, amo kichiwa aka de nomejwah kichiwas kemi nekateh non amo otetlakitakeh.
HEB.4.12	Porke itlajtol Dios yolitok iwa kipia weletílistli. Nin tlájtoli okachi yakawitstik ke se espada non ojka tlateki, keman kalaki tlaxelojti ijtik toyolo iwa toespíritu, iwa techajsikamatiltia tlan kuali iwa tlan amo kuali. 
HEB.4.13	Amitla onka tlan Dios okichijchi non weletis moixtlaatis inawak, nochi tlan Ye okichijchi, kita ik pánixko iwa ik tlaijtik, iwa se tonati timoteixpantitiweh inawak iwa techilis nochi tlan otikchijkeh.
HEB.4.14	Jesús Ikone Dios, Ye n Toweyi Tiópixki non yotlejkok ilwikak. Yika tejwah matimoyolchikajtokah iwa nochipa matitlaneltokakah. 
HEB.4.15	Tikpiah se Toweyi Tiópixki non techiknomati, porke Ye inewia okiyejyekojkeh kemi tejwah techyejyekoah pero Ye amo otlajtlakolchi. 
HEB.4.16	Yika, matimijkuanikah ika tlaneltokálistli inawak Totajtsi Dios kan yayantitok. Para matechiknomati ika ikualtilis iwa matechpalewi keman itla techpoloa.
HEB.5.1	Nochi weyi tiópixki judío kipejpenah innawak miakeh tlakah, iwa kitekitlaliah para makintlajtolpalewi n tlakah inawak Dios, iwa kinteixpantis tlamánalteh iwa tlamíktilteh por n tlajtlákolteh. 
HEB.5.2	Kemi nin tiópixki noiwa kimachilia tlan nochteh n tlakah kinyoltilana, yika kimati kinmiknomati akimeh amitla kimatih iwa akimeh moixpolojtinemih itech intlajtlakolwah. 
HEB.5.3	Yika, n tiopíxki moneki kinteixpantis tlamíktilteh ixpa n Dios, para makitlapojpolwikah de itlajtlakolwah iwa de intlajtlakolwah n tlakah.
HEB.5.4	Amaka weletis yetos tiópixki sanwel por ye kineki, yej Dios kipejpena akin kineki mayeto tiópixki iwa kimaka nin weyílistli kemi okichi iwa n Aarón. 
HEB.5.5	Ijkó kiné, Cristo amo omochi tiopixkatlayákanki san por Ye okinek, yej Dios okipéjpenki iwa okimák non weyijkachiwálistli. Inewia Dios okili:
HEB.5.5	Te ti Nokone;
