MAT.1.1	Kitabu cha lukolo lwa Yesu Kilisito mzukulu wa Daudi, mzukulu wa Abulahamu.
2CO.11.12	Nogendelela kusang'hana kamba vinisang'hana sambi, muladi niwagwise waja “watumigwa wakulu” wolonga kwa kuigoda kuwa wosang'hana kamba vitusang'hana tweye. 
2CO.11.13	Kwavija wanhu awo siyo watumigwa wa ukweli, wasang'hanaji wavizi, woitenda kuwa watumigwa wa Kilisito. 
2CO.11.14	Ona, mbuli ino siyo kilozo! Kwavija hata Mwenembago mwenyego koitenda msenga wa mulenge kulawa kuulanga! 
2CO.11.15	Avo hatukanganya bule kamba wasang'hanaji wa Mwenembago nao woitenda wasang'hanaji wa gaja ganogile. Kukimambukizo wobokela fungu jao dilondeka kwa sang'hano zao.
2CO.11.16	Nolonga kabili, munhu sekeyanhende niye nambozi. Lakini yahanhenda mbozi, yanibokele kamba mbozi muladi naniye niigode kidogo. 
2CO.11.17	Mbuli ino inonga sambi silagilizigwe na Mndewa nonge, mbuli ino ya kuigoda, nolonga kamba munhu mbozi. 
2CO.11.18	Kwavija wanhu bwando woigodela mbuli za kiunhu, naniye vivija notenda vivo. 
2CO.11.19	Kwavija mweye mna nzewele, lekaavo mokala kwa kufunga umoyo na wanhu wabozi. 
2CO.11.20	Mweye mokala kwa kufunga umoyo hata munhu yowatenda watumwa, hebu yowanyonya hebu yopata vinhu kwa migongo yenu hebu yowehula hebu yowazaba mkihanga. 
2CO.11.21	Nokona kinyala kulonga tweye tunyolila kusang'hana mbuli azo!
2CO.11.21	Nolonga kamba munhu mbozi, kamba munhu yoyose kogeza kuigodela kinhu, naniye vivija sidumba kuigodela. 
2CO.11.22	Kamba wao Waebulania? Naniye vivija na Muebulania. Kamba wao Waizilaeli? Naniye vivija na Muizilaeli. Kamba wao wolawa mulukolo lwa Abulahamu? Naniye vivija nolawa mulukolo lwa Abulahamu. 
2CO.11.23	Kamba wao wasang'hanaji wa Kilisito? Nolonga kamba munhu yeli na kibozi mbwelela, niye na msang'hanaji wa Kilisito kubanza awo! Niye nisang'hana sang'hano ndala ng'hani, ngodekigwa mkifungo miyanza bwando, nhoigwa miyanza bwando, ng'hala mdizumozumo da ifa miyanza bwando. 
2CO.11.24	Miyanza mitano Wayahudi wanhowa mbalati malongo madatu na tisa. 
2CO.11.25	Miyanza midatu Walumi wanhowa mbalati, mwanza umoja wanhowa mabwe. Miyanza midatu mbenekeligwa na ngalawa ng'hulu mbahali na mwanza umoja nisinda mgamazi imisi na ikilo. 
2CO.11.26	Mna imiyanza yangu ng'hala mdizumozumo da kusoligwa na mazi ga lwanda, ng'hala mdizumozumo da wabokaji, ng'hala mdizumozumo da wayahudi wayangu, ng'hala mdizumozumo da wanhu haweli Wayahudi, ng'hala mdizumozumo kudibuga, ng'hala mdizumozumo da kumuhulo, ng'hala mdizumozumo mbahali na ng'hala mdizumozumo da ndugu wa uvizi. 
2CO.11.27	Nisang'hana na kugaya, ng'hala meso miyanza mingi, ng'hala na nzala na ng'hilu na miyanza mingi nisinda na nzala, ng'hala nokona beho na ng'hala nabule viwalo. 
2CO.11.28	Kubanza avo vose, siku zose nina ng'honde ya kuvisang'hanila vibumbila va wanhu wamtogole Yesu. 
2CO.11.29	Kamba munhu konyolila, naniye vivija nonyolila. Kamba munhu katenda nzambi, naniye nokona usungu.
2CO.11.30	Kamba nahaigoda, noigodela kunyolila kwangu. 
2CO.11.31	Mulungu, Tata wa Mndewa Yesu, yotogoligwa siku zose, kojuwa niye siviza bule. 
2CO.11.32	Ving'halile ako Damesiki, mkulu wa isi, yakalile yolongozigwa na mndewa Aleta, keka wakalizi kudibuga da Damesiki muladi wangoge. 
2CO.11.33	Lakini nihumulusiligwa mdigelo, kubitila zonzo dikalile muuluwa, vino vivo vinihonyeke mmakono gake.
2CO.12.1	Nolonda kuigoda, hamoja haifaya chochose. Lakini sambi nolonga mbuli ya vinhu viyanilagusile Mndewa na kunigubulila. 
2CO.12.2	Nomjuwa munhu imoja Mkilisito, miyaka longo na nne ibitile kagaligwa mbaka kuulanga. Sijuwile bule kamba kakala ako na lukuli hebu na loho, Mulungu heyo yajuwile. 
2CO.12.3	Nolonga kabili, nojuwa munhu ayo kagaligwa kuulanga, lakini sijuwa bule kamba kakala mulukuli hebu siyo mulukuli, Mulungu kojuwa. 
2CO.12.4	Kuko kuulanga kahulika mbuli hazidahika kusimulila, mbuli azo munhu halondeka kuzilonga. 
2CO.12.5	Avo noigodela munhu kamba ayo, lakini siigodela mwenyego, ila mbuli za kunyolila kwangu. 
2CO.12.6	Maza nondile kuigoda, sambi niwe mbozi, kwavija nahalongile ukweli. Lakini siigoda kwavija silonda munhu yangese ng'hani kubanza vija viyonyona na kuhulika vinilonga.
2CO.12.7	Lakini kunhenda niye sekeniigode ng'hani mbuli ya vinhu vingi viyangubulile Mndewa, nigweleligwa usungu mulukuli kamba mwiba, msenga wa Mwenembago kanhowa, muladi sekeniigode ng'hani. 
2CO.12.8	Nimpula Mndewa miyanza midatu yanisegezele mbuli ayo. 
2CO.12.9	Lakini Mndewa kanongela, “Ng'hekewa yangu kumwako gweye yotosha, kwavija udahi wangu wokuwa mkulu ng'hani gweye wahanyolila.” Avo nodeng'helela ng'hani kuigodela kunyolila kwangu, muladi udahi wa Kilisito ukale kumwangu. 
2CO.12.10	Avo niye nodeng'helela kunyolila, kuligigwa, kuzehigwa, kugaya na madununzo mbuli ya Kilisito. Kwavija nahanyolila, baho nogangamala.
2CO.12.11	Niye niitenda nambozi, lakini mweye wao munhendile niwe vivo. Mweye wao mulondeke kungwaa nhogolwa. Kwavija hata kamba niye sifaya, sili mdodo bule kubanza awo woikema, “watumigwa wakulu.” 
2CO.12.12	Unzonza na vifukuzi vitendeke kumwenu kwa kufunga umoyo vilagusa goya kuwa niye na mtumigwa. 
2CO.12.13	Vino mweye muswela choni kubanza vibumbila viyagwe va wanhu wamtogole Yesu, lakini niye siwagazile mweye munitaze? Chonde, geleni kumgongo kwa kuwatendela vihile!
2CO.12.14	Sambi niitanda kwiza kumwenu kwa mwanza wa kadatu, na silonda kuwagaza bule, kwavija niye nowalonda mweye siyo vinhu vimulinavo. Siku zose tata na mama wowekila ngama iwana na siyo iwana wowekila ngama tata zao na mama zao. 
2CO.12.15	Niye nodeng'helela kulava vinhu vose vinilinavo na vivija kuilava mwenyego mbuli ya kuwataza mweye. Vino mweye hamuninogela ng'hani kwavija niye nowanogela ng'hani?
2CO.12.16	Motogola kuwa siwagazile bule. Lakini munhu iyagwe kodaha kuwalongela kwavija niye na mbala ng'hani niwavizila. 
2CO.12.17	Vino niye niwanyonya mweye kubitila msenga yoyose inimtumile kumwenu? 
2CO.12.18	Niye nimpula Tito yeze kumwenu, na nimtuma ndugu yetu weze hamoja. Vino Tito kawanyonya? Vino mweye hamujuwile bule kuwa tweye tolongozigwa na moyo umoja na tosang'hana hamoja?
2CO.12.19	Modaha kulonga kuwa tweye toigombela wenyego kumwenu! Lakini tweye tolonga mbuli zino mgameso ga Mulungu, kuno tuilumba na Kilisito. Mbwiga zangu, kila kinhu kitusang'hana, tosang'hana kuwagangamiza mweye. 
2CO.12.20	Nodumba naheza kumwenu, honda niwavike kamba vinonda niye, na mweye honda mumbone kamba vimulonda niye niwe. Nodumba nodaha kuvika wanhu wogomba hebu kuyonela migongo hebu kuigevuza hebu kuwa na gahigahi hebu kuideta hebu kuiliga hebu kuigoda na kuiding'hula. 
2CO.12.21	Nodumba naheza kumwenu kabili, Mulungu wangu konhenda niwe muhole mgameso genu, nowalilila wanhu bwando watendile nzambi aho haichanduso, lakini hawalekile uchafu wao, kusulukila kwihile na ugoni.
2CO.13.1	Uno wokuwa mwanza wangu wa kadatu kwiza kumwenu. Kamba Maandiko Gang'alile vigalonga, “Kitala chochose cholondeka choneke na wanhu wabili hebu wadatu.” 
2CO.13.2	Ving'halile na mweye muumwanza wangu wa kabili niwazuma, na sambi nowazuma kabili ning'hali kutali, kipindi naheza honda niwonele bazi waja watendile nzambi aho umwaka hebu munhu yoyose iyagwe. 
2CO.13.3	Mweye wenyego molola kamba Kilisito kolonga mgati mmwangu. Kumwenu mweye Kilisito hanyekile, lakini kolagusa nguvu zake kumwenu. 
2CO.13.4	Kwavija hata kamba kawambigwa mumsalaba kwa kunyolila, lakini sambi mgima kwa nguvu ya Mulungu. Na tweye vivija tonyolila kwa kuilumba nayo, lakini kwa nguvu ya Mulungu twa wagima hamoja nayo muladi tuwasang'hanile mweye.
2CO.13.5	Muilolese wenyego mujuwe kamba momtamanila Mulungu. Muigeze wenyego. Vino mweye hamujuwile kuwa Yesu Kilisito kokala mgati mmwenu? Kamba haili avo, mweye mulemelwa. 
2CO.13.6	Lakini notogola mweye mojuwa kuwa tweye hatulemelwe bule. 
2CO.13.7	Avo tompula Mulungu sekemutende mbuli yoyose ihile. Siyo kamba tolonda wanhu watugese tweye tuhuma, lakini mweye mutende ganogile hata kamba tweye tokoneka tulemelwa. 
2CO.13.8	Kwavija tweye hatudaha kuulema ukweli, lakini tougendeleza ukweli. 
2CO.13.9	Todeng'helela kuwa tweye tunyolila, lakini mweye mugangamala, na tompula Mulungu mutelele ng'hani. 
2CO.13.10	Lekaavo, nowandikila mbuli zino ning'hali kutali, muladi naheza kumwenu sekeniwe msede kwa kuusang'hanila udahi uyanigwelele Mndewa, udahi wa kuwagangamiza siyo wa kuwabomola.
2CO.13.11	Avo ndugu zangu, nowalaga! Wambeni kukala mutelele, gogeni mbuli zangu, muilumbe, kaleni moyo hole. Nayo Mulungu wa unogelwa na tindiwalo kokuwa hamoja na mweye.
2CO.13.12	Muilamuse kwa nzila ilagusa moinogela.
2CO.13.13	Wanhu wose wa Mulungu wowalamusa.
2CO.13.14	Ng'hekewa ya Mndewa Yesu Kilisito na unogelwa wa Mulungu kwa kuilumba na Loho Yang'alile, vikale na mweye mose.
GAL.1.1	Niye Paulo, namtumigwa, sikemigwe hebu kutumigwa na wanhu, lakini nhumigwa na Yesu Kilisito na Mulungu Tata, yamzilibule Yesu kwa wafile. 
GAL.1.2	Ndugu wose weli hamoja na niye tovilamusa vibumbila va wanhu wamtogole Yesu ako Galatia.
GAL.1.3	Mulungu Tataetu na Mndewa Yesu Kilisito wawagwee ng'hekewa na tindiwalo.
GAL.1.4	Kwa kutegeleza viyolonda Tataetu Mulungu, Kilisito kailava mwenyego kwa nzambi zetu, muladi yatukombole na nzambi za wanhu wa lukolo luno lwa sambi. 
GAL.1.5	Mulungu yagweleligwe ukulu siku zose! Ona.
GAL.1.6	Mweye mong'hanganya, sambi sambi baha, momuleka Mulungu yawakemile kwa ng'hekewa ya Kilisito, na mokweleleza usenga uyagwe ukoneka kamba mbuli inogile. 
GAL.1.7	Kulonga ukweli kuduhu mbuli iyagwe inogile. Nolonga vino, kwavija kuna wanhu wayagwe wowading'hula na wolonda kuigalusa Mbuli Inogile ya Kilisito. 
GAL.1.8	Lakini hata kamba imoja wetu hebu msenga wa kuulanga, kowapeteleni usenga uyagwe hauigalile na Mbuli Inogile ituwapetele tweye, ayo yaduiligwe na Mulungu! 
GAL.1.9	Tweye tulonga, na sambi nolonga kabili, munhu yoyose yowapetela usenga uyagwe hauigalile na Mbuli Inogile imupeteligwe, munhu ayo yaduiligwe na Mulungu!
GAL.1.10	Vino vinongile vino nolonda kutogoligwa na wanhu? Haili vivo bule! Niye nolonda kutogoligwa na Mulungu! Vino, niye nolonda kuwanogeza wanhu? Maza nhendile vivo, sambi niwe msang'hanaji wa Kilisito.
GAL.1.11	Ndugu zangu, nolonda mujuwe kuwa Mbuli Inogile iniwapetele hailawa kwa wanhu. 
GAL.1.12	Niye siipatile kulawa kwa munhu yoyose, hebu kufundizigwa na munhu. Yesu Kilisito mwenyego yuyo yanigubulile.
GAL.1.13	Mweye muhulika vinikalile noigoga goya dini ya Kiyahudi, muhulika vinividununze ng'hani vibumbila va wanhu wamtogole Yesu bila kuvonela bazi na nilonda kudibananga tamanilo jao. 
GAL.1.14	Niye niwahuma Wayahudi wayangu wengi wanileleke nao kwa kukweleleza dini ya Kiyahudi, niwamba ng'hani kuvigoga vihendo vitugweleligwe na wahenga zetu.
GAL.1.15	Lakini Mulungu kwa ng'hekewa yake kanisagula ning'hali sinavumbuka, kanikema nimsang'hanile. 
GAL.1.16	Viyone vinoga kunigubulila Mwanage, muladi niwapetele Mbuli yake Inogile wanhu haweli Wayahudi, sikimbilile kwa munhu kumuuza mbuli yoyose, 
GAL.1.17	hebu kuchola kudibuga da Yelusalemu kuwauza waja wanongolele kuwa watumigwa, lakini tanhu nichola mwiisi ya Alabiya abaho nibweleganya kudibuga da Damesiki. 
GAL.1.18	Viibitile miyaka midatu, nichola Yelusalemu kumulola Kefa,
GAL.1.19	Lakini siiting'hane na watumigwa wowose wayagwe ila Yakobo, ndugu yake Mndewa Yesu.
GAL.1.20	Kino kinyandika cha ukweli, Mulungu kojuwa siviza!
GAL.1.21	Abaho nichola mziisi za Siliya na Kilikia. 
GAL.1.22	Kipindi acho vibumbila va wanhu wamtogole Yesu ako Yudea vikala havinanyona. 
GAL.1.23	Wao wakala wakijuwile kija kiiyeka kiwahulike kwa wanhu, “Munhu ija yakalile yotudununza, sambi kowapetela wanhu Mbuli Inogile iija ya kumtamanila Kilisito iyakalile yolonda kuibananga!” 
GAL.1.24	Avo mbuli ya niye wamgwaa ukulu Mulungu.
GAL.2.1	Viibitile miyaka longo na nne, nibweleganya Yelusalemu hamoja na Balinaba, vivija nimsola Tito. 
GAL.2.2	Nichola kuko kwavija Mulungu kanigubulila nichole, vituiting'hane twiiyeka na walangulizi niwasimulila usenga wa Mbuli Inogile iniwapetela wanhu haweli Wayahudi. Nhenda vivo muladi sang'hano yangu inisang'hane na ino inisang'hana sekeyage bule. 
GAL.2.3	Miyangu Tito hamoja kakala Mgiliki, hawamnanahize yengile kumbi, 
GAL.2.4	vivija kukala na wanhu waitendile wamtogola Yesu walonda yengile kumbi. Wanhu awo wengila kinyelegezi mna ikibumbila chetu kutusepa, muladi wajuwe vitubwihila kwa kuilumba na Yesu Kilisito. Walonda tukale kamba watumwa. 
GAL.2.5	Lakini hatuwatogolele bule, muladi ukweli wa Mbuli Inogile usigale na mweye.
GAL.2.6	Lakini wanhu wano wolongigwa kuwa walangulizi, kamba kweli wakala vivo hebu si vivo, niye sitonga bule. Kwavija Mulungu hamtagusa munhu kwa kumulola kwa kunze, wanhu awo hawakalile na magesa ga kunyongezela. 
GAL.2.7	Lakini wajuwa kuwa Mulungu kanhuma niwapetele Mbuli Inogile wanhu haweli Wayahudi, kamba vija Petulo viyatumigwe yawapetele Mbuli Inogile Wayahudi. 
GAL.2.8	Kwavija Mulungu yamtendile Petulo mtumigwa kwa Wayahudi, yuyo yanhendile niye kuwa mtumigwa kwa wanhu haweli Wayahudi. 
GAL.2.9	Yakobo, Kefa na Yohana wokoneka kuwa walangulizi wakulu, waijuwa ng'hekewa inigweleligwe na Mulungu, avo watugoga makono niye na Balinaba, kulagusa tweye na wao twa kinhu kimoja. Tuitogolela kuwa niye na Balinaba tukasang'hane kwa wanhu haweli Wayahudi na wao wakasang'hane kwa Wayahudi. 
GAL.2.10	Lakini watupula kino kiiyeka, tuwagese wakiwa weli mkibumbila chao, na niye ng'hala niwamba kuisang'hana mbuli ayo.
GAL.2.11	Lakini Kefa viyezile kudibuga da Antiokia, nimulemela mgameso ga wanhu kwavija kakala yabanange. 
GAL.2.12	Kwavija wang'hali hawanavika wanhu wayagwe watumigwe na Yakobo, Kefa kakala yoja na wanhu haweli Wayahudi. Lakini wanhu awo viwavikile kasonga kuinega na wanhu haweli Wayahudi, kwa kuwadumba wanhu wa kibumbila wakalile wonanahiza kwingila kumbi. 
GAL.2.13	Wayahudi wayagwe wailumba na Kefa mna imbuli ayo ya unafiki, hata Balinaba nayo kakala mumo. 
GAL.2.14	Vinyonile mbuli zao zootenda haziigalile na viilonda Mbuli Inogile, nimulongela Kefa mgameso ga wanhu wose, “Hamoja gweye kwa Muyahudi, kokala kamba wanhu haweli Wayahudi na siyo kamba Muyahudi. Habali kowananahiza wanhu haweli Wayahudi wakweleleze vihendo va Wayahudi?”
GAL.2.15	Tweye twa Wayahudi kwa kuvumbuka, na siyo wanhu haweli Wayahudi wene nzambi! 
GAL.2.16	Tweye tojuwa kuwa munhu hatendigwa kanoga mgameso ga Mulungu kwa kugagoga Malagizo ga Musa, ila kwa kumtamanila Yesu Kilisito. Na tweye tumtamanila Yesu Kilisito muladi tutendigwe tunoge mgameso ga Mulungu, kubitila kumtamanila kwetu Kilisito, na siyo kwa kugagoga Malagizo ga Musa. Kwavija kuduhu munhu yoyose yotendigwa kanoga mgameso ga Mulungu kwa kugagoga Malagizo ga Musa. 
GAL.2.17	Lakini kamba tweye tolonda kutendigwa tunoge mgameso ga Mulungu kwa kuilumba na Kilisito, tokoneka kamba totenda nzambi, vino gano gofambula kamba Kilisito kowataza wanhu watende nzambi? Haili vivo bule! 
GAL.2.18	Niinanga nzila ya kugatamanila Malagizo. Kamba sambi noizenga kabili, aho nolagusa niye nogabena Malagizo. 
GAL.2.19	Mbuli ya Malagizo niye nifa, Malagizo genyego gang'homa muladi niwe mgima kwa mbuli ya Mulungu. Niye niwambigwa mumsalaba hamoja na Kilisito. 
GAL.2.20	Sambi namgima, lakini sili niye kabili ila Kilisito yokala mgati mmwangu. Sambi nokala kwa kumtamanila Mwana wa Mulungu, yaninogele niye, na kaulava ugima wake mbuli ya niye. 
GAL.2.21	Siilema ng'hekewa ya Mulungu. Kwavija kamba munhu kotendigwa kanoga mgameso ga Mulungu kwa kugagoga Malagizo, avo Kilisito kafa bule!
GAL.3.1	Mweye Wagalatia mwa wabozi! Vino nani yawalogile? Mbuli ya kuwambigwa kwa Yesu Kilisito mumsalaba ilongigwa goya mgameso genu. 
GAL.3.2	Nolonda kujuwa kinhu kimoja kumwenu, vino mumbokela Loho wa Mulungu mbuli ya kusang'hana vigalonda Malagizo hebu kwa kuhulika Mbuli Inogile na kuitogola? 
GAL.3.3	Vino mweye mwa wabozi? Mweye musonga kusang'hana mbuli zose kwa kutazigwa na Loho wa Mulungu, vino sambi molonda kumambukiza kwa udahi wenu wenyego? 
GAL.3.4	Vino mbuli zose ziwapatile mugaya bule? Aka, havidahika! 
GAL.3.5	Vino Mulungu kowagwaa Loho wake na kutenda unzonza kumwenu kwavija motenda vigalonda Malagizo ga Musa hebu kwavija moihulika Mbuli Inogile na kuitogola?
GAL.3.6	Kamba Maandiko Gang'alile vigolonga mbuli ya Abulahamu, “Kamtamanila Mulungu, nayo Mulungu kamgesa kanoga.” 
GAL.3.7	Avo mujuwe kuwa, wanhu wose womtogola Mulungu, awo wao wana too wa Abulahamu. 
GAL.3.8	Maandiko Gang'alile galagula toka mwaka kuwa Mulungu kowatenda wanhu wa isi zose wanoge mgameso gake kubitila kumtamanila kwao. Avo Maandiko Gang'alile gampetela Abulahamu Mbuli Inogile, “Kubitila gweye Mulungu kowatenda wanhu wa ng'holo zose za mwiisi wamwede.” 
GAL.3.9	Avo wanhu wose womtamanila Mulungu womweda hamoja na Abulahamu, yamtamanile Mulungu.
GAL.3.10	Lakini wanhu wose wotamanila kugatenda golondigwa na Malagizo, wanhu awo waduiligwa na Mulungu. Kwavija Maandiko Gang'alile golonga, “Munhu yoyose yoleka kugoga kila kinhu chandikigwe mna ikitabu cha Malagizo, munhu ayo kaduiligwa na Mulungu!” 
GAL.3.11	Sambi yojuwika goya Malagizo hagadaha kumtenda munhu yanoge mgameso ga Mulungu, kwavija Maandiko Gang'alile golonga, “Munhu yotendigwa kanoga mgameso ga Mulungu kokala kwa kumtamanila Mulungu.” 
GAL.3.12	Lakini Malagizo siyo mbuli ya kumtamanila Mulungu, lakini Maandiko Gang'alile golonga, “Munhu yoyose yotenda mbuli zilondeka na Malagizo kokala kwa mbuli zizo.”
GAL.3.13	Kilisito katukombola mna ukuduiligwa na Malagizo, kwa kuduiligwa mbuli ya tweye, kwavija Maandiko Gang'alile golonga, “Munhu yoyose lukuli lwake lunanikigwe mumbiki kaduiligwa.” 
GAL.3.14	Mbuli ino itendeka muladi vinhu vinogile, vija Mulungu viyailagane na Abulahamu wagweleligwe wanhu haweli Wayahudi kubitila Yesu Kilisito, avo kwa kumtamanila Mulungu tobokela Loho Yang'alile iyalongile Mulungu.
GAL.3.15	Ndugu zangu, nolonda nilonge vinhu viigalile na vinhu vootenda wanhu siku zose. Wanhu wabili wahaitogolela mbuli na kwika kilaguso cha kuilagana, kuduhu munhu yodaha kusegeza hebu kwengeza kinhu. 
GAL.3.16	Avo kija kiyalongile Mulungu kagweleligwa Abulahamu na munhu yaleleke mulukolo lwa mwanage Abulahamu. Maandiko Gang'alile hagalonga, “Wanhu waleleke,” fambulo jake wanhu wengi, lakini golonga, “Munhu yaleleke,” fambulo jake munhu imoja, nayo ayo Kilisito. 
GAL.3.17	Niye nolonga vino, Mulungu kailagana na Abulahamu na kalonga kotenda kiyailagane nayo. Malagizo ga Musa gagaligwe miyaka magana mane na malongo madatu kumwande hagadaha kudisegeza lagano. Avo hagadaha kusegeza kija kiyalongile Mulungu. 
GAL.3.18	Kwavija kamba nhuza ya Mulungu yotamanila Malagizo, baho haidaha kutamanila kija kiyalongile Mulungu. Lakini, mbuli ya kija kiyalongile, Mulungu kamgwaa nhunza Abulahamu.
GAL.3.19	Vino kilamuso cha Malagizo choni? Gongezigwa muladi kulagusa zilihi azo nzambi, Malagizo gokala mbaka kwiza kwa munhu yaleleke mulukolo lwa mwanage Abulahamu, ayuja yalongigwe mna idilagano. Malagizo gagaligwa na wasenga wa kuulanga kubitila ija yogala kuilumba. 
GAL.3.20	Munhu yowatenda wanhu wailumbe halondeka kamba mbuli yenyego ya munhu imoja, lakini Mulungu imoja.
GAL.3.21	Vino ino yofambula kuwa Malagizo ga Musa hagailumba na kija kiyalongile Mulungu? Aka, haili vivo! Kwavija kamba wanhu wabokela Malagizo godaha kugala ugima, baho munhu yoyose kodaha kutendigwa yanoge mgameso ga Mulungu kwa kugagoga Malagizo. 
GAL.3.22	Lakini Maandiko Gang'alile golonga kuwa wanhu wose wa mwiisi wotawaligwa na nzambi, na nhunza iyalongile Mulungu kwa kumtamanila Yesu Kilisito, wogoleligwa wanhu waja womtogola.
GAL.3.23	Lakini kipindi cha kumtamanila Mulungu vikikalile hakinavika, Malagizo gakala gatufungile mbaka kipindi cha kumtamanila Mulungu vikigubuligwe. 
GAL.3.24	Avo Malagizo gatulongoza mbaka viyezile Kilisito, muladi kwa kumtamanila kwetu Mulungu yatutende tunoge mgameso gake. 
GAL.3.25	Lakini kipindi cha kumtamanila Mulungu kivika, avo Malagizo hagatulongoza kabili.
GAL.3.26	Kwa kumtamanila Yesu Kilisito mweye mose mwa wana wa Mulungu. 
GAL.3.27	Mweye mose mubatizigwe kwa kuilumba na Kilisito, na sambi mumvala Kilisito mwenyego. 
GAL.3.28	Avo kwa kuilumba na Yesu Kilisito wanhu wose kuduhu kuibagula. Kuduhu Wayahudi na Wagiliki, kuduhu watumwa na wanhu wakomboligwe, kuduhu wambigalo na watwanzi, wose kinhu kimoja. 
GAL.3.29	Kamba mweye mwa wanhu wa Kilisito, baho mwa wanhu wa lukolo lwa Abulahamu, na mubokela kija kiyalongile Mulungu.
GAL.4.1	Avo, nolonga vino, muhazi yahawa yang'hali mwana, kaigala na mtumwa, hamoja vinhu vose vake. 
GAL.4.2	Kipindi acho chose kolongozigwa na wanhu womulela na wanhu wovilola goya vinhu vake, mbaka chahavika kipindi kikigwe na tatake. 
GAL.4.3	Vivo ili kumwetu tweye, vitukalile tung'hali wana, tukala watumwa wa loho zitawala mwiisi. 
GAL.4.4	Lakini vikivikile kipindi kinogile, Mulungu kamtuma mwanage mwenyego, yaleligwe na mtwanzi, na kalongozigwa na Malagizo, 
GAL.4.5	muladi yawakombole wanhu waja wose watawaligwe na Malagizo, ili tuwe wana wa Mulungu.
GAL.4.6	Kwavija mweye mwa wanage, Mulungu kamtuma Loho wa Mwanage mmizoyo yenu, Loho ayo yokemelela, “Aba, fambulo jake Tata.” 
GAL.4.7	Avo gweye huli mtumwa kabili, lakini kwa mwana. Na kwavija kwa mwana, Mulungu kokugwaa vinhu vose viyawekile wanage.
GAL.4.8	Kuko umwaka mukala hamumjuwile Mulungu, na avo mukala watumwa wa loho zilibule udahi wa kutawala. 
GAL.4.9	Lakini sambi mumjuwa Mulungu, hebu nonge mujuwigwa na Mulungu, habali mozibwelela loho za ukiwa zilibule nguvu na molonda kuwa watumwa wao kabili? 
GAL.4.10	Mung'hali mozigoga siku na miezi na vipindi na miyaka. 
GAL.4.11	Nodumba sengine sang'hano yangu inisang'hane mbuli yenu yaga bule.
GAL.4.12	Ndugu zangu, nowapula muwe kamba niye. Kwavija hata niye niwa kamba mweye. Mweye hamunhendele mbuli yoyose ihile. 
GAL.4.13	Mojuwa kuwa utamu awo unhendile kuwapetela Mbuli Inogile kwa mwanza wa ichanduso. 
GAL.4.14	Hata ivo, kipindi kija hamnibezile hebu kundema mbuli ya utamu wangu, hamoja mugaya ng'hani mbuli ya utamu awo, lakini munibokela kamba vonda mumbokele msenga wa kuulanga, na munibokela kamba vonda mumbokele Yesu Kilisito mwenyego. 
GAL.4.15	Mweye mukala na deng'ho! Vino kulawilila choni? Niye nodaha kulonga, kipindi kija, maza mudahile mwahang'olile meso genu wenyego na kungwaa niye. 
GAL.4.16	Vino sambi monihila mbuli ya kuwalongela ukweli?
GAL.4.17	Wanhu wayagwe wowagaiya mweye, lakini hawagesa ganogile kumwenu. Wolonda mweye na niye tuigole, muladi mweye muwagaiye wao. 
GAL.4.18	Kweli siku zose vinoga kugaiya mbuli zinogile, hata kamba niye nahaduhu. 
GAL.4.19	Wanangu! Kamba vija mtwanzi viyogaya kipindi cha kulela mwana, na niye nowagaiya mbaka Kilisito vonda yalumbigwe mgati mmwenu. 
GAL.4.20	Nosulukila, maza nahakalile na mweye sambi, nahalongile ulonzi unogile! Niye nokala moyo yungwa yungwa mbuli yenu!
GAL.4.21	Nongeleni mweye mulonda kutawaligwa na Malagizo ga Musa, vino hamuhulika bule vigalonga Malagizo? 
GAL.4.22	Kwavija yandikigwa kuwa Abulahamu kakala na wana wabili, mwana imoja kaleleka na mtwanzi yakalile mtumwa, na mwana iyagwe kaleleka na mtwanzi yakomboligwe. 
GAL.4.23	Mwanage yaleleke na mtwanzi yakalile mtumwa kaleleka kamba viwaleleke wana wayagwe, lakini mwanage yaleleke na mtwanzi yakomboligwe kaleleka kubitila kija kiyalongile Mulungu. 
GAL.4.24	Kinhu kilawilile kwa wana wabili wa Abulahamu kiigala na kinhu cha ukweli, watwanzi wao wabili wolagusa malagano mabili. Lagano dimoja dija ditendigwe hana Ulugongo lwa Sinai, dolonga mbuli ya Hajili, na wanage woleleka muutumwa. 
GAL.4.25	Hajili kolagusa Ulugongo lwa Sinai luli ako Alabiya, na yolagusa buga da Yelusalemu dili sambi mwiisi, dili muutumwa hamoja na wanage wose. 
GAL.4.26	Lakini Yelusalemu ili kuulanga ni buga dikomboligwe, najo dijo mamaetu. 
GAL.4.27	Kwavija Maandiko Gang'alile golonga,
GAL.4.27	“Deng'helela gweye mtwanzi uli mgumba,
GAL.4.27	Toa lukenze gweye hupatile usungu wa kulela mwana!
GAL.4.27	Kwavija wana wa mtwanzi yalekigwe wokuwa wengi
GAL.4.27	kubanza wana wa mtwanzi yokala na mkasano.”
GAL.4.28	Avo ndugu zangu, mweye mwa wana kwavija vivo viyalongile Mulungu kilawilile, kamba viikalile kwa Isaka. 
GAL.4.29	Lakini kamba kipindi kija kiyaleleke mwana ija kamba viwoleleka wana wayagwe, kamdununza ija yaleleke kwa udahi wa Loho wa Mulungu, sambi vivo ili. 
