GEN.1.1	No princípio, Deus criou os céus e a terra.
ACT.13.28	Não encontraram motivo legal para executá-lo, mas, ainda assim, pediram a Pilatos que o matasse.
ACT.13.29	“Depois de cumprirem tudo que as profecias diziam a respeito dele, eles o tiraram da cruz
ACT.13.30	mas Deus o ressuscitou dos mortos. 
ACT.13.31	E, por muitos dias, ele apareceu àqueles que o tinham acompanhado da Galileia para Jerusalém. Agora eles são suas testemunhas diante do povo.
ACT.13.32	“Estamos aqui para trazer a vocês esta boa-nova. A promessa foi feita a nossos antepassados, 
ACT.13.33	e agora Deus a cumpriu para nós, os descendentes deles, ao ressuscitar Jesus. É isto que o segundo salmo diz a respeito dele:
ACT.13.33	‘Você é meu Filho;
ACT.13.33	hoje eu o gerei’.
ACT.13.34	Pois Deus havia prometido ressuscitá-lo dos mortos, para que jamais apodrecesse no túmulo. Ele disse: ‘Eu lhes darei as bênçãos sagradas que prometi a Davi’.
ACT.13.35	Em outro salmo, ele explicou de modo mais direto: ‘Não permitirás que o teu Santo apodreça no túmulo’.
ACT.13.36	Não se trata de uma referência a Davi, porque, depois que Davi fez a vontade de Deus em sua geração, morreu e foi sepultado com seus antepassados, e seu corpo apodreceu. 
ACT.13.37	É uma referência a outra pessoa, a alguém a quem Deus ressuscitou e cujo corpo não apodreceu.
ACT.13.38	“Ouçam, irmãos! Estamos aqui para proclamar que, por meio de Jesus, há perdão para os pecados. 
ACT.13.39	Todo o que nele crê é declarado justo diante de Deus, algo que a lei de Moisés jamais pôde fazer. 
ACT.13.40	Por isso, tomem cuidado para que não se apliquem a vocês as palavras dos profetas:
ACT.13.41	‘Olhem, zombadores;
ACT.13.41	fiquem admirados e morram!
ACT.13.41	Pois faço algo em seus dias,
ACT.13.41	algo em que vocês não acreditariam
ACT.13.41	mesmo que lhes contassem’”.
ACT.13.42	Quando Paulo e Barnabé estavam saindo da sinagoga, o povo pediu que voltassem a falar dessas coisas na semana seguinte. 
ACT.13.43	Muitos judeus e gentios devotos convertidos ao judaísmo seguiram Paulo e Barnabé, que insistiam com eles para que continuassem a confiar na graça de Deus.
ACT.13.44	No sábado seguinte, quase toda a cidade compareceu para ouvir a palavra do Senhor. 
ACT.13.45	Quando alguns dos judeus viram as multidões, ficaram com inveja, de modo que difamaram Paulo e contestavam tudo que ele dizia.
ACT.13.46	Então Paulo e Barnabé se pronunciaram corajosamente, dizendo: “Era necessário que pregássemos a palavra de Deus primeiro a vocês, judeus. Mas, uma vez que vocês a rejeitaram e não se consideraram dignos da vida eterna, agora vamos oferecê-la aos gentios. 
ACT.13.47	Pois foi isso que o Senhor nos ordenou quando disse:
ACT.13.47	‘Fiz de você uma luz para os gentios,
ACT.13.47	para levar a salvação até os lugares mais distantes da terra’”.
ACT.13.48	Quando ouviram isso, os gentios se alegraram e agradeceram ao Senhor por essa mensagem, e todos que haviam sido escolhidos para a vida eterna creram. 
ACT.13.49	Assim, a palavra do Senhor se espalhou por toda aquela região.
ACT.13.50	Então os judeus, instigando as mulheres religiosas influentes e as autoridades da cidade, provocaram uma multidão contra Paulo e Barnabé e os expulsaram dali. 
ACT.13.51	Eles, porém, sacudiram o pó dos pés em sinal de reprovação e foram à cidade de Icônio. 
ACT.13.52	E os discípulos estavam cheios de alegria e do Espírito Santo.
ACT.14.1	Em Icônio,
ACT.14.2	Alguns dos judeus que não creram, porém, incitaram os gentios e envenenaram a mente deles contra Paulo e Barnabé. 
ACT.14.3	Ainda assim, os apóstolos passaram bastante tempo ali, falando corajosamente da graça do Senhor, que confirmava a mensagem deles concedendo-lhes poder para realizar sinais e maravilhas. 
ACT.14.4	Com isso, o povo da cidade ficou dividido: alguns tomaram partido dos judeus, e outros, dos apóstolos.
ACT.14.5	Então um grupo de gentios, judeus e seus líderes resolveu atacá-los e apedrejá-los. 
ACT.14.6	Quando os apóstolos souberam disso, fugiram para a região da Licaônia, para as cidades de Listra e Derbe e seus arredores. 
ACT.14.7	E ali anunciaram as boas-novas.
ACT.14.8	Enquanto estavam em Listra, Paulo e Barnabé encontraram um homem com os pés aleijados. Sofria desse problema desde o nascimento e, portanto, nunca tinha andado. Estava sentado 
ACT.14.9	e ouvia Paulo pregar. Paulo olhou diretamente para ele e, vendo que ele tinha fé para ser curado, 
ACT.14.10	disse em alta voz: “Levante-se!”. O homem se levantou de um salto e começou a andar.
ACT.14.11	A multidão, vendo o que Paulo havia feito, gritou no dialeto local:
ACT.14.12	Concluíram que Barnabé era o deus grego Zeus, e Paulo, o deus Hermes, pois era ele quem proclamava a mensagem. 
ACT.14.13	O sacerdote do templo de Zeus, que ficava na entrada da cidade, trouxe touros e coroas de flores até as portas da cidade, pois ele e a multidão queriam oferecer sacrifícios aos apóstolos.
ACT.14.14	Quando Barnabé e Paulo ouviram o que estava acontecendo, rasgaram as roupas e correram para o meio do povo, gritando: 
ACT.14.15	“Amigos,
ACT.14.16	No passado, ele permitiu que as nações seguissem seus próprios caminhos, 
ACT.14.17	mas nunca as deixou sem evidências de sua existência e de sua bondade. Ele lhes concede chuvas e boas colheitas, e também alimento e um coração alegre”. 
ACT.14.18	Apesar dessas palavras, Paulo e Barnabé tiveram dificuldade para impedir que o povo lhes oferecesse sacrifícios.
ACT.14.19	Então alguns judeus chegaram de Antioquia e Icônio e instigaram a multidão. Apedrejaram Paulo e o arrastaram para fora da cidade, pensando que ele estivesse morto. 
ACT.14.20	No entanto, quando os discípulos o rodearam, ele se levantou e entrou novamente na cidade. No dia seguinte, partiu com Barnabé para Derbe.
ACT.14.21	Depois de terem anunciado as boas-novas em Derbe e feito muitos discípulos, Paulo e Barnabé voltaram a Listra, Icônio e Antioquia da Pisídia, 
ACT.14.22	onde fortaleceram os discípulos. Eles os encorajaram a permanecer na fé, lembrando-os de que é necessário passar por muitos sofrimentos até entrar no reino de Deus. 
ACT.14.23	Paulo e Barnabé também escolheram presbíteros
ACT.14.24	Então viajaram de volta pela Pisídia até a Panfília. 
ACT.14.25	Pregaram a palavra em Perge e desceram para Atália.
ACT.14.26	Por fim, voltaram de navio para Antioquia, onde sua viagem tinha começado e onde haviam sido entregues à graça de Deus para realizar o trabalho que agora completavam. 
ACT.14.27	Quando chegaram a Antioquia, reuniram a igreja e relataram tudo que Deus tinha feito por meio deles e como tinha aberto a porta da fé também para os gentios. 
ACT.14.28	E permaneceram ali com os discípulos por muito tempo.
ACT.15.1	Chegaram a Antioquia alguns homens da Judeia e começaram a ensinar aos irmãos: “A menos que sejam circuncidados, conforme exige a lei de Moisés, vocês não poderão ser salvos”. 
ACT.15.2	Paulo e Barnabé discordaram deles e discutiram energicamente. Por fim, a igreja decidiu
ACT.15.3	A igreja, portanto, enviou seus representantes a Jerusalém. No caminho, eles pararam na Fenícia e em Samaria para visitar os irmãos e contaram que os gentios também estavam sendo convertidos, o que muito alegrou a todos.
ACT.15.4	Quando chegaram a Jerusalém, foram bem recebidos pela igreja, pelos apóstolos e presbíteros, e relataram tudo que Deus havia feito por meio deles. 
ACT.15.5	Contudo, alguns dos irmãos que pertenciam à seita dos fariseus se levantaram e disseram: “É necessário que os convertidos gentios sejam circuncidados e guardem a lei de Moisés”.
ACT.15.6	Os apóstolos e presbíteros se reuniram para decidir a questão. 
ACT.15.7	Depois de uma longa discussão, Pedro se levantou e se dirigiu a eles, dizendo: “Irmãos, vocês sabem que, há muito tempo, Deus me escolheu dentre vocês para falar aos gentios a fim de que eles pudessem ouvir as boas-novas e crer. 
ACT.15.8	Deus conhece o coração humano e confirmou que aceita os gentios ao lhes dar o Espírito Santo, como o deu a nós. 
ACT.15.9	Não fez distinção alguma entre nós e eles, pois purificou o coração deles por meio da fé. 
ACT.15.10	Então por que agora vocês provocam a Deus, sobrecarregando os discípulos gentios com um jugo que nem nós nem nossos antepassados conseguimos suportar? 
ACT.15.11	Cremos que todos, nós e eles, somos salvos da mesma forma, pela graça do Senhor Jesus”.
ACT.15.12	Todos ouviram em silêncio enquanto Barnabé e Paulo lhes relatavam os sinais e maravilhas que Deus havia realizado por meio deles entre os gentios.
ACT.15.13	Quando terminaram de falar, Tiago se levantou e disse: “Irmãos, ouçam-me! 
ACT.15.14	Pedro
ACT.15.15	E isso está em pleno acordo com o que disseram os profetas. Como está escrito:
ACT.15.16	‘Depois disso voltarei
ACT.15.16	e restaurarei a tenda caída de Davi.
ACT.15.16	Reconstruirei suas ruínas
ACT.15.16	e a restaurarei,
ACT.15.17	para que o restante da humanidade
ACT.15.17	busque o Senhor,
ACT.15.17	incluindo os gentios,
ACT.15.17	todos os que chamei para serem meus.
ACT.15.17	O Senhor falou,
ACT.15.18	aquele que tornou essas coisas conhecidas
ACT.15.18	desde a eternidade’.
ACT.15.19	“Portanto, considero que não devemos criar dificuldades para os gentios que se convertem a Deus. 
ACT.15.20	Ao contrário, devemos escrever a eles dizendo-lhes que se abstenham de alimentos oferecidos a ídolos, da imoralidade sexual, da carne de animais estrangulados e do sangue. 
ACT.15.21	Pois essas leis de Moisés são pregadas todos os sábados nas sinagogas judaicas em todas as cidades há muitas gerações”.
ACT.15.22	Então os apóstolos e presbíteros e toda a igreja em Jerusalém escolheram representantes e os enviaram a Antioquia da Síria, com Paulo e Barnabé, para informar sobre essa decisão. Os homens escolhidos eram dois líderes entre os irmãos: Judas, também chamado Barsabás, e Silas. 
ACT.15.23	Esta foi a carta que levaram:
ACT.15.23	“Nós, os apóstolos e presbíteros, e seus irmãos em Jerusalém, escrevemos esta carta aos irmãos gentios em Antioquia, Síria e Cilícia. Saudações.
ACT.15.24	“Soubemos que alguns homens, que daqui saíram sem nossa autorização, têm perturbado e inquietado vocês com seu ensino. 
ACT.15.25	Portanto, depois de chegarmos a um consenso, resolvemos enviar-lhes alguns representantes com nossos amados irmãos Barnabé e Paulo, 
ACT.15.26	que têm arriscado a vida pelo nome de nosso Senhor Jesus Cristo. 
ACT.15.27	Estamos enviando Judas e Silas para confirmarem pessoalmente o que aqui escrevemos.
ACT.15.28	“Pois pareceu bem ao Espírito Santo e a nós não impor a vocês nenhum peso maior que estes poucos requisitos: 
ACT.15.29	abstenham-se de comer alimentos oferecidos a ídolos, de consumir o sangue ou a carne de animais estrangulados, e de praticar a imoralidade sexual. Farão muito bem se evitarem essas coisas.
ACT.15.29	“Que tudo lhes vá bem.”
ACT.15.30	Os mensageiros partiram de imediato para Antioquia, onde reuniram os irmãos e entregaram a carta. 
ACT.15.31	Houve grande alegria em toda a igreja no dia em que leram essa mensagem animadora.
ACT.15.32	Então Judas e Silas, ambos profetas, encorajaram e fortaleceram os irmãos com muitas palavras. 
ACT.15.33	Permaneceram ali algum tempo, e depois os irmãos os enviaram em paz de volta à igreja de Jerusalém. 
ACT.15.34	Silas, porém, resolveu permanecer ali.
ACT.15.35	Paulo e Barnabé ficaram em Antioquia. Eles e muitos outros ensinavam e pregavam a palavra do Senhor naquela cidade.
ACT.15.36	Algum tempo depois, Paulo disse a Barnabé: “Voltemos para visitar cada uma das cidades onde pregamos a palavra do Senhor, para ver como os irmãos estão indo”. 
ACT.15.37	Barnabé queria levar João Marcos, 
ACT.15.38	mas Paulo se opôs, pois João Marcos tinha se separado deles na Panfília, não prosseguindo com eles no trabalho. 
ACT.15.39	O desentendimento entre eles foi tão grave que os dois se separaram. Barnabé levou João Marcos e navegou para Chipre. 
ACT.15.40	Paulo escolheu Silas e partiu, e os irmãos o entregaram ao cuidado gracioso do Senhor. 
ACT.15.41	Então ele viajou por toda a Síria e Cilícia, fortalecendo as igrejas de lá.
ACT.16.1	Paulo foi primeiro a Derbe e depois a Listra, onde havia um jovem discípulo chamado Timóteo. A mãe dele era uma judia convertida, e o pai era grego. 
ACT.16.2	Os irmãos em Listra e em Icônio o tinham em alta consideração, 
ACT.16.3	de modo que Paulo pediu que ele os acompanhasse em sua viagem. Em respeito aos judeus da região, providenciou que Timóteo fosse circuncidado antes de partirem, pois todos sabiam que o pai dele era grego. 
ACT.16.4	Em toda cidade por onde passavam, instruíam os irmãos a seguirem as decisões tomadas pelos apóstolos e presbíteros
ACT.16.5	Assim, as igrejas eram fortalecidas na fé e cresciam em número a cada dia.
ACT.16.6	Em seguida, Paulo e Silas viajaram pela região da Frígia e da Galácia, pois o Espírito Santo os impediu de pregar a palavra na província da Ásia. 
ACT.16.7	Então, chegando à fronteira da Mísia, tentaram ir para o norte, em direção à Bitínia,
ACT.16.8	Assim, seguiram viagem pela Mísia até o porto de Trôade.
ACT.16.9	Naquela noite, Paulo teve uma visão, na qual um homem da Macedônia em pé lhe suplicava: “Venha para a Macedônia e ajude-nos!”. 
ACT.16.10	Então decidimos
ACT.16.11	Embarcamos em Trôade e navegamos diretamente para a ilha de Samotrácia e, no dia seguinte, chegamos a Neápolis. 
ACT.16.12	Dali, alcançamos Filipos, cidade importante dessa região da Macedônia e colônia romana, e ali permanecemos vários dias.
ACT.16.13	No sábado, saímos da cidade e fomos à margem do rio, onde esperávamos encontrar um lugar de oração. Sentamo-nos e começamos a conversar com algumas mulheres ali reunidas. 
ACT.16.14	Uma delas era uma mulher temente a Deus chamada Lídia, da cidade de Tiatira, comerciante de tecido de púrpura. Enquanto ela nos ouvia, o Senhor lhe abriu o coração, e ela aceitou aquilo que Paulo estava dizendo. 
ACT.16.15	Foi batizada, junto com sua família, e pediu que nos hospedássemos em sua casa. “Se concordam que creio de fato no Senhor, venham ficar em minha casa”, disse ela, e insistiu até que aceitamos.
ACT.16.16	Certo dia, enquanto íamos ao lugar de oração, veio ao nosso encontro uma escrava possuída por um espírito pelo qual ela predizia o futuro. Com suas adivinhações, ganhava muito dinheiro para seus senhores. 
ACT.16.17	Ela seguia Paulo e a nós, gritando: “Estes homens são servos do Deus Altíssimo e vieram anunciar como vocês podem ser salvos!”.
ACT.16.18	Isso continuou por vários dias, até que Paulo, indignado, se voltou e disse ao espírito dentro da jovem: “Eu ordeno em nome de Jesus Cristo que saia dela”. E, no mesmo instante, o espírito a deixou.
ACT.16.19	Quando os senhores da escrava viram que suas expectativas de lucro haviam sido frustradas, agarraram Paulo e Silas e os arrastaram à presença das autoridades, na praça do mercado. 
ACT.16.20	“Estes judeus estão tumultuando a cidade!”, gritaram para os magistrados. 
ACT.16.21	“Eles ensinam costumes que nós, romanos, não podemos seguir, pois contrariam nossas leis!”
ACT.16.22	Logo, uma multidão revoltada se juntou contra Paulo e Silas, e os magistrados ordenaram que os dois fossem despidos e açoitados com varas. 
ACT.16.23	Depois de serem severamente açoitados, foram lançados na prisão. O carcereiro recebeu ordens para não os deixar escapar, 
ACT.16.24	por isso os colocou no cárcere interno, prendendo-lhes os pés no tronco.
ACT.16.25	Por volta da meia-noite, Paulo e Silas oravam e cantavam hinos a Deus, e os outros presos ouviam. 
ACT.16.26	De repente, houve um forte terremoto, e até os alicerces da prisão foram sacudidos. No mesmo instante, todas as portas se abriram e as correntes de todos os presos se soltaram. 
ACT.16.27	Quando o carcereiro acordou, viu as portas da prisão escancaradas. Imaginando que os prisioneiros haviam escapado, puxou a espada para se matar. 
ACT.16.28	Paulo, porém, gritou: “Não se mate! Estamos todos aqui!”.
ACT.16.29	O carcereiro mandou que trouxessem luz e correu até o cárcere, onde se prostrou, tremendo de medo, diante de Paulo e Silas. 
ACT.16.30	Então ele os levou para fora e perguntou: “Senhores, que devo fazer para ser salvo?”.
ACT.16.31	Eles responderam: “Creia no Senhor Jesus, e você e sua família serão salvos”. 
ACT.16.32	Então pregaram a palavra do Senhor a ele e a toda a sua família. 
ACT.16.33	Mesmo sendo tarde da noite, o carcereiro cuidou deles e lavou suas feridas. Em seguida, ele e todos os seus foram batizados. 
ACT.16.34	Depois, levou-os para sua casa e lhes serviu uma refeição, e ele e toda a sua família se alegraram porque creram em Deus.
ACT.16.35	Na manhã seguinte, os magistrados mandaram os guardas ordenarem ao carcereiro: “Solte estes homens!”. 
ACT.16.36	Então o carcereiro mandou dizer a Paulo: “Os magistrados disseram que você e Silas estão livres. Vão em paz”.
ACT.16.37	Paulo, no entanto, respondeu: “Eles nos açoitaram publicamente sem julgamento e nos colocaram na prisão, e nós somos cidadãos romanos. Agora querem que vamos embora às escondidas? De maneira nenhuma! Que venham eles mesmos e nos soltem”.
ACT.16.38	Os guardas relataram isso aos magistrados, que ficaram assustados por saber que Paulo e Silas eram cidadãos romanos. 
ACT.16.39	Foram até a prisão e lhes pediram desculpas. Então os trouxeram para fora e suplicaram que deixassem a cidade. 
ACT.16.40	Quando Paulo e Silas saíram da prisão, voltaram à casa de Lídia. Ali se encontraram com os irmãos e os encorajaram mais uma vez. Depois, partiram.
ACT.17.1	Então Paulo e Silas passaram pelas cidades de Anfípolis e Apolônia e chegaram a Tessalônica, onde havia uma sinagoga judaica. 
ACT.17.2	Como era seu costume, Paulo foi à sinagoga e, durante três sábados seguidos, discutiu as Escrituras com o povo. 
ACT.17.3	Explicou as profecias e provou que era necessário o Cristo sofrer e ressuscitar dos mortos. “Esse Jesus de que lhes falo é o Cristo”, disse ele. 
ACT.17.4	Alguns dos judeus que o ouviam foram convencidos e se uniram a Paulo e Silas, bem como muitos gregos tementes a Deus e várias mulheres de alta posição.
ACT.17.5	Alguns judeus, porém, ficaram com inveja, reuniram alguns desordeiros e desocupados e, com a multidão, começaram um tumulto. Invadiram a casa de Jasom em busca de Paulo e Silas para entregá-los ao conselho da cidade,
ACT.17.6	mas, como não os encontraram, arrastaram para fora Jasom e alguns outros irmãos e os levaram diante do conselho. Gritavam: “Aqueles que têm causado transtornos no mundo todo agora estão aqui, perturbando nossa cidade, 
ACT.17.7	e Jasom os recebeu em sua casa! São todos culpados de traição contra César, pois afirmam que existe um outro rei, um tal de Jesus”.
ACT.17.8	Ao ouvir isso, o povo da cidade e o conselho se agitaram. 
ACT.17.9	Então os oficiais obrigaram Jasom e os outros irmãos a pagarem fiança, e depois os soltaram.
ACT.17.10	Ao anoitecer, os irmãos enviaram Paulo e Silas a Bereia. Quando lá chegaram, foram à sinagoga judaica. 
ACT.17.11	Os judeus que moravam em Bereia tinham a mente mais aberta que os de Tessalônica e ouviram a mensagem de Paulo com grande interesse. Todos os dias, examinavam as Escrituras para ver se Paulo e Silas ensinavam a verdade. 
ACT.17.12	Como resultado, muitos judeus creram, assim como vários gregos de alta posição, tanto homens como mulheres.
ACT.17.13	Mas, quando os judeus de Tessalônica souberam que Paulo estava pregando a palavra de Deus em Bereia, foram até lá e criaram um alvoroço. 
ACT.17.14	Os irmãos agiram de imediato e enviaram Paulo para o litoral, enquanto Silas e Timóteo permaneceram na cidade. 
ACT.17.15	Os que acompanharam Paulo o levaram até Atenas e, depois, voltaram a Bereia com instruções para Silas e Timóteo irem ao encontro dele o mais depressa possível.
ACT.17.16	Enquanto Paulo esperava por eles em Atenas, ficou muito indignado ao ver ídolos por toda a cidade. 
ACT.17.17	Por isso, ia à sinagoga debater com os judeus e com os gentios tementes a Deus e falava diariamente na praça pública a todos que ali estavam.
ACT.17.18	Paulo também debateu com alguns dos filósofos epicureus e estoicos. Quando lhes falou de Jesus e da ressurreição, eles perguntaram: “O que esse tagarela está querendo dizer?”. Outros disseram: “Parece estar falando de deuses estrangeiros”.
ACT.17.19	Então levaram Paulo ao conselho da cidade
ACT.17.20	Você diz coisas um tanto estranhas, e queremos saber o que significam”. 
ACT.17.21	(Convém explicar que os atenienses, bem como os estrangeiros que viviam em Atenas, pareciam não fazer outra coisa senão discutir as últimas novidades.)
ACT.17.22	Então Paulo se levantou diante do conselho e assim se dirigiu a seus membros: “Homens de Atenas, vejo que em todos os aspectos vocês são muito religiosos, 
ACT.17.23	pois, enquanto andava pela cidade, reparei em seus diversos altares. Um deles trazia a seguinte inscrição: ‘Ao Deus Desconhecido’. Esse Deus que vocês adoram sem conhecer é exatamente aquele de que lhes falo.
ACT.17.24	“Ele é o Deus que fez o mundo e tudo que nele há. Uma vez que é Senhor dos céus e da terra, não habita em templos feitos por homens 
ACT.17.25	e não é servido por mãos humanas, pois não necessita de coisa alguma. Ele mesmo dá vida e fôlego a tudo, e supre cada necessidade. 
ACT.17.26	De um só homem
ACT.17.27	“Seu propósito era que as nações buscassem a Deus e, tateando, talvez viessem a encontrá-lo, embora ele não esteja longe de nenhum de nós. 
ACT.17.28	Pois nele vivemos, nos movemos e existimos. Como disseram alguns de seus
ACT.17.29	E, por ser isso verdade, não devemos imaginar Deus como um ídolo de ouro, prata ou pedra, projetado por artesãos.
ACT.17.30	“No passado, Deus não levou em conta a ignorância das pessoas acerca dessas coisas, mas agora ele ordena que todos, em todo lugar, se arrependam. 
ACT.17.31	Pois ele estabeleceu um dia para julgar o mundo com justiça, por meio do homem que ele designou, e mostrou a todos quem é esse homem ao ressuscitá-lo dos mortos”.
ACT.17.32	Quando ouviram Paulo falar da ressurreição dos mortos, alguns riram com desprezo. Outros, porém, disseram: “Queremos ouvir mais sobre isso em outra ocasião”. 
ACT.17.33	Então Paulo se retirou do conselho, 
ACT.17.34	mas alguns se juntaram a ele e creram. Entre eles estavam Dionísio, membro do conselho,
ACT.18.1	Algum tempo depois, Paulo deixou Atenas e foi para Corinto.
ACT.18.2	Ali encontrou um judeu chamado Áquila, natural do Ponto, que havia chegado recentemente da Itália com sua esposa, Priscila, depois que Cláudio César expulsou todos os judeus de Roma. 
ACT.18.3	Paulo foi morar e trabalhar com eles, pois eram fabricantes de tendas,
ACT.18.4	Todos os sábados, Paulo ia à sinagoga e buscava convencer tanto judeus como gregos. 
ACT.18.5	Depois que Silas e Timóteo chegaram da Macedônia, Paulo se dedicou totalmente à pregação da palavra e testemunhava aos judeus que Jesus era o Cristo. 
ACT.18.6	Mas, quando eles se opuseram a Paulo e o insultaram, ele sacudiu o pó da roupa e disse: “Vocês são responsáveis por sua própria destruição!
ACT.18.7	Então saiu dali e foi à casa de Tício Justo, um gentio temente a Deus que morava ao lado da sinagoga. 
ACT.18.8	Crispo, o líder da sinagoga, e toda a sua família creram no Senhor. Muitos outros em Corinto também ouviram Paulo, creram e foram batizados.
ACT.18.9	Certa noite, o Senhor falou a Paulo numa visão: “Não tenha medo! Continue a falar e não se cale, 
ACT.18.10	pois estou com você, e ninguém o atacará nem lhe fará mal, porque muita gente nesta cidade me pertence”. 
ACT.18.11	Então Paulo permaneceu ali um ano e meio, ensinando a palavra de Deus.
ACT.18.12	Quando Gálio se tornou governador da Acaia, alguns judeus se levantaram contra Paulo e o levaram diante do governador para ser julgado. 
ACT.18.13	Eles o acusaram de convencer as pessoas a adorar a Deus de maneira contrária à lei judaica.
ACT.18.14	Mas, assim que Paulo começou a apresentar sua defesa, Gálio se voltou para os acusadores e disse: “Ouçam, judeus! Se sua queixa envolvesse algum delito ou crime grave, eu teria motivo para aceitar o caso. 
ACT.18.15	Mas, como se trata apenas de uma questão de palavras e nomes e da sua lei, resolvam isso vocês mesmos. Recuso-me a julgar essas coisas”. 
ACT.18.16	E os expulsou do tribunal.
ACT.18.17	A multidão
ACT.18.18	Paulo ainda permaneceu em Corinto por algum tempo. Então se despediu dos irmãos e foi a Cencreia, onde raspou a cabeça, de acordo com o costume judaico para marcar o fim de um voto. Em seguida, partiu de navio para a Síria, levando consigo Priscila e Áquila.
ACT.18.19	Chegaram ao porto de Éfeso, onde Paulo os deixou. Enquanto estava ali, foi à sinagoga para debater com os judeus. 
ACT.18.20	Eles pediram que ficasse mais tempo, mas ele recusou. 
ACT.18.21	Ao despedir-se, Paulo disse: “Voltarei depois, se Deus quiser”. Então zarpou de Éfeso. 
ACT.18.22	A parada seguinte foi no porto de Cesareia, de onde subiu a Jerusalém e visitou a igreja. Em seguida, voltou para Antioquia.
ACT.18.23	Depois de passar algum tempo ali, voltou pela Galácia e pela Frígia, visitando e fortalecendo todos os discípulos.
ACT.18.24	Enquanto isso, chegou a Éfeso vindo de Alexandria, no Egito, um judeu chamado Apolo. Era um orador eloquente que conhecia bem as Escrituras. 
ACT.18.25	Tinha sido instruído no caminho do Senhor e ensinava a respeito de Jesus com profundo entusiasmo
ACT.18.26	Quando o ouviram falar corajosamente na sinagoga, Priscila e Áquila o chamaram de lado e lhe explicaram com mais exatidão o caminho de Deus.
ACT.18.27	Apolo queria percorrer a Acaia, e os irmãos de Éfeso o incentivaram. Escreveram uma carta aos discípulos de lá, pedindo que o recebessem bem. Ao chegar, foi de grande ajuda àqueles que, pela graça, haviam crido, 
ACT.18.28	pois, em debates públicos, refutava os judeus com fortes argumentos. Usando as Escrituras, demonstrava-lhes que Jesus é o Cristo.
ACT.19.1	Enquanto Apolo estava em Corinto, Paulo viajou pelas regiões do interior até chegar a Éfeso, no litoral, onde encontrou alguns discípulos. 
ACT.19.2	Ele lhes perguntou: “Vocês receberam o Espírito Santo quando creram?”.
ACT.19.2	“Não”, responderam eles. “Nem sequer ouvimos que existe o Espírito Santo.”
ACT.19.3	“Então que batismo vocês receberam?”, perguntou ele.
ACT.19.3	“O batismo de João”, responderam.
ACT.19.4	Paulo disse: “João batizava com o batismo de arrependimento, dizendo ao povo que cresse naquele que viria depois, isto é, em Jesus”.
ACT.19.5	Assim que ouviram isso, foram batizados em nome do Senhor Jesus. 
ACT.19.6	Paulo lhes impôs as mãos e o Espírito Santo veio sobre eles, e falaram em línguas e profetizaram. 
ACT.19.7	Eram ao todo uns doze homens.
ACT.19.8	Em seguida, Paulo foi à sinagoga e ali pregou corajosamente durante três meses, argumentando de modo convincente sobre o reino de Deus. 
ACT.19.9	Mas alguns deles se mostraram endurecidos, rejeitaram a mensagem e falaram publicamente contra o Caminho. Paulo, então, deixou a sinagoga e levou consigo os discípulos, passando a realizar discussões diárias na escola de Tirano. 
ACT.19.10	Isso continuou durante os dois anos seguintes, e gente de toda a província da Ásia, tanto judeus como gregos, ouviu a palavra do Senhor.
ACT.19.11	Deus concedeu a Paulo o poder de realizar milagres extraordinários. 
ACT.19.12	Quando lenços ou aventais usados por ele eram colocados sobre enfermos, estes eram curados de suas doenças e deles saíam espíritos malignos.
ACT.19.13	Alguns judeus viajavam pelas cidades expulsando espíritos malignos. Tentavam usar o nome do Senhor Jesus, dizendo: “Ordeno que saia em nome de Jesus, a quem Paulo anuncia!”. 
ACT.19.14	Os homens que faziam isso eram os sete filhos de Ceva, um dos principais sacerdotes. 
ACT.19.15	Certa ocasião, o espírito maligno respondeu: “Eu conheço Jesus e conheço Paulo, mas quem são vocês?”. 
ACT.19.16	O homem possuído pelo espírito maligno saltou em cima deles e os atacou com tanta violência que fugiram da casa, despidos e feridos.
ACT.19.17	A notícia do ocorrido se espalhou rapidamente por toda a cidade de Éfeso, tanto entre judeus como entre gregos, e sobre eles veio um temor reverente, e o nome do Senhor Jesus era engrandecido. 
ACT.19.18	Muitos dos que creram confessaram suas obras pecaminosas. 
ACT.19.19	Vários deles, que haviam praticado feitiçaria, trouxeram seus livros de encantamentos e os queimaram publicamente. O valor dos livros totalizou cinquenta mil moedas de prata.
ACT.19.20	Assim, a mensagem a respeito do Senhor se espalhou amplamente e teve efeito poderoso.
ACT.19.21	Depois disso, Paulo se sentiu impelido pelo Espírito
ACT.19.22	Então, enviou adiante dele à Macedônia dois assistentes, Timóteo e Erasto, e permaneceu um pouco mais na província da Ásia.
ACT.19.23	Por essa época, houve enorme tumulto em Éfeso por causa do Caminho. 
ACT.19.24	Começou com Demétrio, ourives que fabricava modelos de prata do templo da deusa grega Ártemis
ACT.19.25	Ele os reuniu a outros que trabalhavam em ofícios semelhantes e disse:
ACT.19.25	“Senhores, vocês sabem que nossa prosperidade vem deste empreendimento. 
ACT.19.26	Mas, como vocês viram e ouviram, esse sujeito, Paulo, convenceu muita gente de que deuses feitos por mãos humanas não são deuses de verdade. Fez isso não apenas aqui em Éfeso, mas em toda a província. 
