GEN.1.2	A terra, porém, era 
JHN.6.71	Falava de Judas, 
JHN.7.1	Depois disso, 
JHN.7.2	Ora, a Festa dos judeus, que é a 
JHN.7.3	Disseram-lhe, então, 
JHN.7.4	porque ninguém faz coisa alguma em oculto, quando procura ser conhecido. Já que fazes essas coisas, manifesta-te ao mundo. 
JHN.7.5	Pois nem seus 
JHN.7.6	Disse-lhes Jesus: 
JHN.7.7	O mundo não vos pode odiar; mas a mim odeia, porque eu dou dele testemunho, que 
JHN.7.8	Subi vós à festa; eu não subo ainda a essa festa, porque 
JHN.7.9	Tendo-lhes dito isso, ficou na Galileia.
JHN.7.10	Mas, quando seus irmãos já tinham ido à festa, então, foi ele também, não publicamente, mas como em secreto. 
JHN.7.11	Procurando-o, então, os 
JHN.7.12	Era grande a murmuração que dele se fazia entre as multidões. 
JHN.7.13	Entretanto, ninguém falava dele abertamente, 
JHN.7.14	Estando a festa já em meio, subiu Jesus ao templo e pôs-se a 
JHN.7.15	Maravilharam-se, então, os judeus, dizendo: Como sabe este 
JHN.7.16	Jesus respondeu-lhes: 
JHN.7.17	Se alguém quiser fazer a vontade de Deus, há de saber se o ensino é dele ou se eu falo por mim mesmo. 
JHN.7.18	Quem fala por si mesmo 
JHN.7.19	Não vos deu Moisés a Lei? No entanto, nenhum de vós a cumpre. Por que 
JHN.7.20	Respondeu o povo: 
JHN.7.21	Replicou-lhes Jesus: 
JHN.7.22	Moisés vos deu a circuncisão (se bem que ela não venha de Moisés, mas dos 
JHN.7.23	Pois bem: 
JHN.7.24	Não julgueis pela aparência, mas julgai segundo a reta justiça.
JHN.7.25	Diziam alguns de Jerusalém: Não é este aquele a quem procuram tirar a vida? 
JHN.7.26	Eis que ele fala abertamente, e nada lhe dizem. 
JHN.7.27	Nós, todavia, 
JHN.7.28	Então, Jesus levantou a voz no templo, 
JHN.7.29	Eu o conheço, porque 
JHN.7.30	Procuravam, então, prendê-lo; mas ninguém pôs as mãos nele, porque ainda 
JHN.7.31	Mas 
JHN.7.32	Os fariseus ouviram murmurar a multidão essas coisas a respeito dele, e os principais sacerdotes e os fariseus mandaram 
JHN.7.33	Mas disse Jesus: 
JHN.7.34	Procurar-me-eis e não me achareis; e, onde eu estiver, vós não podeis ir. 
JHN.7.35	Perguntaram, pois, 
JHN.7.36	Que palavras são estas que ele disse: Procurar-me-eis e não me achareis; e onde eu estiver, vós não podeis ir?
JHN.7.38	Quem crê em mim, 
JHN.7.39	Disse isso 
JHN.7.40	Então, alguns dentre o povo que tinham ouvido estas palavras diziam: Este homem é realmente 
JHN.7.41	outros: Este é o Cristo; outros, porém, perguntavam: Pois da Galileia é que vem o Cristo? 
JHN.7.42	Não declarou a Escritura que o Cristo vem da 
JHN.7.43	Assim, 
JHN.7.44	alguns queriam prendê-lo, mas ninguém lhe pôs as mãos.
JHN.7.45	Voltaram, então, 
JHN.7.46	Responderam os oficiais: 
JHN.7.47	Replicaram-lhes os fariseus: Estais vós também 
JHN.7.48	Porventura, creu nele alguma 
JHN.7.49	Mas este povo que não entende a Lei é amaldiçoado. 
JHN.7.50	Nicodemos, um deles, que antes fora ter com Jesus, perguntou-lhes: 
JHN.7.51	Porventura, julga a nossa lei a alguém, sem primeiro ouvi-lo e saber o que ele faz? 
JHN.7.52	Eles lhe responderam: És tu também 
JHN.7.53	[
JHN.8.1	mas Jesus foi para o 
JHN.8.2	De madrugada, voltou ao templo, e todo o povo ia ter com ele; e Jesus, 
JHN.8.3	Os escribas e os fariseus trouxeram uma mulher apanhada em adultério, puseram-na no meio de todos 
JHN.8.4	e disseram a Jesus: Mestre, esta mulher tem sido apanhada em flagrante adultério. 
JHN.8.5	Moisés nos ordenou na Lei que tais mulheres sejam apedrejadas; tu, pois, que dizes? 
JHN.8.6	Isso diziam, 
JHN.8.7	Como eles insistissem na pergunta, 
JHN.8.8	Tornando a abaixar-se, continuou a escrever no chão. 
JHN.8.9	Mas, ouvindo essa resposta, foram saindo um a um, começando pelos mais velhos, ficando só Jesus e a mulher no lugar em que estava. 
JHN.8.10	Então, 
JHN.8.11	Respondeu ela: Ninguém, Senhor. Disse Jesus: 
JHN.8.12	Então, Jesus tornou a falar-lhes, dizendo: 
JHN.8.13	Disseram-lhe os fariseus: 
JHN.8.14	Respondeu-lhes Jesus: 
JHN.8.15	Vós julgais segundo a carne, 
JHN.8.16	E, se eu julgo, o meu juízo é verdadeiro; porque não estou só, mas o Pai, que me enviou, está comigo. 
JHN.8.17	Na vossa Lei está escrito que o testemunho de 
JHN.8.18	Eu dou testemunho de mim, 
JHN.8.19	Estes lhe perguntaram: Onde está teu Pai? Respondeu Jesus: Não me conheceis a mim, nem a meu Pai; 
JHN.8.20	Proferiu ele essas palavras 
JHN.8.21	Disse-lhes outra vez: Eu vou retirar-me, 
JHN.8.22	Então, diziam 
JHN.8.23	Disse-lhes Jesus: Vós 
JHN.8.24	Por isso, eu vos disse que morrereis em vossos pecados; porque, se não crerdes 
JHN.8.25	Perguntaram-lhe, então: Quem és tu? Respondeu-lhes Jesus: Perguntais aquilo que vos tenho dito desde o princípio? 
JHN.8.26	Muitas coisas tenho a falar e a julgar acerca de vós; 
JHN.8.27	Eles não perceberam que ele lhes falava do Pai. 
JHN.8.28	Jesus, pois, continuou: Quando tiverdes 
JHN.8.29	Quem me enviou está comigo; 
JHN.8.30	Falando essas coisas, 
JHN.8.31	Disse, pois, Jesus aos judeus que o haviam crido: 
JHN.8.32	conhecereis a verdade, 
JHN.8.33	Eles lhe responderam: 
JHN.8.34	Replicou-lhes Jesus: Em verdade, em verdade vos digo: 
JHN.8.35	O escravo não fica para sempre na casa; 
JHN.8.36	Se, pois, o Filho 
JHN.8.37	Sei que sois descendência de 
JHN.8.38	Eu falo o que tenho visto na presença de meu Pai; e vós fazeis o que ouvistes de 
JHN.8.39	Responderam-lhe eles: Nós somos filhos de Abraão. Disse-lhes Jesus: 
JHN.8.40	mas agora procurais tirar-me a vida, a mim que vos tenho 
JHN.8.41	Vós fazeis as obras de vosso pai. Responderam-lhe eles: Nós não somos bastardos; 
JHN.8.42	Replicou-lhes Jesus: Se Deus fosse vosso pai, 
JHN.8.43	Por que não compreendeis a 
JHN.8.44	Vós sois 
JHN.8.45	Mas porque 
JHN.8.46	Qual de vós me convence de pecado? Se digo a verdade, porque não me credes? 
JHN.8.47	Quem é de Deus ouve as palavras de Deus; por isso, vós não me ouvis, porque não sois de Deus. 
JHN.8.48	Responderam-lhe 
JHN.8.49	Replicou Jesus: Eu não tenho demônio; mas honro a meu Pai, e vós me desonrais. 
JHN.8.50	Eu não busco a minha glória; há quem a busque e julgue. 
JHN.8.51	Em verdade, em verdade vos digo: se alguém 
JHN.8.52	Disseram-lhe os judeus: Agora, estamos certos de que estás possesso de demônio. Abraão morreu, e também os profetas, e tu dizes: Se alguém guardar a minha palavra, nunca jamais 
JHN.8.53	Porventura, és tu maior do que nosso pai Abraão, que morreu? Também os profetas morreram. Quem pretendes tu ser? 
JHN.8.54	Respondeu Jesus: Se 
JHN.8.55	entretanto, 
JHN.8.56	Vosso pai Abraão 
JHN.8.57	Perguntaram-lhe os judeus: Ainda não tens cinquenta anos e viste a Abraão? 
JHN.8.58	Respondeu-lhes Jesus: Em verdade, em verdade vos digo: antes que Abraão fosse feito, 
JHN.8.59	Então, 
JHN.9.1	Jesus, ao passar, viu um homem cego de nascença. 
JHN.9.2	Perguntaram-lhe seus discípulos: 
JHN.9.3	Respondeu Jesus: Nem ele pecou, nem seus pais, mas 
JHN.9.4	É necessário que façamos as obras do que me enviou, 
JHN.9.5	Estando eu no mundo, sou 
JHN.9.6	Tendo assim falado, 
JHN.9.7	dizendo: Vai lavar-te no 
JHN.9.8	Então, os vizinhos e os que dantes o conheciam de vista, como mendigo, perguntavam: Não é este o que se 
JHN.9.9	É ele mesmo, respondiam uns; não é, mas é parecido com ele, diziam outros. Porém ele dizia: Sou eu mesmo. 
JHN.9.10	Perguntaram-lhe, pois: Como te foram abertos os olhos? 
JHN.9.11	Respondeu ele: Aquele homem chamado Jesus fez lodo, ungiu-me os olhos e disse-me: Vai a 
JHN.9.12	Eles lhe perguntaram: Onde está ele? Respondeu: Não sei.
JHN.9.13	Levaram aos fariseus o que fora cego. 
JHN.9.14	Ora, era sábado o dia em que Jesus fez lodo e lhe abriu os olhos. 
JHN.9.15	Então, os fariseus, por sua vez, perguntaram-lhe como recebeu a vista. Ele respondeu: Aplicou lodo aos meus olhos, lavei-me e agora vejo. 
JHN.9.16	Por isso, alguns dos fariseus diziam: 
JHN.9.17	Tornaram a perguntar ao cego: Que dizes tu a respeito dele, visto que te abriu os olhos? 
JHN.9.18	Mas 
JHN.9.19	e os interrogaram: É este vosso filho, que vós dizeis ter nascido cego? Como, pois, vê agora? 
JHN.9.20	Responderam seus pais: Sabemos que este é nosso filho e que nasceu cego; 
JHN.9.21	mas como agora vê não sabemos; ou quem lhe abriu os olhos nós não sabemos. Interrogai-o, já tem idade; ele mesmo falará por si. 
JHN.9.22	Isso disseram seus pais, porque 
JHN.9.23	Por isso, disseram seus pais: 
JHN.9.24	Então, chamaram pela segunda vez o homem que fora cego e lhe disseram: 
JHN.9.25	Ele respondeu: Se é pecador, não sei; uma coisa sei: eu era cego e agora vejo. 
JHN.9.26	Perguntaram-lhe, pois: Que é o que te fez? Como te abriu os olhos? 
JHN.9.27	Ele lhes respondeu: 
JHN.9.28	Injuriaram-no e disseram: Discípulo dele és tu; 
JHN.9.29	Nós sabemos que Deus falou a Moisés, mas este não 
JHN.9.30	Respondeu-lhes o homem: É maravilhoso que não saibais donde ele é; contudo, ele me abriu os olhos. 
JHN.9.31	Sabemos que Deus não ouve a pecadores; mas, se alguém temer a 
JHN.9.32	Desde que há mundo, nunca se ouviu que alguém abrisse os olhos a um cego de nascença. 
JHN.9.33	Se esse homem não fosse de Deus, nada poderia fazer. 
JHN.9.34	Eles lhe replicaram: 
JHN.9.35	Soube Jesus que o haviam lançado fora e, encontrando-o, lhe perguntou: Crês tu no Filho do Homem? 
JHN.9.36	Quem é ele, Senhor, para que eu creia nele? — respondeu-lhe o homem. 
JHN.9.37	Disse-lhe Jesus: Já o viste, 
JHN.9.38	Ele disse: Creio, Senhor; 
JHN.9.39	Jesus prosseguiu: Eu vim a este mundo 
JHN.9.40	Ouvindo isso alguns dos fariseus que estavam com ele, perguntaram-lhe: 
JHN.9.41	Respondeu-lhes Jesus: 
JHN.10.1	Em verdade, em verdade vos digo: o que não entra pela porta no aprisco das ovelhas, mas sobe por outra parte, este é 
JHN.10.2	mas o que entra pela porta, este é o 
JHN.10.3	A este abre o porteiro, e as ovelhas ouvem a 
JHN.10.4	Depois de fazer sair todas as que lhe pertencem, vai adiante delas, e elas o seguem, porque conhecem a 
JHN.10.5	mas de modo algum seguirão o estranho; antes, fugirão dele, porque não conhecem a voz dos estranhos. 
JHN.10.6	Jesus lhes fez essa 
JHN.10.7	Tornou, pois, Jesus a dizer: Em verdade, em verdade vos digo: eu sou a 
JHN.10.8	Todos os que vieram antes de mim são 
JHN.10.9	Eu sou a porta. Se alguém entrar por mim, será salvo; e entrará, sairá e achará pastagem. 
JHN.10.10	O ladrão não vem senão para furtar, matar e destruir; eu vim para que elas 
JHN.10.11	Eu sou o bom pastor. O bom pastor 
JHN.10.12	O que é mercenário e não 
JHN.10.13	O mercenário foge, porque é mercenário e não se importa com as ovelhas. 
JHN.10.14	Eu sou o bom pastor, 
JHN.10.15	assim como 
JHN.10.16	Tenho também 
JHN.10.17	Por isso, o Pai me ama, porque eu dou a minha vida para a reassumir. 
JHN.10.18	Ninguém a tira de mim, mas eu de mim mesmo a dou. Tenho direito de a dar e tenho direito de a reassumir; 
JHN.10.20	Muitos deles diziam: Ele 
JHN.10.21	Outros diziam: Essas palavras não são de um 
JHN.10.22	Então, celebrava-se em Jerusalém a Festa da Dedicação. 
JHN.10.23	Era o inverno. Jesus passeava no templo, no 
JHN.10.24	Cercaram-no 
JHN.10.25	Respondeu-lhes Jesus: 
JHN.10.26	mas vós não credes, porque 
JHN.10.27	As minhas ovelhas 
JHN.10.28	Eu lhes dou 
JHN.10.29	Aquilo que meu Pai me tem dado é maior do que tudo; e ninguém pode arrebatá-lo da mão do Pai. 
JHN.10.30	Eu e meu Pai somos um. 
JHN.10.31	Os judeus outra vez 
JHN.10.32	Disse-lhes Jesus: Mostrei-vos muitas obras boas da parte do Pai; por qual dessas obras ides apedrejar-me. 
JHN.10.33	Responderam-lhe os judeus: Não te vamos apedrejar por uma boa obra, mas por 
JHN.10.34	Replicou-lhes Jesus: Não está escrito na 
JHN.10.35	Se ele chamou deuses àqueles a quem foi dirigida a palavra de Deus, e a Escritura não pode falhar, 
JHN.10.36	daquele a quem o Pai 
JHN.10.37	Se não faço as obras de meu Pai, não me creiais; 
JHN.10.38	mas, se as faço, embora não me creiais, crede 
JHN.10.39	De novo, procuravam prendê-lo; mas 
JHN.10.40	Retirou-se, 
JHN.10.41	Muitos foram ter com ele e diziam: João, na verdade, não fez 
JHN.10.42	Muitos ali creram nele.
JHN.11.1	Estava doente um homem chamado Lázaro, de 
JHN.11.2	Maria, cujo irmão Lázaro se achava doente, era a que 
JHN.11.3	Mandaram, pois, as irmãs de Lázaro dizer a Jesus: 
JHN.11.4	Ao saber isso, disse Jesus: Esta doença não é para morte, mas para a 
JHN.11.5	Ora, Jesus estimava a 
JHN.11.6	Tendo sabido, pois, que este estava doente, demorou-se ainda dois dias no lugar onde se achava. 
JHN.11.7	Então, passado isso, disse aos discípulos: 
JHN.11.8	Perguntaram estes: 
JHN.11.9	Respondeu Jesus: 
JHN.11.10	mas, se alguém andar de noite, tropeça, porque a luz não está nele. 
JHN.11.11	Assim falou e depois lhes disse: Nosso 
JHN.11.12	Disseram-lhe, então, os discípulos: Senhor, se dorme, ficará bom. 
JHN.11.13	Jesus tinha falado da morte de Lázaro; mas eles supunham que falasse do repouso do sono. 
JHN.11.14	Disse-lhes, pois, Jesus abertamente: Lázaro morreu; 
JHN.11.15	e, por vossa causa, folgo de não me achar lá, para que creiais; mas vamos ter com ele. 
JHN.11.16	Então, 
JHN.11.17	Chegando Jesus, achou que estava Lázaro no túmulo havia 
JHN.11.18	Ora, 
JHN.11.19	Muitos dos 
JHN.11.20	Marta, quando soube que vinha Jesus, foi encontrá-lo; 
JHN.11.21	Disse, então, Marta a Jesus: 
JHN.11.22	E mesmo agora sei que 
JHN.11.23	Respondeu-lhe Jesus: Teu irmão há de ressuscitar. 
JHN.11.24	Eu sei, replicou Marta, que ele há de ressuscitar na ressurreição, no último dia. 
JHN.11.25	Disse-lhe Jesus: 
JHN.11.26	e todo o que vive e crê em mim 
JHN.11.27	Sim, Senhor, respondeu ela, eu creio que tu és 
JHN.11.28	Tendo dito isso, 
JHN.11.29	Ela, ouvindo isso, levantou-se depressa e foi ter com ele 
JHN.11.30	(pois Jesus não havia ainda entrado na aldeia, mas 
JHN.11.31	Os judeus que estavam com Maria em casa 
JHN.11.32	Quando Maria chegou ao lugar onde estava Jesus, ao vê-lo, lançou-se-lhe aos pés, dizendo: 
JHN.11.33	Jesus, vendo-a chorar e chorar também 
JHN.11.34	e perguntou: Onde o pusestes? Eles lhe responderam: Senhor, vem e vê. 
JHN.11.35	Jesus 
JHN.11.36	Os judeus, então, diziam: Vede como ele 
JHN.11.37	Mas alguns deles disseram: Não podia este homem, que 
JHN.11.38	Jesus, 
JHN.11.39	Jesus disse: Tirai a pedra. Disse-lhe Marta, irmã do morto: Senhor, ele já cheira mal; porque está morto há 
JHN.11.40	Respondeu-lhe Jesus: 
JHN.11.41	Tiraram, então, a pedra. Jesus, 
JHN.11.42	Eu sabia que sempre me ouves, mas assim falei 
JHN.11.43	Tendo assim falado, clamou em alta voz: Lázaro, sai para fora! 
JHN.11.44	Saiu aquele que estivera morto, 
JHN.11.46	Alguns deles, porém, foram ter com os 
JHN.11.47	Então, os principais sacerdotes e os fariseus 
JHN.11.48	Se o deixarmos assim, todos crerão nele; e virão os romanos e nos tirarão tanto o nosso 
JHN.11.49	Caifás, porém, um dentre eles, 
JHN.11.50	nem considerais que 
JHN.11.51	Ora, ele não disse isso por si mesmo; mas, sendo sumo sacerdote daquele ano, 
JHN.11.52	e não somente pela nação, mas também para 
JHN.11.53	Desde aquele dia, 
JHN.11.54	Assim, já não 
JHN.11.55	Estava próxima a 
JHN.11.56	Procuravam a Jesus e perguntavam uns aos outros, estando no templo: Que vos parece? Não virá ele à festa? 
JHN.11.57	Ora, os 
JHN.12.1	Seis dias antes da 
JHN.12.2	Deram-lhe aí uma ceia, e nela 
JHN.12.3	Então, Maria, tomando uma libra de perfume de 
JHN.12.4	Judas Iscariotes, um de seus discípulos, aquele que o havia de trair, perguntou: 
JHN.12.5	Por que não se vendeu este perfume por trezentos denários
JHN.12.6	Isso disse ele, não porque cuidasse dos pobres, mas porque era ladrão e, 
JHN.12.7	Respondeu Jesus: Deixai-a, a fim de que guarde isso para 
JHN.12.8	porque os pobres, sempre os tendes convosco, mas a mim nem sempre me tendes.
JHN.12.9	Soube uma 
JHN.12.10	Mas os principais sacerdotes resolveram também tirar a vida a Lázaro, 
JHN.12.11	pois 
JHN.12.12	No dia seguinte, 
JHN.12.13	tomaram ramos de palmeiras e saíram ao seu encontro, clamando: 
JHN.12.14	Jesus, tendo achado um jumentinho, montou nele, 
JHN.12.15	Não temas, filha de Sião, eis que vem o teu Rei, montado em um filho de jumenta. 
JHN.12.16	Seus discípulos, a princípio, não compreenderam tudo isso; mas, quando Jesus 
JHN.12.17	A multidão que estava com ele, quando chamara a Lázaro do túmulo e o levantara dentre os mortos, dava testemunho. 
JHN.12.18	Por isso, também a multidão lhe saiu ao encontro, 
JHN.12.19	De sorte que os fariseus disseram entre si: Vedes que nada conseguis; eis aí após ele foi todo o mundo.
JHN.12.20	Entre os que tinham ido para adorar na 
JHN.12.21	estes, pois, foram ter com 
JHN.12.22	Filipe foi dizê-lo a André, e André e Filipe foram-no dizer a Jesus. 
JHN.12.23	Disse-lhes Jesus: 
JHN.12.24	Em verdade, em verdade vos digo: 
JHN.12.25	Quem ama a sua vida perdê-la-á; mas quem 
JHN.12.26	Se alguém me servir, siga-me, 
JHN.12.27	Agora, está perturbada a minha alma, e que direi? 
JHN.12.28	Pai, glorifica o teu nome. Veio, então, do céu 
JHN.12.29	A multidão, pois, que ali estava e a ouvira, dizia ter havido um trovão; outros diziam que 
JHN.12.30	Disse Jesus: 
JHN.12.31	Agora, é o juízo deste mundo; agora, será expulso 
JHN.12.32	e eu, quando 
JHN.12.33	Isso dizia, 
JHN.12.34	Replicou o povo: Nós ouvimos 
JHN.12.35	Respondeu-lhes Jesus: 
JHN.12.36	Enquanto tendes a luz, 
JHN.12.36	Assim falou Jesus e, tendo-se retirado, 
JHN.12.37	Embora tivesse feito tantos 
JHN.12.38	para que se cumprisse a palavra proferida pelo profeta Isaías:
JHN.12.38	E a quem foi revelado o braço do Senhor?
JHN.12.39	Não podiam crer, porque, como diz ainda Isaías:
JHN.12.40	para que não vejam com os seus olhos, e entendam no coração,
JHN.12.40	e se convertam,
JHN.12.40	e eu os sare.
JHN.12.41	Isso disse Isaías, porque 
JHN.12.42	Contudo, muitos das próprias 
JHN.12.43	porque 
JHN.12.44	Clamou Jesus, dizendo: 
JHN.12.45	e quem me vê vê aquele que me enviou. 
JHN.12.46	Eu, que sou a luz, vim ao mundo, a fim de que todo o que crê em mim não permaneça nas trevas. 
JHN.12.47	Se alguém ouvir as minhas palavras e não as guardar, eu não o julgo; porque 
JHN.12.48	Quem me despreza e não recebe as minhas palavras tem quem o julgue; 
JHN.12.49	Pois eu por mim mesmo não falei, mas o Pai, que me enviou, 
JHN.12.50	Eu sei que 
JHN.13.1	Antes da festa da 
JHN.13.2	Durante a ceia, como o 
JHN.13.3	sabendo este que o Pai tudo pusera nas suas mãos e que 
JHN.13.4	levantou-se da mesa, tirou as suas vestes e, tomando uma toalha, 
JHN.13.5	depois, deitou água na bacia e começou 
JHN.13.6	Chegando a Simão Pedro, perguntou-lhe este: Senhor, tu a mim me lavas os pés? 
JHN.13.7	Respondeu-lhe Jesus: O que eu faço, tu não o sabes agora, mas entendê-lo-ás 
JHN.13.8	Disse-lhe Pedro: Não me lavarás os pés jamais. Replicou-lhe Jesus: Se eu não te lavar, 
JHN.13.9	Disse-lhe Simão Pedro: Senhor, não somente os meus pés, mas também as mãos e a cabeça. 
JHN.13.10	Declarou-lhe Jesus: Aquele que já se banhou não tem necessidade de lavar senão os pés, porém está todo limpo; 
JHN.13.11	Pois 
JHN.13.12	Depois de lhes ter lavado os pés, 
JHN.13.13	Vós me chamais 
JHN.13.14	Se eu, pois, sendo Senhor e Mestre, vos lavei os pés, também vós deveis lavar os pés uns aos outros; 
JHN.13.15	porque vos dei 
JHN.13.16	Em verdade, em verdade vos digo que 
JHN.13.17	Se sabeis essas coisas, 
JHN.13.18	Não falo de todos vós; eu conheço aqueles que 
JHN.13.19	Desde já, 
JHN.13.20	Em verdade, em verdade vos digo: 
JHN.13.21	Dito isso, 
JHN.13.22	Os discípulos olharam uns para os outros, sem saber a quem ele se referia. 
JHN.13.23	Estava reclinado no 
JHN.13.24	A este fez Simão Pedro um sinal e pediu-lhe que dissesse a quem ele se referia. 
JHN.13.25	Aquele discípulo, 
JHN.13.26	Respondeu Jesus: É aquele a quem eu der o pedaço de pão molhado. Tendo, pois, molhado o pedaço de pão, deu-o a Judas, 
JHN.13.27	Após o bocado, 
JHN.13.28	Nenhum dos que estavam à mesa percebeu a que fim lhe dissera isso; 
JHN.13.29	pois, como Judas era quem 
JHN.13.30	Ele, tendo recebido o pedaço de pão, saiu imediatamente. 
JHN.13.31	Depois de ter ele saído, disse Jesus: Agora, é 
JHN.13.32	se Deus é glorificado nele, também 
JHN.13.33	Filhinhos, 
JHN.13.34	Um 
JHN.13.35	Nisto conhecerão todos que sois meus discípulos: se tiverdes amor uns aos outros.
JHN.13.36	Perguntou-lhe Simão Pedro: Senhor, para onde vais? Respondeu Jesus: 
JHN.13.37	Replicou-lhe Pedro: Senhor, por que não te posso seguir agora? 
JHN.13.38	Respondeu Jesus: Darás a tua vida por mim? Em verdade, em verdade te digo que 
JHN.14.2	Na casa de meu Pai há muitas moradas. Se assim não fora, eu vo-lo teria dito. Pois 
JHN.14.3	depois que eu for e vos preparar lugar, 
JHN.14.4	Sabeis o caminho para onde eu vou. 
JHN.14.5	Disse-lhe 
JHN.14.6	Respondeu-lhe Jesus: Eu sou o 
JHN.14.7	Se vós me tivésseis conhecido, teríeis conhecido também a meu Pai. Desde agora o 
JHN.14.8	Replicou-lhe Filipe: Senhor, mostra-nos o Pai, e isso nos basta. 
JHN.14.9	Disse-lhe Jesus: Há tanto tempo que estou convosco, e não me tens conhecido, Filipe? 
JHN.14.10	Não crês que 
JHN.14.11	Crede-me que eu estou no Pai, e o Pai, em mim; ou, senão, 
JHN.14.12	Em verdade, em verdade vos digo que aquele que crê em mim, este fará também as obras que eu faço e fará ainda 
JHN.14.13	e 
JHN.14.14	Se me pedirdes qualquer coisa 
JHN.14.15	Se me amardes, guardareis os meus mandamentos. 
JHN.14.16	Eu rogarei ao Pai, e ele vos dará um outro 
JHN.14.17	o 
JHN.14.18	Não vos deixarei órfãos; 
JHN.14.19	Ainda por um pouco e depois 
JHN.14.20	Naquele dia, vós conhecereis que 
JHN.14.21	Aquele que tem os meus mandamentos e os guarda, esse é o que me ama; e 
JHN.14.22	Disse-lhe 
JHN.14.23	Respondeu Jesus: Se alguém me amar, 
JHN.14.24	Quem me não ama 
JHN.14.25	Eu vos tenho falado essas coisas, estando ainda convosco; 
JHN.14.26	mas 
JHN.14.27	A paz vos deixo, a minha paz vos dou; eu não vo-la dou como a dá o mundo. 
JHN.14.28	Ouvistes que eu vos disse: Vou 
JHN.14.29	Eu vo-lo tenho dito agora, antes que aconteça, para que, quando acontecer, vós creiais. 
JHN.14.30	Já não falarei muito convosco, porque vem 
JHN.14.31	mas isso se dá para que o mundo saiba que amo o Pai e que faço 
JHN.15.2	Toda vara em mim que não dá fruto, ele a corta; e toda vara que dá fruto, ele a limpa, para que o dê mais abundante. 
JHN.15.3	Vós já estais limpos pela palavra que vos tenho falado; 
JHN.15.4	permanecei em mim, e eu permanecerei em vós. Como a vara não pode dar fruto de si mesma, se não permanecer na videira, assim nem vós o podeis dar, se não permanecerdes em mim. 
JHN.15.5	Eu sou a videira; vós sois as varas. Aquele que permanece em mim e no qual eu permaneço 
JHN.15.6	Se alguém não permanecer em mim, é 
JHN.15.7	Se permanecerdes em mim, e as minhas palavras permanecerem em vós, 
JHN.15.8	Nisso é glorificado meu Pai, em que deis muito fruto; e assim vos 
JHN.15.9	Como 
JHN.15.10	Se guardardes os meus mandamentos, permanecereis no meu amor, assim como 
JHN.15.11	Eu vos tenho dito essas coisas a fim de que o meu gozo esteja em vós, e o 
JHN.15.12	Este é 
JHN.15.13	Ninguém tem 
JHN.15.14	Vós sois meus 
JHN.15.15	Já não vos chamo servos, porque o servo não sabe o que faz seu senhor; mas tenho-vos chamado amigos, porque vos revelei 
JHN.15.16	Vós não me escolhestes a mim, mas eu vos escolhi a vós e vos designei para que vades e 
JHN.15.17	Isto 
JHN.15.18	Se o mundo vos aborrece, sabei que primeiro do que a vós me tem aborrecido a mim. 
JHN.15.19	Se vós fôsseis do mundo, o mundo amaria o que era seu; mas, como não sois do mundo, antes, vos 
JHN.15.20	Lembrai-vos das palavras que eu vos disse: 
JHN.15.21	Mas todas essas coisas vos farão 
JHN.15.22	Se eu não viera e não lhes falara, não teriam eles cometido pecado; agora, porém, não têm desculpa do seu pecado. 
JHN.15.23	Aquele que me aborrece aborrece também a meu Pai. 
JHN.15.24	Se eu não tivesse feito entre eles 
JHN.15.25	Mas isso é para que se cumpra a palavra que está escrita na sua 
JHN.15.26	Quando, porém, vier o 
JHN.15.27	e vós também dareis testemunho, porque estais comigo 
JHN.16.1	Eu tenho dito 
JHN.16.2	Expulsar-vos-ão das sinagogas; ainda mais 
JHN.16.3	Isso farão, 
JHN.16.4	Ora, eu vos tenho dito essas coisas, 
JHN.16.5	Agora, porém, 
JHN.16.6	Antes, porque vos tenho falado essas coisas, 
JHN.16.7	convém-vos que eu vá. Pois, se eu não for, não virá a vós o 
JHN.16.8	Quando ele vier, convencerá o mundo de pecado, de justiça e de juízo; 
JHN.16.9	de pecado, 
JHN.16.10	de 
JHN.16.11	de juízo, porque o príncipe deste mundo está julgado. 
JHN.16.12	Tenho ainda muito que vos dizer, mas não o podeis suportar agora; 
JHN.16.13	quando vier, porém, aquele 
JHN.16.14	Ele me 
JHN.16.15	Tudo o que o Pai tem é meu; por isso eu vos disse que ele receberá do que é meu e vo-lo anunciará. 
JHN.16.16	Um pouco 
JHN.16.17	Então alguns de seus discípulos perguntaram entre si: Que vem a ser isso que ele nos diz: 
JHN.16.18	Diziam, pois: Que vem a ser esse “um pouco”? Não compreendemos o que está ele dizendo. 
JHN.16.19	Jesus, percebendo que desejavam interrogá-lo, perguntou-lhes: Indagais entre vós sobre o que vos disse: Um pouco e já não me vereis, e outra vez um pouco e ver-me-eis? 
JHN.16.20	Em verdade, em verdade vos digo que 
JHN.16.21	A mulher, quando dá à luz, enche-se de tristeza, porque chegou a sua hora; mas depois de nascida a criança, já não se lembra da aflição pelo gozo de haver um homem nascido ao mundo. 
JHN.16.22	Assim também vós estais agora em tristeza; mas 
JHN.16.23	Naquele dia 
JHN.16.24	Até agora nada tendes pedido em meu nome; pedi, e recebereis, para que o 
JHN.16.25	Estas coisas vos tenho falado por 
JHN.16.26	Naquele dia pedireis em meu nome, e não vos digo que eu rogarei ao Pai por vós; 
JHN.16.27	pois o Pai mesmo vos ama, visto que vós me tendes amado e 
