GEN.1.1	No princípio Deus criou os céus e a terra.
LUK.6.16	e Judas Iscariotes, que veio a ser o traidor.
LUK.6.17	Jesus desceu com eles e parou num lugar plano. Estavam ali muitos dos seus discípulos e uma imensa multidão procedente de toda a Judeia, de Jerusalém e do litoral de Tiro e de Sidom, 
LUK.6.18	que vieram para ouvi-lo e serem curados de suas doenças. Os que eram perturbados por espíritos imundos ficaram curados, 
LUK.6.19	e todos procuravam tocar nele, porque dele saía poder que curava todos.
LUK.6.20	Olhando para os seus discípulos, ele disse:
LUK.6.20	“Bem-aventurados vocês os pobres,
LUK.6.20	pois a vocês pertence o Reino de Deus.
LUK.6.21	Bem-aventurados vocês que agora têm fome,
LUK.6.21	pois serão satisfeitos.
LUK.6.21	Bem-aventurados vocês que agora choram,
LUK.6.21	pois haverão de rir.
LUK.6.22	Bem-aventurados serão vocês quando os odiarem,
LUK.6.22	expulsarem e insultarem,
LUK.6.22	e eliminarem o nome de vocês, como sendo mau,
LUK.6.22	por causa do Filho do homem.
LUK.6.23	“Regozijem-se nesse dia e saltem de alegria, porque grande é a sua recompensa no céu. Pois assim os antepassados deles trataram os profetas.
LUK.6.24	“Mas ai de vocês os ricos,
LUK.6.24	pois já receberam sua consolação.
LUK.6.25	Ai de vocês que agora têm fartura,
LUK.6.25	porque passarão fome.
LUK.6.25	Ai de vocês que agora riem,
LUK.6.25	pois haverão de se lamentar e chorar.
LUK.6.26	Ai de vocês quando todos falarem bem de vocês,
LUK.6.26	pois assim os antepassados deles trataram os falsos profetas.
LUK.6.27	“Mas eu digo a vocês que estão me ouvindo: Amem os seus inimigos, façam o bem aos que os odeiam, 
LUK.6.28	abençoem os que os amaldiçoam, orem por aqueles que os maltratam. 
LUK.6.29	Se alguém bater em você numa face, ofereça-lhe também a outra. Se alguém tirar de você a capa, não o impeça de tirar a túnica. 
LUK.6.30	Dê a todo aquele que pedir, e se alguém tirar o que pertence a você, não lhe exija que o devolva. 
LUK.6.31	Como vocês querem que os outros lhes façam, façam também vocês a eles.
LUK.6.32	“Que mérito vocês terão se amarem aos que os amam? Até os pecadores amam aos que os amam. 
LUK.6.33	E que mérito terão se fizerem o bem àqueles que são bons para com vocês? Até os pecadores agem assim. 
LUK.6.34	E que mérito terão se emprestarem a pessoas de quem esperam devolução? Até os pecadores emprestam a pecadores, esperando receber devolução integral. 
LUK.6.35	Amem, porém, os seus inimigos, façam-lhes o bem e emprestem a eles, sem esperar receber nada de volta. Então, a recompensa que terão será grande e vocês serão filhos do Altíssimo, porque ele é bondoso para com os ingratos e maus. 
LUK.6.36	Sejam misericordiosos, assim como o Pai de vocês é misericordioso.
LUK.6.37	“Não julguem e vocês não serão julgados. Não condenem e não serão condenados. Perdoem e serão perdoados. 
LUK.6.38	Deem e será dado a vocês: uma boa medida, calcada, sacudida e transbordante será dada a vocês. Pois a medida que usarem também será usada para medir vocês”.
LUK.6.39	Jesus fez também a seguinte comparação: “Pode um cego guiar outro cego? Não cairão os dois no buraco? 
LUK.6.40	O discípulo não está acima do seu mestre, mas todo aquele que for bem preparado será como o seu mestre.
LUK.6.41	“Por que você repara no cisco que está no olho do seu irmão e não se dá conta da viga que está em seu próprio olho? 
LUK.6.42	Como você pode dizer ao seu irmão: ‘Irmão, deixe-me tirar o cisco do seu olho’, se você mesmo não consegue ver a viga que está em seu próprio olho? Hipócrita, tire primeiro a viga do seu olho e então você verá claramente para tirar o cisco do olho do seu irmão.
LUK.6.43	“Nenhuma árvore boa dá fruto ruim, nenhuma árvore ruim dá fruto bom. 
LUK.6.44	Toda árvore é reconhecida por seus frutos. Ninguém colhe figos de espinheiros, nem uvas de ervas daninhas. 
LUK.6.45	O homem bom tira coisas boas do bom tesouro que está em seu coração, e o homem mau tira coisas más do mal que está em seu coração, porque a sua boca fala do que está cheio o coração.
LUK.6.46	“Por que vocês me chamam ‘Senhor, Senhor’ e não fazem o que eu digo? 
LUK.6.47	Eu mostrarei com quem se compara aquele que vem a mim, ouve as minhas palavras e as pratica. 
LUK.6.48	É como um homem que, ao construir uma casa, cavou fundo e colocou os alicerces na rocha. Quando veio a inundação, a torrente deu contra aquela casa, mas não a conseguiu abalar, porque estava bem construída. 
LUK.6.49	Mas aquele que ouve as minhas palavras e não as pratica é como um homem que construiu uma casa sobre o chão, sem alicerces. No momento em que a torrente deu contra aquela casa, ela caiu, e a sua destruição foi completa”.
LUK.7.1	Tendo terminado de dizer tudo isso ao povo, Jesus entrou em Cafarnaum. 
LUK.7.2	Ali estava o servo de um centurião, doente e quase à morte, a quem seu senhor estimava muito. 
LUK.7.3	Ele ouviu falar de Jesus e enviou-lhe alguns líderes religiosos dos judeus, pedindo-lhe que fosse curar o seu servo. 
LUK.7.4	Chegando-se a Jesus, suplicaram-lhe com insistência: “Este homem merece que lhe faças isso, 
LUK.7.5	porque ama a nossa nação e construiu a nossa sinagoga”. 
LUK.7.6	Jesus foi com eles.
LUK.7.6	Já estava perto da casa quando o centurião mandou amigos dizerem a Jesus: “Senhor, não te incomodes, pois não mereço receber-te debaixo do meu teto. 
LUK.7.7	Por isso, nem me considerei digno de ir ao teu encontro. Mas dize uma palavra, e o meu servo será curado. 
LUK.7.8	Pois eu também sou homem sujeito a autoridade e com soldados sob o meu comando. Digo a um: Vá, e ele vai; e a outro: Venha, e ele vem. Digo a meu servo: Faça isto, e ele faz”.
LUK.7.9	Ao ouvir isso, Jesus admirou-se dele e, voltando-se para a multidão que o seguia, disse: “Eu digo que nem em Israel encontrei tamanha fé”. 
LUK.7.10	Então os homens que haviam sido enviados voltaram para casa e encontraram o servo restabelecido.
LUK.7.11	Logo depois, Jesus foi a uma cidade chamada Naim, e com ele iam os seus discípulos e uma grande multidão. 
LUK.7.12	Ao se aproximar da porta da cidade, estava saindo o enterro do filho único de uma viúva; e uma grande multidão da cidade estava com ela. 
LUK.7.13	Ao vê-la, o Senhor se compadeceu dela e disse: “Não chore”.
LUK.7.14	Depois, aproximou-se e tocou no caixão, e os que o carregavam pararam. Jesus disse: “Jovem, eu digo, levante-se!” 
LUK.7.15	O jovem
LUK.7.16	Todos ficaram cheios de temor e louvavam a Deus. “Um grande profeta se levantou dentre nós”, diziam eles. “Deus interveio em favor do seu povo.” 
LUK.7.17	Essas notícias sobre Jesus espalharam-se por toda a Judeia e regiões circunvizinhas.
LUK.7.18	Os discípulos de João contaram-lhe todas essas coisas. Chamando dois deles, 
LUK.7.19	enviou-os ao Senhor para perguntarem: “És tu aquele que haveria de vir ou devemos esperar algum outro?”
LUK.7.20	Dirigindo-se a Jesus, aqueles homens disseram: “João Batista nos enviou para te perguntarmos: ‘És tu aquele que haveria de vir ou devemos esperar algum outro?’ ” 
LUK.7.21	Naquele momento Jesus curou muitos que tinham males, doenças graves e espíritos malignos, e concedeu visão a muitos que eram cegos. 
LUK.7.22	Então ele respondeu aos mensageiros: “Voltem e anunciem a João o que vocês viram e ouviram: os cegos veem, os aleijados andam, os leprosos
LUK.7.23	e feliz é aquele que não se escandaliza por minha causa”.
LUK.7.24	Depois que os mensageiros de João foram embora, Jesus começou a falar à multidão a respeito de João: “O que vocês foram ver no deserto? Um caniço agitado pelo vento? 
LUK.7.25	Ou, o que foram ver? Um homem vestido de roupas finas? Ora, os que vestem roupas esplêndidas e se entregam ao luxo estão nos palácios. 
LUK.7.26	Afinal, o que foram ver? Um profeta? Sim, eu digo a vocês, e mais que profeta. 
LUK.7.27	Este é aquele a respeito de quem está escrito:
LUK.7.27	“ ‘Enviarei o meu mensageiro à tua frente;
LUK.7.27	ele preparará o teu caminho diante de ti’
LUK.7.28	Eu digo que entre os que nasceram de mulher não há ninguém maior do que João; todavia, o menor no Reino de Deus é maior do que ele”.
LUK.7.29	Todo o povo, até os publicanos, ouvindo as palavras de Jesus, reconheceram que o caminho de Deus era justo, sendo batizados por João. 
LUK.7.30	Mas os fariseus e os peritos na lei rejeitaram o propósito de Deus para eles, não sendo batizados por João.
LUK.7.31	“A que posso, pois, comparar os homens desta geração?”, prosseguiu Jesus. “Com que se parecem? 
LUK.7.32	São como crianças que ficam sentadas na praça e gritam umas às outras:
LUK.7.32	“ ‘Nós tocamos flauta,
LUK.7.32	mas vocês não dançaram;
LUK.7.32	cantamos um lamento,
LUK.7.32	mas vocês não choraram’.
LUK.7.33	Pois veio João Batista, que jejua e não bebe
LUK.7.34	Veio o Filho do homem, comendo e bebendo, e vocês dizem: ‘Aí está um comilão e beberrão, amigo de publicanos e pecadores’. 
LUK.7.35	Mas a sabedoria é comprovada por todos os seus discípulos
LUK.7.36	Convidado por um dos fariseus para jantar, Jesus foi à casa dele e reclinou-se à mesa. 
LUK.7.37	Ao saber que Jesus estava comendo na casa do fariseu, certa mulher daquela cidade, uma pecadora, trouxe um frasco de alabastro com perfume 
LUK.7.38	e se colocou atrás de Jesus, a seus pés. Chorando, começou a molhar-lhe os pés com suas lágrimas. Depois os enxugou com seus cabelos, beijou-os e os ungiu com o perfume.
LUK.7.39	Ao ver isso, o fariseu que o havia convidado disse a si mesmo: “Se este homem fosse profeta, saberia quem nele está tocando e que tipo de mulher ela é: uma pecadora”.
LUK.7.40	Então lhe disse Jesus: “Simão, tenho algo a dizer a você”.
LUK.7.40	“Dize, Mestre”, disse ele.
LUK.7.41	“Dois homens deviam a certo credor. Um lhe devia quinhentos denários
LUK.7.42	Nenhum dos dois tinha com que lhe pagar, por isso perdoou a dívida a ambos. Qual deles o amará mais?”
LUK.7.43	Simão respondeu: “Suponho que aquele a quem foi perdoada a dívida maior”.
LUK.7.43	“Você julgou bem”, disse Jesus.
LUK.7.44	Em seguida, virou-se para a mulher e disse a Simão: “Vê esta mulher? Entrei em sua casa, mas você não me deu água para lavar os pés; ela, porém, molhou os meus pés com suas lágrimas e os enxugou com seus cabelos. 
LUK.7.45	Você não me saudou com um beijo, mas esta mulher, desde que entrei aqui, não parou de beijar os meus pés. 
LUK.7.46	Você não ungiu a minha cabeça com óleo, mas ela derramou perfume nos meus pés. 
LUK.7.47	Portanto, eu digo, os muitos pecados dela lhe foram perdoados; pois ela amou muito. Mas aquele a quem pouco foi perdoado, pouco ama”.
LUK.7.48	Então Jesus disse a ela: “Seus pecados estão perdoados”.
LUK.7.49	Os outros convidados começaram a perguntar: “Quem é este que até perdoa pecados?”
LUK.7.50	Jesus disse à mulher: “Sua fé a salvou; vá em paz”.
LUK.8.1	Depois disso Jesus ia passando pelas cidades e povoados proclamando as boas-novas do Reino de Deus. Os Doze estavam com ele, 
LUK.8.2	e também algumas mulheres que haviam sido curadas de espíritos malignos e doenças: Maria, chamada Madalena, de quem haviam saído sete demônios; 
LUK.8.3	Joana, mulher de Cuza, administrador da casa de Herodes; Susana e muitas outras. Essas mulheres ajudavam a sustentá-los com os seus bens.
LUK.8.4	Reunindo-se uma grande multidão e vindo a Jesus gente de várias cidades, ele contou esta parábola: 
LUK.8.5	“O semeador saiu a semear. Enquanto lançava a semente, parte dela caiu à beira do caminho; foi pisada, e as aves do céu a comeram. 
LUK.8.6	Parte dela caiu sobre pedras e, quando germinou, as plantas secaram, porque não havia umidade. 
LUK.8.7	Outra parte caiu entre espinhos, que cresceram com ela e sufocaram as plantas. 
LUK.8.8	Outra ainda caiu em boa terra. Cresceu e deu boa colheita, a cem por um”.
LUK.8.8	Tendo dito isso, exclamou: “Aquele que tem ouvidos para ouvir, ouça!”
LUK.8.9	Seus discípulos perguntaram-lhe o que significava aquela parábola. 
LUK.8.10	Ele disse: “A vocês foi dado o conhecimento dos mistérios do Reino de Deus, mas aos outros falo por parábolas, para que
LUK.8.10	“ ‘vendo, não vejam;
LUK.8.10	e ouvindo, não entendam’
LUK.8.11	“Este é o significado da parábola: A semente é a palavra de Deus. 
LUK.8.12	As que caíram à beira do caminho são os que ouvem, e então vem o Diabo e tira a palavra do seu coração, para que não creiam e não sejam salvos. 
LUK.8.13	As que caíram sobre as pedras são os que recebem a palavra com alegria quando a ouvem, mas não têm raiz. Creem durante algum tempo, mas desistem na hora da provação. 
LUK.8.14	As que caíram entre espinhos são os que ouvem, mas, ao seguirem seu caminho, são sufocados pelas preocupações, pelas riquezas e pelos prazeres desta vida, e não amadurecem. 
LUK.8.15	Mas as que caíram em boa terra são os que, com coração bom e generoso, ouvem a palavra, a retêm e dão fruto, com perseverança.
LUK.8.16	“Ninguém acende uma candeia e a esconde num jarro ou a coloca debaixo de uma cama. Ao contrário, coloca-a num lugar apropriado, de modo que os que entram possam ver a luz. 
LUK.8.17	Porque não há nada oculto que não venha a ser revelado e nada escondido que não venha a ser conhecido e trazido à luz. 
LUK.8.18	Portanto, considerem atentamente como vocês estão ouvindo. A quem tiver, mais lhe será dado; de quem não tiver, até o que pensa que tem lhe será tirado”.
LUK.8.19	A mãe e os irmãos de Jesus foram vê-lo, mas não conseguiam aproximar-se dele, por causa da multidão. 
LUK.8.20	Alguém lhe disse: “Tua mãe e teus irmãos estão lá fora e querem ver-te”.
LUK.8.21	Ele lhe respondeu: “Minha mãe e meus irmãos são aqueles que ouvem a palavra de Deus e a praticam”.
LUK.8.22	Certo dia Jesus disse aos seus discípulos: “Vamos para o outro lado do lago”. Eles entraram num barco e partiram. 
LUK.8.23	Enquanto navegavam, ele adormeceu. Abateu-se sobre o lago um forte vendaval, de modo que o barco estava sendo inundado, e eles corriam grande perigo. 
LUK.8.24	Os discípulos foram acordá-lo, clamando: “Mestre, Mestre, vamos morrer!”
LUK.8.24	Ele se levantou e repreendeu o vento e a violência das águas; tudo se acalmou e ficou tranquilo. 
LUK.8.25	“Onde está a sua fé?”, perguntou ele aos seus discípulos.
LUK.8.25	Amedrontados e admirados, eles perguntaram uns aos outros: “Quem é este que até aos ventos e às águas dá ordens, e eles lhe obedecem?”
LUK.8.26	Navegaram para a região dos gerasenos
LUK.8.27	Quando Jesus pisou em terra, foi ao encontro dele um endemoninhado daquela cidade. Fazia muito tempo que aquele homem não usava roupas, nem vivia em casa alguma, mas nos sepulcros. 
LUK.8.28	Quando viu Jesus, gritou, prostrou-se aos seus pés e disse em alta voz: “Que queres comigo, Jesus, Filho do Deus Altíssimo? Rogo-te que não me atormentes!” 
LUK.8.29	Pois Jesus havia ordenado que o espírito imundo saísse daquele homem. Muitas vezes ele tinha se apoderado dele. Mesmo com os pés e as mãos acorrentados e entregue aos cuidados de guardas, quebrava as correntes e era levado pelo demônio a lugares solitários.
LUK.8.30	Jesus lhe perguntou: “Qual é o seu nome?”
LUK.8.30	“Legião”, respondeu ele; porque muitos demônios haviam entrado nele. 
LUK.8.31	E imploravam-lhe que não os mandasse para o Abismo.
LUK.8.32	Uma grande manada de porcos estava pastando naquela colina. Os demônios imploraram a Jesus que lhes permitisse entrar neles, e Jesus lhes deu permissão. 
LUK.8.33	Saindo do homem, os demônios entraram nos porcos, e toda a manada atirou-se precipício abaixo em direção ao lago e se afogou.
LUK.8.34	Vendo o que acontecera, os que cuidavam dos porcos fugiram e contaram esses fatos na cidade e nos campos, 
LUK.8.35	e o povo foi ver o que havia acontecido. Quando se aproximaram de Jesus, viram que o homem de quem haviam saído os demônios estava assentado aos pés de Jesus, vestido e em perfeito juízo, e ficaram com medo. 
LUK.8.36	Os que o tinham visto contaram ao povo como o endemoninhado fora curado. 
LUK.8.37	Então, todo o povo da região dos gerasenos suplicou a Jesus que se retirasse, porque estavam dominados pelo medo. Ele entrou no barco e regressou.
LUK.8.38	O homem de quem haviam saído os demônios suplicava-lhe que o deixasse ir com ele; mas Jesus o mandou embora, dizendo: 
LUK.8.39	“Volte para casa e conte o quanto Deus fez a você”. Assim, o homem se foi e anunciou na cidade inteira o quanto Jesus tinha feito por ele.
LUK.8.40	Quando Jesus voltou, uma multidão o recebeu com alegria, pois todos o esperavam. 
LUK.8.41	Então um homem chamado Jairo, dirigente da sinagoga, veio e prostrou-se aos pés de Jesus, implorando-lhe que fosse à sua casa 
LUK.8.42	porque sua única filha, de cerca de doze anos, estava à morte.
LUK.8.42	Estando Jesus a caminho, a multidão o comprimia. 
LUK.8.43	E estava ali certa mulher que havia doze anos vinha sofrendo de hemorragia e gastara tudo o que tinha com os médicos
LUK.8.44	Ela chegou por trás dele, tocou na borda de seu manto, e imediatamente cessou sua hemorragia.
LUK.8.45	“Quem tocou em mim?”, perguntou Jesus.
LUK.8.45	Como todos negassem, Pedro disse: “Mestre, a multidão se aglomera e te comprime”.
LUK.8.46	Mas Jesus disse: “Alguém tocou em mim; eu sei que de mim saiu poder”.
LUK.8.47	Então a mulher, vendo que não conseguiria passar despercebida, veio tremendo e prostrou-se aos seus pés. Na presença de todo o povo contou por que tinha tocado nele e como fora instantaneamente curada. 
LUK.8.48	Então ele lhe disse: “Filha, a sua fé a curou
LUK.8.49	Enquanto Jesus ainda estava falando, chegou alguém da casa de Jairo, o dirigente da sinagoga, e disse: “Sua filha morreu. Não incomode mais o Mestre”.
LUK.8.50	Ouvindo isso, Jesus disse a Jairo: “Não tenha medo; tão somente creia, e ela será curada”.
LUK.8.51	Quando chegou à casa de Jairo, não deixou ninguém entrar com ele, exceto Pedro, João, Tiago e o pai e a mãe da criança. 
LUK.8.52	Enquanto isso, todo o povo estava se lamentando e chorando por ela. “Não chorem”, disse Jesus. “Ela não está morta, mas dorme.”
LUK.8.53	Todos começaram a rir dele, pois sabiam que ela estava morta. 
LUK.8.54	Mas ele a tomou pela mão e disse: “Menina, levante-se!” 
LUK.8.55	O espírito dela voltou, e ela se levantou imediatamente. Então Jesus lhes ordenou que dessem de comer a ela. 
LUK.8.56	Os pais dela ficaram maravilhados, mas ele lhes ordenou que não contassem a ninguém o que tinha acontecido.
LUK.9.1	Reunindo os Doze, Jesus deu-lhes poder e autoridade para expulsar todos os demônios e curar doenças 
LUK.9.2	e os enviou a pregar o Reino de Deus e a curar os enfermos. 
LUK.9.3	E disse-lhes: “Não levem nada pelo caminho: nem bordão, nem saco de viagem, nem pão, nem dinheiro, nem túnica extra. 
LUK.9.4	Na casa em que vocês entrarem, fiquem ali até partirem. 
LUK.9.5	Se não os receberem, sacudam a poeira dos seus pés quando saírem daquela cidade, como testemunho contra eles”. 
LUK.9.6	Então, eles saíram e foram pelos povoados, pregando o evangelho e fazendo curas por toda parte.
LUK.9.7	Herodes, o tetrarca
LUK.9.8	outros, que Elias tinha aparecido; e ainda outros, que um dos profetas do passado tinha voltado à vida. 
LUK.9.9	Mas Herodes disse: “João, eu decapitei! Quem, pois, é este de quem ouço essas coisas?” E procurava vê-lo.
LUK.9.10	Ao voltarem, os apóstolos relataram a Jesus o que tinham feito. Então ele os tomou, e retiraram-se para uma cidade chamada Betsaida; 
LUK.9.11	mas as multidões ficaram sabendo, e o seguiram. Ele as acolheu e falava-lhes acerca do Reino de Deus e curava os que precisavam de cura.
LUK.9.12	Ao fim da tarde os Doze aproximaram-se dele e disseram: “Manda embora a multidão para que eles possam ir aos campos vizinhos e aos povoados, e encontrem comida e pousada, porque aqui estamos em lugar deserto”.
LUK.9.13	Ele, porém, respondeu: “Deem-lhes vocês algo para comer”.
LUK.9.13	Eles disseram: “Temos apenas cinco pães e dois peixes—a menos que compremos alimento para toda esta multidão”. 
LUK.9.14	(E estavam ali cerca de cinco mil homens.)
LUK.9.14	Mas ele disse aos seus discípulos: “Façam-nos sentar-se em grupos de cinquenta”. 
LUK.9.15	Os discípulos assim fizeram, e todos se assentaram. 
LUK.9.16	Tomando os cinco pães e os dois peixes e, olhando para o céu, deu graças e os partiu. Em seguida, entregou-os aos discípulos para que os servissem ao povo. 
LUK.9.17	Todos comeram e ficaram satisfeitos, e os discípulos recolheram doze cestos cheios de pedaços que sobraram.
LUK.9.18	Certa vez Jesus estava orando em particular, e com ele estavam os seus discípulos; então lhes perguntou: “Quem as multidões dizem que eu sou?”
LUK.9.19	Eles responderam: “Alguns dizem que és João Batista; outros, Elias; e, ainda outros, que és um dos profetas do passado que ressuscitou”.
LUK.9.20	“E vocês, o que dizem?”, perguntou. “Quem vocês dizem que eu sou?”
LUK.9.20	Pedro respondeu: “O Cristo de Deus”.
LUK.9.21	Jesus os advertiu severamente que não contassem isso a ninguém. 
LUK.9.22	E disse: “É necessário que o Filho do homem sofra muitas coisas e seja rejeitado pelos líderes religiosos, pelos chefes dos sacerdotes e pelos mestres da lei, seja morto e ressuscite no terceiro dia”.
LUK.9.23	Jesus dizia a todos: “Se alguém quiser acompanhar-me, negue-se a si mesmo, tome diariamente a sua cruz e siga-me. 
LUK.9.24	Pois quem quiser salvar a sua vida
LUK.9.25	Pois que adianta ao homem ganhar o mundo inteiro e perder-se ou destruir a si mesmo? 
LUK.9.26	Se alguém se envergonhar de mim e das minhas palavras, o Filho do homem se envergonhará dele quando vier em sua glória e na glória do Pai e dos santos anjos. 
LUK.9.27	Garanto a vocês que alguns que aqui se acham de modo nenhum experimentarão a morte antes de verem o Reino de Deus”.
LUK.9.28	Aproximadamente oito dias depois de dizer essas coisas, Jesus tomou a Pedro, João e Tiago e subiu a um monte para orar. 
LUK.9.29	Enquanto orava, a aparência de seu rosto se transformou, e suas roupas ficaram alvas e resplandecentes como o brilho de um relâmpago. 
LUK.9.30	Surgiram dois homens que começaram a conversar com Jesus. Eram Moisés e Elias. 
LUK.9.31	Apareceram em glorioso esplendor e falavam sobre a partida de Jesus, que estava para se cumprir em Jerusalém.
LUK.9.32	Pedro e os seus companheiros estavam dominados pelo sono; acordando subitamente, viram a glória de Jesus e os dois homens que estavam com ele. 
LUK.9.33	Quando estes iam se retirando, Pedro disse a Jesus: “Mestre, é bom estarmos aqui. Façamos três tendas: uma para ti, uma para Moisés e uma para Elias”. (Ele não sabia o que estava dizendo.)
LUK.9.34	Enquanto ele estava falando, uma nuvem apareceu e os envolveu, e eles ficaram com medo ao entrarem na nuvem. 
LUK.9.35	Dela saiu uma voz que dizia: “Este é o meu Filho, o Escolhido
LUK.9.36	Tendo-se ouvido a voz, Jesus ficou só. Os discípulos guardaram isto somente para si; naqueles dias, não contaram a ninguém o que tinham visto.
LUK.9.37	No dia seguinte, quando desceram do monte, uma grande multidão veio ao encontro dele. 
LUK.9.38	Um homem da multidão bradou: “Mestre, rogo-te que dês atenção ao meu filho, pois é o único que tenho. 
LUK.9.39	Um espírito o domina; de repente ele grita, lança-o em convulsões e o faz espumar; quase nunca o abandona e o está destruindo. 
LUK.9.40	Roguei aos teus discípulos que o expulsassem, mas eles não conseguiram”.
LUK.9.41	Respondeu Jesus: “Ó geração incrédula e perversa, até quando estarei com vocês e terei que suportá-los? Traga-me aqui o seu filho”.
LUK.9.42	Quando o menino vinha vindo, o demônio o lançou por terra, em convulsão. Mas Jesus repreendeu o espírito imundo, curou o menino e o entregou de volta a seu pai. 
LUK.9.43	E todos ficaram atônitos ante a grandeza de Deus.
LUK.9.43	Estando todos maravilhados com tudo o que Jesus fazia, ele disse aos seus discípulos: 
LUK.9.44	“Ouçam atentamente o que vou dizer: O Filho do homem será traído e entregue nas mãos dos homens”. 
LUK.9.45	Mas eles não entendiam o que isso significava; era-lhes encoberto, para que não o entendessem. E tinham receio de perguntar-lhe a respeito dessa palavra.
LUK.9.46	Começou uma discussão entre os discípulos acerca de qual deles seria o maior. 
LUK.9.47	Jesus, conhecendo os seus pensamentos, tomou uma criança e a colocou em pé, a seu lado. 
LUK.9.48	Então lhes disse: “Quem recebe esta criança em meu nome está me recebendo; e quem me recebe está recebendo aquele que me enviou. Pois aquele que entre vocês for o menor, este será o maior”.
LUK.9.49	Disse João: “Mestre, vimos um homem expulsando demônios em teu nome e procuramos impedi-lo, porque ele não era um dos nossos”.
LUK.9.50	“Não o impeçam”, disse Jesus, “pois quem não é contra vocês, é a favor de vocês.”
LUK.9.51	Aproximando-se o tempo em que seria elevado aos céus, Jesus partiu resolutamente em direção a Jerusalém. 
LUK.9.52	E enviou mensageiros à sua frente. Indo estes, entraram num povoado samaritano para lhe fazer os preparativos; 
LUK.9.53	mas o povo dali não o recebeu porque se notava que ele se dirigia para Jerusalém. 
LUK.9.54	Ao verem isso, os discípulos Tiago e João perguntaram: “Senhor, queres que façamos cair fogo do céu para destruí-los?”
LUK.9.55	Mas Jesus, voltando-se, os repreendeu, dizendo: “Vocês não sabem de que espécie de espírito vocês são, pois o Filho do homem não veio para destruir a vida dos homens, mas para salvá-los”
LUK.9.56	e foram para outro povoado.
LUK.9.57	Quando andavam pelo caminho, um homem lhe disse: “Eu te seguirei por onde quer que fores”.
LUK.9.58	Jesus respondeu: “As raposas têm suas tocas e as aves do céu têm seus ninhos, mas o Filho do homem não tem onde repousar a cabeça”.
LUK.9.59	A outro disse: “Siga-me”.
LUK.9.59	Mas o homem respondeu: “Senhor, deixa-me ir primeiro sepultar meu pai”.
LUK.9.60	Jesus lhe disse: “Deixe que os mortos sepultem os seus próprios mortos; você, porém, vá e proclame o Reino de Deus”.
LUK.9.61	Ainda outro disse: “Vou seguir-te, Senhor, mas deixa-me primeiro voltar e despedir-me da minha família”.
LUK.9.62	Jesus respondeu: “Ninguém que põe a mão no arado e olha para trás é apto para o Reino de Deus”.
LUK.10.1	Depois disso o Senhor designou outros setenta e dois
LUK.10.2	E lhes disse: “A colheita é grande, mas os trabalhadores são poucos. Portanto, peçam ao Senhor da colheita que mande trabalhadores para a sua colheita. 
LUK.10.3	Vão! Eu os estou enviando como cordeiros entre lobos. 
LUK.10.4	Não levem bolsa, nem saco de viagem, nem sandálias; e não saúdem ninguém pelo caminho.
LUK.10.5	“Quando entrarem numa casa, digam primeiro: Paz a esta casa. 
LUK.10.6	Se houver ali um homem de paz, a paz de vocês repousará sobre ele; se não, ela voltará para vocês. 
LUK.10.7	Fiquem naquela casa e comam e bebam o que derem a vocês, pois o trabalhador merece o seu salário. Não fiquem mudando de casa em casa.
LUK.10.8	“Quando entrarem numa cidade e forem bem recebidos, comam o que for posto diante de vocês. 
LUK.10.9	Curem os doentes que ali houver e digam-lhes: O Reino de Deus está próximo de vocês. 
LUK.10.10	Mas, quando entrarem numa cidade e não forem bem recebidos, saiam por suas ruas e digam: 
LUK.10.11	Até o pó da sua cidade, que se apegou aos nossos pés, sacudimos contra vocês. Fiquem certos disto: o Reino de Deus está próximo. 
LUK.10.12	Eu digo: Naquele dia, haverá mais tolerância para Sodoma do que para aquela cidade.
LUK.10.13	“Ai de você, Corazim! Ai de você, Betsaida! Porque se os milagres que foram realizados entre vocês o fossem em Tiro e Sidom, há muito tempo elas teriam se arrependido, vestindo roupas de saco e cobrindo-se de cinzas. 
LUK.10.14	Mas no juízo haverá menor rigor para Tiro e Sidom do que para vocês. 
LUK.10.15	E você, Cafarnaum: será elevada até ao céu? Não; você descerá até o Hades
LUK.10.16	“Aquele que dá ouvidos a vocês está me dando ouvidos; aquele que os rejeita está me rejeitando; mas aquele que me rejeita está rejeitando aquele que me enviou”.
LUK.10.17	Os setenta e dois voltaram alegres e disseram: “Senhor, até os demônios se submetem a nós, em teu nome”.
LUK.10.18	Ele respondeu: “Eu vi Satanás caindo do céu como relâmpago. 
LUK.10.19	Eu dei a vocês autoridade para pisarem sobre cobras e escorpiões, e sobre todo o poder do inimigo; nada lhes fará dano. 
LUK.10.20	Contudo, alegrem-se, não porque os espíritos se submetem a vocês, mas porque seus nomes estão escritos nos céus”.
LUK.10.21	Naquela hora, Jesus, exultando no Espírito Santo, disse: “Eu te louvo, Pai, Senhor do céu e da terra, porque escondeste estas coisas dos sábios e cultos e as revelaste aos pequeninos. Sim, Pai, pois assim foi do teu agrado.
LUK.10.22	“Todas as coisas me foram entregues por meu Pai. Ninguém sabe quem é o Filho, a não ser o Pai; e ninguém sabe quem é o Pai, a não ser o Filho e aqueles a quem o Filho o quiser revelar”.
LUK.10.23	Então ele se voltou para os seus discípulos e lhes disse em particular: “Felizes são os olhos que veem o que vocês veem. 
