GEN.1.1	No 
MRK.9.8	E, tendo olhado ao redor, ninguém mais viram, senão Jesus com eles.
MRK.9.9	E, 
MRK.9.10	E eles retiveram o caso entre si, perguntando uns aos outros que seria aquilo, ressuscitar dos mortos. 
MRK.9.11	E interrogaram-no, dizendo: Por que dizem os escribas que é necessário que Elias 
MRK.9.12	E, respondendo ele, disse-lhes: 
MRK.9.14	E, quando se aproximou 
MRK.9.15	E logo toda a multidão, vendo-o, ficou espantada, e, correndo para ele, o saudaram. 
MRK.9.16	E perguntou aos escribas: 
MRK.9.17	E um da multidão, respondendo, disse: 
MRK.9.18	e este, onde quer que o apanha, despedaça-o, e ele espuma, e range os dentes, e vai-se secando; e eu disse aos teus discípulos que o expulsassem, e não puderam. 
MRK.9.19	E ele, respondendo-lhes, disse: 
MRK.9.20	E trouxeram-lho; e, 
MRK.9.21	E perguntou ao pai dele: 
MRK.9.22	E muitas vezes o tem lançado no fogo e na água, para o destruir; mas, se tu podes fazer alguma 
MRK.9.23	E Jesus disse-lhe: 
MRK.9.24	E logo o pai do menino, clamando, com lágrimas, disse: Eu creio, Senhor! Ajuda a minha incredulidade. 
MRK.9.25	E Jesus, vendo que a multidão concorria, repreendeu o espírito imundo, dizendo-lhe: 
MRK.9.26	E ele, clamando e agitando-o com violência, saiu; e ficou o 
MRK.9.27	Mas Jesus, tomando-o pela mão, o ergueu, e ele se levantou.
MRK.9.28	E, quando 
MRK.9.29	E disse-lhes: 
MRK.9.30	E, tendo partido dali, caminharam pela Galileia, e não queria que alguém 
MRK.9.31	porque ensinava os seus discípulos e lhes dizia: 
MRK.9.32	Mas eles não entendiam esta palavra e receavam interrogá-lo.
MRK.9.33	E chegou a Cafarnaum e, 
MRK.9.34	Mas eles calaram-se, porque, pelo caminho, tinham disputado entre si qual era o maior. 
MRK.9.35	E ele, assentando-se, chamou os doze e disse-lhes: 
MRK.9.36	E, lançando 
MRK.9.38	E João lhe respondeu, 
MRK.9.39	Jesus, porém, disse: 
MRK.10.1	E, levantando-se dali, foi para 
MRK.10.2	E, aproximando-se 
MRK.10.3	Mas ele, respondendo, disse-lhes: 
MRK.10.4	E eles disseram: 
MRK.10.5	E Jesus, respondendo, disse-lhes: 
MRK.10.10	E em casa tornaram os discípulos a interrogá-lo acerca disso mesmo. 
MRK.10.11	E ele lhes disse: 
MRK.10.13	E 
MRK.10.14	Jesus, porém, vendo 
MRK.10.16	E, tomando-as nos seus braços e impondo-lhes as mãos, as abençoou.
MRK.10.17	E, pondo-se a caminho, 
MRK.10.18	E Jesus lhe disse: 
MRK.10.20	Ele, porém, respondendo, lhe disse: Mestre, tudo isso guardei desde a minha mocidade. 
MRK.10.21	E Jesus, olhando para ele, o amou e lhe disse: 
MRK.10.22	Mas ele, contrariado com essa palavra, retirou-se triste, porque possuía muitas propriedades.
MRK.10.23	Então, Jesus, 
MRK.10.24	E os discípulos se admiraram destas suas palavras; mas Jesus, tornando a falar, 
MRK.10.26	E eles se admiravam ainda mais, dizendo entre si: Quem poderá, pois, salvar-se? 
MRK.10.27	Jesus, porém, olhando para eles, disse: 
MRK.10.28	E Pedro 
MRK.10.29	E Jesus, respondendo, disse: 
MRK.10.32	E iam no caminho, 
MRK.10.35	E aproximaram-se 
MRK.10.36	E ele lhes disse: 
MRK.10.37	E eles lhe disseram: Concede-nos que, na tua glória, nos assentemos, um à tua direita, e outro à tua esquerda. 
MRK.10.38	Mas Jesus lhes disse: 
MRK.10.39	E eles lhe disseram: Podemos. Jesus, porém, disse-lhes: 
MRK.10.41	E 
MRK.10.42	Mas Jesus, chamando-os 
MRK.10.46	Depois, foram para Jericó. E, saindo 
MRK.10.47	E, ouvindo que era Jesus de Nazaré, começou a clamar e a dizer: Jesus, Filho de Davi, tem misericórdia de mim! 
MRK.10.48	E muitos o repreendiam, para que se calasse; mas ele clamava cada vez mais: Filho de Davi, tem misericórdia de mim! 
MRK.10.49	E Jesus, parando, disse que o chamassem; e chamaram o cego, dizendo-lhe: Tem bom ânimo; levanta-te, 
MRK.10.50	E ele, lançando 
MRK.10.51	E Jesus, falando, disse-lhe: 
MRK.10.52	E Jesus lhe disse: 
MRK.11.1	E, logo 
MRK.11.2	e disse-lhes: 
MRK.11.4	E foram, e encontraram o jumentinho preso fora da porta, entre dois caminhos, e o soltaram. 
MRK.11.5	E alguns dos que ali estavam lhes disseram: Que fazeis, soltando o jumentinho? 
MRK.11.6	Eles, porém, disseram-lhes como Jesus lhes tinha mandado; e os deixaram ir. 
MRK.11.7	E levaram o jumentinho a Jesus e lançaram sobre ele as suas vestes, e assentou-se sobre ele. 
MRK.11.8	E muitos 
MRK.11.9	E aqueles que iam adiante e os que seguiam clamavam, dizendo: Hosana! 
MRK.11.10	Bendito o Reino do nosso pai Davi, 
MRK.11.11	E Jesus entrou em 
MRK.11.12	E, no dia seguinte, quando saíram de Betânia, teve fome. 
MRK.11.13	Vendo 
MRK.11.14	E Jesus, falando, disse à figueira: 
MRK.11.15	E vieram a Jerusalém; 
MRK.11.16	E não consentia que ninguém levasse 
MRK.11.17	E os ensinava, dizendo: 
MRK.11.18	E os escribas 
MRK.11.19	E, sendo já tarde, saiu para fora da cidade.
MRK.11.20	E eles, passando pela 
MRK.11.21	E Pedro, lembrando-se, disse-lhe: Mestre, eis que a figueira que tu amaldiçoaste se secou. 
MRK.11.22	E Jesus, respondendo, disse-lhes: 
MRK.11.27	E tornaram a Jerusalém; e, andando ele pelo 
MRK.11.28	e lhe disseram: Com que autoridade fazes tu estas 
MRK.11.29	Mas Jesus, respondendo, disse-lhes: 
MRK.11.31	E eles arrazoavam entre si, dizendo: Se dissermos: Do céu, ele 
MRK.11.32	Se, porém, dissermos: Dos homens, tememos o povo, porque todos sustentavam que 
MRK.11.33	E, respondendo, disseram a Jesus: Não sabemos. E Jesus lhes replicou: 
MRK.12.1	E começou 
MRK.12.12	E buscavam 
MRK.12.13	E enviaram-lhe alguns 
MRK.12.14	E, chegando eles, disseram-lhe: Mestre, sabemos que és homem de verdade e não te importas com quem quer que seja, porque não olhas a aparência dos homens, antes, com verdade, ensinas o caminho de Deus. É lícito pagar tributo a César ou não? Pagaremos ou não pagaremos? 
MRK.12.15	Então, ele, conhecendo a sua hipocrisia, disse-lhes: 
MRK.12.16	E eles 
MRK.12.17	E Jesus, respondendo, disse-lhes: 
MRK.12.18	Então, os 
MRK.12.19	Mestre, 
MRK.12.20	Ora, havia sete irmãos, e o primeiro tomou mulher e morreu sem deixar descendência; 
MRK.12.21	e o segundo também a tomou, e morreu, e nem este deixou descendência; e o terceiro, da mesma maneira. 
MRK.12.22	E tomaram-na os sete, sem, contudo, terem deixado descendência. Finalmente, depois de todos, morreu também a mulher. 
MRK.12.23	Na ressurreição, pois, quando ressuscitarem, de qual destes será a mulher? Porque os sete a tiveram por mulher. 
MRK.12.24	E Jesus, respondendo, disse-lhes: 
MRK.12.28	Aproximou-se dele um dos escribas que os tinha ouvido disputar e, sabendo que lhes tinha respondido bem, perguntou-lhe: Qual é o primeiro de todos os mandamentos? 
MRK.12.29	E Jesus respondeu-lhe: 
MRK.12.32	E o escriba lhe disse: Muito bem, Mestre, e com verdade disseste que há um só 
MRK.12.33	e que amá-lo de todo o coração, e de todo o entendimento, e de toda a alma, e de todas as forças e amar o próximo como a si mesmo é mais do que todos 
MRK.12.34	E Jesus, vendo que havia respondido sabiamente, disse-lhe: 
MRK.12.35	E, falando 
MRK.12.37	 E a grande multidão o ouvia de boa vontade.
MRK.12.38	E, ensinando-os, 
MRK.12.41	E, estando Jesus assentado defronte da 
MRK.12.42	Vindo, porém, uma pobre viúva, depositou duas pequenas moedas, que valiam cinco réis. 
MRK.12.43	E, chamando os seus discípulos, disse-lhes: 
MRK.13.1	E, saindo ele do 
MRK.13.2	E, respondendo Jesus, disse-lhe: 
MRK.13.3	E, assentando-se ele no monte das Oliveiras, defronte do templo, Pedro, e Tiago, e João, e André lhe perguntaram em particular: 
MRK.13.4	Dize-nos quando serão essas 
MRK.13.5	E Jesus, respondendo-lhes, começou a dizer: 
MRK.14.1	E, dali a dois 
MRK.14.2	Mas eles diziam: Não na festa, para que, porventura, se não faça alvoroço entre o povo.
MRK.14.3	E, estando ele em 
MRK.14.4	E alguns houve que em si mesmos se indignaram e disseram: Para que se fez este desperdício de unguento? 
MRK.14.5	Porque podia vender-se por mais de trezentos dinheiros e dá-lo aos pobres. E bramavam contra ela. 
MRK.14.6	Jesus, porém, disse: 
MRK.14.10	E 
MRK.14.11	E eles, ouvindo-
MRK.14.12	E, no primeiro 
MRK.14.13	E enviou dois dos seus discípulos e disse-lhes: 
MRK.14.16	E, saindo os seus discípulos, foram à cidade, e acharam como lhes tinha dito, e prepararam a Páscoa.
MRK.14.17	E, chegada 
MRK.14.18	E, quando estavam assentados a comer, disse Jesus: 
MRK.14.19	E eles começaram a entristecer-se e a dizer-lhe um após outro: 
MRK.14.20	Mas ele, respondendo, disse-lhes: 
MRK.14.22	E, comendo eles, tomou 
MRK.14.23	E, tomando o cálice e dando graças, deu-lh
MRK.14.24	E disse-lhes: 
MRK.14.26	E, tendo cantado 
MRK.14.27	E disse-lhes Jesus: 
MRK.14.29	E disse-lhe 
MRK.14.30	E disse-lhe Jesus: 
MRK.14.31	Mas ele disse com mais veemência: Ainda que me seja necessário morrer contigo, de modo nenhum te negarei. E da mesma maneira diziam todos também.
MRK.14.32	E foram a um lugar chamado 
MRK.14.33	E tomou consigo a Pedro, e a Tiago, e a João e começou a ter pavor e a angustiar-se. 
MRK.14.34	E disse-lhes: 
MRK.14.35	E, tendo ido um pouco mais adiante, prostrou-se em terra; e orou para que, se fosse possível, passasse dele aquela hora. 
MRK.14.36	E disse: 
MRK.14.37	E, chegando, achou-os dormindo e disse a Pedro: 
MRK.14.39	E foi outra vez e orou, dizendo as mesmas palavras. 
MRK.14.40	E, voltando, achou-os outra vez dormindo, porque os seus olhos estavam carregados, e não sabiam o que responder-lhe. 
MRK.14.41	E voltou terceira vez e disse-lhes: 
MRK.14.43	E logo, 
MRK.14.44	Ora, o que o traía tinha-lhes dado 
MRK.14.45	E, logo que chegou, aproximou-se dele e disse-lhe: Rabi, Rabi. E beijou-o. 
MRK.14.46	E lançaram-lhe as mãos e o prenderam. 
MRK.14.47	E um dos que ali estavam presentes, puxando da espada, feriu o servo do sumo sacerdote e cortou-lhe uma orelha. 
MRK.14.48	E, respondendo 
MRK.14.50	Então, deixando-o, todos 
MRK.14.51	E 
MRK.14.52	mas ele, largando o lençol, fugiu nu.
MRK.14.53	E levaram Jesus 
MRK.14.54	E Pedro o seguiu de longe até dentro do pátio do sumo sacerdote e estava assentado com os 
MRK.14.55	E os principais 
MRK.14.56	Porque muitos testificavam falsamente contra ele, mas os testemunhos não eram coerentes. 
MRK.14.57	E, levantando-se alguns, testificavam falsamente contra ele, dizendo: 
MRK.14.58	Nós ouvimos-lhe dizer: Eu derribarei 
MRK.14.59	E nem assim o testemunho deles era coerente. 
MRK.14.60	E, levantando-se 
MRK.14.61	Mas ele calou-se e nada respondeu. 
MRK.14.62	E Jesus disse-lhe: 
MRK.14.63	E o sumo sacerdote, rasgando as suas vestes, disse: Para que necessitamos de mais testemunhas? 
MRK.14.64	Vós ouvistes a blasfêmia; que vos parece? E todos o consideraram culpado de morte. 
MRK.14.65	E alguns começaram a cuspir nele, e a cobrir-lhe o rosto, e a dar-lhe punhadas, e a dizer-lhe: Profetiza. E os servidores davam-lhe bofetadas.
MRK.14.66	E, estando 
MRK.14.67	e, vendo a Pedro, que estava se aquentando, olhou para ele e disse: Tu também estavas com Jesus, o Nazareno. 
MRK.14.68	Mas ele negou-o, dizendo: Não o conheço, nem sei o que dizes. E saiu fora ao alpendre, e o galo cantou. 
MRK.14.69	E a criada, vendo-o outra 
MRK.14.70	Mas ele o negou outra vez. 
MRK.14.71	E ele começou a imprecar e a jurar: Não conheço esse homem de quem falais. 
MRK.14.72	E 
MRK.15.1	E, logo ao 
MRK.15.2	E Pilatos 
MRK.15.3	E os principais dos sacerdotes o acusavam de muitas 
MRK.15.4	E Pilatos 
MRK.15.5	Mas Jesus 
MRK.15.6	Ora, no 
MRK.15.7	E havia um chamado Barrabás, que, preso com outros amotinadores, tinha num motim cometido uma morte. 
MRK.15.8	E a multidão, dando gritos, começou a pedir 
MRK.15.9	E Pilatos lhes respondeu, dizendo: Quereis que vos solte o Rei dos judeus? 
MRK.15.10	Porque ele bem sabia que, por inveja, os principais dos sacerdotes o tinham entregado. 
MRK.15.11	Mas os principais dos 
MRK.15.12	E Pilatos, respondendo, lhes disse outra vez: Que quereis, pois, que faça 
MRK.15.13	E eles tornaram a clamar: Crucifica-o. 
MRK.15.14	Mas Pilatos lhes disse: Mas que mal fez? E eles cada vez clamavam mais: Crucifica-o. 
MRK.15.15	Então, 
MRK.15.16	E 
MRK.15.17	E vestiram-no de púrpura e, tecendo uma coroa de espinhos, lha puseram 
MRK.15.18	E começaram a saudá-lo, 
MRK.15.19	E feriram-no na cabeça com uma cana, e cuspiram nele, e, postos de 
MRK.15.20	E, havendo-o escarnecido, despiram-lhe a púrpura, e o vestiram com as suas próprias vestes, e o levaram para fora, a fim de o crucificarem.
MRK.15.21	E constrangeram um 
MRK.15.22	E levaram-no ao 
MRK.15.23	E deram-lhe a 
MRK.15.24	E, havendo-o crucificado, repartiram as suas vestes, 
MRK.15.25	E era a hora terceira, 
MRK.15.26	E, por cima 
MRK.15.27	E crucificaram 
MRK.15.28	E cumpriu-se 
MRK.15.29	E os que passavam blasfemavam dele, 
MRK.15.30	Salva-te a ti mesmo e desce da cruz. 
MRK.15.31	E da mesma maneira também os principais dos sacerdotes, com os escribas, diziam uns para os outros, zombando: Salvou os outros e não pode salvar-se a si mesmo. 
MRK.15.32	O Cristo, o Rei de Israel, desça agora da cruz, para que o vejamos e acreditemos.
MRK.15.32	Também os que com ele foram crucificados 
MRK.15.33	E, chegada a hora sexta, 
MRK.15.34	E, à hora nona, Jesus exclamou com grande voz, 
MRK.15.35	E alguns dos que ali estavam, ouvindo 
MRK.15.36	E um deles correu 
MRK.15.37	E Jesus, 
MRK.15.38	E o véu 
MRK.15.39	E o centurião 
MRK.15.40	E também ali estavam 
MRK.15.41	as quais também o seguiam 
MRK.15.42	E, 
MRK.15.43	chegou José de Arimateia, senador honrado, que também 
MRK.15.44	E Pilatos se admirou de que já estivesse morto. E, chamando o centurião, perguntou-lhe se já havia muito que tinha morrido. 
MRK.15.45	E, tendo-se certificado pelo centurião, deu o corpo a José, 
MRK.15.46	o qual comprara 
MRK.15.47	E Maria Madalena e Maria, 
MRK.16.1	E, passado 
MRK.16.2	E, no primeiro dia 
MRK.16.3	e diziam umas às outras: Quem nos revolverá a pedra da porta do sepulcro? 
MRK.16.4	E, olhando, viram que 
MRK.16.5	E, entrando 
MRK.16.6	Porém ele disse-lhes: 
MRK.16.7	Mas ide, dizei a seus discípulos e a Pedro que ele vai adiante de vós para a Galileia; 
MRK.16.8	E, saindo elas apressadamente, fugiram do sepulcro, porque estavam possuídas de temor e assombro; 
MRK.16.9	E 
MRK.16.11	E, ouvindo eles 
MRK.16.12	E, depois, manifestou-se em outra forma 
MRK.16.13	E, indo estes, anunciaram-no aos outros, mas nem ainda estes creram.
MRK.16.14	Finalmente 
MRK.16.15	E disse-lhes: 
MRK.16.19	Ora, o Senhor, 
MRK.16.20	E eles, tendo partido, pregaram por todas as partes, cooperando com 
LUK.1.1	Tendo, pois, muitos empreendido pôr em ordem a narração dos fatos que entre nós se cumpriram, 
LUK.1.2	segundo nos transmitiram 
LUK.1.3	pareceu-me 
LUK.1.4	para que conheças 
LUK.1.5	Existiu, no tempo 
LUK.1.6	E eram ambos 
LUK.1.7	E não tinham filhos, porque Isabel era estéril, e ambos eram avançados em idade.
LUK.1.8	E aconteceu que, exercendo ele o sacerdócio 
LUK.1.9	segundo o costume sacerdotal, coube-lhe em sorte entrar no templo do Senhor 
LUK.1.10	E toda a multidão do povo estava fora, orando, à hora do incenso. 
LUK.1.11	Então, um anjo do Senhor lhe apareceu, posto em pé, à direita do 
LUK.1.12	E Zacarias, vendo-
LUK.1.13	Mas o anjo lhe disse: Zacarias, não temas, porque a tua oração foi ouvida, e Isabel, tua mulher, dará à luz um filho, e lhe porás o nome 
LUK.1.14	E terás prazer e alegria, 
LUK.1.15	porque será grande diante do Senhor, e não 
LUK.1.16	E converterá muitos 
LUK.1.17	e irá adiante dele no espírito e virtude de Elias, para converter o coração dos pais aos filhos e os rebeldes, à prudência dos justos, com o fim de preparar ao Senhor um povo 
LUK.1.18	Disse, então, Zacarias ao anjo: 
LUK.1.19	E, respondendo o anjo, disse-lhe: Eu sou 
LUK.1.20	Todavia ficarás mudo e não 
LUK.1.21	E o povo estava esperando a Zacarias e maravilhava-se de que tanto se demorasse no templo. 
LUK.1.22	E, saindo ele, não lhes podia falar; e entenderam que tivera 
LUK.1.23	E sucedeu que, terminados 
LUK.1.24	E, depois daqueles dias, Isabel, sua mulher, concebeu e, por cinco meses, se ocultou, dizendo: 
LUK.1.25	Assim me fez o Senhor, nos dias em que atentou 
LUK.1.26	E, no sexto mês, foi o anjo Gabriel enviado por Deus a uma cidade da Galileia, chamada Nazaré, 
LUK.1.27	a uma virgem 
LUK.1.28	E, entrando o anjo onde ela estava, 
LUK.1.29	E, vendo-
LUK.1.30	Disse-lhe, então, o anjo: Maria, não temas, porque achaste graça diante de Deus, 
LUK.1.31	E eis que em teu ventre conceberás, 
LUK.1.32	Este será grande 
LUK.1.33	e reinará eternamente na casa de Jacó, e o 
LUK.1.34	E disse Maria ao anjo: Como se fará isso, visto que não conheço varão? 
LUK.1.35	E, respondendo o anjo, disse-lhe: Descerá sobre ti o Espírito Santo, e a virtude do Altíssimo te cobrirá com a sua sombra; pelo que também o Santo, 
LUK.1.36	E eis que também Isabel, tua prima, concebeu um filho em sua velhice; e é este o sexto mês para aquela que era chamada estéril. 
LUK.1.37	Porque para 
LUK.1.38	Disse, então, Maria: Eis aqui a serva do Senhor; cumpra-se em mim segundo a tua palavra. E o anjo ausentou-se dela.
LUK.1.39	E, naqueles dias, levantando-se Maria, foi apressada às 
LUK.1.40	e entrou em casa de Zacarias, e saudou a Isabel. 
LUK.1.41	E aconteceu que, ao ouvir Isabel a saudação de Maria, a criancinha saltou no seu ventre; e Isabel foi cheia do Espírito Santo, 
LUK.1.42	e exclamou com grande voz, e disse: Bendita 
LUK.1.43	E de onde me 
LUK.1.44	Pois eis que, ao chegar aos meus ouvidos a voz da tua saudação, a criancinha saltou de alegria no meu ventre. 
LUK.1.45	Bem-aventurada a que creu, pois hão de cumprir-se as 
LUK.1.46	Disse, então, Maria: 
LUK.1.47	e o meu espírito se alegra em Deus, meu Salvador, 
LUK.1.48	porque atentou 
LUK.1.49	Porque me fez grandes coisas o 
LUK.1.50	E a sua misericórdia 
LUK.1.51	Com o seu braço, agiu valorosamente, 
LUK.1.52	depôs dos tronos 
LUK.1.53	encheu de bens 
LUK.1.54	e auxiliou a Israel, seu 
LUK.1.55	(como falou a nossos pais) para com Abraão 
LUK.1.56	E Maria ficou com ela quase três meses e depois voltou para sua casa.
LUK.1.57	E completou-se para Isabel o tempo de dar à luz, e teve um filho. 
LUK.1.58	E os seus vizinhos e parentes ouviram que tinha Deus usado para com ela de grande misericórdia 
LUK.1.59	E aconteceu que, ao oitavo 
LUK.1.60	E, respondendo sua mãe, disse: 
LUK.1.61	E disseram-lhe: Ninguém há na tua parentela que se chame por este nome. 
LUK.1.62	E perguntaram, por acenos, ao pai como queria que lhe chamassem. 
LUK.1.63	E, pedindo ele uma tabuinha de escrever, escreveu, dizendo: 
LUK.1.64	E logo a boca se lhe abriu, 
LUK.1.65	E veio temor sobre todos os seus vizinhos, e em todas as 
LUK.1.66	E todos os que 
LUK.1.67	E Zacarias, seu pai, foi cheio do 
LUK.1.68	Bendito 
LUK.1.69	E nos levantou 
LUK.1.70	como falou pela boca dos 
LUK.1.71	para nos livrar dos nossos inimigos e das mãos de todos os que nos aborrecem 
LUK.1.72	e para manifestar 
LUK.1.73	e do juramento 
LUK.1.74	de conceder-nos que, libertados das mãos de nossos inimigos, 
LUK.1.75	em 
LUK.1.76	E tu, ó menino, serás chamado profeta do Altíssimo, porque hás de ir ante 
LUK.1.77	para dar ao seu povo conhecimento da salvação, 
LUK.1.78	pelas entranhas da misericórdia do nosso Deus, com que o oriente do alto 
LUK.1.79	para 
LUK.1.80	E o 
LUK.2.1	E aconteceu, naqueles dias, que saiu um decreto da parte de César Augusto, para que todo o mundo se alistasse. 
LUK.2.2	(Este primeiro 
LUK.2.3	E todos iam alistar-se, cada um à sua própria cidade. 
LUK.2.4	E subiu da Galileia também José, da cidade de Nazaré, à Judeia, 
LUK.2.5	a fim de alistar-se com 
LUK.2.6	E aconteceu que, estando eles ali, se cumpriram os dias em que ela havia de dar à luz. 
LUK.2.7	E deu à 
LUK.2.8	Ora, havia, naquela mesma comarca, pastores que estavam no campo e guardavam durante as vigílias da noite o seu rebanho. 
LUK.2.9	E eis que um anjo do Senhor veio sobre eles, e a glória do Senhor os cercou de resplendor, 
LUK.2.10	E o anjo lhes disse: Não temais, porque eis aqui vos trago novas de grande alegria, 
LUK.2.11	pois, na cidade de Davi, vos 
LUK.2.12	E isto vos 
LUK.2.13	E, no mesmo instante, 
LUK.2.14	Glória a Deus nas 
LUK.2.15	E aconteceu que, ausentando-se deles os anjos para o céu, disseram os pastores uns aos outros: Vamos, pois, até Belém e vejamos isso que aconteceu e que o Senhor nos fez saber. 
LUK.2.16	E foram apressadamente e acharam Maria, e José, e o menino deitado na manjedoura. 
LUK.2.17	E, vendo-
LUK.2.18	E todos os que a ouviram se maravilharam do que os pastores lhes diziam. 
LUK.2.19	Mas 
LUK.2.20	E voltaram os pastores glorificando e louvando a Deus por tudo o que tinham ouvido e visto, como lhes havia sido dito.
LUK.2.21	E, quando os 
LUK.2.22	E, cumprindo-se os dias da purificação, 
LUK.2.23	(segundo o que está escrito na lei do Senhor: Todo 
LUK.2.24	e para darem a oferta segundo o 
LUK.2.25	Havia em Jerusalém um homem cujo nome 
LUK.2.26	E fora-lhe revelado pelo Espírito Santo 
LUK.2.27	E, pelo 
LUK.2.28	ele, então, o tomou em seus braços, e louvou a Deus, e disse: 
LUK.2.29	Agora, Senhor, 
LUK.2.30	pois 
LUK.2.31	a qual tu preparaste perante a face de todos os povos, 
LUK.2.32	luz 
LUK.2.33	José e Maria se maravilharam das coisas que dele se diziam. 
LUK.2.34	E Simeão os abençoou e disse à Maria, sua mãe: Eis que este é posto para queda e elevação 
LUK.2.35	(e 
LUK.2.36	E estava ali a profetisa Ana, filha de Fanuel, da tribo de Aser. Esta era 
LUK.2.37	e era viúva, de quase oitenta e quatro anos, e não se afastava do templo, 
LUK.2.38	E, sobrevindo na mesma hora, ela dava graças a Deus e falava dele a todos os 
LUK.2.39	E, quando acabaram de cumprir tudo segundo a lei do Senhor, voltaram à Galileia, para a sua cidade de Nazaré. 
LUK.2.40	E o menino 
LUK.2.41	Ora, todos os anos, iam seus pais a Jerusalém, 
LUK.2.42	E, tendo ele 
LUK.2.43	E, regressando eles, terminados aqueles dias, ficou o menino Jesus em Jerusalém, e não 
LUK.2.44	Pensando, porém, eles que viria de companhia pelo caminho, andaram caminho de um dia e procuravam-no entre os parentes e conhecidos. 
LUK.2.45	E, como o não encontrassem, voltaram a Jerusalém em busca dele. 
LUK.2.46	E aconteceu que, passados três dias, o acharam no templo, assentado no meio dos doutores, ouvindo-os e interrogando-os. 
LUK.2.47	E todos 
LUK.2.48	E, quando o viram, maravilharam-se, e disse-lhe sua mãe: Filho, por que fizeste assim para conosco? Eis que teu pai e eu, ansiosos, te procurávamos. 
LUK.2.49	E ele lhes disse: 
LUK.2.50	E eles não 
LUK.2.51	E desceu com eles, e foi para Nazaré, e era-lhes sujeito. E sua mãe 
LUK.2.52	E 
LUK.3.1	E, no ano quinze do império de Tibério César, sendo Pôncio Pilatos governador da Judeia, e Herodes, tetrarca da Galileia, e seu irmão Filipe, tetrarca da Itureia e da província de Traconites, e Lisânias, tetrarca de Abilene, 
LUK.3.2	sendo Anás 
LUK.3.3	 percorreu toda a terra ao redor do Jordão, 
LUK.3.4	segundo o que está escrito no livro das palavras 
LUK.3.5	Todo vale se encherá, e se abaixará todo monte e outeiro; e o que é tortuoso se endireitará, e os caminhos escabrosos se aplanarão; 
LUK.3.6	e toda 
LUK.3.7	Dizia, pois, João à multidão que saía para ser batizada por ele: 
LUK.3.8	Produzi, pois, frutos dignos de arrependimento e não comeceis a dizer em vós mesmos: Temos Abraão por pai, porque eu vos digo que até destas pedras pode Deus suscitar filhos a Abraão. 
LUK.3.9	E também já está posto o machado à raiz das árvores; 
LUK.3.10	E a multidão o interrogava, dizendo: 
LUK.3.11	E, respondendo ele, disse-lhes: Quem tiver 
LUK.3.12	E chegaram também 
LUK.3.13	E ele lhes disse: 
LUK.3.14	E uns soldados o interrogaram também, dizendo: E nós, que faremos? E ele lhes disse: 
LUK.3.15	E, estando o povo em expectação e pensando todos de João, em seu coração, se, porventura, seria o Cristo, 
LUK.3.16	respondeu João a todos, dizendo: 
LUK.3.17	Ele tem a pá na sua mão, e limpará a sua eira, 
LUK.3.18	E assim admoestando-os, muitas outras 
LUK.3.19	Sendo, porém, o 
LUK.3.20	acrescentou a todas as outras ainda esta, a de encerrar João num cárcere.
LUK.3.21	E aconteceu que, como todo o povo se batizava, sendo batizado 
LUK.3.22	e o Espírito Santo desceu sobre ele em forma corpórea, como 
LUK.3.23	E o mesmo Jesus começava a ser de quase 
LUK.3.24	 de Matate, 
LUK.3.25	 de Matatias, 
LUK.3.26	 de Maate, 
LUK.3.27	 de Joanã, 
LUK.3.28	 de Melqui, 
LUK.3.29	 de Josué, 
LUK.3.30	 de Simeão, 
LUK.3.31	 de Meleá, 
LUK.3.32	 de Jessé, 
LUK.3.33	 de Aminadabe, 
LUK.3.34	 de Jacó, 
LUK.3.35	 de Serugue, 
LUK.3.36	 de Cainã, 
LUK.3.37	 de Metusalém, 
LUK.3.38	 de Enos, 
LUK.4.1	E Jesus, cheio do Espírito Santo, voltou do Jordão 
LUK.4.2	E quarenta dias foi tentado pelo diabo, e, naqueles dias, 
LUK.4.3	E disse-lhe o diabo: Se tu és o Filho de Deus, dize a esta pedra que se transforme em pão. 
LUK.4.4	E Jesus lhe respondeu, dizendo: 
LUK.4.5	E o diabo, levando-o a um alto monte, mostrou-lhe, num momento de tempo, todos os reinos do mundo. 
LUK.4.6	E disse-lhe o diabo: Dar-te-ei a ti todo este poder e a sua glória, porque a mim me foi entregue, 
LUK.4.7	Portanto, se tu me adorares, tudo será teu. 
LUK.4.8	E Jesus, respondendo, disse-lhe: 
LUK.4.9	Levou-o também a Jerusalém, 
LUK.4.10	porque está escrito: 
LUK.4.11	e que te sustenham nas mãos, para que nunca tropeces com o teu pé em alguma pedra. 
LUK.4.12	E Jesus, respondendo, 
LUK.4.13	E, acabando o 
LUK.4.14	Então, 
LUK.4.15	E ensinava nas suas sinagogas e por todos era louvado.
LUK.4.16	E, chegando a 
LUK.4.17	E foi-lhe dado o livro do profeta Isaías; e, quando abriu o livro, achou o lugar em que estava escrito: 
LUK.4.20	E, cerrando o livro e tornando a dá-
LUK.4.21	Então, começou a dizer-lhes: 
LUK.4.22	E todos lhe davam testemunho, e se maravilhavam 
LUK.4.23	E ele lhes disse: 
LUK.4.24	E disse: 
LUK.4.28	E todos, na sinagoga, ouvindo essas coisas, se encheram de ira. 
LUK.4.29	E, levantando-se, o expulsaram da cidade e o levaram até ao cume do monte em que a cidade deles estava edificada, para dali o precipitarem. 
LUK.4.30	Ele, porém, passando 
LUK.4.31	E desceu 
LUK.4.32	E admiravam-se da sua doutrina, porque a 
