GEN.1.1	No princípio, criou Deus os céus e a terra. 
JHN.12.34	Replicou-lhe, pois, a multidão: Nós temos ouvido da lei que o Cristo permanece para sempre,
JHN.12.35	Respondeu-lhes Jesus: 
JHN.12.36	 Jesus disse estas coisas e, retirando-se, ocultou-se deles.
JHN.12.37	E, embora tivesse feito tantos sinais na sua presença, não creram nele, 
JHN.12.38	para se cumprir a palavra do profeta Isaías, que diz:
JHN.12.38	Senhor, quem creu em nossa pregação? E a quem foi revelado o braço do Senhor?
JHN.12.39	Por isso, não podiam crer, porque Isaías disse ainda:
JHN.12.40	Cegou-lhes os olhos e endureceu-lhes o coração, para que não vejam com os olhos, nem entendam com o coração, e se convertam, e sejam por mim curados.
JHN.12.41	Isto disse Isaías porque viu a glória dele e falou a seu respeito. 
JHN.12.42	Contudo, muitos dentre as próprias autoridades creram nele, mas, por causa dos fariseus, não o confessavam, para não serem expulsos da sinagoga; 
JHN.12.43	porque amaram mais a glória dos homens do que a glória de Deus.
JHN.12.44	E Jesus clamou, dizendo: 
JHN.13.1	Ora, antes da Festa da Páscoa, sabendo Jesus que era chegada a sua hora de passar deste mundo para o Pai, tendo amado os seus que estavam no mundo, amou-os até ao fim. 
JHN.13.2	Durante a ceia, tendo já o diabo posto no coração de Judas Iscariotes, filho de Simão, que traísse a Jesus, 
JHN.13.3	sabendo este que o Pai tudo confiara às suas mãos, e que ele viera de Deus, e voltava para Deus, 
JHN.13.4	levantou-se da ceia, tirou a vestimenta de cima e, tomando uma toalha, cingiu-se com ela. 
JHN.13.5	Depois, deitou água na bacia e passou a lavar os pés aos discípulos e a enxugar-lhos com a toalha com que estava cingido. 
JHN.13.6	Aproximou-se, pois, de Simão Pedro, e este lhe disse: Senhor, tu me lavas os pés a mim? 
JHN.13.7	Respondeu-lhe Jesus: 
JHN.13.8	Disse-lhe Pedro: Nunca me lavarás os pés. Respondeu-lhe Jesus: 
JHN.13.9	Então, Pedro lhe pediu: Senhor, não somente os pés, mas também as mãos e a cabeça. 
JHN.13.10	Declarou-lhe Jesus: 
JHN.13.11	Pois ele sabia quem era o traidor. Foi por isso que disse: Nem todos estais limpos.
JHN.13.12	Depois de lhes ter lavado os pés, tomou as vestes e, voltando à mesa, perguntou-lhes: 
JHN.13.21	Ditas estas coisas, angustiou-se Jesus em espírito e afirmou: 
JHN.13.22	Então, os discípulos olharam uns para os outros, sem saber a quem ele se referia. 
JHN.13.23	Ora, ali estava conchegado a Jesus um dos seus discípulos, aquele a quem ele amava; 
JHN.13.24	a esse fez Simão Pedro sinal, dizendo-lhe: Pergunta a quem ele se refere. 
JHN.13.25	Então, aquele discípulo, reclinando-se sobre o peito de Jesus, perguntou-lhe: Senhor, quem é? 
JHN.13.26	Respondeu Jesus: 
JHN.13.27	E, após o bocado, imediatamente, entrou nele Satanás. Então, disse Jesus: 
JHN.13.28	Nenhum, porém, dos que estavam à mesa percebeu a que fim lhe dissera isto. 
JHN.13.29	Pois, como Judas era quem trazia a bolsa, pensaram alguns que Jesus lhe dissera: Compra o que precisamos para a festa ou lhe ordenara que desse alguma coisa aos pobres. 
JHN.13.30	Ele, tendo recebido o bocado, saiu logo. E era noite.
JHN.13.31	Quando ele saiu, disse Jesus: 
JHN.13.36	Perguntou-lhe Simão Pedro: Senhor, para onde vais? Respondeu Jesus: 
JHN.13.37	Replicou Pedro: Senhor, por que não posso seguir-te agora? Por ti darei a própria vida. 
JHN.13.38	Respondeu Jesus: 
JHN.14.5	Disse-lhe Tomé: Senhor, não sabemos para onde vais; como saber o caminho? 
JHN.14.6	Respondeu-lhe Jesus: 
JHN.14.8	Replicou-lhe Filipe: Senhor, mostra-nos o Pai, e isso nos basta. 
JHN.14.9	Disse-lhe Jesus: 
JHN.14.22	Disse-lhe Judas, não o Iscariotes: Donde procede, Senhor, que estás para manifestar-te a nós e não ao mundo? 
JHN.14.23	Respondeu Jesus: 
JHN.16.17	Então, alguns dos seus discípulos disseram uns aos outros: Que vem a ser isto que nos diz: Um pouco, e não mais me vereis, e outra vez um pouco, e ver-me-eis; e: Vou para o Pai? 
JHN.16.18	Diziam, pois: Que vem a ser esse — um pouco? Não compreendemos o que quer dizer. 
JHN.16.19	Percebendo Jesus que desejavam interrogá-lo, perguntou-lhes: 
JHN.16.29	Disseram os seus discípulos: Agora é que falas claramente e não empregas nenhuma figura. 
JHN.16.30	Agora, vemos que sabes todas as coisas e não precisas de que alguém te pergunte; por isso, cremos que, de fato, vieste de Deus. 
JHN.16.31	Respondeu-lhes Jesus: 
JHN.17.1	Tendo Jesus falado estas coisas, levantou os olhos ao céu e disse: 
JHN.18.1	Tendo Jesus dito estas palavras, saiu juntamente com seus discípulos para o outro lado do ribeiro Cedrom, onde havia um jardim; e aí entrou com eles. 
JHN.18.2	E Judas, o traidor, também conhecia aquele lugar, porque Jesus ali estivera muitas vezes com seus discípulos. 
JHN.18.3	Tendo, pois, Judas recebido a escolta e, dos principais sacerdotes e dos fariseus, alguns guardas, chegou a este lugar com lanternas, tochas e armas. 
JHN.18.4	Sabendo, pois, Jesus todas as coisas que sobre ele haviam de vir, adiantou-se e perguntou-lhes: 
JHN.18.5	Responderam-lhe: A Jesus, o Nazareno. Então, Jesus lhes disse: 
JHN.18.6	Quando, pois, Jesus lhes disse: Sou eu, recuaram e caíram por terra. 
JHN.18.7	Jesus, de novo, lhes perguntou: 
JHN.18.8	Então, lhes disse Jesus: 
JHN.18.9	para se cumprir a palavra que dissera: Não perdi nenhum dos que me deste. 
JHN.18.10	Então, Simão Pedro puxou da espada que trazia e feriu o servo do sumo sacerdote, cortando-lhe a orelha direita; e o nome do servo era Malco. 
JHN.18.11	Mas Jesus disse a Pedro: 
JHN.18.12	Assim, a escolta, o comandante e os guardas dos judeus prenderam Jesus, manietaram-no 
JHN.18.13	e o conduziram primeiramente a Anás; pois era sogro de Caifás, sumo sacerdote naquele ano. 
JHN.18.14	Ora, Caifás era quem havia declarado aos judeus
JHN.18.15	Simão Pedro e outro discípulo seguiam a Jesus. Sendo este discípulo conhecido do sumo sacerdote, entrou para o pátio deste com Jesus. 
JHN.18.16	Pedro, porém, ficou de fora, junto à porta. Saindo, pois, o outro discípulo, que era conhecido do sumo sacerdote, falou com a encarregada da porta e levou a Pedro para dentro. 
JHN.18.17	Então, a criada, encarregada da porta, perguntou a Pedro: Não és tu também um dos discípulos deste homem? Não sou, respondeu ele. 
JHN.18.18	Ora, os servos e os guardas estavam ali, tendo acendido um braseiro, por causa do frio, e aquentavam-se. Pedro estava no meio deles, aquentando-se também.
JHN.18.19	Então, o sumo sacerdote interrogou a Jesus acerca dos seus discípulos e da sua doutrina. 
JHN.18.20	Declarou-lhe Jesus: 
JHN.18.22	Dizendo ele isto, um dos guardas que ali estavam deu uma bofetada em Jesus, dizendo: É assim que falas ao sumo sacerdote? 
JHN.18.23	Replicou-lhe Jesus: 
JHN.18.24	Então, Anás o enviou, manietado, à presença de Caifás, o sumo sacerdote.
JHN.18.25	Lá estava Simão Pedro, aquentando-se. Perguntaram-lhe, pois: És tu, porventura, um dos discípulos dele? Ele negou e disse: Não sou. 
JHN.18.26	Um dos servos do sumo sacerdote, parente daquele a quem Pedro tinha decepado a orelha, perguntou: Não te vi eu no jardim com ele? 
JHN.18.27	De novo, Pedro o negou, e, no mesmo instante, cantou o galo.
JHN.18.28	Depois, levaram Jesus da casa de Caifás para o pretório. Era cedo de manhã. Eles não entraram no pretório para não se contaminarem, mas poderem comer a Páscoa. 
JHN.18.29	Então, Pilatos saiu para lhes falar e lhes disse: Que acusação trazeis contra este homem? 
JHN.18.30	Responderam-lhe: Se este não fosse malfeitor, não to entregaríamos. 
JHN.18.31	Replicou-lhes, pois, Pilatos: Tomai-o vós outros e julgai-o segundo a vossa lei. Responderam-lhe os judeus: A nós não nos é lícito matar ninguém; 
JHN.18.32	para que se cumprisse a palavra de Jesus, significando o modo por que havia de morrer.
JHN.18.33	Tornou Pilatos a entrar no pretório, chamou Jesus e perguntou-lhe: És tu o rei dos judeus? 
JHN.18.34	Respondeu Jesus: 
JHN.18.35	Replicou Pilatos: Porventura, sou judeu? A tua própria gente e os principais sacerdotes é que te entregaram a mim. Que fizeste? 
JHN.18.36	Respondeu Jesus: 
JHN.18.37	Então, lhe disse Pilatos: Logo, tu és rei? Respondeu Jesus: 
JHN.18.38	Perguntou-lhe Pilatos: Que é a verdade?
JHN.18.38	Tendo dito isto, voltou aos judeus e lhes disse: Eu não acho nele crime algum. 
JHN.18.39	É costume entre vós que eu vos solte alguém por ocasião da Páscoa; quereis, pois, que vos solte o rei dos judeus? 
JHN.18.40	Então, gritaram todos, novamente: Não este, mas Barrabás! Ora, Barrabás era salteador.
JHN.19.1	Então, por isso, Pilatos tomou a Jesus e mandou açoitá-lo. 
JHN.19.2	Os soldados, tendo tecido uma coroa de espinhos, puseram-lha na cabeça e vestiram-no com um manto de púrpura. 
JHN.19.3	Chegavam-se a ele e diziam: Salve, rei dos judeus! E davam-lhe bofetadas. 
JHN.19.4	Outra vez saiu Pilatos e lhes disse: Eis que eu vo-lo apresento, para que saibais que eu não acho nele crime algum. 
JHN.19.5	Saiu, pois, Jesus trazendo a coroa de espinhos e o manto de púrpura. Disse-lhes Pilatos: Eis o homem! 
JHN.19.6	Ao verem-no, os principais sacerdotes e os seus guardas gritaram: Crucifica-o! Crucifica-o! Disse-lhes Pilatos: Tomai-o vós outros e crucificai-o; porque eu não acho nele crime algum. 
JHN.19.7	Responderam-lhe os judeus: Temos uma lei, e, de conformidade com a lei, ele deve morrer, porque a si mesmo se fez Filho de Deus. 
JHN.19.8	Pilatos, ouvindo tal declaração, ainda mais atemorizado ficou, 
JHN.19.9	e, tornando a entrar no pretório, perguntou a Jesus: Donde és tu? Mas Jesus não lhe deu resposta. 
JHN.19.10	Então, Pilatos o advertiu: Não me respondes? Não sabes que tenho autoridade para te soltar e autoridade para te crucificar? 
JHN.19.11	Respondeu Jesus: 
JHN.19.12	A partir deste momento, Pilatos procurava soltá-lo, mas os judeus clamavam: Se soltas a este, não és amigo de César! Todo aquele que se faz rei é contra César! 
JHN.19.13	Ouvindo Pilatos estas palavras, trouxe Jesus para fora e sentou-se no tribunal, no lugar chamado Pavimento, no hebraico Gabatá. 
JHN.19.14	E era a parasceve
JHN.19.15	Eles, porém, clamavam: Fora! Fora! Crucifica-o! Disse-lhes Pilatos: Hei de crucificar o vosso rei? Responderam os principais sacerdotes: Não temos rei, senão César! 
JHN.19.16	Então, Pilatos o entregou para ser crucificado.
JHN.19.17	Tomaram eles, pois, a Jesus; e ele próprio, carregando a sua cruz, saiu para o lugar chamado Calvário, Gólgota em hebraico, 
JHN.19.18	onde o crucificaram e com ele outros dois, um de cada lado, e Jesus no meio. 
JHN.19.19	Pilatos escreveu também um título e o colocou no cimo da cruz; o que estava escrito era: 
JHN.19.20	Muitos judeus leram este título, porque o lugar em que Jesus fora crucificado era perto da cidade; e estava escrito em hebraico, latim e grego. 
JHN.19.21	Os principais sacerdotes diziam a Pilatos: Não escrevas: Rei dos judeus, e sim que ele disse: Sou o rei dos judeus. 
JHN.19.22	Respondeu Pilatos: O que escrevi escrevi.
JHN.19.23	Os soldados, pois, quando crucificaram Jesus, tomaram-lhe as vestes e fizeram quatro partes, para cada soldado uma parte; e pegaram também a túnica. A túnica, porém, era sem costura, toda tecida de alto a baixo. 
JHN.19.24	Disseram, pois, uns aos outros: Não a rasguemos, mas lancemos sortes sobre ela para ver a quem caberá — para se cumprir a Escritura:
JHN.19.24	Repartiram entre si as minhas vestes e sobre a minha túnica lançaram sortes.
JHN.19.24	Assim, pois, o fizeram os soldados.
JHN.19.25	E junto à cruz estavam a mãe de Jesus, e a irmã dela, e Maria, mulher de Clopas, e Maria Madalena. 
JHN.19.26	Vendo Jesus sua mãe e junto a ela o discípulo amado, disse: 
JHN.19.27	Depois, disse ao discípulo: 
JHN.19.28	Depois, vendo Jesus que tudo já estava consumado, para se cumprir a Escritura, disse: 
JHN.19.29	Estava ali um vaso cheio de vinagre. Embeberam de vinagre uma esponja e, fixando-a num caniço de hissopo, lha chegaram à boca.
JHN.19.30	Quando, pois, Jesus tomou o vinagre, disse: 
JHN.19.31	Então, os judeus, para que no sábado não ficassem os corpos na cruz, visto como era a preparação, pois era grande o dia daquele sábado, rogaram a Pilatos que se lhes quebrassem as pernas, e fossem tirados. 
JHN.19.32	Os soldados foram e quebraram as pernas ao primeiro e ao outro que com ele tinham sido crucificados; 
JHN.19.33	chegando-se, porém, a Jesus, como vissem que já estava morto, não lhe quebraram as pernas. 
JHN.19.34	Mas um dos soldados lhe abriu o lado com uma lança, e logo saiu sangue e água. 
JHN.19.35	Aquele que isto viu testificou, sendo verdadeiro o seu testemunho; e ele sabe que diz a verdade, para que também vós creiais. 
JHN.19.36	E isto aconteceu para se cumprir a Escritura:
JHN.19.36	Nenhum dos seus ossos será quebrado.
JHN.19.37	E outra vez diz a Escritura:
JHN.19.37	Eles verão aquele a quem traspassaram.
JHN.19.38	Depois disto, José de Arimateia, que era discípulo de Jesus, ainda que ocultamente pelo receio que tinha dos judeus, rogou a Pilatos lhe permitisse tirar o corpo de Jesus. Pilatos lho permitiu. Então, foi José de Arimateia e retirou o corpo de Jesus. 
JHN.19.39	E também Nicodemos, aquele que anteriormente viera ter com Jesus à noite,
JHN.19.40	Tomaram, pois, o corpo de Jesus e o envolveram em lençóis com os aromas, como é de uso entre os judeus na preparação para o sepulcro. 
JHN.19.41	No lugar onde Jesus fora crucificado, havia um jardim, e neste, um sepulcro novo, no qual ninguém tinha sido ainda posto. 
JHN.19.42	Ali, pois, por causa da preparação dos judeus e por estar perto o túmulo, depositaram o corpo de Jesus.
JHN.20.1	No primeiro dia da semana, Maria Madalena foi ao sepulcro de madrugada, sendo ainda escuro, e viu que a pedra estava revolvida. 
JHN.20.2	Então, correu e foi ter com Simão Pedro e com o outro discípulo, a quem Jesus amava, e disse-lhes: Tiraram do sepulcro o Senhor, e não sabemos onde o puseram. 
JHN.20.3	Saiu, pois, Pedro e o outro discípulo e foram ao sepulcro. 
JHN.20.4	Ambos corriam juntos, mas o outro discípulo correu mais depressa do que Pedro e chegou primeiro ao sepulcro; 
JHN.20.5	e, abaixando-se, viu os lençóis de linho; todavia, não entrou. 
JHN.20.6	Então, Simão Pedro, seguindo-o, chegou e entrou no sepulcro. Ele também viu os lençóis, 
JHN.20.7	e o lenço que estivera sobre a cabeça de Jesus, e que não estava com os lençóis, mas deixado num lugar à parte. 
JHN.20.8	Então, entrou também o outro discípulo, que chegara primeiro ao sepulcro, e viu, e creu. 
JHN.20.9	Pois ainda não tinham compreendido a Escritura, que era necessário ressuscitar ele dentre os mortos. 
JHN.20.10	E voltaram os discípulos outra vez para casa.
JHN.20.11	Maria, entretanto, permanecia junto à entrada do túmulo, chorando. Enquanto chorava, abaixou-se, e olhou para dentro do túmulo, 
JHN.20.12	e viu dois anjos vestidos de branco, sentados onde o corpo de Jesus fora posto, um à cabeceira e outro aos pés. 
JHN.20.13	Então, eles lhe perguntaram: Mulher, por que choras? Ela lhes respondeu: Porque levaram o meu Senhor, e não sei onde o puseram. 
JHN.20.14	Tendo dito isto, voltou-se para trás e viu Jesus em pé, mas não reconheceu que era Jesus. 
JHN.20.15	Perguntou-lhe Jesus: 
JHN.20.16	Disse-lhe Jesus: 
JHN.20.17	Recomendou-lhe Jesus: 
JHN.20.18	Então, saiu Maria Madalena anunciando aos discípulos: Vi o Senhor! E contava que ele lhe dissera estas coisas.
JHN.20.19	Ao cair da tarde daquele dia, o primeiro da semana, trancadas as portas da casa onde estavam os discípulos com medo dos judeus, veio Jesus, pôs-se no meio e disse-lhes: 
JHN.20.20	E, dizendo isto, lhes mostrou as mãos e o lado. Alegraram-se, portanto, os discípulos ao verem o Senhor. 
JHN.20.21	Disse-lhes, pois, Jesus outra vez: 
JHN.20.22	E, havendo dito isto, soprou sobre eles e disse-lhes: 
JHN.20.24	Ora, Tomé, um dos doze, chamado Dídimo, não estava com eles quando veio Jesus. 
JHN.20.25	Disseram-lhe, então, os outros discípulos: Vimos o Senhor. Mas ele respondeu: Se eu não vir nas suas mãos o sinal dos cravos, e ali não puser o dedo, e não puser a mão no seu lado, de modo algum acreditarei.
JHN.20.26	Passados oito dias, estavam outra vez ali reunidos os seus discípulos, e Tomé, com eles. Estando as portas trancadas, veio Jesus, pôs-se no meio e disse-lhes: 
JHN.20.27	E logo disse a Tomé: 
JHN.20.28	Respondeu-lhe Tomé: Senhor meu e Deus meu! 
JHN.20.29	Disse-lhe Jesus: 
JHN.20.30	Na verdade, fez Jesus diante dos discípulos muitos outros sinais que não estão escritos neste livro. 
JHN.20.31	Estes, porém, foram registrados para que creiais que Jesus é o Cristo, o Filho de Deus, e para que, crendo, tenhais vida em seu nome.
JHN.21.1	Depois disto, tornou Jesus a manifestar-se aos discípulos junto do mar de Tiberíades; e foi assim que ele se manifestou: 
JHN.21.2	estavam juntos Simão Pedro, Tomé, chamado Dídimo, Natanael, que era de Caná da Galileia, os filhos de Zebedeu e mais dois dos seus discípulos. 
JHN.21.3	Disse-lhes Simão Pedro: Vou pescar. Disseram-lhe os outros: Também nós vamos contigo. Saíram, e entraram no barco, e, naquela noite, nada apanharam.
JHN.21.4	Mas, ao clarear da madrugada, estava Jesus na praia; todavia, os discípulos não reconheceram que era ele. 
JHN.21.5	Perguntou-lhes Jesus: 
JHN.21.6	Então, lhes disse: 
JHN.21.7	Aquele discípulo a quem Jesus amava disse a Pedro: É o Senhor! Simão Pedro, ouvindo que era o Senhor, cingiu-se com sua veste, porque se havia despido, e lançou-se ao mar; 
JHN.21.8	mas os outros discípulos vieram no barquinho puxando a rede com os peixes; porque não estavam distantes da terra senão quase duzentos côvados.
JHN.21.9	Ao saltarem em terra, viram ali umas brasas e, em cima, peixes; e havia também pão. 
JHN.21.10	Disse-lhes Jesus: 
JHN.21.11	Simão Pedro entrou no barco e arrastou a rede para a terra, cheia de cento e cinquenta e três grandes peixes; e, não obstante serem tantos, a rede não se rompeu. 
JHN.21.12	Disse-lhes Jesus: 
JHN.21.13	Veio Jesus, tomou o pão, e lhes deu, e, de igual modo, o peixe. 
JHN.21.14	E já era esta a terceira vez que Jesus se manifestava aos discípulos, depois de ressuscitado dentre os mortos.
JHN.21.15	Depois de terem comido, perguntou Jesus a Simão Pedro: 
JHN.21.16	Tornou a perguntar-lhe pela segunda vez: 
JHN.21.17	Pela terceira vez Jesus lhe perguntou: 
JHN.21.19	Disse isto para significar com que gênero de morte Pedro havia de glorificar a Deus. Depois de assim falar, acrescentou-lhe: 
JHN.21.20	Então, Pedro, voltando-se, viu que também o ia seguindo o discípulo a quem Jesus amava, o qual na ceia se reclinara sobre o peito de Jesus
JHN.21.21	Vendo-o, pois, Pedro perguntou a Jesus: E quanto a este? 
JHN.21.22	Respondeu-lhe Jesus: 
JHN.21.23	Então, se tornou corrente entre os irmãos o dito de que aquele discípulo não morreria. Ora, Jesus não dissera que tal discípulo não morreria, mas: 
JHN.21.24	Este é o discípulo que dá testemunho a respeito destas coisas e que as escreveu; e sabemos que o seu testemunho é verdadeiro.
JHN.21.25	Há, porém, ainda muitas outras coisas que Jesus fez. Se todas elas fossem relatadas uma por uma, creio eu que nem no mundo inteiro caberiam os livros que seriam escritos.
ACT.1.1	Escrevi o primeiro livro, ó Teófilo,
ACT.1.2	até ao dia em que, depois de haver dado mandamentos por intermédio do Espírito Santo aos apóstolos que escolhera, foi elevado às alturas. 
ACT.1.3	A estes também, depois de ter padecido, se apresentou vivo, com muitas provas incontestáveis, aparecendo-lhes durante quarenta dias e falando das coisas concernentes ao reino de Deus. 
ACT.1.4	E, comendo com eles, determinou-lhes que não se ausentassem de Jerusalém, mas que 
ACT.1.6	Então, os que estavam reunidos lhe perguntaram: Senhor, será este o tempo em que restaures o reino a Israel? 
ACT.1.7	Respondeu-lhes: 
ACT.1.9	Ditas estas palavras, foi Jesus elevado às alturas, à vista deles, e uma nuvem o encobriu dos seus olhos. 
ACT.1.10	E, estando eles com os olhos fitos no céu, enquanto Jesus subia, eis que dois varões vestidos de branco se puseram ao lado deles 
ACT.1.11	e lhes disseram: Varões galileus, por que estais olhando para as alturas? Esse Jesus que dentre vós foi assunto ao céu virá do modo como o vistes subir.
ACT.1.12	Então, voltaram para Jerusalém, do monte chamado Olival, que dista daquela cidade tanto como a jornada de um sábado.
ACT.1.13	Quando ali entraram, subiram para o cenáculo onde se reuniam Pedro, João, Tiago, André, Filipe, Tomé, Bartolomeu, Mateus, Tiago, filho de Alfeu, Simão, o Zelote, e Judas, filho de Tiago. 
ACT.1.14	Todos estes perseveravam unânimes em oração, com as mulheres, com Maria, mãe de Jesus, e com os irmãos dele.
ACT.1.15	Naqueles dias, levantou-se Pedro no meio dos irmãos (ora, compunha-se a assembleia de umas cento e vinte pessoas) e disse: 
ACT.1.16	Irmãos, convinha que se cumprisse a Escritura que o Espírito Santo proferiu anteriormente por boca de Davi, acerca de Judas, que foi o guia daqueles que prenderam Jesus, 
ACT.1.17	porque ele era contado entre nós e teve parte neste ministério. 
ACT.1.18	(Ora, este homem adquiriu um campo com o preço da iniquidade; e, precipitando-se, rompeu-se pelo meio, e todas as suas entranhas se derramaram; 
ACT.1.19	e isto chegou ao conhecimento de todos os habitantes de Jerusalém, de maneira que em sua própria língua esse campo era chamado Aceldama, isto é, Campo de Sangue.
ACT.1.20	Porque está escrito no Livro dos Salmos:
ACT.1.20	Fique deserta a sua morada;
ACT.1.20	e:
ACT.1.20	Tome outro o seu encargo.
ACT.1.21	É necessário, pois, que, dos homens que nos acompanharam todo o tempo que o Senhor Jesus andou entre nós, 
ACT.1.22	começando no batismo de João,
ACT.1.23	Então, propuseram dois: José, chamado Barsabás, cognominado Justo, e Matias. 
ACT.1.24	E, orando, disseram: Tu, Senhor, que conheces o coração de todos, revela-nos qual destes dois tens escolhido 
ACT.1.25	para preencher a vaga neste ministério e apostolado, do qual Judas se transviou, indo para o seu próprio lugar. 
ACT.1.26	E os lançaram em sortes, vindo a sorte recair sobre Matias, sendo-lhe, então, votado lugar com os onze apóstolos.
ACT.2.1	Ao cumprir-se o dia de Pentecostes,
ACT.2.2	de repente, veio do céu um som, como de um vento impetuoso, e encheu toda a casa onde estavam assentados. 
ACT.2.3	E apareceram, distribuídas entre eles, línguas, como de fogo, e pousou uma sobre cada um deles. 
ACT.2.4	Todos ficaram cheios do Espírito Santo e passaram a falar em outras línguas, segundo o Espírito lhes concedia que falassem.
ACT.2.5	Ora, estavam habitando em Jerusalém judeus, homens piedosos, vindos de todas as nações debaixo do céu. 
ACT.2.6	Quando, pois, se fez ouvir aquela voz, afluiu a multidão, que se possuiu de perplexidade, porquanto cada um os ouvia falar na sua própria língua. 
ACT.2.7	Estavam, pois, atônitos e se admiravam, dizendo: Vede! Não são, porventura, galileus todos esses que aí estão falando? 
ACT.2.8	E como os ouvimos falar, cada um em nossa própria língua materna? 
ACT.2.9	Somos partos, medos, elamitas e os naturais da Mesopotâmia, Judeia, Capadócia, Ponto e Ásia, 
ACT.2.10	da Frígia, da Panfília, do Egito e das regiões da Líbia, nas imediações de Cirene, e romanos que aqui residem, 
ACT.2.11	tanto judeus como prosélitos, cretenses e arábios. Como os ouvimos falar em nossas próprias línguas as grandezas de Deus? 
ACT.2.12	Todos, atônitos e perplexos, interpelavam uns aos outros: Que quer isto dizer? 
ACT.2.13	Outros, porém, zombando, diziam: Estão embriagados!
ACT.2.14	Então, se levantou Pedro, com os onze; e, erguendo a voz, advertiu-os nestes termos: Varões judeus e todos os habitantes de Jerusalém, tomai conhecimento disto e atentai nas minhas palavras. 
ACT.2.15	Estes homens não estão embriagados, como vindes pensando, sendo esta a terceira hora do dia. 
ACT.2.16	Mas o que ocorre é o que foi dito por intermédio do profeta Joel:
ACT.2.17	E acontecerá nos últimos dias, diz o Senhor, que derramarei do meu Espírito sobre toda a carne; vossos filhos e vossas filhas profetizarão, vossos jovens terão visões, e sonharão vossos velhos;
ACT.2.18	até sobre os meus servos e sobre as minhas servas derramarei do meu Espírito naqueles dias, e profetizarão.
ACT.2.19	Mostrarei prodígios em cima no céu e sinais embaixo na terra: sangue, fogo e vapor de fumaça.
ACT.2.20	O sol se converterá em trevas, e a lua, em sangue, antes que venha o grande e glorioso Dia do Senhor.
ACT.2.21	E acontecerá que todo aquele que invocar o nome do Senhor será salvo.
ACT.2.22	Varões israelitas, atendei a estas palavras: Jesus, o Nazareno, varão aprovado por Deus diante de vós com milagres, prodígios e sinais, os quais o próprio Deus realizou por intermédio dele entre vós, como vós mesmos sabeis; 
ACT.2.23	sendo este entregue pelo determinado desígnio e presciência de Deus, vós o matastes, crucificando-o
ACT.2.24	ao qual, porém, Deus ressuscitou,
ACT.2.25	Porque a respeito dele diz Davi:
ACT.2.25	Diante de mim via sempre o Senhor, porque está à minha direita, para que eu não seja abalado.
ACT.2.26	Por isso, se alegrou o meu coração, e a minha língua exultou; além disto, também a minha própria carne repousará em esperança,
ACT.2.27	porque não deixarás a minha alma na morte, nem permitirás que o teu Santo veja corrupção.
ACT.2.28	Fizeste-me conhecer os caminhos da vida, encher-me-ás de alegria na tua presença.
ACT.2.29	Irmãos, seja-me permitido dizer-vos claramente a respeito do patriarca Davi que ele morreu e foi sepultado, e o seu túmulo permanece entre nós até hoje. 
ACT.2.30	Sendo, pois, profeta e sabendo que Deus lhe havia jurado
ACT.2.31	prevendo isto, referiu-se à ressurreição de Cristo, que nem foi deixado na morte, nem o seu corpo experimentou corrupção. 
ACT.2.32	A este Jesus Deus ressuscitou, do que todos nós somos testemunhas. 
ACT.2.33	Exaltado, pois, à destra de Deus, tendo recebido do Pai a promessa do Espírito Santo, derramou isto que vedes e ouvis. 
ACT.2.34	Porque Davi não subiu aos céus, mas ele mesmo declara:
ACT.2.34	Disse o Senhor ao meu Senhor: Assenta-te à minha direita,
ACT.2.35	até que eu ponha os teus inimigos por estrado dos teus pés.
ACT.2.36	Esteja absolutamente certa, pois, toda a casa de Israel de que a este Jesus, que vós crucificastes, Deus o fez Senhor e Cristo.
ACT.2.37	Ouvindo eles estas coisas, compungiu-se-lhes o coração e perguntaram a Pedro e aos demais apóstolos: Que faremos, irmãos? 
ACT.2.38	Respondeu-lhes Pedro: Arrependei-vos, e cada um de vós seja batizado em nome de Jesus Cristo para remissão dos vossos pecados, e recebereis o dom do Espírito Santo. 
ACT.2.39	Pois para vós outros é a promessa, para vossos filhos e para todos os que ainda estão longe, isto é, para quantos o Senhor, nosso Deus, chamar. 
ACT.2.40	Com muitas outras palavras deu testemunho e exortava-os, dizendo: Salvai-vos desta geração perversa. 
ACT.2.41	Então, os que lhe aceitaram a palavra foram batizados, havendo um acréscimo naquele dia de quase três mil pessoas.
ACT.2.42	E perseveravam na doutrina dos apóstolos e na comunhão, no partir do pão e nas orações. 
ACT.2.43	Em cada alma havia temor; e muitos prodígios e sinais eram feitos por intermédio dos apóstolos. 
ACT.2.44	Todos os que creram estavam juntos e tinham tudo em comum.
ACT.2.45	Vendiam as suas propriedades
ACT.2.46	Diariamente perseveravam unânimes no templo, partiam pão de casa em casa e tomavam as suas refeições com alegria e singeleza de coração, 
ACT.2.47	louvando a Deus e contando com a simpatia de todo o povo. Enquanto isso, acrescentava-lhes o Senhor, dia a dia, os que iam sendo salvos.
ACT.3.1	Pedro e João subiam ao templo para a oração da hora nona. 
ACT.3.2	Era levado um homem, coxo de nascença, o qual punham diariamente à porta do templo chamada Formosa, para pedir esmola aos que entravam. 
ACT.3.3	Vendo ele a Pedro e João, que iam entrar no templo, implorava que lhe dessem uma esmola. 
ACT.3.4	Pedro, fitando-o, juntamente com João, disse: Olha para nós. 
ACT.3.5	Ele os olhava atentamente, esperando receber alguma coisa. 
