MAT.1.1	Am maŋge ŋen maŋge ŋen sokbem kotnepeme Zisas ek Abalaam ma Dewit egegat iŋsokŋit penaŋ sokbeye.
REV.13.7	Mti Kawawaŋgalen am nâmkiŋpepemak ekŋen kasa mimindamti indomwalet mimindendeyet nâmpepeŋaŋ. Mti am yaŋin igak igak ma msalin igak igak ma zelin ŋande sepem igak igak ma sek sepemin igak igak ekŋengalen ŋeŋaŋ bembe an kwage. 
REV.13.8	Âpme msat kataŋ am ekŋenaŋ soŋgom zemsesewatpewep. Mme itnaŋaŋ penaŋ Kawawaŋaŋ kululuŋ ma msat weyayaŋpiŋ mti egaŋ amŋene sambe kwilin mama kanzizitgalen papia keyet keŋan kuye. Am ekŋen kwilin mama kanzizitgalen papiaen ke keŋan tazin ekŋen keyaŋ soŋgom ku sesewatsawep.
REV.13.9	In wakŋin bemti nâlen zet ingat kapigok zema nâit: 
REV.13.10	Kawawaŋaŋ am nâmkiŋpepemak ŋen mka katikŋan zapat nâmpeye beme mka katikŋan mebe. Ma ŋen kasa kuku ekŋenaŋ wanamaŋ aŋme gakikiyet Kawawaŋaŋ nâmpeye egaŋ kegoset gakiwe. Kan keyet Kawawaŋgalen amnaŋ nâmkiŋpepeŋin mkatikŋaŋ bemtati kupeme towembe.
REV.13.11	Âpme msat keŋangatnan soŋgom kukŋaŋbeŋ ŋen kwapme ekban. Ma ek zegalipmaŋ zut sipsipgalen nemboŋ; zetnaŋ ŋandaŋaŋ gazu gazuyelen zetnok zeye. 
REV.13.12	Âpme soŋgom keyaŋ soŋgom ŋeŋaŋ kwage egat zimosetnan tati egalen windeen mulup mgeyaŋ ewe mamin. Mti msalen am mimindeme eweŋan soŋgom gakikiŋaŋnok mti wage ek ke pedondom samti sesewatsawien. 
REV.13.13	Mti soŋgom msat keŋangatnaŋ kwage egaŋ menok temaŋ mme am msalengatnaŋ taekme egaŋ zeme kululuŋengatnaŋ tewaŋ zipeŋ toge. 
REV.13.14	Menok kwitnaŋ kwitnaŋ kegok mimiyet Kawawaŋaŋ nâmpepeŋaŋ keyepmti egaŋ soŋgom ŋeŋaŋ keyet zikatnan kegok mti msalen am keŋin mme yuŋguye. Mti zeme soŋgom maiwaŋ ome gakikiŋaŋnok mwati mamayelen tage keyet sepem weŋaŋ weyaŋbien. 
REV.13.15	Soŋgom keyet weŋaŋ ke mti onzempeme tapme soŋgom bamgatnaŋ ekŋen miap maip mamin ek ke menok mimiyet nâmpepeŋaŋ. Âpme egalen zeweleleŋaŋ kumbume soŋgom kukŋaŋgalen weŋaŋ keŋan megeyepm wati zetnaŋ zeye. Zemti amnaŋ soŋgom weŋaŋ ke ku sesewatsaip ekŋen ke egaŋ zeme indome gakiwien. 
REV.13.16	Kegok sokbeme egaŋ am mobotnaŋ ma tototnaŋ am milawatmak ma am bekopsat am lala talip ma am lala ku matalip ekŋen nemboŋ am keyet ekŋengat mepmit zeme ilindiŋ penaŋ belin penaŋset ma monzalamnan meluwaŋ kuindeye. 
REV.13.17	Âpme am soŋgomgalen kwitmak mamaip ekŋenaŋ etaŋ kwitnaŋ kwitnaŋ kwititiyet ma meaem kwaem ŋep mbien. Am ekŋen ke soŋgomgalen kwitnaŋ ma kwit yaŋaŋ mâsâgât makuku mulup mme sokbenak keyet kataŋ tage.
REV.13.18	Nin kapiyet weyaŋ nâsenup. An ŋen nânâŋaŋmagaŋ keyaŋ soŋgom keyet kwitnaŋ makuku mulup mti nâmbe. 666 ke makuku mulup mme kwit keyet yaŋaŋ kegok sokbeye.
REV.14.1	Âpme neŋ ekma mepme Sipsip Nembaŋaŋ Zaion Kalaŋan tapme ekban. Ekmak am 144 tausen kegogaŋ tabien. Monzalaminan ikŋaŋgalen kwitnaŋ kumpepeŋaŋ ma Bipmaŋgat kwitnaŋ kegogak kumpepeŋaŋ. 
REV.14.2	Âpme kululuŋen zet ŋen nâmban. Ke tu bimaŋ ome kwisak omba penaŋ makuin sepem keboŋ nâmben ma kululuŋ kwisakŋaŋ temaŋ makuin kwisak keboŋ. Yaŋgut kwisak ke nâma gita kulele kwisaknok beye. Am sambe gita kulele kumenok kwisakŋaŋ makuin kegok nâmban. 
REV.14.3	Ekŋenaŋ Amobotnaŋgalen mundum elimiakŋaŋmak ma kwitnaŋ kwitnaŋ mamaŋinmak zulak zulak ma an damuŋ ekŋengat zimoselinan sesewat silik alakŋaŋ kuwien. Silik ke am notnaŋaŋ kumti nânâyelen. Am msat sambe ekŋengat tuŋguwinaŋgatnaŋ am Kawawaŋaŋ 144 tausen gilik zemindatiye ekŋenaŋ ŋep nânâyelen. 
REV.14.4	Ekŋenaŋ teŋ penaŋ mambien imbiŋen sekŋaŋ ku ekbien. Ekŋenaŋ Sipsip Nembaŋaŋ mamain keyet kataŋ mamaip. Ekŋen ke msalen am sambe ekŋenmagengatnaŋ Sipsip Nembaŋaŋ ekmak mamayet Kawawaŋaŋ ŋeŋaŋ yaŋbemti indatiye. 
REV.14.5	Ma zet dâsuki ŋen ku zewien penaŋ; ekŋen an ke teŋ penaŋ.
REV.14.6	Âpme neŋ ensel ŋen ekma ek pâmti msat tuŋgupman gwaen kwawege. Ek msalen am sambe sek sepem igak igak ma am maŋge temaŋ ikŋak ikŋak ma am zelin sambe manzeip kataŋ ma am msalen msat kataŋ talip ekŋengat buŋam zapat dolakŋaŋ mama kanzizit ke mti mamaŋge. 
REV.14.7	Egaŋ zet zapat dolakŋaŋ kapigok zeye, “In Kawawaŋgat nâme mobotnaŋ beme kwizet buŋaman mimwabep. Kawawaŋaŋ am yaŋin mimsokbemti dopmaŋ indandayelen kanaŋ sokŋan bein. Kululuŋ ma msat ma nembu ma tu zikatnaŋ sambe ke weyaŋgeyepmti egat dundum sesewatsawep.”
REV.14.8	Kegok zemti mepme naman ensel ŋenaŋ koti zet kapigok kuye, “Babilon mka temaŋ kumasekzin. Asekme delaŋ penaŋ zein. Mka keyelen am ekŋenaŋ msat kataŋ am sambe mme imbimak set kileŋ mama keyet mama mimi mâbien sepem ilin mambienok.”
REV.14.9	Âpme ensel bamnanen ŋen ewe koge egaŋ zet kapigok zeye, “Am ekŋenaŋ soŋgom kukŋaŋbeŋ maweŋaŋgat pedondom sawep ma monzalaminan ma belinanen egalen kwitnaŋaŋ tageyepm 
REV.14.10	ekŋengat Kawawaŋaŋ ŋenzinziŋ temaŋ penaŋ mge. Mti enselŋane teŋ ma Sipsip Nembaŋaŋ ekŋenaŋ taindikme am ekŋenaŋ tepmak nanzaŋ sulpa taŋamaŋ keŋan toweti ke sek sindem temaŋ nâmti kwesiŋ mambep. 
REV.14.11	Âpme tewaŋ am keboŋ ekŋen ke indazime tep kasagaŋ sindem temaŋ indame kasagaŋ bep zenzepiŋ kwesiŋ moti wembe. Keyepmti am soŋgom kukŋaŋbeŋ ma egat weŋaŋgat sesewat mti kwitnaŋ mmambien ekŋen sindemen indewe. Ekŋen sindemen tambu msa tagogopiŋ tiwep.” 
REV.14.12	Kan keyet Kawawaŋgalen am mamaip ekŋenaŋ nâmkiŋpepe windeŋaŋmak mambep. Ekŋen ke Kawawaŋgalen zet gawepumamti Zisasiyet nâmkiŋpepeŋin katipepepiŋ ek mâti mamambep.
REV.14.13	Âpme neŋ tatnâma kwizet ŋen kululuŋengatnaŋ kwatoti kapigok zeme nâmban, “Geŋ zet papiaen meluwaŋ mi, ‘Kan alakgatnaŋ mezin Amobotnaŋ ekmagen wetekumti mamti gakim mosâip keyepmti ekŋenaŋ oloŋen mtatmâlip.’”
REV.14.13	Kawawaŋgalen Emetagaŋ zein, “Penaŋ, ekŋenaŋ Kawawaŋgalen mulup katikŋaŋ mti sek sindem palen mambien. Ke peme tapme met kâtnânâ aikti oloŋen mbep. Mti mama mimiŋin pembenaŋgat penaŋaŋ gwaen tiwep.”
REV.14.14	Âpme neŋ ekma zanza satnaŋ sokbeme ekban. Mme zanza palen an ŋen Angat Nemuŋaŋ nemboŋ tapme ekban. Ŋokŋanen amobotnaŋgalen bunduŋ golaŋ mimiŋaŋ ke munduŋti tage ma betnaŋaŋ wanam kukŋaŋbeŋ ke mti tage. 
REV.14.15	Âpme ensel ŋen sesewat mka temaŋ keŋangatnan kwatoti gwaen ekpeme mopme an zanza palen tage egat kapigok kwizet kuye, “Geŋ wanamdi mti tadik keyaŋ wit muluwen eleŋgeŋgeyelen kanaŋ bein. Msalen mulup ke penaŋaŋ ilak titiyelen bein keyepm met kumeleŋgemât.” 
REV.14.16	Kegok zeme an zanza palen tage egaŋ wanamaŋ atam tati msalen wit mulup penaŋaŋ eleŋgeme delaŋ zemâge.
REV.14.17	Âpme ensel ŋenaŋ kululuŋ sesewat mka temaŋ keŋangatnan kwatoge. Ek kegogak wanam kukŋaŋbeŋ penaŋ mti tage. 
REV.14.18	Âpme ensel ŋenaŋ sâpe sâpe bumbuyelen munduman koge. Ek tep keyet damuŋaŋ ensel wanam kukŋaŋbeŋ mti tage egat kapigok zeye, “Geŋ wanamdi kukŋaŋbeŋ keyaŋ msalen wain penaŋaŋ ekŋen sambe ilak kwipman beingat eleŋgemât.” 
REV.14.19	Kegok zeme ensel keyaŋ wanam atam tati msalen wain tekŋanen katnaŋ antimti timtati time batikondo temaŋ keŋan towege. Kawawaŋgalen ŋenzinziŋ wain katnaŋ timti batikondo temaŋ keŋan time towepme amnaŋ selaŋ maip keyet kataŋ am yomtoŋ ekŋenmagen sakam kegok sokbewe. 
REV.14.20	Âpme ekŋenaŋ wain katnaŋ ke mti mka temaŋ keyet ganzenan baenen batikondo temaŋ tage keyet keŋan bemti selaŋ ime zalimti amgalen sip keyaŋ batikondo temaŋ keŋangatnan zupman toti msat teepmaŋ 180 mael keyet kataŋ mepme sipgat sememeŋaŋ kwageen mita zut keyet kataŋ kwage.
REV.15.1	Âpme kululuŋen muluwaŋ temaŋ piseseŋaŋmak mamanamaŋ ŋen sokbeme ekban. Ensel 7 ekŋenaŋ kwitnaŋ kwitnaŋ kiŋgagatnaŋmak 7 mti tabien. Kwitnaŋ kwitnaŋ keyaŋ ŋeŋaŋ sokbemti wemeŋgut mameti Kawawaŋgalen ŋenzinziŋ sokbem delaŋ zenzeyet zenzeŋaŋ. 
REV.15.2	Âpme neŋ nembu ŋen ekma ke galas tepmak lumaŋtinok tapme ekban. Âpme soŋgom kukŋaŋbeŋ ma weŋaŋ ma meluwaŋ ke windeŋaŋ bemti kiŋgatpewien. Am ekŋen keyaŋ nembu keyet ganzenan tapme Kawawaŋaŋ gita kulele indame ke mti tabien. 
REV.15.3	Ekŋenaŋ Kawawaŋgat mulup anaŋ Mosesiyet ma Sipsip Nembaŋaŋ egat silikŋaŋ kapigok mililim kuwien,
REV.15.3	“O Amobotnaŋ Kawawaŋ winde toŋaŋ. Geŋ mulupdi temaŋ penaŋ ma kiŋgagatnaŋmak maminik. Msalen am sambe ekŋengalen amobotnaŋin. Geŋ mamandi teŋ mamanik ma kwitnaŋ kwitnaŋ mmane penaŋaŋmak etaŋ mambein. 
REV.15.4	Amobotnaŋ, am sambeyaŋ sesewatgemti kwizet buŋamdi mmobep. Geŋ kwewetaŋaŋ teŋ mamanik ma geŋ musuwewet mulup penaŋak mmane keyet yaŋaŋ masokbemkawaŋ mambein keyepmti am sambe penaŋ ekŋenaŋ geŋmagen koti sesewatgewep.”
REV.15.5	Âpme neŋ ekma kululuŋgalen sesewat mka temaŋ Kawawaŋaŋ mundum keŋan matazin keyelen set ŋandepeŋ tapme ekban. 
REV.15.6	Ŋandeme ensel kwitnaŋ kwitnaŋ kiŋgagatnaŋmak 7 timti tabien ekŋenaŋ keyet keŋangatnan kwatobien. Ekŋenaŋ melakanduŋin bumbulumepiŋ; satnaŋ penaŋ peme topme tabien. Ma mampoŋgaŋinan bitim golaŋ mimiŋaŋ ke zamti tabien. 
REV.15.7	Âpme kwitnaŋ kwitnaŋ mamaŋinmak soŋgom nemboŋ zulak zulak tabien ekŋenmagen ŋenaŋ pelep golaŋ mimiŋaŋ 7 kapi timti ensel 7 ke indaye. Pelep keyet keŋan Kawawaŋ mama kanzizit mama main egalen ŋenzinziŋaŋ gak zemti tage ke indaye. 
REV.15.8	Âpme sesewat mka temaŋ keyet keŋan Kawawaŋgalen busatnaŋaŋ ma windeŋaŋ keyelen kasak temaŋ penaŋaŋ kwalati tage keyepmti am ŋenaŋ sesewat mka temaŋ keŋan mobogalen kataŋ ku beye. Ekŋenaŋ damuŋ tapme ensel 7 ekŋenaŋ kwitnaŋ kwitnaŋ kiŋgagatnaŋmak timti tabien ekŋenaŋ muluwin mdelaŋ zenzeyelen keyet damuŋ tabien.
REV.16.1	Âpme neŋ ekma sesewat mka temaŋ keyetnan zet bim ŋande zeye egaŋ ensel 7 ekŋen zet ŋen kapigok diindoye, “In meti Kawawaŋgalen ŋenzinziŋ pelep 7 tazin ke mti mulapme msalen towelek.”
REV.16.2	Âpme ensel kukŋaŋgat egaŋ meti pelepmaŋ ke mtageen mulapme msalen toge. Toti an soŋgom kukŋaŋbeŋ egalen meluwaŋ belinan ma monzalaminan tageen ma egalen weŋaŋ mti mamti masesewatsaip ekŋen liŋgit katikŋaŋ kiŋgagatnaŋmak penaŋ sindemaŋ temaŋ sokbemindaye.
REV.16.3	Kegok mme ensel kukŋaŋgat keyet baman egaŋ pelepmanen kwitnaŋ kwitnaŋ ke mulapme nembuen toge. Topme nembuyaŋ gilik zemti am gakikiŋaŋgalen sip keboŋ beye. Beme nembuen kwitnaŋ kwitnaŋ mamaŋinmak gakime delaŋ zeye.
REV.16.4	Âpme ensel ŋen egaŋ pelepmanen kwitnaŋ kwitnaŋ kiŋgagatnaŋmak mulapme tuyen ma tu zikatnanen toti sip bemâge. 
REV.16.5	Beme ensel tu damuŋ pewien egaŋ Kawawaŋgat kapigok zeme nâmban, “Geŋ eweŋan baen takwabanan ma alak ewe tapmanik. Geŋ yompiŋ; teŋ mambananaŋ manik keyepm dopmaŋ mutumindanik ke esemteŋ mamutunik. 
REV.16.6	Am bekanaŋ ekŋenaŋ gâgât am nâmkiŋpewien ma golaŋ zenze andine ekŋengalen sip walebien keyepmti siwagak mti indamane nimbep. Nime keyaŋ dopmaŋ gilik zemindawanik keyaŋ pembenaŋ bein.” 
REV.16.7	Âpme sâpe sâpe bumbu munduman zet kapigok zeme nâmban, “Amobotnaŋ Kawawaŋ geŋ winde toŋaŋ! Tosa mututundi teŋ ma penaŋaŋmak masokbein.”
REV.16.8	Âpme ensel ŋenaŋ egaŋ pelepmanengatnaŋ kwitnaŋ kwitnaŋ kiŋgagatnaŋmak mulapme kasup keŋan towepme tep omba penaŋ zime kipmaŋaŋ msalen am omba penaŋ indezimâge. 
REV.16.9	Ekŋenaŋ tep kipmaŋaŋ omba penaŋ indakâyeyepmti Kawawaŋgat zet mobotnaŋ mbien. Kwitnaŋ kwitnaŋ kiŋgagatnaŋmak ke mme sokbembeyet windeŋaŋ tazin yaŋgut ekŋenaŋ yomengatnan keŋin gilik zemti ek ku nâmkiŋpewien.
REV.16.10	Âpme ensel ŋenaŋ pelepmanengatnaŋ kwitnaŋ kwitnaŋ kiŋgagatnaŋmak mulapme soŋgom kukŋaŋbeŋ ŋeŋaŋ tage egalen amobotnaŋ mundumen toge. Topme msat sambe egalen am mataliwen ke tambusosok etaŋ sokbeye. Âpme am ekŋenaŋ sindem omba penaŋ nâmbiengapm zelin penaŋ aŋgalik mâbien. 
REV.16.11	Mme ekŋenaŋ sindem ma liŋgilin ke ekti Kawawaŋ kululuŋengatnaŋ egat kwelatnaŋ kuwien. Yaŋgut ekŋenaŋ keŋin ku gilik zeme mama mimi bekanaŋ mbien ke ku katikpewien.
REV.16.12	Âpme ensel ŋenaŋ pelepmaŋ mti kwitnaŋ kwitnaŋ kiŋgagatnaŋmak mulapme Yupeletis Tu teman towepme tu ke bep zeme delaŋ zeye. Tu beme set sokbeme kasup zikatnaŋ kwakwatnaset amobotnaŋ ekŋenaŋ kokogalen kegok mge. 
REV.16.13	Âpme neŋ taekma gazu gazu egalen kaŋgalimangatnan ma soŋgom kukŋaŋbeŋ egalen kaŋgalemengatnan ma golaŋ zenze an dâsuki ekŋengalen kaŋgalemengatnaŋ we bekanaŋ notnaŋ bet keboŋ bemti topme indikban. 
REV.16.14	Ekŋen ke we bekanaŋ penaŋ menok mulup ke mamtemien. Ekŋen tuk keyaŋ msat kataŋ amobotnaŋ sambemagen meti keŋin mimwatindeme ondektati Kawawaŋgalen nâmkiŋpepe am mekum kwakum Kawawaŋgalen kan delaŋ zenze kanaŋ keyet zetnaŋ zewien. Kawawaŋaŋ amobotnaŋ sambe sebemindein.
REV.16.15	Amobotnaŋ Zisas Kilais kapigok zeye, “Nâip, neŋ kambu titi an sepem kegok pempetuk kobap keyepmti an ŋen ek talak mame neŋ kot ekma sakambuk mbemagengat. Keŋ kaik mamti saŋgum melakanduŋaŋgat damuŋ tabe. An keyaŋ oloŋen mbe.”
REV.16.16	Âpme we bekanaŋ ekŋenaŋ amobotnaŋ sambe ma ekŋengalen kasa kuku an msat ke Ibulu zeleset kwitnaŋ Amagedon makuip ke ondekindewien.
REV.16.17	Âpme ensel bam mulup mdelaŋ zenzeyelen tage egaŋ pelepmanengatnaŋ kwitnaŋ kwitnaŋ kiŋgagatnaŋmak mulapme msat tuŋgupman kaŋgwa toge. Âpme sesewat mka temaŋ keyet keŋan Kawawaŋgalen mundum elimiakŋaŋmak keyet keŋaŋgatnan kwizet temaŋ ŋen kapigok sokbeye, “Ilak delaŋ zein!” 
REV.16.18	Âpme kululuŋ kwisak ma ambeyak ma zet kwisak temaŋ ma mâkinaŋ temaŋ penaŋ mge. Am mamkwabien kan keyet mâkinaŋ keboŋ penaŋ ŋen ku mge. 
REV.16.19	Âpme Babilon mka temaŋ ke epeemti tuk beye. Ma msat sambe am ekŋengalen mka ŋande asekmâge. Mme Kawawaŋ egaŋ Babilon am ekŋengat nâmti ŋenzinziŋ mti indawalege. 
REV.16.20	Mti msat nembu tuŋgupman sambe ma kalaŋ temaŋ ekŋen kegogak asekme delaŋ zewien. 
REV.16.21	Ma kululuŋen map katnaŋ temaŋ temaŋ kwep kwep tobiengat nukŋaŋin 50 kilo sepem keboŋ. Am map katnaŋ kiŋgagatnaŋmak keboŋ keyaŋ omba penaŋ indowe keyepmti am ekŋenaŋ Kawawaŋgat kwelatnaŋ kuwien.
REV.17.1	Âpme ensel 7 pelep 7 mmambien ekŋenmagen kwep ŋenaŋ neŋmagen toti zeye, “Imbi set kileŋ kwizapatnaŋmak ek mka temaŋ tu temaŋ sambe ganzenan matazin. Ek dopmaŋ sasayet kanaŋ bein, keyet kopmane met zikat gama ekbak. 
REV.17.2	Msat kataŋ amobotnaŋ ekŋenaŋ ekmak set kileŋ mamaip ma msat kataŋ am ekŋenaŋ ekmagengatnan wain tu nimti keŋin kileŋ mambein.”
REV.17.3	Kegok zeme Kawawaŋgalen Emetak Teŋaŋ winde namti zikatn mme menoknok mme enseliyaŋ ikŋaŋak naikti msat tuŋgupman meneme nilizut tabelin. Msat tuŋgupmanen ke imbi ŋen tapme ekbelin. Ek soŋgom kukŋaŋbeŋ ŋamaŋ keyet palen totage. Soŋgom keyet palen kwit sambe Kawawaŋ mtotogalen kukuŋaŋ keyaŋ sekŋanen bee kume delaŋ zenzeŋaŋ. Mme soŋgom kukŋaŋbeŋ keyet ŋokasetnaŋ 7 ma zegalipmaŋ 10 
REV.17.4	ma imbi ek saŋgum melakanduŋaŋ sepemaŋ ŋamaŋaŋ zut igak igaknok munduŋti miak miak sopmaŋ mti tage. Betnan okop ŋen golaŋ mimiŋaŋ mti tage ke ikŋaŋgalen mama mimi okbi okbiŋaŋmak ma ikŋaŋgalen set kileŋgalen mama keyaŋ gak zemti tage. 
REV.17.5	Monzalaman kwit yaŋaŋ enzililiŋaŋ kapigok kumpepeŋaŋ tage,
REV.17.5	BABILON MKA TEMAŊ
REV.17.5	SET KILEŊ IMBI SAMBEYELEN ŊOKTEKŊIN
REV.17.5	MA EGAŊ MSAT KATAŊ MAMA MIMI BEKANAŊGALEN ŊOTEKŊAŊ.”
REV.17.6	Imbi ikŋaŋ ke am Kawawaŋgat nâmkiŋpepemak ma Zisas egalen zapat zemkawaŋ bembe maindomtan. Keyepmti ekŋengalen siwin nimti keŋaŋ kileŋ penaŋ beme an notnaŋ tu katikŋaŋ wain nimti mamipnok sakam kegok mme ekti nâmtemtem penaŋ mban. 
REV.17.7	Mme ensel egaŋ kapigok nayaŋkwesiye, “Geŋ kwilekiyet nâmtemtem penaŋ mnik? Neŋ imbi egat yaŋaŋ ma soŋgom ŋenaŋ sekti tazin egat yaŋaŋ ma soŋgom ŋokasetnaŋ 7 ma zegalipmaŋ 10 keyet yaŋin ilinsakwep zema nâmbak. 
REV.17.8	Geŋ soŋgom kukŋaŋbeŋ ekdak keyaŋ kopme msalen am ekŋen kwilin Kawawaŋaŋ kululuŋ ma msat ku sokbeye keyetnaŋ yaŋbemti mama kanzizit keyelen papiaen ku kumpepeŋaŋ ekŋen keyaŋ soŋgom eweŋan etaŋ maŋge pi ewe ku mamain ya bam ewe mambe ke msat aimboŋaŋ teepmaŋ penaŋengatnan gilik zemti kwapme Kawawaŋaŋ waletpeme ekŋenaŋ ke ekti ektemtem mbep.
REV.17.9	Pi am ŋoktikŋin temaŋ ekŋenaŋ nânâyelen keyet sepem tazin. Soŋgomgalen ŋokasetnaŋ 7 ke kalaŋ temaŋ 7 imbi keyaŋ keyet palen topmatazin. 
REV.17.10	Kalaŋ 7 keyaŋ kogogak amobotnaŋ 7 keyet sepem bep. Amobotnaŋ 5 ekŋen gakimâpme kwep ek alak kapi msat damuŋ mti tapmain. Mme kwep ŋen bam sokbesâpm. Sokbemti kan isikŋaŋ bugan msat damuŋ mimiyelen zempepeŋaŋ. 
REV.17.11	Mme soŋgom kukŋaŋbeŋ mamti yek bewien ke amobotnaŋ 7 yaŋ ekŋengat tuŋguwinangatnaŋ keyetnaŋ ŋenaŋ ewe gilik zemkoti amobotnaŋ kwapme indamakuman an keyaŋ amobotnaŋ tapme 8 bein. Egaŋ amobotnaŋ gilik zemkwati msat belatnik damuŋ mmeti walebe.
REV.17.12	Mme zegalipmaŋ 10 ekdak ke kegogak amobotnaŋ 10 yaŋgut ekŋenaŋ damuŋ muluwin kan kapigogak ku yaŋbeip. Gazu gazu amobotnaŋ soŋgom kukŋaŋbeŋ muluwin nâmdelaŋ zemindemti ekmak tusumti kan isikŋaŋ bugan mbep. 
REV.17.13	Ekŋen keyaŋ ŋoktik sepem kwep bemtati soŋgom kukŋaŋbeŋ egat kandaŋan muluwin windeŋaŋbeŋ msawep. 
REV.17.14	Ekŋenaŋ Sipsip Nembaŋaŋ ekmak kasa âwep keyaŋgut Sipsip Nembaŋaŋ egaŋ windeŋaŋ bemti indomâbe. Egaŋ msalen amobotnaŋ ekŋengalen Amobotnaŋin Temaŋ ma msalen an damuŋ ekŋengalen An Damuŋin Temaŋ keyepm kasaŋane kume tobe. Am ikŋaŋ indakumtetiti ombemindeme ek mâbien nâmisimti maip ekŋen kemak Sipsip Nembaŋaŋmak ekŋenaŋ kasaŋineyelen winde kume tobe.”
REV.17.15	Âpme Ensel egaŋ kegok zemti ewe kapigok tusumti dinoye. “Imbi set kileŋ mama ke tu sambe keyet ganzenan tapme ekdak. Tu ke am msalen msat kataŋ talip ma am sek sepem igak igak ma zelin igak igak manzeip kataŋ ke tu ke nemboŋ. 
REV.17.16	Ma zegalipmaŋ 10 ekdak ke ma soŋgom kukŋaŋbeŋ ke ilinsakwep imbi set kileŋ mama zemtalatpemti kwitnaŋ kwitnaŋ sambe egat palen tati saŋgum melakandu kumâtâtpeme talak tapme sekŋaŋ nim wiaŋti kanziŋaŋ tewen bume zimâbe. 
REV.17.17	Yaŋgut ke ilinaŋgat keŋinaŋgat etaŋ ku mbep. Kawawaŋaŋ keŋin ke mimiyet meleŋ belaŋ bemindeme ekŋenaŋ zetnaŋ gawepumti keŋ kwep bemti soŋgom kukŋaŋbeŋ ke mulup msawien. Mulup msamti manepeme Kawawaŋgalen zet penaŋaŋmak beye. 
REV.17.18	Âpme geŋ imbi ekdak ke mka temaŋ. Ma imbi ke amobotnaŋ sambe msat kataŋ ekŋenaŋ ekdamuŋ mbep. Bemzenze zet egat palen bem zemkwakwatnaŋ.”
REV.18.1	Naman neŋ ekma ensel ŋen kululuŋengatnan kwatopme ekban. Ek windeŋaŋ temaŋ penaŋ ma saŋga soŋgaŋaŋaŋ msat sambe mbusatnaŋ bemâge. 
REV.18.2	Egaŋ kwizet temaŋ ŋakŋak palen kapigok kuye, “Wakae! Babilon mka temaŋ kumasekme delaŋ penaŋ pein. Mka temaŋ ke we bekanaŋ ekŋengalen mka. Age mgasik sepem igak igak bekanaŋ mimiyelen mka temaŋ keyegak talip. 
REV.18.3	Kan Babilon mka temaŋ ke kumasesekpiŋ tapme msat kataŋ am sambeyaŋ imbi keyelen mama mimi bekanaŋ ke mâbien. Msat kataŋ amobotnaŋ ekŋenaŋ koti ekmak set kileŋ mama mulup mbien. Âpme imbi keyaŋ aem kwaem mulup an ekŋengalen milawalin sambe egomti kwitime keyepmti ekŋenaŋ mânepmak omba bewien.”
REV.18.4	Âpme kwitnaŋ kwitnaŋ ke ewe sokbembepiŋ tapme ŋeŋaŋ kululuŋen zet ŋen ewe kapigok neŋmagen toge, “Aminne, in mka temaŋ ke pemti melit! Mneti in ke tatneti set kileŋ mamayelen tusuwepmagengapmti in ekŋenmak walebepmagengat mka temaŋ ke peit!
REV.18.5	Am mka temaŋ keyet keŋan keyaŋ yom mti mimiek mme sambe sopmaŋ penaŋ bein. Kegok mme Kawawaŋaŋ ekŋengalen yom keyet otnâmti enseliyet pigok zeye.
REV.18.6	Imbi egaŋ mulup kwitnaŋ kwitnaŋ mgasik mge keyet dopmaŋ kwitnaŋ kwitnaŋ mgasik msawanik. Ma egaŋ kwitnaŋ kwitnaŋ bekanaŋ mge ke geŋ sebempemti bugan temaŋ mosawanik. Ma egaŋ okop keŋanen kwitnaŋ kwitnaŋ okbi okbiŋaŋmak lumaŋti indayeyepmti in kogogak sebempemoti sawep.
REV.18.7	Egaŋ ikŋaŋgat sekŋaŋ mmoti ma set kileŋ mama mimiŋaŋ gogot mti keyet oloŋenmak tage. Keyet kataŋ in egat sek sindem ma si kembeŋ temaŋ aik sawep. Egaŋ keŋaŋaŋ pigok manâin, ‘Neŋ imbi mobotnaŋ penaŋ. Neŋ imbi kwambet yek ma neŋ si kembeŋ ku mbap ma keŋ oloŋen palen mameti mambap.’ 
REV.18.8	Kegok manzein keyepmti kasup kwep ŋengat ekmagen kwitnaŋ kwitnaŋ nukŋaŋ ke kapigok sokbewe: zawat sek sindem ma si kembeŋ ma meuyet kambeŋ egalen kanaŋ bewe. Ma imbi ke tewen ziwe enenogat Amobotnaŋ Kawawaŋaŋ ek winde toŋaŋ egaŋ yomaŋgat dopmaŋ mutumsame delaŋ zewe.
REV.18.9	Âpme msat kataŋ amobotnaŋ ekmak set kileŋ mamti egat gogot temaŋ mampeip. Kogogapm ek tewaŋ bume zimti tep kasakŋaŋ mopme ekti si kembeŋ temaŋ mbep. 
REV.18.10	Ekŋenaŋ sindem tisenup zemkiŋgagalaŋ indaikme beŋan tati kapigok zewep, ‘Wakae! Babilon mka temaŋ, Babilon mka katikŋaŋ, geŋ mama mimi bekanaŋdaŋgat dopmaŋ pempetuk sokbemgain.’
REV.18.11	Kegok mme msat kataŋ am ekmak milawalin egaŋ makwitimtan. An ekŋen keyaŋ an ŋenaŋ milawalin ku kwitiwepgapm si kembeŋ temaŋ mbep. 
