MAT.1.1	Si Jesus a sya a Cristo
COL.3.21	Si'kamo anamaet nin mangatua, andi' moyon tuloy nin labasen a pangipatunong konran a'nak moyo ta pigaw nin kai nin tumapo' ana edet a nakem ra.
COL.3.23	Animan a gaw'en moyo, gaw'en moyon sisisibulot a nakem bana' ta say pagtatrabaho moyo ket ambo' tamo' nin para sa tawo no kai edet, para konan Uunuren 
COL.3.24	bana' ta tanda' tamoyna a si Uunuren, tubaleen natamo li' bilang sa nipangako' na. Wanin ta si Uunuren tamon si Cristo a tutuon mampagtrabahwan tamo. 
COL.3.25	Ket sara anamaet a mangwa' nin abas, byan nasara li' nin manepeg nin dusa ra sa kadukaan nin ginwa-ginwa' ra bana' ta si Uunuren, kai ya nin mamaburito.
COL.4.1	Ket si'kamo anamaet nin uamo, maibagay nin ibi moyo a manepeg konran uaripen moyo. Panemtemen moyon ikon nakamo anamaet nin amo moyodtaw sa langit.
COL.4.2	Bubsat, pakaseseg kamon dumasal nin siaaram kamo tan sisasalamat kamo. 
COL.4.3	Iranod rakami anamaet sa dasal moyo; idasal moyo a ibi na kumon nin Dios a pagkanawanawa komi ket maipatandaan mi a maipa'ka' kona ni Cristo nin gindat ket kai nin nipadar. Mangkapriso ako sawanin bana' ta nipata-patandaan koyna ket maituluy-tuloy ko et kumon. 
COL.4.4	Ket, idasal moyon maipapalaway ko konran tutawo ta siin nin talaga a matkap nin gaw'en ko.
COL.4.5	Sa pakikala-kalamo' moyo konran ambo' nin mammemper kona ni Cristo, magkabyay kamon mapanaros. Ket, usaren moyon maong a sarban pagkanawanawa moyon mangitao nin maipa'ka' kona ni Cristo. 
COL.4.6	No kiirgu-irgo kamo, matkap a say pag'iirgo moyo ket mabista tan makaayat. No wanin a gaw'en moyo ket matandaan moyo a maibagay moyon i'bat sa si'numan.
COL.4.7	No ani a mampangya-pangyadi' iti kongko, ipatandaan nadsen li' komoyo ni Tiquico a sya mabli ya komi nin busat tamo sa pammemper. Sya, katrabahwan miyan kapagpyawan sa man'ipagwa' nan Uunuren komi. 
COL.4.8	Ibaki' koyadsen komoyo ta pigaw nin mangibwat kona ket matandaan moyoy kapapa'sar mi ket no wanin, mainawnan kamo. 
COL.4.9	Kaaluyon naya li' si Onesimo
COL.4.10	Mampakumustawen rakamo ni Aristarco
COL.4.11	Si Jesus a pinangaranan nin Justo, mampakumustawen nakamo anamaet. Sara tamo' nin tulodti a Judio nin mammemper a kalalamo' ko sa pangingipatanda' nin maipa'ka' sa pag'aadi' nan Dios. Abaw a mangkaitulong ra kongko.
COL.4.12	Mampakumustawen nakamo anamaet ni Epafras. Aripen nayan si Cristo a si Jesus tan taga yadsen anamaet lamang komoyo sa Colosas. Man'idasalan nakamon pirmi. Masuet nan man'idasal a sapa kumon ta si Dios pa'geten na a pammemper moyo kona ni Cristo tan mataros moyo kumon nin peteg no ani a rabay nan Dios nin gaw'en moyo. 
COL.4.13	Maibarita' ko a seseg na para sa kaabigan moyo tan wanin et anamaet sa kaabigan ran taga Laodicea tan Hierapolis.
COL.4.14	Mampakumustawen nakamo ni Lucas a syay kawa'nan min duktor, tan wanin anamaet kona ni Demas.
COL.4.15	Iparate' moyoy pammakumusta mi konran saray kalalamo' tamon mammemper itaw sa Laodicea, tan kona ni Ninfa tan konran saray mammemper nin mampidudupong itaw sa bali na ta pigaw nin raywen rayay Dios. 
COL.4.16	No nabasa moyaynayti li' nin surat nin si'kamon mammemper isen sa Colosas, ipa'wit moya konran saray mammemper itaw sa Laodicea ta pigaw nin mabasa raya anamaet. Mi'sa kalapen moyay surat ko konradtaw ta pigaw nin mabasa moya anamaet. 
COL.4.17	Ibarita' moyo kona ni Arquipo
COL.4.18	Si'kon mismo nin si Pablo a nanurat konan siti:
COL.4.18	Kumusta kamoynadsen nga'min?
COL.4.18	Andi' moyo nin lingwanan a mangkapriso ako.
COL.4.18	Sapa kumon ta si Dios bindisyunan nakamo.
1TH.1.1	Si'koyti si Pablo, ket kalalamo' kosara si Silas
1TH.1.1	Ipa'wit miyaytin surat komoyon isen sa dupong ran mammemper kona ni Cristo a mampididinep isen sa Tesalonica nin iti konan Dios a Ama tan kona ni Uunuren a Jesu-Cristo.
1TH.1.1	Sapa kumon ta lawas a bindisyunan tan byan rakamon mabistan kapapa'sar.
1TH.1.2	Para komoyo, pirmi miyan mampakisalamatan a Dios tan isalambit kamon pirmi tepe' nin dumasal kami, 
1TH.1.3	ta kai mi gapon talaga nin manlingwanan nin panemtemen sa adapan nan Dios a sya a Ama tamo no pa'no moyo nin man'ibyay a pagmamatalek moyo konan Cristo, no pa'noy pagsisirbi moyo bana' sa ado' moyo kona, tan no pa'no kamon mandumaer sa panana'gan kona bana' sa pangingilalo moyo a iti kona ni Uunuren tamon Jesu-Cristo.
1TH.1.4	Bubsat a mangkawa-kawa'nanen nan Dios, tanda' mi a pinili' nakamon Dios nin mag'in ikon na, 
1TH.1.5	ta ma'kit mi a si Mabistan Patanda' nin man'ipatanda' mi komoyo ket naiparate' ya, ambo' nin sa irgo tamo' no kai edet, main nin paka'kitan nin pakayadi' nan Ispirito nan Dios. Kai kamo gapo nin nagdwadwa a si Mabistan Patanda' nin niyakay mi ket peteg a tutuo ya. Tanda' moyoyna no pa'no kamin nagkabyay sin isen kami et komoyo. Nagkabyay kamin wantaw para sa kaabigan moyo.
1TH.1.6	Ket si'kamo anamaet, inarig moyo no pa'noy nipagkabyay mi tan say kinimey na ni Jesus ta abirno abaw a nirangep moyon dya'dya' bana' ta inako' moyay Mabistan Patanda', ket main nin ririket moyo a nangibwat konan Ispirito nan Dios. 
1TH.1.7	Ket nag'in kamon ihimplo konran sarba ran mammemper isen sa prubinsya moyon Macedonia tan iti anamaet sa prubinsyan Acaya. 
1TH.1.8	Bana' konan siin nin ihimplo moyo, naipata-patanda' a minsahi nan Catawan, ambo' tamo' sa Macedonia tan sa Acaya, no kai sa abaw et nin raruman lugar ket piirgu-irgo ran tutawo a maipa'ka' sa pagmamatalek moyo konan Dios. Kanya' nin kasaynan matkap min ibarita' et. 
1TH.1.9	Wanin ta sarain nin tutawo, sarayna a mampangibari-barita' no pa'no rakami nin inako' isen. Ibari-barita' ra a ginurutan moyoynay pangrarayo moyo sa dios-dios ket inmarak kamo tan mampagsirbyan moyayna a sibibyay tan peteg a Dios, 
1TH.1.10	tan mantuma'gan kamo konan Anak na nin mangibwat sa langit, si Jesus, a syay pinasubli' na nin mabyay tan syay mampangipal'is kontamo sa sager nan maong nin Dios a rumate' li' bana' ta sinubag tamoya.
1TH.2.1	Anaod, si'kamon diri, man'aduen kon bubsat, a makatanda' a mabista lawas a bungan nipako midsen komoyo, 
1TH.2.2	Bilang sa tanda' moyo ket pinadya'dya' tan pinadi-pading'eyan kamidtaw sa Filipos
1TH.2.3	Wanin ta sa pangingisagyat mi konan Mabistan Patanda', kai mi nin agamiren a binubula' tan kasan gagara min duka' o nin manglukon si'numan. 
1TH.2.4	No kai edet, bana' ta inako' nan Dios a kumana' kami nin pangipyawan nan mangipatanda' konan Mabistan Patanda', man'ibarita' mi a rabay nan ipaibarita' komi nin Dios. Ambo' nin tutawo a mampaririketen mi no kai edet, si Dios a syay makapangusisa' sa sain nin iti sa kukanakman mi. 
1TH.2.5	O' tanda' moyon peteg a kai kami nin nangagamir nin pammabur-pabor tan kasan apes min kwartawan kamo. Sitatanda' yaynamaet a lamang sa sain a Dios. 
1TH.2.6	Kai mi nin mantikapen a raywen rakamin tutawo, si'kamo man o saray raruma et, 
1TH.2.7	abirno nin bana' ta apostoles nakami ni Cristo, main nin kanepegan min naningkap nin pangrarayo mangibwat komoyo. Bale' mauyamo' kami ana edet sin isen kami komoyo nin bara'mon kamin sayay inan mampamasuso konran a'nak na. 
1TH.2.8	Wanin anay pangangado' mi komoyo kanya' nin nakasadya' kamin ambo' tamo' nin si Mabistan Patanda' nin ibat konan Dios a ibi mi komoyo no kai edet, pati say byay mi. Wanin bana' ta mabli kamon tuloy komi.
1TH.2.9	Mapanemtem moyo et angangko, man'aduen kon bubsat, no pa'no kamin nagtrabahon maong. Nagtrabaho kamin awro tan yabi ta pigaw nin kai kami nin makabyat komoyo leg'an miyan nipatanda' komoyo a Mabistan Patanda' a inako' mi konan Dios. 
1TH.2.10	Si'kamo nin mismo a makapamatutuo, wanin yaynamaet a Dios, no pa'no kamin nagkabyay isen komoyo nin mammemper konan Cristo. Maringgas kami, mapteg kami tan kasan pakabalawan mi. 
1TH.2.11	Tanda' moyon inasikaso mi a barang saya komoyo nin kapadan pangangasikaso nan sayay ama konran a'nak na. 
1TH.2.12	Pinaksaw mi a nakem moyo, liniwaliwa kamo, tan binibilin kamon maong a magkabyay kamon maikana' konan Dios, a syay mampangayab komoyon kirama' sa pinasyan anda' a pag'aadi' na.
1TH.2.13	Anamaet a lamang, mampakisala-salamatan miya et a Dios bana' ta sin karnge' moyo sa minsahi na a niparate' mi, inako' moyo. Wanin ta maamingaw moyon page' a minsahi tin nangibwat konan Dios, ambo' nin sarita' tamo' nin tawo. Ket mampagtrabahwen na komoyo nin si'kamon mampagmatalek kona.
1TH.2.14	Anaod, man'aduen kon bubsat, say mampangyadi' komoyo ket kapadan mampangyadi' konran iti sa dudupong sa Judea nin iti konan Dios. Mampangyadi' a wanin konra bana' sa pammemper ra konan Cristo a si Jesus. Anaod, nirangep moyoy pammadya'dya' ran kababalyan moyon diri a kapadan nipamadya'dya' ran kapada ran Judio konra. 
1TH.2.15	Saray raruma konra nin kapada ran Judio a nangmati konran prupita sin na'teng anan panaon, saray puri ra a namapati kona ni Uunuren a Jesus, tan sawanin, saray raruma konra ket man-gulwen tan mantabuyen rakami. Mampasagren rayan maong a Dios. Man'ipa'kit ra a kalaban sara nin sarban tawo sa 
1TH.2.16	nipamaed-paed ra komi sa pangingipatanda' konran ambo' nin Judio nin si minsahin mangibarita' no pa'no nasaran isalba nin Dios. Sa wantin gawa' ra, say kasalanan ra ket narate' anay keteg a nibi nan Dios konra. Ket sawanin sa ka'tengan, rinmate' ana a panunusa na sa sager na nin Dios konra.
1TH.2.17	Sawanin, si'kami, man'aduen min bubsat, ambo' et nin na'teng a naikadayo' kami komoyo, sa lalaman bale' ambo' nin sa nakem, ket bana' sa iliw mi komoyo, rabay mi nin tuloy a ma'kit kamo anamanaet. 
1TH.2.18	Kanya' nin nipamuspusan min maong a bisitawen kamo. Lalo akoynan si Pablo, ni'nu-ni'no ko nin sinari', bale' pinaed nakami ni Satanas. 
1TH.2.19	Rabay min tuloy nin ma'kit kamo anamanaet ta anaod, kai para a si'kamo a ilalo mi? Kai para a si'kamoy ririket mi, tan say ipasirayo mi bana' ta itaw kamo li' anamaet sa adapan na ni Uunuren a Jesus no rumate' ya? 
1TH.2.20	Anaod si'kamon peteg a maipasirayo tan ririket mi.
1TH.3.1	Ket bana' ta kai mi ana nin matambar a iliw mi, nipagketan mi a mabati' kamin rwa ni Silas sa Atenas
1TH.3.2	ket ibaki' miyadsen tana si Timoteo. Busat tamoya sa pammemper tan kapada miyan mampagsirbi konan Dios sa pangingipatanda' nin Mabistan Patanda' maipa'ka' kona ni Cristo. Nibaki' miyadsen anaod nin tumulong nin paksawen a nakem moyo ta pigaw nin umget a pagmamatalek moyo kona ni Cristo, 
1TH.3.3	ket kasan si'numan komoyo a mapatapo' nin saytin pammadya'dya' a man'irangep moyo. Bale' tanda' moyon peteg a sayti ket naitanda' anan rumate' kontamo. 
1TH.3.4	Anaod, sin isen kami et komoyo nipau-pau'na mi ana komoyo a mangirangep ta mangirangep atamon pakapaidap, ket mampangyadi' ana nin bilang tanda' moyo. 
1TH.3.5	Siin a rason no ambale' a sin kai koyna nin matpelan a kasan matandaan ko maipa'ka' komoyo, nibaki' koyadsen si Timoteo nin keen na tandaen na a pa'sar nin pagmamatalek moyo. Kai ko nin maglat a umaburido nin bangli' no natukso nakamoynan si Mannugsog a si Satanas ket nag'in kasa gapon kabalikasan nin pagal midsen.
1TH.3.6	Bale' sawanin, nakasubli'
1TH.3.7	Ket bana' sa sain nin natandaan mi, man'aduen kon bubsat, a mabistan kapapa'sar nin pagmamatalek moyo, napaksaw a nakem mi mataman no abaw a makapaaburido komi tan abaw a dya'dya' mi. 
1TH.3.8	Ket sawanin marigsa ana a byay mi no tumuluy-tuloy kamon umdeng nin madaer sa byay moyon naipasaya kona ni Cristo.
1TH.3.9	Anaod, pa'no miya kadi' nin makakisalamatan nin sumadag a Dios bana' komoyo? Wanin a ibarita' mi bana' ta alaki a ririket mi sa adapan na bana' komoyo. 
1TH.3.10	Awro tan yabin masuet nin pidasal-dasal mi a makalamo' kamo anamanaet tan mapun'an mi a kakurangan et nin pagmamatalek moyo.
1TH.3.11	Man'idasal mi et a sapa kumon ta si Dios a Ama tamo anan diri tan si Uunuren tamon Jesus a manglat nin animan a mampamaed nin kappika' midsen komoyo. 
1TH.3.12	Ket si'kamo anamaet, paalakyen na kumon nin kasan tegen nin Uunuren a pangangado' moyo sa saya tan saya tan konran sarban tutawo, a kapada nin pangangado' mi komoyo. 
1TH.3.13	No wanin, say kukanakman moyo ket mapagsen nan Uunuren ket mag'in kasa li' kumon nin pakabalawan moyo tan maringgas kamo sa pangingikit nan Dios a Ama tamo no rumate' ya si Uunuren tamon Jesus nin kalamo' nasaray sarba ran tutawo na.
1TH.4.1	Ket sawanin bubsat, main nin masuet min dawaten komoyo bana' sa nibi nan pakayadi' komi ni Uunuren a Jesus. Niyakay mi komoyo a matkap moyon talaga a magkabyay nin makapaririket konan Dios, ket man-gaw'en moyoynan page'. Bale' dawaten mi a lalo moyo et nin gaw'en in say man-gaw'en moyon makapaririket konan Dios. 
1TH.4.2	Anaod, tanda' moyoynay bubibilin a nibi mi komoyo yupa' sa pakayadi' na ni Uunuren a Jesus sa pagkakabyay moyon wanin, 
1TH.4.3	ta say rabay nan Dios ket si paringgasen moyoy byay moyo. O', andi' kamo nin kiraray nin ambo' nin manepeg. 
1TH.4.4	Matkap a tanda' nin barang saya komoyo no pa'no nan madangkaan a lalaman nan diri,
1TH.4.5	andi' kamo nin pa'wit sa amot nin daya' ta sain say ma'mot nin daya' ket kapadan pigagawa' ran tutawon kai nin magtanda' konan Dios. 
1TH.4.6	Anamaet a lamang, kasa nin si'numan kumon a magtraidor
1TH.4.7	Wanin bana' ta kinayaban natamon Dios sa maringgas, ambo' sa nikasama', a kabibyay. 
1TH.4.8	Ket si si'numan a kai nin rumnge' sa saytin akay, ambo' nin tawo a kai na nin rinnge', no kai si Dios, a syay mampami konan Ispirito na komoyo.
1TH.4.9	Ket no maipa'ka' sa pilalabyan moyon mibubsat sa pammemper, kasayna angangkon matkap et nin isurat mi komoyo ta niyakay nakamoyna nin Dios ta pigaw nin milalabyan kamo. 
1TH.4.10	Page' anaod a manlabyen moyo saraynay bubsat moyo sa pammemper isen sa intiron Macedonia. Wanin man, masuet min dawaten et komoyo, man'aduen kon bubsat, lalo moyo et nin labyen a saya tan saya. 
1TH.4.11	Masuet min dawaten et komoyo a ipamuspusan moyoy magkabyay nin matinek, andi' kamo nin kibiang-biang sa byay ran main nin byay tan maningkap kamon ikabyay moyo a nibarita' mi ana komoyo sin saytaw. 
1TH.4.12	Wanin a gaw'en moyo ta pigaw nin saray ambo' nin mammemper ket rispitwen rakamo tan ta pigaw nin kai kamo nin milalo sa raruma sa ikabyay moyo.
1TH.4.13	Sawanin man'aduen kon bubsat, rabay min tuloy nin mapalaway a pakatanda' moyo maipa'ka' konran saray kapada moyon mammemper nin nati ana ta pigaw nin kai kamo nin gumereng a kapada ran tutawon kai ra nin mailalwan a mangrisibi nin anggan-angga nin byay a iti konan Dios. 
1TH.4.14	Bana' ta mantepren tamo nin nati ya si Jesus tan sinmubli' yan mabyay, mantepren tamo anamaet a saray nunati ana nin namper kona no rumate' ya li' anamanaet ket pasublien nasara li' nin mabyay nin Dios ket ikikalamo' nasara li' kona ni Jesus.
1TH.4.15	Sayti anaod a iparate' mi komoyo nin sarita' nan diri nin Uunuren, a si'tamon mabyay et li' no rumate' ya anamana a Uunuren, ket kai atamo gapo nin mu'nan maikalamo' kona dyan saray nati ana. 
1TH.4.16	Sayti li' e a mirirngan nin mangyadi' no sumubli' ya: Si Uunuren nin mismo ket manaoy ya li' mangibwat sa langit nin mampangita'way ya nin gan-gan, mantuma'way yay sangkata'gayan a anghil, tan marnge' yay trumpita nan Dios. Mu'na, sumubli' sara li' nin mabyay a nunati nin namper kona ni Cristo, 
1TH.4.17	mi'sa si'tamo li' nin mabyay et tan saray sinmubli' nin mabyay, ket bigra' atamoynan ma'wit sa kami'nan nin gunem ta pigaw nin sanaen ya sa ta'gay a Uunuren. Ket anggan-angga a kalamo' tamoyayna li' a Uunuren.
1TH.4.18	Edet, liwaliwawen moyoy saya tan saya yupa' sa saytin pakatanda'.
1TH.5.1	Sawanin, man'aduen kon bubsat, no ka'no mangyadi' ti nin bubagay, kai koyna angangko matkap nin isurat komoyo, 
1TH.5.2	ta peteg a tanda' moyoynan kasan magtanda' no ka'no a awron isusubli' na ta pigaw nin manintinsya yay Uunuren kapada a kasan makatanda' no ka'no ya nin rumate' sa yabi a mannakaw.
1TH.5.3	Mangyadi' ti sa panaon no ka'no ra man'irgwen nin tutawo a matinek tan kasan kapangnwan nin sarba, ket konan sitaw anan lamang nin panaon, ket konra, rumate' ana a pakasida' ket kai sara gapo nin makapal'is. Bigra' nin rumate' nin kapadan kararate' nin pangingingar nan sayay mangabing.
1TH.5.4	Bale' si'kamo, kai kamo nin mampagkabyay sa kadedleman, man'aduen kon bubsat. Kanya' nin kai kamo bigraen nin isusubli' nan Uunuren nin kapadan pammigra' nan mannakaw. 
1TH.5.5	Anaod, sarba moyo bara'mo kamon mangkabyay sa palaway no awro ta si'tamon mammemper man-gaw'en tamo no ani a kusto. Ambo' ratamon kapada nin saray iti sa dedlem nin kasalanan. 
1TH.5.6	Kanya' nin andi' tamo sara nin arigen a raruma a saray ambo' nin mammemper a bara'mo saran tawon mampa'lek, no kai edet, matkap a bara'mo atamon sayay nimata ket mapalaway a pangingisip tamo tan pirmi atamon sisasadya'. 
1TH.5.7	Wanin ta, kai para a no yabi a pangengelek, tan say pipabok ran saray mabubok? 
1TH.5.8	Bale' si'tamo, iti atamo sa awro a mapalaway, kanya' nin matkap a pirmi atamo nin sisasadya'. Magwa' tamoyti no isulot tamo a pa'sar dipinsa nan kerep tan gurot a say pipa'kaan ket say pagmamatalek tan pangangado', tan pa'sar hilmit a siti ket say ilalo nin pakaisalba, 
1TH.5.9	ta nipurok natamo nin Dios ambo' nin ta pigaw nin dusawen na no kai edet, ta pigaw nin ila'pos nay pangisalba na kontamo yupa' kona ni Uunuren tamon Jesu-Cristo. 
1TH.5.10	Nati ya para kontamo ta pigaw nin abirno nati atamoyna o mabyay atamo et ket mabyay atamo li' nin kalamo' na. 
1TH.5.11	Kanya' anaod nin ituluy-tuloy moyon liwaliwawen a saya tan saya tan mitutulungan kamon mapa'get a pammemper moyo, kapada nin man-gaw'en moyoyna sawanin.
1TH.5.12	Dawaten mi komoyo, bubsat, a alilbien moyo saray mampakaidap para komoyo, saray pinili' nan Uunuren nin mampangipangulo tan mampangyakay komoyo. 
1TH.5.13	Ibi moyoy ata'gay nin pammagalang tan alakin pammabli konra bana' sa gawa' ra. Mikakalamo' kamon main nin pitutuno.
1TH.5.14	Masuet min dawaten et komoyo, bubsat, a bibilinen moyo saray matamlad, paksawen moyoy nakem ran matapo', pagawan moyo saray makapoy et a pammemper ra tan anusan moyo saran sarba. 
1TH.5.15	Siguradwen moyo a kasan si'numan komoyo a gumale' konran si'numan a nakagwa' nin abas kona, no kai edet, say maabig para sa barang saya tan konran raruma et nin tawo a dumugen moyon gaw'en. 
1TH.5.16	Pirmi kamon rumiriket. 
1TH.5.17	Pirmi kamon dumasal. 
1TH.5.18	Mataman no ani a mangyadi', pirmin kisalamat kamo konan Dios. Siin a rabay nan Dios nin gaw'en moyo bana' sa nikaipasaya moyo konan Cristo a si Jesus.
1TH.5.19	Say gawa' nan Ispirito nan Dios ket andi' moyo nin sambenan
1TH.5.20	No si sayay tawo ket ibarita' nay nipatandaan nan Ispirito nan Dios kona, andi' moyo nin yaan-yaanen. 
1TH.5.21	No kai edet, timbangen moyoy sarban bubagay; puruten moyoy maabig, 
1TH.5.22	tan say sarban kadukaan ket kaday'an moyo.
1TH.5.23	Sapa kumon ta dirin si Dios a syay puon nin katinekan ket paringgasen nan liso a byay moyo. Sapa kumon ta iyilag nay intiron byay moyo — say kapusuan, nakem, tan lalaman moyo — ta pigaw nin kasa gapo li' nin ma'kit nin pakabalawan moyo no rumate' ya si Uunuren tamon Jesu-Cristo. 
1TH.5.24	Mapagmatalkan yay Dios a syay nangayab komoyo, kanya' nin gaw'en na in komoyo.
1TH.5.25	Idasalan rakami anamaet, man'aduen kon bubsat.
1TH.5.26	Iparate' moyoy ma'mot a pammakumusta ko konran sarba ran bubsat sa pammemper isen.
1TH.5.27	Bana' sa pakayadi' a nibi na kongko nin Uunuren, igan-gan ko komoyo a basawen moyaytin surat sa adapan ran sarba ran bubsat sa pammemper isen.
1TH.5.28	Rumate' kumon komoyo nga'min isen a bindisyon na ni Uunuren tamon Jesu-Cristo.
2TH.1.1	Si'koyti si Pablo, ket kalalamo' kosara si Silas tan si Timoteo.
2TH.1.1	Ipa'wit miyaytin surat komoyon iti sa dupong ran mammemper a mampididinep isen sa Tesalonica
2TH.1.2	Sapa kumon ta lawas a bindisyunan rakamo tan byan rakamon mabistan kapapa'sar.
2TH.1.3	Man'aduen nin bubsat, manepeg miya tanan kisalamatan nin pirmi a Dios bana' komoyo, tan kusto tamo' nin gaw'en mi in bana' ta kasan tegen nin man-gumsen a pagmamatalek moyo kona tan kasan tegen nin man'umalaki a pangangado' nin barang saya sa saya tan saya komoyo. 
2TH.1.4	Ket si'kami, pirayu-rayo mi tanan pirmi sa sarban dupong ran mammemper konan Dios nin kina' mi a pangngagwanta moyo, tan say magsen lawas a pagmamatalek moyo abirno wanin anay pakapadya'dya' tan pakapaidap moyo.
2TH.1.5	Sain, ipa'kit a mapteg nin paninintinsya nan Dios, tan say gagara nin sain ket say pag'in moyon kumana' sa Pag'adian nan Dios. Siin a rason nin pangingirangep moyo sawanin. 
2TH.1.6	Gaw'en nan Dios no ani a matunong: Padya'dyaen nasara in saray mampamadya'dya' komoyo. 
2TH.1.7	Bale' si'kamon mampangirangep, painawnan nakamo li', pati si'kami anamaet, no sumubli' ya si Uunuren a Jesus nin mangibwat sa langit a kalamo' nasaray makapangyayadi' a uanghil na, nin nalibed 
2TH.1.8	nin burung-burong a apoy. Dusawen nasara li' a kai nin mangalilbi' konan Dios tan saray kai nin nangimbabaet konan Mabistan Patanda' maipa'ka' kona ni Uunuren tamon Jesus. 
2TH.1.9	Say kasan anggawan a pakasida' tan pakaisyay konan Catawan tan sa sangkaandaan nin nagwa' nin pakayadi' na a dusa ra li'. 
2TH.1.10	Mangyadi' in li' sa awron isusubli' na ta pigaw nin risibyen nay pammagalang ran saray nipurok nan tutawo na tan say pammata'gay ran sarba ran nagmatalek kona. Maiyayi kamo konra ta timper moyoy nibarita' mi komoyo maipa'ka' kona.
2TH.1.11	Ket sitatanda' sa sayti, pidasal-dasal min pirmi konan Dios a gaw'en nakamo kumon nin kumana' sa nipangayab na komoyo, ket gaw'en na, yupa' sa pakayadi' na, nin matukid kumon a maabig a uapes moyo tan maila'pos moyo kumon a gugawa' moyon bunga nin pagmamatalek moyo. 
2TH.1.12	Bana' sa wanin, mapagalangan moya si Uunuren tamon Jesus, tan mabyan kamo anamaet nin kagalangan bana' sa kamaungan nan Dios tan ni Uunuren a Jesu-Cristo komoyo.
2TH.2.1	Maipa'ka' sa isusubli' na ni Uunuren tamon Jesu-Cristo tan say panininep na kontamo nin maikalamo' kona
2TH.2.2	a andi' kamon tampor nin sumalak o mali'mwan sa marnge-marnge' moyon rinmate' yaynay awron isusubli' na ni Uunuren. Andi' kamo nin mamper abirno nin ibarita' ran saray mag'irgo a patanda' in nin nangibwat konan Ispirito, o irgo o surat a nangibwat komi. 
2TH.2.3	Andi' moyo gapo nin iyaburoy a lingwen kamo nin si'numan. Kai ya nin rumate' a awron isusubli' na ni Uunuren anggan kai nin nangyadi' a saray abaw nin kuntra konan Dios ket paipadar sarayna, tan anggan kai ya et nin nipadar a tawon paka'kitan nin sarbaynan bakas nin kadukaan, si tawon madusa anaod sa impyirno. 
2TH.2.4	Kuntrawen naya a Dios tan say sarban dios-dios nin itandudo' ran tutawo tan sarba ran manraywen ra. Ikwa nay kadiryan na nin mas makapangyayadi' dyan say sarba, tan sumrep tan mako ya et nin tumekre' sa Timplo nan Dios nin ibarita' nan sya a Dios.
2TH.2.5	Kai moyo para nin mapanemtem? Nibarita' koyna in komoyo sin kalamo' rako et. 
2TH.2.6	Kai et nin mampangyadi' in sawanin ta main nin mampamaed, ket tanda' moyo no ani. Maipadar ya li' no rumate' a naitanda' nin panaon. 
2TH.2.7	Anaod, say pwirsa nin kadukaan ket sugsugen sarayna sawanin a abaw nin tutawo nin kumuntra konan Dios, bale' sain ket adi et anggan si mampamaed ket maglat ya. 
2TH.2.8	Ket maipadar yayna li' in si tawon paka'kitan nin sarbaynan bakas nin kadukaan, bale' paysepen naya tamo' li' ni Uunuren a Jesus. Anaod, la'pusan ya li' nin byay nin say salag na nin Uunuren no rumate' ya. 
2TH.2.9	Saytaw li' no siin nin duka' a tawo ket ipadar yayna, byan naya li' nin kapangyadian na ni Satanas tan mangwa' yan sarbaynan klasi nin milagro tan makalingon panandaan tan makapaka'ngap a mangyadi'
2TH.2.10	tan mangusar yan sarbayna nin klasin kadukaan nin ipanglingo na konran saray sidaen li'. Maisalba sara kumon no inako' tan pinabli ray katutu'wan. 
2TH.2.11	Ket bana' ta kai ra nin inako' a katutu'wan, kanya' nin man'aburuyan na nin Dios a lingwen sara nin pakayadi' nin abas, sa wanin ket tepren ra a bula' 
2TH.2.12	kanya' nin saray sarba ran kinaririktan ray kadukaan imbis nin inako' ray katutu'wan ket madusa sara.
2TH.2.13	Si'kami, manepeg miya tanan kisalamatan nin pirmi a Dios bana' komoyo, man'aduen kon bubsat a mangkawa-kawa'nanen nan Uunuren, ta nangibwat et sin tarana' ket pinili' nakamoyna nin Dios
2TH.2.14	Sain a nangayaban nan Dios komoyo yupa' konan Mabistan Patanda' nin niparate' mi komoyo, kinayaban nakamo ta pigaw nin kirama' kamo sa kata'gayan na ni Uunuren tamon Jesu-Cristo. 
2TH.2.15	Kanya' anaod, man'aduen kon bubsat, nin dumaer kamon mamper sa kukatutu'wan a niyakay mi komoyo sa irgo man o sa surat.
2TH.2.16	Sapa kumon ta si Uunuren tamon Jesu-Cristo tan si Dios a Ama tamo, a syay mampangawa'nan kontamo tan mangibwat sa maruros a nakem na maipa'ka' kontamo ket binyan natamon say liwaliwa nin kasan anggawan tan say ilalo sa mabistan nipangako' na, 
2TH.2.17	byan rakamo kumon nin tepel tan gesen nin nakem nin mamarita' tan mangwa' nin sarban maabig.
2TH.3.1	Ket sawanin, man'aduen kon bubsat, dawaten ko komoyo nin idasalan rakami ta pigaw nin say minsahin mangibwat konan Uunuren tamo ket maitayak kumon sa abaw nin lugar sa anted tamo' nin panaon tan maako' kumon nin main nin pangrarayo nin bilang isen komoyo. 
2TH.3.2	Idasal moyo et a maipal'is kami kumon konran maraet tan duka' a tutawo, ta ambo' nin sarban tawo ket mamper sa minsahi nan Dios. 
2TH.3.3	Bale' mapagmatalkan moya lawas a Uunuren a byan nakamon gesen tan ipal'is nakamo konan si sya a Kadukaan
