MAT.1.1	Iesu Keriso vouḡa nizeꞌe ꞌahi eꞌe. Aniꞌe kini Davida mariga ebu zuni Aberahamo mariga.
ACT.26.12	Mada ꞌahogano eꞌe ꞌougihi radu, dibuꞌo hauꞌeteꞌe boroboro niḡano zu ḡoereze odohadu, Damaseko neḡa onamiro. 
ACT.26.13	Kini vazeḡa! Madai nemaḡano eꞌe ibiḡano onamiroteꞌea, e adureonoꞌo agaḡa boroꞌa agaranoga horoniro. Eꞌe agaḡaꞌe mada agaḡa vitinoga. Eḡe zu eḡe teite onamiroteꞌe azaḡa agafiꞌ ovairo. 
ACT.26.14	Ebu emeḡe niduꞌa rahao higau bauriro, ebu Iuda ḡoeꞌano ihiꞌeteꞌe agoḡa ꞌahoga igiro, raenaꞌa, 'Saulo! Saulo! Ḡa nougadu eḡe sausauheꞌohe? Ḡa ire meiga meiga futuneꞌohe. Aꞌe ḡaeꞌa ḡae bare sausauꞌeꞌohe.'
ACT.26.15	Ebu eḡeꞌa ḡadinenaꞌa, 'Zuhiꞌa Boro, ḡa iniu?' reiro. Zuhiꞌa Boroꞌa naenaehinaꞌa, 'Eꞌe Iesu, ḡaeꞌa sausauheꞌeteꞌe vazeḡa. 
ACT.26.16	Iḡunadu edanoꞌi! Eḡeꞌa ḡae mazao fureranataꞌaꞌe, eḡe tuḡure vazeḡano ohoꞌifine, zu horohateꞌe hariḡa vaze mazao meꞌodo zinifine, zu eḡeꞌa ihoꞌiteꞌe ḡoeꞌa rae furenoga veize. 
ACT.26.17	Eꞌe Iuda azaḡa zu Iuda mene azaḡaniꞌa sausauꞌihi reiteꞌe zamaḡanonoꞌo mae vaḡiꞌiꞌuma. Ebu zeḡe mazao bare tuḡuꞌiꞌuma, 
ACT.26.18	ubumaze raꞌanadu uzaboonoꞌo agaḡa moneo mae ḡihuzoga veize, zu Satani ꞌuꞌuḡanonoꞌo mae vaḡizadu Badiꞌa mone rouga veize. ꞌOugine, sauꞌaze eḡeꞌa rae modiꞌuma, zu zeꞌe eḡe mazao fiadu, Zuhiꞌa Boro veize avo reiroteꞌe azaḡa teite ꞌauḡiꞌuma.
ACT.26.19	Eꞌanoꞌo kini Agripa, eꞌe adureonoꞌo fureranadu ihohiroteꞌe ibiḡano daꞌo dureꞌohe. 
ACT.26.20	E ibite Damaseko neḡa azaḡa mazao, ebu Ierusalema neḡa zu Iudea habaꞌa niduꞌa zamaḡano radiuꞌeteꞌe azaḡa mazao, ebu Iuda mene azaḡa mazao zuni haramiro, raenaꞌa, 'Zamaze ḡihunadu, Badiꞌa vaḡe aroꞌi! Ebu haḡai manoḡa haḡaenaꞌa, zamaze ḡihunateꞌe furenoꞌi!' 
ACT.26.21	Eḡeꞌa ꞌougiroteꞌe uꞌano, Iuda azaḡaniꞌa dibuꞌo neḡano obohe tiro, ebu uḡuhe ruhihi reiro. 
ACT.26.22	Rehano Badiꞌaꞌa danahe onaoo izidi, e ꞌada edauꞌohe, ebu vaze zuhuꞌanonoꞌo boro ḡonaga zeḡe niduꞌa mazao hari tiba hina rae fureneꞌohe. Eꞌe ḡoeꞌaꞌe peroveta azaḡa zu Moseꞌa vesuꞌu naginiꞌa fureraꞌuma reiroteꞌe ḡoeꞌa daꞌo. 
ACT.26.23	Eꞌe ḡoeꞌaꞌe, Keriso ani zaharaniꞌuma, ebu ibite runeonoꞌo bare ḡabodiꞌuma, ebu aneꞌa Iuda azaḡa zu Iuda mene azaḡa mazao ḡabone hidiꞌuma agaḡa haramoḡa haramiꞌuma.”
ACT.26.24	Pauloꞌe ꞌouge raeꞌenogano, Festoꞌa ḡoere ḡihauꞌenaꞌa, “Paulo! Ḡa baboraneha. Ḡa ufeta mirihiroteꞌeꞌa mae baboꞌeha.” rae reiro.
ACT.26.25	Rehano Pauloꞌa naenaeninaꞌa, “Ḡihiꞌa vazeḡa Festo, eꞌe mene baboraneha. Eḡeꞌa raꞌeteꞌe ḡoeꞌaꞌe ḡoere huga zu edaꞌeḡa. 
ACT.26.26	Kini Agripa ani, ꞌadi haḡaiḡa niduꞌa edeḡa ꞌahine, eꞌe mene rihauꞌenaꞌa huga niꞌohe. Mazaḡa e edeḡa kini Agripaꞌe haḡai ꞌadi niduꞌa igi hauḡiro, mazaḡa eꞌe haḡaiḡaꞌe guniꞌano mene fureraro. 
ACT.26.27	Kini Agripa, ḡa peroveta azaḡa ḡoere mae ḡihineꞌe hehe? E edeḡa, ḡa mae ḡihineꞌohe.”
ACT.26.28	Ebu Agripaꞌa Paulo ninaꞌa, “Ḡa mada futuꞌano ḡoere tahiḡa rae furenadu, eḡeꞌa Kristenio tiroꞌi raꞌe rehano, aꞌe mene idaḡa.”
ACT.26.29	Pauloꞌa naenaeninaꞌa, “Mada futuꞌa ga faḡaꞌe ago zamaroꞌi! Mazaḡa e Badiꞌa mazao ꞌahige kurauꞌohe, ḡae zu ꞌada igiꞌeteꞌe azaḡa niduꞌa eḡe teigoga, rehano ḡuꞌano ohoheꞌetaꞌaꞌe ahiḡa.”
ACT.26.30	Ebu kini Agripa, gavana vazeḡa Festo, zu Berenike ebu eꞌea ehorinuteꞌe azaḡa niduꞌa iḡune edaro. 
ACT.26.31	Ze nuꞌonuꞌo neḡanonoꞌo buauꞌenaꞌa ḡoretitiro, raenaꞌa, “Vaze ꞌadiꞌe runeo tuḡuniꞌuma ga ḡuꞌano ohoniꞌuma haḡaiḡa sauꞌa mene haḡairo.”
ACT.26.32	Ebu Agripaꞌa Festo niro, raenaꞌa, “Roma zuhiꞌaḡaniꞌa kotanoga mene uratifone, vaze ꞌadiꞌe ḡuꞌanonoꞌo mae bunifo.”
ACT.27.1	Eme Itali habaꞌa onaꞌuma madaḡa meirotene, Paulo zu ḡuꞌa azaḡa nuꞌe uti vazeḡa ꞌahoga, niḡa Iulio ꞌevorao riꞌiziro. Aniꞌe Roma zuhiꞌaḡa uti azaḡa ibito ziniꞌeteꞌe vazeḡa ꞌahoga. 
ACT.27.2	Ebu emeꞌe Adaramateno ne ḡasiḡano tiriro. Ḡasi aꞌaꞌe Asia habaꞌa toḡatoḡaḡano tue tue onaꞌuma ḡasiḡa. Eme eꞌe hina ruhau onamiro. Ebu Makedonia habaꞌano Tesalonika neḡa vazeḡa ꞌahoga, niḡa Aristako zuni emeḡe teite onamiro.
ACT.27.3	Irarirotene, Sidono neḡano feuriro. Iulio ani Paulo faifaineꞌenaꞌa, tuḡuniro, Paulo ane edeḡa azaḡa vaḡadu, naginiꞌa fereneꞌeteꞌe hanoga veize. 
ACT.27.4	Ebu eꞌeanoꞌo hena bare ruhanadu, Kupro ꞌumuḡa genaḡano ꞌafe ruhau onamiro, mazaḡa zavaraꞌe emeḡe haohaofe onainu. 
ACT.27.5	Ebu Kilikia zu Pamufulia habaꞌa davaraḡa bohaꞌano ruhau onamo, Lukia habaꞌano Mura neḡano hebetiro. 
ACT.27.6	Ebu eꞌe habaꞌano uti azaḡa ibito ziniꞌeteꞌe vazeḡaniꞌa Itali onamihi raꞌeteꞌe ḡasiḡa horoniro. Aꞌe Alesandria neḡa ḡasiḡa. Eme eꞌe ḡasiḡano tutufe tiriro. 
ACT.27.7	Ebu mada ḡehaḡa teꞌoteꞌauꞌenaꞌa negane ruhau onamo, Kenido davaraḡa bohaꞌano feuriro. Zavaraꞌe ꞌize haohaofe onainu ꞌahine, eꞌe moneo ruhau onamoga mene idararo. Eꞌanoꞌo eme Salomone musuga naenaeḡa onamadu, Kerete ꞌumuḡano ꞌafe ruhau onamiro. 
ACT.27.8	Ebu teꞌoteꞌauꞌenaꞌa zavara haone, eꞌe ꞌumuḡa genaḡa uni ruhau onamo, “Toḡatoḡa Manoḡa” rae huneꞌeteꞌe toḡatoḡaḡano hebetiro. Aꞌe Lasea neḡa uhiḡano.
ACT.27.9	ꞌOugeꞌenaꞌa, mada ḡehaḡa foure hauḡiro ꞌahine, ḡasio ruhau onamogaꞌe riḡa zu ḡiḡaroḡa. Mazaḡa Iuda azaḡaniꞌa iḡaiḡa ogomu moneo zaḡozaḡiꞌuma madaḡa vitaro. Eꞌe hugaꞌe zavara madaḡaniꞌa feuriro, ebu ruhaꞌuma batoḡa ꞌai hauḡiro. Eꞌanoꞌo Pauloꞌa iraduguziro, 
ACT.27.10	raenaꞌa, “Zae niduꞌa! Eḡeꞌa ḡianeꞌetene, eme ruhau onamine sauꞌa hidiꞌuma, ḡasi zu tohefe niduꞌaꞌe davarao hunuhuniꞌuma, ebu ḡabonefe zuni sautaꞌuma.” 
ACT.27.11	Rehano uti azaḡa ibito ziniꞌeteꞌe vazeḡaꞌe Paulo ḡoere mene mae ḡihinadu, ḡasi miruneꞌeteꞌe vazeḡa zu ḡasi vazeḡa ḡoere daꞌo mae ḡihiniro. 
ACT.27.12	Zeḡeꞌa raꞌetaꞌaꞌe, hebetateꞌe habaꞌaꞌe zavara zu nahune madaḡanoꞌe mene manoḡa. Eꞌanoꞌo vaze niduꞌaꞌe eꞌe habaꞌanonoꞌo ruhau buanadu Foinike toḡatoḡaḡa onamihi reiro. Ebu eꞌe toḡatoḡaḡanobuꞌu zavara zu nahune madaḡa meꞌuma reiro. Foinike toḡatoḡaḡaꞌe Kerete ꞌumuḡano ḡasiꞌa hebeteꞌeteꞌe toḡatoḡaḡa ꞌahoga, madaꞌa zubureꞌeteꞌe mone zamainiꞌohe.
ACT.27.13	Ebu zavara ꞌai kauri moneonoꞌo tahitahe onainuteꞌea, ze ꞌane mada manoḡaniꞌa onaeha reiro. Eꞌanoꞌo ḡasi hanigaḡa hutube zounadu, Kerete ꞌumuḡa genaḡa daꞌo uni ruhau onamiro. 
ACT.27.14	Mene faḡa onamiroteꞌea, zavara boro bagaḡa ꞌai ꞌumu raganonoꞌo gudau ovairo. Aꞌe niḡa “Iurakulon
ACT.27.15	Ebu ḡasio ragatiꞌ aradu, zavara roḡoroḡe onamoga mene idaḡa ꞌahine, zavara daꞌo magananiro. 
ACT.27.16	Ebu Kauda ꞌumuḡa komeꞌa genaḡa ꞌafe diuḡirotuꞌu, ḡasi komeꞌa ḡaruna ahasinuteꞌe riḡa hutube zouniro. 
ACT.27.17	Ebu ohoze ohozeꞌa ḡasi ahase zounirotene, mini hina ḡasi boroo tatuhe ogoru tiro. Ebu hena nougine gasiꞌa ruhau onamadu, Afrika habaꞌa hetaꞌaḡano, niḡaꞌe Surutis-o rameruꞌutiꞌuma rae riharo. Eꞌanoꞌo ḡasi faraiḡa zuni hutube bunadu zavara maganani ruhau oname tauḡiro. 
ACT.27.18	Rehano zavaraꞌe ꞌize ufeta boro. Eꞌanoꞌo irarirotene, ḡasio gaueꞌeteꞌe azaḡaniꞌa ḡasi ufinoga rae, odoheꞌeteꞌe toheḡa davarao mae mae modiro. 
ACT.27.19	Ebu bare iraradu, mada uḡiduḡa meirotene, ḡasio odohe gaueꞌeteꞌe toheḡa zuni mae mae modiro. 
ACT.27.20	Eme mada ḡehaḡa mada zu buzuva mene horoniro, zu zavaraꞌe ufeta hune sautu radiunu. Eꞌanoꞌo emeḡe niduꞌa mene ḡabodiꞌuma rae zamariro.
ACT.27.21	Ze mada ḡehaḡa oganoga mene idararotene, Pauloꞌa zamazeo iḡune edanadu ziro, raenaꞌa, “Zae niduꞌa! Eḡe ḡoere mae ḡihinadu, Kerete ꞌumuḡanonoꞌo mene ruhau buafone, ꞌahige aduga mene hidifo, zu toheze mene mae mae modifo. 
ACT.27.22	Rehano e izidi ꞌada ziꞌeteꞌe. Inaroꞌi! Mazaḡa vazeni ꞌahoga mene dauḡiꞌuma, u hube ḡasiꞌa daꞌo sautaꞌuma. 
ACT.27.23	Zuhiꞌa Boro, eḡeꞌa kurano hauꞌeteꞌe zu tuḡureḡa haḡaeꞌeteꞌe Badiꞌaḡa, ani tuḡure vigaꞌa ohoḡore ohere eḡe uhiḡano edanadu 
ACT.27.24	ḡoreheha, raenaꞌa, 'Paulo! Ago rihanoꞌi! Ḡaꞌe Roma zuhiꞌaḡa zamao ꞌize edaꞌuma. Zu Badiꞌa manoḡaꞌe ḡae teite uꞌano, ḡae teite idaḡa ruhauꞌeteꞌe azaḡa niduꞌaꞌe Badiꞌaꞌa ḡaboziꞌuma.' 
ACT.27.25	Eꞌanoꞌo zae niduꞌa, inaroꞌi! E, Badiꞌa tuḡure vigaꞌa ehateꞌe ḡoeꞌa niduꞌa hudaꞌuma rae, ani mazao fieꞌohe. 
ACT.27.26	Rehano emeꞌe zavaraꞌa hudi onamadu ꞌumu ꞌahoga hetaꞌaḡano ḡasiꞌa ehoriꞌuma.”
ACT.27.27	Ohere gaubanana zu ḡazaḡa fare (14) meiroteꞌea zuni, Adaria Davaraḡano zavaraꞌa ꞌize hudi vaevaefinu. Ebu eꞌe oheꞌa nemanemaḡano ḡasio gaueꞌeteꞌe azaḡaniꞌe gaba ruhau haniteꞌeteꞌe ederiro. 
ACT.27.28	Eꞌanoꞌo ze davara hoeꞌa idanirotene, mita ḡae ḡazaḡa gaubanana (40) heuḡa. Ebu tahiḡa guhianadu bare idanirotene, mita ḡae uḡidu gaubanana (30) daꞌo. 
ACT.27.29	ꞌOugadu ze ḡiḡaroze ruziro, mazaḡa hena ḡasiꞌa vatava rana rameruꞌutiꞌuma reiro. Eꞌanoꞌo ze ḡasi hanigaḡa ḡazaḡa (4) ḡasi ariḡa ḡuzuonoꞌo mae davarao feuniro, ebu ḡaiḡai iraroga veize guhiu radiro. 
ACT.27.30	Eꞌe zamaḡano ḡasio gaueꞌeteꞌe azaḡaꞌe feranoga radu, soꞌe ḡasi hanigaḡa ovoe buneꞌohe rae, ḡasi kobeꞌa fuiꞌadu zazoꞌanonoꞌo ovoe buniro. 
ACT.27.31	Rehano Pauloꞌa uti azaḡa ibito ziniꞌeteꞌe vazeḡa tahiꞌaḡeta ziro, raenaꞌa, “Ḡasio gaueꞌeteꞌe azaḡaniꞌa ḡasi ꞌadaonoꞌo vaḡinine, zaꞌe mene ḡabodiꞌuma.” 
ACT.27.32	Eꞌanoꞌo uti azaḡaniꞌa ḡasi kobeꞌa ovoe dabanateꞌe miniḡa ꞌai tene reꞌadu, ruhune modiro.
ACT.27.33	Ebu irara ꞌai hanitirotene, Pauloꞌa zeḡe niduꞌa ogomu anoga rae umiziro, raenaꞌa, “Za mada gaubanana zu ḡazaḡa fare (14), zamaze aduduꞌenaꞌa guhiu onaeha. Ebu ogomuni ꞌahoga zu mene aneha. 
ACT.27.34	Eꞌanoꞌo e umizeꞌohe. Izidi za ogomu nu anoꞌi! Aꞌe ahirizeꞌa inaradu ḡabone hidoga veize. Eḡeꞌa ziꞌohe. Zae vadinionoꞌo igu tibani zuni mene dauḡiꞌuma.” 
ACT.27.35	Paulo ani ꞌouge rae zirotene, ꞌuvahu madu vaze niduꞌa ubumao Badiꞌa mazao ite matuꞌo haro. Ebu vahegadu aro. 
ACT.27.36	ꞌOugadu zeḡe niduꞌa inaradu, ogomu mae aro. 
ACT.27.37	Ḡasi eꞌe zamaḡano bone emeḡe niduꞌa 276-ꞌa radiro. 
ACT.27.38	Zeḡe niduꞌa ogomu au idararotene, ḡasiꞌa ufiranoga veize ogomu niduꞌa davarao mae mae modiro.
ACT.27.39	Oheredaꞌo madaꞌa agaru feurirotene, ze noꞌe habaꞌano ruhaunutaꞌaꞌe aḡuꞌa. Rehano zeꞌe haba guniḡa hesaḡeta moneni horoniro. Eꞌanoꞌo ze idaraune, eꞌe hesaḡa ranao ḡasi odohe tiriꞌuma reiro. 
ACT.27.40	Ebu ze ḡasi hanigaḡa davara zamaḡano tene riꞌi modiro, ebu tari ogoru tiroteꞌe miniḡa fuiꞌiro. Ebu zavara veize farai hutube ḡihinadu, hesa mone tarine onamiro. 
ACT.27.41	Rehano ḡasiꞌe hetaꞌano tutuhanadu, zazoꞌa ḡohaꞌe eꞌea teadu mene hune zu hagariro. Ebu avaḡa ḡuzuꞌe saꞌu boroboroꞌa kafene vahegadu faharo.
ACT.27.42	Ebu uti azaḡaniꞌa ḡutaroteꞌe azaḡaꞌe zimi hauḡiꞌuma rae togaziro, mazaḡa hena zeꞌa ḡemabe onamadu ferau ḡouriꞌuma. 
ACT.27.43	Rehano uti azaḡa ibito ziniꞌeteꞌe vazeḡaꞌe Paulo ḡabonihi reiro ꞌahine, uti azaḡa garariro. Ebu tuḡuzenaꞌa, “Ḡema edeḡa azaḡaꞌe ibite rafatadu ḡemabe onamoꞌi, ebu gabao tiroꞌi!” reiro. 
ACT.27.44	“U ḡema aḡuꞌa azaḡaꞌe, ḡasi ireḡa rugaruga hina kame ḡemabe onamoꞌi!” reiro. ꞌOuge haḡaeꞌenaꞌa zeḡe niduꞌa gabao ḡemabe tiradu ḡabode ḡouriro.
ACT.28.1	Emeḡe niduꞌa ḡaboga gabao tirirotene, eme ederiro, aꞌe Melita ꞌumuḡa. 
ACT.28.2	ꞌUmu eꞌe neḡa azaḡaꞌe emeḡe faifaife rufiro. Iruguꞌe ruꞌaunu zu nahuneꞌe biaudo ꞌahine, ze mae ḡihifeꞌenaꞌa, ire rabibofiro. 
ACT.28.3	U Paulo ani ire sinuḡa ḡuraꞌe madu ire roga rana mae tiꞌenogano, zarama ire gigiꞌaniꞌa madu ire sinuḡanonoꞌo veore buaro, ebu Paulo ꞌai ꞌevoꞌano vihone giganiro. 
ACT.28.4	Ebu ꞌumu eꞌe azaḡaniꞌa mohe eꞌe Paulo ꞌevoreo ḡiruḡiranoga horonirotene, ze raoraoꞌuhinaꞌa, “Vaze ꞌadiꞌe hezoꞌe gorugoru vazeḡa gaogi.” rae reiro. “Ani davarao mene hunuhuna rehano, eꞌe naeḡa hauꞌeteꞌe badiꞌaḡaꞌe aneꞌa ḡabode radoga mene urateha.” 
ACT.28.5	Rehano Pauloꞌe mohe ire roga rana itine modiro, ebu sauꞌani ꞌahoga ane mazao mene fureraro. 
ACT.28.6	Vaze ze ꞌane, Pauloꞌe ahiꞌaniꞌa miniꞌuma ga zogone higau bauradu rudaꞌuma rae ḡiane radiro. Ze faḡa hune ꞌouge ḡiane radiunu rehano, ḡauni ꞌahoga ani mazao mene furerarotene, ze hena nufe zamarenaꞌa, “Aniꞌe badiꞌa ꞌahoga gaogi.” reiro.
ACT.28.7	U ꞌumu eꞌe zuhiꞌaḡa, niḡa Pobelio, ani habaꞌe haniꞌano. Ani eme mae ḡihifeꞌenaꞌa, neḡano tutufe zoufadu mada uḡidu faifaifinu. 
ACT.28.8	U Pobelio mogaꞌe ugiḡa, evaneo baze radiunu. Ani ahiriꞌe gigiꞌa bagaḡa zu ru sororido. Eꞌanoꞌo Pauloꞌa diuḡe ḡianadu rana kuraro, ebu ꞌevoꞌa rana tirotene, ꞌai manoriro. 
ACT.28.9	ꞌUguḡaniꞌa furerarotene, ugi azaḡa ꞌumu beꞌa radiunuteꞌe azaḡa niduꞌa, Paulo vaḡe onaadu aneꞌa faizido. 
ACT.28.10	Ebu vaze niduꞌaꞌa, nigufeꞌenaꞌa faifaife rufido. Ebu eꞌe ꞌumuḡanonoꞌo ruhau vaḡinihi reirotene, ze ferefeꞌeteꞌe toheḡa ḡehaḡa rifiro.
ACT.28.11	Eme bato uḡidu eꞌe ꞌumuḡano radiroteꞌe enogano, ḡasi ꞌahogano tiradu eꞌe habaꞌa mode iḡuniro. Eꞌe ḡasiḡaꞌe nahune madaḡaniꞌa hauḡoga veize, Melita ꞌumuḡano guhiu radiro. Aꞌe Alesandria ne ḡasiḡa, niḡa “Tahiꞌa Atoꞌa”. Izipi habaꞌanonoꞌo onairo. 
ACT.28.12	Eme ruhau onamoo, Surakusa neḡano hebetadu, mada uḡidu eꞌea radiro. 
ACT.28.13	Eꞌeanoꞌo hena onamo Regio neḡano hebetiro. Ebu mada tiba radirotene, ḡasi ḡaruga moneonoꞌo zavaraꞌa onairo ꞌahine, eme ruhau onamadu, mada aheuḡano Puteoli toḡatoḡaḡano feuriro. Aꞌe emeḡe ruhu ḡonaga. 
ACT.28.14	Ebu eꞌea Zuhiꞌa Boro mone azaḡa nu hidirotene, ze umifenaꞌa, “Emeḡe teite fura tiba radoꞌi!” reiro. Eꞌanoꞌo eꞌea fura tiba radiro. Ebu eꞌe ḡaruganobuꞌu emeꞌe, zavara boro uꞌano sasiro rehano, ragavofeꞌe ḡonabadu, Roma habaꞌano feuriro. 
ACT.28.15	Roma neḡano Zuhiꞌa Boro mone azaḡaꞌe emeḡeꞌa haniteꞌeteꞌe hariḡa igiro ꞌahine, haofe onaadu, vaze nuꞌe Apia-foru maketiḡano, nuꞌe Taveni Uḡidu rae huneꞌeteꞌe iꞌudi neḡano hido titiro. Paulo ani, horozirotene, Badiꞌa matuꞌo haro, ebu zamaḡaniꞌa inariro.
ACT.28.16	Eme Roma neḡano feurirotene, Pauloꞌe tuḡunadu ane daꞌo ne ꞌahogano radiro. Ebu uti vazeḡa tibaniꞌa daꞌo taufinu. 
ACT.28.17	Ebu mada uḡidu meirotene, Pauloꞌa Iuda azaḡa ibito ziniꞌeteꞌe azaḡa boroboro ane neo huze nuꞌoziro. Ebu zeḡeꞌa nuꞌoraꞌ onairotene, Pauloꞌa ziro, raenaꞌa, “Nego nabudi, e emeḡe nabudi mene sausauziro, zu vouḡafe haḡai mene heꞌeheꞌeniro. Rehano Iuda azaḡaniꞌa Ierusalema neḡano obohe teadu, Roma azaḡa ꞌevorao riꞌiheha. 
ACT.28.18	Roma azaḡaniꞌa ḡadihirotene, ze ura tuḡuhe buhihi reiro, mazaḡa runeo tuḡuhiꞌuma haḡaiḡa sauꞌa mene horoniro. 
ACT.28.19	Rehano Iuda azaḡaniꞌa mene uratirotene, eꞌe ibi ꞌahoga oꞌoꞌa radu, Roma zuhiꞌaḡaniꞌa kotahoga veize umidiro. U eꞌe aduga ꞌahoga nabudihe rana touga veize mene onaeha. 
ACT.28.20	Eꞌanoꞌo e za ḡiazoga zu ḡorezoga veize huze onaeha, mazaḡa Isaraela azaḡaniꞌa guhine onainuteꞌe vazeḡa uꞌano, eꞌe ḡuꞌa neḡano ꞌada radiuꞌeteꞌe.”
ACT.28.21	Ebu ze naenaeninaꞌa, “Iudea habaꞌanonoꞌo ḡa moneo soꞌani ꞌahoga mene noneni tuḡuriro. Zu vazeni ꞌahoga Iudea habaꞌanonoꞌo feuriꞌ arirotene, ḡa moneo sauꞌani ꞌahoga mene rae fureniro. 
ACT.28.22	Rehano eme ḡaꞌa nouge reihi raꞌeteꞌe igihi raꞌohe. Mazaḡa eme edeḡa, haba niduꞌa zamaḡano vaze niduꞌa ḡae mone raꞌeteꞌe azaḡa heꞌeheꞌezeꞌohe.”
ACT.28.23	Ebu ze Paulo teite bare nuꞌoranoga rae mada ꞌahoga rae tiro. Eꞌe madaḡa meirotene, Iuda azaḡaꞌe ḡehaḡa bagaḡaniꞌa onaadu, bare ane radone habaꞌano nuꞌoraro. Pauloꞌe oherebauonoꞌo onamo ḡorava Badiꞌaꞌa zuhiꞌafiꞌuma ḡoeꞌa rae fureno ziniro. Ebu zeḡeꞌa Iesu mae ḡihinoga rae, Mose goro ḡoeꞌa zu Peroveta azaḡa buka zamaḡanonoꞌo Iesu hariḡa haramiro. 
ACT.28.24	Vaze nuꞌe Paulo ḡoere mae ḡihiniro, u nuꞌe mene. 
ACT.28.25	Ebu ze zeḡe boꞌaḡano zamaze mene tiba. Ebu Pauloꞌa ꞌahige ziroteꞌe enogano, ze neonoꞌo buau ḡouriro. Pauloꞌe zeḡeꞌa ꞌizema buanogano ꞌahige ziro, raenaꞌa, “Vine Zaḡoḡaniꞌa peroveta vazeḡa Isaia-onoꞌo vouḡaze zirotaꞌaꞌe ḡoere huga, raenaꞌa,
ACT.28.26	'Onamadu Iuda azaḡa ꞌahige zoꞌi!
ACT.28.26	Ḡae egoga igi huniꞌuma,
ACT.28.26	rehano mene ederiꞌuma.
ACT.28.26	Ḡae horonoga horone huniꞌuma,
ACT.28.26	rehano mene zamariꞌuma.
ACT.28.27	Mazaḡa ꞌadi duḡuru zamaꞌe tuḡa zu teḡazeꞌe ꞌuhuḡa,
ACT.28.27	ebu ubumaze zuni kuruḡa.
ACT.28.27	Aꞌe ubumaze hina mene horonifine,
ACT.28.27	zu teḡaze hina mene igifine,
ACT.28.27	ebu zamaze hina
ACT.28.27	mene zamare horonifine.
ACT.28.27	ꞌOugadu mene ḡihure baradu,
ACT.28.27	eḡeꞌa mene faizoga veize.'
ACT.28.28	Eꞌanoꞌo zae ederoga veize ḡoere ꞌadi ziꞌohe. Badiꞌaꞌa ḡabone hidiꞌuma ḡoeꞌa tuḡureꞌetaꞌaꞌe, Iuda mene azaḡa veize tuḡureha, ebu ze mae ḡihiniꞌuma.”
ACT.28.28	[ 
ACT.28.29	Paulo ani ꞌouge rae ḡoreze hauḡirotene, Iuda azaḡa ꞌai oname ḡouriro ebu zeḡeꞌa zeḡe bare riḡa taꞌiro titiro.]
ACT.28.30	Muri aheu, ani ꞌize ḡuꞌa zamaḡano rehano, aneꞌa naeḡa haḡaeꞌeteꞌe neḡano radiunu, ebu iniu ane vaḡe onaidotene, niduꞌa mae ḡihizido. 
ACT.28.31	Pauloꞌe mene rihauꞌenaꞌa Badiꞌaꞌa zuhiꞌaziꞌuma ḡoeꞌa haramo zinido, zu Zuhiꞌa Boro Iesu Keriso hari ihozido. Ebu vaze ꞌahoganiꞌa zuni mene gararo haro.
PHP.1.1	Eḡe Paulo zu Timoteoꞌa fefa ꞌadi miriheꞌohe. Emeꞌe Keriso Iesu veize gaueꞌeteꞌe azaḡa. Ebu fefa ꞌadiꞌe Filipi neḡano Keriso Iesu mone raꞌeteꞌe azaḡa niduꞌa, zu ibito ziniꞌeteꞌe azaḡa
PHP.1.2	Ibite gezo ꞌahige reihi: Badiꞌa emeḡe Mama zu Zuhiꞌa Boro Iesu Kerisoꞌa manoḡa zu zama roḡeḡa ziniꞌenoꞌi!
PHP.1.3	Eḡeꞌa zae zamareꞌeteꞌe madaḡano bone, iḡaiḡa eḡe Badiꞌa mazao manoḡa tauḡi raꞌohe. 
PHP.1.4	Eḡeꞌa zae niduꞌa veize kurauꞌetene, iḡaiḡa matuꞌuheta kurauꞌohe. 
PHP.1.5	Mazaḡa zaeꞌa hari manoḡa ḡadahe mae ḡihiniroteꞌe madaḡanonoꞌo onao izidi, eḡeꞌa hari manoḡa haramoga veize danahe onainu. 
PHP.1.6	Eꞌe hube hune ꞌahige rae zamareꞌohe. Badiꞌa ani, zae boꞌaḡano gau manoḡa fureniro, ꞌouge haḡae onamo, Keriso Iesuꞌa bare onaiꞌuma madaḡa meꞌuma. Eꞌe madaḡano zae zamao fureniroteꞌe gauḡa manoḡa haḡae hauḡiꞌuma.
PHP.1.7	Zaꞌe eḡe zamao iḡaiḡa radiuꞌohe. Eꞌanoꞌo eḡeꞌa zae niduꞌa mazao ꞌahige zamareꞌetaꞌaꞌe manoḡa. Mazaḡa zae niduꞌa, Badiꞌaꞌa iniroteꞌe gauḡa eḡeꞌa haḡaoga veize danahe onainu. E ḡuꞌa neḡanoꞌo ꞌada radiuꞌeteꞌe zamaḡano zuni, kotao hari manoḡa biriroteꞌe madaḡano zuni, ebu hunio hari manoḡaꞌe mene tugahe harame inarinuteꞌe madaḡano zuni danahiro. 
PHP.1.8	Keriso Iesuꞌa zae zamareꞌeteꞌe teige, e zae niduꞌa zamareꞌohe. Eḡeꞌa ꞌouge rataꞌaꞌe, Badiꞌa ane edeḡa, e huga ḡoereꞌohe.
PHP.1.9	Ebu e zae veize ꞌahige rae kurauꞌohe: zaeꞌa Badiꞌa faifaine ederoga zu naginiꞌe duduḡa ga veꞌoḡa horone ederoga, ebu ꞌouge haḡaeꞌenaꞌa, zaeꞌa zae bare zamarotiteꞌeteꞌe haḡaiḡaniꞌa bororu onamoga. 
