GEN.1.1	Uluk fohon, Maromak naseꞌi laleꞌan no raiklaran.
1JN.3.17	Kalo ema ida moris furak, mais neon la monu baa mamaluk susar sia, nunabee nia bele dale naꞌak, “Haꞌu kadomi Naꞌi Maromak!” La bele!
1JN.3.18	Oa sia! Keta hadomi hodi ibun dei, mais hadomi hodi hahalok diꞌak. Tan hodi nunia, foin ita hatudu dadomin mak loos. 
1JN.3.19	Kalo ita moris hodi hadomi nunia, ita bele hatene haꞌak, ita moris tuir hanorin loos. Hodi nunia, itakaan neon lalika hataꞌuk oras ita hariik iha Naꞌi Maromak oin. 
1JN.3.20	Tebes! Kalo itakaan neon la noku tan ita sei hanoin sala mak uluk ita halo, ita lalika hataꞌuk. Itakaan neon bele noku, tan Naꞌi Maromak natene hotu itakaan moris. Nia dodan ita liu nosi ita duꞌuk.
1JN.3.21	Mamaluk sia mak haꞌu kadomi! Kalo itakaan neon la tula sala baa ita ona, ita la hataꞌuk hariik iha Naꞌi Maromak oin. 
1JN.3.22	Hodi nunia, ita bele simu hotu-hotu mak ita husu baa Nia, tan ita halaꞌok Niakaan ukun tiꞌan, hodi halo lia mak nalo Nia neon diꞌak. 
1JN.3.23	Niakaan ukun nia nuneꞌe: Fiar nohuun baa Yesus Kristus, Niakaan Oan mak Nia solok tiꞌan nia. Hadomi malu nohuun, hanesan Yesus naruka tiꞌan baa ita.
1JN.3.24	Kalo ita halo tuir ukun nia sia, neꞌe naꞌak, ita talin malu ho Naꞌi Maromak. Naꞌi Maromak moos talin malu no ita. Naꞌi Maromak moos foo tadak nebee ita bele hatene tebes haꞌak, Nia talin malu no ita, hodi foo Niakaan Kmalar mak moris iha itakaan neon laran.
1JN.4.1	Mamaluk sia mak haꞌu kadomi! Oras neꞌe, ema manorik kaleꞌuk waꞌin laꞌo lema raiklaran neꞌe. Sia beꞌur ema naꞌak, sia Maromak makoꞌan mak nodi mamenon nosi Nia. Mais sintidu! Kalo ema ida dale naꞌak, nia nodi lia mamenon nosi Naꞌi Maromak, keta simu nunia dei. Musti tetu no leno diꞌa-diꞌak atu hatene niakaan dalen nia, mai nosi Naꞌi Maromak ka, lale. 
1JN.4.2	Ita bele tetu niakaan dalen nuneꞌe: Naꞌi Maromak nameno kedan hori uluk atu solok Oan mai raiklaran neꞌe. Kalo ema mak nodi mamenon katak naꞌak, Yesus Kristus tebe-tebes Naꞌi Maromak Oan mak dadi ema raiklaran nuꞌu ita, niakaan mamenon nia nanis mai nosi Naꞌi Maromak. 
1JN.4.3	Kalo ema nia la simu Yesus nunia, niakaan mamenon nia la mai nosi Naꞌi Maromak, mais mai nosi funu mak sakar Kristus. Emi rona tiꞌan haꞌak, funu mak sakar Kristus atu mosu mai iha raiklaran. Tuir loos, funu nunia iha tiꞌan.
1JN.4.4	Lia nuneꞌe, oa sia! Emi neꞌe, Naꞌi Maromak eman no Niakaan Kmalar moris iha emikaan neon. Tan Niakaan beran makaꞌas liu raiklaran beran hotu-hotu, emi bele hatoba hola ema mak sakar Nia. 
1JN.4.5	Manorik kaleꞌuk sia mai nosi raiklaran. Siakaan dalen tuir raiklaran beer. Etuk, ema mak moris tuir raiklaran beer nakara nanono baa siakaan hanorin kaleꞌuk nia. 
1JN.4.6	Mais ita neꞌe, Naꞌi Maromak eman. Ema mak talin malu no Naꞌi Maromak, sia nanono baa ita. Mais ema mak la talin malu no Naꞌi Maromak, sia la nanono baa ita. Hodi nunia, ita bele hatene lia nabee mak mai nosi hanorin loos huun, no lia nabee mak mai nosi hanorin kaleꞌuk huun.
1JN.4.7	Mamaluk sia mak haꞌu kadomi! Ita musti hadomi malu, tan dadomin mai nosi Naꞌi Maromak. Ema hotu-hotu mak nadomi malu, sia mak Naꞌi Maromak oan. Sia moos kreꞌis no Naꞌi Maromak. 
1JN.4.8	Mais ema mak la nadomi malu, sia la talin malu no Naꞌi Maromak, tan Nia dadomin huun. 
1JN.4.9	Naꞌi Maromak natudu dadomin baa ita nuneꞌe: Nia solok Niakaan Oa Mane mesak mai raiklaran neꞌe, atu loke dalan bodik ita, nebee ita bele moris ho Nia toꞌo nima-nimak. 
1JN.4.10	Tebes! Dadomin kabaas nahabut baa Naꞌi Maromak. Dadomin kabaas, lahoos itakaan dadomin baa Naꞌi Maromak, mais Niakaan dadomin baa ita, tan Nia latan Oan mate, dadi baa sera atu selu nola ita. Hodi nunia, Nia kasu mohu itakaan salan, nebee ita bele diꞌak hikar ho Nia.
1JN.4.11	Mamaluk sia mak haꞌu kadomi! Tan Naꞌi Maromak nadomi ita liu resik nunia, ita moos musti hadomi malu. 
1JN.4.12	La noo ema ida kois mak naree lo-loren Naꞌi Maromak. Mais kalo ita hadomi malu, neꞌe naꞌak, Naꞌi Maromak namutuk no ita. Niakaan dadomin moos hetak tuꞌan iha itakaan moris, toꞌo dadi dadomin kabaas.
1JN.4.13	Naꞌi Maromak natuun Niakaan Kmalar baa ita. Tan lia nia, ita bele hatene ita talin malu ho Nia. Nia moos talin malu no ita. 
1JN.4.14	Haꞌu ko haꞌukaan maluk sia haree duꞌuk tiꞌan Naꞌi Maromak Oan. Hotu ami katak baa ema hotu-hotu haꞌak, Ama Maromak solok tiꞌan Oan atu sori ema raiklaran nosi sala. 
1JN.4.15	Ema hotu-hotu mak simu naꞌak, Yesus mak Naꞌi Maromak Oan, sia talin malu no Naꞌi Maromak. Naꞌi Maromak moos talin malu no sia. 
1JN.4.16	Ita hatene haꞌak, Naꞌi Maromak nadomi ita liu resik. Tan lia nia, ita moos bele fiar haꞌak, Nia atu nadomi ita toꞌo nima-nimak.
1JN.4.16	Naꞌi Maromak nadomi ita tebes. Kalo ita hadomi malu, neꞌe naꞌak, ita talin malu ho Nia. Nia moos talin malu no ita. 
1JN.4.17	Kalo ita talin malu ho Nia nunia, itakaan dadomin dadi dadomin kabaas. Nosi ikus, baa oras rai falu fila, Naꞌi Maromak tetu ema hotu-hotu moris, ita lalika hataꞌuk hariik iha Niakaan oin, tan ita dadi hanesan Kristus tiꞌan baa oras Nia moris iha raiklaran neꞌe. 
1JN.4.18	Kalo ita hadomi malu hodi dadomin kabaas, ita la hataꞌuk ona, tan taꞌuk hotu-hotu iha itakaan neon laran lakon tiꞌan. Mais ema mak la natene dadomin kabaas, sia noran susar tan nataꞌuk Naꞌi Maromak atu kastikar sia.
1JN.4.19	Ita hadomi malu, tan Naꞌi Maromak nadomi uluk ita. 
1JN.4.20	Kalo ema ida dale naꞌak, “Haꞌu kadomi Naꞌi Maromak,” mais ema nia sei hirus maluk, nia dale tolek. Kalo ema la nadomi maluk mak iha oin duꞌuk, oin nunabee nia bele nadomi Naꞌi Maromak mak nia sei la naree dauk? La bele! 
1JN.4.21	Naꞌi Maromak duꞌuk natuun ukun naꞌak, ita keta hadomi Nia dei, mais ita moos musti hadomi mamaluk.
1JN.5.1	Ema hotu-hotu mak fiar naꞌak, Yesus mak Kristus, sia dadi baa Naꞌi Maromak oan. Hanoin! Ema mak nadomi ama ida, ema nia nanis nadomi no ama nia niakaan oan sia. 
1JN.5.2	Kalo ita hadomi Naꞌi Maromak hodi halo tuir Niakaan ukun, neꞌe naꞌak, ita moos hadomi Niakaan oan sia. 
1JN.5.3	Kalo ita hadomi Naꞌi Maromak, ita halo tuir Niakaan ukun. Mais Niakaan ukun la todan.
1JN.5.4	Ita mak dadi Naꞌi Maromak oan, bele hatoba beran aat raiklaran hotu-hotu, tan ita fiar baa Nia. 
1JN.5.5	See mak bele natoba beran aat raiklaran hotu-hotu nia? Nanis ema mak fiar naꞌak, Yesus mak Naꞌi Maromak Oan.
1JN.5.6	Yesus tebe-tebes Kristus, Naꞌi Maromak Oan mak Nia solok mai iha raiklaran neꞌe. Baa oras Yesus atu nalaꞌo Niakaan serwisu, Yohanis sarani Nia nodi wee. Nosi ikus, Nia mate nodi naduar raan. Hodi nunia, ita hatene malorek haꞌak Yesus neꞌe, tebe-tebes Kristus. Lahoos ita hatene tan wee dei, mais ita moos hatene tan raan nia. Naꞌi Maromak Kmalar moos natebes nunia. No Naꞌi Maromak Kmalar nia, hanorin loos huun. 
1JN.5.7	Noo lia tolu mak natebes naꞌak, Yesus tebe-tebes Kristus.
1JN.5.8	Ida, Naꞌi Maromak Kmalar Lulik duꞌuk. Rua, wee mak Yohanis nodi sarani Yesus. Tolu, Yesus raan mak nakduar. Lia boot tolu nia, natudu lia mesak nosi Yesus naꞌak, Nia tebe-tebes Kristus. 
1JN.5.9	Kalo ita bele simu ema raiklaran dalen, saa tenik baa Naꞌi Maromak dalen. Nia nodi lia boot tolu nia atu katak naꞌak, Yesus tebe-tebes Kristus, Niakaan Oan mak Nia solok mai tiꞌan iha raiklaran neꞌe. 
1JN.5.10	Kalo ema ida fiar baa Naꞌi Maromak Oan, neꞌe naꞌak, nia simu tiꞌan saa mak Naꞌi Maromak dale nosi Oan nia. Mais ema mak la fiar, ema nia nalo Naꞌi Maromak baa maktolek teen, tan nia la simu saa mak Naꞌi Maromak dale duꞌuk nosi Niakaan Oan naꞌak, 
1JN.5.11	ema bele hetan moris loos toꞌo nima-nimak, surak fiar baa Oan.
1JN.5.12	Ema mak talin malu no Naꞌi Maromak Oan, sia atu netan moris nia. Mais ema mak la talin malu no Naꞌi Maromak Oan, sia la netan.
1JN.5.13	Haꞌu kakerek lia neꞌe sia bodik emi mak fiar baa Naꞌi Maromak Oan, nebee emi bele hatene, emi atu hetan moris toꞌo nima-nimak.
1JN.5.14	Ita bele haberan aan hamulak baa Naꞌi Maromak, tan ita hatene, kalo ita hamulak hodi husu sa-saa tuir Niakaan hakaran, Nia nanis rona. 
1JN.5.15	Tan ita hatene Nia nanis rona saa mak ita husu, ita moos bele hatene, ita nanis simu saa mak ita husu nia.
1JN.5.16	Kalo emi haree maluk ida nalo sala, diꞌak liu, hamulak hodi husu nebee Naꞌi Maromak tulun nia netan moris. Haꞌu kdale neꞌe, nosi sala mak la nodi ema baa mate. Mais noo sala seluk mak nodi ema baa mate. Haꞌu la karuka emi hamulak, kalo noo sala oin nunia. 
1JN.5.17	Lia la diꞌak hotu-hotu mak ema nalo, Naꞌi Maromak sura nalo baa sala. Mais lahoos sala hotu-hotu mak nodi ema baa mate.
1JN.5.18	Ema mak talin malu no Naꞌi Maromak moris la nalo sala ona, tan Naꞌi Maromak Oan daka sia. Diabu ulun mak aꞌaat huun moos la bele natoba nola sia.
1JN.5.19	Ita hatene, ita neꞌe talin malu ho Naꞌi Maromak. Mais ita moos hatene, diabu ulun mak aꞌaat huun noo beran atu babilan ema hotu-hotu iha raiklaran.
1JN.5.20	Ita hatene, Naꞌi Maromak Oan mai atu nakroma itakaan neon, nebee ita bele hatene Maromak mak loos. Oras neꞌe ita bele kreꞌis ho Nia, tan ita kreꞌis ho Oan, Yesus Kristus. Yesus Kristus moos Maromak mak loos. Nia mak foo moris nima-nimak baa ita.
1JN.5.21	Oa sia! Daka diꞌa-diꞌak emikaan moris. Keta toꞌo emi hanaꞌi baa lia kaleꞌuk mak seluk Naꞌi Maromak iha emikaan neon.
1JN.5.21	Nunia dei.
1JN.5.21	Yohanis
2JN.1.1	Ina mak haꞌu kadomi, mak Naꞌi Maromak boi nola tiꞌan. Hakerek neꞌe nosi haꞌu, Yohanis, mak kaliku hutun sarani.
2JN.1.1	Haꞌu kakerek neꞌe bodik ina no oan sia,
2JN.1.2	Ami hadomi emi, tan ita fiar baa hanorin loos mak naktaman nima-nimak iha itakaan neon.
2JN.1.3	Haꞌu kaloon, nebee Naꞌi Maromak no Oan Yesus Kristus natudu laran diꞌak no laran dodan baa ita, nebee ita bele moris manek no dame. Nebee, ita bele hadomi malu hodi rai hanorin loos baa itakaan neon.
2JN.1.4	Oras haꞌu krona ina oan balu sia moris tuir hanorin loos, haꞌukaan neon diꞌak basuk, tan sia tuir ukun mak Ama Maromak naruka tiꞌan baa ita.
2JN.1.5	Ina mak haꞌu kadomi! Haꞌu kaloon nebee ita hotu-hotu hadomi malu. Ukun nia, lahoos ukun foun mais ukun mak ita simu kedan hori uluk.
2JN.1.6	Ita bele hatudu itakaan dadomin, kalo ita halo tuir Naꞌi Maromak ukun sia. Hori uluk, Nia naruka nunia tiꞌan. Ukun neꞌe lahoos ukun foun, mais ukun tuan mak emi rona nanis.
2JN.1.7	Haꞌu kakerek neꞌe, tan ema manorik kaleꞌuk waꞌin laꞌo lema raiklaran neꞌe. Sia nanorin naꞌak, Yesus lahoos Kristus mak dadi ema raiklaran. Hodi nunia, sia tolek no sakar Kristus. 
2JN.1.8	Emi musti daka diꞌa-diꞌak emikaan moris, nebee sia keta beꞌur nola emi. Hodi nunia, ami la kole butan. Emi moos bele hetan fafaꞌek iha laleꞌan mak Naꞌi Maromak nameno atu foo baa emi.
2JN.1.9	Ema mak sees nosi Kristus hanorin, nia la talin malu no Naꞌi Maromak. Mais ema mak kaer metin hanorin nia, ema nia talin malu no Naꞌi Maromak no Oan Yesus Kristus.
2JN.1.10	Kalo ema ida mai nanorin lia seluk nosi Kristus, keta foo neon hodi simu nia iha emikaan uma. 
2JN.1.11	Kalo emi simu nia, emi dadi tiꞌan ain-liman baa niakaan serwisu aat nia.
2JN.1.12	Sei noo lia waꞌin mak haꞌu kbeer kakerek baa emi, mais la kakerek iha neꞌe, tan la kleur ona haꞌu atu kmai dale duꞌuk ko emi, nebee ita neon diꞌak bele-bele.
2JN.1.13	Naꞌi Maromak moos boi nola ina biin. Niakaan oan sia solok tabe kabaas bodik emi.
2JN.1.13	Toꞌo neꞌe dei.
2JN.1.13	Tabe nosi haꞌu,
2JN.1.13	Yohanis
3JN.1.1	Maluk Gayus mak haꞌu kadomi tebe-tebes. Tabe nosi haꞌu, Yohanis, mak kaliku hutun sarani.
3JN.1.2	Haꞌu kaloon nebee Naꞌi Maromak daka o, nebee o bele moris manek no dame. Nebee o isin diꞌak, no neon moos diꞌak. 
3JN.1.3	Mamaluk naꞌin hira mai nasara baa haꞌu naꞌak, o tuir nohuun hanorin loos. Rona nunia, haꞌu neon diꞌak. 
3JN.1.4	Haꞌu kakara basuk kalo haꞌu krona, haꞌukaan oa sia moris tuir hanorin loos.
3JN.1.5	Maluk mak haꞌu kadomi! Itakaan mamaluk naꞌin hira nalaꞌok Kristus Niakaan serwisu iha okaan leo. Oras sia toꞌo, o simu sia diꞌa-diꞌak hotu tulun sia. Masik o sei la matene dauk sia moos, o maliku sia diꞌa-diꞌak nunia. 
3JN.1.6	Oras neꞌe, sia mai nikar tiꞌan. Sia nasara baa hutun sarani iha neꞌe naꞌak, o simu sia modi laran maluak. Haꞌu kusu nebee o tulun bei-beik ema nuꞌu sia nia, tan hahalok nunia nalo Naꞌi Maromak neon diꞌak. 
3JN.1.7	Ema nia sia laꞌo nasirin baa nanorin ema nosi Yesus Kristus, mais sia la nusu tatulun sa-saa nosi ema mak la fiar baa Yesus. 
3JN.1.8	Ita mak musti tulun sia, tan hodi nunia, ita halaꞌok Naꞌi Maromak Niakaan serwisu bele-bele ho sia.
3JN.1.9	Uluk, haꞌu ksolok hakerek baa hutun sarani iha okaan leo. Mais Diotrefes la titu haꞌukaan hakerek, hotu nalo aan nuꞌu ema ulun ida. 
3JN.1.10	Kalo haꞌu ktone emi, haꞌu atu kdale loke fore niakaan hahalok aat, tan nia dale nahaat ami no la simu Naꞌi Maromak eman mak mai nalaꞌok serwisu iha emikaan leo. Kaliuk, nia sasuku mamaluk sia iha nia nebee keta simu sia.
3JN.1.11	Maluk mak haꞌu kadomi! O musti maninu baa ema mak nalo lia diꞌak. Keta maninu baa ema mak nalo lia aat. Ema mak nalo lia diꞌak, Naꞌi Maromak eman. Mais ema mak nalo lia aat, lahoos Naꞌi Maromak eman.
3JN.1.12	Knaninuk nuꞌu Demetrius. Tan nia moris tuir hanorin loos, haꞌu ktonu nia. Ema hotu-hotu moos tonun nia. O naꞌin duꞌuk matene haꞌu kdale neꞌe, tebes.
3JN.1.13	Sei noo lia waꞌin tenik mak haꞌu kakara katak baa o, mais haꞌu la koꞌuk kakerek iha neꞌe. 
3JN.1.14	Haꞌu kaloon, la kleur ona ita hasoru malu, nebee ita rua bele dale duꞌuk baa malu.
3JN.1.15	Nunia dei! Mamaluk iha neꞌe sia solok tabe. Tulun matoꞌo haꞌukaan tabe neꞌe baa haꞌukaan mamaluk sia iha nia, tuir siakaan naran ida-idak.
3JN.1.15	Dame,
3JN.1.15	Yohanis
JUD.1.1	Tabe nosi haꞌu, Yudas. Haꞌu neꞌe, itakaan Naꞌin Yesus Kristus ain-liman. Haꞌu moos, Yakobus alin.
JUD.1.1	Haꞌu kakerek neꞌe bodik ema hotu-hotu mak Ama Maromak boi tiꞌan. Nia nadomi emi. No Yesus Kristus moos babilan emi nohuun.
JUD.1.2	Haꞌu kakroꞌan nebee Nia natudu dodan, nodi fakar Niakaan dadomin waꞌin baa emi, nebee emi bele moris manek no dame.
JUD.1.3	Mamaluk sia mak haꞌu kadomi! Uluk, haꞌu kbeer kakerek bodik emi lia nosi Naꞌi Maromak sori ita. Mais oras neꞌe, noo lia mak seten haꞌu atu kakerek lia ida seluk. Naꞌi Maromak foo hanorin loos baa ita nebee ita bele dadi Niakaan ema moon. Hanorin nia nafati toꞌo nima-nimak. Haꞌu kusu nebee emi hakaꞌas aan kaer metin hanorin nia.
JUD.1.4	Mais haꞌu krona noo ema naꞌin hira mak tama no-nook iha emikaan klaran tiꞌan. Sia la moris tuir Naꞌi Maromak hanorin loos, mais moris tuir siakaan nawan aat dei. Sia katak naꞌak, tan Naꞌi Maromak laran diꞌak, sia la netan kastikar. Mais lia nia, lia kaleꞌuk! Sia dale seluk, sia nalo seluk! Sia nakara nebee ita lalika rona tenik baa itakaan Naꞌin no itakaan Ulun Yesus Kristus. Mais hanoin, tan Hakerek Moon naꞌak, Naꞌi Maromak nakotu kedan hori uluk lia nosi siakaan kastikar.
JUD.1.5	Lia mak haꞌu atu katak neꞌe, emi hatene tiꞌan. Mais haꞌu kakara katak tenik baa emi, nebee sintidu.
JUD.1.5	Hanoin lia uluk baa oras ema Israꞌel sia sai nosi Mesir. Naꞌi Maromak sori siakaan klubun boot nia, mais baa loron ikus, Nia nadodok sia hotu-hotu mak la noꞌuk fiar baa Nia.
JUD.1.6	Knaninuk seluk nosi lia Naꞌi Maromak Niakaan makbukar laleꞌan. Naꞌi Maromak latan beran baa sia, mais noo kladik. Sia balu noran la toꞌo, hotu nakur liu siakaan beran nia. Tan baa nia, Naꞌi Maromak kesi sia no neti natoos sia iha fatin makukun, nebee sia nein iha nia toꞌo oras Naꞌi Maromak tetu ema hotu-hotu moris.
JUD.1.7	Keta haluꞌa tenik kota Sodom no kota Gomora, no leo seluk sia mak kreꞌis iha nia. Ema iha nia sia nalo lia kfoꞌer no aat oi-oik mak la makonak. Tan lia nia, Naꞌi Maromak nabeꞌo dodok sia nodi haꞌi. Lia neꞌe nalore baa ita naꞌak, Naꞌi Maromak atu nodi haꞌi naraka mak laka bei-beik atu kastikar aꞌaat hotu-hotu.
JUD.1.8	Ema mak tama iha emikaan klaran nia, sia hanorin kaleꞌuk nohuun. Sia nodi meꞌi dadi baa krarain atu nalo isin lolon sasobo. Sia sakar karin ema mak kaer beran, no nahaat beran diꞌak sia iha laleꞌan. 
JUD.1.9	Mais Naꞌi Maromak Niakaan makbukar laleꞌan ulun naran Mikael la nalo nuꞌu sia. Baa oras Musa foin mate, Mikael toe no diabu ulun nosi Musa maten. Mais Mikael la nasalak nia, lale nahaat nia. Nia katak loos naꞌak, “Naꞌi Maromak nasee o, foin o matene!”
JUD.1.10	Mais ema mak tama iha emikaan klaran nia, sia la nuꞌu Mikael. Sia nahaat no naleuk lia hotu-hotu mak sia la natene. Sia momok nuꞌu karau, toꞌo nadodok siakaan isin lolon duꞌuk. 
JUD.1.11	Sia nanis netan kastikar, tan sia nuꞌu Kain mak noꞌo alin duꞌuk. Sia moos nalo hanesan Bileam mak nakara nalo saa dei, surak netan osan. Sia moos nalo hanesan Kora mak dodok tan sakar Naꞌi Maromak. Tan siakaan aꞌaat nia, sia atu kona lelen nosi Naꞌi Maromak.
JUD.1.12	Kalo ema aat nia sia namutuk no emi oras emi hanoin Naꞌi Maromak dadomin hodi haa-hemu hamutuk, sia rotus teen, la moe aan. Emi musti daka aan diꞌa-diꞌak, tan sia hanesan fatuk moris iha tasi, mak bele nadodok roo.
JUD.1.13	Siakaan hahalok nia namoe ita. Sia hanesan laloran boot mak soe nela furin kadoor tuir tasi tehen. Sia hanesan fitun mak mosu no lori nahutan iha laleꞌan. Nosi ikus, Naꞌi Maromak soe sia baa fatin makukun ida, nebee lakon mohu iha nebaa.
JUD.1.14	Hanoin baa Henok, mak husar-binan dala hitu nosi Adam. Nia katak kedan hori uluk nosi ema oin nuneꞌe sia naꞌak,
JUD.1.14	“Haree kokon!
JUD.1.14	Naꞌi Maromak namaan aan mai no Niakaan makbukar moon sia.
JUD.1.14	Sia waꞌin basuk, toꞌo la bele sura hola.
JUD.1.15	Nia namaan aan mai atu nakotu ema hotu-hotu lian.
JUD.1.15	Nosi ikus, Nia atu natudu ema ida-idak salan,
JUD.1.15	nodi loke walan lia la loos sia.
JUD.1.15	Hotu, Nia atu natuun kastikar baa ema aat sia,
JUD.1.15	tan sia dale nahaat Nia.”
JUD.1.16	Ema mak tama iha emikaan klaran nia, sia natene loos nakmuuk. Sia tula sala bei-beik baa ema. Sia moris tuir siakaan nawan aat dei. Sia dale loko aan. Sia dale namina aan nola ema neon, nebee ema tuir sia.
JUD.1.17+JUD.1.18	Mamaluk sia mak haꞌu kadomi! Keta haluꞌa lia mamenon mak itakaan Naꞌin Yesus Kristus klosan sia katak kedan baa emi naꞌak, kreꞌis rai falu fila, ema maleuk teen sia atu mosu mai. Sia nahaat itakaan fiar no moris tuir siakaan nawan aat.
JUD.1.19	Oras neꞌe, ema nia sia iha tiꞌan. Sia sasuku baa-mai, nalo ita faꞌe karin malu. Sia natene moris tuir raiklaran beer dei, tan Kmalar Lulik la noo iha siakaan neon laran.
JUD.1.20	Mais lia nuneꞌe mamaluk sia! Emi musti hariik emikaan fiar hodi moris moon. Hamulak tuir saa mak Kmalar Lulik natudu baa emi. 
JUD.1.21	Hanoin! Naꞌi Maromak nadomi emi liu resik. Dadi, daka aan hodi hanoin Niakaan dadomin nia. Haloon biit nebee itakaan Naꞌin Yesus Kristus natudu dodan nodi foo moris nima-nimak baa emi.
JUD.1.22	Kalo noo ema mak sei la fiar biit, emi musti hatudu dodan baa sia. 
JUD.1.23	Sori hola ema mak naksees nosi dalan moris loos, hanesan emi dada sai sia hosi haꞌi laran. Dodan ema seluk sia mak nalo sala. Mais sintidu, tan keta toꞌo siakaan aꞌaat nahaat nola emi. Hakribi siakaan sasobo, hanesan ema nakribi faru kadoor.
JUD.1.24	Tonu-haboot Naꞌi Maromak!
JUD.1.24	Tan Nia mak noo beran atu lituk ita,
JUD.1.24	nebee ita la hakloti.
JUD.1.24	Nia mak noo beran atu nalaꞌo ita,
JUD.1.24	nebee ita hariik iha Niakaan oin,
JUD.1.24	la hoo sala ona,
JUD.1.24	la sasobo ona.
JUD.1.24	Ita neon boot lo-loos hariik iha Niakaan oin,
JUD.1.24	hodi haree Niakaan ahar maksinak.
JUD.1.25	Nia mesan,
JUD.1.25	Maromak mak loos.
JUD.1.25	Nia mesan
JUD.1.25	mak sori ita
JUD.1.25	nodi itakaan Naꞌin Yesus Kristus.
JUD.1.25	Ita foo kneter hotu-hotu baa Nia.
JUD.1.25	Nia makaꞌas kaliuk.
JUD.1.25	Niakaan beran boot kaliuk.
JUD.1.25	Nia kaer ukun hotu-hotu,
JUD.1.25	hori uluk,
JUD.1.25	baa oras neꞌe,
JUD.1.25	toꞌo nima-nimak.
JUD.1.25	Tebes!
JUD.1.25	Nosi haꞌu,
JUD.1.25	Yudas
REV.1.1+REV.1.2	Tabe nosi haꞌu, Yohanis, mak Yesus Kristus ain-liman.
REV.1.1+REV.1.2	Iha neꞌe haꞌu kakerek kosi lia saa mak nosi ikus atu dadi. Haꞌu kbele simu lia neꞌe sia, nuneꞌe: Naꞌi Maromak duꞌuk mak natudu kedan baa Yesus Kristus nebee natoꞌo baa Niakaan ema sia. Hotu, Yesus naruka makbukar laleꞌan ida, baa nalore lia neꞌe sia hotu-hotu baa haꞌu, nebee kakerek kola kedan. La kleur ona, lia neꞌe sia hotu-hotu nanis dadi. Tan baa nia, hanono diꞌa-diꞌak Naꞌi Maromak Manfatin neꞌe mak Yesus solok.
REV.1.3	Naꞌi Maromak nameno tiꞌan naꞌak, Nia atu natuun matak-malirin baa ema hotu-hotu mak leno no nanono hakerek neꞌe nodi nalaꞌok Niakaan Manfatin. Tan niakaan oras atu hotu ona.
REV.1.4	Haꞌu ksolok hakerek neꞌe baa Yesus Niakaan ema klubun hitu iha rai Asia.
REV.1.4	Haꞌu kusu moris manek no dame kosi Naꞌi Maromak bodik emi hotu-hotu. Nia iha kedan tiꞌan hori uluk. Nia iha baa oras neꞌe. Nia moos iha toꞌo nima-nimak. Haꞌu moos kusu moris manek no dame kosi Maromak Kmalar Lulik. Haꞌu ktitu-karee Kmalar Lulik nia, hanesan kmalar hitu mak seꞌi oin baa Naꞌi Maromak habesi aan fatin.
REV.1.5	Haꞌu moos kusu moris manek no dame kosi Yesus Kristus. Nia katak malorek lia hotu-hotu mak Naꞌi Maromak katak tiꞌan baa Nia. Uluk, Nia mate, mais Naꞌi Maromak nalo Nia moris nikar, nebee dadi ema dala uluk mak moris nikar nosi mate. Nosi ikus, Nia moos atu dadi Naꞌin baa naꞌin hotu-hotu iha raiklaran.
REV.1.5	Yesus raan nakduar toꞌo mate, tan Nia nadomi ita. Nodi mate, Nia loke dalan atu sori ita nosi itakaan salan.
REV.1.6	Hotu, Nia foti ita baa Niakaan renu, nebee ita serwisu bodik Niakaan Ama Maromak. Yesus Kristus makaꞌas nanis! Niakaan beran la nakotu! Neꞌe, tebes!
REV.1.7	Dadi, loke matan, mana diꞌa-diꞌak! Oras neꞌe, Yesus no Aman iha laleꞌan baa. Mais la kleur ona, Nia atu namaan aan tuun mai nosi laleꞌan nodi kaloꞌan. Baa oras nia, ema hotu-hotu iha raiklaran titu-naree Nia. Nunia moos, ema mak uluk sona noꞌo Nia. Baa oras titu-naree Nia, ema klubun hotu-hotu iha raiklaran moos, sadiꞌa nodi tanis naroꞌan aan. Lia nia sia hotu-hotu, nanis dadi. Neꞌe, tebes!
REV.1.8	Naꞌi Maromak dale naꞌak,
REV.1.8	“Haꞌu neꞌe,
REV.1.8	Alfa toꞌo Omega.
REV.1.8	Neꞌe naꞌak,
REV.1.8	Ulun toꞌo Ikun.
REV.1.8	Hotu-hotu huun baa Haꞌu,
REV.1.8	nosi huun toꞌo rohan.
REV.1.8	Haꞌu, mak iha kedan tiꞌan hori uluk.
REV.1.8	Haꞌu, mak iha baa oras neꞌe.
REV.1.8	Haꞌu moos, mak atu iha toꞌo nima-nimak.
REV.1.8	Tan Haꞌu kmesan dei, mak beran kaliuk!”
REV.1.9	Tan ita fiar bele-bele haꞌak, Yesus, itakaan Naꞌin, etuk haꞌu kdadi emikaan maluk. Ema balu krakat tan ita tuir Yesus, mais Yesus nakbiit itakaan neon, toꞌo ita bele haterus aan bei-beik. Sia moos krakat haꞌu, tan haꞌu katak Naꞌi Maromak Manfatin baa ema, kodi kanorin lia Yesus. Tan lia nia, sia kohi nodi soe haꞌu tiꞌan baa rai neꞌe, mak naran Patmoos. 
REV.1.10	Hotu, baa loron hamulak ida, Maromak Kmalar Lulik kona haꞌu. Teki-tekis, haꞌu krona lia maliak makaꞌas ida, nuꞌu kfui dikur lian nalian nosi kotuk. 
